context: 29th Suimei University of the Arts High School Graduation Ceremony response:	Yeah, everything's fine here.
context: What?\There's enough for every student?!\Yes, it was Ryunosuke's idea\At the former freeloader's request,\I had the Student Council make the necessary arrangements.\They should have already been distributed.\That's amazing. Thanks, both of you!\Everyone's going to be wearing cherry blossoms, huh? response:	That's great.
context: There's enough for every student?!\Yes, it was Ryunosuke's idea\At the former freeloader's request,\I had the Student Council make the necessary arrangements.\They should have already been distributed.\That's amazing. Thanks, both of you!\Everyone's going to be wearing cherry blossoms, huh?\That's great. response:	Yeah!
context: Yes, it was Ryunosuke's idea\At the former freeloader's request,\I had the Student Council make the necessary arrangements.\They should have already been distributed.\That's amazing. Thanks, both of you!\Everyone's going to be wearing cherry blossoms, huh?\That's great.\Yeah! response:	Yeah.
context: At the former freeloader's request,\I had the Student Council make the necessary arrangements.\They should have already been distributed.\That's amazing. Thanks, both of you!\Everyone's going to be wearing cherry blossoms, huh?\That's great.\Yeah!\Yeah. response:	Don't move.
context: I had the Student Council make the necessary arrangements.\They should have already been distributed.\That's amazing. Thanks, both of you!\Everyone's going to be wearing cherry blossoms, huh?\That's great.\Yeah!\Yeah.\Don't move. response:	Don't touch me!
context: They should have already been distributed.\That's amazing. Thanks, both of you!\Everyone's going to be wearing cherry blossoms, huh?\That's great.\Yeah!\Yeah.\Don't move.\Don't touch me! response:	Okay!
context: That's amazing. Thanks, both of you!\Everyone's going to be wearing cherry blossoms, huh?\That's great.\Yeah!\Yeah.\Don't move.\Don't touch me!\Okay! response:	Let's go!
context: Everyone's going to be wearing cherry blossoms, huh?\That's great.\Yeah!\Yeah.\Don't move.\Don't touch me!\Okay!\Let's go! response:	Yeah!
context: That's great.\Yeah!\Yeah.\Don't move.\Don't touch me!\Okay!\Let's go!\Yeah! response:	Graduating students, please enter.
context: Yeah!\Yeah.\Don't move.\Don't touch me!\Okay!\Let's go!\Yeah!\Graduating students, please enter. response:	A school painted by the four seasons.
context: Yeah.\Don't move.\Don't touch me!\Okay!\Let's go!\Yeah!\Graduating students, please enter.\A school painted by the four seasons. response:	Our heartbeats resonate with youth.
context: Don't move.\Don't touch me!\Okay!\Let's go!\Yeah!\Graduating students, please enter.\A school painted by the four seasons.\Our heartbeats resonate with youth. response:	Ah, my friend!
context: Don't touch me!\Okay!\Let's go!\Yeah!\Graduating students, please enter.\A school painted by the four seasons.\Our heartbeats resonate with youth.\Ah, my friend! response:	Your eyes...
context: Okay!\Let's go!\Yeah!\Graduating students, please enter.\A school painted by the four seasons.\Our heartbeats resonate with youth.\Ah, my friend!\Your eyes... response:	are as bright and clear as the water.
context: Let's go!\Yeah!\Graduating students, please enter.\A school painted by the four seasons.\Our heartbeats resonate with youth.\Ah, my friend!\Your eyes...\are as bright and clear as the water. response:	Graduation Ceremony
context: Yeah!\Graduating students, please enter.\A school painted by the four seasons.\Our heartbeats resonate with youth.\Ah, my friend!\Your eyes...\are as bright and clear as the water.\Graduation Ceremony response:	Ah, looking up at the sky, we see the distant future.
context: Graduating students, please enter.\A school painted by the four seasons.\Our heartbeats resonate with youth.\Ah, my friend!\Your eyes...\are as bright and clear as the water.\Graduation Ceremony\Ah, looking up at the sky, we see the distant future. response:	Suimei, Suimei,
context: A school painted by the four seasons.\Our heartbeats resonate with youth.\Ah, my friend!\Your eyes...\are as bright and clear as the water.\Graduation Ceremony\Ah, looking up at the sky, we see the distant future.\Suimei, Suimei, response:	Suimei High School.
context: Our heartbeats resonate with youth.\Ah, my friend!\Your eyes...\are as bright and clear as the water.\Graduation Ceremony\Ah, looking up at the sky, we see the distant future.\Suimei, Suimei,\Suimei High School. response:	Ryunosuke, your lack of exercise has caught up with you.
context: Ah, my friend!\Your eyes...\are as bright and clear as the water.\Graduation Ceremony\Ah, looking up at the sky, we see the distant future.\Suimei, Suimei,\Suimei High School.\Ryunosuke, your lack of exercise has caught up with you. response:	Shut up!
context: Your eyes...\are as bright and clear as the water.\Graduation Ceremony\Ah, looking up at the sky, we see the distant future.\Suimei, Suimei,\Suimei High School.\Ryunosuke, your lack of exercise has caught up with you.\Shut up! response:	Do you think they'll still let us inside?
context: are as bright and clear as the water.\Graduation Ceremony\Ah, looking up at the sky, we see the distant future.\Suimei, Suimei,\Suimei High School.\Ryunosuke, your lack of exercise has caught up with you.\Shut up!\Do you think they'll still let us inside? response:	Graduation ceremonies are boring.
context: Graduation Ceremony\Ah, looking up at the sky, we see the distant future.\Suimei, Suimei,\Suimei High School.\Ryunosuke, your lack of exercise has caught up with you.\Shut up!\Do you think they'll still let us inside?\Graduation ceremonies are boring. response:	Listening from out here is just fine.
context: Ah, looking up at the sky, we see the distant future.\Suimei, Suimei,\Suimei High School.\Ryunosuke, your lack of exercise has caught up with you.\Shut up!\Do you think they'll still let us inside?\Graduation ceremonies are boring.\Listening from out here is just fine. response:	What's so funny?
context: Suimei, Suimei,\Suimei High School.\Ryunosuke, your lack of exercise has caught up with you.\Shut up!\Do you think they'll still let us inside?\Graduation ceremonies are boring.\Listening from out here is just fine.\What's so funny? response:	Nothing.
context: Suimei High School.\Ryunosuke, your lack of exercise has caught up with you.\Shut up!\Do you think they'll still let us inside?\Graduation ceremonies are boring.\Listening from out here is just fine.\What's so funny?\Nothing. response:	I don't enjoy the melancholy.
context: Ryunosuke, your lack of exercise has caught up with you.\Shut up!\Do you think they'll still let us inside?\Graduation ceremonies are boring.\Listening from out here is just fine.\What's so funny?\Nothing.\I don't enjoy the melancholy. response:	I'm sure Ponytail's already crying her eyes out.
context: Shut up!\Do you think they'll still let us inside?\Graduation ceremonies are boring.\Listening from out here is just fine.\What's so funny?\Nothing.\I don't enjoy the melancholy.\I'm sure Ponytail's already crying her eyes out. response:	I met...
context: Do you think they'll still let us inside?\Graduation ceremonies are boring.\Listening from out here is just fine.\What's so funny?\Nothing.\I don't enjoy the melancholy.\I'm sure Ponytail's already crying her eyes out.\I met... response:	the upperclassmen for the first time...
context: Graduation ceremonies are boring.\Listening from out here is just fine.\What's so funny?\Nothing.\I don't enjoy the melancholy.\I'm sure Ponytail's already crying her eyes out.\I met...\the upperclassmen for the first time... response:	at the new student welcoming ceremony.
context: Listening from out here is just fine.\What's so funny?\Nothing.\I don't enjoy the melancholy.\I'm sure Ponytail's already crying her eyes out.\I met...\the upperclassmen for the first time...\at the new student welcoming ceremony. response:	I was nervous at first,
context: What's so funny?\Nothing.\I don't enjoy the melancholy.\I'm sure Ponytail's already crying her eyes out.\I met...\the upperclassmen for the first time...\at the new student welcoming ceremony.\I was nervous at first, response:	That's right.
context: Nothing.\I don't enjoy the melancholy.\I'm sure Ponytail's already crying her eyes out.\I met...\the upperclassmen for the first time...\at the new student welcoming ceremony.\I was nervous at first,\That's right. response:	When I had nowhere to go, they...
context: I don't enjoy the melancholy.\I'm sure Ponytail's already crying her eyes out.\I met...\the upperclassmen for the first time...\at the new student welcoming ceremony.\I was nervous at first,\That's right.\When I had nowhere to go, they... response:	We will continue to protect the spirit of Suimei...
context: I'm sure Ponytail's already crying her eyes out.\I met...\the upperclassmen for the first time...\at the new student welcoming ceremony.\I was nervous at first,\That's right.\When I had nowhere to go, they...\We will continue to protect the spirit of Suimei... response:	that you have handed down to us.
context: I met...\the upperclassmen for the first time...\at the new student welcoming ceremony.\I was nervous at first,\That's right.\When I had nowhere to go, they...\We will continue to protect the spirit of Suimei...\that you have handed down to us. response:	couldn't protect it.
context: the upperclassmen for the first time...\at the new student welcoming ceremony.\I was nervous at first,\That's right.\When I had nowhere to go, they...\We will continue to protect the spirit of Suimei...\that you have handed down to us.\couldn't protect it. response:	Once the graduation ceremony ends, Sakura Hall will be...
context: at the new student welcoming ceremony.\I was nervous at first,\That's right.\When I had nowhere to go, they...\We will continue to protect the spirit of Suimei...\that you have handed down to us.\couldn't protect it.\Once the graduation ceremony ends, Sakura Hall will be... response:	Today is the color of cherry blossoms.
context: I was nervous at first,\That's right.\When I had nowhere to go, they...\We will continue to protect the spirit of Suimei...\that you have handed down to us.\couldn't protect it.\Once the graduation ceremony ends, Sakura Hall will be...\Today is the color of cherry blossoms. response:	Next, a response from the graduating student representative.
context: That's right.\When I had nowhere to go, they...\We will continue to protect the spirit of Suimei...\that you have handed down to us.\couldn't protect it.\Once the graduation ceremony ends, Sakura Hall will be...\Today is the color of cherry blossoms.\Next, a response from the graduating student representative. response:	Kamiigusa Misaki.
context: When I had nowhere to go, they...\We will continue to protect the spirit of Suimei...\that you have handed down to us.\couldn't protect it.\Once the graduation ceremony ends, Sakura Hall will be...\Today is the color of cherry blossoms.\Next, a response from the graduating student representative.\Kamiigusa Misaki. response:	Yes!
context: We will continue to protect the spirit of Suimei...\that you have handed down to us.\couldn't protect it.\Once the graduation ceremony ends, Sakura Hall will be...\Today is the color of cherry blossoms.\Next, a response from the graduating student representative.\Kamiigusa Misaki.\Yes! response:	Oh, it's Kamiigusa-san!
context: that you have handed down to us.\couldn't protect it.\Once the graduation ceremony ends, Sakura Hall will be...\Today is the color of cherry blossoms.\Next, a response from the graduating student representative.\Kamiigusa Misaki.\Yes!\Oh, it's Kamiigusa-san! response:	Hey, why isn't it Tatebayashi?
context: couldn't protect it.\Once the graduation ceremony ends, Sakura Hall will be...\Today is the color of cherry blossoms.\Next, a response from the graduating student representative.\Kamiigusa Misaki.\Yes!\Oh, it's Kamiigusa-san!\Hey, why isn't it Tatebayashi? response:	I have no idea...
context: Once the graduation ceremony ends, Sakura Hall will be...\Today is the color of cherry blossoms.\Next, a response from the graduating student representative.\Kamiigusa Misaki.\Yes!\Oh, it's Kamiigusa-san!\Hey, why isn't it Tatebayashi?\I have no idea... response:	As though encouraged by the warm spring sun,
context: Today is the color of cherry blossoms.\Next, a response from the graduating student representative.\Kamiigusa Misaki.\Yes!\Oh, it's Kamiigusa-san!\Hey, why isn't it Tatebayashi?\I have no idea...\As though encouraged by the warm spring sun, response:	even the hard buds of the cherry blossoms have slowly begun to open.
context: Next, a response from the graduating student representative.\Kamiigusa Misaki.\Yes!\Oh, it's Kamiigusa-san!\Hey, why isn't it Tatebayashi?\I have no idea...\As though encouraged by the warm spring sun,\even the hard buds of the cherry blossoms have slowly begun to open. response:	On this day that infuses our skin with the new season,
context: Kamiigusa Misaki.\Yes!\Oh, it's Kamiigusa-san!\Hey, why isn't it Tatebayashi?\I have no idea...\As though encouraged by the warm spring sun,\even the hard buds of the cherry blossoms have slowly begun to open.\On this day that infuses our skin with the new season, response:	we, the third years, are grateful that we can graduate.
context: Yes!\Oh, it's Kamiigusa-san!\Hey, why isn't it Tatebayashi?\I have no idea...\As though encouraged by the warm spring sun,\even the hard buds of the cherry blossoms have slowly begun to open.\On this day that infuses our skin with the new season,\we, the third years, are grateful that we can graduate. response:	I decided to apply to Suimei in order to make friends.
context: Oh, it's Kamiigusa-san!\Hey, why isn't it Tatebayashi?\I have no idea...\As though encouraged by the warm spring sun,\even the hard buds of the cherry blossoms have slowly begun to open.\On this day that infuses our skin with the new season,\we, the third years, are grateful that we can graduate.\I decided to apply to Suimei in order to make friends. response:	In middle school, I didn't have anyone I could call a friend.
context: Hey, why isn't it Tatebayashi?\I have no idea...\As though encouraged by the warm spring sun,\even the hard buds of the cherry blossoms have slowly begun to open.\On this day that infuses our skin with the new season,\we, the third years, are grateful that we can graduate.\I decided to apply to Suimei in order to make friends.\In middle school, I didn't have anyone I could call a friend. response:	But if I came to this school...
context: I have no idea...\As though encouraged by the warm spring sun,\even the hard buds of the cherry blossoms have slowly begun to open.\On this day that infuses our skin with the new season,\we, the third years, are grateful that we can graduate.\I decided to apply to Suimei in order to make friends.\In middle school, I didn't have anyone I could call a friend.\But if I came to this school... response:	Suimei University of the Arts High School
context: As though encouraged by the warm spring sun,\even the hard buds of the cherry blossoms have slowly begun to open.\On this day that infuses our skin with the new season,\we, the third years, are grateful that we can graduate.\I decided to apply to Suimei in order to make friends.\In middle school, I didn't have anyone I could call a friend.\But if I came to this school...\Suimei University of the Arts High School response:	Application Information
context: even the hard buds of the cherry blossoms have slowly begun to open.\On this day that infuses our skin with the new season,\we, the third years, are grateful that we can graduate.\I decided to apply to Suimei in order to make friends.\In middle school, I didn't have anyone I could call a friend.\But if I came to this school...\Suimei University of the Arts High School\Application Information response:	My former teacher enthusiastically recommended...
context: On this day that infuses our skin with the new season,\we, the third years, are grateful that we can graduate.\I decided to apply to Suimei in order to make friends.\In middle school, I didn't have anyone I could call a friend.\But if I came to this school...\Suimei University of the Arts High School\Application Information\My former teacher enthusiastically recommended... response:	that I apply to Suimei, believing I might find friends here.
context: we, the third years, are grateful that we can graduate.\I decided to apply to Suimei in order to make friends.\In middle school, I didn't have anyone I could call a friend.\But if I came to this school...\Suimei University of the Arts High School\Application Information\My former teacher enthusiastically recommended...\that I apply to Suimei, believing I might find friends here. response:	And I really did make some precious friends in my three years at Suimei High.
context: I decided to apply to Suimei in order to make friends.\In middle school, I didn't have anyone I could call a friend.\But if I came to this school...\Suimei University of the Arts High School\Application Information\My former teacher enthusiastically recommended...\that I apply to Suimei, believing I might find friends here.\And I really did make some precious friends in my three years at Suimei High. response:	And what helped me find these new friends was...
context: In middle school, I didn't have anyone I could call a friend.\But if I came to this school...\Suimei University of the Arts High School\Application Information\My former teacher enthusiastically recommended...\that I apply to Suimei, believing I might find friends here.\And I really did make some precious friends in my three years at Suimei High.\And what helped me find these new friends was... response:	Sakura Hall, the student dorm.
context: But if I came to this school...\Suimei University of the Arts High School\Application Information\My former teacher enthusiastically recommended...\that I apply to Suimei, believing I might find friends here.\And I really did make some precious friends in my three years at Suimei High.\And what helped me find these new friends was...\Sakura Hall, the student dorm. response:	I was kicked out of the regular dorms...
context: Suimei University of the Arts High School\Application Information\My former teacher enthusiastically recommended...\that I apply to Suimei, believing I might find friends here.\And I really did make some precious friends in my three years at Suimei High.\And what helped me find these new friends was...\Sakura Hall, the student dorm.\I was kicked out of the regular dorms... response:	within a week of starting school...
context: Application Information\My former teacher enthusiastically recommended...\that I apply to Suimei, believing I might find friends here.\And I really did make some precious friends in my three years at Suimei High.\And what helped me find these new friends was...\Sakura Hall, the student dorm.\I was kicked out of the regular dorms...\within a week of starting school... response:	and moved into Sakura Hall by myself.
context: My former teacher enthusiastically recommended...\that I apply to Suimei, believing I might find friends here.\And I really did make some precious friends in my three years at Suimei High.\And what helped me find these new friends was...\Sakura Hall, the student dorm.\I was kicked out of the regular dorms...\within a week of starting school...\and moved into Sakura Hall by myself. response:	At first, it was a depressing place with only the supervising teacher,
context: that I apply to Suimei, believing I might find friends here.\And I really did make some precious friends in my three years at Suimei High.\And what helped me find these new friends was...\Sakura Hall, the student dorm.\I was kicked out of the regular dorms...\within a week of starting school...\and moved into Sakura Hall by myself.\At first, it was a depressing place with only the supervising teacher, response:	Chihiro-sensei, and myself.
context: And I really did make some precious friends in my three years at Suimei High.\And what helped me find these new friends was...\Sakura Hall, the student dorm.\I was kicked out of the regular dorms...\within a week of starting school...\and moved into Sakura Hall by myself.\At first, it was a depressing place with only the supervising teacher,\Chihiro-sensei, and myself. response:	My high school life started in a place...
context: And what helped me find these new friends was...\Sakura Hall, the student dorm.\I was kicked out of the regular dorms...\within a week of starting school...\and moved into Sakura Hall by myself.\At first, it was a depressing place with only the supervising teacher,\Chihiro-sensei, and myself.\My high school life started in a place... response:	with no laughter or conversation.
context: Sakura Hall, the student dorm.\I was kicked out of the regular dorms...\within a week of starting school...\and moved into Sakura Hall by myself.\At first, it was a depressing place with only the supervising teacher,\Chihiro-sensei, and myself.\My high school life started in a place...\with no laughter or conversation. response:	The first night I moved into Sakura Hall,
context: I was kicked out of the regular dorms...\within a week of starting school...\and moved into Sakura Hall by myself.\At first, it was a depressing place with only the supervising teacher,\Chihiro-sensei, and myself.\My high school life started in a place...\with no laughter or conversation.\The first night I moved into Sakura Hall, response:	I looked in each of the empty rooms...
context: within a week of starting school...\and moved into Sakura Hall by myself.\At first, it was a depressing place with only the supervising teacher,\Chihiro-sensei, and myself.\My high school life started in a place...\with no laughter or conversation.\The first night I moved into Sakura Hall,\I looked in each of the empty rooms... response:	and I had a dream.
context: and moved into Sakura Hall by myself.\At first, it was a depressing place with only the supervising teacher,\Chihiro-sensei, and myself.\My high school life started in a place...\with no laughter or conversation.\The first night I moved into Sakura Hall,\I looked in each of the empty rooms...\and I had a dream. response:	My dream was for all of Sakura Hall's rooms to be filled,
context: At first, it was a depressing place with only the supervising teacher,\Chihiro-sensei, and myself.\My high school life started in a place...\with no laughter or conversation.\The first night I moved into Sakura Hall,\I looked in each of the empty rooms...\and I had a dream.\My dream was for all of Sakura Hall's rooms to be filled, response:	and for days full of warm light and laughter to follow.
context: Chihiro-sensei, and myself.\My high school life started in a place...\with no laughter or conversation.\The first night I moved into Sakura Hall,\I looked in each of the empty rooms...\and I had a dream.\My dream was for all of Sakura Hall's rooms to be filled,\and for days full of warm light and laughter to follow. response:	Someone heard my wish.
context: My high school life started in a place...\with no laughter or conversation.\The first night I moved into Sakura Hall,\I looked in each of the empty rooms...\and I had a dream.\My dream was for all of Sakura Hall's rooms to be filled,\and for days full of warm light and laughter to follow.\Someone heard my wish. response:	One by one, the empty rooms began to fill...
context: with no laughter or conversation.\The first night I moved into Sakura Hall,\I looked in each of the empty rooms...\and I had a dream.\My dream was for all of Sakura Hall's rooms to be filled,\and for days full of warm light and laughter to follow.\Someone heard my wish.\One by one, the empty rooms began to fill... response:	People would say good morning in the morning,
context: The first night I moved into Sakura Hall,\I looked in each of the empty rooms...\and I had a dream.\My dream was for all of Sakura Hall's rooms to be filled,\and for days full of warm light and laughter to follow.\Someone heard my wish.\One by one, the empty rooms began to fill...\People would say good morning in the morning, response:	and I'm home when they returned.
context: I looked in each of the empty rooms...\and I had a dream.\My dream was for all of Sakura Hall's rooms to be filled,\and for days full of warm light and laughter to follow.\Someone heard my wish.\One by one, the empty rooms began to fill...\People would say good morning in the morning,\and I'm home when they returned. response:	When someone came home,
context: and I had a dream.\My dream was for all of Sakura Hall's rooms to be filled,\and for days full of warm light and laughter to follow.\Someone heard my wish.\One by one, the empty rooms began to fill...\People would say good morning in the morning,\and I'm home when they returned.\When someone came home, response:	I was so happy, it almost frightened me.
context: My dream was for all of Sakura Hall's rooms to be filled,\and for days full of warm light and laughter to follow.\Someone heard my wish.\One by one, the empty rooms began to fill...\People would say good morning in the morning,\and I'm home when they returned.\When someone came home,\I was so happy, it almost frightened me. response:	The dream I had when I first arrived at Sakura Hall...
context: and for days full of warm light and laughter to follow.\Someone heard my wish.\One by one, the empty rooms began to fill...\People would say good morning in the morning,\and I'm home when they returned.\When someone came home,\I was so happy, it almost frightened me.\The dream I had when I first arrived at Sakura Hall... response:	had finally come true.
