context: The Curtain Rises Over the Ultimate Battle!! I Am Going to Defeat You response:	For all the Saiyans who were killed by you...
context: He's got such power under wraps.\Goku, when did you find all that power?\I implore you, Son Goku, defeat him, and give me another chance to challenge you!\You guys, get away from this place! We're in the way here!\Gohan! Hurry up!\Gohan!\Father!\Father, don't die! Let Freeza have it! response:	- So fast! - Father...
context: Goku, when did you find all that power?\I implore you, Son Goku, defeat him, and give me another chance to challenge you!\You guys, get away from this place! We're in the way here!\Gohan! Hurry up!\Gohan!\Father!\Father, don't die! Let Freeza have it!\- So fast! - Father... response:	I get it. He can't sense Ki!
context: I implore you, Son Goku, defeat him, and give me another chance to challenge you!\You guys, get away from this place! We're in the way here!\Gohan! Hurry up!\Gohan!\Father!\Father, don't die! Let Freeza have it!\- So fast! - Father...\I get it. He can't sense Ki! response:	- Father! - Gohan!
context: You guys, get away from this place! We're in the way here!\Gohan! Hurry up!\Gohan!\Father!\Father, don't die! Let Freeza have it!\- So fast! - Father...\I get it. He can't sense Ki!\- Father! - Gohan! response:	It's incredible! It's too incredible!
context: Gohan! Hurry up!\Gohan!\Father!\Father, don't die! Let Freeza have it!\- So fast! - Father...\I get it. He can't sense Ki!\- Father! - Gohan!\It's incredible! It's too incredible! response:	That got him for sure.
context: Gohan!\Father!\Father, don't die! Let Freeza have it!\- So fast! - Father...\I get it. He can't sense Ki!\- Father! - Gohan!\It's incredible! It's too incredible!\That got him for sure. response:	T- This is a Saiyan? So many of these insects have overestimated their own power, and defied me up until now.
context: Father!\Father, don't die! Let Freeza have it!\- So fast! - Father...\I get it. He can't sense Ki!\- Father! - Gohan!\It's incredible! It's too incredible!\That got him for sure.\T- This is a Saiyan? So many of these insects have overestimated their own power, and defied me up until now. response:	I've never seen a Saiyan able to take things this far!
context: Father, don't die! Let Freeza have it!\- So fast! - Father...\I get it. He can't sense Ki!\- Father! - Gohan!\It's incredible! It's too incredible!\That got him for sure.\T- This is a Saiyan? So many of these insects have overestimated their own power, and defied me up until now.\I've never seen a Saiyan able to take things this far! response:	Over there!
context: - So fast! - Father...\I get it. He can't sense Ki!\- Father! - Gohan!\It's incredible! It's too incredible!\That got him for sure.\T- This is a Saiyan? So many of these insects have overestimated their own power, and defied me up until now.\I've never seen a Saiyan able to take things this far!\Over there! response:	H- Has something happened?
context: I get it. He can't sense Ki!\- Father! - Gohan!\It's incredible! It's too incredible!\That got him for sure.\T- This is a Saiyan? So many of these insects have overestimated their own power, and defied me up until now.\I've never seen a Saiyan able to take things this far!\Over there!\H- Has something happened? response:	D- Don't tell us Son has...?
context: - Father! - Gohan!\It's incredible! It's too incredible!\That got him for sure.\T- This is a Saiyan? So many of these insects have overestimated their own power, and defied me up until now.\I've never seen a Saiyan able to take things this far!\Over there!\H- Has something happened?\D- Don't tell us Son has...? response:	He's putting up a good fight.
context: It's incredible! It's too incredible!\That got him for sure.\T- This is a Saiyan? So many of these insects have overestimated their own power, and defied me up until now.\I've never seen a Saiyan able to take things this far!\Over there!\H- Has something happened?\D- Don't tell us Son has...?\He's putting up a good fight. response:	These Saiyan are strange ones. Or perhaps this is limited to Goku,
context: That got him for sure.\T- This is a Saiyan? So many of these insects have overestimated their own power, and defied me up until now.\I've never seen a Saiyan able to take things this far!\Over there!\H- Has something happened?\D- Don't tell us Son has...?\He's putting up a good fight.\These Saiyan are strange ones. Or perhaps this is limited to Goku, response:	There's no limit to his strength. He's a different person from when he trained here.
context: T- This is a Saiyan? So many of these insects have overestimated their own power, and defied me up until now.\I've never seen a Saiyan able to take things this far!\Over there!\H- Has something happened?\D- Don't tell us Son has...?\He's putting up a good fight.\These Saiyan are strange ones. Or perhaps this is limited to Goku,\There's no limit to his strength. He's a different person from when he trained here. response:	He really is impossible to understand, indeed.
context: I've never seen a Saiyan able to take things this far!\Over there!\H- Has something happened?\D- Don't tell us Son has...?\He's putting up a good fight.\These Saiyan are strange ones. Or perhaps this is limited to Goku,\There's no limit to his strength. He's a different person from when he trained here.\He really is impossible to understand, indeed. response:	- Such an unusual guy... - Such an unusual guy!
context: Over there!\H- Has something happened?\D- Don't tell us Son has...?\He's putting up a good fight.\These Saiyan are strange ones. Or perhaps this is limited to Goku,\There's no limit to his strength. He's a different person from when he trained here.\He really is impossible to understand, indeed.\- Such an unusual guy... - Such an unusual guy! response:	Ah, that was good!
context: H- Has something happened?\D- Don't tell us Son has...?\He's putting up a good fight.\These Saiyan are strange ones. Or perhaps this is limited to Goku,\There's no limit to his strength. He's a different person from when he trained here.\He really is impossible to understand, indeed.\- Such an unusual guy... - Such an unusual guy!\Ah, that was good! response:	But it's no use. I can't walk any more!
context: D- Don't tell us Son has...?\He's putting up a good fight.\These Saiyan are strange ones. Or perhaps this is limited to Goku,\There's no limit to his strength. He's a different person from when he trained here.\He really is impossible to understand, indeed.\- Such an unusual guy... - Such an unusual guy!\Ah, that was good!\But it's no use. I can't walk any more! response:	I'm going to die here. Without ever getting back to Earth...
context: He's putting up a good fight.\These Saiyan are strange ones. Or perhaps this is limited to Goku,\There's no limit to his strength. He's a different person from when he trained here.\He really is impossible to understand, indeed.\- Such an unusual guy... - Such an unusual guy!\Ah, that was good!\But it's no use. I can't walk any more!\I'm going to die here. Without ever getting back to Earth... response:	It's true what they say, beautiful women do die young.
context: These Saiyan are strange ones. Or perhaps this is limited to Goku,\There's no limit to his strength. He's a different person from when he trained here.\He really is impossible to understand, indeed.\- Such an unusual guy... - Such an unusual guy!\Ah, that was good!\But it's no use. I can't walk any more!\I'm going to die here. Without ever getting back to Earth...\It's true what they say, beautiful women do die young. response:	That's enough! Who would ever expect me to die here among all these frogs!?
context: There's no limit to his strength. He's a different person from when he trained here.\He really is impossible to understand, indeed.\- Such an unusual guy... - Such an unusual guy!\Ah, that was good!\But it's no use. I can't walk any more!\I'm going to die here. Without ever getting back to Earth...\It's true what they say, beautiful women do die young.\That's enough! Who would ever expect me to die here among all these frogs!? response:	Oooh, yow.
context: He really is impossible to understand, indeed.\- Such an unusual guy... - Such an unusual guy!\Ah, that was good!\But it's no use. I can't walk any more!\I'm going to die here. Without ever getting back to Earth...\It's true what they say, beautiful women do die young.\That's enough! Who would ever expect me to die here among all these frogs!?\Oooh, yow. response:	Now, then...
context: - Such an unusual guy... - Such an unusual guy!\Ah, that was good!\But it's no use. I can't walk any more!\I'm going to die here. Without ever getting back to Earth...\It's true what they say, beautiful women do die young.\That's enough! Who would ever expect me to die here among all these frogs!?\Oooh, yow.\Now, then... response:	He's not that bad...
context: Ah, that was good!\But it's no use. I can't walk any more!\I'm going to die here. Without ever getting back to Earth...\It's true what they say, beautiful women do die young.\That's enough! Who would ever expect me to die here among all these frogs!?\Oooh, yow.\Now, then...\He's not that bad... response:	You're an impudent one!
context: But it's no use. I can't walk any more!\I'm going to die here. Without ever getting back to Earth...\It's true what they say, beautiful women do die young.\That's enough! Who would ever expect me to die here among all these frogs!?\Oooh, yow.\Now, then...\He's not that bad...\You're an impudent one! response:	What's this?
context: I'm going to die here. Without ever getting back to Earth...\It's true what they say, beautiful women do die young.\That's enough! Who would ever expect me to die here among all these frogs!?\Oooh, yow.\Now, then...\He's not that bad...\You're an impudent one!\What's this? response:	l- It's an eruption! What's it doing there?
context: It's true what they say, beautiful women do die young.\That's enough! Who would ever expect me to die here among all these frogs!?\Oooh, yow.\Now, then...\He's not that bad...\You're an impudent one!\What's this?\l- It's an eruption! What's it doing there? response:	- Father! - Gohan!
context: That's enough! Who would ever expect me to die here among all these frogs!?\Oooh, yow.\Now, then...\He's not that bad...\You're an impudent one!\What's this?\l- It's an eruption! What's it doing there?\- Father! - Gohan! response:	If you go, you'll just get in the way. Have faith!
context: Oooh, yow.\Now, then...\He's not that bad...\You're an impudent one!\What's this?\l- It's an eruption! What's it doing there?\- Father! - Gohan!\If you go, you'll just get in the way. Have faith! response:	Goku isn't as green as all that!
context: Now, then...\He's not that bad...\You're an impudent one!\What's this?\l- It's an eruption! What's it doing there?\- Father! - Gohan!\If you go, you'll just get in the way. Have faith!\Goku isn't as green as all that! response:	- Father... - Son...
context: He's not that bad...\You're an impudent one!\What's this?\l- It's an eruption! What's it doing there?\- Father! - Gohan!\If you go, you'll just get in the way. Have faith!\Goku isn't as green as all that!\- Father... - Son... response:	That's far enough.
context: You're an impudent one!\What's this?\l- It's an eruption! What's it doing there?\- Father! - Gohan!\If you go, you'll just get in the way. Have faith!\Goku isn't as green as all that!\- Father... - Son...\That's far enough. response:	I wonder if he's burned up. What a disappointing way to end the scene.
context: What's this?\l- It's an eruption! What's it doing there?\- Father! - Gohan!\If you go, you'll just get in the way. Have faith!\Goku isn't as green as all that!\- Father... - Son...\That's far enough.\I wonder if he's burned up. What a disappointing way to end the scene. response:	Goku!
context: l- It's an eruption! What's it doing there?\- Father! - Gohan!\If you go, you'll just get in the way. Have faith!\Goku isn't as green as all that!\- Father... - Son...\That's far enough.\I wonder if he's burned up. What a disappointing way to end the scene.\Goku! response:	Oh dear, you didn't have to come all this way. I would have come to you.
context: - Father! - Gohan!\If you go, you'll just get in the way. Have faith!\Goku isn't as green as all that!\- Father... - Son...\That's far enough.\I wonder if he's burned up. What a disappointing way to end the scene.\Goku!\Oh dear, you didn't have to come all this way. I would have come to you. response:	I'll kill you quickly.
context: If you go, you'll just get in the way. Have faith!\Goku isn't as green as all that!\- Father... - Son...\That's far enough.\I wonder if he's burned up. What a disappointing way to end the scene.\Goku!\Oh dear, you didn't have to come all this way. I would have come to you.\I'll kill you quickly. response:	That was close, that was close!
context: Goku isn't as green as all that!\- Father... - Son...\That's far enough.\I wonder if he's burned up. What a disappointing way to end the scene.\Goku!\Oh dear, you didn't have to come all this way. I would have come to you.\I'll kill you quickly.\That was close, that was close! response:	If I'd fallen in there, I would've died!
context: - Father... - Son...\That's far enough.\I wonder if he's burned up. What a disappointing way to end the scene.\Goku!\Oh dear, you didn't have to come all this way. I would have come to you.\I'll kill you quickly.\That was close, that was close!\If I'd fallen in there, I would've died! response:	Here goes.
context: That's far enough.\I wonder if he's burned up. What a disappointing way to end the scene.\Goku!\Oh dear, you didn't have to come all this way. I would have come to you.\I'll kill you quickly.\That was close, that was close!\If I'd fallen in there, I would've died!\Here goes. response:	Son!
context: I wonder if he's burned up. What a disappointing way to end the scene.\Goku!\Oh dear, you didn't have to come all this way. I would have come to you.\I'll kill you quickly.\That was close, that was close!\If I'd fallen in there, I would've died!\Here goes.\Son! response:	Son! Behind you!
context: Goku!\Oh dear, you didn't have to come all this way. I would have come to you.\I'll kill you quickly.\That was close, that was close!\If I'd fallen in there, I would've died!\Here goes.\Son!\Son! Behind you! response:	I'm not going to keep falling into the same trap like that!
context: Oh dear, you didn't have to come all this way. I would have come to you.\I'll kill you quickly.\That was close, that was close!\If I'd fallen in there, I would've died!\Here goes.\Son!\Son! Behind you!\I'm not going to keep falling into the same trap like that! response:	Don't go messing up other people's planets so much!
context: I'll kill you quickly.\That was close, that was close!\If I'd fallen in there, I would've died!\Here goes.\Son!\Son! Behind you!\I'm not going to keep falling into the same trap like that!\Don't go messing up other people's planets so much! response:	What will you do once you break it!?
context: That was close, that was close!\If I'd fallen in there, I would've died!\Here goes.\Son!\Son! Behind you!\I'm not going to keep falling into the same trap like that!\Don't go messing up other people's planets so much!\What will you do once you break it!? response:	Frightening powers tear the land and rend the sky.
context: If I'd fallen in there, I would've died!\Here goes.\Son!\Son! Behind you!\I'm not going to keep falling into the same trap like that!\Don't go messing up other people's planets so much!\What will you do once you break it!?\Frightening powers tear the land and rend the sky. response:	However, Goku and Freeza display nothing but confidence on their faces.
context: Here goes.\Son!\Son! Behind you!\I'm not going to keep falling into the same trap like that!\Don't go messing up other people's planets so much!\What will you do once you break it!?\Frightening powers tear the land and rend the sky.\However, Goku and Freeza display nothing but confidence on their faces. response:	Is this decisive battle just getting underway?
