context: ep06 response:	OP
context: The awakening of love that you induced it was without pride\T-T-These stupid hands are shaking and from here, we'll proceed\No no no, I've messed up my words a bit and so there's an awkward silence\About your about your feelings I really want to know, it's an u-u-un-unrequited love\First love always in the school zone\A glittering light I will fall in love\I'm flying through the sky\U-U-U-U-Unrequited love! response:	This is actually pretty good...
context: T-T-These stupid hands are shaking and from here, we'll proceed\No no no, I've messed up my words a bit and so there's an awkward silence\About your about your feelings I really want to know, it's an u-u-un-unrequited love\First love always in the school zone\A glittering light I will fall in love\I'm flying through the sky\U-U-U-U-Unrequited love!\This is actually pretty good... response:	Mio-chan, Mio-chan!
context: No no no, I've messed up my words a bit and so there's an awkward silence\About your about your feelings I really want to know, it's an u-u-un-unrequited love\First love always in the school zone\A glittering light I will fall in love\I'm flying through the sky\U-U-U-U-Unrequited love!\This is actually pretty good...\Mio-chan, Mio-chan! response:	TL Note: Kappa, literally meaning river-child, is a water sprite found in Japanese folklore.
context: About your about your feelings I really want to know, it's an u-u-un-unrequited love\First love always in the school zone\A glittering light I will fall in love\I'm flying through the sky\U-U-U-U-Unrequited love!\This is actually pretty good...\Mio-chan, Mio-chan!\TL Note: Kappa, literally meaning river-child, is a water sprite found in Japanese folklore. response:	What the hell is this?
context: First love always in the school zone\A glittering light I will fall in love\I'm flying through the sky\U-U-U-U-Unrequited love!\This is actually pretty good...\Mio-chan, Mio-chan!\TL Note: Kappa, literally meaning river-child, is a water sprite found in Japanese folklore.\What the hell is this? response:	Kappa?
context: A glittering light I will fall in love\I'm flying through the sky\U-U-U-U-Unrequited love!\This is actually pretty good...\Mio-chan, Mio-chan!\TL Note: Kappa, literally meaning river-child, is a water sprite found in Japanese folklore.\What the hell is this?\Kappa? response:	Why a kappa all of the sudden?
context: I'm flying through the sky\U-U-U-U-Unrequited love!\This is actually pretty good...\Mio-chan, Mio-chan!\TL Note: Kappa, literally meaning river-child, is a water sprite found in Japanese folklore.\What the hell is this?\Kappa?\Why a kappa all of the sudden? response:	Moreover, what does she mean by is cool, isn't it?...
context: U-U-U-U-Unrequited love!\This is actually pretty good...\Mio-chan, Mio-chan!\TL Note: Kappa, literally meaning river-child, is a water sprite found in Japanese folklore.\What the hell is this?\Kappa?\Why a kappa all of the sudden?\Moreover, what does she mean by is cool, isn't it?... response:	But...
context: This is actually pretty good...\Mio-chan, Mio-chan!\TL Note: Kappa, literally meaning river-child, is a water sprite found in Japanese folklore.\What the hell is this?\Kappa?\Why a kappa all of the sudden?\Moreover, what does she mean by is cool, isn't it?...\But... response:	Next time, I might want to draw something in fantasy that's interesting and strong.
context: Mio-chan, Mio-chan!\TL Note: Kappa, literally meaning river-child, is a water sprite found in Japanese folklore.\What the hell is this?\Kappa?\Why a kappa all of the sudden?\Moreover, what does she mean by is cool, isn't it?...\But...\Next time, I might want to draw something in fantasy that's interesting and strong. response:	Something like a Daidarabotchi and a kappa.
context: TL Note: Kappa, literally meaning river-child, is a water sprite found in Japanese folklore.\What the hell is this?\Kappa?\Why a kappa all of the sudden?\Moreover, what does she mean by is cool, isn't it?...\But...\Next time, I might want to draw something in fantasy that's interesting and strong.\Something like a Daidarabotchi and a kappa. response:	TL Note: Daidarabotchi is a gigantic demon in Japanese mythology.
context: What the hell is this?\Kappa?\Why a kappa all of the sudden?\Moreover, what does she mean by is cool, isn't it?...\But...\Next time, I might want to draw something in fantasy that's interesting and strong.\Something like a Daidarabotchi and a kappa.\TL Note: Daidarabotchi is a gigantic demon in Japanese mythology. response:	Kappa... Heh, I guess he will be the uke.
context: Kappa?\Why a kappa all of the sudden?\Moreover, what does she mean by is cool, isn't it?...\But...\Next time, I might want to draw something in fantasy that's interesting and strong.\Something like a Daidarabotchi and a kappa.\TL Note: Daidarabotchi is a gigantic demon in Japanese mythology.\Kappa... Heh, I guess he will be the uke. response:	TL Note: In yaoi, uke refers to the more feminine partner.
context: Why a kappa all of the sudden?\Moreover, what does she mean by is cool, isn't it?...\But...\Next time, I might want to draw something in fantasy that's interesting and strong.\Something like a Daidarabotchi and a kappa.\TL Note: Daidarabotchi is a gigantic demon in Japanese mythology.\Kappa... Heh, I guess he will be the uke.\TL Note: In yaoi, uke refers to the more feminine partner. response:	Kappa, kappa, huh?
context: Moreover, what does she mean by is cool, isn't it?...\But...\Next time, I might want to draw something in fantasy that's interesting and strong.\Something like a Daidarabotchi and a kappa.\TL Note: Daidarabotchi is a gigantic demon in Japanese mythology.\Kappa... Heh, I guess he will be the uke.\TL Note: In yaoi, uke refers to the more feminine partner.\Kappa, kappa, huh? response:	Kappa...
context: But...\Next time, I might want to draw something in fantasy that's interesting and strong.\Something like a Daidarabotchi and a kappa.\TL Note: Daidarabotchi is a gigantic demon in Japanese mythology.\Kappa... Heh, I guess he will be the uke.\TL Note: In yaoi, uke refers to the more feminine partner.\Kappa, kappa, huh?\Kappa... response:	Kappapaa... pa... pa...
context: Next time, I might want to draw something in fantasy that's interesting and strong.\Something like a Daidarabotchi and a kappa.\TL Note: Daidarabotchi is a gigantic demon in Japanese mythology.\Kappa... Heh, I guess he will be the uke.\TL Note: In yaoi, uke refers to the more feminine partner.\Kappa, kappa, huh?\Kappa...\Kappapaa... pa... pa... response:	Parasite.
context: Something like a Daidarabotchi and a kappa.\TL Note: Daidarabotchi is a gigantic demon in Japanese mythology.\Kappa... Heh, I guess he will be the uke.\TL Note: In yaoi, uke refers to the more feminine partner.\Kappa, kappa, huh?\Kappa...\Kappapaa... pa... pa...\Parasite. response:	With this, maybe we can just play shiritori.
context: TL Note: Daidarabotchi is a gigantic demon in Japanese mythology.\Kappa... Heh, I guess he will be the uke.\TL Note: In yaoi, uke refers to the more feminine partner.\Kappa, kappa, huh?\Kappa...\Kappapaa... pa... pa...\Parasite.\With this, maybe we can just play shiritori. response:	TL note: Shiritori is a Japanese word game in which the players are required to say a word which begins with the final kana of the previous word.
context: Kappa... Heh, I guess he will be the uke.\TL Note: In yaoi, uke refers to the more feminine partner.\Kappa, kappa, huh?\Kappa...\Kappapaa... pa... pa...\Parasite.\With this, maybe we can just play shiritori.\TL note: Shiritori is a Japanese word game in which the players are required to say a word which begins with the final kana of the previous word. response:	Yukko.
context: TL Note: In yaoi, uke refers to the more feminine partner.\Kappa, kappa, huh?\Kappa...\Kappapaa... pa... pa...\Parasite.\With this, maybe we can just play shiritori.\TL note: Shiritori is a Japanese word game in which the players are required to say a word which begins with the final kana of the previous word.\Yukko. response:	Thanks.
context: Kappa, kappa, huh?\Kappa...\Kappapaa... pa... pa...\Parasite.\With this, maybe we can just play shiritori.\TL note: Shiritori is a Japanese word game in which the players are required to say a word which begins with the final kana of the previous word.\Yukko.\Thanks. response:	Parashite?
context: Kappa...\Kappapaa... pa... pa...\Parasite.\With this, maybe we can just play shiritori.\TL note: Shiritori is a Japanese word game in which the players are required to say a word which begins with the final kana of the previous word.\Yukko.\Thanks.\Parashite? response:	TL Note: In Japanese, parasite is read as Perasaito, but Yukko read it as Parashite.
context: Kappapaa... pa... pa...\Parasite.\With this, maybe we can just play shiritori.\TL note: Shiritori is a Japanese word game in which the players are required to say a word which begins with the final kana of the previous word.\Yukko.\Thanks.\Parashite?\TL Note: In Japanese, parasite is read as Perasaito, but Yukko read it as Parashite. response:	This is what a parashite's meant to be like?
context: Parasite.\With this, maybe we can just play shiritori.\TL note: Shiritori is a Japanese word game in which the players are required to say a word which begins with the final kana of the previous word.\Yukko.\Thanks.\Parashite?\TL Note: In Japanese, parasite is read as Perasaito, but Yukko read it as Parashite.\This is what a parashite's meant to be like? response:	Having this arrow means...
context: With this, maybe we can just play shiritori.\TL note: Shiritori is a Japanese word game in which the players are required to say a word which begins with the final kana of the previous word.\Yukko.\Thanks.\Parashite?\TL Note: In Japanese, parasite is read as Perasaito, but Yukko read it as Parashite.\This is what a parashite's meant to be like?\Having this arrow means... response:	I see. She's inviting me to a game of shiritori.
context: TL note: Shiritori is a Japanese word game in which the players are required to say a word which begins with the final kana of the previous word.\Yukko.\Thanks.\Parashite?\TL Note: In Japanese, parasite is read as Perasaito, but Yukko read it as Parashite.\This is what a parashite's meant to be like?\Having this arrow means...\I see. She's inviting me to a game of shiritori. response:	I'll accept it.
context: Yukko.\Thanks.\Parashite?\TL Note: In Japanese, parasite is read as Perasaito, but Yukko read it as Parashite.\This is what a parashite's meant to be like?\Having this arrow means...\I see. She's inviting me to a game of shiritori.\I'll accept it. response:	Hmm... Parashite...
context: Thanks.\Parashite?\TL Note: In Japanese, parasite is read as Perasaito, but Yukko read it as Parashite.\This is what a parashite's meant to be like?\Having this arrow means...\I see. She's inviting me to a game of shiritori.\I'll accept it.\Hmm... Parashite... response:	Te... Te... OK.
context: Parashite?\TL Note: In Japanese, parasite is read as Perasaito, but Yukko read it as Parashite.\This is what a parashite's meant to be like?\Having this arrow means...\I see. She's inviting me to a game of shiritori.\I'll accept it.\Hmm... Parashite...\Te... Te... OK. response:	So big!
context: TL Note: In Japanese, parasite is read as Perasaito, but Yukko read it as Parashite.\This is what a parashite's meant to be like?\Having this arrow means...\I see. She's inviting me to a game of shiritori.\I'll accept it.\Hmm... Parashite...\Te... Te... OK.\So big! response:	Moreover, a tengu...
context: This is what a parashite's meant to be like?\Having this arrow means...\I see. She's inviting me to a game of shiritori.\I'll accept it.\Hmm... Parashite...\Te... Te... OK.\So big!\Moreover, a tengu... response:	She read parasite's to as te.
context: Having this arrow means...\I see. She's inviting me to a game of shiritori.\I'll accept it.\Hmm... Parashite...\Te... Te... OK.\So big!\Moreover, a tengu...\She read parasite's to as te. response:	Oh, well. A tengu, huh?
context: I see. She's inviting me to a game of shiritori.\I'll accept it.\Hmm... Parashite...\Te... Te... OK.\So big!\Moreover, a tengu...\She read parasite's to as te.\Oh, well. A tengu, huh? response:	Tengu... gu... gu... gu...
context: I'll accept it.\Hmm... Parashite...\Te... Te... OK.\So big!\Moreover, a tengu...\She read parasite's to as te.\Oh, well. A tengu, huh?\Tengu... gu... gu... gu... response:	N-No way!
context: Hmm... Parashite...\Te... Te... OK.\So big!\Moreover, a tengu...\She read parasite's to as te.\Oh, well. A tengu, huh?\Tengu... gu... gu... gu...\N-No way! response:	Tengo!!
context: Te... Te... OK.\So big!\Moreover, a tengu...\She read parasite's to as te.\Oh, well. A tengu, huh?\Tengu... gu... gu... gu...\N-No way!\Tengo!! response:	What the hell is a tengo?! What's a tengo?!
context: So big!\Moreover, a tengu...\She read parasite's to as te.\Oh, well. A tengu, huh?\Tengu... gu... gu... gu...\N-No way!\Tengo!!\What the hell is a tengo?! What's a tengo?! response:	No! Wait a minute!
context: Moreover, a tengu...\She read parasite's to as te.\Oh, well. A tengu, huh?\Tengu... gu... gu... gu...\N-No way!\Tengo!!\What the hell is a tengo?! What's a tengo?!\No! Wait a minute! response:	There's no way a high school student would make such a childish mistake.
context: She read parasite's to as te.\Oh, well. A tengu, huh?\Tengu... gu... gu... gu...\N-No way!\Tengo!!\What the hell is a tengo?! What's a tengo?!\No! Wait a minute!\There's no way a high school student would make such a childish mistake. response:	I mean, she already drew a picture of tengu and still wrote down what it was.
context: Oh, well. A tengu, huh?\Tengu... gu... gu... gu...\N-No way!\Tengo!!\What the hell is a tengo?! What's a tengo?!\No! Wait a minute!\There's no way a high school student would make such a childish mistake.\I mean, she already drew a picture of tengu and still wrote down what it was. response:	I don't get it.
context: Tengu... gu... gu... gu...\N-No way!\Tengo!!\What the hell is a tengo?! What's a tengo?!\No! Wait a minute!\There's no way a high school student would make such a childish mistake.\I mean, she already drew a picture of tengu and still wrote down what it was.\I don't get it. response:	I don't really understand, but...
context: N-No way!\Tengo!!\What the hell is a tengo?! What's a tengo?!\No! Wait a minute!\There's no way a high school student would make such a childish mistake.\I mean, she already drew a picture of tengu and still wrote down what it was.\I don't get it.\I don't really understand, but... response:	I guess I'll go with go here.
context: Tengo!!\What the hell is a tengo?! What's a tengo?!\No! Wait a minute!\There's no way a high school student would make such a childish mistake.\I mean, she already drew a picture of tengu and still wrote down what it was.\I don't get it.\I don't really understand, but...\I guess I'll go with go here. response:	Here.
context: What the hell is a tengo?! What's a tengo?!\No! Wait a minute!\There's no way a high school student would make such a childish mistake.\I mean, she already drew a picture of tengu and still wrote down what it was.\I don't get it.\I don't really understand, but...\I guess I'll go with go here.\Here. response:	What's with this Goku drawn out of boredom?
context: No! Wait a minute!\There's no way a high school student would make such a childish mistake.\I mean, she already drew a picture of tengu and still wrote down what it was.\I don't get it.\I don't really understand, but...\I guess I'll go with go here.\Here.\What's with this Goku drawn out of boredom? response:	TL Note: Goku is a character from a classical Chinese novel Journey To The West.
context: There's no way a high school student would make such a childish mistake.\I mean, she already drew a picture of tengu and still wrote down what it was.\I don't get it.\I don't really understand, but...\I guess I'll go with go here.\Here.\What's with this Goku drawn out of boredom?\TL Note: Goku is a character from a classical Chinese novel Journey To The West. response:	Huh... Wait... Goku? I'm pretty sure I drew a tengu just now...
context: I mean, she already drew a picture of tengu and still wrote down what it was.\I don't get it.\I don't really understand, but...\I guess I'll go with go here.\Here.\What's with this Goku drawn out of boredom?\TL Note: Goku is a character from a classical Chinese novel Journey To The West.\Huh... Wait... Goku? I'm pretty sure I drew a tengu just now... response:	Well, I can understand how she could mistake gu for go.
context: I don't get it.\I don't really understand, but...\I guess I'll go with go here.\Here.\What's with this Goku drawn out of boredom?\TL Note: Goku is a character from a classical Chinese novel Journey To The West.\Huh... Wait... Goku? I'm pretty sure I drew a tengu just now...\Well, I can understand how she could mistake gu for go. response:	I'll get juice from her later for this.
context: I don't really understand, but...\I guess I'll go with go here.\Here.\What's with this Goku drawn out of boredom?\TL Note: Goku is a character from a classical Chinese novel Journey To The West.\Huh... Wait... Goku? I'm pretty sure I drew a tengu just now...\Well, I can understand how she could mistake gu for go.\I'll get juice from her later for this. response:	Now, it's u... u... u... OK!
context: I guess I'll go with go here.\Here.\What's with this Goku drawn out of boredom?\TL Note: Goku is a character from a classical Chinese novel Journey To The West.\Huh... Wait... Goku? I'm pretty sure I drew a tengu just now...\Well, I can understand how she could mistake gu for go.\I'll get juice from her later for this.\Now, it's u... u... u... OK! response:	A sea urchin? No, a rabbit.
context: Here.\What's with this Goku drawn out of boredom?\TL Note: Goku is a character from a classical Chinese novel Journey To The West.\Huh... Wait... Goku? I'm pretty sure I drew a tengu just now...\Well, I can understand how she could mistake gu for go.\I'll get juice from her later for this.\Now, it's u... u... u... OK!\A sea urchin? No, a rabbit. response:	TL Note: Sea urchin is uni, and rabbit is usagi, or usa for short, in Japanese.
context: What's with this Goku drawn out of boredom?\TL Note: Goku is a character from a classical Chinese novel Journey To The West.\Huh... Wait... Goku? I'm pretty sure I drew a tengu just now...\Well, I can understand how she could mistake gu for go.\I'll get juice from her later for this.\Now, it's u... u... u... OK!\A sea urchin? No, a rabbit.\TL Note: Sea urchin is uni, and rabbit is usagi, or usa for short, in Japanese. response:	It's a cow?!
context: TL Note: Goku is a character from a classical Chinese novel Journey To The West.\Huh... Wait... Goku? I'm pretty sure I drew a tengu just now...\Well, I can understand how she could mistake gu for go.\I'll get juice from her later for this.\Now, it's u... u... u... OK!\A sea urchin? No, a rabbit.\TL Note: Sea urchin is uni, and rabbit is usagi, or usa for short, in Japanese.\It's a cow?! response:	TL note: Cow is ushi in Japanese.
context: Huh... Wait... Goku? I'm pretty sure I drew a tengu just now...\Well, I can understand how she could mistake gu for go.\I'll get juice from her later for this.\Now, it's u... u... u... OK!\A sea urchin? No, a rabbit.\TL Note: Sea urchin is uni, and rabbit is usagi, or usa for short, in Japanese.\It's a cow?!\TL note: Cow is ushi in Japanese. response:	This cow is beyond terrible...
context: Well, I can understand how she could mistake gu for go.\I'll get juice from her later for this.\Now, it's u... u... u... OK!\A sea urchin? No, a rabbit.\TL Note: Sea urchin is uni, and rabbit is usagi, or usa for short, in Japanese.\It's a cow?!\TL note: Cow is ushi in Japanese.\This cow is beyond terrible... response:	Here.
context: I'll get juice from her later for this.\Now, it's u... u... u... OK!\A sea urchin? No, a rabbit.\TL Note: Sea urchin is uni, and rabbit is usagi, or usa for short, in Japanese.\It's a cow?!\TL note: Cow is ushi in Japanese.\This cow is beyond terrible...\Here. response:	Tongue! She came at me with the tongue!
context: Now, it's u... u... u... OK!\A sea urchin? No, a rabbit.\TL Note: Sea urchin is uni, and rabbit is usagi, or usa for short, in Japanese.\It's a cow?!\TL note: Cow is ushi in Japanese.\This cow is beyond terrible...\Here.\Tongue! She came at me with the tongue! response:	TL note: In Japanese, tongue is shita.
context: A sea urchin? No, a rabbit.\TL Note: Sea urchin is uni, and rabbit is usagi, or usa for short, in Japanese.\It's a cow?!\TL note: Cow is ushi in Japanese.\This cow is beyond terrible...\Here.\Tongue! She came at me with the tongue!\TL note: In Japanese, tongue is shita. response:	Then, it's ta.
context: TL Note: Sea urchin is uni, and rabbit is usagi, or usa for short, in Japanese.\It's a cow?!\TL note: Cow is ushi in Japanese.\This cow is beyond terrible...\Here.\Tongue! She came at me with the tongue!\TL note: In Japanese, tongue is shita.\Then, it's ta. response:	Ta... ta...
context: It's a cow?!\TL note: Cow is ushi in Japanese.\This cow is beyond terrible...\Here.\Tongue! She came at me with the tongue!\TL note: In Japanese, tongue is shita.\Then, it's ta.\Ta... ta... response:	Taxi... Ta...
context: TL note: Cow is ushi in Japanese.\This cow is beyond terrible...\Here.\Tongue! She came at me with the tongue!\TL note: In Japanese, tongue is shita.\Then, it's ta.\Ta... ta...\Taxi... Ta... response:	W-Why are you doing this?!
context: This cow is beyond terrible...\Here.\Tongue! She came at me with the tongue!\TL note: In Japanese, tongue is shita.\Then, it's ta.\Ta... ta...\Taxi... Ta...\W-Why are you doing this?! response:	If you write it like this, it isn't a taxi. It's a taxy!!!
context: Here.\Tongue! She came at me with the tongue!\TL note: In Japanese, tongue is shita.\Then, it's ta.\Ta... ta...\Taxi... Ta...\W-Why are you doing this?!\If you write it like this, it isn't a taxi. It's a taxy!!! response:	I'm just going to write down whatever works.
