context: Lets have a White Festival! response:	Yeah, let's do it.
context: Well figure it out.\We'll find a way somehow...\Music Practice Room Two\Choir Club Culture Fair Beauties and the Frogs Script - Miyamoto - Wakana to coach everyone on their song parts\Whats the best case scenario?\Choreography - Sawa Set - Tanaka Props - Wien Costumes - Wein? Stage Crew - Everyone (17 days to go)\That we get the school's permission.\And that people from other clubs join us. response:	Basically, a regular culture fair
context: We'll find a way somehow...\Music Practice Room Two\Choir Club Culture Fair Beauties and the Frogs Script - Miyamoto - Wakana to coach everyone on their song parts\Whats the best case scenario?\Choreography - Sawa Set - Tanaka Props - Wien Costumes - Wein? Stage Crew - Everyone (17 days to go)\That we get the school's permission.\And that people from other clubs join us.\Basically, a regular culture fair response:	where loads of people come.
context: Music Practice Room Two\Choir Club Culture Fair Beauties and the Frogs Script - Miyamoto - Wakana to coach everyone on their song parts\Whats the best case scenario?\Choreography - Sawa Set - Tanaka Props - Wien Costumes - Wein? Stage Crew - Everyone (17 days to go)\That we get the school's permission.\And that people from other clubs join us.\Basically, a regular culture fair\where loads of people come. response:	Then, worst case would be that the school doesn't allow it?
context: Choir Club Culture Fair Beauties and the Frogs Script - Miyamoto - Wakana to coach everyone on their song parts\Whats the best case scenario?\Choreography - Sawa Set - Tanaka Props - Wien Costumes - Wein? Stage Crew - Everyone (17 days to go)\That we get the school's permission.\And that people from other clubs join us.\Basically, a regular culture fair\where loads of people come.\Then, worst case would be that the school doesn't allow it? response:	And that we sing, alone, in an empty gym?
context: Whats the best case scenario?\Choreography - Sawa Set - Tanaka Props - Wien Costumes - Wein? Stage Crew - Everyone (17 days to go)\That we get the school's permission.\And that people from other clubs join us.\Basically, a regular culture fair\where loads of people come.\Then, worst case would be that the school doesn't allow it?\And that we sing, alone, in an empty gym? response:	The worst would be if we can't sing at all!
context: Choreography - Sawa Set - Tanaka Props - Wien Costumes - Wein? Stage Crew - Everyone (17 days to go)\That we get the school's permission.\And that people from other clubs join us.\Basically, a regular culture fair\where loads of people come.\Then, worst case would be that the school doesn't allow it?\And that we sing, alone, in an empty gym?\The worst would be if we can't sing at all! response:	That won't happen.
context: That we get the school's permission.\And that people from other clubs join us.\Basically, a regular culture fair\where loads of people come.\Then, worst case would be that the school doesn't allow it?\And that we sing, alone, in an empty gym?\The worst would be if we can't sing at all!\That won't happen. response:	But Id still prefer to have a large audience.
context: And that people from other clubs join us.\Basically, a regular culture fair\where loads of people come.\Then, worst case would be that the school doesn't allow it?\And that we sing, alone, in an empty gym?\The worst would be if we can't sing at all!\That won't happen.\But Id still prefer to have a large audience. response:	If we can sing this song together,
context: Basically, a regular culture fair\where loads of people come.\Then, worst case would be that the school doesn't allow it?\And that we sing, alone, in an empty gym?\The worst would be if we can't sing at all!\That won't happen.\But Id still prefer to have a large audience.\If we can sing this song together, response:	well think of each other whenever we hear it,
context: where loads of people come.\Then, worst case would be that the school doesn't allow it?\And that we sing, alone, in an empty gym?\The worst would be if we can't sing at all!\That won't happen.\But Id still prefer to have a large audience.\If we can sing this song together,\well think of each other whenever we hear it, response:	no matter how far were scattered after graduation.
context: Then, worst case would be that the school doesn't allow it?\And that we sing, alone, in an empty gym?\The worst would be if we can't sing at all!\That won't happen.\But Id still prefer to have a large audience.\If we can sing this song together,\well think of each other whenever we hear it,\no matter how far were scattered after graduation. response:	We'll remember being invited, and arguing, and...
context: And that we sing, alone, in an empty gym?\The worst would be if we can't sing at all!\That won't happen.\But Id still prefer to have a large audience.\If we can sing this song together,\well think of each other whenever we hear it,\no matter how far were scattered after graduation.\We'll remember being invited, and arguing, and... response:	Getting mad, and laughing, and...
context: The worst would be if we can't sing at all!\That won't happen.\But Id still prefer to have a large audience.\If we can sing this song together,\well think of each other whenever we hear it,\no matter how far were scattered after graduation.\We'll remember being invited, and arguing, and...\Getting mad, and laughing, and... response:	Fighting, and losing, and...
context: That won't happen.\But Id still prefer to have a large audience.\If we can sing this song together,\well think of each other whenever we hear it,\no matter how far were scattered after graduation.\We'll remember being invited, and arguing, and...\Getting mad, and laughing, and...\Fighting, and losing, and... response:	Saying weird things, and...
context: But Id still prefer to have a large audience.\If we can sing this song together,\well think of each other whenever we hear it,\no matter how far were scattered after graduation.\We'll remember being invited, and arguing, and...\Getting mad, and laughing, and...\Fighting, and losing, and...\Saying weird things, and... response:	Meeting great friends!
context: If we can sing this song together,\well think of each other whenever we hear it,\no matter how far were scattered after graduation.\We'll remember being invited, and arguing, and...\Getting mad, and laughing, and...\Fighting, and losing, and...\Saying weird things, and...\Meeting great friends! response:	If a whole crowd of people share that fun memory
context: well think of each other whenever we hear it,\no matter how far were scattered after graduation.\We'll remember being invited, and arguing, and...\Getting mad, and laughing, and...\Fighting, and losing, and...\Saying weird things, and...\Meeting great friends!\If a whole crowd of people share that fun memory response:	with us by listening to our song,
context: no matter how far were scattered after graduation.\We'll remember being invited, and arguing, and...\Getting mad, and laughing, and...\Fighting, and losing, and...\Saying weird things, and...\Meeting great friends!\If a whole crowd of people share that fun memory\with us by listening to our song, response:	remembering that would be
context: We'll remember being invited, and arguing, and...\Getting mad, and laughing, and...\Fighting, and losing, and...\Saying weird things, and...\Meeting great friends!\If a whole crowd of people share that fun memory\with us by listening to our song,\remembering that would be response:	an encouragement to me, always.
context: Getting mad, and laughing, and...\Fighting, and losing, and...\Saying weird things, and...\Meeting great friends!\If a whole crowd of people share that fun memory\with us by listening to our song,\remembering that would be\an encouragement to me, always. response:	Yeah!
context: Fighting, and losing, and...\Saying weird things, and...\Meeting great friends!\If a whole crowd of people share that fun memory\with us by listening to our song,\remembering that would be\an encouragement to me, always.\Yeah! response:	All right, then weve gotta make this happen.
context: Saying weird things, and...\Meeting great friends!\If a whole crowd of people share that fun memory\with us by listening to our song,\remembering that would be\an encouragement to me, always.\Yeah!\All right, then weve gotta make this happen. response:	Yeah, let's make it a performance to remember!
context: Meeting great friends!\If a whole crowd of people share that fun memory\with us by listening to our song,\remembering that would be\an encouragement to me, always.\Yeah!\All right, then weve gotta make this happen.\Yeah, let's make it a performance to remember! response:	Let's pour everything into this song
context: If a whole crowd of people share that fun memory\with us by listening to our song,\remembering that would be\an encouragement to me, always.\Yeah!\All right, then weve gotta make this happen.\Yeah, let's make it a performance to remember!\Let's pour everything into this song response:	and step out into the future!
context: with us by listening to our song,\remembering that would be\an encouragement to me, always.\Yeah!\All right, then weve gotta make this happen.\Yeah, let's make it a performance to remember!\Let's pour everything into this song\and step out into the future! response:	So cool!
context: remembering that would be\an encouragement to me, always.\Yeah!\All right, then weve gotta make this happen.\Yeah, let's make it a performance to remember!\Let's pour everything into this song\and step out into the future!\So cool! response:	Why was I the only one?
context: an encouragement to me, always.\Yeah!\All right, then weve gotta make this happen.\Yeah, let's make it a performance to remember!\Let's pour everything into this song\and step out into the future!\So cool!\Why was I the only one? response:	Episode 12 Piling Up and Rippling
context: Yeah!\All right, then weve gotta make this happen.\Yeah, let's make it a performance to remember!\Let's pour everything into this song\and step out into the future!\So cool!\Why was I the only one?\Episode 12 Piling Up and Rippling response:	We're collecting the trash from the culture fair as well,
context: All right, then weve gotta make this happen.\Yeah, let's make it a performance to remember!\Let's pour everything into this song\and step out into the future!\So cool!\Why was I the only one?\Episode 12 Piling Up and Rippling\We're collecting the trash from the culture fair as well, response:	so please deposit it by the parking lot.
context: Yeah, let's make it a performance to remember!\Let's pour everything into this song\and step out into the future!\So cool!\Why was I the only one?\Episode 12 Piling Up and Rippling\We're collecting the trash from the culture fair as well,\so please deposit it by the parking lot. response:	Okay.
context: Let's pour everything into this song\and step out into the future!\So cool!\Why was I the only one?\Episode 12 Piling Up and Rippling\We're collecting the trash from the culture fair as well,\so please deposit it by the parking lot.\Okay. response:	Defective Metronomes Culture Fair Props (Made by Maeda)
context: and step out into the future!\So cool!\Why was I the only one?\Episode 12 Piling Up and Rippling\We're collecting the trash from the culture fair as well,\so please deposit it by the parking lot.\Okay.\Defective Metronomes Culture Fair Props (Made by Maeda) response:	Okita!
context: So cool!\Why was I the only one?\Episode 12 Piling Up and Rippling\We're collecting the trash from the culture fair as well,\so please deposit it by the parking lot.\Okay.\Defective Metronomes Culture Fair Props (Made by Maeda)\Okita! response:	You scared me. What's up?
context: Why was I the only one?\Episode 12 Piling Up and Rippling\We're collecting the trash from the culture fair as well,\so please deposit it by the parking lot.\Okay.\Defective Metronomes Culture Fair Props (Made by Maeda)\Okita!\You scared me. What's up? response:	Could I, um,
context: Episode 12 Piling Up and Rippling\We're collecting the trash from the culture fair as well,\so please deposit it by the parking lot.\Okay.\Defective Metronomes Culture Fair Props (Made by Maeda)\Okita!\You scared me. What's up?\Could I, um, response:	take your picture?
context: We're collecting the trash from the culture fair as well,\so please deposit it by the parking lot.\Okay.\Defective Metronomes Culture Fair Props (Made by Maeda)\Okita!\You scared me. What's up?\Could I, um,\take your picture? response:	What?
context: so please deposit it by the parking lot.\Okay.\Defective Metronomes Culture Fair Props (Made by Maeda)\Okita!\You scared me. What's up?\Could I, um,\take your picture?\What? response:	Um, yeah, I was just...
context: Okay.\Defective Metronomes Culture Fair Props (Made by Maeda)\Okita!\You scared me. What's up?\Could I, um,\take your picture?\What?\Um, yeah, I was just... response:	Why?
context: Defective Metronomes Culture Fair Props (Made by Maeda)\Okita!\You scared me. What's up?\Could I, um,\take your picture?\What?\Um, yeah, I was just...\Why? response:	Hamachi... I mean,
context: Okita!\You scared me. What's up?\Could I, um,\take your picture?\What?\Um, yeah, I was just...\Why?\Hamachi... I mean, response:	I owe this guy a picture of you,
context: You scared me. What's up?\Could I, um,\take your picture?\What?\Um, yeah, I was just...\Why?\Hamachi... I mean,\I owe this guy a picture of you, response:	for helping me paint the sets.
context: Could I, um,\take your picture?\What?\Um, yeah, I was just...\Why?\Hamachi... I mean,\I owe this guy a picture of you,\for helping me paint the sets. response:	But you know what, never mind.
context: take your picture?\What?\Um, yeah, I was just...\Why?\Hamachi... I mean,\I owe this guy a picture of you,\for helping me paint the sets.\But you know what, never mind. response:	Sorry for even mentioning it.
context: What?\Um, yeah, I was just...\Why?\Hamachi... I mean,\I owe this guy a picture of you,\for helping me paint the sets.\But you know what, never mind.\Sorry for even mentioning it. response:	I don't mind.
context: Um, yeah, I was just...\Why?\Hamachi... I mean,\I owe this guy a picture of you,\for helping me paint the sets.\But you know what, never mind.\Sorry for even mentioning it.\I don't mind. response:	What?
context: Why?\Hamachi... I mean,\I owe this guy a picture of you,\for helping me paint the sets.\But you know what, never mind.\Sorry for even mentioning it.\I don't mind.\What? response:	But make sure its flattering.
context: Hamachi... I mean,\I owe this guy a picture of you,\for helping me paint the sets.\But you know what, never mind.\Sorry for even mentioning it.\I don't mind.\What?\But make sure its flattering. response:	S-Sure.
context: I owe this guy a picture of you,\for helping me paint the sets.\But you know what, never mind.\Sorry for even mentioning it.\I don't mind.\What?\But make sure its flattering.\S-Sure. response:	You'll have to take it from above.
context: for helping me paint the sets.\But you know what, never mind.\Sorry for even mentioning it.\I don't mind.\What?\But make sure its flattering.\S-Sure.\You'll have to take it from above. response:	Does it make a difference?
context: But you know what, never mind.\Sorry for even mentioning it.\I don't mind.\What?\But make sure its flattering.\S-Sure.\You'll have to take it from above.\Does it make a difference? response:	Just do it.
context: Sorry for even mentioning it.\I don't mind.\What?\But make sure its flattering.\S-Sure.\You'll have to take it from above.\Does it make a difference?\Just do it. response:	Hurry up.
context: I don't mind.\What?\But make sure its flattering.\S-Sure.\You'll have to take it from above.\Does it make a difference?\Just do it.\Hurry up. response:	Okay, that looks good.
context: What?\But make sure its flattering.\S-Sure.\You'll have to take it from above.\Does it make a difference?\Just do it.\Hurry up.\Okay, that looks good. response:	Tell the guy I'll have a horse stomp on him
context: But make sure its flattering.\S-Sure.\You'll have to take it from above.\Does it make a difference?\Just do it.\Hurry up.\Okay, that looks good.\Tell the guy I'll have a horse stomp on him response:	if the quality of his work is too low.
context: S-Sure.\You'll have to take it from above.\Does it make a difference?\Just do it.\Hurry up.\Okay, that looks good.\Tell the guy I'll have a horse stomp on him\if the quality of his work is too low. response:	Sure, thanks.
context: You'll have to take it from above.\Does it make a difference?\Just do it.\Hurry up.\Okay, that looks good.\Tell the guy I'll have a horse stomp on him\if the quality of his work is too low.\Sure, thanks. response:	Tanaka, Im impressed!
context: Does it make a difference?\Just do it.\Hurry up.\Okay, that looks good.\Tell the guy I'll have a horse stomp on him\if the quality of his work is too low.\Sure, thanks.\Tanaka, Im impressed! response:	Thanks, I guess.
context: Just do it.\Hurry up.\Okay, that looks good.\Tell the guy I'll have a horse stomp on him\if the quality of his work is too low.\Sure, thanks.\Tanaka, Im impressed!\Thanks, I guess. response:	Oh, what a goddess!
context: Hurry up.\Okay, that looks good.\Tell the guy I'll have a horse stomp on him\if the quality of his work is too low.\Sure, thanks.\Tanaka, Im impressed!\Thanks, I guess.\Oh, what a goddess! response:	Look at this line... It's perfect.
context: Okay, that looks good.\Tell the guy I'll have a horse stomp on him\if the quality of his work is too low.\Sure, thanks.\Tanaka, Im impressed!\Thanks, I guess.\Oh, what a goddess!\Look at this line... It's perfect. response:	She said she'd have a horse stomp on you if the quality sucks.
context: Tell the guy I'll have a horse stomp on him\if the quality of his work is too low.\Sure, thanks.\Tanaka, Im impressed!\Thanks, I guess.\Oh, what a goddess!\Look at this line... It's perfect.\She said she'd have a horse stomp on you if the quality sucks. response:	I wouldnt mind being stomped on by her!
context: if the quality of his work is too low.\Sure, thanks.\Tanaka, Im impressed!\Thanks, I guess.\Oh, what a goddess!\Look at this line... It's perfect.\She said she'd have a horse stomp on you if the quality sucks.\I wouldnt mind being stomped on by her! response:	Okay, leave the rest to me!
context: Sure, thanks.\Tanaka, Im impressed!\Thanks, I guess.\Oh, what a goddess!\Look at this line... It's perfect.\She said she'd have a horse stomp on you if the quality sucks.\I wouldnt mind being stomped on by her!\Okay, leave the rest to me! response:	I think this part flows nicely, but it needs a bit more oomph.”
context: Tanaka, Im impressed!\Thanks, I guess.\Oh, what a goddess!\Look at this line... It's perfect.\She said she'd have a horse stomp on you if the quality sucks.\I wouldnt mind being stomped on by her!\Okay, leave the rest to me!\I think this part flows nicely, but it needs a bit more oomph.” response:	Got it.
context: Thanks, I guess.\Oh, what a goddess!\Look at this line... It's perfect.\She said she'd have a horse stomp on you if the quality sucks.\I wouldnt mind being stomped on by her!\Okay, leave the rest to me!\I think this part flows nicely, but it needs a bit more oomph.”\Got it. response:	Okay, from the top.
context: Oh, what a goddess!\Look at this line... It's perfect.\She said she'd have a horse stomp on you if the quality sucks.\I wouldnt mind being stomped on by her!\Okay, leave the rest to me!\I think this part flows nicely, but it needs a bit more oomph.”\Got it.\Okay, from the top. response:	Hey, whered Wien's props go?
context: Look at this line... It's perfect.\She said she'd have a horse stomp on you if the quality sucks.\I wouldnt mind being stomped on by her!\Okay, leave the rest to me!\I think this part flows nicely, but it needs a bit more oomph.”\Got it.\Okay, from the top.\Hey, whered Wien's props go? response:	Theyre gone?
context: She said she'd have a horse stomp on you if the quality sucks.\I wouldnt mind being stomped on by her!\Okay, leave the rest to me!\I think this part flows nicely, but it needs a bit more oomph.”\Got it.\Okay, from the top.\Hey, whered Wien's props go?\Theyre gone? response:	Would Konatsu have them?
context: I wouldnt mind being stomped on by her!\Okay, leave the rest to me!\I think this part flows nicely, but it needs a bit more oomph.”\Got it.\Okay, from the top.\Hey, whered Wien's props go?\Theyre gone?\Would Konatsu have them? response:	Where is she?
context: Okay, leave the rest to me!\I think this part flows nicely, but it needs a bit more oomph.”\Got it.\Okay, from the top.\Hey, whered Wien's props go?\Theyre gone?\Would Konatsu have them?\Where is she? response:	In a meeting, so she shouldn't have them.
context: I think this part flows nicely, but it needs a bit more oomph.”\Got it.\Okay, from the top.\Hey, whered Wien's props go?\Theyre gone?\Would Konatsu have them?\Where is she?\In a meeting, so she shouldn't have them. response:	So I was right...
context: Got it.\Okay, from the top.\Hey, whered Wien's props go?\Theyre gone?\Would Konatsu have them?\Where is she?\In a meeting, so she shouldn't have them.\So I was right... response:	I thought I saw someone with them earlier.
context: Okay, from the top.\Hey, whered Wien's props go?\Theyre gone?\Would Konatsu have them?\Where is she?\In a meeting, so she shouldn't have them.\So I was right...\I thought I saw someone with them earlier. response:	There they are!
context: Hey, whered Wien's props go?\Theyre gone?\Would Konatsu have them?\Where is she?\In a meeting, so she shouldn't have them.\So I was right...\I thought I saw someone with them earlier.\There they are! response:	I'll go to the dump!
context: Theyre gone?\Would Konatsu have them?\Where is she?\In a meeting, so she shouldn't have them.\So I was right...\I thought I saw someone with them earlier.\There they are!\I'll go to the dump! response:	Me, too!
context: Would Konatsu have them?\Where is she?\In a meeting, so she shouldn't have them.\So I was right...\I thought I saw someone with them earlier.\There they are!\I'll go to the dump!\Me, too! response:	As the White Festivals been canceled, any leftover budget
context: Where is she?\In a meeting, so she shouldn't have them.\So I was right...\I thought I saw someone with them earlier.\There they are!\I'll go to the dump!\Me, too!\As the White Festivals been canceled, any leftover budget response:	funds should be returned to the school and
context: In a meeting, so she shouldn't have them.\So I was right...\I thought I saw someone with them earlier.\There they are!\I'll go to the dump!\Me, too!\As the White Festivals been canceled, any leftover budget\funds should be returned to the school and response:	Objection!
context: So I was right...\I thought I saw someone with them earlier.\There they are!\I'll go to the dump!\Me, too!\As the White Festivals been canceled, any leftover budget\funds should be returned to the school and\Objection! response:	Pardon me?
context: I thought I saw someone with them earlier.\There they are!\I'll go to the dump!\Me, too!\As the White Festivals been canceled, any leftover budget\funds should be returned to the school and\Objection!\Pardon me? response:	I propose a cancellation of the cancellation of the White Festival!
context: There they are!\I'll go to the dump!\Me, too!\As the White Festivals been canceled, any leftover budget\funds should be returned to the school and\Objection!\Pardon me?\I propose a cancellation of the cancellation of the White Festival! response:	The cancellation's already happened.
context: I'll go to the dump!\Me, too!\As the White Festivals been canceled, any leftover budget\funds should be returned to the school and\Objection!\Pardon me?\I propose a cancellation of the cancellation of the White Festival!\The cancellation's already happened. response:	And youre okay with that?
context: Me, too!\As the White Festivals been canceled, any leftover budget\funds should be returned to the school and\Objection!\Pardon me?\I propose a cancellation of the cancellation of the White Festival!\The cancellation's already happened.\And youre okay with that? response:	We can't do anything about the school,
context: As the White Festivals been canceled, any leftover budget\funds should be returned to the school and\Objection!\Pardon me?\I propose a cancellation of the cancellation of the White Festival!\The cancellation's already happened.\And youre okay with that?\We can't do anything about the school, response:	but don't you find it questionable that they canceled
context: funds should be returned to the school and\Objection!\Pardon me?\I propose a cancellation of the cancellation of the White Festival!\The cancellation's already happened.\And youre okay with that?\We can't do anything about the school,\but don't you find it questionable that they canceled response:	the fair just because of some construction?
context: Objection!\Pardon me?\I propose a cancellation of the cancellation of the White Festival!\The cancellation's already happened.\And youre okay with that?\We can't do anything about the school,\but don't you find it questionable that they canceled\the fair just because of some construction? response:	We all put a lot of effort into getting ready!
context: Pardon me?\I propose a cancellation of the cancellation of the White Festival!\The cancellation's already happened.\And youre okay with that?\We can't do anything about the school,\but don't you find it questionable that they canceled\the fair just because of some construction?\We all put a lot of effort into getting ready! response:	So many people were looking forward to it!
context: I propose a cancellation of the cancellation of the White Festival!\The cancellation's already happened.\And youre okay with that?\We can't do anything about the school,\but don't you find it questionable that they canceled\the fair just because of some construction?\We all put a lot of effort into getting ready!\So many people were looking forward to it! response:	Maybe this isn't a big deal for those
context: The cancellation's already happened.\And youre okay with that?\We can't do anything about the school,\but don't you find it questionable that they canceled\the fair just because of some construction?\We all put a lot of effort into getting ready!\So many people were looking forward to it!\Maybe this isn't a big deal for those response:	who'll be in big competitions
context: And youre okay with that?\We can't do anything about the school,\but don't you find it questionable that they canceled\the fair just because of some construction?\We all put a lot of effort into getting ready!\So many people were looking forward to it!\Maybe this isn't a big deal for those\who'll be in big competitions response:	or pursuing professional careers,
context: We can't do anything about the school,\but don't you find it questionable that they canceled\the fair just because of some construction?\We all put a lot of effort into getting ready!\So many people were looking forward to it!\Maybe this isn't a big deal for those\who'll be in big competitions\or pursuing professional careers, response:	but some of us dont have any other stage to stand on!
context: but don't you find it questionable that they canceled\the fair just because of some construction?\We all put a lot of effort into getting ready!\So many people were looking forward to it!\Maybe this isn't a big deal for those\who'll be in big competitions\or pursuing professional careers,\but some of us dont have any other stage to stand on! response:	Personally, I dont want to become
context: the fair just because of some construction?\We all put a lot of effort into getting ready!\So many people were looking forward to it!\Maybe this isn't a big deal for those\who'll be in big competitions\or pursuing professional careers,\but some of us dont have any other stage to stand on!\Personally, I dont want to become response:	the kind of sad adult who blindly follows wrong directions
context: We all put a lot of effort into getting ready!\So many people were looking forward to it!\Maybe this isn't a big deal for those\who'll be in big competitions\or pursuing professional careers,\but some of us dont have any other stage to stand on!\Personally, I dont want to become\the kind of sad adult who blindly follows wrong directions response:	just because they came from above!
context: So many people were looking forward to it!\Maybe this isn't a big deal for those\who'll be in big competitions\or pursuing professional careers,\but some of us dont have any other stage to stand on!\Personally, I dont want to become\the kind of sad adult who blindly follows wrong directions\just because they came from above! response:	At least let the student council
context: Maybe this isn't a big deal for those\who'll be in big competitions\or pursuing professional careers,\but some of us dont have any other stage to stand on!\Personally, I dont want to become\the kind of sad adult who blindly follows wrong directions\just because they came from above!\At least let the student council response:	propose to keep the fair.
context: who'll be in big competitions\or pursuing professional careers,\but some of us dont have any other stage to stand on!\Personally, I dont want to become\the kind of sad adult who blindly follows wrong directions\just because they came from above!\At least let the student council\propose to keep the fair. response:	There wouldnt be enough time for our club to prepare a song.
context: or pursuing professional careers,\but some of us dont have any other stage to stand on!\Personally, I dont want to become\the kind of sad adult who blindly follows wrong directions\just because they came from above!\At least let the student council\propose to keep the fair.\There wouldnt be enough time for our club to prepare a song. response:	And you call us amateurs?!
context: but some of us dont have any other stage to stand on!\Personally, I dont want to become\the kind of sad adult who blindly follows wrong directions\just because they came from above!\At least let the student council\propose to keep the fair.\There wouldnt be enough time for our club to prepare a song.\And you call us amateurs?! response:	If you're so great, put your money where your mouth is!
context: Personally, I dont want to become\the kind of sad adult who blindly follows wrong directions\just because they came from above!\At least let the student council\propose to keep the fair.\There wouldnt be enough time for our club to prepare a song.\And you call us amateurs?!\If you're so great, put your money where your mouth is! response:	Order, please.
context: the kind of sad adult who blindly follows wrong directions\just because they came from above!\At least let the student council\propose to keep the fair.\There wouldnt be enough time for our club to prepare a song.\And you call us amateurs?!\If you're so great, put your money where your mouth is!\Order, please. response:	We'll take a vote.
context: just because they came from above!\At least let the student council\propose to keep the fair.\There wouldnt be enough time for our club to prepare a song.\And you call us amateurs?!\If you're so great, put your money where your mouth is!\Order, please.\We'll take a vote. response:	Those in favor of the choir club's suggestion,
context: At least let the student council\propose to keep the fair.\There wouldnt be enough time for our club to prepare a song.\And you call us amateurs?!\If you're so great, put your money where your mouth is!\Order, please.\We'll take a vote.\Those in favor of the choir club's suggestion, response:	please raise your hand.
context: propose to keep the fair.\There wouldnt be enough time for our club to prepare a song.\And you call us amateurs?!\If you're so great, put your money where your mouth is!\Order, please.\We'll take a vote.\Those in favor of the choir club's suggestion,\please raise your hand. response:	It cant hurt to ask, right?
context: There wouldnt be enough time for our club to prepare a song.\And you call us amateurs?!\If you're so great, put your money where your mouth is!\Order, please.\We'll take a vote.\Those in favor of the choir club's suggestion,\please raise your hand.\It cant hurt to ask, right? response:	Your proposal is denied.
context: And you call us amateurs?!\If you're so great, put your money where your mouth is!\Order, please.\We'll take a vote.\Those in favor of the choir club's suggestion,\please raise your hand.\It cant hurt to ask, right?\Your proposal is denied. response:	Fine! But were still gonna sing!
context: If you're so great, put your money where your mouth is!\Order, please.\We'll take a vote.\Those in favor of the choir club's suggestion,\please raise your hand.\It cant hurt to ask, right?\Your proposal is denied.\Fine! But were still gonna sing! response:	Did you find them?
context: Order, please.\We'll take a vote.\Those in favor of the choir club's suggestion,\please raise your hand.\It cant hurt to ask, right?\Your proposal is denied.\Fine! But were still gonna sing!\Did you find them? response:	Tanaka, why didn't you stop them right away?
context: We'll take a vote.\Those in favor of the choir club's suggestion,\please raise your hand.\It cant hurt to ask, right?\Your proposal is denied.\Fine! But were still gonna sing!\Did you find them?\Tanaka, why didn't you stop them right away? response:	Now it's my fault?
context: Those in favor of the choir club's suggestion,\please raise your hand.\It cant hurt to ask, right?\Your proposal is denied.\Fine! But were still gonna sing!\Did you find them?\Tanaka, why didn't you stop them right away?\Now it's my fault? response:	You're the club president! You shouldve taken better care of them!
context: please raise your hand.\It cant hurt to ask, right?\Your proposal is denied.\Fine! But were still gonna sing!\Did you find them?\Tanaka, why didn't you stop them right away?\Now it's my fault?\You're the club president! You shouldve taken better care of them! response:	Why didn't anybody notice?
context: It cant hurt to ask, right?\Your proposal is denied.\Fine! But were still gonna sing!\Did you find them?\Tanaka, why didn't you stop them right away?\Now it's my fault?\You're the club president! You shouldve taken better care of them!\Why didn't anybody notice? response:	But you saw it happen!
context: Your proposal is denied.\Fine! But were still gonna sing!\Did you find them?\Tanaka, why didn't you stop them right away?\Now it's my fault?\You're the club president! You shouldve taken better care of them!\Why didn't anybody notice?\But you saw it happen! response:	Not clearly!
context: Fine! But were still gonna sing!\Did you find them?\Tanaka, why didn't you stop them right away?\Now it's my fault?\You're the club president! You shouldve taken better care of them!\Why didn't anybody notice?\But you saw it happen!\Not clearly! response:	Whether you get mad.
context: Did you find them?\Tanaka, why didn't you stop them right away?\Now it's my fault?\You're the club president! You shouldve taken better care of them!\Why didn't anybody notice?\But you saw it happen!\Not clearly!\Whether you get mad. response:	Whether you laugh.
context: Tanaka, why didn't you stop them right away?\Now it's my fault?\You're the club president! You shouldve taken better care of them!\Why didn't anybody notice?\But you saw it happen!\Not clearly!\Whether you get mad.\Whether you laugh. response:	The sun will set, morning will come.
