context: Sacred Jewel shards... response:	We were in search of Naraku,
context: D-Did I really say that?\That demon...\Did Naraku send that as a decoy?\We'll find out once we capture it.\It may know Naraku's whereabouts, too.\That's afterwe save Kagome!\Be safe, Kagome!\Then the elder of the Wolf-Demon Tribe is yourgrandfather? response:	I call him Gramps.
context: That demon...\Did Naraku send that as a decoy?\We'll find out once we capture it.\It may know Naraku's whereabouts, too.\That's afterwe save Kagome!\Be safe, Kagome!\Then the elder of the Wolf-Demon Tribe is yourgrandfather?\I call him Gramps. response:	But there must be a reason
context: Did Naraku send that as a decoy?\We'll find out once we capture it.\It may know Naraku's whereabouts, too.\That's afterwe save Kagome!\Be safe, Kagome!\Then the elder of the Wolf-Demon Tribe is yourgrandfather?\I call him Gramps.\But there must be a reason response:	for coming down the mountain like this?
context: We'll find out once we capture it.\It may know Naraku's whereabouts, too.\That's afterwe save Kagome!\Be safe, Kagome!\Then the elder of the Wolf-Demon Tribe is yourgrandfather?\I call him Gramps.\But there must be a reason\for coming down the mountain like this? response:	It's only recently...
context: It may know Naraku's whereabouts, too.\That's afterwe save Kagome!\Be safe, Kagome!\Then the elder of the Wolf-Demon Tribe is yourgrandfather?\I call him Gramps.\But there must be a reason\for coming down the mountain like this?\It's only recently... response:	but a strange demonic aura came down from the northern mountain.
context: That's afterwe save Kagome!\Be safe, Kagome!\Then the elder of the Wolf-Demon Tribe is yourgrandfather?\I call him Gramps.\But there must be a reason\for coming down the mountain like this?\It's only recently...\but a strange demonic aura came down from the northern mountain. response:	Strange demonic aura?
context: Be safe, Kagome!\Then the elder of the Wolf-Demon Tribe is yourgrandfather?\I call him Gramps.\But there must be a reason\for coming down the mountain like this?\It's only recently...\but a strange demonic aura came down from the northern mountain.\Strange demonic aura? response:	Gramps said it smells of a demon.
context: Then the elder of the Wolf-Demon Tribe is yourgrandfather?\I call him Gramps.\But there must be a reason\for coming down the mountain like this?\It's only recently...\but a strange demonic aura came down from the northern mountain.\Strange demonic aura?\Gramps said it smells of a demon. response:	Demon?
context: I call him Gramps.\But there must be a reason\for coming down the mountain like this?\It's only recently...\but a strange demonic aura came down from the northern mountain.\Strange demonic aura?\Gramps said it smells of a demon.\Demon? response:	Uh-huh...
context: But there must be a reason\for coming down the mountain like this?\It's only recently...\but a strange demonic aura came down from the northern mountain.\Strange demonic aura?\Gramps said it smells of a demon.\Demon?\Uh-huh... response:	And around that time,
context: for coming down the mountain like this?\It's only recently...\but a strange demonic aura came down from the northern mountain.\Strange demonic aura?\Gramps said it smells of a demon.\Demon?\Uh-huh...\And around that time, response:	in-fighting among the Wolf-Demon Tribes
context: It's only recently...\but a strange demonic aura came down from the northern mountain.\Strange demonic aura?\Gramps said it smells of a demon.\Demon?\Uh-huh...\And around that time,\in-fighting among the Wolf-Demon Tribes response:	in the east and north, and south and west increased.
context: but a strange demonic aura came down from the northern mountain.\Strange demonic aura?\Gramps said it smells of a demon.\Demon?\Uh-huh...\And around that time,\in-fighting among the Wolf-Demon Tribes\in the east and north, and south and west increased. response:	So Gramps decided to marry me off to one of the strong young ones
context: Strange demonic aura?\Gramps said it smells of a demon.\Demon?\Uh-huh...\And around that time,\in-fighting among the Wolf-Demon Tribes\in the east and north, and south and west increased.\So Gramps decided to marry me off to one of the strong young ones response:	to build up an alliance.
context: Gramps said it smells of a demon.\Demon?\Uh-huh...\And around that time,\in-fighting among the Wolf-Demon Tribes\in the east and north, and south and west increased.\So Gramps decided to marry me off to one of the strong young ones\to build up an alliance. response:	Huh?! Apolitical marriage?
context: Demon?\Uh-huh...\And around that time,\in-fighting among the Wolf-Demon Tribes\in the east and north, and south and west increased.\So Gramps decided to marry me off to one of the strong young ones\to build up an alliance.\Huh?! Apolitical marriage? response:	Luckily, Koga and I were already promised.
context: Uh-huh...\And around that time,\in-fighting among the Wolf-Demon Tribes\in the east and north, and south and west increased.\So Gramps decided to marry me off to one of the strong young ones\to build up an alliance.\Huh?! Apolitical marriage?\Luckily, Koga and I were already promised. response:	I said I don't remember!
context: And around that time,\in-fighting among the Wolf-Demon Tribes\in the east and north, and south and west increased.\So Gramps decided to marry me off to one of the strong young ones\to build up an alliance.\Huh?! Apolitical marriage?\Luckily, Koga and I were already promised.\I said I don't remember! response:	Gramps thought that Koga would be able to get followers.
context: in-fighting among the Wolf-Demon Tribes\in the east and north, and south and west increased.\So Gramps decided to marry me off to one of the strong young ones\to build up an alliance.\Huh?! Apolitical marriage?\Luckily, Koga and I were already promised.\I said I don't remember!\Gramps thought that Koga would be able to get followers. response:	And I didn't mind marrying, if it's to Koga.
context: in the east and north, and south and west increased.\So Gramps decided to marry me off to one of the strong young ones\to build up an alliance.\Huh?! Apolitical marriage?\Luckily, Koga and I were already promised.\I said I don't remember!\Gramps thought that Koga would be able to get followers.\And I didn't mind marrying, if it's to Koga. response:	So it wasn't just a political marriage.
context: So Gramps decided to marry me off to one of the strong young ones\to build up an alliance.\Huh?! Apolitical marriage?\Luckily, Koga and I were already promised.\I said I don't remember!\Gramps thought that Koga would be able to get followers.\And I didn't mind marrying, if it's to Koga.\So it wasn't just a political marriage. response:	Damn!
context: to build up an alliance.\Huh?! Apolitical marriage?\Luckily, Koga and I were already promised.\I said I don't remember!\Gramps thought that Koga would be able to get followers.\And I didn't mind marrying, if it's to Koga.\So it wasn't just a political marriage.\Damn! response:	Getting all worked up over a stupid demonic aura!
context: Huh?! Apolitical marriage?\Luckily, Koga and I were already promised.\I said I don't remember!\Gramps thought that Koga would be able to get followers.\And I didn't mind marrying, if it's to Koga.\So it wasn't just a political marriage.\Damn!\Getting all worked up over a stupid demonic aura! response:	Yourrole may be to make peace...
context: Luckily, Koga and I were already promised.\I said I don't remember!\Gramps thought that Koga would be able to get followers.\And I didn't mind marrying, if it's to Koga.\So it wasn't just a political marriage.\Damn!\Getting all worked up over a stupid demonic aura!\Yourrole may be to make peace... response:	but all you gotta do is crack theirheads together
context: I said I don't remember!\Gramps thought that Koga would be able to get followers.\And I didn't mind marrying, if it's to Koga.\So it wasn't just a political marriage.\Damn!\Getting all worked up over a stupid demonic aura!\Yourrole may be to make peace...\but all you gotta do is crack theirheads together response:	and make them see some sense!
context: Gramps thought that Koga would be able to get followers.\And I didn't mind marrying, if it's to Koga.\So it wasn't just a political marriage.\Damn!\Getting all worked up over a stupid demonic aura!\Yourrole may be to make peace...\but all you gotta do is crack theirheads together\and make them see some sense! response:	It's not thateasy!
context: And I didn't mind marrying, if it's to Koga.\So it wasn't just a political marriage.\Damn!\Getting all worked up over a stupid demonic aura!\Yourrole may be to make peace...\but all you gotta do is crack theirheads together\and make them see some sense!\It's not thateasy! response:	In orderto bring the tribes together, we need their trust!
context: So it wasn't just a political marriage.\Damn!\Getting all worked up over a stupid demonic aura!\Yourrole may be to make peace...\but all you gotta do is crack theirheads together\and make them see some sense!\It's not thateasy!\In orderto bring the tribes together, we need their trust! response:	You have to get married and be settled.
context: Damn!\Getting all worked up over a stupid demonic aura!\Yourrole may be to make peace...\but all you gotta do is crack theirheads together\and make them see some sense!\It's not thateasy!\In orderto bring the tribes together, we need their trust!\You have to get married and be settled. response:	Then I'm not suited forthat.
context: Getting all worked up over a stupid demonic aura!\Yourrole may be to make peace...\but all you gotta do is crack theirheads together\and make them see some sense!\It's not thateasy!\In orderto bring the tribes together, we need their trust!\You have to get married and be settled.\Then I'm not suited forthat. response:	Koga!
context: Yourrole may be to make peace...\but all you gotta do is crack theirheads together\and make them see some sense!\It's not thateasy!\In orderto bring the tribes together, we need their trust!\You have to get married and be settled.\Then I'm not suited forthat.\Koga! response:	What I want to do more than anything right now,
context: but all you gotta do is crack theirheads together\and make them see some sense!\It's not thateasy!\In orderto bring the tribes together, we need their trust!\You have to get married and be settled.\Then I'm not suited forthat.\Koga!\What I want to do more than anything right now, response:	is to get Naraku's head!
context: and make them see some sense!\It's not thateasy!\In orderto bring the tribes together, we need their trust!\You have to get married and be settled.\Then I'm not suited forthat.\Koga!\What I want to do more than anything right now,\is to get Naraku's head! response:	I don't have time for anything else!
context: It's not thateasy!\In orderto bring the tribes together, we need their trust!\You have to get married and be settled.\Then I'm not suited forthat.\Koga!\What I want to do more than anything right now,\is to get Naraku's head!\I don't have time for anything else! response:	No matter what?
context: In orderto bring the tribes together, we need their trust!\You have to get married and be settled.\Then I'm not suited forthat.\Koga!\What I want to do more than anything right now,\is to get Naraku's head!\I don't have time for anything else!\No matter what? response:	Shut up!
context: You have to get married and be settled.\Then I'm not suited forthat.\Koga!\What I want to do more than anything right now,\is to get Naraku's head!\I don't have time for anything else!\No matter what?\Shut up! response:	Go back to the mountain!
context: Then I'm not suited forthat.\Koga!\What I want to do more than anything right now,\is to get Naraku's head!\I don't have time for anything else!\No matter what?\Shut up!\Go back to the mountain! response:	Koga!
context: Koga!\What I want to do more than anything right now,\is to get Naraku's head!\I don't have time for anything else!\No matter what?\Shut up!\Go back to the mountain!\Koga! response:	Ayame...
context: What I want to do more than anything right now,\is to get Naraku's head!\I don't have time for anything else!\No matter what?\Shut up!\Go back to the mountain!\Koga!\Ayame... response:	Stop listening only to what the elder says.
context: is to get Naraku's head!\I don't have time for anything else!\No matter what?\Shut up!\Go back to the mountain!\Koga!\Ayame...\Stop listening only to what the elder says. response:	Do what you want to do.
context: I don't have time for anything else!\No matter what?\Shut up!\Go back to the mountain!\Koga!\Ayame...\Stop listening only to what the elder says.\Do what you want to do. response:	Huh?
context: No matter what?\Shut up!\Go back to the mountain!\Koga!\Ayame...\Stop listening only to what the elder says.\Do what you want to do.\Huh? response:	Ayame... That's the end of this subject.
context: Shut up!\Go back to the mountain!\Koga!\Ayame...\Stop listening only to what the elder says.\Do what you want to do.\Huh?\Ayame... That's the end of this subject. response:	Say, Koga!
context: Go back to the mountain!\Koga!\Ayame...\Stop listening only to what the elder says.\Do what you want to do.\Huh?\Ayame... That's the end of this subject.\Say, Koga! response:	This demonic aura?!
context: Koga!\Ayame...\Stop listening only to what the elder says.\Do what you want to do.\Huh?\Ayame... That's the end of this subject.\Say, Koga!\This demonic aura?! response:	Demonic aura?
context: Ayame...\Stop listening only to what the elder says.\Do what you want to do.\Huh?\Ayame... That's the end of this subject.\Say, Koga!\This demonic aura?!\Demonic aura? response:	That Inuyasha!
context: Stop listening only to what the elder says.\Do what you want to do.\Huh?\Ayame... That's the end of this subject.\Say, Koga!\This demonic aura?!\Demonic aura?\That Inuyasha! response:	He must have let the demon go!
context: Do what you want to do.\Huh?\Ayame... That's the end of this subject.\Say, Koga!\This demonic aura?!\Demonic aura?\That Inuyasha!\He must have let the demon go! response:	I can smell it... it's real close.
context: Huh?\Ayame... That's the end of this subject.\Say, Koga!\This demonic aura?!\Demonic aura?\That Inuyasha!\He must have let the demon go!\I can smell it... it's real close. response:	Huh?
context: Ayame... That's the end of this subject.\Say, Koga!\This demonic aura?!\Demonic aura?\That Inuyasha!\He must have let the demon go!\I can smell it... it's real close.\Huh? response:	Koga, let's go back to Inuyasha and the others.
context: Say, Koga!\This demonic aura?!\Demonic aura?\That Inuyasha!\He must have let the demon go!\I can smell it... it's real close.\Huh?\Koga, let's go back to Inuyasha and the others. response:	Don't worry, Kagome. I'll protect you.
context: This demonic aura?!\Demonic aura?\That Inuyasha!\He must have let the demon go!\I can smell it... it's real close.\Huh?\Koga, let's go back to Inuyasha and the others.\Don't worry, Kagome. I'll protect you. response:	I appreciate your words...
context: Demonic aura?\That Inuyasha!\He must have let the demon go!\I can smell it... it's real close.\Huh?\Koga, let's go back to Inuyasha and the others.\Don't worry, Kagome. I'll protect you.\I appreciate your words... response:	But this isn't the time for such words!
context: That Inuyasha!\He must have let the demon go!\I can smell it... it's real close.\Huh?\Koga, let's go back to Inuyasha and the others.\Don't worry, Kagome. I'll protect you.\I appreciate your words...\But this isn't the time for such words! response:	Huh? Koga keeps saying he loves her.
context: He must have let the demon go!\I can smell it... it's real close.\Huh?\Koga, let's go back to Inuyasha and the others.\Don't worry, Kagome. I'll protect you.\I appreciate your words...\But this isn't the time for such words!\Huh? Koga keeps saying he loves her. response:	But this Kagome, could she?
context: I can smell it... it's real close.\Huh?\Koga, let's go back to Inuyasha and the others.\Don't worry, Kagome. I'll protect you.\I appreciate your words...\But this isn't the time for such words!\Huh? Koga keeps saying he loves her.\But this Kagome, could she? response:	Hey demon! I'll take you on.
context: Huh?\Koga, let's go back to Inuyasha and the others.\Don't worry, Kagome. I'll protect you.\I appreciate your words...\But this isn't the time for such words!\Huh? Koga keeps saying he loves her.\But this Kagome, could she?\Hey demon! I'll take you on. response:	Besides, I need to ask you a question!
context: Koga, let's go back to Inuyasha and the others.\Don't worry, Kagome. I'll protect you.\I appreciate your words...\But this isn't the time for such words!\Huh? Koga keeps saying he loves her.\But this Kagome, could she?\Hey demon! I'll take you on.\Besides, I need to ask you a question! response:	Which way?!
context: Don't worry, Kagome. I'll protect you.\I appreciate your words...\But this isn't the time for such words!\Huh? Koga keeps saying he loves her.\But this Kagome, could she?\Hey demon! I'll take you on.\Besides, I need to ask you a question!\Which way?! response:	Overthere?
context: I appreciate your words...\But this isn't the time for such words!\Huh? Koga keeps saying he loves her.\But this Kagome, could she?\Hey demon! I'll take you on.\Besides, I need to ask you a question!\Which way?!\Overthere? response:	Huh?!
context: But this isn't the time for such words!\Huh? Koga keeps saying he loves her.\But this Kagome, could she?\Hey demon! I'll take you on.\Besides, I need to ask you a question!\Which way?!\Overthere?\Huh?! response:	The Hair is attacking!
context: Huh? Koga keeps saying he loves her.\But this Kagome, could she?\Hey demon! I'll take you on.\Besides, I need to ask you a question!\Which way?!\Overthere?\Huh?!\The Hair is attacking! response:	To stall us?
context: But this Kagome, could she?\Hey demon! I'll take you on.\Besides, I need to ask you a question!\Which way?!\Overthere?\Huh?!\The Hair is attacking!\To stall us? response:	It doesn't want to let us pass.
context: Hey demon! I'll take you on.\Besides, I need to ask you a question!\Which way?!\Overthere?\Huh?!\The Hair is attacking!\To stall us?\It doesn't want to let us pass. response:	Inuyasha!
context: Besides, I need to ask you a question!\Which way?!\Overthere?\Huh?!\The Hair is attacking!\To stall us?\It doesn't want to let us pass.\Inuyasha! response:	Go to Kagome!
context: Which way?!\Overthere?\Huh?!\The Hair is attacking!\To stall us?\It doesn't want to let us pass.\Inuyasha!\Go to Kagome! response:	Awright!
context: Overthere?\Huh?!\The Hair is attacking!\To stall us?\It doesn't want to let us pass.\Inuyasha!\Go to Kagome!\Awright! response:	Kagome, wait for me!
context: Huh?!\The Hair is attacking!\To stall us?\It doesn't want to let us pass.\Inuyasha!\Go to Kagome!\Awright!\Kagome, wait for me! response:	You won't get away now!
context: The Hair is attacking!\To stall us?\It doesn't want to let us pass.\Inuyasha!\Go to Kagome!\Awright!\Kagome, wait for me!\You won't get away now! response:	I'll devour you all... Sacred Jewel shards and all!
context: To stall us?\It doesn't want to let us pass.\Inuyasha!\Go to Kagome!\Awright!\Kagome, wait for me!\You won't get away now!\I'll devour you all... Sacred Jewel shards and all! response:	Ayame... I don't have any right to ask you this.
context: It doesn't want to let us pass.\Inuyasha!\Go to Kagome!\Awright!\Kagome, wait for me!\You won't get away now!\I'll devour you all... Sacred Jewel shards and all!\Ayame... I don't have any right to ask you this. response:	But I'll leave Kagome in your care.
context: Inuyasha!\Go to Kagome!\Awright!\Kagome, wait for me!\You won't get away now!\I'll devour you all... Sacred Jewel shards and all!\Ayame... I don't have any right to ask you this.\But I'll leave Kagome in your care. response:	In my care? Me?
context: Go to Kagome!\Awright!\Kagome, wait for me!\You won't get away now!\I'll devour you all... Sacred Jewel shards and all!\Ayame... I don't have any right to ask you this.\But I'll leave Kagome in your care.\In my care? Me? response:	Kagome, wait there with Ayame.
context: Awright!\Kagome, wait for me!\You won't get away now!\I'll devour you all... Sacred Jewel shards and all!\Ayame... I don't have any right to ask you this.\But I'll leave Kagome in your care.\In my care? Me?\Kagome, wait there with Ayame. response:	Koga!
context: Kagome, wait for me!\You won't get away now!\I'll devour you all... Sacred Jewel shards and all!\Ayame... I don't have any right to ask you this.\But I'll leave Kagome in your care.\In my care? Me?\Kagome, wait there with Ayame.\Koga! response:	You're just huge, that's all!
context: You won't get away now!\I'll devour you all... Sacred Jewel shards and all!\Ayame... I don't have any right to ask you this.\But I'll leave Kagome in your care.\In my care? Me?\Kagome, wait there with Ayame.\Koga!\You're just huge, that's all! response:	Just watch!
context: I'll devour you all... Sacred Jewel shards and all!\Ayame... I don't have any right to ask you this.\But I'll leave Kagome in your care.\In my care? Me?\Kagome, wait there with Ayame.\Koga!\You're just huge, that's all!\Just watch! response:	Take this!
context: Ayame... I don't have any right to ask you this.\But I'll leave Kagome in your care.\In my care? Me?\Kagome, wait there with Ayame.\Koga!\You're just huge, that's all!\Just watch!\Take this! response:	Now that you've caught up with me...
context: But I'll leave Kagome in your care.\In my care? Me?\Kagome, wait there with Ayame.\Koga!\You're just huge, that's all!\Just watch!\Take this!\Now that you've caught up with me... response:	Now you can tell me!
context: In my care? Me?\Kagome, wait there with Ayame.\Koga!\You're just huge, that's all!\Just watch!\Take this!\Now that you've caught up with me...\Now you can tell me! response:	Where is Naraku?!
context: Kagome, wait there with Ayame.\Koga!\You're just huge, that's all!\Just watch!\Take this!\Now that you've caught up with me...\Now you can tell me!\Where is Naraku?! response:	The hair's falling out!
context: Koga!\You're just huge, that's all!\Just watch!\Take this!\Now that you've caught up with me...\Now you can tell me!\Where is Naraku?!\The hair's falling out! response:	Why you!
context: You're just huge, that's all!\Just watch!\Take this!\Now that you've caught up with me...\Now you can tell me!\Where is Naraku?!\The hair's falling out!\Why you! response:	Koga!
context: Just watch!\Take this!\Now that you've caught up with me...\Now you can tell me!\Where is Naraku?!\The hair's falling out!\Why you!\Koga! response:	Strike him!
context: Take this!\Now that you've caught up with me...\Now you can tell me!\Where is Naraku?!\The hair's falling out!\Why you!\Koga!\Strike him! response:	A sacred arrow? Is Kagome... a priestess?
context: Now that you've caught up with me...\Now you can tell me!\Where is Naraku?!\The hair's falling out!\Why you!\Koga!\Strike him!\A sacred arrow? Is Kagome... a priestess? response:	D-Damn!
context: Now you can tell me!\Where is Naraku?!\The hair's falling out!\Why you!\Koga!\Strike him!\A sacred arrow? Is Kagome... a priestess?\D-Damn! response:	Are you all right, Ayame?
context: Where is Naraku?!\The hair's falling out!\Why you!\Koga!\Strike him!\A sacred arrow? Is Kagome... a priestess?\D-Damn!\Are you all right, Ayame? response:	This demon!
context: The hair's falling out!\Why you!\Koga!\Strike him!\A sacred arrow? Is Kagome... a priestess?\D-Damn!\Are you all right, Ayame?\This demon! response:	Why don't you get away?
context: Why you!\Koga!\Strike him!\A sacred arrow? Is Kagome... a priestess?\D-Damn!\Are you all right, Ayame?\This demon!\Why don't you get away? response:	What?
context: Koga!\Strike him!\A sacred arrow? Is Kagome... a priestess?\D-Damn!\Are you all right, Ayame?\This demon!\Why don't you get away?\What? response:	Koga is doing his best to protect you.
context: Strike him!\A sacred arrow? Is Kagome... a priestess?\D-Damn!\Are you all right, Ayame?\This demon!\Why don't you get away?\What?\Koga is doing his best to protect you. response:	Koga isn't like that.
context: A sacred arrow? Is Kagome... a priestess?\D-Damn!\Are you all right, Ayame?\This demon!\Why don't you get away?\What?\Koga is doing his best to protect you.\Koga isn't like that. response:	Koga is fighting to protect both you and me.
context: D-Damn!\Are you all right, Ayame?\This demon!\Why don't you get away?\What?\Koga is doing his best to protect you.\Koga isn't like that.\Koga is fighting to protect both you and me. response:	Huh?!
context: Are you all right, Ayame?\This demon!\Why don't you get away?\What?\Koga is doing his best to protect you.\Koga isn't like that.\Koga is fighting to protect both you and me.\Huh?! response:	Iron-Reaver, Soul-Stealer!
context: This demon!\Why don't you get away?\What?\Koga is doing his best to protect you.\Koga isn't like that.\Koga is fighting to protect both you and me.\Huh?!\Iron-Reaver, Soul-Stealer! response:	Inuyasha!
context: Why don't you get away?\What?\Koga is doing his best to protect you.\Koga isn't like that.\Koga is fighting to protect both you and me.\Huh?!\Iron-Reaver, Soul-Stealer!\Inuyasha! response:	You're all right, Kagome?
context: What?\Koga is doing his best to protect you.\Koga isn't like that.\Koga is fighting to protect both you and me.\Huh?!\Iron-Reaver, Soul-Stealer!\Inuyasha!\You're all right, Kagome? response:	I'm okay.
context: Koga is doing his best to protect you.\Koga isn't like that.\Koga is fighting to protect both you and me.\Huh?!\Iron-Reaver, Soul-Stealer!\Inuyasha!\You're all right, Kagome?\I'm okay. response:	Inuyasha? He's with Kagome?
context: Koga isn't like that.\Koga is fighting to protect both you and me.\Huh?!\Iron-Reaver, Soul-Stealer!\Inuyasha!\You're all right, Kagome?\I'm okay.\Inuyasha? He's with Kagome? response:	Koga, what're you doing?!
context: Koga is fighting to protect both you and me.\Huh?!\Iron-Reaver, Soul-Stealer!\Inuyasha!\You're all right, Kagome?\I'm okay.\Inuyasha? He's with Kagome?\Koga, what're you doing?! response:	Putting Kagome in danger like this!
context: Huh?!\Iron-Reaver, Soul-Stealer!\Inuyasha!\You're all right, Kagome?\I'm okay.\Inuyasha? He's with Kagome?\Koga, what're you doing?!\Putting Kagome in danger like this! response:	Shaddup!
context: Iron-Reaver, Soul-Stealer!\Inuyasha!\You're all right, Kagome?\I'm okay.\Inuyasha? He's with Kagome?\Koga, what're you doing?!\Putting Kagome in danger like this!\Shaddup! response:	It's only because you stupidly let the demon escape!
context: Inuyasha!\You're all right, Kagome?\I'm okay.\Inuyasha? He's with Kagome?\Koga, what're you doing?!\Putting Kagome in danger like this!\Shaddup!\It's only because you stupidly let the demon escape! response:	I'll protect Kagome! So stay outta this, Wolf!
context: You're all right, Kagome?\I'm okay.\Inuyasha? He's with Kagome?\Koga, what're you doing?!\Putting Kagome in danger like this!\Shaddup!\It's only because you stupidly let the demon escape!\I'll protect Kagome! So stay outta this, Wolf! response:	I'll protect Kagome!
context: I'm okay.\Inuyasha? He's with Kagome?\Koga, what're you doing?!\Putting Kagome in danger like this!\Shaddup!\It's only because you stupidly let the demon escape!\I'll protect Kagome! So stay outta this, Wolf!\I'll protect Kagome! response:	But you can't!
context: Inuyasha? He's with Kagome?\Koga, what're you doing?!\Putting Kagome in danger like this!\Shaddup!\It's only because you stupidly let the demon escape!\I'll protect Kagome! So stay outta this, Wolf!\I'll protect Kagome!\But you can't! response:	Koga, Inuyasha is here. Don't overexert yourself.
context: Koga, what're you doing?!\Putting Kagome in danger like this!\Shaddup!\It's only because you stupidly let the demon escape!\I'll protect Kagome! So stay outta this, Wolf!\I'll protect Kagome!\But you can't!\Koga, Inuyasha is here. Don't overexert yourself. response:	K-Kagome!
context: Putting Kagome in danger like this!\Shaddup!\It's only because you stupidly let the demon escape!\I'll protect Kagome! So stay outta this, Wolf!\I'll protect Kagome!\But you can't!\Koga, Inuyasha is here. Don't overexert yourself.\K-Kagome! response:	Huh?
context: Shaddup!\It's only because you stupidly let the demon escape!\I'll protect Kagome! So stay outta this, Wolf!\I'll protect Kagome!\But you can't!\Koga, Inuyasha is here. Don't overexert yourself.\K-Kagome!\Huh? response:	Is Koga...
context: It's only because you stupidly let the demon escape!\I'll protect Kagome! So stay outta this, Wolf!\I'll protect Kagome!\But you can't!\Koga, Inuyasha is here. Don't overexert yourself.\K-Kagome!\Huh?\Is Koga... response:	Watch out, Inuyasha.
context: I'll protect Kagome! So stay outta this, Wolf!\I'll protect Kagome!\But you can't!\Koga, Inuyasha is here. Don't overexert yourself.\K-Kagome!\Huh?\Is Koga...\Watch out, Inuyasha. response:	Don't get tangled up in that demon's hair.
context: I'll protect Kagome!\But you can't!\Koga, Inuyasha is here. Don't overexert yourself.\K-Kagome!\Huh?\Is Koga...\Watch out, Inuyasha.\Don't get tangled up in that demon's hair. response:	I'll destroy him in one blow with my Wind Scar.
context: But you can't!\Koga, Inuyasha is here. Don't overexert yourself.\K-Kagome!\Huh?\Is Koga...\Watch out, Inuyasha.\Don't get tangled up in that demon's hair.\I'll destroy him in one blow with my Wind Scar. response:	Damn mutt! Coming into the picture like this!
context: Koga, Inuyasha is here. Don't overexert yourself.\K-Kagome!\Huh?\Is Koga...\Watch out, Inuyasha.\Don't get tangled up in that demon's hair.\I'll destroy him in one blow with my Wind Scar.\Damn mutt! Coming into the picture like this! response:	I'm gonna get the demon!
context: K-Kagome!\Huh?\Is Koga...\Watch out, Inuyasha.\Don't get tangled up in that demon's hair.\I'll destroy him in one blow with my Wind Scar.\Damn mutt! Coming into the picture like this!\I'm gonna get the demon! response:	Koga... Could this be...
context: Huh?\Is Koga...\Watch out, Inuyasha.\Don't get tangled up in that demon's hair.\I'll destroy him in one blow with my Wind Scar.\Damn mutt! Coming into the picture like this!\I'm gonna get the demon!\Koga... Could this be... response:	an unrequited love?
