context: I want to know what this recap tastes like! response:	Too damn suspicious...
context: You, stay quiet!\Who exactly are you?\W-What are you talking about?\I suspect you're a wizard whose magic can manipulate people's memories.\You cast a spell on the members of the guild, making them think you were a member.\When you think about Mystogan, everything seems completely out of place.\I can't think of anyone else you have any connection to.\And furthermore, to not know the meaning of the guild's signal flare... response:	You're not going to talk your way out of this.
context: Who exactly are you?\W-What are you talking about?\I suspect you're a wizard whose magic can manipulate people's memories.\You cast a spell on the members of the guild, making them think you were a member.\When you think about Mystogan, everything seems completely out of place.\I can't think of anyone else you have any connection to.\And furthermore, to not know the meaning of the guild's signal flare...\You're not going to talk your way out of this. response:	He disappeared!
context: W-What are you talking about?\I suspect you're a wizard whose magic can manipulate people's memories.\You cast a spell on the members of the guild, making them think you were a member.\When you think about Mystogan, everything seems completely out of place.\I can't think of anyone else you have any connection to.\And furthermore, to not know the meaning of the guild's signal flare...\You're not going to talk your way out of this.\He disappeared! response:	No, it's teleportation magic!
context: I suspect you're a wizard whose magic can manipulate people's memories.\You cast a spell on the members of the guild, making them think you were a member.\When you think about Mystogan, everything seems completely out of place.\I can't think of anyone else you have any connection to.\And furthermore, to not know the meaning of the guild's signal flare...\You're not going to talk your way out of this.\He disappeared!\No, it's teleportation magic! response:	No!
context: You cast a spell on the members of the guild, making them think you were a member.\When you think about Mystogan, everything seems completely out of place.\I can't think of anyone else you have any connection to.\And furthermore, to not know the meaning of the guild's signal flare...\You're not going to talk your way out of this.\He disappeared!\No, it's teleportation magic!\No! response:	Mest-san?
context: When you think about Mystogan, everything seems completely out of place.\I can't think of anyone else you have any connection to.\And furthermore, to not know the meaning of the guild's signal flare...\You're not going to talk your way out of this.\He disappeared!\No, it's teleportation magic!\No!\Mest-san? response:	Wendy!
context: I can't think of anyone else you have any connection to.\And furthermore, to not know the meaning of the guild's signal flare...\You're not going to talk your way out of this.\He disappeared!\No, it's teleportation magic!\No!\Mest-san?\Wendy! response:	Makarov's Charge.
context: And furthermore, to not know the meaning of the guild's signal flare...\You're not going to talk your way out of this.\He disappeared!\No, it's teleportation magic!\No!\Mest-san?\Wendy!\Makarov's Charge. response:	Watch out!
context: You're not going to talk your way out of this.\He disappeared!\No, it's teleportation magic!\No!\Mest-san?\Wendy!\Makarov's Charge.\Watch out! response:	An attack?!
context: He disappeared!\No, it's teleportation magic!\No!\Mest-san?\Wendy!\Makarov's Charge.\Watch out!\An attack?! response:	What's happening?
context: No, it's teleportation magic!\No!\Mest-san?\Wendy!\Makarov's Charge.\Watch out!\An attack?!\What's happening? response:	He... protected Wendy?
context: No!\Mest-san?\Wendy!\Makarov's Charge.\Watch out!\An attack?!\What's happening?\He... protected Wendy? response:	Who are you? Show yourself!
context: Mest-san?\Wendy!\Makarov's Charge.\Watch out!\An attack?!\What's happening?\He... protected Wendy?\Who are you? Show yourself! response:	You did well seeing through me...
context: Wendy!\Makarov's Charge.\Watch out!\An attack?!\What's happening?\He... protected Wendy?\Who are you? Show yourself!\You did well seeing through me... response:	There's a person coming from the tree!
context: Makarov's Charge.\Watch out!\An attack?!\What's happening?\He... protected Wendy?\Who are you? Show yourself!\You did well seeing through me...\There's a person coming from the tree! response:	Who in the world are you?
context: Watch out!\An attack?!\What's happening?\He... protected Wendy?\Who are you? Show yourself!\You did well seeing through me...\There's a person coming from the tree!\Who in the world are you? response:	My name is Azuma.
context: An attack?!\What's happening?\He... protected Wendy?\Who are you? Show yourself!\You did well seeing through me...\There's a person coming from the tree!\Who in the world are you?\My name is Azuma. response:	I am one of Grimoire Heart's Seven Kin of Purgatory.
context: What's happening?\He... protected Wendy?\Who are you? Show yourself!\You did well seeing through me...\There's a person coming from the tree!\Who in the world are you?\My name is Azuma.\I am one of Grimoire Heart's Seven Kin of Purgatory. response:	Grimoire Heart?
context: He... protected Wendy?\Who are you? Show yourself!\You did well seeing through me...\There's a person coming from the tree!\Who in the world are you?\My name is Azuma.\I am one of Grimoire Heart's Seven Kin of Purgatory.\Grimoire Heart? response:	A Dark Guild.
context: Who are you? Show yourself!\You did well seeing through me...\There's a person coming from the tree!\Who in the world are you?\My name is Azuma.\I am one of Grimoire Heart's Seven Kin of Purgatory.\Grimoire Heart?\A Dark Guild. response:	So the signal flare before was to warn of incoming enemy attack?
context: You did well seeing through me...\There's a person coming from the tree!\Who in the world are you?\My name is Azuma.\I am one of Grimoire Heart's Seven Kin of Purgatory.\Grimoire Heart?\A Dark Guild.\So the signal flare before was to warn of incoming enemy attack? response:	Let's just say you've realized far too late.
context: There's a person coming from the tree!\Who in the world are you?\My name is Azuma.\I am one of Grimoire Heart's Seven Kin of Purgatory.\Grimoire Heart?\A Dark Guild.\So the signal flare before was to warn of incoming enemy attack?\Let's just say you've realized far too late. response:	What... in blazes is happening?!
context: Who in the world are you?\My name is Azuma.\I am one of Grimoire Heart's Seven Kin of Purgatory.\Grimoire Heart?\A Dark Guild.\So the signal flare before was to warn of incoming enemy attack?\Let's just say you've realized far too late.\What... in blazes is happening?! response:	I thought if I snuck onto Fairy Tail's holy ground
context: My name is Azuma.\I am one of Grimoire Heart's Seven Kin of Purgatory.\Grimoire Heart?\A Dark Guild.\So the signal flare before was to warn of incoming enemy attack?\Let's just say you've realized far too late.\What... in blazes is happening?!\I thought if I snuck onto Fairy Tail's holy ground response:	I would find a skeleton or two in their closet...
context: I am one of Grimoire Heart's Seven Kin of Purgatory.\Grimoire Heart?\A Dark Guild.\So the signal flare before was to warn of incoming enemy attack?\Let's just say you've realized far too late.\What... in blazes is happening?!\I thought if I snuck onto Fairy Tail's holy ground\I would find a skeleton or two in their closet... response:	But the Black Wizard Zeref and Grimoire Heart's Lady luck is with me for sure...
context: Grimoire Heart?\A Dark Guild.\So the signal flare before was to warn of incoming enemy attack?\Let's just say you've realized far too late.\What... in blazes is happening?!\I thought if I snuck onto Fairy Tail's holy ground\I would find a skeleton or two in their closet...\But the Black Wizard Zeref and Grimoire Heart's Lady luck is with me for sure... response:	Zeref?
context: A Dark Guild.\So the signal flare before was to warn of incoming enemy attack?\Let's just say you've realized far too late.\What... in blazes is happening?!\I thought if I snuck onto Fairy Tail's holy ground\I would find a skeleton or two in their closet...\But the Black Wizard Zeref and Grimoire Heart's Lady luck is with me for sure...\Zeref? response:	Who are you?
context: So the signal flare before was to warn of incoming enemy attack?\Let's just say you've realized far too late.\What... in blazes is happening?!\I thought if I snuck onto Fairy Tail's holy ground\I would find a skeleton or two in their closet...\But the Black Wizard Zeref and Grimoire Heart's Lady luck is with me for sure...\Zeref?\Who are you? response:	You haven't realized yet?
context: Let's just say you've realized far too late.\What... in blazes is happening?!\I thought if I snuck onto Fairy Tail's holy ground\I would find a skeleton or two in their closet...\But the Black Wizard Zeref and Grimoire Heart's Lady luck is with me for sure...\Zeref?\Who are you?\You haven't realized yet? response:	I'm from the Magic Council!
context: What... in blazes is happening?!\I thought if I snuck onto Fairy Tail's holy ground\I would find a skeleton or two in their closet...\But the Black Wizard Zeref and Grimoire Heart's Lady luck is with me for sure...\Zeref?\Who are you?\You haven't realized yet?\I'm from the Magic Council! response:	I infiltrated Fairy Tail to find dirty secrets to destroy you with...
context: I thought if I snuck onto Fairy Tail's holy ground\I would find a skeleton or two in their closet...\But the Black Wizard Zeref and Grimoire Heart's Lady luck is with me for sure...\Zeref?\Who are you?\You haven't realized yet?\I'm from the Magic Council!\I infiltrated Fairy Tail to find dirty secrets to destroy you with... response:	Magic Council?
context: I would find a skeleton or two in their closet...\But the Black Wizard Zeref and Grimoire Heart's Lady luck is with me for sure...\Zeref?\Who are you?\You haven't realized yet?\I'm from the Magic Council!\I infiltrated Fairy Tail to find dirty secrets to destroy you with...\Magic Council? response:	But that's...
context: But the Black Wizard Zeref and Grimoire Heart's Lady luck is with me for sure...\Zeref?\Who are you?\You haven't realized yet?\I'm from the Magic Council!\I infiltrated Fairy Tail to find dirty secrets to destroy you with...\Magic Council?\But that's... response:	Well, well...
context: Zeref?\Who are you?\You haven't realized yet?\I'm from the Magic Council!\I infiltrated Fairy Tail to find dirty secrets to destroy you with...\Magic Council?\But that's...\Well, well... response:	But, that's come to an end.
context: Who are you?\You haven't realized yet?\I'm from the Magic Council!\I infiltrated Fairy Tail to find dirty secrets to destroy you with...\Magic Council?\But that's...\Well, well...\But, that's come to an end. response:	With the impossible to find Grimoire Heart coming here...
context: You haven't realized yet?\I'm from the Magic Council!\I infiltrated Fairy Tail to find dirty secrets to destroy you with...\Magic Council?\But that's...\Well, well...\But, that's come to an end.\With the impossible to find Grimoire Heart coming here... response:	If I finish you off here, that promotion will be more than a dream!
context: I'm from the Magic Council!\I infiltrated Fairy Tail to find dirty secrets to destroy you with...\Magic Council?\But that's...\Well, well...\But, that's come to an end.\With the impossible to find Grimoire Heart coming here...\If I finish you off here, that promotion will be more than a dream! response:	It looks like I was right to station warships of
context: I infiltrated Fairy Tail to find dirty secrets to destroy you with...\Magic Council?\But that's...\Well, well...\But, that's come to an end.\With the impossible to find Grimoire Heart coming here...\If I finish you off here, that promotion will be more than a dream!\It looks like I was right to station warships of response:	the Magic Council's Enforcement and Detention Corps nearby just in case.
context: Magic Council?\But that's...\Well, well...\But, that's come to an end.\With the impossible to find Grimoire Heart coming here...\If I finish you off here, that promotion will be more than a dream!\It looks like I was right to station warships of\the Magic Council's Enforcement and Detention Corps nearby just in case. response:	We'll round you all up! I'll crush all you devils' hearts!
context: But that's...\Well, well...\But, that's come to an end.\With the impossible to find Grimoire Heart coming here...\If I finish you off here, that promotion will be more than a dream!\It looks like I was right to station warships of\the Magic Council's Enforcement and Detention Corps nearby just in case.\We'll round you all up! I'll crush all you devils' hearts! response:	Warships?
context: Well, well...\But, that's come to an end.\With the impossible to find Grimoire Heart coming here...\If I finish you off here, that promotion will be more than a dream!\It looks like I was right to station warships of\the Magic Council's Enforcement and Detention Corps nearby just in case.\We'll round you all up! I'll crush all you devils' hearts!\Warships? response:	Are you talking about those?
context: But, that's come to an end.\With the impossible to find Grimoire Heart coming here...\If I finish you off here, that promotion will be more than a dream!\It looks like I was right to station warships of\the Magic Council's Enforcement and Detention Corps nearby just in case.\We'll round you all up! I'll crush all you devils' hearts!\Warships?\Are you talking about those? response:	What did he do?
context: With the impossible to find Grimoire Heart coming here...\If I finish you off here, that promotion will be more than a dream!\It looks like I was right to station warships of\the Magic Council's Enforcement and Detention Corps nearby just in case.\We'll round you all up! I'll crush all you devils' hearts!\Warships?\Are you talking about those?\What did he do? response:	The ships...
context: If I finish you off here, that promotion will be more than a dream!\It looks like I was right to station warships of\the Magic Council's Enforcement and Detention Corps nearby just in case.\We'll round you all up! I'll crush all you devils' hearts!\Warships?\Are you talking about those?\What did he do?\The ships... response:	Impossible!
context: It looks like I was right to station warships of\the Magic Council's Enforcement and Detention Corps nearby just in case.\We'll round you all up! I'll crush all you devils' hearts!\Warships?\Are you talking about those?\What did he do?\The ships...\Impossible! response:	Then, let us start again.
context: the Magic Council's Enforcement and Detention Corps nearby just in case.\We'll round you all up! I'll crush all you devils' hearts!\Warships?\Are you talking about those?\What did he do?\The ships...\Impossible!\Then, let us start again. response:	Is it acceptable for me to begin my job now, Mr. Official?
context: We'll round you all up! I'll crush all you devils' hearts!\Warships?\Are you talking about those?\What did he do?\The ships...\Impossible!\Then, let us start again.\Is it acceptable for me to begin my job now, Mr. Official? response:	Everyone, stand back!
context: Warships?\Are you talking about those?\What did he do?\The ships...\Impossible!\Then, let us start again.\Is it acceptable for me to begin my job now, Mr. Official?\Everyone, stand back! response:	A red signal flare... Signifying an incoming enemy attack...
context: Are you talking about those?\What did he do?\The ships...\Impossible!\Then, let us start again.\Is it acceptable for me to begin my job now, Mr. Official?\Everyone, stand back!\A red signal flare... Signifying an incoming enemy attack... response:	What have things come to?
context: What did he do?\The ships...\Impossible!\Then, let us start again.\Is it acceptable for me to begin my job now, Mr. Official?\Everyone, stand back!\A red signal flare... Signifying an incoming enemy attack...\What have things come to? response:	Mavis...
context: The ships...\Impossible!\Then, let us start again.\Is it acceptable for me to begin my job now, Mr. Official?\Everyone, stand back!\A red signal flare... Signifying an incoming enemy attack...\What have things come to?\Mavis... response:	Fairy Tail's founding master, Mavis Vermillion...
context: Impossible!\Then, let us start again.\Is it acceptable for me to begin my job now, Mr. Official?\Everyone, stand back!\A red signal flare... Signifying an incoming enemy attack...\What have things come to?\Mavis...\Fairy Tail's founding master, Mavis Vermillion... response:	I have led the enemy here to Fairy Tail's holy grounds...
context: Then, let us start again.\Is it acceptable for me to begin my job now, Mr. Official?\Everyone, stand back!\A red signal flare... Signifying an incoming enemy attack...\What have things come to?\Mavis...\Fairy Tail's founding master, Mavis Vermillion...\I have led the enemy here to Fairy Tail's holy grounds... response:	How far have I failed you?
context: Is it acceptable for me to begin my job now, Mr. Official?\Everyone, stand back!\A red signal flare... Signifying an incoming enemy attack...\What have things come to?\Mavis...\Fairy Tail's founding master, Mavis Vermillion...\I have led the enemy here to Fairy Tail's holy grounds...\How far have I failed you? response:	This is all my responsibility...
context: Everyone, stand back!\A red signal flare... Signifying an incoming enemy attack...\What have things come to?\Mavis...\Fairy Tail's founding master, Mavis Vermillion...\I have led the enemy here to Fairy Tail's holy grounds...\How far have I failed you?\This is all my responsibility... response:	I swear I will accept the punishment for this...
context: A red signal flare... Signifying an incoming enemy attack...\What have things come to?\Mavis...\Fairy Tail's founding master, Mavis Vermillion...\I have led the enemy here to Fairy Tail's holy grounds...\How far have I failed you?\This is all my responsibility...\I swear I will accept the punishment for this... response:	So therefore... at least...
context: What have things come to?\Mavis...\Fairy Tail's founding master, Mavis Vermillion...\I have led the enemy here to Fairy Tail's holy grounds...\How far have I failed you?\This is all my responsibility...\I swear I will accept the punishment for this...\So therefore... at least... response:	I heard like, a big explosion from over there.
context: Mavis...\Fairy Tail's founding master, Mavis Vermillion...\I have led the enemy here to Fairy Tail's holy grounds...\How far have I failed you?\This is all my responsibility...\I swear I will accept the punishment for this...\So therefore... at least...\I heard like, a big explosion from over there. response:	Yeah.
context: Fairy Tail's founding master, Mavis Vermillion...\I have led the enemy here to Fairy Tail's holy grounds...\How far have I failed you?\This is all my responsibility...\I swear I will accept the punishment for this...\So therefore... at least...\I heard like, a big explosion from over there.\Yeah. response:	Are the enemy here already?
context: I have led the enemy here to Fairy Tail's holy grounds...\How far have I failed you?\This is all my responsibility...\I swear I will accept the punishment for this...\So therefore... at least...\I heard like, a big explosion from over there.\Yeah.\Are the enemy here already? response:	Let's check it out.
context: How far have I failed you?\This is all my responsibility...\I swear I will accept the punishment for this...\So therefore... at least...\I heard like, a big explosion from over there.\Yeah.\Are the enemy here already?\Let's check it out. response:	Aye!
context: This is all my responsibility...\I swear I will accept the punishment for this...\So therefore... at least...\I heard like, a big explosion from over there.\Yeah.\Are the enemy here already?\Let's check it out.\Aye! response:	W-What did he do?
context: I swear I will accept the punishment for this...\So therefore... at least...\I heard like, a big explosion from over there.\Yeah.\Are the enemy here already?\Let's check it out.\Aye!\W-What did he do? response:	The ships all exploded in an instant!
context: So therefore... at least...\I heard like, a big explosion from over there.\Yeah.\Are the enemy here already?\Let's check it out.\Aye!\W-What did he do?\The ships all exploded in an instant! response:	The Magic Council's warships... Like they were nothing at all...
context: I heard like, a big explosion from over there.\Yeah.\Are the enemy here already?\Let's check it out.\Aye!\W-What did he do?\The ships all exploded in an instant!\The Magic Council's warships... Like they were nothing at all... response:	Lily!
context: Yeah.\Are the enemy here already?\Let's check it out.\Aye!\W-What did he do?\The ships all exploded in an instant!\The Magic Council's warships... Like they were nothing at all...\Lily! response:	BLEVE.
context: Are the enemy here already?\Let's check it out.\Aye!\W-What did he do?\The ships all exploded in an instant!\The Magic Council's warships... Like they were nothing at all...\Lily!\BLEVE. response:	If I only had a sword...
context: Let's check it out.\Aye!\W-What did he do?\The ships all exploded in an instant!\The Magic Council's warships... Like they were nothing at all...\Lily!\BLEVE.\If I only had a sword... response:	Lily!
context: Aye!\W-What did he do?\The ships all exploded in an instant!\The Magic Council's warships... Like they were nothing at all...\Lily!\BLEVE.\If I only had a sword...\Lily! response:	I will support you!
context: W-What did he do?\The ships all exploded in an instant!\The Magic Council's warships... Like they were nothing at all...\Lily!\BLEVE.\If I only had a sword...\Lily!\I will support you! response:	O swift wind that dashes through the heavens!
context: The ships all exploded in an instant!\The Magic Council's warships... Like they were nothing at all...\Lily!\BLEVE.\If I only had a sword...\Lily!\I will support you!\O swift wind that dashes through the heavens! response:	Vernier!
context: The Magic Council's warships... Like they were nothing at all...\Lily!\BLEVE.\If I only had a sword...\Lily!\I will support you!\O swift wind that dashes through the heavens!\Vernier! response:	My body's gotten lighter!
context: Lily!\BLEVE.\If I only had a sword...\Lily!\I will support you!\O swift wind that dashes through the heavens!\Vernier!\My body's gotten lighter! response:	O strength of arm to cleave the heavens!
context: BLEVE.\If I only had a sword...\Lily!\I will support you!\O swift wind that dashes through the heavens!\Vernier!\My body's gotten lighter!\O strength of arm to cleave the heavens! response:	Is this what they call Support Magic?
context: If I only had a sword...\Lily!\I will support you!\O swift wind that dashes through the heavens!\Vernier!\My body's gotten lighter!\O strength of arm to cleave the heavens!\Is this what they call Support Magic? response:	Arms!
context: Lily!\I will support you!\O swift wind that dashes through the heavens!\Vernier!\My body's gotten lighter!\O strength of arm to cleave the heavens!\Is this what they call Support Magic?\Arms! response:	With this...
context: I will support you!\O swift wind that dashes through the heavens!\Vernier!\My body's gotten lighter!\O strength of arm to cleave the heavens!\Is this what they call Support Magic?\Arms!\With this... response:	Mest-san!
context: O swift wind that dashes through the heavens!\Vernier!\My body's gotten lighter!\O strength of arm to cleave the heavens!\Is this what they call Support Magic?\Arms!\With this...\Mest-san! response:	I have a plan.
context: Vernier!\My body's gotten lighter!\O strength of arm to cleave the heavens!\Is this what they call Support Magic?\Arms!\With this...\Mest-san!\I have a plan. response:	Please help me!
context: My body's gotten lighter!\O strength of arm to cleave the heavens!\Is this what they call Support Magic?\Arms!\With this...\Mest-san!\I have a plan.\Please help me! response:	W-What are you saying?
context: O strength of arm to cleave the heavens!\Is this what they call Support Magic?\Arms!\With this...\Mest-san!\I have a plan.\Please help me!\W-What are you saying? response:	I'm an official of the Magic Council!
context: Is this what they call Support Magic?\Arms!\With this...\Mest-san!\I have a plan.\Please help me!\W-What are you saying?\I'm an official of the Magic Council! response:	That doesn't matter right now!
context: Arms!\With this...\Mest-san!\I have a plan.\Please help me!\W-What are you saying?\I'm an official of the Magic Council!\That doesn't matter right now! response:	I want to protect Fairy Tail!
context: With this...\Mest-san!\I have a plan.\Please help me!\W-What are you saying?\I'm an official of the Magic Council!\That doesn't matter right now!\I want to protect Fairy Tail! response:	Please lend me your power!
context: Mest-san!\I have a plan.\Please help me!\W-What are you saying?\I'm an official of the Magic Council!\That doesn't matter right now!\I want to protect Fairy Tail!\Please lend me your power! response:	I came here to destroy your guild so I could be promoted!
context: I have a plan.\Please help me!\W-What are you saying?\I'm an official of the Magic Council!\That doesn't matter right now!\I want to protect Fairy Tail!\Please lend me your power!\I came here to destroy your guild so I could be promoted! response:	I don't care about that!
context: Please help me!\W-What are you saying?\I'm an official of the Magic Council!\That doesn't matter right now!\I want to protect Fairy Tail!\Please lend me your power!\I came here to destroy your guild so I could be promoted!\I don't care about that! response:	Because there's no way we'll be destroyed!
context: W-What are you saying?\I'm an official of the Magic Council!\That doesn't matter right now!\I want to protect Fairy Tail!\Please lend me your power!\I came here to destroy your guild so I could be promoted!\I don't care about that!\Because there's no way we'll be destroyed! response:	Lily!
context: I'm an official of the Magic Council!\That doesn't matter right now!\I want to protect Fairy Tail!\Please lend me your power!\I came here to destroy your guild so I could be promoted!\I don't care about that!\Because there's no way we'll be destroyed!\Lily! response:	Fly higher!
context: That doesn't matter right now!\I want to protect Fairy Tail!\Please lend me your power!\I came here to destroy your guild so I could be promoted!\I don't care about that!\Because there's no way we'll be destroyed!\Lily!\Fly higher! response:	Right!
context: I want to protect Fairy Tail!\Please lend me your power!\I came here to destroy your guild so I could be promoted!\I don't care about that!\Because there's no way we'll be destroyed!\Lily!\Fly higher!\Right! response:	My explosions will reach you, no matter how far you run.
context: Please lend me your power!\I came here to destroy your guild so I could be promoted!\I don't care about that!\Because there's no way we'll be destroyed!\Lily!\Fly higher!\Right!\My explosions will reach you, no matter how far you run. response:	Direct Line!
context: I came here to destroy your guild so I could be promoted!\I don't care about that!\Because there's no way we'll be destroyed!\Lily!\Fly higher!\Right!\My explosions will reach you, no matter how far you run.\Direct Line! response:	A point-blank...
context: I don't care about that!\Because there's no way we'll be destroyed!\Lily!\Fly higher!\Right!\My explosions will reach you, no matter how far you run.\Direct Line!\A point-blank... response:	Eliminating this guy first is the smart move.
context: Because there's no way we'll be destroyed!\Lily!\Fly higher!\Right!\My explosions will reach you, no matter how far you run.\Direct Line!\A point-blank...\Eliminating this guy first is the smart move. response:	Got you.
context: Lily!\Fly higher!\Right!\My explosions will reach you, no matter how far you run.\Direct Line!\A point-blank...\Eliminating this guy first is the smart move.\Got you. response:	Roar of the Sky Dragon!
context: Fly higher!\Right!\My explosions will reach you, no matter how far you run.\Direct Line!\A point-blank...\Eliminating this guy first is the smart move.\Got you.\Roar of the Sky Dragon! response:	This is boring.
context: Right!\My explosions will reach you, no matter how far you run.\Direct Line!\A point-blank...\Eliminating this guy first is the smart move.\Got you.\Roar of the Sky Dragon!\This is boring. response:	Tower Burst!
context: My explosions will reach you, no matter how far you run.\Direct Line!\A point-blank...\Eliminating this guy first is the smart move.\Got you.\Roar of the Sky Dragon!\This is boring.\Tower Burst! response:	What the heck was that?
