context: There's something I've felt since I first met you. response:	You give me a really nostalgic feeling, somehow.
context: So Ishigata-san saved you after you fell into that dam.\I looked for you and Guri-chan, too, but...\Yeah, I guess in that rain...\It was the next day that I realized I'd switched bodies.\I had no idea what was going on.\I was so sad, I couldn't stop crying.\I think I would have gone crazy if it weren't for Ishigata-san.\So that's why you came to an apartment in Tokyo with him. response:	You know that, too?
context: I looked for you and Guri-chan, too, but...\Yeah, I guess in that rain...\It was the next day that I realized I'd switched bodies.\I had no idea what was going on.\I was so sad, I couldn't stop crying.\I think I would have gone crazy if it weren't for Ishigata-san.\So that's why you came to an apartment in Tokyo with him.\You know that, too? response:	We lived in that apartment for about a year.
context: Yeah, I guess in that rain...\It was the next day that I realized I'd switched bodies.\I had no idea what was going on.\I was so sad, I couldn't stop crying.\I think I would have gone crazy if it weren't for Ishigata-san.\So that's why you came to an apartment in Tokyo with him.\You know that, too?\We lived in that apartment for about a year. response:	But one day...
context: It was the next day that I realized I'd switched bodies.\I had no idea what was going on.\I was so sad, I couldn't stop crying.\I think I would have gone crazy if it weren't for Ishigata-san.\So that's why you came to an apartment in Tokyo with him.\You know that, too?\We lived in that apartment for about a year.\But one day... response:	They're here.
context: I had no idea what was going on.\I was so sad, I couldn't stop crying.\I think I would have gone crazy if it weren't for Ishigata-san.\So that's why you came to an apartment in Tokyo with him.\You know that, too?\We lived in that apartment for about a year.\But one day...\They're here. response:	It's the people from the lab.
context: I was so sad, I couldn't stop crying.\I think I would have gone crazy if it weren't for Ishigata-san.\So that's why you came to an apartment in Tokyo with him.\You know that, too?\We lived in that apartment for about a year.\But one day...\They're here.\It's the people from the lab. response:	Escape from the window.
context: I think I would have gone crazy if it weren't for Ishigata-san.\So that's why you came to an apartment in Tokyo with him.\You know that, too?\We lived in that apartment for about a year.\But one day...\They're here.\It's the people from the lab.\Escape from the window. response:	But...
context: So that's why you came to an apartment in Tokyo with him.\You know that, too?\We lived in that apartment for about a year.\But one day...\They're here.\It's the people from the lab.\Escape from the window.\But... response:	In my condition, I'll only slow you down.
context: You know that, too?\We lived in that apartment for about a year.\But one day...\They're here.\It's the people from the lab.\Escape from the window.\But...\In my condition, I'll only slow you down. response:	I can't do that!
context: We lived in that apartment for about a year.\But one day...\They're here.\It's the people from the lab.\Escape from the window.\But...\In my condition, I'll only slow you down.\I can't do that! response:	I need you!
context: But one day...\They're here.\It's the people from the lab.\Escape from the window.\But...\In my condition, I'll only slow you down.\I can't do that!\I need you! response:	Don't worry.
context: They're here.\It's the people from the lab.\Escape from the window.\But...\In my condition, I'll only slow you down.\I can't do that!\I need you!\Don't worry. response:	As soon as I take care of them, I'll come right after you.
context: It's the people from the lab.\Escape from the window.\But...\In my condition, I'll only slow you down.\I can't do that!\I need you!\Don't worry.\As soon as I take care of them, I'll come right after you. response:	You promise?
context: Escape from the window.\But...\In my condition, I'll only slow you down.\I can't do that!\I need you!\Don't worry.\As soon as I take care of them, I'll come right after you.\You promise? response:	Yeah, I promise.
context: But...\In my condition, I'll only slow you down.\I can't do that!\I need you!\Don't worry.\As soon as I take care of them, I'll come right after you.\You promise?\Yeah, I promise. response:	But that promise was never fulfilled.
context: In my condition, I'll only slow you down.\I can't do that!\I need you!\Don't worry.\As soon as I take care of them, I'll come right after you.\You promise?\Yeah, I promise.\But that promise was never fulfilled. response:	Ishigata-san liked cinnamon.
context: I can't do that!\I need you!\Don't worry.\As soon as I take care of them, I'll come right after you.\You promise?\Yeah, I promise.\But that promise was never fulfilled.\Ishigata-san liked cinnamon. response:	Like, cinnamon toast and apple pie.
context: I need you!\Don't worry.\As soon as I take care of them, I'll come right after you.\You promise?\Yeah, I promise.\But that promise was never fulfilled.\Ishigata-san liked cinnamon.\Like, cinnamon toast and apple pie. response:	He loved this cinnamon tea, too.
context: Don't worry.\As soon as I take care of them, I'll come right after you.\You promise?\Yeah, I promise.\But that promise was never fulfilled.\Ishigata-san liked cinnamon.\Like, cinnamon toast and apple pie.\He loved this cinnamon tea, too. response:	I thought it was candy at first, so I bit into it.
context: As soon as I take care of them, I'll come right after you.\You promise?\Yeah, I promise.\But that promise was never fulfilled.\Ishigata-san liked cinnamon.\Like, cinnamon toast and apple pie.\He loved this cinnamon tea, too.\I thought it was candy at first, so I bit into it. response:	Ishigata-san laughed so hard.
context: You promise?\Yeah, I promise.\But that promise was never fulfilled.\Ishigata-san liked cinnamon.\Like, cinnamon toast and apple pie.\He loved this cinnamon tea, too.\I thought it was candy at first, so I bit into it.\Ishigata-san laughed so hard. response:	Every time I smell this scent, I remember those days.
context: Yeah, I promise.\But that promise was never fulfilled.\Ishigata-san liked cinnamon.\Like, cinnamon toast and apple pie.\He loved this cinnamon tea, too.\I thought it was candy at first, so I bit into it.\Ishigata-san laughed so hard.\Every time I smell this scent, I remember those days. response:	I remember the apartment, and Ishigata-san's smile.
context: But that promise was never fulfilled.\Ishigata-san liked cinnamon.\Like, cinnamon toast and apple pie.\He loved this cinnamon tea, too.\I thought it was candy at first, so I bit into it.\Ishigata-san laughed so hard.\Every time I smell this scent, I remember those days.\I remember the apartment, and Ishigata-san's smile. response:	Hey, Chiyoko.
context: Ishigata-san liked cinnamon.\Like, cinnamon toast and apple pie.\He loved this cinnamon tea, too.\I thought it was candy at first, so I bit into it.\Ishigata-san laughed so hard.\Every time I smell this scent, I remember those days.\I remember the apartment, and Ishigata-san's smile.\Hey, Chiyoko. response:	Can you try to think about it one more time?
context: Like, cinnamon toast and apple pie.\He loved this cinnamon tea, too.\I thought it was candy at first, so I bit into it.\Ishigata-san laughed so hard.\Every time I smell this scent, I remember those days.\I remember the apartment, and Ishigata-san's smile.\Hey, Chiyoko.\Can you try to think about it one more time? response:	What did Ishigata-san want?
context: He loved this cinnamon tea, too.\I thought it was candy at first, so I bit into it.\Ishigata-san laughed so hard.\Every time I smell this scent, I remember those days.\I remember the apartment, and Ishigata-san's smile.\Hey, Chiyoko.\Can you try to think about it one more time?\What did Ishigata-san want? response:	Why did he sacrifice himself to save you?
context: I thought it was candy at first, so I bit into it.\Ishigata-san laughed so hard.\Every time I smell this scent, I remember those days.\I remember the apartment, and Ishigata-san's smile.\Hey, Chiyoko.\Can you try to think about it one more time?\What did Ishigata-san want?\Why did he sacrifice himself to save you? response:	Hey, Pine, by the way, do you remember that ring?
context: Ishigata-san laughed so hard.\Every time I smell this scent, I remember those days.\I remember the apartment, and Ishigata-san's smile.\Hey, Chiyoko.\Can you try to think about it one more time?\What did Ishigata-san want?\Why did he sacrifice himself to save you?\Hey, Pine, by the way, do you remember that ring? response:	I got in a fight over it with Guri-chan.
context: Every time I smell this scent, I remember those days.\I remember the apartment, and Ishigata-san's smile.\Hey, Chiyoko.\Can you try to think about it one more time?\What did Ishigata-san want?\Why did he sacrifice himself to save you?\Hey, Pine, by the way, do you remember that ring?\I got in a fight over it with Guri-chan. response:	That takes me back...
context: I remember the apartment, and Ishigata-san's smile.\Hey, Chiyoko.\Can you try to think about it one more time?\What did Ishigata-san want?\Why did he sacrifice himself to save you?\Hey, Pine, by the way, do you remember that ring?\I got in a fight over it with Guri-chan.\That takes me back... response:	Hey, Meika!
context: Hey, Chiyoko.\Can you try to think about it one more time?\What did Ishigata-san want?\Why did he sacrifice himself to save you?\Hey, Pine, by the way, do you remember that ring?\I got in a fight over it with Guri-chan.\That takes me back...\Hey, Meika! response:	Are you out?
context: Can you try to think about it one more time?\What did Ishigata-san want?\Why did he sacrifice himself to save you?\Hey, Pine, by the way, do you remember that ring?\I got in a fight over it with Guri-chan.\That takes me back...\Hey, Meika!\Are you out? response:	I'm coming in.
context: What did Ishigata-san want?\Why did he sacrifice himself to save you?\Hey, Pine, by the way, do you remember that ring?\I got in a fight over it with Guri-chan.\That takes me back...\Hey, Meika!\Are you out?\I'm coming in. response:	Now it's time for the weather.
context: Why did he sacrifice himself to save you?\Hey, Pine, by the way, do you remember that ring?\I got in a fight over it with Guri-chan.\That takes me back...\Hey, Meika!\Are you out?\I'm coming in.\Now it's time for the weather. response:	Cold air will be blowing in from the Sea of Japan,
context: Hey, Pine, by the way, do you remember that ring?\I got in a fight over it with Guri-chan.\That takes me back...\Hey, Meika!\Are you out?\I'm coming in.\Now it's time for the weather.\Cold air will be blowing in from the Sea of Japan, response:	Where'd Meika go?
context: I got in a fight over it with Guri-chan.\That takes me back...\Hey, Meika!\Are you out?\I'm coming in.\Now it's time for the weather.\Cold air will be blowing in from the Sea of Japan,\Where'd Meika go? response:	making this evening quite chilly.
context: That takes me back...\Hey, Meika!\Are you out?\I'm coming in.\Now it's time for the weather.\Cold air will be blowing in from the Sea of Japan,\Where'd Meika go?\making this evening quite chilly. response:	Please dress warmly if you go outside.
context: Hey, Meika!\Are you out?\I'm coming in.\Now it's time for the weather.\Cold air will be blowing in from the Sea of Japan,\Where'd Meika go?\making this evening quite chilly.\Please dress warmly if you go outside. response:	Did you see it?
context: Are you out?\I'm coming in.\Now it's time for the weather.\Cold air will be blowing in from the Sea of Japan,\Where'd Meika go?\making this evening quite chilly.\Please dress warmly if you go outside.\Did you see it? response:	See what?
context: I'm coming in.\Now it's time for the weather.\Cold air will be blowing in from the Sea of Japan,\Where'd Meika go?\making this evening quite chilly.\Please dress warmly if you go outside.\Did you see it?\See what? response:	Oh, that's not why you called?
context: Now it's time for the weather.\Cold air will be blowing in from the Sea of Japan,\Where'd Meika go?\making this evening quite chilly.\Please dress warmly if you go outside.\Did you see it?\See what?\Oh, that's not why you called? response:	What are you talking about?
context: Cold air will be blowing in from the Sea of Japan,\Where'd Meika go?\making this evening quite chilly.\Please dress warmly if you go outside.\Did you see it?\See what?\Oh, that's not why you called?\What are you talking about? response:	I sent a picture to your phone this morning before I went out.
context: Where'd Meika go?\making this evening quite chilly.\Please dress warmly if you go outside.\Did you see it?\See what?\Oh, that's not why you called?\What are you talking about?\I sent a picture to your phone this morning before I went out. response:	It's a day late, but call it a Christmas present.
context: making this evening quite chilly.\Please dress warmly if you go outside.\Did you see it?\See what?\Oh, that's not why you called?\What are you talking about?\I sent a picture to your phone this morning before I went out.\It's a day late, but call it a Christmas present. response:	Huh?
context: Please dress warmly if you go outside.\Did you see it?\See what?\Oh, that's not why you called?\What are you talking about?\I sent a picture to your phone this morning before I went out.\It's a day late, but call it a Christmas present.\Huh? response:	Never mind.
context: Did you see it?\See what?\Oh, that's not why you called?\What are you talking about?\I sent a picture to your phone this morning before I went out.\It's a day late, but call it a Christmas present.\Huh?\Never mind. response:	So what did you want?
context: See what?\Oh, that's not why you called?\What are you talking about?\I sent a picture to your phone this morning before I went out.\It's a day late, but call it a Christmas present.\Huh?\Never mind.\So what did you want? response:	Where are you?
context: Oh, that's not why you called?\What are you talking about?\I sent a picture to your phone this morning before I went out.\It's a day late, but call it a Christmas present.\Huh?\Never mind.\So what did you want?\Where are you? response:	Earth.
context: What are you talking about?\I sent a picture to your phone this morning before I went out.\It's a day late, but call it a Christmas present.\Huh?\Never mind.\So what did you want?\Where are you?\Earth. response:	Quit messing around.
context: I sent a picture to your phone this morning before I went out.\It's a day late, but call it a Christmas present.\Huh?\Never mind.\So what did you want?\Where are you?\Earth.\Quit messing around. response:	Jeez, you're no fun at all.
context: It's a day late, but call it a Christmas present.\Huh?\Never mind.\So what did you want?\Where are you?\Earth.\Quit messing around.\Jeez, you're no fun at all. response:	I have something important to talk to you about.
context: Huh?\Never mind.\So what did you want?\Where are you?\Earth.\Quit messing around.\Jeez, you're no fun at all.\I have something important to talk to you about. response:	It's about Narugino's condition.
context: Never mind.\So what did you want?\Where are you?\Earth.\Quit messing around.\Jeez, you're no fun at all.\I have something important to talk to you about.\It's about Narugino's condition. response:	I'm at the station.
context: So what did you want?\Where are you?\Earth.\Quit messing around.\Jeez, you're no fun at all.\I have something important to talk to you about.\It's about Narugino's condition.\I'm at the station. response:	I had some mechanical problems.
context: Where are you?\Earth.\Quit messing around.\Jeez, you're no fun at all.\I have something important to talk to you about.\It's about Narugino's condition.\I'm at the station.\I had some mechanical problems. response:	I'm on my way to buy replacement parts.
context: Earth.\Quit messing around.\Jeez, you're no fun at all.\I have something important to talk to you about.\It's about Narugino's condition.\I'm at the station.\I had some mechanical problems.\I'm on my way to buy replacement parts. response:	Can you come to my room when you get back, then?
context: Quit messing around.\Jeez, you're no fun at all.\I have something important to talk to you about.\It's about Narugino's condition.\I'm at the station.\I had some mechanical problems.\I'm on my way to buy replacement parts.\Can you come to my room when you get back, then? response:	All right.
context: Jeez, you're no fun at all.\I have something important to talk to you about.\It's about Narugino's condition.\I'm at the station.\I had some mechanical problems.\I'm on my way to buy replacement parts.\Can you come to my room when you get back, then?\All right. response:	Later.
context: I have something important to talk to you about.\It's about Narugino's condition.\I'm at the station.\I had some mechanical problems.\I'm on my way to buy replacement parts.\Can you come to my room when you get back, then?\All right.\Later. response:	May this Christmas flip your skirt up
context: It's about Narugino's condition.\I'm at the station.\I had some mechanical problems.\I'm on my way to buy replacement parts.\Can you come to my room when you get back, then?\All right.\Later.\May this Christmas flip your skirt up response:	May this Christmas flip your skirt up
context: I'm at the station.\I had some mechanical problems.\I'm on my way to buy replacement parts.\Can you come to my room when you get back, then?\All right.\Later.\May this Christmas flip your skirt up\May this Christmas flip your skirt up response:	That idiot!
context: I had some mechanical problems.\I'm on my way to buy replacement parts.\Can you come to my room when you get back, then?\All right.\Later.\May this Christmas flip your skirt up\May this Christmas flip your skirt up\That idiot! response:	That's foolish.
context: I'm on my way to buy replacement parts.\Can you come to my room when you get back, then?\All right.\Later.\May this Christmas flip your skirt up\May this Christmas flip your skirt up\That idiot!\That's foolish. response:	Operation Intercept is fundamentally doomed to fail.
context: Can you come to my room when you get back, then?\All right.\Later.\May this Christmas flip your skirt up\May this Christmas flip your skirt up\That idiot!\That's foolish.\Operation Intercept is fundamentally doomed to fail. response:	Nuclear weapons are powerless in space, as they don't produce blast waves there.
context: All right.\Later.\May this Christmas flip your skirt up\May this Christmas flip your skirt up\That idiot!\That's foolish.\Operation Intercept is fundamentally doomed to fail.\Nuclear weapons are powerless in space, as they don't produce blast waves there. response:	But with a few dozen missiles...
context: Later.\May this Christmas flip your skirt up\May this Christmas flip your skirt up\That idiot!\That's foolish.\Operation Intercept is fundamentally doomed to fail.\Nuclear weapons are powerless in space, as they don't produce blast waves there.\But with a few dozen missiles... response:	Heated Debate!! TV Debate
context: May this Christmas flip your skirt up\May this Christmas flip your skirt up\That idiot!\That's foolish.\Operation Intercept is fundamentally doomed to fail.\Nuclear weapons are powerless in space, as they don't produce blast waves there.\But with a few dozen missiles...\Heated Debate!! TV Debate response:	The US Military's Asteroid Interception Plan Proceeding in Secret?
context: May this Christmas flip your skirt up\That idiot!\That's foolish.\Operation Intercept is fundamentally doomed to fail.\Nuclear weapons are powerless in space, as they don't produce blast waves there.\But with a few dozen missiles...\Heated Debate!! TV Debate\The US Military's Asteroid Interception Plan Proceeding in Secret? response:	That's nowhere near enough to destroy an asteroid two kilometers in diameter.
context: That idiot!\That's foolish.\Operation Intercept is fundamentally doomed to fail.\Nuclear weapons are powerless in space, as they don't produce blast waves there.\But with a few dozen missiles...\Heated Debate!! TV Debate\The US Military's Asteroid Interception Plan Proceeding in Secret?\That's nowhere near enough to destroy an asteroid two kilometers in diameter. response:	Of course, with a few thousand, it might be a different story.
context: That's foolish.\Operation Intercept is fundamentally doomed to fail.\Nuclear weapons are powerless in space, as they don't produce blast waves there.\But with a few dozen missiles...\Heated Debate!! TV Debate\The US Military's Asteroid Interception Plan Proceeding in Secret?\That's nowhere near enough to destroy an asteroid two kilometers in diameter.\Of course, with a few thousand, it might be a different story. response:	The United States has secretly launched a military satellite into orbit,
context: Operation Intercept is fundamentally doomed to fail.\Nuclear weapons are powerless in space, as they don't produce blast waves there.\But with a few dozen missiles...\Heated Debate!! TV Debate\The US Military's Asteroid Interception Plan Proceeding in Secret?\That's nowhere near enough to destroy an asteroid two kilometers in diameter.\Of course, with a few thousand, it might be a different story.\The United States has secretly launched a military satellite into orbit, response:	equipped with several dozen nuclear missiles.
context: Nuclear weapons are powerless in space, as they don't produce blast waves there.\But with a few dozen missiles...\Heated Debate!! TV Debate\The US Military's Asteroid Interception Plan Proceeding in Secret?\That's nowhere near enough to destroy an asteroid two kilometers in diameter.\Of course, with a few thousand, it might be a different story.\The United States has secretly launched a military satellite into orbit,\equipped with several dozen nuclear missiles. response:	The goal of Operation Intercept is to use these missiles
context: But with a few dozen missiles...\Heated Debate!! TV Debate\The US Military's Asteroid Interception Plan Proceeding in Secret?\That's nowhere near enough to destroy an asteroid two kilometers in diameter.\Of course, with a few thousand, it might be a different story.\The United States has secretly launched a military satellite into orbit,\equipped with several dozen nuclear missiles.\The goal of Operation Intercept is to use these missiles response:	to destroy the incoming asteroid.
context: Heated Debate!! TV Debate\The US Military's Asteroid Interception Plan Proceeding in Secret?\That's nowhere near enough to destroy an asteroid two kilometers in diameter.\Of course, with a few thousand, it might be a different story.\The United States has secretly launched a military satellite into orbit,\equipped with several dozen nuclear missiles.\The goal of Operation Intercept is to use these missiles\to destroy the incoming asteroid. response:	Was everything he said a lie?
context: The US Military's Asteroid Interception Plan Proceeding in Secret?\That's nowhere near enough to destroy an asteroid two kilometers in diameter.\Of course, with a few thousand, it might be a different story.\The United States has secretly launched a military satellite into orbit,\equipped with several dozen nuclear missiles.\The goal of Operation Intercept is to use these missiles\to destroy the incoming asteroid.\Was everything he said a lie? response:	Hey, Rabura!
context: That's nowhere near enough to destroy an asteroid two kilometers in diameter.\Of course, with a few thousand, it might be a different story.\The United States has secretly launched a military satellite into orbit,\equipped with several dozen nuclear missiles.\The goal of Operation Intercept is to use these missiles\to destroy the incoming asteroid.\Was everything he said a lie?\Hey, Rabura! response:	You're not here?!
context: Of course, with a few thousand, it might be a different story.\The United States has secretly launched a military satellite into orbit,\equipped with several dozen nuclear missiles.\The goal of Operation Intercept is to use these missiles\to destroy the incoming asteroid.\Was everything he said a lie?\Hey, Rabura!\You're not here?! response:	Wh-What do you want?
context: The United States has secretly launched a military satellite into orbit,\equipped with several dozen nuclear missiles.\The goal of Operation Intercept is to use these missiles\to destroy the incoming asteroid.\Was everything he said a lie?\Hey, Rabura!\You're not here?!\Wh-What do you want? response:	At least knock, will you?
context: equipped with several dozen nuclear missiles.\The goal of Operation Intercept is to use these missiles\to destroy the incoming asteroid.\Was everything he said a lie?\Hey, Rabura!\You're not here?!\Wh-What do you want?\At least knock, will you? response:	Where's Rabura?
context: The goal of Operation Intercept is to use these missiles\to destroy the incoming asteroid.\Was everything he said a lie?\Hey, Rabura!\You're not here?!\Wh-What do you want?\At least knock, will you?\Where's Rabura? response:	She left early this morning.
context: to destroy the incoming asteroid.\Was everything he said a lie?\Hey, Rabura!\You're not here?!\Wh-What do you want?\At least knock, will you?\Where's Rabura?\She left early this morning. response:	She said she had an urgent request for an exorcism.
context: Was everything he said a lie?\Hey, Rabura!\You're not here?!\Wh-What do you want?\At least knock, will you?\Where's Rabura?\She left early this morning.\She said she had an urgent request for an exorcism. response:	The number you have dialed
context: Hey, Rabura!\You're not here?!\Wh-What do you want?\At least knock, will you?\Where's Rabura?\She left early this morning.\She said she had an urgent request for an exorcism.\The number you have dialed response:	Damn!
context: You're not here?!\Wh-What do you want?\At least knock, will you?\Where's Rabura?\She left early this morning.\She said she had an urgent request for an exorcism.\The number you have dialed\Damn! response:	Wh-What'd you do that for?!
context: Wh-What do you want?\At least knock, will you?\Where's Rabura?\She left early this morning.\She said she had an urgent request for an exorcism.\The number you have dialed\Damn!\Wh-What'd you do that for?! response:	I thought I'd make a proper ghostly appearance for once.
