context: Today, I overslept and didn't have time, so it's omelet rice again. response:	You know, I don't need lunches anymore.
context: Everyone buys food at the school cafeteria.\So, to get along with new friends, I don't need them anymore.\That is such a pity!\But, since I made it today, I want you to take it with you!\S-Sure...\Something nice will happen <3\There's no way I'd be able to eat an omelet rice with a message\written on it in the classroom... response:	Episode 3 - Love and Flame
context: So, to get along with new friends, I don't need them anymore.\That is such a pity!\But, since I made it today, I want you to take it with you!\S-Sure...\Something nice will happen <3\There's no way I'd be able to eat an omelet rice with a message\written on it in the classroom...\Episode 3 - Love and Flame response:	Good morning.
context: That is such a pity!\But, since I made it today, I want you to take it with you!\S-Sure...\Something nice will happen <3\There's no way I'd be able to eat an omelet rice with a message\written on it in the classroom...\Episode 3 - Love and Flame\Good morning. response:	Yeah, morning.
context: But, since I made it today, I want you to take it with you!\S-Sure...\Something nice will happen <3\There's no way I'd be able to eat an omelet rice with a message\written on it in the classroom...\Episode 3 - Love and Flame\Good morning.\Yeah, morning. response:	You seem to be pretty spiritless today.
context: S-Sure...\Something nice will happen <3\There's no way I'd be able to eat an omelet rice with a message\written on it in the classroom...\Episode 3 - Love and Flame\Good morning.\Yeah, morning.\You seem to be pretty spiritless today. response:	No, this is about how low my spirit is to begin with. Especially in the mornings.
context: Something nice will happen <3\There's no way I'd be able to eat an omelet rice with a message\written on it in the classroom...\Episode 3 - Love and Flame\Good morning.\Yeah, morning.\You seem to be pretty spiritless today.\No, this is about how low my spirit is to begin with. Especially in the mornings. response:	Then, for lunch today.
context: There's no way I'd be able to eat an omelet rice with a message\written on it in the classroom...\Episode 3 - Love and Flame\Good morning.\Yeah, morning.\You seem to be pretty spiritless today.\No, this is about how low my spirit is to begin with. Especially in the mornings.\Then, for lunch today. response:	I'll splurge and go for the limited edition beef tongue curry to lift your spirits up.
context: written on it in the classroom...\Episode 3 - Love and Flame\Good morning.\Yeah, morning.\You seem to be pretty spiritless today.\No, this is about how low my spirit is to begin with. Especially in the mornings.\Then, for lunch today.\I'll splurge and go for the limited edition beef tongue curry to lift your spirits up. response:	Limited edition? Will you make it in time?
context: Episode 3 - Love and Flame\Good morning.\Yeah, morning.\You seem to be pretty spiritless today.\No, this is about how low my spirit is to begin with. Especially in the mornings.\Then, for lunch today.\I'll splurge and go for the limited edition beef tongue curry to lift your spirits up.\Limited edition? Will you make it in time? response:	If I use my ability, a piece of cake.
context: Good morning.\Yeah, morning.\You seem to be pretty spiritless today.\No, this is about how low my spirit is to begin with. Especially in the mornings.\Then, for lunch today.\I'll splurge and go for the limited edition beef tongue curry to lift your spirits up.\Limited edition? Will you make it in time?\If I use my ability, a piece of cake. response:	Right...
context: Yeah, morning.\You seem to be pretty spiritless today.\No, this is about how low my spirit is to begin with. Especially in the mornings.\Then, for lunch today.\I'll splurge and go for the limited edition beef tongue curry to lift your spirits up.\Limited edition? Will you make it in time?\If I use my ability, a piece of cake.\Right... response:	I have been waiting for you. Here you go.
context: You seem to be pretty spiritless today.\No, this is about how low my spirit is to begin with. Especially in the mornings.\Then, for lunch today.\I'll splurge and go for the limited edition beef tongue curry to lift your spirits up.\Limited edition? Will you make it in time?\If I use my ability, a piece of cake.\Right...\I have been waiting for you. Here you go. response:	For now, I think you're better off if you went to the hospital...
context: No, this is about how low my spirit is to begin with. Especially in the mornings.\Then, for lunch today.\I'll splurge and go for the limited edition beef tongue curry to lift your spirits up.\Limited edition? Will you make it in time?\If I use my ability, a piece of cake.\Right...\I have been waiting for you. Here you go.\For now, I think you're better off if you went to the hospital... response:	Oh, this? I'm pretty much used to this... I'm sorry to make you worry about me.
context: Then, for lunch today.\I'll splurge and go for the limited edition beef tongue curry to lift your spirits up.\Limited edition? Will you make it in time?\If I use my ability, a piece of cake.\Right...\I have been waiting for you. Here you go.\For now, I think you're better off if you went to the hospital...\Oh, this? I'm pretty much used to this... I'm sorry to make you worry about me. response:	This is an ability that is way too incomplete after all!
context: I'll splurge and go for the limited edition beef tongue curry to lift your spirits up.\Limited edition? Will you make it in time?\If I use my ability, a piece of cake.\Right...\I have been waiting for you. Here you go.\For now, I think you're better off if you went to the hospital...\Oh, this? I'm pretty much used to this... I'm sorry to make you worry about me.\This is an ability that is way too incomplete after all! response:	An outpouring of spices! This is how curry should be!
context: Limited edition? Will you make it in time?\If I use my ability, a piece of cake.\Right...\I have been waiting for you. Here you go.\For now, I think you're better off if you went to the hospital...\Oh, this? I'm pretty much used to this... I'm sorry to make you worry about me.\This is an ability that is way too incomplete after all!\An outpouring of spices! This is how curry should be! response:	Delicious!
context: If I use my ability, a piece of cake.\Right...\I have been waiting for you. Here you go.\For now, I think you're better off if you went to the hospital...\Oh, this? I'm pretty much used to this... I'm sorry to make you worry about me.\This is an ability that is way too incomplete after all!\An outpouring of spices! This is how curry should be!\Delicious! response:	I'm glad I could meet your expectations.
context: Right...\I have been waiting for you. Here you go.\For now, I think you're better off if you went to the hospital...\Oh, this? I'm pretty much used to this... I'm sorry to make you worry about me.\This is an ability that is way too incomplete after all!\An outpouring of spices! This is how curry should be!\Delicious!\I'm glad I could meet your expectations. response:	Curry was something that should be spicy after all...
context: I have been waiting for you. Here you go.\For now, I think you're better off if you went to the hospital...\Oh, this? I'm pretty much used to this... I'm sorry to make you worry about me.\This is an ability that is way too incomplete after all!\An outpouring of spices! This is how curry should be!\Delicious!\I'm glad I could meet your expectations.\Curry was something that should be spicy after all... response:	It's medium spicy, but was this the right spice level for you then?
context: For now, I think you're better off if you went to the hospital...\Oh, this? I'm pretty much used to this... I'm sorry to make you worry about me.\This is an ability that is way too incomplete after all!\An outpouring of spices! This is how curry should be!\Delicious!\I'm glad I could meet your expectations.\Curry was something that should be spicy after all...\It's medium spicy, but was this the right spice level for you then? response:	The beef tongue also melts in your mouth! It's the best!
context: Oh, this? I'm pretty much used to this... I'm sorry to make you worry about me.\This is an ability that is way too incomplete after all!\An outpouring of spices! This is how curry should be!\Delicious!\I'm glad I could meet your expectations.\Curry was something that should be spicy after all...\It's medium spicy, but was this the right spice level for you then?\The beef tongue also melts in your mouth! It's the best! response:	You must really love curry.
context: This is an ability that is way too incomplete after all!\An outpouring of spices! This is how curry should be!\Delicious!\I'm glad I could meet your expectations.\Curry was something that should be spicy after all...\It's medium spicy, but was this the right spice level for you then?\The beef tongue also melts in your mouth! It's the best!\You must really love curry. response:	Yup, yup...
context: An outpouring of spices! This is how curry should be!\Delicious!\I'm glad I could meet your expectations.\Curry was something that should be spicy after all...\It's medium spicy, but was this the right spice level for you then?\The beef tongue also melts in your mouth! It's the best!\You must really love curry.\Yup, yup... response:	Oh, I remember now...
context: Delicious!\I'm glad I could meet your expectations.\Curry was something that should be spicy after all...\It's medium spicy, but was this the right spice level for you then?\The beef tongue also melts in your mouth! It's the best!\You must really love curry.\Yup, yup...\Oh, I remember now... response:	Yes, I understand.
context: I'm glad I could meet your expectations.\Curry was something that should be spicy after all...\It's medium spicy, but was this the right spice level for you then?\The beef tongue also melts in your mouth! It's the best!\You must really love curry.\Yup, yup...\Oh, I remember now...\Yes, I understand. response:	Our helper is going to make another appearance.
context: Curry was something that should be spicy after all...\It's medium spicy, but was this the right spice level for you then?\The beef tongue also melts in your mouth! It's the best!\You must really love curry.\Yup, yup...\Oh, I remember now...\Yes, I understand.\Our helper is going to make another appearance. response:	Let's head over to the student council room.
context: It's medium spicy, but was this the right spice level for you then?\The beef tongue also melts in your mouth! It's the best!\You must really love curry.\Yup, yup...\Oh, I remember now...\Yes, I understand.\Our helper is going to make another appearance.\Let's head over to the student council room. response:	Why is that guy always soaking wet?
context: The beef tongue also melts in your mouth! It's the best!\You must really love curry.\Yup, yup...\Oh, I remember now...\Yes, I understand.\Our helper is going to make another appearance.\Let's head over to the student council room.\Why is that guy always soaking wet? response:	He can't use his ability unless he gets soaking wet while fully clothed.
context: You must really love curry.\Yup, yup...\Oh, I remember now...\Yes, I understand.\Our helper is going to make another appearance.\Let's head over to the student council room.\Why is that guy always soaking wet?\He can't use his ability unless he gets soaking wet while fully clothed. response:	What a cumbersome ability!
context: Yup, yup...\Oh, I remember now...\Yes, I understand.\Our helper is going to make another appearance.\Let's head over to the student council room.\Why is that guy always soaking wet?\He can't use his ability unless he gets soaking wet while fully clothed.\What a cumbersome ability! response:	The ability is... channeling.
context: Oh, I remember now...\Yes, I understand.\Our helper is going to make another appearance.\Let's head over to the student council room.\Why is that guy always soaking wet?\He can't use his ability unless he gets soaking wet while fully clothed.\What a cumbersome ability!\The ability is... channeling. response:	Channeling?
context: Yes, I understand.\Our helper is going to make another appearance.\Let's head over to the student council room.\Why is that guy always soaking wet?\He can't use his ability unless he gets soaking wet while fully clothed.\What a cumbersome ability!\The ability is... channeling.\Channeling? response:	Spiritualism. Allowing dead individuals to possess them, like ITAKO shamans.
context: Our helper is going to make another appearance.\Let's head over to the student council room.\Why is that guy always soaking wet?\He can't use his ability unless he gets soaking wet while fully clothed.\What a cumbersome ability!\The ability is... channeling.\Channeling?\Spiritualism. Allowing dead individuals to possess them, like ITAKO shamans. response:	Not just a fraud, but someone who can really use it as a special ability...
context: Let's head over to the student council room.\Why is that guy always soaking wet?\He can't use his ability unless he gets soaking wet while fully clothed.\What a cumbersome ability!\The ability is... channeling.\Channeling?\Spiritualism. Allowing dead individuals to possess them, like ITAKO shamans.\Not just a fraud, but someone who can really use it as a special ability... response:	that's pretty amazing.
context: Why is that guy always soaking wet?\He can't use his ability unless he gets soaking wet while fully clothed.\What a cumbersome ability!\The ability is... channeling.\Channeling?\Spiritualism. Allowing dead individuals to possess them, like ITAKO shamans.\Not just a fraud, but someone who can really use it as a special ability...\that's pretty amazing. response:	One more... pyrokinesis.
context: He can't use his ability unless he gets soaking wet while fully clothed.\What a cumbersome ability!\The ability is... channeling.\Channeling?\Spiritualism. Allowing dead individuals to possess them, like ITAKO shamans.\Not just a fraud, but someone who can really use it as a special ability...\that's pretty amazing.\One more... pyrokinesis. response:	To think that someone has two abilities!
context: What a cumbersome ability!\The ability is... channeling.\Channeling?\Spiritualism. Allowing dead individuals to possess them, like ITAKO shamans.\Not just a fraud, but someone who can really use it as a special ability...\that's pretty amazing.\One more... pyrokinesis.\To think that someone has two abilities! response:	I'd like to get moving to grab this person...
context: The ability is... channeling.\Channeling?\Spiritualism. Allowing dead individuals to possess them, like ITAKO shamans.\Not just a fraud, but someone who can really use it as a special ability...\that's pretty amazing.\One more... pyrokinesis.\To think that someone has two abilities!\I'd like to get moving to grab this person... response:	But this is an ordinary road.
context: Channeling?\Spiritualism. Allowing dead individuals to possess them, like ITAKO shamans.\Not just a fraud, but someone who can really use it as a special ability...\that's pretty amazing.\One more... pyrokinesis.\To think that someone has two abilities!\I'd like to get moving to grab this person...\But this is an ordinary road. response:	What does that mean?
context: Spiritualism. Allowing dead individuals to possess them, like ITAKO shamans.\Not just a fraud, but someone who can really use it as a special ability...\that's pretty amazing.\One more... pyrokinesis.\To think that someone has two abilities!\I'd like to get moving to grab this person...\But this is an ordinary road.\What does that mean? response:	It means, the person is on the move.
context: Not just a fraud, but someone who can really use it as a special ability...\that's pretty amazing.\One more... pyrokinesis.\To think that someone has two abilities!\I'd like to get moving to grab this person...\But this is an ordinary road.\What does that mean?\It means, the person is on the move. response:	In the middle of a weekday? Is the person ditching school?
context: that's pretty amazing.\One more... pyrokinesis.\To think that someone has two abilities!\I'd like to get moving to grab this person...\But this is an ordinary road.\What does that mean?\It means, the person is on the move.\In the middle of a weekday? Is the person ditching school? response:	But you know, this road... this should be a narrow alley that is not that popular.
context: One more... pyrokinesis.\To think that someone has two abilities!\I'd like to get moving to grab this person...\But this is an ordinary road.\What does that mean?\It means, the person is on the move.\In the middle of a weekday? Is the person ditching school?\But you know, this road... this should be a narrow alley that is not that popular. response:	What are you asserting?
context: To think that someone has two abilities!\I'd like to get moving to grab this person...\But this is an ordinary road.\What does that mean?\It means, the person is on the move.\In the middle of a weekday? Is the person ditching school?\But you know, this road... this should be a narrow alley that is not that popular.\What are you asserting? response:	Anyhow, let's try heading out to this location.
context: I'd like to get moving to grab this person...\But this is an ordinary road.\What does that mean?\It means, the person is on the move.\In the middle of a weekday? Is the person ditching school?\But you know, this road... this should be a narrow alley that is not that popular.\What are you asserting?\Anyhow, let's try heading out to this location. response:	This place is it?
context: But this is an ordinary road.\What does that mean?\It means, the person is on the move.\In the middle of a weekday? Is the person ditching school?\But you know, this road... this should be a narrow alley that is not that popular.\What are you asserting?\Anyhow, let's try heading out to this location.\This place is it? response:	Yes.
context: What does that mean?\It means, the person is on the move.\In the middle of a weekday? Is the person ditching school?\But you know, this road... this should be a narrow alley that is not that popular.\What are you asserting?\Anyhow, let's try heading out to this location.\This place is it?\Yes. response:	What?
context: It means, the person is on the move.\In the middle of a weekday? Is the person ditching school?\But you know, this road... this should be a narrow alley that is not that popular.\What are you asserting?\Anyhow, let's try heading out to this location.\This place is it?\Yes.\What? response:	That person was pretty desperate in passing through here.
context: In the middle of a weekday? Is the person ditching school?\But you know, this road... this should be a narrow alley that is not that popular.\What are you asserting?\Anyhow, let's try heading out to this location.\This place is it?\Yes.\What?\That person was pretty desperate in passing through here. response:	Why?
context: But you know, this road... this should be a narrow alley that is not that popular.\What are you asserting?\Anyhow, let's try heading out to this location.\This place is it?\Yes.\What?\That person was pretty desperate in passing through here.\Why? response:	This side is the only one that has no dust on it.
context: What are you asserting?\Anyhow, let's try heading out to this location.\This place is it?\Yes.\What?\That person was pretty desperate in passing through here.\Why?\This side is the only one that has no dust on it. response:	In other words, whoever it was ran through here,
context: Anyhow, let's try heading out to this location.\This place is it?\Yes.\What?\That person was pretty desperate in passing through here.\Why?\This side is the only one that has no dust on it.\In other words, whoever it was ran through here, response:	and bumped into this box or something.
context: This place is it?\Yes.\What?\That person was pretty desperate in passing through here.\Why?\This side is the only one that has no dust on it.\In other words, whoever it was ran through here,\and bumped into this box or something. response:	In other words, that means this person was being chased?
context: Yes.\What?\That person was pretty desperate in passing through here.\Why?\This side is the only one that has no dust on it.\In other words, whoever it was ran through here,\and bumped into this box or something.\In other words, that means this person was being chased? response:	Sounds like an incident...
context: What?\That person was pretty desperate in passing through here.\Why?\This side is the only one that has no dust on it.\In other words, whoever it was ran through here,\and bumped into this box or something.\In other words, that means this person was being chased?\Sounds like an incident... response:	Another troublesome one...
context: That person was pretty desperate in passing through here.\Why?\This side is the only one that has no dust on it.\In other words, whoever it was ran through here,\and bumped into this box or something.\In other words, that means this person was being chased?\Sounds like an incident...\Another troublesome one... response:	For now, let's move forward.
context: Why?\This side is the only one that has no dust on it.\In other words, whoever it was ran through here,\and bumped into this box or something.\In other words, that means this person was being chased?\Sounds like an incident...\Another troublesome one...\For now, let's move forward. response:	Two new footprints. One has a short stride, and one is longer.
context: This side is the only one that has no dust on it.\In other words, whoever it was ran through here,\and bumped into this box or something.\In other words, that means this person was being chased?\Sounds like an incident...\Another troublesome one...\For now, let's move forward.\Two new footprints. One has a short stride, and one is longer. response:	This totally indicates a girl being chased by some adult.
context: In other words, whoever it was ran through here,\and bumped into this box or something.\In other words, that means this person was being chased?\Sounds like an incident...\Another troublesome one...\For now, let's move forward.\Two new footprints. One has a short stride, and one is longer.\This totally indicates a girl being chased by some adult. response:	We're going to hurry.
context: and bumped into this box or something.\In other words, that means this person was being chased?\Sounds like an incident...\Another troublesome one...\For now, let's move forward.\Two new footprints. One has a short stride, and one is longer.\This totally indicates a girl being chased by some adult.\We're going to hurry. response:	Oh, that thing earlier?
context: In other words, that means this person was being chased?\Sounds like an incident...\Another troublesome one...\For now, let's move forward.\Two new footprints. One has a short stride, and one is longer.\This totally indicates a girl being chased by some adult.\We're going to hurry.\Oh, that thing earlier? response:	What was it?
context: Sounds like an incident...\Another troublesome one...\For now, let's move forward.\Two new footprints. One has a short stride, and one is longer.\This totally indicates a girl being chased by some adult.\We're going to hurry.\Oh, that thing earlier?\What was it? response:	That filming session where an idol was being chased by a big guy, right?
context: Another troublesome one...\For now, let's move forward.\Two new footprints. One has a short stride, and one is longer.\This totally indicates a girl being chased by some adult.\We're going to hurry.\Oh, that thing earlier?\What was it?\That filming session where an idol was being chased by a big guy, right? response:	An idol?
context: For now, let's move forward.\Two new footprints. One has a short stride, and one is longer.\This totally indicates a girl being chased by some adult.\We're going to hurry.\Oh, that thing earlier?\What was it?\That filming session where an idol was being chased by a big guy, right?\An idol? response:	Let's see... that's right, it was Yusa Nishimori.
context: Two new footprints. One has a short stride, and one is longer.\This totally indicates a girl being chased by some adult.\We're going to hurry.\Oh, that thing earlier?\What was it?\That filming session where an idol was being chased by a big guy, right?\An idol?\Let's see... that's right, it was Yusa Nishimori. response:	I've heard of that name.
context: This totally indicates a girl being chased by some adult.\We're going to hurry.\Oh, that thing earlier?\What was it?\That filming session where an idol was being chased by a big guy, right?\An idol?\Let's see... that's right, it was Yusa Nishimori.\I've heard of that name. response:	Me, too...
context: We're going to hurry.\Oh, that thing earlier?\What was it?\That filming session where an idol was being chased by a big guy, right?\An idol?\Let's see... that's right, it was Yusa Nishimori.\I've heard of that name.\Me, too... response:	Yusarin?!
context: Oh, that thing earlier?\What was it?\That filming session where an idol was being chased by a big guy, right?\An idol?\Let's see... that's right, it was Yusa Nishimori.\I've heard of that name.\Me, too...\Yusarin?! response:	Just as I thought! It's the idol that Ayumi likes!
context: What was it?\That filming session where an idol was being chased by a big guy, right?\An idol?\Let's see... that's right, it was Yusa Nishimori.\I've heard of that name.\Me, too...\Yusarin?!\Just as I thought! It's the idol that Ayumi likes! response:	You know her?
context: That filming session where an idol was being chased by a big guy, right?\An idol?\Let's see... that's right, it was Yusa Nishimori.\I've heard of that name.\Me, too...\Yusarin?!\Just as I thought! It's the idol that Ayumi likes!\You know her? response:	She's the vocalist for the band How Low Hello (nicknamed Haro-haro)
context: An idol?\Let's see... that's right, it was Yusa Nishimori.\I've heard of that name.\Me, too...\Yusarin?!\Just as I thought! It's the idol that Ayumi likes!\You know her?\She's the vocalist for the band How Low Hello (nicknamed Haro-haro) response:	an upcoming idol that can sing and dance.
context: Let's see... that's right, it was Yusa Nishimori.\I've heard of that name.\Me, too...\Yusarin?!\Just as I thought! It's the idol that Ayumi likes!\You know her?\She's the vocalist for the band How Low Hello (nicknamed Haro-haro)\an upcoming idol that can sing and dance. response:	You were that big an idol otaku? That's such a turn-off!
context: I've heard of that name.\Me, too...\Yusarin?!\Just as I thought! It's the idol that Ayumi likes!\You know her?\She's the vocalist for the band How Low Hello (nicknamed Haro-haro)\an upcoming idol that can sing and dance.\You were that big an idol otaku? That's such a turn-off! response:	When she was in 6th grade,
context: Me, too...\Yusarin?!\Just as I thought! It's the idol that Ayumi likes!\You know her?\She's the vocalist for the band How Low Hello (nicknamed Haro-haro)\an upcoming idol that can sing and dance.\You were that big an idol otaku? That's such a turn-off!\When she was in 6th grade, response:	her career started from the achievement of winning the grand prize...
context: Yusarin?!\Just as I thought! It's the idol that Ayumi likes!\You know her?\She's the vocalist for the band How Low Hello (nicknamed Haro-haro)\an upcoming idol that can sing and dance.\You were that big an idol otaku? That's such a turn-off!\When she was in 6th grade,\her career started from the achievement of winning the grand prize... response:	She debuted on that magazine as their exclusive model!
context: Just as I thought! It's the idol that Ayumi likes!\You know her?\She's the vocalist for the band How Low Hello (nicknamed Haro-haro)\an upcoming idol that can sing and dance.\You were that big an idol otaku? That's such a turn-off!\When she was in 6th grade,\her career started from the achievement of winning the grand prize...\She debuted on that magazine as their exclusive model! response:	The year after that, she landed a job as a
context: You know her?\She's the vocalist for the band How Low Hello (nicknamed Haro-haro)\an upcoming idol that can sing and dance.\You were that big an idol otaku? That's such a turn-off!\When she was in 6th grade,\her career started from the achievement of winning the grand prize...\She debuted on that magazine as their exclusive model!\The year after that, she landed a job as a response:	regular member of the Movement Morning! show.
context: She's the vocalist for the band How Low Hello (nicknamed Haro-haro)\an upcoming idol that can sing and dance.\You were that big an idol otaku? That's such a turn-off!\When she was in 6th grade,\her career started from the achievement of winning the grand prize...\She debuted on that magazine as their exclusive model!\The year after that, she landed a job as a\regular member of the Movement Morning! show. response:	But, she quit two years later to concentrate on high school entrance exams.
context: an upcoming idol that can sing and dance.\You were that big an idol otaku? That's such a turn-off!\When she was in 6th grade,\her career started from the achievement of winning the grand prize...\She debuted on that magazine as their exclusive model!\The year after that, she landed a job as a\regular member of the Movement Morning! show.\But, she quit two years later to concentrate on high school entrance exams. response:	She re-started her career in showbiz after advancing to high school...
context: You were that big an idol otaku? That's such a turn-off!\When she was in 6th grade,\her career started from the achievement of winning the grand prize...\She debuted on that magazine as their exclusive model!\The year after that, she landed a job as a\regular member of the Movement Morning! show.\But, she quit two years later to concentrate on high school entrance exams.\She re-started her career in showbiz after advancing to high school... response:	Hold it, hold on, let's go back a bit to the issue at point!
context: When she was in 6th grade,\her career started from the achievement of winning the grand prize...\She debuted on that magazine as their exclusive model!\The year after that, she landed a job as a\regular member of the Movement Morning! show.\But, she quit two years later to concentrate on high school entrance exams.\She re-started her career in showbiz after advancing to high school...\Hold it, hold on, let's go back a bit to the issue at point! response:	So that girl caused some issue with her special ability, and became a fugitive.
context: her career started from the achievement of winning the grand prize...\She debuted on that magazine as their exclusive model!\The year after that, she landed a job as a\regular member of the Movement Morning! show.\But, she quit two years later to concentrate on high school entrance exams.\She re-started her career in showbiz after advancing to high school...\Hold it, hold on, let's go back a bit to the issue at point!\So that girl caused some issue with her special ability, and became a fugitive. response:	Am I wrong?
context: She debuted on that magazine as their exclusive model!\The year after that, she landed a job as a\regular member of the Movement Morning! show.\But, she quit two years later to concentrate on high school entrance exams.\She re-started her career in showbiz after advancing to high school...\Hold it, hold on, let's go back a bit to the issue at point!\So that girl caused some issue with her special ability, and became a fugitive.\Am I wrong? response:	You don't have to say that for us to know that.
context: The year after that, she landed a job as a\regular member of the Movement Morning! show.\But, she quit two years later to concentrate on high school entrance exams.\She re-started her career in showbiz after advancing to high school...\Hold it, hold on, let's go back a bit to the issue at point!\So that girl caused some issue with her special ability, and became a fugitive.\Am I wrong?\You don't have to say that for us to know that. response:	Her agency is Sea Rex Productions.
context: regular member of the Movement Morning! show.\But, she quit two years later to concentrate on high school entrance exams.\She re-started her career in showbiz after advancing to high school...\Hold it, hold on, let's go back a bit to the issue at point!\So that girl caused some issue with her special ability, and became a fugitive.\Am I wrong?\You don't have to say that for us to know that.\Her agency is Sea Rex Productions. response:	Wouldn't it be quicker if we just called them?
context: But, she quit two years later to concentrate on high school entrance exams.\She re-started her career in showbiz after advancing to high school...\Hold it, hold on, let's go back a bit to the issue at point!\So that girl caused some issue with her special ability, and became a fugitive.\Am I wrong?\You don't have to say that for us to know that.\Her agency is Sea Rex Productions.\Wouldn't it be quicker if we just called them? response:	We're talking about someone in showbiz. They won't tell us anything..
context: She re-started her career in showbiz after advancing to high school...\Hold it, hold on, let's go back a bit to the issue at point!\So that girl caused some issue with her special ability, and became a fugitive.\Am I wrong?\You don't have to say that for us to know that.\Her agency is Sea Rex Productions.\Wouldn't it be quicker if we just called them?\We're talking about someone in showbiz. They won't tell us anything.. response:	What should we do?
context: Hold it, hold on, let's go back a bit to the issue at point!\So that girl caused some issue with her special ability, and became a fugitive.\Am I wrong?\You don't have to say that for us to know that.\Her agency is Sea Rex Productions.\Wouldn't it be quicker if we just called them?\We're talking about someone in showbiz. They won't tell us anything..\What should we do? response:	Let's see...
context: So that girl caused some issue with her special ability, and became a fugitive.\Am I wrong?\You don't have to say that for us to know that.\Her agency is Sea Rex Productions.\Wouldn't it be quicker if we just called them?\We're talking about someone in showbiz. They won't tell us anything..\What should we do?\Let's see... response:	Found a suspicious target. Going to chase him!
context: Am I wrong?\You don't have to say that for us to know that.\Her agency is Sea Rex Productions.\Wouldn't it be quicker if we just called them?\We're talking about someone in showbiz. They won't tell us anything..\What should we do?\Let's see...\Found a suspicious target. Going to chase him! response:	Tomori!
context: You don't have to say that for us to know that.\Her agency is Sea Rex Productions.\Wouldn't it be quicker if we just called them?\We're talking about someone in showbiz. They won't tell us anything..\What should we do?\Let's see...\Found a suspicious target. Going to chase him!\Tomori! response:	Otosaka, please do it!
context: Her agency is Sea Rex Productions.\Wouldn't it be quicker if we just called them?\We're talking about someone in showbiz. They won't tell us anything..\What should we do?\Let's see...\Found a suspicious target. Going to chase him!\Tomori!\Otosaka, please do it! response:	The one that actually gets in pain is me, so I rather you not use this tactic...
context: Wouldn't it be quicker if we just called them?\We're talking about someone in showbiz. They won't tell us anything..\What should we do?\Let's see...\Found a suspicious target. Going to chase him!\Tomori!\Otosaka, please do it!\The one that actually gets in pain is me, so I rather you not use this tactic... response:	This is exactly why we have you on board.
context: We're talking about someone in showbiz. They won't tell us anything..\What should we do?\Let's see...\Found a suspicious target. Going to chase him!\Tomori!\Otosaka, please do it!\The one that actually gets in pain is me, so I rather you not use this tactic...\This is exactly why we have you on board. response:	Dammit!
context: What should we do?\Let's see...\Found a suspicious target. Going to chase him!\Tomori!\Otosaka, please do it!\The one that actually gets in pain is me, so I rather you not use this tactic...\This is exactly why we have you on board.\Dammit! response:	What would you do if the camcorder broke?
context: Let's see...\Found a suspicious target. Going to chase him!\Tomori!\Otosaka, please do it!\The one that actually gets in pain is me, so I rather you not use this tactic...\This is exactly why we have you on board.\Dammit!\What would you do if the camcorder broke? response:	Is that your issue?
context: Found a suspicious target. Going to chase him!\Tomori!\Otosaka, please do it!\The one that actually gets in pain is me, so I rather you not use this tactic...\This is exactly why we have you on board.\Dammit!\What would you do if the camcorder broke?\Is that your issue? response:	Wake up, bastard.
