context: The meteor shower. response:	What are you talking about?
context: What She Believes\Later, Mizusaka.\Yeah, see you.\Hey, are you seriously entering the Hokubi Festival?\Don't you have to get ready to study abroad?\Yeah.\But she's kind of a friend.\Shione, do you have plans later? response:	Why do you ask?
context: Later, Mizusaka.\Yeah, see you.\Hey, are you seriously entering the Hokubi Festival?\Don't you have to get ready to study abroad?\Yeah.\But she's kind of a friend.\Shione, do you have plans later?\Why do you ask? response:	Well...
context: Yeah, see you.\Hey, are you seriously entering the Hokubi Festival?\Don't you have to get ready to study abroad?\Yeah.\But she's kind of a friend.\Shione, do you have plans later?\Why do you ask?\Well... response:	I want to discuss something with you.
context: Hey, are you seriously entering the Hokubi Festival?\Don't you have to get ready to study abroad?\Yeah.\But she's kind of a friend.\Shione, do you have plans later?\Why do you ask?\Well...\I want to discuss something with you. response:	Is that good?
context: Don't you have to get ready to study abroad?\Yeah.\But she's kind of a friend.\Shione, do you have plans later?\Why do you ask?\Well...\I want to discuss something with you.\Is that good? response:	Hokubi Festival Participation Form
context: Yeah.\But she's kind of a friend.\Shione, do you have plans later?\Why do you ask?\Well...\I want to discuss something with you.\Is that good?\Hokubi Festival Participation Form response:	It's fine.
context: But she's kind of a friend.\Shione, do you have plans later?\Why do you ask?\Well...\I want to discuss something with you.\Is that good?\Hokubi Festival Participation Form\It's fine. response:	Really?
context: Shione, do you have plans later?\Why do you ask?\Well...\I want to discuss something with you.\Is that good?\Hokubi Festival Participation Form\It's fine.\Really? response:	It's not a big deal.
context: Why do you ask?\Well...\I want to discuss something with you.\Is that good?\Hokubi Festival Participation Form\It's fine.\Really?\It's not a big deal. response:	Leave the rest to me!
context: Well...\I want to discuss something with you.\Is that good?\Hokubi Festival Participation Form\It's fine.\Really?\It's not a big deal.\Leave the rest to me! response:	Got funding!
context: I want to discuss something with you.\Is that good?\Hokubi Festival Participation Form\It's fine.\Really?\It's not a big deal.\Leave the rest to me!\Got funding! response:	That was too fast.
context: Is that good?\Hokubi Festival Participation Form\It's fine.\Really?\It's not a big deal.\Leave the rest to me!\Got funding!\That was too fast. response:	Also, I wrote Shione's name down as a participant.
context: Hokubi Festival Participation Form\It's fine.\Really?\It's not a big deal.\Leave the rest to me!\Got funding!\That was too fast.\Also, I wrote Shione's name down as a participant. response:	Wait, what's this about?
context: It's fine.\Really?\It's not a big deal.\Leave the rest to me!\Got funding!\That was too fast.\Also, I wrote Shione's name down as a participant.\Wait, what's this about? response:	The Hokubi Festival, of course.
context: Really?\It's not a big deal.\Leave the rest to me!\Got funding!\That was too fast.\Also, I wrote Shione's name down as a participant.\Wait, what's this about?\The Hokubi Festival, of course. response:	Hey...
context: It's not a big deal.\Leave the rest to me!\Got funding!\That was too fast.\Also, I wrote Shione's name down as a participant.\Wait, what's this about?\The Hokubi Festival, of course.\Hey... response:	Let's do it, the five of us.
context: Leave the rest to me!\Got funding!\That was too fast.\Also, I wrote Shione's name down as a participant.\Wait, what's this about?\The Hokubi Festival, of course.\Hey...\Let's do it, the five of us. response:	Is this what you wanted to discuss?
context: Got funding!\That was too fast.\Also, I wrote Shione's name down as a participant.\Wait, what's this about?\The Hokubi Festival, of course.\Hey...\Let's do it, the five of us.\Is this what you wanted to discuss? response:	No?
context: That was too fast.\Also, I wrote Shione's name down as a participant.\Wait, what's this about?\The Hokubi Festival, of course.\Hey...\Let's do it, the five of us.\Is this what you wanted to discuss?\No? response:	Third years are supposed to join independently.
context: Also, I wrote Shione's name down as a participant.\Wait, what's this about?\The Hokubi Festival, of course.\Hey...\Let's do it, the five of us.\Is this what you wanted to discuss?\No?\Third years are supposed to join independently. response:	Wait.
context: Wait, what's this about?\The Hokubi Festival, of course.\Hey...\Let's do it, the five of us.\Is this what you wanted to discuss?\No?\Third years are supposed to join independently.\Wait. response:	Hey.
context: The Hokubi Festival, of course.\Hey...\Let's do it, the five of us.\Is this what you wanted to discuss?\No?\Third years are supposed to join independently.\Wait.\Hey. response:	Now that we're all here, let's go.
context: Hey...\Let's do it, the five of us.\Is this what you wanted to discuss?\No?\Third years are supposed to join independently.\Wait.\Hey.\Now that we're all here, let's go. response:	I said
context: Let's do it, the five of us.\Is this what you wanted to discuss?\No?\Third years are supposed to join independently.\Wait.\Hey.\Now that we're all here, let's go.\I said response:	Sorry, Togawa.
context: Is this what you wanted to discuss?\No?\Third years are supposed to join independently.\Wait.\Hey.\Now that we're all here, let's go.\I said\Sorry, Togawa. response:	She's always been like this, remember?
context: No?\Third years are supposed to join independently.\Wait.\Hey.\Now that we're all here, let's go.\I said\Sorry, Togawa.\She's always been like this, remember? response:	So where are we going?
context: Third years are supposed to join independently.\Wait.\Hey.\Now that we're all here, let's go.\I said\Sorry, Togawa.\She's always been like this, remember?\So where are we going? response:	Shopping.
context: Wait.\Hey.\Now that we're all here, let's go.\I said\Sorry, Togawa.\She's always been like this, remember?\So where are we going?\Shopping. response:	What are those for?
context: Hey.\Now that we're all here, let's go.\I said\Sorry, Togawa.\She's always been like this, remember?\So where are we going?\Shopping.\What are those for? response:	I think they go on your fridge.
context: Now that we're all here, let's go.\I said\Sorry, Togawa.\She's always been like this, remember?\So where are we going?\Shopping.\What are those for?\I think they go on your fridge. response:	I got dragged out here suddenly.
context: I said\Sorry, Togawa.\She's always been like this, remember?\So where are we going?\Shopping.\What are those for?\I think they go on your fridge.\I got dragged out here suddenly. response:	What do you expect me to do?
context: Sorry, Togawa.\She's always been like this, remember?\So where are we going?\Shopping.\What are those for?\I think they go on your fridge.\I got dragged out here suddenly.\What do you expect me to do? response:	I know, it must be a pain.
context: She's always been like this, remember?\So where are we going?\Shopping.\What are those for?\I think they go on your fridge.\I got dragged out here suddenly.\What do you expect me to do?\I know, it must be a pain. response:	It's your sister's fault.
context: So where are we going?\Shopping.\What are those for?\I think they go on your fridge.\I got dragged out here suddenly.\What do you expect me to do?\I know, it must be a pain.\It's your sister's fault. response:	Not Yuzuki.
context: Shopping.\What are those for?\I think they go on your fridge.\I got dragged out here suddenly.\What do you expect me to do?\I know, it must be a pain.\It's your sister's fault.\Not Yuzuki. response:	It was Komiya's idea.
context: What are those for?\I think they go on your fridge.\I got dragged out here suddenly.\What do you expect me to do?\I know, it must be a pain.\It's your sister's fault.\Not Yuzuki.\It was Komiya's idea. response:	Nonoka?
context: I think they go on your fridge.\I got dragged out here suddenly.\What do you expect me to do?\I know, it must be a pain.\It's your sister's fault.\Not Yuzuki.\It was Komiya's idea.\Nonoka? response:	What does she want?
context: I got dragged out here suddenly.\What do you expect me to do?\I know, it must be a pain.\It's your sister's fault.\Not Yuzuki.\It was Komiya's idea.\Nonoka?\What does she want? response:	How would I know?
context: What do you expect me to do?\I know, it must be a pain.\It's your sister's fault.\Not Yuzuki.\It was Komiya's idea.\Nonoka?\What does she want?\How would I know? response:	You'd know, wouldn't you?
context: I know, it must be a pain.\It's your sister's fault.\Not Yuzuki.\It was Komiya's idea.\Nonoka?\What does she want?\How would I know?\You'd know, wouldn't you? response:	Why?
context: It's your sister's fault.\Not Yuzuki.\It was Komiya's idea.\Nonoka?\What does she want?\How would I know?\You'd know, wouldn't you?\Why? response:	You used to be really close.
context: Not Yuzuki.\It was Komiya's idea.\Nonoka?\What does she want?\How would I know?\You'd know, wouldn't you?\Why?\You used to be really close. response:	Did you get in a fight?
context: It was Komiya's idea.\Nonoka?\What does she want?\How would I know?\You'd know, wouldn't you?\Why?\You used to be really close.\Did you get in a fight? response:	Does it matter?
context: Nonoka?\What does she want?\How would I know?\You'd know, wouldn't you?\Why?\You used to be really close.\Did you get in a fight?\Does it matter? response:	I used to be like that, too.
context: What does she want?\How would I know?\You'd know, wouldn't you?\Why?\You used to be really close.\Did you get in a fight?\Does it matter?\I used to be like that, too. response:	It tends to be something really stupid that sets it off.
context: How would I know?\You'd know, wouldn't you?\Why?\You used to be really close.\Did you get in a fight?\Does it matter?\I used to be like that, too.\It tends to be something really stupid that sets it off. response:	How would you know?
context: You'd know, wouldn't you?\Why?\You used to be really close.\Did you get in a fight?\Does it matter?\I used to be like that, too.\It tends to be something really stupid that sets it off.\How would you know? response:	I don't even know what we're making.
context: Why?\You used to be really close.\Did you get in a fight?\Does it matter?\I used to be like that, too.\It tends to be something really stupid that sets it off.\How would you know?\I don't even know what we're making. response:	How would I know what to look for?
context: You used to be really close.\Did you get in a fight?\Does it matter?\I used to be like that, too.\It tends to be something really stupid that sets it off.\How would you know?\I don't even know what we're making.\How would I know what to look for? response:	Oh, Komiya did all this research by herself, too.
context: Did you get in a fight?\Does it matter?\I used to be like that, too.\It tends to be something really stupid that sets it off.\How would you know?\I don't even know what we're making.\How would I know what to look for?\Oh, Komiya did all this research by herself, too. response:	Let's make a planetarium!
context: Does it matter?\I used to be like that, too.\It tends to be something really stupid that sets it off.\How would you know?\I don't even know what we're making.\How would I know what to look for?\Oh, Komiya did all this research by herself, too.\Let's make a planetarium! response:	A planetarium.
context: I used to be like that, too.\It tends to be something really stupid that sets it off.\How would you know?\I don't even know what we're making.\How would I know what to look for?\Oh, Komiya did all this research by herself, too.\Let's make a planetarium!\A planetarium. response:	That's that.
context: It tends to be something really stupid that sets it off.\How would you know?\I don't even know what we're making.\How would I know what to look for?\Oh, Komiya did all this research by herself, too.\Let's make a planetarium!\A planetarium.\That's that. response:	Prep Room 3
context: How would you know?\I don't even know what we're making.\How would I know what to look for?\Oh, Komiya did all this research by herself, too.\Let's make a planetarium!\A planetarium.\That's that.\Prep Room 3 response:	We're just starting.
context: I don't even know what we're making.\How would I know what to look for?\Oh, Komiya did all this research by herself, too.\Let's make a planetarium!\A planetarium.\That's that.\Prep Room 3\We're just starting. response:	What?
context: How would I know what to look for?\Oh, Komiya did all this research by herself, too.\Let's make a planetarium!\A planetarium.\That's that.\Prep Room 3\We're just starting.\What? response:	I'm tired...
context: Oh, Komiya did all this research by herself, too.\Let's make a planetarium!\A planetarium.\That's that.\Prep Room 3\We're just starting.\What?\I'm tired... response:	It's getting late. Let's start working tomorrow.
context: Let's make a planetarium!\A planetarium.\That's that.\Prep Room 3\We're just starting.\What?\I'm tired...\It's getting late. Let's start working tomorrow. response:	Agreed.
context: A planetarium.\That's that.\Prep Room 3\We're just starting.\What?\I'm tired...\It's getting late. Let's start working tomorrow.\Agreed. response:	Togawa-san, thanks for coming.
context: That's that.\Prep Room 3\We're just starting.\What?\I'm tired...\It's getting late. Let's start working tomorrow.\Agreed.\Togawa-san, thanks for coming. response:	Shione, if you don't mind, see you
context: Prep Room 3\We're just starting.\What?\I'm tired...\It's getting late. Let's start working tomorrow.\Agreed.\Togawa-san, thanks for coming.\Shione, if you don't mind, see you response:	See you tomorrow.
context: We're just starting.\What?\I'm tired...\It's getting late. Let's start working tomorrow.\Agreed.\Togawa-san, thanks for coming.\Shione, if you don't mind, see you\See you tomorrow. response:	Noel, I'm home.
context: What?\I'm tired...\It's getting late. Let's start working tomorrow.\Agreed.\Togawa-san, thanks for coming.\Shione, if you don't mind, see you\See you tomorrow.\Noel, I'm home. response:	Shorty?
context: I'm tired...\It's getting late. Let's start working tomorrow.\Agreed.\Togawa-san, thanks for coming.\Shione, if you don't mind, see you\See you tomorrow.\Noel, I'm home.\Shorty? response:	Noel, you were waiting?!
context: It's getting late. Let's start working tomorrow.\Agreed.\Togawa-san, thanks for coming.\Shione, if you don't mind, see you\See you tomorrow.\Noel, I'm home.\Shorty?\Noel, you were waiting?! response:	We're back, Noel.
context: Agreed.\Togawa-san, thanks for coming.\Shione, if you don't mind, see you\See you tomorrow.\Noel, I'm home.\Shorty?\Noel, you were waiting?!\We're back, Noel. response:	Oh, right.
context: Togawa-san, thanks for coming.\Shione, if you don't mind, see you\See you tomorrow.\Noel, I'm home.\Shorty?\Noel, you were waiting?!\We're back, Noel.\Oh, right. response:	Here.
context: Shione, if you don't mind, see you\See you tomorrow.\Noel, I'm home.\Shorty?\Noel, you were waiting?!\We're back, Noel.\Oh, right.\Here. response:	You should come if you can.
context: See you tomorrow.\Noel, I'm home.\Shorty?\Noel, you were waiting?!\We're back, Noel.\Oh, right.\Here.\You should come if you can. response:	Hokubi Festival?
context: Noel, I'm home.\Shorty?\Noel, you were waiting?!\We're back, Noel.\Oh, right.\Here.\You should come if you can.\Hokubi Festival? response:	No fair, Koharu.
context: Shorty?\Noel, you were waiting?!\We're back, Noel.\Oh, right.\Here.\You should come if you can.\Hokubi Festival?\No fair, Koharu. response:	Mine's a special golden ticket.
context: Noel, you were waiting?!\We're back, Noel.\Oh, right.\Here.\You should come if you can.\Hokubi Festival?\No fair, Koharu.\Mine's a special golden ticket. response:	Mine, too.
context: We're back, Noel.\Oh, right.\Here.\You should come if you can.\Hokubi Festival?\No fair, Koharu.\Mine's a special golden ticket.\Mine, too. response:	You can give it to friends and family.
context: Oh, right.\Here.\You should come if you can.\Hokubi Festival?\No fair, Koharu.\Mine's a special golden ticket.\Mine, too.\You can give it to friends and family. response:	Nonoka!
context: Here.\You should come if you can.\Hokubi Festival?\No fair, Koharu.\Mine's a special golden ticket.\Mine, too.\You can give it to friends and family.\Nonoka! response:	I missed my chance to give her one.
context: You should come if you can.\Hokubi Festival?\No fair, Koharu.\Mine's a special golden ticket.\Mine, too.\You can give it to friends and family.\Nonoka!\I missed my chance to give her one. response:	So many!
context: Hokubi Festival?\No fair, Koharu.\Mine's a special golden ticket.\Mine, too.\You can give it to friends and family.\Nonoka!\I missed my chance to give her one.\So many! response:	But I can't go.
context: No fair, Koharu.\Mine's a special golden ticket.\Mine, too.\You can give it to friends and family.\Nonoka!\I missed my chance to give her one.\So many!\But I can't go. response:	Why not?
context: Mine's a special golden ticket.\Mine, too.\You can give it to friends and family.\Nonoka!\I missed my chance to give her one.\So many!\But I can't go.\Why not? response:	I'm the saucer.
context: Mine, too.\You can give it to friends and family.\Nonoka!\I missed my chance to give her one.\So many!\But I can't go.\Why not?\I'm the saucer. response:	Things get bad when I'm far from the saucer.
context: You can give it to friends and family.\Nonoka!\I missed my chance to give her one.\So many!\But I can't go.\Why not?\I'm the saucer.\Things get bad when I'm far from the saucer. response:	Things get bad?
context: Nonoka!\I missed my chance to give her one.\So many!\But I can't go.\Why not?\I'm the saucer.\Things get bad when I'm far from the saucer.\Things get bad? response:	Nonoka, did you watch the meteor shower with Shione?
context: I missed my chance to give her one.\So many!\But I can't go.\Why not?\I'm the saucer.\Things get bad when I'm far from the saucer.\Things get bad?\Nonoka, did you watch the meteor shower with Shione? response:	No.
context: So many!\But I can't go.\Why not?\I'm the saucer.\Things get bad when I'm far from the saucer.\Things get bad?\Nonoka, did you watch the meteor shower with Shione?\No. response:	But
context: But I can't go.\Why not?\I'm the saucer.\Things get bad when I'm far from the saucer.\Things get bad?\Nonoka, did you watch the meteor shower with Shione?\No.\But response:	I think we'll be able to.
context: Why not?\I'm the saucer.\Things get bad when I'm far from the saucer.\Things get bad?\Nonoka, did you watch the meteor shower with Shione?\No.\But\I think we'll be able to. response:	Really?
context: I'm the saucer.\Things get bad when I'm far from the saucer.\Things get bad?\Nonoka, did you watch the meteor shower with Shione?\No.\But\I think we'll be able to.\Really? response:	Can Shione smile with you guys, too?
context: Things get bad when I'm far from the saucer.\Things get bad?\Nonoka, did you watch the meteor shower with Shione?\No.\But\I think we'll be able to.\Really?\Can Shione smile with you guys, too? response:	Thanks to your message.
context: Things get bad?\Nonoka, did you watch the meteor shower with Shione?\No.\But\I think we'll be able to.\Really?\Can Shione smile with you guys, too?\Thanks to your message. response:	Oh, yeah. The fridge is full today.
context: Nonoka, did you watch the meteor shower with Shione?\No.\But\I think we'll be able to.\Really?\Can Shione smile with you guys, too?\Thanks to your message.\Oh, yeah. The fridge is full today. response:	I'll make you anything you want.
context: No.\But\I think we'll be able to.\Really?\Can Shione smile with you guys, too?\Thanks to your message.\Oh, yeah. The fridge is full today.\I'll make you anything you want. response:	Really? How about a rice omelet?
context: But\I think we'll be able to.\Really?\Can Shione smile with you guys, too?\Thanks to your message.\Oh, yeah. The fridge is full today.\I'll make you anything you want.\Really? How about a rice omelet? response:	Of course.
context: I think we'll be able to.\Really?\Can Shione smile with you guys, too?\Thanks to your message.\Oh, yeah. The fridge is full today.\I'll make you anything you want.\Really? How about a rice omelet?\Of course. response:	I'm going to draw on it with the ketchup.
context: Really?\Can Shione smile with you guys, too?\Thanks to your message.\Oh, yeah. The fridge is full today.\I'll make you anything you want.\Really? How about a rice omelet?\Of course.\I'm going to draw on it with the ketchup. response:	Prep Room 3
context: Can Shione smile with you guys, too?\Thanks to your message.\Oh, yeah. The fridge is full today.\I'll make you anything you want.\Really? How about a rice omelet?\Of course.\I'm going to draw on it with the ketchup.\Prep Room 3 response:	There.
context: Thanks to your message.\Oh, yeah. The fridge is full today.\I'll make you anything you want.\Really? How about a rice omelet?\Of course.\I'm going to draw on it with the ketchup.\Prep Room 3\There. response:	It's kind of shoddy looking.
context: Oh, yeah. The fridge is full today.\I'll make you anything you want.\Really? How about a rice omelet?\Of course.\I'm going to draw on it with the ketchup.\Prep Room 3\There.\It's kind of shoddy looking. response:	You don't get it, Souta.
context: I'll make you anything you want.\Really? How about a rice omelet?\Of course.\I'm going to draw on it with the ketchup.\Prep Room 3\There.\It's kind of shoddy looking.\You don't get it, Souta. response:	This prototype may not look like much,
context: Really? How about a rice omelet?\Of course.\I'm going to draw on it with the ketchup.\Prep Room 3\There.\It's kind of shoddy looking.\You don't get it, Souta.\This prototype may not look like much, response:	but it took a lot of effort and spare time to make.
context: Of course.\I'm going to draw on it with the ketchup.\Prep Room 3\There.\It's kind of shoddy looking.\You don't get it, Souta.\This prototype may not look like much,\but it took a lot of effort and spare time to make. response:	First, the light bulb.
context: I'm going to draw on it with the ketchup.\Prep Room 3\There.\It's kind of shoddy looking.\You don't get it, Souta.\This prototype may not look like much,\but it took a lot of effort and spare time to make.\First, the light bulb. response:	Is this really going to work?
context: Prep Room 3\There.\It's kind of shoddy looking.\You don't get it, Souta.\This prototype may not look like much,\but it took a lot of effort and spare time to make.\First, the light bulb.\Is this really going to work? response:	We put a plastic sheet over this light bulb. It has the Kiriyako City sky on it.
context: There.\It's kind of shoddy looking.\You don't get it, Souta.\This prototype may not look like much,\but it took a lot of effort and spare time to make.\First, the light bulb.\Is this really going to work?\We put a plastic sheet over this light bulb. It has the Kiriyako City sky on it. response:	It should, I think.
context: It's kind of shoddy looking.\You don't get it, Souta.\This prototype may not look like much,\but it took a lot of effort and spare time to make.\First, the light bulb.\Is this really going to work?\We put a plastic sheet over this light bulb. It has the Kiriyako City sky on it.\It should, I think. response:	Let's try it.
context: You don't get it, Souta.\This prototype may not look like much,\but it took a lot of effort and spare time to make.\First, the light bulb.\Is this really going to work?\We put a plastic sheet over this light bulb. It has the Kiriyako City sky on it.\It should, I think.\Let's try it. response:	It has to be darker.
context: This prototype may not look like much,\but it took a lot of effort and spare time to make.\First, the light bulb.\Is this really going to work?\We put a plastic sheet over this light bulb. It has the Kiriyako City sky on it.\It should, I think.\Let's try it.\It has to be darker. response:	Couldn't we use that thing you made, Togawa?
context: but it took a lot of effort and spare time to make.\First, the light bulb.\Is this really going to work?\We put a plastic sheet over this light bulb. It has the Kiriyako City sky on it.\It should, I think.\Let's try it.\It has to be darker.\Couldn't we use that thing you made, Togawa? response:	Yep, this should work.
context: First, the light bulb.\Is this really going to work?\We put a plastic sheet over this light bulb. It has the Kiriyako City sky on it.\It should, I think.\Let's try it.\It has to be darker.\Couldn't we use that thing you made, Togawa?\Yep, this should work. response:	I helped, so I'm looking, too.
context: Is this really going to work?\We put a plastic sheet over this light bulb. It has the Kiriyako City sky on it.\It should, I think.\Let's try it.\It has to be darker.\Couldn't we use that thing you made, Togawa?\Yep, this should work.\I helped, so I'm looking, too. response:	Come on, Yuzuki, everyone else helped, too.
context: We put a plastic sheet over this light bulb. It has the Kiriyako City sky on it.\It should, I think.\Let's try it.\It has to be darker.\Couldn't we use that thing you made, Togawa?\Yep, this should work.\I helped, so I'm looking, too.\Come on, Yuzuki, everyone else helped, too. response:	Right, Shione?
context: It should, I think.\Let's try it.\It has to be darker.\Couldn't we use that thing you made, Togawa?\Yep, this should work.\I helped, so I'm looking, too.\Come on, Yuzuki, everyone else helped, too.\Right, Shione? response:	I didn't really.
context: Let's try it.\It has to be darker.\Couldn't we use that thing you made, Togawa?\Yep, this should work.\I helped, so I'm looking, too.\Come on, Yuzuki, everyone else helped, too.\Right, Shione?\I didn't really. response:	If it works, let's all take turns.
context: It has to be darker.\Couldn't we use that thing you made, Togawa?\Yep, this should work.\I helped, so I'm looking, too.\Come on, Yuzuki, everyone else helped, too.\Right, Shione?\I didn't really.\If it works, let's all take turns. response:	Like I said, I
context: Couldn't we use that thing you made, Togawa?\Yep, this should work.\I helped, so I'm looking, too.\Come on, Yuzuki, everyone else helped, too.\Right, Shione?\I didn't really.\If it works, let's all take turns.\Like I said, I response:	Hey, hurry up.
context: Yep, this should work.\I helped, so I'm looking, too.\Come on, Yuzuki, everyone else helped, too.\Right, Shione?\I didn't really.\If it works, let's all take turns.\Like I said, I\Hey, hurry up. response:	Okay.
context: I helped, so I'm looking, too.\Come on, Yuzuki, everyone else helped, too.\Right, Shione?\I didn't really.\If it works, let's all take turns.\Like I said, I\Hey, hurry up.\Okay. response:	I'm turning on the switch.
context: Come on, Yuzuki, everyone else helped, too.\Right, Shione?\I didn't really.\If it works, let's all take turns.\Like I said, I\Hey, hurry up.\Okay.\I'm turning on the switch. response:	Huh?
context: Right, Shione?\I didn't really.\If it works, let's all take turns.\Like I said, I\Hey, hurry up.\Okay.\I'm turning on the switch.\Huh? response:	What's wrong?
context: I didn't really.\If it works, let's all take turns.\Like I said, I\Hey, hurry up.\Okay.\I'm turning on the switch.\Huh?\What's wrong? response:	It's not bright enough.
context: If it works, let's all take turns.\Like I said, I\Hey, hurry up.\Okay.\I'm turning on the switch.\Huh?\What's wrong?\It's not bright enough. response:	I think it just needs more power.
context: Like I said, I\Hey, hurry up.\Okay.\I'm turning on the switch.\Huh?\What's wrong?\It's not bright enough.\I think it just needs more power. response:	No, that probably wouldn't be...
context: Hey, hurry up.\Okay.\I'm turning on the switch.\Huh?\What's wrong?\It's not bright enough.\I think it just needs more power.\No, that probably wouldn't be... response:	Give it to me.
context: Okay.\I'm turning on the switch.\Huh?\What's wrong?\It's not bright enough.\I think it just needs more power.\No, that probably wouldn't be...\Give it to me. response:	No, Yuzuki!
context: I'm turning on the switch.\Huh?\What's wrong?\It's not bright enough.\I think it just needs more power.\No, that probably wouldn't be...\Give it to me.\No, Yuzuki! response:	Just give it to me!
context: Huh?\What's wrong?\It's not bright enough.\I think it just needs more power.\No, that probably wouldn't be...\Give it to me.\No, Yuzuki!\Just give it to me! response:	Hey, are they okay?
context: What's wrong?\It's not bright enough.\I think it just needs more power.\No, that probably wouldn't be...\Give it to me.\No, Yuzuki!\Just give it to me!\Hey, are they okay? response:	Max power!
context: It's not bright enough.\I think it just needs more power.\No, that probably wouldn't be...\Give it to me.\No, Yuzuki!\Just give it to me!\Hey, are they okay?\Max power! response:	Hey!
context: I think it just needs more power.\No, that probably wouldn't be...\Give it to me.\No, Yuzuki!\Just give it to me!\Hey, are they okay?\Max power!\Hey! response:	Water! Firetruck!
context: No, that probably wouldn't be...\Give it to me.\No, Yuzuki!\Just give it to me!\Hey, are they okay?\Max power!\Hey!\Water! Firetruck! response:	Right!
context: Give it to me.\No, Yuzuki!\Just give it to me!\Hey, are they okay?\Max power!\Hey!\Water! Firetruck!\Right! response:	No, cut the power first!
context: No, Yuzuki!\Just give it to me!\Hey, are they okay?\Max power!\Hey!\Water! Firetruck!\Right!\No, cut the power first! response:	I'm saved.
context: Just give it to me!\Hey, are they okay?\Max power!\Hey!\Water! Firetruck!\Right!\No, cut the power first!\I'm saved. response:	I'm back!
context: Hey, are they okay?\Max power!\Hey!\Water! Firetruck!\Right!\No, cut the power first!\I'm saved.\I'm back! response:	Koharu, wait!
context: Max power!\Hey!\Water! Firetruck!\Right!\No, cut the power first!\I'm saved.\I'm back!\Koharu, wait! response:	Sorry.
context: Hey!\Water! Firetruck!\Right!\No, cut the power first!\I'm saved.\I'm back!\Koharu, wait!\Sorry. response:	I was the one that messed up.
context: Water! Firetruck!\Right!\No, cut the power first!\I'm saved.\I'm back!\Koharu, wait!\Sorry.\I was the one that messed up. response:	No worries.
context: Right!\No, cut the power first!\I'm saved.\I'm back!\Koharu, wait!\Sorry.\I was the one that messed up.\No worries. response:	So do you always have these with you?
context: No, cut the power first!\I'm saved.\I'm back!\Koharu, wait!\Sorry.\I was the one that messed up.\No worries.\So do you always have these with you? response:	I was hoping to eat with you guys today.
context: I'm saved.\I'm back!\Koharu, wait!\Sorry.\I was the one that messed up.\No worries.\So do you always have these with you?\I was hoping to eat with you guys today. response:	It's good!
context: I'm back!\Koharu, wait!\Sorry.\I was the one that messed up.\No worries.\So do you always have these with you?\I was hoping to eat with you guys today.\It's good! response:	Let's eat together.
context: Koharu, wait!\Sorry.\I was the one that messed up.\No worries.\So do you always have these with you?\I was hoping to eat with you guys today.\It's good!\Let's eat together. response:	Come over here.
