context: It's done! response:	Whoa' No matter how many times I try. It always turns into Kero.
context: I'm still in the process of making it'\Is this what you bought the last time you went into that store with sewing stuff?\Yeah, it is not so easy.\May I see it?\Eh? But, but, it looks weird and nothing like a bear'\I don't hate sewing so'\maybe I can help.\Don't laugh. response:	I won't laugh.
context: Is this what you bought the last time you went into that store with sewing stuff?\Yeah, it is not so easy.\May I see it?\Eh? But, but, it looks weird and nothing like a bear'\I don't hate sewing so'\maybe I can help.\Don't laugh.\I won't laugh. response:	It's something you put a lot of effort into.
context: Yeah, it is not so easy.\May I see it?\Eh? But, but, it looks weird and nothing like a bear'\I don't hate sewing so'\maybe I can help.\Don't laugh.\I won't laugh.\It's something you put a lot of effort into. response:	Thanks.
context: May I see it?\Eh? But, but, it looks weird and nothing like a bear'\I don't hate sewing so'\maybe I can help.\Don't laugh.\I won't laugh.\It's something you put a lot of effort into.\Thanks. response:	Eriol is really kind.
context: Eh? But, but, it looks weird and nothing like a bear'\I don't hate sewing so'\maybe I can help.\Don't laugh.\I won't laugh.\It's something you put a lot of effort into.\Thanks.\Eriol is really kind. response:	Over here.
context: I don't hate sewing so'\maybe I can help.\Don't laugh.\I won't laugh.\It's something you put a lot of effort into.\Thanks.\Eriol is really kind.\Over here. response:	If you make the ears a little smaller
context: maybe I can help.\Don't laugh.\I won't laugh.\It's something you put a lot of effort into.\Thanks.\Eriol is really kind.\Over here.\If you make the ears a little smaller response:	and move them up a bit,
context: Don't laugh.\I won't laugh.\It's something you put a lot of effort into.\Thanks.\Eriol is really kind.\Over here.\If you make the ears a little smaller\and move them up a bit, response:	would that not be better?
context: I won't laugh.\It's something you put a lot of effort into.\Thanks.\Eriol is really kind.\Over here.\If you make the ears a little smaller\and move them up a bit,\would that not be better? response:	Since bears have relatively small ears.
context: It's something you put a lot of effort into.\Thanks.\Eriol is really kind.\Over here.\If you make the ears a little smaller\and move them up a bit,\would that not be better?\Since bears have relatively small ears. response:	Is that right?
context: Thanks.\Eriol is really kind.\Over here.\If you make the ears a little smaller\and move them up a bit,\would that not be better?\Since bears have relatively small ears.\Is that right? response:	'then let's take that out
context: Eriol is really kind.\Over here.\If you make the ears a little smaller\and move them up a bit,\would that not be better?\Since bears have relatively small ears.\Is that right?\'then let's take that out response:	Shall we try? Thanks.
context: Over here.\If you make the ears a little smaller\and move them up a bit,\would that not be better?\Since bears have relatively small ears.\Is that right?\'then let's take that out\Shall we try? Thanks. response:	And' for the new ear'
context: If you make the ears a little smaller\and move them up a bit,\would that not be better?\Since bears have relatively small ears.\Is that right?\'then let's take that out\Shall we try? Thanks.\And' for the new ear' response:	It's done!
context: and move them up a bit,\would that not be better?\Since bears have relatively small ears.\Is that right?\'then let's take that out\Shall we try? Thanks.\And' for the new ear'\It's done! response:	Wow! It's a bear!
context: would that not be better?\Since bears have relatively small ears.\Is that right?\'then let's take that out\Shall we try? Thanks.\And' for the new ear'\It's done!\Wow! It's a bear! response:	It actually looks like a bear!!
context: Since bears have relatively small ears.\Is that right?\'then let's take that out\Shall we try? Thanks.\And' for the new ear'\It's done!\Wow! It's a bear!\It actually looks like a bear!! response:	It's all thanks to you.
context: Is that right?\'then let's take that out\Shall we try? Thanks.\And' for the new ear'\It's done!\Wow! It's a bear!\It actually looks like a bear!!\It's all thanks to you. response:	Right!
context: 'then let's take that out\Shall we try? Thanks.\And' for the new ear'\It's done!\Wow! It's a bear!\It actually looks like a bear!!\It's all thanks to you.\Right! response:	I want to return the favour.
context: Shall we try? Thanks.\And' for the new ear'\It's done!\Wow! It's a bear!\It actually looks like a bear!!\It's all thanks to you.\Right!\I want to return the favour. response:	What would you like?
context: And' for the new ear'\It's done!\Wow! It's a bear!\It actually looks like a bear!!\It's all thanks to you.\Right!\I want to return the favour.\What would you like? response:	Anything is ok?
context: It's done!\Wow! It's a bear!\It actually looks like a bear!!\It's all thanks to you.\Right!\I want to return the favour.\What would you like?\Anything is ok? response:	Yeah! If it's something I can do.
context: Wow! It's a bear!\It actually looks like a bear!!\It's all thanks to you.\Right!\I want to return the favour.\What would you like?\Anything is ok?\Yeah! If it's something I can do. response:	Then.
context: It actually looks like a bear!!\It's all thanks to you.\Right!\I want to return the favour.\What would you like?\Anything is ok?\Yeah! If it's something I can do.\Then. response:	I am envious of the person
context: It's all thanks to you.\Right!\I want to return the favour.\What would you like?\Anything is ok?\Yeah! If it's something I can do.\Then.\I am envious of the person response:	who will be receiving that bear from you.
context: Right!\I want to return the favour.\What would you like?\Anything is ok?\Yeah! If it's something I can do.\Then.\I am envious of the person\who will be receiving that bear from you. response:	Eriol.
context: I want to return the favour.\What would you like?\Anything is ok?\Yeah! If it's something I can do.\Then.\I am envious of the person\who will be receiving that bear from you.\Eriol. response:	' Here.' Thank you.
context: What would you like?\Anything is ok?\Yeah! If it's something I can do.\Then.\I am envious of the person\who will be receiving that bear from you.\Eriol.\' Here.' Thank you. response:	' Can I open it?' Yup.
context: Anything is ok?\Yeah! If it's something I can do.\Then.\I am envious of the person\who will be receiving that bear from you.\Eriol.\' Here.' Thank you.\' Can I open it?' Yup. response:	It's a stuffed bear.
context: Yeah! If it's something I can do.\Then.\I am envious of the person\who will be receiving that bear from you.\Eriol.\' Here.' Thank you.\' Can I open it?' Yup.\It's a stuffed bear. response:	Yeah, and about the name of the bear'
context: Then.\I am envious of the person\who will be receiving that bear from you.\Eriol.\' Here.' Thank you.\' Can I open it?' Yup.\It's a stuffed bear.\Yeah, and about the name of the bear' response:	Ummm' if one give a teddy bear with their name
context: I am envious of the person\who will be receiving that bear from you.\Eriol.\' Here.' Thank you.\' Can I open it?' Yup.\It's a stuffed bear.\Yeah, and about the name of the bear'\Ummm' if one give a teddy bear with their name response:	on it to someone they like'
context: who will be receiving that bear from you.\Eriol.\' Here.' Thank you.\' Can I open it?' Yup.\It's a stuffed bear.\Yeah, and about the name of the bear'\Ummm' if one give a teddy bear with their name\on it to someone they like' response:	Let's call it Suhama.
context: Eriol.\' Here.' Thank you.\' Can I open it?' Yup.\It's a stuffed bear.\Yeah, and about the name of the bear'\Ummm' if one give a teddy bear with their name\on it to someone they like'\Let's call it Suhama. response:	I love Suhama.
context: ' Here.' Thank you.\' Can I open it?' Yup.\It's a stuffed bear.\Yeah, and about the name of the bear'\Ummm' if one give a teddy bear with their name\on it to someone they like'\Let's call it Suhama.\I love Suhama. response:	Suhama
context: ' Can I open it?' Yup.\It's a stuffed bear.\Yeah, and about the name of the bear'\Ummm' if one give a teddy bear with their name\on it to someone they like'\Let's call it Suhama.\I love Suhama.\Suhama response:	in the old days was really big.
context: It's a stuffed bear.\Yeah, and about the name of the bear'\Ummm' if one give a teddy bear with their name\on it to someone they like'\Let's call it Suhama.\I love Suhama.\Suhama\in the old days was really big. response:	It was about the size of 20 pieces of dadami.
context: Yeah, and about the name of the bear'\Ummm' if one give a teddy bear with their name\on it to someone they like'\Let's call it Suhama.\I love Suhama.\Suhama\in the old days was really big.\It was about the size of 20 pieces of dadami. response:	The bigger the Suhama,
context: Ummm' if one give a teddy bear with their name\on it to someone they like'\Let's call it Suhama.\I love Suhama.\Suhama\in the old days was really big.\It was about the size of 20 pieces of dadami.\The bigger the Suhama, response:	more delicious it was
context: on it to someone they like'\Let's call it Suhama.\I love Suhama.\Suhama\in the old days was really big.\It was about the size of 20 pieces of dadami.\The bigger the Suhama,\more delicious it was response:	So in the old days, the higher class,
context: Let's call it Suhama.\I love Suhama.\Suhama\in the old days was really big.\It was about the size of 20 pieces of dadami.\The bigger the Suhama,\more delicious it was\So in the old days, the higher class, response:	people always tried to build huge barns
context: I love Suhama.\Suhama\in the old days was really big.\It was about the size of 20 pieces of dadami.\The bigger the Suhama,\more delicious it was\So in the old days, the higher class,\people always tried to build huge barns response:	to make the largest Suhama possible.
context: Suhama\in the old days was really big.\It was about the size of 20 pieces of dadami.\The bigger the Suhama,\more delicious it was\So in the old days, the higher class,\people always tried to build huge barns\to make the largest Suhama possible. response:	That's why, in the old days,
context: in the old days was really big.\It was about the size of 20 pieces of dadami.\The bigger the Suhama,\more delicious it was\So in the old days, the higher class,\people always tried to build huge barns\to make the largest Suhama possible.\That's why, in the old days, response:	each town had their own barn, size of a school.
context: It was about the size of 20 pieces of dadami.\The bigger the Suhama,\more delicious it was\So in the old days, the higher class,\people always tried to build huge barns\to make the largest Suhama possible.\That's why, in the old days,\each town had their own barn, size of a school. response:	where they can make the largest Suhama.
context: The bigger the Suhama,\more delicious it was\So in the old days, the higher class,\people always tried to build huge barns\to make the largest Suhama possible.\That's why, in the old days,\each town had their own barn, size of a school.\where they can make the largest Suhama. response:	Suhama that holds Japan's record for being the largest was made in Kyoto that is about
context: more delicious it was\So in the old days, the higher class,\people always tried to build huge barns\to make the largest Suhama possible.\That's why, in the old days,\each town had their own barn, size of a school.\where they can make the largest Suhama.\Suhama that holds Japan's record for being the largest was made in Kyoto that is about response:	360 meters in length'
context: So in the old days, the higher class,\people always tried to build huge barns\to make the largest Suhama possible.\That's why, in the old days,\each town had their own barn, size of a school.\where they can make the largest Suhama.\Suhama that holds Japan's record for being the largest was made in Kyoto that is about\360 meters in length' response:	Don't you want to like me too?
context: people always tried to build huge barns\to make the largest Suhama possible.\That's why, in the old days,\each town had their own barn, size of a school.\where they can make the largest Suhama.\Suhama that holds Japan's record for being the largest was made in Kyoto that is about\360 meters in length'\Don't you want to like me too? response:	Hehehe, why are you mad? Hehehe.
context: to make the largest Suhama possible.\That's why, in the old days,\each town had their own barn, size of a school.\where they can make the largest Suhama.\Suhama that holds Japan's record for being the largest was made in Kyoto that is about\360 meters in length'\Don't you want to like me too?\Hehehe, why are you mad? Hehehe. response:	Why did I buy this?
context: That's why, in the old days,\each town had their own barn, size of a school.\where they can make the largest Suhama.\Suhama that holds Japan's record for being the largest was made in Kyoto that is about\360 meters in length'\Don't you want to like me too?\Hehehe, why are you mad? Hehehe.\Why did I buy this? response:	That's no use in making something like this.
context: each town had their own barn, size of a school.\where they can make the largest Suhama.\Suhama that holds Japan's record for being the largest was made in Kyoto that is about\360 meters in length'\Don't you want to like me too?\Hehehe, why are you mad? Hehehe.\Why did I buy this?\That's no use in making something like this. response:	if one give another the bear with one's own name on it.
context: where they can make the largest Suhama.\Suhama that holds Japan's record for being the largest was made in Kyoto that is about\360 meters in length'\Don't you want to like me too?\Hehehe, why are you mad? Hehehe.\Why did I buy this?\That's no use in making something like this.\if one give another the bear with one's own name on it. response:	another person
context: Suhama that holds Japan's record for being the largest was made in Kyoto that is about\360 meters in length'\Don't you want to like me too?\Hehehe, why are you mad? Hehehe.\Why did I buy this?\That's no use in making something like this.\if one give another the bear with one's own name on it.\another person response:	who get the bear is supposed to like them back.
context: 360 meters in length'\Don't you want to like me too?\Hehehe, why are you mad? Hehehe.\Why did I buy this?\That's no use in making something like this.\if one give another the bear with one's own name on it.\another person\who get the bear is supposed to like them back. response:	Why don't you say so from the beginning?
context: Don't you want to like me too?\Hehehe, why are you mad? Hehehe.\Why did I buy this?\That's no use in making something like this.\if one give another the bear with one's own name on it.\another person\who get the bear is supposed to like them back.\Why don't you say so from the beginning? response:	Why am I seeing her?
context: Hehehe, why are you mad? Hehehe.\Why did I buy this?\That's no use in making something like this.\if one give another the bear with one's own name on it.\another person\who get the bear is supposed to like them back.\Why don't you say so from the beginning?\Why am I seeing her? response:	That's a cute bear.
context: Why did I buy this?\That's no use in making something like this.\if one give another the bear with one's own name on it.\another person\who get the bear is supposed to like them back.\Why don't you say so from the beginning?\Why am I seeing her?\That's a cute bear. response:	Ah, I'm about to eat lunch,
context: That's no use in making something like this.\if one give another the bear with one's own name on it.\another person\who get the bear is supposed to like them back.\Why don't you say so from the beginning?\Why am I seeing her?\That's a cute bear.\Ah, I'm about to eat lunch, response:	do you want to eat lunch with me?
context: if one give another the bear with one's own name on it.\another person\who get the bear is supposed to like them back.\Why don't you say so from the beginning?\Why am I seeing her?\That's a cute bear.\Ah, I'm about to eat lunch,\do you want to eat lunch with me? response:	Can you take this?
context: another person\who get the bear is supposed to like them back.\Why don't you say so from the beginning?\Why am I seeing her?\That's a cute bear.\Ah, I'm about to eat lunch,\do you want to eat lunch with me?\Can you take this? response:	I don't know why, but I've been really hungry lately.
context: who get the bear is supposed to like them back.\Why don't you say so from the beginning?\Why am I seeing her?\That's a cute bear.\Ah, I'm about to eat lunch,\do you want to eat lunch with me?\Can you take this?\I don't know why, but I've been really hungry lately. response:	Don't be shy and eat it'
context: Why don't you say so from the beginning?\Why am I seeing her?\That's a cute bear.\Ah, I'm about to eat lunch,\do you want to eat lunch with me?\Can you take this?\I don't know why, but I've been really hungry lately.\Don't be shy and eat it' response:	Y' Yes'
context: Why am I seeing her?\That's a cute bear.\Ah, I'm about to eat lunch,\do you want to eat lunch with me?\Can you take this?\I don't know why, but I've been really hungry lately.\Don't be shy and eat it'\Y' Yes' response:	Would it be OK if I took a look at that bear?
context: That's a cute bear.\Ah, I'm about to eat lunch,\do you want to eat lunch with me?\Can you take this?\I don't know why, but I've been really hungry lately.\Don't be shy and eat it'\Y' Yes'\Would it be OK if I took a look at that bear? response:	It's handmade. Did you get it from someone?
context: Ah, I'm about to eat lunch,\do you want to eat lunch with me?\Can you take this?\I don't know why, but I've been really hungry lately.\Don't be shy and eat it'\Y' Yes'\Would it be OK if I took a look at that bear?\It's handmade. Did you get it from someone? response:	So then you did it?
context: do you want to eat lunch with me?\Can you take this?\I don't know why, but I've been really hungry lately.\Don't be shy and eat it'\Y' Yes'\Would it be OK if I took a look at that bear?\It's handmade. Did you get it from someone?\So then you did it? response:	Wow, it looks great.
context: Can you take this?\I don't know why, but I've been really hungry lately.\Don't be shy and eat it'\Y' Yes'\Would it be OK if I took a look at that bear?\It's handmade. Did you get it from someone?\So then you did it?\Wow, it looks great. response:	Are you planning to give it to someone?
context: I don't know why, but I've been really hungry lately.\Don't be shy and eat it'\Y' Yes'\Would it be OK if I took a look at that bear?\It's handmade. Did you get it from someone?\So then you did it?\Wow, it looks great.\Are you planning to give it to someone? response:	Someone' to give'
context: Don't be shy and eat it'\Y' Yes'\Would it be OK if I took a look at that bear?\It's handmade. Did you get it from someone?\So then you did it?\Wow, it looks great.\Are you planning to give it to someone?\Someone' to give' response:	Why?
context: Y' Yes'\Would it be OK if I took a look at that bear?\It's handmade. Did you get it from someone?\So then you did it?\Wow, it looks great.\Are you planning to give it to someone?\Someone' to give'\Why? response:	Why can't I not give it to her?
context: Would it be OK if I took a look at that bear?\It's handmade. Did you get it from someone?\So then you did it?\Wow, it looks great.\Are you planning to give it to someone?\Someone' to give'\Why?\Why can't I not give it to her? response:	Ah!! this.
context: It's handmade. Did you get it from someone?\So then you did it?\Wow, it looks great.\Are you planning to give it to someone?\Someone' to give'\Why?\Why can't I not give it to her?\Ah!! this. response:	Why do I keep seeing her face?
context: So then you did it?\Wow, it looks great.\Are you planning to give it to someone?\Someone' to give'\Why?\Why can't I not give it to her?\Ah!! this.\Why do I keep seeing her face? response:	The only time my face turned red
context: Wow, it looks great.\Are you planning to give it to someone?\Someone' to give'\Why?\Why can't I not give it to her?\Ah!! this.\Why do I keep seeing her face?\The only time my face turned red response:	or my heart is about to burst was when I met him.
context: Are you planning to give it to someone?\Someone' to give'\Why?\Why can't I not give it to her?\Ah!! this.\Why do I keep seeing her face?\The only time my face turned red\or my heart is about to burst was when I met him. response:	Li.
context: Someone' to give'\Why?\Why can't I not give it to her?\Ah!! this.\Why do I keep seeing her face?\The only time my face turned red\or my heart is about to burst was when I met him.\Li. response:	Li-kun.
context: Why?\Why can't I not give it to her?\Ah!! this.\Why do I keep seeing her face?\The only time my face turned red\or my heart is about to burst was when I met him.\Li.\Li-kun. response:	She'
context: Why can't I not give it to her?\Ah!! this.\Why do I keep seeing her face?\The only time my face turned red\or my heart is about to burst was when I met him.\Li.\Li-kun.\She' response:	Because of her heart is.
context: Ah!! this.\Why do I keep seeing her face?\The only time my face turned red\or my heart is about to burst was when I met him.\Li.\Li-kun.\She'\Because of her heart is. response:	It feels
context: Why do I keep seeing her face?\The only time my face turned red\or my heart is about to burst was when I met him.\Li.\Li-kun.\She'\Because of her heart is.\It feels response:	the same as when I met that guy
context: The only time my face turned red\or my heart is about to burst was when I met him.\Li.\Li-kun.\She'\Because of her heart is.\It feels\the same as when I met that guy response:	What is going on?
context: or my heart is about to burst was when I met him.\Li.\Li-kun.\She'\Because of her heart is.\It feels\the same as when I met that guy\What is going on? response:	Yue'
context: Li.\Li-kun.\She'\Because of her heart is.\It feels\the same as when I met that guy\What is going on?\Yue' response:	One who bears Clow's blood.
context: Li-kun.\She'\Because of her heart is.\It feels\the same as when I met that guy\What is going on?\Yue'\One who bears Clow's blood. response:	Reason why you feel that way when you meet Yukito is
context: She'\Because of her heart is.\It feels\the same as when I met that guy\What is going on?\Yue'\One who bears Clow's blood.\Reason why you feel that way when you meet Yukito is response:	because you can feel
context: Because of her heart is.\It feels\the same as when I met that guy\What is going on?\Yue'\One who bears Clow's blood.\Reason why you feel that way when you meet Yukito is\because you can feel response:	the presence of the moon's powers.
context: It feels\the same as when I met that guy\What is going on?\Yue'\One who bears Clow's blood.\Reason why you feel that way when you meet Yukito is\because you can feel\the presence of the moon's powers. response:	' Moon's powers?' That's right.
context: the same as when I met that guy\What is going on?\Yue'\One who bears Clow's blood.\Reason why you feel that way when you meet Yukito is\because you can feel\the presence of the moon's powers.\' Moon's powers?' That's right. response:	If you carefully look inside,
context: What is going on?\Yue'\One who bears Clow's blood.\Reason why you feel that way when you meet Yukito is\because you can feel\the presence of the moon's powers.\' Moon's powers?' That's right.\If you carefully look inside, response:	you'll find what you really want.
context: Yue'\One who bears Clow's blood.\Reason why you feel that way when you meet Yukito is\because you can feel\the presence of the moon's powers.\' Moon's powers?' That's right.\If you carefully look inside,\you'll find what you really want. response:	What I truely want'
context: One who bears Clow's blood.\Reason why you feel that way when you meet Yukito is\because you can feel\the presence of the moon's powers.\' Moon's powers?' That's right.\If you carefully look inside,\you'll find what you really want.\What I truely want' response:	That is?
context: Reason why you feel that way when you meet Yukito is\because you can feel\the presence of the moon's powers.\' Moon's powers?' That's right.\If you carefully look inside,\you'll find what you really want.\What I truely want'\That is? response:	You figure out the rest.
context: because you can feel\the presence of the moon's powers.\' Moon's powers?' That's right.\If you carefully look inside,\you'll find what you really want.\What I truely want'\That is?\You figure out the rest. response:	When did I get here?
context: the presence of the moon's powers.\' Moon's powers?' That's right.\If you carefully look inside,\you'll find what you really want.\What I truely want'\That is?\You figure out the rest.\When did I get here? response:	Oh yeah, I came
context: ' Moon's powers?' That's right.\If you carefully look inside,\you'll find what you really want.\What I truely want'\That is?\You figure out the rest.\When did I get here?\Oh yeah, I came response:	to return this to you
context: If you carefully look inside,\you'll find what you really want.\What I truely want'\That is?\You figure out the rest.\When did I get here?\Oh yeah, I came\to return this to you response:	Since you worked so hard on it,
context: you'll find what you really want.\What I truely want'\That is?\You figure out the rest.\When did I get here?\Oh yeah, I came\to return this to you\Since you worked so hard on it, response:	you should make sure to give it to that person,
context: What I truely want'\That is?\You figure out the rest.\When did I get here?\Oh yeah, I came\to return this to you\Since you worked so hard on it,\you should make sure to give it to that person, response:	right?
context: That is?\You figure out the rest.\When did I get here?\Oh yeah, I came\to return this to you\Since you worked so hard on it,\you should make sure to give it to that person,\right? response:	On the hand?
context: You figure out the rest.\When did I get here?\Oh yeah, I came\to return this to you\Since you worked so hard on it,\you should make sure to give it to that person,\right?\On the hand? response:	Yeah.
context: When did I get here?\Oh yeah, I came\to return this to you\Since you worked so hard on it,\you should make sure to give it to that person,\right?\On the hand?\Yeah. response:	but since Eriol lived in England before'
