context: Final check of internal Kivotos systems. response:	Communication systems.
context: This is risky...\Navigation system.\Autopilot.\Directional transmitter system.\Check.\Avionics okay.\This will be the first time someone from Earth has experienced an Entangle Link.\We can't predict what effect it will have on the two Earth crew members. response:	We have no data on it whatsoever.
context: Navigation system.\Autopilot.\Directional transmitter system.\Check.\Avionics okay.\This will be the first time someone from Earth has experienced an Entangle Link.\We can't predict what effect it will have on the two Earth crew members.\We have no data on it whatsoever. response:	But the captain and Akari will be fine.
context: Autopilot.\Directional transmitter system.\Check.\Avionics okay.\This will be the first time someone from Earth has experienced an Entangle Link.\We can't predict what effect it will have on the two Earth crew members.\We have no data on it whatsoever.\But the captain and Akari will be fine. response:	That is what I think.
context: Directional transmitter system.\Check.\Avionics okay.\This will be the first time someone from Earth has experienced an Entangle Link.\We can't predict what effect it will have on the two Earth crew members.\We have no data on it whatsoever.\But the captain and Akari will be fine.\That is what I think. response:	Is that your intuition?
context: Check.\Avionics okay.\This will be the first time someone from Earth has experienced an Entangle Link.\We can't predict what effect it will have on the two Earth crew members.\We have no data on it whatsoever.\But the captain and Akari will be fine.\That is what I think.\Is that your intuition? response:	Yes.
context: Avionics okay.\This will be the first time someone from Earth has experienced an Entangle Link.\We can't predict what effect it will have on the two Earth crew members.\We have no data on it whatsoever.\But the captain and Akari will be fine.\That is what I think.\Is that your intuition?\Yes. response:	I'll trust it.
context: This will be the first time someone from Earth has experienced an Entangle Link.\We can't predict what effect it will have on the two Earth crew members.\We have no data on it whatsoever.\But the captain and Akari will be fine.\That is what I think.\Is that your intuition?\Yes.\I'll trust it. response:	Come to think of it,
context: We can't predict what effect it will have on the two Earth crew members.\We have no data on it whatsoever.\But the captain and Akari will be fine.\That is what I think.\Is that your intuition?\Yes.\I'll trust it.\Come to think of it, response:	what happened to that thing they were developing on the lunar base?
context: We have no data on it whatsoever.\But the captain and Akari will be fine.\That is what I think.\Is that your intuition?\Yes.\I'll trust it.\Come to think of it,\what happened to that thing they were developing on the lunar base? response:	You really do know everything.
context: But the captain and Akari will be fine.\That is what I think.\Is that your intuition?\Yes.\I'll trust it.\Come to think of it,\what happened to that thing they were developing on the lunar base?\You really do know everything. response:	Lunar base?
context: That is what I think.\Is that your intuition?\Yes.\I'll trust it.\Come to think of it,\what happened to that thing they were developing on the lunar base?\You really do know everything.\Lunar base? response:	The Planter Unit.
context: Is that your intuition?\Yes.\I'll trust it.\Come to think of it,\what happened to that thing they were developing on the lunar base?\You really do know everything.\Lunar base?\The Planter Unit. response:	Planter Unit?
context: Yes.\I'll trust it.\Come to think of it,\what happened to that thing they were developing on the lunar base?\You really do know everything.\Lunar base?\The Planter Unit.\Planter Unit? response:	Originally, Hana was the one at greatest risk with the ark plan.
context: I'll trust it.\Come to think of it,\what happened to that thing they were developing on the lunar base?\You really do know everything.\Lunar base?\The Planter Unit.\Planter Unit?\Originally, Hana was the one at greatest risk with the ark plan. response:	Hana couldn't leave the Blume on her own.
context: Come to think of it,\what happened to that thing they were developing on the lunar base?\You really do know everything.\Lunar base?\The Planter Unit.\Planter Unit?\Originally, Hana was the one at greatest risk with the ark plan.\Hana couldn't leave the Blume on her own. response:	The ark plan would try to force the Blume to move
context: what happened to that thing they were developing on the lunar base?\You really do know everything.\Lunar base?\The Planter Unit.\Planter Unit?\Originally, Hana was the one at greatest risk with the ark plan.\Hana couldn't leave the Blume on her own.\The ark plan would try to force the Blume to move response:	without regard for her safety.
context: You really do know everything.\Lunar base?\The Planter Unit.\Planter Unit?\Originally, Hana was the one at greatest risk with the ark plan.\Hana couldn't leave the Blume on her own.\The ark plan would try to force the Blume to move\without regard for her safety. response:	I didn't like that.
context: Lunar base?\The Planter Unit.\Planter Unit?\Originally, Hana was the one at greatest risk with the ark plan.\Hana couldn't leave the Blume on her own.\The ark plan would try to force the Blume to move\without regard for her safety.\I didn't like that. response:	That risk is still here.
context: The Planter Unit.\Planter Unit?\Originally, Hana was the one at greatest risk with the ark plan.\Hana couldn't leave the Blume on her own.\The ark plan would try to force the Blume to move\without regard for her safety.\I didn't like that.\That risk is still here. response:	However, they were developing something called a Planter Unit
context: Planter Unit?\Originally, Hana was the one at greatest risk with the ark plan.\Hana couldn't leave the Blume on her own.\The ark plan would try to force the Blume to move\without regard for her safety.\I didn't like that.\That risk is still here.\However, they were developing something called a Planter Unit response:	on the lunar base, where there isn't much brain wave resonance noise,
context: Originally, Hana was the one at greatest risk with the ark plan.\Hana couldn't leave the Blume on her own.\The ark plan would try to force the Blume to move\without regard for her safety.\I didn't like that.\That risk is still here.\However, they were developing something called a Planter Unit\on the lunar base, where there isn't much brain wave resonance noise, response:	which would transfer Hana's brain wave resonance
context: Hana couldn't leave the Blume on her own.\The ark plan would try to force the Blume to move\without regard for her safety.\I didn't like that.\That risk is still here.\However, they were developing something called a Planter Unit\on the lunar base, where there isn't much brain wave resonance noise,\which would transfer Hana's brain wave resonance response:	and bioinformatics to the Blume externally,
context: The ark plan would try to force the Blume to move\without regard for her safety.\I didn't like that.\That risk is still here.\However, they were developing something called a Planter Unit\on the lunar base, where there isn't much brain wave resonance noise,\which would transfer Hana's brain wave resonance\and bioinformatics to the Blume externally, response:	allowing it to be controlled remotely.
context: without regard for her safety.\I didn't like that.\That risk is still here.\However, they were developing something called a Planter Unit\on the lunar base, where there isn't much brain wave resonance noise,\which would transfer Hana's brain wave resonance\and bioinformatics to the Blume externally,\allowing it to be controlled remotely. response:	Commander Nishikubo was developing it, so that if it became necessary
context: I didn't like that.\That risk is still here.\However, they were developing something called a Planter Unit\on the lunar base, where there isn't much brain wave resonance noise,\which would transfer Hana's brain wave resonance\and bioinformatics to the Blume externally,\allowing it to be controlled remotely.\Commander Nishikubo was developing it, so that if it became necessary response:	to use the Blume, we could minimize the risk to Hana.
context: That risk is still here.\However, they were developing something called a Planter Unit\on the lunar base, where there isn't much brain wave resonance noise,\which would transfer Hana's brain wave resonance\and bioinformatics to the Blume externally,\allowing it to be controlled remotely.\Commander Nishikubo was developing it, so that if it became necessary\to use the Blume, we could minimize the risk to Hana. response:	I'm fine.
context: However, they were developing something called a Planter Unit\on the lunar base, where there isn't much brain wave resonance noise,\which would transfer Hana's brain wave resonance\and bioinformatics to the Blume externally,\allowing it to be controlled remotely.\Commander Nishikubo was developing it, so that if it became necessary\to use the Blume, we could minimize the risk to Hana.\I'm fine. response:	I've got the captain.
context: on the lunar base, where there isn't much brain wave resonance noise,\which would transfer Hana's brain wave resonance\and bioinformatics to the Blume externally,\allowing it to be controlled remotely.\Commander Nishikubo was developing it, so that if it became necessary\to use the Blume, we could minimize the risk to Hana.\I'm fine.\I've got the captain. response:	Then what's the Planter Unit's status?
context: which would transfer Hana's brain wave resonance\and bioinformatics to the Blume externally,\allowing it to be controlled remotely.\Commander Nishikubo was developing it, so that if it became necessary\to use the Blume, we could minimize the risk to Hana.\I'm fine.\I've got the captain.\Then what's the Planter Unit's status? response:	Only Commander Nishikubo knows that.
context: and bioinformatics to the Blume externally,\allowing it to be controlled remotely.\Commander Nishikubo was developing it, so that if it became necessary\to use the Blume, we could minimize the risk to Hana.\I'm fine.\I've got the captain.\Then what's the Planter Unit's status?\Only Commander Nishikubo knows that. response:	But if there were even a one-percent chance that it would work,
context: allowing it to be controlled remotely.\Commander Nishikubo was developing it, so that if it became necessary\to use the Blume, we could minimize the risk to Hana.\I'm fine.\I've got the captain.\Then what's the Planter Unit's status?\Only Commander Nishikubo knows that.\But if there were even a one-percent chance that it would work, response:	he would have told you about it.
context: Commander Nishikubo was developing it, so that if it became necessary\to use the Blume, we could minimize the risk to Hana.\I'm fine.\I've got the captain.\Then what's the Planter Unit's status?\Only Commander Nishikubo knows that.\But if there were even a one-percent chance that it would work,\he would have told you about it. response:	Yeah,
context: to use the Blume, we could minimize the risk to Hana.\I'm fine.\I've got the captain.\Then what's the Planter Unit's status?\Only Commander Nishikubo knows that.\But if there were even a one-percent chance that it would work,\he would have told you about it.\Yeah, response:	I guess you're right.
context: I'm fine.\I've got the captain.\Then what's the Planter Unit's status?\Only Commander Nishikubo knows that.\But if there were even a one-percent chance that it would work,\he would have told you about it.\Yeah,\I guess you're right. response:	Pointer screwed up.
context: I've got the captain.\Then what's the Planter Unit's status?\Only Commander Nishikubo knows that.\But if there were even a one-percent chance that it would work,\he would have told you about it.\Yeah,\I guess you're right.\Pointer screwed up. response:	Yes, he screwed up.
context: Then what's the Planter Unit's status?\Only Commander Nishikubo knows that.\But if there were even a one-percent chance that it would work,\he would have told you about it.\Yeah,\I guess you're right.\Pointer screwed up.\Yes, he screwed up. response:	The future of the chosen boys,
context: Only Commander Nishikubo knows that.\But if there were even a one-percent chance that it would work,\he would have told you about it.\Yeah,\I guess you're right.\Pointer screwed up.\Yes, he screwed up.\The future of the chosen boys, response:	humanity's hope for survival,
context: But if there were even a one-percent chance that it would work,\he would have told you about it.\Yeah,\I guess you're right.\Pointer screwed up.\Yes, he screwed up.\The future of the chosen boys,\humanity's hope for survival, response:	is being cut off by the Intercept Faction.
context: he would have told you about it.\Yeah,\I guess you're right.\Pointer screwed up.\Yes, he screwed up.\The future of the chosen boys,\humanity's hope for survival,\is being cut off by the Intercept Faction. response:	That's how it seems to me.
context: Yeah,\I guess you're right.\Pointer screwed up.\Yes, he screwed up.\The future of the chosen boys,\humanity's hope for survival,\is being cut off by the Intercept Faction.\That's how it seems to me. response:	But the cold sleep block is still aboard the Tenkaidou.
context: I guess you're right.\Pointer screwed up.\Yes, he screwed up.\The future of the chosen boys,\humanity's hope for survival,\is being cut off by the Intercept Faction.\That's how it seems to me.\But the cold sleep block is still aboard the Tenkaidou. response:	Rewinding the clock to the ark plan is still possible.
context: Pointer screwed up.\Yes, he screwed up.\The future of the chosen boys,\humanity's hope for survival,\is being cut off by the Intercept Faction.\That's how it seems to me.\But the cold sleep block is still aboard the Tenkaidou.\Rewinding the clock to the ark plan is still possible. response:	There's still time.
context: Yes, he screwed up.\The future of the chosen boys,\humanity's hope for survival,\is being cut off by the Intercept Faction.\That's how it seems to me.\But the cold sleep block is still aboard the Tenkaidou.\Rewinding the clock to the ark plan is still possible.\There's still time. response:	But they will launch the Blume soon.
context: The future of the chosen boys,\humanity's hope for survival,\is being cut off by the Intercept Faction.\That's how it seems to me.\But the cold sleep block is still aboard the Tenkaidou.\Rewinding the clock to the ark plan is still possible.\There's still time.\But they will launch the Blume soon. response:	We cannot let that happen.
context: humanity's hope for survival,\is being cut off by the Intercept Faction.\That's how it seems to me.\But the cold sleep block is still aboard the Tenkaidou.\Rewinding the clock to the ark plan is still possible.\There's still time.\But they will launch the Blume soon.\We cannot let that happen. response:	It is we who will use the Blume.
context: is being cut off by the Intercept Faction.\That's how it seems to me.\But the cold sleep block is still aboard the Tenkaidou.\Rewinding the clock to the ark plan is still possible.\There's still time.\But they will launch the Blume soon.\We cannot let that happen.\It is we who will use the Blume. response:	It doesn't matter if it gets a bit banged up.
context: That's how it seems to me.\But the cold sleep block is still aboard the Tenkaidou.\Rewinding the clock to the ark plan is still possible.\There's still time.\But they will launch the Blume soon.\We cannot let that happen.\It is we who will use the Blume.\It doesn't matter if it gets a bit banged up. response:	We must retake it, no matter what.
context: But the cold sleep block is still aboard the Tenkaidou.\Rewinding the clock to the ark plan is still possible.\There's still time.\But they will launch the Blume soon.\We cannot let that happen.\It is we who will use the Blume.\It doesn't matter if it gets a bit banged up.\We must retake it, no matter what. response:	Eternal life...
context: Rewinding the clock to the ark plan is still possible.\There's still time.\But they will launch the Blume soon.\We cannot let that happen.\It is we who will use the Blume.\It doesn't matter if it gets a bit banged up.\We must retake it, no matter what.\Eternal life... response:	If I really had such a thing, what would I do?
context: There's still time.\But they will launch the Blume soon.\We cannot let that happen.\It is we who will use the Blume.\It doesn't matter if it gets a bit banged up.\We must retake it, no matter what.\Eternal life...\If I really had such a thing, what would I do? response:	It is truly a hard question for a snob like myself to think about.
context: But they will launch the Blume soon.\We cannot let that happen.\It is we who will use the Blume.\It doesn't matter if it gets a bit banged up.\We must retake it, no matter what.\Eternal life...\If I really had such a thing, what would I do?\It is truly a hard question for a snob like myself to think about. response:	For example, whatever it is you enjoy most today,
context: We cannot let that happen.\It is we who will use the Blume.\It doesn't matter if it gets a bit banged up.\We must retake it, no matter what.\Eternal life...\If I really had such a thing, what would I do?\It is truly a hard question for a snob like myself to think about.\For example, whatever it is you enjoy most today, response:	like that delicious wine...
context: It is we who will use the Blume.\It doesn't matter if it gets a bit banged up.\We must retake it, no matter what.\Eternal life...\If I really had such a thing, what would I do?\It is truly a hard question for a snob like myself to think about.\For example, whatever it is you enjoy most today,\like that delicious wine... response:	What must you do to enjoy it forever?
context: It doesn't matter if it gets a bit banged up.\We must retake it, no matter what.\Eternal life...\If I really had such a thing, what would I do?\It is truly a hard question for a snob like myself to think about.\For example, whatever it is you enjoy most today,\like that delicious wine...\What must you do to enjoy it forever? response:	Or how to enjoy time with beautiful ladies.
context: We must retake it, no matter what.\Eternal life...\If I really had such a thing, what would I do?\It is truly a hard question for a snob like myself to think about.\For example, whatever it is you enjoy most today,\like that delicious wine...\What must you do to enjoy it forever?\Or how to enjoy time with beautiful ladies. response:	I think that is what I would think of.
context: Eternal life...\If I really had such a thing, what would I do?\It is truly a hard question for a snob like myself to think about.\For example, whatever it is you enjoy most today,\like that delicious wine...\What must you do to enjoy it forever?\Or how to enjoy time with beautiful ladies.\I think that is what I would think of. response:	To consider it a bit more realistically,
context: If I really had such a thing, what would I do?\It is truly a hard question for a snob like myself to think about.\For example, whatever it is you enjoy most today,\like that delicious wine...\What must you do to enjoy it forever?\Or how to enjoy time with beautiful ladies.\I think that is what I would think of.\To consider it a bit more realistically, response:	in my case, if I were to live for eternity...
context: It is truly a hard question for a snob like myself to think about.\For example, whatever it is you enjoy most today,\like that delicious wine...\What must you do to enjoy it forever?\Or how to enjoy time with beautiful ladies.\I think that is what I would think of.\To consider it a bit more realistically,\in my case, if I were to live for eternity... response:	I may be a little irritated by the size of the world I have to live in,
context: For example, whatever it is you enjoy most today,\like that delicious wine...\What must you do to enjoy it forever?\Or how to enjoy time with beautiful ladies.\I think that is what I would think of.\To consider it a bit more realistically,\in my case, if I were to live for eternity...\I may be a little irritated by the size of the world I have to live in, response:	and the fact that there are still so many things I do not know.
context: like that delicious wine...\What must you do to enjoy it forever?\Or how to enjoy time with beautiful ladies.\I think that is what I would think of.\To consider it a bit more realistically,\in my case, if I were to live for eternity...\I may be a little irritated by the size of the world I have to live in,\and the fact that there are still so many things I do not know. response:	Yes.
context: What must you do to enjoy it forever?\Or how to enjoy time with beautiful ladies.\I think that is what I would think of.\To consider it a bit more realistically,\in my case, if I were to live for eternity...\I may be a little irritated by the size of the world I have to live in,\and the fact that there are still so many things I do not know.\Yes. response:	First, I'd be irritated.
context: Or how to enjoy time with beautiful ladies.\I think that is what I would think of.\To consider it a bit more realistically,\in my case, if I were to live for eternity...\I may be a little irritated by the size of the world I have to live in,\and the fact that there are still so many things I do not know.\Yes.\First, I'd be irritated. response:	This may not be the answer you're looking for. Please forgive me.
context: I think that is what I would think of.\To consider it a bit more realistically,\in my case, if I were to live for eternity...\I may be a little irritated by the size of the world I have to live in,\and the fact that there are still so many things I do not know.\Yes.\First, I'd be irritated.\This may not be the answer you're looking for. Please forgive me. response:	Puck does not lie.
context: To consider it a bit more realistically,\in my case, if I were to live for eternity...\I may be a little irritated by the size of the world I have to live in,\and the fact that there are still so many things I do not know.\Yes.\First, I'd be irritated.\This may not be the answer you're looking for. Please forgive me.\Puck does not lie. response:	Ah, I got that wrong.
context: in my case, if I were to live for eternity...\I may be a little irritated by the size of the world I have to live in,\and the fact that there are still so many things I do not know.\Yes.\First, I'd be irritated.\This may not be the answer you're looking for. Please forgive me.\Puck does not lie.\Ah, I got that wrong. response:	As Kube Masaki, send that as my answer to Peter Westvillage.
context: I may be a little irritated by the size of the world I have to live in,\and the fact that there are still so many things I do not know.\Yes.\First, I'd be irritated.\This may not be the answer you're looking for. Please forgive me.\Puck does not lie.\Ah, I got that wrong.\As Kube Masaki, send that as my answer to Peter Westvillage. response:	Understood.
context: and the fact that there are still so many things I do not know.\Yes.\First, I'd be irritated.\This may not be the answer you're looking for. Please forgive me.\Puck does not lie.\Ah, I got that wrong.\As Kube Masaki, send that as my answer to Peter Westvillage.\Understood. response:	Amarok and the others' full-scale attack...
context: Yes.\First, I'd be irritated.\This may not be the answer you're looking for. Please forgive me.\Puck does not lie.\Ah, I got that wrong.\As Kube Masaki, send that as my answer to Peter Westvillage.\Understood.\Amarok and the others' full-scale attack... response:	The Operation Summer
context: First, I'd be irritated.\This may not be the answer you're looking for. Please forgive me.\Puck does not lie.\Ah, I got that wrong.\As Kube Masaki, send that as my answer to Peter Westvillage.\Understood.\Amarok and the others' full-scale attack...\The Operation Summer response:	Now, let's get started.
context: This may not be the answer you're looking for. Please forgive me.\Puck does not lie.\Ah, I got that wrong.\As Kube Masaki, send that as my answer to Peter Westvillage.\Understood.\Amarok and the others' full-scale attack...\The Operation Summer\Now, let's get started. response:	Bugbear and Setsuna-sama will soon return with the last capsule.
context: Puck does not lie.\Ah, I got that wrong.\As Kube Masaki, send that as my answer to Peter Westvillage.\Understood.\Amarok and the others' full-scale attack...\The Operation Summer\Now, let's get started.\Bugbear and Setsuna-sama will soon return with the last capsule. response:	It's nearly time.
context: Ah, I got that wrong.\As Kube Masaki, send that as my answer to Peter Westvillage.\Understood.\Amarok and the others' full-scale attack...\The Operation Summer\Now, let's get started.\Bugbear and Setsuna-sama will soon return with the last capsule.\It's nearly time. response:	The last night on Earth.
context: As Kube Masaki, send that as my answer to Peter Westvillage.\Understood.\Amarok and the others' full-scale attack...\The Operation Summer\Now, let's get started.\Bugbear and Setsuna-sama will soon return with the last capsule.\It's nearly time.\The last night on Earth. response:	The end of this planet, huh?
context: Understood.\Amarok and the others' full-scale attack...\The Operation Summer\Now, let's get started.\Bugbear and Setsuna-sama will soon return with the last capsule.\It's nearly time.\The last night on Earth.\The end of this planet, huh? response:	This planet wasn't that bad.
context: Amarok and the others' full-scale attack...\The Operation Summer\Now, let's get started.\Bugbear and Setsuna-sama will soon return with the last capsule.\It's nearly time.\The last night on Earth.\The end of this planet, huh?\This planet wasn't that bad. response:	Nor was this avatar body.
context: The Operation Summer\Now, let's get started.\Bugbear and Setsuna-sama will soon return with the last capsule.\It's nearly time.\The last night on Earth.\The end of this planet, huh?\This planet wasn't that bad.\Nor was this avatar body. response:	That crepe truck we ran together was pretty fun, wasn't it?
context: Now, let's get started.\Bugbear and Setsuna-sama will soon return with the last capsule.\It's nearly time.\The last night on Earth.\The end of this planet, huh?\This planet wasn't that bad.\Nor was this avatar body.\That crepe truck we ran together was pretty fun, wasn't it? response:	What are you talking about?
context: Bugbear and Setsuna-sama will soon return with the last capsule.\It's nearly time.\The last night on Earth.\The end of this planet, huh?\This planet wasn't that bad.\Nor was this avatar body.\That crepe truck we ran together was pretty fun, wasn't it?\What are you talking about? response:	He'd feel irritated first, huh?
context: It's nearly time.\The last night on Earth.\The end of this planet, huh?\This planet wasn't that bad.\Nor was this avatar body.\That crepe truck we ran together was pretty fun, wasn't it?\What are you talking about?\He'd feel irritated first, huh? response:	Commander.
context: The last night on Earth.\The end of this planet, huh?\This planet wasn't that bad.\Nor was this avatar body.\That crepe truck we ran together was pretty fun, wasn't it?\What are you talking about?\He'd feel irritated first, huh?\Commander. response:	We're in contact with the Kivotos's bridge and the Tenkaidou.
context: The end of this planet, huh?\This planet wasn't that bad.\Nor was this avatar body.\That crepe truck we ran together was pretty fun, wasn't it?\What are you talking about?\He'd feel irritated first, huh?\Commander.\We're in contact with the Kivotos's bridge and the Tenkaidou. response:	Commander, we heard about the Planter Unit.
context: This planet wasn't that bad.\Nor was this avatar body.\That crepe truck we ran together was pretty fun, wasn't it?\What are you talking about?\He'd feel irritated first, huh?\Commander.\We're in contact with the Kivotos's bridge and the Tenkaidou.\Commander, we heard about the Planter Unit. response:	Akari again?
context: Nor was this avatar body.\That crepe truck we ran together was pretty fun, wasn't it?\What are you talking about?\He'd feel irritated first, huh?\Commander.\We're in contact with the Kivotos's bridge and the Tenkaidou.\Commander, we heard about the Planter Unit.\Akari again? response:	That isn't even close to complete.
context: That crepe truck we ran together was pretty fun, wasn't it?\What are you talking about?\He'd feel irritated first, huh?\Commander.\We're in contact with the Kivotos's bridge and the Tenkaidou.\Commander, we heard about the Planter Unit.\Akari again?\That isn't even close to complete. response:	The research team did their best, but...
context: What are you talking about?\He'd feel irritated first, huh?\Commander.\We're in contact with the Kivotos's bridge and the Tenkaidou.\Commander, we heard about the Planter Unit.\Akari again?\That isn't even close to complete.\The research team did their best, but... response:	I'm sorry.
context: He'd feel irritated first, huh?\Commander.\We're in contact with the Kivotos's bridge and the Tenkaidou.\Commander, we heard about the Planter Unit.\Akari again?\That isn't even close to complete.\The research team did their best, but...\I'm sorry. response:	Thanks, though.
context: Commander.\We're in contact with the Kivotos's bridge and the Tenkaidou.\Commander, we heard about the Planter Unit.\Akari again?\That isn't even close to complete.\The research team did their best, but...\I'm sorry.\Thanks, though. response:	I heard that you made it because you were concerned about me.
context: We're in contact with the Kivotos's bridge and the Tenkaidou.\Commander, we heard about the Planter Unit.\Akari again?\That isn't even close to complete.\The research team did their best, but...\I'm sorry.\Thanks, though.\I heard that you made it because you were concerned about me. response:	You can be pretty nice sometimes!
context: Commander, we heard about the Planter Unit.\Akari again?\That isn't even close to complete.\The research team did their best, but...\I'm sorry.\Thanks, though.\I heard that you made it because you were concerned about me.\You can be pretty nice sometimes! response:	G-Governor Yomatsuri!
context: Akari again?\That isn't even close to complete.\The research team did their best, but...\I'm sorry.\Thanks, though.\I heard that you made it because you were concerned about me.\You can be pretty nice sometimes!\G-Governor Yomatsuri! response:	But it's true.
context: That isn't even close to complete.\The research team did their best, but...\I'm sorry.\Thanks, though.\I heard that you made it because you were concerned about me.\You can be pretty nice sometimes!\G-Governor Yomatsuri!\But it's true. response:	DEFCON 1?
