context: I meant for you to hide here. response:	If I don't forget, I'll come back and dig you out.
context: if he learned that the fragment was stolen from me.\Who cares about you!? I prefer to go it alone!\Yes...\Inuyasha can manage without me.\All right, I'll forget him.\Besides, I can never return to that world again.\Kagome, Yuka is on the phone. And it's also dinnertime!\Okay! response:	Gramps...
context: Who cares about you!? I prefer to go it alone!\Yes...\Inuyasha can manage without me.\All right, I'll forget him.\Besides, I can never return to that world again.\Kagome, Yuka is on the phone. And it's also dinnertime!\Okay!\Gramps... response:	Will the seals on the well ever come off?
context: Yes...\Inuyasha can manage without me.\All right, I'll forget him.\Besides, I can never return to that world again.\Kagome, Yuka is on the phone. And it's also dinnertime!\Okay!\Gramps...\Will the seals on the well ever come off? response:	Never.
context: Inuyasha can manage without me.\All right, I'll forget him.\Besides, I can never return to that world again.\Kagome, Yuka is on the phone. And it's also dinnertime!\Okay!\Gramps...\Will the seals on the well ever come off?\Never. response:	Each seal contains powerful words of magic that can't be broken.
context: All right, I'll forget him.\Besides, I can never return to that world again.\Kagome, Yuka is on the phone. And it's also dinnertime!\Okay!\Gramps...\Will the seals on the well ever come off?\Never.\Each seal contains powerful words of magic that can't be broken. response:	No matter what kind of evil spirit, it will be impossible.
context: Besides, I can never return to that world again.\Kagome, Yuka is on the phone. And it's also dinnertime!\Okay!\Gramps...\Will the seals on the well ever come off?\Never.\Each seal contains powerful words of magic that can't be broken.\No matter what kind of evil spirit, it will be impossible. response:	It's a hot pot for dinner!
context: Kagome, Yuka is on the phone. And it's also dinnertime!\Okay!\Gramps...\Will the seals on the well ever come off?\Never.\Each seal contains powerful words of magic that can't be broken.\No matter what kind of evil spirit, it will be impossible.\It's a hot pot for dinner! response:	- So you can rest assured, Kagome. - Hot pot! Hot pot! Hot pot!
context: Okay!\Gramps...\Will the seals on the well ever come off?\Never.\Each seal contains powerful words of magic that can't be broken.\No matter what kind of evil spirit, it will be impossible.\It's a hot pot for dinner!\- So you can rest assured, Kagome. - Hot pot! Hot pot! Hot pot! response:	She's not listening.
context: Gramps...\Will the seals on the well ever come off?\Never.\Each seal contains powerful words of magic that can't be broken.\No matter what kind of evil spirit, it will be impossible.\It's a hot pot for dinner!\- So you can rest assured, Kagome. - Hot pot! Hot pot! Hot pot!\She's not listening. response:	It's such a glorious age!
context: Will the seals on the well ever come off?\Never.\Each seal contains powerful words of magic that can't be broken.\No matter what kind of evil spirit, it will be impossible.\It's a hot pot for dinner!\- So you can rest assured, Kagome. - Hot pot! Hot pot! Hot pot!\She's not listening.\It's such a glorious age! response:	Let's dig in!
context: Never.\Each seal contains powerful words of magic that can't be broken.\No matter what kind of evil spirit, it will be impossible.\It's a hot pot for dinner!\- So you can rest assured, Kagome. - Hot pot! Hot pot! Hot pot!\She's not listening.\It's such a glorious age!\Let's dig in! response:	Huh... Inuyasha?
context: Each seal contains powerful words of magic that can't be broken.\No matter what kind of evil spirit, it will be impossible.\It's a hot pot for dinner!\- So you can rest assured, Kagome. - Hot pot! Hot pot! Hot pot!\She's not listening.\It's such a glorious age!\Let's dig in!\Huh... Inuyasha? response:	You!
context: No matter what kind of evil spirit, it will be impossible.\It's a hot pot for dinner!\- So you can rest assured, Kagome. - Hot pot! Hot pot! Hot pot!\She's not listening.\It's such a glorious age!\Let's dig in!\Huh... Inuyasha?\You! response:	Who said you can go home?!
context: It's a hot pot for dinner!\- So you can rest assured, Kagome. - Hot pot! Hot pot! Hot pot!\She's not listening.\It's such a glorious age!\Let's dig in!\Huh... Inuyasha?\You!\Who said you can go home?! response:	You... Where'd you come from?
context: - So you can rest assured, Kagome. - Hot pot! Hot pot! Hot pot!\She's not listening.\It's such a glorious age!\Let's dig in!\Huh... Inuyasha?\You!\Who said you can go home?!\You... Where'd you come from? response:	The well! Where else?
context: She's not listening.\It's such a glorious age!\Let's dig in!\Huh... Inuyasha?\You!\Who said you can go home?!\You... Where'd you come from?\The well! Where else? response:	The well? But it's...
context: It's such a glorious age!\Let's dig in!\Huh... Inuyasha?\You!\Who said you can go home?!\You... Where'd you come from?\The well! Where else?\The well? But it's... response:	Do not lie!
context: Let's dig in!\Huh... Inuyasha?\You!\Who said you can go home?!\You... Where'd you come from?\The well! Where else?\The well? But it's...\Do not lie! response:	Those oracles have been used of this shrine since ancient times...
context: Huh... Inuyasha?\You!\Who said you can go home?!\You... Where'd you come from?\The well! Where else?\The well? But it's...\Do not lie!\Those oracles have been used of this shrine since ancient times... response:	and cannot fail!
context: You!\Who said you can go home?!\You... Where'd you come from?\The well! Where else?\The well? But it's...\Do not lie!\Those oracles have been used of this shrine since ancient times...\and cannot fail! response:	Oracle? You mean, this flimsy piece of paper?
context: Who said you can go home?!\You... Where'd you come from?\The well! Where else?\The well? But it's...\Do not lie!\Those oracles have been used of this shrine since ancient times...\and cannot fail!\Oracle? You mean, this flimsy piece of paper? response:	Didn't work!
context: You... Where'd you come from?\The well! Where else?\The well? But it's...\Do not lie!\Those oracles have been used of this shrine since ancient times...\and cannot fail!\Oracle? You mean, this flimsy piece of paper?\Didn't work! response:	Gramps!
context: The well! Where else?\The well? But it's...\Do not lie!\Those oracles have been used of this shrine since ancient times...\and cannot fail!\Oracle? You mean, this flimsy piece of paper?\Didn't work!\Gramps! response:	Now come with me!
context: The well? But it's...\Do not lie!\Those oracles have been used of this shrine since ancient times...\and cannot fail!\Oracle? You mean, this flimsy piece of paper?\Didn't work!\Gramps!\Now come with me! response:	Wa... wait! I don't want to go!
context: Do not lie!\Those oracles have been used of this shrine since ancient times...\and cannot fail!\Oracle? You mean, this flimsy piece of paper?\Didn't work!\Gramps!\Now come with me!\Wa... wait! I don't want to go! response:	Just a minute!
context: Those oracles have been used of this shrine since ancient times...\and cannot fail!\Oracle? You mean, this flimsy piece of paper?\Didn't work!\Gramps!\Now come with me!\Wa... wait! I don't want to go!\Just a minute! response:	What?!
context: and cannot fail!\Oracle? You mean, this flimsy piece of paper?\Didn't work!\Gramps!\Now come with me!\Wa... wait! I don't want to go!\Just a minute!\What?! response:	Mom...
context: Oracle? You mean, this flimsy piece of paper?\Didn't work!\Gramps!\Now come with me!\Wa... wait! I don't want to go!\Just a minute!\What?!\Mom... response:	Your ears... Are they real?
context: Didn't work!\Gramps!\Now come with me!\Wa... wait! I don't want to go!\Just a minute!\What?!\Mom...\Your ears... Are they real? response:	Lemme try, too!
context: Gramps!\Now come with me!\Wa... wait! I don't want to go!\Just a minute!\What?!\Mom...\Your ears... Are they real?\Lemme try, too! response:	Mom, this is no time for that... Although I did the same thing.
context: Now come with me!\Wa... wait! I don't want to go!\Just a minute!\What?!\Mom...\Your ears... Are they real?\Lemme try, too!\Mom, this is no time for that... Although I did the same thing. response:	Inuyasha...
context: Wa... wait! I don't want to go!\Just a minute!\What?!\Mom...\Your ears... Are they real?\Lemme try, too!\Mom, this is no time for that... Although I did the same thing.\Inuyasha... response:	A strand of hair!
context: Just a minute!\What?!\Mom...\Your ears... Are they real?\Lemme try, too!\Mom, this is no time for that... Although I did the same thing.\Inuyasha...\A strand of hair! response:	Hair?
context: What?!\Mom...\Your ears... Are they real?\Lemme try, too!\Mom, this is no time for that... Although I did the same thing.\Inuyasha...\A strand of hair!\Hair? response:	Can't you see it?
context: Mom...\Your ears... Are they real?\Lemme try, too!\Mom, this is no time for that... Although I did the same thing.\Inuyasha...\A strand of hair!\Hair?\Can't you see it? response:	Huh?! It's moving!
context: Your ears... Are they real?\Lemme try, too!\Mom, this is no time for that... Although I did the same thing.\Inuyasha...\A strand of hair!\Hair?\Can't you see it?\Huh?! It's moving! response:	Kagome... There's blood...
context: Lemme try, too!\Mom, this is no time for that... Although I did the same thing.\Inuyasha...\A strand of hair!\Hair?\Can't you see it?\Huh?! It's moving!\Kagome... There's blood... response:	What happened?
context: Mom, this is no time for that... Although I did the same thing.\Inuyasha...\A strand of hair!\Hair?\Can't you see it?\Huh?! It's moving!\Kagome... There's blood...\What happened? response:	This!
context: Inuyasha...\A strand of hair!\Hair?\Can't you see it?\Huh?! It's moving!\Kagome... There's blood...\What happened?\This! response:	Only I can see it.
context: A strand of hair!\Hair?\Can't you see it?\Huh?! It's moving!\Kagome... There's blood...\What happened?\This!\Only I can see it. response:	But being able to see isn't enough.
context: Hair?\Can't you see it?\Huh?! It's moving!\Kagome... There's blood...\What happened?\This!\Only I can see it.\But being able to see isn't enough. response:	Yura's manipulating strand! No!
context: Can't you see it?\Huh?! It's moving!\Kagome... There's blood...\What happened?\This!\Only I can see it.\But being able to see isn't enough.\Yura's manipulating strand! No! response:	More strands... are coming out!
context: Huh?! It's moving!\Kagome... There's blood...\What happened?\This!\Only I can see it.\But being able to see isn't enough.\Yura's manipulating strand! No!\More strands... are coming out! response:	That old crone was right. You have the vision at least.
context: Kagome... There's blood...\What happened?\This!\Only I can see it.\But being able to see isn't enough.\Yura's manipulating strand! No!\More strands... are coming out!\That old crone was right. You have the vision at least. response:	You brought something awful with you!!
context: What happened?\This!\Only I can see it.\But being able to see isn't enough.\Yura's manipulating strand! No!\More strands... are coming out!\That old crone was right. You have the vision at least.\You brought something awful with you!! response:	Kagome!
context: This!\Only I can see it.\But being able to see isn't enough.\Yura's manipulating strand! No!\More strands... are coming out!\That old crone was right. You have the vision at least.\You brought something awful with you!!\Kagome! response:	Sis!
context: Only I can see it.\But being able to see isn't enough.\Yura's manipulating strand! No!\More strands... are coming out!\That old crone was right. You have the vision at least.\You brought something awful with you!!\Kagome!\Sis! response:	Don't enter!
context: But being able to see isn't enough.\Yura's manipulating strand! No!\More strands... are coming out!\That old crone was right. You have the vision at least.\You brought something awful with you!!\Kagome!\Sis!\Don't enter! response:	Here... I must stop it right here!
context: Yura's manipulating strand! No!\More strands... are coming out!\That old crone was right. You have the vision at least.\You brought something awful with you!!\Kagome!\Sis!\Don't enter!\Here... I must stop it right here! response:	Inuyasha! In front of you!
context: More strands... are coming out!\That old crone was right. You have the vision at least.\You brought something awful with you!!\Kagome!\Sis!\Don't enter!\Here... I must stop it right here!\Inuyasha! In front of you! response:	- Open up, Kagome! - Kagome!
context: That old crone was right. You have the vision at least.\You brought something awful with you!!\Kagome!\Sis!\Don't enter!\Here... I must stop it right here!\Inuyasha! In front of you!\- Open up, Kagome! - Kagome! response:	It gathers together again, even when it's cut.
context: You brought something awful with you!!\Kagome!\Sis!\Don't enter!\Here... I must stop it right here!\Inuyasha! In front of you!\- Open up, Kagome! - Kagome!\It gathers together again, even when it's cut. response:	There's no end to this!
context: Kagome!\Sis!\Don't enter!\Here... I must stop it right here!\Inuyasha! In front of you!\- Open up, Kagome! - Kagome!\It gathers together again, even when it's cut.\There's no end to this! response:	Huh?! That's?
context: Sis!\Don't enter!\Here... I must stop it right here!\Inuyasha! In front of you!\- Open up, Kagome! - Kagome!\It gathers together again, even when it's cut.\There's no end to this!\Huh?! That's? response:	That's it!
context: Don't enter!\Here... I must stop it right here!\Inuyasha! In front of you!\- Open up, Kagome! - Kagome!\It gathers together again, even when it's cut.\There's no end to this!\Huh?! That's?\That's it! response:	The main strand that's controlling everything.
context: Here... I must stop it right here!\Inuyasha! In front of you!\- Open up, Kagome! - Kagome!\It gathers together again, even when it's cut.\There's no end to this!\Huh?! That's?\That's it!\The main strand that's controlling everything. response:	Inuyasha!
context: Inuyasha! In front of you!\- Open up, Kagome! - Kagome!\It gathers together again, even when it's cut.\There's no end to this!\Huh?! That's?\That's it!\The main strand that's controlling everything.\Inuyasha! response:	It's this one! Cut this strand!
context: - Open up, Kagome! - Kagome!\It gathers together again, even when it's cut.\There's no end to this!\Huh?! That's?\That's it!\The main strand that's controlling everything.\Inuyasha!\It's this one! Cut this strand! response:	This? Where?
context: It gathers together again, even when it's cut.\There's no end to this!\Huh?! That's?\That's it!\The main strand that's controlling everything.\Inuyasha!\It's this one! Cut this strand!\This? Where? response:	Inuyasha can't see it.
context: There's no end to this!\Huh?! That's?\That's it!\The main strand that's controlling everything.\Inuyasha!\It's this one! Cut this strand!\This? Where?\Inuyasha can't see it. response:	Then...
context: Huh?! That's?\That's it!\The main strand that's controlling everything.\Inuyasha!\It's this one! Cut this strand!\This? Where?\Inuyasha can't see it.\Then... response:	There's only one way!
context: That's it!\The main strand that's controlling everything.\Inuyasha!\It's this one! Cut this strand!\This? Where?\Inuyasha can't see it.\Then...\There's only one way! response:	I see it!
context: The main strand that's controlling everything.\Inuyasha!\It's this one! Cut this strand!\This? Where?\Inuyasha can't see it.\Then...\There's only one way!\I see it! response:	It retreated.
context: Inuyasha!\It's this one! Cut this strand!\This? Where?\Inuyasha can't see it.\Then...\There's only one way!\I see it!\It retreated. response:	Strange...
context: It's this one! Cut this strand!\This? Where?\Inuyasha can't see it.\Then...\There's only one way!\I see it!\It retreated.\Strange... response:	If Yura was after the Sacred Jewel...
context: This? Where?\Inuyasha can't see it.\Then...\There's only one way!\I see it!\It retreated.\Strange...\If Yura was after the Sacred Jewel... response:	she already accomplished her goal.
context: Inuyasha can't see it.\Then...\There's only one way!\I see it!\It retreated.\Strange...\If Yura was after the Sacred Jewel...\she already accomplished her goal. response:	Could she actually be after me and Inuyasha?
context: Then...\There's only one way!\I see it!\It retreated.\Strange...\If Yura was after the Sacred Jewel...\she already accomplished her goal.\Could she actually be after me and Inuyasha? response:	Inuyasha, let's return!
context: There's only one way!\I see it!\It retreated.\Strange...\If Yura was after the Sacred Jewel...\she already accomplished her goal.\Could she actually be after me and Inuyasha?\Inuyasha, let's return! response:	Wow... That was a quick change of mind.
context: I see it!\It retreated.\Strange...\If Yura was after the Sacred Jewel...\she already accomplished her goal.\Could she actually be after me and Inuyasha?\Inuyasha, let's return!\Wow... That was a quick change of mind. response:	I don't really want to go.
context: It retreated.\Strange...\If Yura was after the Sacred Jewel...\she already accomplished her goal.\Could she actually be after me and Inuyasha?\Inuyasha, let's return!\Wow... That was a quick change of mind.\I don't really want to go. response:	Huh?
context: Strange...\If Yura was after the Sacred Jewel...\she already accomplished her goal.\Could she actually be after me and Inuyasha?\Inuyasha, let's return!\Wow... That was a quick change of mind.\I don't really want to go.\Huh? response:	But if I stay here, Gramps, Mom and even Sota...
context: If Yura was after the Sacred Jewel...\she already accomplished her goal.\Could she actually be after me and Inuyasha?\Inuyasha, let's return!\Wow... That was a quick change of mind.\I don't really want to go.\Huh?\But if I stay here, Gramps, Mom and even Sota... response:	will be in terrible danger.
context: she already accomplished her goal.\Could she actually be after me and Inuyasha?\Inuyasha, let's return!\Wow... That was a quick change of mind.\I don't really want to go.\Huh?\But if I stay here, Gramps, Mom and even Sota...\will be in terrible danger. response:	Huh?
context: Could she actually be after me and Inuyasha?\Inuyasha, let's return!\Wow... That was a quick change of mind.\I don't really want to go.\Huh?\But if I stay here, Gramps, Mom and even Sota...\will be in terrible danger.\Huh? response:	This was woven with the fur of the Fire Rat.
context: Inuyasha, let's return!\Wow... That was a quick change of mind.\I don't really want to go.\Huh?\But if I stay here, Gramps, Mom and even Sota...\will be in terrible danger.\Huh?\This was woven with the fur of the Fire Rat. response:	It's much stronger than an ordinary armor.
context: Wow... That was a quick change of mind.\I don't really want to go.\Huh?\But if I stay here, Gramps, Mom and even Sota...\will be in terrible danger.\Huh?\This was woven with the fur of the Fire Rat.\It's much stronger than an ordinary armor. response:	Th... thank you.
context: I don't really want to go.\Huh?\But if I stay here, Gramps, Mom and even Sota...\will be in terrible danger.\Huh?\This was woven with the fur of the Fire Rat.\It's much stronger than an ordinary armor.\Th... thank you. response:	Well,'cuz...
context: Huh?\But if I stay here, Gramps, Mom and even Sota...\will be in terrible danger.\Huh?\This was woven with the fur of the Fire Rat.\It's much stronger than an ordinary armor.\Th... thank you.\Well,'cuz... response:	You look like you have really weird skin.
context: But if I stay here, Gramps, Mom and even Sota...\will be in terrible danger.\Huh?\This was woven with the fur of the Fire Rat.\It's much stronger than an ordinary armor.\Th... thank you.\Well,'cuz...\You look like you have really weird skin. response:	You're the weird one!
context: will be in terrible danger.\Huh?\This was woven with the fur of the Fire Rat.\It's much stronger than an ordinary armor.\Th... thank you.\Well,'cuz...\You look like you have really weird skin.\You're the weird one! response:	Oh well, whatever. Let's go!
context: Huh?\This was woven with the fur of the Fire Rat.\It's much stronger than an ordinary armor.\Th... thank you.\Well,'cuz...\You look like you have really weird skin.\You're the weird one!\Oh well, whatever. Let's go! response:	Uh-huh!
context: This was woven with the fur of the Fire Rat.\It's much stronger than an ordinary armor.\Th... thank you.\Well,'cuz...\You look like you have really weird skin.\You're the weird one!\Oh well, whatever. Let's go!\Uh-huh! response:	They should be returning soon.
context: It's much stronger than an ordinary armor.\Th... thank you.\Well,'cuz...\You look like you have really weird skin.\You're the weird one!\Oh well, whatever. Let's go!\Uh-huh!\They should be returning soon. response:	This time, I'll give them a big reception...
context: Th... thank you.\Well,'cuz...\You look like you have really weird skin.\You're the weird one!\Oh well, whatever. Let's go!\Uh-huh!\They should be returning soon.\This time, I'll give them a big reception... response:	Do you understand, Inuysha?
context: Well,'cuz...\You look like you have really weird skin.\You're the weird one!\Oh well, whatever. Let's go!\Uh-huh!\They should be returning soon.\This time, I'll give them a big reception...\Do you understand, Inuysha? response:	Kagome is my sister Kikyo's reincarnation.
context: You look like you have really weird skin.\You're the weird one!\Oh well, whatever. Let's go!\Uh-huh!\They should be returning soon.\This time, I'll give them a big reception...\Do you understand, Inuysha?\Kagome is my sister Kikyo's reincarnation. response:	However, she isn't aware yet of the scope of her powers.
context: You're the weird one!\Oh well, whatever. Let's go!\Uh-huh!\They should be returning soon.\This time, I'll give them a big reception...\Do you understand, Inuysha?\Kagome is my sister Kikyo's reincarnation.\However, she isn't aware yet of the scope of her powers. response:	She needs your help right now.
context: Oh well, whatever. Let's go!\Uh-huh!\They should be returning soon.\This time, I'll give them a big reception...\Do you understand, Inuysha?\Kagome is my sister Kikyo's reincarnation.\However, she isn't aware yet of the scope of her powers.\She needs your help right now. response:	Watch out! There's hair all over the well, too!
context: Uh-huh!\They should be returning soon.\This time, I'll give them a big reception...\Do you understand, Inuysha?\Kagome is my sister Kikyo's reincarnation.\However, she isn't aware yet of the scope of her powers.\She needs your help right now.\Watch out! There's hair all over the well, too! response:	Are you saying that this Yura with the combed Hair is after us
context: They should be returning soon.\This time, I'll give them a big reception...\Do you understand, Inuysha?\Kagome is my sister Kikyo's reincarnation.\However, she isn't aware yet of the scope of her powers.\She needs your help right now.\Watch out! There's hair all over the well, too!\Are you saying that this Yura with the combed Hair is after us response:	Yes. Look, she took the Sacred Jewel fragment...
context: This time, I'll give them a big reception...\Do you understand, Inuysha?\Kagome is my sister Kikyo's reincarnation.\However, she isn't aware yet of the scope of her powers.\She needs your help right now.\Watch out! There's hair all over the well, too!\Are you saying that this Yura with the combed Hair is after us\Yes. Look, she took the Sacred Jewel fragment... response:	yet she still comes after us!
context: Do you understand, Inuysha?\Kagome is my sister Kikyo's reincarnation.\However, she isn't aware yet of the scope of her powers.\She needs your help right now.\Watch out! There's hair all over the well, too!\Are you saying that this Yura with the combed Hair is after us\Yes. Look, she took the Sacred Jewel fragment...\yet she still comes after us! response:	Hold it! Did you say she took it?!
