context: New School Term response:	I knew this would happen, but...
context: The ball is your friend! I'm prepared to shock the world!\Hey, is it true he's a year older?\Then he's repeating the year? Why?\I heard he plays shogi or something. I'm not sure.\What? Isn't shogi a game for old men?\Shogi? Game? At home? An otaku?\Is that why he's repeating? Because he ditched so much school?\Huh. Is that right? response:	I-I'm getting out of here.
context: Hey, is it true he's a year older?\Then he's repeating the year? Why?\I heard he plays shogi or something. I'm not sure.\What? Isn't shogi a game for old men?\Shogi? Game? At home? An otaku?\Is that why he's repeating? Because he ditched so much school?\Huh. Is that right?\I-I'm getting out of here. response:	When the class changed, my classmates immediately formed groups.
context: Then he's repeating the year? Why?\I heard he plays shogi or something. I'm not sure.\What? Isn't shogi a game for old men?\Shogi? Game? At home? An otaku?\Is that why he's repeating? Because he ditched so much school?\Huh. Is that right?\I-I'm getting out of here.\When the class changed, my classmates immediately formed groups. response:	Within those groups that have already formed,
context: I heard he plays shogi or something. I'm not sure.\What? Isn't shogi a game for old men?\Shogi? Game? At home? An otaku?\Is that why he's repeating? Because he ditched so much school?\Huh. Is that right?\I-I'm getting out of here.\When the class changed, my classmates immediately formed groups.\Within those groups that have already formed, response:	how am I supposed to join them when I'm a loser with no courage or skills to do so?
context: What? Isn't shogi a game for old men?\Shogi? Game? At home? An otaku?\Is that why he's repeating? Because he ditched so much school?\Huh. Is that right?\I-I'm getting out of here.\When the class changed, my classmates immediately formed groups.\Within those groups that have already formed,\how am I supposed to join them when I'm a loser with no courage or skills to do so? response:	Hey, mind if I sit with you?
context: Shogi? Game? At home? An otaku?\Is that why he's repeating? Because he ditched so much school?\Huh. Is that right?\I-I'm getting out of here.\When the class changed, my classmates immediately formed groups.\Within those groups that have already formed,\how am I supposed to join them when I'm a loser with no courage or skills to do so?\Hey, mind if I sit with you? response:	Like that?
context: Is that why he's repeating? Because he ditched so much school?\Huh. Is that right?\I-I'm getting out of here.\When the class changed, my classmates immediately formed groups.\Within those groups that have already formed,\how am I supposed to join them when I'm a loser with no courage or skills to do so?\Hey, mind if I sit with you?\Like that? response:	No, no. More normal, less eager.
context: Huh. Is that right?\I-I'm getting out of here.\When the class changed, my classmates immediately formed groups.\Within those groups that have already formed,\how am I supposed to join them when I'm a loser with no courage or skills to do so?\Hey, mind if I sit with you?\Like that?\No, no. More normal, less eager. response:	Hey, would it be okay if I ate with you?
context: I-I'm getting out of here.\When the class changed, my classmates immediately formed groups.\Within those groups that have already formed,\how am I supposed to join them when I'm a loser with no courage or skills to do so?\Hey, mind if I sit with you?\Like that?\No, no. More normal, less eager.\Hey, would it be okay if I ate with you? response:	Just like that, smoothly...
context: When the class changed, my classmates immediately formed groups.\Within those groups that have already formed,\how am I supposed to join them when I'm a loser with no courage or skills to do so?\Hey, mind if I sit with you?\Like that?\No, no. More normal, less eager.\Hey, would it be okay if I ate with you?\Just like that, smoothly... response:	I mean, if I could do that,
context: Within those groups that have already formed,\how am I supposed to join them when I'm a loser with no courage or skills to do so?\Hey, mind if I sit with you?\Like that?\No, no. More normal, less eager.\Hey, would it be okay if I ate with you?\Just like that, smoothly...\I mean, if I could do that, response:	I wouldn't be eating lunch by myself for 11 years!
context: how am I supposed to join them when I'm a loser with no courage or skills to do so?\Hey, mind if I sit with you?\Like that?\No, no. More normal, less eager.\Hey, would it be okay if I ate with you?\Just like that, smoothly...\I mean, if I could do that,\I wouldn't be eating lunch by myself for 11 years! response:	Nope. It's impossible. I'll definitely stumble on the words.
context: Hey, mind if I sit with you?\Like that?\No, no. More normal, less eager.\Hey, would it be okay if I ate with you?\Just like that, smoothly...\I mean, if I could do that,\I wouldn't be eating lunch by myself for 11 years!\Nope. It's impossible. I'll definitely stumble on the words. response:	Well, this is what I imagined.
context: Like that?\No, no. More normal, less eager.\Hey, would it be okay if I ate with you?\Just like that, smoothly...\I mean, if I could do that,\I wouldn't be eating lunch by myself for 11 years!\Nope. It's impossible. I'll definitely stumble on the words.\Well, this is what I imagined. response:	I just have to bear it alone quietly.
context: No, no. More normal, less eager.\Hey, would it be okay if I ate with you?\Just like that, smoothly...\I mean, if I could do that,\I wouldn't be eating lunch by myself for 11 years!\Nope. It's impossible. I'll definitely stumble on the words.\Well, this is what I imagined.\I just have to bear it alone quietly. response:	2 Years
context: Hey, would it be okay if I ate with you?\Just like that, smoothly...\I mean, if I could do that,\I wouldn't be eating lunch by myself for 11 years!\Nope. It's impossible. I'll definitely stumble on the words.\Well, this is what I imagined.\I just have to bear it alone quietly.\2 Years response:	Two more years.
context: Just like that, smoothly...\I mean, if I could do that,\I wouldn't be eating lunch by myself for 11 years!\Nope. It's impossible. I'll definitely stumble on the words.\Well, this is what I imagined.\I just have to bear it alone quietly.\2 Years\Two more years. response:	730 Days
context: I mean, if I could do that,\I wouldn't be eating lunch by myself for 11 years!\Nope. It's impossible. I'll definitely stumble on the words.\Well, this is what I imagined.\I just have to bear it alone quietly.\2 Years\Two more years.\730 Days response:	17,520 hours
context: I wouldn't be eating lunch by myself for 11 years!\Nope. It's impossible. I'll definitely stumble on the words.\Well, this is what I imagined.\I just have to bear it alone quietly.\2 Years\Two more years.\730 Days\17,520 hours response:	Just two more years of being alone.
context: Nope. It's impossible. I'll definitely stumble on the words.\Well, this is what I imagined.\I just have to bear it alone quietly.\2 Years\Two more years.\730 Days\17,520 hours\Just two more years of being alone. response:	1,051,200 Minutes
context: Well, this is what I imagined.\I just have to bear it alone quietly.\2 Years\Two more years.\730 Days\17,520 hours\Just two more years of being alone.\1,051,200 Minutes response:	63,072,000 Seconds
context: I just have to bear it alone quietly.\2 Years\Two more years.\730 Days\17,520 hours\Just two more years of being alone.\1,051,200 Minutes\63,072,000 Seconds response:	More importantly, the rank-deciding competition starts in June, and I need to focus
context: 2 Years\Two more years.\730 Days\17,520 hours\Just two more years of being alone.\1,051,200 Minutes\63,072,000 Seconds\More importantly, the rank-deciding competition starts in June, and I need to focus response:	on my upcoming matches in the Newcomers' battle.
context: Two more years.\730 Days\17,520 hours\Just two more years of being alone.\1,051,200 Minutes\63,072,000 Seconds\More importantly, the rank-deciding competition starts in June, and I need to focus\on my upcoming matches in the Newcomers' battle. response:	Shogi Hall
context: 730 Days\17,520 hours\Just two more years of being alone.\1,051,200 Minutes\63,072,000 Seconds\More importantly, the rank-deciding competition starts in June, and I need to focus\on my upcoming matches in the Newcomers' battle.\Shogi Hall response:	The rank-deciding competition.
context: 17,520 hours\Just two more years of being alone.\1,051,200 Minutes\63,072,000 Seconds\More importantly, the rank-deciding competition starts in June, and I need to focus\on my upcoming matches in the Newcomers' battle.\Shogi Hall\The rank-deciding competition. response:	There are 34 players in my Rank C-1.
context: Just two more years of being alone.\1,051,200 Minutes\63,072,000 Seconds\More importantly, the rank-deciding competition starts in June, and I need to focus\on my upcoming matches in the Newcomers' battle.\Shogi Hall\The rank-deciding competition.\There are 34 players in my Rank C-1. response:	From among them, ten matches are arranged by lottery.
context: 1,051,200 Minutes\63,072,000 Seconds\More importantly, the rank-deciding competition starts in June, and I need to focus\on my upcoming matches in the Newcomers' battle.\Shogi Hall\The rank-deciding competition.\There are 34 players in my Rank C-1.\From among them, ten matches are arranged by lottery. response:	Only the top two players are then promoted to B-2.
context: 63,072,000 Seconds\More importantly, the rank-deciding competition starts in June, and I need to focus\on my upcoming matches in the Newcomers' battle.\Shogi Hall\The rank-deciding competition.\There are 34 players in my Rank C-1.\From among them, ten matches are arranged by lottery.\Only the top two players are then promoted to B-2. response:	Nikaidou's name wasn't listed on the schedule of matches.
context: More importantly, the rank-deciding competition starts in June, and I need to focus\on my upcoming matches in the Newcomers' battle.\Shogi Hall\The rank-deciding competition.\There are 34 players in my Rank C-1.\From among them, ten matches are arranged by lottery.\Only the top two players are then promoted to B-2.\Nikaidou's name wasn't listed on the schedule of matches. response:	What is the meaning of this, Kiriyama?!
context: on my upcoming matches in the Newcomers' battle.\Shogi Hall\The rank-deciding competition.\There are 34 players in my Rank C-1.\From among them, ten matches are arranged by lottery.\Only the top two players are then promoted to B-2.\Nikaidou's name wasn't listed on the schedule of matches.\What is the meaning of this, Kiriyama?! response:	Don't ask me!
context: Shogi Hall\The rank-deciding competition.\There are 34 players in my Rank C-1.\From among them, ten matches are arranged by lottery.\Only the top two players are then promoted to B-2.\Nikaidou's name wasn't listed on the schedule of matches.\What is the meaning of this, Kiriyama?!\Don't ask me! response:	Are you in Sendagaya now? I'm on my way! Wait for me!
context: The rank-deciding competition.\There are 34 players in my Rank C-1.\From among them, ten matches are arranged by lottery.\Only the top two players are then promoted to B-2.\Nikaidou's name wasn't listed on the schedule of matches.\What is the meaning of this, Kiriyama?!\Don't ask me!\Are you in Sendagaya now? I'm on my way! Wait for me! response:	So now we'll just have to clash in the Newcomers' battle.
context: There are 34 players in my Rank C-1.\From among them, ten matches are arranged by lottery.\Only the top two players are then promoted to B-2.\Nikaidou's name wasn't listed on the schedule of matches.\What is the meaning of this, Kiriyama?!\Don't ask me!\Are you in Sendagaya now? I'm on my way! Wait for me!\So now we'll just have to clash in the Newcomers' battle. response:	It's too bad that you're in A block while I'm in B block,
context: From among them, ten matches are arranged by lottery.\Only the top two players are then promoted to B-2.\Nikaidou's name wasn't listed on the schedule of matches.\What is the meaning of this, Kiriyama?!\Don't ask me!\Are you in Sendagaya now? I'm on my way! Wait for me!\So now we'll just have to clash in the Newcomers' battle.\It's too bad that you're in A block while I'm in B block, response:	but we'll just have to keep winning so we can meet in the finals!
context: Only the top two players are then promoted to B-2.\Nikaidou's name wasn't listed on the schedule of matches.\What is the meaning of this, Kiriyama?!\Don't ask me!\Are you in Sendagaya now? I'm on my way! Wait for me!\So now we'll just have to clash in the Newcomers' battle.\It's too bad that you're in A block while I'm in B block,\but we'll just have to keep winning so we can meet in the finals! response:	Wait a second! Did you just say the finals?!
context: Nikaidou's name wasn't listed on the schedule of matches.\What is the meaning of this, Kiriyama?!\Don't ask me!\Are you in Sendagaya now? I'm on my way! Wait for me!\So now we'll just have to clash in the Newcomers' battle.\It's too bad that you're in A block while I'm in B block,\but we'll just have to keep winning so we can meet in the finals!\Wait a second! Did you just say the finals?! response:	Give me a break!
context: What is the meaning of this, Kiriyama?!\Don't ask me!\Are you in Sendagaya now? I'm on my way! Wait for me!\So now we'll just have to clash in the Newcomers' battle.\It's too bad that you're in A block while I'm in B block,\but we'll just have to keep winning so we can meet in the finals!\Wait a second! Did you just say the finals?!\Give me a break! response:	There are limits in making snap decisions, too!
context: Don't ask me!\Are you in Sendagaya now? I'm on my way! Wait for me!\So now we'll just have to clash in the Newcomers' battle.\It's too bad that you're in A block while I'm in B block,\but we'll just have to keep winning so we can meet in the finals!\Wait a second! Did you just say the finals?!\Give me a break!\There are limits in making snap decisions, too! response:	I'm just speaking the truth! Don't falter, Kiriyama!
context: Are you in Sendagaya now? I'm on my way! Wait for me!\So now we'll just have to clash in the Newcomers' battle.\It's too bad that you're in A block while I'm in B block,\but we'll just have to keep winning so we can meet in the finals!\Wait a second! Did you just say the finals?!\Give me a break!\There are limits in making snap decisions, too!\I'm just speaking the truth! Don't falter, Kiriyama! response:	Our legend...
context: So now we'll just have to clash in the Newcomers' battle.\It's too bad that you're in A block while I'm in B block,\but we'll just have to keep winning so we can meet in the finals!\Wait a second! Did you just say the finals?!\Give me a break!\There are limits in making snap decisions, too!\I'm just speaking the truth! Don't falter, Kiriyama!\Our legend... response:	L-L-Legend?
context: It's too bad that you're in A block while I'm in B block,\but we'll just have to keep winning so we can meet in the finals!\Wait a second! Did you just say the finals?!\Give me a break!\There are limits in making snap decisions, too!\I'm just speaking the truth! Don't falter, Kiriyama!\Our legend...\L-L-Legend? response:	And why is it ours?!
context: but we'll just have to keep winning so we can meet in the finals!\Wait a second! Did you just say the finals?!\Give me a break!\There are limits in making snap decisions, too!\I'm just speaking the truth! Don't falter, Kiriyama!\Our legend...\L-L-Legend?\And why is it ours?! response:	Jiggle Jiggle
context: Wait a second! Did you just say the finals?!\Give me a break!\There are limits in making snap decisions, too!\I'm just speaking the truth! Don't falter, Kiriyama!\Our legend...\L-L-Legend?\And why is it ours?!\Jiggle Jiggle response:	Y-Yep. Looking forward to it.
context: Give me a break!\There are limits in making snap decisions, too!\I'm just speaking the truth! Don't falter, Kiriyama!\Our legend...\L-L-Legend?\And why is it ours?!\Jiggle Jiggle\Y-Yep. Looking forward to it. response:	Yeah. I'll have to do my best.
context: There are limits in making snap decisions, too!\I'm just speaking the truth! Don't falter, Kiriyama!\Our legend...\L-L-Legend?\And why is it ours?!\Jiggle Jiggle\Y-Yep. Looking forward to it.\Yeah. I'll have to do my best. response:	Because that's all I can do for both
context: I'm just speaking the truth! Don't falter, Kiriyama!\Our legend...\L-L-Legend?\And why is it ours?!\Jiggle Jiggle\Y-Yep. Looking forward to it.\Yeah. I'll have to do my best.\Because that's all I can do for both response:	the Newcomers' battle and the rank-deciding competition.
context: Our legend...\L-L-Legend?\And why is it ours?!\Jiggle Jiggle\Y-Yep. Looking forward to it.\Yeah. I'll have to do my best.\Because that's all I can do for both\the Newcomers' battle and the rank-deciding competition. response:	I'll do my best. One move at a time again, from the start.
context: L-L-Legend?\And why is it ours?!\Jiggle Jiggle\Y-Yep. Looking forward to it.\Yeah. I'll have to do my best.\Because that's all I can do for both\the Newcomers' battle and the rank-deciding competition.\I'll do my best. One move at a time again, from the start. response:	One move at a time...
context: And why is it ours?!\Jiggle Jiggle\Y-Yep. Looking forward to it.\Yeah. I'll have to do my best.\Because that's all I can do for both\the Newcomers' battle and the rank-deciding competition.\I'll do my best. One move at a time again, from the start.\One move at a time... response:	Hey, Kiriyama!
context: Jiggle Jiggle\Y-Yep. Looking forward to it.\Yeah. I'll have to do my best.\Because that's all I can do for both\the Newcomers' battle and the rank-deciding competition.\I'll do my best. One move at a time again, from the start.\One move at a time...\Hey, Kiriyama! response:	Hold it right there!
context: Y-Yep. Looking forward to it.\Yeah. I'll have to do my best.\Because that's all I can do for both\the Newcomers' battle and the rank-deciding competition.\I'll do my best. One move at a time again, from the start.\One move at a time...\Hey, Kiriyama!\Hold it right there! response:	Kiriyama, you bastard...
context: Yeah. I'll have to do my best.\Because that's all I can do for both\the Newcomers' battle and the rank-deciding competition.\I'll do my best. One move at a time again, from the start.\One move at a time...\Hey, Kiriyama!\Hold it right there!\Kiriyama, you bastard... response:	Wha... Mr. Hayashida? What are you doing?
context: Because that's all I can do for both\the Newcomers' battle and the rank-deciding competition.\I'll do my best. One move at a time again, from the start.\One move at a time...\Hey, Kiriyama!\Hold it right there!\Kiriyama, you bastard...\Wha... Mr. Hayashida? What are you doing? response:	You shouldn't just abandon the students you were with.
context: the Newcomers' battle and the rank-deciding competition.\I'll do my best. One move at a time again, from the start.\One move at a time...\Hey, Kiriyama!\Hold it right there!\Kiriyama, you bastard...\Wha... Mr. Hayashida? What are you doing?\You shouldn't just abandon the students you were with. response:	I don't give a crap!
context: I'll do my best. One move at a time again, from the start.\One move at a time...\Hey, Kiriyama!\Hold it right there!\Kiriyama, you bastard...\Wha... Mr. Hayashida? What are you doing?\You shouldn't just abandon the students you were with.\I don't give a crap! response:	What else am I supposed to do when I see a student make that face?
context: One move at a time...\Hey, Kiriyama!\Hold it right there!\Kiriyama, you bastard...\Wha... Mr. Hayashida? What are you doing?\You shouldn't just abandon the students you were with.\I don't give a crap!\What else am I supposed to do when I see a student make that face? response:	I have to run after him!
context: Hey, Kiriyama!\Hold it right there!\Kiriyama, you bastard...\Wha... Mr. Hayashida? What are you doing?\You shouldn't just abandon the students you were with.\I don't give a crap!\What else am I supposed to do when I see a student make that face?\I have to run after him! response:	Dammit!
context: Hold it right there!\Kiriyama, you bastard...\Wha... Mr. Hayashida? What are you doing?\You shouldn't just abandon the students you were with.\I don't give a crap!\What else am I supposed to do when I see a student make that face?\I have to run after him!\Dammit! response:	A-A face like that? A-A face like what?
context: Kiriyama, you bastard...\Wha... Mr. Hayashida? What are you doing?\You shouldn't just abandon the students you were with.\I don't give a crap!\What else am I supposed to do when I see a student make that face?\I have to run after him!\Dammit!\A-A face like that? A-A face like what? response:	Tousle Tousle
context: Wha... Mr. Hayashida? What are you doing?\You shouldn't just abandon the students you were with.\I don't give a crap!\What else am I supposed to do when I see a student make that face?\I have to run after him!\Dammit!\A-A face like that? A-A face like what?\Tousle Tousle response:	A face like this! Like this!
context: You shouldn't just abandon the students you were with.\I don't give a crap!\What else am I supposed to do when I see a student make that face?\I have to run after him!\Dammit!\A-A face like that? A-A face like what?\Tousle Tousle\A face like this! Like this! response:	- So, um... - What, what?
context: I don't give a crap!\What else am I supposed to do when I see a student make that face?\I have to run after him!\Dammit!\A-A face like that? A-A face like what?\Tousle Tousle\A face like this! Like this!\- So, um... - What, what? response:	Is it okay for you to have lunch with me, even though you're not my teacher this year?
context: What else am I supposed to do when I see a student make that face?\I have to run after him!\Dammit!\A-A face like that? A-A face like what?\Tousle Tousle\A face like this! Like this!\- So, um... - What, what?\Is it okay for you to have lunch with me, even though you're not my teacher this year? response:	It's fine.
context: I have to run after him!\Dammit!\A-A face like that? A-A face like what?\Tousle Tousle\A face like this! Like this!\- So, um... - What, what?\Is it okay for you to have lunch with me, even though you're not my teacher this year?\It's fine. response:	I just saw the gloomy look on the face of my former introverted student
context: Dammit!\A-A face like that? A-A face like what?\Tousle Tousle\A face like this! Like this!\- So, um... - What, what?\Is it okay for you to have lunch with me, even though you're not my teacher this year?\It's fine.\I just saw the gloomy look on the face of my former introverted student response:	who barely passed the attendance requirement due to certain circumstances.
context: A-A face like that? A-A face like what?\Tousle Tousle\A face like this! Like this!\- So, um... - What, what?\Is it okay for you to have lunch with me, even though you're not my teacher this year?\It's fine.\I just saw the gloomy look on the face of my former introverted student\who barely passed the attendance requirement due to certain circumstances. response:	When I told them that, they said, Mr. Hayashida, hurry up and go to him!
context: Tousle Tousle\A face like this! Like this!\- So, um... - What, what?\Is it okay for you to have lunch with me, even though you're not my teacher this year?\It's fine.\I just saw the gloomy look on the face of my former introverted student\who barely passed the attendance requirement due to certain circumstances.\When I told them that, they said, Mr. Hayashida, hurry up and go to him! response:	Why would you casually make me sound like a loser while you get to play the hero?
context: A face like this! Like this!\- So, um... - What, what?\Is it okay for you to have lunch with me, even though you're not my teacher this year?\It's fine.\I just saw the gloomy look on the face of my former introverted student\who barely passed the attendance requirement due to certain circumstances.\When I told them that, they said, Mr. Hayashida, hurry up and go to him!\Why would you casually make me sound like a loser while you get to play the hero? response:	It's because I want to be invited to the students' Christmas party this year.
context: - So, um... - What, what?\Is it okay for you to have lunch with me, even though you're not my teacher this year?\It's fine.\I just saw the gloomy look on the face of my former introverted student\who barely passed the attendance requirement due to certain circumstances.\When I told them that, they said, Mr. Hayashida, hurry up and go to him!\Why would you casually make me sound like a loser while you get to play the hero?\It's because I want to be invited to the students' Christmas party this year. response:	I'm desperate, too.
context: Is it okay for you to have lunch with me, even though you're not my teacher this year?\It's fine.\I just saw the gloomy look on the face of my former introverted student\who barely passed the attendance requirement due to certain circumstances.\When I told them that, they said, Mr. Hayashida, hurry up and go to him!\Why would you casually make me sound like a loser while you get to play the hero?\It's because I want to be invited to the students' Christmas party this year.\I'm desperate, too. response:	But still,
context: It's fine.\I just saw the gloomy look on the face of my former introverted student\who barely passed the attendance requirement due to certain circumstances.\When I told them that, they said, Mr. Hayashida, hurry up and go to him!\Why would you casually make me sound like a loser while you get to play the hero?\It's because I want to be invited to the students' Christmas party this year.\I'm desperate, too.\But still, response:	why did you come back here, Kiriyama?
context: I just saw the gloomy look on the face of my former introverted student\who barely passed the attendance requirement due to certain circumstances.\When I told them that, they said, Mr. Hayashida, hurry up and go to him!\Why would you casually make me sound like a loser while you get to play the hero?\It's because I want to be invited to the students' Christmas party this year.\I'm desperate, too.\But still,\why did you come back here, Kiriyama? response:	It's the new school term of a new year.
context: who barely passed the attendance requirement due to certain circumstances.\When I told them that, they said, Mr. Hayashida, hurry up and go to him!\Why would you casually make me sound like a loser while you get to play the hero?\It's because I want to be invited to the students' Christmas party this year.\I'm desperate, too.\But still,\why did you come back here, Kiriyama?\It's the new school term of a new year. response:	This is your chance.
context: When I told them that, they said, Mr. Hayashida, hurry up and go to him!\Why would you casually make me sound like a loser while you get to play the hero?\It's because I want to be invited to the students' Christmas party this year.\I'm desperate, too.\But still,\why did you come back here, Kiriyama?\It's the new school term of a new year.\This is your chance. response:	If you don't make an effort now, when would you?
context: Why would you casually make me sound like a loser while you get to play the hero?\It's because I want to be invited to the students' Christmas party this year.\I'm desperate, too.\But still,\why did you come back here, Kiriyama?\It's the new school term of a new year.\This is your chance.\If you don't make an effort now, when would you? response:	But you are making an effort, right?
context: It's because I want to be invited to the students' Christmas party this year.\I'm desperate, too.\But still,\why did you come back here, Kiriyama?\It's the new school term of a new year.\This is your chance.\If you don't make an effort now, when would you?\But you are making an effort, right? response:	That's why I can't tell you to do your best any more than this.
context: I'm desperate, too.\But still,\why did you come back here, Kiriyama?\It's the new school term of a new year.\This is your chance.\If you don't make an effort now, when would you?\But you are making an effort, right?\That's why I can't tell you to do your best any more than this. response:	So I had an idea.
context: But still,\why did you come back here, Kiriyama?\It's the new school term of a new year.\This is your chance.\If you don't make an effort now, when would you?\But you are making an effort, right?\That's why I can't tell you to do your best any more than this.\So I had an idea. response:	Let's make a shogi club.
context: why did you come back here, Kiriyama?\It's the new school term of a new year.\This is your chance.\If you don't make an effort now, when would you?\But you are making an effort, right?\That's why I can't tell you to do your best any more than this.\So I had an idea.\Let's make a shogi club. response:	Sh-Shogi club?
context: It's the new school term of a new year.\This is your chance.\If you don't make an effort now, when would you?\But you are making an effort, right?\That's why I can't tell you to do your best any more than this.\So I had an idea.\Let's make a shogi club.\Sh-Shogi club? response:	Wait...
context: This is your chance.\If you don't make an effort now, when would you?\But you are making an effort, right?\That's why I can't tell you to do your best any more than this.\So I had an idea.\Let's make a shogi club.\Sh-Shogi club?\Wait... response:	And I'll be the faculty adviser.
context: If you don't make an effort now, when would you?\But you are making an effort, right?\That's why I can't tell you to do your best any more than this.\So I had an idea.\Let's make a shogi club.\Sh-Shogi club?\Wait...\And I'll be the faculty adviser. response:	Then it wouldn't be strange for me to look after you.
context: But you are making an effort, right?\That's why I can't tell you to do your best any more than this.\So I had an idea.\Let's make a shogi club.\Sh-Shogi club?\Wait...\And I'll be the faculty adviser.\Then it wouldn't be strange for me to look after you. response:	After all, I'd be your adviser.
context: That's why I can't tell you to do your best any more than this.\So I had an idea.\Let's make a shogi club.\Sh-Shogi club?\Wait...\And I'll be the faculty adviser.\Then it wouldn't be strange for me to look after you.\After all, I'd be your adviser. response:	You can easily say that, but...
context: So I had an idea.\Let's make a shogi club.\Sh-Shogi club?\Wait...\And I'll be the faculty adviser.\Then it wouldn't be strange for me to look after you.\After all, I'd be your adviser.\You can easily say that, but... response:	With five members and a faculty adviser, you can make a club.
context: Let's make a shogi club.\Sh-Shogi club?\Wait...\And I'll be the faculty adviser.\Then it wouldn't be strange for me to look after you.\After all, I'd be your adviser.\You can easily say that, but...\With five members and a faculty adviser, you can make a club. response:	Yeah... but still...
context: Sh-Shogi club?\Wait...\And I'll be the faculty adviser.\Then it wouldn't be strange for me to look after you.\After all, I'd be your adviser.\You can easily say that, but...\With five members and a faculty adviser, you can make a club.\Yeah... but still... response:	We just need to find four more members.
context: Wait...\And I'll be the faculty adviser.\Then it wouldn't be strange for me to look after you.\After all, I'd be your adviser.\You can easily say that, but...\With five members and a faculty adviser, you can make a club.\Yeah... but still...\We just need to find four more members. response:	Find... Find how?
context: And I'll be the faculty adviser.\Then it wouldn't be strange for me to look after you.\After all, I'd be your adviser.\You can easily say that, but...\With five members and a faculty adviser, you can make a club.\Yeah... but still...\We just need to find four more members.\Find... Find how? response:	Anyway, let's look.
context: Then it wouldn't be strange for me to look after you.\After all, I'd be your adviser.\You can easily say that, but...\With five members and a faculty adviser, you can make a club.\Yeah... but still...\We just need to find four more members.\Find... Find how?\Anyway, let's look. response:	But I don't think we can find them so easily...
context: After all, I'd be your adviser.\You can easily say that, but...\With five members and a faculty adviser, you can make a club.\Yeah... but still...\We just need to find four more members.\Find... Find how?\Anyway, let's look.\But I don't think we can find them so easily... response:	Just remembered something
context: You can easily say that, but...\With five members and a faculty adviser, you can make a club.\Yeah... but still...\We just need to find four more members.\Find... Find how?\Anyway, let's look.\But I don't think we can find them so easily...\Just remembered something response:	Stare
