context: Goshinki, a demon created out of Naraku's body... response:	His fangs were used to forge the evil sword Tokijin...
context: and his movements, as though he were being manipulated.\Playtime is over.\You should've killed me in one sweep.\Before this happened...\I'll slice you in half along with your sword!\A draw?\Draw?! No way!\I'll admit that sword is a handful, but that Kaijinbo isn't in control of it! response:	If this Tetsusaiga weren't so damned heavy...
context: Playtime is over.\You should've killed me in one sweep.\Before this happened...\I'll slice you in half along with your sword!\A draw?\Draw?! No way!\I'll admit that sword is a handful, but that Kaijinbo isn't in control of it!\If this Tetsusaiga weren't so damned heavy... response:	he wouldn't be a problem!
context: You should've killed me in one sweep.\Before this happened...\I'll slice you in half along with your sword!\A draw?\Draw?! No way!\I'll admit that sword is a handful, but that Kaijinbo isn't in control of it!\If this Tetsusaiga weren't so damned heavy...\he wouldn't be a problem! response:	Damn that Totosai! This thing is so heavy!
context: Before this happened...\I'll slice you in half along with your sword!\A draw?\Draw?! No way!\I'll admit that sword is a handful, but that Kaijinbo isn't in control of it!\If this Tetsusaiga weren't so damned heavy...\he wouldn't be a problem!\Damn that Totosai! This thing is so heavy! response:	Damn!
context: I'll slice you in half along with your sword!\A draw?\Draw?! No way!\I'll admit that sword is a handful, but that Kaijinbo isn't in control of it!\If this Tetsusaiga weren't so damned heavy...\he wouldn't be a problem!\Damn that Totosai! This thing is so heavy!\Damn! response:	Prepare yourself!
context: A draw?\Draw?! No way!\I'll admit that sword is a handful, but that Kaijinbo isn't in control of it!\If this Tetsusaiga weren't so damned heavy...\he wouldn't be a problem!\Damn that Totosai! This thing is so heavy!\Damn!\Prepare yourself! response:	You're about to die!
context: Draw?! No way!\I'll admit that sword is a handful, but that Kaijinbo isn't in control of it!\If this Tetsusaiga weren't so damned heavy...\he wouldn't be a problem!\Damn that Totosai! This thing is so heavy!\Damn!\Prepare yourself!\You're about to die! response:	W-what?!
context: I'll admit that sword is a handful, but that Kaijinbo isn't in control of it!\If this Tetsusaiga weren't so damned heavy...\he wouldn't be a problem!\Damn that Totosai! This thing is so heavy!\Damn!\Prepare yourself!\You're about to die!\W-what?! response:	Totosai...
context: If this Tetsusaiga weren't so damned heavy...\he wouldn't be a problem!\Damn that Totosai! This thing is so heavy!\Damn!\Prepare yourself!\You're about to die!\W-what?!\Totosai... response:	Your sword isn't much.
context: he wouldn't be a problem!\Damn that Totosai! This thing is so heavy!\Damn!\Prepare yourself!\You're about to die!\W-what?!\Totosai...\Your sword isn't much. response:	This is!
context: Damn that Totosai! This thing is so heavy!\Damn!\Prepare yourself!\You're about to die!\W-what?!\Totosai...\Your sword isn't much.\This is! response:	The sword held up...
context: Damn!\Prepare yourself!\You're about to die!\W-what?!\Totosai...\Your sword isn't much.\This is!\The sword held up... response:	but Kaijinbo himself was unable to withstand the power of the sword.
context: Prepare yourself!\You're about to die!\W-what?!\Totosai...\Your sword isn't much.\This is!\The sword held up...\but Kaijinbo himself was unable to withstand the power of the sword. response:	The very sword he forged overpowered him.
context: You're about to die!\W-what?!\Totosai...\Your sword isn't much.\This is!\The sword held up...\but Kaijinbo himself was unable to withstand the power of the sword.\The very sword he forged overpowered him. response:	The fool!
context: W-what?!\Totosai...\Your sword isn't much.\This is!\The sword held up...\but Kaijinbo himself was unable to withstand the power of the sword.\The very sword he forged overpowered him.\The fool! response:	Totosai... you!
context: Totosai...\Your sword isn't much.\This is!\The sword held up...\but Kaijinbo himself was unable to withstand the power of the sword.\The very sword he forged overpowered him.\The fool!\Totosai... you! response:	Still got complaints?
context: Your sword isn't much.\This is!\The sword held up...\but Kaijinbo himself was unable to withstand the power of the sword.\The very sword he forged overpowered him.\The fool!\Totosai... you!\Still got complaints? response:	How am I supposed to hold such a heavy sword?!
context: This is!\The sword held up...\but Kaijinbo himself was unable to withstand the power of the sword.\The very sword he forged overpowered him.\The fool!\Totosai... you!\Still got complaints?\How am I supposed to hold such a heavy sword?! response:	One thrust is all I can handle!
context: The sword held up...\but Kaijinbo himself was unable to withstand the power of the sword.\The very sword he forged overpowered him.\The fool!\Totosai... you!\Still got complaints?\How am I supposed to hold such a heavy sword?!\One thrust is all I can handle! response:	Want to know how to handle the heavy Tetsusaiga?
context: but Kaijinbo himself was unable to withstand the power of the sword.\The very sword he forged overpowered him.\The fool!\Totosai... you!\Still got complaints?\How am I supposed to hold such a heavy sword?!\One thrust is all I can handle!\Want to know how to handle the heavy Tetsusaiga? response:	There's a way to handle it?
context: The very sword he forged overpowered him.\The fool!\Totosai... you!\Still got complaints?\How am I supposed to hold such a heavy sword?!\One thrust is all I can handle!\Want to know how to handle the heavy Tetsusaiga?\There's a way to handle it? response:	It's simple.
context: The fool!\Totosai... you!\Still got complaints?\How am I supposed to hold such a heavy sword?!\One thrust is all I can handle!\Want to know how to handle the heavy Tetsusaiga?\There's a way to handle it?\It's simple. response:	You're not gonna tell me to build up my strength, are ya?!
context: Totosai... you!\Still got complaints?\How am I supposed to hold such a heavy sword?!\One thrust is all I can handle!\Want to know how to handle the heavy Tetsusaiga?\There's a way to handle it?\It's simple.\You're not gonna tell me to build up my strength, are ya?! response:	Correct.
context: Still got complaints?\How am I supposed to hold such a heavy sword?!\One thrust is all I can handle!\Want to know how to handle the heavy Tetsusaiga?\There's a way to handle it?\It's simple.\You're not gonna tell me to build up my strength, are ya?!\Correct. response:	I knew it.
context: How am I supposed to hold such a heavy sword?!\One thrust is all I can handle!\Want to know how to handle the heavy Tetsusaiga?\There's a way to handle it?\It's simple.\You're not gonna tell me to build up my strength, are ya?!\Correct.\I knew it. response:	He shouldn't have said so.
context: One thrust is all I can handle!\Want to know how to handle the heavy Tetsusaiga?\There's a way to handle it?\It's simple.\You're not gonna tell me to build up my strength, are ya?!\Correct.\I knew it.\He shouldn't have said so. response:	What's going on?
context: Want to know how to handle the heavy Tetsusaiga?\There's a way to handle it?\It's simple.\You're not gonna tell me to build up my strength, are ya?!\Correct.\I knew it.\He shouldn't have said so.\What's going on? response:	The evil aura around the sword hasn't dissipated.
context: There's a way to handle it?\It's simple.\You're not gonna tell me to build up my strength, are ya?!\Correct.\I knew it.\He shouldn't have said so.\What's going on?\The evil aura around the sword hasn't dissipated. response:	The aura is too strong, I can't draw out the sword.
context: It's simple.\You're not gonna tell me to build up my strength, are ya?!\Correct.\I knew it.\He shouldn't have said so.\What's going on?\The evil aura around the sword hasn't dissipated.\The aura is too strong, I can't draw out the sword. response:	Whoever commissioned Kaijinbo to make such a sword?
context: You're not gonna tell me to build up my strength, are ya?!\Correct.\I knew it.\He shouldn't have said so.\What's going on?\The evil aura around the sword hasn't dissipated.\The aura is too strong, I can't draw out the sword.\Whoever commissioned Kaijinbo to make such a sword? response:	We'll have to construct a barrier around the sword...
context: Correct.\I knew it.\He shouldn't have said so.\What's going on?\The evil aura around the sword hasn't dissipated.\The aura is too strong, I can't draw out the sword.\Whoever commissioned Kaijinbo to make such a sword?\We'll have to construct a barrier around the sword... response:	or we won't be able to contain the aura.
context: I knew it.\He shouldn't have said so.\What's going on?\The evil aura around the sword hasn't dissipated.\The aura is too strong, I can't draw out the sword.\Whoever commissioned Kaijinbo to make such a sword?\We'll have to construct a barrier around the sword...\or we won't be able to contain the aura. response:	Miroku, can't you put a sacred spell on it?
context: He shouldn't have said so.\What's going on?\The evil aura around the sword hasn't dissipated.\The aura is too strong, I can't draw out the sword.\Whoever commissioned Kaijinbo to make such a sword?\We'll have to construct a barrier around the sword...\or we won't be able to contain the aura.\Miroku, can't you put a sacred spell on it? response:	The aura is too strong.
context: What's going on?\The evil aura around the sword hasn't dissipated.\The aura is too strong, I can't draw out the sword.\Whoever commissioned Kaijinbo to make such a sword?\We'll have to construct a barrier around the sword...\or we won't be able to contain the aura.\Miroku, can't you put a sacred spell on it?\The aura is too strong. response:	I don't know if my spells will be able to seal it completely.
context: The evil aura around the sword hasn't dissipated.\The aura is too strong, I can't draw out the sword.\Whoever commissioned Kaijinbo to make such a sword?\We'll have to construct a barrier around the sword...\or we won't be able to contain the aura.\Miroku, can't you put a sacred spell on it?\The aura is too strong.\I don't know if my spells will be able to seal it completely. response:	Well, we're lucky to have you here.
context: The aura is too strong, I can't draw out the sword.\Whoever commissioned Kaijinbo to make such a sword?\We'll have to construct a barrier around the sword...\or we won't be able to contain the aura.\Miroku, can't you put a sacred spell on it?\The aura is too strong.\I don't know if my spells will be able to seal it completely.\Well, we're lucky to have you here. response:	Why don't you build a tower to contain it?
context: Whoever commissioned Kaijinbo to make such a sword?\We'll have to construct a barrier around the sword...\or we won't be able to contain the aura.\Miroku, can't you put a sacred spell on it?\The aura is too strong.\I don't know if my spells will be able to seal it completely.\Well, we're lucky to have you here.\Why don't you build a tower to contain it? response:	In order to create a tower to surround it...
context: We'll have to construct a barrier around the sword...\or we won't be able to contain the aura.\Miroku, can't you put a sacred spell on it?\The aura is too strong.\I don't know if my spells will be able to seal it completely.\Well, we're lucky to have you here.\Why don't you build a tower to contain it?\In order to create a tower to surround it... response:	we'll need to hire men and that takes money.
context: or we won't be able to contain the aura.\Miroku, can't you put a sacred spell on it?\The aura is too strong.\I don't know if my spells will be able to seal it completely.\Well, we're lucky to have you here.\Why don't you build a tower to contain it?\In order to create a tower to surround it...\we'll need to hire men and that takes money. response:	Money. You always make money with your fake fortune-telling.
context: Miroku, can't you put a sacred spell on it?\The aura is too strong.\I don't know if my spells will be able to seal it completely.\Well, we're lucky to have you here.\Why don't you build a tower to contain it?\In order to create a tower to surround it...\we'll need to hire men and that takes money.\Money. You always make money with your fake fortune-telling. response:	Fake? How rude!
context: The aura is too strong.\I don't know if my spells will be able to seal it completely.\Well, we're lucky to have you here.\Why don't you build a tower to contain it?\In order to create a tower to surround it...\we'll need to hire men and that takes money.\Money. You always make money with your fake fortune-telling.\Fake? How rude! response:	Isn't it a monk's job to help people?
context: I don't know if my spells will be able to seal it completely.\Well, we're lucky to have you here.\Why don't you build a tower to contain it?\In order to create a tower to surround it...\we'll need to hire men and that takes money.\Money. You always make money with your fake fortune-telling.\Fake? How rude!\Isn't it a monk's job to help people? response:	It is, but...
context: Well, we're lucky to have you here.\Why don't you build a tower to contain it?\In order to create a tower to surround it...\we'll need to hire men and that takes money.\Money. You always make money with your fake fortune-telling.\Fake? How rude!\Isn't it a monk's job to help people?\It is, but... response:	I need money to have fun with ladies and...
context: Why don't you build a tower to contain it?\In order to create a tower to surround it...\we'll need to hire men and that takes money.\Money. You always make money with your fake fortune-telling.\Fake? How rude!\Isn't it a monk's job to help people?\It is, but...\I need money to have fun with ladies and... response:	so I don't know whether we'll make enough.
context: In order to create a tower to surround it...\we'll need to hire men and that takes money.\Money. You always make money with your fake fortune-telling.\Fake? How rude!\Isn't it a monk's job to help people?\It is, but...\I need money to have fun with ladies and...\so I don't know whether we'll make enough. response:	Shape up, Miroku!
context: we'll need to hire men and that takes money.\Money. You always make money with your fake fortune-telling.\Fake? How rude!\Isn't it a monk's job to help people?\It is, but...\I need money to have fun with ladies and...\so I don't know whether we'll make enough.\Shape up, Miroku! response:	What're you blabbering about?! You're just wasting time!
context: Money. You always make money with your fake fortune-telling.\Fake? How rude!\Isn't it a monk's job to help people?\It is, but...\I need money to have fun with ladies and...\so I don't know whether we'll make enough.\Shape up, Miroku!\What're you blabbering about?! You're just wasting time! response:	I'll use the Tetsusaiga to blast it to bits!
context: Fake? How rude!\Isn't it a monk's job to help people?\It is, but...\I need money to have fun with ladies and...\so I don't know whether we'll make enough.\Shape up, Miroku!\What're you blabbering about?! You're just wasting time!\I'll use the Tetsusaiga to blast it to bits! response:	What?!
context: Isn't it a monk's job to help people?\It is, but...\I need money to have fun with ladies and...\so I don't know whether we'll make enough.\Shape up, Miroku!\What're you blabbering about?! You're just wasting time!\I'll use the Tetsusaiga to blast it to bits!\What?! response:	Can't this be broken?!
context: It is, but...\I need money to have fun with ladies and...\so I don't know whether we'll make enough.\Shape up, Miroku!\What're you blabbering about?! You're just wasting time!\I'll use the Tetsusaiga to blast it to bits!\What?!\Can't this be broken?! response:	Such evil aura.
context: I need money to have fun with ladies and...\so I don't know whether we'll make enough.\Shape up, Miroku!\What're you blabbering about?! You're just wasting time!\I'll use the Tetsusaiga to blast it to bits!\What?!\Can't this be broken?!\Such evil aura. response:	Almost like it's alive.
context: so I don't know whether we'll make enough.\Shape up, Miroku!\What're you blabbering about?! You're just wasting time!\I'll use the Tetsusaiga to blast it to bits!\What?!\Can't this be broken?!\Such evil aura.\Almost like it's alive. response:	Say... I wonder who ordered such a sword to be made?
context: Shape up, Miroku!\What're you blabbering about?! You're just wasting time!\I'll use the Tetsusaiga to blast it to bits!\What?!\Can't this be broken?!\Such evil aura.\Almost like it's alive.\Say... I wonder who ordered such a sword to be made? response:	We'd better leave this place before that person appears.
context: What're you blabbering about?! You're just wasting time!\I'll use the Tetsusaiga to blast it to bits!\What?!\Can't this be broken?!\Such evil aura.\Almost like it's alive.\Say... I wonder who ordered such a sword to be made?\We'd better leave this place before that person appears. response:	You're saying to run away?!
context: I'll use the Tetsusaiga to blast it to bits!\What?!\Can't this be broken?!\Such evil aura.\Almost like it's alive.\Say... I wonder who ordered such a sword to be made?\We'd better leave this place before that person appears.\You're saying to run away?! response:	Anyone who is able to draw out a sword of such evil...
context: What?!\Can't this be broken?!\Such evil aura.\Almost like it's alive.\Say... I wonder who ordered such a sword to be made?\We'd better leave this place before that person appears.\You're saying to run away?!\Anyone who is able to draw out a sword of such evil... response:	will have enormous power.
context: Can't this be broken?!\Such evil aura.\Almost like it's alive.\Say... I wonder who ordered such a sword to be made?\We'd better leave this place before that person appears.\You're saying to run away?!\Anyone who is able to draw out a sword of such evil...\will have enormous power. response:	You're no match right now.
context: Such evil aura.\Almost like it's alive.\Say... I wonder who ordered such a sword to be made?\We'd better leave this place before that person appears.\You're saying to run away?!\Anyone who is able to draw out a sword of such evil...\will have enormous power.\You're no match right now. response:	I'll wait here!
context: Almost like it's alive.\Say... I wonder who ordered such a sword to be made?\We'd better leave this place before that person appears.\You're saying to run away?!\Anyone who is able to draw out a sword of such evil...\will have enormous power.\You're no match right now.\I'll wait here! response:	Inuyasha!
context: Say... I wonder who ordered such a sword to be made?\We'd better leave this place before that person appears.\You're saying to run away?!\Anyone who is able to draw out a sword of such evil...\will have enormous power.\You're no match right now.\I'll wait here!\Inuyasha! response:	It'll be dangerous to wait around here.
context: We'd better leave this place before that person appears.\You're saying to run away?!\Anyone who is able to draw out a sword of such evil...\will have enormous power.\You're no match right now.\I'll wait here!\Inuyasha!\It'll be dangerous to wait around here. response:	Yes! It's wiser to get away for now.
context: You're saying to run away?!\Anyone who is able to draw out a sword of such evil...\will have enormous power.\You're no match right now.\I'll wait here!\Inuyasha!\It'll be dangerous to wait around here.\Yes! It's wiser to get away for now. response:	No!
context: Anyone who is able to draw out a sword of such evil...\will have enormous power.\You're no match right now.\I'll wait here!\Inuyasha!\It'll be dangerous to wait around here.\Yes! It's wiser to get away for now.\No! response:	I'm not moving from this spot!
context: will have enormous power.\You're no match right now.\I'll wait here!\Inuyasha!\It'll be dangerous to wait around here.\Yes! It's wiser to get away for now.\No!\I'm not moving from this spot! response:	Listen, Kagome...
context: You're no match right now.\I'll wait here!\Inuyasha!\It'll be dangerous to wait around here.\Yes! It's wiser to get away for now.\No!\I'm not moving from this spot!\Listen, Kagome... response:	knowing Inuyasha's personality, he'll never budge.
context: I'll wait here!\Inuyasha!\It'll be dangerous to wait around here.\Yes! It's wiser to get away for now.\No!\I'm not moving from this spot!\Listen, Kagome...\knowing Inuyasha's personality, he'll never budge. response:	Let us just watch him for a while.
context: Inuyasha!\It'll be dangerous to wait around here.\Yes! It's wiser to get away for now.\No!\I'm not moving from this spot!\Listen, Kagome...\knowing Inuyasha's personality, he'll never budge.\Let us just watch him for a while. response:	Yes...
context: It'll be dangerous to wait around here.\Yes! It's wiser to get away for now.\No!\I'm not moving from this spot!\Listen, Kagome...\knowing Inuyasha's personality, he'll never budge.\Let us just watch him for a while.\Yes... response:	We'll wait one day until Inuyasha calms down a bit.
context: Yes! It's wiser to get away for now.\No!\I'm not moving from this spot!\Listen, Kagome...\knowing Inuyasha's personality, he'll never budge.\Let us just watch him for a while.\Yes...\We'll wait one day until Inuyasha calms down a bit. response:	Tomorrow morning, if he still insists on staying put...
context: No!\I'm not moving from this spot!\Listen, Kagome...\knowing Inuyasha's personality, he'll never budge.\Let us just watch him for a while.\Yes...\We'll wait one day until Inuyasha calms down a bit.\Tomorrow morning, if he still insists on staying put... response:	use your command on him to make him sit...
context: I'm not moving from this spot!\Listen, Kagome...\knowing Inuyasha's personality, he'll never budge.\Let us just watch him for a while.\Yes...\We'll wait one day until Inuyasha calms down a bit.\Tomorrow morning, if he still insists on staying put...\use your command on him to make him sit... response:	then I'll knock him unconscious with my staff.
context: Listen, Kagome...\knowing Inuyasha's personality, he'll never budge.\Let us just watch him for a while.\Yes...\We'll wait one day until Inuyasha calms down a bit.\Tomorrow morning, if he still insists on staying put...\use your command on him to make him sit...\then I'll knock him unconscious with my staff. response:	Then we'll all carry him away.
context: knowing Inuyasha's personality, he'll never budge.\Let us just watch him for a while.\Yes...\We'll wait one day until Inuyasha calms down a bit.\Tomorrow morning, if he still insists on staying put...\use your command on him to make him sit...\then I'll knock him unconscious with my staff.\Then we'll all carry him away. response:	Isn't that a bit too drastic?
context: Let us just watch him for a while.\Yes...\We'll wait one day until Inuyasha calms down a bit.\Tomorrow morning, if he still insists on staying put...\use your command on him to make him sit...\then I'll knock him unconscious with my staff.\Then we'll all carry him away.\Isn't that a bit too drastic? response:	Perhaps... but it can't be helped.
context: Yes...\We'll wait one day until Inuyasha calms down a bit.\Tomorrow morning, if he still insists on staying put...\use your command on him to make him sit...\then I'll knock him unconscious with my staff.\Then we'll all carry him away.\Isn't that a bit too drastic?\Perhaps... but it can't be helped. response:	Hmm... yes... I understand.
context: We'll wait one day until Inuyasha calms down a bit.\Tomorrow morning, if he still insists on staying put...\use your command on him to make him sit...\then I'll knock him unconscious with my staff.\Then we'll all carry him away.\Isn't that a bit too drastic?\Perhaps... but it can't be helped.\Hmm... yes... I understand. response:	Then, tomorrow morning.
context: Tomorrow morning, if he still insists on staying put...\use your command on him to make him sit...\then I'll knock him unconscious with my staff.\Then we'll all carry him away.\Isn't that a bit too drastic?\Perhaps... but it can't be helped.\Hmm... yes... I understand.\Then, tomorrow morning. response:	Did I say something bad?
context: use your command on him to make him sit...\then I'll knock him unconscious with my staff.\Then we'll all carry him away.\Isn't that a bit too drastic?\Perhaps... but it can't be helped.\Hmm... yes... I understand.\Then, tomorrow morning.\Did I say something bad? response:	He's late, Lord Sesshomaru.
context: then I'll knock him unconscious with my staff.\Then we'll all carry him away.\Isn't that a bit too drastic?\Perhaps... but it can't be helped.\Hmm... yes... I understand.\Then, tomorrow morning.\Did I say something bad?\He's late, Lord Sesshomaru. response:	That Kaijinbo, where'd he go with that sword?
context: Then we'll all carry him away.\Isn't that a bit too drastic?\Perhaps... but it can't be helped.\Hmm... yes... I understand.\Then, tomorrow morning.\Did I say something bad?\He's late, Lord Sesshomaru.\That Kaijinbo, where'd he go with that sword? response:	Lord Sesshomaru!
context: Isn't that a bit too drastic?\Perhaps... but it can't be helped.\Hmm... yes... I understand.\Then, tomorrow morning.\Did I say something bad?\He's late, Lord Sesshomaru.\That Kaijinbo, where'd he go with that sword?\Lord Sesshomaru! response:	Rin, stay put.
context: Perhaps... but it can't be helped.\Hmm... yes... I understand.\Then, tomorrow morning.\Did I say something bad?\He's late, Lord Sesshomaru.\That Kaijinbo, where'd he go with that sword?\Lord Sesshomaru!\Rin, stay put. response:	A woman...
context: Hmm... yes... I understand.\Then, tomorrow morning.\Did I say something bad?\He's late, Lord Sesshomaru.\That Kaijinbo, where'd he go with that sword?\Lord Sesshomaru!\Rin, stay put.\A woman... response:	This smell...
context: Then, tomorrow morning.\Did I say something bad?\He's late, Lord Sesshomaru.\That Kaijinbo, where'd he go with that sword?\Lord Sesshomaru!\Rin, stay put.\A woman...\This smell... response:	Just like that strange one who approached you...
context: Did I say something bad?\He's late, Lord Sesshomaru.\That Kaijinbo, where'd he go with that sword?\Lord Sesshomaru!\Rin, stay put.\A woman...\This smell...\Just like that strange one who approached you... response:	with the arm with the Sacred Jewel fragment...
context: He's late, Lord Sesshomaru.\That Kaijinbo, where'd he go with that sword?\Lord Sesshomaru!\Rin, stay put.\A woman...\This smell...\Just like that strange one who approached you...\with the arm with the Sacred Jewel fragment... response:	The one wearing the baboon hide.
context: That Kaijinbo, where'd he go with that sword?\Lord Sesshomaru!\Rin, stay put.\A woman...\This smell...\Just like that strange one who approached you...\with the arm with the Sacred Jewel fragment...\The one wearing the baboon hide. response:	Because of him, we went through hell that time!
context: Lord Sesshomaru!\Rin, stay put.\A woman...\This smell...\Just like that strange one who approached you...\with the arm with the Sacred Jewel fragment...\The one wearing the baboon hide.\Because of him, we went through hell that time! response:	You almost got devoured by an arm...
context: Rin, stay put.\A woman...\This smell...\Just like that strange one who approached you...\with the arm with the Sacred Jewel fragment...\The one wearing the baboon hide.\Because of him, we went through hell that time!\You almost got devoured by an arm... response:	and I was beaten to a pulp by that depraved monk!
context: A woman...\This smell...\Just like that strange one who approached you...\with the arm with the Sacred Jewel fragment...\The one wearing the baboon hide.\Because of him, we went through hell that time!\You almost got devoured by an arm...\and I was beaten to a pulp by that depraved monk! response:	Just recalling that time makes me sick!
context: This smell...\Just like that strange one who approached you...\with the arm with the Sacred Jewel fragment...\The one wearing the baboon hide.\Because of him, we went through hell that time!\You almost got devoured by an arm...\and I was beaten to a pulp by that depraved monk!\Just recalling that time makes me sick! response:	It's a scent I remember.
context: Just like that strange one who approached you...\with the arm with the Sacred Jewel fragment...\The one wearing the baboon hide.\Because of him, we went through hell that time!\You almost got devoured by an arm...\and I was beaten to a pulp by that depraved monk!\Just recalling that time makes me sick!\It's a scent I remember. response:	The same scent as the one who tried to trap me, the beast Naraku.
context: with the arm with the Sacred Jewel fragment...\The one wearing the baboon hide.\Because of him, we went through hell that time!\You almost got devoured by an arm...\and I was beaten to a pulp by that depraved monk!\Just recalling that time makes me sick!\It's a scent I remember.\The same scent as the one who tried to trap me, the beast Naraku. response:	Hmm... so you're Sesshomaru, Inuyasha's older brother?
context: The one wearing the baboon hide.\Because of him, we went through hell that time!\You almost got devoured by an arm...\and I was beaten to a pulp by that depraved monk!\Just recalling that time makes me sick!\It's a scent I remember.\The same scent as the one who tried to trap me, the beast Naraku.\Hmm... so you're Sesshomaru, Inuyasha's older brother? response:	Pretty slim.
context: Because of him, we went through hell that time!\You almost got devoured by an arm...\and I was beaten to a pulp by that depraved monk!\Just recalling that time makes me sick!\It's a scent I remember.\The same scent as the one who tried to trap me, the beast Naraku.\Hmm... so you're Sesshomaru, Inuyasha's older brother?\Pretty slim. response:	I'm Kagura the Wind Sorceress.
context: You almost got devoured by an arm...\and I was beaten to a pulp by that depraved monk!\Just recalling that time makes me sick!\It's a scent I remember.\The same scent as the one who tried to trap me, the beast Naraku.\Hmm... so you're Sesshomaru, Inuyasha's older brother?\Pretty slim.\I'm Kagura the Wind Sorceress. response:	Just another incarnation of Naraku.
context: and I was beaten to a pulp by that depraved monk!\Just recalling that time makes me sick!\It's a scent I remember.\The same scent as the one who tried to trap me, the beast Naraku.\Hmm... so you're Sesshomaru, Inuyasha's older brother?\Pretty slim.\I'm Kagura the Wind Sorceress.\Just another incarnation of Naraku. response:	Incarnation?
context: Just recalling that time makes me sick!\It's a scent I remember.\The same scent as the one who tried to trap me, the beast Naraku.\Hmm... so you're Sesshomaru, Inuyasha's older brother?\Pretty slim.\I'm Kagura the Wind Sorceress.\Just another incarnation of Naraku.\Incarnation? response:	Yes...
context: It's a scent I remember.\The same scent as the one who tried to trap me, the beast Naraku.\Hmm... so you're Sesshomaru, Inuyasha's older brother?\Pretty slim.\I'm Kagura the Wind Sorceress.\Just another incarnation of Naraku.\Incarnation?\Yes... response:	And the fangs you gave to Kaijinbo to make the sword...
context: The same scent as the one who tried to trap me, the beast Naraku.\Hmm... so you're Sesshomaru, Inuyasha's older brother?\Pretty slim.\I'm Kagura the Wind Sorceress.\Just another incarnation of Naraku.\Incarnation?\Yes...\And the fangs you gave to Kaijinbo to make the sword... response:	were those of a demon named Goshinki.
context: Hmm... so you're Sesshomaru, Inuyasha's older brother?\Pretty slim.\I'm Kagura the Wind Sorceress.\Just another incarnation of Naraku.\Incarnation?\Yes...\And the fangs you gave to Kaijinbo to make the sword...\were those of a demon named Goshinki. response:	Like me, he was also created out of Naraku.
context: Pretty slim.\I'm Kagura the Wind Sorceress.\Just another incarnation of Naraku.\Incarnation?\Yes...\And the fangs you gave to Kaijinbo to make the sword...\were those of a demon named Goshinki.\Like me, he was also created out of Naraku. response:	So what?
context: I'm Kagura the Wind Sorceress.\Just another incarnation of Naraku.\Incarnation?\Yes...\And the fangs you gave to Kaijinbo to make the sword...\were those of a demon named Goshinki.\Like me, he was also created out of Naraku.\So what? response:	Did you come just to tell me that?
context: Just another incarnation of Naraku.\Incarnation?\Yes...\And the fangs you gave to Kaijinbo to make the sword...\were those of a demon named Goshinki.\Like me, he was also created out of Naraku.\So what?\Did you come just to tell me that? response:	Don't you smell it?
context: Incarnation?\Yes...\And the fangs you gave to Kaijinbo to make the sword...\were those of a demon named Goshinki.\Like me, he was also created out of Naraku.\So what?\Did you come just to tell me that?\Don't you smell it? response:	The sword which reeks with the aura from Goshinki...
context: Yes...\And the fangs you gave to Kaijinbo to make the sword...\were those of a demon named Goshinki.\Like me, he was also created out of Naraku.\So what?\Did you come just to tell me that?\Don't you smell it?\The sword which reeks with the aura from Goshinki... response:	Tokijin is so close.
