context: Only three of you are running under thirty minutes. response:	I'm impressed you're all able to run a 10K now, but...
context: Wow! That's us!\We're in the paper! Yay!\I never thought I'd appear in a newspaper.\Aiming For the Top” 10 men take on the Hakone Ekiden\Okay, smile.\Since you haven't made it through the qualifier,\getting you into the sports section might be difficult,\but your attempt itself is captivating. response:	I'll have your story run in the local news section.
context: We're in the paper! Yay!\I never thought I'd appear in a newspaper.\Aiming For the Top” 10 men take on the Hakone Ekiden\Okay, smile.\Since you haven't made it through the qualifier,\getting you into the sports section might be difficult,\but your attempt itself is captivating.\I'll have your story run in the local news section. response:	Thank you!
context: I never thought I'd appear in a newspaper.\Aiming For the Top” 10 men take on the Hakone Ekiden\Okay, smile.\Since you haven't made it through the qualifier,\getting you into the sports section might be difficult,\but your attempt itself is captivating.\I'll have your story run in the local news section.\Thank you! response:	Yaokatsu
context: Aiming For the Top” 10 men take on the Hakone Ekiden\Okay, smile.\Since you haven't made it through the qualifier,\getting you into the sports section might be difficult,\but your attempt itself is captivating.\I'll have your story run in the local news section.\Thank you!\Yaokatsu response:	Chairman's Office
context: Okay, smile.\Since you haven't made it through the qualifier,\getting you into the sports section might be difficult,\but your attempt itself is captivating.\I'll have your story run in the local news section.\Thank you!\Yaokatsu\Chairman's Office response:	We're all hoping you'll make it through the qualifier.
context: Since you haven't made it through the qualifier,\getting you into the sports section might be difficult,\but your attempt itself is captivating.\I'll have your story run in the local news section.\Thank you!\Yaokatsu\Chairman's Office\We're all hoping you'll make it through the qualifier. response:	I wish I could run right now.
context: getting you into the sports section might be difficult,\but your attempt itself is captivating.\I'll have your story run in the local news section.\Thank you!\Yaokatsu\Chairman's Office\We're all hoping you'll make it through the qualifier.\I wish I could run right now. response:	Place of Destiny
context: but your attempt itself is captivating.\I'll have your story run in the local news section.\Thank you!\Yaokatsu\Chairman's Office\We're all hoping you'll make it through the qualifier.\I wish I could run right now.\Place of Destiny response:	My parents called.
context: I'll have your story run in the local news section.\Thank you!\Yaokatsu\Chairman's Office\We're all hoping you'll make it through the qualifier.\I wish I could run right now.\Place of Destiny\My parents called. response:	They saw us in the paper.
context: Thank you!\Yaokatsu\Chairman's Office\We're all hoping you'll make it through the qualifier.\I wish I could run right now.\Place of Destiny\My parents called.\They saw us in the paper. response:	They were so excited.
context: Yaokatsu\Chairman's Office\We're all hoping you'll make it through the qualifier.\I wish I could run right now.\Place of Destiny\My parents called.\They saw us in the paper.\They were so excited. response:	So did ours.
context: Chairman's Office\We're all hoping you'll make it through the qualifier.\I wish I could run right now.\Place of Destiny\My parents called.\They saw us in the paper.\They were so excited.\So did ours. response:	They yelled at us for throwing peace signs.
context: We're all hoping you'll make it through the qualifier.\I wish I could run right now.\Place of Destiny\My parents called.\They saw us in the paper.\They were so excited.\So did ours.\They yelled at us for throwing peace signs. response:	My parents told me to smile more.
context: I wish I could run right now.\Place of Destiny\My parents called.\They saw us in the paper.\They were so excited.\So did ours.\They yelled at us for throwing peace signs.\My parents told me to smile more. response:	What are your parents like? I can't imagine it.
context: Place of Destiny\My parents called.\They saw us in the paper.\They were so excited.\So did ours.\They yelled at us for throwing peace signs.\My parents told me to smile more.\What are your parents like? I can't imagine it. response:	They're normal. Normal, with faces that look like mine.
context: My parents called.\They saw us in the paper.\They were so excited.\So did ours.\They yelled at us for throwing peace signs.\My parents told me to smile more.\What are your parents like? I can't imagine it.\They're normal. Normal, with faces that look like mine. response:	What do you think my parents are?
context: They saw us in the paper.\They were so excited.\So did ours.\They yelled at us for throwing peace signs.\My parents told me to smile more.\What are your parents like? I can't imagine it.\They're normal. Normal, with faces that look like mine.\What do you think my parents are? response:	Everyone's so devoted to their parents.
context: They were so excited.\So did ours.\They yelled at us for throwing peace signs.\My parents told me to smile more.\What are your parents like? I can't imagine it.\They're normal. Normal, with faces that look like mine.\What do you think my parents are?\Everyone's so devoted to their parents. response:	Right?
context: So did ours.\They yelled at us for throwing peace signs.\My parents told me to smile more.\What are your parents like? I can't imagine it.\They're normal. Normal, with faces that look like mine.\What do you think my parents are?\Everyone's so devoted to their parents.\Right? response:	I guess so.
context: They yelled at us for throwing peace signs.\My parents told me to smile more.\What are your parents like? I can't imagine it.\They're normal. Normal, with faces that look like mine.\What do you think my parents are?\Everyone's so devoted to their parents.\Right?\I guess so. response:	Actually, we even received an interview request from Nippon TV.
context: My parents told me to smile more.\What are your parents like? I can't imagine it.\They're normal. Normal, with faces that look like mine.\What do you think my parents are?\Everyone's so devoted to their parents.\Right?\I guess so.\Actually, we even received an interview request from Nippon TV. response:	T-T-TV?!
context: What are your parents like? I can't imagine it.\They're normal. Normal, with faces that look like mine.\What do you think my parents are?\Everyone's so devoted to their parents.\Right?\I guess so.\Actually, we even received an interview request from Nippon TV.\T-T-TV?! response:	I didn't know, but the qualifier is televised, too.
context: They're normal. Normal, with faces that look like mine.\What do you think my parents are?\Everyone's so devoted to their parents.\Right?\I guess so.\Actually, we even received an interview request from Nippon TV.\T-T-TV?!\I didn't know, but the qualifier is televised, too. response:	They even broadcast interviews with a handful of particularly notable schools.
context: What do you think my parents are?\Everyone's so devoted to their parents.\Right?\I guess so.\Actually, we even received an interview request from Nippon TV.\T-T-TV?!\I didn't know, but the qualifier is televised, too.\They even broadcast interviews with a handful of particularly notable schools. response:	And we were chosen for that?
context: Everyone's so devoted to their parents.\Right?\I guess so.\Actually, we even received an interview request from Nippon TV.\T-T-TV?!\I didn't know, but the qualifier is televised, too.\They even broadcast interviews with a handful of particularly notable schools.\And we were chosen for that? response:	That's great news.
context: Right?\I guess so.\Actually, we even received an interview request from Nippon TV.\T-T-TV?!\I didn't know, but the qualifier is televised, too.\They even broadcast interviews with a handful of particularly notable schools.\And we were chosen for that?\That's great news. response:	I haven't responded yet, though.
context: I guess so.\Actually, we even received an interview request from Nippon TV.\T-T-TV?!\I didn't know, but the qualifier is televised, too.\They even broadcast interviews with a handful of particularly notable schools.\And we were chosen for that?\That's great news.\I haven't responded yet, though. response:	Why not?!
context: Actually, we even received an interview request from Nippon TV.\T-T-TV?!\I didn't know, but the qualifier is televised, too.\They even broadcast interviews with a handful of particularly notable schools.\And we were chosen for that?\That's great news.\I haven't responded yet, though.\Why not?! response:	If the cameras prevented us from focusing on the race,
context: T-T-TV?!\I didn't know, but the qualifier is televised, too.\They even broadcast interviews with a handful of particularly notable schools.\And we were chosen for that?\That's great news.\I haven't responded yet, though.\Why not?!\If the cameras prevented us from focusing on the race, response:	we'd be putting the cart before the horse.
context: I didn't know, but the qualifier is televised, too.\They even broadcast interviews with a handful of particularly notable schools.\And we were chosen for that?\That's great news.\I haven't responded yet, though.\Why not?!\If the cameras prevented us from focusing on the race,\we'd be putting the cart before the horse. response:	Damn honor student!
context: They even broadcast interviews with a handful of particularly notable schools.\And we were chosen for that?\That's great news.\I haven't responded yet, though.\Why not?!\If the cameras prevented us from focusing on the race,\we'd be putting the cart before the horse.\Damn honor student! response:	We should accept their offer!
context: And we were chosen for that?\That's great news.\I haven't responded yet, though.\Why not?!\If the cameras prevented us from focusing on the race,\we'd be putting the cart before the horse.\Damn honor student!\We should accept their offer! response:	I want to be interviewed! I want to be on TV!
context: That's great news.\I haven't responded yet, though.\Why not?!\If the cameras prevented us from focusing on the race,\we'd be putting the cart before the horse.\Damn honor student!\We should accept their offer!\I want to be interviewed! I want to be on TV! response:	Well, it'll certainly be good for promoting the team.
context: I haven't responded yet, though.\Why not?!\If the cameras prevented us from focusing on the race,\we'd be putting the cart before the horse.\Damn honor student!\We should accept their offer!\I want to be interviewed! I want to be on TV!\Well, it'll certainly be good for promoting the team. response:	What do you think?
context: Why not?!\If the cameras prevented us from focusing on the race,\we'd be putting the cart before the horse.\Damn honor student!\We should accept their offer!\I want to be interviewed! I want to be on TV!\Well, it'll certainly be good for promoting the team.\What do you think? response:	I don't care either way.
context: If the cameras prevented us from focusing on the race,\we'd be putting the cart before the horse.\Damn honor student!\We should accept their offer!\I want to be interviewed! I want to be on TV!\Well, it'll certainly be good for promoting the team.\What do you think?\I don't care either way. response:	Me, neither.
context: we'd be putting the cart before the horse.\Damn honor student!\We should accept their offer!\I want to be interviewed! I want to be on TV!\Well, it'll certainly be good for promoting the team.\What do you think?\I don't care either way.\Me, neither. response:	I wonder if they'll send a lady reporter.
context: Damn honor student!\We should accept their offer!\I want to be interviewed! I want to be on TV!\Well, it'll certainly be good for promoting the team.\What do you think?\I don't care either way.\Me, neither.\I wonder if they'll send a lady reporter. response:	We'll finally be popular with girls.
context: We should accept their offer!\I want to be interviewed! I want to be on TV!\Well, it'll certainly be good for promoting the team.\What do you think?\I don't care either way.\Me, neither.\I wonder if they'll send a lady reporter.\We'll finally be popular with girls. response:	This is insane, Jota.
context: I want to be interviewed! I want to be on TV!\Well, it'll certainly be good for promoting the team.\What do you think?\I don't care either way.\Me, neither.\I wonder if they'll send a lady reporter.\We'll finally be popular with girls.\This is insane, Jota. response:	What should we do?
context: Well, it'll certainly be good for promoting the team.\What do you think?\I don't care either way.\Me, neither.\I wonder if they'll send a lady reporter.\We'll finally be popular with girls.\This is insane, Jota.\What should we do? response:	It's finally happening.
context: What do you think?\I don't care either way.\Me, neither.\I wonder if they'll send a lady reporter.\We'll finally be popular with girls.\This is insane, Jota.\What should we do?\It's finally happening. response:	Are you okay with this?
context: I don't care either way.\Me, neither.\I wonder if they'll send a lady reporter.\We'll finally be popular with girls.\This is insane, Jota.\What should we do?\It's finally happening.\Are you okay with this? response:	What?
context: Me, neither.\I wonder if they'll send a lady reporter.\We'll finally be popular with girls.\This is insane, Jota.\What should we do?\It's finally happening.\Are you okay with this?\What? response:	Won't appearing on TV cause trouble for you?
context: I wonder if they'll send a lady reporter.\We'll finally be popular with girls.\This is insane, Jota.\What should we do?\It's finally happening.\Are you okay with this?\What?\Won't appearing on TV cause trouble for you? response:	Sorry. Shouldn't have asked.
context: We'll finally be popular with girls.\This is insane, Jota.\What should we do?\It's finally happening.\Are you okay with this?\What?\Won't appearing on TV cause trouble for you?\Sorry. Shouldn't have asked. response:	They're so young.
context: This is insane, Jota.\What should we do?\It's finally happening.\Are you okay with this?\What?\Won't appearing on TV cause trouble for you?\Sorry. Shouldn't have asked.\They're so young. response:	Huh?
context: What should we do?\It's finally happening.\Are you okay with this?\What?\Won't appearing on TV cause trouble for you?\Sorry. Shouldn't have asked.\They're so young.\Huh? response:	We're gonna be on TV.
context: It's finally happening.\Are you okay with this?\What?\Won't appearing on TV cause trouble for you?\Sorry. Shouldn't have asked.\They're so young.\Huh?\We're gonna be on TV. response:	What? That's amazing!
context: Are you okay with this?\What?\Won't appearing on TV cause trouble for you?\Sorry. Shouldn't have asked.\They're so young.\Huh?\We're gonna be on TV.\What? That's amazing! response:	I'll definitely be watching!
context: What?\Won't appearing on TV cause trouble for you?\Sorry. Shouldn't have asked.\They're so young.\Huh?\We're gonna be on TV.\What? That's amazing!\I'll definitely be watching! response:	Yuki, Shindo, Prince, get ready.
context: Won't appearing on TV cause trouble for you?\Sorry. Shouldn't have asked.\They're so young.\Huh?\We're gonna be on TV.\What? That's amazing!\I'll definitely be watching!\Yuki, Shindo, Prince, get ready. response:	Okay.
context: Sorry. Shouldn't have asked.\They're so young.\Huh?\We're gonna be on TV.\What? That's amazing!\I'll definitely be watching!\Yuki, Shindo, Prince, get ready.\Okay. response:	My maybe” became a definitely” today.
context: They're so young.\Huh?\We're gonna be on TV.\What? That's amazing!\I'll definitely be watching!\Yuki, Shindo, Prince, get ready.\Okay.\My maybe” became a definitely” today. response:	The twins and Hana?
context: Huh?\We're gonna be on TV.\What? That's amazing!\I'll definitely be watching!\Yuki, Shindo, Prince, get ready.\Okay.\My maybe” became a definitely” today.\The twins and Hana? response:	Yes.
context: We're gonna be on TV.\What? That's amazing!\I'll definitely be watching!\Yuki, Shindo, Prince, get ready.\Okay.\My maybe” became a definitely” today.\The twins and Hana?\Yes. response:	Didn't I tell you I made a discovery when we were in the bath together?
context: What? That's amazing!\I'll definitely be watching!\Yuki, Shindo, Prince, get ready.\Okay.\My maybe” became a definitely” today.\The twins and Hana?\Yes.\Didn't I tell you I made a discovery when we were in the bath together? response:	That attitude.
context: I'll definitely be watching!\Yuki, Shindo, Prince, get ready.\Okay.\My maybe” became a definitely” today.\The twins and Hana?\Yes.\Didn't I tell you I made a discovery when we were in the bath together?\That attitude. response:	That atmosphere.
context: Yuki, Shindo, Prince, get ready.\Okay.\My maybe” became a definitely” today.\The twins and Hana?\Yes.\Didn't I tell you I made a discovery when we were in the bath together?\That attitude.\That atmosphere. response:	They're definitely those of a woman in love.
context: Okay.\My maybe” became a definitely” today.\The twins and Hana?\Yes.\Didn't I tell you I made a discovery when we were in the bath together?\That attitude.\That atmosphere.\They're definitely those of a woman in love. response:	There's no other reason she'd make that face.
context: My maybe” became a definitely” today.\The twins and Hana?\Yes.\Didn't I tell you I made a discovery when we were in the bath together?\That attitude.\That atmosphere.\They're definitely those of a woman in love.\There's no other reason she'd make that face. response:	Hana definitely loves one of the twins.
context: The twins and Hana?\Yes.\Didn't I tell you I made a discovery when we were in the bath together?\That attitude.\That atmosphere.\They're definitely those of a woman in love.\There's no other reason she'd make that face.\Hana definitely loves one of the twins. response:	Youth is beautiful, isn't it?
context: Yes.\Didn't I tell you I made a discovery when we were in the bath together?\That attitude.\That atmosphere.\They're definitely those of a woman in love.\There's no other reason she'd make that face.\Hana definitely loves one of the twins.\Youth is beautiful, isn't it? response:	Kakeru, Musa. Joji, Jota. Let's go.
context: Didn't I tell you I made a discovery when we were in the bath together?\That attitude.\That atmosphere.\They're definitely those of a woman in love.\There's no other reason she'd make that face.\Hana definitely loves one of the twins.\Youth is beautiful, isn't it?\Kakeru, Musa. Joji, Jota. Let's go. response:	Okay.
context: That attitude.\That atmosphere.\They're definitely those of a woman in love.\There's no other reason she'd make that face.\Hana definitely loves one of the twins.\Youth is beautiful, isn't it?\Kakeru, Musa. Joji, Jota. Let's go.\Okay. response:	You got this!
context: That atmosphere.\They're definitely those of a woman in love.\There's no other reason she'd make that face.\Hana definitely loves one of the twins.\Youth is beautiful, isn't it?\Kakeru, Musa. Joji, Jota. Let's go.\Okay.\You got this! response:	But which one?
context: They're definitely those of a woman in love.\There's no other reason she'd make that face.\Hana definitely loves one of the twins.\Youth is beautiful, isn't it?\Kakeru, Musa. Joji, Jota. Let's go.\Okay.\You got this!\But which one? response:	They're practically the same person.
context: There's no other reason she'd make that face.\Hana definitely loves one of the twins.\Youth is beautiful, isn't it?\Kakeru, Musa. Joji, Jota. Let's go.\Okay.\You got this!\But which one?\They're practically the same person. response:	Yes, so it's one or the other.
context: Hana definitely loves one of the twins.\Youth is beautiful, isn't it?\Kakeru, Musa. Joji, Jota. Let's go.\Okay.\You got this!\But which one?\They're practically the same person.\Yes, so it's one or the other. response:	It's huge!
context: Youth is beautiful, isn't it?\Kakeru, Musa. Joji, Jota. Let's go.\Okay.\You got this!\But which one?\They're practically the same person.\Yes, so it's one or the other.\It's huge! response:	The Hakone qualifier starts at the Self-Defense Force base,
context: Kakeru, Musa. Joji, Jota. Let's go.\Okay.\You got this!\But which one?\They're practically the same person.\Yes, so it's one or the other.\It's huge!\The Hakone qualifier starts at the Self-Defense Force base, response:	adjacent to Showa Memorial Park.
context: Okay.\You got this!\But which one?\They're practically the same person.\Yes, so it's one or the other.\It's huge!\The Hakone qualifier starts at the Self-Defense Force base,\adjacent to Showa Memorial Park. response:	We'll start by running two laps around the airstrip and taxiway.
context: You got this!\But which one?\They're practically the same person.\Yes, so it's one or the other.\It's huge!\The Hakone qualifier starts at the Self-Defense Force base,\adjacent to Showa Memorial Park.\We'll start by running two laps around the airstrip and taxiway. response:	That's about five kilometers.
context: But which one?\They're practically the same person.\Yes, so it's one or the other.\It's huge!\The Hakone qualifier starts at the Self-Defense Force base,\adjacent to Showa Memorial Park.\We'll start by running two laps around the airstrip and taxiway.\That's about five kilometers. response:	Then we'll head out onto the road, pass the station,
context: They're practically the same person.\Yes, so it's one or the other.\It's huge!\The Hakone qualifier starts at the Self-Defense Force base,\adjacent to Showa Memorial Park.\We'll start by running two laps around the airstrip and taxiway.\That's about five kilometers.\Then we'll head out onto the road, pass the station, response:	and cross under the monorail bridge.
context: Yes, so it's one or the other.\It's huge!\The Hakone qualifier starts at the Self-Defense Force base,\adjacent to Showa Memorial Park.\We'll start by running two laps around the airstrip and taxiway.\That's about five kilometers.\Then we'll head out onto the road, pass the station,\and cross under the monorail bridge. response:	That's about ten kilometers.
context: It's huge!\The Hakone qualifier starts at the Self-Defense Force base,\adjacent to Showa Memorial Park.\We'll start by running two laps around the airstrip and taxiway.\That's about five kilometers.\Then we'll head out onto the road, pass the station,\and cross under the monorail bridge.\That's about ten kilometers. response:	The turnaround point is at 11.2 km.
context: The Hakone qualifier starts at the Self-Defense Force base,\adjacent to Showa Memorial Park.\We'll start by running two laps around the airstrip and taxiway.\That's about five kilometers.\Then we'll head out onto the road, pass the station,\and cross under the monorail bridge.\That's about ten kilometers.\The turnaround point is at 11.2 km. response:	When we return to the park, we'll have run fifteen kilometers.
context: adjacent to Showa Memorial Park.\We'll start by running two laps around the airstrip and taxiway.\That's about five kilometers.\Then we'll head out onto the road, pass the station,\and cross under the monorail bridge.\That's about ten kilometers.\The turnaround point is at 11.2 km.\When we return to the park, we'll have run fifteen kilometers. response:	We'll run a lap through the hilly park.
context: We'll start by running two laps around the airstrip and taxiway.\That's about five kilometers.\Then we'll head out onto the road, pass the station,\and cross under the monorail bridge.\That's about ten kilometers.\The turnaround point is at 11.2 km.\When we return to the park, we'll have run fifteen kilometers.\We'll run a lap through the hilly park. response:	The finish line is next to the Minna-no Harappa Field.
context: That's about five kilometers.\Then we'll head out onto the road, pass the station,\and cross under the monorail bridge.\That's about ten kilometers.\The turnaround point is at 11.2 km.\When we return to the park, we'll have run fifteen kilometers.\We'll run a lap through the hilly park.\The finish line is next to the Minna-no Harappa Field. response:	How plain.
context: Then we'll head out onto the road, pass the station,\and cross under the monorail bridge.\That's about ten kilometers.\The turnaround point is at 11.2 km.\When we return to the park, we'll have run fifteen kilometers.\We'll run a lap through the hilly park.\The finish line is next to the Minna-no Harappa Field.\How plain. response:	I expected the finish line to be flashier.
context: and cross under the monorail bridge.\That's about ten kilometers.\The turnaround point is at 11.2 km.\When we return to the park, we'll have run fifteen kilometers.\We'll run a lap through the hilly park.\The finish line is next to the Minna-no Harappa Field.\How plain.\I expected the finish line to be flashier. response:	You'll see the day of the race.
context: That's about ten kilometers.\The turnaround point is at 11.2 km.\When we return to the park, we'll have run fifteen kilometers.\We'll run a lap through the hilly park.\The finish line is next to the Minna-no Harappa Field.\How plain.\I expected the finish line to be flashier.\You'll see the day of the race. response:	It won't matter if it's plain or flashy anymore.
context: The turnaround point is at 11.2 km.\When we return to the park, we'll have run fifteen kilometers.\We'll run a lap through the hilly park.\The finish line is next to the Minna-no Harappa Field.\How plain.\I expected the finish line to be flashier.\You'll see the day of the race.\It won't matter if it's plain or flashy anymore. response:	And they'll announce the results here?
context: When we return to the park, we'll have run fifteen kilometers.\We'll run a lap through the hilly park.\The finish line is next to the Minna-no Harappa Field.\How plain.\I expected the finish line to be flashier.\You'll see the day of the race.\It won't matter if it's plain or flashy anymore.\And they'll announce the results here? response:	That's right. This is where our destiny will be decided.
context: We'll run a lap through the hilly park.\The finish line is next to the Minna-no Harappa Field.\How plain.\I expected the finish line to be flashier.\You'll see the day of the race.\It won't matter if it's plain or flashy anymore.\And they'll announce the results here?\That's right. This is where our destiny will be decided. response:	Do you think I'm being soft?
context: The finish line is next to the Minna-no Harappa Field.\How plain.\I expected the finish line to be flashier.\You'll see the day of the race.\It won't matter if it's plain or flashy anymore.\And they'll announce the results here?\That's right. This is where our destiny will be decided.\Do you think I'm being soft? response:	Huh?
context: How plain.\I expected the finish line to be flashier.\You'll see the day of the race.\It won't matter if it's plain or flashy anymore.\And they'll announce the results here?\That's right. This is where our destiny will be decided.\Do you think I'm being soft?\Huh? response:	Should I have made them run more?
context: I expected the finish line to be flashier.\You'll see the day of the race.\It won't matter if it's plain or flashy anymore.\And they'll announce the results here?\That's right. This is where our destiny will be decided.\Do you think I'm being soft?\Huh?\Should I have made them run more? response:	Before I sleep, while I'm eating, when I'm in the bathroom.
context: You'll see the day of the race.\It won't matter if it's plain or flashy anymore.\And they'll announce the results here?\That's right. This is where our destiny will be decided.\Do you think I'm being soft?\Huh?\Should I have made them run more?\Before I sleep, while I'm eating, when I'm in the bathroom. response:	My doubts are constantly following me.
