context: Who's there? response:	There's nobody there...
context: I'm too scared to even change my clothes!\Yeah.\When I'm changing, I always ask someone to keep a lookout for me.\That's a good idea.\Well then, we shall start the Youkai Academy's Newspaper Club activity now.\Are we the only members?\My, of course not.\Sorry. response:	See, he's here already.
context: Yeah.\When I'm changing, I always ask someone to keep a lookout for me.\That's a good idea.\Well then, we shall start the Youkai Academy's Newspaper Club activity now.\Are we the only members?\My, of course not.\Sorry.\See, he's here already. response:	I'm really sorry for being late on the first day of activities.
context: When I'm changing, I always ask someone to keep a lookout for me.\That's a good idea.\Well then, we shall start the Youkai Academy's Newspaper Club activity now.\Are we the only members?\My, of course not.\Sorry.\See, he's here already.\I'm really sorry for being late on the first day of activities. response:	Nice to meet you guys.
context: That's a good idea.\Well then, we shall start the Youkai Academy's Newspaper Club activity now.\Are we the only members?\My, of course not.\Sorry.\See, he's here already.\I'm really sorry for being late on the first day of activities.\Nice to meet you guys. response:	I'm the club leader, Morioka Ginei.
context: Well then, we shall start the Youkai Academy's Newspaper Club activity now.\Are we the only members?\My, of course not.\Sorry.\See, he's here already.\I'm really sorry for being late on the first day of activities.\Nice to meet you guys.\I'm the club leader, Morioka Ginei. response:	Please call me Gin from now on.
context: Are we the only members?\My, of course not.\Sorry.\See, he's here already.\I'm really sorry for being late on the first day of activities.\Nice to meet you guys.\I'm the club leader, Morioka Ginei.\Please call me Gin from now on. response:	You may be young, but you are a lady after all.
context: My, of course not.\Sorry.\See, he's here already.\I'm really sorry for being late on the first day of activities.\Nice to meet you guys.\I'm the club leader, Morioka Ginei.\Please call me Gin from now on.\You may be young, but you are a lady after all. response:	Indeed, pretty ladies complement well with red flowers.
context: Sorry.\See, he's here already.\I'm really sorry for being late on the first day of activities.\Nice to meet you guys.\I'm the club leader, Morioka Ginei.\Please call me Gin from now on.\You may be young, but you are a lady after all.\Indeed, pretty ladies complement well with red flowers. response:	Gin-kun is the only second year member here.
context: See, he's here already.\I'm really sorry for being late on the first day of activities.\Nice to meet you guys.\I'm the club leader, Morioka Ginei.\Please call me Gin from now on.\You may be young, but you are a lady after all.\Indeed, pretty ladies complement well with red flowers.\Gin-kun is the only second year member here. response:	Also, we don't have any third year students here.
context: I'm really sorry for being late on the first day of activities.\Nice to meet you guys.\I'm the club leader, Morioka Ginei.\Please call me Gin from now on.\You may be young, but you are a lady after all.\Indeed, pretty ladies complement well with red flowers.\Gin-kun is the only second year member here.\Also, we don't have any third year students here. response:	If you have any questions, feel free to ask Gin-kun.
context: Nice to meet you guys.\I'm the club leader, Morioka Ginei.\Please call me Gin from now on.\You may be young, but you are a lady after all.\Indeed, pretty ladies complement well with red flowers.\Gin-kun is the only second year member here.\Also, we don't have any third year students here.\If you have any questions, feel free to ask Gin-kun. response:	You can count on me.
context: I'm the club leader, Morioka Ginei.\Please call me Gin from now on.\You may be young, but you are a lady after all.\Indeed, pretty ladies complement well with red flowers.\Gin-kun is the only second year member here.\Also, we don't have any third year students here.\If you have any questions, feel free to ask Gin-kun.\You can count on me. response:	The staff meeting is going to start soon.
context: Please call me Gin from now on.\You may be young, but you are a lady after all.\Indeed, pretty ladies complement well with red flowers.\Gin-kun is the only second year member here.\Also, we don't have any third year students here.\If you have any questions, feel free to ask Gin-kun.\You can count on me.\The staff meeting is going to start soon. response:	The rest is up to you, Gin-kun.
context: You may be young, but you are a lady after all.\Indeed, pretty ladies complement well with red flowers.\Gin-kun is the only second year member here.\Also, we don't have any third year students here.\If you have any questions, feel free to ask Gin-kun.\You can count on me.\The staff meeting is going to start soon.\The rest is up to you, Gin-kun. response:	Leave it to me.
context: Indeed, pretty ladies complement well with red flowers.\Gin-kun is the only second year member here.\Also, we don't have any third year students here.\If you have any questions, feel free to ask Gin-kun.\You can count on me.\The staff meeting is going to start soon.\The rest is up to you, Gin-kun.\Leave it to me. response:	And so, let me introduce the Newspaper Club to you guys.
context: Gin-kun is the only second year member here.\Also, we don't have any third year students here.\If you have any questions, feel free to ask Gin-kun.\You can count on me.\The staff meeting is going to start soon.\The rest is up to you, Gin-kun.\Leave it to me.\And so, let me introduce the Newspaper Club to you guys. response:	The main objective of the Newspaper Club is to distribute the school newspaper,
context: Also, we don't have any third year students here.\If you have any questions, feel free to ask Gin-kun.\You can count on me.\The staff meeting is going to start soon.\The rest is up to you, Gin-kun.\Leave it to me.\And so, let me introduce the Newspaper Club to you guys.\The main objective of the Newspaper Club is to distribute the school newspaper, response:	and to report any happenings in the school,
context: If you have any questions, feel free to ask Gin-kun.\You can count on me.\The staff meeting is going to start soon.\The rest is up to you, Gin-kun.\Leave it to me.\And so, let me introduce the Newspaper Club to you guys.\The main objective of the Newspaper Club is to distribute the school newspaper,\and to report any happenings in the school, response:	then write them in the newspaper.
context: You can count on me.\The staff meeting is going to start soon.\The rest is up to you, Gin-kun.\Leave it to me.\And so, let me introduce the Newspaper Club to you guys.\The main objective of the Newspaper Club is to distribute the school newspaper,\and to report any happenings in the school,\then write them in the newspaper. response:	For the sake of reporting, we must put ourselves on the line.
context: The staff meeting is going to start soon.\The rest is up to you, Gin-kun.\Leave it to me.\And so, let me introduce the Newspaper Club to you guys.\The main objective of the Newspaper Club is to distribute the school newspaper,\and to report any happenings in the school,\then write them in the newspaper.\For the sake of reporting, we must put ourselves on the line. response:	In short, we are very different from any other clubs!
context: The rest is up to you, Gin-kun.\Leave it to me.\And so, let me introduce the Newspaper Club to you guys.\The main objective of the Newspaper Club is to distribute the school newspaper,\and to report any happenings in the school,\then write them in the newspaper.\For the sake of reporting, we must put ourselves on the line.\In short, we are very different from any other clubs! response:	Once you have joined, you have to prepare yourself.
context: Leave it to me.\And so, let me introduce the Newspaper Club to you guys.\The main objective of the Newspaper Club is to distribute the school newspaper,\and to report any happenings in the school,\then write them in the newspaper.\For the sake of reporting, we must put ourselves on the line.\In short, we are very different from any other clubs!\Once you have joined, you have to prepare yourself. response:	He seems to be a Senpai you can count on, unexpectedly though.
context: And so, let me introduce the Newspaper Club to you guys.\The main objective of the Newspaper Club is to distribute the school newspaper,\and to report any happenings in the school,\then write them in the newspaper.\For the sake of reporting, we must put ourselves on the line.\In short, we are very different from any other clubs!\Once you have joined, you have to prepare yourself.\He seems to be a Senpai you can count on, unexpectedly though. response:	Just kidding; don't be so tense and let's get along with each other.
context: The main objective of the Newspaper Club is to distribute the school newspaper,\and to report any happenings in the school,\then write them in the newspaper.\For the sake of reporting, we must put ourselves on the line.\In short, we are very different from any other clubs!\Once you have joined, you have to prepare yourself.\He seems to be a Senpai you can count on, unexpectedly though.\Just kidding; don't be so tense and let's get along with each other. response:	If you have any material to report, speak up.
context: and to report any happenings in the school,\then write them in the newspaper.\For the sake of reporting, we must put ourselves on the line.\In short, we are very different from any other clubs!\Once you have joined, you have to prepare yourself.\He seems to be a Senpai you can count on, unexpectedly though.\Just kidding; don't be so tense and let's get along with each other.\If you have any material to report, speak up. response:	That's right, the serial peeping case!
context: then write them in the newspaper.\For the sake of reporting, we must put ourselves on the line.\In short, we are very different from any other clubs!\Once you have joined, you have to prepare yourself.\He seems to be a Senpai you can count on, unexpectedly though.\Just kidding; don't be so tense and let's get along with each other.\If you have any material to report, speak up.\That's right, the serial peeping case! response:	Peeping?
context: For the sake of reporting, we must put ourselves on the line.\In short, we are very different from any other clubs!\Once you have joined, you have to prepare yourself.\He seems to be a Senpai you can count on, unexpectedly though.\Just kidding; don't be so tense and let's get along with each other.\If you have any material to report, speak up.\That's right, the serial peeping case!\Peeping? response:	I heard that there's someone peeping at the girls in the school recently
context: In short, we are very different from any other clubs!\Once you have joined, you have to prepare yourself.\He seems to be a Senpai you can count on, unexpectedly though.\Just kidding; don't be so tense and let's get along with each other.\If you have any material to report, speak up.\That's right, the serial peeping case!\Peeping?\I heard that there's someone peeping at the girls in the school recently response:	And he's so fast that no one's seen his face clearly yet.
context: Once you have joined, you have to prepare yourself.\He seems to be a Senpai you can count on, unexpectedly though.\Just kidding; don't be so tense and let's get along with each other.\If you have any material to report, speak up.\That's right, the serial peeping case!\Peeping?\I heard that there's someone peeping at the girls in the school recently\And he's so fast that no one's seen his face clearly yet. response:	Peeping is despicable!
context: He seems to be a Senpai you can count on, unexpectedly though.\Just kidding; don't be so tense and let's get along with each other.\If you have any material to report, speak up.\That's right, the serial peeping case!\Peeping?\I heard that there's someone peeping at the girls in the school recently\And he's so fast that no one's seen his face clearly yet.\Peeping is despicable! response:	He's the enemy of all girls and can't be forgiven!
context: Just kidding; don't be so tense and let's get along with each other.\If you have any material to report, speak up.\That's right, the serial peeping case!\Peeping?\I heard that there's someone peeping at the girls in the school recently\And he's so fast that no one's seen his face clearly yet.\Peeping is despicable!\He's the enemy of all girls and can't be forgiven! response:	Let us, the Newspaper Club, find the culprit.
context: If you have any material to report, speak up.\That's right, the serial peeping case!\Peeping?\I heard that there's someone peeping at the girls in the school recently\And he's so fast that no one's seen his face clearly yet.\Peeping is despicable!\He's the enemy of all girls and can't be forgiven!\Let us, the Newspaper Club, find the culprit. response:	If that's the case, we should first find people with information.
context: That's right, the serial peeping case!\Peeping?\I heard that there's someone peeping at the girls in the school recently\And he's so fast that no one's seen his face clearly yet.\Peeping is despicable!\He's the enemy of all girls and can't be forgiven!\Let us, the Newspaper Club, find the culprit.\If that's the case, we should first find people with information. response:	How do we find them?
context: Peeping?\I heard that there's someone peeping at the girls in the school recently\And he's so fast that no one's seen his face clearly yet.\Peeping is despicable!\He's the enemy of all girls and can't be forgiven!\Let us, the Newspaper Club, find the culprit.\If that's the case, we should first find people with information.\How do we find them? response:	The basis for reporting is...
context: I heard that there's someone peeping at the girls in the school recently\And he's so fast that no one's seen his face clearly yet.\Peeping is despicable!\He's the enemy of all girls and can't be forgiven!\Let us, the Newspaper Club, find the culprit.\If that's the case, we should first find people with information.\How do we find them?\The basis for reporting is... response:	Go around asking for information and...
context: And he's so fast that no one's seen his face clearly yet.\Peeping is despicable!\He's the enemy of all girls and can't be forgiven!\Let us, the Newspaper Club, find the culprit.\If that's the case, we should first find people with information.\How do we find them?\The basis for reporting is...\Go around asking for information and... response:	Asking help from the public.
context: Peeping is despicable!\He's the enemy of all girls and can't be forgiven!\Let us, the Newspaper Club, find the culprit.\If that's the case, we should first find people with information.\How do we find them?\The basis for reporting is...\Go around asking for information and...\Asking help from the public. response:	Senpai, is this high enough to stick the posters?
context: He's the enemy of all girls and can't be forgiven!\Let us, the Newspaper Club, find the culprit.\If that's the case, we should first find people with information.\How do we find them?\The basis for reporting is...\Go around asking for information and...\Asking help from the public.\Senpai, is this high enough to stick the posters? response:	A little more will do.
context: Let us, the Newspaper Club, find the culprit.\If that's the case, we should first find people with information.\How do we find them?\The basis for reporting is...\Go around asking for information and...\Asking help from the public.\Senpai, is this high enough to stick the posters?\A little more will do. response:	Eh? A little more?
context: If that's the case, we should first find people with information.\How do we find them?\The basis for reporting is...\Go around asking for information and...\Asking help from the public.\Senpai, is this high enough to stick the posters?\A little more will do.\Eh? A little more? response:	Yeah, a little more.
context: How do we find them?\The basis for reporting is...\Go around asking for information and...\Asking help from the public.\Senpai, is this high enough to stick the posters?\A little more will do.\Eh? A little more?\Yeah, a little more. response:	A little more?
context: The basis for reporting is...\Go around asking for information and...\Asking help from the public.\Senpai, is this high enough to stick the posters?\A little more will do.\Eh? A little more?\Yeah, a little more.\A little more? response:	Is this enough?
context: Go around asking for information and...\Asking help from the public.\Senpai, is this high enough to stick the posters?\A little more will do.\Eh? A little more?\Yeah, a little more.\A little more?\Is this enough? response:	A little more?
context: Asking help from the public.\Senpai, is this high enough to stick the posters?\A little more will do.\Eh? A little more?\Yeah, a little more.\A little more?\Is this enough?\A little more? response:	I'll help too!
context: Senpai, is this high enough to stick the posters?\A little more will do.\Eh? A little more?\Yeah, a little more.\A little more?\Is this enough?\A little more?\I'll help too! response:	You're still small so forget about it.
context: A little more will do.\Eh? A little more?\Yeah, a little more.\A little more?\Is this enough?\A little more?\I'll help too!\You're still small so forget about it. response:	Wait till you get taller, okay?
context: Eh? A little more?\Yeah, a little more.\A little more?\Is this enough?\A little more?\I'll help too!\You're still small so forget about it.\Wait till you get taller, okay? response:	He's carefree sometimes yet serious at times, what kind of person is Gin-senpai?
context: Yeah, a little more.\A little more?\Is this enough?\A little more?\I'll help too!\You're still small so forget about it.\Wait till you get taller, okay?\He's carefree sometimes yet serious at times, what kind of person is Gin-senpai? response:	Still not high enough?
context: A little more?\Is this enough?\A little more?\I'll help too!\You're still small so forget about it.\Wait till you get taller, okay?\He's carefree sometimes yet serious at times, what kind of person is Gin-senpai?\Still not high enough? response:	Okay, stay like that.
context: Is this enough?\A little more?\I'll help too!\You're still small so forget about it.\Wait till you get taller, okay?\He's carefree sometimes yet serious at times, what kind of person is Gin-senpai?\Still not high enough?\Okay, stay like that. response:	What is he doing?
context: A little more?\I'll help too!\You're still small so forget about it.\Wait till you get taller, okay?\He's carefree sometimes yet serious at times, what kind of person is Gin-senpai?\Still not high enough?\Okay, stay like that.\What is he doing? response:	Kurumu-san, Moka-san, are you guys okay?
context: I'll help too!\You're still small so forget about it.\Wait till you get taller, okay?\He's carefree sometimes yet serious at times, what kind of person is Gin-senpai?\Still not high enough?\Okay, stay like that.\What is he doing?\Kurumu-san, Moka-san, are you guys okay? response:	Are you all right, Kurumu-chan?
context: You're still small so forget about it.\Wait till you get taller, okay?\He's carefree sometimes yet serious at times, what kind of person is Gin-senpai?\Still not high enough?\Okay, stay like that.\What is he doing?\Kurumu-san, Moka-san, are you guys okay?\Are you all right, Kurumu-chan? response:	My breasts are in the way...
context: Wait till you get taller, okay?\He's carefree sometimes yet serious at times, what kind of person is Gin-senpai?\Still not high enough?\Okay, stay like that.\What is he doing?\Kurumu-san, Moka-san, are you guys okay?\Are you all right, Kurumu-chan?\My breasts are in the way... response:	He's peeping at their panties!
context: He's carefree sometimes yet serious at times, what kind of person is Gin-senpai?\Still not high enough?\Okay, stay like that.\What is he doing?\Kurumu-san, Moka-san, are you guys okay?\Are you all right, Kurumu-chan?\My breasts are in the way...\He's peeping at their panties! response:	What are you doing, Senpai?!
context: Still not high enough?\Okay, stay like that.\What is he doing?\Kurumu-san, Moka-san, are you guys okay?\Are you all right, Kurumu-chan?\My breasts are in the way...\He's peeping at their panties!\What are you doing, Senpai?! response:	Stop it!
context: Okay, stay like that.\What is he doing?\Kurumu-san, Moka-san, are you guys okay?\Are you all right, Kurumu-chan?\My breasts are in the way...\He's peeping at their panties!\What are you doing, Senpai?!\Stop it! response:	What are you talking about?
context: What is he doing?\Kurumu-san, Moka-san, are you guys okay?\Are you all right, Kurumu-chan?\My breasts are in the way...\He's peeping at their panties!\What are you doing, Senpai?!\Stop it!\What are you talking about? response:	Don't play dumb with me, you peeped under their skirts just now, right?
context: Kurumu-san, Moka-san, are you guys okay?\Are you all right, Kurumu-chan?\My breasts are in the way...\He's peeping at their panties!\What are you doing, Senpai?!\Stop it!\What are you talking about?\Don't play dumb with me, you peeped under their skirts just now, right? response:	Are you an idiot?
context: Are you all right, Kurumu-chan?\My breasts are in the way...\He's peeping at their panties!\What are you doing, Senpai?!\Stop it!\What are you talking about?\Don't play dumb with me, you peeped under their skirts just now, right?\Are you an idiot? response:	Do you think a person like me would do such a shameless thing?
context: My breasts are in the way...\He's peeping at their panties!\What are you doing, Senpai?!\Stop it!\What are you talking about?\Don't play dumb with me, you peeped under their skirts just now, right?\Are you an idiot?\Do you think a person like me would do such a shameless thing? response:	What's wrong?
context: He's peeping at their panties!\What are you doing, Senpai?!\Stop it!\What are you talking about?\Don't play dumb with me, you peeped under their skirts just now, right?\Are you an idiot?\Do you think a person like me would do such a shameless thing?\What's wrong? response:	Nothing, he said that he saw your panties.
context: What are you doing, Senpai?!\Stop it!\What are you talking about?\Don't play dumb with me, you peeped under their skirts just now, right?\Are you an idiot?\Do you think a person like me would do such a shameless thing?\What's wrong?\Nothing, he said that he saw your panties. response:	Eh?
context: Stop it!\What are you talking about?\Don't play dumb with me, you peeped under their skirts just now, right?\Are you an idiot?\Do you think a person like me would do such a shameless thing?\What's wrong?\Nothing, he said that he saw your panties.\Eh? response:	Isn't that you, Senpai?
context: What are you talking about?\Don't play dumb with me, you peeped under their skirts just now, right?\Are you an idiot?\Do you think a person like me would do such a shameless thing?\What's wrong?\Nothing, he said that he saw your panties.\Eh?\Isn't that you, Senpai? response:	Tsukune!
context: Don't play dumb with me, you peeped under their skirts just now, right?\Are you an idiot?\Do you think a person like me would do such a shameless thing?\What's wrong?\Nothing, he said that he saw your panties.\Eh?\Isn't that you, Senpai?\Tsukune! response:	Wait, it's a misunderstanding.
context: Are you an idiot?\Do you think a person like me would do such a shameless thing?\What's wrong?\Nothing, he said that he saw your panties.\Eh?\Isn't that you, Senpai?\Tsukune!\Wait, it's a misunderstanding. response:	I did see, but it's all because...
context: Do you think a person like me would do such a shameless thing?\What's wrong?\Nothing, he said that he saw your panties.\Eh?\Isn't that you, Senpai?\Tsukune!\Wait, it's a misunderstanding.\I did see, but it's all because... response:	What an idiot he is.
context: What's wrong?\Nothing, he said that he saw your panties.\Eh?\Isn't that you, Senpai?\Tsukune!\Wait, it's a misunderstanding.\I did see, but it's all because...\What an idiot he is. response:	Sorry, I did that subconsciously.
context: Nothing, he said that he saw your panties.\Eh?\Isn't that you, Senpai?\Tsukune!\Wait, it's a misunderstanding.\I did see, but it's all because...\What an idiot he is.\Sorry, I did that subconsciously. response:	It must hurt but I won't pity you.
context: Eh?\Isn't that you, Senpai?\Tsukune!\Wait, it's a misunderstanding.\I did see, but it's all because...\What an idiot he is.\Sorry, I did that subconsciously.\It must hurt but I won't pity you. response:	Yeah, if you want to see it, then just tell me.
context: Isn't that you, Senpai?\Tsukune!\Wait, it's a misunderstanding.\I did see, but it's all because...\What an idiot he is.\Sorry, I did that subconsciously.\It must hurt but I won't pity you.\Yeah, if you want to see it, then just tell me. response:	Kurumu-chan, that's not the case!
context: Tsukune!\Wait, it's a misunderstanding.\I did see, but it's all because...\What an idiot he is.\Sorry, I did that subconsciously.\It must hurt but I won't pity you.\Yeah, if you want to see it, then just tell me.\Kurumu-chan, that's not the case! response:	Wait a minute, Moka-san!
context: Wait, it's a misunderstanding.\I did see, but it's all because...\What an idiot he is.\Sorry, I did that subconsciously.\It must hurt but I won't pity you.\Yeah, if you want to see it, then just tell me.\Kurumu-chan, that's not the case!\Wait a minute, Moka-san! response:	I hate perverts!
context: I did see, but it's all because...\What an idiot he is.\Sorry, I did that subconsciously.\It must hurt but I won't pity you.\Yeah, if you want to see it, then just tell me.\Kurumu-chan, that's not the case!\Wait a minute, Moka-san!\I hate perverts! response:	You're really dumb.
context: What an idiot he is.\Sorry, I did that subconsciously.\It must hurt but I won't pity you.\Yeah, if you want to see it, then just tell me.\Kurumu-chan, that's not the case!\Wait a minute, Moka-san!\I hate perverts!\You're really dumb. response:	Thanks to you, the club activity has stopped.
context: Sorry, I did that subconsciously.\It must hurt but I won't pity you.\Yeah, if you want to see it, then just tell me.\Kurumu-chan, that's not the case!\Wait a minute, Moka-san!\I hate perverts!\You're really dumb.\Thanks to you, the club activity has stopped. response:	Moka-san!
context: It must hurt but I won't pity you.\Yeah, if you want to see it, then just tell me.\Kurumu-chan, that's not the case!\Wait a minute, Moka-san!\I hate perverts!\You're really dumb.\Thanks to you, the club activity has stopped.\Moka-san! response:	Geez, did he really see it?
context: Yeah, if you want to see it, then just tell me.\Kurumu-chan, that's not the case!\Wait a minute, Moka-san!\I hate perverts!\You're really dumb.\Thanks to you, the club activity has stopped.\Moka-san!\Geez, did he really see it? response:	This is so embarrassing.
context: Kurumu-chan, that's not the case!\Wait a minute, Moka-san!\I hate perverts!\You're really dumb.\Thanks to you, the club activity has stopped.\Moka-san!\Geez, did he really see it?\This is so embarrassing. response:	Which one am I wearing today...?
context: Wait a minute, Moka-san!\I hate perverts!\You're really dumb.\Thanks to you, the club activity has stopped.\Moka-san!\Geez, did he really see it?\This is so embarrassing.\Which one am I wearing today...? response:	What are you doing?
context: I hate perverts!\You're really dumb.\Thanks to you, the club activity has stopped.\Moka-san!\Geez, did he really see it?\This is so embarrassing.\Which one am I wearing today...?\What are you doing? response:	You'd better be careful.
