context: So that guy, Hazamada, says response:	he doesn't know anything about the electric bastard
context: Koichi!\I'm just going to come out and say it.\Koichi...\I'm in love with you, Koichi.\Huh?\What?!\U-Um... Uh, um... Wh-What?!\You're the only thing I think about all day, Koichi. response:	I've been so afraid to express these feelings...
context: I'm just going to come out and say it.\Koichi...\I'm in love with you, Koichi.\Huh?\What?!\U-Um... Uh, um... Wh-What?!\You're the only thing I think about all day, Koichi.\I've been so afraid to express these feelings... response:	But if I don't, I feel like my chest is going to burst.
context: Koichi...\I'm in love with you, Koichi.\Huh?\What?!\U-Um... Uh, um... Wh-What?!\You're the only thing I think about all day, Koichi.\I've been so afraid to express these feelings...\But if I don't, I feel like my chest is going to burst. response:	I don't mind if you hate me.
context: I'm in love with you, Koichi.\Huh?\What?!\U-Um... Uh, um... Wh-What?!\You're the only thing I think about all day, Koichi.\I've been so afraid to express these feelings...\But if I don't, I feel like my chest is going to burst.\I don't mind if you hate me. response:	I just thought I'd be brave and tell you.
context: Huh?\What?!\U-Um... Uh, um... Wh-What?!\You're the only thing I think about all day, Koichi.\I've been so afraid to express these feelings...\But if I don't, I feel like my chest is going to burst.\I don't mind if you hate me.\I just thought I'd be brave and tell you. response:	Wh-What is going on? Did someone just confess her love to me?!
context: What?!\U-Um... Uh, um... Wh-What?!\You're the only thing I think about all day, Koichi.\I've been so afraid to express these feelings...\But if I don't, I feel like my chest is going to burst.\I don't mind if you hate me.\I just thought I'd be brave and tell you.\Wh-What is going on? Did someone just confess her love to me?! response:	To me?!
context: U-Um... Uh, um... Wh-What?!\You're the only thing I think about all day, Koichi.\I've been so afraid to express these feelings...\But if I don't, I feel like my chest is going to burst.\I don't mind if you hate me.\I just thought I'd be brave and tell you.\Wh-What is going on? Did someone just confess her love to me?!\To me?! response:	I can't believe it, but she did just say that, right?
context: You're the only thing I think about all day, Koichi.\I've been so afraid to express these feelings...\But if I don't, I feel like my chest is going to burst.\I don't mind if you hate me.\I just thought I'd be brave and tell you.\Wh-What is going on? Did someone just confess her love to me?!\To me?!\I can't believe it, but she did just say that, right? response:	I-I'm so happy...
context: I've been so afraid to express these feelings...\But if I don't, I feel like my chest is going to burst.\I don't mind if you hate me.\I just thought I'd be brave and tell you.\Wh-What is going on? Did someone just confess her love to me?!\To me?!\I can't believe it, but she did just say that, right?\I-I'm so happy... response:	Why is it Koichi? You can't be serious! Come on!
context: But if I don't, I feel like my chest is going to burst.\I don't mind if you hate me.\I just thought I'd be brave and tell you.\Wh-What is going on? Did someone just confess her love to me?!\To me?!\I can't believe it, but she did just say that, right?\I-I'm so happy...\Why is it Koichi? You can't be serious! Come on! response:	Even I've never had anyone tell me that!
context: I don't mind if you hate me.\I just thought I'd be brave and tell you.\Wh-What is going on? Did someone just confess her love to me?!\To me?!\I can't believe it, but she did just say that, right?\I-I'm so happy...\Why is it Koichi? You can't be serious! Come on!\Even I've never had anyone tell me that! response:	You don't have to cry about it.
context: I just thought I'd be brave and tell you.\Wh-What is going on? Did someone just confess her love to me?!\To me?!\I can't believe it, but she did just say that, right?\I-I'm so happy...\Why is it Koichi? You can't be serious! Come on!\Even I've never had anyone tell me that!\You don't have to cry about it. response:	But seriously? I'm surprised, Koichi...
context: Wh-What is going on? Did someone just confess her love to me?!\To me?!\I can't believe it, but she did just say that, right?\I-I'm so happy...\Why is it Koichi? You can't be serious! Come on!\Even I've never had anyone tell me that!\You don't have to cry about it.\But seriously? I'm surprised, Koichi... response:	I'm sure that you must have a girlfriend, Koichi...
context: To me?!\I can't believe it, but she did just say that, right?\I-I'm so happy...\Why is it Koichi? You can't be serious! Come on!\Even I've never had anyone tell me that!\You don't have to cry about it.\But seriously? I'm surprised, Koichi...\I'm sure that you must have a girlfriend, Koichi... response:	Huh? I-I don't...
context: I can't believe it, but she did just say that, right?\I-I'm so happy...\Why is it Koichi? You can't be serious! Come on!\Even I've never had anyone tell me that!\You don't have to cry about it.\But seriously? I'm surprised, Koichi...\I'm sure that you must have a girlfriend, Koichi...\Huh? I-I don't... response:	But, um... Are you making fun of me?
context: I-I'm so happy...\Why is it Koichi? You can't be serious! Come on!\Even I've never had anyone tell me that!\You don't have to cry about it.\But seriously? I'm surprised, Koichi...\I'm sure that you must have a girlfriend, Koichi...\Huh? I-I don't...\But, um... Are you making fun of me? response:	I'm serious!
context: Why is it Koichi? You can't be serious! Come on!\Even I've never had anyone tell me that!\You don't have to cry about it.\But seriously? I'm surprised, Koichi...\I'm sure that you must have a girlfriend, Koichi...\Huh? I-I don't...\But, um... Are you making fun of me?\I'm serious! response:	Koichi, your face has gotten sharper lately.
context: Even I've never had anyone tell me that!\You don't have to cry about it.\But seriously? I'm surprised, Koichi...\I'm sure that you must have a girlfriend, Koichi...\Huh? I-I don't...\But, um... Are you making fun of me?\I'm serious!\Koichi, your face has gotten sharper lately. response:	You look like a man with courage and conviction.
context: You don't have to cry about it.\But seriously? I'm surprised, Koichi...\I'm sure that you must have a girlfriend, Koichi...\Huh? I-I don't...\But, um... Are you making fun of me?\I'm serious!\Koichi, your face has gotten sharper lately.\You look like a man with courage and conviction. response:	But you're also so cute when you smile.
context: But seriously? I'm surprised, Koichi...\I'm sure that you must have a girlfriend, Koichi...\Huh? I-I don't...\But, um... Are you making fun of me?\I'm serious!\Koichi, your face has gotten sharper lately.\You look like a man with courage and conviction.\But you're also so cute when you smile. response:	Yeah, she's definitely got a point.
context: I'm sure that you must have a girlfriend, Koichi...\Huh? I-I don't...\But, um... Are you making fun of me?\I'm serious!\Koichi, your face has gotten sharper lately.\You look like a man with courage and conviction.\But you're also so cute when you smile.\Yeah, she's definitely got a point. response:	My face is pretty sharp too, isn't it?
context: Huh? I-I don't...\But, um... Are you making fun of me?\I'm serious!\Koichi, your face has gotten sharper lately.\You look like a man with courage and conviction.\But you're also so cute when you smile.\Yeah, she's definitely got a point.\My face is pretty sharp too, isn't it? response:	I think the best thing about a man is his future.
context: But, um... Are you making fun of me?\I'm serious!\Koichi, your face has gotten sharper lately.\You look like a man with courage and conviction.\But you're also so cute when you smile.\Yeah, she's definitely got a point.\My face is pretty sharp too, isn't it?\I think the best thing about a man is his future. response:	And Koichi, your future is shining.
context: I'm serious!\Koichi, your face has gotten sharper lately.\You look like a man with courage and conviction.\But you're also so cute when you smile.\Yeah, she's definitely got a point.\My face is pretty sharp too, isn't it?\I think the best thing about a man is his future.\And Koichi, your future is shining. response:	Wh-When you speak that highly of me...
context: Koichi, your face has gotten sharper lately.\You look like a man with courage and conviction.\But you're also so cute when you smile.\Yeah, she's definitely got a point.\My face is pretty sharp too, isn't it?\I think the best thing about a man is his future.\And Koichi, your future is shining.\Wh-When you speak that highly of me... response:	I'm sure you must hate girls like me that aren't cute.
context: You look like a man with courage and conviction.\But you're also so cute when you smile.\Yeah, she's definitely got a point.\My face is pretty sharp too, isn't it?\I think the best thing about a man is his future.\And Koichi, your future is shining.\Wh-When you speak that highly of me...\I'm sure you must hate girls like me that aren't cute. response:	Huh? Not cute? That's not true...
context: But you're also so cute when you smile.\Yeah, she's definitely got a point.\My face is pretty sharp too, isn't it?\I think the best thing about a man is his future.\And Koichi, your future is shining.\Wh-When you speak that highly of me...\I'm sure you must hate girls like me that aren't cute.\Huh? Not cute? That's not true... response:	Damn it, she is cute!
context: Yeah, she's definitely got a point.\My face is pretty sharp too, isn't it?\I think the best thing about a man is his future.\And Koichi, your future is shining.\Wh-When you speak that highly of me...\I'm sure you must hate girls like me that aren't cute.\Huh? Not cute? That's not true...\Damn it, she is cute! response:	Just say yes already!
context: My face is pretty sharp too, isn't it?\I think the best thing about a man is his future.\And Koichi, your future is shining.\Wh-When you speak that highly of me...\I'm sure you must hate girls like me that aren't cute.\Huh? Not cute? That's not true...\Damn it, she is cute!\Just say yes already! response:	That bastard has all the luck!
context: I think the best thing about a man is his future.\And Koichi, your future is shining.\Wh-When you speak that highly of me...\I'm sure you must hate girls like me that aren't cute.\Huh? Not cute? That's not true...\Damn it, she is cute!\Just say yes already!\That bastard has all the luck! response:	Do you hate me?
context: And Koichi, your future is shining.\Wh-When you speak that highly of me...\I'm sure you must hate girls like me that aren't cute.\Huh? Not cute? That's not true...\Damn it, she is cute!\Just say yes already!\That bastard has all the luck!\Do you hate me? response:	Huh? Uh, n-no, I don't, but...
context: Wh-When you speak that highly of me...\I'm sure you must hate girls like me that aren't cute.\Huh? Not cute? That's not true...\Damn it, she is cute!\Just say yes already!\That bastard has all the luck!\Do you hate me?\Huh? Uh, n-no, I don't, but... response:	Then do you love me?
context: I'm sure you must hate girls like me that aren't cute.\Huh? Not cute? That's not true...\Damn it, she is cute!\Just say yes already!\That bastard has all the luck!\Do you hate me?\Huh? Uh, n-no, I don't, but...\Then do you love me? response:	Huh? Wait a sec... It's just that, um...
context: Huh? Not cute? That's not true...\Damn it, she is cute!\Just say yes already!\That bastard has all the luck!\Do you hate me?\Huh? Uh, n-no, I don't, but...\Then do you love me?\Huh? Wait a sec... It's just that, um... response:	So you do hate me...
context: Damn it, she is cute!\Just say yes already!\That bastard has all the luck!\Do you hate me?\Huh? Uh, n-no, I don't, but...\Then do you love me?\Huh? Wait a sec... It's just that, um...\So you do hate me... response:	Huh? That's not it!
context: Just say yes already!\That bastard has all the luck!\Do you hate me?\Huh? Uh, n-no, I don't, but...\Then do you love me?\Huh? Wait a sec... It's just that, um...\So you do hate me...\Huh? That's not it! response:	It's just, when you ask me that so suddenly
context: That bastard has all the luck!\Do you hate me?\Huh? Uh, n-no, I don't, but...\Then do you love me?\Huh? Wait a sec... It's just that, um...\So you do hate me...\Huh? That's not it!\It's just, when you ask me that so suddenly response:	Which is it?! Do you love me or don't you?!
context: Do you hate me?\Huh? Uh, n-no, I don't, but...\Then do you love me?\Huh? Wait a sec... It's just that, um...\So you do hate me...\Huh? That's not it!\It's just, when you ask me that so suddenly\Which is it?! Do you love me or don't you?! response:	Just answer me already! I've already told you so much!
context: Huh? Uh, n-no, I don't, but...\Then do you love me?\Huh? Wait a sec... It's just that, um...\So you do hate me...\Huh? That's not it!\It's just, when you ask me that so suddenly\Which is it?! Do you love me or don't you?!\Just answer me already! I've already told you so much! response:	I spilled my coffee! This is all your fault!
context: Then do you love me?\Huh? Wait a sec... It's just that, um...\So you do hate me...\Huh? That's not it!\It's just, when you ask me that so suddenly\Which is it?! Do you love me or don't you?!\Just answer me already! I've already told you so much!\I spilled my coffee! This is all your fault! response:	Um... I just got all worked up... I-I'm sorry. I'm just...
context: Huh? Wait a sec... It's just that, um...\So you do hate me...\Huh? That's not it!\It's just, when you ask me that so suddenly\Which is it?! Do you love me or don't you?!\Just answer me already! I've already told you so much!\I spilled my coffee! This is all your fault!\Um... I just got all worked up... I-I'm sorry. I'm just... response:	By the way, you will come see me again, right?
context: So you do hate me...\Huh? That's not it!\It's just, when you ask me that so suddenly\Which is it?! Do you love me or don't you?!\Just answer me already! I've already told you so much!\I spilled my coffee! This is all your fault!\Um... I just got all worked up... I-I'm sorry. I'm just...\By the way, you will come see me again, right? response:	Y-You know... I feel like a balloon that's been deflated.
context: Huh? That's not it!\It's just, when you ask me that so suddenly\Which is it?! Do you love me or don't you?!\Just answer me already! I've already told you so much!\I spilled my coffee! This is all your fault!\Um... I just got all worked up... I-I'm sorry. I'm just...\By the way, you will come see me again, right?\Y-You know... I feel like a balloon that's been deflated. response:	All my jealousy just flew away somewhere.
context: It's just, when you ask me that so suddenly\Which is it?! Do you love me or don't you?!\Just answer me already! I've already told you so much!\I spilled my coffee! This is all your fault!\Um... I just got all worked up... I-I'm sorry. I'm just...\By the way, you will come see me again, right?\Y-You know... I feel like a balloon that's been deflated.\All my jealousy just flew away somewhere. response:	Y-Yeah...
context: Which is it?! Do you love me or don't you?!\Just answer me already! I've already told you so much!\I spilled my coffee! This is all your fault!\Um... I just got all worked up... I-I'm sorry. I'm just...\By the way, you will come see me again, right?\Y-You know... I feel like a balloon that's been deflated.\All my jealousy just flew away somewhere.\Y-Yeah... response:	Let's just pretend we never saw anything.
context: Just answer me already! I've already told you so much!\I spilled my coffee! This is all your fault!\Um... I just got all worked up... I-I'm sorry. I'm just...\By the way, you will come see me again, right?\Y-You know... I feel like a balloon that's been deflated.\All my jealousy just flew away somewhere.\Y-Yeah...\Let's just pretend we never saw anything. response:	Yeah.
context: I spilled my coffee! This is all your fault!\Um... I just got all worked up... I-I'm sorry. I'm just...\By the way, you will come see me again, right?\Y-You know... I feel like a balloon that's been deflated.\All my jealousy just flew away somewhere.\Y-Yeah...\Let's just pretend we never saw anything.\Yeah. response:	What's wrong with this cola?!
