context: That night Nana took Misato by the hand response:	and left the flat without saying a word.
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	- Yes. - It's me.
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\- Yes. - It's me. response:	What is it, so early in the morning?
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\- Yes. - It's me.\What is it, so early in the morning? response:	Same goes for you. What's up with that outfit?
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\- Yes. - It's me.\What is it, so early in the morning?\Same goes for you. What's up with that outfit? response:	Are you going to work already?
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\- Yes. - It's me.\What is it, so early in the morning?\Same goes for you. What's up with that outfit?\Are you going to work already? response:	No, I came back from work and continued working.
context: I wanna need your love\I'm a broken rose\I wanna need your love\- Yes. - It's me.\What is it, so early in the morning?\Same goes for you. What's up with that outfit?\Are you going to work already?\No, I came back from work and continued working. response:	Work? But it was a public holiday. Law firms can be really busy, huh?
context: I'm a broken rose\I wanna need your love\- Yes. - It's me.\What is it, so early in the morning?\Same goes for you. What's up with that outfit?\Are you going to work already?\No, I came back from work and continued working.\Work? But it was a public holiday. Law firms can be really busy, huh? response:	When do you get any sleep?
context: I wanna need your love\- Yes. - It's me.\What is it, so early in the morning?\Same goes for you. What's up with that outfit?\Are you going to work already?\No, I came back from work and continued working.\Work? But it was a public holiday. Law firms can be really busy, huh?\When do you get any sleep? response:	I was gonna take a nap before going back to work.
context: - Yes. - It's me.\What is it, so early in the morning?\Same goes for you. What's up with that outfit?\Are you going to work already?\No, I came back from work and continued working.\Work? But it was a public holiday. Law firms can be really busy, huh?\When do you get any sleep?\I was gonna take a nap before going back to work. response:	I'm coming in.
context: What is it, so early in the morning?\Same goes for you. What's up with that outfit?\Are you going to work already?\No, I came back from work and continued working.\Work? But it was a public holiday. Law firms can be really busy, huh?\When do you get any sleep?\I was gonna take a nap before going back to work.\I'm coming in. response:	What are you doing here?
context: Same goes for you. What's up with that outfit?\Are you going to work already?\No, I came back from work and continued working.\Work? But it was a public holiday. Law firms can be really busy, huh?\When do you get any sleep?\I was gonna take a nap before going back to work.\I'm coming in.\What are you doing here? response:	I was hanging out with Misato in her hotel room,
context: Are you going to work already?\No, I came back from work and continued working.\Work? But it was a public holiday. Law firms can be really busy, huh?\When do you get any sleep?\I was gonna take a nap before going back to work.\I'm coming in.\What are you doing here?\I was hanging out with Misato in her hotel room, response:	but a single bed just isn't big enough for two people.
context: No, I came back from work and continued working.\Work? But it was a public holiday. Law firms can be really busy, huh?\When do you get any sleep?\I was gonna take a nap before going back to work.\I'm coming in.\What are you doing here?\I was hanging out with Misato in her hotel room,\but a single bed just isn't big enough for two people. response:	That girl's still here? What about school?
context: Work? But it was a public holiday. Law firms can be really busy, huh?\When do you get any sleep?\I was gonna take a nap before going back to work.\I'm coming in.\What are you doing here?\I was hanging out with Misato in her hotel room,\but a single bed just isn't big enough for two people.\That girl's still here? What about school? response:	She says her school is full of floozies
context: When do you get any sleep?\I was gonna take a nap before going back to work.\I'm coming in.\What are you doing here?\I was hanging out with Misato in her hotel room,\but a single bed just isn't big enough for two people.\That girl's still here? What about school?\She says her school is full of floozies response:	and she has no real friends, so she doesn't wanna go.
context: I was gonna take a nap before going back to work.\I'm coming in.\What are you doing here?\I was hanging out with Misato in her hotel room,\but a single bed just isn't big enough for two people.\That girl's still here? What about school?\She says her school is full of floozies\and she has no real friends, so she doesn't wanna go. response:	But her parents must be worried.
context: I'm coming in.\What are you doing here?\I was hanging out with Misato in her hotel room,\but a single bed just isn't big enough for two people.\That girl's still here? What about school?\She says her school is full of floozies\and she has no real friends, so she doesn't wanna go.\But her parents must be worried. response:	That girl looks like the princess-type from a wealthy family, after all.
context: What are you doing here?\I was hanging out with Misato in her hotel room,\but a single bed just isn't big enough for two people.\That girl's still here? What about school?\She says her school is full of floozies\and she has no real friends, so she doesn't wanna go.\But her parents must be worried.\That girl looks like the princess-type from a wealthy family, after all. response:	Actually, I hear they don't really care. It's like what Shin was saying.
context: I was hanging out with Misato in her hotel room,\but a single bed just isn't big enough for two people.\That girl's still here? What about school?\She says her school is full of floozies\and she has no real friends, so she doesn't wanna go.\But her parents must be worried.\That girl looks like the princess-type from a wealthy family, after all.\Actually, I hear they don't really care. It's like what Shin was saying. response:	Maybe she'll end up running away from home.
context: but a single bed just isn't big enough for two people.\That girl's still here? What about school?\She says her school is full of floozies\and she has no real friends, so she doesn't wanna go.\But her parents must be worried.\That girl looks like the princess-type from a wealthy family, after all.\Actually, I hear they don't really care. It's like what Shin was saying.\Maybe she'll end up running away from home. response:	Shin... He's becoming quite a handful.
context: That girl's still here? What about school?\She says her school is full of floozies\and she has no real friends, so she doesn't wanna go.\But her parents must be worried.\That girl looks like the princess-type from a wealthy family, after all.\Actually, I hear they don't really care. It's like what Shin was saying.\Maybe she'll end up running away from home.\Shin... He's becoming quite a handful. response:	I just hope he doesn't get in trouble.
context: She says her school is full of floozies\and she has no real friends, so she doesn't wanna go.\But her parents must be worried.\That girl looks like the princess-type from a wealthy family, after all.\Actually, I hear they don't really care. It's like what Shin was saying.\Maybe she'll end up running away from home.\Shin... He's becoming quite a handful.\I just hope he doesn't get in trouble. response:	He's taken on a different appearance as of late.
context: and she has no real friends, so she doesn't wanna go.\But her parents must be worried.\That girl looks like the princess-type from a wealthy family, after all.\Actually, I hear they don't really care. It's like what Shin was saying.\Maybe she'll end up running away from home.\Shin... He's becoming quite a handful.\I just hope he doesn't get in trouble.\He's taken on a different appearance as of late. response:	Talk about appearance, Yasu.
context: But her parents must be worried.\That girl looks like the princess-type from a wealthy family, after all.\Actually, I hear they don't really care. It's like what Shin was saying.\Maybe she'll end up running away from home.\Shin... He's becoming quite a handful.\I just hope he doesn't get in trouble.\He's taken on a different appearance as of late.\Talk about appearance, Yasu. response:	I've been thinking for some time now...
context: That girl looks like the princess-type from a wealthy family, after all.\Actually, I hear they don't really care. It's like what Shin was saying.\Maybe she'll end up running away from home.\Shin... He's becoming quite a handful.\I just hope he doesn't get in trouble.\He's taken on a different appearance as of late.\Talk about appearance, Yasu.\I've been thinking for some time now... response:	you've got this frightening look without your sunglasses.
context: Actually, I hear they don't really care. It's like what Shin was saying.\Maybe she'll end up running away from home.\Shin... He's becoming quite a handful.\I just hope he doesn't get in trouble.\He's taken on a different appearance as of late.\Talk about appearance, Yasu.\I've been thinking for some time now...\you've got this frightening look without your sunglasses. response:	Shut up.
context: Maybe she'll end up running away from home.\Shin... He's becoming quite a handful.\I just hope he doesn't get in trouble.\He's taken on a different appearance as of late.\Talk about appearance, Yasu.\I've been thinking for some time now...\you've got this frightening look without your sunglasses.\Shut up. response:	Usually it's the other way around.
context: Shin... He's becoming quite a handful.\I just hope he doesn't get in trouble.\He's taken on a different appearance as of late.\Talk about appearance, Yasu.\I've been thinking for some time now...\you've got this frightening look without your sunglasses.\Shut up.\Usually it's the other way around. response:	Either way, it's not the look of a lawyer.
context: I just hope he doesn't get in trouble.\He's taken on a different appearance as of late.\Talk about appearance, Yasu.\I've been thinking for some time now...\you've got this frightening look without your sunglasses.\Shut up.\Usually it's the other way around.\Either way, it's not the look of a lawyer. response:	Nana... If you're gonna sleep, go sleep at your own place.
context: He's taken on a different appearance as of late.\Talk about appearance, Yasu.\I've been thinking for some time now...\you've got this frightening look without your sunglasses.\Shut up.\Usually it's the other way around.\Either way, it's not the look of a lawyer.\Nana... If you're gonna sleep, go sleep at your own place. response:	Wanna sleep with me?
context: Talk about appearance, Yasu.\I've been thinking for some time now...\you've got this frightening look without your sunglasses.\Shut up.\Usually it's the other way around.\Either way, it's not the look of a lawyer.\Nana... If you're gonna sleep, go sleep at your own place.\Wanna sleep with me? response:	What are you saying?
context: I've been thinking for some time now...\you've got this frightening look without your sunglasses.\Shut up.\Usually it's the other way around.\Either way, it's not the look of a lawyer.\Nana... If you're gonna sleep, go sleep at your own place.\Wanna sleep with me?\What are you saying? response:	Don't mess with me.
context: you've got this frightening look without your sunglasses.\Shut up.\Usually it's the other way around.\Either way, it's not the look of a lawyer.\Nana... If you're gonna sleep, go sleep at your own place.\Wanna sleep with me?\What are you saying?\Don't mess with me. response:	Then I'm leaving.
context: Shut up.\Usually it's the other way around.\Either way, it's not the look of a lawyer.\Nana... If you're gonna sleep, go sleep at your own place.\Wanna sleep with me?\What are you saying?\Don't mess with me.\Then I'm leaving. response:	Wait.
context: Usually it's the other way around.\Either way, it's not the look of a lawyer.\Nana... If you're gonna sleep, go sleep at your own place.\Wanna sleep with me?\What are you saying?\Don't mess with me.\Then I'm leaving.\Wait. response:	You wanted to talk to me about something, didn't you?
context: Either way, it's not the look of a lawyer.\Nana... If you're gonna sleep, go sleep at your own place.\Wanna sleep with me?\What are you saying?\Don't mess with me.\Then I'm leaving.\Wait.\You wanted to talk to me about something, didn't you? response:	What happened?
context: Nana... If you're gonna sleep, go sleep at your own place.\Wanna sleep with me?\What are you saying?\Don't mess with me.\Then I'm leaving.\Wait.\You wanted to talk to me about something, didn't you?\What happened? response:	Sorry for coming without a reason. Good night.
context: Wanna sleep with me?\What are you saying?\Don't mess with me.\Then I'm leaving.\Wait.\You wanted to talk to me about something, didn't you?\What happened?\Sorry for coming without a reason. Good night. response:	Nana!
context: What are you saying?\Don't mess with me.\Then I'm leaving.\Wait.\You wanted to talk to me about something, didn't you?\What happened?\Sorry for coming without a reason. Good night.\Nana! response:	I return to work today, so I'd better get some sleep.
context: Don't mess with me.\Then I'm leaving.\Wait.\You wanted to talk to me about something, didn't you?\What happened?\Sorry for coming without a reason. Good night.\Nana!\I return to work today, so I'd better get some sleep. response:	Or so I thought, but I couldn't get any sleep.
context: Then I'm leaving.\Wait.\You wanted to talk to me about something, didn't you?\What happened?\Sorry for coming without a reason. Good night.\Nana!\I return to work today, so I'd better get some sleep.\Or so I thought, but I couldn't get any sleep. response:	Nana!
context: Wait.\You wanted to talk to me about something, didn't you?\What happened?\Sorry for coming without a reason. Good night.\Nana!\I return to work today, so I'd better get some sleep.\Or so I thought, but I couldn't get any sleep.\Nana! response:	I'm sorry.
context: You wanted to talk to me about something, didn't you?\What happened?\Sorry for coming without a reason. Good night.\Nana!\I return to work today, so I'd better get some sleep.\Or so I thought, but I couldn't get any sleep.\Nana!\I'm sorry. response:	I didn't mean to say the things I said.
context: What happened?\Sorry for coming without a reason. Good night.\Nana!\I return to work today, so I'd better get some sleep.\Or so I thought, but I couldn't get any sleep.\Nana!\I'm sorry.\I didn't mean to say the things I said. response:	Just, some things happened,
context: Sorry for coming without a reason. Good night.\Nana!\I return to work today, so I'd better get some sleep.\Or so I thought, but I couldn't get any sleep.\Nana!\I'm sorry.\I didn't mean to say the things I said.\Just, some things happened, response:	and I was irritated, and I guess I took it out on you.
context: Nana!\I return to work today, so I'd better get some sleep.\Or so I thought, but I couldn't get any sleep.\Nana!\I'm sorry.\I didn't mean to say the things I said.\Just, some things happened,\and I was irritated, and I guess I took it out on you. response:	I'm really sorry.
context: I return to work today, so I'd better get some sleep.\Or so I thought, but I couldn't get any sleep.\Nana!\I'm sorry.\I didn't mean to say the things I said.\Just, some things happened,\and I was irritated, and I guess I took it out on you.\I'm really sorry. response:	Are you mad at me?
context: Or so I thought, but I couldn't get any sleep.\Nana!\I'm sorry.\I didn't mean to say the things I said.\Just, some things happened,\and I was irritated, and I guess I took it out on you.\I'm really sorry.\Are you mad at me? response:	I'm not mad, really.
context: Nana!\I'm sorry.\I didn't mean to say the things I said.\Just, some things happened,\and I was irritated, and I guess I took it out on you.\I'm really sorry.\Are you mad at me?\I'm not mad, really. response:	Just like you said, I got carried away and just did as I wanted.
context: I'm sorry.\I didn't mean to say the things I said.\Just, some things happened,\and I was irritated, and I guess I took it out on you.\I'm really sorry.\Are you mad at me?\I'm not mad, really.\Just like you said, I got carried away and just did as I wanted. response:	Then why didn't you come home until the morning?
context: I didn't mean to say the things I said.\Just, some things happened,\and I was irritated, and I guess I took it out on you.\I'm really sorry.\Are you mad at me?\I'm not mad, really.\Just like you said, I got carried away and just did as I wanted.\Then why didn't you come home until the morning? response:	Nana, you don't carry a cell phone, and I just didn't know what to do.
context: Just, some things happened,\and I was irritated, and I guess I took it out on you.\I'm really sorry.\Are you mad at me?\I'm not mad, really.\Just like you said, I got carried away and just did as I wanted.\Then why didn't you come home until the morning?\Nana, you don't carry a cell phone, and I just didn't know what to do. response:	I kept thinking about it and couldn't get any sleep!
context: and I was irritated, and I guess I took it out on you.\I'm really sorry.\Are you mad at me?\I'm not mad, really.\Just like you said, I got carried away and just did as I wanted.\Then why didn't you come home until the morning?\Nana, you don't carry a cell phone, and I just didn't know what to do.\I kept thinking about it and couldn't get any sleep! response:	Am I your boyfriend or something?!
context: I'm really sorry.\Are you mad at me?\I'm not mad, really.\Just like you said, I got carried away and just did as I wanted.\Then why didn't you come home until the morning?\Nana, you don't carry a cell phone, and I just didn't know what to do.\I kept thinking about it and couldn't get any sleep!\Am I your boyfriend or something?! response:	You're more important to me than a boyfriend.
context: Are you mad at me?\I'm not mad, really.\Just like you said, I got carried away and just did as I wanted.\Then why didn't you come home until the morning?\Nana, you don't carry a cell phone, and I just didn't know what to do.\I kept thinking about it and couldn't get any sleep!\Am I your boyfriend or something?!\You're more important to me than a boyfriend. response:	By the way, what happened to Misato?
context: I'm not mad, really.\Just like you said, I got carried away and just did as I wanted.\Then why didn't you come home until the morning?\Nana, you don't carry a cell phone, and I just didn't know what to do.\I kept thinking about it and couldn't get any sleep!\Am I your boyfriend or something?!\You're more important to me than a boyfriend.\By the way, what happened to Misato? response:	Did she go home?
context: Just like you said, I got carried away and just did as I wanted.\Then why didn't you come home until the morning?\Nana, you don't carry a cell phone, and I just didn't know what to do.\I kept thinking about it and couldn't get any sleep!\Am I your boyfriend or something?!\You're more important to me than a boyfriend.\By the way, what happened to Misato?\Did she go home? response:	No. She's at the hotel sleeping.
context: Then why didn't you come home until the morning?\Nana, you don't carry a cell phone, and I just didn't know what to do.\I kept thinking about it and couldn't get any sleep!\Am I your boyfriend or something?!\You're more important to me than a boyfriend.\By the way, what happened to Misato?\Did she go home?\No. She's at the hotel sleeping. response:	She said that she might go home after she checks out at noon today.
context: Nana, you don't carry a cell phone, and I just didn't know what to do.\I kept thinking about it and couldn't get any sleep!\Am I your boyfriend or something?!\You're more important to me than a boyfriend.\By the way, what happened to Misato?\Did she go home?\No. She's at the hotel sleeping.\She said that she might go home after she checks out at noon today. response:	Is that so? What should I do?
context: I kept thinking about it and couldn't get any sleep!\Am I your boyfriend or something?!\You're more important to me than a boyfriend.\By the way, what happened to Misato?\Did she go home?\No. She's at the hotel sleeping.\She said that she might go home after she checks out at noon today.\Is that so? What should I do? response:	About what?
context: Am I your boyfriend or something?!\You're more important to me than a boyfriend.\By the way, what happened to Misato?\Did she go home?\No. She's at the hotel sleeping.\She said that she might go home after she checks out at noon today.\Is that so? What should I do?\About what? response:	She must think I'm such a bitch. She didn't do anything wrong.
context: You're more important to me than a boyfriend.\By the way, what happened to Misato?\Did she go home?\No. She's at the hotel sleeping.\She said that she might go home after she checks out at noon today.\Is that so? What should I do?\About what?\She must think I'm such a bitch. She didn't do anything wrong. response:	She was having so much fun and I ruined it all.
context: By the way, what happened to Misato?\Did she go home?\No. She's at the hotel sleeping.\She said that she might go home after she checks out at noon today.\Is that so? What should I do?\About what?\She must think I'm such a bitch. She didn't do anything wrong.\She was having so much fun and I ruined it all. response:	I want to apologize.
context: Did she go home?\No. She's at the hotel sleeping.\She said that she might go home after she checks out at noon today.\Is that so? What should I do?\About what?\She must think I'm such a bitch. She didn't do anything wrong.\She was having so much fun and I ruined it all.\I want to apologize. response:	Say, does she have a cell phone?
context: No. She's at the hotel sleeping.\She said that she might go home after she checks out at noon today.\Is that so? What should I do?\About what?\She must think I'm such a bitch. She didn't do anything wrong.\She was having so much fun and I ruined it all.\I want to apologize.\Say, does she have a cell phone? response:	Yeah, she does.
context: She said that she might go home after she checks out at noon today.\Is that so? What should I do?\About what?\She must think I'm such a bitch. She didn't do anything wrong.\She was having so much fun and I ruined it all.\I want to apologize.\Say, does she have a cell phone?\Yeah, she does. response:	Give me her number. I'll give her a call.
context: Is that so? What should I do?\About what?\She must think I'm such a bitch. She didn't do anything wrong.\She was having so much fun and I ruined it all.\I want to apologize.\Say, does she have a cell phone?\Yeah, she does.\Give me her number. I'll give her a call. response:	Sure, but she's likely still asleep, so wait until after noon.
context: About what?\She must think I'm such a bitch. She didn't do anything wrong.\She was having so much fun and I ruined it all.\I want to apologize.\Say, does she have a cell phone?\Yeah, she does.\Give me her number. I'll give her a call.\Sure, but she's likely still asleep, so wait until after noon. response:	Mhm!
context: She must think I'm such a bitch. She didn't do anything wrong.\She was having so much fun and I ruined it all.\I want to apologize.\Say, does she have a cell phone?\Yeah, she does.\Give me her number. I'll give her a call.\Sure, but she's likely still asleep, so wait until after noon.\Mhm! response:	Hold on a moment.
context: She was having so much fun and I ruined it all.\I want to apologize.\Say, does she have a cell phone?\Yeah, she does.\Give me her number. I'll give her a call.\Sure, but she's likely still asleep, so wait until after noon.\Mhm!\Hold on a moment. response:	I have it written down somewhere.
context: I want to apologize.\Say, does she have a cell phone?\Yeah, she does.\Give me her number. I'll give her a call.\Sure, but she's likely still asleep, so wait until after noon.\Mhm!\Hold on a moment.\I have it written down somewhere. response:	Hey, Nana. What time can you make it home today?
context: Say, does she have a cell phone?\Yeah, she does.\Give me her number. I'll give her a call.\Sure, but she's likely still asleep, so wait until after noon.\Mhm!\Hold on a moment.\I have it written down somewhere.\Hey, Nana. What time can you make it home today? response:	Give me some breathing room!
context: Yeah, she does.\Give me her number. I'll give her a call.\Sure, but she's likely still asleep, so wait until after noon.\Mhm!\Hold on a moment.\I have it written down somewhere.\Hey, Nana. What time can you make it home today?\Give me some breathing room! response:	Can we have dinner together?
context: Give me her number. I'll give her a call.\Sure, but she's likely still asleep, so wait until after noon.\Mhm!\Hold on a moment.\I have it written down somewhere.\Hey, Nana. What time can you make it home today?\Give me some breathing room!\Can we have dinner together? response:	That's fine with me, but it'll be like nine tonight.
context: Sure, but she's likely still asleep, so wait until after noon.\Mhm!\Hold on a moment.\I have it written down somewhere.\Hey, Nana. What time can you make it home today?\Give me some breathing room!\Can we have dinner together?\That's fine with me, but it'll be like nine tonight. response:	Then I'll cook something to make it up to you.
context: Mhm!\Hold on a moment.\I have it written down somewhere.\Hey, Nana. What time can you make it home today?\Give me some breathing room!\Can we have dinner together?\That's fine with me, but it'll be like nine tonight.\Then I'll cook something to make it up to you. response:	Here.
context: Hold on a moment.\I have it written down somewhere.\Hey, Nana. What time can you make it home today?\Give me some breathing room!\Can we have dinner together?\That's fine with me, but it'll be like nine tonight.\Then I'll cook something to make it up to you.\Here. response:	Thanks.
context: I have it written down somewhere.\Hey, Nana. What time can you make it home today?\Give me some breathing room!\Can we have dinner together?\That's fine with me, but it'll be like nine tonight.\Then I'll cook something to make it up to you.\Here.\Thanks. response:	I'm off!
context: Hey, Nana. What time can you make it home today?\Give me some breathing room!\Can we have dinner together?\That's fine with me, but it'll be like nine tonight.\Then I'll cook something to make it up to you.\Here.\Thanks.\I'm off! response:	What should I cook for dinner?
context: Give me some breathing room!\Can we have dinner together?\That's fine with me, but it'll be like nine tonight.\Then I'll cook something to make it up to you.\Here.\Thanks.\I'm off!\What should I cook for dinner? response:	I ended up not making those hamburgers last night,
context: Can we have dinner together?\That's fine with me, but it'll be like nine tonight.\Then I'll cook something to make it up to you.\Here.\Thanks.\I'm off!\What should I cook for dinner?\I ended up not making those hamburgers last night, response:	so maybe hamburgers.
context: That's fine with me, but it'll be like nine tonight.\Then I'll cook something to make it up to you.\Here.\Thanks.\I'm off!\What should I cook for dinner?\I ended up not making those hamburgers last night,\so maybe hamburgers. response:	I wonder what that girl made for Shoji.
context: Then I'll cook something to make it up to you.\Here.\Thanks.\I'm off!\What should I cook for dinner?\I ended up not making those hamburgers last night,\so maybe hamburgers.\I wonder what that girl made for Shoji. response:	What are you looking at, Miss Komatsu?
context: Here.\Thanks.\I'm off!\What should I cook for dinner?\I ended up not making those hamburgers last night,\so maybe hamburgers.\I wonder what that girl made for Shoji.\What are you looking at, Miss Komatsu? response:	The office computer is not to be used for playing around.
context: Thanks.\I'm off!\What should I cook for dinner?\I ended up not making those hamburgers last night,\so maybe hamburgers.\I wonder what that girl made for Shoji.\What are you looking at, Miss Komatsu?\The office computer is not to be used for playing around. response:	Y-You're mistaken, Ms. Sakagami. I was thinking about a new project.
context: I'm off!\What should I cook for dinner?\I ended up not making those hamburgers last night,\so maybe hamburgers.\I wonder what that girl made for Shoji.\What are you looking at, Miss Komatsu?\The office computer is not to be used for playing around.\Y-You're mistaken, Ms. Sakagami. I was thinking about a new project. response:	What do you think about having a segment on cooking?
context: What should I cook for dinner?\I ended up not making those hamburgers last night,\so maybe hamburgers.\I wonder what that girl made for Shoji.\What are you looking at, Miss Komatsu?\The office computer is not to be used for playing around.\Y-You're mistaken, Ms. Sakagami. I was thinking about a new project.\What do you think about having a segment on cooking? response:	The readers of our magazine aren't all women!
context: I ended up not making those hamburgers last night,\so maybe hamburgers.\I wonder what that girl made for Shoji.\What are you looking at, Miss Komatsu?\The office computer is not to be used for playing around.\Y-You're mistaken, Ms. Sakagami. I was thinking about a new project.\What do you think about having a segment on cooking?\The readers of our magazine aren't all women! response:	But in this day and age men need to know more about cooking, too.
context: so maybe hamburgers.\I wonder what that girl made for Shoji.\What are you looking at, Miss Komatsu?\The office computer is not to be used for playing around.\Y-You're mistaken, Ms. Sakagami. I was thinking about a new project.\What do you think about having a segment on cooking?\The readers of our magazine aren't all women!\But in this day and age men need to know more about cooking, too. response:	Don't talk back to me. Besides, you don't have the experience
context: I wonder what that girl made for Shoji.\What are you looking at, Miss Komatsu?\The office computer is not to be used for playing around.\Y-You're mistaken, Ms. Sakagami. I was thinking about a new project.\What do you think about having a segment on cooking?\The readers of our magazine aren't all women!\But in this day and age men need to know more about cooking, too.\Don't talk back to me. Besides, you don't have the experience response:	to be talking about new projects.
context: What are you looking at, Miss Komatsu?\The office computer is not to be used for playing around.\Y-You're mistaken, Ms. Sakagami. I was thinking about a new project.\What do you think about having a segment on cooking?\The readers of our magazine aren't all women!\But in this day and age men need to know more about cooking, too.\Don't talk back to me. Besides, you don't have the experience\to be talking about new projects. response:	All you need to do is complete the tasks you've been given.
context: The office computer is not to be used for playing around.\Y-You're mistaken, Ms. Sakagami. I was thinking about a new project.\What do you think about having a segment on cooking?\The readers of our magazine aren't all women!\But in this day and age men need to know more about cooking, too.\Don't talk back to me. Besides, you don't have the experience\to be talking about new projects.\All you need to do is complete the tasks you've been given. response:	What's with her? She's treating me like some servant.
context: Y-You're mistaken, Ms. Sakagami. I was thinking about a new project.\What do you think about having a segment on cooking?\The readers of our magazine aren't all women!\But in this day and age men need to know more about cooking, too.\Don't talk back to me. Besides, you don't have the experience\to be talking about new projects.\All you need to do is complete the tasks you've been given.\What's with her? She's treating me like some servant. response:	Though in a way I am one...
context: What do you think about having a segment on cooking?\The readers of our magazine aren't all women!\But in this day and age men need to know more about cooking, too.\Don't talk back to me. Besides, you don't have the experience\to be talking about new projects.\All you need to do is complete the tasks you've been given.\What's with her? She's treating me like some servant.\Though in a way I am one... response:	Where are you going, Miss Komatsu?!
context: The readers of our magazine aren't all women!\But in this day and age men need to know more about cooking, too.\Don't talk back to me. Besides, you don't have the experience\to be talking about new projects.\All you need to do is complete the tasks you've been given.\What's with her? She's treating me like some servant.\Though in a way I am one...\Where are you going, Miss Komatsu?! response:	I'm going for lunch!
context: But in this day and age men need to know more about cooking, too.\Don't talk back to me. Besides, you don't have the experience\to be talking about new projects.\All you need to do is complete the tasks you've been given.\What's with her? She's treating me like some servant.\Though in a way I am one...\Where are you going, Miss Komatsu?!\I'm going for lunch! response:	I wanna hurry and quit this job.
