context: Good evening, mister. response:	This is the second time we've met like this.
context: How does that thing qualify as a Berserker?\It must be a Heroic Spirit of some renown.\Even in the grip of madness, his sword skills are unblunted.\I cannot help but be impressed.\Archer, fire support.\He's less a mad warrior, and more an embodiment of savagery.\He may be mad, but his ingrained sword techniques haven't left him.\Time to finish this. response:	Crush her, Berserker.
context: It must be a Heroic Spirit of some renown.\Even in the grip of madness, his sword skills are unblunted.\I cannot help but be impressed.\Archer, fire support.\He's less a mad warrior, and more an embodiment of savagery.\He may be mad, but his ingrained sword techniques haven't left him.\Time to finish this.\Crush her, Berserker. response:	I won't let you win!
context: Even in the grip of madness, his sword skills are unblunted.\I cannot help but be impressed.\Archer, fire support.\He's less a mad warrior, and more an embodiment of savagery.\He may be mad, but his ingrained sword techniques haven't left him.\Time to finish this.\Crush her, Berserker.\I won't let you win! response:	Tohsaka!
context: I cannot help but be impressed.\Archer, fire support.\He's less a mad warrior, and more an embodiment of savagery.\He may be mad, but his ingrained sword techniques haven't left him.\Time to finish this.\Crush her, Berserker.\I won't let you win!\Tohsaka! response:	Archer!
context: Archer, fire support.\He's less a mad warrior, and more an embodiment of savagery.\He may be mad, but his ingrained sword techniques haven't left him.\Time to finish this.\Crush her, Berserker.\I won't let you win!\Tohsaka!\Archer! response:	It's immortal?
context: He's less a mad warrior, and more an embodiment of savagery.\He may be mad, but his ingrained sword techniques haven't left him.\Time to finish this.\Crush her, Berserker.\I won't let you win!\Tohsaka!\Archer!\It's immortal? response:	Ignore the stupid rabble.
context: He may be mad, but his ingrained sword techniques haven't left him.\Time to finish this.\Crush her, Berserker.\I won't let you win!\Tohsaka!\Archer!\It's immortal?\Ignore the stupid rabble. response:	After all, Archer and Rin's attacks can't overcome your Noble Phantasm.
context: Time to finish this.\Crush her, Berserker.\I won't let you win!\Tohsaka!\Archer!\It's immortal?\Ignore the stupid rabble.\After all, Archer and Rin's attacks can't overcome your Noble Phantasm. response:	Follow her, Berserker.
context: Crush her, Berserker.\I won't let you win!\Tohsaka!\Archer!\It's immortal?\Ignore the stupid rabble.\After all, Archer and Rin's attacks can't overcome your Noble Phantasm.\Follow her, Berserker. response:	You run away! Understood?
context: I won't let you win!\Tohsaka!\Archer!\It's immortal?\Ignore the stupid rabble.\After all, Archer and Rin's attacks can't overcome your Noble Phantasm.\Follow her, Berserker.\You run away! Understood? response:	Damn it.
context: Tohsaka!\Archer!\It's immortal?\Ignore the stupid rabble.\After all, Archer and Rin's attacks can't overcome your Noble Phantasm.\Follow her, Berserker.\You run away! Understood?\Damn it. response:	I couldn't do anything...
context: Archer!\It's immortal?\Ignore the stupid rabble.\After all, Archer and Rin's attacks can't overcome your Noble Phantasm.\Follow her, Berserker.\You run away! Understood?\Damn it.\I couldn't do anything... response:	What could I possibly do against a monster like that?
context: It's immortal?\Ignore the stupid rabble.\After all, Archer and Rin's attacks can't overcome your Noble Phantasm.\Follow her, Berserker.\You run away! Understood?\Damn it.\I couldn't do anything...\What could I possibly do against a monster like that? response:	Saber...
context: Ignore the stupid rabble.\After all, Archer and Rin's attacks can't overcome your Noble Phantasm.\Follow her, Berserker.\You run away! Understood?\Damn it.\I couldn't do anything...\What could I possibly do against a monster like that?\Saber... response:	Didn't I just decide that
context: After all, Archer and Rin's attacks can't overcome your Noble Phantasm.\Follow her, Berserker.\You run away! Understood?\Damn it.\I couldn't do anything...\What could I possibly do against a monster like that?\Saber...\Didn't I just decide that response:	I would fight with you?!
context: Follow her, Berserker.\You run away! Understood?\Damn it.\I couldn't do anything...\What could I possibly do against a monster like that?\Saber...\Didn't I just decide that\I would fight with you?! response:	Many voices and many desires confound you.
context: You run away! Understood?\Damn it.\I couldn't do anything...\What could I possibly do against a monster like that?\Saber...\Didn't I just decide that\I would fight with you?!\Many voices and many desires confound you. response:	Talk is cheap. Lies are the sin of man.
context: Damn it.\I couldn't do anything...\What could I possibly do against a monster like that?\Saber...\Didn't I just decide that\I would fight with you?!\Many voices and many desires confound you.\Talk is cheap. Lies are the sin of man. response:	There's a sneer on your lips, holy man.
context: I couldn't do anything...\What could I possibly do against a monster like that?\Saber...\Didn't I just decide that\I would fight with you?!\Many voices and many desires confound you.\Talk is cheap. Lies are the sin of man.\There's a sneer on your lips, holy man. response:	It's not a good look on you.
context: What could I possibly do against a monster like that?\Saber...\Didn't I just decide that\I would fight with you?!\Many voices and many desires confound you.\Talk is cheap. Lies are the sin of man.\There's a sneer on your lips, holy man.\It's not a good look on you. response:	Is that the way it looked to you?
context: Saber...\Didn't I just decide that\I would fight with you?!\Many voices and many desires confound you.\Talk is cheap. Lies are the sin of man.\There's a sneer on your lips, holy man.\It's not a good look on you.\Is that the way it looked to you? response:	Indeed, it did.
context: Didn't I just decide that\I would fight with you?!\Many voices and many desires confound you.\Talk is cheap. Lies are the sin of man.\There's a sneer on your lips, holy man.\It's not a good look on you.\Is that the way it looked to you?\Indeed, it did. response:	A smile befitting a shameless rogue.
context: I would fight with you?!\Many voices and many desires confound you.\Talk is cheap. Lies are the sin of man.\There's a sneer on your lips, holy man.\It's not a good look on you.\Is that the way it looked to you?\Indeed, it did.\A smile befitting a shameless rogue. response:	Did you have a pleasant encounter, Kirei?
context: Many voices and many desires confound you.\Talk is cheap. Lies are the sin of man.\There's a sneer on your lips, holy man.\It's not a good look on you.\Is that the way it looked to you?\Indeed, it did.\A smile befitting a shameless rogue.\Did you have a pleasant encounter, Kirei? response:	Yes, I did.
context: Talk is cheap. Lies are the sin of man.\There's a sneer on your lips, holy man.\It's not a good look on you.\Is that the way it looked to you?\Indeed, it did.\A smile befitting a shameless rogue.\Did you have a pleasant encounter, Kirei?\Yes, I did. response:	I feel as though I've been reunited with an old acquaintance.
context: There's a sneer on your lips, holy man.\It's not a good look on you.\Is that the way it looked to you?\Indeed, it did.\A smile befitting a shameless rogue.\Did you have a pleasant encounter, Kirei?\Yes, I did.\I feel as though I've been reunited with an old acquaintance. response:	How could I not be happy?
context: It's not a good look on you.\Is that the way it looked to you?\Indeed, it did.\A smile befitting a shameless rogue.\Did you have a pleasant encounter, Kirei?\Yes, I did.\I feel as though I've been reunited with an old acquaintance.\How could I not be happy? response:	As you said, the Holy Grail War has begun after a mere ten years.
context: Is that the way it looked to you?\Indeed, it did.\A smile befitting a shameless rogue.\Did you have a pleasant encounter, Kirei?\Yes, I did.\I feel as though I've been reunited with an old acquaintance.\How could I not be happy?\As you said, the Holy Grail War has begun after a mere ten years. response:	As overseer, I can only pray that the miracle will be fulfilled,
context: Indeed, it did.\A smile befitting a shameless rogue.\Did you have a pleasant encounter, Kirei?\Yes, I did.\I feel as though I've been reunited with an old acquaintance.\How could I not be happy?\As you said, the Holy Grail War has begun after a mere ten years.\As overseer, I can only pray that the miracle will be fulfilled, response:	and the Holy Grail will materialize this time.
context: A smile befitting a shameless rogue.\Did you have a pleasant encounter, Kirei?\Yes, I did.\I feel as though I've been reunited with an old acquaintance.\How could I not be happy?\As you said, the Holy Grail War has begun after a mere ten years.\As overseer, I can only pray that the miracle will be fulfilled,\and the Holy Grail will materialize this time. response:	Even if this land becomes a hell?
context: Did you have a pleasant encounter, Kirei?\Yes, I did.\I feel as though I've been reunited with an old acquaintance.\How could I not be happy?\As you said, the Holy Grail War has begun after a mere ten years.\As overseer, I can only pray that the miracle will be fulfilled,\and the Holy Grail will materialize this time.\Even if this land becomes a hell? response:	That is no concern of mine.
context: Yes, I did.\I feel as though I've been reunited with an old acquaintance.\How could I not be happy?\As you said, the Holy Grail War has begun after a mere ten years.\As overseer, I can only pray that the miracle will be fulfilled,\and the Holy Grail will materialize this time.\Even if this land becomes a hell?\That is no concern of mine. response:	After all, it is the Master's role to struggle, to kill, and to trample underfoot.
context: I feel as though I've been reunited with an old acquaintance.\How could I not be happy?\As you said, the Holy Grail War has begun after a mere ten years.\As overseer, I can only pray that the miracle will be fulfilled,\and the Holy Grail will materialize this time.\Even if this land becomes a hell?\That is no concern of mine.\After all, it is the Master's role to struggle, to kill, and to trample underfoot. response:	Our Lord in Heaven will forgive all the sins of the world.
context: How could I not be happy?\As you said, the Holy Grail War has begun after a mere ten years.\As overseer, I can only pray that the miracle will be fulfilled,\and the Holy Grail will materialize this time.\Even if this land becomes a hell?\That is no concern of mine.\After all, it is the Master's role to struggle, to kill, and to trample underfoot.\Our Lord in Heaven will forgive all the sins of the world. response:	But first, we must wait...
context: As you said, the Holy Grail War has begun after a mere ten years.\As overseer, I can only pray that the miracle will be fulfilled,\and the Holy Grail will materialize this time.\Even if this land becomes a hell?\That is no concern of mine.\After all, it is the Master's role to struggle, to kill, and to trample underfoot.\Our Lord in Heaven will forgive all the sins of the world.\But first, we must wait... response:	Wait and see what the outcome of this first clash will be.
context: As overseer, I can only pray that the miracle will be fulfilled,\and the Holy Grail will materialize this time.\Even if this land becomes a hell?\That is no concern of mine.\After all, it is the Master's role to struggle, to kill, and to trample underfoot.\Our Lord in Heaven will forgive all the sins of the world.\But first, we must wait...\Wait and see what the outcome of this first clash will be. response:	My, how scary.
context: and the Holy Grail will materialize this time.\Even if this land becomes a hell?\That is no concern of mine.\After all, it is the Master's role to struggle, to kill, and to trample underfoot.\Our Lord in Heaven will forgive all the sins of the world.\But first, we must wait...\Wait and see what the outcome of this first clash will be.\My, how scary. response:	Attacking without warning?
context: Even if this land becomes a hell?\That is no concern of mine.\After all, it is the Master's role to struggle, to kill, and to trample underfoot.\Our Lord in Heaven will forgive all the sins of the world.\But first, we must wait...\Wait and see what the outcome of this first clash will be.\My, how scary.\Attacking without warning? response:	You're just like an animal, Rin.
context: That is no concern of mine.\After all, it is the Master's role to struggle, to kill, and to trample underfoot.\Our Lord in Heaven will forgive all the sins of the world.\But first, we must wait...\Wait and see what the outcome of this first clash will be.\My, how scary.\Attacking without warning?\You're just like an animal, Rin. response:	Or is this the Tohsaka style of combat?
context: After all, it is the Master's role to struggle, to kill, and to trample underfoot.\Our Lord in Heaven will forgive all the sins of the world.\But first, we must wait...\Wait and see what the outcome of this first clash will be.\My, how scary.\Attacking without warning?\You're just like an animal, Rin.\Or is this the Tohsaka style of combat? response:	You're the one who announced the battle had started.
context: Our Lord in Heaven will forgive all the sins of the world.\But first, we must wait...\Wait and see what the outcome of this first clash will be.\My, how scary.\Attacking without warning?\You're just like an animal, Rin.\Or is this the Tohsaka style of combat?\You're the one who announced the battle had started. response:	Once the fight's begun, there are no sneak attacks.
context: But first, we must wait...\Wait and see what the outcome of this first clash will be.\My, how scary.\Attacking without warning?\You're just like an animal, Rin.\Or is this the Tohsaka style of combat?\You're the one who announced the battle had started.\Once the fight's begun, there are no sneak attacks. response:	Or are you going to introduce yourself again?
context: Wait and see what the outcome of this first clash will be.\My, how scary.\Attacking without warning?\You're just like an animal, Rin.\Or is this the Tohsaka style of combat?\You're the one who announced the battle had started.\Once the fight's begun, there are no sneak attacks.\Or are you going to introduce yourself again? response:	A step too far away...
context: My, how scary.\Attacking without warning?\You're just like an animal, Rin.\Or is this the Tohsaka style of combat?\You're the one who announced the battle had started.\Once the fight's begun, there are no sneak attacks.\Or are you going to introduce yourself again?\A step too far away... response:	I'll have to destroy those things first, huh?
context: Attacking without warning?\You're just like an animal, Rin.\Or is this the Tohsaka style of combat?\You're the one who announced the battle had started.\Once the fight's begun, there are no sneak attacks.\Or are you going to introduce yourself again?\A step too far away...\I'll have to destroy those things first, huh? response:	Introduce myself?
context: You're just like an animal, Rin.\Or is this the Tohsaka style of combat?\You're the one who announced the battle had started.\Once the fight's begun, there are no sneak attacks.\Or are you going to introduce yourself again?\A step too far away...\I'll have to destroy those things first, huh?\Introduce myself? response:	If you were that boy, I might consider it.
context: Or is this the Tohsaka style of combat?\You're the one who announced the battle had started.\Once the fight's begun, there are no sneak attacks.\Or are you going to introduce yourself again?\A step too far away...\I'll have to destroy those things first, huh?\Introduce myself?\If you were that boy, I might consider it. response:	But with you, I don't feel like it.
context: You're the one who announced the battle had started.\Once the fight's begun, there are no sneak attacks.\Or are you going to introduce yourself again?\A step too far away...\I'll have to destroy those things first, huh?\Introduce myself?\If you were that boy, I might consider it.\But with you, I don't feel like it. response:	You don't interest me one bit.
context: Once the fight's begun, there are no sneak attacks.\Or are you going to introduce yourself again?\A step too far away...\I'll have to destroy those things first, huh?\Introduce myself?\If you were that boy, I might consider it.\But with you, I don't feel like it.\You don't interest me one bit. response:	Besides...
context: Or are you going to introduce yourself again?\A step too far away...\I'll have to destroy those things first, huh?\Introduce myself?\If you were that boy, I might consider it.\But with you, I don't feel like it.\You don't interest me one bit.\Besides... response:	What do you expect me to say to someone who's going to die here?
context: A step too far away...\I'll have to destroy those things first, huh?\Introduce myself?\If you were that boy, I might consider it.\But with you, I don't feel like it.\You don't interest me one bit.\Besides...\What do you expect me to say to someone who's going to die here? response:	An autonomous type that pursues automatically.
context: I'll have to destroy those things first, huh?\Introduce myself?\If you were that boy, I might consider it.\But with you, I don't feel like it.\You don't interest me one bit.\Besides...\What do you expect me to say to someone who's going to die here?\An autonomous type that pursues automatically. response:	And she's generating mana at her size...
context: Introduce myself?\If you were that boy, I might consider it.\But with you, I don't feel like it.\You don't interest me one bit.\Besides...\What do you expect me to say to someone who's going to die here?\An autonomous type that pursues automatically.\And she's generating mana at her size... response:	She's like some kind of mini-mage!
context: If you were that boy, I might consider it.\But with you, I don't feel like it.\You don't interest me one bit.\Besides...\What do you expect me to say to someone who's going to die here?\An autonomous type that pursues automatically.\And she's generating mana at her size...\She's like some kind of mini-mage! response:	But high-performance familiars like these must have limitations somewhere.
context: But with you, I don't feel like it.\You don't interest me one bit.\Besides...\What do you expect me to say to someone who's going to die here?\An autonomous type that pursues automatically.\And she's generating mana at her size...\She's like some kind of mini-mage!\But high-performance familiars like these must have limitations somewhere. response:	What nimble prey.
context: You don't interest me one bit.\Besides...\What do you expect me to say to someone who's going to die here?\An autonomous type that pursues automatically.\And she's generating mana at her size...\She's like some kind of mini-mage!\But high-performance familiars like these must have limitations somewhere.\What nimble prey. response:	I'll add two more just for you.
context: Besides...\What do you expect me to say to someone who's going to die here?\An autonomous type that pursues automatically.\And she's generating mana at her size...\She's like some kind of mini-mage!\But high-performance familiars like these must have limitations somewhere.\What nimble prey.\I'll add two more just for you. response:	Oh, come on!
context: What do you expect me to say to someone who's going to die here?\An autonomous type that pursues automatically.\And she's generating mana at her size...\She's like some kind of mini-mage!\But high-performance familiars like these must have limitations somewhere.\What nimble prey.\I'll add two more just for you.\Oh, come on! response:	Complain later.
context: An autonomous type that pursues automatically.\And she's generating mana at her size...\She's like some kind of mini-mage!\But high-performance familiars like these must have limitations somewhere.\What nimble prey.\I'll add two more just for you.\Oh, come on!\Complain later. response:	If they flank me, it's all over.
context: And she's generating mana at her size...\She's like some kind of mini-mage!\But high-performance familiars like these must have limitations somewhere.\What nimble prey.\I'll add two more just for you.\Oh, come on!\Complain later.\If they flank me, it's all over. response:	In which case...
context: She's like some kind of mini-mage!\But high-performance familiars like these must have limitations somewhere.\What nimble prey.\I'll add two more just for you.\Oh, come on!\Complain later.\If they flank me, it's all over.\In which case... response:	A frontal assault?
context: But high-performance familiars like these must have limitations somewhere.\What nimble prey.\I'll add two more just for you.\Oh, come on!\Complain later.\If they flank me, it's all over.\In which case...\A frontal assault? response:	That's brave, but foolish, Rin.
context: What nimble prey.\I'll add two more just for you.\Oh, come on!\Complain later.\If they flank me, it's all over.\In which case...\A frontal assault?\That's brave, but foolish, Rin. response:	Gandr!
context: I'll add two more just for you.\Oh, come on!\Complain later.\If they flank me, it's all over.\In which case...\A frontal assault?\That's brave, but foolish, Rin.\Gandr! response:	Two left!
context: Oh, come on!\Complain later.\If they flank me, it's all over.\In which case...\A frontal assault?\That's brave, but foolish, Rin.\Gandr!\Two left! response:	The familiar changed shape?!
context: Complain later.\If they flank me, it's all over.\In which case...\A frontal assault?\That's brave, but foolish, Rin.\Gandr!\Two left!\The familiar changed shape?! response:	You may have fended off Zelle, but you won't be able to block Degen.
context: If they flank me, it's all over.\In which case...\A frontal assault?\That's brave, but foolish, Rin.\Gandr!\Two left!\The familiar changed shape?!\You may have fended off Zelle, but you won't be able to block Degen. response:	I thought this was going to be fun.
context: In which case...\A frontal assault?\That's brave, but foolish, Rin.\Gandr!\Two left!\The familiar changed shape?!\You may have fended off Zelle, but you won't be able to block Degen.\I thought this was going to be fun. response:	How disappointing.
context: A frontal assault?\That's brave, but foolish, Rin.\Gandr!\Two left!\The familiar changed shape?!\You may have fended off Zelle, but you won't be able to block Degen.\I thought this was going to be fun.\How disappointing. response:	Well, this is the end for you.
context: That's brave, but foolish, Rin.\Gandr!\Two left!\The familiar changed shape?!\You may have fended off Zelle, but you won't be able to block Degen.\I thought this was going to be fun.\How disappointing.\Well, this is the end for you. response:	It befits a disgraceful hind to be skewered.
context: Gandr!\Two left!\The familiar changed shape?!\You may have fended off Zelle, but you won't be able to block Degen.\I thought this was going to be fun.\How disappointing.\Well, this is the end for you.\It befits a disgraceful hind to be skewered. response:	Are you all right, Master?
context: Two left!\The familiar changed shape?!\You may have fended off Zelle, but you won't be able to block Degen.\I thought this was going to be fun.\How disappointing.\Well, this is the end for you.\It befits a disgraceful hind to be skewered.\Are you all right, Master? response:	No, you saved me, Archer.
context: The familiar changed shape?!\You may have fended off Zelle, but you won't be able to block Degen.\I thought this was going to be fun.\How disappointing.\Well, this is the end for you.\It befits a disgraceful hind to be skewered.\Are you all right, Master?\No, you saved me, Archer. response:	To be honest, my back was against the wall.
context: You may have fended off Zelle, but you won't be able to block Degen.\I thought this was going to be fun.\How disappointing.\Well, this is the end for you.\It befits a disgraceful hind to be skewered.\Are you all right, Master?\No, you saved me, Archer.\To be honest, my back was against the wall. response:	So, where is Illyasviel?
context: I thought this was going to be fun.\How disappointing.\Well, this is the end for you.\It befits a disgraceful hind to be skewered.\Are you all right, Master?\No, you saved me, Archer.\To be honest, my back was against the wall.\So, where is Illyasviel? response:	My apologies, but my vision is poor in that regard.
context: How disappointing.\Well, this is the end for you.\It befits a disgraceful hind to be skewered.\Are you all right, Master?\No, you saved me, Archer.\To be honest, my back was against the wall.\So, where is Illyasviel?\My apologies, but my vision is poor in that regard. response:	Although I can sense you, Master, I cannot track enemy Masters.
context: Well, this is the end for you.\It befits a disgraceful hind to be skewered.\Are you all right, Master?\No, you saved me, Archer.\To be honest, my back was against the wall.\So, where is Illyasviel?\My apologies, but my vision is poor in that regard.\Although I can sense you, Master, I cannot track enemy Masters. response:	I suppose not.
context: It befits a disgraceful hind to be skewered.\Are you all right, Master?\No, you saved me, Archer.\To be honest, my back was against the wall.\So, where is Illyasviel?\My apologies, but my vision is poor in that regard.\Although I can sense you, Master, I cannot track enemy Masters.\I suppose not. response:	Anyway, what a monster...
context: Are you all right, Master?\No, you saved me, Archer.\To be honest, my back was against the wall.\So, where is Illyasviel?\My apologies, but my vision is poor in that regard.\Although I can sense you, Master, I cannot track enemy Masters.\I suppose not.\Anyway, what a monster... response:	She's superhumanly gifted, creating familiars out of single hairs like that.
context: No, you saved me, Archer.\To be honest, my back was against the wall.\So, where is Illyasviel?\My apologies, but my vision is poor in that regard.\Although I can sense you, Master, I cannot track enemy Masters.\I suppose not.\Anyway, what a monster...\She's superhumanly gifted, creating familiars out of single hairs like that. response:	So it would seem.
context: To be honest, my back was against the wall.\So, where is Illyasviel?\My apologies, but my vision is poor in that regard.\Although I can sense you, Master, I cannot track enemy Masters.\I suppose not.\Anyway, what a monster...\She's superhumanly gifted, creating familiars out of single hairs like that.\So it would seem. response:	The proper course of action would be to defeat Berserker's Master first,
context: So, where is Illyasviel?\My apologies, but my vision is poor in that regard.\Although I can sense you, Master, I cannot track enemy Masters.\I suppose not.\Anyway, what a monster...\She's superhumanly gifted, creating familiars out of single hairs like that.\So it would seem.\The proper course of action would be to defeat Berserker's Master first, response:	but that seems no easy task, either.
