context: This is all there is of Eleven? response:	There'd be no point in having lots of ordinary people join battle.
context: It's not that complicated.\Kill them before they kill you.\Some wastes you can't even throw out.\This is all your fault, Karen.\Me? Why?\You destroy the machines so excessively, and then sell them to me.\That probably pissed them off.\I'm out of this, you tomboy! response:	Right... if Karen's the cause, let's hand her over to the machines.
context: Kill them before they kill you.\Some wastes you can't even throw out.\This is all your fault, Karen.\Me? Why?\You destroy the machines so excessively, and then sell them to me.\That probably pissed them off.\I'm out of this, you tomboy!\Right... if Karen's the cause, let's hand her over to the machines. response:	Give me a break.
context: Some wastes you can't even throw out.\This is all your fault, Karen.\Me? Why?\You destroy the machines so excessively, and then sell them to me.\That probably pissed them off.\I'm out of this, you tomboy!\Right... if Karen's the cause, let's hand her over to the machines.\Give me a break. response:	Humans have to be rational. Right? Rational.
context: This is all your fault, Karen.\Me? Why?\You destroy the machines so excessively, and then sell them to me.\That probably pissed them off.\I'm out of this, you tomboy!\Right... if Karen's the cause, let's hand her over to the machines.\Give me a break.\Humans have to be rational. Right? Rational. response:	I forgot to tell you one thing.
context: Me? Why?\You destroy the machines so excessively, and then sell them to me.\That probably pissed them off.\I'm out of this, you tomboy!\Right... if Karen's the cause, let's hand her over to the machines.\Give me a break.\Humans have to be rational. Right? Rational.\I forgot to tell you one thing. response:	Their annihilation target is Sector 17.
context: You destroy the machines so excessively, and then sell them to me.\That probably pissed them off.\I'm out of this, you tomboy!\Right... if Karen's the cause, let's hand her over to the machines.\Give me a break.\Humans have to be rational. Right? Rational.\I forgot to tell you one thing.\Their annihilation target is Sector 17. response:	That's my place!
context: That probably pissed them off.\I'm out of this, you tomboy!\Right... if Karen's the cause, let's hand her over to the machines.\Give me a break.\Humans have to be rational. Right? Rational.\I forgot to tell you one thing.\Their annihilation target is Sector 17.\That's my place! response:	Dammit, I'll beat the crap out of them!
context: I'm out of this, you tomboy!\Right... if Karen's the cause, let's hand her over to the machines.\Give me a break.\Humans have to be rational. Right? Rational.\I forgot to tell you one thing.\Their annihilation target is Sector 17.\That's my place!\Dammit, I'll beat the crap out of them! response:	That's exactly what we were talking about.
context: Right... if Karen's the cause, let's hand her over to the machines.\Give me a break.\Humans have to be rational. Right? Rational.\I forgot to tell you one thing.\Their annihilation target is Sector 17.\That's my place!\Dammit, I'll beat the crap out of them!\That's exactly what we were talking about. response:	Shoot them all, Karen!
context: Give me a break.\Humans have to be rational. Right? Rational.\I forgot to tell you one thing.\Their annihilation target is Sector 17.\That's my place!\Dammit, I'll beat the crap out of them!\That's exactly what we were talking about.\Shoot them all, Karen! response:	Everyone has a natural right to defend his life, liberty and possessions.
context: Humans have to be rational. Right? Rational.\I forgot to tell you one thing.\Their annihilation target is Sector 17.\That's my place!\Dammit, I'll beat the crap out of them!\That's exactly what we were talking about.\Shoot them all, Karen!\Everyone has a natural right to defend his life, liberty and possessions. response:	Those natural rights are being taken away.
context: I forgot to tell you one thing.\Their annihilation target is Sector 17.\That's my place!\Dammit, I'll beat the crap out of them!\That's exactly what we were talking about.\Shoot them all, Karen!\Everyone has a natural right to defend his life, liberty and possessions.\Those natural rights are being taken away. response:	We aren't garbage.
context: Their annihilation target is Sector 17.\That's my place!\Dammit, I'll beat the crap out of them!\That's exactly what we were talking about.\Shoot them all, Karen!\Everyone has a natural right to defend his life, liberty and possessions.\Those natural rights are being taken away.\We aren't garbage. response:	John Locke's social theory?
context: That's my place!\Dammit, I'll beat the crap out of them!\That's exactly what we were talking about.\Shoot them all, Karen!\Everyone has a natural right to defend his life, liberty and possessions.\Those natural rights are being taken away.\We aren't garbage.\John Locke's social theory? response:	Sorry, all I did was be born,
context: Dammit, I'll beat the crap out of them!\That's exactly what we were talking about.\Shoot them all, Karen!\Everyone has a natural right to defend his life, liberty and possessions.\Those natural rights are being taken away.\We aren't garbage.\John Locke's social theory?\Sorry, all I did was be born, response:	and God gives us all these rights.
context: That's exactly what we were talking about.\Shoot them all, Karen!\Everyone has a natural right to defend his life, liberty and possessions.\Those natural rights are being taken away.\We aren't garbage.\John Locke's social theory?\Sorry, all I did was be born,\and God gives us all these rights. response:	I thought I overheard such nonsense by a fairy tale writer, so...
context: Shoot them all, Karen!\Everyone has a natural right to defend his life, liberty and possessions.\Those natural rights are being taken away.\We aren't garbage.\John Locke's social theory?\Sorry, all I did was be born,\and God gives us all these rights.\I thought I overheard such nonsense by a fairy tale writer, so... response:	And so, have all of you
context: Everyone has a natural right to defend his life, liberty and possessions.\Those natural rights are being taken away.\We aren't garbage.\John Locke's social theory?\Sorry, all I did was be born,\and God gives us all these rights.\I thought I overheard such nonsense by a fairy tale writer, so...\And so, have all of you response:	made a contract with God?
context: Those natural rights are being taken away.\We aren't garbage.\John Locke's social theory?\Sorry, all I did was be born,\and God gives us all these rights.\I thought I overheard such nonsense by a fairy tale writer, so...\And so, have all of you\made a contract with God? response:	Not that it matters to me.
context: We aren't garbage.\John Locke's social theory?\Sorry, all I did was be born,\and God gives us all these rights.\I thought I overheard such nonsense by a fairy tale writer, so...\And so, have all of you\made a contract with God?\Not that it matters to me. response:	Then what are you doing here?
context: John Locke's social theory?\Sorry, all I did was be born,\and God gives us all these rights.\I thought I overheard such nonsense by a fairy tale writer, so...\And so, have all of you\made a contract with God?\Not that it matters to me.\Then what are you doing here? response:	Ah, that's harsh.
context: Sorry, all I did was be born,\and God gives us all these rights.\I thought I overheard such nonsense by a fairy tale writer, so...\And so, have all of you\made a contract with God?\Not that it matters to me.\Then what are you doing here?\Ah, that's harsh. response:	I guess you could say it's a sense of duty.
context: and God gives us all these rights.\I thought I overheard such nonsense by a fairy tale writer, so...\And so, have all of you\made a contract with God?\Not that it matters to me.\Then what are you doing here?\Ah, that's harsh.\I guess you could say it's a sense of duty. response:	I know what they have up their sleeve.
context: I thought I overheard such nonsense by a fairy tale writer, so...\And so, have all of you\made a contract with God?\Not that it matters to me.\Then what are you doing here?\Ah, that's harsh.\I guess you could say it's a sense of duty.\I know what they have up their sleeve. response:	They intend to completely annihilate Sector 17.
context: And so, have all of you\made a contract with God?\Not that it matters to me.\Then what are you doing here?\Ah, that's harsh.\I guess you could say it's a sense of duty.\I know what they have up their sleeve.\They intend to completely annihilate Sector 17. response:	A dimensional oscillation bomb. They'll send it to the bottom.
context: made a contract with God?\Not that it matters to me.\Then what are you doing here?\Ah, that's harsh.\I guess you could say it's a sense of duty.\I know what they have up their sleeve.\They intend to completely annihilate Sector 17.\A dimensional oscillation bomb. They'll send it to the bottom. response:	SEEK lost control of Jay.
context: Not that it matters to me.\Then what are you doing here?\Ah, that's harsh.\I guess you could say it's a sense of duty.\I know what they have up their sleeve.\They intend to completely annihilate Sector 17.\A dimensional oscillation bomb. They'll send it to the bottom.\SEEK lost control of Jay. response:	He is going down the pipeline with that bomb.
context: Then what are you doing here?\Ah, that's harsh.\I guess you could say it's a sense of duty.\I know what they have up their sleeve.\They intend to completely annihilate Sector 17.\A dimensional oscillation bomb. They'll send it to the bottom.\SEEK lost control of Jay.\He is going down the pipeline with that bomb. response:	You could keep wrecking the minions,
context: Ah, that's harsh.\I guess you could say it's a sense of duty.\I know what they have up their sleeve.\They intend to completely annihilate Sector 17.\A dimensional oscillation bomb. They'll send it to the bottom.\SEEK lost control of Jay.\He is going down the pipeline with that bomb.\You could keep wrecking the minions, response:	but it's all over once this thing blows.
context: I guess you could say it's a sense of duty.\I know what they have up their sleeve.\They intend to completely annihilate Sector 17.\A dimensional oscillation bomb. They'll send it to the bottom.\SEEK lost control of Jay.\He is going down the pipeline with that bomb.\You could keep wrecking the minions,\but it's all over once this thing blows. response:	Keep talking about God's will or whatever,
context: I know what they have up their sleeve.\They intend to completely annihilate Sector 17.\A dimensional oscillation bomb. They'll send it to the bottom.\SEEK lost control of Jay.\He is going down the pipeline with that bomb.\You could keep wrecking the minions,\but it's all over once this thing blows.\Keep talking about God's will or whatever, response:	but Eleven's talents will be gone, too.
context: They intend to completely annihilate Sector 17.\A dimensional oscillation bomb. They'll send it to the bottom.\SEEK lost control of Jay.\He is going down the pipeline with that bomb.\You could keep wrecking the minions,\but it's all over once this thing blows.\Keep talking about God's will or whatever,\but Eleven's talents will be gone, too. response:	Hey you!
context: A dimensional oscillation bomb. They'll send it to the bottom.\SEEK lost control of Jay.\He is going down the pipeline with that bomb.\You could keep wrecking the minions,\but it's all over once this thing blows.\Keep talking about God's will or whatever,\but Eleven's talents will be gone, too.\Hey you! response:	Isn't it your job to figur something out?
context: SEEK lost control of Jay.\He is going down the pipeline with that bomb.\You could keep wrecking the minions,\but it's all over once this thing blows.\Keep talking about God's will or whatever,\but Eleven's talents will be gone, too.\Hey you!\Isn't it your job to figur something out? response:	I'm just a messenger.
context: He is going down the pipeline with that bomb.\You could keep wrecking the minions,\but it's all over once this thing blows.\Keep talking about God's will or whatever,\but Eleven's talents will be gone, too.\Hey you!\Isn't it your job to figur something out?\I'm just a messenger. response:	Then do something, messenger!
context: You could keep wrecking the minions,\but it's all over once this thing blows.\Keep talking about God's will or whatever,\but Eleven's talents will be gone, too.\Hey you!\Isn't it your job to figur something out?\I'm just a messenger.\Then do something, messenger! response:	I think I'll be going, now.
context: but it's all over once this thing blows.\Keep talking about God's will or whatever,\but Eleven's talents will be gone, too.\Hey you!\Isn't it your job to figur something out?\I'm just a messenger.\Then do something, messenger!\I think I'll be going, now. response:	To where?
context: Keep talking about God's will or whatever,\but Eleven's talents will be gone, too.\Hey you!\Isn't it your job to figur something out?\I'm just a messenger.\Then do something, messenger!\I think I'll be going, now.\To where? response:	Where? The pipeline, of course.
context: but Eleven's talents will be gone, too.\Hey you!\Isn't it your job to figur something out?\I'm just a messenger.\Then do something, messenger!\I think I'll be going, now.\To where?\Where? The pipeline, of course. response:	Hey, you can't deal with it all alone.
context: Hey you!\Isn't it your job to figur something out?\I'm just a messenger.\Then do something, messenger!\I think I'll be going, now.\To where?\Where? The pipeline, of course.\Hey, you can't deal with it all alone. response:	Thanks for the food. Please take care of the rest.
context: Isn't it your job to figur something out?\I'm just a messenger.\Then do something, messenger!\I think I'll be going, now.\To where?\Where? The pipeline, of course.\Hey, you can't deal with it all alone.\Thanks for the food. Please take care of the rest. response:	Hey, isn't anyone going to stop her?
context: I'm just a messenger.\Then do something, messenger!\I think I'll be going, now.\To where?\Where? The pipeline, of course.\Hey, you can't deal with it all alone.\Thanks for the food. Please take care of the rest.\Hey, isn't anyone going to stop her? response:	She'll be dead!
context: Then do something, messenger!\I think I'll be going, now.\To where?\Where? The pipeline, of course.\Hey, you can't deal with it all alone.\Thanks for the food. Please take care of the rest.\Hey, isn't anyone going to stop her?\She'll be dead! response:	Thanks for your concern,
context: I think I'll be going, now.\To where?\Where? The pipeline, of course.\Hey, you can't deal with it all alone.\Thanks for the food. Please take care of the rest.\Hey, isn't anyone going to stop her?\She'll be dead!\Thanks for your concern, response:	but this wound here tells me to go.
context: To where?\Where? The pipeline, of course.\Hey, you can't deal with it all alone.\Thanks for the food. Please take care of the rest.\Hey, isn't anyone going to stop her?\She'll be dead!\Thanks for your concern,\but this wound here tells me to go. response:	I'll take you down along with the rest of Sector 17, Karen.
context: Where? The pipeline, of course.\Hey, you can't deal with it all alone.\Thanks for the food. Please take care of the rest.\Hey, isn't anyone going to stop her?\She'll be dead!\Thanks for your concern,\but this wound here tells me to go.\I'll take you down along with the rest of Sector 17, Karen. response:	You obsolete garbage!
context: Hey, you can't deal with it all alone.\Thanks for the food. Please take care of the rest.\Hey, isn't anyone going to stop her?\She'll be dead!\Thanks for your concern,\but this wound here tells me to go.\I'll take you down along with the rest of Sector 17, Karen.\You obsolete garbage! response:	Am I garbage because I'm old?
context: Thanks for the food. Please take care of the rest.\Hey, isn't anyone going to stop her?\She'll be dead!\Thanks for your concern,\but this wound here tells me to go.\I'll take you down along with the rest of Sector 17, Karen.\You obsolete garbage!\Am I garbage because I'm old? response:	Is everything old garbage?
context: Hey, isn't anyone going to stop her?\She'll be dead!\Thanks for your concern,\but this wound here tells me to go.\I'll take you down along with the rest of Sector 17, Karen.\You obsolete garbage!\Am I garbage because I'm old?\Is everything old garbage? response:	You're all garbage!
context: She'll be dead!\Thanks for your concern,\but this wound here tells me to go.\I'll take you down along with the rest of Sector 17, Karen.\You obsolete garbage!\Am I garbage because I'm old?\Is everything old garbage?\You're all garbage! response:	Go, Karen! We'll stop them here!
context: Thanks for your concern,\but this wound here tells me to go.\I'll take you down along with the rest of Sector 17, Karen.\You obsolete garbage!\Am I garbage because I'm old?\Is everything old garbage?\You're all garbage!\Go, Karen! We'll stop them here! response:	You're not going anywhere.
context: but this wound here tells me to go.\I'll take you down along with the rest of Sector 17, Karen.\You obsolete garbage!\Am I garbage because I'm old?\Is everything old garbage?\You're all garbage!\Go, Karen! We'll stop them here!\You're not going anywhere. response:	Eat this!
context: I'll take you down along with the rest of Sector 17, Karen.\You obsolete garbage!\Am I garbage because I'm old?\Is everything old garbage?\You're all garbage!\Go, Karen! We'll stop them here!\You're not going anywhere.\Eat this! response:	Dude, isn't this a rare item?
context: You obsolete garbage!\Am I garbage because I'm old?\Is everything old garbage?\You're all garbage!\Go, Karen! We'll stop them here!\You're not going anywhere.\Eat this!\Dude, isn't this a rare item? response:	Stop, I'm a negotiator! don't come any closer!
context: Am I garbage because I'm old?\Is everything old garbage?\You're all garbage!\Go, Karen! We'll stop them here!\You're not going anywhere.\Eat this!\Dude, isn't this a rare item?\Stop, I'm a negotiator! don't come any closer! response:	Psych.
context: Is everything old garbage?\You're all garbage!\Go, Karen! We'll stop them here!\You're not going anywhere.\Eat this!\Dude, isn't this a rare item?\Stop, I'm a negotiator! don't come any closer!\Psych. response:	I can't simply stand by and watch my men die.
context: You're all garbage!\Go, Karen! We'll stop them here!\You're not going anywhere.\Eat this!\Dude, isn't this a rare item?\Stop, I'm a negotiator! don't come any closer!\Psych.\I can't simply stand by and watch my men die. response:	The advance team is having trouble in Sector 17.
context: Go, Karen! We'll stop them here!\You're not going anywhere.\Eat this!\Dude, isn't this a rare item?\Stop, I'm a negotiator! don't come any closer!\Psych.\I can't simply stand by and watch my men die.\The advance team is having trouble in Sector 17. response:	We can't send any more backup.
context: You're not going anywhere.\Eat this!\Dude, isn't this a rare item?\Stop, I'm a negotiator! don't come any closer!\Psych.\I can't simply stand by and watch my men die.\The advance team is having trouble in Sector 17.\We can't send any more backup. response:	No matter! Move them forward!
context: Eat this!\Dude, isn't this a rare item?\Stop, I'm a negotiator! don't come any closer!\Psych.\I can't simply stand by and watch my men die.\The advance team is having trouble in Sector 17.\We can't send any more backup.\No matter! Move them forward! response:	What will you do, Karen?
context: Dude, isn't this a rare item?\Stop, I'm a negotiator! don't come any closer!\Psych.\I can't simply stand by and watch my men die.\The advance team is having trouble in Sector 17.\We can't send any more backup.\No matter! Move them forward!\What will you do, Karen? response:	Incoming object detected.
context: Stop, I'm a negotiator! don't come any closer!\Psych.\I can't simply stand by and watch my men die.\The advance team is having trouble in Sector 17.\We can't send any more backup.\No matter! Move them forward!\What will you do, Karen?\Incoming object detected. response:	It's Karen!
context: Psych.\I can't simply stand by and watch my men die.\The advance team is having trouble in Sector 17.\We can't send any more backup.\No matter! Move them forward!\What will you do, Karen?\Incoming object detected.\It's Karen! response:	I'll take you out myself.
context: I can't simply stand by and watch my men die.\The advance team is having trouble in Sector 17.\We can't send any more backup.\No matter! Move them forward!\What will you do, Karen?\Incoming object detected.\It's Karen!\I'll take you out myself. response:	Come on, Jay!
context: The advance team is having trouble in Sector 17.\We can't send any more backup.\No matter! Move them forward!\What will you do, Karen?\Incoming object detected.\It's Karen!\I'll take you out myself.\Come on, Jay! response:	Don't underestimate me!
context: We can't send any more backup.\No matter! Move them forward!\What will you do, Karen?\Incoming object detected.\It's Karen!\I'll take you out myself.\Come on, Jay!\Don't underestimate me! response:	I hope your repairs are good, junk shop!
context: No matter! Move them forward!\What will you do, Karen?\Incoming object detected.\It's Karen!\I'll take you out myself.\Come on, Jay!\Don't underestimate me!\I hope your repairs are good, junk shop! response:	Next!
context: What will you do, Karen?\Incoming object detected.\It's Karen!\I'll take you out myself.\Come on, Jay!\Don't underestimate me!\I hope your repairs are good, junk shop!\Next! response:	Launch tripods.
context: Incoming object detected.\It's Karen!\I'll take you out myself.\Come on, Jay!\Don't underestimate me!\I hope your repairs are good, junk shop!\Next!\Launch tripods. response:	Time for the hunt.
context: It's Karen!\I'll take you out myself.\Come on, Jay!\Don't underestimate me!\I hope your repairs are good, junk shop!\Next!\Launch tripods.\Time for the hunt. response:	You want to kill me, don't you, Jay?
context: I'll take you out myself.\Come on, Jay!\Don't underestimate me!\I hope your repairs are good, junk shop!\Next!\Launch tripods.\Time for the hunt.\You want to kill me, don't you, Jay? response:	Give me your best shot!
context: Come on, Jay!\Don't underestimate me!\I hope your repairs are good, junk shop!\Next!\Launch tripods.\Time for the hunt.\You want to kill me, don't you, Jay?\Give me your best shot! response:	Oh shit!
context: Don't underestimate me!\I hope your repairs are good, junk shop!\Next!\Launch tripods.\Time for the hunt.\You want to kill me, don't you, Jay?\Give me your best shot!\Oh shit! response:	Direct hit on Karen. Her bike is destroyed.
context: I hope your repairs are good, junk shop!\Next!\Launch tripods.\Time for the hunt.\You want to kill me, don't you, Jay?\Give me your best shot!\Oh shit!\Direct hit on Karen. Her bike is destroyed. response:	Wait a second...
context: Next!\Launch tripods.\Time for the hunt.\You want to kill me, don't you, Jay?\Give me your best shot!\Oh shit!\Direct hit on Karen. Her bike is destroyed.\Wait a second... response:	High-energy object approaching at high speed!
context: Launch tripods.\Time for the hunt.\You want to kill me, don't you, Jay?\Give me your best shot!\Oh shit!\Direct hit on Karen. Her bike is destroyed.\Wait a second...\High-energy object approaching at high speed! response:	Karen!
context: Time for the hunt.\You want to kill me, don't you, Jay?\Give me your best shot!\Oh shit!\Direct hit on Karen. Her bike is destroyed.\Wait a second...\High-energy object approaching at high speed!\Karen! response:	That bitch!
context: You want to kill me, don't you, Jay?\Give me your best shot!\Oh shit!\Direct hit on Karen. Her bike is destroyed.\Wait a second...\High-energy object approaching at high speed!\Karen!\That bitch! response:	You!
context: Give me your best shot!\Oh shit!\Direct hit on Karen. Her bike is destroyed.\Wait a second...\High-energy object approaching at high speed!\Karen!\That bitch!\You! response:	Karen!
context: Oh shit!\Direct hit on Karen. Her bike is destroyed.\Wait a second...\High-energy object approaching at high speed!\Karen!\That bitch!\You!\Karen! response:	I'm the one you're after.
context: Direct hit on Karen. Her bike is destroyed.\Wait a second...\High-energy object approaching at high speed!\Karen!\That bitch!\You!\Karen!\I'm the one you're after. response:	Then this attack is quite cowardly.
context: Wait a second...\High-energy object approaching at high speed!\Karen!\That bitch!\You!\Karen!\I'm the one you're after.\Then this attack is quite cowardly. response:	Don't flatter yourself.
context: High-energy object approaching at high speed!\Karen!\That bitch!\You!\Karen!\I'm the one you're after.\Then this attack is quite cowardly.\Don't flatter yourself. response:	I'll annihilate all humans! With this!
context: Karen!\That bitch!\You!\Karen!\I'm the one you're after.\Then this attack is quite cowardly.\Don't flatter yourself.\I'll annihilate all humans! With this! response:	Come on, shoot me!
context: That bitch!\You!\Karen!\I'm the one you're after.\Then this attack is quite cowardly.\Don't flatter yourself.\I'll annihilate all humans! With this!\Come on, shoot me! response:	Just kill me.
context: You!\Karen!\I'm the one you're after.\Then this attack is quite cowardly.\Don't flatter yourself.\I'll annihilate all humans! With this!\Come on, shoot me!\Just kill me. response:	Self-sacrifice, huh? That's what makes humans weak.
context: Karen!\I'm the one you're after.\Then this attack is quite cowardly.\Don't flatter yourself.\I'll annihilate all humans! With this!\Come on, shoot me!\Just kill me.\Self-sacrifice, huh? That's what makes humans weak. response:	Look, it's Sector 17.
context: I'm the one you're after.\Then this attack is quite cowardly.\Don't flatter yourself.\I'll annihilate all humans! With this!\Come on, shoot me!\Just kill me.\Self-sacrifice, huh? That's what makes humans weak.\Look, it's Sector 17. response:	Go down with everyone, Karen!
context: Then this attack is quite cowardly.\Don't flatter yourself.\I'll annihilate all humans! With this!\Come on, shoot me!\Just kill me.\Self-sacrifice, huh? That's what makes humans weak.\Look, it's Sector 17.\Go down with everyone, Karen! response:	The detonator.
context: Don't flatter yourself.\I'll annihilate all humans! With this!\Come on, shoot me!\Just kill me.\Self-sacrifice, huh? That's what makes humans weak.\Look, it's Sector 17.\Go down with everyone, Karen!\The detonator. response:	No.
context: I'll annihilate all humans! With this!\Come on, shoot me!\Just kill me.\Self-sacrifice, huh? That's what makes humans weak.\Look, it's Sector 17.\Go down with everyone, Karen!\The detonator.\No. response:	Seek, you -
context: Come on, shoot me!\Just kill me.\Self-sacrifice, huh? That's what makes humans weak.\Look, it's Sector 17.\Go down with everyone, Karen!\The detonator.\No.\Seek, you - response:	If you think humans are garbage,
context: Just kill me.\Self-sacrifice, huh? That's what makes humans weak.\Look, it's Sector 17.\Go down with everyone, Karen!\The detonator.\No.\Seek, you -\If you think humans are garbage, response:	and you're trying to become like humans,
context: Self-sacrifice, huh? That's what makes humans weak.\Look, it's Sector 17.\Go down with everyone, Karen!\The detonator.\No.\Seek, you -\If you think humans are garbage,\and you're trying to become like humans, response:	then you're garbage, too.
context: Look, it's Sector 17.\Go down with everyone, Karen!\The detonator.\No.\Seek, you -\If you think humans are garbage,\and you're trying to become like humans,\then you're garbage, too. response:	Machines are not garbage!
context: Go down with everyone, Karen!\The detonator.\No.\Seek, you -\If you think humans are garbage,\and you're trying to become like humans,\then you're garbage, too.\Machines are not garbage! response:	Great Genie!!!
context: The detonator.\No.\Seek, you -\If you think humans are garbage,\and you're trying to become like humans,\then you're garbage, too.\Machines are not garbage!\Great Genie!!! response:	I was born from you, SEEK! Yet, you...
context: No.\Seek, you -\If you think humans are garbage,\and you're trying to become like humans,\then you're garbage, too.\Machines are not garbage!\Great Genie!!!\I was born from you, SEEK! Yet, you... response:	You're not getting away.
context: Seek, you -\If you think humans are garbage,\and you're trying to become like humans,\then you're garbage, too.\Machines are not garbage!\Great Genie!!!\I was born from you, SEEK! Yet, you...\You're not getting away. response:	What?
context: If you think humans are garbage,\and you're trying to become like humans,\then you're garbage, too.\Machines are not garbage!\Great Genie!!!\I was born from you, SEEK! Yet, you...\You're not getting away.\What? response:	Evolution is a process of selection.
context: and you're trying to become like humans,\then you're garbage, too.\Machines are not garbage!\Great Genie!!!\I was born from you, SEEK! Yet, you...\You're not getting away.\What?\Evolution is a process of selection. response:	For humans and for machines.
