context: I find it hard to say this, but... response:	If you come back and say, It's impossible, after all, it would be oh so nice...
context: Yep...\In this world, there is nothing as impartial as death.\For all living creatures, death is sure to eventually come knocking.\Death is an equalizer - it is an absolute truth...\and it is always lingering right beside us.\Nevertheless, people make the best use of their wits and courage...\Struggling... floundering...\they cling to life until the very end. response:	You see, we actually like this unjust and unequal world...
context: In this world, there is nothing as impartial as death.\For all living creatures, death is sure to eventually come knocking.\Death is an equalizer - it is an absolute truth...\and it is always lingering right beside us.\Nevertheless, people make the best use of their wits and courage...\Struggling... floundering...\they cling to life until the very end.\You see, we actually like this unjust and unequal world... response:	Everyone, unable to resist, goes down in
context: For all living creatures, death is sure to eventually come knocking.\Death is an equalizer - it is an absolute truth...\and it is always lingering right beside us.\Nevertheless, people make the best use of their wits and courage...\Struggling... floundering...\they cling to life until the very end.\You see, we actually like this unjust and unequal world...\Everyone, unable to resist, goes down in response:	Make those eyes shine brighter than a torch
context: Death is an equalizer - it is an absolute truth...\and it is always lingering right beside us.\Nevertheless, people make the best use of their wits and courage...\Struggling... floundering...\they cling to life until the very end.\You see, we actually like this unjust and unequal world...\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch response:	The destination we are aiming for is deep
context: and it is always lingering right beside us.\Nevertheless, people make the best use of their wits and courage...\Struggling... floundering...\they cling to life until the very end.\You see, we actually like this unjust and unequal world...\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep response:	We squarely lose our way
context: Nevertheless, people make the best use of their wits and courage...\Struggling... floundering...\they cling to life until the very end.\You see, we actually like this unjust and unequal world...\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way response:	The trap of the open-mouthed netherworld
context: Struggling... floundering...\they cling to life until the very end.\You see, we actually like this unjust and unequal world...\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld response:	Let's chase the traces of truth
context: they cling to life until the very end.\You see, we actually like this unjust and unequal world...\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth response:	If an answer can be found now, we don't mind losing it all
context: You see, we actually like this unjust and unequal world...\Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all response:	The echo is still reverberating
context: Everyone, unable to resist, goes down in\Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating response:	So that we do not part with that voice
context: Make those eyes shine brighter than a torch\The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice response:	The compass is always
context: The destination we are aiming for is deep\We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always response:	Pointed to the darkness
context: We squarely lose our way\The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness response:	Where there is no escape
context: The trap of the open-mouthed netherworld\Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape response:	In that direction
context: Let's chase the traces of truth\If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction response:	Even if that is a curse
context: If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse response:	The pulse is the real thing
context: The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing response:	Never again will the yearning stop
context: So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop response:	I wonder where Riko and Reg are right now...
context: The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\I wonder where Riko and Reg are right now... response:	I bet they're somewhere around the Great Fault.
context: Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\I wonder where Riko and Reg are right now...\I bet they're somewhere around the Great Fault. response:	Huh?! How would you know that?
context: Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\I wonder where Riko and Reg are right now...\I bet they're somewhere around the Great Fault.\Huh?! How would you know that? response:	It's the result of a calculation I made based on the number of days it's been and Reg's abilities...
context: In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\I wonder where Riko and Reg are right now...\I bet they're somewhere around the Great Fault.\Huh?! How would you know that?\It's the result of a calculation I made based on the number of days it's been and Reg's abilities... response:	The Rough Map of the Netherworld?
context: Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\I wonder where Riko and Reg are right now...\I bet they're somewhere around the Great Fault.\Huh?! How would you know that?\It's the result of a calculation I made based on the number of days it's been and Reg's abilities...\The Rough Map of the Netherworld? response:	I made a copy of it back when I borrowed it earlier.
context: The pulse is the real thing\Never again will the yearning stop\I wonder where Riko and Reg are right now...\I bet they're somewhere around the Great Fault.\Huh?! How would you know that?\It's the result of a calculation I made based on the number of days it's been and Reg's abilities...\The Rough Map of the Netherworld?\I made a copy of it back when I borrowed it earlier. response:	The Great Fault...
context: Never again will the yearning stop\I wonder where Riko and Reg are right now...\I bet they're somewhere around the Great Fault.\Huh?! How would you know that?\It's the result of a calculation I made based on the number of days it's been and Reg's abilities...\The Rough Map of the Netherworld?\I made a copy of it back when I borrowed it earlier.\The Great Fault... response:	A vertical wall spanning more than 4,000 meters...
context: I wonder where Riko and Reg are right now...\I bet they're somewhere around the Great Fault.\Huh?! How would you know that?\It's the result of a calculation I made based on the number of days it's been and Reg's abilities...\The Rough Map of the Netherworld?\I made a copy of it back when I borrowed it earlier.\The Great Fault...\A vertical wall spanning more than 4,000 meters... response:	From there on out, the strain of ascending becomes more severe,
context: I bet they're somewhere around the Great Fault.\Huh?! How would you know that?\It's the result of a calculation I made based on the number of days it's been and Reg's abilities...\The Rough Map of the Netherworld?\I made a copy of it back when I borrowed it earlier.\The Great Fault...\A vertical wall spanning more than 4,000 meters...\From there on out, the strain of ascending becomes more severe, response:	and people start seeing and hearing things.
context: Huh?! How would you know that?\It's the result of a calculation I made based on the number of days it's been and Reg's abilities...\The Rough Map of the Netherworld?\I made a copy of it back when I borrowed it earlier.\The Great Fault...\A vertical wall spanning more than 4,000 meters...\From there on out, the strain of ascending becomes more severe,\and people start seeing and hearing things. response:	It looks perfectly smooth...
context: It's the result of a calculation I made based on the number of days it's been and Reg's abilities...\The Rough Map of the Netherworld?\I made a copy of it back when I borrowed it earlier.\The Great Fault...\A vertical wall spanning more than 4,000 meters...\From there on out, the strain of ascending becomes more severe,\and people start seeing and hearing things.\It looks perfectly smooth... response:	How are you supposed to descend that thing?
context: The Rough Map of the Netherworld?\I made a copy of it back when I borrowed it earlier.\The Great Fault...\A vertical wall spanning more than 4,000 meters...\From there on out, the strain of ascending becomes more severe,\and people start seeing and hearing things.\It looks perfectly smooth...\How are you supposed to descend that thing? response:	I don't know...
context: I made a copy of it back when I borrowed it earlier.\The Great Fault...\A vertical wall spanning more than 4,000 meters...\From there on out, the strain of ascending becomes more severe,\and people start seeing and hearing things.\It looks perfectly smooth...\How are you supposed to descend that thing?\I don't know... response:	But, Reg managed to climb it.
context: The Great Fault...\A vertical wall spanning more than 4,000 meters...\From there on out, the strain of ascending becomes more severe,\and people start seeing and hearing things.\It looks perfectly smooth...\How are you supposed to descend that thing?\I don't know...\But, Reg managed to climb it. response:	Surely there must be a viable route somewhere...
context: A vertical wall spanning more than 4,000 meters...\From there on out, the strain of ascending becomes more severe,\and people start seeing and hearing things.\It looks perfectly smooth...\How are you supposed to descend that thing?\I don't know...\But, Reg managed to climb it.\Surely there must be a viable route somewhere... response:	Another exit hole!
context: From there on out, the strain of ascending becomes more severe,\and people start seeing and hearing things.\It looks perfectly smooth...\How are you supposed to descend that thing?\I don't know...\But, Reg managed to climb it.\Surely there must be a viable route somewhere...\Another exit hole! response:	Look! It's a madokajack!
context: and people start seeing and hearing things.\It looks perfectly smooth...\How are you supposed to descend that thing?\I don't know...\But, Reg managed to climb it.\Surely there must be a viable route somewhere...\Another exit hole!\Look! It's a madokajack! response:	Riko, it's dangerous to stick your head out like that!
context: It looks perfectly smooth...\How are you supposed to descend that thing?\I don't know...\But, Reg managed to climb it.\Surely there must be a viable route somewhere...\Another exit hole!\Look! It's a madokajack!\Riko, it's dangerous to stick your head out like that! response:	Anyway, what are we going to do?
context: How are you supposed to descend that thing?\I don't know...\But, Reg managed to climb it.\Surely there must be a viable route somewhere...\Another exit hole!\Look! It's a madokajack!\Riko, it's dangerous to stick your head out like that!\Anyway, what are we going to do? response:	Our only options are to start descending the cliff face, or to brace for the Curse's effect on you and head back.
context: I don't know...\But, Reg managed to climb it.\Surely there must be a viable route somewhere...\Another exit hole!\Look! It's a madokajack!\Riko, it's dangerous to stick your head out like that!\Anyway, what are we going to do?\Our only options are to start descending the cliff face, or to brace for the Curse's effect on you and head back. response:	Any other holes nearby...?
context: But, Reg managed to climb it.\Surely there must be a viable route somewhere...\Another exit hole!\Look! It's a madokajack!\Riko, it's dangerous to stick your head out like that!\Anyway, what are we going to do?\Our only options are to start descending the cliff face, or to brace for the Curse's effect on you and head back.\Any other holes nearby...? response:	How about that one?
context: Surely there must be a viable route somewhere...\Another exit hole!\Look! It's a madokajack!\Riko, it's dangerous to stick your head out like that!\Anyway, what are we going to do?\Our only options are to start descending the cliff face, or to brace for the Curse's effect on you and head back.\Any other holes nearby...?\How about that one? response:	The spot with the critter droppings sticking out!
context: Another exit hole!\Look! It's a madokajack!\Riko, it's dangerous to stick your head out like that!\Anyway, what are we going to do?\Our only options are to start descending the cliff face, or to brace for the Curse's effect on you and head back.\Any other holes nearby...?\How about that one?\The spot with the critter droppings sticking out! response:	Riko, go ahead now!
context: Look! It's a madokajack!\Riko, it's dangerous to stick your head out like that!\Anyway, what are we going to do?\Our only options are to start descending the cliff face, or to brace for the Curse's effect on you and head back.\Any other holes nearby...?\How about that one?\The spot with the critter droppings sticking out!\Riko, go ahead now! response:	Alright!
context: Riko, it's dangerous to stick your head out like that!\Anyway, what are we going to do?\Our only options are to start descending the cliff face, or to brace for the Curse's effect on you and head back.\Any other holes nearby...?\How about that one?\The spot with the critter droppings sticking out!\Riko, go ahead now!\Alright! response:	Sorry...
context: Anyway, what are we going to do?\Our only options are to start descending the cliff face, or to brace for the Curse's effect on you and head back.\Any other holes nearby...?\How about that one?\The spot with the critter droppings sticking out!\Riko, go ahead now!\Alright!\Sorry... response:	I would have rather made a delicious meal out of you guys.
context: Our only options are to start descending the cliff face, or to brace for the Curse's effect on you and head back.\Any other holes nearby...?\How about that one?\The spot with the critter droppings sticking out!\Riko, go ahead now!\Alright!\Sorry...\I would have rather made a delicious meal out of you guys. response:	Unable to fly in the sky or run on walls,
context: Any other holes nearby...?\How about that one?\The spot with the critter droppings sticking out!\Riko, go ahead now!\Alright!\Sorry...\I would have rather made a delicious meal out of you guys.\Unable to fly in the sky or run on walls, response:	weaklings like us are simply picked off and eaten.
context: How about that one?\The spot with the critter droppings sticking out!\Riko, go ahead now!\Alright!\Sorry...\I would have rather made a delicious meal out of you guys.\Unable to fly in the sky or run on walls,\weaklings like us are simply picked off and eaten. response:	Weaklings have no choice but to choose the path of the weak, you see.
context: The spot with the critter droppings sticking out!\Riko, go ahead now!\Alright!\Sorry...\I would have rather made a delicious meal out of you guys.\Unable to fly in the sky or run on walls,\weaklings like us are simply picked off and eaten.\Weaklings have no choice but to choose the path of the weak, you see. response:	Riko, hurry and get further inside!
context: Riko, go ahead now!\Alright!\Sorry...\I would have rather made a delicious meal out of you guys.\Unable to fly in the sky or run on walls,\weaklings like us are simply picked off and eaten.\Weaklings have no choice but to choose the path of the weak, you see.\Riko, hurry and get further inside! response:	What was that...?
context: Alright!\Sorry...\I would have rather made a delicious meal out of you guys.\Unable to fly in the sky or run on walls,\weaklings like us are simply picked off and eaten.\Weaklings have no choice but to choose the path of the weak, you see.\Riko, hurry and get further inside!\What was that...? response:	Reg!
context: Sorry...\I would have rather made a delicious meal out of you guys.\Unable to fly in the sky or run on walls,\weaklings like us are simply picked off and eaten.\Weaklings have no choice but to choose the path of the weak, you see.\Riko, hurry and get further inside!\What was that...?\Reg! response:	We did it! This den extends way, way down!
context: I would have rather made a delicious meal out of you guys.\Unable to fly in the sky or run on walls,\weaklings like us are simply picked off and eaten.\Weaklings have no choice but to choose the path of the weak, you see.\Riko, hurry and get further inside!\What was that...?\Reg!\We did it! This den extends way, way down! response:	Hey! Quick! Hurry up!
context: Unable to fly in the sky or run on walls,\weaklings like us are simply picked off and eaten.\Weaklings have no choice but to choose the path of the weak, you see.\Riko, hurry and get further inside!\What was that...?\Reg!\We did it! This den extends way, way down!\Hey! Quick! Hurry up! response:	Ah, I'm coming now.
context: weaklings like us are simply picked off and eaten.\Weaklings have no choice but to choose the path of the weak, you see.\Riko, hurry and get further inside!\What was that...?\Reg!\We did it! This den extends way, way down!\Hey! Quick! Hurry up!\Ah, I'm coming now. response:	That sound...
context: Weaklings have no choice but to choose the path of the weak, you see.\Riko, hurry and get further inside!\What was that...?\Reg!\We did it! This den extends way, way down!\Hey! Quick! Hurry up!\Ah, I'm coming now.\That sound... response:	Something about it bothers me.
context: Riko, hurry and get further inside!\What was that...?\Reg!\We did it! This den extends way, way down!\Hey! Quick! Hurry up!\Ah, I'm coming now.\That sound...\Something about it bothers me. response:	We've descended quite a ways.
context: What was that...?\Reg!\We did it! This den extends way, way down!\Hey! Quick! Hurry up!\Ah, I'm coming now.\That sound...\Something about it bothers me.\We've descended quite a ways. response:	Yeah...
context: Reg!\We did it! This den extends way, way down!\Hey! Quick! Hurry up!\Ah, I'm coming now.\That sound...\Something about it bothers me.\We've descended quite a ways.\Yeah... response:	Still, I know it was for the sake of pushing forward, but we totally trashed this den.
context: We did it! This den extends way, way down!\Hey! Quick! Hurry up!\Ah, I'm coming now.\That sound...\Something about it bothers me.\We've descended quite a ways.\Yeah...\Still, I know it was for the sake of pushing forward, but we totally trashed this den. response:	We should be grateful to these little guys.
context: Hey! Quick! Hurry up!\Ah, I'm coming now.\That sound...\Something about it bothers me.\We've descended quite a ways.\Yeah...\Still, I know it was for the sake of pushing forward, but we totally trashed this den.\We should be grateful to these little guys. response:	Yeah, thanks to them we haven't had any trouble finding food or a place to sleep.
context: Ah, I'm coming now.\That sound...\Something about it bothers me.\We've descended quite a ways.\Yeah...\Still, I know it was for the sake of pushing forward, but we totally trashed this den.\We should be grateful to these little guys.\Yeah, thanks to them we haven't had any trouble finding food or a place to sleep. response:	And they primarily live on baracocha fruit, so their meat is tender and delicious, too.
context: That sound...\Something about it bothers me.\We've descended quite a ways.\Yeah...\Still, I know it was for the sake of pushing forward, but we totally trashed this den.\We should be grateful to these little guys.\Yeah, thanks to them we haven't had any trouble finding food or a place to sleep.\And they primarily live on baracocha fruit, so their meat is tender and delicious, too. response:	Are these some kind of ruins?
context: Something about it bothers me.\We've descended quite a ways.\Yeah...\Still, I know it was for the sake of pushing forward, but we totally trashed this den.\We should be grateful to these little guys.\Yeah, thanks to them we haven't had any trouble finding food or a place to sleep.\And they primarily live on baracocha fruit, so their meat is tender and delicious, too.\Are these some kind of ruins? response:	Reg!
context: We've descended quite a ways.\Yeah...\Still, I know it was for the sake of pushing forward, but we totally trashed this den.\We should be grateful to these little guys.\Yeah, thanks to them we haven't had any trouble finding food or a place to sleep.\And they primarily live on baracocha fruit, so their meat is tender and delicious, too.\Are these some kind of ruins?\Reg! response:	This is part of a ship!
context: Yeah...\Still, I know it was for the sake of pushing forward, but we totally trashed this den.\We should be grateful to these little guys.\Yeah, thanks to them we haven't had any trouble finding food or a place to sleep.\And they primarily live on baracocha fruit, so their meat is tender and delicious, too.\Are these some kind of ruins?\Reg!\This is part of a ship! response:	One from a long, long time ago!
context: Still, I know it was for the sake of pushing forward, but we totally trashed this den.\We should be grateful to these little guys.\Yeah, thanks to them we haven't had any trouble finding food or a place to sleep.\And they primarily live on baracocha fruit, so their meat is tender and delicious, too.\Are these some kind of ruins?\Reg!\This is part of a ship!\One from a long, long time ago! response:	A ship?!
context: We should be grateful to these little guys.\Yeah, thanks to them we haven't had any trouble finding food or a place to sleep.\And they primarily live on baracocha fruit, so their meat is tender and delicious, too.\Are these some kind of ruins?\Reg!\This is part of a ship!\One from a long, long time ago!\A ship?! response:	I wonder if there are still any Relics inside...
context: Yeah, thanks to them we haven't had any trouble finding food or a place to sleep.\And they primarily live on baracocha fruit, so their meat is tender and delicious, too.\Are these some kind of ruins?\Reg!\This is part of a ship!\One from a long, long time ago!\A ship?!\I wonder if there are still any Relics inside... response:	Relics, Relics...
context: And they primarily live on baracocha fruit, so their meat is tender and delicious, too.\Are these some kind of ruins?\Reg!\This is part of a ship!\One from a long, long time ago!\A ship?!\I wonder if there are still any Relics inside...\Relics, Relics... response:	But, why is there a ship here in the first place...?
context: Are these some kind of ruins?\Reg!\This is part of a ship!\One from a long, long time ago!\A ship?!\I wonder if there are still any Relics inside...\Relics, Relics...\But, why is there a ship here in the first place...? response:	Any Relics out there?
context: Reg!\This is part of a ship!\One from a long, long time ago!\A ship?!\I wonder if there are still any Relics inside...\Relics, Relics...\But, why is there a ship here in the first place...?\Any Relics out there? response:	Hello there! Relics...?
context: This is part of a ship!\One from a long, long time ago!\A ship?!\I wonder if there are still any Relics inside...\Relics, Relics...\But, why is there a ship here in the first place...?\Any Relics out there?\Hello there! Relics...? response:	What's this?
context: One from a long, long time ago!\A ship?!\I wonder if there are still any Relics inside...\Relics, Relics...\But, why is there a ship here in the first place...?\Any Relics out there?\Hello there! Relics...?\What's this? response:	This is...
context: A ship?!\I wonder if there are still any Relics inside...\Relics, Relics...\But, why is there a ship here in the first place...?\Any Relics out there?\Hello there! Relics...?\What's this?\This is... response:	a madokajack's...
context: I wonder if there are still any Relics inside...\Relics, Relics...\But, why is there a ship here in the first place...?\Any Relics out there?\Hello there! Relics...?\What's this?\This is...\a madokajack's... response:	lair...
context: Relics, Relics...\But, why is there a ship here in the first place...?\Any Relics out there?\Hello there! Relics...?\What's this?\This is...\a madokajack's...\lair... response:	It's so quick!
context: But, why is there a ship here in the first place...?\Any Relics out there?\Hello there! Relics...?\What's this?\This is...\a madokajack's...\lair...\It's so quick! response:	Even if I hurl my fists at it, they'll just get chomped on!
context: Any Relics out there?\Hello there! Relics...?\What's this?\This is...\a madokajack's...\lair...\It's so quick!\Even if I hurl my fists at it, they'll just get chomped on! response:	Should I just shoot it?
context: Hello there! Relics...?\What's this?\This is...\a madokajack's...\lair...\It's so quick!\Even if I hurl my fists at it, they'll just get chomped on!\Should I just shoot it? response:	Now!
context: What's this?\This is...\a madokajack's...\lair...\It's so quick!\Even if I hurl my fists at it, they'll just get chomped on!\Should I just shoot it?\Now! response:	Once you fire it, no matter how you push yourself, you always faint after around ten minutes.
context: This is...\a madokajack's...\lair...\It's so quick!\Even if I hurl my fists at it, they'll just get chomped on!\Should I just shoot it?\Now!\Once you fire it, no matter how you push yourself, you always faint after around ten minutes. response:	Then it's a full two hours until you wake up.
context: a madokajack's...\lair...\It's so quick!\Even if I hurl my fists at it, they'll just get chomped on!\Should I just shoot it?\Now!\Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up. response:	Just try leaving a helpless child on her own in the second layer for two hours.
context: lair...\It's so quick!\Even if I hurl my fists at it, they'll just get chomped on!\Should I just shoot it?\Now!\Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up.\Just try leaving a helpless child on her own in the second layer for two hours. response:	I wonder just how she'll be torn to shreds and eaten...
context: It's so quick!\Even if I hurl my fists at it, they'll just get chomped on!\Should I just shoot it?\Now!\Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up.\Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten... response:	Still, when you really do have to use it,
context: Even if I hurl my fists at it, they'll just get chomped on!\Should I just shoot it?\Now!\Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up.\Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it, response:	go all out to make sure whatever it is doesn't come after you again in the future.
context: Should I just shoot it?\Now!\Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up.\Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it,\go all out to make sure whatever it is doesn't come after you again in the future. response:	No matter your opponent or whatever lies in the vicinity,
context: Now!\Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up.\Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it,\go all out to make sure whatever it is doesn't come after you again in the future.\No matter your opponent or whatever lies in the vicinity, response:	when the time comes don't hesitate or show any mercy.
context: Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up.\Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it,\go all out to make sure whatever it is doesn't come after you again in the future.\No matter your opponent or whatever lies in the vicinity,\when the time comes don't hesitate or show any mercy. response:	This is no time to be indecisive!
context: Then it's a full two hours until you wake up.\Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it,\go all out to make sure whatever it is doesn't come after you again in the future.\No matter your opponent or whatever lies in the vicinity,\when the time comes don't hesitate or show any mercy.\This is no time to be indecisive! response:	Do it now!
context: Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it,\go all out to make sure whatever it is doesn't come after you again in the future.\No matter your opponent or whatever lies in the vicinity,\when the time comes don't hesitate or show any mercy.\This is no time to be indecisive!\Do it now! response:	Way to go!
context: I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it,\go all out to make sure whatever it is doesn't come after you again in the future.\No matter your opponent or whatever lies in the vicinity,\when the time comes don't hesitate or show any mercy.\This is no time to be indecisive!\Do it now!\Way to go! response:	I wonder how madokajacks taste...
context: Still, when you really do have to use it,\go all out to make sure whatever it is doesn't come after you again in the future.\No matter your opponent or whatever lies in the vicinity,\when the time comes don't hesitate or show any mercy.\This is no time to be indecisive!\Do it now!\Way to go!\I wonder how madokajacks taste... response:	Riko! Listen to me!
context: go all out to make sure whatever it is doesn't come after you again in the future.\No matter your opponent or whatever lies in the vicinity,\when the time comes don't hesitate or show any mercy.\This is no time to be indecisive!\Do it now!\Way to go!\I wonder how madokajacks taste...\Riko! Listen to me! response:	I'm going to fall asleep before long now that I did that!
context: No matter your opponent or whatever lies in the vicinity,\when the time comes don't hesitate or show any mercy.\This is no time to be indecisive!\Do it now!\Way to go!\I wonder how madokajacks taste...\Riko! Listen to me!\I'm going to fall asleep before long now that I did that! response:	Two hours...
context: when the time comes don't hesitate or show any mercy.\This is no time to be indecisive!\Do it now!\Way to go!\I wonder how madokajacks taste...\Riko! Listen to me!\I'm going to fall asleep before long now that I did that!\Two hours... response:	During that time, you'll be-
context: This is no time to be indecisive!\Do it now!\Way to go!\I wonder how madokajacks taste...\Riko! Listen to me!\I'm going to fall asleep before long now that I did that!\Two hours...\During that time, you'll be- response:	I heard it earlier, too, but what the heck is that?
