context: Sir Villar. response:	Duke Theo Cornaro...
context: However, I intend to forsake the Constance name\and take my mother's family name, Stelea instead.\Please wait!\I'm nowhere near the caliber of my brother Villar.\Even on that day that we lost this castle to Milza,\far from being an asset to him, I was only a liability.\Still...\You're the one who should succeed the Constance family. response:	So as of today,
context: and take my mother's family name, Stelea instead.\Please wait!\I'm nowhere near the caliber of my brother Villar.\Even on that day that we lost this castle to Milza,\far from being an asset to him, I was only a liability.\Still...\You're the one who should succeed the Constance family.\So as of today, response:	I want you to become the head of the Constance family.
context: Please wait!\I'm nowhere near the caliber of my brother Villar.\Even on that day that we lost this castle to Milza,\far from being an asset to him, I was only a liability.\Still...\You're the one who should succeed the Constance family.\So as of today,\I want you to become the head of the Constance family. response:	Understood.
context: I'm nowhere near the caliber of my brother Villar.\Even on that day that we lost this castle to Milza,\far from being an asset to him, I was only a liability.\Still...\You're the one who should succeed the Constance family.\So as of today,\I want you to become the head of the Constance family.\Understood. response:	With that in mind, you should also pledge fealty to Duke Theo Cornaro.
context: Even on that day that we lost this castle to Milza,\far from being an asset to him, I was only a liability.\Still...\You're the one who should succeed the Constance family.\So as of today,\I want you to become the head of the Constance family.\Understood.\With that in mind, you should also pledge fealty to Duke Theo Cornaro. response:	Even if we combined our Crests,
context: far from being an asset to him, I was only a liability.\Still...\You're the one who should succeed the Constance family.\So as of today,\I want you to become the head of the Constance family.\Understood.\With that in mind, you should also pledge fealty to Duke Theo Cornaro.\Even if we combined our Crests, response:	it wouldn't be enough to rule over Altirk and Regalia, after all.
context: Still...\You're the one who should succeed the Constance family.\So as of today,\I want you to become the head of the Constance family.\Understood.\With that in mind, you should also pledge fealty to Duke Theo Cornaro.\Even if we combined our Crests,\it wouldn't be enough to rule over Altirk and Regalia, after all. response:	As long as Sir Theo is in agreement.
context: You're the one who should succeed the Constance family.\So as of today,\I want you to become the head of the Constance family.\Understood.\With that in mind, you should also pledge fealty to Duke Theo Cornaro.\Even if we combined our Crests,\it wouldn't be enough to rule over Altirk and Regalia, after all.\As long as Sir Theo is in agreement. response:	I accept.
context: So as of today,\I want you to become the head of the Constance family.\Understood.\With that in mind, you should also pledge fealty to Duke Theo Cornaro.\Even if we combined our Crests,\it wouldn't be enough to rule over Altirk and Regalia, after all.\As long as Sir Theo is in agreement.\I accept. response:	Now that my master, the Earl of Sistina, Theo Cornaro has become leader of the Treaty,
context: I want you to become the head of the Constance family.\Understood.\With that in mind, you should also pledge fealty to Duke Theo Cornaro.\Even if we combined our Crests,\it wouldn't be enough to rule over Altirk and Regalia, after all.\As long as Sir Theo is in agreement.\I accept.\Now that my master, the Earl of Sistina, Theo Cornaro has become leader of the Treaty, response:	we're in agreement to entrust your Crests to him.
context: Understood.\With that in mind, you should also pledge fealty to Duke Theo Cornaro.\Even if we combined our Crests,\it wouldn't be enough to rule over Altirk and Regalia, after all.\As long as Sir Theo is in agreement.\I accept.\Now that my master, the Earl of Sistina, Theo Cornaro has become leader of the Treaty,\we're in agreement to entrust your Crests to him. response:	I plan to carry on the legacy of Earl Villar Constance who died shielding us.
context: With that in mind, you should also pledge fealty to Duke Theo Cornaro.\Even if we combined our Crests,\it wouldn't be enough to rule over Altirk and Regalia, after all.\As long as Sir Theo is in agreement.\I accept.\Now that my master, the Earl of Sistina, Theo Cornaro has become leader of the Treaty,\we're in agreement to entrust your Crests to him.\I plan to carry on the legacy of Earl Villar Constance who died shielding us. response:	Sir Villar stayed true to the Union's resolution to push for peace with the Alliance.
context: Even if we combined our Crests,\it wouldn't be enough to rule over Altirk and Regalia, after all.\As long as Sir Theo is in agreement.\I accept.\Now that my master, the Earl of Sistina, Theo Cornaro has become leader of the Treaty,\we're in agreement to entrust your Crests to him.\I plan to carry on the legacy of Earl Villar Constance who died shielding us.\Sir Villar stayed true to the Union's resolution to push for peace with the Alliance. response:	I'd like us to strive for that, too.
context: it wouldn't be enough to rule over Altirk and Regalia, after all.\As long as Sir Theo is in agreement.\I accept.\Now that my master, the Earl of Sistina, Theo Cornaro has become leader of the Treaty,\we're in agreement to entrust your Crests to him.\I plan to carry on the legacy of Earl Villar Constance who died shielding us.\Sir Villar stayed true to the Union's resolution to push for peace with the Alliance.\I'd like us to strive for that, too. response:	And so in order to take a neutral position, the Altirk Treaty
context: As long as Sir Theo is in agreement.\I accept.\Now that my master, the Earl of Sistina, Theo Cornaro has become leader of the Treaty,\we're in agreement to entrust your Crests to him.\I plan to carry on the legacy of Earl Villar Constance who died shielding us.\Sir Villar stayed true to the Union's resolution to push for peace with the Alliance.\I'd like us to strive for that, too.\And so in order to take a neutral position, the Altirk Treaty response:	will hereby break away from the Union!
context: I accept.\Now that my master, the Earl of Sistina, Theo Cornaro has become leader of the Treaty,\we're in agreement to entrust your Crests to him.\I plan to carry on the legacy of Earl Villar Constance who died shielding us.\Sir Villar stayed true to the Union's resolution to push for peace with the Alliance.\I'd like us to strive for that, too.\And so in order to take a neutral position, the Altirk Treaty\will hereby break away from the Union! response:	If we declare independence now, it will rattle the Union even more,
context: Now that my master, the Earl of Sistina, Theo Cornaro has become leader of the Treaty,\we're in agreement to entrust your Crests to him.\I plan to carry on the legacy of Earl Villar Constance who died shielding us.\Sir Villar stayed true to the Union's resolution to push for peace with the Alliance.\I'd like us to strive for that, too.\And so in order to take a neutral position, the Altirk Treaty\will hereby break away from the Union!\If we declare independence now, it will rattle the Union even more, response:	and I don't see the Alliance agreeing to reconcile.
context: we're in agreement to entrust your Crests to him.\I plan to carry on the legacy of Earl Villar Constance who died shielding us.\Sir Villar stayed true to the Union's resolution to push for peace with the Alliance.\I'd like us to strive for that, too.\And so in order to take a neutral position, the Altirk Treaty\will hereby break away from the Union!\If we declare independence now, it will rattle the Union even more,\and I don't see the Alliance agreeing to reconcile. response:	In the end, wouldn't such a move benefit the Alliance?
context: I plan to carry on the legacy of Earl Villar Constance who died shielding us.\Sir Villar stayed true to the Union's resolution to push for peace with the Alliance.\I'd like us to strive for that, too.\And so in order to take a neutral position, the Altirk Treaty\will hereby break away from the Union!\If we declare independence now, it will rattle the Union even more,\and I don't see the Alliance agreeing to reconcile.\In the end, wouldn't such a move benefit the Alliance? response:	We're still going to cooperate with the Union as we always have,
context: Sir Villar stayed true to the Union's resolution to push for peace with the Alliance.\I'd like us to strive for that, too.\And so in order to take a neutral position, the Altirk Treaty\will hereby break away from the Union!\If we declare independence now, it will rattle the Union even more,\and I don't see the Alliance agreeing to reconcile.\In the end, wouldn't such a move benefit the Alliance?\We're still going to cooperate with the Union as we always have, response:	and we'll continue battling the Alliance.
context: I'd like us to strive for that, too.\And so in order to take a neutral position, the Altirk Treaty\will hereby break away from the Union!\If we declare independence now, it will rattle the Union even more,\and I don't see the Alliance agreeing to reconcile.\In the end, wouldn't such a move benefit the Alliance?\We're still going to cooperate with the Union as we always have,\and we'll continue battling the Alliance. response:	Our goal is to ensure that the three factions strike a balance,
context: And so in order to take a neutral position, the Altirk Treaty\will hereby break away from the Union!\If we declare independence now, it will rattle the Union even more,\and I don't see the Alliance agreeing to reconcile.\In the end, wouldn't such a move benefit the Alliance?\We're still going to cooperate with the Union as we always have,\and we'll continue battling the Alliance.\Our goal is to ensure that the three factions strike a balance, response:	and bring the fighting to a standstill.
context: will hereby break away from the Union!\If we declare independence now, it will rattle the Union even more,\and I don't see the Alliance agreeing to reconcile.\In the end, wouldn't such a move benefit the Alliance?\We're still going to cooperate with the Union as we always have,\and we'll continue battling the Alliance.\Our goal is to ensure that the three factions strike a balance,\and bring the fighting to a standstill. response:	Otherwise, there won't be anything to negotiate.
context: If we declare independence now, it will rattle the Union even more,\and I don't see the Alliance agreeing to reconcile.\In the end, wouldn't such a move benefit the Alliance?\We're still going to cooperate with the Union as we always have,\and we'll continue battling the Alliance.\Our goal is to ensure that the three factions strike a balance,\and bring the fighting to a standstill.\Otherwise, there won't be anything to negotiate. response:	So I guess our only option is to hope the Union comes through.
context: and I don't see the Alliance agreeing to reconcile.\In the end, wouldn't such a move benefit the Alliance?\We're still going to cooperate with the Union as we always have,\and we'll continue battling the Alliance.\Our goal is to ensure that the three factions strike a balance,\and bring the fighting to a standstill.\Otherwise, there won't be anything to negotiate.\So I guess our only option is to hope the Union comes through. response:	Right. If the Union doesn't make a move, we're finished.
context: In the end, wouldn't such a move benefit the Alliance?\We're still going to cooperate with the Union as we always have,\and we'll continue battling the Alliance.\Our goal is to ensure that the three factions strike a balance,\and bring the fighting to a standstill.\Otherwise, there won't be anything to negotiate.\So I guess our only option is to hope the Union comes through.\Right. If the Union doesn't make a move, we're finished. response:	We might have defeated Prince Milza and reclaimed Altirk,
context: We're still going to cooperate with the Union as we always have,\and we'll continue battling the Alliance.\Our goal is to ensure that the three factions strike a balance,\and bring the fighting to a standstill.\Otherwise, there won't be anything to negotiate.\So I guess our only option is to hope the Union comes through.\Right. If the Union doesn't make a move, we're finished.\We might have defeated Prince Milza and reclaimed Altirk, response:	but the Alliance is still as powerful as ever.
context: and we'll continue battling the Alliance.\Our goal is to ensure that the three factions strike a balance,\and bring the fighting to a standstill.\Otherwise, there won't be anything to negotiate.\So I guess our only option is to hope the Union comes through.\Right. If the Union doesn't make a move, we're finished.\We might have defeated Prince Milza and reclaimed Altirk,\but the Alliance is still as powerful as ever. response:	Unfortunately, we have no time to sit back and relax.
context: Our goal is to ensure that the three factions strike a balance,\and bring the fighting to a standstill.\Otherwise, there won't be anything to negotiate.\So I guess our only option is to hope the Union comes through.\Right. If the Union doesn't make a move, we're finished.\We might have defeated Prince Milza and reclaimed Altirk,\but the Alliance is still as powerful as ever.\Unfortunately, we have no time to sit back and relax. response:	However,
context: and bring the fighting to a standstill.\Otherwise, there won't be anything to negotiate.\So I guess our only option is to hope the Union comes through.\Right. If the Union doesn't make a move, we're finished.\We might have defeated Prince Milza and reclaimed Altirk,\but the Alliance is still as powerful as ever.\Unfortunately, we have no time to sit back and relax.\However, response:	why don't we celebrate our victories on the battlefield just for tonight?
context: Otherwise, there won't be anything to negotiate.\So I guess our only option is to hope the Union comes through.\Right. If the Union doesn't make a move, we're finished.\We might have defeated Prince Milza and reclaimed Altirk,\but the Alliance is still as powerful as ever.\Unfortunately, we have no time to sit back and relax.\However,\why don't we celebrate our victories on the battlefield just for tonight? response:	Seriously, I'm exhausted.
context: So I guess our only option is to hope the Union comes through.\Right. If the Union doesn't make a move, we're finished.\We might have defeated Prince Milza and reclaimed Altirk,\but the Alliance is still as powerful as ever.\Unfortunately, we have no time to sit back and relax.\However,\why don't we celebrate our victories on the battlefield just for tonight?\Seriously, I'm exhausted. response:	Sir Theo!
context: Right. If the Union doesn't make a move, we're finished.\We might have defeated Prince Milza and reclaimed Altirk,\but the Alliance is still as powerful as ever.\Unfortunately, we have no time to sit back and relax.\However,\why don't we celebrate our victories on the battlefield just for tonight?\Seriously, I'm exhausted.\Sir Theo! response:	You still haven't gone to bed?
context: We might have defeated Prince Milza and reclaimed Altirk,\but the Alliance is still as powerful as ever.\Unfortunately, we have no time to sit back and relax.\However,\why don't we celebrate our victories on the battlefield just for tonight?\Seriously, I'm exhausted.\Sir Theo!\You still haven't gone to bed? response:	No.
context: but the Alliance is still as powerful as ever.\Unfortunately, we have no time to sit back and relax.\However,\why don't we celebrate our victories on the battlefield just for tonight?\Seriously, I'm exhausted.\Sir Theo!\You still haven't gone to bed?\No. response:	You must be tired. Please get some rest now.
context: Unfortunately, we have no time to sit back and relax.\However,\why don't we celebrate our victories on the battlefield just for tonight?\Seriously, I'm exhausted.\Sir Theo!\You still haven't gone to bed?\No.\You must be tired. Please get some rest now. response:	I'm planning to do just that.
context: However,\why don't we celebrate our victories on the battlefield just for tonight?\Seriously, I'm exhausted.\Sir Theo!\You still haven't gone to bed?\No.\You must be tired. Please get some rest now.\I'm planning to do just that. response:	I just wanted to talk to you about something first.
context: why don't we celebrate our victories on the battlefield just for tonight?\Seriously, I'm exhausted.\Sir Theo!\You still haven't gone to bed?\No.\You must be tired. Please get some rest now.\I'm planning to do just that.\I just wanted to talk to you about something first. response:	- Here you go. - Thanks.
context: Seriously, I'm exhausted.\Sir Theo!\You still haven't gone to bed?\No.\You must be tired. Please get some rest now.\I'm planning to do just that.\I just wanted to talk to you about something first.\- Here you go. - Thanks. response:	Congratulations on becoming leader of the Altirk Treaty, and a duke.
context: Sir Theo!\You still haven't gone to bed?\No.\You must be tired. Please get some rest now.\I'm planning to do just that.\I just wanted to talk to you about something first.\- Here you go. - Thanks.\Congratulations on becoming leader of the Altirk Treaty, and a duke. response:	Anyone can see that I'm out of place.
context: You still haven't gone to bed?\No.\You must be tired. Please get some rest now.\I'm planning to do just that.\I just wanted to talk to you about something first.\- Here you go. - Thanks.\Congratulations on becoming leader of the Altirk Treaty, and a duke.\Anyone can see that I'm out of place. response:	But you seemed so comfortable in the role.
context: No.\You must be tired. Please get some rest now.\I'm planning to do just that.\I just wanted to talk to you about something first.\- Here you go. - Thanks.\Congratulations on becoming leader of the Altirk Treaty, and a duke.\Anyone can see that I'm out of place.\But you seemed so comfortable in the role. response:	During the banquet, you showed no signs of arrogance,
context: You must be tired. Please get some rest now.\I'm planning to do just that.\I just wanted to talk to you about something first.\- Here you go. - Thanks.\Congratulations on becoming leader of the Altirk Treaty, and a duke.\Anyone can see that I'm out of place.\But you seemed so comfortable in the role.\During the banquet, you showed no signs of arrogance, response:	and was kind and considerate as you interacted with the Lords.
context: I'm planning to do just that.\I just wanted to talk to you about something first.\- Here you go. - Thanks.\Congratulations on becoming leader of the Altirk Treaty, and a duke.\Anyone can see that I'm out of place.\But you seemed so comfortable in the role.\During the banquet, you showed no signs of arrogance,\and was kind and considerate as you interacted with the Lords. response:	You were yourself, Sir Theo. I think that's a good thing.
context: I just wanted to talk to you about something first.\- Here you go. - Thanks.\Congratulations on becoming leader of the Altirk Treaty, and a duke.\Anyone can see that I'm out of place.\But you seemed so comfortable in the role.\During the banquet, you showed no signs of arrogance,\and was kind and considerate as you interacted with the Lords.\You were yourself, Sir Theo. I think that's a good thing. response:	I'm relieved that they acknowledge me now.
context: - Here you go. - Thanks.\Congratulations on becoming leader of the Altirk Treaty, and a duke.\Anyone can see that I'm out of place.\But you seemed so comfortable in the role.\During the banquet, you showed no signs of arrogance,\and was kind and considerate as you interacted with the Lords.\You were yourself, Sir Theo. I think that's a good thing.\I'm relieved that they acknowledge me now. response:	Your popularity among the soldiers and the people was overwhelming, too.
context: Congratulations on becoming leader of the Altirk Treaty, and a duke.\Anyone can see that I'm out of place.\But you seemed so comfortable in the role.\During the banquet, you showed no signs of arrogance,\and was kind and considerate as you interacted with the Lords.\You were yourself, Sir Theo. I think that's a good thing.\I'm relieved that they acknowledge me now.\Your popularity among the soldiers and the people was overwhelming, too. response:	All you had to do was show yourself, and everyone would start cheering.
context: Anyone can see that I'm out of place.\But you seemed so comfortable in the role.\During the banquet, you showed no signs of arrogance,\and was kind and considerate as you interacted with the Lords.\You were yourself, Sir Theo. I think that's a good thing.\I'm relieved that they acknowledge me now.\Your popularity among the soldiers and the people was overwhelming, too.\All you had to do was show yourself, and everyone would start cheering. response:	Even though so many soldiers lost their lives under my watch,
context: But you seemed so comfortable in the role.\During the banquet, you showed no signs of arrogance,\and was kind and considerate as you interacted with the Lords.\You were yourself, Sir Theo. I think that's a good thing.\I'm relieved that they acknowledge me now.\Your popularity among the soldiers and the people was overwhelming, too.\All you had to do was show yourself, and everyone would start cheering.\Even though so many soldiers lost their lives under my watch, response:	and even cost the civilians so many lives, as well.
context: During the banquet, you showed no signs of arrogance,\and was kind and considerate as you interacted with the Lords.\You were yourself, Sir Theo. I think that's a good thing.\I'm relieved that they acknowledge me now.\Your popularity among the soldiers and the people was overwhelming, too.\All you had to do was show yourself, and everyone would start cheering.\Even though so many soldiers lost their lives under my watch,\and even cost the civilians so many lives, as well. response:	To be honest,
context: and was kind and considerate as you interacted with the Lords.\You were yourself, Sir Theo. I think that's a good thing.\I'm relieved that they acknowledge me now.\Your popularity among the soldiers and the people was overwhelming, too.\All you had to do was show yourself, and everyone would start cheering.\Even though so many soldiers lost their lives under my watch,\and even cost the civilians so many lives, as well.\To be honest, response:	it pains my heart.
context: You were yourself, Sir Theo. I think that's a good thing.\I'm relieved that they acknowledge me now.\Your popularity among the soldiers and the people was overwhelming, too.\All you had to do was show yourself, and everyone would start cheering.\Even though so many soldiers lost their lives under my watch,\and even cost the civilians so many lives, as well.\To be honest,\it pains my heart. response:	Don't ever forget that feeling
context: I'm relieved that they acknowledge me now.\Your popularity among the soldiers and the people was overwhelming, too.\All you had to do was show yourself, and everyone would start cheering.\Even though so many soldiers lost their lives under my watch,\and even cost the civilians so many lives, as well.\To be honest,\it pains my heart.\Don't ever forget that feeling response:	and try to rule in a way that benefits your people.
context: Your popularity among the soldiers and the people was overwhelming, too.\All you had to do was show yourself, and everyone would start cheering.\Even though so many soldiers lost their lives under my watch,\and even cost the civilians so many lives, as well.\To be honest,\it pains my heart.\Don't ever forget that feeling\and try to rule in a way that benefits your people. response:	Of course. I'll never forget.
context: All you had to do was show yourself, and everyone would start cheering.\Even though so many soldiers lost their lives under my watch,\and even cost the civilians so many lives, as well.\To be honest,\it pains my heart.\Don't ever forget that feeling\and try to rule in a way that benefits your people.\Of course. I'll never forget. response:	But my final dream hasn't changed after all this time.
context: Even though so many soldiers lost their lives under my watch,\and even cost the civilians so many lives, as well.\To be honest,\it pains my heart.\Don't ever forget that feeling\and try to rule in a way that benefits your people.\Of course. I'll never forget.\But my final dream hasn't changed after all this time. response:	To return to my homeland, Marza, and to bring happiness to my village.
context: and even cost the civilians so many lives, as well.\To be honest,\it pains my heart.\Don't ever forget that feeling\and try to rule in a way that benefits your people.\Of course. I'll never forget.\But my final dream hasn't changed after all this time.\To return to my homeland, Marza, and to bring happiness to my village. response:	Right.
context: To be honest,\it pains my heart.\Don't ever forget that feeling\and try to rule in a way that benefits your people.\Of course. I'll never forget.\But my final dream hasn't changed after all this time.\To return to my homeland, Marza, and to bring happiness to my village.\Right. response:	No, actually, there's just one thing that's changed since then.
context: it pains my heart.\Don't ever forget that feeling\and try to rule in a way that benefits your people.\Of course. I'll never forget.\But my final dream hasn't changed after all this time.\To return to my homeland, Marza, and to bring happiness to my village.\Right.\No, actually, there's just one thing that's changed since then. response:	What would that be?
context: Don't ever forget that feeling\and try to rule in a way that benefits your people.\Of course. I'll never forget.\But my final dream hasn't changed after all this time.\To return to my homeland, Marza, and to bring happiness to my village.\Right.\No, actually, there's just one thing that's changed since then.\What would that be? response:	It's my final dream.
context: and try to rule in a way that benefits your people.\Of course. I'll never forget.\But my final dream hasn't changed after all this time.\To return to my homeland, Marza, and to bring happiness to my village.\Right.\No, actually, there's just one thing that's changed since then.\What would that be?\It's my final dream. response:	When I go back to Marza,
context: Of course. I'll never forget.\But my final dream hasn't changed after all this time.\To return to my homeland, Marza, and to bring happiness to my village.\Right.\No, actually, there's just one thing that's changed since then.\What would that be?\It's my final dream.\When I go back to Marza, response:	I want you to be by my side.
context: But my final dream hasn't changed after all this time.\To return to my homeland, Marza, and to bring happiness to my village.\Right.\No, actually, there's just one thing that's changed since then.\What would that be?\It's my final dream.\When I go back to Marza,\I want you to be by my side. response:	When I first met you, Sir Theo, I pledged my eternal loyalty to you.
context: To return to my homeland, Marza, and to bring happiness to my village.\Right.\No, actually, there's just one thing that's changed since then.\What would that be?\It's my final dream.\When I go back to Marza,\I want you to be by my side.\When I first met you, Sir Theo, I pledged my eternal loyalty to you. response:	Needless to say, I intend to serve you for the rest of my life.
context: Right.\No, actually, there's just one thing that's changed since then.\What would that be?\It's my final dream.\When I go back to Marza,\I want you to be by my side.\When I first met you, Sir Theo, I pledged my eternal loyalty to you.\Needless to say, I intend to serve you for the rest of my life. response:	Looks like I'm not getting through to you again.
context: No, actually, there's just one thing that's changed since then.\What would that be?\It's my final dream.\When I go back to Marza,\I want you to be by my side.\When I first met you, Sir Theo, I pledged my eternal loyalty to you.\Needless to say, I intend to serve you for the rest of my life.\Looks like I'm not getting through to you again. response:	Two people who love each other should be together.
context: What would that be?\It's my final dream.\When I go back to Marza,\I want you to be by my side.\When I first met you, Sir Theo, I pledged my eternal loyalty to you.\Needless to say, I intend to serve you for the rest of my life.\Looks like I'm not getting through to you again.\Two people who love each other should be together. response:	And I don't just mean Sir Alexis and Lady Marrine.
context: It's my final dream.\When I go back to Marza,\I want you to be by my side.\When I first met you, Sir Theo, I pledged my eternal loyalty to you.\Needless to say, I intend to serve you for the rest of my life.\Looks like I'm not getting through to you again.\Two people who love each other should be together.\And I don't just mean Sir Alexis and Lady Marrine. response:	S-Since this is a crucial topic,
context: When I go back to Marza,\I want you to be by my side.\When I first met you, Sir Theo, I pledged my eternal loyalty to you.\Needless to say, I intend to serve you for the rest of my life.\Looks like I'm not getting through to you again.\Two people who love each other should be together.\And I don't just mean Sir Alexis and Lady Marrine.\S-Since this is a crucial topic, response:	please be specific.
context: I want you to be by my side.\When I first met you, Sir Theo, I pledged my eternal loyalty to you.\Needless to say, I intend to serve you for the rest of my life.\Looks like I'm not getting through to you again.\Two people who love each other should be together.\And I don't just mean Sir Alexis and Lady Marrine.\S-Since this is a crucial topic,\please be specific. response:	When I return to Marza,
context: When I first met you, Sir Theo, I pledged my eternal loyalty to you.\Needless to say, I intend to serve you for the rest of my life.\Looks like I'm not getting through to you again.\Two people who love each other should be together.\And I don't just mean Sir Alexis and Lady Marrine.\S-Since this is a crucial topic,\please be specific.\When I return to Marza, response:	I want you by my side not as my contracted mage
context: Needless to say, I intend to serve you for the rest of my life.\Looks like I'm not getting through to you again.\Two people who love each other should be together.\And I don't just mean Sir Alexis and Lady Marrine.\S-Since this is a crucial topic,\please be specific.\When I return to Marza,\I want you by my side not as my contracted mage response:	but as my queen.
context: Looks like I'm not getting through to you again.\Two people who love each other should be together.\And I don't just mean Sir Alexis and Lady Marrine.\S-Since this is a crucial topic,\please be specific.\When I return to Marza,\I want you by my side not as my contracted mage\but as my queen. response:	I tried not to think about that too much.
context: Two people who love each other should be together.\And I don't just mean Sir Alexis and Lady Marrine.\S-Since this is a crucial topic,\please be specific.\When I return to Marza,\I want you by my side not as my contracted mage\but as my queen.\I tried not to think about that too much. response:	Just getting to have the same dream as you, Sir Theo, makes me happy.
context: And I don't just mean Sir Alexis and Lady Marrine.\S-Since this is a crucial topic,\please be specific.\When I return to Marza,\I want you by my side not as my contracted mage\but as my queen.\I tried not to think about that too much.\Just getting to have the same dream as you, Sir Theo, makes me happy. response:	As does being alone with you and being treated so kindly, like now.
context: S-Since this is a crucial topic,\please be specific.\When I return to Marza,\I want you by my side not as my contracted mage\but as my queen.\I tried not to think about that too much.\Just getting to have the same dream as you, Sir Theo, makes me happy.\As does being alone with you and being treated so kindly, like now. response:	And besides, with your status now,
context: please be specific.\When I return to Marza,\I want you by my side not as my contracted mage\but as my queen.\I tried not to think about that too much.\Just getting to have the same dream as you, Sir Theo, makes me happy.\As does being alone with you and being treated so kindly, like now.\And besides, with your status now, response:	you could find any number of lovely women to be your queen.
context: When I return to Marza,\I want you by my side not as my contracted mage\but as my queen.\I tried not to think about that too much.\Just getting to have the same dream as you, Sir Theo, makes me happy.\As does being alone with you and being treated so kindly, like now.\And besides, with your status now,\you could find any number of lovely women to be your queen. response:	I can't even think of anyone but you.
context: I want you by my side not as my contracted mage\but as my queen.\I tried not to think about that too much.\Just getting to have the same dream as you, Sir Theo, makes me happy.\As does being alone with you and being treated so kindly, like now.\And besides, with your status now,\you could find any number of lovely women to be your queen.\I can't even think of anyone but you. response:	I wanted to make that clear.
context: but as my queen.\I tried not to think about that too much.\Just getting to have the same dream as you, Sir Theo, makes me happy.\As does being alone with you and being treated so kindly, like now.\And besides, with your status now,\you could find any number of lovely women to be your queen.\I can't even think of anyone but you.\I wanted to make that clear. response:	All right, then, starting now, I will be your queen.
context: I tried not to think about that too much.\Just getting to have the same dream as you, Sir Theo, makes me happy.\As does being alone with you and being treated so kindly, like now.\And besides, with your status now,\you could find any number of lovely women to be your queen.\I can't even think of anyone but you.\I wanted to make that clear.\All right, then, starting now, I will be your queen. response:	But do you mind if we keep it private until after we've achieved our goals?
