context: Totsuhara University Hospital response:	As I explained just now,
context: Kaori Miyazono\Hey, you're off.\Come on, that's normal in the beginning.\You don't feel threatened! You're slacking off!\You've got the etude, too, you know! You have your back against the wall!\Don't you get that?\Sure I get it! Don't talk about it, you'll make me panic!\You were short on prep time from the start, response:	but thanks to all that flirting with that junior high girl...
context: Hey, you're off.\Come on, that's normal in the beginning.\You don't feel threatened! You're slacking off!\You've got the etude, too, you know! You have your back against the wall!\Don't you get that?\Sure I get it! Don't talk about it, you'll make me panic!\You were short on prep time from the start,\but thanks to all that flirting with that junior high girl... response:	I wasn't flirting with her!
context: Come on, that's normal in the beginning.\You don't feel threatened! You're slacking off!\You've got the etude, too, you know! You have your back against the wall!\Don't you get that?\Sure I get it! Don't talk about it, you'll make me panic!\You were short on prep time from the start,\but thanks to all that flirting with that junior high girl...\I wasn't flirting with her! response:	What kind of convo is this?
context: You don't feel threatened! You're slacking off!\You've got the etude, too, you know! You have your back against the wall!\Don't you get that?\Sure I get it! Don't talk about it, you'll make me panic!\You were short on prep time from the start,\but thanks to all that flirting with that junior high girl...\I wasn't flirting with her!\What kind of convo is this? response:	You were too flirting.
context: You've got the etude, too, you know! You have your back against the wall!\Don't you get that?\Sure I get it! Don't talk about it, you'll make me panic!\You were short on prep time from the start,\but thanks to all that flirting with that junior high girl...\I wasn't flirting with her!\What kind of convo is this?\You were too flirting. response:	They're fighting over the phone.
context: Don't you get that?\Sure I get it! Don't talk about it, you'll make me panic!\You were short on prep time from the start,\but thanks to all that flirting with that junior high girl...\I wasn't flirting with her!\What kind of convo is this?\You were too flirting.\They're fighting over the phone. response:	Was not.
context: Sure I get it! Don't talk about it, you'll make me panic!\You were short on prep time from the start,\but thanks to all that flirting with that junior high girl...\I wasn't flirting with her!\What kind of convo is this?\You were too flirting.\They're fighting over the phone.\Was not. response:	Were too.
context: You were short on prep time from the start,\but thanks to all that flirting with that junior high girl...\I wasn't flirting with her!\What kind of convo is this?\You were too flirting.\They're fighting over the phone.\Was not.\Were too. response:	Arima
context: but thanks to all that flirting with that junior high girl...\I wasn't flirting with her!\What kind of convo is this?\You were too flirting.\They're fighting over the phone.\Was not.\Were too.\Arima response:	Call Ended
context: I wasn't flirting with her!\What kind of convo is this?\You were too flirting.\They're fighting over the phone.\Was not.\Were too.\Arima\Call Ended response:	Jeez!
context: What kind of convo is this?\You were too flirting.\They're fighting over the phone.\Was not.\Were too.\Arima\Call Ended\Jeez! response:	Kaori-chan! Are you ready?
context: You were too flirting.\They're fighting over the phone.\Was not.\Were too.\Arima\Call Ended\Jeez!\Kaori-chan! Are you ready? response:	Oh, no! Just look at the time!
context: They're fighting over the phone.\Was not.\Were too.\Arima\Call Ended\Jeez!\Kaori-chan! Are you ready?\Oh, no! Just look at the time! response:	Oh, man, I only got a C.
context: Was not.\Were too.\Arima\Call Ended\Jeez!\Kaori-chan! Are you ready?\Oh, no! Just look at the time!\Oh, man, I only got a C. response:	Maybe I'll try for another school.
context: Were too.\Arima\Call Ended\Jeez!\Kaori-chan! Are you ready?\Oh, no! Just look at the time!\Oh, man, I only got a C.\Maybe I'll try for another school. response:	Hey, Tsubaki. How'd you do on your mock exam?
context: Arima\Call Ended\Jeez!\Kaori-chan! Are you ready?\Oh, no! Just look at the time!\Oh, man, I only got a C.\Maybe I'll try for another school.\Hey, Tsubaki. How'd you do on your mock exam? response:	Entrance Exam Results - By School
context: Call Ended\Jeez!\Kaori-chan! Are you ready?\Oh, no! Just look at the time!\Oh, man, I only got a C.\Maybe I'll try for another school.\Hey, Tsubaki. How'd you do on your mock exam?\Entrance Exam Results - By School response:	Scored a B. Humph!
context: Jeez!\Kaori-chan! Are you ready?\Oh, no! Just look at the time!\Oh, man, I only got a C.\Maybe I'll try for another school.\Hey, Tsubaki. How'd you do on your mock exam?\Entrance Exam Results - By School\Scored a B. Humph! response:	What, that bumbling gorilla?
context: Kaori-chan! Are you ready?\Oh, no! Just look at the time!\Oh, man, I only got a C.\Maybe I'll try for another school.\Hey, Tsubaki. How'd you do on your mock exam?\Entrance Exam Results - By School\Scored a B. Humph!\What, that bumbling gorilla? response:	What, Miss Muscles-for-brains?
context: Oh, no! Just look at the time!\Oh, man, I only got a C.\Maybe I'll try for another school.\Hey, Tsubaki. How'd you do on your mock exam?\Entrance Exam Results - By School\Scored a B. Humph!\What, that bumbling gorilla?\What, Miss Muscles-for-brains? response:	I only asked her because I was sure she scored lower than me!
context: Oh, man, I only got a C.\Maybe I'll try for another school.\Hey, Tsubaki. How'd you do on your mock exam?\Entrance Exam Results - By School\Scored a B. Humph!\What, that bumbling gorilla?\What, Miss Muscles-for-brains?\I only asked her because I was sure she scored lower than me! response:	But she's Tsubaki!
context: Maybe I'll try for another school.\Hey, Tsubaki. How'd you do on your mock exam?\Entrance Exam Results - By School\Scored a B. Humph!\What, that bumbling gorilla?\What, Miss Muscles-for-brains?\I only asked her because I was sure she scored lower than me!\But she's Tsubaki! response:	I rule. Bow down before me, you dullards!
context: Hey, Tsubaki. How'd you do on your mock exam?\Entrance Exam Results - By School\Scored a B. Humph!\What, that bumbling gorilla?\What, Miss Muscles-for-brains?\I only asked her because I was sure she scored lower than me!\But she's Tsubaki!\I rule. Bow down before me, you dullards! response:	That's love.
context: Entrance Exam Results - By School\Scored a B. Humph!\What, that bumbling gorilla?\What, Miss Muscles-for-brains?\I only asked her because I was sure she scored lower than me!\But she's Tsubaki!\I rule. Bow down before me, you dullards!\That's love. response:	Totsuhara University Hospital
context: Scored a B. Humph!\What, that bumbling gorilla?\What, Miss Muscles-for-brains?\I only asked her because I was sure she scored lower than me!\But she's Tsubaki!\I rule. Bow down before me, you dullards!\That's love.\Totsuhara University Hospital response:	She's not here.
context: What, that bumbling gorilla?\What, Miss Muscles-for-brains?\I only asked her because I was sure she scored lower than me!\But she's Tsubaki!\I rule. Bow down before me, you dullards!\That's love.\Totsuhara University Hospital\She's not here. response:	What's up with that?
context: What, Miss Muscles-for-brains?\I only asked her because I was sure she scored lower than me!\But she's Tsubaki!\I rule. Bow down before me, you dullards!\That's love.\Totsuhara University Hospital\She's not here.\What's up with that? response:	Totsuhara University Hospital
context: I only asked her because I was sure she scored lower than me!\But she's Tsubaki!\I rule. Bow down before me, you dullards!\That's love.\Totsuhara University Hospital\She's not here.\What's up with that?\Totsuhara University Hospital response:	She's the one who said I had to check in regularly...
context: But she's Tsubaki!\I rule. Bow down before me, you dullards!\That's love.\Totsuhara University Hospital\She's not here.\What's up with that?\Totsuhara University Hospital\She's the one who said I had to check in regularly... response:	Don't tell me...
context: I rule. Bow down before me, you dullards!\That's love.\Totsuhara University Hospital\She's not here.\What's up with that?\Totsuhara University Hospital\She's the one who said I had to check in regularly...\Don't tell me... response:	She took a turn for the worse...
context: That's love.\Totsuhara University Hospital\She's not here.\What's up with that?\Totsuhara University Hospital\She's the one who said I had to check in regularly...\Don't tell me...\She took a turn for the worse... response:	What should I do? Should I wait for her? If I ask the nurse...
context: Totsuhara University Hospital\She's not here.\What's up with that?\Totsuhara University Hospital\She's the one who said I had to check in regularly...\Don't tell me...\She took a turn for the worse...\What should I do? Should I wait for her? If I ask the nurse... response:	Well, what do you know? Arima-kun!
context: She's not here.\What's up with that?\Totsuhara University Hospital\She's the one who said I had to check in regularly...\Don't tell me...\She took a turn for the worse...\What should I do? Should I wait for her? If I ask the nurse...\Well, what do you know? Arima-kun! response:	Miyazono-san's mother and father...
context: What's up with that?\Totsuhara University Hospital\She's the one who said I had to check in regularly...\Don't tell me...\She took a turn for the worse...\What should I do? Should I wait for her? If I ask the nurse...\Well, what do you know? Arima-kun!\Miyazono-san's mother and father... response:	I-It's been a while...
context: Totsuhara University Hospital\She's the one who said I had to check in regularly...\Don't tell me...\She took a turn for the worse...\What should I do? Should I wait for her? If I ask the nurse...\Well, what do you know? Arima-kun!\Miyazono-san's mother and father...\I-It's been a while... response:	Are you here to visit Kaori?
context: She's the one who said I had to check in regularly...\Don't tell me...\She took a turn for the worse...\What should I do? Should I wait for her? If I ask the nurse...\Well, what do you know? Arima-kun!\Miyazono-san's mother and father...\I-It's been a while...\Are you here to visit Kaori? response:	How nice...
context: Don't tell me...\She took a turn for the worse...\What should I do? Should I wait for her? If I ask the nurse...\Well, what do you know? Arima-kun!\Miyazono-san's mother and father...\I-It's been a while...\Are you here to visit Kaori?\How nice... response:	Oh, it's... nothing. But I can't find her anywhere...
context: She took a turn for the worse...\What should I do? Should I wait for her? If I ask the nurse...\Well, what do you know? Arima-kun!\Miyazono-san's mother and father...\I-It's been a while...\Are you here to visit Kaori?\How nice...\Oh, it's... nothing. But I can't find her anywhere... response:	Then I know where she must be.
context: What should I do? Should I wait for her? If I ask the nurse...\Well, what do you know? Arima-kun!\Miyazono-san's mother and father...\I-It's been a while...\Are you here to visit Kaori?\How nice...\Oh, it's... nothing. But I can't find her anywhere...\Then I know where she must be. response:	Keep going, slowly now...
context: Well, what do you know? Arima-kun!\Miyazono-san's mother and father...\I-It's been a while...\Are you here to visit Kaori?\How nice...\Oh, it's... nothing. But I can't find her anywhere...\Then I know where she must be.\Keep going, slowly now... response:	Put your left foot out.
context: Miyazono-san's mother and father...\I-It's been a while...\Are you here to visit Kaori?\How nice...\Oh, it's... nothing. But I can't find her anywhere...\Then I know where she must be.\Keep going, slowly now...\Put your left foot out. response:	She says she doesn't want to lose her stamina or muscle strength.
context: I-It's been a while...\Are you here to visit Kaori?\How nice...\Oh, it's... nothing. But I can't find her anywhere...\Then I know where she must be.\Keep going, slowly now...\Put your left foot out.\She says she doesn't want to lose her stamina or muscle strength. response:	Rehabilitation Room
context: Are you here to visit Kaori?\How nice...\Oh, it's... nothing. But I can't find her anywhere...\Then I know where she must be.\Keep going, slowly now...\Put your left foot out.\She says she doesn't want to lose her stamina or muscle strength.\Rehabilitation Room response:	She says that she wants to play the violin onstage, one more time.
context: How nice...\Oh, it's... nothing. But I can't find her anywhere...\Then I know where she must be.\Keep going, slowly now...\Put your left foot out.\She says she doesn't want to lose her stamina or muscle strength.\Rehabilitation Room\She says that she wants to play the violin onstage, one more time. response:	Rehabilitation Room
context: Oh, it's... nothing. But I can't find her anywhere...\Then I know where she must be.\Keep going, slowly now...\Put your left foot out.\She says she doesn't want to lose her stamina or muscle strength.\Rehabilitation Room\She says that she wants to play the violin onstage, one more time.\Rehabilitation Room response:	Let's take a break, Kaori-chan. You're trying to do too much at once.
context: Then I know where she must be.\Keep going, slowly now...\Put your left foot out.\She says she doesn't want to lose her stamina or muscle strength.\Rehabilitation Room\She says that she wants to play the violin onstage, one more time.\Rehabilitation Room\Let's take a break, Kaori-chan. You're trying to do too much at once. response:	It's no big deal. Violinists have more stamina than you think!
context: Keep going, slowly now...\Put your left foot out.\She says she doesn't want to lose her stamina or muscle strength.\Rehabilitation Room\She says that she wants to play the violin onstage, one more time.\Rehabilitation Room\Let's take a break, Kaori-chan. You're trying to do too much at once.\It's no big deal. Violinists have more stamina than you think! response:	This is all thanks to you, Arima-kun.
context: Put your left foot out.\She says she doesn't want to lose her stamina or muscle strength.\Rehabilitation Room\She says that she wants to play the violin onstage, one more time.\Rehabilitation Room\Let's take a break, Kaori-chan. You're trying to do too much at once.\It's no big deal. Violinists have more stamina than you think!\This is all thanks to you, Arima-kun. response:	Kaori had given up... she'd thrown in the towel, really... And now she's starting to walk again.
context: She says she doesn't want to lose her stamina or muscle strength.\Rehabilitation Room\She says that she wants to play the violin onstage, one more time.\Rehabilitation Room\Let's take a break, Kaori-chan. You're trying to do too much at once.\It's no big deal. Violinists have more stamina than you think!\This is all thanks to you, Arima-kun.\Kaori had given up... she'd thrown in the towel, really... And now she's starting to walk again. response:	One sure step at a time.
context: Rehabilitation Room\She says that she wants to play the violin onstage, one more time.\Rehabilitation Room\Let's take a break, Kaori-chan. You're trying to do too much at once.\It's no big deal. Violinists have more stamina than you think!\This is all thanks to you, Arima-kun.\Kaori had given up... she'd thrown in the towel, really... And now she's starting to walk again.\One sure step at a time. response:	No, I guess not.
context: She says that she wants to play the violin onstage, one more time.\Rehabilitation Room\Let's take a break, Kaori-chan. You're trying to do too much at once.\It's no big deal. Violinists have more stamina than you think!\This is all thanks to you, Arima-kun.\Kaori had given up... she'd thrown in the towel, really... And now she's starting to walk again.\One sure step at a time.\No, I guess not. response:	All you did was show devotion, right, Arima-kun?
context: Rehabilitation Room\Let's take a break, Kaori-chan. You're trying to do too much at once.\It's no big deal. Violinists have more stamina than you think!\This is all thanks to you, Arima-kun.\Kaori had given up... she'd thrown in the towel, really... And now she's starting to walk again.\One sure step at a time.\No, I guess not.\All you did was show devotion, right, Arima-kun? response:	And that devotion was what struck a chord in Kaori's heart.
context: Let's take a break, Kaori-chan. You're trying to do too much at once.\It's no big deal. Violinists have more stamina than you think!\This is all thanks to you, Arima-kun.\Kaori had given up... she'd thrown in the towel, really... And now she's starting to walk again.\One sure step at a time.\No, I guess not.\All you did was show devotion, right, Arima-kun?\And that devotion was what struck a chord in Kaori's heart. response:	I want to have it.
context: It's no big deal. Violinists have more stamina than you think!\This is all thanks to you, Arima-kun.\Kaori had given up... she'd thrown in the towel, really... And now she's starting to walk again.\One sure step at a time.\No, I guess not.\All you did was show devotion, right, Arima-kun?\And that devotion was what struck a chord in Kaori's heart.\I want to have it. response:	The surgery.
context: This is all thanks to you, Arima-kun.\Kaori had given up... she'd thrown in the towel, really... And now she's starting to walk again.\One sure step at a time.\No, I guess not.\All you did was show devotion, right, Arima-kun?\And that devotion was what struck a chord in Kaori's heart.\I want to have it.\The surgery. response:	Even if it gives me only a little more time, even if there's only the slightest hope,
context: Kaori had given up... she'd thrown in the towel, really... And now she's starting to walk again.\One sure step at a time.\No, I guess not.\All you did was show devotion, right, Arima-kun?\And that devotion was what struck a chord in Kaori's heart.\I want to have it.\The surgery.\Even if it gives me only a little more time, even if there's only the slightest hope, response:	I'm willing to cling to anything.
context: One sure step at a time.\No, I guess not.\All you did was show devotion, right, Arima-kun?\And that devotion was what struck a chord in Kaori's heart.\I want to have it.\The surgery.\Even if it gives me only a little more time, even if there's only the slightest hope,\I'm willing to cling to anything. response:	There was a boy that I met in April.
context: No, I guess not.\All you did was show devotion, right, Arima-kun?\And that devotion was what struck a chord in Kaori's heart.\I want to have it.\The surgery.\Even if it gives me only a little more time, even if there's only the slightest hope,\I'm willing to cling to anything.\There was a boy that I met in April. response:	I cried and vomited, and struggled so hard it was unseemly...
context: All you did was show devotion, right, Arima-kun?\And that devotion was what struck a chord in Kaori's heart.\I want to have it.\The surgery.\Even if it gives me only a little more time, even if there's only the slightest hope,\I'm willing to cling to anything.\There was a boy that I met in April.\I cried and vomited, and struggled so hard it was unseemly... response:	But onstage, I shone like a star, and my life seemed like a gorgeous rendition of a melody.
context: And that devotion was what struck a chord in Kaori's heart.\I want to have it.\The surgery.\Even if it gives me only a little more time, even if there's only the slightest hope,\I'm willing to cling to anything.\There was a boy that I met in April.\I cried and vomited, and struggled so hard it was unseemly...\But onstage, I shone like a star, and my life seemed like a gorgeous rendition of a melody. response:	I made a promise with that boy.
context: I want to have it.\The surgery.\Even if it gives me only a little more time, even if there's only the slightest hope,\I'm willing to cling to anything.\There was a boy that I met in April.\I cried and vomited, and struggled so hard it was unseemly...\But onstage, I shone like a star, and my life seemed like a gorgeous rendition of a melody.\I made a promise with that boy. response:	He said, Let's perform together again.
context: The surgery.\Even if it gives me only a little more time, even if there's only the slightest hope,\I'm willing to cling to anything.\There was a boy that I met in April.\I cried and vomited, and struggled so hard it was unseemly...\But onstage, I shone like a star, and my life seemed like a gorgeous rendition of a melody.\I made a promise with that boy.\He said, Let's perform together again. response:	That's why I...
context: Even if it gives me only a little more time, even if there's only the slightest hope,\I'm willing to cling to anything.\There was a boy that I met in April.\I cried and vomited, and struggled so hard it was unseemly...\But onstage, I shone like a star, and my life seemed like a gorgeous rendition of a melody.\I made a promise with that boy.\He said, Let's perform together again.\That's why I... response:	I want to struggle as hard as I can.
context: I'm willing to cling to anything.\There was a boy that I met in April.\I cried and vomited, and struggled so hard it was unseemly...\But onstage, I shone like a star, and my life seemed like a gorgeous rendition of a melody.\I made a promise with that boy.\He said, Let's perform together again.\That's why I...\I want to struggle as hard as I can. response:	No matter how unseemly...
context: There was a boy that I met in April.\I cried and vomited, and struggled so hard it was unseemly...\But onstage, I shone like a star, and my life seemed like a gorgeous rendition of a melody.\I made a promise with that boy.\He said, Let's perform together again.\That's why I...\I want to struggle as hard as I can.\No matter how unseemly... response:	I'm going to struggle,
context: I cried and vomited, and struggled so hard it was unseemly...\But onstage, I shone like a star, and my life seemed like a gorgeous rendition of a melody.\I made a promise with that boy.\He said, Let's perform together again.\That's why I...\I want to struggle as hard as I can.\No matter how unseemly...\I'm going to struggle, response:	struggle,
context: But onstage, I shone like a star, and my life seemed like a gorgeous rendition of a melody.\I made a promise with that boy.\He said, Let's perform together again.\That's why I...\I want to struggle as hard as I can.\No matter how unseemly...\I'm going to struggle,\struggle, response:	struggle like there's no tomorrow!
context: I made a promise with that boy.\He said, Let's perform together again.\That's why I...\I want to struggle as hard as I can.\No matter how unseemly...\I'm going to struggle,\struggle,\struggle like there's no tomorrow! response:	Because I'm one of them, too.
context: He said, Let's perform together again.\That's why I...\I want to struggle as hard as I can.\No matter how unseemly...\I'm going to struggle,\struggle,\struggle like there's no tomorrow!\Because I'm one of them, too. response:	If I go on wallowing in my despair, and just give up,
context: That's why I...\I want to struggle as hard as I can.\No matter how unseemly...\I'm going to struggle,\struggle,\struggle like there's no tomorrow!\Because I'm one of them, too.\If I go on wallowing in my despair, and just give up, response:	I can never face my parents, who gave birth to me, and raised me.
context: I want to struggle as hard as I can.\No matter how unseemly...\I'm going to struggle,\struggle,\struggle like there's no tomorrow!\Because I'm one of them, too.\If I go on wallowing in my despair, and just give up,\I can never face my parents, who gave birth to me, and raised me. response:	Because it's my life...
context: No matter how unseemly...\I'm going to struggle,\struggle,\struggle like there's no tomorrow!\Because I'm one of them, too.\If I go on wallowing in my despair, and just give up,\I can never face my parents, who gave birth to me, and raised me.\Because it's my life... response:	If I just give up now...
context: I'm going to struggle,\struggle,\struggle like there's no tomorrow!\Because I'm one of them, too.\If I go on wallowing in my despair, and just give up,\I can never face my parents, who gave birth to me, and raised me.\Because it's my life...\If I just give up now... response:	I'd feel sorry for myself.
context: struggle,\struggle like there's no tomorrow!\Because I'm one of them, too.\If I go on wallowing in my despair, and just give up,\I can never face my parents, who gave birth to me, and raised me.\Because it's my life...\If I just give up now...\I'd feel sorry for myself. response:	That devotion you showed, Arima-kun...
context: struggle like there's no tomorrow!\Because I'm one of them, too.\If I go on wallowing in my despair, and just give up,\I can never face my parents, who gave birth to me, and raised me.\Because it's my life...\If I just give up now...\I'd feel sorry for myself.\That devotion you showed, Arima-kun... response:	Kaori's heart had turned gray, and you gave it color.
context: Because I'm one of them, too.\If I go on wallowing in my despair, and just give up,\I can never face my parents, who gave birth to me, and raised me.\Because it's my life...\If I just give up now...\I'd feel sorry for myself.\That devotion you showed, Arima-kun...\Kaori's heart had turned gray, and you gave it color. response:	So thank you...
context: If I go on wallowing in my despair, and just give up,\I can never face my parents, who gave birth to me, and raised me.\Because it's my life...\If I just give up now...\I'd feel sorry for myself.\That devotion you showed, Arima-kun...\Kaori's heart had turned gray, and you gave it color.\So thank you... response:	Kousei Arima-kun.
context: I can never face my parents, who gave birth to me, and raised me.\Because it's my life...\If I just give up now...\I'd feel sorry for myself.\That devotion you showed, Arima-kun...\Kaori's heart had turned gray, and you gave it color.\So thank you...\Kousei Arima-kun. response:	Library New Arrivals
context: Because it's my life...\If I just give up now...\I'd feel sorry for myself.\That devotion you showed, Arima-kun...\Kaori's heart had turned gray, and you gave it color.\So thank you...\Kousei Arima-kun.\Library New Arrivals response:	He's been playing the piano all through the night. Every night, these days.
context: If I just give up now...\I'd feel sorry for myself.\That devotion you showed, Arima-kun...\Kaori's heart had turned gray, and you gave it color.\So thank you...\Kousei Arima-kun.\Library New Arrivals\He's been playing the piano all through the night. Every night, these days. response:	I know the competition's coming up soon, but it's right after the culture festival.
context: I'd feel sorry for myself.\That devotion you showed, Arima-kun...\Kaori's heart had turned gray, and you gave it color.\So thank you...\Kousei Arima-kun.\Library New Arrivals\He's been playing the piano all through the night. Every night, these days.\I know the competition's coming up soon, but it's right after the culture festival. response:	He's going to break down.
context: That devotion you showed, Arima-kun...\Kaori's heart had turned gray, and you gave it color.\So thank you...\Kousei Arima-kun.\Library New Arrivals\He's been playing the piano all through the night. Every night, these days.\I know the competition's coming up soon, but it's right after the culture festival.\He's going to break down. response:	Will he do okay on his entrance exams? That Kousei.
context: Kaori's heart had turned gray, and you gave it color.\So thank you...\Kousei Arima-kun.\Library New Arrivals\He's been playing the piano all through the night. Every night, these days.\I know the competition's coming up soon, but it's right after the culture festival.\He's going to break down.\Will he do okay on his entrance exams? That Kousei. response:	Well, that's Arima-kun's way of studying to get in.
context: So thank you...\Kousei Arima-kun.\Library New Arrivals\He's been playing the piano all through the night. Every night, these days.\I know the competition's coming up soon, but it's right after the culture festival.\He's going to break down.\Will he do okay on his entrance exams? That Kousei.\Well, that's Arima-kun's way of studying to get in. response:	Huh?
context: Kousei Arima-kun.\Library New Arrivals\He's been playing the piano all through the night. Every night, these days.\I know the competition's coming up soon, but it's right after the culture festival.\He's going to break down.\Will he do okay on his entrance exams? That Kousei.\Well, that's Arima-kun's way of studying to get in.\Huh? response:	Listen up. To get into a music-oriented high school,
context: Library New Arrivals\He's been playing the piano all through the night. Every night, these days.\I know the competition's coming up soon, but it's right after the culture festival.\He's going to break down.\Will he do okay on his entrance exams? That Kousei.\Well, that's Arima-kun's way of studying to get in.\Huh?\Listen up. To get into a music-oriented high school, response:	sure they test you on regular subjects too, but achievements trump all else.
context: He's been playing the piano all through the night. Every night, these days.\I know the competition's coming up soon, but it's right after the culture festival.\He's going to break down.\Will he do okay on his entrance exams? That Kousei.\Well, that's Arima-kun's way of studying to get in.\Huh?\Listen up. To get into a music-oriented high school,\sure they test you on regular subjects too, but achievements trump all else. response:	Those schools want to burnish their reputations by admitting the top performers at competitions.
context: I know the competition's coming up soon, but it's right after the culture festival.\He's going to break down.\Will he do okay on his entrance exams? That Kousei.\Well, that's Arima-kun's way of studying to get in.\Huh?\Listen up. To get into a music-oriented high school,\sure they test you on regular subjects too, but achievements trump all else.\Those schools want to burnish their reputations by admitting the top performers at competitions. response:	Since Arima-kun hasn't competed in the last two years,
context: He's going to break down.\Will he do okay on his entrance exams? That Kousei.\Well, that's Arima-kun's way of studying to get in.\Huh?\Listen up. To get into a music-oriented high school,\sure they test you on regular subjects too, but achievements trump all else.\Those schools want to burnish their reputations by admitting the top performers at competitions.\Since Arima-kun hasn't competed in the last two years, response:	he's sorely lacking in terms of achievements.
context: Will he do okay on his entrance exams? That Kousei.\Well, that's Arima-kun's way of studying to get in.\Huh?\Listen up. To get into a music-oriented high school,\sure they test you on regular subjects too, but achievements trump all else.\Those schools want to burnish their reputations by admitting the top performers at competitions.\Since Arima-kun hasn't competed in the last two years,\he's sorely lacking in terms of achievements. response:	And now the Eastern Japan Piano Competition is coming up in December.
context: Well, that's Arima-kun's way of studying to get in.\Huh?\Listen up. To get into a music-oriented high school,\sure they test you on regular subjects too, but achievements trump all else.\Those schools want to burnish their reputations by admitting the top performers at competitions.\Since Arima-kun hasn't competed in the last two years,\he's sorely lacking in terms of achievements.\And now the Eastern Japan Piano Competition is coming up in December. response:	It's got a long history, and cachet like no other.
context: Huh?\Listen up. To get into a music-oriented high school,\sure they test you on regular subjects too, but achievements trump all else.\Those schools want to burnish their reputations by admitting the top performers at competitions.\Since Arima-kun hasn't competed in the last two years,\he's sorely lacking in terms of achievements.\And now the Eastern Japan Piano Competition is coming up in December.\It's got a long history, and cachet like no other. response:	So for the school, there's no better advertisement
context: Listen up. To get into a music-oriented high school,\sure they test you on regular subjects too, but achievements trump all else.\Those schools want to burnish their reputations by admitting the top performers at competitions.\Since Arima-kun hasn't competed in the last two years,\he's sorely lacking in terms of achievements.\And now the Eastern Japan Piano Competition is coming up in December.\It's got a long history, and cachet like no other.\So for the school, there's no better advertisement response:	than admitting the cream of the crop from that competition.
context: sure they test you on regular subjects too, but achievements trump all else.\Those schools want to burnish their reputations by admitting the top performers at competitions.\Since Arima-kun hasn't competed in the last two years,\he's sorely lacking in terms of achievements.\And now the Eastern Japan Piano Competition is coming up in December.\It's got a long history, and cachet like no other.\So for the school, there's no better advertisement\than admitting the cream of the crop from that competition. response:	In other words, to get to the top of the heap at the Eastern Japan Piano Competition
