context: I have a condition. response:	Tell me all about Nana-san.
context: Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai response:	Kawaikunai nakigao mo se mo aishiteru
context: Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru response:	Why can't things go well between
context: Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between response:	the liar, you, and the crybaby, me?
context: Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me? response:	You don't notice my styled hair
context: Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair response:	or my nice set of press-on nails.
context: Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails. response:	Love isn't about the unhappy tears that go along with it.
context: Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it. response:	Those tears only leave my eyes dry and hurt me.
context: Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me. response:	I love this destiny
context: Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny response:	between only you and only me.
context: Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me. response:	I want to accept your hot feelings
context: the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings response:	and be taken by you forever.
context: You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever. response:	Despite your uncute, tearful face and your shortness, I still love you.
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 18 ...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 18 ... response:	I asked Yano to tell me about Nana-san.
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 18 ...\I asked Yano to tell me about Nana-san. response:	Because if I hear everything from Yano's lips..
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 18 ...\I asked Yano to tell me about Nana-san.\Because if I hear everything from Yano's lips.. response:	Takahashi, next time I'll properly talk about Nana-san. So please meet with me again.
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 18 ...\I asked Yano to tell me about Nana-san.\Because if I hear everything from Yano's lips..\Takahashi, next time I'll properly talk about Nana-san. So please meet with me again. response:	Takahashi, next time I'll properly talk about Nana-san.
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 18 ...\I asked Yano to tell me about Nana-san.\Because if I hear everything from Yano's lips..\Takahashi, next time I'll properly talk about Nana-san. So please meet with me again.\Takahashi, next time I'll properly talk about Nana-san. response:	So please meet with me again.
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 18 ...\I asked Yano to tell me about Nana-san.\Because if I hear everything from Yano's lips..\Takahashi, next time I'll properly talk about Nana-san. So please meet with me again.\Takahashi, next time I'll properly talk about Nana-san.\So please meet with me again. response:	Ah, shoot! This isn't even a date...
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 18 ...\I asked Yano to tell me about Nana-san.\Because if I hear everything from Yano's lips..\Takahashi, next time I'll properly talk about Nana-san. So please meet with me again.\Takahashi, next time I'll properly talk about Nana-san.\So please meet with me again.\Ah, shoot! This isn't even a date... response:	I'll feel that...
context: Episode 18 ...\I asked Yano to tell me about Nana-san.\Because if I hear everything from Yano's lips..\Takahashi, next time I'll properly talk about Nana-san. So please meet with me again.\Takahashi, next time I'll properly talk about Nana-san.\So please meet with me again.\Ah, shoot! This isn't even a date...\I'll feel that... response:	You're late, Yano!
context: I asked Yano to tell me about Nana-san.\Because if I hear everything from Yano's lips..\Takahashi, next time I'll properly talk about Nana-san. So please meet with me again.\Takahashi, next time I'll properly talk about Nana-san.\So please meet with me again.\Ah, shoot! This isn't even a date...\I'll feel that...\You're late, Yano! response:	Sorry. I had to find the movie tickets.
context: Because if I hear everything from Yano's lips..\Takahashi, next time I'll properly talk about Nana-san. So please meet with me again.\Takahashi, next time I'll properly talk about Nana-san.\So please meet with me again.\Ah, shoot! This isn't even a date...\I'll feel that...\You're late, Yano!\Sorry. I had to find the movie tickets. response:	How many times do I have to tell you? This isn't a date!
context: Takahashi, next time I'll properly talk about Nana-san. So please meet with me again.\Takahashi, next time I'll properly talk about Nana-san.\So please meet with me again.\Ah, shoot! This isn't even a date...\I'll feel that...\You're late, Yano!\Sorry. I had to find the movie tickets.\How many times do I have to tell you? This isn't a date! response:	Yeah...
context: Takahashi, next time I'll properly talk about Nana-san.\So please meet with me again.\Ah, shoot! This isn't even a date...\I'll feel that...\You're late, Yano!\Sorry. I had to find the movie tickets.\How many times do I have to tell you? This isn't a date!\Yeah... response:	But these tickets expire today, so...
context: So please meet with me again.\Ah, shoot! This isn't even a date...\I'll feel that...\You're late, Yano!\Sorry. I had to find the movie tickets.\How many times do I have to tell you? This isn't a date!\Yeah...\But these tickets expire today, so... response:	But if you don't want to go...
context: Ah, shoot! This isn't even a date...\I'll feel that...\You're late, Yano!\Sorry. I had to find the movie tickets.\How many times do I have to tell you? This isn't a date!\Yeah...\But these tickets expire today, so...\But if you don't want to go... response:	They expire today?!
context: I'll feel that...\You're late, Yano!\Sorry. I had to find the movie tickets.\How many times do I have to tell you? This isn't a date!\Yeah...\But these tickets expire today, so...\But if you don't want to go...\They expire today?! response:	It would be such a waste!
context: You're late, Yano!\Sorry. I had to find the movie tickets.\How many times do I have to tell you? This isn't a date!\Yeah...\But these tickets expire today, so...\But if you don't want to go...\They expire today?!\It would be such a waste! response:	Really Cheap
context: Sorry. I had to find the movie tickets.\How many times do I have to tell you? This isn't a date!\Yeah...\But these tickets expire today, so...\But if you don't want to go...\They expire today?!\It would be such a waste!\Really Cheap response:	Really Cheap
context: How many times do I have to tell you? This isn't a date!\Yeah...\But these tickets expire today, so...\But if you don't want to go...\They expire today?!\It would be such a waste!\Really Cheap\Really Cheap response:	This is bad...
context: Yeah...\But these tickets expire today, so...\But if you don't want to go...\They expire today?!\It would be such a waste!\Really Cheap\Really Cheap\This is bad... response:	Isn't this just the same pattern as before?
context: But these tickets expire today, so...\But if you don't want to go...\They expire today?!\It would be such a waste!\Really Cheap\Really Cheap\This is bad...\Isn't this just the same pattern as before? response:	You can't watch a movie without getting some popcorn, right?
context: But if you don't want to go...\They expire today?!\It would be such a waste!\Really Cheap\Really Cheap\This is bad...\Isn't this just the same pattern as before?\You can't watch a movie without getting some popcorn, right? response:	Yeah!
context: They expire today?!\It would be such a waste!\Really Cheap\Really Cheap\This is bad...\Isn't this just the same pattern as before?\You can't watch a movie without getting some popcorn, right?\Yeah! response:	Salted butter popcorn. please.
context: It would be such a waste!\Really Cheap\Really Cheap\This is bad...\Isn't this just the same pattern as before?\You can't watch a movie without getting some popcorn, right?\Yeah!\Salted butter popcorn. please. response:	Caramel-flavored popcorn, please.
context: Really Cheap\Really Cheap\This is bad...\Isn't this just the same pattern as before?\You can't watch a movie without getting some popcorn, right?\Yeah!\Salted butter popcorn. please.\Caramel-flavored popcorn, please. response:	Hey! There's no way caramel ever goes with popcorn.
context: Really Cheap\This is bad...\Isn't this just the same pattern as before?\You can't watch a movie without getting some popcorn, right?\Yeah!\Salted butter popcorn. please.\Caramel-flavored popcorn, please.\Hey! There's no way caramel ever goes with popcorn. response:	Why not? Salted butter popcorn is so boring.
context: This is bad...\Isn't this just the same pattern as before?\You can't watch a movie without getting some popcorn, right?\Yeah!\Salted butter popcorn. please.\Caramel-flavored popcorn, please.\Hey! There's no way caramel ever goes with popcorn.\Why not? Salted butter popcorn is so boring. response:	If you want caramel, why don't you just get some candy?
context: Isn't this just the same pattern as before?\You can't watch a movie without getting some popcorn, right?\Yeah!\Salted butter popcorn. please.\Caramel-flavored popcorn, please.\Hey! There's no way caramel ever goes with popcorn.\Why not? Salted butter popcorn is so boring.\If you want caramel, why don't you just get some candy? response:	Caramel candy and popcorn are completely different!
context: You can't watch a movie without getting some popcorn, right?\Yeah!\Salted butter popcorn. please.\Caramel-flavored popcorn, please.\Hey! There's no way caramel ever goes with popcorn.\Why not? Salted butter popcorn is so boring.\If you want caramel, why don't you just get some candy?\Caramel candy and popcorn are completely different! response:	Exactly my point! If they're so different, why do you have to combine them?
context: Yeah!\Salted butter popcorn. please.\Caramel-flavored popcorn, please.\Hey! There's no way caramel ever goes with popcorn.\Why not? Salted butter popcorn is so boring.\If you want caramel, why don't you just get some candy?\Caramel candy and popcorn are completely different!\Exactly my point! If they're so different, why do you have to combine them? response:	I don't get you at all!
context: Salted butter popcorn. please.\Caramel-flavored popcorn, please.\Hey! There's no way caramel ever goes with popcorn.\Why not? Salted butter popcorn is so boring.\If you want caramel, why don't you just get some candy?\Caramel candy and popcorn are completely different!\Exactly my point! If they're so different, why do you have to combine them?\I don't get you at all! response:	It tastes good! You're the one who isn't making any sense, Yano!
context: Caramel-flavored popcorn, please.\Hey! There's no way caramel ever goes with popcorn.\Why not? Salted butter popcorn is so boring.\If you want caramel, why don't you just get some candy?\Caramel candy and popcorn are completely different!\Exactly my point! If they're so different, why do you have to combine them?\I don't get you at all!\It tastes good! You're the one who isn't making any sense, Yano! response:	Why don't you just get the salted butter popcorn, Yano?
context: Hey! There's no way caramel ever goes with popcorn.\Why not? Salted butter popcorn is so boring.\If you want caramel, why don't you just get some candy?\Caramel candy and popcorn are completely different!\Exactly my point! If they're so different, why do you have to combine them?\I don't get you at all!\It tastes good! You're the one who isn't making any sense, Yano!\Why don't you just get the salted butter popcorn, Yano? response:	I'll get my own caramel-flavored...
context: Why not? Salted butter popcorn is so boring.\If you want caramel, why don't you just get some candy?\Caramel candy and popcorn are completely different!\Exactly my point! If they're so different, why do you have to combine them?\I don't get you at all!\It tastes good! You're the one who isn't making any sense, Yano!\Why don't you just get the salted butter popcorn, Yano?\I'll get my own caramel-flavored... response:	Sounds good... two like that, please.
context: If you want caramel, why don't you just get some candy?\Caramel candy and popcorn are completely different!\Exactly my point! If they're so different, why do you have to combine them?\I don't get you at all!\It tastes good! You're the one who isn't making any sense, Yano!\Why don't you just get the salted butter popcorn, Yano?\I'll get my own caramel-flavored...\Sounds good... two like that, please. response:	Certainly.
context: Caramel candy and popcorn are completely different!\Exactly my point! If they're so different, why do you have to combine them?\I don't get you at all!\It tastes good! You're the one who isn't making any sense, Yano!\Why don't you just get the salted butter popcorn, Yano?\I'll get my own caramel-flavored...\Sounds good... two like that, please.\Certainly. response:	W-What? I can pay for myself.
context: Exactly my point! If they're so different, why do you have to combine them?\I don't get you at all!\It tastes good! You're the one who isn't making any sense, Yano!\Why don't you just get the salted butter popcorn, Yano?\I'll get my own caramel-flavored...\Sounds good... two like that, please.\Certainly.\W-What? I can pay for myself. response:	Don't worry about it.
context: I don't get you at all!\It tastes good! You're the one who isn't making any sense, Yano!\Why don't you just get the salted butter popcorn, Yano?\I'll get my own caramel-flavored...\Sounds good... two like that, please.\Certainly.\W-What? I can pay for myself.\Don't worry about it. response:	No! This isn't a date, so I don't think it's right for you to pay for me.
context: It tastes good! You're the one who isn't making any sense, Yano!\Why don't you just get the salted butter popcorn, Yano?\I'll get my own caramel-flavored...\Sounds good... two like that, please.\Certainly.\W-What? I can pay for myself.\Don't worry about it.\No! This isn't a date, so I don't think it's right for you to pay for me. response:	I see.
context: Why don't you just get the salted butter popcorn, Yano?\I'll get my own caramel-flavored...\Sounds good... two like that, please.\Certainly.\W-What? I can pay for myself.\Don't worry about it.\No! This isn't a date, so I don't think it's right for you to pay for me.\I see. response:	Let's just split the cost.
context: I'll get my own caramel-flavored...\Sounds good... two like that, please.\Certainly.\W-What? I can pay for myself.\Don't worry about it.\No! This isn't a date, so I don't think it's right for you to pay for me.\I see.\Let's just split the cost. response:	Sign: Devastation
context: Sounds good... two like that, please.\Certainly.\W-What? I can pay for myself.\Don't worry about it.\No! This isn't a date, so I don't think it's right for you to pay for me.\I see.\Let's just split the cost.\Sign: Devastation response:	I'll pay you back! I'll definitely pay you back tomorrow!
context: Certainly.\W-What? I can pay for myself.\Don't worry about it.\No! This isn't a date, so I don't think it's right for you to pay for me.\I see.\Let's just split the cost.\Sign: Devastation\I'll pay you back! I'll definitely pay you back tomorrow! response:	Yep.
context: W-What? I can pay for myself.\Don't worry about it.\No! This isn't a date, so I don't think it's right for you to pay for me.\I see.\Let's just split the cost.\Sign: Devastation\I'll pay you back! I'll definitely pay you back tomorrow!\Yep. response:	There's like no one here.
context: Don't worry about it.\No! This isn't a date, so I don't think it's right for you to pay for me.\I see.\Let's just split the cost.\Sign: Devastation\I'll pay you back! I'll definitely pay you back tomorrow!\Yep.\There's like no one here. response:	With it like this, everything's gonna go the way Yano wants it to...
context: No! This isn't a date, so I don't think it's right for you to pay for me.\I see.\Let's just split the cost.\Sign: Devastation\I'll pay you back! I'll definitely pay you back tomorrow!\Yep.\There's like no one here.\With it like this, everything's gonna go the way Yano wants it to... response:	Hey, this is pretty amazing. Besides the two of us, there's only three other couples.
context: I see.\Let's just split the cost.\Sign: Devastation\I'll pay you back! I'll definitely pay you back tomorrow!\Yep.\There's like no one here.\With it like this, everything's gonna go the way Yano wants it to...\Hey, this is pretty amazing. Besides the two of us, there's only three other couples. response:	Isn't it amaz... ing?
context: Let's just split the cost.\Sign: Devastation\I'll pay you back! I'll definitely pay you back tomorrow!\Yep.\There's like no one here.\With it like this, everything's gonna go the way Yano wants it to...\Hey, this is pretty amazing. Besides the two of us, there's only three other couples.\Isn't it amaz... ing? response:	Just to let you know, I'm giving up on you if you don't talk about her today.
context: Sign: Devastation\I'll pay you back! I'll definitely pay you back tomorrow!\Yep.\There's like no one here.\With it like this, everything's gonna go the way Yano wants it to...\Hey, this is pretty amazing. Besides the two of us, there's only three other couples.\Isn't it amaz... ing?\Just to let you know, I'm giving up on you if you don't talk about her today. response:	I find it hard to believe you plan on talking seriously today, the way things are going.
context: I'll pay you back! I'll definitely pay you back tomorrow!\Yep.\There's like no one here.\With it like this, everything's gonna go the way Yano wants it to...\Hey, this is pretty amazing. Besides the two of us, there's only three other couples.\Isn't it amaz... ing?\Just to let you know, I'm giving up on you if you don't talk about her today.\I find it hard to believe you plan on talking seriously today, the way things are going. response:	Yeah, I know.
context: Yep.\There's like no one here.\With it like this, everything's gonna go the way Yano wants it to...\Hey, this is pretty amazing. Besides the two of us, there's only three other couples.\Isn't it amaz... ing?\Just to let you know, I'm giving up on you if you don't talk about her today.\I find it hard to believe you plan on talking seriously today, the way things are going.\Yeah, I know. response:	Yano instinctively has a habit of avoiding Nana-san whenever the topic comes up.
context: There's like no one here.\With it like this, everything's gonna go the way Yano wants it to...\Hey, this is pretty amazing. Besides the two of us, there's only three other couples.\Isn't it amaz... ing?\Just to let you know, I'm giving up on you if you don't talk about her today.\I find it hard to believe you plan on talking seriously today, the way things are going.\Yeah, I know.\Yano instinctively has a habit of avoiding Nana-san whenever the topic comes up. response:	Well...
context: With it like this, everything's gonna go the way Yano wants it to...\Hey, this is pretty amazing. Besides the two of us, there's only three other couples.\Isn't it amaz... ing?\Just to let you know, I'm giving up on you if you don't talk about her today.\I find it hard to believe you plan on talking seriously today, the way things are going.\Yeah, I know.\Yano instinctively has a habit of avoiding Nana-san whenever the topic comes up.\Well... response:	What is it?
context: Hey, this is pretty amazing. Besides the two of us, there's only three other couples.\Isn't it amaz... ing?\Just to let you know, I'm giving up on you if you don't talk about her today.\I find it hard to believe you plan on talking seriously today, the way things are going.\Yeah, I know.\Yano instinctively has a habit of avoiding Nana-san whenever the topic comes up.\Well...\What is it? response:	Her name was Yamamoto Nana.
context: Isn't it amaz... ing?\Just to let you know, I'm giving up on you if you don't talk about her today.\I find it hard to believe you plan on talking seriously today, the way things are going.\Yeah, I know.\Yano instinctively has a habit of avoiding Nana-san whenever the topic comes up.\Well...\What is it?\Her name was Yamamoto Nana. response:	Her birthday was July 29th. Her blood type was B.
context: Just to let you know, I'm giving up on you if you don't talk about her today.\I find it hard to believe you plan on talking seriously today, the way things are going.\Yeah, I know.\Yano instinctively has a habit of avoiding Nana-san whenever the topic comes up.\Well...\What is it?\Her name was Yamamoto Nana.\Her birthday was July 29th. Her blood type was B. response:	And for her family...
context: I find it hard to believe you plan on talking seriously today, the way things are going.\Yeah, I know.\Yano instinctively has a habit of avoiding Nana-san whenever the topic comes up.\Well...\What is it?\Her name was Yamamoto Nana.\Her birthday was July 29th. Her blood type was B.\And for her family... response:	She loved going out to sing karaoke.
context: Yeah, I know.\Yano instinctively has a habit of avoiding Nana-san whenever the topic comes up.\Well...\What is it?\Her name was Yamamoto Nana.\Her birthday was July 29th. Her blood type was B.\And for her family...\She loved going out to sing karaoke. response:	She hated doing schoolwork.
context: Yano instinctively has a habit of avoiding Nana-san whenever the topic comes up.\Well...\What is it?\Her name was Yamamoto Nana.\Her birthday was July 29th. Her blood type was B.\And for her family...\She loved going out to sing karaoke.\She hated doing schoolwork. response:	Her favourite color was pink. Her room was covered in hot pink everything.
context: Well...\What is it?\Her name was Yamamoto Nana.\Her birthday was July 29th. Her blood type was B.\And for her family...\She loved going out to sing karaoke.\She hated doing schoolwork.\Her favourite color was pink. Her room was covered in hot pink everything. response:	She had a silly personality.
context: What is it?\Her name was Yamamoto Nana.\Her birthday was July 29th. Her blood type was B.\And for her family...\She loved going out to sing karaoke.\She hated doing schoolwork.\Her favourite color was pink. Her room was covered in hot pink everything.\She had a silly personality. response:	She'd laugh a lot.
context: Her name was Yamamoto Nana.\Her birthday was July 29th. Her blood type was B.\And for her family...\She loved going out to sing karaoke.\She hated doing schoolwork.\Her favourite color was pink. Her room was covered in hot pink everything.\She had a silly personality.\She'd laugh a lot. response:	She'd laugh at anything.
context: Her birthday was July 29th. Her blood type was B.\And for her family...\She loved going out to sing karaoke.\She hated doing schoolwork.\Her favourite color was pink. Her room was covered in hot pink everything.\She had a silly personality.\She'd laugh a lot.\She'd laugh at anything. response:	She'd even laugh at things that weren't funny.
context: And for her family...\She loved going out to sing karaoke.\She hated doing schoolwork.\Her favourite color was pink. Her room was covered in hot pink everything.\She had a silly personality.\She'd laugh a lot.\She'd laugh at anything.\She'd even laugh at things that weren't funny. response:	She went out with ton of guys. By the way, I was the 7th.
context: She loved going out to sing karaoke.\She hated doing schoolwork.\Her favourite color was pink. Her room was covered in hot pink everything.\She had a silly personality.\She'd laugh a lot.\She'd laugh at anything.\She'd even laugh at things that weren't funny.\She went out with ton of guys. By the way, I was the 7th. response:	U-Umm, that's not really what I wanted to hear...
context: She hated doing schoolwork.\Her favourite color was pink. Her room was covered in hot pink everything.\She had a silly personality.\She'd laugh a lot.\She'd laugh at anything.\She'd even laugh at things that weren't funny.\She went out with ton of guys. By the way, I was the 7th.\U-Umm, that's not really what I wanted to hear... response:	I didn't want a profile. I wanted more of, umm... you know?
context: Her favourite color was pink. Her room was covered in hot pink everything.\She had a silly personality.\She'd laugh a lot.\She'd laugh at anything.\She'd even laugh at things that weren't funny.\She went out with ton of guys. By the way, I was the 7th.\U-Umm, that's not really what I wanted to hear...\I didn't want a profile. I wanted more of, umm... you know? response:	Like, Yano's feelings for her...
context: She had a silly personality.\She'd laugh a lot.\She'd laugh at anything.\She'd even laugh at things that weren't funny.\She went out with ton of guys. By the way, I was the 7th.\U-Umm, that's not really what I wanted to hear...\I didn't want a profile. I wanted more of, umm... you know?\Like, Yano's feelings for her... response:	Umm... was there anything that really left an impression on you after going out with her?
context: She'd laugh a lot.\She'd laugh at anything.\She'd even laugh at things that weren't funny.\She went out with ton of guys. By the way, I was the 7th.\U-Umm, that's not really what I wanted to hear...\I didn't want a profile. I wanted more of, umm... you know?\Like, Yano's feelings for her...\Umm... was there anything that really left an impression on you after going out with her? response:	Something that left an impression?
context: She'd laugh at anything.\She'd even laugh at things that weren't funny.\She went out with ton of guys. By the way, I was the 7th.\U-Umm, that's not really what I wanted to hear...\I didn't want a profile. I wanted more of, umm... you know?\Like, Yano's feelings for her...\Umm... was there anything that really left an impression on you after going out with her?\Something that left an impression? response:	Like how an udon noodle once came out of her nose?
context: She'd even laugh at things that weren't funny.\She went out with ton of guys. By the way, I was the 7th.\U-Umm, that's not really what I wanted to hear...\I didn't want a profile. I wanted more of, umm... you know?\Like, Yano's feelings for her...\Umm... was there anything that really left an impression on you after going out with her?\Something that left an impression?\Like how an udon noodle once came out of her nose? response:	An udon noodle came out of her nose?!
