context: Talk about a lack of personality... response:	How old are you?
context: That you're Kuro-kun's girlfriend.\I mean, you're not Kuro-kun's type.\Since he was dumped so cruelly by someone who was his type,\I think it's quite possible for him to seek the complete opposite.\Ow!\Ow, ow, ow, ow...\I heard that Kuro-kun's cousin who was in the hospital passed away,\so maybe he talked to her in desperation and now he just can't get rid of her... response:	Fine! Behold how happy we look as a couple in this photo!
context: I mean, you're not Kuro-kun's type.\Since he was dumped so cruelly by someone who was his type,\I think it's quite possible for him to seek the complete opposite.\Ow!\Ow, ow, ow, ow...\I heard that Kuro-kun's cousin who was in the hospital passed away,\so maybe he talked to her in desperation and now he just can't get rid of her...\Fine! Behold how happy we look as a couple in this photo! response:	Kuro-kun clearly isn't happy in this picture...
context: Since he was dumped so cruelly by someone who was his type,\I think it's quite possible for him to seek the complete opposite.\Ow!\Ow, ow, ow, ow...\I heard that Kuro-kun's cousin who was in the hospital passed away,\so maybe he talked to her in desperation and now he just can't get rid of her...\Fine! Behold how happy we look as a couple in this photo!\Kuro-kun clearly isn't happy in this picture... response:	He's not having fun.
context: I think it's quite possible for him to seek the complete opposite.\Ow!\Ow, ow, ow, ow...\I heard that Kuro-kun's cousin who was in the hospital passed away,\so maybe he talked to her in desperation and now he just can't get rid of her...\Fine! Behold how happy we look as a couple in this photo!\Kuro-kun clearly isn't happy in this picture...\He's not having fun. response:	Senpai's just so shy!
context: Ow!\Ow, ow, ow, ow...\I heard that Kuro-kun's cousin who was in the hospital passed away,\so maybe he talked to her in desperation and now he just can't get rid of her...\Fine! Behold how happy we look as a couple in this photo!\Kuro-kun clearly isn't happy in this picture...\He's not having fun.\Senpai's just so shy! response:	That lie won't work on someone who dated him for more than five years.
context: Ow, ow, ow, ow...\I heard that Kuro-kun's cousin who was in the hospital passed away,\so maybe he talked to her in desperation and now he just can't get rid of her...\Fine! Behold how happy we look as a couple in this photo!\Kuro-kun clearly isn't happy in this picture...\He's not having fun.\Senpai's just so shy!\That lie won't work on someone who dated him for more than five years. response:	So... How is Kuro-kun, anyway?
context: I heard that Kuro-kun's cousin who was in the hospital passed away,\so maybe he talked to her in desperation and now he just can't get rid of her...\Fine! Behold how happy we look as a couple in this photo!\Kuro-kun clearly isn't happy in this picture...\He's not having fun.\Senpai's just so shy!\That lie won't work on someone who dated him for more than five years.\So... How is Kuro-kun, anyway? response:	He's still going to the university.
context: so maybe he talked to her in desperation and now he just can't get rid of her...\Fine! Behold how happy we look as a couple in this photo!\Kuro-kun clearly isn't happy in this picture...\He's not having fun.\Senpai's just so shy!\That lie won't work on someone who dated him for more than five years.\So... How is Kuro-kun, anyway?\He's still going to the university. response:	Since he's not getting married to you,
context: Fine! Behold how happy we look as a couple in this photo!\Kuro-kun clearly isn't happy in this picture...\He's not having fun.\Senpai's just so shy!\That lie won't work on someone who dated him for more than five years.\So... How is Kuro-kun, anyway?\He's still going to the university.\Since he's not getting married to you, response:	On/Off
context: Kuro-kun clearly isn't happy in this picture...\He's not having fun.\Senpai's just so shy!\That lie won't work on someone who dated him for more than five years.\So... How is Kuro-kun, anyway?\He's still going to the university.\Since he's not getting married to you,\On/Off response:	Power On/Off
context: He's not having fun.\Senpai's just so shy!\That lie won't work on someone who dated him for more than five years.\So... How is Kuro-kun, anyway?\He's still going to the university.\Since he's not getting married to you,\On/Off\Power On/Off response:	High
context: Senpai's just so shy!\That lie won't work on someone who dated him for more than five years.\So... How is Kuro-kun, anyway?\He's still going to the university.\Since he's not getting married to you,\On/Off\Power On/Off\High response:	he doesn't need to rush to get a job anymore.
context: That lie won't work on someone who dated him for more than five years.\So... How is Kuro-kun, anyway?\He's still going to the university.\Since he's not getting married to you,\On/Off\Power On/Off\High\he doesn't need to rush to get a job anymore. response:	He was always thinking about going to graduate school.
context: So... How is Kuro-kun, anyway?\He's still going to the university.\Since he's not getting married to you,\On/Off\Power On/Off\High\he doesn't need to rush to get a job anymore.\He was always thinking about going to graduate school. response:	Our plans for marriage included that prospect.
context: He's still going to the university.\Since he's not getting married to you,\On/Off\Power On/Off\High\he doesn't need to rush to get a job anymore.\He was always thinking about going to graduate school.\Our plans for marriage included that prospect. response:	And yet you didn't get married.
context: Since he's not getting married to you,\On/Off\Power On/Off\High\he doesn't need to rush to get a job anymore.\He was always thinking about going to graduate school.\Our plans for marriage included that prospect.\And yet you didn't get married. response:	You did run away from Kuro-senpai, after all.
context: On/Off\Power On/Off\High\he doesn't need to rush to get a job anymore.\He was always thinking about going to graduate school.\Our plans for marriage included that prospect.\And yet you didn't get married.\You did run away from Kuro-senpai, after all. response:	What was I supposed to do?
context: Power On/Off\High\he doesn't need to rush to get a job anymore.\He was always thinking about going to graduate school.\Our plans for marriage included that prospect.\And yet you didn't get married.\You did run away from Kuro-senpai, after all.\What was I supposed to do? response:	The possibility of him not being human never crossed my mind.
context: High\he doesn't need to rush to get a job anymore.\He was always thinking about going to graduate school.\Our plans for marriage included that prospect.\And yet you didn't get married.\You did run away from Kuro-senpai, after all.\What was I supposed to do?\The possibility of him not being human never crossed my mind. response:	Sorry... I said too much.
context: he doesn't need to rush to get a job anymore.\He was always thinking about going to graduate school.\Our plans for marriage included that prospect.\And yet you didn't get married.\You did run away from Kuro-senpai, after all.\What was I supposed to do?\The possibility of him not being human never crossed my mind.\Sorry... I said too much. response:	Well, you're not wrong.
context: He was always thinking about going to graduate school.\Our plans for marriage included that prospect.\And yet you didn't get married.\You did run away from Kuro-senpai, after all.\What was I supposed to do?\The possibility of him not being human never crossed my mind.\Sorry... I said too much.\Well, you're not wrong. response:	Kuro-senpai seems human, but likely can't be categorized as such.
context: Our plans for marriage included that prospect.\And yet you didn't get married.\You did run away from Kuro-senpai, after all.\What was I supposed to do?\The possibility of him not being human never crossed my mind.\Sorry... I said too much.\Well, you're not wrong.\Kuro-senpai seems human, but likely can't be categorized as such. response:	I'm in a similar situation myself.
context: And yet you didn't get married.\You did run away from Kuro-senpai, after all.\What was I supposed to do?\The possibility of him not being human never crossed my mind.\Sorry... I said too much.\Well, you're not wrong.\Kuro-senpai seems human, but likely can't be categorized as such.\I'm in a similar situation myself. response:	So we're the perfect match, don't you think?
context: You did run away from Kuro-senpai, after all.\What was I supposed to do?\The possibility of him not being human never crossed my mind.\Sorry... I said too much.\Well, you're not wrong.\Kuro-senpai seems human, but likely can't be categorized as such.\I'm in a similar situation myself.\So we're the perfect match, don't you think? response:	Similar?
context: What was I supposed to do?\The possibility of him not being human never crossed my mind.\Sorry... I said too much.\Well, you're not wrong.\Kuro-senpai seems human, but likely can't be categorized as such.\I'm in a similar situation myself.\So we're the perfect match, don't you think?\Similar? response:	What are you, exactly?
context: The possibility of him not being human never crossed my mind.\Sorry... I said too much.\Well, you're not wrong.\Kuro-senpai seems human, but likely can't be categorized as such.\I'm in a similar situation myself.\So we're the perfect match, don't you think?\Similar?\What are you, exactly? response:	Yokai, ayakashi, spectres...
context: Sorry... I said too much.\Well, you're not wrong.\Kuro-senpai seems human, but likely can't be categorized as such.\I'm in a similar situation myself.\So we're the perfect match, don't you think?\Similar?\What are you, exactly?\Yokai, ayakashi, spectres... response:	I am their Goddess of Wisdom.
context: Well, you're not wrong.\Kuro-senpai seems human, but likely can't be categorized as such.\I'm in a similar situation myself.\So we're the perfect match, don't you think?\Similar?\What are you, exactly?\Yokai, ayakashi, spectres...\I am their Goddess of Wisdom. response:	Just think of me as a priestess who mediates their conflicts and solves their problems.
context: Kuro-senpai seems human, but likely can't be categorized as such.\I'm in a similar situation myself.\So we're the perfect match, don't you think?\Similar?\What are you, exactly?\Yokai, ayakashi, spectres...\I am their Goddess of Wisdom.\Just think of me as a priestess who mediates their conflicts and solves their problems. response:	I don't think a priestess can be deflowered...
context: I'm in a similar situation myself.\So we're the perfect match, don't you think?\Similar?\What are you, exactly?\Yokai, ayakashi, spectres...\I am their Goddess of Wisdom.\Just think of me as a priestess who mediates their conflicts and solves their problems.\I don't think a priestess can be deflowered... response:	More importantly, our issue at hand is Steel Lady Nanase.
context: So we're the perfect match, don't you think?\Similar?\What are you, exactly?\Yokai, ayakashi, spectres...\I am their Goddess of Wisdom.\Just think of me as a priestess who mediates their conflicts and solves their problems.\I don't think a priestess can be deflowered...\More importantly, our issue at hand is Steel Lady Nanase. response:	Have the police already begun their investigation?
context: Similar?\What are you, exactly?\Yokai, ayakashi, spectres...\I am their Goddess of Wisdom.\Just think of me as a priestess who mediates their conflicts and solves their problems.\I don't think a priestess can be deflowered...\More importantly, our issue at hand is Steel Lady Nanase.\Have the police already begun their investigation? response:	One of our detectives noticed something strange going on in the city,
context: What are you, exactly?\Yokai, ayakashi, spectres...\I am their Goddess of Wisdom.\Just think of me as a priestess who mediates their conflicts and solves their problems.\I don't think a priestess can be deflowered...\More importantly, our issue at hand is Steel Lady Nanase.\Have the police already begun their investigation?\One of our detectives noticed something strange going on in the city, response:	so he's been looking into it.
context: Yokai, ayakashi, spectres...\I am their Goddess of Wisdom.\Just think of me as a priestess who mediates their conflicts and solves their problems.\I don't think a priestess can be deflowered...\More importantly, our issue at hand is Steel Lady Nanase.\Have the police already begun their investigation?\One of our detectives noticed something strange going on in the city,\so he's been looking into it. response:	Any crime or damage reports?
context: I am their Goddess of Wisdom.\Just think of me as a priestess who mediates their conflicts and solves their problems.\I don't think a priestess can be deflowered...\More importantly, our issue at hand is Steel Lady Nanase.\Have the police already begun their investigation?\One of our detectives noticed something strange going on in the city,\so he's been looking into it.\Any crime or damage reports? response:	It's only a matter of time until we see them.
context: Just think of me as a priestess who mediates their conflicts and solves their problems.\I don't think a priestess can be deflowered...\More importantly, our issue at hand is Steel Lady Nanase.\Have the police already begun their investigation?\One of our detectives noticed something strange going on in the city,\so he's been looking into it.\Any crime or damage reports?\It's only a matter of time until we see them. response:	That Steel Lady Nanase was far more violent than I'd heard about.
context: I don't think a priestess can be deflowered...\More importantly, our issue at hand is Steel Lady Nanase.\Have the police already begun their investigation?\One of our detectives noticed something strange going on in the city,\so he's been looking into it.\Any crime or damage reports?\It's only a matter of time until we see them.\That Steel Lady Nanase was far more violent than I'd heard about. response:	If we leave her be, she might commit a murder soon.
context: More importantly, our issue at hand is Steel Lady Nanase.\Have the police already begun their investigation?\One of our detectives noticed something strange going on in the city,\so he's been looking into it.\Any crime or damage reports?\It's only a matter of time until we see them.\That Steel Lady Nanase was far more violent than I'd heard about.\If we leave her be, she might commit a murder soon. response:	Indeed. I'm fearful of that, as well.
context: Have the police already begun their investigation?\One of our detectives noticed something strange going on in the city,\so he's been looking into it.\Any crime or damage reports?\It's only a matter of time until we see them.\That Steel Lady Nanase was far more violent than I'd heard about.\If we leave her be, she might commit a murder soon.\Indeed. I'm fearful of that, as well. response:	We need to deal with her immediately.
context: One of our detectives noticed something strange going on in the city,\so he's been looking into it.\Any crime or damage reports?\It's only a matter of time until we see them.\That Steel Lady Nanase was far more violent than I'd heard about.\If we leave her be, she might commit a murder soon.\Indeed. I'm fearful of that, as well.\We need to deal with her immediately. response:	Whether it's a yokai or an urban legend,
context: so he's been looking into it.\Any crime or damage reports?\It's only a matter of time until we see them.\That Steel Lady Nanase was far more violent than I'd heard about.\If we leave her be, she might commit a murder soon.\Indeed. I'm fearful of that, as well.\We need to deal with her immediately.\Whether it's a yokai or an urban legend, response:	has there ever been an incident significant enough to warrant police action?
context: Any crime or damage reports?\It's only a matter of time until we see them.\That Steel Lady Nanase was far more violent than I'd heard about.\If we leave her be, she might commit a murder soon.\Indeed. I'm fearful of that, as well.\We need to deal with her immediately.\Whether it's a yokai or an urban legend,\has there ever been an incident significant enough to warrant police action? response:	I have a hard time believing something so uncertain, vague,
context: It's only a matter of time until we see them.\That Steel Lady Nanase was far more violent than I'd heard about.\If we leave her be, she might commit a murder soon.\Indeed. I'm fearful of that, as well.\We need to deal with her immediately.\Whether it's a yokai or an urban legend,\has there ever been an incident significant enough to warrant police action?\I have a hard time believing something so uncertain, vague, response:	and unseen would actually cause an incident.
context: That Steel Lady Nanase was far more violent than I'd heard about.\If we leave her be, she might commit a murder soon.\Indeed. I'm fearful of that, as well.\We need to deal with her immediately.\Whether it's a yokai or an urban legend,\has there ever been an incident significant enough to warrant police action?\I have a hard time believing something so uncertain, vague,\and unseen would actually cause an incident. response:	But Steel Lady Nanase is completely different.
context: If we leave her be, she might commit a murder soon.\Indeed. I'm fearful of that, as well.\We need to deal with her immediately.\Whether it's a yokai or an urban legend,\has there ever been an incident significant enough to warrant police action?\I have a hard time believing something so uncertain, vague,\and unseen would actually cause an incident.\But Steel Lady Nanase is completely different. response:	That's a great observation.
context: Indeed. I'm fearful of that, as well.\We need to deal with her immediately.\Whether it's a yokai or an urban legend,\has there ever been an incident significant enough to warrant police action?\I have a hard time believing something so uncertain, vague,\and unseen would actually cause an incident.\But Steel Lady Nanase is completely different.\That's a great observation. response:	Proper monsters are rather modest and try not to draw attention to themselves.
context: We need to deal with her immediately.\Whether it's a yokai or an urban legend,\has there ever been an incident significant enough to warrant police action?\I have a hard time believing something so uncertain, vague,\and unseen would actually cause an incident.\But Steel Lady Nanase is completely different.\That's a great observation.\Proper monsters are rather modest and try not to draw attention to themselves. response:	But there's nothing proper about her.
context: Whether it's a yokai or an urban legend,\has there ever been an incident significant enough to warrant police action?\I have a hard time believing something so uncertain, vague,\and unseen would actually cause an incident.\But Steel Lady Nanase is completely different.\That's a great observation.\Proper monsters are rather modest and try not to draw attention to themselves.\But there's nothing proper about her. response:	That's why the perfectly respectable ghosts and monsters
context: has there ever been an incident significant enough to warrant police action?\I have a hard time believing something so uncertain, vague,\and unseen would actually cause an incident.\But Steel Lady Nanase is completely different.\That's a great observation.\Proper monsters are rather modest and try not to draw attention to themselves.\But there's nothing proper about her.\That's why the perfectly respectable ghosts and monsters response:	that have resided here for quite some time
context: I have a hard time believing something so uncertain, vague,\and unseen would actually cause an incident.\But Steel Lady Nanase is completely different.\That's a great observation.\Proper monsters are rather modest and try not to draw attention to themselves.\But there's nothing proper about her.\That's why the perfectly respectable ghosts and monsters\that have resided here for quite some time response:	live in fear ever since she appeared and came to ask me for help,
context: and unseen would actually cause an incident.\But Steel Lady Nanase is completely different.\That's a great observation.\Proper monsters are rather modest and try not to draw attention to themselves.\But there's nothing proper about her.\That's why the perfectly respectable ghosts and monsters\that have resided here for quite some time\live in fear ever since she appeared and came to ask me for help, response:	even if it meant traveling hundreds of kilometers.
context: But Steel Lady Nanase is completely different.\That's a great observation.\Proper monsters are rather modest and try not to draw attention to themselves.\But there's nothing proper about her.\That's why the perfectly respectable ghosts and monsters\that have resided here for quite some time\live in fear ever since she appeared and came to ask me for help,\even if it meant traveling hundreds of kilometers. response:	By the way...
context: That's a great observation.\Proper monsters are rather modest and try not to draw attention to themselves.\But there's nothing proper about her.\That's why the perfectly respectable ghosts and monsters\that have resided here for quite some time\live in fear ever since she appeared and came to ask me for help,\even if it meant traveling hundreds of kilometers.\By the way... response:	Why isn't Kuro-kun with you?
context: Proper monsters are rather modest and try not to draw attention to themselves.\But there's nothing proper about her.\That's why the perfectly respectable ghosts and monsters\that have resided here for quite some time\live in fear ever since she appeared and came to ask me for help,\even if it meant traveling hundreds of kilometers.\By the way...\Why isn't Kuro-kun with you? response:	Since the yokai fear him, he'd probably be useful right now.
context: But there's nothing proper about her.\That's why the perfectly respectable ghosts and monsters\that have resided here for quite some time\live in fear ever since she appeared and came to ask me for help,\even if it meant traveling hundreds of kilometers.\By the way...\Why isn't Kuro-kun with you?\Since the yokai fear him, he'd probably be useful right now. response:	Besides, he's not the type of person to let his junior
context: That's why the perfectly respectable ghosts and monsters\that have resided here for quite some time\live in fear ever since she appeared and came to ask me for help,\even if it meant traveling hundreds of kilometers.\By the way...\Why isn't Kuro-kun with you?\Since the yokai fear him, he'd probably be useful right now.\Besides, he's not the type of person to let his junior response:	go yokai hunting on their own.
context: that have resided here for quite some time\live in fear ever since she appeared and came to ask me for help,\even if it meant traveling hundreds of kilometers.\By the way...\Why isn't Kuro-kun with you?\Since the yokai fear him, he'd probably be useful right now.\Besides, he's not the type of person to let his junior\go yokai hunting on their own. response:	I'd planned to finish this quickly and head home the same day,
context: live in fear ever since she appeared and came to ask me for help,\even if it meant traveling hundreds of kilometers.\By the way...\Why isn't Kuro-kun with you?\Since the yokai fear him, he'd probably be useful right now.\Besides, he's not the type of person to let his junior\go yokai hunting on their own.\I'd planned to finish this quickly and head home the same day, response:	so I didn't see the need to invite him.
context: even if it meant traveling hundreds of kilometers.\By the way...\Why isn't Kuro-kun with you?\Since the yokai fear him, he'd probably be useful right now.\Besides, he's not the type of person to let his junior\go yokai hunting on their own.\I'd planned to finish this quickly and head home the same day,\so I didn't see the need to invite him. response:	But the way you are, you'd invite him like you were going on vacation.
context: By the way...\Why isn't Kuro-kun with you?\Since the yokai fear him, he'd probably be useful right now.\Besides, he's not the type of person to let his junior\go yokai hunting on their own.\I'd planned to finish this quickly and head home the same day,\so I didn't see the need to invite him.\But the way you are, you'd invite him like you were going on vacation. response:	Yes, well... Kuro-senpai contracted a highly infectious disease...
context: Why isn't Kuro-kun with you?\Since the yokai fear him, he'd probably be useful right now.\Besides, he's not the type of person to let his junior\go yokai hunting on their own.\I'd planned to finish this quickly and head home the same day,\so I didn't see the need to invite him.\But the way you are, you'd invite him like you were going on vacation.\Yes, well... Kuro-senpai contracted a highly infectious disease... response:	Why did you look away when you said that?
context: Since the yokai fear him, he'd probably be useful right now.\Besides, he's not the type of person to let his junior\go yokai hunting on their own.\I'd planned to finish this quickly and head home the same day,\so I didn't see the need to invite him.\But the way you are, you'd invite him like you were going on vacation.\Yes, well... Kuro-senpai contracted a highly infectious disease...\Why did you look away when you said that? response:	May I have another cup of coffee?
context: Besides, he's not the type of person to let his junior\go yokai hunting on their own.\I'd planned to finish this quickly and head home the same day,\so I didn't see the need to invite him.\But the way you are, you'd invite him like you were going on vacation.\Yes, well... Kuro-senpai contracted a highly infectious disease...\Why did you look away when you said that?\May I have another cup of coffee? response:	Don't change the subject!
context: go yokai hunting on their own.\I'd planned to finish this quickly and head home the same day,\so I didn't see the need to invite him.\But the way you are, you'd invite him like you were going on vacation.\Yes, well... Kuro-senpai contracted a highly infectious disease...\Why did you look away when you said that?\May I have another cup of coffee?\Don't change the subject! response:	Well, the truth is...
context: I'd planned to finish this quickly and head home the same day,\so I didn't see the need to invite him.\But the way you are, you'd invite him like you were going on vacation.\Yes, well... Kuro-senpai contracted a highly infectious disease...\Why did you look away when you said that?\May I have another cup of coffee?\Don't change the subject!\Well, the truth is... response:	Kuro-senpai disappeared last week, and I haven't been able to get a hold of him.
context: so I didn't see the need to invite him.\But the way you are, you'd invite him like you were going on vacation.\Yes, well... Kuro-senpai contracted a highly infectious disease...\Why did you look away when you said that?\May I have another cup of coffee?\Don't change the subject!\Well, the truth is...\Kuro-senpai disappeared last week, and I haven't been able to get a hold of him. response:	He hasn't even replied to the voicemails I left him.
context: But the way you are, you'd invite him like you were going on vacation.\Yes, well... Kuro-senpai contracted a highly infectious disease...\Why did you look away when you said that?\May I have another cup of coffee?\Don't change the subject!\Well, the truth is...\Kuro-senpai disappeared last week, and I haven't been able to get a hold of him.\He hasn't even replied to the voicemails I left him. response:	This was the last message I received from him.
context: Yes, well... Kuro-senpai contracted a highly infectious disease...\Why did you look away when you said that?\May I have another cup of coffee?\Don't change the subject!\Well, the truth is...\Kuro-senpai disappeared last week, and I haven't been able to get a hold of him.\He hasn't even replied to the voicemails I left him.\This was the last message I received from him. response:	Kuro-senpai
context: Why did you look away when you said that?\May I have another cup of coffee?\Don't change the subject!\Well, the truth is...\Kuro-senpai disappeared last week, and I haven't been able to get a hold of him.\He hasn't even replied to the voicemails I left him.\This was the last message I received from him.\Kuro-senpai response:	(no subject)
context: May I have another cup of coffee?\Don't change the subject!\Well, the truth is...\Kuro-senpai disappeared last week, and I haven't been able to get a hold of him.\He hasn't even replied to the voicemails I left him.\This was the last message I received from him.\Kuro-senpai\(no subject) response:	Something came up. Don't look for me.
context: Don't change the subject!\Well, the truth is...\Kuro-senpai disappeared last week, and I haven't been able to get a hold of him.\He hasn't even replied to the voicemails I left him.\This was the last message I received from him.\Kuro-senpai\(no subject)\Something came up. Don't look for me. response:	No, really... Kuro-kun doesn't like you.
context: Well, the truth is...\Kuro-senpai disappeared last week, and I haven't been able to get a hold of him.\He hasn't even replied to the voicemails I left him.\This was the last message I received from him.\Kuro-senpai\(no subject)\Something came up. Don't look for me.\No, really... Kuro-kun doesn't like you. response:	Again, Kuro-senpai just isn't very good at expressing his feelings...
context: Kuro-senpai disappeared last week, and I haven't been able to get a hold of him.\He hasn't even replied to the voicemails I left him.\This was the last message I received from him.\Kuro-senpai\(no subject)\Something came up. Don't look for me.\No, really... Kuro-kun doesn't like you.\Again, Kuro-senpai just isn't very good at expressing his feelings... response:	Remember when I said lies like that wouldn't work with me?
context: He hasn't even replied to the voicemails I left him.\This was the last message I received from him.\Kuro-senpai\(no subject)\Something came up. Don't look for me.\No, really... Kuro-kun doesn't like you.\Again, Kuro-senpai just isn't very good at expressing his feelings...\Remember when I said lies like that wouldn't work with me? response:	I'm the only one fit to be with Senpai! Why is he acting like this?!
context: This was the last message I received from him.\Kuro-senpai\(no subject)\Something came up. Don't look for me.\No, really... Kuro-kun doesn't like you.\Again, Kuro-senpai just isn't very good at expressing his feelings...\Remember when I said lies like that wouldn't work with me?\I'm the only one fit to be with Senpai! Why is he acting like this?! response:	When we were dating, he never ignored any of my calls or messages.
context: Kuro-senpai\(no subject)\Something came up. Don't look for me.\No, really... Kuro-kun doesn't like you.\Again, Kuro-senpai just isn't very good at expressing his feelings...\Remember when I said lies like that wouldn't work with me?\I'm the only one fit to be with Senpai! Why is he acting like this?!\When we were dating, he never ignored any of my calls or messages. response:	Yes, he was always...
context: (no subject)\Something came up. Don't look for me.\No, really... Kuro-kun doesn't like you.\Again, Kuro-senpai just isn't very good at expressing his feelings...\Remember when I said lies like that wouldn't work with me?\I'm the only one fit to be with Senpai! Why is he acting like this?!\When we were dating, he never ignored any of my calls or messages.\Yes, he was always... response:	right by my side whenever I needed him to be.
context: Something came up. Don't look for me.\No, really... Kuro-kun doesn't like you.\Again, Kuro-senpai just isn't very good at expressing his feelings...\Remember when I said lies like that wouldn't work with me?\I'm the only one fit to be with Senpai! Why is he acting like this?!\When we were dating, he never ignored any of my calls or messages.\Yes, he was always...\right by my side whenever I needed him to be. response:	You have some nerve bragging when all it took was
context: No, really... Kuro-kun doesn't like you.\Again, Kuro-senpai just isn't very good at expressing his feelings...\Remember when I said lies like that wouldn't work with me?\I'm the only one fit to be with Senpai! Why is he acting like this?!\When we were dating, he never ignored any of my calls or messages.\Yes, he was always...\right by my side whenever I needed him to be.\You have some nerve bragging when all it took was response:	a poor little kappa to scare you away!
context: Again, Kuro-senpai just isn't very good at expressing his feelings...\Remember when I said lies like that wouldn't work with me?\I'm the only one fit to be with Senpai! Why is he acting like this?!\When we were dating, he never ignored any of my calls or messages.\Yes, he was always...\right by my side whenever I needed him to be.\You have some nerve bragging when all it took was\a poor little kappa to scare you away! response:	Wha
context: Remember when I said lies like that wouldn't work with me?\I'm the only one fit to be with Senpai! Why is he acting like this?!\When we were dating, he never ignored any of my calls or messages.\Yes, he was always...\right by my side whenever I needed him to be.\You have some nerve bragging when all it took was\a poor little kappa to scare you away!\Wha response:	I'm only worried about Kuro-kun because you're obviously shady!
context: I'm the only one fit to be with Senpai! Why is he acting like this?!\When we were dating, he never ignored any of my calls or messages.\Yes, he was always...\right by my side whenever I needed him to be.\You have some nerve bragging when all it took was\a poor little kappa to scare you away!\Wha\I'm only worried about Kuro-kun because you're obviously shady! response:	There's no reason for a woman who has no ties to him anymore
context: When we were dating, he never ignored any of my calls or messages.\Yes, he was always...\right by my side whenever I needed him to be.\You have some nerve bragging when all it took was\a poor little kappa to scare you away!\Wha\I'm only worried about Kuro-kun because you're obviously shady!\There's no reason for a woman who has no ties to him anymore response:	to be worried about him!
context: Yes, he was always...\right by my side whenever I needed him to be.\You have some nerve bragging when all it took was\a poor little kappa to scare you away!\Wha\I'm only worried about Kuro-kun because you're obviously shady!\There's no reason for a woman who has no ties to him anymore\to be worried about him! response:	That's right.
context: right by my side whenever I needed him to be.\You have some nerve bragging when all it took was\a poor little kappa to scare you away!\Wha\I'm only worried about Kuro-kun because you're obviously shady!\There's no reason for a woman who has no ties to him anymore\to be worried about him!\That's right. response:	This has nothing to do with me anymore.
