context: I got it. response:	Have you been possessed?
context: You don't understand, My Lord.\A mother absolutely will not allow her child\to be subjected to any suffering or grievances.\I must see Aunt\and ask her to face the trial in place of Yuan Zhen.\He caused this disaster, so he needs to go through this trial.\Never mind Bai Qian of Qing Qiu\even if were High God Zhe Yan, I'm afraid he would not be able to help either. response:	No.
context: A mother absolutely will not allow her child\to be subjected to any suffering or grievances.\I must see Aunt\and ask her to face the trial in place of Yuan Zhen.\He caused this disaster, so he needs to go through this trial.\Never mind Bai Qian of Qing Qiu\even if were High God Zhe Yan, I'm afraid he would not be able to help either.\No. response:	Aunt can.
context: to be subjected to any suffering or grievances.\I must see Aunt\and ask her to face the trial in place of Yuan Zhen.\He caused this disaster, so he needs to go through this trial.\Never mind Bai Qian of Qing Qiu\even if were High God Zhe Yan, I'm afraid he would not be able to help either.\No.\Aunt can. response:	You have too much confidence in this aunt of yours.
context: I must see Aunt\and ask her to face the trial in place of Yuan Zhen.\He caused this disaster, so he needs to go through this trial.\Never mind Bai Qian of Qing Qiu\even if were High God Zhe Yan, I'm afraid he would not be able to help either.\No.\Aunt can.\You have too much confidence in this aunt of yours. response:	It is not that I am overly confident in her
context: and ask her to face the trial in place of Yuan Zhen.\He caused this disaster, so he needs to go through this trial.\Never mind Bai Qian of Qing Qiu\even if were High God Zhe Yan, I'm afraid he would not be able to help either.\No.\Aunt can.\You have too much confidence in this aunt of yours.\It is not that I am overly confident in her response:	but because of us
context: He caused this disaster, so he needs to go through this trial.\Never mind Bai Qian of Qing Qiu\even if were High God Zhe Yan, I'm afraid he would not be able to help either.\No.\Aunt can.\You have too much confidence in this aunt of yours.\It is not that I am overly confident in her\but because of us response:	the Celestial Tribe owes Qing Qiu.
context: Never mind Bai Qian of Qing Qiu\even if were High God Zhe Yan, I'm afraid he would not be able to help either.\No.\Aunt can.\You have too much confidence in this aunt of yours.\It is not that I am overly confident in her\but because of us\the Celestial Tribe owes Qing Qiu. response:	Other people cannot interfere in this, but Aunt certainly can.
context: even if were High God Zhe Yan, I'm afraid he would not be able to help either.\No.\Aunt can.\You have too much confidence in this aunt of yours.\It is not that I am overly confident in her\but because of us\the Celestial Tribe owes Qing Qiu.\Other people cannot interfere in this, but Aunt certainly can. response:	Even if Aunt changes Yuan Zhen's fate without permission
context: No.\Aunt can.\You have too much confidence in this aunt of yours.\It is not that I am overly confident in her\but because of us\the Celestial Tribe owes Qing Qiu.\Other people cannot interfere in this, but Aunt certainly can.\Even if Aunt changes Yuan Zhen's fate without permission response:	the Heavenly Lord will still turn a blind eye.
context: Aunt can.\You have too much confidence in this aunt of yours.\It is not that I am overly confident in her\but because of us\the Celestial Tribe owes Qing Qiu.\Other people cannot interfere in this, but Aunt certainly can.\Even if Aunt changes Yuan Zhen's fate without permission\the Heavenly Lord will still turn a blind eye. response:	That does hold some reason.
context: You have too much confidence in this aunt of yours.\It is not that I am overly confident in her\but because of us\the Celestial Tribe owes Qing Qiu.\Other people cannot interfere in this, but Aunt certainly can.\Even if Aunt changes Yuan Zhen's fate without permission\the Heavenly Lord will still turn a blind eye.\That does hold some reason. response:	However, with Bai Qian's personality...
context: It is not that I am overly confident in her\but because of us\the Celestial Tribe owes Qing Qiu.\Other people cannot interfere in this, but Aunt certainly can.\Even if Aunt changes Yuan Zhen's fate without permission\the Heavenly Lord will still turn a blind eye.\That does hold some reason.\However, with Bai Qian's personality... response:	If she were to make your life difficult...
context: but because of us\the Celestial Tribe owes Qing Qiu.\Other people cannot interfere in this, but Aunt certainly can.\Even if Aunt changes Yuan Zhen's fate without permission\the Heavenly Lord will still turn a blind eye.\That does hold some reason.\However, with Bai Qian's personality...\If she were to make your life difficult... response:	Do not worry, My Lord.
context: the Celestial Tribe owes Qing Qiu.\Other people cannot interfere in this, but Aunt certainly can.\Even if Aunt changes Yuan Zhen's fate without permission\the Heavenly Lord will still turn a blind eye.\That does hold some reason.\However, with Bai Qian's personality...\If she were to make your life difficult...\Do not worry, My Lord. response:	Aunt has returned the Cloud Clearing Fan to me
context: Other people cannot interfere in this, but Aunt certainly can.\Even if Aunt changes Yuan Zhen's fate without permission\the Heavenly Lord will still turn a blind eye.\That does hold some reason.\However, with Bai Qian's personality...\If she were to make your life difficult...\Do not worry, My Lord.\Aunt has returned the Cloud Clearing Fan to me response:	and has allowed me one wish.
context: Even if Aunt changes Yuan Zhen's fate without permission\the Heavenly Lord will still turn a blind eye.\That does hold some reason.\However, with Bai Qian's personality...\If she were to make your life difficult...\Do not worry, My Lord.\Aunt has returned the Cloud Clearing Fan to me\and has allowed me one wish. response:	She is one who keeps to her word. She definitely will not turn me down.
context: the Heavenly Lord will still turn a blind eye.\That does hold some reason.\However, with Bai Qian's personality...\If she were to make your life difficult...\Do not worry, My Lord.\Aunt has returned the Cloud Clearing Fan to me\and has allowed me one wish.\She is one who keeps to her word. She definitely will not turn me down. response:	Mushroom Fairy, what is this notice for?
context: That does hold some reason.\However, with Bai Qian's personality...\If she were to make your life difficult...\Do not worry, My Lord.\Aunt has returned the Cloud Clearing Fan to me\and has allowed me one wish.\She is one who keeps to her word. She definitely will not turn me down.\Mushroom Fairy, what is this notice for? response:	Aunt is going to choose someone today
context: However, with Bai Qian's personality...\If she were to make your life difficult...\Do not worry, My Lord.\Aunt has returned the Cloud Clearing Fan to me\and has allowed me one wish.\She is one who keeps to her word. She definitely will not turn me down.\Mushroom Fairy, what is this notice for?\Aunt is going to choose someone today response:	to become Lord Ye Hua's disciple in the kitchen.
context: If she were to make your life difficult...\Do not worry, My Lord.\Aunt has returned the Cloud Clearing Fan to me\and has allowed me one wish.\She is one who keeps to her word. She definitely will not turn me down.\Mushroom Fairy, what is this notice for?\Aunt is going to choose someone today\to become Lord Ye Hua's disciple in the kitchen. response:	It is a rare chance.
context: Do not worry, My Lord.\Aunt has returned the Cloud Clearing Fan to me\and has allowed me one wish.\She is one who keeps to her word. She definitely will not turn me down.\Mushroom Fairy, what is this notice for?\Aunt is going to choose someone today\to become Lord Ye Hua's disciple in the kitchen.\It is a rare chance. response:	It would be a great fortune to be Lord Ye Hua's disciple
context: Aunt has returned the Cloud Clearing Fan to me\and has allowed me one wish.\She is one who keeps to her word. She definitely will not turn me down.\Mushroom Fairy, what is this notice for?\Aunt is going to choose someone today\to become Lord Ye Hua's disciple in the kitchen.\It is a rare chance.\It would be a great fortune to be Lord Ye Hua's disciple response:	even if it is in the kitchen.
context: and has allowed me one wish.\She is one who keeps to her word. She definitely will not turn me down.\Mushroom Fairy, what is this notice for?\Aunt is going to choose someone today\to become Lord Ye Hua's disciple in the kitchen.\It is a rare chance.\It would be a great fortune to be Lord Ye Hua's disciple\even if it is in the kitchen. response:	There is already a long line of people in front of the Fox Den.
context: She is one who keeps to her word. She definitely will not turn me down.\Mushroom Fairy, what is this notice for?\Aunt is going to choose someone today\to become Lord Ye Hua's disciple in the kitchen.\It is a rare chance.\It would be a great fortune to be Lord Ye Hua's disciple\even if it is in the kitchen.\There is already a long line of people in front of the Fox Den. response:	I'm afraid it is too late to go now.
context: Mushroom Fairy, what is this notice for?\Aunt is going to choose someone today\to become Lord Ye Hua's disciple in the kitchen.\It is a rare chance.\It would be a great fortune to be Lord Ye Hua's disciple\even if it is in the kitchen.\There is already a long line of people in front of the Fox Den.\I'm afraid it is too late to go now. response:	It's not, it's not. It's happening tonight. There's still time. Let's go.
context: Aunt is going to choose someone today\to become Lord Ye Hua's disciple in the kitchen.\It is a rare chance.\It would be a great fortune to be Lord Ye Hua's disciple\even if it is in the kitchen.\There is already a long line of people in front of the Fox Den.\I'm afraid it is too late to go now.\It's not, it's not. It's happening tonight. There's still time. Let's go. response:	I heard from Mi Gu that you are choosing a disciple for me.
context: to become Lord Ye Hua's disciple in the kitchen.\It is a rare chance.\It would be a great fortune to be Lord Ye Hua's disciple\even if it is in the kitchen.\There is already a long line of people in front of the Fox Den.\I'm afraid it is too late to go now.\It's not, it's not. It's happening tonight. There's still time. Let's go.\I heard from Mi Gu that you are choosing a disciple for me. response:	Yes.
context: It is a rare chance.\It would be a great fortune to be Lord Ye Hua's disciple\even if it is in the kitchen.\There is already a long line of people in front of the Fox Den.\I'm afraid it is too late to go now.\It's not, it's not. It's happening tonight. There's still time. Let's go.\I heard from Mi Gu that you are choosing a disciple for me.\Yes. response:	Have them all leave.
context: It would be a great fortune to be Lord Ye Hua's disciple\even if it is in the kitchen.\There is already a long line of people in front of the Fox Den.\I'm afraid it is too late to go now.\It's not, it's not. It's happening tonight. There's still time. Let's go.\I heard from Mi Gu that you are choosing a disciple for me.\Yes.\Have them all leave. response:	None of them look like they have the talent.
context: even if it is in the kitchen.\There is already a long line of people in front of the Fox Den.\I'm afraid it is too late to go now.\It's not, it's not. It's happening tonight. There's still time. Let's go.\I heard from Mi Gu that you are choosing a disciple for me.\Yes.\Have them all leave.\None of them look like they have the talent. response:	In my opinion, you look like you'd do well.
context: There is already a long line of people in front of the Fox Den.\I'm afraid it is too late to go now.\It's not, it's not. It's happening tonight. There's still time. Let's go.\I heard from Mi Gu that you are choosing a disciple for me.\Yes.\Have them all leave.\None of them look like they have the talent.\In my opinion, you look like you'd do well. response:	But you truly have no need to learn from me.
context: I'm afraid it is too late to go now.\It's not, it's not. It's happening tonight. There's still time. Let's go.\I heard from Mi Gu that you are choosing a disciple for me.\Yes.\Have them all leave.\None of them look like they have the talent.\In my opinion, you look like you'd do well.\But you truly have no need to learn from me. response:	It's enough that one of the two of us can cook.
context: It's not, it's not. It's happening tonight. There's still time. Let's go.\I heard from Mi Gu that you are choosing a disciple for me.\Yes.\Have them all leave.\None of them look like they have the talent.\In my opinion, you look like you'd do well.\But you truly have no need to learn from me.\It's enough that one of the two of us can cook. response:	Mi Gu.
context: I heard from Mi Gu that you are choosing a disciple for me.\Yes.\Have them all leave.\None of them look like they have the talent.\In my opinion, you look like you'd do well.\But you truly have no need to learn from me.\It's enough that one of the two of us can cook.\Mi Gu. response:	Aunt, which one has the Crown Prince chosen?
context: Yes.\Have them all leave.\None of them look like they have the talent.\In my opinion, you look like you'd do well.\But you truly have no need to learn from me.\It's enough that one of the two of us can cook.\Mi Gu.\Aunt, which one has the Crown Prince chosen? response:	He doesn't like any of them. Tell them to disperse.
context: Have them all leave.\None of them look like they have the talent.\In my opinion, you look like you'd do well.\But you truly have no need to learn from me.\It's enough that one of the two of us can cook.\Mi Gu.\Aunt, which one has the Crown Prince chosen?\He doesn't like any of them. Tell them to disperse. response:	Leave, leave.
context: None of them look like they have the talent.\In my opinion, you look like you'd do well.\But you truly have no need to learn from me.\It's enough that one of the two of us can cook.\Mi Gu.\Aunt, which one has the Crown Prince chosen?\He doesn't like any of them. Tell them to disperse.\Leave, leave. response:	All right. Let's go.
context: In my opinion, you look like you'd do well.\But you truly have no need to learn from me.\It's enough that one of the two of us can cook.\Mi Gu.\Aunt, which one has the Crown Prince chosen?\He doesn't like any of them. Tell them to disperse.\Leave, leave.\All right. Let's go. response:	I'll take the young prince on a boat ride then.
context: But you truly have no need to learn from me.\It's enough that one of the two of us can cook.\Mi Gu.\Aunt, which one has the Crown Prince chosen?\He doesn't like any of them. Tell them to disperse.\Leave, leave.\All right. Let's go.\I'll take the young prince on a boat ride then. response:	Let's go.
context: It's enough that one of the two of us can cook.\Mi Gu.\Aunt, which one has the Crown Prince chosen?\He doesn't like any of them. Tell them to disperse.\Leave, leave.\All right. Let's go.\I'll take the young prince on a boat ride then.\Let's go. response:	Come on.
context: Mi Gu.\Aunt, which one has the Crown Prince chosen?\He doesn't like any of them. Tell them to disperse.\Leave, leave.\All right. Let's go.\I'll take the young prince on a boat ride then.\Let's go.\Come on. response:	Qian Qian.
context: Aunt, which one has the Crown Prince chosen?\He doesn't like any of them. Tell them to disperse.\Leave, leave.\All right. Let's go.\I'll take the young prince on a boat ride then.\Let's go.\Come on.\Qian Qian. response:	Come take a walk with me.
context: He doesn't like any of them. Tell them to disperse.\Leave, leave.\All right. Let's go.\I'll take the young prince on a boat ride then.\Let's go.\Come on.\Qian Qian.\Come take a walk with me. response:	With your level of laziness
context: Leave, leave.\All right. Let's go.\I'll take the young prince on a boat ride then.\Let's go.\Come on.\Qian Qian.\Come take a walk with me.\With your level of laziness response:	even this pond's flowers were left to survive on their own.
context: All right. Let's go.\I'll take the young prince on a boat ride then.\Let's go.\Come on.\Qian Qian.\Come take a walk with me.\With your level of laziness\even this pond's flowers were left to survive on their own. response:	Yet, they still ended up looking like natural decorations.
context: I'll take the young prince on a boat ride then.\Let's go.\Come on.\Qian Qian.\Come take a walk with me.\With your level of laziness\even this pond's flowers were left to survive on their own.\Yet, they still ended up looking like natural decorations. response:	They're not inferior to those in the Celestial Palace's lotus pond.
context: Let's go.\Come on.\Qian Qian.\Come take a walk with me.\With your level of laziness\even this pond's flowers were left to survive on their own.\Yet, they still ended up looking like natural decorations.\They're not inferior to those in the Celestial Palace's lotus pond. response:	How rare.
context: Come on.\Qian Qian.\Come take a walk with me.\With your level of laziness\even this pond's flowers were left to survive on their own.\Yet, they still ended up looking like natural decorations.\They're not inferior to those in the Celestial Palace's lotus pond.\How rare. response:	Not at all.
context: Qian Qian.\Come take a walk with me.\With your level of laziness\even this pond's flowers were left to survive on their own.\Yet, they still ended up looking like natural decorations.\They're not inferior to those in the Celestial Palace's lotus pond.\How rare.\Not at all. response:	This is just a natural pond. How can it compare to your lotus pond?
context: Come take a walk with me.\With your level of laziness\even this pond's flowers were left to survive on their own.\Yet, they still ended up looking like natural decorations.\They're not inferior to those in the Celestial Palace's lotus pond.\How rare.\Not at all.\This is just a natural pond. How can it compare to your lotus pond? response:	Your lotus pond has been written about
context: With your level of laziness\even this pond's flowers were left to survive on their own.\Yet, they still ended up looking like natural decorations.\They're not inferior to those in the Celestial Palace's lotus pond.\How rare.\Not at all.\This is just a natural pond. How can it compare to your lotus pond?\Your lotus pond has been written about response:	in countless poems by immortals and mortals
context: even this pond's flowers were left to survive on their own.\Yet, they still ended up looking like natural decorations.\They're not inferior to those in the Celestial Palace's lotus pond.\How rare.\Not at all.\This is just a natural pond. How can it compare to your lotus pond?\Your lotus pond has been written about\in countless poems by immortals and mortals response:	and has been praised by countless people.
context: Yet, they still ended up looking like natural decorations.\They're not inferior to those in the Celestial Palace's lotus pond.\How rare.\Not at all.\This is just a natural pond. How can it compare to your lotus pond?\Your lotus pond has been written about\in countless poems by immortals and mortals\and has been praised by countless people. response:	Do you want to see it?
context: They're not inferior to those in the Celestial Palace's lotus pond.\How rare.\Not at all.\This is just a natural pond. How can it compare to your lotus pond?\Your lotus pond has been written about\in countless poems by immortals and mortals\and has been praised by countless people.\Do you want to see it? response:	See what?
context: How rare.\Not at all.\This is just a natural pond. How can it compare to your lotus pond?\Your lotus pond has been written about\in countless poems by immortals and mortals\and has been praised by countless people.\Do you want to see it?\See what? response:	The Nine Heavens. The lotus pond.
context: Not at all.\This is just a natural pond. How can it compare to your lotus pond?\Your lotus pond has been written about\in countless poems by immortals and mortals\and has been praised by countless people.\Do you want to see it?\See what?\The Nine Heavens. The lotus pond. response:	There will be time.
context: This is just a natural pond. How can it compare to your lotus pond?\Your lotus pond has been written about\in countless poems by immortals and mortals\and has been praised by countless people.\Do you want to see it?\See what?\The Nine Heavens. The lotus pond.\There will be time. response:	According to what you said, you've never been to the Celestial Palace.
context: Your lotus pond has been written about\in countless poems by immortals and mortals\and has been praised by countless people.\Do you want to see it?\See what?\The Nine Heavens. The lotus pond.\There will be time.\According to what you said, you've never been to the Celestial Palace. response:	Aren't you curious?
context: in countless poems by immortals and mortals\and has been praised by countless people.\Do you want to see it?\See what?\The Nine Heavens. The lotus pond.\There will be time.\According to what you said, you've never been to the Celestial Palace.\Aren't you curious? response:	There are many places in the world that I've never been to.
context: and has been praised by countless people.\Do you want to see it?\See what?\The Nine Heavens. The lotus pond.\There will be time.\According to what you said, you've never been to the Celestial Palace.\Aren't you curious?\There are many places in the world that I've never been to. response:	If I were curious about every place, wouldn't I be exhausted?
context: Do you want to see it?\See what?\The Nine Heavens. The lotus pond.\There will be time.\According to what you said, you've never been to the Celestial Palace.\Aren't you curious?\There are many places in the world that I've never been to.\If I were curious about every place, wouldn't I be exhausted? response:	Kunlun Mountain is also renowned throughout the four seas.
context: See what?\The Nine Heavens. The lotus pond.\There will be time.\According to what you said, you've never been to the Celestial Palace.\Aren't you curious?\There are many places in the world that I've never been to.\If I were curious about every place, wouldn't I be exhausted?\Kunlun Mountain is also renowned throughout the four seas. response:	I haven't been there either.
context: The Nine Heavens. The lotus pond.\There will be time.\According to what you said, you've never been to the Celestial Palace.\Aren't you curious?\There are many places in the world that I've never been to.\If I were curious about every place, wouldn't I be exhausted?\Kunlun Mountain is also renowned throughout the four seas.\I haven't been there either. response:	Do you really admire Kunlun Mountain?
context: There will be time.\According to what you said, you've never been to the Celestial Palace.\Aren't you curious?\There are many places in the world that I've never been to.\If I were curious about every place, wouldn't I be exhausted?\Kunlun Mountain is also renowned throughout the four seas.\I haven't been there either.\Do you really admire Kunlun Mountain? response:	Oh no. Why did I bring up Kunlun Mountain?
context: According to what you said, you've never been to the Celestial Palace.\Aren't you curious?\There are many places in the world that I've never been to.\If I were curious about every place, wouldn't I be exhausted?\Kunlun Mountain is also renowned throughout the four seas.\I haven't been there either.\Do you really admire Kunlun Mountain?\Oh no. Why did I bring up Kunlun Mountain? response:	Where's Mi Gu?
context: Aren't you curious?\There are many places in the world that I've never been to.\If I were curious about every place, wouldn't I be exhausted?\Kunlun Mountain is also renowned throughout the four seas.\I haven't been there either.\Do you really admire Kunlun Mountain?\Oh no. Why did I bring up Kunlun Mountain?\Where's Mi Gu? response:	Mi Gu has a barrier set up at the cave entrance.
context: There are many places in the world that I've never been to.\If I were curious about every place, wouldn't I be exhausted?\Kunlun Mountain is also renowned throughout the four seas.\I haven't been there either.\Do you really admire Kunlun Mountain?\Oh no. Why did I bring up Kunlun Mountain?\Where's Mi Gu?\Mi Gu has a barrier set up at the cave entrance. response:	It seems someone has stumbled in.
context: If I were curious about every place, wouldn't I be exhausted?\Kunlun Mountain is also renowned throughout the four seas.\I haven't been there either.\Do you really admire Kunlun Mountain?\Oh no. Why did I bring up Kunlun Mountain?\Where's Mi Gu?\Mi Gu has a barrier set up at the cave entrance.\It seems someone has stumbled in. response:	Aunt.
context: Kunlun Mountain is also renowned throughout the four seas.\I haven't been there either.\Do you really admire Kunlun Mountain?\Oh no. Why did I bring up Kunlun Mountain?\Where's Mi Gu?\Mi Gu has a barrier set up at the cave entrance.\It seems someone has stumbled in.\Aunt. response:	She's here with the fan already. It seems she has thought it through.
context: I haven't been there either.\Do you really admire Kunlun Mountain?\Oh no. Why did I bring up Kunlun Mountain?\Where's Mi Gu?\Mi Gu has a barrier set up at the cave entrance.\It seems someone has stumbled in.\Aunt.\She's here with the fan already. It seems she has thought it through. response:	So you mean...
context: Do you really admire Kunlun Mountain?\Oh no. Why did I bring up Kunlun Mountain?\Where's Mi Gu?\Mi Gu has a barrier set up at the cave entrance.\It seems someone has stumbled in.\Aunt.\She's here with the fan already. It seems she has thought it through.\So you mean... response:	Allow her in.
context: Oh no. Why did I bring up Kunlun Mountain?\Where's Mi Gu?\Mi Gu has a barrier set up at the cave entrance.\It seems someone has stumbled in.\Aunt.\She's here with the fan already. It seems she has thought it through.\So you mean...\Allow her in. response:	Yes.
context: Where's Mi Gu?\Mi Gu has a barrier set up at the cave entrance.\It seems someone has stumbled in.\Aunt.\She's here with the fan already. It seems she has thought it through.\So you mean...\Allow her in.\Yes. response:	What did Aunt say?
context: Mi Gu has a barrier set up at the cave entrance.\It seems someone has stumbled in.\Aunt.\She's here with the fan already. It seems she has thought it through.\So you mean...\Allow her in.\Yes.\What did Aunt say? response:	Aunt said to let you in.
context: It seems someone has stumbled in.\Aunt.\She's here with the fan already. It seems she has thought it through.\So you mean...\Allow her in.\Yes.\What did Aunt say?\Aunt said to let you in. response:	Shao Xing, if I were you, I would not have come to see Aunt.
context: Aunt.\She's here with the fan already. It seems she has thought it through.\So you mean...\Allow her in.\Yes.\What did Aunt say?\Aunt said to let you in.\Shao Xing, if I were you, I would not have come to see Aunt. response:	It's the last time.
context: She's here with the fan already. It seems she has thought it through.\So you mean...\Allow her in.\Yes.\What did Aunt say?\Aunt said to let you in.\Shao Xing, if I were you, I would not have come to see Aunt.\It's the last time. response:	After this, I will never step foot in Qing Qiu again.
context: So you mean...\Allow her in.\Yes.\What did Aunt say?\Aunt said to let you in.\Shao Xing, if I were you, I would not have come to see Aunt.\It's the last time.\After this, I will never step foot in Qing Qiu again. response:	- Aunt. - Aunt.
context: Allow her in.\Yes.\What did Aunt say?\Aunt said to let you in.\Shao Xing, if I were you, I would not have come to see Aunt.\It's the last time.\After this, I will never step foot in Qing Qiu again.\- Aunt. - Aunt. response:	Take A-Li to play.
context: Yes.\What did Aunt say?\Aunt said to let you in.\Shao Xing, if I were you, I would not have come to see Aunt.\It's the last time.\After this, I will never step foot in Qing Qiu again.\- Aunt. - Aunt.\Take A-Li to play. response:	Your Highness, come.
context: What did Aunt say?\Aunt said to let you in.\Shao Xing, if I were you, I would not have come to see Aunt.\It's the last time.\After this, I will never step foot in Qing Qiu again.\- Aunt. - Aunt.\Take A-Li to play.\Your Highness, come. response:	Since you have come to see me, you must have decided what to ask of me.
context: Aunt said to let you in.\Shao Xing, if I were you, I would not have come to see Aunt.\It's the last time.\After this, I will never step foot in Qing Qiu again.\- Aunt. - Aunt.\Take A-Li to play.\Your Highness, come.\Since you have come to see me, you must have decided what to ask of me. response:	Lord Ye Hua is not a stranger. Go ahead and speak.
context: Shao Xing, if I were you, I would not have come to see Aunt.\It's the last time.\After this, I will never step foot in Qing Qiu again.\- Aunt. - Aunt.\Take A-Li to play.\Your Highness, come.\Since you have come to see me, you must have decided what to ask of me.\Lord Ye Hua is not a stranger. Go ahead and speak. response:	Aunt.
context: It's the last time.\After this, I will never step foot in Qing Qiu again.\- Aunt. - Aunt.\Take A-Li to play.\Your Highness, come.\Since you have come to see me, you must have decided what to ask of me.\Lord Ye Hua is not a stranger. Go ahead and speak.\Aunt. response:	Can you save my child, Yuan Zhen?
context: After this, I will never step foot in Qing Qiu again.\- Aunt. - Aunt.\Take A-Li to play.\Your Highness, come.\Since you have come to see me, you must have decided what to ask of me.\Lord Ye Hua is not a stranger. Go ahead and speak.\Aunt.\Can you save my child, Yuan Zhen? response:	Save your child?
context: - Aunt. - Aunt.\Take A-Li to play.\Your Highness, come.\Since you have come to see me, you must have decided what to ask of me.\Lord Ye Hua is not a stranger. Go ahead and speak.\Aunt.\Can you save my child, Yuan Zhen?\Save your child? response:	It was the Heavenly Lord's birthday banquet a few days ago.
context: Take A-Li to play.\Your Highness, come.\Since you have come to see me, you must have decided what to ask of me.\Lord Ye Hua is not a stranger. Go ahead and speak.\Aunt.\Can you save my child, Yuan Zhen?\Save your child?\It was the Heavenly Lord's birthday banquet a few days ago. response:	My Lord had brought Yuan Zhen and a gift
context: Your Highness, come.\Since you have come to see me, you must have decided what to ask of me.\Lord Ye Hua is not a stranger. Go ahead and speak.\Aunt.\Can you save my child, Yuan Zhen?\Save your child?\It was the Heavenly Lord's birthday banquet a few days ago.\My Lord had brought Yuan Zhen and a gift response:	to the Nine Heavens to celebrate the Heavenly Lord's birthday.
