context: Shu! response:	What the...
context: The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things response:	bear witness to my song
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song response:	Your heart contains all its truth
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth response:	Even when all you see in your path are storms
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms response:	remember that your strength is no coincidence
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence response:	Gai!
context: that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Gai! response:	You're all right! But why...
context: that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Gai!\You're all right! But why... response:	Damn you!
context: All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Gai!\You're all right! But why...\Damn you! response:	I'm not the same person I was before.
context: bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Gai!\You're all right! But why...\Damn you!\I'm not the same person I was before. response:	Choose. Will you obey me nonetheless,
context: Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Gai!\You're all right! But why...\Damn you!\I'm not the same person I was before.\Choose. Will you obey me nonetheless, response:	or die by my hand?
context: Even when all you see in your path are storms\remember that your strength is no coincidence\Gai!\You're all right! But why...\Damn you!\I'm not the same person I was before.\Choose. Will you obey me nonetheless,\or die by my hand? response:	But...
context: remember that your strength is no coincidence\Gai!\You're all right! But why...\Damn you!\I'm not the same person I was before.\Choose. Will you obey me nonetheless,\or die by my hand?\But... response:	What's wrong with you, Gai?!
context: Gai!\You're all right! But why...\Damn you!\I'm not the same person I was before.\Choose. Will you obey me nonetheless,\or die by my hand?\But...\What's wrong with you, Gai?! response:	What's going on here?
context: You're all right! But why...\Damn you!\I'm not the same person I was before.\Choose. Will you obey me nonetheless,\or die by my hand?\But...\What's wrong with you, Gai?!\What's going on here? response:	Don't get close to Sir Gai!
context: Damn you!\I'm not the same person I was before.\Choose. Will you obey me nonetheless,\or die by my hand?\But...\What's wrong with you, Gai?!\What's going on here?\Don't get close to Sir Gai! response:	Screw you! Why should I protect someone like you?!
context: I'm not the same person I was before.\Choose. Will you obey me nonetheless,\or die by my hand?\But...\What's wrong with you, Gai?!\What's going on here?\Don't get close to Sir Gai!\Screw you! Why should I protect someone like you?! response:	You're in the way, runt.
context: Choose. Will you obey me nonetheless,\or die by my hand?\But...\What's wrong with you, Gai?!\What's going on here?\Don't get close to Sir Gai!\Screw you! Why should I protect someone like you?!\You're in the way, runt. response:	Run!
context: or die by my hand?\But...\What's wrong with you, Gai?!\What's going on here?\Don't get close to Sir Gai!\Screw you! Why should I protect someone like you?!\You're in the way, runt.\Run! response:	Okay...
context: But...\What's wrong with you, Gai?!\What's going on here?\Don't get close to Sir Gai!\Screw you! Why should I protect someone like you?!\You're in the way, runt.\Run!\Okay... response:	That was...
context: What's wrong with you, Gai?!\What's going on here?\Don't get close to Sir Gai!\Screw you! Why should I protect someone like you?!\You're in the way, runt.\Run!\Okay...\That was... response:	Shu!
context: What's going on here?\Don't get close to Sir Gai!\Screw you! Why should I protect someone like you?!\You're in the way, runt.\Run!\Okay...\That was...\Shu! response:	Tsutsugami Gai!
context: Don't get close to Sir Gai!\Screw you! Why should I protect someone like you?!\You're in the way, runt.\Run!\Okay...\That was...\Shu!\Tsutsugami Gai! response:	If it weren't for you, things would've never ended up like this!
context: Screw you! Why should I protect someone like you?!\You're in the way, runt.\Run!\Okay...\That was...\Shu!\Tsutsugami Gai!\If it weren't for you, things would've never ended up like this! response:	Like this!
context: You're in the way, runt.\Run!\Okay...\That was...\Shu!\Tsutsugami Gai!\If it weren't for you, things would've never ended up like this!\Like this! response:	Emergency Bailout! Hurry!
context: Run!\Okay...\That was...\Shu!\Tsutsugami Gai!\If it weren't for you, things would've never ended up like this!\Like this!\Emergency Bailout! Hurry! response:	Gai!
context: Okay...\That was...\Shu!\Tsutsugami Gai!\If it weren't for you, things would've never ended up like this!\Like this!\Emergency Bailout! Hurry!\Gai! response:	Are you hurt?
context: That was...\Shu!\Tsutsugami Gai!\If it weren't for you, things would've never ended up like this!\Like this!\Emergency Bailout! Hurry!\Gai!\Are you hurt? response:	Keidou, it's me. I'm coming back.
context: Shu!\Tsutsugami Gai!\If it weren't for you, things would've never ended up like this!\Like this!\Emergency Bailout! Hurry!\Gai!\Are you hurt?\Keidou, it's me. I'm coming back. response:	Gai... Have I been useful?
context: Tsutsugami Gai!\If it weren't for you, things would've never ended up like this!\Like this!\Emergency Bailout! Hurry!\Gai!\Are you hurt?\Keidou, it's me. I'm coming back.\Gai... Have I been useful? response:	I've done everything you told me to do.
context: If it weren't for you, things would've never ended up like this!\Like this!\Emergency Bailout! Hurry!\Gai!\Are you hurt?\Keidou, it's me. I'm coming back.\Gai... Have I been useful?\I've done everything you told me to do. response:	Well done, comrade Arisa.
context: Like this!\Emergency Bailout! Hurry!\Gai!\Are you hurt?\Keidou, it's me. I'm coming back.\Gai... Have I been useful?\I've done everything you told me to do.\Well done, comrade Arisa. response:	From now on, we will work together for Sir Gai.
context: Emergency Bailout! Hurry!\Gai!\Are you hurt?\Keidou, it's me. I'm coming back.\Gai... Have I been useful?\I've done everything you told me to do.\Well done, comrade Arisa.\From now on, we will work together for Sir Gai. response:	How ironic.
context: Gai!\Are you hurt?\Keidou, it's me. I'm coming back.\Gai... Have I been useful?\I've done everything you told me to do.\Well done, comrade Arisa.\From now on, we will work together for Sir Gai.\How ironic. response:	Ten years ago we were sent to rescue them. Now...
context: Are you hurt?\Keidou, it's me. I'm coming back.\Gai... Have I been useful?\I've done everything you told me to do.\Well done, comrade Arisa.\From now on, we will work together for Sir Gai.\How ironic.\Ten years ago we were sent to rescue them. Now... response:	I don't want to think that it was all in vain, but still...
context: Keidou, it's me. I'm coming back.\Gai... Have I been useful?\I've done everything you told me to do.\Well done, comrade Arisa.\From now on, we will work together for Sir Gai.\How ironic.\Ten years ago we were sent to rescue them. Now...\I don't want to think that it was all in vain, but still... response:	This isn't an invasion. We are merely cleansing the virus.
context: Gai... Have I been useful?\I've done everything you told me to do.\Well done, comrade Arisa.\From now on, we will work together for Sir Gai.\How ironic.\Ten years ago we were sent to rescue them. Now...\I don't want to think that it was all in vain, but still...\This isn't an invasion. We are merely cleansing the virus. response:	Burn them with fire!
context: I've done everything you told me to do.\Well done, comrade Arisa.\From now on, we will work together for Sir Gai.\How ironic.\Ten years ago we were sent to rescue them. Now...\I don't want to think that it was all in vain, but still...\This isn't an invasion. We are merely cleansing the virus.\Burn them with fire! response:	The seventh squadron has been annihilated.
context: Well done, comrade Arisa.\From now on, we will work together for Sir Gai.\How ironic.\Ten years ago we were sent to rescue them. Now...\I don't want to think that it was all in vain, but still...\This isn't an invasion. We are merely cleansing the virus.\Burn them with fire!\The seventh squadron has been annihilated. response:	No way...
context: From now on, we will work together for Sir Gai.\How ironic.\Ten years ago we were sent to rescue them. Now...\I don't want to think that it was all in vain, but still...\This isn't an invasion. We are merely cleansing the virus.\Burn them with fire!\The seventh squadron has been annihilated.\No way... response:	To every human living on this planet!
context: How ironic.\Ten years ago we were sent to rescue them. Now...\I don't want to think that it was all in vain, but still...\This isn't an invasion. We are merely cleansing the virus.\Burn them with fire!\The seventh squadron has been annihilated.\No way...\To every human living on this planet! response:	I am Tsutsugami Gai.
context: Ten years ago we were sent to rescue them. Now...\I don't want to think that it was all in vain, but still...\This isn't an invasion. We are merely cleansing the virus.\Burn them with fire!\The seventh squadron has been annihilated.\No way...\To every human living on this planet!\I am Tsutsugami Gai. response:	Your lives are all in my hands.
context: I don't want to think that it was all in vain, but still...\This isn't an invasion. We are merely cleansing the virus.\Burn them with fire!\The seventh squadron has been annihilated.\No way...\To every human living on this planet!\I am Tsutsugami Gai.\Your lives are all in my hands. response:	How does it feel to be locked in a cage?
context: This isn't an invasion. We are merely cleansing the virus.\Burn them with fire!\The seventh squadron has been annihilated.\No way...\To every human living on this planet!\I am Tsutsugami Gai.\Your lives are all in my hands.\How does it feel to be locked in a cage? response:	All movements are being followed by 256 Leukocytes.
context: Burn them with fire!\The seventh squadron has been annihilated.\No way...\To every human living on this planet!\I am Tsutsugami Gai.\Your lives are all in my hands.\How does it feel to be locked in a cage?\All movements are being followed by 256 Leukocytes. response:	Hereafter, no military will mobilize without my permission.
context: The seventh squadron has been annihilated.\No way...\To every human living on this planet!\I am Tsutsugami Gai.\Your lives are all in my hands.\How does it feel to be locked in a cage?\All movements are being followed by 256 Leukocytes.\Hereafter, no military will mobilize without my permission. response:	Also, any approach within a 300 km radius of central Tokyo
context: No way...\To every human living on this planet!\I am Tsutsugami Gai.\Your lives are all in my hands.\How does it feel to be locked in a cage?\All movements are being followed by 256 Leukocytes.\Hereafter, no military will mobilize without my permission.\Also, any approach within a 300 km radius of central Tokyo response:	will be considered a hostile act and the Leukocytes will fire.
context: To every human living on this planet!\I am Tsutsugami Gai.\Your lives are all in my hands.\How does it feel to be locked in a cage?\All movements are being followed by 256 Leukocytes.\Hereafter, no military will mobilize without my permission.\Also, any approach within a 300 km radius of central Tokyo\will be considered a hostile act and the Leukocytes will fire. response:	I have only one demand.
context: I am Tsutsugami Gai.\Your lives are all in my hands.\How does it feel to be locked in a cage?\All movements are being followed by 256 Leukocytes.\Hereafter, no military will mobilize without my permission.\Also, any approach within a 300 km radius of central Tokyo\will be considered a hostile act and the Leukocytes will fire.\I have only one demand. response:	Don't interfere.
context: Your lives are all in my hands.\How does it feel to be locked in a cage?\All movements are being followed by 256 Leukocytes.\Hereafter, no military will mobilize without my permission.\Also, any approach within a 300 km radius of central Tokyo\will be considered a hostile act and the Leukocytes will fire.\I have only one demand.\Don't interfere. response:	That's it.
context: How does it feel to be locked in a cage?\All movements are being followed by 256 Leukocytes.\Hereafter, no military will mobilize without my permission.\Also, any approach within a 300 km radius of central Tokyo\will be considered a hostile act and the Leukocytes will fire.\I have only one demand.\Don't interfere.\That's it. response:	Shu...
context: All movements are being followed by 256 Leukocytes.\Hereafter, no military will mobilize without my permission.\Also, any approach within a 300 km radius of central Tokyo\will be considered a hostile act and the Leukocytes will fire.\I have only one demand.\Don't interfere.\That's it.\Shu... response:	It has been three days since the announcement.
context: Hereafter, no military will mobilize without my permission.\Also, any approach within a 300 km radius of central Tokyo\will be considered a hostile act and the Leukocytes will fire.\I have only one demand.\Don't interfere.\That's it.\Shu...\It has been three days since the announcement. response:	The world is watching how the situation is developing,
context: Also, any approach within a 300 km radius of central Tokyo\will be considered a hostile act and the Leukocytes will fire.\I have only one demand.\Don't interfere.\That's it.\Shu...\It has been three days since the announcement.\The world is watching how the situation is developing, response:	but just as Tokyo is surrounded in complete silence,
context: will be considered a hostile act and the Leukocytes will fire.\I have only one demand.\Don't interfere.\That's it.\Shu...\It has been three days since the announcement.\The world is watching how the situation is developing,\but just as Tokyo is surrounded in complete silence, response:	the world is subdued by silence as well.
context: I have only one demand.\Don't interfere.\That's it.\Shu...\It has been three days since the announcement.\The world is watching how the situation is developing,\but just as Tokyo is surrounded in complete silence,\the world is subdued by silence as well. response:	So, we still don't know the location of your comrade, Ouma Shu?
context: Don't interfere.\That's it.\Shu...\It has been three days since the announcement.\The world is watching how the situation is developing,\but just as Tokyo is surrounded in complete silence,\the world is subdued by silence as well.\So, we still don't know the location of your comrade, Ouma Shu? response:	Yes.
context: That's it.\Shu...\It has been three days since the announcement.\The world is watching how the situation is developing,\but just as Tokyo is surrounded in complete silence,\the world is subdued by silence as well.\So, we still don't know the location of your comrade, Ouma Shu?\Yes. response:	However, according to the reports of students who managed to escape,
context: Shu...\It has been three days since the announcement.\The world is watching how the situation is developing,\but just as Tokyo is surrounded in complete silence,\the world is subdued by silence as well.\So, we still don't know the location of your comrade, Ouma Shu?\Yes.\However, according to the reports of students who managed to escape, response:	Tsutsugami Gai has stolen his Void powers.
context: It has been three days since the announcement.\The world is watching how the situation is developing,\but just as Tokyo is surrounded in complete silence,\the world is subdued by silence as well.\So, we still don't know the location of your comrade, Ouma Shu?\Yes.\However, according to the reports of students who managed to escape,\Tsutsugami Gai has stolen his Void powers. response:	I see. That power is at the root of this situation.
context: The world is watching how the situation is developing,\but just as Tokyo is surrounded in complete silence,\the world is subdued by silence as well.\So, we still don't know the location of your comrade, Ouma Shu?\Yes.\However, according to the reports of students who managed to escape,\Tsutsugami Gai has stolen his Void powers.\I see. That power is at the root of this situation. response:	Indeed. They must have been aiming for that the entire time.
context: but just as Tokyo is surrounded in complete silence,\the world is subdued by silence as well.\So, we still don't know the location of your comrade, Ouma Shu?\Yes.\However, according to the reports of students who managed to escape,\Tsutsugami Gai has stolen his Void powers.\I see. That power is at the root of this situation.\Indeed. They must have been aiming for that the entire time. response:	You mean, the Da'at?
context: the world is subdued by silence as well.\So, we still don't know the location of your comrade, Ouma Shu?\Yes.\However, according to the reports of students who managed to escape,\Tsutsugami Gai has stolen his Void powers.\I see. That power is at the root of this situation.\Indeed. They must have been aiming for that the entire time.\You mean, the Da'at? response:	Da'at?
context: So, we still don't know the location of your comrade, Ouma Shu?\Yes.\However, according to the reports of students who managed to escape,\Tsutsugami Gai has stolen his Void powers.\I see. That power is at the root of this situation.\Indeed. They must have been aiming for that the entire time.\You mean, the Da'at?\Da'at? response:	It's a secret organization older than both the Freemasons and the Zionists.
context: Yes.\However, according to the reports of students who managed to escape,\Tsutsugami Gai has stolen his Void powers.\I see. That power is at the root of this situation.\Indeed. They must have been aiming for that the entire time.\You mean, the Da'at?\Da'at?\It's a secret organization older than both the Freemasons and the Zionists. response:	They're so old that many have considered them to be just a myth.
context: However, according to the reports of students who managed to escape,\Tsutsugami Gai has stolen his Void powers.\I see. That power is at the root of this situation.\Indeed. They must have been aiming for that the entire time.\You mean, the Da'at?\Da'at?\It's a secret organization older than both the Freemasons and the Zionists.\They're so old that many have considered them to be just a myth. response:	However, they've lived on.
context: Tsutsugami Gai has stolen his Void powers.\I see. That power is at the root of this situation.\Indeed. They must have been aiming for that the entire time.\You mean, the Da'at?\Da'at?\It's a secret organization older than both the Freemasons and the Zionists.\They're so old that many have considered them to be just a myth.\However, they've lived on. response:	And not only that. They've gathered sympathizers,
context: I see. That power is at the root of this situation.\Indeed. They must have been aiming for that the entire time.\You mean, the Da'at?\Da'at?\It's a secret organization older than both the Freemasons and the Zionists.\They're so old that many have considered them to be just a myth.\However, they've lived on.\And not only that. They've gathered sympathizers, response:	are are involved in organizations around the world.
context: Indeed. They must have been aiming for that the entire time.\You mean, the Da'at?\Da'at?\It's a secret organization older than both the Freemasons and the Zionists.\They're so old that many have considered them to be just a myth.\However, they've lived on.\And not only that. They've gathered sympathizers,\are are involved in organizations around the world. response:	But...
context: You mean, the Da'at?\Da'at?\It's a secret organization older than both the Freemasons and the Zionists.\They're so old that many have considered them to be just a myth.\However, they've lived on.\And not only that. They've gathered sympathizers,\are are involved in organizations around the world.\But... response:	Also, it seems that lady Arisa encountered them in Tokyo.
context: Da'at?\It's a secret organization older than both the Freemasons and the Zionists.\They're so old that many have considered them to be just a myth.\However, they've lived on.\And not only that. They've gathered sympathizers,\are are involved in organizations around the world.\But...\Also, it seems that lady Arisa encountered them in Tokyo. response:	I see.
context: It's a secret organization older than both the Freemasons and the Zionists.\They're so old that many have considered them to be just a myth.\However, they've lived on.\And not only that. They've gathered sympathizers,\are are involved in organizations around the world.\But...\Also, it seems that lady Arisa encountered them in Tokyo.\I see. response:	Can I trust you to handle further negotiations with the OAU?
context: They're so old that many have considered them to be just a myth.\However, they've lived on.\And not only that. They've gathered sympathizers,\are are involved in organizations around the world.\But...\Also, it seems that lady Arisa encountered them in Tokyo.\I see.\Can I trust you to handle further negotiations with the OAU? response:	Yes. But what about you?
context: However, they've lived on.\And not only that. They've gathered sympathizers,\are are involved in organizations around the world.\But...\Also, it seems that lady Arisa encountered them in Tokyo.\I see.\Can I trust you to handle further negotiations with the OAU?\Yes. But what about you? response:	There is something I must do.
context: And not only that. They've gathered sympathizers,\are are involved in organizations around the world.\But...\Also, it seems that lady Arisa encountered them in Tokyo.\I see.\Can I trust you to handle further negotiations with the OAU?\Yes. But what about you?\There is something I must do. response:	Sorry, Shu.
context: are are involved in organizations around the world.\But...\Also, it seems that lady Arisa encountered them in Tokyo.\I see.\Can I trust you to handle further negotiations with the OAU?\Yes. But what about you?\There is something I must do.\Sorry, Shu. response:	But, now you are free from the fate of the king.
context: But...\Also, it seems that lady Arisa encountered them in Tokyo.\I see.\Can I trust you to handle further negotiations with the OAU?\Yes. But what about you?\There is something I must do.\Sorry, Shu.\But, now you are free from the fate of the king. response:	You should live...
context: Also, it seems that lady Arisa encountered them in Tokyo.\I see.\Can I trust you to handle further negotiations with the OAU?\Yes. But what about you?\There is something I must do.\Sorry, Shu.\But, now you are free from the fate of the king.\You should live... response:	Please...
context: I see.\Can I trust you to handle further negotiations with the OAU?\Yes. But what about you?\There is something I must do.\Sorry, Shu.\But, now you are free from the fate of the king.\You should live...\Please... response:	Report from squad E. The third block is clear.
context: Can I trust you to handle further negotiations with the OAU?\Yes. But what about you?\There is something I must do.\Sorry, Shu.\But, now you are free from the fate of the king.\You should live...\Please...\Report from squad E. The third block is clear. response:	I see.
context: Yes. But what about you?\There is something I must do.\Sorry, Shu.\But, now you are free from the fate of the king.\You should live...\Please...\Report from squad E. The third block is clear.\I see. response:	Is something wrong?
context: There is something I must do.\Sorry, Shu.\But, now you are free from the fate of the king.\You should live...\Please...\Report from squad E. The third block is clear.\I see.\Is something wrong? response:	I heard you volunteered for this mission.
context: Sorry, Shu.\But, now you are free from the fate of the king.\You should live...\Please...\Report from squad E. The third block is clear.\I see.\Is something wrong?\I heard you volunteered for this mission. response:	Because Gai...
context: But, now you are free from the fate of the king.\You should live...\Please...\Report from squad E. The third block is clear.\I see.\Is something wrong?\I heard you volunteered for this mission.\Because Gai... response:	Sir Gai is our lord and master. Show respect.
context: You should live...\Please...\Report from squad E. The third block is clear.\I see.\Is something wrong?\I heard you volunteered for this mission.\Because Gai...\Sir Gai is our lord and master. Show respect. response:	I wonder why Sir Gai wants Yuzuriha Inori.
context: Please...\Report from squad E. The third block is clear.\I see.\Is something wrong?\I heard you volunteered for this mission.\Because Gai...\Sir Gai is our lord and master. Show respect.\I wonder why Sir Gai wants Yuzuriha Inori. response:	There is no need for pawns like us to consider the reasons.
context: Report from squad E. The third block is clear.\I see.\Is something wrong?\I heard you volunteered for this mission.\Because Gai...\Sir Gai is our lord and master. Show respect.\I wonder why Sir Gai wants Yuzuriha Inori.\There is no need for pawns like us to consider the reasons. response:	Checkmate.
context: I see.\Is something wrong?\I heard you volunteered for this mission.\Because Gai...\Sir Gai is our lord and master. Show respect.\I wonder why Sir Gai wants Yuzuriha Inori.\There is no need for pawns like us to consider the reasons.\Checkmate. response:	Darn, you got me.
context: Is something wrong?\I heard you volunteered for this mission.\Because Gai...\Sir Gai is our lord and master. Show respect.\I wonder why Sir Gai wants Yuzuriha Inori.\There is no need for pawns like us to consider the reasons.\Checkmate.\Darn, you got me. response:	But I promised.
context: I heard you volunteered for this mission.\Because Gai...\Sir Gai is our lord and master. Show respect.\I wonder why Sir Gai wants Yuzuriha Inori.\There is no need for pawns like us to consider the reasons.\Checkmate.\Darn, you got me.\But I promised. response:	Let us ask for an audience with Sir Gai.
context: Because Gai...\Sir Gai is our lord and master. Show respect.\I wonder why Sir Gai wants Yuzuriha Inori.\There is no need for pawns like us to consider the reasons.\Checkmate.\Darn, you got me.\But I promised.\Let us ask for an audience with Sir Gai. response:	You lost intentionally?
context: Sir Gai is our lord and master. Show respect.\I wonder why Sir Gai wants Yuzuriha Inori.\There is no need for pawns like us to consider the reasons.\Checkmate.\Darn, you got me.\But I promised.\Let us ask for an audience with Sir Gai.\You lost intentionally? response:	I have lots of questions for him.
context: I wonder why Sir Gai wants Yuzuriha Inori.\There is no need for pawns like us to consider the reasons.\Checkmate.\Darn, you got me.\But I promised.\Let us ask for an audience with Sir Gai.\You lost intentionally?\I have lots of questions for him. response:	Don't you?
context: There is no need for pawns like us to consider the reasons.\Checkmate.\Darn, you got me.\But I promised.\Let us ask for an audience with Sir Gai.\You lost intentionally?\I have lots of questions for him.\Don't you? response:	Aren't you hungry?
context: Checkmate.\Darn, you got me.\But I promised.\Let us ask for an audience with Sir Gai.\You lost intentionally?\I have lots of questions for him.\Don't you?\Aren't you hungry? response:	I'm sorry... Everyone, I'm so sorry...
context: Darn, you got me.\But I promised.\Let us ask for an audience with Sir Gai.\You lost intentionally?\I have lots of questions for him.\Don't you?\Aren't you hungry?\I'm sorry... Everyone, I'm so sorry... response:	I was wrong...
context: But I promised.\Let us ask for an audience with Sir Gai.\You lost intentionally?\I have lots of questions for him.\Don't you?\Aren't you hungry?\I'm sorry... Everyone, I'm so sorry...\I was wrong... response:	about everything.
context: Let us ask for an audience with Sir Gai.\You lost intentionally?\I have lots of questions for him.\Don't you?\Aren't you hungry?\I'm sorry... Everyone, I'm so sorry...\I was wrong...\about everything. response:	I'm sorry...
context: You lost intentionally?\I have lots of questions for him.\Don't you?\Aren't you hungry?\I'm sorry... Everyone, I'm so sorry...\I was wrong...\about everything.\I'm sorry... response:	The target has been located.
