context: Surrounded by Zentradi forces, response:	the Macross launches a desperate Daedalus Attack on Britai's ship
context: It's... It's ruined.\We... all of us... did this, to the doll and to this city.\Desertion in the face of the enemy?!\I don't believe it!\This must be the enemy's true power.\As I thought, the legends...\You're saying we should have heeded them?\Indeed. response:	Well, it's too late! Abort the mission!
context: We... all of us... did this, to the doll and to this city.\Desertion in the face of the enemy?!\I don't believe it!\This must be the enemy's true power.\As I thought, the legends...\You're saying we should have heeded them?\Indeed.\Well, it's too late! Abort the mission! response:	Temporarily confine the deserters.
context: Desertion in the face of the enemy?!\I don't believe it!\This must be the enemy's true power.\As I thought, the legends...\You're saying we should have heeded them?\Indeed.\Well, it's too late! Abort the mission!\Temporarily confine the deserters. response:	And what shall we do with them?
context: I don't believe it!\This must be the enemy's true power.\As I thought, the legends...\You're saying we should have heeded them?\Indeed.\Well, it's too late! Abort the mission!\Temporarily confine the deserters.\And what shall we do with them? response:	I'll leave that to you. Do what you will.
context: This must be the enemy's true power.\As I thought, the legends...\You're saying we should have heeded them?\Indeed.\Well, it's too late! Abort the mission!\Temporarily confine the deserters.\And what shall we do with them?\I'll leave that to you. Do what you will. response:	You can investigate the power of this culture if you like.
context: As I thought, the legends...\You're saying we should have heeded them?\Indeed.\Well, it's too late! Abort the mission!\Temporarily confine the deserters.\And what shall we do with them?\I'll leave that to you. Do what you will.\You can investigate the power of this culture if you like. response:	Thank you, sir.
context: You're saying we should have heeded them?\Indeed.\Well, it's too late! Abort the mission!\Temporarily confine the deserters.\And what shall we do with them?\I'll leave that to you. Do what you will.\You can investigate the power of this culture if you like.\Thank you, sir. response:	Culture...
context: Indeed.\Well, it's too late! Abort the mission!\Temporarily confine the deserters.\And what shall we do with them?\I'll leave that to you. Do what you will.\You can investigate the power of this culture if you like.\Thank you, sir.\Culture... response:	What?!
context: Well, it's too late! Abort the mission!\Temporarily confine the deserters.\And what shall we do with them?\I'll leave that to you. Do what you will.\You can investigate the power of this culture if you like.\Thank you, sir.\Culture...\What?! response:	The deserters will only be temporarily confined?
context: Temporarily confine the deserters.\And what shall we do with them?\I'll leave that to you. Do what you will.\You can investigate the power of this culture if you like.\Thank you, sir.\Culture...\What?!\The deserters will only be temporarily confined? response:	If we allow this, who knows what else will happen?!
context: And what shall we do with them?\I'll leave that to you. Do what you will.\You can investigate the power of this culture if you like.\Thank you, sir.\Culture...\What?!\The deserters will only be temporarily confined?\If we allow this, who knows what else will happen?! response:	Sheesh! The second I get through fighting, they call me in!
context: I'll leave that to you. Do what you will.\You can investigate the power of this culture if you like.\Thank you, sir.\Culture...\What?!\The deserters will only be temporarily confined?\If we allow this, who knows what else will happen?!\Sheesh! The second I get through fighting, they call me in! response:	First Lieutenant Ichijo, reporting!
context: You can investigate the power of this culture if you like.\Thank you, sir.\Culture...\What?!\The deserters will only be temporarily confined?\If we allow this, who knows what else will happen?!\Sheesh! The second I get through fighting, they call me in!\First Lieutenant Ichijo, reporting! response:	You three!
context: Thank you, sir.\Culture...\What?!\The deserters will only be temporarily confined?\If we allow this, who knows what else will happen?!\Sheesh! The second I get through fighting, they call me in!\First Lieutenant Ichijo, reporting!\You three! response:	Calm yourself, Lieutenant. They're under armed guard.
context: Culture...\What?!\The deserters will only be temporarily confined?\If we allow this, who knows what else will happen?!\Sheesh! The second I get through fighting, they call me in!\First Lieutenant Ichijo, reporting!\You three!\Calm yourself, Lieutenant. They're under armed guard. response:	We're prisoners, like you were!
context: What?!\The deserters will only be temporarily confined?\If we allow this, who knows what else will happen?!\Sheesh! The second I get through fighting, they call me in!\First Lieutenant Ichijo, reporting!\You three!\Calm yourself, Lieutenant. They're under armed guard.\We're prisoners, like you were! response:	Hey! How've you been?
context: The deserters will only be temporarily confined?\If we allow this, who knows what else will happen?!\Sheesh! The second I get through fighting, they call me in!\First Lieutenant Ichijo, reporting!\You three!\Calm yourself, Lieutenant. They're under armed guard.\We're prisoners, like you were!\Hey! How've you been? response:	What the hell are you talking about? Why are you even here?!
context: If we allow this, who knows what else will happen?!\Sheesh! The second I get through fighting, they call me in!\First Lieutenant Ichijo, reporting!\You three!\Calm yourself, Lieutenant. They're under armed guard.\We're prisoners, like you were!\Hey! How've you been?\What the hell are you talking about? Why are you even here?! response:	Captain, may I explain to the lieutenant?
context: Sheesh! The second I get through fighting, they call me in!\First Lieutenant Ichijo, reporting!\You three!\Calm yourself, Lieutenant. They're under armed guard.\We're prisoners, like you were!\Hey! How've you been?\What the hell are you talking about? Why are you even here?!\Captain, may I explain to the lieutenant? response:	Very well.
context: First Lieutenant Ichijo, reporting!\You three!\Calm yourself, Lieutenant. They're under armed guard.\We're prisoners, like you were!\Hey! How've you been?\What the hell are you talking about? Why are you even here?!\Captain, may I explain to the lieutenant?\Very well. response:	Lt. Ichijo, these men and twenty-three others wish to defect to our ship.
context: You three!\Calm yourself, Lieutenant. They're under armed guard.\We're prisoners, like you were!\Hey! How've you been?\What the hell are you talking about? Why are you even here?!\Captain, may I explain to the lieutenant?\Very well.\Lt. Ichijo, these men and twenty-three others wish to defect to our ship. response:	Defect?!
context: Calm yourself, Lieutenant. They're under armed guard.\We're prisoners, like you were!\Hey! How've you been?\What the hell are you talking about? Why are you even here?!\Captain, may I explain to the lieutenant?\Very well.\Lt. Ichijo, these men and twenty-three others wish to defect to our ship.\Defect?! response:	Get serious! We've been fighting these people!
context: We're prisoners, like you were!\Hey! How've you been?\What the hell are you talking about? Why are you even here?!\Captain, may I explain to the lieutenant?\Very well.\Lt. Ichijo, these men and twenty-three others wish to defect to our ship.\Defect?!\Get serious! We've been fighting these people! response:	Now some of them waltz up and say they want to defect,
context: Hey! How've you been?\What the hell are you talking about? Why are you even here?!\Captain, may I explain to the lieutenant?\Very well.\Lt. Ichijo, these men and twenty-three others wish to defect to our ship.\Defect?!\Get serious! We've been fighting these people!\Now some of them waltz up and say they want to defect, response:	and we're supposed to say, Sure, come on in?! Well, I can't do that!
context: What the hell are you talking about? Why are you even here?!\Captain, may I explain to the lieutenant?\Very well.\Lt. Ichijo, these men and twenty-three others wish to defect to our ship.\Defect?!\Get serious! We've been fighting these people!\Now some of them waltz up and say they want to defect,\and we're supposed to say, Sure, come on in?! Well, I can't do that! response:	That makes it three to two, I see.
context: Captain, may I explain to the lieutenant?\Very well.\Lt. Ichijo, these men and twenty-three others wish to defect to our ship.\Defect?!\Get serious! We've been fighting these people!\Now some of them waltz up and say they want to defect,\and we're supposed to say, Sure, come on in?! Well, I can't do that!\That makes it three to two, I see. response:	Colonel, please wait!
context: Very well.\Lt. Ichijo, these men and twenty-three others wish to defect to our ship.\Defect?!\Get serious! We've been fighting these people!\Now some of them waltz up and say they want to defect,\and we're supposed to say, Sure, come on in?! Well, I can't do that!\That makes it three to two, I see.\Colonel, please wait! response:	Lt. Ichijo, I thought you would understand.
context: Lt. Ichijo, these men and twenty-three others wish to defect to our ship.\Defect?!\Get serious! We've been fighting these people!\Now some of them waltz up and say they want to defect,\and we're supposed to say, Sure, come on in?! Well, I can't do that!\That makes it three to two, I see.\Colonel, please wait!\Lt. Ichijo, I thought you would understand. response:	If we don't take in these defectors, they'll have nowhere else to go!
context: Defect?!\Get serious! We've been fighting these people!\Now some of them waltz up and say they want to defect,\and we're supposed to say, Sure, come on in?! Well, I can't do that!\That makes it three to two, I see.\Colonel, please wait!\Lt. Ichijo, I thought you would understand.\If we don't take in these defectors, they'll have nowhere else to go! response:	Look, I'm just a pilot.
context: Get serious! We've been fighting these people!\Now some of them waltz up and say they want to defect,\and we're supposed to say, Sure, come on in?! Well, I can't do that!\That makes it three to two, I see.\Colonel, please wait!\Lt. Ichijo, I thought you would understand.\If we don't take in these defectors, they'll have nowhere else to go!\Look, I'm just a pilot. response:	We're asking your opinion as someone who's had direct contact with the enemy!
context: Now some of them waltz up and say they want to defect,\and we're supposed to say, Sure, come on in?! Well, I can't do that!\That makes it three to two, I see.\Colonel, please wait!\Lt. Ichijo, I thought you would understand.\If we don't take in these defectors, they'll have nowhere else to go!\Look, I'm just a pilot.\We're asking your opinion as someone who's had direct contact with the enemy! response:	All right, please let me have a few words with them.
context: and we're supposed to say, Sure, come on in?! Well, I can't do that!\That makes it three to two, I see.\Colonel, please wait!\Lt. Ichijo, I thought you would understand.\If we don't take in these defectors, they'll have nowhere else to go!\Look, I'm just a pilot.\We're asking your opinion as someone who's had direct contact with the enemy!\All right, please let me have a few words with them. response:	Why did you desert?
context: That makes it three to two, I see.\Colonel, please wait!\Lt. Ichijo, I thought you would understand.\If we don't take in these defectors, they'll have nowhere else to go!\Look, I'm just a pilot.\We're asking your opinion as someone who's had direct contact with the enemy!\All right, please let me have a few words with them.\Why did you desert? response:	Because we want to live here!
context: Colonel, please wait!\Lt. Ichijo, I thought you would understand.\If we don't take in these defectors, they'll have nowhere else to go!\Look, I'm just a pilot.\We're asking your opinion as someone who's had direct contact with the enemy!\All right, please let me have a few words with them.\Why did you desert?\Because we want to live here! response:	Here?!
context: Lt. Ichijo, I thought you would understand.\If we don't take in these defectors, they'll have nowhere else to go!\Look, I'm just a pilot.\We're asking your opinion as someone who's had direct contact with the enemy!\All right, please let me have a few words with them.\Why did you desert?\Because we want to live here!\Here?! response:	You have culture here.
context: If we don't take in these defectors, they'll have nowhere else to go!\Look, I'm just a pilot.\We're asking your opinion as someone who's had direct contact with the enemy!\All right, please let me have a few words with them.\Why did you desert?\Because we want to live here!\Here?!\You have culture here. response:	And you have Minmay.
context: Look, I'm just a pilot.\We're asking your opinion as someone who's had direct contact with the enemy!\All right, please let me have a few words with them.\Why did you desert?\Because we want to live here!\Here?!\You have culture here.\And you have Minmay. response:	And Minmay's songs!
context: We're asking your opinion as someone who's had direct contact with the enemy!\All right, please let me have a few words with them.\Why did you desert?\Because we want to live here!\Here?!\You have culture here.\And you have Minmay.\And Minmay's songs! response:	All right! All right!
context: All right, please let me have a few words with them.\Why did you desert?\Because we want to live here!\Here?!\You have culture here.\And you have Minmay.\And Minmay's songs!\All right! All right! response:	But how do you know this stuff?
context: Why did you desert?\Because we want to live here!\Here?!\You have culture here.\And you have Minmay.\And Minmay's songs!\All right! All right!\But how do you know this stuff? response:	We sneaked aboard this ship once before, as spies.
context: Because we want to live here!\Here?!\You have culture here.\And you have Minmay.\And Minmay's songs!\All right! All right!\But how do you know this stuff?\We sneaked aboard this ship once before, as spies. response:	But when we went back, there was something missing.
context: Here?!\You have culture here.\And you have Minmay.\And Minmay's songs!\All right! All right!\But how do you know this stuff?\We sneaked aboard this ship once before, as spies.\But when we went back, there was something missing. response:	These poor beings have only known war.
context: You have culture here.\And you have Minmay.\And Minmay's songs!\All right! All right!\But how do you know this stuff?\We sneaked aboard this ship once before, as spies.\But when we went back, there was something missing.\These poor beings have only known war. response:	I understand, but aren't these sort of weak reasons to desert?
context: And you have Minmay.\And Minmay's songs!\All right! All right!\But how do you know this stuff?\We sneaked aboard this ship once before, as spies.\But when we went back, there was something missing.\These poor beings have only known war.\I understand, but aren't these sort of weak reasons to desert? response:	Well, it's also because you're Protoculture.
context: And Minmay's songs!\All right! All right!\But how do you know this stuff?\We sneaked aboard this ship once before, as spies.\But when we went back, there was something missing.\These poor beings have only known war.\I understand, but aren't these sort of weak reasons to desert?\Well, it's also because you're Protoculture. response:	Protoculture? What's that?
context: All right! All right!\But how do you know this stuff?\We sneaked aboard this ship once before, as spies.\But when we went back, there was something missing.\These poor beings have only known war.\I understand, but aren't these sort of weak reasons to desert?\Well, it's also because you're Protoculture.\Protoculture? What's that? response:	You're still playing dumb?
context: But how do you know this stuff?\We sneaked aboard this ship once before, as spies.\But when we went back, there was something missing.\These poor beings have only known war.\I understand, but aren't these sort of weak reasons to desert?\Well, it's also because you're Protoculture.\Protoculture? What's that?\You're still playing dumb? response:	Even with all the power you have!
context: We sneaked aboard this ship once before, as spies.\But when we went back, there was something missing.\These poor beings have only known war.\I understand, but aren't these sort of weak reasons to desert?\Well, it's also because you're Protoculture.\Protoculture? What's that?\You're still playing dumb?\Even with all the power you have! response:	This would seem to support Hayase's theories.
context: But when we went back, there was something missing.\These poor beings have only known war.\I understand, but aren't these sort of weak reasons to desert?\Well, it's also because you're Protoculture.\Protoculture? What's that?\You're still playing dumb?\Even with all the power you have!\This would seem to support Hayase's theories. response:	Captain, you're seriously asking us to believe her report?
context: These poor beings have only known war.\I understand, but aren't these sort of weak reasons to desert?\Well, it's also because you're Protoculture.\Protoculture? What's that?\You're still playing dumb?\Even with all the power you have!\This would seem to support Hayase's theories.\Captain, you're seriously asking us to believe her report? response:	At this point, we have to believe it.
context: I understand, but aren't these sort of weak reasons to desert?\Well, it's also because you're Protoculture.\Protoculture? What's that?\You're still playing dumb?\Even with all the power you have!\This would seem to support Hayase's theories.\Captain, you're seriously asking us to believe her report?\At this point, we have to believe it. response:	Well, Ichijo, what's your opinion?
context: Well, it's also because you're Protoculture.\Protoculture? What's that?\You're still playing dumb?\Even with all the power you have!\This would seem to support Hayase's theories.\Captain, you're seriously asking us to believe her report?\At this point, we have to believe it.\Well, Ichijo, what's your opinion? response:	Sir!
context: Protoculture? What's that?\You're still playing dumb?\Even with all the power you have!\This would seem to support Hayase's theories.\Captain, you're seriously asking us to believe her report?\At this point, we have to believe it.\Well, Ichijo, what's your opinion?\Sir! response:	I think it would be all right to accept them.
context: You're still playing dumb?\Even with all the power you have!\This would seem to support Hayase's theories.\Captain, you're seriously asking us to believe her report?\At this point, we have to believe it.\Well, Ichijo, what's your opinion?\Sir!\I think it would be all right to accept them. response:	What?!
context: Even with all the power you have!\This would seem to support Hayase's theories.\Captain, you're seriously asking us to believe her report?\At this point, we have to believe it.\Well, Ichijo, what's your opinion?\Sir!\I think it would be all right to accept them.\What?! response:	That makes it two to three.
context: This would seem to support Hayase's theories.\Captain, you're seriously asking us to believe her report?\At this point, we have to believe it.\Well, Ichijo, what's your opinion?\Sir!\I think it would be all right to accept them.\What?!\That makes it two to three. response:	Lieutenant, you just said we shouldn't accept them, didn't you?!
context: Captain, you're seriously asking us to believe her report?\At this point, we have to believe it.\Well, Ichijo, what's your opinion?\Sir!\I think it would be all right to accept them.\What?!\That makes it two to three.\Lieutenant, you just said we shouldn't accept them, didn't you?! response:	I changed my mind.
context: At this point, we have to believe it.\Well, Ichijo, what's your opinion?\Sir!\I think it would be all right to accept them.\What?!\That makes it two to three.\Lieutenant, you just said we shouldn't accept them, didn't you?!\I changed my mind. response:	Captain! Why should we listen to the opinion of someone
context: Well, Ichijo, what's your opinion?\Sir!\I think it would be all right to accept them.\What?!\That makes it two to three.\Lieutenant, you just said we shouldn't accept them, didn't you?!\I changed my mind.\Captain! Why should we listen to the opinion of someone response:	who can't even explain his reasoning?!
