context: Bell-kun, response:	has something good happened to you?
context: I really beat a minotaur!\It's over, Bell-kun.\Did I just go up a rank now?\Nothing feels different...\Th-This power! It's overwhelming!\Is that what you were expecting?\Yeah. A little.\Well, you'll feel it soon enough. response:	Anyway, I've got good news.
context: It's over, Bell-kun.\Did I just go up a rank now?\Nothing feels different...\Th-This power! It's overwhelming!\Is that what you were expecting?\Yeah. A little.\Well, you'll feel it soon enough.\Anyway, I've got good news. response:	Want to hear it?
context: Did I just go up a rank now?\Nothing feels different...\Th-This power! It's overwhelming!\Is that what you were expecting?\Yeah. A little.\Well, you'll feel it soon enough.\Anyway, I've got good news.\Want to hear it? response:	What is it?
context: Nothing feels different...\Th-This power! It's overwhelming!\Is that what you were expecting?\Yeah. A little.\Well, you'll feel it soon enough.\Anyway, I've got good news.\Want to hear it?\What is it? response:	It's a skill.
context: Th-This power! It's overwhelming!\Is that what you were expecting?\Yeah. A little.\Well, you'll feel it soon enough.\Anyway, I've got good news.\Want to hear it?\What is it?\It's a skill. response:	Your secondum, never mind...
context: Is that what you were expecting?\Yeah. A little.\Well, you'll feel it soon enough.\Anyway, I've got good news.\Want to hear it?\What is it?\It's a skill.\Your secondum, never mind... response:	You know.
context: Yeah. A little.\Well, you'll feel it soon enough.\Anyway, I've got good news.\Want to hear it?\What is it?\It's a skill.\Your secondum, never mind...\You know. response:	One of those skills you wanted has finally appeared.
context: Well, you'll feel it soon enough.\Anyway, I've got good news.\Want to hear it?\What is it?\It's a skill.\Your secondum, never mind...\You know.\One of those skills you wanted has finally appeared. response:	Argonaut.
context: Anyway, I've got good news.\Want to hear it?\What is it?\It's a skill.\Your secondum, never mind...\You know.\One of those skills you wanted has finally appeared.\Argonaut. response:	A skill!
context: Want to hear it?\What is it?\It's a skill.\Your secondum, never mind...\You know.\One of those skills you wanted has finally appeared.\Argonaut.\A skill! response:	I've got a skill!
context: What is it?\It's a skill.\Your secondum, never mind...\You know.\One of those skills you wanted has finally appeared.\Argonaut.\A skill!\I've got a skill! response:	I did it!
context: It's a skill.\Your secondum, never mind...\You know.\One of those skills you wanted has finally appeared.\Argonaut.\A skill!\I've got a skill!\I did it! response:	I did it, Goddess!
context: Your secondum, never mind...\You know.\One of those skills you wanted has finally appeared.\Argonaut.\A skill!\I've got a skill!\I did it!\I did it, Goddess! response:	To think that it'd be Argonaut... The desire to be a hero.
context: You know.\One of those skills you wanted has finally appeared.\Argonaut.\A skill!\I've got a skill!\I did it!\I did it, Goddess!\To think that it'd be Argonaut... The desire to be a hero. response:	What does that mean, exactly?
context: One of those skills you wanted has finally appeared.\Argonaut.\A skill!\I've got a skill!\I did it!\I did it, Goddess!\To think that it'd be Argonaut... The desire to be a hero.\What does that mean, exactly? response:	If you get a skill like this, it means...
context: Argonaut.\A skill!\I've got a skill!\I did it!\I did it, Goddess!\To think that it'd be Argonaut... The desire to be a hero.\What does that mean, exactly?\If you get a skill like this, it means... response:	Bell-kun, aren't you a little old to want to be a fairy tale hero?
context: A skill!\I've got a skill!\I did it!\I did it, Goddess!\To think that it'd be Argonaut... The desire to be a hero.\What does that mean, exactly?\If you get a skill like this, it means...\Bell-kun, aren't you a little old to want to be a fairy tale hero? response:	No, um...
context: I've got a skill!\I did it!\I did it, Goddess!\To think that it'd be Argonaut... The desire to be a hero.\What does that mean, exactly?\If you get a skill like this, it means...\Bell-kun, aren't you a little old to want to be a fairy tale hero?\No, um... response:	Bell-kun!
context: I did it!\I did it, Goddess!\To think that it'd be Argonaut... The desire to be a hero.\What does that mean, exactly?\If you get a skill like this, it means...\Bell-kun, aren't you a little old to want to be a fairy tale hero?\No, um...\Bell-kun! response:	You're so cute!
context: I did it, Goddess!\To think that it'd be Argonaut... The desire to be a hero.\What does that mean, exactly?\If you get a skill like this, it means...\Bell-kun, aren't you a little old to want to be a fairy tale hero?\No, um...\Bell-kun!\You're so cute! response:	Goddess, you meanie!
context: To think that it'd be Argonaut... The desire to be a hero.\What does that mean, exactly?\If you get a skill like this, it means...\Bell-kun, aren't you a little old to want to be a fairy tale hero?\No, um...\Bell-kun!\You're so cute!\Goddess, you meanie! response:	Anyway, it's true that you've gained a skill.
context: What does that mean, exactly?\If you get a skill like this, it means...\Bell-kun, aren't you a little old to want to be a fairy tale hero?\No, um...\Bell-kun!\You're so cute!\Goddess, you meanie!\Anyway, it's true that you've gained a skill. response:	Now, try to figure out how it works in combat.
context: If you get a skill like this, it means...\Bell-kun, aren't you a little old to want to be a fairy tale hero?\No, um...\Bell-kun!\You're so cute!\Goddess, you meanie!\Anyway, it's true that you've gained a skill.\Now, try to figure out how it works in combat. response:	Okay.
context: Bell-kun, aren't you a little old to want to be a fairy tale hero?\No, um...\Bell-kun!\You're so cute!\Goddess, you meanie!\Anyway, it's true that you've gained a skill.\Now, try to figure out how it works in combat.\Okay. response:	I'm heading out.
context: No, um...\Bell-kun!\You're so cute!\Goddess, you meanie!\Anyway, it's true that you've gained a skill.\Now, try to figure out how it works in combat.\Okay.\I'm heading out. response:	Cheer up before I get back, would you?
context: Bell-kun!\You're so cute!\Goddess, you meanie!\Anyway, it's true that you've gained a skill.\Now, try to figure out how it works in combat.\Okay.\I'm heading out.\Cheer up before I get back, would you? response:	Where are you going?
context: You're so cute!\Goddess, you meanie!\Anyway, it's true that you've gained a skill.\Now, try to figure out how it works in combat.\Okay.\I'm heading out.\Cheer up before I get back, would you?\Where are you going? response:	Today is the day when the gods meet.
context: Goddess, you meanie!\Anyway, it's true that you've gained a skill.\Now, try to figure out how it works in combat.\Okay.\I'm heading out.\Cheer up before I get back, would you?\Where are you going?\Today is the day when the gods meet. response:	Denatus, held once every three months.
context: Anyway, it's true that you've gained a skill.\Now, try to figure out how it works in combat.\Okay.\I'm heading out.\Cheer up before I get back, would you?\Where are you going?\Today is the day when the gods meet.\Denatus, held once every three months. response:	Then that's...
context: Now, try to figure out how it works in combat.\Okay.\I'm heading out.\Cheer up before I get back, would you?\Where are you going?\Today is the day when the gods meet.\Denatus, held once every three months.\Then that's... response:	That's right, Bell-kun.
context: Okay.\I'm heading out.\Cheer up before I get back, would you?\Where are you going?\Today is the day when the gods meet.\Denatus, held once every three months.\Then that's...\That's right, Bell-kun. response:	We choose titles for adventurers who've leveled up.
context: I'm heading out.\Cheer up before I get back, would you?\Where are you going?\Today is the day when the gods meet.\Denatus, held once every three months.\Then that's...\That's right, Bell-kun.\We choose titles for adventurers who've leveled up. response:	That means you'll be getting a title.
context: Cheer up before I get back, would you?\Where are you going?\Today is the day when the gods meet.\Denatus, held once every three months.\Then that's...\That's right, Bell-kun.\We choose titles for adventurers who've leveled up.\That means you'll be getting a title. response:	Hey, Hestia.
context: Where are you going?\Today is the day when the gods meet.\Denatus, held once every three months.\Then that's...\That's right, Bell-kun.\We choose titles for adventurers who've leveled up.\That means you'll be getting a title.\Hey, Hestia. response:	Oh, it's you, Take.
context: Today is the day when the gods meet.\Denatus, held once every three months.\Then that's...\That's right, Bell-kun.\We choose titles for adventurers who've leveled up.\That means you'll be getting a title.\Hey, Hestia.\Oh, it's you, Take. response:	I heard your kid's up to Level 2?
context: Denatus, held once every three months.\Then that's...\That's right, Bell-kun.\We choose titles for adventurers who've leveled up.\That means you'll be getting a title.\Hey, Hestia.\Oh, it's you, Take.\I heard your kid's up to Level 2? response:	And in a little over a month?
context: Then that's...\That's right, Bell-kun.\We choose titles for adventurers who've leveled up.\That means you'll be getting a title.\Hey, Hestia.\Oh, it's you, Take.\I heard your kid's up to Level 2?\And in a little over a month? response:	Y-Yeah, I guess.
context: That's right, Bell-kun.\We choose titles for adventurers who've leveled up.\That means you'll be getting a title.\Hey, Hestia.\Oh, it's you, Take.\I heard your kid's up to Level 2?\And in a little over a month?\Y-Yeah, I guess. response:	Wow. Even the Sword Princess took a year.
context: We choose titles for adventurers who've leveled up.\That means you'll be getting a title.\Hey, Hestia.\Oh, it's you, Take.\I heard your kid's up to Level 2?\And in a little over a month?\Y-Yeah, I guess.\Wow. Even the Sword Princess took a year. response:	It's all the gods are talking about these days.
context: That means you'll be getting a title.\Hey, Hestia.\Oh, it's you, Take.\I heard your kid's up to Level 2?\And in a little over a month?\Y-Yeah, I guess.\Wow. Even the Sword Princess took a year.\It's all the gods are talking about these days. response:	Come to think of it,
context: Hey, Hestia.\Oh, it's you, Take.\I heard your kid's up to Level 2?\And in a little over a month?\Y-Yeah, I guess.\Wow. Even the Sword Princess took a year.\It's all the gods are talking about these days.\Come to think of it, response:	someone in your Takemikazuchi Familia leveled up, too, right?
context: Oh, it's you, Take.\I heard your kid's up to Level 2?\And in a little over a month?\Y-Yeah, I guess.\Wow. Even the Sword Princess took a year.\It's all the gods are talking about these days.\Come to think of it,\someone in your Takemikazuchi Familia leveled up, too, right? response:	Yeah. A child named Yamato Mikoto.
context: I heard your kid's up to Level 2?\And in a little over a month?\Y-Yeah, I guess.\Wow. Even the Sword Princess took a year.\It's all the gods are talking about these days.\Come to think of it,\someone in your Takemikazuchi Familia leveled up, too, right?\Yeah. A child named Yamato Mikoto. response:	So I'm taking today's Denatus seriously.
context: And in a little over a month?\Y-Yeah, I guess.\Wow. Even the Sword Princess took a year.\It's all the gods are talking about these days.\Come to think of it,\someone in your Takemikazuchi Familia leveled up, too, right?\Yeah. A child named Yamato Mikoto.\So I'm taking today's Denatus seriously. response:	Their title depends on it!
context: Y-Yeah, I guess.\Wow. Even the Sword Princess took a year.\It's all the gods are talking about these days.\Come to think of it,\someone in your Takemikazuchi Familia leveled up, too, right?\Yeah. A child named Yamato Mikoto.\So I'm taking today's Denatus seriously.\Their title depends on it! response:	You're right.
context: Wow. Even the Sword Princess took a year.\It's all the gods are talking about these days.\Come to think of it,\someone in your Takemikazuchi Familia leveled up, too, right?\Yeah. A child named Yamato Mikoto.\So I'm taking today's Denatus seriously.\Their title depends on it!\You're right. response:	Let's both win good titles...
context: It's all the gods are talking about these days.\Come to think of it,\someone in your Takemikazuchi Familia leveled up, too, right?\Yeah. A child named Yamato Mikoto.\So I'm taking today's Denatus seriously.\Their title depends on it!\You're right.\Let's both win good titles... response:	Maybe I'll get some new armor to go with my title.
context: Come to think of it,\someone in your Takemikazuchi Familia leveled up, too, right?\Yeah. A child named Yamato Mikoto.\So I'm taking today's Denatus seriously.\Their title depends on it!\You're right.\Let's both win good titles...\Maybe I'll get some new armor to go with my title. response:	I wonder what kind of cool title I'll get?
context: someone in your Takemikazuchi Familia leveled up, too, right?\Yeah. A child named Yamato Mikoto.\So I'm taking today's Denatus seriously.\Their title depends on it!\You're right.\Let's both win good titles...\Maybe I'll get some new armor to go with my title.\I wonder what kind of cool title I'll get? response:	Fire Blizzard?
context: Yeah. A child named Yamato Mikoto.\So I'm taking today's Denatus seriously.\Their title depends on it!\You're right.\Let's both win good titles...\Maybe I'll get some new armor to go with my title.\I wonder what kind of cool title I'll get?\Fire Blizzard? response:	Tornado Typhoon?
context: So I'm taking today's Denatus seriously.\Their title depends on it!\You're right.\Let's both win good titles...\Maybe I'll get some new armor to go with my title.\I wonder what kind of cool title I'll get?\Fire Blizzard?\Tornado Typhoon? response:	Burning Fighting Fighter!
context: Their title depends on it!\You're right.\Let's both win good titles...\Maybe I'll get some new armor to go with my title.\I wonder what kind of cool title I'll get?\Fire Blizzard?\Tornado Typhoon?\Burning Fighting Fighter! response:	Aw, yeah right...
context: You're right.\Let's both win good titles...\Maybe I'll get some new armor to go with my title.\I wonder what kind of cool title I'll get?\Fire Blizzard?\Tornado Typhoon?\Burning Fighting Fighter!\Aw, yeah right... response:	This armor was good stuff.
context: Let's both win good titles...\Maybe I'll get some new armor to go with my title.\I wonder what kind of cool title I'll get?\Fire Blizzard?\Tornado Typhoon?\Burning Fighting Fighter!\Aw, yeah right...\This armor was good stuff. response:	It was light and easy to move in.
context: Maybe I'll get some new armor to go with my title.\I wonder what kind of cool title I'll get?\Fire Blizzard?\Tornado Typhoon?\Burning Fighting Fighter!\Aw, yeah right...\This armor was good stuff.\It was light and easy to move in. response:	Welf Crozzo, huh?
context: I wonder what kind of cool title I'll get?\Fire Blizzard?\Tornado Typhoon?\Burning Fighting Fighter!\Aw, yeah right...\This armor was good stuff.\It was light and easy to move in.\Welf Crozzo, huh? response:	Bell-kun! Bell-kun!
context: Fire Blizzard?\Tornado Typhoon?\Burning Fighting Fighter!\Aw, yeah right...\This armor was good stuff.\It was light and easy to move in.\Welf Crozzo, huh?\Bell-kun! Bell-kun! response:	You're going to love this, Bell-kun!
context: Tornado Typhoon?\Burning Fighting Fighter!\Aw, yeah right...\This armor was good stuff.\It was light and easy to move in.\Welf Crozzo, huh?\Bell-kun! Bell-kun!\You're going to love this, Bell-kun! response:	Goddess!
context: Burning Fighting Fighter!\Aw, yeah right...\This armor was good stuff.\It was light and easy to move in.\Welf Crozzo, huh?\Bell-kun! Bell-kun!\You're going to love this, Bell-kun!\Goddess! response:	Then...
context: Aw, yeah right...\This armor was good stuff.\It was light and easy to move in.\Welf Crozzo, huh?\Bell-kun! Bell-kun!\You're going to love this, Bell-kun!\Goddess!\Then... response:	I did it! I got something normal.
context: This armor was good stuff.\It was light and easy to move in.\Welf Crozzo, huh?\Bell-kun! Bell-kun!\You're going to love this, Bell-kun!\Goddess!\Then...\I did it! I got something normal. response:	Huh?
context: It was light and easy to move in.\Welf Crozzo, huh?\Bell-kun! Bell-kun!\You're going to love this, Bell-kun!\Goddess!\Then...\I did it! I got something normal.\Huh? response:	Little Rookie?
context: Welf Crozzo, huh?\Bell-kun! Bell-kun!\You're going to love this, Bell-kun!\Goddess!\Then...\I did it! I got something normal.\Huh?\Little Rookie? response:	Is that your title, Bell-sama?
context: Bell-kun! Bell-kun!\You're going to love this, Bell-kun!\Goddess!\Then...\I did it! I got something normal.\Huh?\Little Rookie?\Is that your title, Bell-sama? response:	Yeah.
context: You're going to love this, Bell-kun!\Goddess!\Then...\I did it! I got something normal.\Huh?\Little Rookie?\Is that your title, Bell-sama?\Yeah. response:	Whaddya think, Lili?
context: Goddess!\Then...\I did it! I got something normal.\Huh?\Little Rookie?\Is that your title, Bell-sama?\Yeah.\Whaddya think, Lili? response:	Um... well, I guess it's...
context: Then...\I did it! I got something normal.\Huh?\Little Rookie?\Is that your title, Bell-sama?\Yeah.\Whaddya think, Lili?\Um... well, I guess it's... response:	Normal?
context: I did it! I got something normal.\Huh?\Little Rookie?\Is that your title, Bell-sama?\Yeah.\Whaddya think, Lili?\Um... well, I guess it's...\Normal? response:	I know, right?
context: Huh?\Little Rookie?\Is that your title, Bell-sama?\Yeah.\Whaddya think, Lili?\Um... well, I guess it's...\Normal?\I know, right? response:	My goddess said it was nice and normal, but...
context: Little Rookie?\Is that your title, Bell-sama?\Yeah.\Whaddya think, Lili?\Um... well, I guess it's...\Normal?\I know, right?\My goddess said it was nice and normal, but... response:	I like the title Little Rookie.
context: Is that your title, Bell-sama?\Yeah.\Whaddya think, Lili?\Um... well, I guess it's...\Normal?\I know, right?\My goddess said it was nice and normal, but...\I like the title Little Rookie. response:	Congratulations for leveling up, Cranel-sama.
context: Yeah.\Whaddya think, Lili?\Um... well, I guess it's...\Normal?\I know, right?\My goddess said it was nice and normal, but...\I like the title Little Rookie.\Congratulations for leveling up, Cranel-sama. response:	Please drink all you like tonight.
context: Whaddya think, Lili?\Um... well, I guess it's...\Normal?\I know, right?\My goddess said it was nice and normal, but...\I like the title Little Rookie.\Congratulations for leveling up, Cranel-sama.\Please drink all you like tonight. response:	This is your party, after all.
context: Um... well, I guess it's...\Normal?\I know, right?\My goddess said it was nice and normal, but...\I like the title Little Rookie.\Congratulations for leveling up, Cranel-sama.\Please drink all you like tonight.\This is your party, after all. response:	Hey, is that him?
context: Normal?\I know, right?\My goddess said it was nice and normal, but...\I like the title Little Rookie.\Congratulations for leveling up, Cranel-sama.\Please drink all you like tonight.\This is your party, after all.\Hey, is that him? response:	The guy who got to Level 2 faster than anybody else?
context: I know, right?\My goddess said it was nice and normal, but...\I like the title Little Rookie.\Congratulations for leveling up, Cranel-sama.\Please drink all you like tonight.\This is your party, after all.\Hey, is that him?\The guy who got to Level 2 faster than anybody else? response:	Are they talking about me?
context: My goddess said it was nice and normal, but...\I like the title Little Rookie.\Congratulations for leveling up, Cranel-sama.\Please drink all you like tonight.\This is your party, after all.\Hey, is that him?\The guy who got to Level 2 faster than anybody else?\Are they talking about me? response:	Yes.
context: I like the title Little Rookie.\Congratulations for leveling up, Cranel-sama.\Please drink all you like tonight.\This is your party, after all.\Hey, is that him?\The guy who got to Level 2 faster than anybody else?\Are they talking about me?\Yes. response:	It's just what happens to adventurers who get famous.
context: Congratulations for leveling up, Cranel-sama.\Please drink all you like tonight.\This is your party, after all.\Hey, is that him?\The guy who got to Level 2 faster than anybody else?\Are they talking about me?\Yes.\It's just what happens to adventurers who get famous. response:	Just think of it as getting popular.
context: Please drink all you like tonight.\This is your party, after all.\Hey, is that him?\The guy who got to Level 2 faster than anybody else?\Are they talking about me?\Yes.\It's just what happens to adventurers who get famous.\Just think of it as getting popular. response:	Now let's get started.
context: This is your party, after all.\Hey, is that him?\The guy who got to Level 2 faster than anybody else?\Are they talking about me?\Yes.\It's just what happens to adventurers who get famous.\Just think of it as getting popular.\Now let's get started. response:	R-Right?
context: Hey, is that him?\The guy who got to Level 2 faster than anybody else?\Are they talking about me?\Yes.\It's just what happens to adventurers who get famous.\Just think of it as getting popular.\Now let's get started.\R-Right? response:	Hey, is it okay for you two to be here?
context: The guy who got to Level 2 faster than anybody else?\Are they talking about me?\Yes.\It's just what happens to adventurers who get famous.\Just think of it as getting popular.\Now let's get started.\R-Right?\Hey, is it okay for you two to be here? response:	Mama Mia said you could borrow us, so please drink
context: Are they talking about me?\Yes.\It's just what happens to adventurers who get famous.\Just think of it as getting popular.\Now let's get started.\R-Right?\Hey, is it okay for you two to be here?\Mama Mia said you could borrow us, so please drink response:	and have a good time.
context: Yes.\It's just what happens to adventurers who get famous.\Just think of it as getting popular.\Now let's get started.\R-Right?\Hey, is it okay for you two to be here?\Mama Mia said you could borrow us, so please drink\and have a good time. response:	Spend lots of money, too.
context: It's just what happens to adventurers who get famous.\Just think of it as getting popular.\Now let's get started.\R-Right?\Hey, is it okay for you two to be here?\Mama Mia said you could borrow us, so please drink\and have a good time.\Spend lots of money, too. response:	Okay, I will.
context: Just think of it as getting popular.\Now let's get started.\R-Right?\Hey, is it okay for you two to be here?\Mama Mia said you could borrow us, so please drink\and have a good time.\Spend lots of money, too.\Okay, I will. response:	Cheers!
context: Now let's get started.\R-Right?\Hey, is it okay for you two to be here?\Mama Mia said you could borrow us, so please drink\and have a good time.\Spend lots of money, too.\Okay, I will.\Cheers! response:	So you two are planning to head
context: R-Right?\Hey, is it okay for you two to be here?\Mama Mia said you could borrow us, so please drink\and have a good time.\Spend lots of money, too.\Okay, I will.\Cheers!\So you two are planning to head response:	into the middle levels of the dungeon, yes?
context: Hey, is it okay for you two to be here?\Mama Mia said you could borrow us, so please drink\and have a good time.\Spend lots of money, too.\Okay, I will.\Cheers!\So you two are planning to head\into the middle levels of the dungeon, yes? response:	Right.
context: Mama Mia said you could borrow us, so please drink\and have a good time.\Spend lots of money, too.\Okay, I will.\Cheers!\So you two are planning to head\into the middle levels of the dungeon, yes?\Right. response:	Of course, we'll see how it goes, but...
context: and have a good time.\Spend lots of money, too.\Okay, I will.\Cheers!\So you two are planning to head\into the middle levels of the dungeon, yes?\Right.\Of course, we'll see how it goes, but... response:	I see.
context: Spend lots of money, too.\Okay, I will.\Cheers!\So you two are planning to head\into the middle levels of the dungeon, yes?\Right.\Of course, we'll see how it goes, but...\I see. response:	I hate to sound like I'm meddling,
context: Okay, I will.\Cheers!\So you two are planning to head\into the middle levels of the dungeon, yes?\Right.\Of course, we'll see how it goes, but...\I see.\I hate to sound like I'm meddling, response:	but you should avoid going deeper than the 13th Floor for now.
context: Cheers!\So you two are planning to head\into the middle levels of the dungeon, yes?\Right.\Of course, we'll see how it goes, but...\I see.\I hate to sound like I'm meddling,\but you should avoid going deeper than the 13th Floor for now. response:	Do you think that Bell-sama and I can't handle the middle floors?
context: So you two are planning to head\into the middle levels of the dungeon, yes?\Right.\Of course, we'll see how it goes, but...\I see.\I hate to sound like I'm meddling,\but you should avoid going deeper than the 13th Floor for now.\Do you think that Bell-sama and I can't handle the middle floors? response:	No, that's not what I mean at all.
context: into the middle levels of the dungeon, yes?\Right.\Of course, we'll see how it goes, but...\I see.\I hate to sound like I'm meddling,\but you should avoid going deeper than the 13th Floor for now.\Do you think that Bell-sama and I can't handle the middle floors?\No, that's not what I mean at all. response:	But the upper and middle floors are very different.
context: Right.\Of course, we'll see how it goes, but...\I see.\I hate to sound like I'm meddling,\but you should avoid going deeper than the 13th Floor for now.\Do you think that Bell-sama and I can't handle the middle floors?\No, that's not what I mean at all.\But the upper and middle floors are very different. response:	The strength of the monsters, their numbers,
context: Of course, we'll see how it goes, but...\I see.\I hate to sound like I'm meddling,\but you should avoid going deeper than the 13th Floor for now.\Do you think that Bell-sama and I can't handle the middle floors?\No, that's not what I mean at all.\But the upper and middle floors are very different.\The strength of the monsters, their numbers, response:	and the encounter rate change.
context: I see.\I hate to sound like I'm meddling,\but you should avoid going deeper than the 13th Floor for now.\Do you think that Bell-sama and I can't handle the middle floors?\No, that's not what I mean at all.\But the upper and middle floors are very different.\The strength of the monsters, their numbers,\and the encounter rate change. response:	The issue isn't your ability.
context: I hate to sound like I'm meddling,\but you should avoid going deeper than the 13th Floor for now.\Do you think that Bell-sama and I can't handle the middle floors?\No, that's not what I mean at all.\But the upper and middle floors are very different.\The strength of the monsters, their numbers,\and the encounter rate change.\The issue isn't your ability. response:	You can't hope to handle them all alone.
context: but you should avoid going deeper than the 13th Floor for now.\Do you think that Bell-sama and I can't handle the middle floors?\No, that's not what I mean at all.\But the upper and middle floors are very different.\The strength of the monsters, their numbers,\and the encounter rate change.\The issue isn't your ability.\You can't hope to handle them all alone. response:	You should expand your party.
context: Do you think that Bell-sama and I can't handle the middle floors?\No, that's not what I mean at all.\But the upper and middle floors are very different.\The strength of the monsters, their numbers,\and the encounter rate change.\The issue isn't your ability.\You can't hope to handle them all alone.\You should expand your party. response:	But...
context: No, that's not what I mean at all.\But the upper and middle floors are very different.\The strength of the monsters, their numbers,\and the encounter rate change.\The issue isn't your ability.\You can't hope to handle them all alone.\You should expand your party.\But... response:	I don't know anyone who'd join my party.
context: But the upper and middle floors are very different.\The strength of the monsters, their numbers,\and the encounter rate change.\The issue isn't your ability.\You can't hope to handle them all alone.\You should expand your party.\But...\I don't know anyone who'd join my party. response:	Having trouble with your party, Little Rookie?
context: The strength of the monsters, their numbers,\and the encounter rate change.\The issue isn't your ability.\You can't hope to handle them all alone.\You should expand your party.\But...\I don't know anyone who'd join my party.\Having trouble with your party, Little Rookie? response:	If you want someone to go with, how about joining us?
context: and the encounter rate change.\The issue isn't your ability.\You can't hope to handle them all alone.\You should expand your party.\But...\I don't know anyone who'd join my party.\Having trouble with your party, Little Rookie?\If you want someone to go with, how about joining us? response:	We're all Level 2.
context: The issue isn't your ability.\You can't hope to handle them all alone.\You should expand your party.\But...\I don't know anyone who'd join my party.\Having trouble with your party, Little Rookie?\If you want someone to go with, how about joining us?\We're all Level 2. response:	We can handle the middle floors, too.
context: You can't hope to handle them all alone.\You should expand your party.\But...\I don't know anyone who'd join my party.\Having trouble with your party, Little Rookie?\If you want someone to go with, how about joining us?\We're all Level 2.\We can handle the middle floors, too. response:	But in exchange,
context: You should expand your party.\But...\I don't know anyone who'd join my party.\Having trouble with your party, Little Rookie?\If you want someone to go with, how about joining us?\We're all Level 2.\We can handle the middle floors, too.\But in exchange, response:	lend us these beautiful elven girls.
context: But...\I don't know anyone who'd join my party.\Having trouble with your party, Little Rookie?\If you want someone to go with, how about joining us?\We're all Level 2.\We can handle the middle floors, too.\But in exchange,\lend us these beautiful elven girls. response:	Friends should share, after all.
