context: Komachi... response:	What?
context: So I'll forgive you.\Also...\I'm sorry, too.\Hey, don't sweat it. I forgive you.\I'm your brother, after all.\Ugh, you're so full of yourself.\So, what happened?\This could take a while. response:	That's okay.
context: Also...\I'm sorry, too.\Hey, don't sweat it. I forgive you.\I'm your brother, after all.\Ugh, you're so full of yourself.\So, what happened?\This could take a while.\That's okay. response:	My Teen Romantic Comedy SNAFU TOO!
context: I'm sorry, too.\Hey, don't sweat it. I forgive you.\I'm your brother, after all.\Ugh, you're so full of yourself.\So, what happened?\This could take a while.\That's okay.\My Teen Romantic Comedy SNAFU TOO! response:	I see. That's so like you.
context: Hey, don't sweat it. I forgive you.\I'm your brother, after all.\Ugh, you're so full of yourself.\So, what happened?\This could take a while.\That's okay.\My Teen Romantic Comedy SNAFU TOO!\I see. That's so like you. response:	But you know, the only reason I understand that is because I'm me.
context: I'm your brother, after all.\Ugh, you're so full of yourself.\So, what happened?\This could take a while.\That's okay.\My Teen Romantic Comedy SNAFU TOO!\I see. That's so like you.\But you know, the only reason I understand that is because I'm me. response:	I understand because I've lived with you all my life.
context: Ugh, you're so full of yourself.\So, what happened?\This could take a while.\That's okay.\My Teen Romantic Comedy SNAFU TOO!\I see. That's so like you.\But you know, the only reason I understand that is because I'm me.\I understand because I've lived with you all my life. response:	I can just say, He's so stupid, and laugh it off.
context: So, what happened?\This could take a while.\That's okay.\My Teen Romantic Comedy SNAFU TOO!\I see. That's so like you.\But you know, the only reason I understand that is because I'm me.\I understand because I've lived with you all my life.\I can just say, He's so stupid, and laugh it off. response:	I can think, He really is hopeless.
context: This could take a while.\That's okay.\My Teen Romantic Comedy SNAFU TOO!\I see. That's so like you.\But you know, the only reason I understand that is because I'm me.\I understand because I've lived with you all my life.\I can just say, He's so stupid, and laugh it off.\I can think, He really is hopeless. response:	And then... I feel a little sad.
context: That's okay.\My Teen Romantic Comedy SNAFU TOO!\I see. That's so like you.\But you know, the only reason I understand that is because I'm me.\I understand because I've lived with you all my life.\I can just say, He's so stupid, and laugh it off.\I can think, He really is hopeless.\And then... I feel a little sad. response:	But other people aren't like that.
context: My Teen Romantic Comedy SNAFU TOO!\I see. That's so like you.\But you know, the only reason I understand that is because I'm me.\I understand because I've lived with you all my life.\I can just say, He's so stupid, and laugh it off.\I can think, He really is hopeless.\And then... I feel a little sad.\But other people aren't like that. response:	They don't understand at all, and I'm sure it really hurts them.
context: I see. That's so like you.\But you know, the only reason I understand that is because I'm me.\I understand because I've lived with you all my life.\I can just say, He's so stupid, and laugh it off.\I can think, He really is hopeless.\And then... I feel a little sad.\But other people aren't like that.\They don't understand at all, and I'm sure it really hurts them. response:	You're nice to me,
context: But you know, the only reason I understand that is because I'm me.\I understand because I've lived with you all my life.\I can just say, He's so stupid, and laugh it off.\I can think, He really is hopeless.\And then... I feel a little sad.\But other people aren't like that.\They don't understand at all, and I'm sure it really hurts them.\You're nice to me, response:	but you can only do that because I'm your sister, right?
context: I understand because I've lived with you all my life.\I can just say, He's so stupid, and laugh it off.\I can think, He really is hopeless.\And then... I feel a little sad.\But other people aren't like that.\They don't understand at all, and I'm sure it really hurts them.\You're nice to me,\but you can only do that because I'm your sister, right? response:	If I weren't your sister,
context: I can just say, He's so stupid, and laugh it off.\I can think, He really is hopeless.\And then... I feel a little sad.\But other people aren't like that.\They don't understand at all, and I'm sure it really hurts them.\You're nice to me,\but you can only do that because I'm your sister, right?\If I weren't your sister, response:	you'd probably never even come anywhere near me.
context: I can think, He really is hopeless.\And then... I feel a little sad.\But other people aren't like that.\They don't understand at all, and I'm sure it really hurts them.\You're nice to me,\but you can only do that because I'm your sister, right?\If I weren't your sister,\you'd probably never even come anywhere near me. response:	Well, that whole mechanism aside...
context: And then... I feel a little sad.\But other people aren't like that.\They don't understand at all, and I'm sure it really hurts them.\You're nice to me,\but you can only do that because I'm your sister, right?\If I weren't your sister,\you'd probably never even come anywhere near me.\Well, that whole mechanism aside... response:	I'm glad you're my sister, really.
context: But other people aren't like that.\They don't understand at all, and I'm sure it really hurts them.\You're nice to me,\but you can only do that because I'm your sister, right?\If I weren't your sister,\you'd probably never even come anywhere near me.\Well, that whole mechanism aside...\I'm glad you're my sister, really. response:	I'd give myself a lot of points for that one.
context: They don't understand at all, and I'm sure it really hurts them.\You're nice to me,\but you can only do that because I'm your sister, right?\If I weren't your sister,\you'd probably never even come anywhere near me.\Well, that whole mechanism aside...\I'm glad you're my sister, really.\I'd give myself a lot of points for that one. response:	Oh, Onii-chan!
context: You're nice to me,\but you can only do that because I'm your sister, right?\If I weren't your sister,\you'd probably never even come anywhere near me.\Well, that whole mechanism aside...\I'm glad you're my sister, really.\I'd give myself a lot of points for that one.\Oh, Onii-chan! response:	Well, I know I'd never go near you.
context: but you can only do that because I'm your sister, right?\If I weren't your sister,\you'd probably never even come anywhere near me.\Well, that whole mechanism aside...\I'm glad you're my sister, really.\I'd give myself a lot of points for that one.\Oh, Onii-chan!\Well, I know I'd never go near you. response:	I wouldn't even take notice of you.
context: If I weren't your sister,\you'd probably never even come anywhere near me.\Well, that whole mechanism aside...\I'm glad you're my sister, really.\I'd give myself a lot of points for that one.\Oh, Onii-chan!\Well, I know I'd never go near you.\I wouldn't even take notice of you. response:	Yeah, you say that, but I have my good qualities, don't I?
context: you'd probably never even come anywhere near me.\Well, that whole mechanism aside...\I'm glad you're my sister, really.\I'd give myself a lot of points for that one.\Oh, Onii-chan!\Well, I know I'd never go near you.\I wouldn't even take notice of you.\Yeah, you say that, but I have my good qualities, don't I? response:	Nope. Come on, don't be such a pain.
context: Well, that whole mechanism aside...\I'm glad you're my sister, really.\I'd give myself a lot of points for that one.\Oh, Onii-chan!\Well, I know I'd never go near you.\I wouldn't even take notice of you.\Yeah, you say that, but I have my good qualities, don't I?\Nope. Come on, don't be such a pain. response:	But...
context: I'm glad you're my sister, really.\I'd give myself a lot of points for that one.\Oh, Onii-chan!\Well, I know I'd never go near you.\I wouldn't even take notice of you.\Yeah, you say that, but I have my good qualities, don't I?\Nope. Come on, don't be such a pain.\But... response:	After fifteen years together,
context: I'd give myself a lot of points for that one.\Oh, Onii-chan!\Well, I know I'd never go near you.\I wouldn't even take notice of you.\Yeah, you say that, but I have my good qualities, don't I?\Nope. Come on, don't be such a pain.\But...\After fifteen years together, response:	you just think that's how it ought to be, and grow fond of it.
context: Oh, Onii-chan!\Well, I know I'd never go near you.\I wouldn't even take notice of you.\Yeah, you say that, but I have my good qualities, don't I?\Nope. Come on, don't be such a pain.\But...\After fifteen years together,\you just think that's how it ought to be, and grow fond of it. response:	Ah, I'd give myself a lot of points for that one!
context: Well, I know I'd never go near you.\I wouldn't even take notice of you.\Yeah, you say that, but I have my good qualities, don't I?\Nope. Come on, don't be such a pain.\But...\After fifteen years together,\you just think that's how it ought to be, and grow fond of it.\Ah, I'd give myself a lot of points for that one! response:	Yeah, after fifteen years together, I guess.
context: I wouldn't even take notice of you.\Yeah, you say that, but I have my good qualities, don't I?\Nope. Come on, don't be such a pain.\But...\After fifteen years together,\you just think that's how it ought to be, and grow fond of it.\Ah, I'd give myself a lot of points for that one!\Yeah, after fifteen years together, I guess. response:	It could be another fifteen...
context: Yeah, you say that, but I have my good qualities, don't I?\Nope. Come on, don't be such a pain.\But...\After fifteen years together,\you just think that's how it ought to be, and grow fond of it.\Ah, I'd give myself a lot of points for that one!\Yeah, after fifteen years together, I guess.\It could be another fifteen... response:	No, even longer than that from now on.
context: Nope. Come on, don't be such a pain.\But...\After fifteen years together,\you just think that's how it ought to be, and grow fond of it.\Ah, I'd give myself a lot of points for that one!\Yeah, after fifteen years together, I guess.\It could be another fifteen...\No, even longer than that from now on. response:	Don't split hairs.
context: But...\After fifteen years together,\you just think that's how it ought to be, and grow fond of it.\Ah, I'd give myself a lot of points for that one!\Yeah, after fifteen years together, I guess.\It could be another fifteen...\No, even longer than that from now on.\Don't split hairs. response:	How many years do you think I've listened to you splitting hairs?
context: After fifteen years together,\you just think that's how it ought to be, and grow fond of it.\Ah, I'd give myself a lot of points for that one!\Yeah, after fifteen years together, I guess.\It could be another fifteen...\No, even longer than that from now on.\Don't split hairs.\How many years do you think I've listened to you splitting hairs? response:	You're going to now, and you're always going to.
context: you just think that's how it ought to be, and grow fond of it.\Ah, I'd give myself a lot of points for that one!\Yeah, after fifteen years together, I guess.\It could be another fifteen...\No, even longer than that from now on.\Don't split hairs.\How many years do you think I've listened to you splitting hairs?\You're going to now, and you're always going to. response:	Get it?
context: Ah, I'd give myself a lot of points for that one!\Yeah, after fifteen years together, I guess.\It could be another fifteen...\No, even longer than that from now on.\Don't split hairs.\How many years do you think I've listened to you splitting hairs?\You're going to now, and you're always going to.\Get it? response:	Y-Yeah.
context: Yeah, after fifteen years together, I guess.\It could be another fifteen...\No, even longer than that from now on.\Don't split hairs.\How many years do you think I've listened to you splitting hairs?\You're going to now, and you're always going to.\Get it?\Y-Yeah. response:	And it's not just you.
context: It could be another fifteen...\No, even longer than that from now on.\Don't split hairs.\How many years do you think I've listened to you splitting hairs?\You're going to now, and you're always going to.\Get it?\Y-Yeah.\And it's not just you. response:	I'm going to be around a while longer, too.
context: No, even longer than that from now on.\Don't split hairs.\How many years do you think I've listened to you splitting hairs?\You're going to now, and you're always going to.\Get it?\Y-Yeah.\And it's not just you.\I'm going to be around a while longer, too. response:	I like Yukino-san and Yui-san.
context: Don't split hairs.\How many years do you think I've listened to you splitting hairs?\You're going to now, and you're always going to.\Get it?\Y-Yeah.\And it's not just you.\I'm going to be around a while longer, too.\I like Yukino-san and Yui-san. response:	So I don't want that club to go away.
context: How many years do you think I've listened to you splitting hairs?\You're going to now, and you're always going to.\Get it?\Y-Yeah.\And it's not just you.\I'm going to be around a while longer, too.\I like Yukino-san and Yui-san.\So I don't want that club to go away. response:	So, for me...
context: You're going to now, and you're always going to.\Get it?\Y-Yeah.\And it's not just you.\I'm going to be around a while longer, too.\I like Yukino-san and Yui-san.\So I don't want that club to go away.\So, for me... response:	For my friends... Is there anything you can do?
context: Get it?\Y-Yeah.\And it's not just you.\I'm going to be around a while longer, too.\I like Yukino-san and Yui-san.\So I don't want that club to go away.\So, for me...\For my friends... Is there anything you can do? response:	If it's for my sister, what choice do I have?
context: Y-Yeah.\And it's not just you.\I'm going to be around a while longer, too.\I like Yukino-san and Yui-san.\So I don't want that club to go away.\So, for me...\For my friends... Is there anything you can do?\If it's for my sister, what choice do I have? response:	That's right. It's for me.
context: And it's not just you.\I'm going to be around a while longer, too.\I like Yukino-san and Yui-san.\So I don't want that club to go away.\So, for me...\For my friends... Is there anything you can do?\If it's for my sister, what choice do I have?\That's right. It's for me. response:	I'm a selfish girl, after all. What're you gonna do?
context: I'm going to be around a while longer, too.\I like Yukino-san and Yui-san.\So I don't want that club to go away.\So, for me...\For my friends... Is there anything you can do?\If it's for my sister, what choice do I have?\That's right. It's for me.\I'm a selfish girl, after all. What're you gonna do? response:	You got that right.
context: I like Yukino-san and Yui-san.\So I don't want that club to go away.\So, for me...\For my friends... Is there anything you can do?\If it's for my sister, what choice do I have?\That's right. It's for me.\I'm a selfish girl, after all. What're you gonna do?\You got that right. response:	Thanks.
context: So I don't want that club to go away.\So, for me...\For my friends... Is there anything you can do?\If it's for my sister, what choice do I have?\That's right. It's for me.\I'm a selfish girl, after all. What're you gonna do?\You got that right.\Thanks. response:	That's one answer, given to me by Komachi.
context: So, for me...\For my friends... Is there anything you can do?\If it's for my sister, what choice do I have?\That's right. It's for me.\I'm a selfish girl, after all. What're you gonna do?\You got that right.\Thanks.\That's one answer, given to me by Komachi. response:	All this time, I've been trying to find a reason...
context: For my friends... Is there anything you can do?\If it's for my sister, what choice do I have?\That's right. It's for me.\I'm a selfish girl, after all. What're you gonna do?\You got that right.\Thanks.\That's one answer, given to me by Komachi.\All this time, I've been trying to find a reason... response:	A reason for me to protect that place, and our time there.
context: If it's for my sister, what choice do I have?\That's right. It's for me.\I'm a selfish girl, after all. What're you gonna do?\You got that right.\Thanks.\That's one answer, given to me by Komachi.\All this time, I've been trying to find a reason...\A reason for me to protect that place, and our time there. response:	To keep both Yukinoshita Yukino
context: That's right. It's for me.\I'm a selfish girl, after all. What're you gonna do?\You got that right.\Thanks.\That's one answer, given to me by Komachi.\All this time, I've been trying to find a reason...\A reason for me to protect that place, and our time there.\To keep both Yukinoshita Yukino response:	and Yuigahama Yui from becoming student council president...
context: I'm a selfish girl, after all. What're you gonna do?\You got that right.\Thanks.\That's one answer, given to me by Komachi.\All this time, I've been trying to find a reason...\A reason for me to protect that place, and our time there.\To keep both Yukinoshita Yukino\and Yuigahama Yui from becoming student council president... response:	What can Hikigaya Hachiman do?
context: You got that right.\Thanks.\That's one answer, given to me by Komachi.\All this time, I've been trying to find a reason...\A reason for me to protect that place, and our time there.\To keep both Yukinoshita Yukino\and Yuigahama Yui from becoming student council president...\What can Hikigaya Hachiman do? response:	There's...
context: Thanks.\That's one answer, given to me by Komachi.\All this time, I've been trying to find a reason...\A reason for me to protect that place, and our time there.\To keep both Yukinoshita Yukino\and Yuigahama Yui from becoming student council president...\What can Hikigaya Hachiman do?\There's... response:	absolutely nothing, and it's killing me!
context: That's one answer, given to me by Komachi.\All this time, I've been trying to find a reason...\A reason for me to protect that place, and our time there.\To keep both Yukinoshita Yukino\and Yuigahama Yui from becoming student council president...\What can Hikigaya Hachiman do?\There's...\absolutely nothing, and it's killing me! response:	Hey, how about wearing our own clothes to school?
context: All this time, I've been trying to find a reason...\A reason for me to protect that place, and our time there.\To keep both Yukinoshita Yukino\and Yuigahama Yui from becoming student council president...\What can Hikigaya Hachiman do?\There's...\absolutely nothing, and it's killing me!\Hey, how about wearing our own clothes to school? response:	That's it!
context: A reason for me to protect that place, and our time there.\To keep both Yukinoshita Yukino\and Yuigahama Yui from becoming student council president...\What can Hikigaya Hachiman do?\There's...\absolutely nothing, and it's killing me!\Hey, how about wearing our own clothes to school?\That's it! response:	And it'd be nice to get rid of the personal belongings searches.
context: To keep both Yukinoshita Yukino\and Yuigahama Yui from becoming student council president...\What can Hikigaya Hachiman do?\There's...\absolutely nothing, and it's killing me!\Hey, how about wearing our own clothes to school?\That's it!\And it'd be nice to get rid of the personal belongings searches. response:	I hate those.
context: and Yuigahama Yui from becoming student council president...\What can Hikigaya Hachiman do?\There's...\absolutely nothing, and it's killing me!\Hey, how about wearing our own clothes to school?\That's it!\And it'd be nice to get rid of the personal belongings searches.\I hate those. response:	I sometimes have doujinshi I borrowed from my friends in there.
context: What can Hikigaya Hachiman do?\There's...\absolutely nothing, and it's killing me!\Hey, how about wearing our own clothes to school?\That's it!\And it'd be nice to get rid of the personal belongings searches.\I hate those.\I sometimes have doujinshi I borrowed from my friends in there. response:	That's just you, Ebina.
context: There's...\absolutely nothing, and it's killing me!\Hey, how about wearing our own clothes to school?\That's it!\And it'd be nice to get rid of the personal belongings searches.\I hate those.\I sometimes have doujinshi I borrowed from my friends in there.\That's just you, Ebina. response:	I-I'll write it down, at least.
context: absolutely nothing, and it's killing me!\Hey, how about wearing our own clothes to school?\That's it!\And it'd be nice to get rid of the personal belongings searches.\I hate those.\I sometimes have doujinshi I borrowed from my friends in there.\That's just you, Ebina.\I-I'll write it down, at least. response:	You don't have to write that.
context: Hey, how about wearing our own clothes to school?\That's it!\And it'd be nice to get rid of the personal belongings searches.\I hate those.\I sometimes have doujinshi I borrowed from my friends in there.\That's just you, Ebina.\I-I'll write it down, at least.\You don't have to write that. response:	Anyway, I want to eat lunch up on the roof.
context: That's it!\And it'd be nice to get rid of the personal belongings searches.\I hate those.\I sometimes have doujinshi I borrowed from my friends in there.\That's just you, Ebina.\I-I'll write it down, at least.\You don't have to write that.\Anyway, I want to eat lunch up on the roof. response:	I'm in!
context: And it'd be nice to get rid of the personal belongings searches.\I hate those.\I sometimes have doujinshi I borrowed from my friends in there.\That's just you, Ebina.\I-I'll write it down, at least.\You don't have to write that.\Anyway, I want to eat lunch up on the roof.\I'm in! response:	You look pitiful, Hikigaya Hachiman!
context: I hate those.\I sometimes have doujinshi I borrowed from my friends in there.\That's just you, Ebina.\I-I'll write it down, at least.\You don't have to write that.\Anyway, I want to eat lunch up on the roof.\I'm in!\You look pitiful, Hikigaya Hachiman! response:	Don't be stupid.
context: I sometimes have doujinshi I borrowed from my friends in there.\That's just you, Ebina.\I-I'll write it down, at least.\You don't have to write that.\Anyway, I want to eat lunch up on the roof.\I'm in!\You look pitiful, Hikigaya Hachiman!\Don't be stupid. response:	Pitiful is my default state.
context: That's just you, Ebina.\I-I'll write it down, at least.\You don't have to write that.\Anyway, I want to eat lunch up on the roof.\I'm in!\You look pitiful, Hikigaya Hachiman!\Don't be stupid.\Pitiful is my default state. response:	You want something?
context: I-I'll write it down, at least.\You don't have to write that.\Anyway, I want to eat lunch up on the roof.\I'm in!\You look pitiful, Hikigaya Hachiman!\Don't be stupid.\Pitiful is my default state.\You want something? response:	A foolish question.
context: You don't have to write that.\Anyway, I want to eat lunch up on the roof.\I'm in!\You look pitiful, Hikigaya Hachiman!\Don't be stupid.\Pitiful is my default state.\You want something?\A foolish question. response:	I spend my lunch breaks in here,
context: Anyway, I want to eat lunch up on the roof.\I'm in!\You look pitiful, Hikigaya Hachiman!\Don't be stupid.\Pitiful is my default state.\You want something?\A foolish question.\I spend my lunch breaks in here, response:	and I saw you, so I thought I'd come pester you!
context: I'm in!\You look pitiful, Hikigaya Hachiman!\Don't be stupid.\Pitiful is my default state.\You want something?\A foolish question.\I spend my lunch breaks in here,\and I saw you, so I thought I'd come pester you! response:	What's wrong, Hachiman?
context: You look pitiful, Hikigaya Hachiman!\Don't be stupid.\Pitiful is my default state.\You want something?\A foolish question.\I spend my lunch breaks in here,\and I saw you, so I thought I'd come pester you!\What's wrong, Hachiman? response:	Nothing. It's dumb.
context: Don't be stupid.\Pitiful is my default state.\You want something?\A foolish question.\I spend my lunch breaks in here,\and I saw you, so I thought I'd come pester you!\What's wrong, Hachiman?\Nothing. It's dumb. response:	Tell me.
context: Pitiful is my default state.\You want something?\A foolish question.\I spend my lunch breaks in here,\and I saw you, so I thought I'd come pester you!\What's wrong, Hachiman?\Nothing. It's dumb.\Tell me. response:	Nah. It's not worth talking about.
context: You want something?\A foolish question.\I spend my lunch breaks in here,\and I saw you, so I thought I'd come pester you!\What's wrong, Hachiman?\Nothing. It's dumb.\Tell me.\Nah. It's not worth talking about. response:	Don't be ridiculous!
context: A foolish question.\I spend my lunch breaks in here,\and I saw you, so I thought I'd come pester you!\What's wrong, Hachiman?\Nothing. It's dumb.\Tell me.\Nah. It's not worth talking about.\Don't be ridiculous! response:	How many times have you listened to my idle chatter?
context: I spend my lunch breaks in here,\and I saw you, so I thought I'd come pester you!\What's wrong, Hachiman?\Nothing. It's dumb.\Tell me.\Nah. It's not worth talking about.\Don't be ridiculous!\How many times have you listened to my idle chatter? response:	I'll gladly listen to yours.
context: and I saw you, so I thought I'd come pester you!\What's wrong, Hachiman?\Nothing. It's dumb.\Tell me.\Nah. It's not worth talking about.\Don't be ridiculous!\How many times have you listened to my idle chatter?\I'll gladly listen to yours. response:	Heh, look at me, reaching out to the weak. I'm so cool.
context: What's wrong, Hachiman?\Nothing. It's dumb.\Tell me.\Nah. It's not worth talking about.\Don't be ridiculous!\How many times have you listened to my idle chatter?\I'll gladly listen to yours.\Heh, look at me, reaching out to the weak. I'm so cool. response:	That last line was cool, at least.
context: Nothing. It's dumb.\Tell me.\Nah. It's not worth talking about.\Don't be ridiculous!\How many times have you listened to my idle chatter?\I'll gladly listen to yours.\Heh, look at me, reaching out to the weak. I'm so cool.\That last line was cool, at least. response:	So who'd you steal it from?
context: Tell me.\Nah. It's not worth talking about.\Don't be ridiculous!\How many times have you listened to my idle chatter?\I'll gladly listen to yours.\Heh, look at me, reaching out to the weak. I'm so cool.\That last line was cool, at least.\So who'd you steal it from? response:	No.
context: Nah. It's not worth talking about.\Don't be ridiculous!\How many times have you listened to my idle chatter?\I'll gladly listen to yours.\Heh, look at me, reaching out to the weak. I'm so cool.\That last line was cool, at least.\So who'd you steal it from?\No. response:	It's mine.
context: Don't be ridiculous!\How many times have you listened to my idle chatter?\I'll gladly listen to yours.\Heh, look at me, reaching out to the weak. I'm so cool.\That last line was cool, at least.\So who'd you steal it from?\No.\It's mine. response:	Idiot. Don't say stuff that's actually cool.
context: How many times have you listened to my idle chatter?\I'll gladly listen to yours.\Heh, look at me, reaching out to the weak. I'm so cool.\That last line was cool, at least.\So who'd you steal it from?\No.\It's mine.\Idiot. Don't say stuff that's actually cool. response:	Zaimokuza, I need a favor.
context: I'll gladly listen to yours.\Heh, look at me, reaching out to the weak. I'm so cool.\That last line was cool, at least.\So who'd you steal it from?\No.\It's mine.\Idiot. Don't say stuff that's actually cool.\Zaimokuza, I need a favor. response:	Saizeriya
context: Heh, look at me, reaching out to the weak. I'm so cool.\That last line was cool, at least.\So who'd you steal it from?\No.\It's mine.\Idiot. Don't say stuff that's actually cool.\Zaimokuza, I need a favor.\Saizeriya response:	So the question is what exactly I should do.
context: That last line was cool, at least.\So who'd you steal it from?\No.\It's mine.\Idiot. Don't say stuff that's actually cool.\Zaimokuza, I need a favor.\Saizeriya\So the question is what exactly I should do. response:	Hey, there you are!
context: So who'd you steal it from?\No.\It's mine.\Idiot. Don't say stuff that's actually cool.\Zaimokuza, I need a favor.\Saizeriya\So the question is what exactly I should do.\Hey, there you are! response:	What are you doing here?
context: No.\It's mine.\Idiot. Don't say stuff that's actually cool.\Zaimokuza, I need a favor.\Saizeriya\So the question is what exactly I should do.\Hey, there you are!\What are you doing here? response:	If you're gonna work hard for my sake,
context: It's mine.\Idiot. Don't say stuff that's actually cool.\Zaimokuza, I need a favor.\Saizeriya\So the question is what exactly I should do.\Hey, there you are!\What are you doing here?\If you're gonna work hard for my sake, response:	I figure I've gotta work hard, too. So...
context: Idiot. Don't say stuff that's actually cool.\Zaimokuza, I need a favor.\Saizeriya\So the question is what exactly I should do.\Hey, there you are!\What are you doing here?\If you're gonna work hard for my sake,\I figure I've gotta work hard, too. So... response:	Ta-da! I got some people to help!
context: Zaimokuza, I need a favor.\Saizeriya\So the question is what exactly I should do.\Hey, there you are!\What are you doing here?\If you're gonna work hard for my sake,\I figure I've gotta work hard, too. So...\Ta-da! I got some people to help! response:	Why am I doing this?
context: Saizeriya\So the question is what exactly I should do.\Hey, there you are!\What are you doing here?\If you're gonna work hard for my sake,\I figure I've gotta work hard, too. So...\Ta-da! I got some people to help!\Why am I doing this? response:	So this is...
context: So the question is what exactly I should do.\Hey, there you are!\What are you doing here?\If you're gonna work hard for my sake,\I figure I've gotta work hard, too. So...\Ta-da! I got some people to help!\Why am I doing this?\So this is... response:	Operation: Stop Yukino-san and Yui-san from Leaving the Club!
