context: World War III. response:	By 2036,
context: Kurisu-san?\Kurisu?\Wasn't that the name of the scientist\who was stabbed at the Radio Building?\Okabe Rintarou,\what if I told you that the way to avoid World War III\is to prevent Makise Kurisu's death\on July 28th, 2010? response:	What do you mean?
context: Kurisu?\Wasn't that the name of the scientist\who was stabbed at the Radio Building?\Okabe Rintarou,\what if I told you that the way to avoid World War III\is to prevent Makise Kurisu's death\on July 28th, 2010?\What do you mean? response:	I don't know the details.
context: Wasn't that the name of the scientist\who was stabbed at the Radio Building?\Okabe Rintarou,\what if I told you that the way to avoid World War III\is to prevent Makise Kurisu's death\on July 28th, 2010?\What do you mean?\I don't know the details. response:	But I have one mission...
context: who was stabbed at the Radio Building?\Okabe Rintarou,\what if I told you that the way to avoid World War III\is to prevent Makise Kurisu's death\on July 28th, 2010?\What do you mean?\I don't know the details.\But I have one mission... response:	To save Makise Kurisu,
context: Okabe Rintarou,\what if I told you that the way to avoid World War III\is to prevent Makise Kurisu's death\on July 28th, 2010?\What do you mean?\I don't know the details.\But I have one mission...\To save Makise Kurisu, response:	The Steins Gate!
context: what if I told you that the way to avoid World War III\is to prevent Makise Kurisu's death\on July 28th, 2010?\What do you mean?\I don't know the details.\But I have one mission...\To save Makise Kurisu,\The Steins Gate! response:	OP
context: is to prevent Makise Kurisu's death\on July 28th, 2010?\What do you mean?\I don't know the details.\But I have one mission...\To save Makise Kurisu,\The Steins Gate!\OP response:	inochi no shuchou to muimi no shoumei
context: on July 28th, 2010?\What do you mean?\I don't know the details.\But I have one mission...\To save Makise Kurisu,\The Steins Gate!\OP\inochi no shuchou to muimi no shoumei response:	Pet theories and meaningless proofs
context: What do you mean?\I don't know the details.\But I have one mission...\To save Makise Kurisu,\The Steins Gate!\OP\inochi no shuchou to muimi no shoumei\Pet theories and meaningless proofs response:	anata ni wa taikutsu shinogi ni taranu koukei
context: I don't know the details.\But I have one mission...\To save Makise Kurisu,\The Steins Gate!\OP\inochi no shuchou to muimi no shoumei\Pet theories and meaningless proofs\anata ni wa taikutsu shinogi ni taranu koukei response:	Are not enough to keep you amused
context: But I have one mission...\To save Makise Kurisu,\The Steins Gate!\OP\inochi no shuchou to muimi no shoumei\Pet theories and meaningless proofs\anata ni wa taikutsu shinogi ni taranu koukei\Are not enough to keep you amused response:	shihaisha kidori no orokana shuzoku wa
context: To save Makise Kurisu,\The Steins Gate!\OP\inochi no shuchou to muimi no shoumei\Pet theories and meaningless proofs\anata ni wa taikutsu shinogi ni taranu koukei\Are not enough to keep you amused\shihaisha kidori no orokana shuzoku wa response:	Those conceited fools who pretend to be kings
context: The Steins Gate!\OP\inochi no shuchou to muimi no shoumei\Pet theories and meaningless proofs\anata ni wa taikutsu shinogi ni taranu koukei\Are not enough to keep you amused\shihaisha kidori no orokana shuzoku wa\Those conceited fools who pretend to be kings response:	unuboreta chisetsuna teiri wo narabeta
context: OP\inochi no shuchou to muimi no shoumei\Pet theories and meaningless proofs\anata ni wa taikutsu shinogi ni taranu koukei\Are not enough to keep you amused\shihaisha kidori no orokana shuzoku wa\Those conceited fools who pretend to be kings\unuboreta chisetsuna teiri wo narabeta response:	Lay down their childish theorems
context: inochi no shuchou to muimi no shoumei\Pet theories and meaningless proofs\anata ni wa taikutsu shinogi ni taranu koukei\Are not enough to keep you amused\shihaisha kidori no orokana shuzoku wa\Those conceited fools who pretend to be kings\unuboreta chisetsuna teiri wo narabeta\Lay down their childish theorems response:	mugen to shinjita ai mo sora no kanata mo
context: Pet theories and meaningless proofs\anata ni wa taikutsu shinogi ni taranu koukei\Are not enough to keep you amused\shihaisha kidori no orokana shuzoku wa\Those conceited fools who pretend to be kings\unuboreta chisetsuna teiri wo narabeta\Lay down their childish theorems\mugen to shinjita ai mo sora no kanata mo response:	The infinite love and the distant reaches of the sky
context: anata ni wa taikutsu shinogi ni taranu koukei\Are not enough to keep you amused\shihaisha kidori no orokana shuzoku wa\Those conceited fools who pretend to be kings\unuboreta chisetsuna teiri wo narabeta\Lay down their childish theorems\mugen to shinjita ai mo sora no kanata mo\The infinite love and the distant reaches of the sky response:	bokutachi ni shimesareta kasou no jiyuu
context: Are not enough to keep you amused\shihaisha kidori no orokana shuzoku wa\Those conceited fools who pretend to be kings\unuboreta chisetsuna teiri wo narabeta\Lay down their childish theorems\mugen to shinjita ai mo sora no kanata mo\The infinite love and the distant reaches of the sky\bokutachi ni shimesareta kasou no jiyuu response:	Are but virtual liberties revealed to us
context: shihaisha kidori no orokana shuzoku wa\Those conceited fools who pretend to be kings\unuboreta chisetsuna teiri wo narabeta\Lay down their childish theorems\mugen to shinjita ai mo sora no kanata mo\The infinite love and the distant reaches of the sky\bokutachi ni shimesareta kasou no jiyuu\Are but virtual liberties revealed to us response:	yuugen sore wa mujihi ni toki wo kizami
context: Those conceited fools who pretend to be kings\unuboreta chisetsuna teiri wo narabeta\Lay down their childish theorems\mugen to shinjita ai mo sora no kanata mo\The infinite love and the distant reaches of the sky\bokutachi ni shimesareta kasou no jiyuu\Are but virtual liberties revealed to us\yuugen sore wa mujihi ni toki wo kizami response:	Finitude is the ruthless passage of time
context: unuboreta chisetsuna teiri wo narabeta\Lay down their childish theorems\mugen to shinjita ai mo sora no kanata mo\The infinite love and the distant reaches of the sky\bokutachi ni shimesareta kasou no jiyuu\Are but virtual liberties revealed to us\yuugen sore wa mujihi ni toki wo kizami\Finitude is the ruthless passage of time response:	asu sae mo hitei suru sentaku e
context: Lay down their childish theorems\mugen to shinjita ai mo sora no kanata mo\The infinite love and the distant reaches of the sky\bokutachi ni shimesareta kasou no jiyuu\Are but virtual liberties revealed to us\yuugen sore wa mujihi ni toki wo kizami\Finitude is the ruthless passage of time\asu sae mo hitei suru sentaku e response:	Make the choice to deny even tomorrow
context: mugen to shinjita ai mo sora no kanata mo\The infinite love and the distant reaches of the sky\bokutachi ni shimesareta kasou no jiyuu\Are but virtual liberties revealed to us\yuugen sore wa mujihi ni toki wo kizami\Finitude is the ruthless passage of time\asu sae mo hitei suru sentaku e\Make the choice to deny even tomorrow response:	Hacking to the Gate
context: The infinite love and the distant reaches of the sky\bokutachi ni shimesareta kasou no jiyuu\Are but virtual liberties revealed to us\yuugen sore wa mujihi ni toki wo kizami\Finitude is the ruthless passage of time\asu sae mo hitei suru sentaku e\Make the choice to deny even tomorrow\Hacking to the Gate response:	ikutsu mo no kagayakeru hibi nakama to no yakusoku
context: bokutachi ni shimesareta kasou no jiyuu\Are but virtual liberties revealed to us\yuugen sore wa mujihi ni toki wo kizami\Finitude is the ruthless passage of time\asu sae mo hitei suru sentaku e\Make the choice to deny even tomorrow\Hacking to the Gate\ikutsu mo no kagayakeru hibi nakama to no yakusoku response:	We must never destroy those promises to our comrades
context: Are but virtual liberties revealed to us\yuugen sore wa mujihi ni toki wo kizami\Finitude is the ruthless passage of time\asu sae mo hitei suru sentaku e\Make the choice to deny even tomorrow\Hacking to the Gate\ikutsu mo no kagayakeru hibi nakama to no yakusoku\We must never destroy those promises to our comrades response:	nakatta koto ni wa shite wa ikenai
context: yuugen sore wa mujihi ni toki wo kizami\Finitude is the ruthless passage of time\asu sae mo hitei suru sentaku e\Make the choice to deny even tomorrow\Hacking to the Gate\ikutsu mo no kagayakeru hibi nakama to no yakusoku\We must never destroy those promises to our comrades\nakatta koto ni wa shite wa ikenai response:	Or those many happy days together
context: Finitude is the ruthless passage of time\asu sae mo hitei suru sentaku e\Make the choice to deny even tomorrow\Hacking to the Gate\ikutsu mo no kagayakeru hibi nakama to no yakusoku\We must never destroy those promises to our comrades\nakatta koto ni wa shite wa ikenai\Or those many happy days together response:	sono tame ni toki wo azamuku
context: asu sae mo hitei suru sentaku e\Make the choice to deny even tomorrow\Hacking to the Gate\ikutsu mo no kagayakeru hibi nakama to no yakusoku\We must never destroy those promises to our comrades\nakatta koto ni wa shite wa ikenai\Or those many happy days together\sono tame ni toki wo azamuku response:	For that is why we cheat time
context: Make the choice to deny even tomorrow\Hacking to the Gate\ikutsu mo no kagayakeru hibi nakama to no yakusoku\We must never destroy those promises to our comrades\nakatta koto ni wa shite wa ikenai\Or those many happy days together\sono tame ni toki wo azamuku\For that is why we cheat time response:	nokosareta shikake ni mou mayoi wa nai
context: Hacking to the Gate\ikutsu mo no kagayakeru hibi nakama to no yakusoku\We must never destroy those promises to our comrades\nakatta koto ni wa shite wa ikenai\Or those many happy days together\sono tame ni toki wo azamuku\For that is why we cheat time\nokosareta shikake ni mou mayoi wa nai response:	We have doubt in our devices no more
context: ikutsu mo no kagayakeru hibi nakama to no yakusoku\We must never destroy those promises to our comrades\nakatta koto ni wa shite wa ikenai\Or those many happy days together\sono tame ni toki wo azamuku\For that is why we cheat time\nokosareta shikake ni mou mayoi wa nai\We have doubt in our devices no more response:	kodoku no kansokusha
context: We must never destroy those promises to our comrades\nakatta koto ni wa shite wa ikenai\Or those many happy days together\sono tame ni toki wo azamuku\For that is why we cheat time\nokosareta shikake ni mou mayoi wa nai\We have doubt in our devices no more\kodoku no kansokusha response:	A lonely observer
context: nakatta koto ni wa shite wa ikenai\Or those many happy days together\sono tame ni toki wo azamuku\For that is why we cheat time\nokosareta shikake ni mou mayoi wa nai\We have doubt in our devices no more\kodoku no kansokusha\A lonely observer response:	Open the
context: Or those many happy days together\sono tame ni toki wo azamuku\For that is why we cheat time\nokosareta shikake ni mou mayoi wa nai\We have doubt in our devices no more\kodoku no kansokusha\A lonely observer\Open the response:	Steins Gate
context: sono tame ni toki wo azamuku\For that is why we cheat time\nokosareta shikake ni mou mayoi wa nai\We have doubt in our devices no more\kodoku no kansokusha\A lonely observer\Open the\Steins Gate response:	Open the
context: For that is why we cheat time\nokosareta shikake ni mou mayoi wa nai\We have doubt in our devices no more\kodoku no kansokusha\A lonely observer\Open the\Steins Gate\Open the response:	Open the
context: nokosareta shikake ni mou mayoi wa nai\We have doubt in our devices no more\kodoku no kansokusha\A lonely observer\Open the\Steins Gate\Open the\Open the response:	Open the
context: We have doubt in our devices no more\kodoku no kansokusha\A lonely observer\Open the\Steins Gate\Open the\Open the\Open the response:	Open the
context: kodoku no kansokusha\A lonely observer\Open the\Steins Gate\Open the\Open the\Open the\Open the response:	Open the
context: A lonely observer\Open the\Steins Gate\Open the\Open the\Open the\Open the\Open the response:	Open the
context: Open the\Steins Gate\Open the\Open the\Open the\Open the\Open the\Open the response:	Open the
context: Steins Gate\Open the\Open the\Open the\Open the\Open the\Open the\Open the response:	Steins Gate
context: Open the\Open the\Open the\Open the\Open the\Open the\Open the\Steins Gate response:	Steins Gate
context: Open the\Open the\Open the\Open the\Open the\Open the\Steins Gate\Steins Gate response:	Steins Gate
context: Open the\Open the\Open the\Open the\Open the\Steins Gate\Steins Gate\Steins Gate response:	Steins Gate
context: Open the\Open the\Open the\Open the\Steins Gate\Steins Gate\Steins Gate\Steins Gate response:	Steins Gate
context: Open the\Open the\Open the\Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate response:	Steins Gate
context: Open the\Open the\Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate response:	Steins Gate
context: Open the\Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate response:	Steins Gate
context: Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate response:	Steins Gate
context: Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate response:	Steins Gate?
context: Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate? response:	The architects of this plan were
context: Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate?\The architects of this plan were response:	my father and your future self.
context: Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate?\The architects of this plan were\my father and your future self. response:	None of it is anything more than a hypothesis.
context: Steins Gate\Steins Gate\Steins Gate\Steins Gate\Steins Gate?\The architects of this plan were\my father and your future self.\None of it is anything more than a hypothesis. response:	It's possible the theory is wrong,
context: Steins Gate\Steins Gate\Steins Gate\Steins Gate?\The architects of this plan were\my father and your future self.\None of it is anything more than a hypothesis.\It's possible the theory is wrong, response:	and there is no Steins Gate world line.
context: Steins Gate\Steins Gate\Steins Gate?\The architects of this plan were\my father and your future self.\None of it is anything more than a hypothesis.\It's possible the theory is wrong,\and there is no Steins Gate world line. response:	But I'm going anyway.
context: Steins Gate\Steins Gate?\The architects of this plan were\my father and your future self.\None of it is anything more than a hypothesis.\It's possible the theory is wrong,\and there is no Steins Gate world line.\But I'm going anyway. response:	I'll bet on the chance that a bright future's waiting for me.
context: Steins Gate?\The architects of this plan were\my father and your future self.\None of it is anything more than a hypothesis.\It's possible the theory is wrong,\and there is no Steins Gate world line.\But I'm going anyway.\I'll bet on the chance that a bright future's waiting for me. response:	If you're coming with me,
context: The architects of this plan were\my father and your future self.\None of it is anything more than a hypothesis.\It's possible the theory is wrong,\and there is no Steins Gate world line.\But I'm going anyway.\I'll bet on the chance that a bright future's waiting for me.\If you're coming with me, response:	then take my hand.
context: my father and your future self.\None of it is anything more than a hypothesis.\It's possible the theory is wrong,\and there is no Steins Gate world line.\But I'm going anyway.\I'll bet on the chance that a bright future's waiting for me.\If you're coming with me,\then take my hand. response:	Um,
context: None of it is anything more than a hypothesis.\It's possible the theory is wrong,\and there is no Steins Gate world line.\But I'm going anyway.\I'll bet on the chance that a bright future's waiting for me.\If you're coming with me,\then take my hand.\Um, response:	Mayushii didn't really understand any of that.
context: It's possible the theory is wrong,\and there is no Steins Gate world line.\But I'm going anyway.\I'll bet on the chance that a bright future's waiting for me.\If you're coming with me,\then take my hand.\Um,\Mayushii didn't really understand any of that. response:	But if this person,
context: and there is no Steins Gate world line.\But I'm going anyway.\I'll bet on the chance that a bright future's waiting for me.\If you're coming with me,\then take my hand.\Um,\Mayushii didn't really understand any of that.\But if this person, response:	this Kurisu-san, is important to you,
context: But I'm going anyway.\I'll bet on the chance that a bright future's waiting for me.\If you're coming with me,\then take my hand.\Um,\Mayushii didn't really understand any of that.\But if this person,\this Kurisu-san, is important to you, response:	shouldn't you try to help them?
context: I'll bet on the chance that a bright future's waiting for me.\If you're coming with me,\then take my hand.\Um,\Mayushii didn't really understand any of that.\But if this person,\this Kurisu-san, is important to you,\shouldn't you try to help them? response:	World War III sounds too much like one of your fantasies.
context: If you're coming with me,\then take my hand.\Um,\Mayushii didn't really understand any of that.\But if this person,\this Kurisu-san, is important to you,\shouldn't you try to help them?\World War III sounds too much like one of your fantasies. response:	No one else could handle it.
context: then take my hand.\Um,\Mayushii didn't really understand any of that.\But if this person,\this Kurisu-san, is important to you,\shouldn't you try to help them?\World War III sounds too much like one of your fantasies.\No one else could handle it. response:	I don't care about 5.7 billion people in the future.
context: Um,\Mayushii didn't really understand any of that.\But if this person,\this Kurisu-san, is important to you,\shouldn't you try to help them?\World War III sounds too much like one of your fantasies.\No one else could handle it.\I don't care about 5.7 billion people in the future. response:	But...
context: Mayushii didn't really understand any of that.\But if this person,\this Kurisu-san, is important to you,\shouldn't you try to help them?\World War III sounds too much like one of your fantasies.\No one else could handle it.\I don't care about 5.7 billion people in the future.\But... response:	Thank you.
context: But if this person,\this Kurisu-san, is important to you,\shouldn't you try to help them?\World War III sounds too much like one of your fantasies.\No one else could handle it.\I don't care about 5.7 billion people in the future.\But...\Thank you. response:	Board now.
context: this Kurisu-san, is important to you,\shouldn't you try to help them?\World War III sounds too much like one of your fantasies.\No one else could handle it.\I don't care about 5.7 billion people in the future.\But...\Thank you.\Board now. response:	Two people can get in it?
context: shouldn't you try to help them?\World War III sounds too much like one of your fantasies.\No one else could handle it.\I don't care about 5.7 billion people in the future.\But...\Thank you.\Board now.\Two people can get in it? response:	Of course!
context: World War III sounds too much like one of your fantasies.\No one else could handle it.\I don't care about 5.7 billion people in the future.\But...\Thank you.\Board now.\Two people can get in it?\Of course! response:	This is my father's masterpiece.
context: No one else could handle it.\I don't care about 5.7 billion people in the future.\But...\Thank you.\Board now.\Two people can get in it?\Of course!\This is my father's masterpiece. response:	Okarin!
context: I don't care about 5.7 billion people in the future.\But...\Thank you.\Board now.\Two people can get in it?\Of course!\This is my father's masterpiece.\Okarin! response:	Leave your phone.
context: But...\Thank you.\Board now.\Two people can get in it?\Of course!\This is my father's masterpiece.\Okarin!\Leave your phone. response:	It might get crossed with your phone in the past.
context: Thank you.\Board now.\Two people can get in it?\Of course!\This is my father's masterpiece.\Okarin!\Leave your phone.\It might get crossed with your phone in the past. response:	I'll return.
context: Board now.\Two people can get in it?\Of course!\This is my father's masterpiece.\Okarin!\Leave your phone.\It might get crossed with your phone in the past.\I'll return. response:	Good luck.
context: Two people can get in it?\Of course!\This is my father's masterpiece.\Okarin!\Leave your phone.\It might get crossed with your phone in the past.\I'll return.\Good luck. response:	This is a time machine.
context: Of course!\This is my father's masterpiece.\Okarin!\Leave your phone.\It might get crossed with your phone in the past.\I'll return.\Good luck.\This is a time machine. response:	Yeah,
context: This is my father's masterpiece.\Okarin!\Leave your phone.\It might get crossed with your phone in the past.\I'll return.\Good luck.\This is a time machine.\Yeah, response:	I stopped in 1975 and 2000.
context: Okarin!\Leave your phone.\It might get crossed with your phone in the past.\I'll return.\Good luck.\This is a time machine.\Yeah,\I stopped in 1975 and 2000. response:	It's working fine.
context: Leave your phone.\It might get crossed with your phone in the past.\I'll return.\Good luck.\This is a time machine.\Yeah,\I stopped in 1975 and 2000.\It's working fine. response:	But it's running out of fuel...
context: It might get crossed with your phone in the past.\I'll return.\Good luck.\This is a time machine.\Yeah,\I stopped in 1975 and 2000.\It's working fine.\But it's running out of fuel... response:	Wait, it can go from past to future?
context: I'll return.\Good luck.\This is a time machine.\Yeah,\I stopped in 1975 and 2000.\It's working fine.\But it's running out of fuel...\Wait, it can go from past to future? response:	Of course it can.
context: Good luck.\This is a time machine.\Yeah,\I stopped in 1975 and 2000.\It's working fine.\But it's running out of fuel...\Wait, it can go from past to future?\Of course it can. response:	It's a time machine.
context: This is a time machine.\Yeah,\I stopped in 1975 and 2000.\It's working fine.\But it's running out of fuel...\Wait, it can go from past to future?\Of course it can.\It's a time machine. response:	I see...
context: Yeah,\I stopped in 1975 and 2000.\It's working fine.\But it's running out of fuel...\Wait, it can go from past to future?\Of course it can.\It's a time machine.\I see... response:	Is that because we're in a different world line now?
context: I stopped in 1975 and 2000.\It's working fine.\But it's running out of fuel...\Wait, it can go from past to future?\Of course it can.\It's a time machine.\I see...\Is that because we're in a different world line now? response:	Sit down.
context: It's working fine.\But it's running out of fuel...\Wait, it can go from past to future?\Of course it can.\It's a time machine.\I see...\Is that because we're in a different world line now?\Sit down. response:	We'll head to just before noon, on July 28th.
context: But it's running out of fuel...\Wait, it can go from past to future?\Of course it can.\It's a time machine.\I see...\Is that because we're in a different world line now?\Sit down.\We'll head to just before noon, on July 28th. response:	We can't change location,
context: Wait, it can go from past to future?\Of course it can.\It's a time machine.\I see...\Is that because we're in a different world line now?\Sit down.\We'll head to just before noon, on July 28th.\We can't change location, response:	so if we arrive too early, it'll spread panic at the Radio Building,
context: Of course it can.\It's a time machine.\I see...\Is that because we're in a different world line now?\Sit down.\We'll head to just before noon, on July 28th.\We can't change location,\so if we arrive too early, it'll spread panic at the Radio Building, response:	possibly affecting Makise Kurisu's actions.
context: It's a time machine.\I see...\Is that because we're in a different world line now?\Sit down.\We'll head to just before noon, on July 28th.\We can't change location,\so if we arrive too early, it'll spread panic at the Radio Building,\possibly affecting Makise Kurisu's actions. response:	Your first time, the Gs are pretty tough.
context: I see...\Is that because we're in a different world line now?\Sit down.\We'll head to just before noon, on July 28th.\We can't change location,\so if we arrive too early, it'll spread panic at the Radio Building,\possibly affecting Makise Kurisu's actions.\Your first time, the Gs are pretty tough. response:	Get ready.
context: Is that because we're in a different world line now?\Sit down.\We'll head to just before noon, on July 28th.\We can't change location,\so if we arrive too early, it'll spread panic at the Radio Building,\possibly affecting Makise Kurisu's actions.\Your first time, the Gs are pretty tough.\Get ready. response:	Okarin...
context: Sit down.\We'll head to just before noon, on July 28th.\We can't change location,\so if we arrive too early, it'll spread panic at the Radio Building,\possibly affecting Makise Kurisu's actions.\Your first time, the Gs are pretty tough.\Get ready.\Okarin... response:	What is this?
context: We'll head to just before noon, on July 28th.\We can't change location,\so if we arrive too early, it'll spread panic at the Radio Building,\possibly affecting Makise Kurisu's actions.\Your first time, the Gs are pretty tough.\Get ready.\Okarin...\What is this? response:	These always show up.
context: We can't change location,\so if we arrive too early, it'll spread panic at the Radio Building,\possibly affecting Makise Kurisu's actions.\Your first time, the Gs are pretty tough.\Get ready.\Okarin...\What is this?\These always show up. response:	I guess they're like fragments of time.
context: so if we arrive too early, it'll spread panic at the Radio Building,\possibly affecting Makise Kurisu's actions.\Your first time, the Gs are pretty tough.\Get ready.\Okarin...\What is this?\These always show up.\I guess they're like fragments of time. response:	Pretty, huh?
context: possibly affecting Makise Kurisu's actions.\Your first time, the Gs are pretty tough.\Get ready.\Okarin...\What is this?\These always show up.\I guess they're like fragments of time.\Pretty, huh? response:	Let's go!
context: Your first time, the Gs are pretty tough.\Get ready.\Okarin...\What is this?\These always show up.\I guess they're like fragments of time.\Pretty, huh?\Let's go! response:	W-Wait.
context: Get ready.\Okarin...\What is this?\These always show up.\I guess they're like fragments of time.\Pretty, huh?\Let's go!\W-Wait. response:	I think I'm going to throw up...
context: Okarin...\What is this?\These always show up.\I guess they're like fragments of time.\Pretty, huh?\Let's go!\W-Wait.\I think I'm going to throw up... response:	You're a wimp...
context: What is this?\These always show up.\I guess they're like fragments of time.\Pretty, huh?\Let's go!\W-Wait.\I think I'm going to throw up...\You're a wimp... response:	Hurry!
context: These always show up.\I guess they're like fragments of time.\Pretty, huh?\Let's go!\W-Wait.\I think I'm going to throw up...\You're a wimp...\Hurry! response:	Don't let your other self encounter you.
context: I guess they're like fragments of time.\Pretty, huh?\Let's go!\W-Wait.\I think I'm going to throw up...\You're a wimp...\Hurry!\Don't let your other self encounter you. response:	It'll cause a serious time paradox.
context: Pretty, huh?\Let's go!\W-Wait.\I think I'm going to throw up...\You're a wimp...\Hurry!\Don't let your other self encounter you.\It'll cause a serious time paradox. response:	How long until her stabbing?
context: Let's go!\W-Wait.\I think I'm going to throw up...\You're a wimp...\Hurry!\Don't let your other self encounter you.\It'll cause a serious time paradox.\How long until her stabbing? response:	Twenty minutes or so, I guess.
context: W-Wait.\I think I'm going to throw up...\You're a wimp...\Hurry!\Don't let your other self encounter you.\It'll cause a serious time paradox.\How long until her stabbing?\Twenty minutes or so, I guess. response:	I'll ready the time machine.
context: I think I'm going to throw up...\You're a wimp...\Hurry!\Don't let your other self encounter you.\It'll cause a serious time paradox.\How long until her stabbing?\Twenty minutes or so, I guess.\I'll ready the time machine. response:	You protect her, Uncle.
context: You're a wimp...\Hurry!\Don't let your other self encounter you.\It'll cause a serious time paradox.\How long until her stabbing?\Twenty minutes or so, I guess.\I'll ready the time machine.\You protect her, Uncle. response:	Stop calling me that.
