context: The number one hero, All Might. response:	Age unknown, Quirk unidentified.
context: The real show starts after this.\Listen, young man.\You need to decide whether or not you will accept my power!\Wh-What is All Might saying...?\I'm talking about my power, young man.\The tabloids called it superhuman strength and a boost...\Because the Symbol of Peace, All Might, had to be a natural-born hero.\But young man, I will tell you the truth. response:	My Quirk was passed on to me like a sacred torch.
context: Listen, young man.\You need to decide whether or not you will accept my power!\Wh-What is All Might saying...?\I'm talking about my power, young man.\The tabloids called it superhuman strength and a boost...\Because the Symbol of Peace, All Might, had to be a natural-born hero.\But young man, I will tell you the truth.\My Quirk was passed on to me like a sacred torch. response:	It was passed on to you...?
context: You need to decide whether or not you will accept my power!\Wh-What is All Might saying...?\I'm talking about my power, young man.\The tabloids called it superhuman strength and a boost...\Because the Symbol of Peace, All Might, had to be a natural-born hero.\But young man, I will tell you the truth.\My Quirk was passed on to me like a sacred torch.\It was passed on to you...? response:	That's right.
context: Wh-What is All Might saying...?\I'm talking about my power, young man.\The tabloids called it superhuman strength and a boost...\Because the Symbol of Peace, All Might, had to be a natural-born hero.\But young man, I will tell you the truth.\My Quirk was passed on to me like a sacred torch.\It was passed on to you...?\That's right. response:	And next, it is your turn.
context: I'm talking about my power, young man.\The tabloids called it superhuman strength and a boost...\Because the Symbol of Peace, All Might, had to be a natural-born hero.\But young man, I will tell you the truth.\My Quirk was passed on to me like a sacred torch.\It was passed on to you...?\That's right.\And next, it is your turn. response:	W-Wait! Wait a minute!
context: The tabloids called it superhuman strength and a boost...\Because the Symbol of Peace, All Might, had to be a natural-born hero.\But young man, I will tell you the truth.\My Quirk was passed on to me like a sacred torch.\It was passed on to you...?\That's right.\And next, it is your turn.\W-Wait! Wait a minute! response:	It's true that your Quirk is something hotly debated
context: Because the Symbol of Peace, All Might, had to be a natural-born hero.\But young man, I will tell you the truth.\My Quirk was passed on to me like a sacred torch.\It was passed on to you...?\That's right.\And next, it is your turn.\W-Wait! Wait a minute!\It's true that your Quirk is something hotly debated response:	as one of the world's greatest mysteries.
context: But young man, I will tell you the truth.\My Quirk was passed on to me like a sacred torch.\It was passed on to you...?\That's right.\And next, it is your turn.\W-Wait! Wait a minute!\It's true that your Quirk is something hotly debated\as one of the world's greatest mysteries. response:	So much so that not a day goes by when I don't see someone talking about it online.
context: My Quirk was passed on to me like a sacred torch.\It was passed on to you...?\That's right.\And next, it is your turn.\W-Wait! Wait a minute!\It's true that your Quirk is something hotly debated\as one of the world's greatest mysteries.\So much so that not a day goes by when I don't see someone talking about it online. response:	But, well, I don't really understand what you mean by inheriting or passing on a Quirk...
context: It was passed on to you...?\That's right.\And next, it is your turn.\W-Wait! Wait a minute!\It's true that your Quirk is something hotly debated\as one of the world's greatest mysteries.\So much so that not a day goes by when I don't see someone talking about it online.\But, well, I don't really understand what you mean by inheriting or passing on a Quirk... response:	I've never heard of anything like that before,
context: That's right.\And next, it is your turn.\W-Wait! Wait a minute!\It's true that your Quirk is something hotly debated\as one of the world's greatest mysteries.\So much so that not a day goes by when I don't see someone talking about it online.\But, well, I don't really understand what you mean by inheriting or passing on a Quirk...\I've never heard of anything like that before, response:	and it's never even been conjectured in the debate.
context: And next, it is your turn.\W-Wait! Wait a minute!\It's true that your Quirk is something hotly debated\as one of the world's greatest mysteries.\So much so that not a day goes by when I don't see someone talking about it online.\But, well, I don't really understand what you mean by inheriting or passing on a Quirk...\I've never heard of anything like that before,\and it's never even been conjectured in the debate. response:	Why is that?
context: W-Wait! Wait a minute!\It's true that your Quirk is something hotly debated\as one of the world's greatest mysteries.\So much so that not a day goes by when I don't see someone talking about it online.\But, well, I don't really understand what you mean by inheriting or passing on a Quirk...\I've never heard of anything like that before,\and it's never even been conjectured in the debate.\Why is that? response:	Is it because since the dawn of history, a Quirk like that was never confirmed?
context: It's true that your Quirk is something hotly debated\as one of the world's greatest mysteries.\So much so that not a day goes by when I don't see someone talking about it online.\But, well, I don't really understand what you mean by inheriting or passing on a Quirk...\I've never heard of anything like that before,\and it's never even been conjectured in the debate.\Why is that?\Is it because since the dawn of history, a Quirk like that was never confirmed? response:	In the first place, it's...
context: as one of the world's greatest mysteries.\So much so that not a day goes by when I don't see someone talking about it online.\But, well, I don't really understand what you mean by inheriting or passing on a Quirk...\I've never heard of anything like that before,\and it's never even been conjectured in the debate.\Why is that?\Is it because since the dawn of history, a Quirk like that was never confirmed?\In the first place, it's... response:	You always start with denial, huh?
context: So much so that not a day goes by when I don't see someone talking about it online.\But, well, I don't really understand what you mean by inheriting or passing on a Quirk...\I've never heard of anything like that before,\and it's never even been conjectured in the debate.\Why is that?\Is it because since the dawn of history, a Quirk like that was never confirmed?\In the first place, it's...\You always start with denial, huh? response:	Nonsense!
context: But, well, I don't really understand what you mean by inheriting or passing on a Quirk...\I've never heard of anything like that before,\and it's never even been conjectured in the debate.\Why is that?\Is it because since the dawn of history, a Quirk like that was never confirmed?\In the first place, it's...\You always start with denial, huh?\Nonsense! response:	Wh...?!
context: I've never heard of anything like that before,\and it's never even been conjectured in the debate.\Why is that?\Is it because since the dawn of history, a Quirk like that was never confirmed?\In the first place, it's...\You always start with denial, huh?\Nonsense!\Wh...?! response:	I may hide a lot of things, but I don't lie!
context: and it's never even been conjectured in the debate.\Why is that?\Is it because since the dawn of history, a Quirk like that was never confirmed?\In the first place, it's...\You always start with denial, huh?\Nonsense!\Wh...?!\I may hide a lot of things, but I don't lie! response:	The power to transfer power...
context: Why is that?\Is it because since the dawn of history, a Quirk like that was never confirmed?\In the first place, it's...\You always start with denial, huh?\Nonsense!\Wh...?!\I may hide a lot of things, but I don't lie!\The power to transfer power... response:	That is the Quirk I inherited!
context: Is it because since the dawn of history, a Quirk like that was never confirmed?\In the first place, it's...\You always start with denial, huh?\Nonsense!\Wh...?!\I may hide a lot of things, but I don't lie!\The power to transfer power...\That is the Quirk I inherited! response:	I was crowned with One For All!
context: In the first place, it's...\You always start with denial, huh?\Nonsense!\Wh...?!\I may hide a lot of things, but I don't lie!\The power to transfer power...\That is the Quirk I inherited!\I was crowned with One For All! response:	One For All...
context: You always start with denial, huh?\Nonsense!\Wh...?!\I may hide a lot of things, but I don't lie!\The power to transfer power...\That is the Quirk I inherited!\I was crowned with One For All!\One For All... response:	That's right.
context: Nonsense!\Wh...?!\I may hide a lot of things, but I don't lie!\The power to transfer power...\That is the Quirk I inherited!\I was crowned with One For All!\One For All...\That's right. response:	One person cultivates the power...
context: Wh...?!\I may hide a lot of things, but I don't lie!\The power to transfer power...\That is the Quirk I inherited!\I was crowned with One For All!\One For All...\That's right.\One person cultivates the power... response:	It is the crystallization of power that spins together the voices of those who need help
context: I may hide a lot of things, but I don't lie!\The power to transfer power...\That is the Quirk I inherited!\I was crowned with One For All!\One For All...\That's right.\One person cultivates the power...\It is the crystallization of power that spins together the voices of those who need help response:	with a courageous heart.
context: The power to transfer power...\That is the Quirk I inherited!\I was crowned with One For All!\One For All...\That's right.\One person cultivates the power...\It is the crystallization of power that spins together the voices of those who need help\with a courageous heart. response:	Why are you... Why are you giving me something so great?
context: That is the Quirk I inherited!\I was crowned with One For All!\One For All...\That's right.\One person cultivates the power...\It is the crystallization of power that spins together the voices of those who need help\with a courageous heart.\Why are you... Why are you giving me something so great? response:	I have been looking for a successor.
context: I was crowned with One For All!\One For All...\That's right.\One person cultivates the power...\It is the crystallization of power that spins together the voices of those who need help\with a courageous heart.\Why are you... Why are you giving me something so great?\I have been looking for a successor. response:	And then, I thought it would be all right for you to inherit it.
context: One For All...\That's right.\One person cultivates the power...\It is the crystallization of power that spins together the voices of those who need help\with a courageous heart.\Why are you... Why are you giving me something so great?\I have been looking for a successor.\And then, I thought it would be all right for you to inherit it. response:	You are just a Quirkless hero fanboy...
context: That's right.\One person cultivates the power...\It is the crystallization of power that spins together the voices of those who need help\with a courageous heart.\Why are you... Why are you giving me something so great?\I have been looking for a successor.\And then, I thought it would be all right for you to inherit it.\You are just a Quirkless hero fanboy... response:	Never mind!
context: One person cultivates the power...\It is the crystallization of power that spins together the voices of those who need help\with a courageous heart.\Why are you... Why are you giving me something so great?\I have been looking for a successor.\And then, I thought it would be all right for you to inherit it.\You are just a Quirkless hero fanboy...\Never mind! response:	Well, it's up to you, though.
context: It is the crystallization of power that spins together the voices of those who need help\with a courageous heart.\Why are you... Why are you giving me something so great?\I have been looking for a successor.\And then, I thought it would be all right for you to inherit it.\You are just a Quirkless hero fanboy...\Never mind!\Well, it's up to you, though. response:	What'll you do?
context: with a courageous heart.\Why are you... Why are you giving me something so great?\I have been looking for a successor.\And then, I thought it would be all right for you to inherit it.\You are just a Quirkless hero fanboy...\Never mind!\Well, it's up to you, though.\What'll you do? response:	He said so much to encourage me, and even told me his secret...
context: Why are you... Why are you giving me something so great?\I have been looking for a successor.\And then, I thought it would be all right for you to inherit it.\You are just a Quirkless hero fanboy...\Never mind!\Well, it's up to you, though.\What'll you do?\He said so much to encourage me, and even told me his secret... response:	Is there...? Of course there isn't...
context: I have been looking for a successor.\And then, I thought it would be all right for you to inherit it.\You are just a Quirkless hero fanboy...\Never mind!\Well, it's up to you, though.\What'll you do?\He said so much to encourage me, and even told me his secret...\Is there...? Of course there isn't... response:	There's no reason for me to turn him down!
context: And then, I thought it would be all right for you to inherit it.\You are just a Quirkless hero fanboy...\Never mind!\Well, it's up to you, though.\What'll you do?\He said so much to encourage me, and even told me his secret...\Is there...? Of course there isn't...\There's no reason for me to turn him down! response:	I'll do it!
context: You are just a Quirkless hero fanboy...\Never mind!\Well, it's up to you, though.\What'll you do?\He said so much to encourage me, and even told me his secret...\Is there...? Of course there isn't...\There's no reason for me to turn him down!\I'll do it! response:	An immediate reply.
context: Never mind!\Well, it's up to you, though.\What'll you do?\He said so much to encourage me, and even told me his secret...\Is there...? Of course there isn't...\There's no reason for me to turn him down!\I'll do it!\An immediate reply. response:	That's what I thought you'd say!
context: Well, it's up to you, though.\What'll you do?\He said so much to encourage me, and even told me his secret...\Is there...? Of course there isn't...\There's no reason for me to turn him down!\I'll do it!\An immediate reply.\That's what I thought you'd say! response:	But it was no easy task to receive his power.
context: What'll you do?\He said so much to encourage me, and even told me his secret...\Is there...? Of course there isn't...\There's no reason for me to turn him down!\I'll do it!\An immediate reply.\That's what I thought you'd say!\But it was no easy task to receive his power. response:	Hey, hey, hey!
context: He said so much to encourage me, and even told me his secret...\Is there...? Of course there isn't...\There's no reason for me to turn him down!\I'll do it!\An immediate reply.\That's what I thought you'd say!\But it was no easy task to receive his power.\Hey, hey, hey! response:	This is such a comfy fridge to sit on!
context: Is there...? Of course there isn't...\There's no reason for me to turn him down!\I'll do it!\An immediate reply.\That's what I thought you'd say!\But it was no easy task to receive his power.\Hey, hey, hey!\This is such a comfy fridge to sit on! response:	If you could move it even a little, it would be a little easier.
context: There's no reason for me to turn him down!\I'll do it!\An immediate reply.\That's what I thought you'd say!\But it was no easy task to receive his power.\Hey, hey, hey!\This is such a comfy fridge to sit on!\If you could move it even a little, it would be a little easier. response:	Well yeah, I mean, you weigh 274 kilograms, right?
context: I'll do it!\An immediate reply.\That's what I thought you'd say!\But it was no easy task to receive his power.\Hey, hey, hey!\This is such a comfy fridge to sit on!\If you could move it even a little, it would be a little easier.\Well yeah, I mean, you weigh 274 kilograms, right? response:	No, I lost weight, so I'm only 255 kilograms now.
context: An immediate reply.\That's what I thought you'd say!\But it was no easy task to receive his power.\Hey, hey, hey!\This is such a comfy fridge to sit on!\If you could move it even a little, it would be a little easier.\Well yeah, I mean, you weigh 274 kilograms, right?\No, I lost weight, so I'm only 255 kilograms now. response:	In this form.
context: That's what I thought you'd say!\But it was no easy task to receive his power.\Hey, hey, hey!\This is such a comfy fridge to sit on!\If you could move it even a little, it would be a little easier.\Well yeah, I mean, you weigh 274 kilograms, right?\No, I lost weight, so I'm only 255 kilograms now.\In this form. response:	Anyway, why am I dragging trash at the beach park?
context: But it was no easy task to receive his power.\Hey, hey, hey!\This is such a comfy fridge to sit on!\If you could move it even a little, it would be a little easier.\Well yeah, I mean, you weigh 274 kilograms, right?\No, I lost weight, so I'm only 255 kilograms now.\In this form.\Anyway, why am I dragging trash at the beach park? response:	It's'cause, you know, you're not a proper vessel.
context: Hey, hey, hey!\This is such a comfy fridge to sit on!\If you could move it even a little, it would be a little easier.\Well yeah, I mean, you weigh 274 kilograms, right?\No, I lost weight, so I'm only 255 kilograms now.\In this form.\Anyway, why am I dragging trash at the beach park?\It's'cause, you know, you're not a proper vessel. response:	What you're saying now is the opposite of what you said before!
context: This is such a comfy fridge to sit on!\If you could move it even a little, it would be a little easier.\Well yeah, I mean, you weigh 274 kilograms, right?\No, I lost weight, so I'm only 255 kilograms now.\In this form.\Anyway, why am I dragging trash at the beach park?\It's'cause, you know, you're not a proper vessel.\What you're saying now is the opposite of what you said before! response:	I'm talking about your body.
context: If you could move it even a little, it would be a little easier.\Well yeah, I mean, you weigh 274 kilograms, right?\No, I lost weight, so I'm only 255 kilograms now.\In this form.\Anyway, why am I dragging trash at the beach park?\It's'cause, you know, you're not a proper vessel.\What you're saying now is the opposite of what you said before!\I'm talking about your body. response:	My Quirk, One For All, is the fullest physical ability of many people gathered into one.
context: Well yeah, I mean, you weigh 274 kilograms, right?\No, I lost weight, so I'm only 255 kilograms now.\In this form.\Anyway, why am I dragging trash at the beach park?\It's'cause, you know, you're not a proper vessel.\What you're saying now is the opposite of what you said before!\I'm talking about your body.\My Quirk, One For All, is the fullest physical ability of many people gathered into one. response:	An unprepared body cannot inherit it fully.
context: No, I lost weight, so I'm only 255 kilograms now.\In this form.\Anyway, why am I dragging trash at the beach park?\It's'cause, you know, you're not a proper vessel.\What you're saying now is the opposite of what you said before!\I'm talking about your body.\My Quirk, One For All, is the fullest physical ability of many people gathered into one.\An unprepared body cannot inherit it fully. response:	The limbs will come off and the body will explode.
context: In this form.\Anyway, why am I dragging trash at the beach park?\It's'cause, you know, you're not a proper vessel.\What you're saying now is the opposite of what you said before!\I'm talking about your body.\My Quirk, One For All, is the fullest physical ability of many people gathered into one.\An unprepared body cannot inherit it fully.\The limbs will come off and the body will explode. response:	The limbs will what?
context: Anyway, why am I dragging trash at the beach park?\It's'cause, you know, you're not a proper vessel.\What you're saying now is the opposite of what you said before!\I'm talking about your body.\My Quirk, One For All, is the fullest physical ability of many people gathered into one.\An unprepared body cannot inherit it fully.\The limbs will come off and the body will explode.\The limbs will what? response:	Then...
context: It's'cause, you know, you're not a proper vessel.\What you're saying now is the opposite of what you said before!\I'm talking about your body.\My Quirk, One For All, is the fullest physical ability of many people gathered into one.\An unprepared body cannot inherit it fully.\The limbs will come off and the body will explode.\The limbs will what?\Then... response:	I'm picking up trash in order to train my body...?
context: What you're saying now is the opposite of what you said before!\I'm talking about your body.\My Quirk, One For All, is the fullest physical ability of many people gathered into one.\An unprepared body cannot inherit it fully.\The limbs will come off and the body will explode.\The limbs will what?\Then...\I'm picking up trash in order to train my body...? response:	Yes!
context: I'm talking about your body.\My Quirk, One For All, is the fullest physical ability of many people gathered into one.\An unprepared body cannot inherit it fully.\The limbs will come off and the body will explode.\The limbs will what?\Then...\I'm picking up trash in order to train my body...?\Yes! response:	But that's not all.
context: My Quirk, One For All, is the fullest physical ability of many people gathered into one.\An unprepared body cannot inherit it fully.\The limbs will come off and the body will explode.\The limbs will what?\Then...\I'm picking up trash in order to train my body...?\Yes!\But that's not all. response:	After some research on the internet yesterday,
context: An unprepared body cannot inherit it fully.\The limbs will come off and the body will explode.\The limbs will what?\Then...\I'm picking up trash in order to train my body...?\Yes!\But that's not all.\After some research on the internet yesterday, response:	I discovered that part of this beach park's coast has been like this for many years.
context: The limbs will come off and the body will explode.\The limbs will what?\Then...\I'm picking up trash in order to train my body...?\Yes!\But that's not all.\After some research on the internet yesterday,\I discovered that part of this beach park's coast has been like this for many years. response:	Yeah...
context: The limbs will what?\Then...\I'm picking up trash in order to train my body...?\Yes!\But that's not all.\After some research on the internet yesterday,\I discovered that part of this beach park's coast has been like this for many years.\Yeah... response:	For some reason, because of the currents, objects drift here a lot,
context: Then...\I'm picking up trash in order to train my body...?\Yes!\But that's not all.\After some research on the internet yesterday,\I discovered that part of this beach park's coast has been like this for many years.\Yeah...\For some reason, because of the currents, objects drift here a lot, response:	and people take advantage of that to hide their illegal dumping...
context: I'm picking up trash in order to train my body...?\Yes!\But that's not all.\After some research on the internet yesterday,\I discovered that part of this beach park's coast has been like this for many years.\Yeah...\For some reason, because of the currents, objects drift here a lot,\and people take advantage of that to hide their illegal dumping... response:	The local residents don't come near here, either.
context: Yes!\But that's not all.\After some research on the internet yesterday,\I discovered that part of this beach park's coast has been like this for many years.\Yeah...\For some reason, because of the currents, objects drift here a lot,\and people take advantage of that to hide their illegal dumping...\The local residents don't come near here, either. response:	Heroes these days are all after the showy stuff.
context: But that's not all.\After some research on the internet yesterday,\I discovered that part of this beach park's coast has been like this for many years.\Yeah...\For some reason, because of the currents, objects drift here a lot,\and people take advantage of that to hide their illegal dumping...\The local residents don't come near here, either.\Heroes these days are all after the showy stuff. response:	Originally, being a hero meant doing volunteer service.
context: After some research on the internet yesterday,\I discovered that part of this beach park's coast has been like this for many years.\Yeah...\For some reason, because of the currents, objects drift here a lot,\and people take advantage of that to hide their illegal dumping...\The local residents don't come near here, either.\Heroes these days are all after the showy stuff.\Originally, being a hero meant doing volunteer service. response:	Even if people called that boring or whatever.
context: I discovered that part of this beach park's coast has been like this for many years.\Yeah...\For some reason, because of the currents, objects drift here a lot,\and people take advantage of that to hide their illegal dumping...\The local residents don't come near here, either.\Heroes these days are all after the showy stuff.\Originally, being a hero meant doing volunteer service.\Even if people called that boring or whatever. response:	You can't waver from those roots.
context: Yeah...\For some reason, because of the currents, objects drift here a lot,\and people take advantage of that to hide their illegal dumping...\The local residents don't come near here, either.\Heroes these days are all after the showy stuff.\Originally, being a hero meant doing volunteer service.\Even if people called that boring or whatever.\You can't waver from those roots. response:	You will restore the horizon for this whole section!
context: For some reason, because of the currents, objects drift here a lot,\and people take advantage of that to hide their illegal dumping...\The local residents don't come near here, either.\Heroes these days are all after the showy stuff.\Originally, being a hero meant doing volunteer service.\Even if people called that boring or whatever.\You can't waver from those roots.\You will restore the horizon for this whole section! response:	That is your first step toward becoming a hero!
context: and people take advantage of that to hide their illegal dumping...\The local residents don't come near here, either.\Heroes these days are all after the showy stuff.\Originally, being a hero meant doing volunteer service.\Even if people called that boring or whatever.\You can't waver from those roots.\You will restore the horizon for this whole section!\That is your first step toward becoming a hero! response:	My first step...?
context: The local residents don't come near here, either.\Heroes these days are all after the showy stuff.\Originally, being a hero meant doing volunteer service.\Even if people called that boring or whatever.\You can't waver from those roots.\You will restore the horizon for this whole section!\That is your first step toward becoming a hero!\My first step...? response:	Clean... this...
context: Heroes these days are all after the showy stuff.\Originally, being a hero meant doing volunteer service.\Even if people called that boring or whatever.\You can't waver from those roots.\You will restore the horizon for this whole section!\That is your first step toward becoming a hero!\My first step...?\Clean... this... response:	All of it...?!
context: Originally, being a hero meant doing volunteer service.\Even if people called that boring or whatever.\You can't waver from those roots.\You will restore the horizon for this whole section!\That is your first step toward becoming a hero!\My first step...?\Clean... this...\All of it...?! response:	Young Midoriya, you want to go to U.A., right?
context: Even if people called that boring or whatever.\You can't waver from those roots.\You will restore the horizon for this whole section!\That is your first step toward becoming a hero!\My first step...?\Clean... this...\All of it...?!\Young Midoriya, you want to go to U.A., right? response:	Yes... Yes!
context: You can't waver from those roots.\You will restore the horizon for this whole section!\That is your first step toward becoming a hero!\My first step...?\Clean... this...\All of it...?!\Young Midoriya, you want to go to U.A., right?\Yes... Yes! response:	Because it's where you went!
context: You will restore the horizon for this whole section!\That is your first step toward becoming a hero!\My first step...?\Clean... this...\All of it...?!\Young Midoriya, you want to go to U.A., right?\Yes... Yes!\Because it's where you went! response:	So if I'm going to go... I thought... it would definitely have to be U.A...
context: That is your first step toward becoming a hero!\My first step...?\Clean... this...\All of it...?!\Young Midoriya, you want to go to U.A., right?\Yes... Yes!\Because it's where you went!\So if I'm going to go... I thought... it would definitely have to be U.A... response:	You're a go-getter fanboy!
context: My first step...?\Clean... this...\All of it...?!\Young Midoriya, you want to go to U.A., right?\Yes... Yes!\Because it's where you went!\So if I'm going to go... I thought... it would definitely have to be U.A...\You're a go-getter fanboy! response:	But I've told you this before.
context: Clean... this...\All of it...?!\Young Midoriya, you want to go to U.A., right?\Yes... Yes!\Because it's where you went!\So if I'm going to go... I thought... it would definitely have to be U.A...\You're a go-getter fanboy!\But I've told you this before. response:	It's not something you can do without a Quirk.
context: All of it...?!\Young Midoriya, you want to go to U.A., right?\Yes... Yes!\Because it's where you went!\So if I'm going to go... I thought... it would definitely have to be U.A...\You're a go-getter fanboy!\But I've told you this before.\It's not something you can do without a Quirk. response:	It's sad, but that is what the reality is.
context: Young Midoriya, you want to go to U.A., right?\Yes... Yes!\Because it's where you went!\So if I'm going to go... I thought... it would definitely have to be U.A...\You're a go-getter fanboy!\But I've told you this before.\It's not something you can do without a Quirk.\It's sad, but that is what the reality is. response:	And U.A.'s is the hardest hero course to get into.
context: Yes... Yes!\Because it's where you went!\So if I'm going to go... I thought... it would definitely have to be U.A...\You're a go-getter fanboy!\But I've told you this before.\It's not something you can do without a Quirk.\It's sad, but that is what the reality is.\And U.A.'s is the hardest hero course to get into. response:	In other words...
context: Because it's where you went!\So if I'm going to go... I thought... it would definitely have to be U.A...\You're a go-getter fanboy!\But I've told you this before.\It's not something you can do without a Quirk.\It's sad, but that is what the reality is.\And U.A.'s is the hardest hero course to get into.\In other words... response:	In the ten months until U.A.'s entrance exam, I have to complete my vessel!
context: So if I'm going to go... I thought... it would definitely have to be U.A...\You're a go-getter fanboy!\But I've told you this before.\It's not something you can do without a Quirk.\It's sad, but that is what the reality is.\And U.A.'s is the hardest hero course to get into.\In other words...\In the ten months until U.A.'s entrance exam, I have to complete my vessel! response:	That's where this comes in!
context: You're a go-getter fanboy!\But I've told you this before.\It's not something you can do without a Quirk.\It's sad, but that is what the reality is.\And U.A.'s is the hardest hero course to get into.\In other words...\In the ten months until U.A.'s entrance exam, I have to complete my vessel!\That's where this comes in! response:	Aim to Pass: American Dream Plan!
