context: Maison de Ayakashi... response:	Also known as Ayakashi Kan.
context: It's none of your business.\And you're having curry udon for breakfast?\Not that I care.\Just don't splatter any soup on me.\Don't worry. I'm a pretty careful eater.\Whoops.\What did I just tell you?\Sorry. response:	So, how's it going?
context: And you're having curry udon for breakfast?\Not that I care.\Just don't splatter any soup on me.\Don't worry. I'm a pretty careful eater.\Whoops.\What did I just tell you?\Sorry.\So, how's it going? response:	How's what going?
context: Not that I care.\Just don't splatter any soup on me.\Don't worry. I'm a pretty careful eater.\Whoops.\What did I just tell you?\Sorry.\So, how's it going?\How's what going? response:	Your Secret Service guy.
context: Just don't splatter any soup on me.\Don't worry. I'm a pretty careful eater.\Whoops.\What did I just tell you?\Sorry.\So, how's it going?\How's what going?\Your Secret Service guy. response:	He's supposed to go shopping with me later.
context: Don't worry. I'm a pretty careful eater.\Whoops.\What did I just tell you?\Sorry.\So, how's it going?\How's what going?\Your Secret Service guy.\He's supposed to go shopping with me later. response:	Since I just moved, I still need a lot of stuff.
context: Whoops.\What did I just tell you?\Sorry.\So, how's it going?\How's what going?\Your Secret Service guy.\He's supposed to go shopping with me later.\Since I just moved, I still need a lot of stuff. response:	Oh, really?
context: What did I just tell you?\Sorry.\So, how's it going?\How's what going?\Your Secret Service guy.\He's supposed to go shopping with me later.\Since I just moved, I still need a lot of stuff.\Oh, really? response:	You seem to be getting along better than I expected.
context: Sorry.\So, how's it going?\How's what going?\Your Secret Service guy.\He's supposed to go shopping with me later.\Since I just moved, I still need a lot of stuff.\Oh, really?\You seem to be getting along better than I expected. response:	I thought you'd fire him immediately.
context: So, how's it going?\How's what going?\Your Secret Service guy.\He's supposed to go shopping with me later.\Since I just moved, I still need a lot of stuff.\Oh, really?\You seem to be getting along better than I expected.\I thought you'd fire him immediately. response:	Well, I don't know how long it will last.
context: How's what going?\Your Secret Service guy.\He's supposed to go shopping with me later.\Since I just moved, I still need a lot of stuff.\Oh, really?\You seem to be getting along better than I expected.\I thought you'd fire him immediately.\Well, I don't know how long it will last. response:	You finally made a friend...
context: Your Secret Service guy.\He's supposed to go shopping with me later.\Since I just moved, I still need a lot of stuff.\Oh, really?\You seem to be getting along better than I expected.\I thought you'd fire him immediately.\Well, I don't know how long it will last.\You finally made a friend... response:	Mama's so happy, my little Ririchiyo!
context: He's supposed to go shopping with me later.\Since I just moved, I still need a lot of stuff.\Oh, really?\You seem to be getting along better than I expected.\I thought you'd fire him immediately.\Well, I don't know how long it will last.\You finally made a friend...\Mama's so happy, my little Ririchiyo! response:	I-It isn't like that!
context: Since I just moved, I still need a lot of stuff.\Oh, really?\You seem to be getting along better than I expected.\I thought you'd fire him immediately.\Well, I don't know how long it will last.\You finally made a friend...\Mama's so happy, my little Ririchiyo!\I-It isn't like that! response:	Well, if anything goes wrong, there's always your specialty,
context: Oh, really?\You seem to be getting along better than I expected.\I thought you'd fire him immediately.\Well, I don't know how long it will last.\You finally made a friend...\Mama's so happy, my little Ririchiyo!\I-It isn't like that!\Well, if anything goes wrong, there's always your specialty, response:	What you can't say out loud, write down.
context: You seem to be getting along better than I expected.\I thought you'd fire him immediately.\Well, I don't know how long it will last.\You finally made a friend...\Mama's so happy, my little Ririchiyo!\I-It isn't like that!\Well, if anything goes wrong, there's always your specialty,\What you can't say out loud, write down. response:	You're surprisingly honest on paper...
context: I thought you'd fire him immediately.\Well, I don't know how long it will last.\You finally made a friend...\Mama's so happy, my little Ririchiyo!\I-It isn't like that!\Well, if anything goes wrong, there's always your specialty,\What you can't say out loud, write down.\You're surprisingly honest on paper... response:	That letter hit me right in the heart.
context: Well, I don't know how long it will last.\You finally made a friend...\Mama's so happy, my little Ririchiyo!\I-It isn't like that!\Well, if anything goes wrong, there's always your specialty,\What you can't say out loud, write down.\You're surprisingly honest on paper...\That letter hit me right in the heart. response:	Forget about that!
context: You finally made a friend...\Mama's so happy, my little Ririchiyo!\I-It isn't like that!\Well, if anything goes wrong, there's always your specialty,\What you can't say out loud, write down.\You're surprisingly honest on paper...\That letter hit me right in the heart.\Forget about that! response:	I already told you.
context: Mama's so happy, my little Ririchiyo!\I-It isn't like that!\Well, if anything goes wrong, there's always your specialty,\What you can't say out loud, write down.\You're surprisingly honest on paper...\That letter hit me right in the heart.\Forget about that!\I already told you. response:	I was just practicing my handwriting.
context: I-It isn't like that!\Well, if anything goes wrong, there's always your specialty,\What you can't say out loud, write down.\You're surprisingly honest on paper...\That letter hit me right in the heart.\Forget about that!\I already told you.\I was just practicing my handwriting. response:	Yeah, yeah...
context: Well, if anything goes wrong, there's always your specialty,\What you can't say out loud, write down.\You're surprisingly honest on paper...\That letter hit me right in the heart.\Forget about that!\I already told you.\I was just practicing my handwriting.\Yeah, yeah... response:	Also,
context: What you can't say out loud, write down.\You're surprisingly honest on paper...\That letter hit me right in the heart.\Forget about that!\I already told you.\I was just practicing my handwriting.\Yeah, yeah...\Also, response:	this lifts curry stains.
context: You're surprisingly honest on paper...\That letter hit me right in the heart.\Forget about that!\I already told you.\I was just practicing my handwriting.\Yeah, yeah...\Also,\this lifts curry stains. response:	You're always so responsible.
context: That letter hit me right in the heart.\Forget about that!\I already told you.\I was just practicing my handwriting.\Yeah, yeah...\Also,\this lifts curry stains.\You're always so responsible. response:	Good morning,
context: Forget about that!\I already told you.\I was just practicing my handwriting.\Yeah, yeah...\Also,\this lifts curry stains.\You're always so responsible.\Good morning, response:	Miss Ririchiyo.
context: I already told you.\I was just practicing my handwriting.\Yeah, yeah...\Also,\this lifts curry stains.\You're always so responsible.\Good morning,\Miss Ririchiyo. response:	I'm looking forward to another day with you.
context: I was just practicing my handwriting.\Yeah, yeah...\Also,\this lifts curry stains.\You're always so responsible.\Good morning,\Miss Ririchiyo.\I'm looking forward to another day with you. response:	Your clothes suit you, as always.
context: Yeah, yeah...\Also,\this lifts curry stains.\You're always so responsible.\Good morning,\Miss Ririchiyo.\I'm looking forward to another day with you.\Your clothes suit you, as always. response:	You have a very distinct face,
context: Also,\this lifts curry stains.\You're always so responsible.\Good morning,\Miss Ririchiyo.\I'm looking forward to another day with you.\Your clothes suit you, as always.\You have a very distinct face, response:	which works perfectly with any outfitaE”
context: this lifts curry stains.\You're always so responsible.\Good morning,\Miss Ririchiyo.\I'm looking forward to another day with you.\Your clothes suit you, as always.\You have a very distinct face,\which works perfectly with any outfitaE” response:	You may stop flattering me now.
context: You're always so responsible.\Good morning,\Miss Ririchiyo.\I'm looking forward to another day with you.\Your clothes suit you, as always.\You have a very distinct face,\which works perfectly with any outfitaE”\You may stop flattering me now. response:	Good morning.
context: Good morning,\Miss Ririchiyo.\I'm looking forward to another day with you.\Your clothes suit you, as always.\You have a very distinct face,\which works perfectly with any outfitaE”\You may stop flattering me now.\Good morning. response:	How is...
context: Miss Ririchiyo.\I'm looking forward to another day with you.\Your clothes suit you, as always.\You have a very distinct face,\which works perfectly with any outfitaE”\You may stop flattering me now.\Good morning.\How is... response:	your right hand?
context: I'm looking forward to another day with you.\Your clothes suit you, as always.\You have a very distinct face,\which works perfectly with any outfitaE”\You may stop flattering me now.\Good morning.\How is...\your right hand? response:	It is fine.
context: Your clothes suit you, as always.\You have a very distinct face,\which works perfectly with any outfitaE”\You may stop flattering me now.\Good morning.\How is...\your right hand?\It is fine. response:	As you know, our bodies
context: You have a very distinct face,\which works perfectly with any outfitaE”\You may stop flattering me now.\Good morning.\How is...\your right hand?\It is fine.\As you know, our bodies response:	are more durable than an average human body.
context: which works perfectly with any outfitaE”\You may stop flattering me now.\Good morning.\How is...\your right hand?\It is fine.\As you know, our bodies\are more durable than an average human body. response:	Miss Ririchiyo,
context: You may stop flattering me now.\Good morning.\How is...\your right hand?\It is fine.\As you know, our bodies\are more durable than an average human body.\Miss Ririchiyo, response:	will you be breakfasting in the lounge?
context: Good morning.\How is...\your right hand?\It is fine.\As you know, our bodies\are more durable than an average human body.\Miss Ririchiyo,\will you be breakfasting in the lounge? response:	I already ate.
context: How is...\your right hand?\It is fine.\As you know, our bodies\are more durable than an average human body.\Miss Ririchiyo,\will you be breakfasting in the lounge?\I already ate. response:	That means you ordered it yourself,
context: your right hand?\It is fine.\As you know, our bodies\are more durable than an average human body.\Miss Ririchiyo,\will you be breakfasting in the lounge?\I already ate.\That means you ordered it yourself, response:	carried it to the table,
context: It is fine.\As you know, our bodies\are more durable than an average human body.\Miss Ririchiyo,\will you be breakfasting in the lounge?\I already ate.\That means you ordered it yourself,\carried it to the table, response:	and even poured your own water.
context: As you know, our bodies\are more durable than an average human body.\Miss Ririchiyo,\will you be breakfasting in the lounge?\I already ate.\That means you ordered it yourself,\carried it to the table,\and even poured your own water. response:	Does that mean you have no need of me?
context: are more durable than an average human body.\Miss Ririchiyo,\will you be breakfasting in the lounge?\I already ate.\That means you ordered it yourself,\carried it to the table,\and even poured your own water.\Does that mean you have no need of me? response:	How much do you want to do?
context: Miss Ririchiyo,\will you be breakfasting in the lounge?\I already ate.\That means you ordered it yourself,\carried it to the table,\and even poured your own water.\Does that mean you have no need of me?\How much do you want to do? response:	Everything...
context: will you be breakfasting in the lounge?\I already ate.\That means you ordered it yourself,\carried it to the table,\and even poured your own water.\Does that mean you have no need of me?\How much do you want to do?\Everything... response:	From the moment you wake up.
context: I already ate.\That means you ordered it yourself,\carried it to the table,\and even poured your own water.\Does that mean you have no need of me?\How much do you want to do?\Everything...\From the moment you wake up. response:	You know...
context: That means you ordered it yourself,\carried it to the table,\and even poured your own water.\Does that mean you have no need of me?\How much do you want to do?\Everything...\From the moment you wake up.\You know... response:	your irritation level is increasing exponentially!
context: carried it to the table,\and even poured your own water.\Does that mean you have no need of me?\How much do you want to do?\Everything...\From the moment you wake up.\You know...\your irritation level is increasing exponentially! response:	What do you mean?
context: and even poured your own water.\Does that mean you have no need of me?\How much do you want to do?\Everything...\From the moment you wake up.\You know...\your irritation level is increasing exponentially!\What do you mean? response:	All I desire
context: Does that mean you have no need of me?\How much do you want to do?\Everything...\From the moment you wake up.\You know...\your irritation level is increasing exponentially!\What do you mean?\All I desire response:	is to take care of you.
context: How much do you want to do?\Everything...\From the moment you wake up.\You know...\your irritation level is increasing exponentially!\What do you mean?\All I desire\is to take care of you. response:	And you said you would allow it.
context: Everything...\From the moment you wake up.\You know...\your irritation level is increasing exponentially!\What do you mean?\All I desire\is to take care of you.\And you said you would allow it. response:	I should have kept my mouth shut...
context: From the moment you wake up.\You know...\your irritation level is increasing exponentially!\What do you mean?\All I desire\is to take care of you.\And you said you would allow it.\I should have kept my mouth shut... response:	Oh, good. You're still here.
context: You know...\your irritation level is increasing exponentially!\What do you mean?\All I desire\is to take care of you.\And you said you would allow it.\I should have kept my mouth shut...\Oh, good. You're still here. response:	What do you want, Sorinozuka?
context: your irritation level is increasing exponentially!\What do you mean?\All I desire\is to take care of you.\And you said you would allow it.\I should have kept my mouth shut...\Oh, good. You're still here.\What do you want, Sorinozuka? response:	Did you need something?
context: What do you mean?\All I desire\is to take care of you.\And you said you would allow it.\I should have kept my mouth shut...\Oh, good. You're still here.\What do you want, Sorinozuka?\Did you need something? response:	I'm going shopping, too.
context: All I desire\is to take care of you.\And you said you would allow it.\I should have kept my mouth shut...\Oh, good. You're still here.\What do you want, Sorinozuka?\Did you need something?\I'm going shopping, too. response:	You're driving, right?
context: is to take care of you.\And you said you would allow it.\I should have kept my mouth shut...\Oh, good. You're still here.\What do you want, Sorinozuka?\Did you need something?\I'm going shopping, too.\You're driving, right? response:	Can I get a lift?
context: And you said you would allow it.\I should have kept my mouth shut...\Oh, good. You're still here.\What do you want, Sorinozuka?\Did you need something?\I'm going shopping, too.\You're driving, right?\Can I get a lift? response:	The American cocker spaniel...
context: I should have kept my mouth shut...\Oh, good. You're still here.\What do you want, Sorinozuka?\Did you need something?\I'm going shopping, too.\You're driving, right?\Can I get a lift?\The American cocker spaniel... response:	It's a docile dog that loves being babied and following its master around.
context: Oh, good. You're still here.\What do you want, Sorinozuka?\Did you need something?\I'm going shopping, too.\You're driving, right?\Can I get a lift?\The American cocker spaniel...\It's a docile dog that loves being babied and following its master around. response:	They are also intelligent, and are quite capable
context: What do you want, Sorinozuka?\Did you need something?\I'm going shopping, too.\You're driving, right?\Can I get a lift?\The American cocker spaniel...\It's a docile dog that loves being babied and following its master around.\They are also intelligent, and are quite capable response:	of getting their masters to do exactly what they want.
context: Did you need something?\I'm going shopping, too.\You're driving, right?\Can I get a lift?\The American cocker spaniel...\It's a docile dog that loves being babied and following its master around.\They are also intelligent, and are quite capable\of getting their masters to do exactly what they want. response:	That's just like him.
context: I'm going shopping, too.\You're driving, right?\Can I get a lift?\The American cocker spaniel...\It's a docile dog that loves being babied and following its master around.\They are also intelligent, and are quite capable\of getting their masters to do exactly what they want.\That's just like him. response:	May I bring you another drink?
context: You're driving, right?\Can I get a lift?\The American cocker spaniel...\It's a docile dog that loves being babied and following its master around.\They are also intelligent, and are quite capable\of getting their masters to do exactly what they want.\That's just like him.\May I bring you another drink? response:	No, I'm fine.
context: Can I get a lift?\The American cocker spaniel...\It's a docile dog that loves being babied and following its master around.\They are also intelligent, and are quite capable\of getting their masters to do exactly what they want.\That's just like him.\May I bring you another drink?\No, I'm fine. response:	It's rather unexpected to see your lazy self go shopping.
context: The American cocker spaniel...\It's a docile dog that loves being babied and following its master around.\They are also intelligent, and are quite capable\of getting their masters to do exactly what they want.\That's just like him.\May I bring you another drink?\No, I'm fine.\It's rather unexpected to see your lazy self go shopping. response:	I was sort of sent on an errand.
context: It's a docile dog that loves being babied and following its master around.\They are also intelligent, and are quite capable\of getting their masters to do exactly what they want.\That's just like him.\May I bring you another drink?\No, I'm fine.\It's rather unexpected to see your lazy self go shopping.\I was sort of sent on an errand. response:	Huh?
context: They are also intelligent, and are quite capable\of getting their masters to do exactly what they want.\That's just like him.\May I bring you another drink?\No, I'm fine.\It's rather unexpected to see your lazy self go shopping.\I was sort of sent on an errand.\Huh? response:	Is this really part of our job?
context: of getting their masters to do exactly what they want.\That's just like him.\May I bring you another drink?\No, I'm fine.\It's rather unexpected to see your lazy self go shopping.\I was sort of sent on an errand.\Huh?\Is this really part of our job? response:	Look, look! It's amazing!
context: That's just like him.\May I bring you another drink?\No, I'm fine.\It's rather unexpected to see your lazy self go shopping.\I was sort of sent on an errand.\Huh?\Is this really part of our job?\Look, look! It's amazing! response:	Here you go.
context: May I bring you another drink?\No, I'm fine.\It's rather unexpected to see your lazy self go shopping.\I was sort of sent on an errand.\Huh?\Is this really part of our job?\Look, look! It's amazing!\Here you go. response:	You can have whatever you want, Karuta.
context: No, I'm fine.\It's rather unexpected to see your lazy self go shopping.\I was sort of sent on an errand.\Huh?\Is this really part of our job?\Look, look! It's amazing!\Here you go.\You can have whatever you want, Karuta. response:	Anything I want?
context: It's rather unexpected to see your lazy self go shopping.\I was sort of sent on an errand.\Huh?\Is this really part of our job?\Look, look! It's amazing!\Here you go.\You can have whatever you want, Karuta.\Anything I want? response:	God, but I love girls with an appetite!
context: I was sort of sent on an errand.\Huh?\Is this really part of our job?\Look, look! It's amazing!\Here you go.\You can have whatever you want, Karuta.\Anything I want?\God, but I love girls with an appetite! response:	Ah, Karuta fantasizing about some yet unseen food...
context: Huh?\Is this really part of our job?\Look, look! It's amazing!\Here you go.\You can have whatever you want, Karuta.\Anything I want?\God, but I love girls with an appetite!\Ah, Karuta fantasizing about some yet unseen food... response:	Mmm!
context: Is this really part of our job?\Look, look! It's amazing!\Here you go.\You can have whatever you want, Karuta.\Anything I want?\God, but I love girls with an appetite!\Ah, Karuta fantasizing about some yet unseen food...\Mmm! response:	Where's Chiyo?
context: Look, look! It's amazing!\Here you go.\You can have whatever you want, Karuta.\Anything I want?\God, but I love girls with an appetite!\Ah, Karuta fantasizing about some yet unseen food...\Mmm!\Where's Chiyo? response:	She's fine, don't worry!
context: Here you go.\You can have whatever you want, Karuta.\Anything I want?\God, but I love girls with an appetite!\Ah, Karuta fantasizing about some yet unseen food...\Mmm!\Where's Chiyo?\She's fine, don't worry! response:	Just open wide for me.
context: You can have whatever you want, Karuta.\Anything I want?\God, but I love girls with an appetite!\Ah, Karuta fantasizing about some yet unseen food...\Mmm!\Where's Chiyo?\She's fine, don't worry!\Just open wide for me. response:	Say, Ah!
context: Anything I want?\God, but I love girls with an appetite!\Ah, Karuta fantasizing about some yet unseen food...\Mmm!\Where's Chiyo?\She's fine, don't worry!\Just open wide for me.\Say, Ah! response:	That's expensive.
context: God, but I love girls with an appetite!\Ah, Karuta fantasizing about some yet unseen food...\Mmm!\Where's Chiyo?\She's fine, don't worry!\Just open wide for me.\Say, Ah!\That's expensive. response:	He said he knows me from the past.
context: Ah, Karuta fantasizing about some yet unseen food...\Mmm!\Where's Chiyo?\She's fine, don't worry!\Just open wide for me.\Say, Ah!\That's expensive.\He said he knows me from the past. response:	I told you when we first met
context: Mmm!\Where's Chiyo?\She's fine, don't worry!\Just open wide for me.\Say, Ah!\That's expensive.\He said he knows me from the past.\I told you when we first met response:	that I have known you for a long time.
context: Where's Chiyo?\She's fine, don't worry!\Just open wide for me.\Say, Ah!\That's expensive.\He said he knows me from the past.\I told you when we first met\that I have known you for a long time. response:	He says I saved him.
context: She's fine, don't worry!\Just open wide for me.\Say, Ah!\That's expensive.\He said he knows me from the past.\I told you when we first met\that I have known you for a long time.\He says I saved him. response:	But I don't remember.
context: Just open wide for me.\Say, Ah!\That's expensive.\He said he knows me from the past.\I told you when we first met\that I have known you for a long time.\He says I saved him.\But I don't remember. response:	It's not a mystery.
context: Say, Ah!\That's expensive.\He said he knows me from the past.\I told you when we first met\that I have known you for a long time.\He says I saved him.\But I don't remember.\It's not a mystery. response:	Our community isn't that large,
context: That's expensive.\He said he knows me from the past.\I told you when we first met\that I have known you for a long time.\He says I saved him.\But I don't remember.\It's not a mystery.\Our community isn't that large, response:	and there is a lot of activity.
context: He said he knows me from the past.\I told you when we first met\that I have known you for a long time.\He says I saved him.\But I don't remember.\It's not a mystery.\Our community isn't that large,\and there is a lot of activity. response:	I suppose
context: I told you when we first met\that I have known you for a long time.\He says I saved him.\But I don't remember.\It's not a mystery.\Our community isn't that large,\and there is a lot of activity.\I suppose response:	it really isn't some mystery...
context: that I have known you for a long time.\He says I saved him.\But I don't remember.\It's not a mystery.\Our community isn't that large,\and there is a lot of activity.\I suppose\it really isn't some mystery... response:	Still...
context: He says I saved him.\But I don't remember.\It's not a mystery.\Our community isn't that large,\and there is a lot of activity.\I suppose\it really isn't some mystery...\Still... response:	The only reason I am here
context: But I don't remember.\It's not a mystery.\Our community isn't that large,\and there is a lot of activity.\I suppose\it really isn't some mystery...\Still...\The only reason I am here response:	is my loyalty to you.
context: It's not a mystery.\Our community isn't that large,\and there is a lot of activity.\I suppose\it really isn't some mystery...\Still...\The only reason I am here\is my loyalty to you. response:	It is irrelevant whether you are
context: Our community isn't that large,\and there is a lot of activity.\I suppose\it really isn't some mystery...\Still...\The only reason I am here\is my loyalty to you.\It is irrelevant whether you are response:	the daughter of a great house or not.
context: and there is a lot of activity.\I suppose\it really isn't some mystery...\Still...\The only reason I am here\is my loyalty to you.\It is irrelevant whether you are\the daughter of a great house or not. response:	He told me that it was for me...
context: I suppose\it really isn't some mystery...\Still...\The only reason I am here\is my loyalty to you.\It is irrelevant whether you are\the daughter of a great house or not.\He told me that it was for me... response:	for me alone, with no connection to my family name.
context: it really isn't some mystery...\Still...\The only reason I am here\is my loyalty to you.\It is irrelevant whether you are\the daughter of a great house or not.\He told me that it was for me...\for me alone, with no connection to my family name. response:	How long I've waited to hear those words.
