context: Here y'go, Onii-chan! response:	It's my recommended souvenirs list! Dun da-da-dun!
context: And the much-anticipated number one is...\Komachi's Recommended Souvenirs List! 1 will be revealed after the commercial 2 Oil blotting paper 3 Raw yatsuhashi\1 will be revealed after the commercial\What is number one?\The number one souvenir would be...\Your wonderful memories, Onii-chan!\Sly, but cute.\Hachiman... response:	Hachiman, come on...
context: Komachi's Recommended Souvenirs List! 1 will be revealed after the commercial 2 Oil blotting paper 3 Raw yatsuhashi\1 will be revealed after the commercial\What is number one?\The number one souvenir would be...\Your wonderful memories, Onii-chan!\Sly, but cute.\Hachiman...\Hachiman, come on... response:	Hachiman...
context: 1 will be revealed after the commercial\What is number one?\The number one souvenir would be...\Your wonderful memories, Onii-chan!\Sly, but cute.\Hachiman...\Hachiman, come on...\Hachiman... response:	You didn't say Uno. Yay...
context: What is number one?\The number one souvenir would be...\Your wonderful memories, Onii-chan!\Sly, but cute.\Hachiman...\Hachiman, come on...\Hachiman...\You didn't say Uno. Yay... response:	You're not even in my class.
context: The number one souvenir would be...\Your wonderful memories, Onii-chan!\Sly, but cute.\Hachiman...\Hachiman, come on...\Hachiman...\You didn't say Uno. Yay...\You're not even in my class. response:	Yay...
context: Your wonderful memories, Onii-chan!\Sly, but cute.\Hachiman...\Hachiman, come on...\Hachiman...\You didn't say Uno. Yay...\You're not even in my class.\Yay... response:	My Teen Romantic Comedy SNAFU TOO!
context: Sly, but cute.\Hachiman...\Hachiman, come on...\Hachiman...\You didn't say Uno. Yay...\You're not even in my class.\Yay...\My Teen Romantic Comedy SNAFU TOO! response:	The Most Terrifying Haunted House in History
context: Hachiman...\Hachiman, come on...\Hachiman...\You didn't say Uno. Yay...\You're not even in my class.\Yay...\My Teen Romantic Comedy SNAFU TOO!\The Most Terrifying Haunted House in History response:	Hayato, I'm scared!
context: Hachiman, come on...\Hachiman...\You didn't say Uno. Yay...\You're not even in my class.\Yay...\My Teen Romantic Comedy SNAFU TOO!\The Most Terrifying Haunted House in History\Hayato, I'm scared! response:	Oh, God! Oh, God! Oh, God! Oh, God! Oh, God! Oh, God!
context: Hachiman...\You didn't say Uno. Yay...\You're not even in my class.\Yay...\My Teen Romantic Comedy SNAFU TOO!\The Most Terrifying Haunted House in History\Hayato, I'm scared!\Oh, God! Oh, God! Oh, God! Oh, God! Oh, God! Oh, God! response:	I just heard a weird voice!
context: You didn't say Uno. Yay...\You're not even in my class.\Yay...\My Teen Romantic Comedy SNAFU TOO!\The Most Terrifying Haunted House in History\Hayato, I'm scared!\Oh, God! Oh, God! Oh, God! Oh, God! Oh, God! Oh, God!\I just heard a weird voice! response:	I can't handle stuff like this...
context: You're not even in my class.\Yay...\My Teen Romantic Comedy SNAFU TOO!\The Most Terrifying Haunted House in History\Hayato, I'm scared!\Oh, God! Oh, God! Oh, God! Oh, God! Oh, God! Oh, God!\I just heard a weird voice!\I can't handle stuff like this... response:	Ghosts in haunted houses aren't scary.
context: Yay...\My Teen Romantic Comedy SNAFU TOO!\The Most Terrifying Haunted House in History\Hayato, I'm scared!\Oh, God! Oh, God! Oh, God! Oh, God! Oh, God! Oh, God!\I just heard a weird voice!\I can't handle stuff like this...\Ghosts in haunted houses aren't scary. response:	What's really scary are people.
context: My Teen Romantic Comedy SNAFU TOO!\The Most Terrifying Haunted House in History\Hayato, I'm scared!\Oh, God! Oh, God! Oh, God! Oh, God! Oh, God! Oh, God!\I just heard a weird voice!\I can't handle stuff like this...\Ghosts in haunted houses aren't scary.\What's really scary are people. response:	There's that cynical attitude again...
context: The Most Terrifying Haunted House in History\Hayato, I'm scared!\Oh, God! Oh, God! Oh, God! Oh, God! Oh, God! Oh, God!\I just heard a weird voice!\I can't handle stuff like this...\Ghosts in haunted houses aren't scary.\What's really scary are people.\There's that cynical attitude again... response:	I find it kind of reliable, though.
context: Hayato, I'm scared!\Oh, God! Oh, God! Oh, God! Oh, God! Oh, God! Oh, God!\I just heard a weird voice!\I can't handle stuff like this...\Ghosts in haunted houses aren't scary.\What's really scary are people.\There's that cynical attitude again...\I find it kind of reliable, though. response:	What I mean is, haunted houses
context: Oh, God! Oh, God! Oh, God! Oh, God! Oh, God! Oh, God!\I just heard a weird voice!\I can't handle stuff like this...\Ghosts in haunted houses aren't scary.\What's really scary are people.\There's that cynical attitude again...\I find it kind of reliable, though.\What I mean is, haunted houses response:	where people scare you are the most terrifying.
context: I just heard a weird voice!\I can't handle stuff like this...\Ghosts in haunted houses aren't scary.\What's really scary are people.\There's that cynical attitude again...\I find it kind of reliable, though.\What I mean is, haunted houses\where people scare you are the most terrifying. response:	Never mind! I can't rely on that!
context: I can't handle stuff like this...\Ghosts in haunted houses aren't scary.\What's really scary are people.\There's that cynical attitude again...\I find it kind of reliable, though.\What I mean is, haunted houses\where people scare you are the most terrifying.\Never mind! I can't rely on that! response:	Hey, Totsuka, you seem totally cool with this.
context: Ghosts in haunted houses aren't scary.\What's really scary are people.\There's that cynical attitude again...\I find it kind of reliable, though.\What I mean is, haunted houses\where people scare you are the most terrifying.\Never mind! I can't rely on that!\Hey, Totsuka, you seem totally cool with this. response:	Yeah, I like this sort of thing.
context: What's really scary are people.\There's that cynical attitude again...\I find it kind of reliable, though.\What I mean is, haunted houses\where people scare you are the most terrifying.\Never mind! I can't rely on that!\Hey, Totsuka, you seem totally cool with this.\Yeah, I like this sort of thing. response:	Kawasaki-san?
context: There's that cynical attitude again...\I find it kind of reliable, though.\What I mean is, haunted houses\where people scare you are the most terrifying.\Never mind! I can't rely on that!\Hey, Totsuka, you seem totally cool with this.\Yeah, I like this sort of thing.\Kawasaki-san? response:	Kawasaki-san!
context: I find it kind of reliable, though.\What I mean is, haunted houses\where people scare you are the most terrifying.\Never mind! I can't rely on that!\Hey, Totsuka, you seem totally cool with this.\Yeah, I like this sort of thing.\Kawasaki-san?\Kawasaki-san! response:	Ow...
context: What I mean is, haunted houses\where people scare you are the most terrifying.\Never mind! I can't rely on that!\Hey, Totsuka, you seem totally cool with this.\Yeah, I like this sort of thing.\Kawasaki-san?\Kawasaki-san!\Ow... response:	S-Sorry! Did that hurt?
context: where people scare you are the most terrifying.\Never mind! I can't rely on that!\Hey, Totsuka, you seem totally cool with this.\Yeah, I like this sort of thing.\Kawasaki-san?\Kawasaki-san!\Ow...\S-Sorry! Did that hurt? response:	Yeah, it hurt like hell.
context: Never mind! I can't rely on that!\Hey, Totsuka, you seem totally cool with this.\Yeah, I like this sort of thing.\Kawasaki-san?\Kawasaki-san!\Ow...\S-Sorry! Did that hurt?\Yeah, it hurt like hell. response:	N-No, I...
context: Hey, Totsuka, you seem totally cool with this.\Yeah, I like this sort of thing.\Kawasaki-san?\Kawasaki-san!\Ow...\S-Sorry! Did that hurt?\Yeah, it hurt like hell.\N-No, I... response:	I mean, you know...
context: Yeah, I like this sort of thing.\Kawasaki-san?\Kawasaki-san!\Ow...\S-Sorry! Did that hurt?\Yeah, it hurt like hell.\N-No, I...\I mean, you know... response:	Thanks.
context: Kawasaki-san?\Kawasaki-san!\Ow...\S-Sorry! Did that hurt?\Yeah, it hurt like hell.\N-No, I...\I mean, you know...\Thanks. response:	Well, let's go.
context: Kawasaki-san!\Ow...\S-Sorry! Did that hurt?\Yeah, it hurt like hell.\N-No, I...\I mean, you know...\Thanks.\Well, let's go. response:	The Most Terrifying Haunted House in History
context: Ow...\S-Sorry! Did that hurt?\Yeah, it hurt like hell.\N-No, I...\I mean, you know...\Thanks.\Well, let's go.\The Most Terrifying Haunted House in History response:	It's over...
context: S-Sorry! Did that hurt?\Yeah, it hurt like hell.\N-No, I...\I mean, you know...\Thanks.\Well, let's go.\The Most Terrifying Haunted House in History\It's over... response:	That was pretty scary.
context: Yeah, it hurt like hell.\N-No, I...\I mean, you know...\Thanks.\Well, let's go.\The Most Terrifying Haunted House in History\It's over...\That was pretty scary. response:	That was really fun, huh?
context: N-No, I...\I mean, you know...\Thanks.\Well, let's go.\The Most Terrifying Haunted House in History\It's over...\That was pretty scary.\That was really fun, huh? response:	Yeah...
context: I mean, you know...\Thanks.\Well, let's go.\The Most Terrifying Haunted House in History\It's over...\That was pretty scary.\That was really fun, huh?\Yeah... response:	Well, I think we've played enough.
context: Thanks.\Well, let's go.\The Most Terrifying Haunted House in History\It's over...\That was pretty scary.\That was really fun, huh?\Yeah...\Well, I think we've played enough. response:	Ready to get going?
context: Well, let's go.\The Most Terrifying Haunted House in History\It's over...\That was pretty scary.\That was really fun, huh?\Yeah...\Well, I think we've played enough.\Ready to get going? response:	Okay, I'll get Ebina.
context: The Most Terrifying Haunted House in History\It's over...\That was pretty scary.\That was really fun, huh?\Yeah...\Well, I think we've played enough.\Ready to get going?\Okay, I'll get Ebina. response:	Wooden swords are so expensive!
context: It's over...\That was pretty scary.\That was really fun, huh?\Yeah...\Well, I think we've played enough.\Ready to get going?\Okay, I'll get Ebina.\Wooden swords are so expensive! response:	Ebina, let's go.
context: That was pretty scary.\That was really fun, huh?\Yeah...\Well, I think we've played enough.\Ready to get going?\Okay, I'll get Ebina.\Wooden swords are so expensive!\Ebina, let's go. response:	I wonder if the haunted house had any effect...
context: That was really fun, huh?\Yeah...\Well, I think we've played enough.\Ready to get going?\Okay, I'll get Ebina.\Wooden swords are so expensive!\Ebina, let's go.\I wonder if the haunted house had any effect... response:	Hard to say.
context: Yeah...\Well, I think we've played enough.\Ready to get going?\Okay, I'll get Ebina.\Wooden swords are so expensive!\Ebina, let's go.\I wonder if the haunted house had any effect...\Hard to say. response:	There we go.
context: Well, I think we've played enough.\Ready to get going?\Okay, I'll get Ebina.\Wooden swords are so expensive!\Ebina, let's go.\I wonder if the haunted house had any effect...\Hard to say.\There we go. response:	Well, what a coincidence.
context: Ready to get going?\Okay, I'll get Ebina.\Wooden swords are so expensive!\Ebina, let's go.\I wonder if the haunted house had any effect...\Hard to say.\There we go.\Well, what a coincidence. response:	You're here, too?
context: Okay, I'll get Ebina.\Wooden swords are so expensive!\Ebina, let's go.\I wonder if the haunted house had any effect...\Hard to say.\There we go.\Well, what a coincidence.\You're here, too? response:	Yes.
context: Wooden swords are so expensive!\Ebina, let's go.\I wonder if the haunted house had any effect...\Hard to say.\There we go.\Well, what a coincidence.\You're here, too?\Yes. response:	This garden is also called Tiger Cubs Crossing the Water, you know.
context: Ebina, let's go.\I wonder if the haunted house had any effect...\Hard to say.\There we go.\Well, what a coincidence.\You're here, too?\Yes.\This garden is also called Tiger Cubs Crossing the Water, you know. response:	Which parts do you think are the tigers?
context: I wonder if the haunted house had any effect...\Hard to say.\There we go.\Well, what a coincidence.\You're here, too?\Yes.\This garden is also called Tiger Cubs Crossing the Water, you know.\Which parts do you think are the tigers? response:	Hmm... Did that interest her because tigers are cats?
context: Hard to say.\There we go.\Well, what a coincidence.\You're here, too?\Yes.\This garden is also called Tiger Cubs Crossing the Water, you know.\Which parts do you think are the tigers?\Hmm... Did that interest her because tigers are cats? response:	She loves cats like they love Friskies.
context: There we go.\Well, what a coincidence.\You're here, too?\Yes.\This garden is also called Tiger Cubs Crossing the Water, you know.\Which parts do you think are the tigers?\Hmm... Did that interest her because tigers are cats?\She loves cats like they love Friskies. response:	Oh, Yukinon!
context: Well, what a coincidence.\You're here, too?\Yes.\This garden is also called Tiger Cubs Crossing the Water, you know.\Which parts do you think are the tigers?\Hmm... Did that interest her because tigers are cats?\She loves cats like they love Friskies.\Oh, Yukinon! response:	Let's go somewhere else.
context: You're here, too?\Yes.\This garden is also called Tiger Cubs Crossing the Water, you know.\Which parts do you think are the tigers?\Hmm... Did that interest her because tigers are cats?\She loves cats like they love Friskies.\Oh, Yukinon!\Let's go somewhere else. response:	How's that job coming?
context: Yes.\This garden is also called Tiger Cubs Crossing the Water, you know.\Which parts do you think are the tigers?\Hmm... Did that interest her because tigers are cats?\She loves cats like they love Friskies.\Oh, Yukinon!\Let's go somewhere else.\How's that job coming? response:	It's pretty tough... Right?
context: This garden is also called Tiger Cubs Crossing the Water, you know.\Which parts do you think are the tigers?\Hmm... Did that interest her because tigers are cats?\She loves cats like they love Friskies.\Oh, Yukinon!\Let's go somewhere else.\How's that job coming?\It's pretty tough... Right? response:	We don't want to push too hard and make Ebina-san like him less.
context: Which parts do you think are the tigers?\Hmm... Did that interest her because tigers are cats?\She loves cats like they love Friskies.\Oh, Yukinon!\Let's go somewhere else.\How's that job coming?\It's pretty tough... Right?\We don't want to push too hard and make Ebina-san like him less. response:	Plus...
context: Hmm... Did that interest her because tigers are cats?\She loves cats like they love Friskies.\Oh, Yukinon!\Let's go somewhere else.\How's that job coming?\It's pretty tough... Right?\We don't want to push too hard and make Ebina-san like him less.\Plus... response:	There's one person who can't catch a clue.
context: She loves cats like they love Friskies.\Oh, Yukinon!\Let's go somewhere else.\How's that job coming?\It's pretty tough... Right?\We don't want to push too hard and make Ebina-san like him less.\Plus...\There's one person who can't catch a clue. response:	Plus what?
context: Oh, Yukinon!\Let's go somewhere else.\How's that job coming?\It's pretty tough... Right?\We don't want to push too hard and make Ebina-san like him less.\Plus...\There's one person who can't catch a clue.\Plus what? response:	Oh... Nothing.
context: Let's go somewhere else.\How's that job coming?\It's pretty tough... Right?\We don't want to push too hard and make Ebina-san like him less.\Plus...\There's one person who can't catch a clue.\Plus what?\Oh... Nothing. response:	I'm sorry to leave this all to you.
context: How's that job coming?\It's pretty tough... Right?\We don't want to push too hard and make Ebina-san like him less.\Plus...\There's one person who can't catch a clue.\Plus what?\Oh... Nothing.\I'm sorry to leave this all to you. response:	No problem! Don't worry about it!
context: It's pretty tough... Right?\We don't want to push too hard and make Ebina-san like him less.\Plus...\There's one person who can't catch a clue.\Plus what?\Oh... Nothing.\I'm sorry to leave this all to you.\No problem! Don't worry about it! response:	It's no substitute for actual help,
context: We don't want to push too hard and make Ebina-san like him less.\Plus...\There's one person who can't catch a clue.\Plus what?\Oh... Nothing.\I'm sorry to leave this all to you.\No problem! Don't worry about it!\It's no substitute for actual help, response:	but I have been thinking about this.
context: Plus...\There's one person who can't catch a clue.\Plus what?\Oh... Nothing.\I'm sorry to leave this all to you.\No problem! Don't worry about it!\It's no substitute for actual help,\but I have been thinking about this. response:	About what?
context: There's one person who can't catch a clue.\Plus what?\Oh... Nothing.\I'm sorry to leave this all to you.\No problem! Don't worry about it!\It's no substitute for actual help,\but I have been thinking about this.\About what? response:	Famous places in Kyoto that girls might like.
context: Plus what?\Oh... Nothing.\I'm sorry to leave this all to you.\No problem! Don't worry about it!\It's no substitute for actual help,\but I have been thinking about this.\About what?\Famous places in Kyoto that girls might like. response:	I thought it might help them.
context: Oh... Nothing.\I'm sorry to leave this all to you.\No problem! Don't worry about it!\It's no substitute for actual help,\but I have been thinking about this.\About what?\Famous places in Kyoto that girls might like.\I thought it might help them. response:	You're always on the ball, Yukinon!
context: I'm sorry to leave this all to you.\No problem! Don't worry about it!\It's no substitute for actual help,\but I have been thinking about this.\About what?\Famous places in Kyoto that girls might like.\I thought it might help them.\You're always on the ball, Yukinon! response:	All right, I'm heading back now.
context: No problem! Don't worry about it!\It's no substitute for actual help,\but I have been thinking about this.\About what?\Famous places in Kyoto that girls might like.\I thought it might help them.\You're always on the ball, Yukinon!\All right, I'm heading back now. response:	Okay! See you tomorrow!
context: It's no substitute for actual help,\but I have been thinking about this.\About what?\Famous places in Kyoto that girls might like.\I thought it might help them.\You're always on the ball, Yukinon!\All right, I'm heading back now.\Okay! See you tomorrow! response:	Yes, tomorrow.
context: but I have been thinking about this.\About what?\Famous places in Kyoto that girls might like.\I thought it might help them.\You're always on the ball, Yukinon!\All right, I'm heading back now.\Okay! See you tomorrow!\Yes, tomorrow. response:	Hey, it's Hikio.
context: About what?\Famous places in Kyoto that girls might like.\I thought it might help them.\You're always on the ball, Yukinon!\All right, I'm heading back now.\Okay! See you tomorrow!\Yes, tomorrow.\Hey, it's Hikio. response:	Listen, what exactly are you guys up to?
context: Famous places in Kyoto that girls might like.\I thought it might help them.\You're always on the ball, Yukinon!\All right, I'm heading back now.\Okay! See you tomorrow!\Yes, tomorrow.\Hey, it's Hikio.\Listen, what exactly are you guys up to? response:	Could you stop trying to mess with Ebina?
context: I thought it might help them.\You're always on the ball, Yukinon!\All right, I'm heading back now.\Okay! See you tomorrow!\Yes, tomorrow.\Hey, it's Hikio.\Listen, what exactly are you guys up to?\Could you stop trying to mess with Ebina? response:	Are you listening?
context: You're always on the ball, Yukinon!\All right, I'm heading back now.\Okay! See you tomorrow!\Yes, tomorrow.\Hey, it's Hikio.\Listen, what exactly are you guys up to?\Could you stop trying to mess with Ebina?\Are you listening? response:	I'm listening. And we're not messing with her.
context: All right, I'm heading back now.\Okay! See you tomorrow!\Yes, tomorrow.\Hey, it's Hikio.\Listen, what exactly are you guys up to?\Could you stop trying to mess with Ebina?\Are you listening?\I'm listening. And we're not messing with her. response:	Yes, you are. It's pretty obvious.
context: Okay! See you tomorrow!\Yes, tomorrow.\Hey, it's Hikio.\Listen, what exactly are you guys up to?\Could you stop trying to mess with Ebina?\Are you listening?\I'm listening. And we're not messing with her.\Yes, you are. It's pretty obvious. response:	That's a nuisance, you know.
context: Yes, tomorrow.\Hey, it's Hikio.\Listen, what exactly are you guys up to?\Could you stop trying to mess with Ebina?\Are you listening?\I'm listening. And we're not messing with her.\Yes, you are. It's pretty obvious.\That's a nuisance, you know. response:	Is it?
context: Hey, it's Hikio.\Listen, what exactly are you guys up to?\Could you stop trying to mess with Ebina?\Are you listening?\I'm listening. And we're not messing with her.\Yes, you are. It's pretty obvious.\That's a nuisance, you know.\Is it? response:	There's someone who's asking us to do it, though.
context: Listen, what exactly are you guys up to?\Could you stop trying to mess with Ebina?\Are you listening?\I'm listening. And we're not messing with her.\Yes, you are. It's pretty obvious.\That's a nuisance, you know.\Is it?\There's someone who's asking us to do it, though. response:	Besides, it's not like it hurts you or anything.
context: Could you stop trying to mess with Ebina?\Are you listening?\I'm listening. And we're not messing with her.\Yes, you are. It's pretty obvious.\That's a nuisance, you know.\Is it?\There's someone who's asking us to do it, though.\Besides, it's not like it hurts you or anything. response:	Huh?
context: Are you listening?\I'm listening. And we're not messing with her.\Yes, you are. It's pretty obvious.\That's a nuisance, you know.\Is it?\There's someone who's asking us to do it, though.\Besides, it's not like it hurts you or anything.\Huh? response:	It's about to hurt me.
context: I'm listening. And we're not messing with her.\Yes, you are. It's pretty obvious.\That's a nuisance, you know.\Is it?\There's someone who's asking us to do it, though.\Besides, it's not like it hurts you or anything.\Huh?\It's about to hurt me. response:	If you're with Yui, you should know about Ebina.
context: Yes, you are. It's pretty obvious.\That's a nuisance, you know.\Is it?\There's someone who's asking us to do it, though.\Besides, it's not like it hurts you or anything.\Huh?\It's about to hurt me.\If you're with Yui, you should know about Ebina. response:	I-I-I'm not with her.
context: That's a nuisance, you know.\Is it?\There's someone who's asking us to do it, though.\Besides, it's not like it hurts you or anything.\Huh?\It's about to hurt me.\If you're with Yui, you should know about Ebina.\I-I-I'm not with her. response:	What did you think I meant? Gross.
context: Is it?\There's someone who's asking us to do it, though.\Besides, it's not like it hurts you or anything.\Huh?\It's about to hurt me.\If you're with Yui, you should know about Ebina.\I-I-I'm not with her.\What did you think I meant? Gross. response:	As if Yui would go out with you.
context: There's someone who's asking us to do it, though.\Besides, it's not like it hurts you or anything.\Huh?\It's about to hurt me.\If you're with Yui, you should know about Ebina.\I-I-I'm not with her.\What did you think I meant? Gross.\As if Yui would go out with you. response:	We Love Long Knit Sweaters
context: Besides, it's not like it hurts you or anything.\Huh?\It's about to hurt me.\If you're with Yui, you should know about Ebina.\I-I-I'm not with her.\What did you think I meant? Gross.\As if Yui would go out with you.\We Love Long Knit Sweaters response:	Coordinate casually with a girly knit sweater
context: Huh?\It's about to hurt me.\If you're with Yui, you should know about Ebina.\I-I-I'm not with her.\What did you think I meant? Gross.\As if Yui would go out with you.\We Love Long Knit Sweaters\Coordinate casually with a girly knit sweater response:	Girlfriend denim
context: It's about to hurt me.\If you're with Yui, you should know about Ebina.\I-I-I'm not with her.\What did you think I meant? Gross.\As if Yui would go out with you.\We Love Long Knit Sweaters\Coordinate casually with a girly knit sweater\Girlfriend denim response:	That's not what I meant.
context: If you're with Yui, you should know about Ebina.\I-I-I'm not with her.\What did you think I meant? Gross.\As if Yui would go out with you.\We Love Long Knit Sweaters\Coordinate casually with a girly knit sweater\Girlfriend denim\That's not what I meant. response:	I meant, if you talk with Yui a lot, you should know.
context: I-I-I'm not with her.\What did you think I meant? Gross.\As if Yui would go out with you.\We Love Long Knit Sweaters\Coordinate casually with a girly knit sweater\Girlfriend denim\That's not what I meant.\I meant, if you talk with Yui a lot, you should know. response:	Gross.
context: What did you think I meant? Gross.\As if Yui would go out with you.\We Love Long Knit Sweaters\Coordinate casually with a girly knit sweater\Girlfriend denim\That's not what I meant.\I meant, if you talk with Yui a lot, you should know.\Gross. response:	You didn't have to add that on a second time...
context: As if Yui would go out with you.\We Love Long Knit Sweaters\Coordinate casually with a girly knit sweater\Girlfriend denim\That's not what I meant.\I meant, if you talk with Yui a lot, you should know.\Gross.\You didn't have to add that on a second time... response:	Ebina appeals to guys as long as she's not talking,
context: We Love Long Knit Sweaters\Coordinate casually with a girly knit sweater\Girlfriend denim\That's not what I meant.\I meant, if you talk with Yui a lot, you should know.\Gross.\You didn't have to add that on a second time...\Ebina appeals to guys as long as she's not talking, response:	so a lot of them ask to be introduced to her.
context: Coordinate casually with a girly knit sweater\Girlfriend denim\That's not what I meant.\I meant, if you talk with Yui a lot, you should know.\Gross.\You didn't have to add that on a second time...\Ebina appeals to guys as long as she's not talking,\so a lot of them ask to be introduced to her. response:	But once they're introduced, she turns them down really gently.
context: Girlfriend denim\That's not what I meant.\I meant, if you talk with Yui a lot, you should know.\Gross.\You didn't have to add that on a second time...\Ebina appeals to guys as long as she's not talking,\so a lot of them ask to be introduced to her.\But once they're introduced, she turns them down really gently. response:	I thought she was being shy,
context: That's not what I meant.\I meant, if you talk with Yui a lot, you should know.\Gross.\You didn't have to add that on a second time...\Ebina appeals to guys as long as she's not talking,\so a lot of them ask to be introduced to her.\But once they're introduced, she turns them down really gently.\I thought she was being shy, response:	so I tried pretty hard to push things along.
context: I meant, if you talk with Yui a lot, you should know.\Gross.\You didn't have to add that on a second time...\Ebina appeals to guys as long as she's not talking,\so a lot of them ask to be introduced to her.\But once they're introduced, she turns them down really gently.\I thought she was being shy,\so I tried pretty hard to push things along. response:	But she laughed and said,
context: Gross.\You didn't have to add that on a second time...\Ebina appeals to guys as long as she's not talking,\so a lot of them ask to be introduced to her.\But once they're introduced, she turns them down really gently.\I thought she was being shy,\so I tried pretty hard to push things along.\But she laughed and said, response:	Oh, never mind, then.
context: You didn't have to add that on a second time...\Ebina appeals to guys as long as she's not talking,\so a lot of them ask to be introduced to her.\But once they're introduced, she turns them down really gently.\I thought she was being shy,\so I tried pretty hard to push things along.\But she laughed and said,\Oh, never mind, then. response:	As if I were a total stranger.
context: Ebina appeals to guys as long as she's not talking,\so a lot of them ask to be introduced to her.\But once they're introduced, she turns them down really gently.\I thought she was being shy,\so I tried pretty hard to push things along.\But she laughed and said,\Oh, never mind, then.\As if I were a total stranger. response:	Ebina doesn't talk about herself much, and I don't ask,
context: so a lot of them ask to be introduced to her.\But once they're introduced, she turns them down really gently.\I thought she was being shy,\so I tried pretty hard to push things along.\But she laughed and said,\Oh, never mind, then.\As if I were a total stranger.\Ebina doesn't talk about herself much, and I don't ask, response:	but I don't think she likes that kind of thing.
context: But once they're introduced, she turns them down really gently.\I thought she was being shy,\so I tried pretty hard to push things along.\But she laughed and said,\Oh, never mind, then.\As if I were a total stranger.\Ebina doesn't talk about herself much, and I don't ask,\but I don't think she likes that kind of thing. response:	That's not exactly right.
context: I thought she was being shy,\so I tried pretty hard to push things along.\But she laughed and said,\Oh, never mind, then.\As if I were a total stranger.\Ebina doesn't talk about herself much, and I don't ask,\but I don't think she likes that kind of thing.\That's not exactly right. response:	If you had to sacrifice many things to protect one,
context: so I tried pretty hard to push things along.\But she laughed and said,\Oh, never mind, then.\As if I were a total stranger.\Ebina doesn't talk about herself much, and I don't ask,\but I don't think she likes that kind of thing.\That's not exactly right.\If you had to sacrifice many things to protect one, response:	you're more likely to give up and throw it away.
