context: I've finally gotten rid of that father and son. response:	I'll find a place to sleep on the north bank tonight.
context: Why is Bai Qian so averse to bright lights?\Were her eyes injured before?\It is an ailment she was born with.\Is it true that in her battle with Qing Cang 300 years ago\she was injured and was unconscious for many years?\Of course it is true. The whole world knows it.\What's the matter?\You don't believe it? response:	Look at how old I am. I'm an old phoenix. Why would I lie to a junior?
context: Were her eyes injured before?\It is an ailment she was born with.\Is it true that in her battle with Qing Cang 300 years ago\she was injured and was unconscious for many years?\Of course it is true. The whole world knows it.\What's the matter?\You don't believe it?\Look at how old I am. I'm an old phoenix. Why would I lie to a junior? response:	It's true, it's true.
context: It is an ailment she was born with.\Is it true that in her battle with Qing Cang 300 years ago\she was injured and was unconscious for many years?\Of course it is true. The whole world knows it.\What's the matter?\You don't believe it?\Look at how old I am. I'm an old phoenix. Why would I lie to a junior?\It's true, it's true. response:	It doesn't seem as if Zhe Yan is lying.
context: Is it true that in her battle with Qing Cang 300 years ago\she was injured and was unconscious for many years?\Of course it is true. The whole world knows it.\What's the matter?\You don't believe it?\Look at how old I am. I'm an old phoenix. Why would I lie to a junior?\It's true, it's true.\It doesn't seem as if Zhe Yan is lying. response:	Could it be...
context: she was injured and was unconscious for many years?\Of course it is true. The whole world knows it.\What's the matter?\You don't believe it?\Look at how old I am. I'm an old phoenix. Why would I lie to a junior?\It's true, it's true.\It doesn't seem as if Zhe Yan is lying.\Could it be... response:	No, it can't be.
context: Of course it is true. The whole world knows it.\What's the matter?\You don't believe it?\Look at how old I am. I'm an old phoenix. Why would I lie to a junior?\It's true, it's true.\It doesn't seem as if Zhe Yan is lying.\Could it be...\No, it can't be. response:	Even if everything else is a coincidence, that scar is real.
context: What's the matter?\You don't believe it?\Look at how old I am. I'm an old phoenix. Why would I lie to a junior?\It's true, it's true.\It doesn't seem as if Zhe Yan is lying.\Could it be...\No, it can't be.\Even if everything else is a coincidence, that scar is real. response:	Nobody is able to remove the scars left by crimson hellfire.
context: You don't believe it?\Look at how old I am. I'm an old phoenix. Why would I lie to a junior?\It's true, it's true.\It doesn't seem as if Zhe Yan is lying.\Could it be...\No, it can't be.\Even if everything else is a coincidence, that scar is real.\Nobody is able to remove the scars left by crimson hellfire. response:	And what is the third question?
context: Look at how old I am. I'm an old phoenix. Why would I lie to a junior?\It's true, it's true.\It doesn't seem as if Zhe Yan is lying.\Could it be...\No, it can't be.\Even if everything else is a coincidence, that scar is real.\Nobody is able to remove the scars left by crimson hellfire.\And what is the third question? response:	Has she once forgotten something?
context: It's true, it's true.\It doesn't seem as if Zhe Yan is lying.\Could it be...\No, it can't be.\Even if everything else is a coincidence, that scar is real.\Nobody is able to remove the scars left by crimson hellfire.\And what is the third question?\Has she once forgotten something? response:	How did you know?
context: It doesn't seem as if Zhe Yan is lying.\Could it be...\No, it can't be.\Even if everything else is a coincidence, that scar is real.\Nobody is able to remove the scars left by crimson hellfire.\And what is the third question?\Has she once forgotten something?\How did you know? response:	She truly has?
context: Could it be...\No, it can't be.\Even if everything else is a coincidence, that scar is real.\Nobody is able to remove the scars left by crimson hellfire.\And what is the third question?\Has she once forgotten something?\How did you know?\She truly has? response:	That's an exaggeration. It's not amnesia.
context: No, it can't be.\Even if everything else is a coincidence, that scar is real.\Nobody is able to remove the scars left by crimson hellfire.\And what is the third question?\Has she once forgotten something?\How did you know?\She truly has?\That's an exaggeration. It's not amnesia. response:	It's just that in the few years she was asleep
context: Even if everything else is a coincidence, that scar is real.\Nobody is able to remove the scars left by crimson hellfire.\And what is the third question?\Has she once forgotten something?\How did you know?\She truly has?\That's an exaggeration. It's not amnesia.\It's just that in the few years she was asleep response:	there were many events that happened that she is unaware of.
context: Nobody is able to remove the scars left by crimson hellfire.\And what is the third question?\Has she once forgotten something?\How did you know?\She truly has?\That's an exaggeration. It's not amnesia.\It's just that in the few years she was asleep\there were many events that happened that she is unaware of. response:	Why would you think she had lost her memory?
context: And what is the third question?\Has she once forgotten something?\How did you know?\She truly has?\That's an exaggeration. It's not amnesia.\It's just that in the few years she was asleep\there were many events that happened that she is unaware of.\Why would you think she had lost her memory? response:	I am overthinking things.
context: Has she once forgotten something?\How did you know?\She truly has?\That's an exaggeration. It's not amnesia.\It's just that in the few years she was asleep\there were many events that happened that she is unaware of.\Why would you think she had lost her memory?\I am overthinking things. response:	Does this fellow know something?
context: How did you know?\She truly has?\That's an exaggeration. It's not amnesia.\It's just that in the few years she was asleep\there were many events that happened that she is unaware of.\Why would you think she had lost her memory?\I am overthinking things.\Does this fellow know something? response:	Could he be the one Bai Qian wanted to forget?
context: She truly has?\That's an exaggeration. It's not amnesia.\It's just that in the few years she was asleep\there were many events that happened that she is unaware of.\Why would you think she had lost her memory?\I am overthinking things.\Does this fellow know something?\Could he be the one Bai Qian wanted to forget? response:	By the way, Ye Hua, I also have a question for you.
context: That's an exaggeration. It's not amnesia.\It's just that in the few years she was asleep\there were many events that happened that she is unaware of.\Why would you think she had lost her memory?\I am overthinking things.\Does this fellow know something?\Could he be the one Bai Qian wanted to forget?\By the way, Ye Hua, I also have a question for you. response:	Please ask.
context: It's just that in the few years she was asleep\there were many events that happened that she is unaware of.\Why would you think she had lost her memory?\I am overthinking things.\Does this fellow know something?\Could he be the one Bai Qian wanted to forget?\By the way, Ye Hua, I also have a question for you.\Please ask. response:	From the first time I saw you
context: there were many events that happened that she is unaware of.\Why would you think she had lost her memory?\I am overthinking things.\Does this fellow know something?\Could he be the one Bai Qian wanted to forget?\By the way, Ye Hua, I also have a question for you.\Please ask.\From the first time I saw you response:	you have always been dressed in black from head to toe.
context: Why would you think she had lost her memory?\I am overthinking things.\Does this fellow know something?\Could he be the one Bai Qian wanted to forget?\By the way, Ye Hua, I also have a question for you.\Please ask.\From the first time I saw you\you have always been dressed in black from head to toe. response:	Even to this day.
context: I am overthinking things.\Does this fellow know something?\Could he be the one Bai Qian wanted to forget?\By the way, Ye Hua, I also have a question for you.\Please ask.\From the first time I saw you\you have always been dressed in black from head to toe.\Even to this day. response:	I just find it most strange.
context: Does this fellow know something?\Could he be the one Bai Qian wanted to forget?\By the way, Ye Hua, I also have a question for you.\Please ask.\From the first time I saw you\you have always been dressed in black from head to toe.\Even to this day.\I just find it most strange. response:	Why would such a young man as you like to wear such a dark, gloomy color?
context: Could he be the one Bai Qian wanted to forget?\By the way, Ye Hua, I also have a question for you.\Please ask.\From the first time I saw you\you have always been dressed in black from head to toe.\Even to this day.\I just find it most strange.\Why would such a young man as you like to wear such a dark, gloomy color? response:	This color indeed is not too pleasing, but it is very practical.
context: By the way, Ye Hua, I also have a question for you.\Please ask.\From the first time I saw you\you have always been dressed in black from head to toe.\Even to this day.\I just find it most strange.\Why would such a young man as you like to wear such a dark, gloomy color?\This color indeed is not too pleasing, but it is very practical. response:	Should I be sliced by a sword one day and my clothes become soaked with blood
context: Please ask.\From the first time I saw you\you have always been dressed in black from head to toe.\Even to this day.\I just find it most strange.\Why would such a young man as you like to wear such a dark, gloomy color?\This color indeed is not too pleasing, but it is very practical.\Should I be sliced by a sword one day and my clothes become soaked with blood response:	nobody would be able to tell.
context: From the first time I saw you\you have always been dressed in black from head to toe.\Even to this day.\I just find it most strange.\Why would such a young man as you like to wear such a dark, gloomy color?\This color indeed is not too pleasing, but it is very practical.\Should I be sliced by a sword one day and my clothes become soaked with blood\nobody would be able to tell. response:	One would merely think I'd fallen into a lake.
context: you have always been dressed in black from head to toe.\Even to this day.\I just find it most strange.\Why would such a young man as you like to wear such a dark, gloomy color?\This color indeed is not too pleasing, but it is very practical.\Should I be sliced by a sword one day and my clothes become soaked with blood\nobody would be able to tell.\One would merely think I'd fallen into a lake. response:	If nobody can tell
context: Even to this day.\I just find it most strange.\Why would such a young man as you like to wear such a dark, gloomy color?\This color indeed is not too pleasing, but it is very practical.\Should I be sliced by a sword one day and my clothes become soaked with blood\nobody would be able to tell.\One would merely think I'd fallen into a lake.\If nobody can tell response:	then my adversary will not feel satisfaction from wounding me
context: I just find it most strange.\Why would such a young man as you like to wear such a dark, gloomy color?\This color indeed is not too pleasing, but it is very practical.\Should I be sliced by a sword one day and my clothes become soaked with blood\nobody would be able to tell.\One would merely think I'd fallen into a lake.\If nobody can tell\then my adversary will not feel satisfaction from wounding me response:	and my loved ones will not worry either.
context: Why would such a young man as you like to wear such a dark, gloomy color?\This color indeed is not too pleasing, but it is very practical.\Should I be sliced by a sword one day and my clothes become soaked with blood\nobody would be able to tell.\One would merely think I'd fallen into a lake.\If nobody can tell\then my adversary will not feel satisfaction from wounding me\and my loved ones will not worry either. response:	You are similar to Mo Yuan.
context: This color indeed is not too pleasing, but it is very practical.\Should I be sliced by a sword one day and my clothes become soaked with blood\nobody would be able to tell.\One would merely think I'd fallen into a lake.\If nobody can tell\then my adversary will not feel satisfaction from wounding me\and my loved ones will not worry either.\You are similar to Mo Yuan. response:	Sometimes, even I speculate whether you are actually Mo Yuan.
context: Should I be sliced by a sword one day and my clothes become soaked with blood\nobody would be able to tell.\One would merely think I'd fallen into a lake.\If nobody can tell\then my adversary will not feel satisfaction from wounding me\and my loved ones will not worry either.\You are similar to Mo Yuan.\Sometimes, even I speculate whether you are actually Mo Yuan. response:	No, I am not Mo Yuan.
context: nobody would be able to tell.\One would merely think I'd fallen into a lake.\If nobody can tell\then my adversary will not feel satisfaction from wounding me\and my loved ones will not worry either.\You are similar to Mo Yuan.\Sometimes, even I speculate whether you are actually Mo Yuan.\No, I am not Mo Yuan. response:	Here.
context: One would merely think I'd fallen into a lake.\If nobody can tell\then my adversary will not feel satisfaction from wounding me\and my loved ones will not worry either.\You are similar to Mo Yuan.\Sometimes, even I speculate whether you are actually Mo Yuan.\No, I am not Mo Yuan.\Here. response:	My lord, you're awake?
context: If nobody can tell\then my adversary will not feel satisfaction from wounding me\and my loved ones will not worry either.\You are similar to Mo Yuan.\Sometimes, even I speculate whether you are actually Mo Yuan.\No, I am not Mo Yuan.\Here.\My lord, you're awake? response:	What time is it?
context: then my adversary will not feel satisfaction from wounding me\and my loved ones will not worry either.\You are similar to Mo Yuan.\Sometimes, even I speculate whether you are actually Mo Yuan.\No, I am not Mo Yuan.\Here.\My lord, you're awake?\What time is it? response:	You've only slept for an hour.
context: and my loved ones will not worry either.\You are similar to Mo Yuan.\Sometimes, even I speculate whether you are actually Mo Yuan.\No, I am not Mo Yuan.\Here.\My lord, you're awake?\What time is it?\You've only slept for an hour. response:	Do all the men of Ghost Realm hold their liquor as well as you do?
context: You are similar to Mo Yuan.\Sometimes, even I speculate whether you are actually Mo Yuan.\No, I am not Mo Yuan.\Here.\My lord, you're awake?\What time is it?\You've only slept for an hour.\Do all the men of Ghost Realm hold their liquor as well as you do? response:	I don't know about other people.
context: Sometimes, even I speculate whether you are actually Mo Yuan.\No, I am not Mo Yuan.\Here.\My lord, you're awake?\What time is it?\You've only slept for an hour.\Do all the men of Ghost Realm hold their liquor as well as you do?\I don't know about other people. response:	But my tolerance has grown over these last 70,000 years.
context: No, I am not Mo Yuan.\Here.\My lord, you're awake?\What time is it?\You've only slept for an hour.\Do all the men of Ghost Realm hold their liquor as well as you do?\I don't know about other people.\But my tolerance has grown over these last 70,000 years. response:	My lord, don't look so heartbroken.
context: Here.\My lord, you're awake?\What time is it?\You've only slept for an hour.\Do all the men of Ghost Realm hold their liquor as well as you do?\I don't know about other people.\But my tolerance has grown over these last 70,000 years.\My lord, don't look so heartbroken. response:	Since fate has brought us together, then we should act like lovers.
context: My lord, you're awake?\What time is it?\You've only slept for an hour.\Do all the men of Ghost Realm hold their liquor as well as you do?\I don't know about other people.\But my tolerance has grown over these last 70,000 years.\My lord, don't look so heartbroken.\Since fate has brought us together, then we should act like lovers. response:	Your eyes see me.
context: What time is it?\You've only slept for an hour.\Do all the men of Ghost Realm hold their liquor as well as you do?\I don't know about other people.\But my tolerance has grown over these last 70,000 years.\My lord, don't look so heartbroken.\Since fate has brought us together, then we should act like lovers.\Your eyes see me. response:	Your heart should see me too.
context: You've only slept for an hour.\Do all the men of Ghost Realm hold their liquor as well as you do?\I don't know about other people.\But my tolerance has grown over these last 70,000 years.\My lord, don't look so heartbroken.\Since fate has brought us together, then we should act like lovers.\Your eyes see me.\Your heart should see me too. response:	These woods aren't as nice as Zhe Yan's
context: Do all the men of Ghost Realm hold their liquor as well as you do?\I don't know about other people.\But my tolerance has grown over these last 70,000 years.\My lord, don't look so heartbroken.\Since fate has brought us together, then we should act like lovers.\Your eyes see me.\Your heart should see me too.\These woods aren't as nice as Zhe Yan's response:	but it's good for shielding me from the elements.
context: I don't know about other people.\But my tolerance has grown over these last 70,000 years.\My lord, don't look so heartbroken.\Since fate has brought us together, then we should act like lovers.\Your eyes see me.\Your heart should see me too.\These woods aren't as nice as Zhe Yan's\but it's good for shielding me from the elements. response:	I'll sleep under these shrubs tonight.
context: But my tolerance has grown over these last 70,000 years.\My lord, don't look so heartbroken.\Since fate has brought us together, then we should act like lovers.\Your eyes see me.\Your heart should see me too.\These woods aren't as nice as Zhe Yan's\but it's good for shielding me from the elements.\I'll sleep under these shrubs tonight. response:	A-Yin, where have you been all these years?
context: My lord, don't look so heartbroken.\Since fate has brought us together, then we should act like lovers.\Your eyes see me.\Your heart should see me too.\These woods aren't as nice as Zhe Yan's\but it's good for shielding me from the elements.\I'll sleep under these shrubs tonight.\A-Yin, where have you been all these years? response:	So it is Ghost Lord Li Jing.
context: Since fate has brought us together, then we should act like lovers.\Your eyes see me.\Your heart should see me too.\These woods aren't as nice as Zhe Yan's\but it's good for shielding me from the elements.\I'll sleep under these shrubs tonight.\A-Yin, where have you been all these years?\So it is Ghost Lord Li Jing. response:	A-Yin, don't speak to me like that.
context: Your eyes see me.\Your heart should see me too.\These woods aren't as nice as Zhe Yan's\but it's good for shielding me from the elements.\I'll sleep under these shrubs tonight.\A-Yin, where have you been all these years?\So it is Ghost Lord Li Jing.\A-Yin, don't speak to me like that. response:	I have long ago broken all ties with you.
context: Your heart should see me too.\These woods aren't as nice as Zhe Yan's\but it's good for shielding me from the elements.\I'll sleep under these shrubs tonight.\A-Yin, where have you been all these years?\So it is Ghost Lord Li Jing.\A-Yin, don't speak to me like that.\I have long ago broken all ties with you. response:	I don't deserve to be called A-Yin.
context: These woods aren't as nice as Zhe Yan's\but it's good for shielding me from the elements.\I'll sleep under these shrubs tonight.\A-Yin, where have you been all these years?\So it is Ghost Lord Li Jing.\A-Yin, don't speak to me like that.\I have long ago broken all ties with you.\I don't deserve to be called A-Yin. response:	Please call me by my proper name.
context: but it's good for shielding me from the elements.\I'll sleep under these shrubs tonight.\A-Yin, where have you been all these years?\So it is Ghost Lord Li Jing.\A-Yin, don't speak to me like that.\I have long ago broken all ties with you.\I don't deserve to be called A-Yin.\Please call me by my proper name. response:	A-Yin.
context: I'll sleep under these shrubs tonight.\A-Yin, where have you been all these years?\So it is Ghost Lord Li Jing.\A-Yin, don't speak to me like that.\I have long ago broken all ties with you.\I don't deserve to be called A-Yin.\Please call me by my proper name.\A-Yin. response:	You've been avoiding me for 70,000 years.
context: A-Yin, where have you been all these years?\So it is Ghost Lord Li Jing.\A-Yin, don't speak to me like that.\I have long ago broken all ties with you.\I don't deserve to be called A-Yin.\Please call me by my proper name.\A-Yin.\You've been avoiding me for 70,000 years. response:	Are you going to keep hiding from me?
context: So it is Ghost Lord Li Jing.\A-Yin, don't speak to me like that.\I have long ago broken all ties with you.\I don't deserve to be called A-Yin.\Please call me by my proper name.\A-Yin.\You've been avoiding me for 70,000 years.\Are you going to keep hiding from me? response:	I have been searching for you all these years.
context: A-Yin, don't speak to me like that.\I have long ago broken all ties with you.\I don't deserve to be called A-Yin.\Please call me by my proper name.\A-Yin.\You've been avoiding me for 70,000 years.\Are you going to keep hiding from me?\I have been searching for you all these years. response:	I was wrong. It was all my fault, A-Yin.
context: I have long ago broken all ties with you.\I don't deserve to be called A-Yin.\Please call me by my proper name.\A-Yin.\You've been avoiding me for 70,000 years.\Are you going to keep hiding from me?\I have been searching for you all these years.\I was wrong. It was all my fault, A-Yin. response:	I searched the entire Kunlun Mountain and all corners of the Celestial Realm.
context: I don't deserve to be called A-Yin.\Please call me by my proper name.\A-Yin.\You've been avoiding me for 70,000 years.\Are you going to keep hiding from me?\I have been searching for you all these years.\I was wrong. It was all my fault, A-Yin.\I searched the entire Kunlun Mountain and all corners of the Celestial Realm. response:	I know you blame me.
context: Please call me by my proper name.\A-Yin.\You've been avoiding me for 70,000 years.\Are you going to keep hiding from me?\I have been searching for you all these years.\I was wrong. It was all my fault, A-Yin.\I searched the entire Kunlun Mountain and all corners of the Celestial Realm.\I know you blame me. response:	You said Grand Ziming Palace was your sworn enemy. Do you know I-
context: A-Yin.\You've been avoiding me for 70,000 years.\Are you going to keep hiding from me?\I have been searching for you all these years.\I was wrong. It was all my fault, A-Yin.\I searched the entire Kunlun Mountain and all corners of the Celestial Realm.\I know you blame me.\You said Grand Ziming Palace was your sworn enemy. Do you know I- response:	I'm sorry to have troubled you, Ghost Lord.
context: You've been avoiding me for 70,000 years.\Are you going to keep hiding from me?\I have been searching for you all these years.\I was wrong. It was all my fault, A-Yin.\I searched the entire Kunlun Mountain and all corners of the Celestial Realm.\I know you blame me.\You said Grand Ziming Palace was your sworn enemy. Do you know I-\I'm sorry to have troubled you, Ghost Lord. response:	The things I said back then were only in the heat of the moment.
context: Are you going to keep hiding from me?\I have been searching for you all these years.\I was wrong. It was all my fault, A-Yin.\I searched the entire Kunlun Mountain and all corners of the Celestial Realm.\I know you blame me.\You said Grand Ziming Palace was your sworn enemy. Do you know I-\I'm sorry to have troubled you, Ghost Lord.\The things I said back then were only in the heat of the moment. response:	The Celestial Tribe and Ghost Tribe get along well now.
context: I have been searching for you all these years.\I was wrong. It was all my fault, A-Yin.\I searched the entire Kunlun Mountain and all corners of the Celestial Realm.\I know you blame me.\You said Grand Ziming Palace was your sworn enemy. Do you know I-\I'm sorry to have troubled you, Ghost Lord.\The things I said back then were only in the heat of the moment.\The Celestial Tribe and Ghost Tribe get along well now. response:	I did not live so long without learning anything.
context: I was wrong. It was all my fault, A-Yin.\I searched the entire Kunlun Mountain and all corners of the Celestial Realm.\I know you blame me.\You said Grand Ziming Palace was your sworn enemy. Do you know I-\I'm sorry to have troubled you, Ghost Lord.\The things I said back then were only in the heat of the moment.\The Celestial Tribe and Ghost Tribe get along well now.\I did not live so long without learning anything. response:	I do understand some principles.
context: I searched the entire Kunlun Mountain and all corners of the Celestial Realm.\I know you blame me.\You said Grand Ziming Palace was your sworn enemy. Do you know I-\I'm sorry to have troubled you, Ghost Lord.\The things I said back then were only in the heat of the moment.\The Celestial Tribe and Ghost Tribe get along well now.\I did not live so long without learning anything.\I do understand some principles. response:	Naturally, I will not make trouble out of nothing
context: I know you blame me.\You said Grand Ziming Palace was your sworn enemy. Do you know I-\I'm sorry to have troubled you, Ghost Lord.\The things I said back then were only in the heat of the moment.\The Celestial Tribe and Ghost Tribe get along well now.\I did not live so long without learning anything.\I do understand some principles.\Naturally, I will not make trouble out of nothing response:	and come to your Grand Ziming Palace to cause trouble.
context: You said Grand Ziming Palace was your sworn enemy. Do you know I-\I'm sorry to have troubled you, Ghost Lord.\The things I said back then were only in the heat of the moment.\The Celestial Tribe and Ghost Tribe get along well now.\I did not live so long without learning anything.\I do understand some principles.\Naturally, I will not make trouble out of nothing\and come to your Grand Ziming Palace to cause trouble. response:	What do you mean by that?
context: I'm sorry to have troubled you, Ghost Lord.\The things I said back then were only in the heat of the moment.\The Celestial Tribe and Ghost Tribe get along well now.\I did not live so long without learning anything.\I do understand some principles.\Naturally, I will not make trouble out of nothing\and come to your Grand Ziming Palace to cause trouble.\What do you mean by that? response:	You won't even bother to blame me anymore?
context: The things I said back then were only in the heat of the moment.\The Celestial Tribe and Ghost Tribe get along well now.\I did not live so long without learning anything.\I do understand some principles.\Naturally, I will not make trouble out of nothing\and come to your Grand Ziming Palace to cause trouble.\What do you mean by that?\You won't even bother to blame me anymore? response:	There is no love, so naturally there is no blame.
