context: The Scale Festival starts tomorrow, huh? response:	Everyone is really excited.
context: many guilds have been making special items for the event.\So it seems.\Licensed by the Round Table Princess Figures (Wood Carved)\Only 40 of Each Design! 500 Gold\Just hearing there's a festival makes a lot of people want to do something.\Decorations?\You've got quite a lot there.\They won't even fit in my magic bag. response:	The Crescent Moon Alliance will be selling winter clothes?
context: So it seems.\Licensed by the Round Table Princess Figures (Wood Carved)\Only 40 of Each Design! 500 Gold\Just hearing there's a festival makes a lot of people want to do something.\Decorations?\You've got quite a lot there.\They won't even fit in my magic bag.\The Crescent Moon Alliance will be selling winter clothes? response:	We're having a fashion show, as well.
context: Licensed by the Round Table Princess Figures (Wood Carved)\Only 40 of Each Design! 500 Gold\Just hearing there's a festival makes a lot of people want to do something.\Decorations?\You've got quite a lot there.\They won't even fit in my magic bag.\The Crescent Moon Alliance will be selling winter clothes?\We're having a fashion show, as well. response:	That sounds nice.
context: Only 40 of Each Design! 500 Gold\Just hearing there's a festival makes a lot of people want to do something.\Decorations?\You've got quite a lot there.\They won't even fit in my magic bag.\The Crescent Moon Alliance will be selling winter clothes?\We're having a fashion show, as well.\That sounds nice. response:	It starts tomorrow, so we're doing the final touches today.
context: Just hearing there's a festival makes a lot of people want to do something.\Decorations?\You've got quite a lot there.\They won't even fit in my magic bag.\The Crescent Moon Alliance will be selling winter clothes?\We're having a fashion show, as well.\That sounds nice.\It starts tomorrow, so we're doing the final touches today. response:	Don't work too hard.
context: Decorations?\You've got quite a lot there.\They won't even fit in my magic bag.\The Crescent Moon Alliance will be selling winter clothes?\We're having a fashion show, as well.\That sounds nice.\It starts tomorrow, so we're doing the final touches today.\Don't work too hard. response:	I heard Crescent Moon Burgers will be making their return.
context: You've got quite a lot there.\They won't even fit in my magic bag.\The Crescent Moon Alliance will be selling winter clothes?\We're having a fashion show, as well.\That sounds nice.\It starts tomorrow, so we're doing the final touches today.\Don't work too hard.\I heard Crescent Moon Burgers will be making their return. response:	That's right.
context: They won't even fit in my magic bag.\The Crescent Moon Alliance will be selling winter clothes?\We're having a fashion show, as well.\That sounds nice.\It starts tomorrow, so we're doing the final touches today.\Don't work too hard.\I heard Crescent Moon Burgers will be making their return.\That's right. response:	So, what will you be doing during the festival?
context: The Crescent Moon Alliance will be selling winter clothes?\We're having a fashion show, as well.\That sounds nice.\It starts tomorrow, so we're doing the final touches today.\Don't work too hard.\I heard Crescent Moon Burgers will be making their return.\That's right.\So, what will you be doing during the festival? response:	I'll be going around and enjoying all the different shops.
context: We're having a fashion show, as well.\That sounds nice.\It starts tomorrow, so we're doing the final touches today.\Don't work too hard.\I heard Crescent Moon Burgers will be making their return.\That's right.\So, what will you be doing during the festival?\I'll be going around and enjoying all the different shops. response:	I will eat...
context: That sounds nice.\It starts tomorrow, so we're doing the final touches today.\Don't work too hard.\I heard Crescent Moon Burgers will be making their return.\That's right.\So, what will you be doing during the festival?\I'll be going around and enjoying all the different shops.\I will eat... response:	And eat some more!
context: It starts tomorrow, so we're doing the final touches today.\Don't work too hard.\I heard Crescent Moon Burgers will be making their return.\That's right.\So, what will you be doing during the festival?\I'll be going around and enjoying all the different shops.\I will eat...\And eat some more! response:	And Akatsuki and the others?
context: Don't work too hard.\I heard Crescent Moon Burgers will be making their return.\That's right.\So, what will you be doing during the festival?\I'll be going around and enjoying all the different shops.\I will eat...\And eat some more!\And Akatsuki and the others? response:	Come to think of it, I didn't hear.
context: I heard Crescent Moon Burgers will be making their return.\That's right.\So, what will you be doing during the festival?\I'll be going around and enjoying all the different shops.\I will eat...\And eat some more!\And Akatsuki and the others?\Come to think of it, I didn't hear. response:	What'll the girls be doing?
context: That's right.\So, what will you be doing during the festival?\I'll be going around and enjoying all the different shops.\I will eat...\And eat some more!\And Akatsuki and the others?\Come to think of it, I didn't hear.\What'll the girls be doing? response:	Here, take one!
context: So, what will you be doing during the festival?\I'll be going around and enjoying all the different shops.\I will eat...\And eat some more!\And Akatsuki and the others?\Come to think of it, I didn't hear.\What'll the girls be doing?\Here, take one! response:	Please come as a couple!
context: I'll be going around and enjoying all the different shops.\I will eat...\And eat some more!\And Akatsuki and the others?\Come to think of it, I didn't hear.\What'll the girls be doing?\Here, take one!\Please come as a couple! response:	I have to invite Shiroe!
context: I will eat...\And eat some more!\And Akatsuki and the others?\Come to think of it, I didn't hear.\What'll the girls be doing?\Here, take one!\Please come as a couple!\I have to invite Shiroe! response:	All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!
context: And eat some more!\And Akatsuki and the others?\Come to think of it, I didn't hear.\What'll the girls be doing?\Here, take one!\Please come as a couple!\I have to invite Shiroe!\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!! response:	I've only made it this far because of you.
context: And Akatsuki and the others?\Come to think of it, I didn't hear.\What'll the girls be doing?\Here, take one!\Please come as a couple!\I have to invite Shiroe!\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\I've only made it this far because of you. response:	It's true.
context: Come to think of it, I didn't hear.\What'll the girls be doing?\Here, take one!\Please come as a couple!\I have to invite Shiroe!\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\I've only made it this far because of you.\It's true. response:	All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!
context: What'll the girls be doing?\Here, take one!\Please come as a couple!\I have to invite Shiroe!\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\I've only made it this far because of you.\It's true.\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!! response:	I'm done with this!
context: Here, take one!\Please come as a couple!\I have to invite Shiroe!\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\I've only made it this far because of you.\It's true.\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\I'm done with this! response:	Swallow and Young Starling
context: Please come as a couple!\I have to invite Shiroe!\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\I've only made it this far because of you.\It's true.\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\I'm done with this!\Swallow and Young Starling response:	Swallow and Young Starling.
context: I have to invite Shiroe!\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\I've only made it this far because of you.\It's true.\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\I'm done with this!\Swallow and Young Starling\Swallow and Young Starling. response:	Shiroe...
context: All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\I've only made it this far because of you.\It's true.\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\I'm done with this!\Swallow and Young Starling\Swallow and Young Starling.\Shiroe... response:	Shutting yourself up in here again?
context: I've only made it this far because of you.\It's true.\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\I'm done with this!\Swallow and Young Starling\Swallow and Young Starling.\Shiroe...\Shutting yourself up in here again? response:	Handling the Round Table's paperwork, investigating this world...
context: It's true.\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\I'm done with this!\Swallow and Young Starling\Swallow and Young Starling.\Shiroe...\Shutting yourself up in here again?\Handling the Round Table's paperwork, investigating this world... response:	Are you eating enough?
context: All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\I'm done with this!\Swallow and Young Starling\Swallow and Young Starling.\Shiroe...\Shutting yourself up in here again?\Handling the Round Table's paperwork, investigating this world...\Are you eating enough? response:	Sleeping enough?
context: I'm done with this!\Swallow and Young Starling\Swallow and Young Starling.\Shiroe...\Shutting yourself up in here again?\Handling the Round Table's paperwork, investigating this world...\Are you eating enough?\Sleeping enough? response:	Yes and yes.
context: Swallow and Young Starling\Swallow and Young Starling.\Shiroe...\Shutting yourself up in here again?\Handling the Round Table's paperwork, investigating this world...\Are you eating enough?\Sleeping enough?\Yes and yes. response:	I ate two hours ago, and I took a fifteen-minute nap.
context: Swallow and Young Starling.\Shiroe...\Shutting yourself up in here again?\Handling the Round Table's paperwork, investigating this world...\Are you eating enough?\Sleeping enough?\Yes and yes.\I ate two hours ago, and I took a fifteen-minute nap. response:	That's fine, then!
context: Shiroe...\Shutting yourself up in here again?\Handling the Round Table's paperwork, investigating this world...\Are you eating enough?\Sleeping enough?\Yes and yes.\I ate two hours ago, and I took a fifteen-minute nap.\That's fine, then! response:	Here is what you requested.
context: Shutting yourself up in here again?\Handling the Round Table's paperwork, investigating this world...\Are you eating enough?\Sleeping enough?\Yes and yes.\I ate two hours ago, and I took a fifteen-minute nap.\That's fine, then!\Here is what you requested. response:	Oh, thanks...
context: Handling the Round Table's paperwork, investigating this world...\Are you eating enough?\Sleeping enough?\Yes and yes.\I ate two hours ago, and I took a fifteen-minute nap.\That's fine, then!\Here is what you requested.\Oh, thanks... response:	You didn't need to bring it.
context: Are you eating enough?\Sleeping enough?\Yes and yes.\I ate two hours ago, and I took a fifteen-minute nap.\That's fine, then!\Here is what you requested.\Oh, thanks...\You didn't need to bring it. response:	If you had just sent a message, I would've come to get it.
context: Sleeping enough?\Yes and yes.\I ate two hours ago, and I took a fifteen-minute nap.\That's fine, then!\Here is what you requested.\Oh, thanks...\You didn't need to bring it.\If you had just sent a message, I would've come to get it. response:	So you say, but would you really have come?
context: Yes and yes.\I ate two hours ago, and I took a fifteen-minute nap.\That's fine, then!\Here is what you requested.\Oh, thanks...\You didn't need to bring it.\If you had just sent a message, I would've come to get it.\So you say, but would you really have come? response:	I've heard you've been locked in here for ages,
context: I ate two hours ago, and I took a fifteen-minute nap.\That's fine, then!\Here is what you requested.\Oh, thanks...\You didn't need to bring it.\If you had just sent a message, I would've come to get it.\So you say, but would you really have come?\I've heard you've been locked in here for ages, response:	so I wanted to check on you, too.
context: That's fine, then!\Here is what you requested.\Oh, thanks...\You didn't need to bring it.\If you had just sent a message, I would've come to get it.\So you say, but would you really have come?\I've heard you've been locked in here for ages,\so I wanted to check on you, too. response:	Thanks.
context: Here is what you requested.\Oh, thanks...\You didn't need to bring it.\If you had just sent a message, I would've come to get it.\So you say, but would you really have come?\I've heard you've been locked in here for ages,\so I wanted to check on you, too.\Thanks. response:	How's the Scale Festival looking?
context: Oh, thanks...\You didn't need to bring it.\If you had just sent a message, I would've come to get it.\So you say, but would you really have come?\I've heard you've been locked in here for ages,\so I wanted to check on you, too.\Thanks.\How's the Scale Festival looking? response:	Karashin's going all-out.
context: You didn't need to bring it.\If you had just sent a message, I would've come to get it.\So you say, but would you really have come?\I've heard you've been locked in here for ages,\so I wanted to check on you, too.\Thanks.\How's the Scale Festival looking?\Karashin's going all-out. response:	He's really taken charge of the event.
context: If you had just sent a message, I would've come to get it.\So you say, but would you really have come?\I've heard you've been locked in here for ages,\so I wanted to check on you, too.\Thanks.\How's the Scale Festival looking?\Karashin's going all-out.\He's really taken charge of the event. response:	He does good work.
context: So you say, but would you really have come?\I've heard you've been locked in here for ages,\so I wanted to check on you, too.\Thanks.\How's the Scale Festival looking?\Karashin's going all-out.\He's really taken charge of the event.\He does good work. response:	You should take a break for these next three days.
context: I've heard you've been locked in here for ages,\so I wanted to check on you, too.\Thanks.\How's the Scale Festival looking?\Karashin's going all-out.\He's really taken charge of the event.\He does good work.\You should take a break for these next three days. response:	Yeah...
context: so I wanted to check on you, too.\Thanks.\How's the Scale Festival looking?\Karashin's going all-out.\He's really taken charge of the event.\He does good work.\You should take a break for these next three days.\Yeah... response:	During the festival, it'll be pretty noisy,
context: Thanks.\How's the Scale Festival looking?\Karashin's going all-out.\He's really taken charge of the event.\He does good work.\You should take a break for these next three days.\Yeah...\During the festival, it'll be pretty noisy, response:	so I probably won't be able to concentrate...
context: How's the Scale Festival looking?\Karashin's going all-out.\He's really taken charge of the event.\He does good work.\You should take a break for these next three days.\Yeah...\During the festival, it'll be pretty noisy,\so I probably won't be able to concentrate... response:	That isn't why!
context: Karashin's going all-out.\He's really taken charge of the event.\He does good work.\You should take a break for these next three days.\Yeah...\During the festival, it'll be pretty noisy,\so I probably won't be able to concentrate...\That isn't why! response:	This is a good chance for you to become closer to your guildmates.
context: He's really taken charge of the event.\He does good work.\You should take a break for these next three days.\Yeah...\During the festival, it'll be pretty noisy,\so I probably won't be able to concentrate...\That isn't why!\This is a good chance for you to become closer to your guildmates. response:	And...
context: He does good work.\You should take a break for these next three days.\Yeah...\During the festival, it'll be pretty noisy,\so I probably won't be able to concentrate...\That isn't why!\This is a good chance for you to become closer to your guildmates.\And... response:	Log Horizon is one of the Round Table guilds.
context: You should take a break for these next three days.\Yeah...\During the festival, it'll be pretty noisy,\so I probably won't be able to concentrate...\That isn't why!\This is a good chance for you to become closer to your guildmates.\And...\Log Horizon is one of the Round Table guilds. response:	You'll be out there, making the event fun, right?
context: Yeah...\During the festival, it'll be pretty noisy,\so I probably won't be able to concentrate...\That isn't why!\This is a good chance for you to become closer to your guildmates.\And...\Log Horizon is one of the Round Table guilds.\You'll be out there, making the event fun, right? response:	I'll try.
context: During the festival, it'll be pretty noisy,\so I probably won't be able to concentrate...\That isn't why!\This is a good chance for you to become closer to your guildmates.\And...\Log Horizon is one of the Round Table guilds.\You'll be out there, making the event fun, right?\I'll try. response:	You'd better!
context: so I probably won't be able to concentrate...\That isn't why!\This is a good chance for you to become closer to your guildmates.\And...\Log Horizon is one of the Round Table guilds.\You'll be out there, making the event fun, right?\I'll try.\You'd better! response:	Right!
context: That isn't why!\This is a good chance for you to become closer to your guildmates.\And...\Log Horizon is one of the Round Table guilds.\You'll be out there, making the event fun, right?\I'll try.\You'd better!\Right! response:	Akatsuki and Minori are so cute, too.
context: This is a good chance for you to become closer to your guildmates.\And...\Log Horizon is one of the Round Table guilds.\You'll be out there, making the event fun, right?\I'll try.\You'd better!\Right!\Akatsuki and Minori are so cute, too. response:	I'm so excited already!
context: And...\Log Horizon is one of the Round Table guilds.\You'll be out there, making the event fun, right?\I'll try.\You'd better!\Right!\Akatsuki and Minori are so cute, too.\I'm so excited already! response:	What's that?
context: Log Horizon is one of the Round Table guilds.\You'll be out there, making the event fun, right?\I'll try.\You'd better!\Right!\Akatsuki and Minori are so cute, too.\I'm so excited already!\What's that? response:	An Akatsuki doll that Akatsuki gave me!
context: You'll be out there, making the event fun, right?\I'll try.\You'd better!\Right!\Akatsuki and Minori are so cute, too.\I'm so excited already!\What's that?\An Akatsuki doll that Akatsuki gave me! response:	A voodoo doll?
context: I'll try.\You'd better!\Right!\Akatsuki and Minori are so cute, too.\I'm so excited already!\What's that?\An Akatsuki doll that Akatsuki gave me!\A voodoo doll? response:	Truly, as long as I have my fantasies, I barely even need to eat!
context: You'd better!\Right!\Akatsuki and Minori are so cute, too.\I'm so excited already!\What's that?\An Akatsuki doll that Akatsuki gave me!\A voodoo doll?\Truly, as long as I have my fantasies, I barely even need to eat! response:	They say that man does not live by bread alone.
context: Right!\Akatsuki and Minori are so cute, too.\I'm so excited already!\What's that?\An Akatsuki doll that Akatsuki gave me!\A voodoo doll?\Truly, as long as I have my fantasies, I barely even need to eat!\They say that man does not live by bread alone. response:	But with bread and fantasies, you can get over almost anything!
context: Akatsuki and Minori are so cute, too.\I'm so excited already!\What's that?\An Akatsuki doll that Akatsuki gave me!\A voodoo doll?\Truly, as long as I have my fantasies, I barely even need to eat!\They say that man does not live by bread alone.\But with bread and fantasies, you can get over almost anything! response:	God almighty!
context: I'm so excited already!\What's that?\An Akatsuki doll that Akatsuki gave me!\A voodoo doll?\Truly, as long as I have my fantasies, I barely even need to eat!\They say that man does not live by bread alone.\But with bread and fantasies, you can get over almost anything!\God almighty! response:	You're just playing around, aren't you?
context: What's that?\An Akatsuki doll that Akatsuki gave me!\A voodoo doll?\Truly, as long as I have my fantasies, I barely even need to eat!\They say that man does not live by bread alone.\But with bread and fantasies, you can get over almost anything!\God almighty!\You're just playing around, aren't you? response:	She's right... During the festival, it'll be hard to do much.
context: An Akatsuki doll that Akatsuki gave me!\A voodoo doll?\Truly, as long as I have my fantasies, I barely even need to eat!\They say that man does not live by bread alone.\But with bread and fantasies, you can get over almost anything!\God almighty!\You're just playing around, aren't you?\She's right... During the festival, it'll be hard to do much. response:	When reports come in, I'll have to do some fancy footwork,
context: A voodoo doll?\Truly, as long as I have my fantasies, I barely even need to eat!\They say that man does not live by bread alone.\But with bread and fantasies, you can get over almost anything!\God almighty!\You're just playing around, aren't you?\She's right... During the festival, it'll be hard to do much.\When reports come in, I'll have to do some fancy footwork, response:	so I'll end up waiting, anyway.
context: Truly, as long as I have my fantasies, I barely even need to eat!\They say that man does not live by bread alone.\But with bread and fantasies, you can get over almost anything!\God almighty!\You're just playing around, aren't you?\She's right... During the festival, it'll be hard to do much.\When reports come in, I'll have to do some fancy footwork,\so I'll end up waiting, anyway. response:	Since then, nothing has happened in Minami...
context: They say that man does not live by bread alone.\But with bread and fantasies, you can get over almost anything!\God almighty!\You're just playing around, aren't you?\She's right... During the festival, it'll be hard to do much.\When reports come in, I'll have to do some fancy footwork,\so I'll end up waiting, anyway.\Since then, nothing has happened in Minami... response:	M-My lord...
context: But with bread and fantasies, you can get over almost anything!\God almighty!\You're just playing around, aren't you?\She's right... During the festival, it'll be hard to do much.\When reports come in, I'll have to do some fancy footwork,\so I'll end up waiting, anyway.\Since then, nothing has happened in Minami...\M-My lord... response:	Has something happened?
context: God almighty!\You're just playing around, aren't you?\She's right... During the festival, it'll be hard to do much.\When reports come in, I'll have to do some fancy footwork,\so I'll end up waiting, anyway.\Since then, nothing has happened in Minami...\M-My lord...\Has something happened? response:	No... Well...
context: You're just playing around, aren't you?\She's right... During the festival, it'll be hard to do much.\When reports come in, I'll have to do some fancy footwork,\so I'll end up waiting, anyway.\Since then, nothing has happened in Minami...\M-My lord...\Has something happened?\No... Well... response:	You want a red bean bun?
context: She's right... During the festival, it'll be hard to do much.\When reports come in, I'll have to do some fancy footwork,\so I'll end up waiting, anyway.\Since then, nothing has happened in Minami...\M-My lord...\Has something happened?\No... Well...\You want a red bean bun? response:	Red Bean Buns
context: When reports come in, I'll have to do some fancy footwork,\so I'll end up waiting, anyway.\Since then, nothing has happened in Minami...\M-My lord...\Has something happened?\No... Well...\You want a red bean bun?\Red Bean Buns response:	Eh?
context: so I'll end up waiting, anyway.\Since then, nothing has happened in Minami...\M-My lord...\Has something happened?\No... Well...\You want a red bean bun?\Red Bean Buns\Eh? response:	Great weather today!
context: Since then, nothing has happened in Minami...\M-My lord...\Has something happened?\No... Well...\You want a red bean bun?\Red Bean Buns\Eh?\Great weather today! response:	It feels like forever since I was outside.
context: M-My lord...\Has something happened?\No... Well...\You want a red bean bun?\Red Bean Buns\Eh?\Great weather today!\It feels like forever since I was outside. response:	This is for you.
context: Has something happened?\No... Well...\You want a red bean bun?\Red Bean Buns\Eh?\Great weather today!\It feels like forever since I was outside.\This is for you. response:	You're sure?
context: No... Well...\You want a red bean bun?\Red Bean Buns\Eh?\Great weather today!\It feels like forever since I was outside.\This is for you.\You're sure? response:	In this world, red bean buns are expensive.
context: You want a red bean bun?\Red Bean Buns\Eh?\Great weather today!\It feels like forever since I was outside.\This is for you.\You're sure?\In this world, red bean buns are expensive. response:	I want you to eat them.
context: Red Bean Buns\Eh?\Great weather today!\It feels like forever since I was outside.\This is for you.\You're sure?\In this world, red bean buns are expensive.\I want you to eat them. response:	Thank you.
context: Eh?\Great weather today!\It feels like forever since I was outside.\This is for you.\You're sure?\In this world, red bean buns are expensive.\I want you to eat them.\Thank you. response:	Delicious...
context: Great weather today!\It feels like forever since I was outside.\This is for you.\You're sure?\In this world, red bean buns are expensive.\I want you to eat them.\Thank you.\Delicious... response:	It's been a long time since I've had one.
context: It feels like forever since I was outside.\This is for you.\You're sure?\In this world, red bean buns are expensive.\I want you to eat them.\Thank you.\Delicious...\It's been a long time since I've had one. response:	Wh-What?
context: This is for you.\You're sure?\In this world, red bean buns are expensive.\I want you to eat them.\Thank you.\Delicious...\It's been a long time since I've had one.\Wh-What? response:	There's bean paste on your mouth.
context: You're sure?\In this world, red bean buns are expensive.\I want you to eat them.\Thank you.\Delicious...\It's been a long time since I've had one.\Wh-What?\There's bean paste on your mouth. response:	Oh, thanks.
context: In this world, red bean buns are expensive.\I want you to eat them.\Thank you.\Delicious...\It's been a long time since I've had one.\Wh-What?\There's bean paste on your mouth.\Oh, thanks. response:	Lately, you've looked pale.
context: I want you to eat them.\Thank you.\Delicious...\It's been a long time since I've had one.\Wh-What?\There's bean paste on your mouth.\Oh, thanks.\Lately, you've looked pale. response:	That isn't true.
context: Thank you.\Delicious...\It's been a long time since I've had one.\Wh-What?\There's bean paste on your mouth.\Oh, thanks.\Lately, you've looked pale.\That isn't true. response:	Really?
context: Delicious...\It's been a long time since I've had one.\Wh-What?\There's bean paste on your mouth.\Oh, thanks.\Lately, you've looked pale.\That isn't true.\Really? response:	M-My lord...
context: It's been a long time since I've had one.\Wh-What?\There's bean paste on your mouth.\Oh, thanks.\Lately, you've looked pale.\That isn't true.\Really?\M-My lord... response:	What's gotten into you?
context: Wh-What?\There's bean paste on your mouth.\Oh, thanks.\Lately, you've looked pale.\That isn't true.\Really?\M-My lord...\What's gotten into you? response:	What are you going to do during the festival?
context: There's bean paste on your mouth.\Oh, thanks.\Lately, you've looked pale.\That isn't true.\Really?\M-My lord...\What's gotten into you?\What are you going to do during the festival? response:	The festival?
context: Oh, thanks.\Lately, you've looked pale.\That isn't true.\Really?\M-My lord...\What's gotten into you?\What are you going to do during the festival?\The festival? response:	Oh, I'll probably have to help with things.
context: Lately, you've looked pale.\That isn't true.\Really?\M-My lord...\What's gotten into you?\What are you going to do during the festival?\The festival?\Oh, I'll probably have to help with things. response:	Henrietta asked me to.
context: That isn't true.\Really?\M-My lord...\What's gotten into you?\What are you going to do during the festival?\The festival?\Oh, I'll probably have to help with things.\Henrietta asked me to. response:	I see...
context: Really?\M-My lord...\What's gotten into you?\What are you going to do during the festival?\The festival?\Oh, I'll probably have to help with things.\Henrietta asked me to.\I see... response:	No, I mean...
context: M-My lord...\What's gotten into you?\What are you going to do during the festival?\The festival?\Oh, I'll probably have to help with things.\Henrietta asked me to.\I see...\No, I mean... response:	My lord, do you like c-c-ca...
context: What's gotten into you?\What are you going to do during the festival?\The festival?\Oh, I'll probably have to help with things.\Henrietta asked me to.\I see...\No, I mean...\My lord, do you like c-c-ca... response:	All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!
context: What are you going to do during the festival?\The festival?\Oh, I'll probably have to help with things.\Henrietta asked me to.\I see...\No, I mean...\My lord, do you like c-c-ca...\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!! response:	Voila!
context: The festival?\Oh, I'll probably have to help with things.\Henrietta asked me to.\I see...\No, I mean...\My lord, do you like c-c-ca...\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\Voila! response:	What is that?
context: Oh, I'll probably have to help with things.\Henrietta asked me to.\I see...\No, I mean...\My lord, do you like c-c-ca...\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\Voila!\What is that? response:	So, about the Scale Festival tomorrow...
context: Henrietta asked me to.\I see...\No, I mean...\My lord, do you like c-c-ca...\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\Voila!\What is that?\So, about the Scale Festival tomorrow... response:	Would you go to this with me?
context: I see...\No, I mean...\My lord, do you like c-c-ca...\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\Voila!\What is that?\So, about the Scale Festival tomorrow...\Would you go to this with me? response:	A cake buffet?
context: No, I mean...\My lord, do you like c-c-ca...\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\Voila!\What is that?\So, about the Scale Festival tomorrow...\Would you go to this with me?\A cake buffet? response:	You enjoy sweets, don't you?
context: My lord, do you like c-c-ca...\All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\Voila!\What is that?\So, about the Scale Festival tomorrow...\Would you go to this with me?\A cake buffet?\You enjoy sweets, don't you? response:	From the way he eats his red bean buns, that would seem to be true.
context: All-You-Can-Eat Cake Buffet Come as a couple, and get in free!!\Voila!\What is that?\So, about the Scale Festival tomorrow...\Would you go to this with me?\A cake buffet?\You enjoy sweets, don't you?\From the way he eats his red bean buns, that would seem to be true. response:	I certainly don't dislike them...
context: Voila!\What is that?\So, about the Scale Festival tomorrow...\Would you go to this with me?\A cake buffet?\You enjoy sweets, don't you?\From the way he eats his red bean buns, that would seem to be true.\I certainly don't dislike them... response:	Let us go, my lord.
context: What is that?\So, about the Scale Festival tomorrow...\Would you go to this with me?\A cake buffet?\You enjoy sweets, don't you?\From the way he eats his red bean buns, that would seem to be true.\I certainly don't dislike them...\Let us go, my lord. response:	If we go as a couple, it's free!
context: So, about the Scale Festival tomorrow...\Would you go to this with me?\A cake buffet?\You enjoy sweets, don't you?\From the way he eats his red bean buns, that would seem to be true.\I certainly don't dislike them...\Let us go, my lord.\If we go as a couple, it's free! response:	It's free! Totally free!
context: Would you go to this with me?\A cake buffet?\You enjoy sweets, don't you?\From the way he eats his red bean buns, that would seem to be true.\I certainly don't dislike them...\Let us go, my lord.\If we go as a couple, it's free!\It's free! Totally free! response:	Let's go!
context: A cake buffet?\You enjoy sweets, don't you?\From the way he eats his red bean buns, that would seem to be true.\I certainly don't dislike them...\Let us go, my lord.\If we go as a couple, it's free!\It's free! Totally free!\Let's go! response:	Um...
context: You enjoy sweets, don't you?\From the way he eats his red bean buns, that would seem to be true.\I certainly don't dislike them...\Let us go, my lord.\If we go as a couple, it's free!\It's free! Totally free!\Let's go!\Um... response:	Shiroe!
context: From the way he eats his red bean buns, that would seem to be true.\I certainly don't dislike them...\Let us go, my lord.\If we go as a couple, it's free!\It's free! Totally free!\Let's go!\Um...\Shiroe! response:	My lord!
context: I certainly don't dislike them...\Let us go, my lord.\If we go as a couple, it's free!\It's free! Totally free!\Let's go!\Um...\Shiroe!\My lord! response:	This is a problem.
