context: Good morning! Greetings, all. This is Morioh Radio, response:	and your host, once again, is me, your neighbor, Kai Harada.
context: Is this your first time in Morioh, sir?\Yeah.\What kind of place is it?\Morioh? Hmm...\Oh! The beef tongue cooked in miso is good.\Anything strange about it? Any incidents?\No idea.\Sorry, I actually don't know that much about it. response:	Oh, where was I supposed to drop you off again?
context: Yeah.\What kind of place is it?\Morioh? Hmm...\Oh! The beef tongue cooked in miso is good.\Anything strange about it? Any incidents?\No idea.\Sorry, I actually don't know that much about it.\Oh, where was I supposed to drop you off again? response:	In front of the station is fine.
context: What kind of place is it?\Morioh? Hmm...\Oh! The beef tongue cooked in miso is good.\Anything strange about it? Any incidents?\No idea.\Sorry, I actually don't know that much about it.\Oh, where was I supposed to drop you off again?\In front of the station is fine. response:	Understood.
context: Morioh? Hmm...\Oh! The beef tongue cooked in miso is good.\Anything strange about it? Any incidents?\No idea.\Sorry, I actually don't know that much about it.\Oh, where was I supposed to drop you off again?\In front of the station is fine.\Understood. response:	Good grief...
context: Oh! The beef tongue cooked in miso is good.\Anything strange about it? Any incidents?\No idea.\Sorry, I actually don't know that much about it.\Oh, where was I supposed to drop you off again?\In front of the station is fine.\Understood.\Good grief... response:	I just hope nothing annoying happens.
context: Anything strange about it? Any incidents?\No idea.\Sorry, I actually don't know that much about it.\Oh, where was I supposed to drop you off again?\In front of the station is fine.\Understood.\Good grief...\I just hope nothing annoying happens. response:	Jojo's Bizarre Adventure
context: No idea.\Sorry, I actually don't know that much about it.\Oh, where was I supposed to drop you off again?\In front of the station is fine.\Understood.\Good grief...\I just hope nothing annoying happens.\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: Sorry, I actually don't know that much about it.\Oh, where was I supposed to drop you off again?\In front of the station is fine.\Understood.\Good grief...\I just hope nothing annoying happens.\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	In April of 1999, on my very first day of high school, I met two bizarre men.
context: Oh, where was I supposed to drop you off again?\In front of the station is fine.\Understood.\Good grief...\I just hope nothing annoying happens.\Jojo's Bizarre Adventure\Diamond is Unbreakable\In April of 1999, on my very first day of high school, I met two bizarre men. response:	Episode 1 Jotaro Kujo! Meets Josuke Higashikata
context: In front of the station is fine.\Understood.\Good grief...\I just hope nothing annoying happens.\Jojo's Bizarre Adventure\Diamond is Unbreakable\In April of 1999, on my very first day of high school, I met two bizarre men.\Episode 1 Jotaro Kujo! Meets Josuke Higashikata response:	I finally start high school today... I wonder what the people will be like.
context: Understood.\Good grief...\I just hope nothing annoying happens.\Jojo's Bizarre Adventure\Diamond is Unbreakable\In April of 1999, on my very first day of high school, I met two bizarre men.\Episode 1 Jotaro Kujo! Meets Josuke Higashikata\I finally start high school today... I wonder what the people will be like. response:	My name's Koichi Hirose.
context: Good grief...\I just hope nothing annoying happens.\Jojo's Bizarre Adventure\Diamond is Unbreakable\In April of 1999, on my very first day of high school, I met two bizarre men.\Episode 1 Jotaro Kujo! Meets Josuke Higashikata\I finally start high school today... I wonder what the people will be like.\My name's Koichi Hirose. response:	Though you don't really have to remember that.
context: I just hope nothing annoying happens.\Jojo's Bizarre Adventure\Diamond is Unbreakable\In April of 1999, on my very first day of high school, I met two bizarre men.\Episode 1 Jotaro Kujo! Meets Josuke Higashikata\I finally start high school today... I wonder what the people will be like.\My name's Koichi Hirose.\Though you don't really have to remember that. response:	I was so nervous on my first walk to my new school that I...
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\In April of 1999, on my very first day of high school, I met two bizarre men.\Episode 1 Jotaro Kujo! Meets Josuke Higashikata\I finally start high school today... I wonder what the people will be like.\My name's Koichi Hirose.\Though you don't really have to remember that.\I was so nervous on my first walk to my new school that I... response:	Bam
context: Diamond is Unbreakable\In April of 1999, on my very first day of high school, I met two bizarre men.\Episode 1 Jotaro Kujo! Meets Josuke Higashikata\I finally start high school today... I wonder what the people will be like.\My name's Koichi Hirose.\Though you don't really have to remember that.\I was so nervous on my first walk to my new school that I...\Bam response:	Eh? H-Huh? That's strange. We just ran into each other,
context: In April of 1999, on my very first day of high school, I met two bizarre men.\Episode 1 Jotaro Kujo! Meets Josuke Higashikata\I finally start high school today... I wonder what the people will be like.\My name's Koichi Hirose.\Though you don't really have to remember that.\I was so nervous on my first walk to my new school that I...\Bam\Eh? H-Huh? That's strange. We just ran into each other, response:	and the things in my bag flew out...
context: Episode 1 Jotaro Kujo! Meets Josuke Higashikata\I finally start high school today... I wonder what the people will be like.\My name's Koichi Hirose.\Though you don't really have to remember that.\I was so nervous on my first walk to my new school that I...\Bam\Eh? H-Huh? That's strange. We just ran into each other,\and the things in my bag flew out... response:	Sorry I wasn't watching where I was going.
context: I finally start high school today... I wonder what the people will be like.\My name's Koichi Hirose.\Though you don't really have to remember that.\I was so nervous on my first walk to my new school that I...\Bam\Eh? H-Huh? That's strange. We just ran into each other,\and the things in my bag flew out...\Sorry I wasn't watching where I was going. response:	H-He's huge! He's over 190 centimeters!
context: My name's Koichi Hirose.\Though you don't really have to remember that.\I was so nervous on my first walk to my new school that I...\Bam\Eh? H-Huh? That's strange. We just ran into each other,\and the things in my bag flew out...\Sorry I wasn't watching where I was going.\H-He's huge! He's over 190 centimeters! response:	I have a question.
context: Though you don't really have to remember that.\I was so nervous on my first walk to my new school that I...\Bam\Eh? H-Huh? That's strange. We just ran into each other,\and the things in my bag flew out...\Sorry I wasn't watching where I was going.\H-He's huge! He's over 190 centimeters!\I have a question. response:	Do you know of a Higashikata household around here?
context: I was so nervous on my first walk to my new school that I...\Bam\Eh? H-Huh? That's strange. We just ran into each other,\and the things in my bag flew out...\Sorry I wasn't watching where I was going.\H-He's huge! He's over 190 centimeters!\I have a question.\Do you know of a Higashikata household around here? response:	Higashikata? No...
context: Bam\Eh? H-Huh? That's strange. We just ran into each other,\and the things in my bag flew out...\Sorry I wasn't watching where I was going.\H-He's huge! He's over 190 centimeters!\I have a question.\Do you know of a Higashikata household around here?\Higashikata? No... response:	Then how about this address?
context: Eh? H-Huh? That's strange. We just ran into each other,\and the things in my bag flew out...\Sorry I wasn't watching where I was going.\H-He's huge! He's over 190 centimeters!\I have a question.\Do you know of a Higashikata household around here?\Higashikata? No...\Then how about this address? response:	It's Johzenji 1-6.
context: and the things in my bag flew out...\Sorry I wasn't watching where I was going.\H-He's huge! He's over 190 centimeters!\I have a question.\Do you know of a Higashikata household around here?\Higashikata? No...\Then how about this address?\It's Johzenji 1-6. response:	Jotaro Kujo
context: Sorry I wasn't watching where I was going.\H-He's huge! He's over 190 centimeters!\I have a question.\Do you know of a Higashikata household around here?\Higashikata? No...\Then how about this address?\It's Johzenji 1-6.\Jotaro Kujo response:	Jotaro Kujo...
context: H-He's huge! He's over 190 centimeters!\I have a question.\Do you know of a Higashikata household around here?\Higashikata? No...\Then how about this address?\It's Johzenji 1-6.\Jotaro Kujo\Jotaro Kujo... response:	If you take the 3 bus, it'll get you to Johzenji.
context: I have a question.\Do you know of a Higashikata household around here?\Higashikata? No...\Then how about this address?\It's Johzenji 1-6.\Jotaro Kujo\Jotaro Kujo...\If you take the 3 bus, it'll get you to Johzenji. response:	If you wait a little while, it'll get here soon.
context: Do you know of a Higashikata household around here?\Higashikata? No...\Then how about this address?\It's Johzenji 1-6.\Jotaro Kujo\Jotaro Kujo...\If you take the 3 bus, it'll get you to Johzenji.\If you wait a little while, it'll get here soon. response:	Thanks.
context: Higashikata? No...\Then how about this address?\It's Johzenji 1-6.\Jotaro Kujo\Jotaro Kujo...\If you take the 3 bus, it'll get you to Johzenji.\If you wait a little while, it'll get here soon.\Thanks. response:	The first guy was this man, Jotaro Kujo.
context: Then how about this address?\It's Johzenji 1-6.\Jotaro Kujo\Jotaro Kujo...\If you take the 3 bus, it'll get you to Johzenji.\If you wait a little while, it'll get here soon.\Thanks.\The first guy was this man, Jotaro Kujo. response:	I found this out later, but he's 28, and he's a marine explorer.
context: It's Johzenji 1-6.\Jotaro Kujo\Jotaro Kujo...\If you take the 3 bus, it'll get you to Johzenji.\If you wait a little while, it'll get here soon.\Thanks.\The first guy was this man, Jotaro Kujo.\I found this out later, but he's 28, and he's a marine explorer. response:	He's famous in the scientific world for his ecological research.
context: Jotaro Kujo\Jotaro Kujo...\If you take the 3 bus, it'll get you to Johzenji.\If you wait a little while, it'll get here soon.\Thanks.\The first guy was this man, Jotaro Kujo.\I found this out later, but he's 28, and he's a marine explorer.\He's famous in the scientific world for his ecological research. response:	He seems really wild, but intelligent... or cool, I guess.
context: Jotaro Kujo...\If you take the 3 bus, it'll get you to Johzenji.\If you wait a little while, it'll get here soon.\Thanks.\The first guy was this man, Jotaro Kujo.\I found this out later, but he's 28, and he's a marine explorer.\He's famous in the scientific world for his ecological research.\He seems really wild, but intelligent... or cool, I guess. response:	Hey! Are you a new kid?
context: If you take the 3 bus, it'll get you to Johzenji.\If you wait a little while, it'll get here soon.\Thanks.\The first guy was this man, Jotaro Kujo.\I found this out later, but he's 28, and he's a marine explorer.\He's famous in the scientific world for his ecological research.\He seems really wild, but intelligent... or cool, I guess.\Hey! Are you a new kid? response:	You better introduce yourself.
context: If you wait a little while, it'll get here soon.\Thanks.\The first guy was this man, Jotaro Kujo.\I found this out later, but he's 28, and he's a marine explorer.\He's famous in the scientific world for his ecological research.\He seems really wild, but intelligent... or cool, I guess.\Hey! Are you a new kid?\You better introduce yourself. response:	Y-Yes, sir! My name is Koichi Hirose, and I'm a new student.
context: Thanks.\The first guy was this man, Jotaro Kujo.\I found this out later, but he's 28, and he's a marine explorer.\He's famous in the scientific world for his ecological research.\He seems really wild, but intelligent... or cool, I guess.\Hey! Are you a new kid?\You better introduce yourself.\Y-Yes, sir! My name is Koichi Hirose, and I'm a new student. response:	Good morning, Senpai!
context: The first guy was this man, Jotaro Kujo.\I found this out later, but he's 28, and he's a marine explorer.\He's famous in the scientific world for his ecological research.\He seems really wild, but intelligent... or cool, I guess.\Hey! Are you a new kid?\You better introduce yourself.\Y-Yes, sir! My name is Koichi Hirose, and I'm a new student.\Good morning, Senpai! response:	All right. Well said.
context: I found this out later, but he's 28, and he's a marine explorer.\He's famous in the scientific world for his ecological research.\He seems really wild, but intelligent... or cool, I guess.\Hey! Are you a new kid?\You better introduce yourself.\Y-Yes, sir! My name is Koichi Hirose, and I'm a new student.\Good morning, Senpai!\All right. Well said. response:	S-So scary...
context: He's famous in the scientific world for his ecological research.\He seems really wild, but intelligent... or cool, I guess.\Hey! Are you a new kid?\You better introduce yourself.\Y-Yes, sir! My name is Koichi Hirose, and I'm a new student.\Good morning, Senpai!\All right. Well said.\S-So scary... response:	Oh, it's okay. They're getting on a different bus.
context: He seems really wild, but intelligent... or cool, I guess.\Hey! Are you a new kid?\You better introduce yourself.\Y-Yes, sir! My name is Koichi Hirose, and I'm a new student.\Good morning, Senpai!\All right. Well said.\S-So scary...\Oh, it's okay. They're getting on a different bus. response:	The hell are you doing, you bastard?!
context: Hey! Are you a new kid?\You better introduce yourself.\Y-Yes, sir! My name is Koichi Hirose, and I'm a new student.\Good morning, Senpai!\All right. Well said.\S-So scary...\Oh, it's okay. They're getting on a different bus.\The hell are you doing, you bastard?! response:	Who do you think you are?
context: You better introduce yourself.\Y-Yes, sir! My name is Koichi Hirose, and I'm a new student.\Good morning, Senpai!\All right. Well said.\S-So scary...\Oh, it's okay. They're getting on a different bus.\The hell are you doing, you bastard?!\Who do you think you are? response:	What am I doing? Well...
context: Y-Yes, sir! My name is Koichi Hirose, and I'm a new student.\Good morning, Senpai!\All right. Well said.\S-So scary...\Oh, it's okay. They're getting on a different bus.\The hell are you doing, you bastard?!\Who do you think you are?\What am I doing? Well... response:	The turtle that lives in this pond woke up from hibernation, so I was watching it.
context: Good morning, Senpai!\All right. Well said.\S-So scary...\Oh, it's okay. They're getting on a different bus.\The hell are you doing, you bastard?!\Who do you think you are?\What am I doing? Well...\The turtle that lives in this pond woke up from hibernation, so I was watching it. response:	I don't handle turtles really well. I'm scared to even touch them.
context: All right. Well said.\S-So scary...\Oh, it's okay. They're getting on a different bus.\The hell are you doing, you bastard?!\Who do you think you are?\What am I doing? Well...\The turtle that lives in this pond woke up from hibernation, so I was watching it.\I don't handle turtles really well. I'm scared to even touch them. response:	So I was thinking it's about time I got over my fear...
context: S-So scary...\Oh, it's okay. They're getting on a different bus.\The hell are you doing, you bastard?!\Who do you think you are?\What am I doing? Well...\The turtle that lives in this pond woke up from hibernation, so I was watching it.\I don't handle turtles really well. I'm scared to even touch them.\So I was thinking it's about time I got over my fear... response:	That's not what I asked!
context: Oh, it's okay. They're getting on a different bus.\The hell are you doing, you bastard?!\Who do you think you are?\What am I doing? Well...\The turtle that lives in this pond woke up from hibernation, so I was watching it.\I don't handle turtles really well. I'm scared to even touch them.\So I was thinking it's about time I got over my fear...\That's not what I asked! response:	Stand up, dumbass!
context: The hell are you doing, you bastard?!\Who do you think you are?\What am I doing? Well...\The turtle that lives in this pond woke up from hibernation, so I was watching it.\I don't handle turtles really well. I'm scared to even touch them.\So I was thinking it's about time I got over my fear...\That's not what I asked!\Stand up, dumbass! response:	You're pretty tall for a first-year.
context: Who do you think you are?\What am I doing? Well...\The turtle that lives in this pond woke up from hibernation, so I was watching it.\I don't handle turtles really well. I'm scared to even touch them.\So I was thinking it's about time I got over my fear...\That's not what I asked!\Stand up, dumbass!\You're pretty tall for a first-year. response:	But before you have the nerve to dress like that...
context: What am I doing? Well...\The turtle that lives in this pond woke up from hibernation, so I was watching it.\I don't handle turtles really well. I'm scared to even touch them.\So I was thinking it's about time I got over my fear...\That's not what I asked!\Stand up, dumbass!\You're pretty tall for a first-year.\But before you have the nerve to dress like that... response:	You dumb shit! Who said you could wear that?
context: The turtle that lives in this pond woke up from hibernation, so I was watching it.\I don't handle turtles really well. I'm scared to even touch them.\So I was thinking it's about time I got over my fear...\That's not what I asked!\Stand up, dumbass!\You're pretty tall for a first-year.\But before you have the nerve to dress like that...\You dumb shit! Who said you could wear that? response:	You need to talk to us first!
context: I don't handle turtles really well. I'm scared to even touch them.\So I was thinking it's about time I got over my fear...\That's not what I asked!\Stand up, dumbass!\You're pretty tall for a first-year.\But before you have the nerve to dress like that...\You dumb shit! Who said you could wear that?\You need to talk to us first! response:	W-Wait... I'm not a fan of reptiles.
context: So I was thinking it's about time I got over my fear...\That's not what I asked!\Stand up, dumbass!\You're pretty tall for a first-year.\But before you have the nerve to dress like that...\You dumb shit! Who said you could wear that?\You need to talk to us first!\W-Wait... I'm not a fan of reptiles. response:	They scare me...
context: That's not what I asked!\Stand up, dumbass!\You're pretty tall for a first-year.\But before you have the nerve to dress like that...\You dumb shit! Who said you could wear that?\You need to talk to us first!\W-Wait... I'm not a fan of reptiles.\They scare me... response:	Slap
context: Stand up, dumbass!\You're pretty tall for a first-year.\But before you have the nerve to dress like that...\You dumb shit! Who said you could wear that?\You need to talk to us first!\W-Wait... I'm not a fan of reptiles.\They scare me...\Slap response:	What the hell are you smiling at?
context: You're pretty tall for a first-year.\But before you have the nerve to dress like that...\You dumb shit! Who said you could wear that?\You need to talk to us first!\W-Wait... I'm not a fan of reptiles.\They scare me...\Slap\What the hell are you smiling at? response:	I'm sorry. I had no idea, Senpai.
context: But before you have the nerve to dress like that...\You dumb shit! Who said you could wear that?\You need to talk to us first!\W-Wait... I'm not a fan of reptiles.\They scare me...\Slap\What the hell are you smiling at?\I'm sorry. I had no idea, Senpai. response:	There are a lot of guys
context: You dumb shit! Who said you could wear that?\You need to talk to us first!\W-Wait... I'm not a fan of reptiles.\They scare me...\Slap\What the hell are you smiling at?\I'm sorry. I had no idea, Senpai.\There are a lot of guys response:	I last saw in a hospital after they said they didn't know and were sorry.
context: You need to talk to us first!\W-Wait... I'm not a fan of reptiles.\They scare me...\Slap\What the hell are you smiling at?\I'm sorry. I had no idea, Senpai.\There are a lot of guys\I last saw in a hospital after they said they didn't know and were sorry. response:	You wanna end up
context: W-Wait... I'm not a fan of reptiles.\They scare me...\Slap\What the hell are you smiling at?\I'm sorry. I had no idea, Senpai.\There are a lot of guys\I last saw in a hospital after they said they didn't know and were sorry.\You wanna end up response:	like this turtle?! Huh?!
context: They scare me...\Slap\What the hell are you smiling at?\I'm sorry. I had no idea, Senpai.\There are a lot of guys\I last saw in a hospital after they said they didn't know and were sorry.\You wanna end up\like this turtle?! Huh?! response:	Th-They're awful...
context: Slap\What the hell are you smiling at?\I'm sorry. I had no idea, Senpai.\There are a lot of guys\I last saw in a hospital after they said they didn't know and were sorry.\You wanna end up\like this turtle?! Huh?!\Th-They're awful... response:	I'll let you off the hook this time.
context: What the hell are you smiling at?\I'm sorry. I had no idea, Senpai.\There are a lot of guys\I last saw in a hospital after they said they didn't know and were sorry.\You wanna end up\like this turtle?! Huh?!\Th-They're awful...\I'll let you off the hook this time. response:	Take off that jacket and the pants, and leave them here.
context: I'm sorry. I had no idea, Senpai.\There are a lot of guys\I last saw in a hospital after they said they didn't know and were sorry.\You wanna end up\like this turtle?! Huh?!\Th-They're awful...\I'll let you off the hook this time.\Take off that jacket and the pants, and leave them here. response:	With your cash!
context: There are a lot of guys\I last saw in a hospital after they said they didn't know and were sorry.\You wanna end up\like this turtle?! Huh?!\Th-They're awful...\I'll let you off the hook this time.\Take off that jacket and the pants, and leave them here.\With your cash! response:	Yes, sir! I'm very sorry!
context: I last saw in a hospital after they said they didn't know and were sorry.\You wanna end up\like this turtle?! Huh?!\Th-They're awful...\I'll let you off the hook this time.\Take off that jacket and the pants, and leave them here.\With your cash!\Yes, sir! I'm very sorry! response:	That just means if you don't want them after you, don't dress like that.
context: You wanna end up\like this turtle?! Huh?!\Th-They're awful...\I'll let you off the hook this time.\Take off that jacket and the pants, and leave them here.\With your cash!\Yes, sir! I'm very sorry!\That just means if you don't want them after you, don't dress like that. response:	What pisses me off more is that
context: like this turtle?! Huh?!\Th-They're awful...\I'll let you off the hook this time.\Take off that jacket and the pants, and leave them here.\With your cash!\Yes, sir! I'm very sorry!\That just means if you don't want them after you, don't dress like that.\What pisses me off more is that response:	he isn't even mad after what they did to that turtle.
context: Th-They're awful...\I'll let you off the hook this time.\Take off that jacket and the pants, and leave them here.\With your cash!\Yes, sir! I'm very sorry!\That just means if you don't want them after you, don't dress like that.\What pisses me off more is that\he isn't even mad after what they did to that turtle. response:	Hey, wimp. Why don't you tell me your name?
context: I'll let you off the hook this time.\Take off that jacket and the pants, and leave them here.\With your cash!\Yes, sir! I'm very sorry!\That just means if you don't want them after you, don't dress like that.\What pisses me off more is that\he isn't even mad after what they did to that turtle.\Hey, wimp. Why don't you tell me your name? response:	Yes, sir.
context: Take off that jacket and the pants, and leave them here.\With your cash!\Yes, sir! I'm very sorry!\That just means if you don't want them after you, don't dress like that.\What pisses me off more is that\he isn't even mad after what they did to that turtle.\Hey, wimp. Why don't you tell me your name?\Yes, sir. response:	Josuke Higashikata, from Class 1-B.
context: With your cash!\Yes, sir! I'm very sorry!\That just means if you don't want them after you, don't dress like that.\What pisses me off more is that\he isn't even mad after what they did to that turtle.\Hey, wimp. Why don't you tell me your name?\Yes, sir.\Josuke Higashikata, from Class 1-B. response:	What? Josuke Higashikata?
context: Yes, sir! I'm very sorry!\That just means if you don't want them after you, don't dress like that.\What pisses me off more is that\he isn't even mad after what they did to that turtle.\Hey, wimp. Why don't you tell me your name?\Yes, sir.\Josuke Higashikata, from Class 1-B.\What? Josuke Higashikata? response:	Student ID Name: Josuke Higashikata
context: That just means if you don't want them after you, don't dress like that.\What pisses me off more is that\he isn't even mad after what they did to that turtle.\Hey, wimp. Why don't you tell me your name?\Yes, sir.\Josuke Higashikata, from Class 1-B.\What? Josuke Higashikata?\Student ID Name: Josuke Higashikata response:	Jo and Jo, eh?
context: What pisses me off more is that\he isn't even mad after what they did to that turtle.\Hey, wimp. Why don't you tell me your name?\Yes, sir.\Josuke Higashikata, from Class 1-B.\What? Josuke Higashikata?\Student ID Name: Josuke Higashikata\Jo and Jo, eh? response:	Josuke, we're gonna call you Jojo from now on!
context: he isn't even mad after what they did to that turtle.\Hey, wimp. Why don't you tell me your name?\Yes, sir.\Josuke Higashikata, from Class 1-B.\What? Josuke Higashikata?\Student ID Name: Josuke Higashikata\Jo and Jo, eh?\Josuke, we're gonna call you Jojo from now on! response:	Okay... Thank you very much.
context: Hey, wimp. Why don't you tell me your name?\Yes, sir.\Josuke Higashikata, from Class 1-B.\What? Josuke Higashikata?\Student ID Name: Josuke Higashikata\Jo and Jo, eh?\Josuke, we're gonna call you Jojo from now on!\Okay... Thank you very much. response:	Hurry up and take off that uniform.
context: Yes, sir.\Josuke Higashikata, from Class 1-B.\What? Josuke Higashikata?\Student ID Name: Josuke Higashikata\Jo and Jo, eh?\Josuke, we're gonna call you Jojo from now on!\Okay... Thank you very much.\Hurry up and take off that uniform. response:	The damn bus is here.
context: Josuke Higashikata, from Class 1-B.\What? Josuke Higashikata?\Student ID Name: Josuke Higashikata\Jo and Jo, eh?\Josuke, we're gonna call you Jojo from now on!\Okay... Thank you very much.\Hurry up and take off that uniform.\The damn bus is here. response:	If you don't hurry it up, I'm gonna shave off that Astro Boy hair, too.
context: What? Josuke Higashikata?\Student ID Name: Josuke Higashikata\Jo and Jo, eh?\Josuke, we're gonna call you Jojo from now on!\Okay... Thank you very much.\Hurry up and take off that uniform.\The damn bus is here.\If you don't hurry it up, I'm gonna shave off that Astro Boy hair, too. response:	Well, what are you waiting for? Hurry it up!
context: Student ID Name: Josuke Higashikata\Jo and Jo, eh?\Josuke, we're gonna call you Jojo from now on!\Okay... Thank you very much.\Hurry up and take off that uniform.\The damn bus is here.\If you don't hurry it up, I'm gonna shave off that Astro Boy hair, too.\Well, what are you waiting for? Hurry it up! response:	Hey, Senpai...
context: Jo and Jo, eh?\Josuke, we're gonna call you Jojo from now on!\Okay... Thank you very much.\Hurry up and take off that uniform.\The damn bus is here.\If you don't hurry it up, I'm gonna shave off that Astro Boy hair, too.\Well, what are you waiting for? Hurry it up!\Hey, Senpai... response:	What did you just say about my hair?
context: Josuke, we're gonna call you Jojo from now on!\Okay... Thank you very much.\Hurry up and take off that uniform.\The damn bus is here.\If you don't hurry it up, I'm gonna shave off that Astro Boy hair, too.\Well, what are you waiting for? Hurry it up!\Hey, Senpai...\What did you just say about my hair? response:	What? A Stand?!
context: Okay... Thank you very much.\Hurry up and take off that uniform.\The damn bus is here.\If you don't hurry it up, I'm gonna shave off that Astro Boy hair, too.\Well, what are you waiting for? Hurry it up!\Hey, Senpai...\What did you just say about my hair?\What? A Stand?! response:	My nose... My nose!
context: Hurry up and take off that uniform.\The damn bus is here.\If you don't hurry it up, I'm gonna shave off that Astro Boy hair, too.\Well, what are you waiting for? Hurry it up!\Hey, Senpai...\What did you just say about my hair?\What? A Stand?!\My nose... My nose! response:	I won't let anyone get away with making fun of my hair, no matter who it is!
context: The damn bus is here.\If you don't hurry it up, I'm gonna shave off that Astro Boy hair, too.\Well, what are you waiting for? Hurry it up!\Hey, Senpai...\What did you just say about my hair?\What? A Stand?!\My nose... My nose!\I won't let anyone get away with making fun of my hair, no matter who it is! response:	Did you say my hair looked like Sazae-san?
context: If you don't hurry it up, I'm gonna shave off that Astro Boy hair, too.\Well, what are you waiting for? Hurry it up!\Hey, Senpai...\What did you just say about my hair?\What? A Stand?!\My nose... My nose!\I won't let anyone get away with making fun of my hair, no matter who it is!\Did you say my hair looked like Sazae-san? response:	Huh?! No one said that...
context: Well, what are you waiting for? Hurry it up!\Hey, Senpai...\What did you just say about my hair?\What? A Stand?!\My nose... My nose!\I won't let anyone get away with making fun of my hair, no matter who it is!\Did you say my hair looked like Sazae-san?\Huh?! No one said that... response:	I heard you, damn it!
context: Hey, Senpai...\What did you just say about my hair?\What? A Stand?!\My nose... My nose!\I won't let anyone get away with making fun of my hair, no matter who it is!\Did you say my hair looked like Sazae-san?\Huh?! No one said that...\I heard you, damn it! response:	What the heck? That punk just went flying.
context: What did you just say about my hair?\What? A Stand?!\My nose... My nose!\I won't let anyone get away with making fun of my hair, no matter who it is!\Did you say my hair looked like Sazae-san?\Huh?! No one said that...\I heard you, damn it!\What the heck? That punk just went flying. response:	Some kind of Stand just appeared from behind him.
context: What? A Stand?!\My nose... My nose!\I won't let anyone get away with making fun of my hair, no matter who it is!\Did you say my hair looked like Sazae-san?\Huh?! No one said that...\I heard you, damn it!\What the heck? That punk just went flying.\Some kind of Stand just appeared from behind him. response:	Huh? That turtle's wounds are...
context: My nose... My nose!\I won't let anyone get away with making fun of my hair, no matter who it is!\Did you say my hair looked like Sazae-san?\Huh?! No one said that...\I heard you, damn it!\What the heck? That punk just went flying.\Some kind of Stand just appeared from behind him.\Huh? That turtle's wounds are... response:	What the heck?
