context: Time is a burden. response:	That's what I believe.
context: Yes, that celebrity complex.\I've got a bad habit.\The one where each apartment\gets one member of the Secret Service, right?\Apparently she's a new tenant.\What do you mean, Secret Service?\A bodyguard.\I hear she's the daughter of an old family. response:	A huge conglomerate called Shirakiin.
context: I've got a bad habit.\The one where each apartment\gets one member of the Secret Service, right?\Apparently she's a new tenant.\What do you mean, Secret Service?\A bodyguard.\I hear she's the daughter of an old family.\A huge conglomerate called Shirakiin. response:	Looks like you're the center of attention.
context: The one where each apartment\gets one member of the Secret Service, right?\Apparently she's a new tenant.\What do you mean, Secret Service?\A bodyguard.\I hear she's the daughter of an old family.\A huge conglomerate called Shirakiin.\Looks like you're the center of attention. response:	I've been doing it since I was little,
context: gets one member of the Secret Service, right?\Apparently she's a new tenant.\What do you mean, Secret Service?\A bodyguard.\I hear she's the daughter of an old family.\A huge conglomerate called Shirakiin.\Looks like you're the center of attention.\I've been doing it since I was little, response:	I've been doing it since I was little, and it's not something I can control.
context: Apparently she's a new tenant.\What do you mean, Secret Service?\A bodyguard.\I hear she's the daughter of an old family.\A huge conglomerate called Shirakiin.\Looks like you're the center of attention.\I've been doing it since I was little,\I've been doing it since I was little, and it's not something I can control. response:	Should getting attention from
context: What do you mean, Secret Service?\A bodyguard.\I hear she's the daughter of an old family.\A huge conglomerate called Shirakiin.\Looks like you're the center of attention.\I've been doing it since I was little,\I've been doing it since I was little, and it's not something I can control.\Should getting attention from response:	those bored housewives make me happy?
context: A bodyguard.\I hear she's the daughter of an old family.\A huge conglomerate called Shirakiin.\Looks like you're the center of attention.\I've been doing it since I was little,\I've been doing it since I was little, and it's not something I can control.\Should getting attention from\those bored housewives make me happy? response:	I don't want to be the gossip fodder of their circle.
context: I hear she's the daughter of an old family.\A huge conglomerate called Shirakiin.\Looks like you're the center of attention.\I've been doing it since I was little,\I've been doing it since I was little, and it's not something I can control.\Should getting attention from\those bored housewives make me happy?\I don't want to be the gossip fodder of their circle. response:	Why don't you just do your job?
context: A huge conglomerate called Shirakiin.\Looks like you're the center of attention.\I've been doing it since I was little,\I've been doing it since I was little, and it's not something I can control.\Should getting attention from\those bored housewives make me happy?\I don't want to be the gossip fodder of their circle.\Why don't you just do your job? response:	R-Right...
context: Looks like you're the center of attention.\I've been doing it since I was little,\I've been doing it since I was little, and it's not something I can control.\Should getting attention from\those bored housewives make me happy?\I don't want to be the gossip fodder of their circle.\Why don't you just do your job?\R-Right... response:	I will put up a bold front
context: I've been doing it since I was little,\I've been doing it since I was little, and it's not something I can control.\Should getting attention from\those bored housewives make me happy?\I don't want to be the gossip fodder of their circle.\Why don't you just do your job?\R-Right...\I will put up a bold front response:	I will put up a bold front and verbally abuse people for no reason.
context: I've been doing it since I was little, and it's not something I can control.\Should getting attention from\those bored housewives make me happy?\I don't want to be the gossip fodder of their circle.\Why don't you just do your job?\R-Right...\I will put up a bold front\I will put up a bold front and verbally abuse people for no reason. response:	This is my bad habit.
context: Should getting attention from\those bored housewives make me happy?\I don't want to be the gossip fodder of their circle.\Why don't you just do your job?\R-Right...\I will put up a bold front\I will put up a bold front and verbally abuse people for no reason.\This is my bad habit. response:	Oh, Ririchiyo.
context: those bored housewives make me happy?\I don't want to be the gossip fodder of their circle.\Why don't you just do your job?\R-Right...\I will put up a bold front\I will put up a bold front and verbally abuse people for no reason.\This is my bad habit.\Oh, Ririchiyo. response:	Looks like you made it.
context: I don't want to be the gossip fodder of their circle.\Why don't you just do your job?\R-Right...\I will put up a bold front\I will put up a bold front and verbally abuse people for no reason.\This is my bad habit.\Oh, Ririchiyo.\Looks like you made it. response:	Oh, it's Sorinozuka.
context: Why don't you just do your job?\R-Right...\I will put up a bold front\I will put up a bold front and verbally abuse people for no reason.\This is my bad habit.\Oh, Ririchiyo.\Looks like you made it.\Oh, it's Sorinozuka. response:	Haven't seen you in a while.
context: R-Right...\I will put up a bold front\I will put up a bold front and verbally abuse people for no reason.\This is my bad habit.\Oh, Ririchiyo.\Looks like you made it.\Oh, it's Sorinozuka.\Haven't seen you in a while. response:	Loathing yourself for your own groundless hostility again?
context: I will put up a bold front\I will put up a bold front and verbally abuse people for no reason.\This is my bad habit.\Oh, Ririchiyo.\Looks like you made it.\Oh, it's Sorinozuka.\Haven't seen you in a while.\Loathing yourself for your own groundless hostility again? response:	What are you talking about?
context: I will put up a bold front and verbally abuse people for no reason.\This is my bad habit.\Oh, Ririchiyo.\Looks like you made it.\Oh, it's Sorinozuka.\Haven't seen you in a while.\Loathing yourself for your own groundless hostility again?\What are you talking about? response:	Is that all you brought?
context: This is my bad habit.\Oh, Ririchiyo.\Looks like you made it.\Oh, it's Sorinozuka.\Haven't seen you in a while.\Loathing yourself for your own groundless hostility again?\What are you talking about?\Is that all you brought? response:	They're bringing the rest.
context: Oh, Ririchiyo.\Looks like you made it.\Oh, it's Sorinozuka.\Haven't seen you in a while.\Loathing yourself for your own groundless hostility again?\What are you talking about?\Is that all you brought?\They're bringing the rest. response:	Oh, okay.
context: Looks like you made it.\Oh, it's Sorinozuka.\Haven't seen you in a while.\Loathing yourself for your own groundless hostility again?\What are you talking about?\Is that all you brought?\They're bringing the rest.\Oh, okay. response:	Don't act all worried about me.
context: Oh, it's Sorinozuka.\Haven't seen you in a while.\Loathing yourself for your own groundless hostility again?\What are you talking about?\Is that all you brought?\They're bringing the rest.\Oh, okay.\Don't act all worried about me. response:	We lived close to each other, but that's all we've got in common.
context: Haven't seen you in a while.\Loathing yourself for your own groundless hostility again?\What are you talking about?\Is that all you brought?\They're bringing the rest.\Oh, okay.\Don't act all worried about me.\We lived close to each other, but that's all we've got in common. response:	But I know lots about you.
context: Loathing yourself for your own groundless hostility again?\What are you talking about?\Is that all you brought?\They're bringing the rest.\Oh, okay.\Don't act all worried about me.\We lived close to each other, but that's all we've got in common.\But I know lots about you. response:	Like back in the sixth grade...
context: What are you talking about?\Is that all you brought?\They're bringing the rest.\Oh, okay.\Don't act all worried about me.\We lived close to each other, but that's all we've got in common.\But I know lots about you.\Like back in the sixth grade... response:	Ririchiyo, want to come eat lunch with us?
context: Is that all you brought?\They're bringing the rest.\Oh, okay.\Don't act all worried about me.\We lived close to each other, but that's all we've got in common.\But I know lots about you.\Like back in the sixth grade...\Ririchiyo, want to come eat lunch with us? response:	You're nothing but sheep.
context: They're bringing the rest.\Oh, okay.\Don't act all worried about me.\We lived close to each other, but that's all we've got in common.\But I know lots about you.\Like back in the sixth grade...\Ririchiyo, want to come eat lunch with us?\You're nothing but sheep. response:	Is what you said to them,
context: Oh, okay.\Don't act all worried about me.\We lived close to each other, but that's all we've got in common.\But I know lots about you.\Like back in the sixth grade...\Ririchiyo, want to come eat lunch with us?\You're nothing but sheep.\Is what you said to them, response:	but you cried about it afterwards.
context: Don't act all worried about me.\We lived close to each other, but that's all we've got in common.\But I know lots about you.\Like back in the sixth grade...\Ririchiyo, want to come eat lunch with us?\You're nothing but sheep.\Is what you said to them,\but you cried about it afterwards. response:	I wasn't crying! That was an allergic reaction!
context: We lived close to each other, but that's all we've got in common.\But I know lots about you.\Like back in the sixth grade...\Ririchiyo, want to come eat lunch with us?\You're nothing but sheep.\Is what you said to them,\but you cried about it afterwards.\I wasn't crying! That was an allergic reaction! response:	You wrote a really polite apology letter after we got in a fight.
context: But I know lots about you.\Like back in the sixth grade...\Ririchiyo, want to come eat lunch with us?\You're nothing but sheep.\Is what you said to them,\but you cried about it afterwards.\I wasn't crying! That was an allergic reaction!\You wrote a really polite apology letter after we got in a fight. response:	I didn't!
context: Like back in the sixth grade...\Ririchiyo, want to come eat lunch with us?\You're nothing but sheep.\Is what you said to them,\but you cried about it afterwards.\I wasn't crying! That was an allergic reaction!\You wrote a really polite apology letter after we got in a fight.\I didn't! response:	I was just practicing my handwriting!
context: Ririchiyo, want to come eat lunch with us?\You're nothing but sheep.\Is what you said to them,\but you cried about it afterwards.\I wasn't crying! That was an allergic reaction!\You wrote a really polite apology letter after we got in a fight.\I didn't!\I was just practicing my handwriting! response:	This place has a nickname: Ayakashi Kan.
context: You're nothing but sheep.\Is what you said to them,\but you cried about it afterwards.\I wasn't crying! That was an allergic reaction!\You wrote a really polite apology letter after we got in a fight.\I didn't!\I was just practicing my handwriting!\This place has a nickname: Ayakashi Kan. response:	Its real name is Maison de Ayakashi.
context: Is what you said to them,\but you cried about it afterwards.\I wasn't crying! That was an allergic reaction!\You wrote a really polite apology letter after we got in a fight.\I didn't!\I was just practicing my handwriting!\This place has a nickname: Ayakashi Kan.\Its real name is Maison de Ayakashi. response:	An apartment complex for the super elite,
context: but you cried about it afterwards.\I wasn't crying! That was an allergic reaction!\You wrote a really polite apology letter after we got in a fight.\I didn't!\I was just practicing my handwriting!\This place has a nickname: Ayakashi Kan.\Its real name is Maison de Ayakashi.\An apartment complex for the super elite, response:	where only chosen people may live.
context: I wasn't crying! That was an allergic reaction!\You wrote a really polite apology letter after we got in a fight.\I didn't!\I was just practicing my handwriting!\This place has a nickname: Ayakashi Kan.\Its real name is Maison de Ayakashi.\An apartment complex for the super elite,\where only chosen people may live. response:	That's what the public is supposed to think.
context: You wrote a really polite apology letter after we got in a fight.\I didn't!\I was just practicing my handwriting!\This place has a nickname: Ayakashi Kan.\Its real name is Maison de Ayakashi.\An apartment complex for the super elite,\where only chosen people may live.\That's what the public is supposed to think. response:	I came here to be
context: I didn't!\I was just practicing my handwriting!\This place has a nickname: Ayakashi Kan.\Its real name is Maison de Ayakashi.\An apartment complex for the super elite,\where only chosen people may live.\That's what the public is supposed to think.\I came here to be response:	alone.
context: I was just practicing my handwriting!\This place has a nickname: Ayakashi Kan.\Its real name is Maison de Ayakashi.\An apartment complex for the super elite,\where only chosen people may live.\That's what the public is supposed to think.\I came here to be\alone. response:	I'm actually in room three.
context: This place has a nickname: Ayakashi Kan.\Its real name is Maison de Ayakashi.\An apartment complex for the super elite,\where only chosen people may live.\That's what the public is supposed to think.\I came here to be\alone.\I'm actually in room three. response:	Just call me if you need any help.
context: Its real name is Maison de Ayakashi.\An apartment complex for the super elite,\where only chosen people may live.\That's what the public is supposed to think.\I came here to be\alone.\I'm actually in room three.\Just call me if you need any help. response:	Thank you for coming out.
context: An apartment complex for the super elite,\where only chosen people may live.\That's what the public is supposed to think.\I came here to be\alone.\I'm actually in room three.\Just call me if you need any help.\Thank you for coming out. response:	Room four... this is it.
context: where only chosen people may live.\That's what the public is supposed to think.\I came here to be\alone.\I'm actually in room three.\Just call me if you need any help.\Thank you for coming out.\Room four... this is it. response:	Am I supposed to thank you now?
context: That's what the public is supposed to think.\I came here to be\alone.\I'm actually in room three.\Just call me if you need any help.\Thank you for coming out.\Room four... this is it.\Am I supposed to thank you now? response:	No.
context: I came here to be\alone.\I'm actually in room three.\Just call me if you need any help.\Thank you for coming out.\Room four... this is it.\Am I supposed to thank you now?\No. response:	Please don't waste such words on me.
context: alone.\I'm actually in room three.\Just call me if you need any help.\Thank you for coming out.\Room four... this is it.\Am I supposed to thank you now?\No.\Please don't waste such words on me. response:	I've been waiting so long to meet you,
context: I'm actually in room three.\Just call me if you need any help.\Thank you for coming out.\Room four... this is it.\Am I supposed to thank you now?\No.\Please don't waste such words on me.\I've been waiting so long to meet you, response:	Miss Ririchiyo.
context: Just call me if you need any help.\Thank you for coming out.\Room four... this is it.\Am I supposed to thank you now?\No.\Please don't waste such words on me.\I've been waiting so long to meet you,\Miss Ririchiyo. response:	Are you... crying?!
context: Thank you for coming out.\Room four... this is it.\Am I supposed to thank you now?\No.\Please don't waste such words on me.\I've been waiting so long to meet you,\Miss Ririchiyo.\Are you... crying?! response:	From this day on, it's my duty to oversee your daily safety.
context: Room four... this is it.\Am I supposed to thank you now?\No.\Please don't waste such words on me.\I've been waiting so long to meet you,\Miss Ririchiyo.\Are you... crying?!\From this day on, it's my duty to oversee your daily safety. response:	My name is Soushi Miketsukami.
context: Am I supposed to thank you now?\No.\Please don't waste such words on me.\I've been waiting so long to meet you,\Miss Ririchiyo.\Are you... crying?!\From this day on, it's my duty to oversee your daily safety.\My name is Soushi Miketsukami. response:	My daily safety.
context: No.\Please don't waste such words on me.\I've been waiting so long to meet you,\Miss Ririchiyo.\Are you... crying?!\From this day on, it's my duty to oversee your daily safety.\My name is Soushi Miketsukami.\My daily safety. response:	So you're Secret Service.
context: Please don't waste such words on me.\I've been waiting so long to meet you,\Miss Ririchiyo.\Are you... crying?!\From this day on, it's my duty to oversee your daily safety.\My name is Soushi Miketsukami.\My daily safety.\So you're Secret Service. response:	I didn't sign any contracts for you.
context: I've been waiting so long to meet you,\Miss Ririchiyo.\Are you... crying?!\From this day on, it's my duty to oversee your daily safety.\My name is Soushi Miketsukami.\My daily safety.\So you're Secret Service.\I didn't sign any contracts for you. response:	Are you saying you don't need me?
context: Miss Ririchiyo.\Are you... crying?!\From this day on, it's my duty to oversee your daily safety.\My name is Soushi Miketsukami.\My daily safety.\So you're Secret Service.\I didn't sign any contracts for you.\Are you saying you don't need me? response:	That's exactly what I'm saying.
context: Are you... crying?!\From this day on, it's my duty to oversee your daily safety.\My name is Soushi Miketsukami.\My daily safety.\So you're Secret Service.\I didn't sign any contracts for you.\Are you saying you don't need me?\That's exactly what I'm saying. response:	Then please.
context: From this day on, it's my duty to oversee your daily safety.\My name is Soushi Miketsukami.\My daily safety.\So you're Secret Service.\I didn't sign any contracts for you.\Are you saying you don't need me?\That's exactly what I'm saying.\Then please. response:	I implore you to dispose of me.
context: My name is Soushi Miketsukami.\My daily safety.\So you're Secret Service.\I didn't sign any contracts for you.\Are you saying you don't need me?\That's exactly what I'm saying.\Then please.\I implore you to dispose of me. response:	To... dispose of you?
context: My daily safety.\So you're Secret Service.\I didn't sign any contracts for you.\Are you saying you don't need me?\That's exactly what I'm saying.\Then please.\I implore you to dispose of me.\To... dispose of you? response:	I exist only for you, so if you say you do not need me,
context: So you're Secret Service.\I didn't sign any contracts for you.\Are you saying you don't need me?\That's exactly what I'm saying.\Then please.\I implore you to dispose of me.\To... dispose of you?\I exist only for you, so if you say you do not need me, response:	then that renders my life meaningless.
context: I didn't sign any contracts for you.\Are you saying you don't need me?\That's exactly what I'm saying.\Then please.\I implore you to dispose of me.\To... dispose of you?\I exist only for you, so if you say you do not need me,\then that renders my life meaningless. response:	You should value yourself more!
context: Are you saying you don't need me?\That's exactly what I'm saying.\Then please.\I implore you to dispose of me.\To... dispose of you?\I exist only for you, so if you say you do not need me,\then that renders my life meaningless.\You should value yourself more! response:	You are so incredibly kind!
context: That's exactly what I'm saying.\Then please.\I implore you to dispose of me.\To... dispose of you?\I exist only for you, so if you say you do not need me,\then that renders my life meaningless.\You should value yourself more!\You are so incredibly kind! response:	What are you doing?!
context: Then please.\I implore you to dispose of me.\To... dispose of you?\I exist only for you, so if you say you do not need me,\then that renders my life meaningless.\You should value yourself more!\You are so incredibly kind!\What are you doing?! response:	You are even more wonderful than I could ever have imagined!
context: I implore you to dispose of me.\To... dispose of you?\I exist only for you, so if you say you do not need me,\then that renders my life meaningless.\You should value yourself more!\You are so incredibly kind!\What are you doing?!\You are even more wonderful than I could ever have imagined! response:	Please, make me your servant No,
context: To... dispose of you?\I exist only for you, so if you say you do not need me,\then that renders my life meaningless.\You should value yourself more!\You are so incredibly kind!\What are you doing?!\You are even more wonderful than I could ever have imagined!\Please, make me your servant No, response:	your dog.
context: I exist only for you, so if you say you do not need me,\then that renders my life meaningless.\You should value yourself more!\You are so incredibly kind!\What are you doing?!\You are even more wonderful than I could ever have imagined!\Please, make me your servant No,\your dog. response:	The Dog and Me
context: then that renders my life meaningless.\You should value yourself more!\You are so incredibly kind!\What are you doing?!\You are even more wonderful than I could ever have imagined!\Please, make me your servant No,\your dog.\The Dog and Me response:	Miss Ririchiyo, about those fish bones...
context: You should value yourself more!\You are so incredibly kind!\What are you doing?!\You are even more wonderful than I could ever have imagined!\Please, make me your servant No,\your dog.\The Dog and Me\Miss Ririchiyo, about those fish bones... response:	I don't want them!
context: You are so incredibly kind!\What are you doing?!\You are even more wonderful than I could ever have imagined!\Please, make me your servant No,\your dog.\The Dog and Me\Miss Ririchiyo, about those fish bones...\I don't want them! response:	Ririchiyo, you hired someone from the Secret Service?
context: What are you doing?!\You are even more wonderful than I could ever have imagined!\Please, make me your servant No,\your dog.\The Dog and Me\Miss Ririchiyo, about those fish bones...\I don't want them!\Ririchiyo, you hired someone from the Secret Service? response:	No, I didn't.
context: You are even more wonderful than I could ever have imagined!\Please, make me your servant No,\your dog.\The Dog and Me\Miss Ririchiyo, about those fish bones...\I don't want them!\Ririchiyo, you hired someone from the Secret Service?\No, I didn't. response:	Someone in my family must have set this up for me.
context: Please, make me your servant No,\your dog.\The Dog and Me\Miss Ririchiyo, about those fish bones...\I don't want them!\Ririchiyo, you hired someone from the Secret Service?\No, I didn't.\Someone in my family must have set this up for me. response:	And...
context: your dog.\The Dog and Me\Miss Ririchiyo, about those fish bones...\I don't want them!\Ririchiyo, you hired someone from the Secret Service?\No, I didn't.\Someone in my family must have set this up for me.\And... response:	they had to find someone so hard to abuse.
context: The Dog and Me\Miss Ririchiyo, about those fish bones...\I don't want them!\Ririchiyo, you hired someone from the Secret Service?\No, I didn't.\Someone in my family must have set this up for me.\And...\they had to find someone so hard to abuse. response:	But the whole reason I came here was...
context: Miss Ririchiyo, about those fish bones...\I don't want them!\Ririchiyo, you hired someone from the Secret Service?\No, I didn't.\Someone in my family must have set this up for me.\And...\they had to find someone so hard to abuse.\But the whole reason I came here was... response:	I don't need anyone from the Secret Service.
context: I don't want them!\Ririchiyo, you hired someone from the Secret Service?\No, I didn't.\Someone in my family must have set this up for me.\And...\they had to find someone so hard to abuse.\But the whole reason I came here was...\I don't need anyone from the Secret Service. response:	I'll just terminate your contract right now.
context: Ririchiyo, you hired someone from the Secret Service?\No, I didn't.\Someone in my family must have set this up for me.\And...\they had to find someone so hard to abuse.\But the whole reason I came here was...\I don't need anyone from the Secret Service.\I'll just terminate your contract right now. response:	Then...
context: No, I didn't.\Someone in my family must have set this up for me.\And...\they had to find someone so hard to abuse.\But the whole reason I came here was...\I don't need anyone from the Secret Service.\I'll just terminate your contract right now.\Then... response:	Don't die!
context: Someone in my family must have set this up for me.\And...\they had to find someone so hard to abuse.\But the whole reason I came here was...\I don't need anyone from the Secret Service.\I'll just terminate your contract right now.\Then...\Don't die! response:	But what else do I have to live for,
context: And...\they had to find someone so hard to abuse.\But the whole reason I came here was...\I don't need anyone from the Secret Service.\I'll just terminate your contract right now.\Then...\Don't die!\But what else do I have to live for, response:	if my raison d'etre is to serve you?
context: they had to find someone so hard to abuse.\But the whole reason I came here was...\I don't need anyone from the Secret Service.\I'll just terminate your contract right now.\Then...\Don't die!\But what else do I have to live for,\if my raison d'etre is to serve you? response:	Just go back to whatever you were doing before yesterday.
context: But the whole reason I came here was...\I don't need anyone from the Secret Service.\I'll just terminate your contract right now.\Then...\Don't die!\But what else do I have to live for,\if my raison d'etre is to serve you?\Just go back to whatever you were doing before yesterday. response:	That life is dead to me.
context: I don't need anyone from the Secret Service.\I'll just terminate your contract right now.\Then...\Don't die!\But what else do I have to live for,\if my raison d'etre is to serve you?\Just go back to whatever you were doing before yesterday.\That life is dead to me. response:	Hey, no biggie.
context: I'll just terminate your contract right now.\Then...\Don't die!\But what else do I have to live for,\if my raison d'etre is to serve you?\Just go back to whatever you were doing before yesterday.\That life is dead to me.\Hey, no biggie. response:	So you got a pretty bodyguard.
context: Then...\Don't die!\But what else do I have to live for,\if my raison d'etre is to serve you?\Just go back to whatever you were doing before yesterday.\That life is dead to me.\Hey, no biggie.\So you got a pretty bodyguard. response:	You are too random!
context: Don't die!\But what else do I have to live for,\if my raison d'etre is to serve you?\Just go back to whatever you were doing before yesterday.\That life is dead to me.\Hey, no biggie.\So you got a pretty bodyguard.\You are too random! response:	Just ignore me when my presence inconveniences you.
context: But what else do I have to live for,\if my raison d'etre is to serve you?\Just go back to whatever you were doing before yesterday.\That life is dead to me.\Hey, no biggie.\So you got a pretty bodyguard.\You are too random!\Just ignore me when my presence inconveniences you. response:	I will be happy to be used by you only when it suits you.
context: if my raison d'etre is to serve you?\Just go back to whatever you were doing before yesterday.\That life is dead to me.\Hey, no biggie.\So you got a pretty bodyguard.\You are too random!\Just ignore me when my presence inconveniences you.\I will be happy to be used by you only when it suits you. response:	Will that really make you happy?
context: Just go back to whatever you were doing before yesterday.\That life is dead to me.\Hey, no biggie.\So you got a pretty bodyguard.\You are too random!\Just ignore me when my presence inconveniences you.\I will be happy to be used by you only when it suits you.\Will that really make you happy? response:	Of course.
context: That life is dead to me.\Hey, no biggie.\So you got a pretty bodyguard.\You are too random!\Just ignore me when my presence inconveniences you.\I will be happy to be used by you only when it suits you.\Will that really make you happy?\Of course. response:	I've known you for a long time.
context: Hey, no biggie.\So you got a pretty bodyguard.\You are too random!\Just ignore me when my presence inconveniences you.\I will be happy to be used by you only when it suits you.\Will that really make you happy?\Of course.\I've known you for a long time. response:	I've been wanting to meet you for so long.
context: So you got a pretty bodyguard.\You are too random!\Just ignore me when my presence inconveniences you.\I will be happy to be used by you only when it suits you.\Will that really make you happy?\Of course.\I've known you for a long time.\I've been wanting to meet you for so long. response:	You know... me?
context: You are too random!\Just ignore me when my presence inconveniences you.\I will be happy to be used by you only when it suits you.\Will that really make you happy?\Of course.\I've known you for a long time.\I've been wanting to meet you for so long.\You know... me? response:	It's not a mystery.
context: Just ignore me when my presence inconveniences you.\I will be happy to be used by you only when it suits you.\Will that really make you happy?\Of course.\I've known you for a long time.\I've been wanting to meet you for so long.\You know... me?\It's not a mystery. response:	It's not that big, and there is a lot of activity...
context: I will be happy to be used by you only when it suits you.\Will that really make you happy?\Of course.\I've known you for a long time.\I've been wanting to meet you for so long.\You know... me?\It's not a mystery.\It's not that big, and there is a lot of activity... response:	in our community.
context: Will that really make you happy?\Of course.\I've known you for a long time.\I've been wanting to meet you for so long.\You know... me?\It's not a mystery.\It's not that big, and there is a lot of activity...\in our community. response:	Thank you!
context: Of course.\I've known you for a long time.\I've been wanting to meet you for so long.\You know... me?\It's not a mystery.\It's not that big, and there is a lot of activity...\in our community.\Thank you! response:	I let my guard down since it's spring break.
context: I've known you for a long time.\I've been wanting to meet you for so long.\You know... me?\It's not a mystery.\It's not that big, and there is a lot of activity...\in our community.\Thank you!\I let my guard down since it's spring break. response:	It's already nine.
context: I've been wanting to meet you for so long.\You know... me?\It's not a mystery.\It's not that big, and there is a lot of activity...\in our community.\Thank you!\I let my guard down since it's spring break.\It's already nine. response:	I didn't shop for food.
context: You know... me?\It's not a mystery.\It's not that big, and there is a lot of activity...\in our community.\Thank you!\I let my guard down since it's spring break.\It's already nine.\I didn't shop for food. response:	I guess I'll get something to eat in the lounge.
context: It's not a mystery.\It's not that big, and there is a lot of activity...\in our community.\Thank you!\I let my guard down since it's spring break.\It's already nine.\I didn't shop for food.\I guess I'll get something to eat in the lounge. response:	A lot happened yesterday.
context: It's not that big, and there is a lot of activity...\in our community.\Thank you!\I let my guard down since it's spring break.\It's already nine.\I didn't shop for food.\I guess I'll get something to eat in the lounge.\A lot happened yesterday. response:	Anyway, the contract is void. Do you understand?
context: in our community.\Thank you!\I let my guard down since it's spring break.\It's already nine.\I didn't shop for food.\I guess I'll get something to eat in the lounge.\A lot happened yesterday.\Anyway, the contract is void. Do you understand? response:	So I probably won't see you again.
context: Thank you!\I let my guard down since it's spring break.\It's already nine.\I didn't shop for food.\I guess I'll get something to eat in the lounge.\A lot happened yesterday.\Anyway, the contract is void. Do you understand?\So I probably won't see you again. response:	Stop looking at me like that!
context: I let my guard down since it's spring break.\It's already nine.\I didn't shop for food.\I guess I'll get something to eat in the lounge.\A lot happened yesterday.\Anyway, the contract is void. Do you understand?\So I probably won't see you again.\Stop looking at me like that! response:	I guess not even he will show up today.
context: It's already nine.\I didn't shop for food.\I guess I'll get something to eat in the lounge.\A lot happened yesterday.\Anyway, the contract is void. Do you understand?\So I probably won't see you again.\Stop looking at me like that!\I guess not even he will show up today. response:	Good morning, Miss Ririchiyo.
context: I didn't shop for food.\I guess I'll get something to eat in the lounge.\A lot happened yesterday.\Anyway, the contract is void. Do you understand?\So I probably won't see you again.\Stop looking at me like that!\I guess not even he will show up today.\Good morning, Miss Ririchiyo. response:	I see you're looking beautiful today, as well.
context: I guess I'll get something to eat in the lounge.\A lot happened yesterday.\Anyway, the contract is void. Do you understand?\So I probably won't see you again.\Stop looking at me like that!\I guess not even he will show up today.\Good morning, Miss Ririchiyo.\I see you're looking beautiful today, as well. response:	Your beauty truly suits your name well...
context: A lot happened yesterday.\Anyway, the contract is void. Do you understand?\So I probably won't see you again.\Stop looking at me like that!\I guess not even he will show up today.\Good morning, Miss Ririchiyo.\I see you're looking beautiful today, as well.\Your beauty truly suits your name well... response:	How long have you been here?!
context: Anyway, the contract is void. Do you understand?\So I probably won't see you again.\Stop looking at me like that!\I guess not even he will show up today.\Good morning, Miss Ririchiyo.\I see you're looking beautiful today, as well.\Your beauty truly suits your name well...\How long have you been here?! response:	I have not been told your waking hour,
context: So I probably won't see you again.\Stop looking at me like that!\I guess not even he will show up today.\Good morning, Miss Ririchiyo.\I see you're looking beautiful today, as well.\Your beauty truly suits your name well...\How long have you been here?!\I have not been told your waking hour, response:	so I have been waiting here since six in the morning.
context: Stop looking at me like that!\I guess not even he will show up today.\Good morning, Miss Ririchiyo.\I see you're looking beautiful today, as well.\Your beauty truly suits your name well...\How long have you been here?!\I have not been told your waking hour,\so I have been waiting here since six in the morning. response:	Since six?!
