context: The land of Flonyard. response:	On this continent, bathed in protective light,
context: I can't tell you until we get there.\Same day, 11:09 PM Earth/ Great Britain, City of London\Hi, Sink. It's me, Nanami.\Where are you?\Winner of the Iron Athletics tournament last year Takatsuki Nanami (Lives in London, Sink's cousin)\Almost at the station.\I just have to wait there, right?\Yes. response:	The guide will escort you from there.
context: Same day, 11:09 PM Earth/ Great Britain, City of London\Hi, Sink. It's me, Nanami.\Where are you?\Winner of the Iron Athletics tournament last year Takatsuki Nanami (Lives in London, Sink's cousin)\Almost at the station.\I just have to wait there, right?\Yes.\The guide will escort you from there. response:	Roger.
context: Hi, Sink. It's me, Nanami.\Where are you?\Winner of the Iron Athletics tournament last year Takatsuki Nanami (Lives in London, Sink's cousin)\Almost at the station.\I just have to wait there, right?\Yes.\The guide will escort you from there.\Roger. response:	What are we doing here?
context: Where are you?\Winner of the Iron Athletics tournament last year Takatsuki Nanami (Lives in London, Sink's cousin)\Almost at the station.\I just have to wait there, right?\Yes.\The guide will escort you from there.\Roger.\What are we doing here? response:	Tatsumaki!
context: Winner of the Iron Athletics tournament last year Takatsuki Nanami (Lives in London, Sink's cousin)\Almost at the station.\I just have to wait there, right?\Yes.\The guide will escort you from there.\Roger.\What are we doing here?\Tatsumaki! response:	Sink!
context: Almost at the station.\I just have to wait there, right?\Yes.\The guide will escort you from there.\Roger.\What are we doing here?\Tatsumaki!\Sink! response:	I haven't seen you in forever.
context: I just have to wait there, right?\Yes.\The guide will escort you from there.\Roger.\What are we doing here?\Tatsumaki!\Sink!\I haven't seen you in forever. response:	Sorry I kept you waiting, Becky.
context: Yes.\The guide will escort you from there.\Roger.\What are we doing here?\Tatsumaki!\Sink!\I haven't seen you in forever.\Sorry I kept you waiting, Becky. response:	We're leaving for our trip from here.
context: The guide will escort you from there.\Roger.\What are we doing here?\Tatsumaki!\Sink!\I haven't seen you in forever.\Sorry I kept you waiting, Becky.\We're leaving for our trip from here. response:	Here, kitty kitty.
context: Roger.\What are we doing here?\Tatsumaki!\Sink!\I haven't seen you in forever.\Sorry I kept you waiting, Becky.\We're leaving for our trip from here.\Here, kitty kitty. response:	For me?
context: What are we doing here?\Tatsumaki!\Sink!\I haven't seen you in forever.\Sorry I kept you waiting, Becky.\We're leaving for our trip from here.\Here, kitty kitty.\For me? response:	H-hey, Sink...
context: Tatsumaki!\Sink!\I haven't seen you in forever.\Sorry I kept you waiting, Becky.\We're leaving for our trip from here.\Here, kitty kitty.\For me?\H-hey, Sink... response:	Here we go.
context: Sink!\I haven't seen you in forever.\Sorry I kept you waiting, Becky.\We're leaving for our trip from here.\Here, kitty kitty.\For me?\H-hey, Sink...\Here we go. response:	Becky, the view is really great.
context: I haven't seen you in forever.\Sorry I kept you waiting, Becky.\We're leaving for our trip from here.\Here, kitty kitty.\For me?\H-hey, Sink...\Here we go.\Becky, the view is really great. response:	Open your eyes and look!
context: Sorry I kept you waiting, Becky.\We're leaving for our trip from here.\Here, kitty kitty.\For me?\H-hey, Sink...\Here we go.\Becky, the view is really great.\Open your eyes and look! response:	No way!
context: We're leaving for our trip from here.\Here, kitty kitty.\For me?\H-hey, Sink...\Here we go.\Becky, the view is really great.\Open your eyes and look!\No way! response:	It's in the afternoon...
context: Here, kitty kitty.\For me?\H-hey, Sink...\Here we go.\Becky, the view is really great.\Open your eyes and look!\No way!\It's in the afternoon... response:	Is that the sea?
context: For me?\H-hey, Sink...\Here we go.\Becky, the view is really great.\Open your eyes and look!\No way!\It's in the afternoon...\Is that the sea? response:	Wait, I'm in the sky?!
context: H-hey, Sink...\Here we go.\Becky, the view is really great.\Open your eyes and look!\No way!\It's in the afternoon...\Is that the sea?\Wait, I'm in the sky?! response:	I'm sorry, Becky.
context: Here we go.\Becky, the view is really great.\Open your eyes and look!\No way!\It's in the afternoon...\Is that the sea?\Wait, I'm in the sky?!\I'm sorry, Becky. response:	Wait here for a sec, okay?
context: Becky, the view is really great.\Open your eyes and look!\No way!\It's in the afternoon...\Is that the sea?\Wait, I'm in the sky?!\I'm sorry, Becky.\Wait here for a sec, okay? response:	Sink...
context: Open your eyes and look!\No way!\It's in the afternoon...\Is that the sea?\Wait, I'm in the sky?!\I'm sorry, Becky.\Wait here for a sec, okay?\Sink... response:	Yes, Princess.
context: No way!\It's in the afternoon...\Is that the sea?\Wait, I'm in the sky?!\I'm sorry, Becky.\Wait here for a sec, okay?\Sink...\Yes, Princess. response:	Sink! Sink! Sink!
context: It's in the afternoon...\Is that the sea?\Wait, I'm in the sky?!\I'm sorry, Becky.\Wait here for a sec, okay?\Sink...\Yes, Princess.\Sink! Sink! Sink! response:	Princess! I'm sorry I kept you waiting.
context: Is that the sea?\Wait, I'm in the sky?!\I'm sorry, Becky.\Wait here for a sec, okay?\Sink...\Yes, Princess.\Sink! Sink! Sink!\Princess! I'm sorry I kept you waiting. response:	I'm back, just like I promised!
context: Wait, I'm in the sky?!\I'm sorry, Becky.\Wait here for a sec, okay?\Sink...\Yes, Princess.\Sink! Sink! Sink!\Princess! I'm sorry I kept you waiting.\I'm back, just like I promised! response:	Yup!
context: I'm sorry, Becky.\Wait here for a sec, okay?\Sink...\Yes, Princess.\Sink! Sink! Sink!\Princess! I'm sorry I kept you waiting.\I'm back, just like I promised!\Yup! response:	Thank you for summoning me again.
context: Wait here for a sec, okay?\Sink...\Yes, Princess.\Sink! Sink! Sink!\Princess! I'm sorry I kept you waiting.\I'm back, just like I promised!\Yup!\Thank you for summoning me again. response:	But of course! Thank you for answering.
context: Sink...\Yes, Princess.\Sink! Sink! Sink!\Princess! I'm sorry I kept you waiting.\I'm back, just like I promised!\Yup!\Thank you for summoning me again.\But of course! Thank you for answering. response:	I'm so glad you came again.
context: Yes, Princess.\Sink! Sink! Sink!\Princess! I'm sorry I kept you waiting.\I'm back, just like I promised!\Yup!\Thank you for summoning me again.\But of course! Thank you for answering.\I'm so glad you came again. response:	Me, too.
context: Sink! Sink! Sink!\Princess! I'm sorry I kept you waiting.\I'm back, just like I promised!\Yup!\Thank you for summoning me again.\But of course! Thank you for answering.\I'm so glad you came again.\Me, too. response:	It's not just me though.
context: Princess! I'm sorry I kept you waiting.\I'm back, just like I promised!\Yup!\Thank you for summoning me again.\But of course! Thank you for answering.\I'm so glad you came again.\Me, too.\It's not just me though. response:	There's also Nanami and Becky...
context: I'm back, just like I promised!\Yup!\Thank you for summoning me again.\But of course! Thank you for answering.\I'm so glad you came again.\Me, too.\It's not just me though.\There's also Nanami and Becky... response:	How is Rebecca-san?
context: Yup!\Thank you for summoning me again.\But of course! Thank you for answering.\I'm so glad you came again.\Me, too.\It's not just me though.\There's also Nanami and Becky...\How is Rebecca-san? response:	Oh!
context: Thank you for summoning me again.\But of course! Thank you for answering.\I'm so glad you came again.\Me, too.\It's not just me though.\There's also Nanami and Becky...\How is Rebecca-san?\Oh! response:	I think she was a little too startled.
context: But of course! Thank you for answering.\I'm so glad you came again.\Me, too.\It's not just me though.\There's also Nanami and Becky...\How is Rebecca-san?\Oh!\I think she was a little too startled. response:	Let's take her somewhere where she can rest.
context: I'm so glad you came again.\Me, too.\It's not just me though.\There's also Nanami and Becky...\How is Rebecca-san?\Oh!\I think she was a little too startled.\Let's take her somewhere where she can rest. response:	Is Nanami doing okay?
context: Me, too.\It's not just me though.\There's also Nanami and Becky...\How is Rebecca-san?\Oh!\I think she was a little too startled.\Let's take her somewhere where she can rest.\Is Nanami doing okay? response:	She is.
context: It's not just me though.\There's also Nanami and Becky...\How is Rebecca-san?\Oh!\I think she was a little too startled.\Let's take her somewhere where she can rest.\Is Nanami doing okay?\She is. response:	I asked for her to be summoned onto the Galette premises,
context: There's also Nanami and Becky...\How is Rebecca-san?\Oh!\I think she was a little too startled.\Let's take her somewhere where she can rest.\Is Nanami doing okay?\She is.\I asked for her to be summoned onto the Galette premises, response:	So everyone's already...
context: How is Rebecca-san?\Oh!\I think she was a little too startled.\Let's take her somewhere where she can rest.\Is Nanami doing okay?\She is.\I asked for her to be summoned onto the Galette premises,\So everyone's already... response:	As you can see.
context: Oh!\I think she was a little too startled.\Let's take her somewhere where she can rest.\Is Nanami doing okay?\She is.\I asked for her to be summoned onto the Galette premises,\So everyone's already...\As you can see. response:	Our hero!
context: I think she was a little too startled.\Let's take her somewhere where she can rest.\Is Nanami doing okay?\She is.\I asked for her to be summoned onto the Galette premises,\So everyone's already...\As you can see.\Our hero! response:	Our hero!
context: Let's take her somewhere where she can rest.\Is Nanami doing okay?\She is.\I asked for her to be summoned onto the Galette premises,\So everyone's already...\As you can see.\Our hero!\Our hero! response:	Our hero!
context: Is Nanami doing okay?\She is.\I asked for her to be summoned onto the Galette premises,\So everyone's already...\As you can see.\Our hero!\Our hero!\Our hero! response:	Jeez, you took too long.
context: She is.\I asked for her to be summoned onto the Galette premises,\So everyone's already...\As you can see.\Our hero!\Our hero!\Our hero!\Jeez, you took too long. response:	Our hero!
context: I asked for her to be summoned onto the Galette premises,\So everyone's already...\As you can see.\Our hero!\Our hero!\Our hero!\Jeez, you took too long.\Our hero! response:	I am overjoyed that the summoning worked again without any problems!
context: So everyone's already...\As you can see.\Our hero!\Our hero!\Our hero!\Jeez, you took too long.\Our hero!\I am overjoyed that the summoning worked again without any problems! response:	That's because you did all the research necessary.
context: As you can see.\Our hero!\Our hero!\Our hero!\Jeez, you took too long.\Our hero!\I am overjoyed that the summoning worked again without any problems!\That's because you did all the research necessary. response:	Thanks, Rico.
context: Our hero!\Our hero!\Our hero!\Jeez, you took too long.\Our hero!\I am overjoyed that the summoning worked again without any problems!\That's because you did all the research necessary.\Thanks, Rico. response:	Rico, stop hogging him!
context: Our hero!\Our hero!\Jeez, you took too long.\Our hero!\I am overjoyed that the summoning worked again without any problems!\That's because you did all the research necessary.\Thanks, Rico.\Rico, stop hogging him! response:	I'm going to hug him, too!
context: Our hero!\Jeez, you took too long.\Our hero!\I am overjoyed that the summoning worked again without any problems!\That's because you did all the research necessary.\Thanks, Rico.\Rico, stop hogging him!\I'm going to hug him, too! response:	Certainly.
context: Jeez, you took too long.\Our hero!\I am overjoyed that the summoning worked again without any problems!\That's because you did all the research necessary.\Thanks, Rico.\Rico, stop hogging him!\I'm going to hug him, too!\Certainly. response:	H-hey, Yukki, Yukki!
context: Our hero!\I am overjoyed that the summoning worked again without any problems!\That's because you did all the research necessary.\Thanks, Rico.\Rico, stop hogging him!\I'm going to hug him, too!\Certainly.\H-hey, Yukki, Yukki! response:	Eclair!
context: I am overjoyed that the summoning worked again without any problems!\That's because you did all the research necessary.\Thanks, Rico.\Rico, stop hogging him!\I'm going to hug him, too!\Certainly.\H-hey, Yukki, Yukki!\Eclair! response:	It's good to see you again, Eclair.
context: That's because you did all the research necessary.\Thanks, Rico.\Rico, stop hogging him!\I'm going to hug him, too!\Certainly.\H-hey, Yukki, Yukki!\Eclair!\It's good to see you again, Eclair. response:	I came back earlier, just like I promised.
context: Thanks, Rico.\Rico, stop hogging him!\I'm going to hug him, too!\Certainly.\H-hey, Yukki, Yukki!\Eclair!\It's good to see you again, Eclair.\I came back earlier, just like I promised. response:	I hope you'll train me in all sorts of subjects, again.
context: Rico, stop hogging him!\I'm going to hug him, too!\Certainly.\H-hey, Yukki, Yukki!\Eclair!\It's good to see you again, Eclair.\I came back earlier, just like I promised.\I hope you'll train me in all sorts of subjects, again. response:	It's going to be tougher than last time.
context: I'm going to hug him, too!\Certainly.\H-hey, Yukki, Yukki!\Eclair!\It's good to see you again, Eclair.\I came back earlier, just like I promised.\I hope you'll train me in all sorts of subjects, again.\It's going to be tougher than last time. response:	Hero, hero!
context: Certainly.\H-hey, Yukki, Yukki!\Eclair!\It's good to see you again, Eclair.\I came back earlier, just like I promised.\I hope you'll train me in all sorts of subjects, again.\It's going to be tougher than last time.\Hero, hero! response:	Rebecca-dono is waking up.
context: H-hey, Yukki, Yukki!\Eclair!\It's good to see you again, Eclair.\I came back earlier, just like I promised.\I hope you'll train me in all sorts of subjects, again.\It's going to be tougher than last time.\Hero, hero!\Rebecca-dono is waking up. response:	Good morning, Becky.
context: Eclair!\It's good to see you again, Eclair.\I came back earlier, just like I promised.\I hope you'll train me in all sorts of subjects, again.\It's going to be tougher than last time.\Hero, hero!\Rebecca-dono is waking up.\Good morning, Becky. response:	Huh? Sink?
context: It's good to see you again, Eclair.\I came back earlier, just like I promised.\I hope you'll train me in all sorts of subjects, again.\It's going to be tougher than last time.\Hero, hero!\Rebecca-dono is waking up.\Good morning, Becky.\Huh? Sink? response:	Isn't it beautiful?
context: I came back earlier, just like I promised.\I hope you'll train me in all sorts of subjects, again.\It's going to be tougher than last time.\Hero, hero!\Rebecca-dono is waking up.\Good morning, Becky.\Huh? Sink?\Isn't it beautiful? response:	I wanted to bring you here so much.
context: I hope you'll train me in all sorts of subjects, again.\It's going to be tougher than last time.\Hero, hero!\Rebecca-dono is waking up.\Good morning, Becky.\Huh? Sink?\Isn't it beautiful?\I wanted to bring you here so much. response:	Um, yes, I do think that it's very beautiful...
context: It's going to be tougher than last time.\Hero, hero!\Rebecca-dono is waking up.\Good morning, Becky.\Huh? Sink?\Isn't it beautiful?\I wanted to bring you here so much.\Um, yes, I do think that it's very beautiful... response:	but the islands are floating and the sky is violet.
context: Hero, hero!\Rebecca-dono is waking up.\Good morning, Becky.\Huh? Sink?\Isn't it beautiful?\I wanted to bring you here so much.\Um, yes, I do think that it's very beautiful...\but the islands are floating and the sky is violet. response:	Well, you'll get used to it...
context: Rebecca-dono is waking up.\Good morning, Becky.\Huh? Sink?\Isn't it beautiful?\I wanted to bring you here so much.\Um, yes, I do think that it's very beautiful...\but the islands are floating and the sky is violet.\Well, you'll get used to it... response:	So, can I introduce you to my friends here?
context: Good morning, Becky.\Huh? Sink?\Isn't it beautiful?\I wanted to bring you here so much.\Um, yes, I do think that it's very beautiful...\but the islands are floating and the sky is violet.\Well, you'll get used to it...\So, can I introduce you to my friends here? response:	Sure.
context: Huh? Sink?\Isn't it beautiful?\I wanted to bring you here so much.\Um, yes, I do think that it's very beautiful...\but the islands are floating and the sky is violet.\Well, you'll get used to it...\So, can I introduce you to my friends here?\Sure. response:	Princess! Everyone!
context: Isn't it beautiful?\I wanted to bring you here so much.\Um, yes, I do think that it's very beautiful...\but the islands are floating and the sky is violet.\Well, you'll get used to it...\So, can I introduce you to my friends here?\Sure.\Princess! Everyone! response:	Yes!
context: I wanted to bring you here so much.\Um, yes, I do think that it's very beautiful...\but the islands are floating and the sky is violet.\Well, you'll get used to it...\So, can I introduce you to my friends here?\Sure.\Princess! Everyone!\Yes! response:	It's so wonderful to meet you, Rebecca-sama!
context: Um, yes, I do think that it's very beautiful...\but the islands are floating and the sky is violet.\Well, you'll get used to it...\So, can I introduce you to my friends here?\Sure.\Princess! Everyone!\Yes!\It's so wonderful to meet you, Rebecca-sama! response:	Nice to meet you.
context: but the islands are floating and the sky is violet.\Well, you'll get used to it...\So, can I introduce you to my friends here?\Sure.\Princess! Everyone!\Yes!\It's so wonderful to meet you, Rebecca-sama!\Nice to meet you. response:	Hello... it's so nice to...
context: Well, you'll get used to it...\So, can I introduce you to my friends here?\Sure.\Princess! Everyone!\Yes!\It's so wonderful to meet you, Rebecca-sama!\Nice to meet you.\Hello... it's so nice to... response:	Thank you for coming to Biscotti!
context: So, can I introduce you to my friends here?\Sure.\Princess! Everyone!\Yes!\It's so wonderful to meet you, Rebecca-sama!\Nice to meet you.\Hello... it's so nice to...\Thank you for coming to Biscotti! response:	Uh... yes, I mean... thank you...
context: Sure.\Princess! Everyone!\Yes!\It's so wonderful to meet you, Rebecca-sama!\Nice to meet you.\Hello... it's so nice to...\Thank you for coming to Biscotti!\Uh... yes, I mean... thank you... response:	Looks like it's about to start.
context: Princess! Everyone!\Yes!\It's so wonderful to meet you, Rebecca-sama!\Nice to meet you.\Hello... it's so nice to...\Thank you for coming to Biscotti!\Uh... yes, I mean... thank you...\Looks like it's about to start. response:	Yeah.
context: Yes!\It's so wonderful to meet you, Rebecca-sama!\Nice to meet you.\Hello... it's so nice to...\Thank you for coming to Biscotti!\Uh... yes, I mean... thank you...\Looks like it's about to start.\Yeah. response:	Then let's go back to the hall!
context: It's so wonderful to meet you, Rebecca-sama!\Nice to meet you.\Hello... it's so nice to...\Thank you for coming to Biscotti!\Uh... yes, I mean... thank you...\Looks like it's about to start.\Yeah.\Then let's go back to the hall! response:	Yes!
context: Nice to meet you.\Hello... it's so nice to...\Thank you for coming to Biscotti!\Uh... yes, I mean... thank you...\Looks like it's about to start.\Yeah.\Then let's go back to the hall!\Yes! response:	Let's go!
context: Hello... it's so nice to...\Thank you for coming to Biscotti!\Uh... yes, I mean... thank you...\Looks like it's about to start.\Yeah.\Then let's go back to the hall!\Yes!\Let's go! response:	Sink!
context: Thank you for coming to Biscotti!\Uh... yes, I mean... thank you...\Looks like it's about to start.\Yeah.\Then let's go back to the hall!\Yes!\Let's go!\Sink! response:	I've got so many questions!
context: Uh... yes, I mean... thank you...\Looks like it's about to start.\Yeah.\Then let's go back to the hall!\Yes!\Let's go!\Sink!\I've got so many questions! response:	Don't worry, I'll explain everything.
context: Looks like it's about to start.\Yeah.\Then let's go back to the hall!\Yes!\Let's go!\Sink!\I've got so many questions!\Don't worry, I'll explain everything. response:	We're off, then!
context: Yeah.\Then let's go back to the hall!\Yes!\Let's go!\Sink!\I've got so many questions!\Don't worry, I'll explain everything.\We're off, then! response:	Our destination is Fournette, our battle-ground for the day!
context: Then let's go back to the hall!\Yes!\Let's go!\Sink!\I've got so many questions!\Don't worry, I'll explain everything.\We're off, then!\Our destination is Fournette, our battle-ground for the day! response:	Let's go!
context: Yes!\Let's go!\Sink!\I've got so many questions!\Don't worry, I'll explain everything.\We're off, then!\Our destination is Fournette, our battle-ground for the day!\Let's go! response:	The sky is clear and it's another day perfect for war!
context: Let's go!\Sink!\I've got so many questions!\Don't worry, I'll explain everything.\We're off, then!\Our destination is Fournette, our battle-ground for the day!\Let's go!\The sky is clear and it's another day perfect for war! response:	The main players have yet to arrive,
context: Sink!\I've got so many questions!\Don't worry, I'll explain everything.\We're off, then!\Our destination is Fournette, our battle-ground for the day!\Let's go!\The sky is clear and it's another day perfect for war!\The main players have yet to arrive, response:	but the Biscotti vs Galette army battle has already begun!
context: I've got so many questions!\Don't worry, I'll explain everything.\We're off, then!\Our destination is Fournette, our battle-ground for the day!\Let's go!\The sky is clear and it's another day perfect for war!\The main players have yet to arrive,\but the Biscotti vs Galette army battle has already begun! response:	We're your hosts today,
context: Don't worry, I'll explain everything.\We're off, then!\Our destination is Fournette, our battle-ground for the day!\Let's go!\The sky is clear and it's another day perfect for war!\The main players have yet to arrive,\but the Biscotti vs Galette army battle has already begun!\We're your hosts today, response:	and we'll be bringing you all the action live!
context: We're off, then!\Our destination is Fournette, our battle-ground for the day!\Let's go!\The sky is clear and it's another day perfect for war!\The main players have yet to arrive,\but the Biscotti vs Galette army battle has already begun!\We're your hosts today,\and we'll be bringing you all the action live! response:	We are Framboise Charley from the Galette National Broadcast and...
context: Our destination is Fournette, our battle-ground for the day!\Let's go!\The sky is clear and it's another day perfect for war!\The main players have yet to arrive,\but the Biscotti vs Galette army battle has already begun!\We're your hosts today,\and we'll be bringing you all the action live!\We are Framboise Charley from the Galette National Broadcast and... response:	Percy Gaudi from the Biscotti National Broadcast!
context: Let's go!\The sky is clear and it's another day perfect for war!\The main players have yet to arrive,\but the Biscotti vs Galette army battle has already begun!\We're your hosts today,\and we'll be bringing you all the action live!\We are Framboise Charley from the Galette National Broadcast and...\Percy Gaudi from the Biscotti National Broadcast! response:	Now, all of our wonderful guests we invited from both countries!
