context: I send you my greetings, Elder Sister. response:	It has been four months since I left Japan.
context: Morning comes late for a spy.\We often work deep into the night, so we are much like owls.\I wonder why Westerners sleep so high off of the ground.\And they don't remove their footwear when they come inside.\This makes their feet stink.\S-something stinks!\This girl is Beatrice.\She is the daughter of a baron, and she and I are in the same year at school. response:	What is this smell?!
context: We often work deep into the night, so we are much like owls.\I wonder why Westerners sleep so high off of the ground.\And they don't remove their footwear when they come inside.\This makes their feet stink.\S-something stinks!\This girl is Beatrice.\She is the daughter of a baron, and she and I are in the same year at school.\What is this smell?! response:	It's you, isn't it?!
context: I wonder why Westerners sleep so high off of the ground.\And they don't remove their footwear when they come inside.\This makes their feet stink.\S-something stinks!\This girl is Beatrice.\She is the daughter of a baron, and she and I are in the same year at school.\What is this smell?!\It's you, isn't it?! response:	How rude! I bathe every day-
context: And they don't remove their footwear when they come inside.\This makes their feet stink.\S-something stinks!\This girl is Beatrice.\She is the daughter of a baron, and she and I are in the same year at school.\What is this smell?!\It's you, isn't it?!\How rude! I bathe every day- response:	That's not what I meant!
context: This makes their feet stink.\S-something stinks!\This girl is Beatrice.\She is the daughter of a baron, and she and I are in the same year at school.\What is this smell?!\It's you, isn't it?!\How rude! I bathe every day-\That's not what I meant! response:	You brought something in here, didn't you?
context: S-something stinks!\This girl is Beatrice.\She is the daughter of a baron, and she and I are in the same year at school.\What is this smell?!\It's you, isn't it?!\How rude! I bathe every day-\That's not what I meant!\You brought something in here, didn't you? response:	Last time it was those rotten beans...
context: This girl is Beatrice.\She is the daughter of a baron, and she and I are in the same year at school.\What is this smell?!\It's you, isn't it?!\How rude! I bathe every day-\That's not what I meant!\You brought something in here, didn't you?\Last time it was those rotten beans... response:	Oh, do you mean my natto?
context: She is the daughter of a baron, and she and I are in the same year at school.\What is this smell?!\It's you, isn't it?!\How rude! I bathe every day-\That's not what I meant!\You brought something in here, didn't you?\Last time it was those rotten beans...\Oh, do you mean my natto? response:	What is it now? Meat?
context: What is this smell?!\It's you, isn't it?!\How rude! I bathe every day-\That's not what I meant!\You brought something in here, didn't you?\Last time it was those rotten beans...\Oh, do you mean my natto?\What is it now? Meat? response:	Or is it fish?
context: It's you, isn't it?!\How rude! I bathe every day-\That's not what I meant!\You brought something in here, didn't you?\Last time it was those rotten beans...\Oh, do you mean my natto?\What is it now? Meat?\Or is it fish? response:	Vegetables.
context: How rude! I bathe every day-\That's not what I meant!\You brought something in here, didn't you?\Last time it was those rotten beans...\Oh, do you mean my natto?\What is it now? Meat?\Or is it fish?\Vegetables. response:	We call it nukazuke.
context: That's not what I meant!\You brought something in here, didn't you?\Last time it was those rotten beans...\Oh, do you mean my natto?\What is it now? Meat?\Or is it fish?\Vegetables.\We call it nukazuke. response:	It is delicious.
context: You brought something in here, didn't you?\Last time it was those rotten beans...\Oh, do you mean my natto?\What is it now? Meat?\Or is it fish?\Vegetables.\We call it nukazuke.\It is delicious. response:	All the students in the dormitories eat breakfast together.
context: Last time it was those rotten beans...\Oh, do you mean my natto?\What is it now? Meat?\Or is it fish?\Vegetables.\We call it nukazuke.\It is delicious.\All the students in the dormitories eat breakfast together. response:	But...
context: Oh, do you mean my natto?\What is it now? Meat?\Or is it fish?\Vegetables.\We call it nukazuke.\It is delicious.\All the students in the dormitories eat breakfast together.\But... response:	To be honest, the food of this nation is not very good.
context: What is it now? Meat?\Or is it fish?\Vegetables.\We call it nukazuke.\It is delicious.\All the students in the dormitories eat breakfast together.\But...\To be honest, the food of this nation is not very good. response:	At eight in the morning, class begins.
context: Or is it fish?\Vegetables.\We call it nukazuke.\It is delicious.\All the students in the dormitories eat breakfast together.\But...\To be honest, the food of this nation is not very good.\At eight in the morning, class begins. response:	Miss Todo.
context: Vegetables.\We call it nukazuke.\It is delicious.\All the students in the dormitories eat breakfast together.\But...\To be honest, the food of this nation is not very good.\At eight in the morning, class begins.\Miss Todo. response:	Answer this question.
context: We call it nukazuke.\It is delicious.\All the students in the dormitories eat breakfast together.\But...\To be honest, the food of this nation is not very good.\At eight in the morning, class begins.\Miss Todo.\Answer this question. response:	I just haven't learned English very well yet.
context: It is delicious.\All the students in the dormitories eat breakfast together.\But...\To be honest, the food of this nation is not very good.\At eight in the morning, class begins.\Miss Todo.\Answer this question.\I just haven't learned English very well yet. response:	It's true.
context: All the students in the dormitories eat breakfast together.\But...\To be honest, the food of this nation is not very good.\At eight in the morning, class begins.\Miss Todo.\Answer this question.\I just haven't learned English very well yet.\It's true. response:	Nine o'clock.
context: But...\To be honest, the food of this nation is not very good.\At eight in the morning, class begins.\Miss Todo.\Answer this question.\I just haven't learned English very well yet.\It's true.\Nine o'clock. response:	Time for training. They call it physical education.
context: To be honest, the food of this nation is not very good.\At eight in the morning, class begins.\Miss Todo.\Answer this question.\I just haven't learned English very well yet.\It's true.\Nine o'clock.\Time for training. They call it physical education. response:	Physical exertion is my strongest suit.
context: At eight in the morning, class begins.\Miss Todo.\Answer this question.\I just haven't learned English very well yet.\It's true.\Nine o'clock.\Time for training. They call it physical education.\Physical exertion is my strongest suit. response:	Ten o'clock. Music.
context: Miss Todo.\Answer this question.\I just haven't learned English very well yet.\It's true.\Nine o'clock.\Time for training. They call it physical education.\Physical exertion is my strongest suit.\Ten o'clock. Music. response:	Today I demonstrated an instrument from Japan.
context: Answer this question.\I just haven't learned English very well yet.\It's true.\Nine o'clock.\Time for training. They call it physical education.\Physical exertion is my strongest suit.\Ten o'clock. Music.\Today I demonstrated an instrument from Japan. response:	That is to say...
context: I just haven't learned English very well yet.\It's true.\Nine o'clock.\Time for training. They call it physical education.\Physical exertion is my strongest suit.\Ten o'clock. Music.\Today I demonstrated an instrument from Japan.\That is to say... response:	It's the only instrument I can play.
context: It's true.\Nine o'clock.\Time for training. They call it physical education.\Physical exertion is my strongest suit.\Ten o'clock. Music.\Today I demonstrated an instrument from Japan.\That is to say...\It's the only instrument I can play. response:	Eleven o'clock.
context: Nine o'clock.\Time for training. They call it physical education.\Physical exertion is my strongest suit.\Ten o'clock. Music.\Today I demonstrated an instrument from Japan.\That is to say...\It's the only instrument I can play.\Eleven o'clock. response:	Art.
context: Time for training. They call it physical education.\Physical exertion is my strongest suit.\Ten o'clock. Music.\Today I demonstrated an instrument from Japan.\That is to say...\It's the only instrument I can play.\Eleven o'clock.\Art. response:	(Sneak, sneak, sneak...)
context: Physical exertion is my strongest suit.\Ten o'clock. Music.\Today I demonstrated an instrument from Japan.\That is to say...\It's the only instrument I can play.\Eleven o'clock.\Art.\(Sneak, sneak, sneak...) response:	Excuse me! That's going too far!
context: Ten o'clock. Music.\Today I demonstrated an instrument from Japan.\That is to say...\It's the only instrument I can play.\Eleven o'clock.\Art.\(Sneak, sneak, sneak...)\Excuse me! That's going too far! response:	It was not well received. Excuse me! That's going too far!
context: Today I demonstrated an instrument from Japan.\That is to say...\It's the only instrument I can play.\Eleven o'clock.\Art.\(Sneak, sneak, sneak...)\Excuse me! That's going too far!\It was not well received. Excuse me! That's going too far! response:	Twelve o'clock. Time for a midday break.
context: That is to say...\It's the only instrument I can play.\Eleven o'clock.\Art.\(Sneak, sneak, sneak...)\Excuse me! That's going too far!\It was not well received. Excuse me! That's going too far!\Twelve o'clock. Time for a midday break. response:	We all leave the classroom and spend our time freely.
context: It's the only instrument I can play.\Eleven o'clock.\Art.\(Sneak, sneak, sneak...)\Excuse me! That's going too far!\It was not well received. Excuse me! That's going too far!\Twelve o'clock. Time for a midday break.\We all leave the classroom and spend our time freely. response:	What's that?
context: Eleven o'clock.\Art.\(Sneak, sneak, sneak...)\Excuse me! That's going too far!\It was not well received. Excuse me! That's going too far!\Twelve o'clock. Time for a midday break.\We all leave the classroom and spend our time freely.\What's that? response:	Fencing.
context: Art.\(Sneak, sneak, sneak...)\Excuse me! That's going too far!\It was not well received. Excuse me! That's going too far!\Twelve o'clock. Time for a midday break.\We all leave the classroom and spend our time freely.\What's that?\Fencing. response:	Whoever hits their opponent above the waist with a sabre wins.
context: (Sneak, sneak, sneak...)\Excuse me! That's going too far!\It was not well received. Excuse me! That's going too far!\Twelve o'clock. Time for a midday break.\We all leave the classroom and spend our time freely.\What's that?\Fencing.\Whoever hits their opponent above the waist with a sabre wins. response:	Western swordplay?
context: Excuse me! That's going too far!\It was not well received. Excuse me! That's going too far!\Twelve o'clock. Time for a midday break.\We all leave the classroom and spend our time freely.\What's that?\Fencing.\Whoever hits their opponent above the waist with a sabre wins.\Western swordplay? response:	Fascinating.
context: It was not well received. Excuse me! That's going too far!\Twelve o'clock. Time for a midday break.\We all leave the classroom and spend our time freely.\What's that?\Fencing.\Whoever hits their opponent above the waist with a sabre wins.\Western swordplay?\Fascinating. response:	Miss Chise, wait!
context: Twelve o'clock. Time for a midday break.\We all leave the classroom and spend our time freely.\What's that?\Fencing.\Whoever hits their opponent above the waist with a sabre wins.\Western swordplay?\Fascinating.\Miss Chise, wait! response:	Many pardons!
context: We all leave the classroom and spend our time freely.\What's that?\Fencing.\Whoever hits their opponent above the waist with a sabre wins.\Western swordplay?\Fascinating.\Miss Chise, wait!\Many pardons! response:	What? You want to join the team?
context: What's that?\Fencing.\Whoever hits their opponent above the waist with a sabre wins.\Western swordplay?\Fascinating.\Miss Chise, wait!\Many pardons!\What? You want to join the team? response:	I wish to contend with you.
context: Fencing.\Whoever hits their opponent above the waist with a sabre wins.\Western swordplay?\Fascinating.\Miss Chise, wait!\Many pardons!\What? You want to join the team?\I wish to contend with you. response:	Contend?
context: Whoever hits their opponent above the waist with a sabre wins.\Western swordplay?\Fascinating.\Miss Chise, wait!\Many pardons!\What? You want to join the team?\I wish to contend with you.\Contend? response:	If you mean a fencing match, you'll need to issue a formal request.
context: Western swordplay?\Fascinating.\Miss Chise, wait!\Many pardons!\What? You want to join the team?\I wish to contend with you.\Contend?\If you mean a fencing match, you'll need to issue a formal request. response:	Formal request?
context: Fascinating.\Miss Chise, wait!\Many pardons!\What? You want to join the team?\I wish to contend with you.\Contend?\If you mean a fencing match, you'll need to issue a formal request.\Formal request? response:	Oh, yes!
context: Miss Chise, wait!\Many pardons!\What? You want to join the team?\I wish to contend with you.\Contend?\If you mean a fencing match, you'll need to issue a formal request.\Formal request?\Oh, yes! response:	I've heard of this! I happen to have one with me.
context: Many pardons!\What? You want to join the team?\I wish to contend with you.\Contend?\If you mean a fencing match, you'll need to issue a formal request.\Formal request?\Oh, yes!\I've heard of this! I happen to have one with me. response:	Disgusting!
context: What? You want to join the team?\I wish to contend with you.\Contend?\If you mean a fencing match, you'll need to issue a formal request.\Formal request?\Oh, yes!\I've heard of this! I happen to have one with me.\Disgusting! response:	What are you doing, Miss Chise?
context: I wish to contend with you.\Contend?\If you mean a fencing match, you'll need to issue a formal request.\Formal request?\Oh, yes!\I've heard of this! I happen to have one with me.\Disgusting!\What are you doing, Miss Chise? response:	Yuck!
context: Contend?\If you mean a fencing match, you'll need to issue a formal request.\Formal request?\Oh, yes!\I've heard of this! I happen to have one with me.\Disgusting!\What are you doing, Miss Chise?\Yuck! response:	What?
context: If you mean a fencing match, you'll need to issue a formal request.\Formal request?\Oh, yes!\I've heard of this! I happen to have one with me.\Disgusting!\What are you doing, Miss Chise?\Yuck!\What? response:	I had heard that, in the West, when requesting a contest of different martial arts,
context: Formal request?\Oh, yes!\I've heard of this! I happen to have one with me.\Disgusting!\What are you doing, Miss Chise?\Yuck!\What?\I had heard that, in the West, when requesting a contest of different martial arts, response:	you throw a white turnip at your opponent.
context: Oh, yes!\I've heard of this! I happen to have one with me.\Disgusting!\What are you doing, Miss Chise?\Yuck!\What?\I had heard that, in the West, when requesting a contest of different martial arts,\you throw a white turnip at your opponent. response:	That's for a duel!
context: I've heard of this! I happen to have one with me.\Disgusting!\What are you doing, Miss Chise?\Yuck!\What?\I had heard that, in the West, when requesting a contest of different martial arts,\you throw a white turnip at your opponent.\That's for a duel! response:	And you don't throw turnips; you throw gloves!
context: Disgusting!\What are you doing, Miss Chise?\Yuck!\What?\I had heard that, in the West, when requesting a contest of different martial arts,\you throw a white turnip at your opponent.\That's for a duel!\And you don't throw turnips; you throw gloves! response:	Is that so?
context: What are you doing, Miss Chise?\Yuck!\What?\I had heard that, in the West, when requesting a contest of different martial arts,\you throw a white turnip at your opponent.\That's for a duel!\And you don't throw turnips; you throw gloves!\Is that so? response:	I beg your pardon.
context: Yuck!\What?\I had heard that, in the West, when requesting a contest of different martial arts,\you throw a white turnip at your opponent.\That's for a duel!\And you don't throw turnips; you throw gloves!\Is that so?\I beg your pardon. response:	I did feel that something wasn't quite right.
context: What?\I had heard that, in the West, when requesting a contest of different martial arts,\you throw a white turnip at your opponent.\That's for a duel!\And you don't throw turnips; you throw gloves!\Is that so?\I beg your pardon.\I did feel that something wasn't quite right. response:	Forgive me.
context: I had heard that, in the West, when requesting a contest of different martial arts,\you throw a white turnip at your opponent.\That's for a duel!\And you don't throw turnips; you throw gloves!\Is that so?\I beg your pardon.\I did feel that something wasn't quite right.\Forgive me. response:	I shall return to throw a glove at-
context: you throw a white turnip at your opponent.\That's for a duel!\And you don't throw turnips; you throw gloves!\Is that so?\I beg your pardon.\I did feel that something wasn't quite right.\Forgive me.\I shall return to throw a glove at- response:	What is wrong with you?!
context: That's for a duel!\And you don't throw turnips; you throw gloves!\Is that so?\I beg your pardon.\I did feel that something wasn't quite right.\Forgive me.\I shall return to throw a glove at-\What is wrong with you?! response:	I've had enough of this!
context: And you don't throw turnips; you throw gloves!\Is that so?\I beg your pardon.\I did feel that something wasn't quite right.\Forgive me.\I shall return to throw a glove at-\What is wrong with you?!\I've had enough of this! response:	Masks are acceptable, as well?
context: Is that so?\I beg your pardon.\I did feel that something wasn't quite right.\Forgive me.\I shall return to throw a glove at-\What is wrong with you?!\I've had enough of this!\Masks are acceptable, as well? response:	Then to a fair fight.
context: I beg your pardon.\I did feel that something wasn't quite right.\Forgive me.\I shall return to throw a glove at-\What is wrong with you?!\I've had enough of this!\Masks are acceptable, as well?\Then to a fair fight. response:	Have at you!
context: I did feel that something wasn't quite right.\Forgive me.\I shall return to throw a glove at-\What is wrong with you?!\I've had enough of this!\Masks are acceptable, as well?\Then to a fair fight.\Have at you! response:	I'm not dueling you!
context: Forgive me.\I shall return to throw a glove at-\What is wrong with you?!\I've had enough of this!\Masks are acceptable, as well?\Then to a fair fight.\Have at you!\I'm not dueling you! response:	This can't be happening.
context: I shall return to throw a glove at-\What is wrong with you?!\I've had enough of this!\Masks are acceptable, as well?\Then to a fair fight.\Have at you!\I'm not dueling you!\This can't be happening. response:	Two different fighting styles!
context: What is wrong with you?!\I've had enough of this!\Masks are acceptable, as well?\Then to a fair fight.\Have at you!\I'm not dueling you!\This can't be happening.\Two different fighting styles! response:	Captain! You can do it!
context: I've had enough of this!\Masks are acceptable, as well?\Then to a fair fight.\Have at you!\I'm not dueling you!\This can't be happening.\Two different fighting styles!\Captain! You can do it! response:	You little-!
context: Masks are acceptable, as well?\Then to a fair fight.\Have at you!\I'm not dueling you!\This can't be happening.\Two different fighting styles!\Captain! You can do it!\You little-! response:	Hey! What are you doing!
context: Then to a fair fight.\Have at you!\I'm not dueling you!\This can't be happening.\Two different fighting styles!\Captain! You can do it!\You little-!\Hey! What are you doing! response:	Ladies! Stop it this instant!
context: Have at you!\I'm not dueling you!\This can't be happening.\Two different fighting styles!\Captain! You can do it!\You little-!\Hey! What are you doing!\Ladies! Stop it this instant! response:	Then you just defeated Professor Krauss?
context: I'm not dueling you!\This can't be happening.\Two different fighting styles!\Captain! You can do it!\You little-!\Hey! What are you doing!\Ladies! Stop it this instant!\Then you just defeated Professor Krauss? response:	I love it!
context: This can't be happening.\Two different fighting styles!\Captain! You can do it!\You little-!\Hey! What are you doing!\Ladies! Stop it this instant!\Then you just defeated Professor Krauss?\I love it! response:	This is no laughing matter!
context: Two different fighting styles!\Captain! You can do it!\You little-!\Hey! What are you doing!\Ladies! Stop it this instant!\Then you just defeated Professor Krauss?\I love it!\This is no laughing matter! response:	We eat our midday meal outside.
context: Captain! You can do it!\You little-!\Hey! What are you doing!\Ladies! Stop it this instant!\Then you just defeated Professor Krauss?\I love it!\This is no laughing matter!\We eat our midday meal outside. response:	It is a stylish affair in these parts, known as lunch.
context: You little-!\Hey! What are you doing!\Ladies! Stop it this instant!\Then you just defeated Professor Krauss?\I love it!\This is no laughing matter!\We eat our midday meal outside.\It is a stylish affair in these parts, known as lunch. response:	It serves him right.
context: Hey! What are you doing!\Ladies! Stop it this instant!\Then you just defeated Professor Krauss?\I love it!\This is no laughing matter!\We eat our midday meal outside.\It is a stylish affair in these parts, known as lunch.\It serves him right. response:	That Krauss always had a dirty look in his eye.
context: Ladies! Stop it this instant!\Then you just defeated Professor Krauss?\I love it!\This is no laughing matter!\We eat our midday meal outside.\It is a stylish affair in these parts, known as lunch.\It serves him right.\That Krauss always had a dirty look in his eye. response:	This is the leader of our band of spies, Dorothy.
context: Then you just defeated Professor Krauss?\I love it!\This is no laughing matter!\We eat our midday meal outside.\It is a stylish affair in these parts, known as lunch.\It serves him right.\That Krauss always had a dirty look in his eye.\This is the leader of our band of spies, Dorothy. response:	She has a positive personality.
context: I love it!\This is no laughing matter!\We eat our midday meal outside.\It is a stylish affair in these parts, known as lunch.\It serves him right.\That Krauss always had a dirty look in his eye.\This is the leader of our band of spies, Dorothy.\She has a positive personality. response:	Her alias is 17 years of age, but...
context: This is no laughing matter!\We eat our midday meal outside.\It is a stylish affair in these parts, known as lunch.\It serves him right.\That Krauss always had a dirty look in his eye.\This is the leader of our band of spies, Dorothy.\She has a positive personality.\Her alias is 17 years of age, but... response:	Oops.
context: We eat our midday meal outside.\It is a stylish affair in these parts, known as lunch.\It serves him right.\That Krauss always had a dirty look in his eye.\This is the leader of our band of spies, Dorothy.\She has a positive personality.\Her alias is 17 years of age, but...\Oops. response:	You do be standing out too much, Miss Chise.
context: It is a stylish affair in these parts, known as lunch.\It serves him right.\That Krauss always had a dirty look in his eye.\This is the leader of our band of spies, Dorothy.\She has a positive personality.\Her alias is 17 years of age, but...\Oops.\You do be standing out too much, Miss Chise. response:	You only just transferred here. You shouldn't attract so much attention.
context: It serves him right.\That Krauss always had a dirty look in his eye.\This is the leader of our band of spies, Dorothy.\She has a positive personality.\Her alias is 17 years of age, but...\Oops.\You do be standing out too much, Miss Chise.\You only just transferred here. You shouldn't attract so much attention. response:	This is Ange.
context: That Krauss always had a dirty look in his eye.\This is the leader of our band of spies, Dorothy.\She has a positive personality.\Her alias is 17 years of age, but...\Oops.\You do be standing out too much, Miss Chise.\You only just transferred here. You shouldn't attract so much attention.\This is Ange. response:	She talks like a bumpkin, but that is only an act.
context: This is the leader of our band of spies, Dorothy.\She has a positive personality.\Her alias is 17 years of age, but...\Oops.\You do be standing out too much, Miss Chise.\You only just transferred here. You shouldn't attract so much attention.\This is Ange.\She talks like a bumpkin, but that is only an act. response:	This woman tells lies constantly.
context: She has a positive personality.\Her alias is 17 years of age, but...\Oops.\You do be standing out too much, Miss Chise.\You only just transferred here. You shouldn't attract so much attention.\This is Ange.\She talks like a bumpkin, but that is only an act.\This woman tells lies constantly. response:	I apologize. I shall be careful in the future.
context: Her alias is 17 years of age, but...\Oops.\You do be standing out too much, Miss Chise.\You only just transferred here. You shouldn't attract so much attention.\This is Ange.\She talks like a bumpkin, but that is only an act.\This woman tells lies constantly.\I apologize. I shall be careful in the future. response:	You're in an unfamiliar country. It can't be helped.
context: Oops.\You do be standing out too much, Miss Chise.\You only just transferred here. You shouldn't attract so much attention.\This is Ange.\She talks like a bumpkin, but that is only an act.\This woman tells lies constantly.\I apologize. I shall be careful in the future.\You're in an unfamiliar country. It can't be helped. response:	In fact, I think it would be more unnatural if she blended in.
context: You do be standing out too much, Miss Chise.\You only just transferred here. You shouldn't attract so much attention.\This is Ange.\She talks like a bumpkin, but that is only an act.\This woman tells lies constantly.\I apologize. I shall be careful in the future.\You're in an unfamiliar country. It can't be helped.\In fact, I think it would be more unnatural if she blended in. response:	That... may be so.
context: You only just transferred here. You shouldn't attract so much attention.\This is Ange.\She talks like a bumpkin, but that is only an act.\This woman tells lies constantly.\I apologize. I shall be careful in the future.\You're in an unfamiliar country. It can't be helped.\In fact, I think it would be more unnatural if she blended in.\That... may be so. response:	See?
context: This is Ange.\She talks like a bumpkin, but that is only an act.\This woman tells lies constantly.\I apologize. I shall be careful in the future.\You're in an unfamiliar country. It can't be helped.\In fact, I think it would be more unnatural if she blended in.\That... may be so.\See? response:	This is the princess of this nation.
context: She talks like a bumpkin, but that is only an act.\This woman tells lies constantly.\I apologize. I shall be careful in the future.\You're in an unfamiliar country. It can't be helped.\In fact, I think it would be more unnatural if she blended in.\That... may be so.\See?\This is the princess of this nation. response:	She is even more of a mystery than Ange.
context: This woman tells lies constantly.\I apologize. I shall be careful in the future.\You're in an unfamiliar country. It can't be helped.\In fact, I think it would be more unnatural if she blended in.\That... may be so.\See?\This is the princess of this nation.\She is even more of a mystery than Ange. response:	Why would the princess of one kingdom act as a spy for an enemy country?
context: I apologize. I shall be careful in the future.\You're in an unfamiliar country. It can't be helped.\In fact, I think it would be more unnatural if she blended in.\That... may be so.\See?\This is the princess of this nation.\She is even more of a mystery than Ange.\Why would the princess of one kingdom act as a spy for an enemy country? response:	And is she not afraid to cross such a perilous bridge?
context: You're in an unfamiliar country. It can't be helped.\In fact, I think it would be more unnatural if she blended in.\That... may be so.\See?\This is the princess of this nation.\She is even more of a mystery than Ange.\Why would the princess of one kingdom act as a spy for an enemy country?\And is she not afraid to cross such a perilous bridge? response:	What is it?
context: In fact, I think it would be more unnatural if she blended in.\That... may be so.\See?\This is the princess of this nation.\She is even more of a mystery than Ange.\Why would the princess of one kingdom act as a spy for an enemy country?\And is she not afraid to cross such a perilous bridge?\What is it? response:	You are always smiling.
context: That... may be so.\See?\This is the princess of this nation.\She is even more of a mystery than Ange.\Why would the princess of one kingdom act as a spy for an enemy country?\And is she not afraid to cross such a perilous bridge?\What is it?\You are always smiling. response:	Does it look fake?
context: See?\This is the princess of this nation.\She is even more of a mystery than Ange.\Why would the princess of one kingdom act as a spy for an enemy country?\And is she not afraid to cross such a perilous bridge?\What is it?\You are always smiling.\Does it look fake? response:	No...
context: This is the princess of this nation.\She is even more of a mystery than Ange.\Why would the princess of one kingdom act as a spy for an enemy country?\And is she not afraid to cross such a perilous bridge?\What is it?\You are always smiling.\Does it look fake?\No... response:	It's alright.
context: She is even more of a mystery than Ange.\Why would the princess of one kingdom act as a spy for an enemy country?\And is she not afraid to cross such a perilous bridge?\What is it?\You are always smiling.\Does it look fake?\No...\It's alright. response:	People always tell me they can't figure out what I'm thinking.
context: Why would the princess of one kingdom act as a spy for an enemy country?\And is she not afraid to cross such a perilous bridge?\What is it?\You are always smiling.\Does it look fake?\No...\It's alright.\People always tell me they can't figure out what I'm thinking. response:	Nothing is wrong with you!
context: And is she not afraid to cross such a perilous bridge?\What is it?\You are always smiling.\Does it look fake?\No...\It's alright.\People always tell me they can't figure out what I'm thinking.\Nothing is wrong with you! response:	You're just too perfect at everything, Your Highness.
context: What is it?\You are always smiling.\Does it look fake?\No...\It's alright.\People always tell me they can't figure out what I'm thinking.\Nothing is wrong with you!\You're just too perfect at everything, Your Highness. response:	But you might say it's hard to tell how you really feel.
context: You are always smiling.\Does it look fake?\No...\It's alright.\People always tell me they can't figure out what I'm thinking.\Nothing is wrong with you!\You're just too perfect at everything, Your Highness.\But you might say it's hard to tell how you really feel. response:	When she pinches her collar, that's the sign that she needs to tell us about a mission.
context: Does it look fake?\No...\It's alright.\People always tell me they can't figure out what I'm thinking.\Nothing is wrong with you!\You're just too perfect at everything, Your Highness.\But you might say it's hard to tell how you really feel.\When she pinches her collar, that's the sign that she needs to tell us about a mission. response:	Princess has bodyguards surrounding her even at school.
context: No...\It's alright.\People always tell me they can't figure out what I'm thinking.\Nothing is wrong with you!\You're just too perfect at everything, Your Highness.\But you might say it's hard to tell how you really feel.\When she pinches her collar, that's the sign that she needs to tell us about a mission.\Princess has bodyguards surrounding her even at school. response:	And one of them reports on her activities to the Home Secretary.
context: It's alright.\People always tell me they can't figure out what I'm thinking.\Nothing is wrong with you!\You're just too perfect at everything, Your Highness.\But you might say it's hard to tell how you really feel.\When she pinches her collar, that's the sign that she needs to tell us about a mission.\Princess has bodyguards surrounding her even at school.\And one of them reports on her activities to the Home Secretary. response:	The lavatory is the ideal spot for clandestine meetings.
context: People always tell me they can't figure out what I'm thinking.\Nothing is wrong with you!\You're just too perfect at everything, Your Highness.\But you might say it's hard to tell how you really feel.\When she pinches her collar, that's the sign that she needs to tell us about a mission.\Princess has bodyguards surrounding her even at school.\And one of them reports on her activities to the Home Secretary.\The lavatory is the ideal spot for clandestine meetings. response:	Oh, Princess. How do you do?
context: Nothing is wrong with you!\You're just too perfect at everything, Your Highness.\But you might say it's hard to tell how you really feel.\When she pinches her collar, that's the sign that she needs to tell us about a mission.\Princess has bodyguards surrounding her even at school.\And one of them reports on her activities to the Home Secretary.\The lavatory is the ideal spot for clandestine meetings.\Oh, Princess. How do you do? response:	How do you do, Miss Lily?
