context: Don't you get bored? You've been sniffing stuff all day. response:	Cut it out.
context: We'll round up some men and regroup.\We can't run away now, for the sake of the men we lost.\Ojiya, we'll have to move around for a while.\I guess so.\During these days, brigands scourged the lands of every region.\Their brutality brought fear into the hearts of the helpless.\Samurai who'd lost their lords formed their own bands.\And the poor joined them in order to make a living. response:	Each had their own reasons for joining.
context: We can't run away now, for the sake of the men we lost.\Ojiya, we'll have to move around for a while.\I guess so.\During these days, brigands scourged the lands of every region.\Their brutality brought fear into the hearts of the helpless.\Samurai who'd lost their lords formed their own bands.\And the poor joined them in order to make a living.\Each had their own reasons for joining. response:	Hibukuro's band consisted of farmers, and they only assaulted samurai.
context: Ojiya, we'll have to move around for a while.\I guess so.\During these days, brigands scourged the lands of every region.\Their brutality brought fear into the hearts of the helpless.\Samurai who'd lost their lords formed their own bands.\And the poor joined them in order to make a living.\Each had their own reasons for joining.\Hibukuro's band consisted of farmers, and they only assaulted samurai. response:	They were quite a rare band of brigands.
context: I guess so.\During these days, brigands scourged the lands of every region.\Their brutality brought fear into the hearts of the helpless.\Samurai who'd lost their lords formed their own bands.\And the poor joined them in order to make a living.\Each had their own reasons for joining.\Hibukuro's band consisted of farmers, and they only assaulted samurai.\They were quite a rare band of brigands. response:	Hey, Papa?
context: During these days, brigands scourged the lands of every region.\Their brutality brought fear into the hearts of the helpless.\Samurai who'd lost their lords formed their own bands.\And the poor joined them in order to make a living.\Each had their own reasons for joining.\Hibukuro's band consisted of farmers, and they only assaulted samurai.\They were quite a rare band of brigands.\Hey, Papa? response:	Why do you go beat up the samurai?
context: Their brutality brought fear into the hearts of the helpless.\Samurai who'd lost their lords formed their own bands.\And the poor joined them in order to make a living.\Each had their own reasons for joining.\Hibukuro's band consisted of farmers, and they only assaulted samurai.\They were quite a rare band of brigands.\Hey, Papa?\Why do you go beat up the samurai? response:	It's to teach them a lesson.
context: Samurai who'd lost their lords formed their own bands.\And the poor joined them in order to make a living.\Each had their own reasons for joining.\Hibukuro's band consisted of farmers, and they only assaulted samurai.\They were quite a rare band of brigands.\Hey, Papa?\Why do you go beat up the samurai?\It's to teach them a lesson. response:	So that they'll treat us right.
context: And the poor joined them in order to make a living.\Each had their own reasons for joining.\Hibukuro's band consisted of farmers, and they only assaulted samurai.\They were quite a rare band of brigands.\Hey, Papa?\Why do you go beat up the samurai?\It's to teach them a lesson.\So that they'll treat us right. response:	Samurai don't even get that?
context: Each had their own reasons for joining.\Hibukuro's band consisted of farmers, and they only assaulted samurai.\They were quite a rare band of brigands.\Hey, Papa?\Why do you go beat up the samurai?\It's to teach them a lesson.\So that they'll treat us right.\Samurai don't even get that? response:	I'd say they've learned their lesson now.
context: Hibukuro's band consisted of farmers, and they only assaulted samurai.\They were quite a rare band of brigands.\Hey, Papa?\Why do you go beat up the samurai?\It's to teach them a lesson.\So that they'll treat us right.\Samurai don't even get that?\I'd say they've learned their lesson now. response:	What do you mean?
context: They were quite a rare band of brigands.\Hey, Papa?\Why do you go beat up the samurai?\It's to teach them a lesson.\So that they'll treat us right.\Samurai don't even get that?\I'd say they've learned their lesson now.\What do you mean? response:	Take a look around. You've built up a pretty tough band.
context: Hey, Papa?\Why do you go beat up the samurai?\It's to teach them a lesson.\So that they'll treat us right.\Samurai don't even get that?\I'd say they've learned their lesson now.\What do you mean?\Take a look around. You've built up a pretty tough band. response:	Why don't you look towards the future now?
context: Why do you go beat up the samurai?\It's to teach them a lesson.\So that they'll treat us right.\Samurai don't even get that?\I'd say they've learned their lesson now.\What do you mean?\Take a look around. You've built up a pretty tough band.\Why don't you look towards the future now? response:	If you play your cards right, the lord will give you a good position.
context: It's to teach them a lesson.\So that they'll treat us right.\Samurai don't even get that?\I'd say they've learned their lesson now.\What do you mean?\Take a look around. You've built up a pretty tough band.\Why don't you look towards the future now?\If you play your cards right, the lord will give you a good position. response:	Itachi, have you forgotten what they've done to us?
context: So that they'll treat us right.\Samurai don't even get that?\I'd say they've learned their lesson now.\What do you mean?\Take a look around. You've built up a pretty tough band.\Why don't you look towards the future now?\If you play your cards right, the lord will give you a good position.\Itachi, have you forgotten what they've done to us? response:	Because of the wars those lords started up,
context: Samurai don't even get that?\I'd say they've learned their lesson now.\What do you mean?\Take a look around. You've built up a pretty tough band.\Why don't you look towards the future now?\If you play your cards right, the lord will give you a good position.\Itachi, have you forgotten what they've done to us?\Because of the wars those lords started up, response:	our families were killed like they were nothing but bugs.
context: I'd say they've learned their lesson now.\What do you mean?\Take a look around. You've built up a pretty tough band.\Why don't you look towards the future now?\If you play your cards right, the lord will give you a good position.\Itachi, have you forgotten what they've done to us?\Because of the wars those lords started up,\our families were killed like they were nothing but bugs. response:	They burned down our village that we built up together.
context: What do you mean?\Take a look around. You've built up a pretty tough band.\Why don't you look towards the future now?\If you play your cards right, the lord will give you a good position.\Itachi, have you forgotten what they've done to us?\Because of the wars those lords started up,\our families were killed like they were nothing but bugs.\They burned down our village that we built up together. response:	Yeah, I've forgotten those things.
context: Take a look around. You've built up a pretty tough band.\Why don't you look towards the future now?\If you play your cards right, the lord will give you a good position.\Itachi, have you forgotten what they've done to us?\Because of the wars those lords started up,\our families were killed like they were nothing but bugs.\They burned down our village that we built up together.\Yeah, I've forgotten those things. response:	Can't hold on to things that've passed.
context: Why don't you look towards the future now?\If you play your cards right, the lord will give you a good position.\Itachi, have you forgotten what they've done to us?\Because of the wars those lords started up,\our families were killed like they were nothing but bugs.\They burned down our village that we built up together.\Yeah, I've forgotten those things.\Can't hold on to things that've passed. response:	You gotta join forces with the samurai from here onwards.
context: If you play your cards right, the lord will give you a good position.\Itachi, have you forgotten what they've done to us?\Because of the wars those lords started up,\our families were killed like they were nothing but bugs.\They burned down our village that we built up together.\Yeah, I've forgotten those things.\Can't hold on to things that've passed.\You gotta join forces with the samurai from here onwards. response:	You're a disgrace!
context: Itachi, have you forgotten what they've done to us?\Because of the wars those lords started up,\our families were killed like they were nothing but bugs.\They burned down our village that we built up together.\Yeah, I've forgotten those things.\Can't hold on to things that've passed.\You gotta join forces with the samurai from here onwards.\You're a disgrace! response:	I didn't say anything wrong.
context: Because of the wars those lords started up,\our families were killed like they were nothing but bugs.\They burned down our village that we built up together.\Yeah, I've forgotten those things.\Can't hold on to things that've passed.\You gotta join forces with the samurai from here onwards.\You're a disgrace!\I didn't say anything wrong. response:	Say that one more time and you'll get a mouthful of this.
context: our families were killed like they were nothing but bugs.\They burned down our village that we built up together.\Yeah, I've forgotten those things.\Can't hold on to things that've passed.\You gotta join forces with the samurai from here onwards.\You're a disgrace!\I didn't say anything wrong.\Say that one more time and you'll get a mouthful of this. response:	Fine.
context: They burned down our village that we built up together.\Yeah, I've forgotten those things.\Can't hold on to things that've passed.\You gotta join forces with the samurai from here onwards.\You're a disgrace!\I didn't say anything wrong.\Say that one more time and you'll get a mouthful of this.\Fine. response:	The Yanagimoto guys are worn out from fighting Daigo.
context: Yeah, I've forgotten those things.\Can't hold on to things that've passed.\You gotta join forces with the samurai from here onwards.\You're a disgrace!\I didn't say anything wrong.\Say that one more time and you'll get a mouthful of this.\Fine.\The Yanagimoto guys are worn out from fighting Daigo. response:	Now's our chance.
context: Can't hold on to things that've passed.\You gotta join forces with the samurai from here onwards.\You're a disgrace!\I didn't say anything wrong.\Say that one more time and you'll get a mouthful of this.\Fine.\The Yanagimoto guys are worn out from fighting Daigo.\Now's our chance. response:	Charge!
context: You gotta join forces with the samurai from here onwards.\You're a disgrace!\I didn't say anything wrong.\Say that one more time and you'll get a mouthful of this.\Fine.\The Yanagimoto guys are worn out from fighting Daigo.\Now's our chance.\Charge! response:	-No! -Mama!
