context: After being separated all of a sudden from Cana, response:	I was thrown into a battle with one of the 7 Kin of Purgatory, Kain Hikaru.
context: Happy, search for their ship from the sky!\Looks... like I'm out of magic power.\Then I guess you're just a widdle kitty cat...\In that case, how about we go back to where Wendy and Gramps is...\We can ask Carla and Lily.\This is Route E, where the first test of the exam took place.\The grave of Mavis, the founding master of Fairy Tail, is somewhere in here.\I'll climb into first place. response:	I'll pass.
context: Looks... like I'm out of magic power.\Then I guess you're just a widdle kitty cat...\In that case, how about we go back to where Wendy and Gramps is...\We can ask Carla and Lily.\This is Route E, where the first test of the exam took place.\The grave of Mavis, the founding master of Fairy Tail, is somewhere in here.\I'll climb into first place.\I'll pass. response:	I'll become an S class wizard.
context: Then I guess you're just a widdle kitty cat...\In that case, how about we go back to where Wendy and Gramps is...\We can ask Carla and Lily.\This is Route E, where the first test of the exam took place.\The grave of Mavis, the founding master of Fairy Tail, is somewhere in here.\I'll climb into first place.\I'll pass.\I'll become an S class wizard. response:	So I can see him...
context: In that case, how about we go back to where Wendy and Gramps is...\We can ask Carla and Lily.\This is Route E, where the first test of the exam took place.\The grave of Mavis, the founding master of Fairy Tail, is somewhere in here.\I'll climb into first place.\I'll pass.\I'll become an S class wizard.\So I can see him... response:	So I can tell him...
context: We can ask Carla and Lily.\This is Route E, where the first test of the exam took place.\The grave of Mavis, the founding master of Fairy Tail, is somewhere in here.\I'll climb into first place.\I'll pass.\I'll become an S class wizard.\So I can see him...\So I can tell him... response:	Light...
context: This is Route E, where the first test of the exam took place.\The grave of Mavis, the founding master of Fairy Tail, is somewhere in here.\I'll climb into first place.\I'll pass.\I'll become an S class wizard.\So I can see him...\So I can tell him...\Light... response:	Damn it, they never show up when you search for'em...
context: The grave of Mavis, the founding master of Fairy Tail, is somewhere in here.\I'll climb into first place.\I'll pass.\I'll become an S class wizard.\So I can see him...\So I can tell him...\Light...\Damn it, they never show up when you search for'em... response:	Where are these 7 Kin of Purgatory guys?
context: I'll climb into first place.\I'll pass.\I'll become an S class wizard.\So I can see him...\So I can tell him...\Light...\Damn it, they never show up when you search for'em...\Where are these 7 Kin of Purgatory guys? response:	And that Cana sure was in a foul mood.
context: I'll pass.\I'll become an S class wizard.\So I can see him...\So I can tell him...\Light...\Damn it, they never show up when you search for'em...\Where are these 7 Kin of Purgatory guys?\And that Cana sure was in a foul mood. response:	Did she run out of booze and...
context: I'll become an S class wizard.\So I can see him...\So I can tell him...\Light...\Damn it, they never show up when you search for'em...\Where are these 7 Kin of Purgatory guys?\And that Cana sure was in a foul mood.\Did she run out of booze and... response:	Wait.
context: So I can see him...\So I can tell him...\Light...\Damn it, they never show up when you search for'em...\Where are these 7 Kin of Purgatory guys?\And that Cana sure was in a foul mood.\Did she run out of booze and...\Wait. response:	Now that I think about it, I haven't seen her drink since we got to Tenroujima.
context: So I can tell him...\Light...\Damn it, they never show up when you search for'em...\Where are these 7 Kin of Purgatory guys?\And that Cana sure was in a foul mood.\Did she run out of booze and...\Wait.\Now that I think about it, I haven't seen her drink since we got to Tenroujima. response:	Is she going cold turkey?
context: Light...\Damn it, they never show up when you search for'em...\Where are these 7 Kin of Purgatory guys?\And that Cana sure was in a foul mood.\Did she run out of booze and...\Wait.\Now that I think about it, I haven't seen her drink since we got to Tenroujima.\Is she going cold turkey? response:	I sense someone...
context: Damn it, they never show up when you search for'em...\Where are these 7 Kin of Purgatory guys?\And that Cana sure was in a foul mood.\Did she run out of booze and...\Wait.\Now that I think about it, I haven't seen her drink since we got to Tenroujima.\Is she going cold turkey?\I sense someone... response:	Soon, you'll return to being the true king, Zeref...
context: Where are these 7 Kin of Purgatory guys?\And that Cana sure was in a foul mood.\Did she run out of booze and...\Wait.\Now that I think about it, I haven't seen her drink since we got to Tenroujima.\Is she going cold turkey?\I sense someone...\Soon, you'll return to being the true king, Zeref... response:	Zeref? That man she's carrying on her shoulder?
context: And that Cana sure was in a foul mood.\Did she run out of booze and...\Wait.\Now that I think about it, I haven't seen her drink since we got to Tenroujima.\Is she going cold turkey?\I sense someone...\Soon, you'll return to being the true king, Zeref...\Zeref? That man she's carrying on her shoulder? response:	Ul!
context: Did she run out of booze and...\Wait.\Now that I think about it, I haven't seen her drink since we got to Tenroujima.\Is she going cold turkey?\I sense someone...\Soon, you'll return to being the true king, Zeref...\Zeref? That man she's carrying on her shoulder?\Ul! response:	No... Grimoire Heart... She's my enemy!
context: Wait.\Now that I think about it, I haven't seen her drink since we got to Tenroujima.\Is she going cold turkey?\I sense someone...\Soon, you'll return to being the true king, Zeref...\Zeref? That man she's carrying on her shoulder?\Ul!\No... Grimoire Heart... She's my enemy! response:	She looks like her... Like my teacher, Ul.
context: Now that I think about it, I haven't seen her drink since we got to Tenroujima.\Is she going cold turkey?\I sense someone...\Soon, you'll return to being the true king, Zeref...\Zeref? That man she's carrying on her shoulder?\Ul!\No... Grimoire Heart... She's my enemy!\She looks like her... Like my teacher, Ul. response:	Who the hell is she?
context: Is she going cold turkey?\I sense someone...\Soon, you'll return to being the true king, Zeref...\Zeref? That man she's carrying on her shoulder?\Ul!\No... Grimoire Heart... She's my enemy!\She looks like her... Like my teacher, Ul.\Who the hell is she? response:	This is wondrous!
context: I sense someone...\Soon, you'll return to being the true king, Zeref...\Zeref? That man she's carrying on her shoulder?\Ul!\No... Grimoire Heart... She's my enemy!\She looks like her... Like my teacher, Ul.\Who the hell is she?\This is wondrous! response:	You seem to be in quite the good mood, old man.
context: Soon, you'll return to being the true king, Zeref...\Zeref? That man she's carrying on her shoulder?\Ul!\No... Grimoire Heart... She's my enemy!\She looks like her... Like my teacher, Ul.\Who the hell is she?\This is wondrous!\You seem to be in quite the good mood, old man. response:	3 of my 7 Kin of Purgatory have been defeated, it seems.
context: Zeref? That man she's carrying on her shoulder?\Ul!\No... Grimoire Heart... She's my enemy!\She looks like her... Like my teacher, Ul.\Who the hell is she?\This is wondrous!\You seem to be in quite the good mood, old man.\3 of my 7 Kin of Purgatory have been defeated, it seems. response:	Those spawn of Makarov's have done quite well!
context: Ul!\No... Grimoire Heart... She's my enemy!\She looks like her... Like my teacher, Ul.\Who the hell is she?\This is wondrous!\You seem to be in quite the good mood, old man.\3 of my 7 Kin of Purgatory have been defeated, it seems.\Those spawn of Makarov's have done quite well! response:	Then, is it my turn?
context: No... Grimoire Heart... She's my enemy!\She looks like her... Like my teacher, Ul.\Who the hell is she?\This is wondrous!\You seem to be in quite the good mood, old man.\3 of my 7 Kin of Purgatory have been defeated, it seems.\Those spawn of Makarov's have done quite well!\Then, is it my turn? response:	No, no... This is not a battle for you to join, Bluenote.
context: She looks like her... Like my teacher, Ul.\Who the hell is she?\This is wondrous!\You seem to be in quite the good mood, old man.\3 of my 7 Kin of Purgatory have been defeated, it seems.\Those spawn of Makarov's have done quite well!\Then, is it my turn?\No, no... This is not a battle for you to join, Bluenote. response:	I would like to be able to play around a little bit.
context: Who the hell is she?\This is wondrous!\You seem to be in quite the good mood, old man.\3 of my 7 Kin of Purgatory have been defeated, it seems.\Those spawn of Makarov's have done quite well!\Then, is it my turn?\No, no... This is not a battle for you to join, Bluenote.\I would like to be able to play around a little bit. response:	I cannot let my body go soft.
context: This is wondrous!\You seem to be in quite the good mood, old man.\3 of my 7 Kin of Purgatory have been defeated, it seems.\Those spawn of Makarov's have done quite well!\Then, is it my turn?\No, no... This is not a battle for you to join, Bluenote.\I would like to be able to play around a little bit.\I cannot let my body go soft. response:	Will you stop that?
context: You seem to be in quite the good mood, old man.\3 of my 7 Kin of Purgatory have been defeated, it seems.\Those spawn of Makarov's have done quite well!\Then, is it my turn?\No, no... This is not a battle for you to join, Bluenote.\I would like to be able to play around a little bit.\I cannot let my body go soft.\Will you stop that? response:	What? If I sink the ship, then they won't be able to find it, right?
context: 3 of my 7 Kin of Purgatory have been defeated, it seems.\Those spawn of Makarov's have done quite well!\Then, is it my turn?\No, no... This is not a battle for you to join, Bluenote.\I would like to be able to play around a little bit.\I cannot let my body go soft.\Will you stop that?\What? If I sink the ship, then they won't be able to find it, right? response:	It's better to expose them.
context: Those spawn of Makarov's have done quite well!\Then, is it my turn?\No, no... This is not a battle for you to join, Bluenote.\I would like to be able to play around a little bit.\I cannot let my body go soft.\Will you stop that?\What? If I sink the ship, then they won't be able to find it, right?\It's better to expose them. response:	Makarov's brood will gather here,
context: Then, is it my turn?\No, no... This is not a battle for you to join, Bluenote.\I would like to be able to play around a little bit.\I cannot let my body go soft.\Will you stop that?\What? If I sink the ship, then they won't be able to find it, right?\It's better to expose them.\Makarov's brood will gather here, response:	unaware they've fallen inside the demon's maw...
context: No, no... This is not a battle for you to join, Bluenote.\I would like to be able to play around a little bit.\I cannot let my body go soft.\Will you stop that?\What? If I sink the ship, then they won't be able to find it, right?\It's better to expose them.\Makarov's brood will gather here,\unaware they've fallen inside the demon's maw... response:	Can't you eat any prey that hasn't been led into your mouth?
context: I would like to be able to play around a little bit.\I cannot let my body go soft.\Will you stop that?\What? If I sink the ship, then they won't be able to find it, right?\It's better to expose them.\Makarov's brood will gather here,\unaware they've fallen inside the demon's maw...\Can't you eat any prey that hasn't been led into your mouth? response:	I will head out for my meal.
context: I cannot let my body go soft.\Will you stop that?\What? If I sink the ship, then they won't be able to find it, right?\It's better to expose them.\Makarov's brood will gather here,\unaware they've fallen inside the demon's maw...\Can't you eat any prey that hasn't been led into your mouth?\I will head out for my meal. response:	You will stay here.
context: Will you stop that?\What? If I sink the ship, then they won't be able to find it, right?\It's better to expose them.\Makarov's brood will gather here,\unaware they've fallen inside the demon's maw...\Can't you eat any prey that hasn't been led into your mouth?\I will head out for my meal.\You will stay here. response:	Where you go, the land will rage.
context: What? If I sink the ship, then they won't be able to find it, right?\It's better to expose them.\Makarov's brood will gather here,\unaware they've fallen inside the demon's maw...\Can't you eat any prey that hasn't been led into your mouth?\I will head out for my meal.\You will stay here.\Where you go, the land will rage. response:	Stay calm.
context: It's better to expose them.\Makarov's brood will gather here,\unaware they've fallen inside the demon's maw...\Can't you eat any prey that hasn't been led into your mouth?\I will head out for my meal.\You will stay here.\Where you go, the land will rage.\Stay calm. response:	The kids are down to four... Almost half.
context: Makarov's brood will gather here,\unaware they've fallen inside the demon's maw...\Can't you eat any prey that hasn't been led into your mouth?\I will head out for my meal.\You will stay here.\Where you go, the land will rage.\Stay calm.\The kids are down to four... Almost half. response:	If another falls... I'm heading out.
context: unaware they've fallen inside the demon's maw...\Can't you eat any prey that hasn't been led into your mouth?\I will head out for my meal.\You will stay here.\Where you go, the land will rage.\Stay calm.\The kids are down to four... Almost half.\If another falls... I'm heading out. response:	Today seems like a day I can stretch my wings...
context: Can't you eat any prey that hasn't been led into your mouth?\I will head out for my meal.\You will stay here.\Where you go, the land will rage.\Stay calm.\The kids are down to four... Almost half.\If another falls... I'm heading out.\Today seems like a day I can stretch my wings... response:	Bluenote Stinger?!
context: I will head out for my meal.\You will stay here.\Where you go, the land will rage.\Stay calm.\The kids are down to four... Almost half.\If another falls... I'm heading out.\Today seems like a day I can stretch my wings...\Bluenote Stinger?! response:	The man who singlehandedly destroyed the Blue Dragon Regiment
context: You will stay here.\Where you go, the land will rage.\Stay calm.\The kids are down to four... Almost half.\If another falls... I'm heading out.\Today seems like a day I can stretch my wings...\Bluenote Stinger?!\The man who singlehandedly destroyed the Blue Dragon Regiment response:	led by Commander Ghora during the Cabria war...
context: Where you go, the land will rage.\Stay calm.\The kids are down to four... Almost half.\If another falls... I'm heading out.\Today seems like a day I can stretch my wings...\Bluenote Stinger?!\The man who singlehandedly destroyed the Blue Dragon Regiment\led by Commander Ghora during the Cabria war... response:	The great wizard who is said not to even leave weeds in his wake...
context: Stay calm.\The kids are down to four... Almost half.\If another falls... I'm heading out.\Today seems like a day I can stretch my wings...\Bluenote Stinger?!\The man who singlehandedly destroyed the Blue Dragon Regiment\led by Commander Ghora during the Cabria war...\The great wizard who is said not to even leave weeds in his wake... response:	A big fish like that was in Grimoire Heart?
context: The kids are down to four... Almost half.\If another falls... I'm heading out.\Today seems like a day I can stretch my wings...\Bluenote Stinger?!\The man who singlehandedly destroyed the Blue Dragon Regiment\led by Commander Ghora during the Cabria war...\The great wizard who is said not to even leave weeds in his wake...\A big fish like that was in Grimoire Heart? response:	They are no longer an opponent that we can handle ourselves.
context: If another falls... I'm heading out.\Today seems like a day I can stretch my wings...\Bluenote Stinger?!\The man who singlehandedly destroyed the Blue Dragon Regiment\led by Commander Ghora during the Cabria war...\The great wizard who is said not to even leave weeds in his wake...\A big fish like that was in Grimoire Heart?\They are no longer an opponent that we can handle ourselves. response:	And the same goes for Fairy Tail, of course.
