context: Mom... response:	What are you doing here?
context: No, you leave.\Wait outside until I say otherwise.\But...\Just do as I say.\Be careful, sir.\Boy with wings.\I did not expect us to meet again so soon.\What is my mom... what is this woman doing here? response:	Answer me!
context: Wait outside until I say otherwise.\But...\Just do as I say.\Be careful, sir.\Boy with wings.\I did not expect us to meet again so soon.\What is my mom... what is this woman doing here?\Answer me! response:	Do you know of the curse of Eve laid upon Altair?
context: But...\Just do as I say.\Be careful, sir.\Boy with wings.\I did not expect us to meet again so soon.\What is my mom... what is this woman doing here?\Answer me!\Do you know of the curse of Eve laid upon Altair? response:	The curse of Eve?
context: Just do as I say.\Be careful, sir.\Boy with wings.\I did not expect us to meet again so soon.\What is my mom... what is this woman doing here?\Answer me!\Do you know of the curse of Eve laid upon Altair?\The curse of Eve? response:	We should be safe for a bit longer now.
context: Be careful, sir.\Boy with wings.\I did not expect us to meet again so soon.\What is my mom... what is this woman doing here?\Answer me!\Do you know of the curse of Eve laid upon Altair?\The curse of Eve?\We should be safe for a bit longer now. response:	Thanks.
context: Boy with wings.\I did not expect us to meet again so soon.\What is my mom... what is this woman doing here?\Answer me!\Do you know of the curse of Eve laid upon Altair?\The curse of Eve?\We should be safe for a bit longer now.\Thanks. response:	How do you feel?
context: I did not expect us to meet again so soon.\What is my mom... what is this woman doing here?\Answer me!\Do you know of the curse of Eve laid upon Altair?\The curse of Eve?\We should be safe for a bit longer now.\Thanks.\How do you feel? response:	My throat's still feels a little strange.
context: What is my mom... what is this woman doing here?\Answer me!\Do you know of the curse of Eve laid upon Altair?\The curse of Eve?\We should be safe for a bit longer now.\Thanks.\How do you feel?\My throat's still feels a little strange. response:	Mine too.
context: Answer me!\Do you know of the curse of Eve laid upon Altair?\The curse of Eve?\We should be safe for a bit longer now.\Thanks.\How do you feel?\My throat's still feels a little strange.\Mine too. response:	Do you think the guys are okay?
context: Do you know of the curse of Eve laid upon Altair?\The curse of Eve?\We should be safe for a bit longer now.\Thanks.\How do you feel?\My throat's still feels a little strange.\Mine too.\Do you think the guys are okay? response:	They're fine. I made them promise not to be stupid.
context: The curse of Eve?\We should be safe for a bit longer now.\Thanks.\How do you feel?\My throat's still feels a little strange.\Mine too.\Do you think the guys are okay?\They're fine. I made them promise not to be stupid. response:	That's true.
context: We should be safe for a bit longer now.\Thanks.\How do you feel?\My throat's still feels a little strange.\Mine too.\Do you think the guys are okay?\They're fine. I made them promise not to be stupid.\That's true. response:	They promised...
context: Thanks.\How do you feel?\My throat's still feels a little strange.\Mine too.\Do you think the guys are okay?\They're fine. I made them promise not to be stupid.\That's true.\They promised... response:	In exchange, I want a promise from you.
context: How do you feel?\My throat's still feels a little strange.\Mine too.\Do you think the guys are okay?\They're fine. I made them promise not to be stupid.\That's true.\They promised...\In exchange, I want a promise from you. response:	Zessica?
context: My throat's still feels a little strange.\Mine too.\Do you think the guys are okay?\They're fine. I made them promise not to be stupid.\That's true.\They promised...\In exchange, I want a promise from you.\Zessica? response:	I'm okay! Nothing wrong here!
context: Mine too.\Do you think the guys are okay?\They're fine. I made them promise not to be stupid.\That's true.\They promised...\In exchange, I want a promise from you.\Zessica?\I'm okay! Nothing wrong here! response:	Most of the sky is covered up on this planet.
context: Do you think the guys are okay?\They're fine. I made them promise not to be stupid.\That's true.\They promised...\In exchange, I want a promise from you.\Zessica?\I'm okay! Nothing wrong here!\Most of the sky is covered up on this planet. response:	Weird, right?
context: They're fine. I made them promise not to be stupid.\That's true.\They promised...\In exchange, I want a promise from you.\Zessica?\I'm okay! Nothing wrong here!\Most of the sky is covered up on this planet.\Weird, right? response:	Maybe everyone on the planet longs for the sky,
context: That's true.\They promised...\In exchange, I want a promise from you.\Zessica?\I'm okay! Nothing wrong here!\Most of the sky is covered up on this planet.\Weird, right?\Maybe everyone on the planet longs for the sky, response:	and that's why they fantasize about the Skies of Aquaria.
context: They promised...\In exchange, I want a promise from you.\Zessica?\I'm okay! Nothing wrong here!\Most of the sky is covered up on this planet.\Weird, right?\Maybe everyone on the planet longs for the sky,\and that's why they fantasize about the Skies of Aquaria. response:	Like Jin...
context: In exchange, I want a promise from you.\Zessica?\I'm okay! Nothing wrong here!\Most of the sky is covered up on this planet.\Weird, right?\Maybe everyone on the planet longs for the sky,\and that's why they fantasize about the Skies of Aquaria.\Like Jin... response:	Yunoha!
context: Zessica?\I'm okay! Nothing wrong here!\Most of the sky is covered up on this planet.\Weird, right?\Maybe everyone on the planet longs for the sky,\and that's why they fantasize about the Skies of Aquaria.\Like Jin...\Yunoha! response:	Damn, we were almost toast!
context: I'm okay! Nothing wrong here!\Most of the sky is covered up on this planet.\Weird, right?\Maybe everyone on the planet longs for the sky,\and that's why they fantasize about the Skies of Aquaria.\Like Jin...\Yunoha!\Damn, we were almost toast! response:	What?
context: Most of the sky is covered up on this planet.\Weird, right?\Maybe everyone on the planet longs for the sky,\and that's why they fantasize about the Skies of Aquaria.\Like Jin...\Yunoha!\Damn, we were almost toast!\What? response:	What am I saying?
context: Weird, right?\Maybe everyone on the planet longs for the sky,\and that's why they fantasize about the Skies of Aquaria.\Like Jin...\Yunoha!\Damn, we were almost toast!\What?\What am I saying? response:	We're not safe here.
context: Maybe everyone on the planet longs for the sky,\and that's why they fantasize about the Skies of Aquaria.\Like Jin...\Yunoha!\Damn, we were almost toast!\What?\What am I saying?\We're not safe here. response:	Great time for Shrade to be taking a walk.
context: and that's why they fantasize about the Skies of Aquaria.\Like Jin...\Yunoha!\Damn, we were almost toast!\What?\What am I saying?\We're not safe here.\Great time for Shrade to be taking a walk. response:	I know, right? What a freaking flake.
context: Like Jin...\Yunoha!\Damn, we were almost toast!\What?\What am I saying?\We're not safe here.\Great time for Shrade to be taking a walk.\I know, right? What a freaking flake. response:	I understand now.
context: Yunoha!\Damn, we were almost toast!\What?\What am I saying?\We're not safe here.\Great time for Shrade to be taking a walk.\I know, right? What a freaking flake.\I understand now. response:	At last I know the melody this world dances to.
context: Damn, we were almost toast!\What?\What am I saying?\We're not safe here.\Great time for Shrade to be taking a walk.\I know, right? What a freaking flake.\I understand now.\At last I know the melody this world dances to. response:	What an ugly sky.
context: What?\What am I saying?\We're not safe here.\Great time for Shrade to be taking a walk.\I know, right? What a freaking flake.\I understand now.\At last I know the melody this world dances to.\What an ugly sky. response:	The life of this land is waning away.
context: What am I saying?\We're not safe here.\Great time for Shrade to be taking a walk.\I know, right? What a freaking flake.\I understand now.\At last I know the melody this world dances to.\What an ugly sky.\The life of this land is waning away. response:	Ha, how strange.
context: We're not safe here.\Great time for Shrade to be taking a walk.\I know, right? What a freaking flake.\I understand now.\At last I know the melody this world dances to.\What an ugly sky.\The life of this land is waning away.\Ha, how strange. response:	This land and I are much alike.
context: Great time for Shrade to be taking a walk.\I know, right? What a freaking flake.\I understand now.\At last I know the melody this world dances to.\What an ugly sky.\The life of this land is waning away.\Ha, how strange.\This land and I are much alike. response:	Awaiting a death not far off.
context: I know, right? What a freaking flake.\I understand now.\At last I know the melody this world dances to.\What an ugly sky.\The life of this land is waning away.\Ha, how strange.\This land and I are much alike.\Awaiting a death not far off. response:	And so I understand you.
context: I understand now.\At last I know the melody this world dances to.\What an ugly sky.\The life of this land is waning away.\Ha, how strange.\This land and I are much alike.\Awaiting a death not far off.\And so I understand you. response:	I can feel your power flowing,
context: At last I know the melody this world dances to.\What an ugly sky.\The life of this land is waning away.\Ha, how strange.\This land and I are much alike.\Awaiting a death not far off.\And so I understand you.\I can feel your power flowing, response:	and I can see the nexus of that power.
context: What an ugly sky.\The life of this land is waning away.\Ha, how strange.\This land and I are much alike.\Awaiting a death not far off.\And so I understand you.\I can feel your power flowing,\and I can see the nexus of that power. response:	Let me out, assholes!
context: The life of this land is waning away.\Ha, how strange.\This land and I are much alike.\Awaiting a death not far off.\And so I understand you.\I can feel your power flowing,\and I can see the nexus of that power.\Let me out, assholes! response:	You can't keep me here! I said, let me out!
context: Ha, how strange.\This land and I are much alike.\Awaiting a death not far off.\And so I understand you.\I can feel your power flowing,\and I can see the nexus of that power.\Let me out, assholes!\You can't keep me here! I said, let me out! response:	What am I saying? I should thank them for bringing me here.
context: This land and I are much alike.\Awaiting a death not far off.\And so I understand you.\I can feel your power flowing,\and I can see the nexus of that power.\Let me out, assholes!\You can't keep me here! I said, let me out!\What am I saying? I should thank them for bringing me here. response:	Hold on, Mix. I'm gonna find you...
context: Awaiting a death not far off.\And so I understand you.\I can feel your power flowing,\and I can see the nexus of that power.\Let me out, assholes!\You can't keep me here! I said, let me out!\What am I saying? I should thank them for bringing me here.\Hold on, Mix. I'm gonna find you... response:	I'm going to find him. I have to find High Commander Fudo...
context: And so I understand you.\I can feel your power flowing,\and I can see the nexus of that power.\Let me out, assholes!\You can't keep me here! I said, let me out!\What am I saying? I should thank them for bringing me here.\Hold on, Mix. I'm gonna find you...\I'm going to find him. I have to find High Commander Fudo... response:	That's why I've come this far.
context: I can feel your power flowing,\and I can see the nexus of that power.\Let me out, assholes!\You can't keep me here! I said, let me out!\What am I saying? I should thank them for bringing me here.\Hold on, Mix. I'm gonna find you...\I'm going to find him. I have to find High Commander Fudo...\That's why I've come this far. response:	He really stands out, so it wasn't hard to track him here.
context: and I can see the nexus of that power.\Let me out, assholes!\You can't keep me here! I said, let me out!\What am I saying? I should thank them for bringing me here.\Hold on, Mix. I'm gonna find you...\I'm going to find him. I have to find High Commander Fudo...\That's why I've come this far.\He really stands out, so it wasn't hard to track him here. response:	This is all I can do to help.
context: Let me out, assholes!\You can't keep me here! I said, let me out!\What am I saying? I should thank them for bringing me here.\Hold on, Mix. I'm gonna find you...\I'm going to find him. I have to find High Commander Fudo...\That's why I've come this far.\He really stands out, so it wasn't hard to track him here.\This is all I can do to help. response:	I'm done running away.
context: You can't keep me here! I said, let me out!\What am I saying? I should thank them for bringing me here.\Hold on, Mix. I'm gonna find you...\I'm going to find him. I have to find High Commander Fudo...\That's why I've come this far.\He really stands out, so it wasn't hard to track him here.\This is all I can do to help.\I'm done running away. response:	I'll find High Commander Fudo and take him back to the academy.
context: What am I saying? I should thank them for bringing me here.\Hold on, Mix. I'm gonna find you...\I'm going to find him. I have to find High Commander Fudo...\That's why I've come this far.\He really stands out, so it wasn't hard to track him here.\This is all I can do to help.\I'm done running away.\I'll find High Commander Fudo and take him back to the academy. response:	Right, Shush?
context: Hold on, Mix. I'm gonna find you...\I'm going to find him. I have to find High Commander Fudo...\That's why I've come this far.\He really stands out, so it wasn't hard to track him here.\This is all I can do to help.\I'm done running away.\I'll find High Commander Fudo and take him back to the academy.\Right, Shush? response:	High Commander Fudo!
context: I'm going to find him. I have to find High Commander Fudo...\That's why I've come this far.\He really stands out, so it wasn't hard to track him here.\This is all I can do to help.\I'm done running away.\I'll find High Commander Fudo and take him back to the academy.\Right, Shush?\High Commander Fudo! response:	You certainly took your time.
context: That's why I've come this far.\He really stands out, so it wasn't hard to track him here.\This is all I can do to help.\I'm done running away.\I'll find High Commander Fudo and take him back to the academy.\Right, Shush?\High Commander Fudo!\You certainly took your time. response:	What do you mean? I've been looking as hard as I could!
context: He really stands out, so it wasn't hard to track him here.\This is all I can do to help.\I'm done running away.\I'll find High Commander Fudo and take him back to the academy.\Right, Shush?\High Commander Fudo!\You certainly took your time.\What do you mean? I've been looking as hard as I could! response:	Looking?
context: This is all I can do to help.\I'm done running away.\I'll find High Commander Fudo and take him back to the academy.\Right, Shush?\High Commander Fudo!\You certainly took your time.\What do you mean? I've been looking as hard as I could!\Looking? response:	Yes!
context: I'm done running away.\I'll find High Commander Fudo and take him back to the academy.\Right, Shush?\High Commander Fudo!\You certainly took your time.\What do you mean? I've been looking as hard as I could!\Looking?\Yes! response:	Why did you have to look?
context: I'll find High Commander Fudo and take him back to the academy.\Right, Shush?\High Commander Fudo!\You certainly took your time.\What do you mean? I've been looking as hard as I could!\Looking?\Yes!\Why did you have to look? response:	I've been with you the entire time.
context: Right, Shush?\High Commander Fudo!\You certainly took your time.\What do you mean? I've been looking as hard as I could!\Looking?\Yes!\Why did you have to look?\I've been with you the entire time. response:	At the market, on the trolley, and all through this town.
context: High Commander Fudo!\You certainly took your time.\What do you mean? I've been looking as hard as I could!\Looking?\Yes!\Why did you have to look?\I've been with you the entire time.\At the market, on the trolley, and all through this town. response:	I did not move for but an instant.
context: You certainly took your time.\What do you mean? I've been looking as hard as I could!\Looking?\Yes!\Why did you have to look?\I've been with you the entire time.\At the market, on the trolley, and all through this town.\I did not move for but an instant. response:	What?
context: What do you mean? I've been looking as hard as I could!\Looking?\Yes!\Why did you have to look?\I've been with you the entire time.\At the market, on the trolley, and all through this town.\I did not move for but an instant.\What? response:	Though my body journeys across Creation, I move not.
context: Looking?\Yes!\Why did you have to look?\I've been with you the entire time.\At the market, on the trolley, and all through this town.\I did not move for but an instant.\What?\Though my body journeys across Creation, I move not. response:	Though my soul lives throughout Eternity, I change not.
context: Yes!\Why did you have to look?\I've been with you the entire time.\At the market, on the trolley, and all through this town.\I did not move for but an instant.\What?\Though my body journeys across Creation, I move not.\Though my soul lives throughout Eternity, I change not. response:	Change not? Move not?
context: Why did you have to look?\I've been with you the entire time.\At the market, on the trolley, and all through this town.\I did not move for but an instant.\What?\Though my body journeys across Creation, I move not.\Though my soul lives throughout Eternity, I change not.\Change not? Move not? response:	You're Fudo...
context: I've been with you the entire time.\At the market, on the trolley, and all through this town.\I did not move for but an instant.\What?\Though my body journeys across Creation, I move not.\Though my soul lives throughout Eternity, I change not.\Change not? Move not?\You're Fudo... response:	Exactly. Fudo, Achala, the Immovable.
context: At the market, on the trolley, and all through this town.\I did not move for but an instant.\What?\Though my body journeys across Creation, I move not.\Though my soul lives throughout Eternity, I change not.\Change not? Move not?\You're Fudo...\Exactly. Fudo, Achala, the Immovable. response:	This is the meaning of the name, Fudo ZEN!
context: I did not move for but an instant.\What?\Though my body journeys across Creation, I move not.\Though my soul lives throughout Eternity, I change not.\Change not? Move not?\You're Fudo...\Exactly. Fudo, Achala, the Immovable.\This is the meaning of the name, Fudo ZEN! response:	High Commander Fudo, do you mean you've been alive for 12,000 years?
context: What?\Though my body journeys across Creation, I move not.\Though my soul lives throughout Eternity, I change not.\Change not? Move not?\You're Fudo...\Exactly. Fudo, Achala, the Immovable.\This is the meaning of the name, Fudo ZEN!\High Commander Fudo, do you mean you've been alive for 12,000 years? response:	Not quite. You should say 24,000 years.
context: Though my body journeys across Creation, I move not.\Though my soul lives throughout Eternity, I change not.\Change not? Move not?\You're Fudo...\Exactly. Fudo, Achala, the Immovable.\This is the meaning of the name, Fudo ZEN!\High Commander Fudo, do you mean you've been alive for 12,000 years?\Not quite. You should say 24,000 years. response:	Mikono Suzushiro, do you wish to know the whole truth?
context: Though my soul lives throughout Eternity, I change not.\Change not? Move not?\You're Fudo...\Exactly. Fudo, Achala, the Immovable.\This is the meaning of the name, Fudo ZEN!\High Commander Fudo, do you mean you've been alive for 12,000 years?\Not quite. You should say 24,000 years.\Mikono Suzushiro, do you wish to know the whole truth? response:	I'm sure of it. I swore to myself I wouldn't run away.
context: Change not? Move not?\You're Fudo...\Exactly. Fudo, Achala, the Immovable.\This is the meaning of the name, Fudo ZEN!\High Commander Fudo, do you mean you've been alive for 12,000 years?\Not quite. You should say 24,000 years.\Mikono Suzushiro, do you wish to know the whole truth?\I'm sure of it. I swore to myself I wouldn't run away. response:	No matter how hard it would be to take.
context: You're Fudo...\Exactly. Fudo, Achala, the Immovable.\This is the meaning of the name, Fudo ZEN!\High Commander Fudo, do you mean you've been alive for 12,000 years?\Not quite. You should say 24,000 years.\Mikono Suzushiro, do you wish to know the whole truth?\I'm sure of it. I swore to myself I wouldn't run away.\No matter how hard it would be to take. response:	That will do.
context: Exactly. Fudo, Achala, the Immovable.\This is the meaning of the name, Fudo ZEN!\High Commander Fudo, do you mean you've been alive for 12,000 years?\Not quite. You should say 24,000 years.\Mikono Suzushiro, do you wish to know the whole truth?\I'm sure of it. I swore to myself I wouldn't run away.\No matter how hard it would be to take.\That will do. response:	The truth...
context: This is the meaning of the name, Fudo ZEN!\High Commander Fudo, do you mean you've been alive for 12,000 years?\Not quite. You should say 24,000 years.\Mikono Suzushiro, do you wish to know the whole truth?\I'm sure of it. I swore to myself I wouldn't run away.\No matter how hard it would be to take.\That will do.\The truth... response:	can be truly cruel.
context: High Commander Fudo, do you mean you've been alive for 12,000 years?\Not quite. You should say 24,000 years.\Mikono Suzushiro, do you wish to know the whole truth?\I'm sure of it. I swore to myself I wouldn't run away.\No matter how hard it would be to take.\That will do.\The truth...\can be truly cruel. response:	Fourteen years ago, all of the Igura, the women of Altair, died out.
context: Not quite. You should say 24,000 years.\Mikono Suzushiro, do you wish to know the whole truth?\I'm sure of it. I swore to myself I wouldn't run away.\No matter how hard it would be to take.\That will do.\The truth...\can be truly cruel.\Fourteen years ago, all of the Igura, the women of Altair, died out. response:	That's... Jin!
context: Mikono Suzushiro, do you wish to know the whole truth?\I'm sure of it. I swore to myself I wouldn't run away.\No matter how hard it would be to take.\That will do.\The truth...\can be truly cruel.\Fourteen years ago, all of the Igura, the women of Altair, died out.\That's... Jin! response:	Jin Muso was the last child born on Altair.
context: I'm sure of it. I swore to myself I wouldn't run away.\No matter how hard it would be to take.\That will do.\The truth...\can be truly cruel.\Fourteen years ago, all of the Igura, the women of Altair, died out.\That's... Jin!\Jin Muso was the last child born on Altair. response:	Do you understand now? A planet without Iguras is doomed to a slow death.
context: No matter how hard it would be to take.\That will do.\The truth...\can be truly cruel.\Fourteen years ago, all of the Igura, the women of Altair, died out.\That's... Jin!\Jin Muso was the last child born on Altair.\Do you understand now? A planet without Iguras is doomed to a slow death. response:	That's why you've been abducting women from our planet?
context: That will do.\The truth...\can be truly cruel.\Fourteen years ago, all of the Igura, the women of Altair, died out.\That's... Jin!\Jin Muso was the last child born on Altair.\Do you understand now? A planet without Iguras is doomed to a slow death.\That's why you've been abducting women from our planet? response:	All we want is a mother, to bear Altair's future.
context: The truth...\can be truly cruel.\Fourteen years ago, all of the Igura, the women of Altair, died out.\That's... Jin!\Jin Muso was the last child born on Altair.\Do you understand now? A planet without Iguras is doomed to a slow death.\That's why you've been abducting women from our planet?\All we want is a mother, to bear Altair's future. response:	You think that gives you the right?
context: can be truly cruel.\Fourteen years ago, all of the Igura, the women of Altair, died out.\That's... Jin!\Jin Muso was the last child born on Altair.\Do you understand now? A planet without Iguras is doomed to a slow death.\That's why you've been abducting women from our planet?\All we want is a mother, to bear Altair's future.\You think that gives you the right? response:	Hear the whole story, boy.
context: Fourteen years ago, all of the Igura, the women of Altair, died out.\That's... Jin!\Jin Muso was the last child born on Altair.\Do you understand now? A planet without Iguras is doomed to a slow death.\That's why you've been abducting women from our planet?\All we want is a mother, to bear Altair's future.\You think that gives you the right?\Hear the whole story, boy. response:	There is more to the truth you need to hear.
context: That's... Jin!\Jin Muso was the last child born on Altair.\Do you understand now? A planet without Iguras is doomed to a slow death.\That's why you've been abducting women from our planet?\All we want is a mother, to bear Altair's future.\You think that gives you the right?\Hear the whole story, boy.\There is more to the truth you need to hear. response:	And the rest is only more cruel.
context: Jin Muso was the last child born on Altair.\Do you understand now? A planet without Iguras is doomed to a slow death.\That's why you've been abducting women from our planet?\All we want is a mother, to bear Altair's future.\You think that gives you the right?\Hear the whole story, boy.\There is more to the truth you need to hear.\And the rest is only more cruel. response:	Just wait, Mix!
context: Do you understand now? A planet without Iguras is doomed to a slow death.\That's why you've been abducting women from our planet?\All we want is a mother, to bear Altair's future.\You think that gives you the right?\Hear the whole story, boy.\There is more to the truth you need to hear.\And the rest is only more cruel.\Just wait, Mix! response:	Where am I?
context: That's why you've been abducting women from our planet?\All we want is a mother, to bear Altair's future.\You think that gives you the right?\Hear the whole story, boy.\There is more to the truth you need to hear.\And the rest is only more cruel.\Just wait, Mix!\Where am I? response:	Who are you?
context: All we want is a mother, to bear Altair's future.\You think that gives you the right?\Hear the whole story, boy.\There is more to the truth you need to hear.\And the rest is only more cruel.\Just wait, Mix!\Where am I?\Who are you? response:	Damn you!
context: You think that gives you the right?\Hear the whole story, boy.\There is more to the truth you need to hear.\And the rest is only more cruel.\Just wait, Mix!\Where am I?\Who are you?\Damn you! response:	Now, tell me! Where's Mix?
context: Hear the whole story, boy.\There is more to the truth you need to hear.\And the rest is only more cruel.\Just wait, Mix!\Where am I?\Who are you?\Damn you!\Now, tell me! Where's Mix? response:	Mix?
context: There is more to the truth you need to hear.\And the rest is only more cruel.\Just wait, Mix!\Where am I?\Who are you?\Damn you!\Now, tell me! Where's Mix?\Mix? response:	The girl with gigantic big bangs! Your boss brought her a while ago!
context: And the rest is only more cruel.\Just wait, Mix!\Where am I?\Who are you?\Damn you!\Now, tell me! Where's Mix?\Mix?\The girl with gigantic big bangs! Your boss brought her a while ago! response:	A girl? Oh, you mean...
context: Just wait, Mix!\Where am I?\Who are you?\Damn you!\Now, tell me! Where's Mix?\Mix?\The girl with gigantic big bangs! Your boss brought her a while ago!\A girl? Oh, you mean... response:	Hold it right there!
context: Where am I?\Who are you?\Damn you!\Now, tell me! Where's Mix?\Mix?\The girl with gigantic big bangs! Your boss brought her a while ago!\A girl? Oh, you mean...\Hold it right there! response:	Don't even move!
context: Who are you?\Damn you!\Now, tell me! Where's Mix?\Mix?\The girl with gigantic big bangs! Your boss brought her a while ago!\A girl? Oh, you mean...\Hold it right there!\Don't even move! response:	Or the next hole's going to be bigger, and...
context: Damn you!\Now, tell me! Where's Mix?\Mix?\The girl with gigantic big bangs! Your boss brought her a while ago!\A girl? Oh, you mean...\Hold it right there!\Don't even move!\Or the next hole's going to be bigger, and... response:	Wait! I'll tell you!
context: Now, tell me! Where's Mix?\Mix?\The girl with gigantic big bangs! Your boss brought her a while ago!\A girl? Oh, you mean...\Hold it right there!\Don't even move!\Or the next hole's going to be bigger, and...\Wait! I'll tell you! response:	Where is she?
context: Mix?\The girl with gigantic big bangs! Your boss brought her a while ago!\A girl? Oh, you mean...\Hold it right there!\Don't even move!\Or the next hole's going to be bigger, and...\Wait! I'll tell you!\Where is she? response:	What's going on here?
context: The girl with gigantic big bangs! Your boss brought her a while ago!\A girl? Oh, you mean...\Hold it right there!\Don't even move!\Or the next hole's going to be bigger, and...\Wait! I'll tell you!\Where is she?\What's going on here? response:	Damn you!
context: A girl? Oh, you mean...\Hold it right there!\Don't even move!\Or the next hole's going to be bigger, and...\Wait! I'll tell you!\Where is she?\What's going on here?\Damn you! response:	I guess I'll let you off easy this time.
context: Hold it right there!\Don't even move!\Or the next hole's going to be bigger, and...\Wait! I'll tell you!\Where is she?\What's going on here?\Damn you!\I guess I'll let you off easy this time. response:	Okay, my power just doesn't work on living things, but still!
context: Don't even move!\Or the next hole's going to be bigger, and...\Wait! I'll tell you!\Where is she?\What's going on here?\Damn you!\I guess I'll let you off easy this time.\Okay, my power just doesn't work on living things, but still! response:	He got away.
context: Or the next hole's going to be bigger, and...\Wait! I'll tell you!\Where is she?\What's going on here?\Damn you!\I guess I'll let you off easy this time.\Okay, my power just doesn't work on living things, but still!\He got away. response:	The prisoner has escaped!
context: Wait! I'll tell you!\Where is she?\What's going on here?\Damn you!\I guess I'll let you off easy this time.\Okay, my power just doesn't work on living things, but still!\He got away.\The prisoner has escaped! response:	I'll find you and hold you in my arms, Mix!
context: Where is she?\What's going on here?\Damn you!\I guess I'll let you off easy this time.\Okay, my power just doesn't work on living things, but still!\He got away.\The prisoner has escaped!\I'll find you and hold you in my arms, Mix! response:	Where are we going now?
context: What's going on here?\Damn you!\I guess I'll let you off easy this time.\Okay, my power just doesn't work on living things, but still!\He got away.\The prisoner has escaped!\I'll find you and hold you in my arms, Mix!\Where are we going now? response:	Mikono Suzushiro.
context: Damn you!\I guess I'll let you off easy this time.\Okay, my power just doesn't work on living things, but still!\He got away.\The prisoner has escaped!\I'll find you and hold you in my arms, Mix!\Where are we going now?\Mikono Suzushiro. response:	When you see this donut, what do you think?
context: I guess I'll let you off easy this time.\Okay, my power just doesn't work on living things, but still!\He got away.\The prisoner has escaped!\I'll find you and hold you in my arms, Mix!\Where are we going now?\Mikono Suzushiro.\When you see this donut, what do you think? response:	Um... I think it looks tasty?
context: Okay, my power just doesn't work on living things, but still!\He got away.\The prisoner has escaped!\I'll find you and hold you in my arms, Mix!\Where are we going now?\Mikono Suzushiro.\When you see this donut, what do you think?\Um... I think it looks tasty? response:	I hold this donut still in my hand.
