context: This shell can only be broken by those who go on adventures. response:	Level 6?
context: By herself?\Normally, beating one of those\things calls for a huge party of skilled adventurers,\and it'll still be close.\You can't compare yourself to her, Bell-kun.\Even I've never even heard of anybody like her.\Miss Wallenstein is special.\I want to get closer to her, even if it's just a little. response:	One more time, please!
context: Normally, beating one of those\things calls for a huge party of skilled adventurers,\and it'll still be close.\You can't compare yourself to her, Bell-kun.\Even I've never even heard of anybody like her.\Miss Wallenstein is special.\I want to get closer to her, even if it's just a little.\One more time, please! response:	How are you able to get so strong, so fast?
context: things calls for a huge party of skilled adventurers,\and it'll still be close.\You can't compare yourself to her, Bell-kun.\Even I've never even heard of anybody like her.\Miss Wallenstein is special.\I want to get closer to her, even if it's just a little.\One more time, please!\How are you able to get so strong, so fast? response:	It's not fast, and I'm not strong at all.
context: and it'll still be close.\You can't compare yourself to her, Bell-kun.\Even I've never even heard of anybody like her.\Miss Wallenstein is special.\I want to get closer to her, even if it's just a little.\One more time, please!\How are you able to get so strong, so fast?\It's not fast, and I'm not strong at all. response:	Is It Wrong to Try to Pick Up Girls in a Dungeon?
context: You can't compare yourself to her, Bell-kun.\Even I've never even heard of anybody like her.\Miss Wallenstein is special.\I want to get closer to her, even if it's just a little.\One more time, please!\How are you able to get so strong, so fast?\It's not fast, and I'm not strong at all.\Is It Wrong to Try to Pick Up Girls in a Dungeon? response:	Argonaut Wanting To Be A Hero
context: Even I've never even heard of anybody like her.\Miss Wallenstein is special.\I want to get closer to her, even if it's just a little.\One more time, please!\How are you able to get so strong, so fast?\It's not fast, and I'm not strong at all.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Argonaut Wanting To Be A Hero response:	Bell-san!
context: Miss Wallenstein is special.\I want to get closer to her, even if it's just a little.\One more time, please!\How are you able to get so strong, so fast?\It's not fast, and I'm not strong at all.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Argonaut Wanting To Be A Hero\Bell-san! response:	S-Syr-san?
context: I want to get closer to her, even if it's just a little.\One more time, please!\How are you able to get so strong, so fast?\It's not fast, and I'm not strong at all.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Argonaut Wanting To Be A Hero\Bell-san!\S-Syr-san? response:	I really wanted to find you.
context: One more time, please!\How are you able to get so strong, so fast?\It's not fast, and I'm not strong at all.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Argonaut Wanting To Be A Hero\Bell-san!\S-Syr-san?\I really wanted to find you. response:	Washing dishes?
context: How are you able to get so strong, so fast?\It's not fast, and I'm not strong at all.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Argonaut Wanting To Be A Hero\Bell-san!\S-Syr-san?\I really wanted to find you.\Washing dishes? response:	Sorry.
context: It's not fast, and I'm not strong at all.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Argonaut Wanting To Be A Hero\Bell-san!\S-Syr-san?\I really wanted to find you.\Washing dishes?\Sorry. response:	I skipped out onI mean, took a break
context: Is It Wrong to Try to Pick Up Girls in a Dungeon?\Argonaut Wanting To Be A Hero\Bell-san!\S-Syr-san?\I really wanted to find you.\Washing dishes?\Sorry.\I skipped out onI mean, took a break response:	from some work that was piling up,
context: Argonaut Wanting To Be A Hero\Bell-san!\S-Syr-san?\I really wanted to find you.\Washing dishes?\Sorry.\I skipped out onI mean, took a break\from some work that was piling up, response:	and Mama Mia got mad at me.
context: Bell-san!\S-Syr-san?\I really wanted to find you.\Washing dishes?\Sorry.\I skipped out onI mean, took a break\from some work that was piling up,\and Mama Mia got mad at me. response:	And as a punishment...
context: S-Syr-san?\I really wanted to find you.\Washing dishes?\Sorry.\I skipped out onI mean, took a break\from some work that was piling up,\and Mama Mia got mad at me.\And as a punishment... response:	I've got nothing to do with this at all!
context: I really wanted to find you.\Washing dishes?\Sorry.\I skipped out onI mean, took a break\from some work that was piling up,\and Mama Mia got mad at me.\And as a punishment...\I've got nothing to do with this at all! response:	Sorry, Bell-san.
context: Washing dishes?\Sorry.\I skipped out onI mean, took a break\from some work that was piling up,\and Mama Mia got mad at me.\And as a punishment...\I've got nothing to do with this at all!\Sorry, Bell-san. response:	Thanks so much!
context: Sorry.\I skipped out onI mean, took a break\from some work that was piling up,\and Mama Mia got mad at me.\And as a punishment...\I've got nothing to do with this at all!\Sorry, Bell-san.\Thanks so much! response:	But it might be nice to not think about anything for a while.
context: I skipped out onI mean, took a break\from some work that was piling up,\and Mama Mia got mad at me.\And as a punishment...\I've got nothing to do with this at all!\Sorry, Bell-san.\Thanks so much!\But it might be nice to not think about anything for a while. response:	A truly formidable task lies before you.
context: from some work that was piling up,\and Mama Mia got mad at me.\And as a punishment...\I've got nothing to do with this at all!\Sorry, Bell-san.\Thanks so much!\But it might be nice to not think about anything for a while.\A truly formidable task lies before you. response:	I'll help.
context: and Mama Mia got mad at me.\And as a punishment...\I've got nothing to do with this at all!\Sorry, Bell-san.\Thanks so much!\But it might be nice to not think about anything for a while.\A truly formidable task lies before you.\I'll help. response:	Ryuu-san?
context: And as a punishment...\I've got nothing to do with this at all!\Sorry, Bell-san.\Thanks so much!\But it might be nice to not think about anything for a while.\A truly formidable task lies before you.\I'll help.\Ryuu-san? response:	Um, Ryuu-san, were you an adventurer?
context: I've got nothing to do with this at all!\Sorry, Bell-san.\Thanks so much!\But it might be nice to not think about anything for a while.\A truly formidable task lies before you.\I'll help.\Ryuu-san?\Um, Ryuu-san, were you an adventurer? response:	Yes, in the past.
context: Sorry, Bell-san.\Thanks so much!\But it might be nice to not think about anything for a while.\A truly formidable task lies before you.\I'll help.\Ryuu-san?\Um, Ryuu-san, were you an adventurer?\Yes, in the past. response:	Why?
context: Thanks so much!\But it might be nice to not think about anything for a while.\A truly formidable task lies before you.\I'll help.\Ryuu-san?\Um, Ryuu-san, were you an adventurer?\Yes, in the past.\Why? response:	What do you have to do to level up?
context: But it might be nice to not think about anything for a while.\A truly formidable task lies before you.\I'll help.\Ryuu-san?\Um, Ryuu-san, were you an adventurer?\Yes, in the past.\Why?\What do you have to do to level up? response:	Do you just have to defeat a lot of monsters?
context: A truly formidable task lies before you.\I'll help.\Ryuu-san?\Um, Ryuu-san, were you an adventurer?\Yes, in the past.\Why?\What do you have to do to level up?\Do you just have to defeat a lot of monsters? response:	No, that's not enough.
context: I'll help.\Ryuu-san?\Um, Ryuu-san, were you an adventurer?\Yes, in the past.\Why?\What do you have to do to level up?\Do you just have to defeat a lot of monsters?\No, that's not enough. response:	You need to do something big.
context: Ryuu-san?\Um, Ryuu-san, were you an adventurer?\Yes, in the past.\Why?\What do you have to do to level up?\Do you just have to defeat a lot of monsters?\No, that's not enough.\You need to do something big. response:	In practice, you must defeat a powerful opponent.
context: Um, Ryuu-san, were you an adventurer?\Yes, in the past.\Why?\What do you have to do to level up?\Do you just have to defeat a lot of monsters?\No, that's not enough.\You need to do something big.\In practice, you must defeat a powerful opponent. response:	B-But you can beat somebody like that?
context: Yes, in the past.\Why?\What do you have to do to level up?\Do you just have to defeat a lot of monsters?\No, that's not enough.\You need to do something big.\In practice, you must defeat a powerful opponent.\B-But you can beat somebody like that? response:	Usually, it's difficult.
context: Why?\What do you have to do to level up?\Do you just have to defeat a lot of monsters?\No, that's not enough.\You need to do something big.\In practice, you must defeat a powerful opponent.\B-But you can beat somebody like that?\Usually, it's difficult. response:	But skills and strategy make it possible.
context: What do you have to do to level up?\Do you just have to defeat a lot of monsters?\No, that's not enough.\You need to do something big.\In practice, you must defeat a powerful opponent.\B-But you can beat somebody like that?\Usually, it's difficult.\But skills and strategy make it possible. response:	Your skills and strategy are lacking.
context: Do you just have to defeat a lot of monsters?\No, that's not enough.\You need to do something big.\In practice, you must defeat a powerful opponent.\B-But you can beat somebody like that?\Usually, it's difficult.\But skills and strategy make it possible.\Your skills and strategy are lacking. response:	That's not enough to win, though.
context: No, that's not enough.\You need to do something big.\In practice, you must defeat a powerful opponent.\B-But you can beat somebody like that?\Usually, it's difficult.\But skills and strategy make it possible.\Your skills and strategy are lacking.\That's not enough to win, though. response:	Normally, you would form a party.
context: You need to do something big.\In practice, you must defeat a powerful opponent.\B-But you can beat somebody like that?\Usually, it's difficult.\But skills and strategy make it possible.\Your skills and strategy are lacking.\That's not enough to win, though.\Normally, you would form a party. response:	If you really want to be strong,
context: In practice, you must defeat a powerful opponent.\B-But you can beat somebody like that?\Usually, it's difficult.\But skills and strategy make it possible.\Your skills and strategy are lacking.\That's not enough to win, though.\Normally, you would form a party.\If you really want to be strong, response:	eventually you'll need to join a party.
context: B-But you can beat somebody like that?\Usually, it's difficult.\But skills and strategy make it possible.\Your skills and strategy are lacking.\That's not enough to win, though.\Normally, you would form a party.\If you really want to be strong,\eventually you'll need to join a party. response:	Even when you couldn't win on your own, members of a party can compensate
context: Usually, it's difficult.\But skills and strategy make it possible.\Your skills and strategy are lacking.\That's not enough to win, though.\Normally, you would form a party.\If you really want to be strong,\eventually you'll need to join a party.\Even when you couldn't win on your own, members of a party can compensate response:	for each other's weaknesses, and defeat powerful opponents together.
context: But skills and strategy make it possible.\Your skills and strategy are lacking.\That's not enough to win, though.\Normally, you would form a party.\If you really want to be strong,\eventually you'll need to join a party.\Even when you couldn't win on your own, members of a party can compensate\for each other's weaknesses, and defeat powerful opponents together. response:	In other words, Cranel-san, if you want to go up a level,
context: Your skills and strategy are lacking.\That's not enough to win, though.\Normally, you would form a party.\If you really want to be strong,\eventually you'll need to join a party.\Even when you couldn't win on your own, members of a party can compensate\for each other's weaknesses, and defeat powerful opponents together.\In other words, Cranel-san, if you want to go up a level, response:	you need to go on an adventure.
context: That's not enough to win, though.\Normally, you would form a party.\If you really want to be strong,\eventually you'll need to join a party.\Even when you couldn't win on your own, members of a party can compensate\for each other's weaknesses, and defeat powerful opponents together.\In other words, Cranel-san, if you want to go up a level,\you need to go on an adventure. response:	There are as many meanings to adventure as there are people.
context: Normally, you would form a party.\If you really want to be strong,\eventually you'll need to join a party.\Even when you couldn't win on your own, members of a party can compensate\for each other's weaknesses, and defeat powerful opponents together.\In other words, Cranel-san, if you want to go up a level,\you need to go on an adventure.\There are as many meanings to adventure as there are people. response:	I don't know what kind of adventure you'll face.
context: If you really want to be strong,\eventually you'll need to join a party.\Even when you couldn't win on your own, members of a party can compensate\for each other's weaknesses, and defeat powerful opponents together.\In other words, Cranel-san, if you want to go up a level,\you need to go on an adventure.\There are as many meanings to adventure as there are people.\I don't know what kind of adventure you'll face. response:	But do not turn away from what it signifies.
context: eventually you'll need to join a party.\Even when you couldn't win on your own, members of a party can compensate\for each other's weaknesses, and defeat powerful opponents together.\In other words, Cranel-san, if you want to go up a level,\you need to go on an adventure.\There are as many meanings to adventure as there are people.\I don't know what kind of adventure you'll face.\But do not turn away from what it signifies. response:	You are an adventurer.
context: Even when you couldn't win on your own, members of a party can compensate\for each other's weaknesses, and defeat powerful opponents together.\In other words, Cranel-san, if you want to go up a level,\you need to go on an adventure.\There are as many meanings to adventure as there are people.\I don't know what kind of adventure you'll face.\But do not turn away from what it signifies.\You are an adventurer. response:	To be adventurous is probably the only way to get what you desire.
context: for each other's weaknesses, and defeat powerful opponents together.\In other words, Cranel-san, if you want to go up a level,\you need to go on an adventure.\There are as many meanings to adventure as there are people.\I don't know what kind of adventure you'll face.\But do not turn away from what it signifies.\You are an adventurer.\To be adventurous is probably the only way to get what you desire. response:	But my intuition is sometimes wrong, of course.
context: In other words, Cranel-san, if you want to go up a level,\you need to go on an adventure.\There are as many meanings to adventure as there are people.\I don't know what kind of adventure you'll face.\But do not turn away from what it signifies.\You are an adventurer.\To be adventurous is probably the only way to get what you desire.\But my intuition is sometimes wrong, of course. response:	This was the first time you could counterattack, wasn't it?
context: you need to go on an adventure.\There are as many meanings to adventure as there are people.\I don't know what kind of adventure you'll face.\But do not turn away from what it signifies.\You are an adventurer.\To be adventurous is probably the only way to get what you desire.\But my intuition is sometimes wrong, of course.\This was the first time you could counterattack, wasn't it? response:	Yeah.
context: There are as many meanings to adventure as there are people.\I don't know what kind of adventure you'll face.\But do not turn away from what it signifies.\You are an adventurer.\To be adventurous is probably the only way to get what you desire.\But my intuition is sometimes wrong, of course.\This was the first time you could counterattack, wasn't it?\Yeah. response:	This is our last day.
context: I don't know what kind of adventure you'll face.\But do not turn away from what it signifies.\You are an adventurer.\To be adventurous is probably the only way to get what you desire.\But my intuition is sometimes wrong, of course.\This was the first time you could counterattack, wasn't it?\Yeah.\This is our last day. response:	Thank you for all you've done this past week.
context: But do not turn away from what it signifies.\You are an adventurer.\To be adventurous is probably the only way to get what you desire.\But my intuition is sometimes wrong, of course.\This was the first time you could counterattack, wasn't it?\Yeah.\This is our last day.\Thank you for all you've done this past week. response:	Thank you, too.
context: You are an adventurer.\To be adventurous is probably the only way to get what you desire.\But my intuition is sometimes wrong, of course.\This was the first time you could counterattack, wasn't it?\Yeah.\This is our last day.\Thank you for all you've done this past week.\Thank you, too. response:	It was fun.
context: To be adventurous is probably the only way to get what you desire.\But my intuition is sometimes wrong, of course.\This was the first time you could counterattack, wasn't it?\Yeah.\This is our last day.\Thank you for all you've done this past week.\Thank you, too.\It was fun. response:	Do your best.
context: But my intuition is sometimes wrong, of course.\This was the first time you could counterattack, wasn't it?\Yeah.\This is our last day.\Thank you for all you've done this past week.\Thank you, too.\It was fun.\Do your best. response:	Yes. You, too, Aiz-san...
context: This was the first time you could counterattack, wasn't it?\Yeah.\This is our last day.\Thank you for all you've done this past week.\Thank you, too.\It was fun.\Do your best.\Yes. You, too, Aiz-san... response:	Um, do your best.
context: Yeah.\This is our last day.\Thank you for all you've done this past week.\Thank you, too.\It was fun.\Do your best.\Yes. You, too, Aiz-san...\Um, do your best. response:	I don't know if I can catch up to her.
context: This is our last day.\Thank you for all you've done this past week.\Thank you, too.\It was fun.\Do your best.\Yes. You, too, Aiz-san...\Um, do your best.\I don't know if I can catch up to her. response:	But I have to do it anyway.
context: Thank you for all you've done this past week.\Thank you, too.\It was fun.\Do your best.\Yes. You, too, Aiz-san...\Um, do your best.\I don't know if I can catch up to her.\But I have to do it anyway. response:	I'll chase her until I can reach out and touch her.
context: Thank you, too.\It was fun.\Do your best.\Yes. You, too, Aiz-san...\Um, do your best.\I don't know if I can catch up to her.\But I have to do it anyway.\I'll chase her until I can reach out and touch her. response:	And then...
context: It was fun.\Do your best.\Yes. You, too, Aiz-san...\Um, do your best.\I don't know if I can catch up to her.\But I have to do it anyway.\I'll chase her until I can reach out and touch her.\And then... response:	Then your training with Wallenwhatsit really ended this morning, right?
context: Do your best.\Yes. You, too, Aiz-san...\Um, do your best.\I don't know if I can catch up to her.\But I have to do it anyway.\I'll chase her until I can reach out and touch her.\And then...\Then your training with Wallenwhatsit really ended this morning, right? response:	Yes. As planned, the Loki Familia is going on an expedition today.
context: Yes. You, too, Aiz-san...\Um, do your best.\I don't know if I can catch up to her.\But I have to do it anyway.\I'll chase her until I can reach out and touch her.\And then...\Then your training with Wallenwhatsit really ended this morning, right?\Yes. As planned, the Loki Familia is going on an expedition today. response:	I see... it's done, huh?
context: Um, do your best.\I don't know if I can catch up to her.\But I have to do it anyway.\I'll chase her until I can reach out and touch her.\And then...\Then your training with Wallenwhatsit really ended this morning, right?\Yes. As planned, the Loki Familia is going on an expedition today.\I see... it's done, huh? response:	But still, this ability...
context: I don't know if I can catch up to her.\But I have to do it anyway.\I'll chase her until I can reach out and touch her.\And then...\Then your training with Wallenwhatsit really ended this morning, right?\Yes. As planned, the Loki Familia is going on an expedition today.\I see... it's done, huh?\But still, this ability... response:	Bye, Goddess! I'll be back!
context: But I have to do it anyway.\I'll chase her until I can reach out and touch her.\And then...\Then your training with Wallenwhatsit really ended this morning, right?\Yes. As planned, the Loki Familia is going on an expedition today.\I see... it's done, huh?\But still, this ability...\Bye, Goddess! I'll be back! response:	Hey, Bell-kun! Your status!
context: I'll chase her until I can reach out and touch her.\And then...\Then your training with Wallenwhatsit really ended this morning, right?\Yes. As planned, the Loki Familia is going on an expedition today.\I see... it's done, huh?\But still, this ability...\Bye, Goddess! I'll be back!\Hey, Bell-kun! Your status! response:	Sorry! I'll look at it when I get back!
context: And then...\Then your training with Wallenwhatsit really ended this morning, right?\Yes. As planned, the Loki Familia is going on an expedition today.\I see... it's done, huh?\But still, this ability...\Bye, Goddess! I'll be back!\Hey, Bell-kun! Your status!\Sorry! I'll look at it when I get back! response:	Bell-kun! Bell-kun!
context: Then your training with Wallenwhatsit really ended this morning, right?\Yes. As planned, the Loki Familia is going on an expedition today.\I see... it's done, huh?\But still, this ability...\Bye, Goddess! I'll be back!\Hey, Bell-kun! Your status!\Sorry! I'll look at it when I get back!\Bell-kun! Bell-kun! response:	What is this thing?
context: Yes. As planned, the Loki Familia is going on an expedition today.\I see... it's done, huh?\But still, this ability...\Bye, Goddess! I'll be back!\Hey, Bell-kun! Your status!\Sorry! I'll look at it when I get back!\Bell-kun! Bell-kun!\What is this thing? response:	We will now begin our expedition deep into the dungeon.
context: I see... it's done, huh?\But still, this ability...\Bye, Goddess! I'll be back!\Hey, Bell-kun! Your status!\Sorry! I'll look at it when I get back!\Bell-kun! Bell-kun!\What is this thing?\We will now begin our expedition deep into the dungeon. response:	Once again, to avoid crowding the upper floors, we'll split into two teams.
context: But still, this ability...\Bye, Goddess! I'll be back!\Hey, Bell-kun! Your status!\Sorry! I'll look at it when I get back!\Bell-kun! Bell-kun!\What is this thing?\We will now begin our expedition deep into the dungeon.\Once again, to avoid crowding the upper floors, we'll split into two teams. response:	I'll take team one.
context: Bye, Goddess! I'll be back!\Hey, Bell-kun! Your status!\Sorry! I'll look at it when I get back!\Bell-kun! Bell-kun!\What is this thing?\We will now begin our expedition deep into the dungeon.\Once again, to avoid crowding the upper floors, we'll split into two teams.\I'll take team one. response:	Gareth will command team two.
context: Hey, Bell-kun! Your status!\Sorry! I'll look at it when I get back!\Bell-kun! Bell-kun!\What is this thing?\We will now begin our expedition deep into the dungeon.\Once again, to avoid crowding the upper floors, we'll split into two teams.\I'll take team one.\Gareth will command team two. response:	Blacksmiths from the Hephaestus Familia will accompany us.
context: Sorry! I'll look at it when I get back!\Bell-kun! Bell-kun!\What is this thing?\We will now begin our expedition deep into the dungeon.\Once again, to avoid crowding the upper floors, we'll split into two teams.\I'll take team one.\Gareth will command team two.\Blacksmiths from the Hephaestus Familia will accompany us. response:	We'll meet on the 18th floor.
context: Bell-kun! Bell-kun!\What is this thing?\We will now begin our expedition deep into the dungeon.\Once again, to avoid crowding the upper floors, we'll split into two teams.\I'll take team one.\Gareth will command team two.\Blacksmiths from the Hephaestus Familia will accompany us.\We'll meet on the 18th floor. response:	From there, we'll head directly to the 50th floor.
context: What is this thing?\We will now begin our expedition deep into the dungeon.\Once again, to avoid crowding the upper floors, we'll split into two teams.\I'll take team one.\Gareth will command team two.\Blacksmiths from the Hephaestus Familia will accompany us.\We'll meet on the 18th floor.\From there, we'll head directly to the 50th floor. response:	Our goal is nothing less than the 59th floor, which has never before been reached.
context: We will now begin our expedition deep into the dungeon.\Once again, to avoid crowding the upper floors, we'll split into two teams.\I'll take team one.\Gareth will command team two.\Blacksmiths from the Hephaestus Familia will accompany us.\We'll meet on the 18th floor.\From there, we'll head directly to the 50th floor.\Our goal is nothing less than the 59th floor, which has never before been reached. response:	The preparations are complete.
context: Once again, to avoid crowding the upper floors, we'll split into two teams.\I'll take team one.\Gareth will command team two.\Blacksmiths from the Hephaestus Familia will accompany us.\We'll meet on the 18th floor.\From there, we'll head directly to the 50th floor.\Our goal is nothing less than the 59th floor, which has never before been reached.\The preparations are complete. response:	A greedy adventurer opened the box,
context: I'll take team one.\Gareth will command team two.\Blacksmiths from the Hephaestus Familia will accompany us.\We'll meet on the 18th floor.\From there, we'll head directly to the 50th floor.\Our goal is nothing less than the 59th floor, which has never before been reached.\The preparations are complete.\A greedy adventurer opened the box, response:	and revealed it ahead of schedule, though.
context: Gareth will command team two.\Blacksmiths from the Hephaestus Familia will accompany us.\We'll meet on the 18th floor.\From there, we'll head directly to the 50th floor.\Our goal is nothing less than the 59th floor, which has never before been reached.\The preparations are complete.\A greedy adventurer opened the box,\and revealed it ahead of schedule, though. response:	I see.
context: Blacksmiths from the Hephaestus Familia will accompany us.\We'll meet on the 18th floor.\From there, we'll head directly to the 50th floor.\Our goal is nothing less than the 59th floor, which has never before been reached.\The preparations are complete.\A greedy adventurer opened the box,\and revealed it ahead of schedule, though.\I see. response:	It's time for that child show to show me an adventure.
context: We'll meet on the 18th floor.\From there, we'll head directly to the 50th floor.\Our goal is nothing less than the 59th floor, which has never before been reached.\The preparations are complete.\A greedy adventurer opened the box,\and revealed it ahead of schedule, though.\I see.\It's time for that child show to show me an adventure. response:	Is something wrong, Bell-sama?
context: From there, we'll head directly to the 50th floor.\Our goal is nothing less than the 59th floor, which has never before been reached.\The preparations are complete.\A greedy adventurer opened the box,\and revealed it ahead of schedule, though.\I see.\It's time for that child show to show me an adventure.\Is something wrong, Bell-sama? response:	Do you sense anything, Lili?
context: Our goal is nothing less than the 59th floor, which has never before been reached.\The preparations are complete.\A greedy adventurer opened the box,\and revealed it ahead of schedule, though.\I see.\It's time for that child show to show me an adventure.\Is something wrong, Bell-sama?\Do you sense anything, Lili? response:	Like somebody's watching us?
context: The preparations are complete.\A greedy adventurer opened the box,\and revealed it ahead of schedule, though.\I see.\It's time for that child show to show me an adventure.\Is something wrong, Bell-sama?\Do you sense anything, Lili?\Like somebody's watching us? response:	I couldn't say.
context: A greedy adventurer opened the box,\and revealed it ahead of schedule, though.\I see.\It's time for that child show to show me an adventure.\Is something wrong, Bell-sama?\Do you sense anything, Lili?\Like somebody's watching us?\I couldn't say. response:	But there does seem to be something off about this floor.
context: and revealed it ahead of schedule, though.\I see.\It's time for that child show to show me an adventure.\Is something wrong, Bell-sama?\Do you sense anything, Lili?\Like somebody's watching us?\I couldn't say.\But there does seem to be something off about this floor. response:	Yeah.
context: I see.\It's time for that child show to show me an adventure.\Is something wrong, Bell-sama?\Do you sense anything, Lili?\Like somebody's watching us?\I couldn't say.\But there does seem to be something off about this floor.\Yeah. response:	There are too few monsters.
context: It's time for that child show to show me an adventure.\Is something wrong, Bell-sama?\Do you sense anything, Lili?\Like somebody's watching us?\I couldn't say.\But there does seem to be something off about this floor.\Yeah.\There are too few monsters. response:	And too few adventurers.
context: Is something wrong, Bell-sama?\Do you sense anything, Lili?\Like somebody's watching us?\I couldn't say.\But there does seem to be something off about this floor.\Yeah.\There are too few monsters.\And too few adventurers. response:	It was like this on that day, too.
context: Do you sense anything, Lili?\Like somebody's watching us?\I couldn't say.\But there does seem to be something off about this floor.\Yeah.\There are too few monsters.\And too few adventurers.\It was like this on that day, too. response:	Let's go, Lili.
context: Like somebody's watching us?\I couldn't say.\But there does seem to be something off about this floor.\Yeah.\There are too few monsters.\And too few adventurers.\It was like this on that day, too.\Let's go, Lili. response:	Uh, okay.
context: I couldn't say.\But there does seem to be something off about this floor.\Yeah.\There are too few monsters.\And too few adventurers.\It was like this on that day, too.\Let's go, Lili.\Uh, okay. response:	What was that?
context: But there does seem to be something off about this floor.\Yeah.\There are too few monsters.\And too few adventurers.\It was like this on that day, too.\Let's go, Lili.\Uh, okay.\What was that? response:	Why is there a minotaur on the ninth floor?
context: Yeah.\There are too few monsters.\And too few adventurers.\It was like this on that day, too.\Let's go, Lili.\Uh, okay.\What was that?\Why is there a minotaur on the ninth floor? response:	Bell-sama, let's run!
context: There are too few monsters.\And too few adventurers.\It was like this on that day, too.\Let's go, Lili.\Uh, okay.\What was that?\Why is there a minotaur on the ninth floor?\Bell-sama, let's run! response:	We're not strong enough to fight it now!
context: And too few adventurers.\It was like this on that day, too.\Let's go, Lili.\Uh, okay.\What was that?\Why is there a minotaur on the ninth floor?\Bell-sama, let's run!\We're not strong enough to fight it now! response:	Hurry!
context: It was like this on that day, too.\Let's go, Lili.\Uh, okay.\What was that?\Why is there a minotaur on the ninth floor?\Bell-sama, let's run!\We're not strong enough to fight it now!\Hurry! response:	Bell-sama?
context: Let's go, Lili.\Uh, okay.\What was that?\Why is there a minotaur on the ninth floor?\Bell-sama, let's run!\We're not strong enough to fight it now!\Hurry!\Bell-sama? response:	Bell-sama! Bell-sama!
context: Uh, okay.\What was that?\Why is there a minotaur on the ninth floor?\Bell-sama, let's run!\We're not strong enough to fight it now!\Hurry!\Bell-sama?\Bell-sama! Bell-sama! response:	Get a hold of yourself!
context: What was that?\Why is there a minotaur on the ninth floor?\Bell-sama, let's run!\We're not strong enough to fight it now!\Hurry!\Bell-sama?\Bell-sama! Bell-sama!\Get a hold of yourself! response:	Lili...
context: Why is there a minotaur on the ninth floor?\Bell-sama, let's run!\We're not strong enough to fight it now!\Hurry!\Bell-sama?\Bell-sama! Bell-sama!\Get a hold of yourself!\Lili... response:	Lili!
context: Bell-sama, let's run!\We're not strong enough to fight it now!\Hurry!\Bell-sama?\Bell-sama! Bell-sama!\Get a hold of yourself!\Lili...\Lili! response:	I'm sorry!
context: We're not strong enough to fight it now!\Hurry!\Bell-sama?\Bell-sama! Bell-sama!\Get a hold of yourself!\Lili...\Lili!\I'm sorry! response:	Firebolt!
context: Hurry!\Bell-sama?\Bell-sama! Bell-sama!\Get a hold of yourself!\Lili...\Lili!\I'm sorry!\Firebolt! response:	Firebolt! Firebolt! Firebolt!
context: Bell-sama?\Bell-sama! Bell-sama!\Get a hold of yourself!\Lili...\Lili!\I'm sorry!\Firebolt!\Firebolt! Firebolt! Firebolt! response:	A minotaur appeared?
context: Bell-sama! Bell-sama!\Get a hold of yourself!\Lili...\Lili!\I'm sorry!\Firebolt!\Firebolt! Firebolt! Firebolt!\A minotaur appeared? response:	Yeah, I'm sure of it.
