context: intermission response:	Eh?
context: Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song response:	Are you ready, my little ones?
context: Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Are you ready, my little ones? response:	Standby to advance!
context: Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Are you ready, my little ones?\Standby to advance! response:	Forward!
context: Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Are you ready, my little ones?\Standby to advance!\Forward! response:	Advancing!
context: Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Are you ready, my little ones?\Standby to advance!\Forward!\Advancing! response:	Where are our reinforcements?
context: Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Are you ready, my little ones?\Standby to advance!\Forward!\Advancing!\Where are our reinforcements? response:	Left, forty degrees! Main armament, standby!
context: Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Are you ready, my little ones?\Standby to advance!\Forward!\Advancing!\Where are our reinforcements?\Left, forty degrees! Main armament, standby! response:	Distance, 400.
context: In this light pouring down onto you, play tomorrow's song\Are you ready, my little ones?\Standby to advance!\Forward!\Advancing!\Where are our reinforcements?\Left, forty degrees! Main armament, standby!\Distance, 400. response:	Load shell. Incendiary round.
context: Are you ready, my little ones?\Standby to advance!\Forward!\Advancing!\Where are our reinforcements?\Left, forty degrees! Main armament, standby!\Distance, 400.\Load shell. Incendiary round. response:	Check.
context: Standby to advance!\Forward!\Advancing!\Where are our reinforcements?\Left, forty degrees! Main armament, standby!\Distance, 400.\Load shell. Incendiary round.\Check. response:	Olga!
context: Forward!\Advancing!\Where are our reinforcements?\Left, forty degrees! Main armament, standby!\Distance, 400.\Load shell. Incendiary round.\Check.\Olga! response:	Leave it to me!
context: Advancing!\Where are our reinforcements?\Left, forty degrees! Main armament, standby!\Distance, 400.\Load shell. Incendiary round.\Check.\Olga!\Leave it to me! response:	I've been canned in this thing for three days! I'm not dying until I get a shower!
context: Where are our reinforcements?\Left, forty degrees! Main armament, standby!\Distance, 400.\Load shell. Incendiary round.\Check.\Olga!\Leave it to me!\I've been canned in this thing for three days! I'm not dying until I get a shower! response:	Target locked!
context: Left, forty degrees! Main armament, standby!\Distance, 400.\Load shell. Incendiary round.\Check.\Olga!\Leave it to me!\I've been canned in this thing for three days! I'm not dying until I get a shower!\Target locked! response:	Fire!
context: Distance, 400.\Load shell. Incendiary round.\Check.\Olga!\Leave it to me!\I've been canned in this thing for three days! I'm not dying until I get a shower!\Target locked!\Fire! response:	Direct hit!
context: Load shell. Incendiary round.\Check.\Olga!\Leave it to me!\I've been canned in this thing for three days! I'm not dying until I get a shower!\Target locked!\Fire!\Direct hit! response:	Anna, signal the forces to our rear.
context: Check.\Olga!\Leave it to me!\I've been canned in this thing for three days! I'm not dying until I get a shower!\Target locked!\Fire!\Direct hit!\Anna, signal the forces to our rear. response:	Have destroyed enemy unit. Take up our rear.
context: Olga!\Leave it to me!\I've been canned in this thing for three days! I'm not dying until I get a shower!\Target locked!\Fire!\Direct hit!\Anna, signal the forces to our rear.\Have destroyed enemy unit. Take up our rear. response:	Roger!
context: Leave it to me!\I've been canned in this thing for three days! I'm not dying until I get a shower!\Target locked!\Fire!\Direct hit!\Anna, signal the forces to our rear.\Have destroyed enemy unit. Take up our rear.\Roger! response:	Filicia, cover her.
context: I've been canned in this thing for three days! I'm not dying until I get a shower!\Target locked!\Fire!\Direct hit!\Anna, signal the forces to our rear.\Have destroyed enemy unit. Take up our rear.\Roger!\Filicia, cover her. response:	Y- Yes.
context: Target locked!\Fire!\Direct hit!\Anna, signal the forces to our rear.\Have destroyed enemy unit. Take up our rear.\Roger!\Filicia, cover her.\Y- Yes. response:	It's flashing out there, but there's no thunder. Just relax.
context: Fire!\Direct hit!\Anna, signal the forces to our rear.\Have destroyed enemy unit. Take up our rear.\Roger!\Filicia, cover her.\Y- Yes.\It's flashing out there, but there's no thunder. Just relax. response:	I know!
context: Direct hit!\Anna, signal the forces to our rear.\Have destroyed enemy unit. Take up our rear.\Roger!\Filicia, cover her.\Y- Yes.\It's flashing out there, but there's no thunder. Just relax.\I know! response:	Three o'clock!
context: Anna, signal the forces to our rear.\Have destroyed enemy unit. Take up our rear.\Roger!\Filicia, cover her.\Y- Yes.\It's flashing out there, but there's no thunder. Just relax.\I know!\Three o'clock! response:	No...
context: Have destroyed enemy unit. Take up our rear.\Roger!\Filicia, cover her.\Y- Yes.\It's flashing out there, but there's no thunder. Just relax.\I know!\Three o'clock!\No... response:	Lieutenant Anna!
context: Roger!\Filicia, cover her.\Y- Yes.\It's flashing out there, but there's no thunder. Just relax.\I know!\Three o'clock!\No...\Lieutenant Anna! response:	Paper!
context: Filicia, cover her.\Y- Yes.\It's flashing out there, but there's no thunder. Just relax.\I know!\Three o'clock!\No...\Lieutenant Anna!\Paper! response:	Bamboo!
context: Y- Yes.\It's flashing out there, but there's no thunder. Just relax.\I know!\Three o'clock!\No...\Lieutenant Anna!\Paper!\Bamboo! response:	Chirping Crickets - Floating Lights on the River
context: It's flashing out there, but there's no thunder. Just relax.\I know!\Three o'clock!\No...\Lieutenant Anna!\Paper!\Bamboo!\Chirping Crickets - Floating Lights on the River response:	Come on, Noel!
context: I know!\Three o'clock!\No...\Lieutenant Anna!\Paper!\Bamboo!\Chirping Crickets - Floating Lights on the River\Come on, Noel! response:	It won't get clean if you don't scrub harder!
context: Three o'clock!\No...\Lieutenant Anna!\Paper!\Bamboo!\Chirping Crickets - Floating Lights on the River\Come on, Noel!\It won't get clean if you don't scrub harder! response:	It's so hot!
context: No...\Lieutenant Anna!\Paper!\Bamboo!\Chirping Crickets - Floating Lights on the River\Come on, Noel!\It won't get clean if you don't scrub harder!\It's so hot! response:	This building gets way too cold in the winter, but thank God it's cool in the summer.
context: Lieutenant Anna!\Paper!\Bamboo!\Chirping Crickets - Floating Lights on the River\Come on, Noel!\It won't get clean if you don't scrub harder!\It's so hot!\This building gets way too cold in the winter, but thank God it's cool in the summer. response:	Oh? Weren't Filicia and Rio in charge of the laundry today?
context: Paper!\Bamboo!\Chirping Crickets - Floating Lights on the River\Come on, Noel!\It won't get clean if you don't scrub harder!\It's so hot!\This building gets way too cold in the winter, but thank God it's cool in the summer.\Oh? Weren't Filicia and Rio in charge of the laundry today? response:	They said they were busy so they asked us to do it for them.
context: Bamboo!\Chirping Crickets - Floating Lights on the River\Come on, Noel!\It won't get clean if you don't scrub harder!\It's so hot!\This building gets way too cold in the winter, but thank God it's cool in the summer.\Oh? Weren't Filicia and Rio in charge of the laundry today?\They said they were busy so they asked us to do it for them. response:	Whose is that?
context: Chirping Crickets - Floating Lights on the River\Come on, Noel!\It won't get clean if you don't scrub harder!\It's so hot!\This building gets way too cold in the winter, but thank God it's cool in the summer.\Oh? Weren't Filicia and Rio in charge of the laundry today?\They said they were busy so they asked us to do it for them.\Whose is that? response:	Filicia's.
context: Come on, Noel!\It won't get clean if you don't scrub harder!\It's so hot!\This building gets way too cold in the winter, but thank God it's cool in the summer.\Oh? Weren't Filicia and Rio in charge of the laundry today?\They said they were busy so they asked us to do it for them.\Whose is that?\Filicia's. response:	She said she wasn't hungry, so we could have them.
context: It won't get clean if you don't scrub harder!\It's so hot!\This building gets way too cold in the winter, but thank God it's cool in the summer.\Oh? Weren't Filicia and Rio in charge of the laundry today?\They said they were busy so they asked us to do it for them.\Whose is that?\Filicia's.\She said she wasn't hungry, so we could have them. response:	Then this one's mine!
context: It's so hot!\This building gets way too cold in the winter, but thank God it's cool in the summer.\Oh? Weren't Filicia and Rio in charge of the laundry today?\They said they were busy so they asked us to do it for them.\Whose is that?\Filicia's.\She said she wasn't hungry, so we could have them.\Then this one's mine! response:	What are you doing? Are you starting on dinner?
context: This building gets way too cold in the winter, but thank God it's cool in the summer.\Oh? Weren't Filicia and Rio in charge of the laundry today?\They said they were busy so they asked us to do it for them.\Whose is that?\Filicia's.\She said she wasn't hungry, so we could have them.\Then this one's mine!\What are you doing? Are you starting on dinner? response:	Ouch. What are you making? You shouldn't play with your food.
context: Oh? Weren't Filicia and Rio in charge of the laundry today?\They said they were busy so they asked us to do it for them.\Whose is that?\Filicia's.\She said she wasn't hungry, so we could have them.\Then this one's mine!\What are you doing? Are you starting on dinner?\Ouch. What are you making? You shouldn't play with your food. response:	I'm not playing!
context: They said they were busy so they asked us to do it for them.\Whose is that?\Filicia's.\She said she wasn't hungry, so we could have them.\Then this one's mine!\What are you doing? Are you starting on dinner?\Ouch. What are you making? You shouldn't play with your food.\I'm not playing! response:	It's almost time for Obon, right?
context: Whose is that?\Filicia's.\She said she wasn't hungry, so we could have them.\Then this one's mine!\What are you doing? Are you starting on dinner?\Ouch. What are you making? You shouldn't play with your food.\I'm not playing!\It's almost time for Obon, right? response:	What? What's this Obon?
context: Filicia's.\She said she wasn't hungry, so we could have them.\Then this one's mine!\What are you doing? Are you starting on dinner?\Ouch. What are you making? You shouldn't play with your food.\I'm not playing!\It's almost time for Obon, right?\What? What's this Obon? response:	Fiesta des Lumieres.
context: She said she wasn't hungry, so we could have them.\Then this one's mine!\What are you doing? Are you starting on dinner?\Ouch. What are you making? You shouldn't play with your food.\I'm not playing!\It's almost time for Obon, right?\What? What's this Obon?\Fiesta des Lumieres. response:	Fi?
context: Then this one's mine!\What are you doing? Are you starting on dinner?\Ouch. What are you making? You shouldn't play with your food.\I'm not playing!\It's almost time for Obon, right?\What? What's this Obon?\Fiesta des Lumieres.\Fi? response:	Fiesta des Lumieres is an event specific to the southern part of Helvetia.
context: What are you doing? Are you starting on dinner?\Ouch. What are you making? You shouldn't play with your food.\I'm not playing!\It's almost time for Obon, right?\What? What's this Obon?\Fiesta des Lumieres.\Fi?\Fiesta des Lumieres is an event specific to the southern part of Helvetia. response:	It originated in a local belief that
context: Ouch. What are you making? You shouldn't play with your food.\I'm not playing!\It's almost time for Obon, right?\What? What's this Obon?\Fiesta des Lumieres.\Fi?\Fiesta des Lumieres is an event specific to the southern part of Helvetia.\It originated in a local belief that response:	for a short period during the summer, the souls of the dead would return to the world of the living.
context: I'm not playing!\It's almost time for Obon, right?\What? What's this Obon?\Fiesta des Lumieres.\Fi?\Fiesta des Lumieres is an event specific to the southern part of Helvetia.\It originated in a local belief that\for a short period during the summer, the souls of the dead would return to the world of the living. response:	Paper lanterns are floated down the river as a symbol of their return to the afterlife.
context: It's almost time for Obon, right?\What? What's this Obon?\Fiesta des Lumieres.\Fi?\Fiesta des Lumieres is an event specific to the southern part of Helvetia.\It originated in a local belief that\for a short period during the summer, the souls of the dead would return to the world of the living.\Paper lanterns are floated down the river as a symbol of their return to the afterlife. response:	In some regions, the festival is called Obon.
context: What? What's this Obon?\Fiesta des Lumieres.\Fi?\Fiesta des Lumieres is an event specific to the southern part of Helvetia.\It originated in a local belief that\for a short period during the summer, the souls of the dead would return to the world of the living.\Paper lanterns are floated down the river as a symbol of their return to the afterlife.\In some regions, the festival is called Obon. response:	Right. Here you are.
context: Fiesta des Lumieres.\Fi?\Fiesta des Lumieres is an event specific to the southern part of Helvetia.\It originated in a local belief that\for a short period during the summer, the souls of the dead would return to the world of the living.\Paper lanterns are floated down the river as a symbol of their return to the afterlife.\In some regions, the festival is called Obon.\Right. Here you are. response:	Thank you.
context: Fi?\Fiesta des Lumieres is an event specific to the southern part of Helvetia.\It originated in a local belief that\for a short period during the summer, the souls of the dead would return to the world of the living.\Paper lanterns are floated down the river as a symbol of their return to the afterlife.\In some regions, the festival is called Obon.\Right. Here you are.\Thank you. response:	Oh? So it's the same thing?
context: Fiesta des Lumieres is an event specific to the southern part of Helvetia.\It originated in a local belief that\for a short period during the summer, the souls of the dead would return to the world of the living.\Paper lanterns are floated down the river as a symbol of their return to the afterlife.\In some regions, the festival is called Obon.\Right. Here you are.\Thank you.\Oh? So it's the same thing? response:	Souls returning?
context: It originated in a local belief that\for a short period during the summer, the souls of the dead would return to the world of the living.\Paper lanterns are floated down the river as a symbol of their return to the afterlife.\In some regions, the festival is called Obon.\Right. Here you are.\Thank you.\Oh? So it's the same thing?\Souls returning? response:	Wait, wait! What does that mean? Does that mean ghosts come back?
context: for a short period during the summer, the souls of the dead would return to the world of the living.\Paper lanterns are floated down the river as a symbol of their return to the afterlife.\In some regions, the festival is called Obon.\Right. Here you are.\Thank you.\Oh? So it's the same thing?\Souls returning?\Wait, wait! What does that mean? Does that mean ghosts come back? response:	In one sense.
context: Paper lanterns are floated down the river as a symbol of their return to the afterlife.\In some regions, the festival is called Obon.\Right. Here you are.\Thank you.\Oh? So it's the same thing?\Souls returning?\Wait, wait! What does that mean? Does that mean ghosts come back?\In one sense. response:	Paper lanterns? That sounds so wonderful!
context: In some regions, the festival is called Obon.\Right. Here you are.\Thank you.\Oh? So it's the same thing?\Souls returning?\Wait, wait! What does that mean? Does that mean ghosts come back?\In one sense.\Paper lanterns? That sounds so wonderful! response:	We used to hold bonfires back in my village, but-
context: Right. Here you are.\Thank you.\Oh? So it's the same thing?\Souls returning?\Wait, wait! What does that mean? Does that mean ghosts come back?\In one sense.\Paper lanterns? That sounds so wonderful!\We used to hold bonfires back in my village, but- response:	No! Dead people go to Heaven and stay there forever!
context: Thank you.\Oh? So it's the same thing?\Souls returning?\Wait, wait! What does that mean? Does that mean ghosts come back?\In one sense.\Paper lanterns? That sounds so wonderful!\We used to hold bonfires back in my village, but-\No! Dead people go to Heaven and stay there forever! response:	Only the evil spirits wander around on earth!
context: Oh? So it's the same thing?\Souls returning?\Wait, wait! What does that mean? Does that mean ghosts come back?\In one sense.\Paper lanterns? That sounds so wonderful!\We used to hold bonfires back in my village, but-\No! Dead people go to Heaven and stay there forever!\Only the evil spirits wander around on earth! response:	What? That's not true!
context: Souls returning?\Wait, wait! What does that mean? Does that mean ghosts come back?\In one sense.\Paper lanterns? That sounds so wonderful!\We used to hold bonfires back in my village, but-\No! Dead people go to Heaven and stay there forever!\Only the evil spirits wander around on earth!\What? That's not true! response:	But the Church...
context: Wait, wait! What does that mean? Does that mean ghosts come back?\In one sense.\Paper lanterns? That sounds so wonderful!\We used to hold bonfires back in my village, but-\No! Dead people go to Heaven and stay there forever!\Only the evil spirits wander around on earth!\What? That's not true!\But the Church... response:	We're home!
context: In one sense.\Paper lanterns? That sounds so wonderful!\We used to hold bonfires back in my village, but-\No! Dead people go to Heaven and stay there forever!\Only the evil spirits wander around on earth!\What? That's not true!\But the Church...\We're home! response:	Hey! Mind lending us a hand?
context: Paper lanterns? That sounds so wonderful!\We used to hold bonfires back in my village, but-\No! Dead people go to Heaven and stay there forever!\Only the evil spirits wander around on earth!\What? That's not true!\But the Church...\We're home!\Hey! Mind lending us a hand? response:	When did you two go shopping?
context: We used to hold bonfires back in my village, but-\No! Dead people go to Heaven and stay there forever!\Only the evil spirits wander around on earth!\What? That's not true!\But the Church...\We're home!\Hey! Mind lending us a hand?\When did you two go shopping? response:	Oh, aren't those...
context: No! Dead people go to Heaven and stay there forever!\Only the evil spirits wander around on earth!\What? That's not true!\But the Church...\We're home!\Hey! Mind lending us a hand?\When did you two go shopping?\Oh, aren't those... response:	They looked delicious, so we bought them.
context: Only the evil spirits wander around on earth!\What? That's not true!\But the Church...\We're home!\Hey! Mind lending us a hand?\When did you two go shopping?\Oh, aren't those...\They looked delicious, so we bought them. response:	And these too.
context: What? That's not true!\But the Church...\We're home!\Hey! Mind lending us a hand?\When did you two go shopping?\Oh, aren't those...\They looked delicious, so we bought them.\And these too. response:	Is it like this?
context: But the Church...\We're home!\Hey! Mind lending us a hand?\When did you two go shopping?\Oh, aren't those...\They looked delicious, so we bought them.\And these too.\Is it like this? response:	No, Father. I told you, it's like this.
context: We're home!\Hey! Mind lending us a hand?\When did you two go shopping?\Oh, aren't those...\They looked delicious, so we bought them.\And these too.\Is it like this?\No, Father. I told you, it's like this. response:	I'm done!
context: Hey! Mind lending us a hand?\When did you two go shopping?\Oh, aren't those...\They looked delicious, so we bought them.\And these too.\Is it like this?\No, Father. I told you, it's like this.\I'm done! response:	Your mom and dad?
context: When did you two go shopping?\Oh, aren't those...\They looked delicious, so we bought them.\And these too.\Is it like this?\No, Father. I told you, it's like this.\I'm done!\Your mom and dad? response:	Oh, you did a really good job!
context: Oh, aren't those...\They looked delicious, so we bought them.\And these too.\Is it like this?\No, Father. I told you, it's like this.\I'm done!\Your mom and dad?\Oh, you did a really good job! response:	What? Even the Church approves of it?
context: They looked delicious, so we bought them.\And these too.\Is it like this?\No, Father. I told you, it's like this.\I'm done!\Your mom and dad?\Oh, you did a really good job!\What? Even the Church approves of it? response:	That Fi-whatever?
context: And these too.\Is it like this?\No, Father. I told you, it's like this.\I'm done!\Your mom and dad?\Oh, you did a really good job!\What? Even the Church approves of it?\That Fi-whatever? response:	Yeah.
context: Is it like this?\No, Father. I told you, it's like this.\I'm done!\Your mom and dad?\Oh, you did a really good job!\What? Even the Church approves of it?\That Fi-whatever?\Yeah. response:	The central diocese would start a riot,
context: No, Father. I told you, it's like this.\I'm done!\Your mom and dad?\Oh, you did a really good job!\What? Even the Church approves of it?\That Fi-whatever?\Yeah.\The central diocese would start a riot, response:	but this is the middle of nowhere.
context: I'm done!\Your mom and dad?\Oh, you did a really good job!\What? Even the Church approves of it?\That Fi-whatever?\Yeah.\The central diocese would start a riot,\but this is the middle of nowhere. response:	That's not much of a reason...
context: Your mom and dad?\Oh, you did a really good job!\What? Even the Church approves of it?\That Fi-whatever?\Yeah.\The central diocese would start a riot,\but this is the middle of nowhere.\That's not much of a reason... response:	In my village, we would make horses and cows out of cucumbers and eggplants for our ancestors to ride.
context: Oh, you did a really good job!\What? Even the Church approves of it?\That Fi-whatever?\Yeah.\The central diocese would start a riot,\but this is the middle of nowhere.\That's not much of a reason...\In my village, we would make horses and cows out of cucumbers and eggplants for our ancestors to ride. response:	And to console our ancestors, we would all dance together.
context: What? Even the Church approves of it?\That Fi-whatever?\Yeah.\The central diocese would start a riot,\but this is the middle of nowhere.\That's not much of a reason...\In my village, we would make horses and cows out of cucumbers and eggplants for our ancestors to ride.\And to console our ancestors, we would all dance together. response:	Are you two making them too?
context: That Fi-whatever?\Yeah.\The central diocese would start a riot,\but this is the middle of nowhere.\That's not much of a reason...\In my village, we would make horses and cows out of cucumbers and eggplants for our ancestors to ride.\And to console our ancestors, we would all dance together.\Are you two making them too? response:	Yeah. Last year we only watched, but...
context: Yeah.\The central diocese would start a riot,\but this is the middle of nowhere.\That's not much of a reason...\In my village, we would make horses and cows out of cucumbers and eggplants for our ancestors to ride.\And to console our ancestors, we would all dance together.\Are you two making them too?\Yeah. Last year we only watched, but... response:	Maintaining smooth cultural relations with the local residents is also part of our job.
context: The central diocese would start a riot,\but this is the middle of nowhere.\That's not much of a reason...\In my village, we would make horses and cows out of cucumbers and eggplants for our ancestors to ride.\And to console our ancestors, we would all dance together.\Are you two making them too?\Yeah. Last year we only watched, but...\Maintaining smooth cultural relations with the local residents is also part of our job. response:	If you don't get into details, it's just another festival.
context: but this is the middle of nowhere.\That's not much of a reason...\In my village, we would make horses and cows out of cucumbers and eggplants for our ancestors to ride.\And to console our ancestors, we would all dance together.\Are you two making them too?\Yeah. Last year we only watched, but...\Maintaining smooth cultural relations with the local residents is also part of our job.\If you don't get into details, it's just another festival. response:	Right, Filicia?
context: That's not much of a reason...\In my village, we would make horses and cows out of cucumbers and eggplants for our ancestors to ride.\And to console our ancestors, we would all dance together.\Are you two making them too?\Yeah. Last year we only watched, but...\Maintaining smooth cultural relations with the local residents is also part of our job.\If you don't get into details, it's just another festival.\Right, Filicia? response:	Sound of the Skies
context: In my village, we would make horses and cows out of cucumbers and eggplants for our ancestors to ride.\And to console our ancestors, we would all dance together.\Are you two making them too?\Yeah. Last year we only watched, but...\Maintaining smooth cultural relations with the local residents is also part of our job.\If you don't get into details, it's just another festival.\Right, Filicia?\Sound of the Skies response:	Sound of the Skies
context: And to console our ancestors, we would all dance together.\Are you two making them too?\Yeah. Last year we only watched, but...\Maintaining smooth cultural relations with the local residents is also part of our job.\If you don't get into details, it's just another festival.\Right, Filicia?\Sound of the Skies\Sound of the Skies response:	Filicia!
context: Are you two making them too?\Yeah. Last year we only watched, but...\Maintaining smooth cultural relations with the local residents is also part of our job.\If you don't get into details, it's just another festival.\Right, Filicia?\Sound of the Skies\Sound of the Skies\Filicia! response:	Are you okay? Does it hurt?
context: Yeah. Last year we only watched, but...\Maintaining smooth cultural relations with the local residents is also part of our job.\If you don't get into details, it's just another festival.\Right, Filicia?\Sound of the Skies\Sound of the Skies\Filicia!\Are you okay? Does it hurt? response:	No, I'm fine.
context: Maintaining smooth cultural relations with the local residents is also part of our job.\If you don't get into details, it's just another festival.\Right, Filicia?\Sound of the Skies\Sound of the Skies\Filicia!\Are you okay? Does it hurt?\No, I'm fine. response:	I just made a little mistake.
context: If you don't get into details, it's just another festival.\Right, Filicia?\Sound of the Skies\Sound of the Skies\Filicia!\Are you okay? Does it hurt?\No, I'm fine.\I just made a little mistake. response:	But it's pretty rare for you to make a mistake like that, Commander.
context: Right, Filicia?\Sound of the Skies\Sound of the Skies\Filicia!\Are you okay? Does it hurt?\No, I'm fine.\I just made a little mistake.\But it's pretty rare for you to make a mistake like that, Commander. response:	I mean, you're not Kanata.
context: Sound of the Skies\Sound of the Skies\Filicia!\Are you okay? Does it hurt?\No, I'm fine.\I just made a little mistake.\But it's pretty rare for you to make a mistake like that, Commander.\I mean, you're not Kanata. response:	Well, it's been pretty hot these last few days.
context: Sound of the Skies\Filicia!\Are you okay? Does it hurt?\No, I'm fine.\I just made a little mistake.\But it's pretty rare for you to make a mistake like that, Commander.\I mean, you're not Kanata.\Well, it's been pretty hot these last few days. response:	I haven't slept very well.
context: Filicia!\Are you okay? Does it hurt?\No, I'm fine.\I just made a little mistake.\But it's pretty rare for you to make a mistake like that, Commander.\I mean, you're not Kanata.\Well, it's been pretty hot these last few days.\I haven't slept very well. response:	I'll go get a little rest.
context: Are you okay? Does it hurt?\No, I'm fine.\I just made a little mistake.\But it's pretty rare for you to make a mistake like that, Commander.\I mean, you're not Kanata.\Well, it's been pretty hot these last few days.\I haven't slept very well.\I'll go get a little rest. response:	Filicia...
context: No, I'm fine.\I just made a little mistake.\But it's pretty rare for you to make a mistake like that, Commander.\I mean, you're not Kanata.\Well, it's been pretty hot these last few days.\I haven't slept very well.\I'll go get a little rest.\Filicia... response:	The Commander's acting a bit weird today.
context: I just made a little mistake.\But it's pretty rare for you to make a mistake like that, Commander.\I mean, you're not Kanata.\Well, it's been pretty hot these last few days.\I haven't slept very well.\I'll go get a little rest.\Filicia...\The Commander's acting a bit weird today. response:	She didn't eat her lunch, and then she buys watermelons without checking our food budget?
context: But it's pretty rare for you to make a mistake like that, Commander.\I mean, you're not Kanata.\Well, it's been pretty hot these last few days.\I haven't slept very well.\I'll go get a little rest.\Filicia...\The Commander's acting a bit weird today.\She didn't eat her lunch, and then she buys watermelons without checking our food budget? response:	I'm sure even she has her reasons.
context: I mean, you're not Kanata.\Well, it's been pretty hot these last few days.\I haven't slept very well.\I'll go get a little rest.\Filicia...\The Commander's acting a bit weird today.\She didn't eat her lunch, and then she buys watermelons without checking our food budget?\I'm sure even she has her reasons. response:	I think I'll talk to her...
context: Well, it's been pretty hot these last few days.\I haven't slept very well.\I'll go get a little rest.\Filicia...\The Commander's acting a bit weird today.\She didn't eat her lunch, and then she buys watermelons without checking our food budget?\I'm sure even she has her reasons.\I think I'll talk to her... response:	Don't!
context: I haven't slept very well.\I'll go get a little rest.\Filicia...\The Commander's acting a bit weird today.\She didn't eat her lunch, and then she buys watermelons without checking our food budget?\I'm sure even she has her reasons.\I think I'll talk to her...\Don't! response:	Everyone has a part of themselves they don't want anyone to know about.
context: I'll go get a little rest.\Filicia...\The Commander's acting a bit weird today.\She didn't eat her lunch, and then she buys watermelons without checking our food budget?\I'm sure even she has her reasons.\I think I'll talk to her...\Don't!\Everyone has a part of themselves they don't want anyone to know about. response:	Just leave her alone.
context: Filicia...\The Commander's acting a bit weird today.\She didn't eat her lunch, and then she buys watermelons without checking our food budget?\I'm sure even she has her reasons.\I think I'll talk to her...\Don't!\Everyone has a part of themselves they don't want anyone to know about.\Just leave her alone. response:	Noel?
context: The Commander's acting a bit weird today.\She didn't eat her lunch, and then she buys watermelons without checking our food budget?\I'm sure even she has her reasons.\I think I'll talk to her...\Don't!\Everyone has a part of themselves they don't want anyone to know about.\Just leave her alone.\Noel? response:	Do you know what happened, Rio?
context: She didn't eat her lunch, and then she buys watermelons without checking our food budget?\I'm sure even she has her reasons.\I think I'll talk to her...\Don't!\Everyone has a part of themselves they don't want anyone to know about.\Just leave her alone.\Noel?\Do you know what happened, Rio? response:	I read the files.
context: I'm sure even she has her reasons.\I think I'll talk to her...\Don't!\Everyone has a part of themselves they don't want anyone to know about.\Just leave her alone.\Noel?\Do you know what happened, Rio?\I read the files. response:	I was there when it happened.
