context: Everyone's having a great time! response:	Chocolate
context: And People of the Land have a legend about them.\If you get the one you love to eat them\on February 14, your love will be returned.\Come to think of it, in the old world, today was Valentine's Day.\Th-That's right.\Anyway, um, I have things to do!\Meow...\2.14 A Sweet Trap response:	Master Naotsugu,
context: If you get the one you love to eat them\on February 14, your love will be returned.\Come to think of it, in the old world, today was Valentine's Day.\Th-That's right.\Anyway, um, I have things to do!\Meow...\2.14 A Sweet Trap\Master Naotsugu, response:	please train me again today!
context: on February 14, your love will be returned.\Come to think of it, in the old world, today was Valentine's Day.\Th-That's right.\Anyway, um, I have things to do!\Meow...\2.14 A Sweet Trap\Master Naotsugu,\please train me again today! response:	Oh, sorry.
context: Come to think of it, in the old world, today was Valentine's Day.\Th-That's right.\Anyway, um, I have things to do!\Meow...\2.14 A Sweet Trap\Master Naotsugu,\please train me again today!\Oh, sorry. response:	I have something to do today.
context: Th-That's right.\Anyway, um, I have things to do!\Meow...\2.14 A Sweet Trap\Master Naotsugu,\please train me again today!\Oh, sorry.\I have something to do today. response:	Marie wants to see you, right?
context: Anyway, um, I have things to do!\Meow...\2.14 A Sweet Trap\Master Naotsugu,\please train me again today!\Oh, sorry.\I have something to do today.\Marie wants to see you, right? response:	Yeah.
context: Meow...\2.14 A Sweet Trap\Master Naotsugu,\please train me again today!\Oh, sorry.\I have something to do today.\Marie wants to see you, right?\Yeah. response:	You know, it's Valentine's Day...
context: 2.14 A Sweet Trap\Master Naotsugu,\please train me again today!\Oh, sorry.\I have something to do today.\Marie wants to see you, right?\Yeah.\You know, it's Valentine's Day... response:	Valentine's Day, huh?
context: Master Naotsugu,\please train me again today!\Oh, sorry.\I have something to do today.\Marie wants to see you, right?\Yeah.\You know, it's Valentine's Day...\Valentine's Day, huh? response:	Come to think of it,
context: please train me again today!\Oh, sorry.\I have something to do today.\Marie wants to see you, right?\Yeah.\You know, it's Valentine's Day...\Valentine's Day, huh?\Come to think of it, response:	we were once put through serious hell over that.
context: Oh, sorry.\I have something to do today.\Marie wants to see you, right?\Yeah.\You know, it's Valentine's Day...\Valentine's Day, huh?\Come to think of it,\we were once put through serious hell over that. response:	That was Kanami, right?
context: I have something to do today.\Marie wants to see you, right?\Yeah.\You know, it's Valentine's Day...\Valentine's Day, huh?\Come to think of it,\we were once put through serious hell over that.\That was Kanami, right? response:	You were in the legendary Debauchery Tea Party, weren't you, Shiroe?
context: Marie wants to see you, right?\Yeah.\You know, it's Valentine's Day...\Valentine's Day, huh?\Come to think of it,\we were once put through serious hell over that.\That was Kanami, right?\You were in the legendary Debauchery Tea Party, weren't you, Shiroe? response:	So was I.
context: Yeah.\You know, it's Valentine's Day...\Valentine's Day, huh?\Come to think of it,\we were once put through serious hell over that.\That was Kanami, right?\You were in the legendary Debauchery Tea Party, weren't you, Shiroe?\So was I. response:	And get off me.
context: You know, it's Valentine's Day...\Valentine's Day, huh?\Come to think of it,\we were once put through serious hell over that.\That was Kanami, right?\You were in the legendary Debauchery Tea Party, weren't you, Shiroe?\So was I.\And get off me. response:	I heard Kanami was the leader of the Party.
context: Valentine's Day, huh?\Come to think of it,\we were once put through serious hell over that.\That was Kanami, right?\You were in the legendary Debauchery Tea Party, weren't you, Shiroe?\So was I.\And get off me.\I heard Kanami was the leader of the Party. response:	And she was beautiful and everyone loved her...
context: Come to think of it,\we were once put through serious hell over that.\That was Kanami, right?\You were in the legendary Debauchery Tea Party, weren't you, Shiroe?\So was I.\And get off me.\I heard Kanami was the leader of the Party.\And she was beautiful and everyone loved her... response:	And she was older than you.
context: we were once put through serious hell over that.\That was Kanami, right?\You were in the legendary Debauchery Tea Party, weren't you, Shiroe?\So was I.\And get off me.\I heard Kanami was the leader of the Party.\And she was beautiful and everyone loved her...\And she was older than you. response:	Hey, could she be...
context: That was Kanami, right?\You were in the legendary Debauchery Tea Party, weren't you, Shiroe?\So was I.\And get off me.\I heard Kanami was the leader of the Party.\And she was beautiful and everyone loved her...\And she was older than you.\Hey, could she be... response:	Your girlfriend?
context: You were in the legendary Debauchery Tea Party, weren't you, Shiroe?\So was I.\And get off me.\I heard Kanami was the leader of the Party.\And she was beautiful and everyone loved her...\And she was older than you.\Hey, could she be...\Your girlfriend? response:	What are you talking about?
context: So was I.\And get off me.\I heard Kanami was the leader of the Party.\And she was beautiful and everyone loved her...\And she was older than you.\Hey, could she be...\Your girlfriend?\What are you talking about? response:	It wasn't like that.
context: And get off me.\I heard Kanami was the leader of the Party.\And she was beautiful and everyone loved her...\And she was older than you.\Hey, could she be...\Your girlfriend?\What are you talking about?\It wasn't like that. response:	Really? But you still like her, right?
context: I heard Kanami was the leader of the Party.\And she was beautiful and everyone loved her...\And she was older than you.\Hey, could she be...\Your girlfriend?\What are you talking about?\It wasn't like that.\Really? But you still like her, right? response:	I've never heard this.
context: And she was beautiful and everyone loved her...\And she was older than you.\Hey, could she be...\Your girlfriend?\What are you talking about?\It wasn't like that.\Really? But you still like her, right?\I've never heard this. response:	Who is this woman, exactly?
context: And she was older than you.\Hey, could she be...\Your girlfriend?\What are you talking about?\It wasn't like that.\Really? But you still like her, right?\I've never heard this.\Who is this woman, exactly? response:	It's written all over your face!
context: Hey, could she be...\Your girlfriend?\What are you talking about?\It wasn't like that.\Really? But you still like her, right?\I've never heard this.\Who is this woman, exactly?\It's written all over your face! response:	And my lord, who never reacts to anything, is freaking out.
context: Your girlfriend?\What are you talking about?\It wasn't like that.\Really? But you still like her, right?\I've never heard this.\Who is this woman, exactly?\It's written all over your face!\And my lord, who never reacts to anything, is freaking out. response:	It is not.
context: What are you talking about?\It wasn't like that.\Really? But you still like her, right?\I've never heard this.\Who is this woman, exactly?\It's written all over your face!\And my lord, who never reacts to anything, is freaking out.\It is not. response:	Liar! You can't fool me!
context: It wasn't like that.\Really? But you still like her, right?\I've never heard this.\Who is this woman, exactly?\It's written all over your face!\And my lord, who never reacts to anything, is freaking out.\It is not.\Liar! You can't fool me! response:	Could she really be his love?
context: Really? But you still like her, right?\I've never heard this.\Who is this woman, exactly?\It's written all over your face!\And my lord, who never reacts to anything, is freaking out.\It is not.\Liar! You can't fool me!\Could she really be his love? response:	Older than he is?
context: I've never heard this.\Who is this woman, exactly?\It's written all over your face!\And my lord, who never reacts to anything, is freaking out.\It is not.\Liar! You can't fool me!\Could she really be his love?\Older than he is? response:	Broad-minded?
context: Who is this woman, exactly?\It's written all over your face!\And my lord, who never reacts to anything, is freaking out.\It is not.\Liar! You can't fool me!\Could she really be his love?\Older than he is?\Broad-minded? response:	Hey, Tetra...
context: It's written all over your face!\And my lord, who never reacts to anything, is freaking out.\It is not.\Liar! You can't fool me!\Could she really be his love?\Older than he is?\Broad-minded?\Hey, Tetra... response:	If you're a girl, have a little modesty.
context: And my lord, who never reacts to anything, is freaking out.\It is not.\Liar! You can't fool me!\Could she really be his love?\Older than he is?\Broad-minded?\Hey, Tetra...\If you're a girl, have a little modesty. response:	A girl will wilt if she doesn't have good food and tales of love.
context: It is not.\Liar! You can't fool me!\Could she really be his love?\Older than he is?\Broad-minded?\Hey, Tetra...\If you're a girl, have a little modesty.\A girl will wilt if she doesn't have good food and tales of love. response:	Hey, has Master Naotsugu really not realized that Tetra is a guy?
context: Liar! You can't fool me!\Could she really be his love?\Older than he is?\Broad-minded?\Hey, Tetra...\If you're a girl, have a little modesty.\A girl will wilt if she doesn't have good food and tales of love.\Hey, has Master Naotsugu really not realized that Tetra is a guy? response:	Seems that way.
context: Could she really be his love?\Older than he is?\Broad-minded?\Hey, Tetra...\If you're a girl, have a little modesty.\A girl will wilt if she doesn't have good food and tales of love.\Hey, has Master Naotsugu really not realized that Tetra is a guy?\Seems that way. response:	It's so obvious, though!
context: Older than he is?\Broad-minded?\Hey, Tetra...\If you're a girl, have a little modesty.\A girl will wilt if she doesn't have good food and tales of love.\Hey, has Master Naotsugu really not realized that Tetra is a guy?\Seems that way.\It's so obvious, though! response:	Should I tell him?
context: Broad-minded?\Hey, Tetra...\If you're a girl, have a little modesty.\A girl will wilt if she doesn't have good food and tales of love.\Hey, has Master Naotsugu really not realized that Tetra is a guy?\Seems that way.\It's so obvious, though!\Should I tell him? response:	I'm not sure what to do.
context: Hey, Tetra...\If you're a girl, have a little modesty.\A girl will wilt if she doesn't have good food and tales of love.\Hey, has Master Naotsugu really not realized that Tetra is a guy?\Seems that way.\It's so obvious, though!\Should I tell him?\I'm not sure what to do. response:	Is it Miss Tetra or Mr. Tetra?
context: If you're a girl, have a little modesty.\A girl will wilt if she doesn't have good food and tales of love.\Hey, has Master Naotsugu really not realized that Tetra is a guy?\Seems that way.\It's so obvious, though!\Should I tell him?\I'm not sure what to do.\Is it Miss Tetra or Mr. Tetra? response:	And I'm not sure if it'd be Big Sis Tetra or Big Bro Tetra.
context: A girl will wilt if she doesn't have good food and tales of love.\Hey, has Master Naotsugu really not realized that Tetra is a guy?\Seems that way.\It's so obvious, though!\Should I tell him?\I'm not sure what to do.\Is it Miss Tetra or Mr. Tetra?\And I'm not sure if it'd be Big Sis Tetra or Big Bro Tetra. response:	Brother
context: Hey, has Master Naotsugu really not realized that Tetra is a guy?\Seems that way.\It's so obvious, though!\Should I tell him?\I'm not sure what to do.\Is it Miss Tetra or Mr. Tetra?\And I'm not sure if it'd be Big Sis Tetra or Big Bro Tetra.\Brother response:	Sister Brother
context: Seems that way.\It's so obvious, though!\Should I tell him?\I'm not sure what to do.\Is it Miss Tetra or Mr. Tetra?\And I'm not sure if it'd be Big Sis Tetra or Big Bro Tetra.\Brother\Sister Brother response:	What are you talking about?
context: It's so obvious, though!\Should I tell him?\I'm not sure what to do.\Is it Miss Tetra or Mr. Tetra?\And I'm not sure if it'd be Big Sis Tetra or Big Bro Tetra.\Brother\Sister Brother\What are you talking about? response:	N-Nothing, Big Sibro Tetra!
context: Should I tell him?\I'm not sure what to do.\Is it Miss Tetra or Mr. Tetra?\And I'm not sure if it'd be Big Sis Tetra or Big Bro Tetra.\Brother\Sister Brother\What are you talking about?\N-Nothing, Big Sibro Tetra! response:	Sibro?
context: I'm not sure what to do.\Is it Miss Tetra or Mr. Tetra?\And I'm not sure if it'd be Big Sis Tetra or Big Bro Tetra.\Brother\Sister Brother\What are you talking about?\N-Nothing, Big Sibro Tetra!\Sibro? response:	Crap! I combined Sis and Bro!
context: Is it Miss Tetra or Mr. Tetra?\And I'm not sure if it'd be Big Sis Tetra or Big Bro Tetra.\Brother\Sister Brother\What are you talking about?\N-Nothing, Big Sibro Tetra!\Sibro?\Crap! I combined Sis and Bro! response:	Actually, we were talking about what it would be best to call you.
context: And I'm not sure if it'd be Big Sis Tetra or Big Bro Tetra.\Brother\Sister Brother\What are you talking about?\N-Nothing, Big Sibro Tetra!\Sibro?\Crap! I combined Sis and Bro!\Actually, we were talking about what it would be best to call you. response:	That's an easy one.
context: Brother\Sister Brother\What are you talking about?\N-Nothing, Big Sibro Tetra!\Sibro?\Crap! I combined Sis and Bro!\Actually, we were talking about what it would be best to call you.\That's an easy one. response:	Just call me Tetra!
context: Sister Brother\What are you talking about?\N-Nothing, Big Sibro Tetra!\Sibro?\Crap! I combined Sis and Bro!\Actually, we were talking about what it would be best to call you.\That's an easy one.\Just call me Tetra! response:	I figured it wouldn't work.
context: What are you talking about?\N-Nothing, Big Sibro Tetra!\Sibro?\Crap! I combined Sis and Bro!\Actually, we were talking about what it would be best to call you.\That's an easy one.\Just call me Tetra!\I figured it wouldn't work. response:	It's rare to see you in the kitchen, Isuzu.
context: N-Nothing, Big Sibro Tetra!\Sibro?\Crap! I combined Sis and Bro!\Actually, we were talking about what it would be best to call you.\That's an easy one.\Just call me Tetra!\I figured it wouldn't work.\It's rare to see you in the kitchen, Isuzu. response:	Rare?
context: Sibro?\Crap! I combined Sis and Bro!\Actually, we were talking about what it would be best to call you.\That's an easy one.\Just call me Tetra!\I figured it wouldn't work.\It's rare to see you in the kitchen, Isuzu.\Rare? response:	What brings you here?
context: Crap! I combined Sis and Bro!\Actually, we were talking about what it would be best to call you.\That's an easy one.\Just call me Tetra!\I figured it wouldn't work.\It's rare to see you in the kitchen, Isuzu.\Rare?\What brings you here? response:	Actually, I wanted to use these to make some sweets.
context: Actually, we were talking about what it would be best to call you.\That's an easy one.\Just call me Tetra!\I figured it wouldn't work.\It's rare to see you in the kitchen, Isuzu.\Rare?\What brings you here?\Actually, I wanted to use these to make some sweets. response:	Are these coconia fruits?
context: That's an easy one.\Just call me Tetra!\I figured it wouldn't work.\It's rare to see you in the kitchen, Isuzu.\Rare?\What brings you here?\Actually, I wanted to use these to make some sweets.\Are these coconia fruits? response:	Yeah.
context: Just call me Tetra!\I figured it wouldn't work.\It's rare to see you in the kitchen, Isuzu.\Rare?\What brings you here?\Actually, I wanted to use these to make some sweets.\Are these coconia fruits?\Yeah. response:	I don't really mean anything by it,
context: I figured it wouldn't work.\It's rare to see you in the kitchen, Isuzu.\Rare?\What brings you here?\Actually, I wanted to use these to make some sweets.\Are these coconia fruits?\Yeah.\I don't really mean anything by it, response:	but I'm thinking of making some for Rudy.
context: It's rare to see you in the kitchen, Isuzu.\Rare?\What brings you here?\Actually, I wanted to use these to make some sweets.\Are these coconia fruits?\Yeah.\I don't really mean anything by it,\but I'm thinking of making some for Rudy. response:	Oh, my.
context: Rare?\What brings you here?\Actually, I wanted to use these to make some sweets.\Are these coconia fruits?\Yeah.\I don't really mean anything by it,\but I'm thinking of making some for Rudy.\Oh, my. response:	But I'm not a cook.
context: What brings you here?\Actually, I wanted to use these to make some sweets.\Are these coconia fruits?\Yeah.\I don't really mean anything by it,\but I'm thinking of making some for Rudy.\Oh, my.\But I'm not a cook. response:	Then why don't we make them together?
context: Actually, I wanted to use these to make some sweets.\Are these coconia fruits?\Yeah.\I don't really mean anything by it,\but I'm thinking of making some for Rudy.\Oh, my.\But I'm not a cook.\Then why don't we make them together? response:	If I make them, they turn into gel...
context: Are these coconia fruits?\Yeah.\I don't really mean anything by it,\but I'm thinking of making some for Rudy.\Oh, my.\But I'm not a cook.\Then why don't we make them together?\If I make them, they turn into gel... response:	I've got the perfect item.
context: Yeah.\I don't really mean anything by it,\but I'm thinking of making some for Rudy.\Oh, my.\But I'm not a cook.\Then why don't we make them together?\If I make them, they turn into gel...\I've got the perfect item. response:	Newlywed's Apron Dress
context: I don't really mean anything by it,\but I'm thinking of making some for Rudy.\Oh, my.\But I'm not a cook.\Then why don't we make them together?\If I make them, they turn into gel...\I've got the perfect item.\Newlywed's Apron Dress response:	The Newlywed's Apron Dress.
context: but I'm thinking of making some for Rudy.\Oh, my.\But I'm not a cook.\Then why don't we make them together?\If I make them, they turn into gel...\I've got the perfect item.\Newlywed's Apron Dress\The Newlywed's Apron Dress. response:	I'll lend it to you.
context: Oh, my.\But I'm not a cook.\Then why don't we make them together?\If I make them, they turn into gel...\I've got the perfect item.\Newlywed's Apron Dress\The Newlywed's Apron Dress.\I'll lend it to you. response:	Oh!
context: But I'm not a cook.\Then why don't we make them together?\If I make them, they turn into gel...\I've got the perfect item.\Newlywed's Apron Dress\The Newlywed's Apron Dress.\I'll lend it to you.\Oh! response:	In exchange for a temporary level drop,
context: Then why don't we make them together?\If I make them, they turn into gel...\I've got the perfect item.\Newlywed's Apron Dress\The Newlywed's Apron Dress.\I'll lend it to you.\Oh!\In exchange for a temporary level drop, response:	it gives you a moderate cooking sub-skill.
context: If I make them, they turn into gel...\I've got the perfect item.\Newlywed's Apron Dress\The Newlywed's Apron Dress.\I'll lend it to you.\Oh!\In exchange for a temporary level drop,\it gives you a moderate cooking sub-skill. response:	Wow!
context: I've got the perfect item.\Newlywed's Apron Dress\The Newlywed's Apron Dress.\I'll lend it to you.\Oh!\In exchange for a temporary level drop,\it gives you a moderate cooking sub-skill.\Wow! response:	Even I'll be able to cook!
context: Newlywed's Apron Dress\The Newlywed's Apron Dress.\I'll lend it to you.\Oh!\In exchange for a temporary level drop,\it gives you a moderate cooking sub-skill.\Wow!\Even I'll be able to cook! response:	It looks great on you.
context: The Newlywed's Apron Dress.\I'll lend it to you.\Oh!\In exchange for a temporary level drop,\it gives you a moderate cooking sub-skill.\Wow!\Even I'll be able to cook!\It looks great on you. response:	But why do you have this, Chief?
context: I'll lend it to you.\Oh!\In exchange for a temporary level drop,\it gives you a moderate cooking sub-skill.\Wow!\Even I'll be able to cook!\It looks great on you.\But why do you have this, Chief? response:	It was a quest reward.
context: Oh!\In exchange for a temporary level drop,\it gives you a moderate cooking sub-skill.\Wow!\Even I'll be able to cook!\It looks great on you.\But why do you have this, Chief?\It was a quest reward. response:	Now, then.
context: In exchange for a temporary level drop,\it gives you a moderate cooking sub-skill.\Wow!\Even I'll be able to cook!\It looks great on you.\But why do you have this, Chief?\It was a quest reward.\Now, then. response:	Since you've professed that you're not a good cook,
context: it gives you a moderate cooking sub-skill.\Wow!\Even I'll be able to cook!\It looks great on you.\But why do you have this, Chief?\It was a quest reward.\Now, then.\Since you've professed that you're not a good cook, response:	I'll start by teaching you how to make simple sweets.
context: Wow!\Even I'll be able to cook!\It looks great on you.\But why do you have this, Chief?\It was a quest reward.\Now, then.\Since you've professed that you're not a good cook,\I'll start by teaching you how to make simple sweets. response:	First, peel the coconia fruits and
context: Even I'll be able to cook!\It looks great on you.\But why do you have this, Chief?\It was a quest reward.\Now, then.\Since you've professed that you're not a good cook,\I'll start by teaching you how to make simple sweets.\First, peel the coconia fruits and response:	cut them into slices, and then boil them.
context: It looks great on you.\But why do you have this, Chief?\It was a quest reward.\Now, then.\Since you've professed that you're not a good cook,\I'll start by teaching you how to make simple sweets.\First, peel the coconia fruits and\cut them into slices, and then boil them. response:	Once you can stick a toothpick clean through,
context: But why do you have this, Chief?\It was a quest reward.\Now, then.\Since you've professed that you're not a good cook,\I'll start by teaching you how to make simple sweets.\First, peel the coconia fruits and\cut them into slices, and then boil them.\Once you can stick a toothpick clean through, response:	move them to a bowl,
context: It was a quest reward.\Now, then.\Since you've professed that you're not a good cook,\I'll start by teaching you how to make simple sweets.\First, peel the coconia fruits and\cut them into slices, and then boil them.\Once you can stick a toothpick clean through,\move them to a bowl, response:	and mash them with a spatula while they're still warm.
context: Now, then.\Since you've professed that you're not a good cook,\I'll start by teaching you how to make simple sweets.\First, peel the coconia fruits and\cut them into slices, and then boil them.\Once you can stick a toothpick clean through,\move them to a bowl,\and mash them with a spatula while they're still warm. response:	If you strain them now, the taste will be much smoother.
context: Since you've professed that you're not a good cook,\I'll start by teaching you how to make simple sweets.\First, peel the coconia fruits and\cut them into slices, and then boil them.\Once you can stick a toothpick clean through,\move them to a bowl,\and mash them with a spatula while they're still warm.\If you strain them now, the taste will be much smoother. response:	I see!
context: I'll start by teaching you how to make simple sweets.\First, peel the coconia fruits and\cut them into slices, and then boil them.\Once you can stick a toothpick clean through,\move them to a bowl,\and mash them with a spatula while they're still warm.\If you strain them now, the taste will be much smoother.\I see! response:	Add sugar, egg yolks, cream, then butter,
context: First, peel the coconia fruits and\cut them into slices, and then boil them.\Once you can stick a toothpick clean through,\move them to a bowl,\and mash them with a spatula while they're still warm.\If you strain them now, the taste will be much smoother.\I see!\Add sugar, egg yolks, cream, then butter, response:	and mix them up.
context: cut them into slices, and then boil them.\Once you can stick a toothpick clean through,\move them to a bowl,\and mash them with a spatula while they're still warm.\If you strain them now, the taste will be much smoother.\I see!\Add sugar, egg yolks, cream, then butter,\and mix them up. response:	Once they've cooled,
context: Once you can stick a toothpick clean through,\move them to a bowl,\and mash them with a spatula while they're still warm.\If you strain them now, the taste will be much smoother.\I see!\Add sugar, egg yolks, cream, then butter,\and mix them up.\Once they've cooled, response:	roll them into balls with your hands,
context: move them to a bowl,\and mash them with a spatula while they're still warm.\If you strain them now, the taste will be much smoother.\I see!\Add sugar, egg yolks, cream, then butter,\and mix them up.\Once they've cooled,\roll them into balls with your hands, response:	and brush on some egg yolk.
context: and mash them with a spatula while they're still warm.\If you strain them now, the taste will be much smoother.\I see!\Add sugar, egg yolks, cream, then butter,\and mix them up.\Once they've cooled,\roll them into balls with your hands,\and brush on some egg yolk. response:	Then put them into an oven warmed with salamander heat,
context: If you strain them now, the taste will be much smoother.\I see!\Add sugar, egg yolks, cream, then butter,\and mix them up.\Once they've cooled,\roll them into balls with your hands,\and brush on some egg yolk.\Then put them into an oven warmed with salamander heat, response:	and cook them until they turn brown.
context: I see!\Add sugar, egg yolks, cream, then butter,\and mix them up.\Once they've cooled,\roll them into balls with your hands,\and brush on some egg yolk.\Then put them into an oven warmed with salamander heat,\and cook them until they turn brown. response:	And you've got sweet potato-style coconia.
context: Add sugar, egg yolks, cream, then butter,\and mix them up.\Once they've cooled,\roll them into balls with your hands,\and brush on some egg yolk.\Then put them into an oven warmed with salamander heat,\and cook them until they turn brown.\And you've got sweet potato-style coconia. response:	It smells so good!
context: and mix them up.\Once they've cooled,\roll them into balls with your hands,\and brush on some egg yolk.\Then put them into an oven warmed with salamander heat,\and cook them until they turn brown.\And you've got sweet potato-style coconia.\It smells so good! response:	I'll go give them to Rudy before they get cold.
context: Once they've cooled,\roll them into balls with your hands,\and brush on some egg yolk.\Then put them into an oven warmed with salamander heat,\and cook them until they turn brown.\And you've got sweet potato-style coconia.\It smells so good!\I'll go give them to Rudy before they get cold. response:	Thanks, Chief!
context: roll them into balls with your hands,\and brush on some egg yolk.\Then put them into an oven warmed with salamander heat,\and cook them until they turn brown.\And you've got sweet potato-style coconia.\It smells so good!\I'll go give them to Rudy before they get cold.\Thanks, Chief! response:	Now, then...
context: and brush on some egg yolk.\Then put them into an oven warmed with salamander heat,\and cook them until they turn brown.\And you've got sweet potato-style coconia.\It smells so good!\I'll go give them to Rudy before they get cold.\Thanks, Chief!\Now, then... response:	It's still early in the day. I guess I'll clean.
context: Then put them into an oven warmed with salamander heat,\and cook them until they turn brown.\And you've got sweet potato-style coconia.\It smells so good!\I'll go give them to Rudy before they get cold.\Thanks, Chief!\Now, then...\It's still early in the day. I guess I'll clean. response:	It's Valentine's Day, so I'd like to give Shiroe a present.
context: and cook them until they turn brown.\And you've got sweet potato-style coconia.\It smells so good!\I'll go give them to Rudy before they get cold.\Thanks, Chief!\Now, then...\It's still early in the day. I guess I'll clean.\It's Valentine's Day, so I'd like to give Shiroe a present. response:	But if he takes it in a weird way, it'd be embarrassing...
context: And you've got sweet potato-style coconia.\It smells so good!\I'll go give them to Rudy before they get cold.\Thanks, Chief!\Now, then...\It's still early in the day. I guess I'll clean.\It's Valentine's Day, so I'd like to give Shiroe a present.\But if he takes it in a weird way, it'd be embarrassing... response:	No, if he doesn't do anything, that'd be even worse.
context: It smells so good!\I'll go give them to Rudy before they get cold.\Thanks, Chief!\Now, then...\It's still early in the day. I guess I'll clean.\It's Valentine's Day, so I'd like to give Shiroe a present.\But if he takes it in a weird way, it'd be embarrassing...\No, if he doesn't do anything, that'd be even worse. response:	In any event, it's just to thank him.
context: I'll go give them to Rudy before they get cold.\Thanks, Chief!\Now, then...\It's still early in the day. I guess I'll clean.\It's Valentine's Day, so I'd like to give Shiroe a present.\But if he takes it in a weird way, it'd be embarrassing...\No, if he doesn't do anything, that'd be even worse.\In any event, it's just to thank him. response:	Could she be...
context: Thanks, Chief!\Now, then...\It's still early in the day. I guess I'll clean.\It's Valentine's Day, so I'd like to give Shiroe a present.\But if he takes it in a weird way, it'd be embarrassing...\No, if he doesn't do anything, that'd be even worse.\In any event, it's just to thank him.\Could she be... response:	Your girlfriend?
