context: It's time for the ever-popular segment... response:	Let's start with the first postcard.
context: Next postcard.\What's Gray-san's type?\P.S. I'd rather have more Gray-san and less Hikaru.\B-But, this is my segment!\What? That's it?\Enough of that!\In the last episode, Lucy figured out the location of Master Mavis's grave,\but Cana put her to sleep for some reason. response:	It's all oh crap! and stuff.
context: What's Gray-san's type?\P.S. I'd rather have more Gray-san and less Hikaru.\B-But, this is my segment!\What? That's it?\Enough of that!\In the last episode, Lucy figured out the location of Master Mavis's grave,\but Cana put her to sleep for some reason.\It's all oh crap! and stuff. response:	Lucy Fire!
context: P.S. I'd rather have more Gray-san and less Hikaru.\B-But, this is my segment!\What? That's it?\Enough of that!\In the last episode, Lucy figured out the location of Master Mavis's grave,\but Cana put her to sleep for some reason.\It's all oh crap! and stuff.\Lucy Fire! response:	W-What?
context: B-But, this is my segment!\What? That's it?\Enough of that!\In the last episode, Lucy figured out the location of Master Mavis's grave,\but Cana put her to sleep for some reason.\It's all oh crap! and stuff.\Lucy Fire!\W-What? response:	Who are you?
context: What? That's it?\Enough of that!\In the last episode, Lucy figured out the location of Master Mavis's grave,\but Cana put her to sleep for some reason.\It's all oh crap! and stuff.\Lucy Fire!\W-What?\Who are you? response:	Don't tell me... One of the 7 Kin of Purgatory?
context: Enough of that!\In the last episode, Lucy figured out the location of Master Mavis's grave,\but Cana put her to sleep for some reason.\It's all oh crap! and stuff.\Lucy Fire!\W-What?\Who are you?\Don't tell me... One of the 7 Kin of Purgatory? response:	Huh? Where's Cana?
context: In the last episode, Lucy figured out the location of Master Mavis's grave,\but Cana put her to sleep for some reason.\It's all oh crap! and stuff.\Lucy Fire!\W-What?\Who are you?\Don't tell me... One of the 7 Kin of Purgatory?\Huh? Where's Cana? response:	Hey, where's Cana?!
context: but Cana put her to sleep for some reason.\It's all oh crap! and stuff.\Lucy Fire!\W-What?\Who are you?\Don't tell me... One of the 7 Kin of Purgatory?\Huh? Where's Cana?\Hey, where's Cana?! response:	I dunno.
context: It's all oh crap! and stuff.\Lucy Fire!\W-What?\Who are you?\Don't tell me... One of the 7 Kin of Purgatory?\Huh? Where's Cana?\Hey, where's Cana?!\I dunno. response:	What did you do with her?
context: Lucy Fire!\W-What?\Who are you?\Don't tell me... One of the 7 Kin of Purgatory?\Huh? Where's Cana?\Hey, where's Cana?!\I dunno.\What did you do with her? response:	I really don't know, but what does it matter?
context: W-What?\Who are you?\Don't tell me... One of the 7 Kin of Purgatory?\Huh? Where's Cana?\Hey, where's Cana?!\I dunno.\What did you do with her?\I really don't know, but what does it matter? response:	What's that supposed to mean?
context: Who are you?\Don't tell me... One of the 7 Kin of Purgatory?\Huh? Where's Cana?\Hey, where's Cana?!\I dunno.\What did you do with her?\I really don't know, but what does it matter?\What's that supposed to mean? response:	Because you are going to die here.
context: Don't tell me... One of the 7 Kin of Purgatory?\Huh? Where's Cana?\Hey, where's Cana?!\I dunno.\What did you do with her?\I really don't know, but what does it matter?\What's that supposed to mean?\Because you are going to die here. response:	Did I get separated from Cana somehow?
context: Huh? Where's Cana?\Hey, where's Cana?!\I dunno.\What did you do with her?\I really don't know, but what does it matter?\What's that supposed to mean?\Because you are going to die here.\Did I get separated from Cana somehow? response:	And... I was asleep?
context: Hey, where's Cana?!\I dunno.\What did you do with her?\I really don't know, but what does it matter?\What's that supposed to mean?\Because you are going to die here.\Did I get separated from Cana somehow?\And... I was asleep? response:	What'll I do? I don't know what's going on!
context: I dunno.\What did you do with her?\I really don't know, but what does it matter?\What's that supposed to mean?\Because you are going to die here.\Did I get separated from Cana somehow?\And... I was asleep?\What'll I do? I don't know what's going on! response:	I don't know... But I have to do something about this guy.
context: What did you do with her?\I really don't know, but what does it matter?\What's that supposed to mean?\Because you are going to die here.\Did I get separated from Cana somehow?\And... I was asleep?\What'll I do? I don't know what's going on!\I don't know... But I have to do something about this guy. response:	You can give me all the evil eye you want!
context: I really don't know, but what does it matter?\What's that supposed to mean?\Because you are going to die here.\Did I get separated from Cana somehow?\And... I was asleep?\What'll I do? I don't know what's going on!\I don't know... But I have to do something about this guy.\You can give me all the evil eye you want! response:	I ain't scared or nothin'.
context: What's that supposed to mean?\Because you are going to die here.\Did I get separated from Cana somehow?\And... I was asleep?\What'll I do? I don't know what's going on!\I don't know... But I have to do something about this guy.\You can give me all the evil eye you want!\I ain't scared or nothin'. response:	Not a bit.
context: Because you are going to die here.\Did I get separated from Cana somehow?\And... I was asleep?\What'll I do? I don't know what's going on!\I don't know... But I have to do something about this guy.\You can give me all the evil eye you want!\I ain't scared or nothin'.\Not a bit. response:	Because I'm Kain Hikaru, one of the 7 Kin of Purgatory of Grimoire Heart.
context: Did I get separated from Cana somehow?\And... I was asleep?\What'll I do? I don't know what's going on!\I don't know... But I have to do something about this guy.\You can give me all the evil eye you want!\I ain't scared or nothin'.\Not a bit.\Because I'm Kain Hikaru, one of the 7 Kin of Purgatory of Grimoire Heart. response:	I'm powerful, see.
context: And... I was asleep?\What'll I do? I don't know what's going on!\I don't know... But I have to do something about this guy.\You can give me all the evil eye you want!\I ain't scared or nothin'.\Not a bit.\Because I'm Kain Hikaru, one of the 7 Kin of Purgatory of Grimoire Heart.\I'm powerful, see. response:	It doesn't matter how powerful you are!
context: What'll I do? I don't know what's going on!\I don't know... But I have to do something about this guy.\You can give me all the evil eye you want!\I ain't scared or nothin'.\Not a bit.\Because I'm Kain Hikaru, one of the 7 Kin of Purgatory of Grimoire Heart.\I'm powerful, see.\It doesn't matter how powerful you are! response:	What's important is that you've stood against our guild!
context: I don't know... But I have to do something about this guy.\You can give me all the evil eye you want!\I ain't scared or nothin'.\Not a bit.\Because I'm Kain Hikaru, one of the 7 Kin of Purgatory of Grimoire Heart.\I'm powerful, see.\It doesn't matter how powerful you are!\What's important is that you've stood against our guild! response:	I'll take you on, so come at me!
context: You can give me all the evil eye you want!\I ain't scared or nothin'.\Not a bit.\Because I'm Kain Hikaru, one of the 7 Kin of Purgatory of Grimoire Heart.\I'm powerful, see.\It doesn't matter how powerful you are!\What's important is that you've stood against our guild!\I'll take you on, so come at me! response:	W-Wait just a second.
context: I ain't scared or nothin'.\Not a bit.\Because I'm Kain Hikaru, one of the 7 Kin of Purgatory of Grimoire Heart.\I'm powerful, see.\It doesn't matter how powerful you are!\What's important is that you've stood against our guild!\I'll take you on, so come at me!\W-Wait just a second. response:	It's all like, bristly here...
context: Not a bit.\Because I'm Kain Hikaru, one of the 7 Kin of Purgatory of Grimoire Heart.\I'm powerful, see.\It doesn't matter how powerful you are!\What's important is that you've stood against our guild!\I'll take you on, so come at me!\W-Wait just a second.\It's all like, bristly here... response:	Isn't that your own hair?
context: Because I'm Kain Hikaru, one of the 7 Kin of Purgatory of Grimoire Heart.\I'm powerful, see.\It doesn't matter how powerful you are!\What's important is that you've stood against our guild!\I'll take you on, so come at me!\W-Wait just a second.\It's all like, bristly here...\Isn't that your own hair? response:	Whoa, this guy's a piece of work.
context: I'm powerful, see.\It doesn't matter how powerful you are!\What's important is that you've stood against our guild!\I'll take you on, so come at me!\W-Wait just a second.\It's all like, bristly here...\Isn't that your own hair?\Whoa, this guy's a piece of work. response:	Let's do this.
context: It doesn't matter how powerful you are!\What's important is that you've stood against our guild!\I'll take you on, so come at me!\W-Wait just a second.\It's all like, bristly here...\Isn't that your own hair?\Whoa, this guy's a piece of work.\Let's do this. response:	I'll show you my magic, Visit at the Ox Hour!
context: What's important is that you've stood against our guild!\I'll take you on, so come at me!\W-Wait just a second.\It's all like, bristly here...\Isn't that your own hair?\Whoa, this guy's a piece of work.\Let's do this.\I'll show you my magic, Visit at the Ox Hour! response:	Even the name gives me the creeps...
context: I'll take you on, so come at me!\W-Wait just a second.\It's all like, bristly here...\Isn't that your own hair?\Whoa, this guy's a piece of work.\Let's do this.\I'll show you my magic, Visit at the Ox Hour!\Even the name gives me the creeps... response:	Curse
context: W-Wait just a second.\It's all like, bristly here...\Isn't that your own hair?\Whoa, this guy's a piece of work.\Let's do this.\I'll show you my magic, Visit at the Ox Hour!\Even the name gives me the creeps...\Curse response:	Now then, hand over one of your hairs.
context: It's all like, bristly here...\Isn't that your own hair?\Whoa, this guy's a piece of work.\Let's do this.\I'll show you my magic, Visit at the Ox Hour!\Even the name gives me the creeps...\Curse\Now then, hand over one of your hairs. response:	Visit at the Ox Hour needs one of your hairs!
context: Isn't that your own hair?\Whoa, this guy's a piece of work.\Let's do this.\I'll show you my magic, Visit at the Ox Hour!\Even the name gives me the creeps...\Curse\Now then, hand over one of your hairs.\Visit at the Ox Hour needs one of your hairs! response:	N-No!
context: Whoa, this guy's a piece of work.\Let's do this.\I'll show you my magic, Visit at the Ox Hour!\Even the name gives me the creeps...\Curse\Now then, hand over one of your hairs.\Visit at the Ox Hour needs one of your hairs!\N-No! response:	If I stick your hair into Mr. Cursey here, I can move you exactly how I wish!
context: Let's do this.\I'll show you my magic, Visit at the Ox Hour!\Even the name gives me the creeps...\Curse\Now then, hand over one of your hairs.\Visit at the Ox Hour needs one of your hairs!\N-No!\If I stick your hair into Mr. Cursey here, I can move you exactly how I wish! response:	It's an extremely powerful curse magic!
context: I'll show you my magic, Visit at the Ox Hour!\Even the name gives me the creeps...\Curse\Now then, hand over one of your hairs.\Visit at the Ox Hour needs one of your hairs!\N-No!\If I stick your hair into Mr. Cursey here, I can move you exactly how I wish!\It's an extremely powerful curse magic! response:	That makes me even less likely to give it to you!
context: Even the name gives me the creeps...\Curse\Now then, hand over one of your hairs.\Visit at the Ox Hour needs one of your hairs!\N-No!\If I stick your hair into Mr. Cursey here, I can move you exactly how I wish!\It's an extremely powerful curse magic!\That makes me even less likely to give it to you! response:	Don't tell me you just realized this!
context: Curse\Now then, hand over one of your hairs.\Visit at the Ox Hour needs one of your hairs!\N-No!\If I stick your hair into Mr. Cursey here, I can move you exactly how I wish!\It's an extremely powerful curse magic!\That makes me even less likely to give it to you!\Don't tell me you just realized this! response:	But wait, I've never heard of magic like that.
context: Now then, hand over one of your hairs.\Visit at the Ox Hour needs one of your hairs!\N-No!\If I stick your hair into Mr. Cursey here, I can move you exactly how I wish!\It's an extremely powerful curse magic!\That makes me even less likely to give it to you!\Don't tell me you just realized this!\But wait, I've never heard of magic like that. response:	That's gotta be a bluff.
context: Visit at the Ox Hour needs one of your hairs!\N-No!\If I stick your hair into Mr. Cursey here, I can move you exactly how I wish!\It's an extremely powerful curse magic!\That makes me even less likely to give it to you!\Don't tell me you just realized this!\But wait, I've never heard of magic like that.\That's gotta be a bluff. response:	B-Bluff?
context: N-No!\If I stick your hair into Mr. Cursey here, I can move you exactly how I wish!\It's an extremely powerful curse magic!\That makes me even less likely to give it to you!\Don't tell me you just realized this!\But wait, I've never heard of magic like that.\That's gotta be a bluff.\B-Bluff? response:	No, the doll's name is Mr. Cursey. Weren't you listening?
context: If I stick your hair into Mr. Cursey here, I can move you exactly how I wish!\It's an extremely powerful curse magic!\That makes me even less likely to give it to you!\Don't tell me you just realized this!\But wait, I've never heard of magic like that.\That's gotta be a bluff.\B-Bluff?\No, the doll's name is Mr. Cursey. Weren't you listening? response:	No, bluff means that you're exaggerating and you can't really do it.
context: It's an extremely powerful curse magic!\That makes me even less likely to give it to you!\Don't tell me you just realized this!\But wait, I've never heard of magic like that.\That's gotta be a bluff.\B-Bluff?\No, the doll's name is Mr. Cursey. Weren't you listening?\No, bluff means that you're exaggerating and you can't really do it. response:	I-I never lie!
context: That makes me even less likely to give it to you!\Don't tell me you just realized this!\But wait, I've never heard of magic like that.\That's gotta be a bluff.\B-Bluff?\No, the doll's name is Mr. Cursey. Weren't you listening?\No, bluff means that you're exaggerating and you can't really do it.\I-I never lie! response:	Did I just hit a nerve I shouldn't have?
context: Don't tell me you just realized this!\But wait, I've never heard of magic like that.\That's gotta be a bluff.\B-Bluff?\No, the doll's name is Mr. Cursey. Weren't you listening?\No, bluff means that you're exaggerating and you can't really do it.\I-I never lie!\Did I just hit a nerve I shouldn't have? response:	What now?!
context: But wait, I've never heard of magic like that.\That's gotta be a bluff.\B-Bluff?\No, the doll's name is Mr. Cursey. Weren't you listening?\No, bluff means that you're exaggerating and you can't really do it.\I-I never lie!\Did I just hit a nerve I shouldn't have?\What now?! response:	If you think so, why don't you try it?
context: That's gotta be a bluff.\B-Bluff?\No, the doll's name is Mr. Cursey. Weren't you listening?\No, bluff means that you're exaggerating and you can't really do it.\I-I never lie!\Did I just hit a nerve I shouldn't have?\What now?!\If you think so, why don't you try it? response:	How?
context: B-Bluff?\No, the doll's name is Mr. Cursey. Weren't you listening?\No, bluff means that you're exaggerating and you can't really do it.\I-I never lie!\Did I just hit a nerve I shouldn't have?\What now?!\If you think so, why don't you try it?\How? response:	This is my own bristle.
context: No, the doll's name is Mr. Cursey. Weren't you listening?\No, bluff means that you're exaggerating and you can't really do it.\I-I never lie!\Did I just hit a nerve I shouldn't have?\What now?!\If you think so, why don't you try it?\How?\This is my own bristle. response:	Stick it into Mr. Cursey, and...
context: No, bluff means that you're exaggerating and you can't really do it.\I-I never lie!\Did I just hit a nerve I shouldn't have?\What now?!\If you think so, why don't you try it?\How?\This is my own bristle.\Stick it into Mr. Cursey, and... response:	A bristle is a coarse, dry hair.
context: I-I never lie!\Did I just hit a nerve I shouldn't have?\What now?!\If you think so, why don't you try it?\How?\This is my own bristle.\Stick it into Mr. Cursey, and...\A bristle is a coarse, dry hair. response:	Finished!
context: Did I just hit a nerve I shouldn't have?\What now?!\If you think so, why don't you try it?\How?\This is my own bristle.\Stick it into Mr. Cursey, and...\A bristle is a coarse, dry hair.\Finished! response:	Man, this guy's a pain.
context: What now?!\If you think so, why don't you try it?\How?\This is my own bristle.\Stick it into Mr. Cursey, and...\A bristle is a coarse, dry hair.\Finished!\Man, this guy's a pain. response:	Go ahead, try it!
context: If you think so, why don't you try it?\How?\This is my own bristle.\Stick it into Mr. Cursey, and...\A bristle is a coarse, dry hair.\Finished!\Man, this guy's a pain.\Go ahead, try it! response:	So?
context: How?\This is my own bristle.\Stick it into Mr. Cursey, and...\A bristle is a coarse, dry hair.\Finished!\Man, this guy's a pain.\Go ahead, try it!\So? response:	Can't you feel the extreme magic power?
context: This is my own bristle.\Stick it into Mr. Cursey, and...\A bristle is a coarse, dry hair.\Finished!\Man, this guy's a pain.\Go ahead, try it!\So?\Can't you feel the extreme magic power? response:	Feel free to hug it or kiss it!
context: Stick it into Mr. Cursey, and...\A bristle is a coarse, dry hair.\Finished!\Man, this guy's a pain.\Go ahead, try it!\So?\Can't you feel the extreme magic power?\Feel free to hug it or kiss it! response:	Actually, I'm a little hungry...
context: A bristle is a coarse, dry hair.\Finished!\Man, this guy's a pain.\Go ahead, try it!\So?\Can't you feel the extreme magic power?\Feel free to hug it or kiss it!\Actually, I'm a little hungry... response:	H-Hey, you...
context: Finished!\Man, this guy's a pain.\Go ahead, try it!\So?\Can't you feel the extreme magic power?\Feel free to hug it or kiss it!\Actually, I'm a little hungry...\H-Hey, you... response:	Give it back!
context: Man, this guy's a pain.\Go ahead, try it!\So?\Can't you feel the extreme magic power?\Feel free to hug it or kiss it!\Actually, I'm a little hungry...\H-Hey, you...\Give it back! response:	Breakdance!
context: Go ahead, try it!\So?\Can't you feel the extreme magic power?\Feel free to hug it or kiss it!\Actually, I'm a little hungry...\H-Hey, you...\Give it back!\Breakdance! response:	The llama position.
context: So?\Can't you feel the extreme magic power?\Feel free to hug it or kiss it!\Actually, I'm a little hungry...\H-Hey, you...\Give it back!\Breakdance!\The llama position. response:	The pigeon position.
context: Can't you feel the extreme magic power?\Feel free to hug it or kiss it!\Actually, I'm a little hungry...\H-Hey, you...\Give it back!\Breakdance!\The llama position.\The pigeon position. response:	The scallop position.
context: Feel free to hug it or kiss it!\Actually, I'm a little hungry...\H-Hey, you...\Give it back!\Breakdance!\The llama position.\The pigeon position.\The scallop position. response:	That's enough already!
context: Actually, I'm a little hungry...\H-Hey, you...\Give it back!\Breakdance!\The llama position.\The pigeon position.\The scallop position.\That's enough already! response:	Three embarrassing pin-up poses in a row!
context: H-Hey, you...\Give it back!\Breakdance!\The llama position.\The pigeon position.\The scallop position.\That's enough already!\Three embarrassing pin-up poses in a row! response:	You're enjoying this, aren't you?
context: Give it back!\Breakdance!\The llama position.\The pigeon position.\The scallop position.\That's enough already!\Three embarrassing pin-up poses in a row!\You're enjoying this, aren't you? response:	No, I'm not!
context: Breakdance!\The llama position.\The pigeon position.\The scallop position.\That's enough already!\Three embarrassing pin-up poses in a row!\You're enjoying this, aren't you?\No, I'm not! response:	Give it back!
context: The llama position.\The pigeon position.\The scallop position.\That's enough already!\Three embarrassing pin-up poses in a row!\You're enjoying this, aren't you?\No, I'm not!\Give it back! response:	I'm mad now!
context: The pigeon position.\The scallop position.\That's enough already!\Three embarrassing pin-up poses in a row!\You're enjoying this, aren't you?\No, I'm not!\Give it back!\I'm mad now! response:	Even if you ask me to go out with you, it's too late!
context: The scallop position.\That's enough already!\Three embarrassing pin-up poses in a row!\You're enjoying this, aren't you?\No, I'm not!\Give it back!\I'm mad now!\Even if you ask me to go out with you, it's too late! response:	Our little tete-a-tete ends now!
context: That's enough already!\Three embarrassing pin-up poses in a row!\You're enjoying this, aren't you?\No, I'm not!\Give it back!\I'm mad now!\Even if you ask me to go out with you, it's too late!\Our little tete-a-tete ends now! response:	When did we change to a soap opera?
context: Three embarrassing pin-up poses in a row!\You're enjoying this, aren't you?\No, I'm not!\Give it back!\I'm mad now!\Even if you ask me to go out with you, it's too late!\Our little tete-a-tete ends now!\When did we change to a soap opera? response:	From now on, I'm cold-hearted!
context: You're enjoying this, aren't you?\No, I'm not!\Give it back!\I'm mad now!\Even if you ask me to go out with you, it's too late!\Our little tete-a-tete ends now!\When did we change to a soap opera?\From now on, I'm cold-hearted! response:	I don't have time to play around, either!
context: No, I'm not!\Give it back!\I'm mad now!\Even if you ask me to go out with you, it's too late!\Our little tete-a-tete ends now!\When did we change to a soap opera?\From now on, I'm cold-hearted!\I don't have time to play around, either! response:	I'm not playing!
context: Give it back!\I'm mad now!\Even if you ask me to go out with you, it's too late!\Our little tete-a-tete ends now!\When did we change to a soap opera?\From now on, I'm cold-hearted!\I don't have time to play around, either!\I'm not playing! response:	I'm always totally serious!
context: I'm mad now!\Even if you ask me to go out with you, it's too late!\Our little tete-a-tete ends now!\When did we change to a soap opera?\From now on, I'm cold-hearted!\I don't have time to play around, either!\I'm not playing!\I'm always totally serious! response:	Why do I also get these types?
context: Even if you ask me to go out with you, it's too late!\Our little tete-a-tete ends now!\When did we change to a soap opera?\From now on, I'm cold-hearted!\I don't have time to play around, either!\I'm not playing!\I'm always totally serious!\Why do I also get these types? response:	Gate of the Golden Bull, I open thee!
context: Our little tete-a-tete ends now!\When did we change to a soap opera?\From now on, I'm cold-hearted!\I don't have time to play around, either!\I'm not playing!\I'm always totally serious!\Why do I also get these types?\Gate of the Golden Bull, I open thee! response:	Taurus!
context: When did we change to a soap opera?\From now on, I'm cold-hearted!\I don't have time to play around, either!\I'm not playing!\I'm always totally serious!\Why do I also get these types?\Gate of the Golden Bull, I open thee!\Taurus! response:	A Celestial Spirit Wizard?
context: From now on, I'm cold-hearted!\I don't have time to play around, either!\I'm not playing!\I'm always totally serious!\Why do I also get these types?\Gate of the Golden Bull, I open thee!\Taurus!\A Celestial Spirit Wizard? response:	And one of the 12 Zodiac Gates?
context: I don't have time to play around, either!\I'm not playing!\I'm always totally serious!\Why do I also get these types?\Gate of the Golden Bull, I open thee!\Taurus!\A Celestial Spirit Wizard?\And one of the 12 Zodiac Gates? response:	You bastard!
context: I'm not playing!\I'm always totally serious!\Why do I also get these types?\Gate of the Golden Bull, I open thee!\Taurus!\A Celestial Spirit Wizard?\And one of the 12 Zodiac Gates?\You bastard! response:	How dare you attack Lucy-san with that lascivious look on your face!
context: I'm always totally serious!\Why do I also get these types?\Gate of the Golden Bull, I open thee!\Taurus!\A Celestial Spirit Wizard?\And one of the 12 Zodiac Gates?\You bastard!\How dare you attack Lucy-san with that lascivious look on your face! response:	You look delicious...
context: Why do I also get these types?\Gate of the Golden Bull, I open thee!\Taurus!\A Celestial Spirit Wizard?\And one of the 12 Zodiac Gates?\You bastard!\How dare you attack Lucy-san with that lascivious look on your face!\You look delicious... response:	Can I have a bite?
context: Gate of the Golden Bull, I open thee!\Taurus!\A Celestial Spirit Wizard?\And one of the 12 Zodiac Gates?\You bastard!\How dare you attack Lucy-san with that lascivious look on your face!\You look delicious...\Can I have a bite? response:	You cannot!
context: Taurus!\A Celestial Spirit Wizard?\And one of the 12 Zodiac Gates?\You bastard!\How dare you attack Lucy-san with that lascivious look on your face!\You look delicious...\Can I have a bite?\You cannot! response:	And I'm not delicious!
context: A Celestial Spirit Wizard?\And one of the 12 Zodiac Gates?\You bastard!\How dare you attack Lucy-san with that lascivious look on your face!\You look delicious...\Can I have a bite?\You cannot!\And I'm not delicious! response:	Taurus, show him what one of the strongest Spirits in the Spirit World can do!
context: And one of the 12 Zodiac Gates?\You bastard!\How dare you attack Lucy-san with that lascivious look on your face!\You look delicious...\Can I have a bite?\You cannot!\And I'm not delicious!\Taurus, show him what one of the strongest Spirits in the Spirit World can do! response:	This time I'm gonna finish it good!
context: You bastard!\How dare you attack Lucy-san with that lascivious look on your face!\You look delicious...\Can I have a bite?\You cannot!\And I'm not delicious!\Taurus, show him what one of the strongest Spirits in the Spirit World can do!\This time I'm gonna finish it good! response:	He got finished good!
context: How dare you attack Lucy-san with that lascivious look on your face!\You look delicious...\Can I have a bite?\You cannot!\And I'm not delicious!\Taurus, show him what one of the strongest Spirits in the Spirit World can do!\This time I'm gonna finish it good!\He got finished good! response:	I lost... in a battle of power?
context: You look delicious...\Can I have a bite?\You cannot!\And I'm not delicious!\Taurus, show him what one of the strongest Spirits in the Spirit World can do!\This time I'm gonna finish it good!\He got finished good!\I lost... in a battle of power? response:	That cow-looking thing's made me even hungrier!
context: Can I have a bite?\You cannot!\And I'm not delicious!\Taurus, show him what one of the strongest Spirits in the Spirit World can do!\This time I'm gonna finish it good!\He got finished good!\I lost... in a battle of power?\That cow-looking thing's made me even hungrier! response:	No way...
context: You cannot!\And I'm not delicious!\Taurus, show him what one of the strongest Spirits in the Spirit World can do!\This time I'm gonna finish it good!\He got finished good!\I lost... in a battle of power?\That cow-looking thing's made me even hungrier!\No way... response:	Hold it!
context: And I'm not delicious!\Taurus, show him what one of the strongest Spirits in the Spirit World can do!\This time I'm gonna finish it good!\He got finished good!\I lost... in a battle of power?\That cow-looking thing's made me even hungrier!\No way...\Hold it! response:	He's even stronger without magic!
context: Taurus, show him what one of the strongest Spirits in the Spirit World can do!\This time I'm gonna finish it good!\He got finished good!\I lost... in a battle of power?\That cow-looking thing's made me even hungrier!\No way...\Hold it!\He's even stronger without magic! response:	What's with this guy?
context: This time I'm gonna finish it good!\He got finished good!\I lost... in a battle of power?\That cow-looking thing's made me even hungrier!\No way...\Hold it!\He's even stronger without magic!\What's with this guy? response:	And he's fast, too!
context: He got finished good!\I lost... in a battle of power?\That cow-looking thing's made me even hungrier!\No way...\Hold it!\He's even stronger without magic!\What's with this guy?\And he's fast, too! response:	Running...
context: I lost... in a battle of power?\That cow-looking thing's made me even hungrier!\No way...\Hold it!\He's even stronger without magic!\What's with this guy?\And he's fast, too!\Running... response:	Gotta slow him down...
context: That cow-looking thing's made me even hungrier!\No way...\Hold it!\He's even stronger without magic!\What's with this guy?\And he's fast, too!\Running...\Gotta slow him down... response:	That's it!
context: No way...\Hold it!\He's even stronger without magic!\What's with this guy?\And he's fast, too!\Running...\Gotta slow him down...\That's it! response:	Gate of the Centaur, I open thee!
context: Hold it!\He's even stronger without magic!\What's with this guy?\And he's fast, too!\Running...\Gotta slow him down...\That's it!\Gate of the Centaur, I open thee! response:	Sagittarius!
context: He's even stronger without magic!\What's with this guy?\And he's fast, too!\Running...\Gotta slow him down...\That's it!\Gate of the Centaur, I open thee!\Sagittarius! response:	Yes-moshimoshi!
context: What's with this guy?\And he's fast, too!\Running...\Gotta slow him down...\That's it!\Gate of the Centaur, I open thee!\Sagittarius!\Yes-moshimoshi! response:	Now it's a horse!
context: And he's fast, too!\Running...\Gotta slow him down...\That's it!\Gate of the Centaur, I open thee!\Sagittarius!\Yes-moshimoshi!\Now it's a horse! response:	Aim for his legs... Shoot!
context: Running...\Gotta slow him down...\That's it!\Gate of the Centaur, I open thee!\Sagittarius!\Yes-moshimoshi!\Now it's a horse!\Aim for his legs... Shoot! response:	Understood, as it were!
context: Gotta slow him down...\That's it!\Gate of the Centaur, I open thee!\Sagittarius!\Yes-moshimoshi!\Now it's a horse!\Aim for his legs... Shoot!\Understood, as it were! response:	Furthermore, I am not a food source, as it were-moshimoshi!
context: That's it!\Gate of the Centaur, I open thee!\Sagittarius!\Yes-moshimoshi!\Now it's a horse!\Aim for his legs... Shoot!\Understood, as it were!\Furthermore, I am not a food source, as it were-moshimoshi! response:	Dadasturn!
context: Gate of the Centaur, I open thee!\Sagittarius!\Yes-moshimoshi!\Now it's a horse!\Aim for his legs... Shoot!\Understood, as it were!\Furthermore, I am not a food source, as it were-moshimoshi!\Dadasturn! response:	He kicked them back?!
context: Sagittarius!\Yes-moshimoshi!\Now it's a horse!\Aim for his legs... Shoot!\Understood, as it were!\Furthermore, I am not a food source, as it were-moshimoshi!\Dadasturn!\He kicked them back?! response:	No way!
context: Yes-moshimoshi!\Now it's a horse!\Aim for his legs... Shoot!\Understood, as it were!\Furthermore, I am not a food source, as it were-moshimoshi!\Dadasturn!\He kicked them back?!\No way! response:	I-I've failed!
