context: Give it to me! response:	All...
context: Rule the Court\Thank you very much!\Hey, hurry up!\Yeah!\We fell over!\You're way too worked up!\Hinata, you dumbass!\Don't ever forget this sight. response:	We're definitely going to pay them back.
context: Thank you very much!\Hey, hurry up!\Yeah!\We fell over!\You're way too worked up!\Hinata, you dumbass!\Don't ever forget this sight.\We're definitely going to pay them back. response:	Yeah!
context: Hey, hurry up!\Yeah!\We fell over!\You're way too worked up!\Hinata, you dumbass!\Don't ever forget this sight.\We're definitely going to pay them back.\Yeah! response:	Apparently we're about to head out.
context: Yeah!\We fell over!\You're way too worked up!\Hinata, you dumbass!\Don't ever forget this sight.\We're definitely going to pay them back.\Yeah!\Apparently we're about to head out. response:	Yeah.
context: We fell over!\You're way too worked up!\Hinata, you dumbass!\Don't ever forget this sight.\We're definitely going to pay them back.\Yeah!\Apparently we're about to head out.\Yeah. response:	Karasuno High School Volleyball Club
context: You're way too worked up!\Hinata, you dumbass!\Don't ever forget this sight.\We're definitely going to pay them back.\Yeah!\Apparently we're about to head out.\Yeah.\Karasuno High School Volleyball Club response:	Kageyama!
context: Hinata, you dumbass!\Don't ever forget this sight.\We're definitely going to pay them back.\Yeah!\Apparently we're about to head out.\Yeah.\Karasuno High School Volleyball Club\Kageyama! response:	We're not gonna lose next time!
context: Don't ever forget this sight.\We're definitely going to pay them back.\Yeah!\Apparently we're about to head out.\Yeah.\Karasuno High School Volleyball Club\Kageyama!\We're not gonna lose next time! response:	Apparently.
context: We're definitely going to pay them back.\Yeah!\Apparently we're about to head out.\Yeah.\Karasuno High School Volleyball Club\Kageyama!\We're not gonna lose next time!\Apparently. response:	Right.
context: Yeah!\Apparently we're about to head out.\Yeah.\Karasuno High School Volleyball Club\Kageyama!\We're not gonna lose next time!\Apparently.\Right. response:	Hey!
context: Apparently we're about to head out.\Yeah.\Karasuno High School Volleyball Club\Kageyama!\We're not gonna lose next time!\Apparently.\Right.\Hey! response:	You guys were awesome!
context: Yeah.\Karasuno High School Volleyball Club\Kageyama!\We're not gonna lose next time!\Apparently.\Right.\Hey!\You guys were awesome! response:	Yay!
context: Karasuno High School Volleyball Club\Kageyama!\We're not gonna lose next time!\Apparently.\Right.\Hey!\You guys were awesome!\Yay! response:	Ne-san!
context: Kageyama!\We're not gonna lose next time!\Apparently.\Right.\Hey!\You guys were awesome!\Yay!\Ne-san! response:	Ryu!
context: We're not gonna lose next time!\Apparently.\Right.\Hey!\You guys were awesome!\Yay!\Ne-san!\Ryu! response:	You did great, getting that last one!
context: Apparently.\Right.\Hey!\You guys were awesome!\Yay!\Ne-san!\Ryu!\You did great, getting that last one! response:	You looked awesome!
context: Right.\Hey!\You guys were awesome!\Yay!\Ne-san!\Ryu!\You did great, getting that last one!\You looked awesome! response:	Right...
context: Hey!\You guys were awesome!\Yay!\Ne-san!\Ryu!\You did great, getting that last one!\You looked awesome!\Right... response:	Or rather, I appreciate the support, but don't use my name so much...
context: You guys were awesome!\Yay!\Ne-san!\Ryu!\You did great, getting that last one!\You looked awesome!\Right...\Or rather, I appreciate the support, but don't use my name so much... response:	Don't be embarrassed!
context: Yay!\Ne-san!\Ryu!\You did great, getting that last one!\You looked awesome!\Right...\Or rather, I appreciate the support, but don't use my name so much...\Don't be embarrassed! response:	Ow, ow, ow! Seriously, stop!
context: Ne-san!\Ryu!\You did great, getting that last one!\You looked awesome!\Right...\Or rather, I appreciate the support, but don't use my name so much...\Don't be embarrassed!\Ow, ow, ow! Seriously, stop! response:	Hey, your boobs! Your boobs are in my face!
context: Ryu!\You did great, getting that last one!\You looked awesome!\Right...\Or rather, I appreciate the support, but don't use my name so much...\Don't be embarrassed!\Ow, ow, ow! Seriously, stop!\Hey, your boobs! Your boobs are in my face! response:	That was a great serve, Tadashi!
context: You did great, getting that last one!\You looked awesome!\Right...\Or rather, I appreciate the support, but don't use my name so much...\Don't be embarrassed!\Ow, ow, ow! Seriously, stop!\Hey, your boobs! Your boobs are in my face!\That was a great serve, Tadashi! response:	Thank you very much.
context: You looked awesome!\Right...\Or rather, I appreciate the support, but don't use my name so much...\Don't be embarrassed!\Ow, ow, ow! Seriously, stop!\Hey, your boobs! Your boobs are in my face!\That was a great serve, Tadashi!\Thank you very much. response:	What? You can't handle some boobs in your face?
context: Right...\Or rather, I appreciate the support, but don't use my name so much...\Don't be embarrassed!\Ow, ow, ow! Seriously, stop!\Hey, your boobs! Your boobs are in my face!\That was a great serve, Tadashi!\Thank you very much.\What? You can't handle some boobs in your face? response:	The last one! The last spike was amazing!
context: Or rather, I appreciate the support, but don't use my name so much...\Don't be embarrassed!\Ow, ow, ow! Seriously, stop!\Hey, your boobs! Your boobs are in my face!\That was a great serve, Tadashi!\Thank you very much.\What? You can't handle some boobs in your face?\The last one! The last spike was amazing! response:	Thanks!
context: Don't be embarrassed!\Ow, ow, ow! Seriously, stop!\Hey, your boobs! Your boobs are in my face!\That was a great serve, Tadashi!\Thank you very much.\What? You can't handle some boobs in your face?\The last one! The last spike was amazing!\Thanks! response:	Thanks.
context: Ow, ow, ow! Seriously, stop!\Hey, your boobs! Your boobs are in my face!\That was a great serve, Tadashi!\Thank you very much.\What? You can't handle some boobs in your face?\The last one! The last spike was amazing!\Thanks!\Thanks. response:	I couldn't help but remember our last match,
context: Hey, your boobs! Your boobs are in my face!\That was a great serve, Tadashi!\Thank you very much.\What? You can't handle some boobs in your face?\The last one! The last spike was amazing!\Thanks!\Thanks.\I couldn't help but remember our last match, response:	so when I saw the triple block, it was quite chilling...
context: That was a great serve, Tadashi!\Thank you very much.\What? You can't handle some boobs in your face?\The last one! The last spike was amazing!\Thanks!\Thanks.\I couldn't help but remember our last match,\so when I saw the triple block, it was quite chilling... response:	Just like when Azumane faced the Iron Wall,
context: Thank you very much.\What? You can't handle some boobs in your face?\The last one! The last spike was amazing!\Thanks!\Thanks.\I couldn't help but remember our last match,\so when I saw the triple block, it was quite chilling...\Just like when Azumane faced the Iron Wall, response:	Kageyama might have thought
context: What? You can't handle some boobs in your face?\The last one! The last spike was amazing!\Thanks!\Thanks.\I couldn't help but remember our last match,\so when I saw the triple block, it was quite chilling...\Just like when Azumane faced the Iron Wall,\Kageyama might have thought response:	it was best to think ahead and have Hinata's hand break through...
context: The last one! The last spike was amazing!\Thanks!\Thanks.\I couldn't help but remember our last match,\so when I saw the triple block, it was quite chilling...\Just like when Azumane faced the Iron Wall,\Kageyama might have thought\it was best to think ahead and have Hinata's hand break through... response:	No... It might just have been instinct.
context: Thanks!\Thanks.\I couldn't help but remember our last match,\so when I saw the triple block, it was quite chilling...\Just like when Azumane faced the Iron Wall,\Kageyama might have thought\it was best to think ahead and have Hinata's hand break through...\No... It might just have been instinct. response:	It's so amazing that you got through such a high block!
context: Thanks.\I couldn't help but remember our last match,\so when I saw the triple block, it was quite chilling...\Just like when Azumane faced the Iron Wall,\Kageyama might have thought\it was best to think ahead and have Hinata's hand break through...\No... It might just have been instinct.\It's so amazing that you got through such a high block! response:	That last part...
context: I couldn't help but remember our last match,\so when I saw the triple block, it was quite chilling...\Just like when Azumane faced the Iron Wall,\Kageyama might have thought\it was best to think ahead and have Hinata's hand break through...\No... It might just have been instinct.\It's so amazing that you got through such a high block!\That last part... response:	When the Great King reacted...
context: so when I saw the triple block, it was quite chilling...\Just like when Azumane faced the Iron Wall,\Kageyama might have thought\it was best to think ahead and have Hinata's hand break through...\No... It might just have been instinct.\It's so amazing that you got through such a high block!\That last part...\When the Great King reacted... response:	I thought he was going to get it.
context: Just like when Azumane faced the Iron Wall,\Kageyama might have thought\it was best to think ahead and have Hinata's hand break through...\No... It might just have been instinct.\It's so amazing that you got through such a high block!\That last part...\When the Great King reacted...\I thought he was going to get it. response:	The Great King really is amazing.
context: Kageyama might have thought\it was best to think ahead and have Hinata's hand break through...\No... It might just have been instinct.\It's so amazing that you got through such a high block!\That last part...\When the Great King reacted...\I thought he was going to get it.\The Great King really is amazing. response:	When the bus comes, will you load our stuff?
context: it was best to think ahead and have Hinata's hand break through...\No... It might just have been instinct.\It's so amazing that you got through such a high block!\That last part...\When the Great King reacted...\I thought he was going to get it.\The Great King really is amazing.\When the bus comes, will you load our stuff? response:	I'm gonna go get everyone else.
context: No... It might just have been instinct.\It's so amazing that you got through such a high block!\That last part...\When the Great King reacted...\I thought he was going to get it.\The Great King really is amazing.\When the bus comes, will you load our stuff?\I'm gonna go get everyone else. response:	Right.
context: It's so amazing that you got through such a high block!\That last part...\When the Great King reacted...\I thought he was going to get it.\The Great King really is amazing.\When the bus comes, will you load our stuff?\I'm gonna go get everyone else.\Right. response:	This is a warning, Oikawa.
context: That last part...\When the Great King reacted...\I thought he was going to get it.\The Great King really is amazing.\When the bus comes, will you load our stuff?\I'm gonna go get everyone else.\Right.\This is a warning, Oikawa. response:	Don't choose the wrong path again.
context: When the Great King reacted...\I thought he was going to get it.\The Great King really is amazing.\When the bus comes, will you load our stuff?\I'm gonna go get everyone else.\Right.\This is a warning, Oikawa.\Don't choose the wrong path again. response:	You chose the wrong path.
context: I thought he was going to get it.\The Great King really is amazing.\When the bus comes, will you load our stuff?\I'm gonna go get everyone else.\Right.\This is a warning, Oikawa.\Don't choose the wrong path again.\You chose the wrong path. response:	There was a place where you could have realized your true potential.
context: The Great King really is amazing.\When the bus comes, will you load our stuff?\I'm gonna go get everyone else.\Right.\This is a warning, Oikawa.\Don't choose the wrong path again.\You chose the wrong path.\There was a place where you could have realized your true potential. response:	Because of your worthless pride, you didn't choose it.
context: When the bus comes, will you load our stuff?\I'm gonna go get everyone else.\Right.\This is a warning, Oikawa.\Don't choose the wrong path again.\You chose the wrong path.\There was a place where you could have realized your true potential.\Because of your worthless pride, you didn't choose it. response:	So you're trying to tell me
context: I'm gonna go get everyone else.\Right.\This is a warning, Oikawa.\Don't choose the wrong path again.\You chose the wrong path.\There was a place where you could have realized your true potential.\Because of your worthless pride, you didn't choose it.\So you're trying to tell me response:	that I should have gone to Shiratorizawa instead of Seijoh, right?
context: Right.\This is a warning, Oikawa.\Don't choose the wrong path again.\You chose the wrong path.\There was a place where you could have realized your true potential.\Because of your worthless pride, you didn't choose it.\So you're trying to tell me\that I should have gone to Shiratorizawa instead of Seijoh, right? response:	No team is guaranteed victory.
context: This is a warning, Oikawa.\Don't choose the wrong path again.\You chose the wrong path.\There was a place where you could have realized your true potential.\Because of your worthless pride, you didn't choose it.\So you're trying to tell me\that I should have gone to Shiratorizawa instead of Seijoh, right?\No team is guaranteed victory. response:	If nothing else, I can say...
context: Don't choose the wrong path again.\You chose the wrong path.\There was a place where you could have realized your true potential.\Because of your worthless pride, you didn't choose it.\So you're trying to tell me\that I should have gone to Shiratorizawa instead of Seijoh, right?\No team is guaranteed victory.\If nothing else, I can say... response:	Shiratorizawa Academy
context: You chose the wrong path.\There was a place where you could have realized your true potential.\Because of your worthless pride, you didn't choose it.\So you're trying to tell me\that I should have gone to Shiratorizawa instead of Seijoh, right?\No team is guaranteed victory.\If nothing else, I can say...\Shiratorizawa Academy response:	Wow, I see you're still laughably confident!
context: There was a place where you could have realized your true potential.\Because of your worthless pride, you didn't choose it.\So you're trying to tell me\that I should have gone to Shiratorizawa instead of Seijoh, right?\No team is guaranteed victory.\If nothing else, I can say...\Shiratorizawa Academy\Wow, I see you're still laughably confident! response:	Worthless pride, huh?
context: Because of your worthless pride, you didn't choose it.\So you're trying to tell me\that I should have gone to Shiratorizawa instead of Seijoh, right?\No team is guaranteed victory.\If nothing else, I can say...\Shiratorizawa Academy\Wow, I see you're still laughably confident!\Worthless pride, huh? response:	That's true...
context: So you're trying to tell me\that I should have gone to Shiratorizawa instead of Seijoh, right?\No team is guaranteed victory.\If nothing else, I can say...\Shiratorizawa Academy\Wow, I see you're still laughably confident!\Worthless pride, huh?\That's true... response:	Listen up, Ushijima.
context: that I should have gone to Shiratorizawa instead of Seijoh, right?\No team is guaranteed victory.\If nothing else, I can say...\Shiratorizawa Academy\Wow, I see you're still laughably confident!\Worthless pride, huh?\That's true...\Listen up, Ushijima. response:	I never thought my decision was wrong,
context: No team is guaranteed victory.\If nothing else, I can say...\Shiratorizawa Academy\Wow, I see you're still laughably confident!\Worthless pride, huh?\That's true...\Listen up, Ushijima.\I never thought my decision was wrong, response:	and my volleyball hasn't ended at all.
context: If nothing else, I can say...\Shiratorizawa Academy\Wow, I see you're still laughably confident!\Worthless pride, huh?\That's true...\Listen up, Ushijima.\I never thought my decision was wrong,\and my volleyball hasn't ended at all. response:	Don't you ever forget
context: Shiratorizawa Academy\Wow, I see you're still laughably confident!\Worthless pride, huh?\That's true...\Listen up, Ushijima.\I never thought my decision was wrong,\and my volleyball hasn't ended at all.\Don't you ever forget response:	my worthless pride.
context: Wow, I see you're still laughably confident!\Worthless pride, huh?\That's true...\Listen up, Ushijima.\I never thought my decision was wrong,\and my volleyball hasn't ended at all.\Don't you ever forget\my worthless pride. response:	Oh, yeah.
context: Worthless pride, huh?\That's true...\Listen up, Ushijima.\I never thought my decision was wrong,\and my volleyball hasn't ended at all.\Don't you ever forget\my worthless pride.\Oh, yeah. response:	If you keep all of your attention on me,
context: That's true...\Listen up, Ushijima.\I never thought my decision was wrong,\and my volleyball hasn't ended at all.\Don't you ever forget\my worthless pride.\Oh, yeah.\If you keep all of your attention on me, response:	you're going to get stabbed from the direction you least expect.
context: Listen up, Ushijima.\I never thought my decision was wrong,\and my volleyball hasn't ended at all.\Don't you ever forget\my worthless pride.\Oh, yeah.\If you keep all of your attention on me,\you're going to get stabbed from the direction you least expect. response:	What's that supposed to mean?
context: I never thought my decision was wrong,\and my volleyball hasn't ended at all.\Don't you ever forget\my worthless pride.\Oh, yeah.\If you keep all of your attention on me,\you're going to get stabbed from the direction you least expect.\What's that supposed to mean? response:	My junior...
context: and my volleyball hasn't ended at all.\Don't you ever forget\my worthless pride.\Oh, yeah.\If you keep all of your attention on me,\you're going to get stabbed from the direction you least expect.\What's that supposed to mean?\My junior... response:	isn't smart, and isn't even close to my level yet...
context: Don't you ever forget\my worthless pride.\Oh, yeah.\If you keep all of your attention on me,\you're going to get stabbed from the direction you least expect.\What's that supposed to mean?\My junior...\isn't smart, and isn't even close to my level yet... response:	But now that he's not by himself, he's strong.
context: my worthless pride.\Oh, yeah.\If you keep all of your attention on me,\you're going to get stabbed from the direction you least expect.\What's that supposed to mean?\My junior...\isn't smart, and isn't even close to my level yet...\But now that he's not by himself, he's strong. response:	When crows flock, they might even kill a huge, white eagle.
context: Oh, yeah.\If you keep all of your attention on me,\you're going to get stabbed from the direction you least expect.\What's that supposed to mean?\My junior...\isn't smart, and isn't even close to my level yet...\But now that he's not by himself, he's strong.\When crows flock, they might even kill a huge, white eagle. response:	Hey.
context: If you keep all of your attention on me,\you're going to get stabbed from the direction you least expect.\What's that supposed to mean?\My junior...\isn't smart, and isn't even close to my level yet...\But now that he's not by himself, he's strong.\When crows flock, they might even kill a huge, white eagle.\Hey. response:	What the hell are you doing?
context: you're going to get stabbed from the direction you least expect.\What's that supposed to mean?\My junior...\isn't smart, and isn't even close to my level yet...\But now that he's not by himself, he's strong.\When crows flock, they might even kill a huge, white eagle.\Hey.\What the hell are you doing? response:	Hurry up and load your your stuff onto the bus.
context: What's that supposed to mean?\My junior...\isn't smart, and isn't even close to my level yet...\But now that he's not by himself, he's strong.\When crows flock, they might even kill a huge, white eagle.\Hey.\What the hell are you doing?\Hurry up and load your your stuff onto the bus. response:	What's the matter, you two?
context: My junior...\isn't smart, and isn't even close to my level yet...\But now that he's not by himself, he's strong.\When crows flock, they might even kill a huge, white eagle.\Hey.\What the hell are you doing?\Hurry up and load your your stuff onto the bus.\What's the matter, you two? response:	Infertile soil will not bring forth splendid fruit.
context: isn't smart, and isn't even close to my level yet...\But now that he's not by himself, he's strong.\When crows flock, they might even kill a huge, white eagle.\Hey.\What the hell are you doing?\Hurry up and load your your stuff onto the bus.\What's the matter, you two?\Infertile soil will not bring forth splendid fruit. response:	I'll show you just how much we can grow from the concrete.
context: But now that he's not by himself, he's strong.\When crows flock, they might even kill a huge, white eagle.\Hey.\What the hell are you doing?\Hurry up and load your your stuff onto the bus.\What's the matter, you two?\Infertile soil will not bring forth splendid fruit.\I'll show you just how much we can grow from the concrete. response:	Today's Events
context: When crows flock, they might even kill a huge, white eagle.\Hey.\What the hell are you doing?\Hurry up and load your your stuff onto the bus.\What's the matter, you two?\Infertile soil will not bring forth splendid fruit.\I'll show you just how much we can grow from the concrete.\Today's Events response:	Ah, w-wait!
context: Hey.\What the hell are you doing?\Hurry up and load your your stuff onto the bus.\What's the matter, you two?\Infertile soil will not bring forth splendid fruit.\I'll show you just how much we can grow from the concrete.\Today's Events\Ah, w-wait! response:	The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno
context: What the hell are you doing?\Hurry up and load your your stuff onto the bus.\What's the matter, you two?\Infertile soil will not bring forth splendid fruit.\I'll show you just how much we can grow from the concrete.\Today's Events\Ah, w-wait!\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno response:	Haikyu!!
context: Hurry up and load your your stuff onto the bus.\What's the matter, you two?\Infertile soil will not bring forth splendid fruit.\I'll show you just how much we can grow from the concrete.\Today's Events\Ah, w-wait!\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\Haikyu!! response:	Haikyu!!
context: What's the matter, you two?\Infertile soil will not bring forth splendid fruit.\I'll show you just how much we can grow from the concrete.\Today's Events\Ah, w-wait!\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\Haikyu!!\Haikyu!! response:	No surprise. They're fast asleep.
context: Infertile soil will not bring forth splendid fruit.\I'll show you just how much we can grow from the concrete.\Today's Events\Ah, w-wait!\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\Haikyu!!\Haikyu!!\No surprise. They're fast asleep. response:	You can't blame them.
context: I'll show you just how much we can grow from the concrete.\Today's Events\Ah, w-wait!\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\Haikyu!!\Haikyu!!\No surprise. They're fast asleep.\You can't blame them. response:	They fought two matches with powerful opponents.
context: Today's Events\Ah, w-wait!\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\Haikyu!!\Haikyu!!\No surprise. They're fast asleep.\You can't blame them.\They fought two matches with powerful opponents. response:	I'm thankful for you, Sensei.
context: Ah, w-wait!\The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\Haikyu!!\Haikyu!!\No surprise. They're fast asleep.\You can't blame them.\They fought two matches with powerful opponents.\I'm thankful for you, Sensei. response:	Wha?! Where did that come from?
context: The Japanese National High School Volleyball Tournament Miyagi Prefecture Qualifiers (Boys) Finals Shiratorizawa vs. Karasuno\Haikyu!!\Haikyu!!\No surprise. They're fast asleep.\You can't blame them.\They fought two matches with powerful opponents.\I'm thankful for you, Sensei.\Wha?! Where did that come from? response:	The fact that a team like ours, which hadn't done well for a while,
context: Haikyu!!\Haikyu!!\No surprise. They're fast asleep.\You can't blame them.\They fought two matches with powerful opponents.\I'm thankful for you, Sensei.\Wha?! Where did that come from?\The fact that a team like ours, which hadn't done well for a while, response:	got to do so many practice matches with the powerhouse schools from Tokyo...
context: Haikyu!!\No surprise. They're fast asleep.\You can't blame them.\They fought two matches with powerful opponents.\I'm thankful for you, Sensei.\Wha?! Where did that come from?\The fact that a team like ours, which hadn't done well for a while,\got to do so many practice matches with the powerhouse schools from Tokyo... response:	All I can say about that is that we were blessed.
context: No surprise. They're fast asleep.\You can't blame them.\They fought two matches with powerful opponents.\I'm thankful for you, Sensei.\Wha?! Where did that come from?\The fact that a team like ours, which hadn't done well for a while,\got to do so many practice matches with the powerhouse schools from Tokyo...\All I can say about that is that we were blessed. response:	You need someone else to become more disciplined.
context: You can't blame them.\They fought two matches with powerful opponents.\I'm thankful for you, Sensei.\Wha?! Where did that come from?\The fact that a team like ours, which hadn't done well for a while,\got to do so many practice matches with the powerhouse schools from Tokyo...\All I can say about that is that we were blessed.\You need someone else to become more disciplined. response:	No matter how hard you try by yourself, there's a limit.
context: They fought two matches with powerful opponents.\I'm thankful for you, Sensei.\Wha?! Where did that come from?\The fact that a team like ours, which hadn't done well for a while,\got to do so many practice matches with the powerhouse schools from Tokyo...\All I can say about that is that we were blessed.\You need someone else to become more disciplined.\No matter how hard you try by yourself, there's a limit. response:	The fact that we were able to regain our connection with Nekoma
context: I'm thankful for you, Sensei.\Wha?! Where did that come from?\The fact that a team like ours, which hadn't done well for a while,\got to do so many practice matches with the powerhouse schools from Tokyo...\All I can say about that is that we were blessed.\You need someone else to become more disciplined.\No matter how hard you try by yourself, there's a limit.\The fact that we were able to regain our connection with Nekoma response:	is a much bigger deal than you or the team realizes.
context: Wha?! Where did that come from?\The fact that a team like ours, which hadn't done well for a while,\got to do so many practice matches with the powerhouse schools from Tokyo...\All I can say about that is that we were blessed.\You need someone else to become more disciplined.\No matter how hard you try by yourself, there's a limit.\The fact that we were able to regain our connection with Nekoma\is a much bigger deal than you or the team realizes. response:	You did an amazing thing.
