context: Gravity wave interferometer has detected a strong fluctuation. response:	It's beginning.
context: Aurora, respond.\The Warped World\Ange!\I'm home, everyone.\Dammit! Where the hell were you?!\Isn't this Vanessa's machine?\Yeah. Mom's Arquebus.\So it can still fly. response:	Momoka-san.
context: The Warped World\Ange!\I'm home, everyone.\Dammit! Where the hell were you?!\Isn't this Vanessa's machine?\Yeah. Mom's Arquebus.\So it can still fly.\Momoka-san. response:	You were safe.
context: Ange!\I'm home, everyone.\Dammit! Where the hell were you?!\Isn't this Vanessa's machine?\Yeah. Mom's Arquebus.\So it can still fly.\Momoka-san.\You were safe. response:	Officer.
context: I'm home, everyone.\Dammit! Where the hell were you?!\Isn't this Vanessa's machine?\Yeah. Mom's Arquebus.\So it can still fly.\Momoka-san.\You were safe.\Officer. response:	You quit drinking?
context: Dammit! Where the hell were you?!\Isn't this Vanessa's machine?\Yeah. Mom's Arquebus.\So it can still fly.\Momoka-san.\You were safe.\Officer.\You quit drinking? response:	This is no time to be drinking.
context: Isn't this Vanessa's machine?\Yeah. Mom's Arquebus.\So it can still fly.\Momoka-san.\You were safe.\Officer.\You quit drinking?\This is no time to be drinking. response:	I'm going to join Libertus.
context: Yeah. Mom's Arquebus.\So it can still fly.\Momoka-san.\You were safe.\Officer.\You quit drinking?\This is no time to be drinking.\I'm going to join Libertus. response:	I know the truth about humans and Mana now.
context: So it can still fly.\Momoka-san.\You were safe.\Officer.\You quit drinking?\This is no time to be drinking.\I'm going to join Libertus.\I know the truth about humans and Mana now. response:	It's...
context: Momoka-san.\You were safe.\Officer.\You quit drinking?\This is no time to be drinking.\I'm going to join Libertus.\I know the truth about humans and Mana now.\It's... response:	Ersha came back.
context: You were safe.\Officer.\You quit drinking?\This is no time to be drinking.\I'm going to join Libertus.\I know the truth about humans and Mana now.\It's...\Ersha came back. response:	She said she woke up.
context: Officer.\You quit drinking?\This is no time to be drinking.\I'm going to join Libertus.\I know the truth about humans and Mana now.\It's...\Ersha came back.\She said she woke up. response:	She did, huh?
context: You quit drinking?\This is no time to be drinking.\I'm going to join Libertus.\I know the truth about humans and Mana now.\It's...\Ersha came back.\She said she woke up.\She did, huh? response:	You're the only one that doesn't know anything, Ange.
context: This is no time to be drinking.\I'm going to join Libertus.\I know the truth about humans and Mana now.\It's...\Ersha came back.\She said she woke up.\She did, huh?\You're the only one that doesn't know anything, Ange. response:	Salako.
context: I'm going to join Libertus.\I know the truth about humans and Mana now.\It's...\Ersha came back.\She said she woke up.\She did, huh?\You're the only one that doesn't know anything, Ange.\Salako. response:	The People of Aura have allied with the Norma.
context: I know the truth about humans and Mana now.\It's...\Ersha came back.\She said she woke up.\She did, huh?\You're the only one that doesn't know anything, Ange.\Salako.\The People of Aura have allied with the Norma. response:	What will you do?
context: It's...\Ersha came back.\She said she woke up.\She did, huh?\You're the only one that doesn't know anything, Ange.\Salako.\The People of Aura have allied with the Norma.\What will you do? response:	I don't mind joining.
context: Ersha came back.\She said she woke up.\She did, huh?\You're the only one that doesn't know anything, Ange.\Salako.\The People of Aura have allied with the Norma.\What will you do?\I don't mind joining. response:	The time's finally come for us to fight together.
context: She said she woke up.\She did, huh?\You're the only one that doesn't know anything, Ange.\Salako.\The People of Aura have allied with the Norma.\What will you do?\I don't mind joining.\The time's finally come for us to fight together. response:	To protect our worlds.
context: She did, huh?\You're the only one that doesn't know anything, Ange.\Salako.\The People of Aura have allied with the Norma.\What will you do?\I don't mind joining.\The time's finally come for us to fight together.\To protect our worlds. response:	No, Salako.
context: You're the only one that doesn't know anything, Ange.\Salako.\The People of Aura have allied with the Norma.\What will you do?\I don't mind joining.\The time's finally come for us to fight together.\To protect our worlds.\No, Salako. response:	I just don't want that pervert to have his way with the world.
context: Salako.\The People of Aura have allied with the Norma.\What will you do?\I don't mind joining.\The time's finally come for us to fight together.\To protect our worlds.\No, Salako.\I just don't want that pervert to have his way with the world. response:	Riza.
context: The People of Aura have allied with the Norma.\What will you do?\I don't mind joining.\The time's finally come for us to fight together.\To protect our worlds.\No, Salako.\I just don't want that pervert to have his way with the world.\Riza. response:	I heard from Momoka.
context: What will you do?\I don't mind joining.\The time's finally come for us to fight together.\To protect our worlds.\No, Salako.\I just don't want that pervert to have his way with the world.\Riza.\I heard from Momoka. response:	You told them where I was, didn't you?
context: I don't mind joining.\The time's finally come for us to fight together.\To protect our worlds.\No, Salako.\I just don't want that pervert to have his way with the world.\Riza.\I heard from Momoka.\You told them where I was, didn't you? response:	We're going to be busy.
context: The time's finally come for us to fight together.\To protect our worlds.\No, Salako.\I just don't want that pervert to have his way with the world.\Riza.\I heard from Momoka.\You told them where I was, didn't you?\We're going to be busy. response:	We have to kill that man.
context: To protect our worlds.\No, Salako.\I just don't want that pervert to have his way with the world.\Riza.\I heard from Momoka.\You told them where I was, didn't you?\We're going to be busy.\We have to kill that man. response:	Angelise-sama.
context: No, Salako.\I just don't want that pervert to have his way with the world.\Riza.\I heard from Momoka.\You told them where I was, didn't you?\We're going to be busy.\We have to kill that man.\Angelise-sama. response:	Hilda.
context: I just don't want that pervert to have his way with the world.\Riza.\I heard from Momoka.\You told them where I was, didn't you?\We're going to be busy.\We have to kill that man.\Angelise-sama.\Hilda. response:	Where's the commander?
context: Riza.\I heard from Momoka.\You told them where I was, didn't you?\We're going to be busy.\We have to kill that man.\Angelise-sama.\Hilda.\Where's the commander? response:	I'm the commander now.
context: I heard from Momoka.\You told them where I was, didn't you?\We're going to be busy.\We have to kill that man.\Angelise-sama.\Hilda.\Where's the commander?\I'm the commander now. response:	Then what about Jill?
context: You told them where I was, didn't you?\We're going to be busy.\We have to kill that man.\Angelise-sama.\Hilda.\Where's the commander?\I'm the commander now.\Then what about Jill? response:	I'm glad you've come back.
context: We're going to be busy.\We have to kill that man.\Angelise-sama.\Hilda.\Where's the commander?\I'm the commander now.\Then what about Jill?\I'm glad you've come back. response:	Yes, thanks to everyone.
context: We have to kill that man.\Angelise-sama.\Hilda.\Where's the commander?\I'm the commander now.\Then what about Jill?\I'm glad you've come back.\Yes, thanks to everyone. response:	So, are you here to mock me?
context: Angelise-sama.\Hilda.\Where's the commander?\I'm the commander now.\Then what about Jill?\I'm glad you've come back.\Yes, thanks to everyone.\So, are you here to mock me? response:	You're aware you did something that warrants mockery, are you?
context: Hilda.\Where's the commander?\I'm the commander now.\Then what about Jill?\I'm glad you've come back.\Yes, thanks to everyone.\So, are you here to mock me?\You're aware you did something that warrants mockery, are you? response:	Well, I guess you couldn't tell anyone that Embryo raped you.
context: Where's the commander?\I'm the commander now.\Then what about Jill?\I'm glad you've come back.\Yes, thanks to everyone.\So, are you here to mock me?\You're aware you did something that warrants mockery, are you?\Well, I guess you couldn't tell anyone that Embryo raped you. response:	Are you here to pick a fight?
context: I'm the commander now.\Then what about Jill?\I'm glad you've come back.\Yes, thanks to everyone.\So, are you here to mock me?\You're aware you did something that warrants mockery, are you?\Well, I guess you couldn't tell anyone that Embryo raped you.\Are you here to pick a fight? response:	There's something I want to ask you.
context: Then what about Jill?\I'm glad you've come back.\Yes, thanks to everyone.\So, are you here to mock me?\You're aware you did something that warrants mockery, are you?\Well, I guess you couldn't tell anyone that Embryo raped you.\Are you here to pick a fight?\There's something I want to ask you. response:	Tell me how to kill Embryo.
context: I'm glad you've come back.\Yes, thanks to everyone.\So, are you here to mock me?\You're aware you did something that warrants mockery, are you?\Well, I guess you couldn't tell anyone that Embryo raped you.\Are you here to pick a fight?\There's something I want to ask you.\Tell me how to kill Embryo. response:	What?
context: Yes, thanks to everyone.\So, are you here to mock me?\You're aware you did something that warrants mockery, are you?\Well, I guess you couldn't tell anyone that Embryo raped you.\Are you here to pick a fight?\There's something I want to ask you.\Tell me how to kill Embryo.\What? response:	Every time he dies,
context: So, are you here to mock me?\You're aware you did something that warrants mockery, are you?\Well, I guess you couldn't tell anyone that Embryo raped you.\Are you here to pick a fight?\There's something I want to ask you.\Tell me how to kill Embryo.\What?\Every time he dies, response:	he switches places with a multiplex entity in undefined space.
context: You're aware you did something that warrants mockery, are you?\Well, I guess you couldn't tell anyone that Embryo raped you.\Are you here to pick a fight?\There's something I want to ask you.\Tell me how to kill Embryo.\What?\Every time he dies,\he switches places with a multiplex entity in undefined space. response:	Tusk told me.
context: Well, I guess you couldn't tell anyone that Embryo raped you.\Are you here to pick a fight?\There's something I want to ask you.\Tell me how to kill Embryo.\What?\Every time he dies,\he switches places with a multiplex entity in undefined space.\Tusk told me. response:	You said the Villkiss is the only thing that can defeat Embryo, didn't you?
context: Are you here to pick a fight?\There's something I want to ask you.\Tell me how to kill Embryo.\What?\Every time he dies,\he switches places with a multiplex entity in undefined space.\Tusk told me.\You said the Villkiss is the only thing that can defeat Embryo, didn't you? response:	Somewhere in undefined space is his true body.
context: There's something I want to ask you.\Tell me how to kill Embryo.\What?\Every time he dies,\he switches places with a multiplex entity in undefined space.\Tusk told me.\You said the Villkiss is the only thing that can defeat Embryo, didn't you?\Somewhere in undefined space is his true body. response:	I couldn't make it there, but you learned the song and released the Villkiss.
context: Tell me how to kill Embryo.\What?\Every time he dies,\he switches places with a multiplex entity in undefined space.\Tusk told me.\You said the Villkiss is the only thing that can defeat Embryo, didn't you?\Somewhere in undefined space is his true body.\I couldn't make it there, but you learned the song and released the Villkiss. response:	I see, okay.
context: What?\Every time he dies,\he switches places with a multiplex entity in undefined space.\Tusk told me.\You said the Villkiss is the only thing that can defeat Embryo, didn't you?\Somewhere in undefined space is his true body.\I couldn't make it there, but you learned the song and released the Villkiss.\I see, okay. response:	So what about you?
context: Every time he dies,\he switches places with a multiplex entity in undefined space.\Tusk told me.\You said the Villkiss is the only thing that can defeat Embryo, didn't you?\Somewhere in undefined space is his true body.\I couldn't make it there, but you learned the song and released the Villkiss.\I see, okay.\So what about you? response:	Are you going to just hide here?
context: he switches places with a multiplex entity in undefined space.\Tusk told me.\You said the Villkiss is the only thing that can defeat Embryo, didn't you?\Somewhere in undefined space is his true body.\I couldn't make it there, but you learned the song and released the Villkiss.\I see, okay.\So what about you?\Are you going to just hide here? response:	I gave command to Hilda.
context: Tusk told me.\You said the Villkiss is the only thing that can defeat Embryo, didn't you?\Somewhere in undefined space is his true body.\I couldn't make it there, but you learned the song and released the Villkiss.\I see, okay.\So what about you?\Are you going to just hide here?\I gave command to Hilda. response:	Quit being a chump!
context: You said the Villkiss is the only thing that can defeat Embryo, didn't you?\Somewhere in undefined space is his true body.\I couldn't make it there, but you learned the song and released the Villkiss.\I see, okay.\So what about you?\Are you going to just hide here?\I gave command to Hilda.\Quit being a chump! response:	How many people were screwed over for the sake of your revenge?
context: Somewhere in undefined space is his true body.\I couldn't make it there, but you learned the song and released the Villkiss.\I see, okay.\So what about you?\Are you going to just hide here?\I gave command to Hilda.\Quit being a chump!\How many people were screwed over for the sake of your revenge? response:	What could I do?
context: I couldn't make it there, but you learned the song and released the Villkiss.\I see, okay.\So what about you?\Are you going to just hide here?\I gave command to Hilda.\Quit being a chump!\How many people were screwed over for the sake of your revenge?\What could I do? response:	I failed both my revolution and my revenge.
context: I see, okay.\So what about you?\Are you going to just hide here?\I gave command to Hilda.\Quit being a chump!\How many people were screwed over for the sake of your revenge?\What could I do?\I failed both my revolution and my revenge. response:	It was Salia that let me go.
context: So what about you?\Are you going to just hide here?\I gave command to Hilda.\Quit being a chump!\How many people were screwed over for the sake of your revenge?\What could I do?\I failed both my revolution and my revenge.\It was Salia that let me go. response:	She was miserable.
context: Are you going to just hide here?\I gave command to Hilda.\Quit being a chump!\How many people were screwed over for the sake of your revenge?\What could I do?\I failed both my revolution and my revenge.\It was Salia that let me go.\She was miserable. response:	She's chosen to obsess over Embryo to forget about you.
context: I gave command to Hilda.\Quit being a chump!\How many people were screwed over for the sake of your revenge?\What could I do?\I failed both my revolution and my revenge.\It was Salia that let me go.\She was miserable.\She's chosen to obsess over Embryo to forget about you. response:	I'm not letting you say you're not responsible.
context: Quit being a chump!\How many people were screwed over for the sake of your revenge?\What could I do?\I failed both my revolution and my revenge.\It was Salia that let me go.\She was miserable.\She's chosen to obsess over Embryo to forget about you.\I'm not letting you say you're not responsible. response:	Alektra Maria von Loewenherz.
context: How many people were screwed over for the sake of your revenge?\What could I do?\I failed both my revolution and my revenge.\It was Salia that let me go.\She was miserable.\She's chosen to obsess over Embryo to forget about you.\I'm not letting you say you're not responsible.\Alektra Maria von Loewenherz. response:	Damn.
context: What could I do?\I failed both my revolution and my revenge.\It was Salia that let me go.\She was miserable.\She's chosen to obsess over Embryo to forget about you.\I'm not letting you say you're not responsible.\Alektra Maria von Loewenherz.\Damn. response:	You're scary.
context: I failed both my revolution and my revenge.\It was Salia that let me go.\She was miserable.\She's chosen to obsess over Embryo to forget about you.\I'm not letting you say you're not responsible.\Alektra Maria von Loewenherz.\Damn.\You're scary. response:	It's just that I can't allow her to run away from her responsibilities.
context: It was Salia that let me go.\She was miserable.\She's chosen to obsess over Embryo to forget about you.\I'm not letting you say you're not responsible.\Alektra Maria von Loewenherz.\Damn.\You're scary.\It's just that I can't allow her to run away from her responsibilities. response:	So you have changed.
context: She was miserable.\She's chosen to obsess over Embryo to forget about you.\I'm not letting you say you're not responsible.\Alektra Maria von Loewenherz.\Damn.\You're scary.\It's just that I can't allow her to run away from her responsibilities.\So you have changed. response:	Huh?
context: She's chosen to obsess over Embryo to forget about you.\I'm not letting you say you're not responsible.\Alektra Maria von Loewenherz.\Damn.\You're scary.\It's just that I can't allow her to run away from her responsibilities.\So you have changed.\Huh? response:	You, the old Commander, and the Dragon Princess.
context: I'm not letting you say you're not responsible.\Alektra Maria von Loewenherz.\Damn.\You're scary.\It's just that I can't allow her to run away from her responsibilities.\So you have changed.\Huh?\You, the old Commander, and the Dragon Princess. response:	You're born leaders.
context: Alektra Maria von Loewenherz.\Damn.\You're scary.\It's just that I can't allow her to run away from her responsibilities.\So you have changed.\Huh?\You, the old Commander, and the Dragon Princess.\You're born leaders. response:	You don't even have to say anything to get someone to follow you.
context: Damn.\You're scary.\It's just that I can't allow her to run away from her responsibilities.\So you have changed.\Huh?\You, the old Commander, and the Dragon Princess.\You're born leaders.\You don't even have to say anything to get someone to follow you. response:	Hey, you should be the commander.
context: You're scary.\It's just that I can't allow her to run away from her responsibilities.\So you have changed.\Huh?\You, the old Commander, and the Dragon Princess.\You're born leaders.\You don't even have to say anything to get someone to follow you.\Hey, you should be the commander. response:	What?
context: It's just that I can't allow her to run away from her responsibilities.\So you have changed.\Huh?\You, the old Commander, and the Dragon Princess.\You're born leaders.\You don't even have to say anything to get someone to follow you.\Hey, you should be the commander.\What? response:	You're used to being above people, aren't you, Burn Princess?
context: So you have changed.\Huh?\You, the old Commander, and the Dragon Princess.\You're born leaders.\You don't even have to say anything to get someone to follow you.\Hey, you should be the commander.\What?\You're used to being above people, aren't you, Burn Princess? response:	I don't mind, but...
context: Huh?\You, the old Commander, and the Dragon Princess.\You're born leaders.\You don't even have to say anything to get someone to follow you.\Hey, you should be the commander.\What?\You're used to being above people, aren't you, Burn Princess?\I don't mind, but... response:	I'm better off charging around with a gun.
context: You, the old Commander, and the Dragon Princess.\You're born leaders.\You don't even have to say anything to get someone to follow you.\Hey, you should be the commander.\What?\You're used to being above people, aren't you, Burn Princess?\I don't mind, but...\I'm better off charging around with a gun. response:	What are you sulking about, Hilda?
context: You're born leaders.\You don't even have to say anything to get someone to follow you.\Hey, you should be the commander.\What?\You're used to being above people, aren't you, Burn Princess?\I don't mind, but...\I'm better off charging around with a gun.\What are you sulking about, Hilda? response:	I-I'm not sulking.
context: You don't even have to say anything to get someone to follow you.\Hey, you should be the commander.\What?\You're used to being above people, aren't you, Burn Princess?\I don't mind, but...\I'm better off charging around with a gun.\What are you sulking about, Hilda?\I-I'm not sulking. response:	If you have something to say, just say it.
context: Hey, you should be the commander.\What?\You're used to being above people, aren't you, Burn Princess?\I don't mind, but...\I'm better off charging around with a gun.\What are you sulking about, Hilda?\I-I'm not sulking.\If you have something to say, just say it. response:	Hilda.
context: What?\You're used to being above people, aren't you, Burn Princess?\I don't mind, but...\I'm better off charging around with a gun.\What are you sulking about, Hilda?\I-I'm not sulking.\If you have something to say, just say it.\Hilda. response:	You'll hate me if I do.
context: You're used to being above people, aren't you, Burn Princess?\I don't mind, but...\I'm better off charging around with a gun.\What are you sulking about, Hilda?\I-I'm not sulking.\If you have something to say, just say it.\Hilda.\You'll hate me if I do. response:	Huh?
context: I don't mind, but...\I'm better off charging around with a gun.\What are you sulking about, Hilda?\I-I'm not sulking.\If you have something to say, just say it.\Hilda.\You'll hate me if I do.\Huh? response:	Ange...
context: I'm better off charging around with a gun.\What are you sulking about, Hilda?\I-I'm not sulking.\If you have something to say, just say it.\Hilda.\You'll hate me if I do.\Huh?\Ange... response:	You're my prince.
context: What are you sulking about, Hilda?\I-I'm not sulking.\If you have something to say, just say it.\Hilda.\You'll hate me if I do.\Huh?\Ange...\You're my prince. response:	Huh?
context: I-I'm not sulking.\If you have something to say, just say it.\Hilda.\You'll hate me if I do.\Huh?\Ange...\You're my prince.\Huh? response:	But you already have a friend that's a princess.
context: If you have something to say, just say it.\Hilda.\You'll hate me if I do.\Huh?\Ange...\You're my prince.\Huh?\But you already have a friend that's a princess. response:	And you have a man.
context: Hilda.\You'll hate me if I do.\Huh?\Ange...\You're my prince.\Huh?\But you already have a friend that's a princess.\And you have a man. response:	I know.
context: You'll hate me if I do.\Huh?\Ange...\You're my prince.\Huh?\But you already have a friend that's a princess.\And you have a man.\I know. response:	It's weird, isn't it? We're both women.
context: Huh?\Ange...\You're my prince.\Huh?\But you already have a friend that's a princess.\And you have a man.\I know.\It's weird, isn't it? We're both women. response:	The world's about to end, and I'm...
context: Ange...\You're my prince.\Huh?\But you already have a friend that's a princess.\And you have a man.\I know.\It's weird, isn't it? We're both women.\The world's about to end, and I'm... response:	Who says it's weird?
context: You're my prince.\Huh?\But you already have a friend that's a princess.\And you have a man.\I know.\It's weird, isn't it? We're both women.\The world's about to end, and I'm...\Who says it's weird? response:	That's the ridiculous world we're going to destroy together, isn't it?
context: Huh?\But you already have a friend that's a princess.\And you have a man.\I know.\It's weird, isn't it? We're both women.\The world's about to end, and I'm...\Who says it's weird?\That's the ridiculous world we're going to destroy together, isn't it? response:	I'll need you in the new world, too, Hilda.
context: But you already have a friend that's a princess.\And you have a man.\I know.\It's weird, isn't it? We're both women.\The world's about to end, and I'm...\Who says it's weird?\That's the ridiculous world we're going to destroy together, isn't it?\I'll need you in the new world, too, Hilda. response:	Ange.
context: And you have a man.\I know.\It's weird, isn't it? We're both women.\The world's about to end, and I'm...\Who says it's weird?\That's the ridiculous world we're going to destroy together, isn't it?\I'll need you in the new world, too, Hilda.\Ange. response:	Everyone, retreat!
context: I know.\It's weird, isn't it? We're both women.\The world's about to end, and I'm...\Who says it's weird?\That's the ridiculous world we're going to destroy together, isn't it?\I'll need you in the new world, too, Hilda.\Ange.\Everyone, retreat! response:	Retreat to the Tower of Aura!
context: It's weird, isn't it? We're both women.\The world's about to end, and I'm...\Who says it's weird?\That's the ridiculous world we're going to destroy together, isn't it?\I'll need you in the new world, too, Hilda.\Ange.\Everyone, retreat!\Retreat to the Tower of Aura! response:	This is for royalty only!
context: The world's about to end, and I'm...\Who says it's weird?\That's the ridiculous world we're going to destroy together, isn't it?\I'll need you in the new world, too, Hilda.\Ange.\Everyone, retreat!\Retreat to the Tower of Aura!\This is for royalty only! response:	Just let me on!
context: Who says it's weird?\That's the ridiculous world we're going to destroy together, isn't it?\I'll need you in the new world, too, Hilda.\Ange.\Everyone, retreat!\Retreat to the Tower of Aura!\This is for royalty only!\Just let me on! response:	The destruction of the old world is proceeding smoothly.
context: That's the ridiculous world we're going to destroy together, isn't it?\I'll need you in the new world, too, Hilda.\Ange.\Everyone, retreat!\Retreat to the Tower of Aura!\This is for royalty only!\Just let me on!\The destruction of the old world is proceeding smoothly. response:	I need you all to protect Aura until the space-time merger is complete.
context: I'll need you in the new world, too, Hilda.\Ange.\Everyone, retreat!\Retreat to the Tower of Aura!\This is for royalty only!\Just let me on!\The destruction of the old world is proceeding smoothly.\I need you all to protect Aura until the space-time merger is complete. response:	Got it?
context: Ange.\Everyone, retreat!\Retreat to the Tower of Aura!\This is for royalty only!\Just let me on!\The destruction of the old world is proceeding smoothly.\I need you all to protect Aura until the space-time merger is complete.\Got it? response:	Yes, master.
context: Everyone, retreat!\Retreat to the Tower of Aura!\This is for royalty only!\Just let me on!\The destruction of the old world is proceeding smoothly.\I need you all to protect Aura until the space-time merger is complete.\Got it?\Yes, master. response:	I heard from Sala-san earlier.
context: Retreat to the Tower of Aura!\This is for royalty only!\Just let me on!\The destruction of the old world is proceeding smoothly.\I need you all to protect Aura until the space-time merger is complete.\Got it?\Yes, master.\I heard from Sala-san earlier. response:	Aura and Aurora both mean light in the old language.
