context: Onii-chan! response:	Come on, how long are you going to stay in bed?
context: There's no way she'd come into my room like this to wake me up!\Onii-chan?\Basically, what I'm trying to say is...\There's no way my sister can be this cu\Alright, here's yours.\Where's Kirino?\She left already.\She has morning practice today. response:	I see.
context: Onii-chan?\Basically, what I'm trying to say is...\There's no way my sister can be this cu\Alright, here's yours.\Where's Kirino?\She left already.\She has morning practice today.\I see. response:	She broke her record again.
context: Basically, what I'm trying to say is...\There's no way my sister can be this cu\Alright, here's yours.\Where's Kirino?\She left already.\She has morning practice today.\I see.\She broke her record again. response:	They say she might be going to a big tournament soon!
context: There's no way my sister can be this cu\Alright, here's yours.\Where's Kirino?\She left already.\She has morning practice today.\I see.\She broke her record again.\They say she might be going to a big tournament soon! response:	I see.
context: Alright, here's yours.\Where's Kirino?\She left already.\She has morning practice today.\I see.\She broke her record again.\They say she might be going to a big tournament soon!\I see. response:	Thanks for the food.
context: Where's Kirino?\She left already.\She has morning practice today.\I see.\She broke her record again.\They say she might be going to a big tournament soon!\I see.\Thanks for the food. response:	I see is all you say these days!
context: She left already.\She has morning practice today.\I see.\She broke her record again.\They say she might be going to a big tournament soon!\I see.\Thanks for the food.\I see is all you say these days! response:	Morning, Kyou-chan!
context: She has morning practice today.\I see.\She broke her record again.\They say she might be going to a big tournament soon!\I see.\Thanks for the food.\I see is all you say these days!\Morning, Kyou-chan! response:	Kirino-chan had morning practice?
context: I see.\She broke her record again.\They say she might be going to a big tournament soon!\I see.\Thanks for the food.\I see is all you say these days!\Morning, Kyou-chan!\Kirino-chan had morning practice? response:	It's hard living in the shadow of an overachieving little sister.
context: She broke her record again.\They say she might be going to a big tournament soon!\I see.\Thanks for the food.\I see is all you say these days!\Morning, Kyou-chan!\Kirino-chan had morning practice?\It's hard living in the shadow of an overachieving little sister. response:	She's smart and pretty too.
context: They say she might be going to a big tournament soon!\I see.\Thanks for the food.\I see is all you say these days!\Morning, Kyou-chan!\Kirino-chan had morning practice?\It's hard living in the shadow of an overachieving little sister.\She's smart and pretty too. response:	Everyone in the shopping district talks about her.
context: I see.\Thanks for the food.\I see is all you say these days!\Morning, Kyou-chan!\Kirino-chan had morning practice?\It's hard living in the shadow of an overachieving little sister.\She's smart and pretty too.\Everyone in the shopping district talks about her. response:	So I'm being shamed at a town level?
context: Thanks for the food.\I see is all you say these days!\Morning, Kyou-chan!\Kirino-chan had morning practice?\It's hard living in the shadow of an overachieving little sister.\She's smart and pretty too.\Everyone in the shopping district talks about her.\So I'm being shamed at a town level? response:	I just want to live my life out quietly...
context: I see is all you say these days!\Morning, Kyou-chan!\Kirino-chan had morning practice?\It's hard living in the shadow of an overachieving little sister.\She's smart and pretty too.\Everyone in the shopping district talks about her.\So I'm being shamed at a town level?\I just want to live my life out quietly... response:	Normal is best for us humans.
context: Morning, Kyou-chan!\Kirino-chan had morning practice?\It's hard living in the shadow of an overachieving little sister.\She's smart and pretty too.\Everyone in the shopping district talks about her.\So I'm being shamed at a town level?\I just want to live my life out quietly...\Normal is best for us humans. response:	Mundane, ordinary, or like the majority.
context: Kirino-chan had morning practice?\It's hard living in the shadow of an overachieving little sister.\She's smart and pretty too.\Everyone in the shopping district talks about her.\So I'm being shamed at a town level?\I just want to live my life out quietly...\Normal is best for us humans.\Mundane, ordinary, or like the majority. response:	By that definition, you're perfect.
context: It's hard living in the shadow of an overachieving little sister.\She's smart and pretty too.\Everyone in the shopping district talks about her.\So I'm being shamed at a town level?\I just want to live my life out quietly...\Normal is best for us humans.\Mundane, ordinary, or like the majority.\By that definition, you're perfect. response:	If there were a Miss Normal contest, you'd easily take first place.
context: She's smart and pretty too.\Everyone in the shopping district talks about her.\So I'm being shamed at a town level?\I just want to live my life out quietly...\Normal is best for us humans.\Mundane, ordinary, or like the majority.\By that definition, you're perfect.\If there were a Miss Normal contest, you'd easily take first place. response:	The Normal Queen.
context: Everyone in the shopping district talks about her.\So I'm being shamed at a town level?\I just want to live my life out quietly...\Normal is best for us humans.\Mundane, ordinary, or like the majority.\By that definition, you're perfect.\If there were a Miss Normal contest, you'd easily take first place.\The Normal Queen. response:	Really? How embarrassing...
context: So I'm being shamed at a town level?\I just want to live my life out quietly...\Normal is best for us humans.\Mundane, ordinary, or like the majority.\By that definition, you're perfect.\If there were a Miss Normal contest, you'd easily take first place.\The Normal Queen.\Really? How embarrassing... response:	No, that wasn't really a compliment.
context: I just want to live my life out quietly...\Normal is best for us humans.\Mundane, ordinary, or like the majority.\By that definition, you're perfect.\If there were a Miss Normal contest, you'd easily take first place.\The Normal Queen.\Really? How embarrassing...\No, that wasn't really a compliment. response:	Take your seats.
context: Normal is best for us humans.\Mundane, ordinary, or like the majority.\By that definition, you're perfect.\If there were a Miss Normal contest, you'd easily take first place.\The Normal Queen.\Really? How embarrassing...\No, that wasn't really a compliment.\Take your seats. response:	We're starting homeroom.
context: Mundane, ordinary, or like the majority.\By that definition, you're perfect.\If there were a Miss Normal contest, you'd easily take first place.\The Normal Queen.\Really? How embarrassing...\No, that wasn't really a compliment.\Take your seats.\We're starting homeroom. response:	Bring me a tree of sleet, will you, Kenji?
context: By that definition, you're perfect.\If there were a Miss Normal contest, you'd easily take first place.\The Normal Queen.\Really? How embarrassing...\No, that wasn't really a compliment.\Take your seats.\We're starting homeroom.\Bring me a tree of sleet, will you, Kenji? response:	This line is from Miyazawa Kenji's Morning of Final Farewell, which was written for his sister.
context: If there were a Miss Normal contest, you'd easily take first place.\The Normal Queen.\Really? How embarrassing...\No, that wasn't really a compliment.\Take your seats.\We're starting homeroom.\Bring me a tree of sleet, will you, Kenji?\This line is from Miyazawa Kenji's Morning of Final Farewell, which was written for his sister. response:	It means Please bring me a tree of rain”.
context: The Normal Queen.\Really? How embarrassing...\No, that wasn't really a compliment.\Take your seats.\We're starting homeroom.\Bring me a tree of sleet, will you, Kenji?\This line is from Miyazawa Kenji's Morning of Final Farewell, which was written for his sister.\It means Please bring me a tree of rain”. response:	Biographers of his life say that his sister was a major influence in his life.
context: Really? How embarrassing...\No, that wasn't really a compliment.\Take your seats.\We're starting homeroom.\Bring me a tree of sleet, will you, Kenji?\This line is from Miyazawa Kenji's Morning of Final Farewell, which was written for his sister.\It means Please bring me a tree of rain”.\Biographers of his life say that his sister was a major influence in his life. response:	Good, now in Japanese.
context: No, that wasn't really a compliment.\Take your seats.\We're starting homeroom.\Bring me a tree of sleet, will you, Kenji?\This line is from Miyazawa Kenji's Morning of Final Farewell, which was written for his sister.\It means Please bring me a tree of rain”.\Biographers of his life say that his sister was a major influence in his life.\Good, now in Japanese. response:	Instead of George driving was his little sister.
context: Take your seats.\We're starting homeroom.\Bring me a tree of sleet, will you, Kenji?\This line is from Miyazawa Kenji's Morning of Final Farewell, which was written for his sister.\It means Please bring me a tree of rain”.\Biographers of his life say that his sister was a major influence in his life.\Good, now in Japanese.\Instead of George driving was his little sister. response:	And so Ono no Imoko was the one who delivered Prince Shoutoku's famous Son of Heaven from the Land of the Rising Sun letter.
context: We're starting homeroom.\Bring me a tree of sleet, will you, Kenji?\This line is from Miyazawa Kenji's Morning of Final Farewell, which was written for his sister.\It means Please bring me a tree of rain”.\Biographers of his life say that his sister was a major influence in his life.\Good, now in Japanese.\Instead of George driving was his little sister.\And so Ono no Imoko was the one who delivered Prince Shoutoku's famous Son of Heaven from the Land of the Rising Sun letter. response:	Bye bye!
context: Bring me a tree of sleet, will you, Kenji?\This line is from Miyazawa Kenji's Morning of Final Farewell, which was written for his sister.\It means Please bring me a tree of rain”.\Biographers of his life say that his sister was a major influence in his life.\Good, now in Japanese.\Instead of George driving was his little sister.\And so Ono no Imoko was the one who delivered Prince Shoutoku's famous Son of Heaven from the Land of the Rising Sun letter.\Bye bye! response:	What the hell was with today?
context: This line is from Miyazawa Kenji's Morning of Final Farewell, which was written for his sister.\It means Please bring me a tree of rain”.\Biographers of his life say that his sister was a major influence in his life.\Good, now in Japanese.\Instead of George driving was his little sister.\And so Ono no Imoko was the one who delivered Prince Shoutoku's famous Son of Heaven from the Land of the Rising Sun letter.\Bye bye!\What the hell was with today? response:	Some international little sister appreciation day?
context: It means Please bring me a tree of rain”.\Biographers of his life say that his sister was a major influence in his life.\Good, now in Japanese.\Instead of George driving was his little sister.\And so Ono no Imoko was the one who delivered Prince Shoutoku's famous Son of Heaven from the Land of the Rising Sun letter.\Bye bye!\What the hell was with today?\Some international little sister appreciation day? response:	What?
context: Biographers of his life say that his sister was a major influence in his life.\Good, now in Japanese.\Instead of George driving was his little sister.\And so Ono no Imoko was the one who delivered Prince Shoutoku's famous Son of Heaven from the Land of the Rising Sun letter.\Bye bye!\What the hell was with today?\Some international little sister appreciation day?\What? response:	Nothing.
context: Good, now in Japanese.\Instead of George driving was his little sister.\And so Ono no Imoko was the one who delivered Prince Shoutoku's famous Son of Heaven from the Land of the Rising Sun letter.\Bye bye!\What the hell was with today?\Some international little sister appreciation day?\What?\Nothing. response:	See you tomorrow!
context: Instead of George driving was his little sister.\And so Ono no Imoko was the one who delivered Prince Shoutoku's famous Son of Heaven from the Land of the Rising Sun letter.\Bye bye!\What the hell was with today?\Some international little sister appreciation day?\What?\Nothing.\See you tomorrow! response:	Yeah.
context: And so Ono no Imoko was the one who delivered Prince Shoutoku's famous Son of Heaven from the Land of the Rising Sun letter.\Bye bye!\What the hell was with today?\Some international little sister appreciation day?\What?\Nothing.\See you tomorrow!\Yeah. response:	Yeah, I went there too!
context: Bye bye!\What the hell was with today?\Some international little sister appreciation day?\What?\Nothing.\See you tomorrow!\Yeah.\Yeah, I went there too! response:	That place is crazy!
context: What the hell was with today?\Some international little sister appreciation day?\What?\Nothing.\See you tomorrow!\Yeah.\Yeah, I went there too!\That place is crazy! response:	But don't you think the service sucks?
context: Some international little sister appreciation day?\What?\Nothing.\See you tomorrow!\Yeah.\Yeah, I went there too!\That place is crazy!\But don't you think the service sucks? response:	They ignored me the first time.
context: What?\Nothing.\See you tomorrow!\Yeah.\Yeah, I went there too!\That place is crazy!\But don't you think the service sucks?\They ignored me the first time. response:	You too, Ayase?
context: Nothing.\See you tomorrow!\Yeah.\Yeah, I went there too!\That place is crazy!\But don't you think the service sucks?\They ignored me the first time.\You too, Ayase? response:	Yeah, the one with the fat legs!
context: See you tomorrow!\Yeah.\Yeah, I went there too!\That place is crazy!\But don't you think the service sucks?\They ignored me the first time.\You too, Ayase?\Yeah, the one with the fat legs! response:	What? That's so dumb!
context: Yeah.\Yeah, I went there too!\That place is crazy!\But don't you think the service sucks?\They ignored me the first time.\You too, Ayase?\Yeah, the one with the fat legs!\What? That's so dumb! response:	I'm back.
context: Yeah, I went there too!\That place is crazy!\But don't you think the service sucks?\They ignored me the first time.\You too, Ayase?\Yeah, the one with the fat legs!\What? That's so dumb!\I'm back. response:	No way, the other one!
context: That place is crazy!\But don't you think the service sucks?\They ignored me the first time.\You too, Ayase?\Yeah, the one with the fat legs!\What? That's so dumb!\I'm back.\No way, the other one! response:	You know, the place Kanako told us about!
context: But don't you think the service sucks?\They ignored me the first time.\You too, Ayase?\Yeah, the one with the fat legs!\What? That's so dumb!\I'm back.\No way, the other one!\You know, the place Kanako told us about! response:	Oh, what was it again...
context: They ignored me the first time.\You too, Ayase?\Yeah, the one with the fat legs!\What? That's so dumb!\I'm back.\No way, the other one!\You know, the place Kanako told us about!\Oh, what was it again... response:	Yeah!
context: You too, Ayase?\Yeah, the one with the fat legs!\What? That's so dumb!\I'm back.\No way, the other one!\You know, the place Kanako told us about!\Oh, what was it again...\Yeah! response:	Yeah.
context: Yeah, the one with the fat legs!\What? That's so dumb!\I'm back.\No way, the other one!\You know, the place Kanako told us about!\Oh, what was it again...\Yeah!\Yeah. response:	You don't remember?
context: What? That's so dumb!\I'm back.\No way, the other one!\You know, the place Kanako told us about!\Oh, what was it again...\Yeah!\Yeah.\You don't remember? response:	We went there together after the shoot!
context: I'm back.\No way, the other one!\You know, the place Kanako told us about!\Oh, what was it again...\Yeah!\Yeah.\You don't remember?\We went there together after the shoot! response:	Wasn't it in May?
context: No way, the other one!\You know, the place Kanako told us about!\Oh, what was it again...\Yeah!\Yeah.\You don't remember?\We went there together after the shoot!\Wasn't it in May? response:	Yeah...
context: You know, the place Kanako told us about!\Oh, what was it again...\Yeah!\Yeah.\You don't remember?\We went there together after the shoot!\Wasn't it in May?\Yeah... response:	Yeah.
context: Oh, what was it again...\Yeah!\Yeah.\You don't remember?\We went there together after the shoot!\Wasn't it in May?\Yeah...\Yeah. response:	That's okay, I'll take you there.
context: Yeah!\Yeah.\You don't remember?\We went there together after the shoot!\Wasn't it in May?\Yeah...\Yeah.\That's okay, I'll take you there. response:	Oh, it's today?
context: Yeah.\You don't remember?\We went there together after the shoot!\Wasn't it in May?\Yeah...\Yeah.\That's okay, I'll take you there.\Oh, it's today? response:	Sorry.
context: You don't remember?\We went there together after the shoot!\Wasn't it in May?\Yeah...\Yeah.\That's okay, I'll take you there.\Oh, it's today?\Sorry. response:	Don't touch it!
context: We went there together after the shoot!\Wasn't it in May?\Yeah...\Yeah.\That's okay, I'll take you there.\Oh, it's today?\Sorry.\Don't touch it! response:	I'm going out.
context: Wasn't it in May?\Yeah...\Yeah.\That's okay, I'll take you there.\Oh, it's today?\Sorry.\Don't touch it!\I'm going out. response:	What the hell.
context: Yeah...\Yeah.\That's okay, I'll take you there.\Oh, it's today?\Sorry.\Don't touch it!\I'm going out.\What the hell. response:	What?
context: Yeah.\That's okay, I'll take you there.\Oh, it's today?\Sorry.\Don't touch it!\I'm going out.\What the hell.\What? response:	Why is her hair pink?
context: That's okay, I'll take you there.\Oh, it's today?\Sorry.\Don't touch it!\I'm going out.\What the hell.\What?\Why is her hair pink? response:	I'm home!
context: Oh, it's today?\Sorry.\Don't touch it!\I'm going out.\What the hell.\What?\Why is her hair pink?\I'm home! response:	What's wrong, Kyousuke?
context: Sorry.\Don't touch it!\I'm going out.\What the hell.\What?\Why is her hair pink?\I'm home!\What's wrong, Kyousuke? response:	What's with the fetal position?
context: Don't touch it!\I'm going out.\What the hell.\What?\Why is her hair pink?\I'm home!\What's wrong, Kyousuke?\What's with the fetal position? response:	Don't mind me.
context: I'm going out.\What the hell.\What?\Why is her hair pink?\I'm home!\What's wrong, Kyousuke?\What's with the fetal position?\Don't mind me. response:	I just felt like a change of pace.
context: What the hell.\What?\Why is her hair pink?\I'm home!\What's wrong, Kyousuke?\What's with the fetal position?\Don't mind me.\I just felt like a change of pace. response:	Oh?
context: What?\Why is her hair pink?\I'm home!\What's wrong, Kyousuke?\What's with the fetal position?\Don't mind me.\I just felt like a change of pace.\Oh? response:	I almost died as a member of society there...
context: Why is her hair pink?\I'm home!\What's wrong, Kyousuke?\What's with the fetal position?\Don't mind me.\I just felt like a change of pace.\Oh?\I almost died as a member of society there... response:	So whose is this?
context: I'm home!\What's wrong, Kyousuke?\What's with the fetal position?\Don't mind me.\I just felt like a change of pace.\Oh?\I almost died as a member of society there...\So whose is this? response:	Dad's?
context: What's wrong, Kyousuke?\What's with the fetal position?\Don't mind me.\I just felt like a change of pace.\Oh?\I almost died as a member of society there...\So whose is this?\Dad's? response:	Mom's?
context: What's with the fetal position?\Don't mind me.\I just felt like a change of pace.\Oh?\I almost died as a member of society there...\So whose is this?\Dad's?\Mom's? response:	Kirino's?
context: Don't mind me.\I just felt like a change of pace.\Oh?\I almost died as a member of society there...\So whose is this?\Dad's?\Mom's?\Kirino's? response:	None of them seem to fit...
context: I just felt like a change of pace.\Oh?\I almost died as a member of society there...\So whose is this?\Dad's?\Mom's?\Kirino's?\None of them seem to fit... response:	Make Love with Little Sister! Limited First Edition
context: Oh?\I almost died as a member of society there...\So whose is this?\Dad's?\Mom's?\Kirino's?\None of them seem to fit...\Make Love with Little Sister! Limited First Edition response:	Stardust Witch...
context: I almost died as a member of society there...\So whose is this?\Dad's?\Mom's?\Kirino's?\None of them seem to fit...\Make Love with Little Sister! Limited First Edition\Stardust Witch... response:	Little Sister...
context: So whose is this?\Dad's?\Mom's?\Kirino's?\None of them seem to fit...\Make Love with Little Sister! Limited First Edition\Stardust Witch...\Little Sister... response:	Meruru...
context: Dad's?\Mom's?\Kirino's?\None of them seem to fit...\Make Love with Little Sister! Limited First Edition\Stardust Witch...\Little Sister...\Meruru... response:	Make Love...
context: Mom's?\Kirino's?\None of them seem to fit...\Make Love with Little Sister! Limited First Edition\Stardust Witch...\Little Sister...\Meruru...\Make Love... response:	Limited Edition...
context: Kirino's?\None of them seem to fit...\Make Love with Little Sister! Limited First Edition\Stardust Witch...\Little Sister...\Meruru...\Make Love...\Limited Edition... response:	R-18...
context: None of them seem to fit...\Make Love with Little Sister! Limited First Edition\Stardust Witch...\Little Sister...\Meruru...\Make Love...\Limited Edition...\R-18... response:	I make some pretty crazy mistakes!
context: Make Love with Little Sister! Limited First Edition\Stardust Witch...\Little Sister...\Meruru...\Make Love...\Limited Edition...\R-18...\I make some pretty crazy mistakes! response:	I grabbed the nearest case while I was putting away this CD and switched the contents!
context: Stardust Witch...\Little Sister...\Meruru...\Make Love...\Limited Edition...\R-18...\I make some pretty crazy mistakes!\I grabbed the nearest case while I was putting away this CD and switched the contents! response:	What the hell?!
context: Little Sister...\Meruru...\Make Love...\Limited Edition...\R-18...\I make some pretty crazy mistakes!\I grabbed the nearest case while I was putting away this CD and switched the contents!\What the hell?! response:	Make Love? With Little Sister?
context: Meruru...\Make Love...\Limited Edition...\R-18...\I make some pretty crazy mistakes!\I grabbed the nearest case while I was putting away this CD and switched the contents!\What the hell?!\Make Love? With Little Sister? response:	Like hell!!
context: Make Love...\Limited Edition...\R-18...\I make some pretty crazy mistakes!\I grabbed the nearest case while I was putting away this CD and switched the contents!\What the hell?!\Make Love? With Little Sister?\Like hell!! response:	What the hell do you want me to do?!
context: Limited Edition...\R-18...\I make some pretty crazy mistakes!\I grabbed the nearest case while I was putting away this CD and switched the contents!\What the hell?!\Make Love? With Little Sister?\Like hell!!\What the hell do you want me to do?! response:	And R-18?!
context: R-18...\I make some pretty crazy mistakes!\I grabbed the nearest case while I was putting away this CD and switched the contents!\What the hell?!\Make Love? With Little Sister?\Like hell!!\What the hell do you want me to do?!\And R-18?! response:	This is an eroge, dammit!!
context: I make some pretty crazy mistakes!\I grabbed the nearest case while I was putting away this CD and switched the contents!\What the hell?!\Make Love? With Little Sister?\Like hell!!\What the hell do you want me to do?!\And R-18?!\This is an eroge, dammit!! response:	Kyousuke! Weren't the dirty magazines you hide under your bed good enough for you?
context: I grabbed the nearest case while I was putting away this CD and switched the contents!\What the hell?!\Make Love? With Little Sister?\Like hell!!\What the hell do you want me to do?!\And R-18?!\This is an eroge, dammit!!\Kyousuke! Weren't the dirty magazines you hide under your bed good enough for you? response:	You're kidding me. That's seriously gross.
context: What the hell?!\Make Love? With Little Sister?\Like hell!!\What the hell do you want me to do?!\And R-18?!\This is an eroge, dammit!!\Kyousuke! Weren't the dirty magazines you hide under your bed good enough for you?\You're kidding me. That's seriously gross. response:	Die.
context: Make Love? With Little Sister?\Like hell!!\What the hell do you want me to do?!\And R-18?!\This is an eroge, dammit!!\Kyousuke! Weren't the dirty magazines you hide under your bed good enough for you?\You're kidding me. That's seriously gross.\Die. response:	This is seriously bad...
context: Like hell!!\What the hell do you want me to do?!\And R-18?!\This is an eroge, dammit!!\Kyousuke! Weren't the dirty magazines you hide under your bed good enough for you?\You're kidding me. That's seriously gross.\Die.\This is seriously bad... response:	If I'm caught with this...
context: What the hell do you want me to do?!\And R-18?!\This is an eroge, dammit!!\Kyousuke! Weren't the dirty magazines you hide under your bed good enough for you?\You're kidding me. That's seriously gross.\Die.\This is seriously bad...\If I'm caught with this... response:	Kyousuke!
context: And R-18?!\This is an eroge, dammit!!\Kyousuke! Weren't the dirty magazines you hide under your bed good enough for you?\You're kidding me. That's seriously gross.\Die.\This is seriously bad...\If I'm caught with this...\Kyousuke! response:	Are you study
context: This is an eroge, dammit!!\Kyousuke! Weren't the dirty magazines you hide under your bed good enough for you?\You're kidding me. That's seriously gross.\Die.\This is seriously bad...\If I'm caught with this...\Kyousuke!\Are you study response:	ing?
context: Kyousuke! Weren't the dirty magazines you hide under your bed good enough for you?\You're kidding me. That's seriously gross.\Die.\This is seriously bad...\If I'm caught with this...\Kyousuke!\Are you study\ing? response:	Did I come at a bad time?
context: You're kidding me. That's seriously gross.\Die.\This is seriously bad...\If I'm caught with this...\Kyousuke!\Are you study\ing?\Did I come at a bad time? response:	Never mind me!
context: Die.\This is seriously bad...\If I'm caught with this...\Kyousuke!\Are you study\ing?\Did I come at a bad time?\Never mind me! response:	I'm just training my voice box!
context: This is seriously bad...\If I'm caught with this...\Kyousuke!\Are you study\ing?\Did I come at a bad time?\Never mind me!\I'm just training my voice box! response:	And knock next time!!
context: If I'm caught with this...\Kyousuke!\Are you study\ing?\Did I come at a bad time?\Never mind me!\I'm just training my voice box!\And knock next time!! response:	Sorry!
context: Kyousuke!\Are you study\ing?\Did I come at a bad time?\Never mind me!\I'm just training my voice box!\And knock next time!!\Sorry! response:	I am definitely going to find out who the real culprit is!
context: Are you study\ing?\Did I come at a bad time?\Never mind me!\I'm just training my voice box!\And knock next time!!\Sorry!\I am definitely going to find out who the real culprit is! response:	What are you doing?
context: ing?\Did I come at a bad time?\Never mind me!\I'm just training my voice box!\And knock next time!!\Sorry!\I am definitely going to find out who the real culprit is!\What are you doing? response:	Huh?
context: Did I come at a bad time?\Never mind me!\I'm just training my voice box!\And knock next time!!\Sorry!\I am definitely going to find out who the real culprit is!\What are you doing?\Huh? response:	None of your business.
context: Never mind me!\I'm just training my voice box!\And knock next time!!\Sorry!\I am definitely going to find out who the real culprit is!\What are you doing?\Huh?\None of your business. response:	That so?
context: I'm just training my voice box!\And knock next time!!\Sorry!\I am definitely going to find out who the real culprit is!\What are you doing?\Huh?\None of your business.\That so? response:	At this moment, the suspect is obstructing justice by maintaining silence.
context: And knock next time!!\Sorry!\I am definitely going to find out who the real culprit is!\What are you doing?\Huh?\None of your business.\That so?\At this moment, the suspect is obstructing justice by maintaining silence. response:	I'm going to the convenience store later. Need anything?
context: Sorry!\I am definitely going to find out who the real culprit is!\What are you doing?\Huh?\None of your business.\That so?\At this moment, the suspect is obstructing justice by maintaining silence.\I'm going to the convenience store later. Need anything? response:	Get me some ice cream.
context: I am definitely going to find out who the real culprit is!\What are you doing?\Huh?\None of your business.\That so?\At this moment, the suspect is obstructing justice by maintaining silence.\I'm going to the convenience store later. Need anything?\Get me some ice cream. response:	The culprit is among us!
context: What are you doing?\Huh?\None of your business.\That so?\At this moment, the suspect is obstructing justice by maintaining silence.\I'm going to the convenience store later. Need anything?\Get me some ice cream.\The culprit is among us! response:	Oh yeah, a friend of mine got really into this anime aimed at girls recently.
context: Huh?\None of your business.\That so?\At this moment, the suspect is obstructing justice by maintaining silence.\I'm going to the convenience store later. Need anything?\Get me some ice cream.\The culprit is among us!\Oh yeah, a friend of mine got really into this anime aimed at girls recently. response:	Stardust or something.
context: None of your business.\That so?\At this moment, the suspect is obstructing justice by maintaining silence.\I'm going to the convenience store later. Need anything?\Get me some ice cream.\The culprit is among us!\Oh yeah, a friend of mine got really into this anime aimed at girls recently.\Stardust or something. response:	What are you talking about?
context: That so?\At this moment, the suspect is obstructing justice by maintaining silence.\I'm going to the convenience store later. Need anything?\Get me some ice cream.\The culprit is among us!\Oh yeah, a friend of mine got really into this anime aimed at girls recently.\Stardust or something.\What are you talking about? response:	Well it sounded interesting, so I thought I might try it.
context: At this moment, the suspect is obstructing justice by maintaining silence.\I'm going to the convenience store later. Need anything?\Get me some ice cream.\The culprit is among us!\Oh yeah, a friend of mine got really into this anime aimed at girls recently.\Stardust or something.\What are you talking about?\Well it sounded interesting, so I thought I might try it. response:	Isn't that what those otaku people watch?
