context: Weve fought under gravity several times now, remember? response:	You judge a man by his looks”!
context: Delish! Ashagi, ish dis your weal calling in life?\Why are you eating?\The operation has already started!\Im bored stiff after all of this waiting.\Hey, Izuru! How was your date with Teoria?\How,” huh? Everyone saw how it went down, right?\We only got to talk for a bit before I was summoned.\But-but a date is still a date! response:	You suddenly grew closer or something along those lines, right?
context: Why are you eating?\The operation has already started!\Im bored stiff after all of this waiting.\Hey, Izuru! How was your date with Teoria?\How,” huh? Everyone saw how it went down, right?\We only got to talk for a bit before I was summoned.\But-but a date is still a date!\You suddenly grew closer or something along those lines, right? response:	Well, Ill admit I do think weve grown closer.
context: The operation has already started!\Im bored stiff after all of this waiting.\Hey, Izuru! How was your date with Teoria?\How,” huh? Everyone saw how it went down, right?\We only got to talk for a bit before I was summoned.\But-but a date is still a date!\You suddenly grew closer or something along those lines, right?\Well, Ill admit I do think weve grown closer. response:	Ange is running late!
context: Im bored stiff after all of this waiting.\Hey, Izuru! How was your date with Teoria?\How,” huh? Everyone saw how it went down, right?\We only got to talk for a bit before I was summoned.\But-but a date is still a date!\You suddenly grew closer or something along those lines, right?\Well, Ill admit I do think weve grown closer.\Ange is running late! response:	What could be keeping her?
context: Hey, Izuru! How was your date with Teoria?\How,” huh? Everyone saw how it went down, right?\We only got to talk for a bit before I was summoned.\But-but a date is still a date!\You suddenly grew closer or something along those lines, right?\Well, Ill admit I do think weve grown closer.\Ange is running late!\What could be keeping her? response:	Black 6 is already in position to sortie and will be
context: How,” huh? Everyone saw how it went down, right?\We only got to talk for a bit before I was summoned.\But-but a date is still a date!\You suddenly grew closer or something along those lines, right?\Well, Ill admit I do think weve grown closer.\Ange is running late!\What could be keeping her?\Black 6 is already in position to sortie and will be response:	working independently of you.
context: We only got to talk for a bit before I was summoned.\But-but a date is still a date!\You suddenly grew closer or something along those lines, right?\Well, Ill admit I do think weve grown closer.\Ange is running late!\What could be keeping her?\Black 6 is already in position to sortie and will be\working independently of you. response:	We just received an emergency call from Captain Amane.
context: But-but a date is still a date!\You suddenly grew closer or something along those lines, right?\Well, Ill admit I do think weve grown closer.\Ange is running late!\What could be keeping her?\Black 6 is already in position to sortie and will be\working independently of you.\We just received an emergency call from Captain Amane. response:	Our vessel will change its current course and return to Earth.
context: You suddenly grew closer or something along those lines, right?\Well, Ill admit I do think weve grown closer.\Ange is running late!\What could be keeping her?\Black 6 is already in position to sortie and will be\working independently of you.\We just received an emergency call from Captain Amane.\Our vessel will change its current course and return to Earth. response:	However, Black 6 will continue to head toward the frontlines.
context: Well, Ill admit I do think weve grown closer.\Ange is running late!\What could be keeping her?\Black 6 is already in position to sortie and will be\working independently of you.\We just received an emergency call from Captain Amane.\Our vessel will change its current course and return to Earth.\However, Black 6 will continue to head toward the frontlines. response:	Weve identified an enemy detachment headed for Earth.
context: Ange is running late!\What could be keeping her?\Black 6 is already in position to sortie and will be\working independently of you.\We just received an emergency call from Captain Amane.\Our vessel will change its current course and return to Earth.\However, Black 6 will continue to head toward the frontlines.\Weve identified an enemy detachment headed for Earth. response:	We believe they are targeting Gurantseere Cosmopolitan Academy.
context: What could be keeping her?\Black 6 is already in position to sortie and will be\working independently of you.\We just received an emergency call from Captain Amane.\Our vessel will change its current course and return to Earth.\However, Black 6 will continue to head toward the frontlines.\Weve identified an enemy detachment headed for Earth.\We believe they are targeting Gurantseere Cosmopolitan Academy. response:	Our school...?
context: Black 6 is already in position to sortie and will be\working independently of you.\We just received an emergency call from Captain Amane.\Our vessel will change its current course and return to Earth.\However, Black 6 will continue to head toward the frontlines.\Weve identified an enemy detachment headed for Earth.\We believe they are targeting Gurantseere Cosmopolitan Academy.\Our school...? response:	The allied armies of Bela-Russia,
context: working independently of you.\We just received an emergency call from Captain Amane.\Our vessel will change its current course and return to Earth.\However, Black 6 will continue to head toward the frontlines.\Weve identified an enemy detachment headed for Earth.\We believe they are targeting Gurantseere Cosmopolitan Academy.\Our school...?\The allied armies of Bela-Russia, response:	the Great Chinese Alliance and the MJP
context: We just received an emergency call from Captain Amane.\Our vessel will change its current course and return to Earth.\However, Black 6 will continue to head toward the frontlines.\Weve identified an enemy detachment headed for Earth.\We believe they are targeting Gurantseere Cosmopolitan Academy.\Our school...?\The allied armies of Bela-Russia,\the Great Chinese Alliance and the MJP response:	are currently fighting the Wulgaru fleet that
context: Our vessel will change its current course and return to Earth.\However, Black 6 will continue to head toward the frontlines.\Weve identified an enemy detachment headed for Earth.\We believe they are targeting Gurantseere Cosmopolitan Academy.\Our school...?\The allied armies of Bela-Russia,\the Great Chinese Alliance and the MJP\are currently fighting the Wulgaru fleet that response:	has broken past the absolute defense zone.
context: However, Black 6 will continue to head toward the frontlines.\Weve identified an enemy detachment headed for Earth.\We believe they are targeting Gurantseere Cosmopolitan Academy.\Our school...?\The allied armies of Bela-Russia,\the Great Chinese Alliance and the MJP\are currently fighting the Wulgaru fleet that\has broken past the absolute defense zone. response:	However, we noticed a detachment
context: Weve identified an enemy detachment headed for Earth.\We believe they are targeting Gurantseere Cosmopolitan Academy.\Our school...?\The allied armies of Bela-Russia,\the Great Chinese Alliance and the MJP\are currently fighting the Wulgaru fleet that\has broken past the absolute defense zone.\However, we noticed a detachment response:	that is acting independently of the main fleet.
context: We believe they are targeting Gurantseere Cosmopolitan Academy.\Our school...?\The allied armies of Bela-Russia,\the Great Chinese Alliance and the MJP\are currently fighting the Wulgaru fleet that\has broken past the absolute defense zone.\However, we noticed a detachment\that is acting independently of the main fleet. response:	Here is an image of the enemy squad headed toward Earth.
context: Our school...?\The allied armies of Bela-Russia,\the Great Chinese Alliance and the MJP\are currently fighting the Wulgaru fleet that\has broken past the absolute defense zone.\However, we noticed a detachment\that is acting independently of the main fleet.\Here is an image of the enemy squad headed toward Earth. response:	Its a small group...
context: The allied armies of Bela-Russia,\the Great Chinese Alliance and the MJP\are currently fighting the Wulgaru fleet that\has broken past the absolute defense zone.\However, we noticed a detachment\that is acting independently of the main fleet.\Here is an image of the enemy squad headed toward Earth.\Its a small group... response:	Doesnt the fighter in front
context: the Great Chinese Alliance and the MJP\are currently fighting the Wulgaru fleet that\has broken past the absolute defense zone.\However, we noticed a detachment\that is acting independently of the main fleet.\Here is an image of the enemy squad headed toward Earth.\Its a small group...\Doesnt the fighter in front response:	look like the one Ange just recently thrashed?
context: are currently fighting the Wulgaru fleet that\has broken past the absolute defense zone.\However, we noticed a detachment\that is acting independently of the main fleet.\Here is an image of the enemy squad headed toward Earth.\Its a small group...\Doesnt the fighter in front\look like the one Ange just recently thrashed? response:	Why are they going after the academy?
context: has broken past the absolute defense zone.\However, we noticed a detachment\that is acting independently of the main fleet.\Here is an image of the enemy squad headed toward Earth.\Its a small group...\Doesnt the fighter in front\look like the one Ange just recently thrashed?\Why are they going after the academy? response:	According to Commander Simon,
context: However, we noticed a detachment\that is acting independently of the main fleet.\Here is an image of the enemy squad headed toward Earth.\Its a small group...\Doesnt the fighter in front\look like the one Ange just recently thrashed?\Why are they going after the academy?\According to Commander Simon, response:	they probably intend to steal some DNA samples from the school.
context: that is acting independently of the main fleet.\Here is an image of the enemy squad headed toward Earth.\Its a small group...\Doesnt the fighter in front\look like the one Ange just recently thrashed?\Why are they going after the academy?\According to Commander Simon,\they probably intend to steal some DNA samples from the school. response:	There are signs that the enemy stole a
context: Here is an image of the enemy squad headed toward Earth.\Its a small group...\Doesnt the fighter in front\look like the one Ange just recently thrashed?\Why are they going after the academy?\According to Commander Simon,\they probably intend to steal some DNA samples from the school.\There are signs that the enemy stole a response:	vast amount of Earths data the other day.
context: Its a small group...\Doesnt the fighter in front\look like the one Ange just recently thrashed?\Why are they going after the academy?\According to Commander Simon,\they probably intend to steal some DNA samples from the school.\There are signs that the enemy stole a\vast amount of Earths data the other day. response:	This attack is probably related to the information they obtained.
context: Doesnt the fighter in front\look like the one Ange just recently thrashed?\Why are they going after the academy?\According to Commander Simon,\they probably intend to steal some DNA samples from the school.\There are signs that the enemy stole a\vast amount of Earths data the other day.\This attack is probably related to the information they obtained. response:	At the moment, our vessel is the closest one to Earth.
context: look like the one Ange just recently thrashed?\Why are they going after the academy?\According to Commander Simon,\they probably intend to steal some DNA samples from the school.\There are signs that the enemy stole a\vast amount of Earths data the other day.\This attack is probably related to the information they obtained.\At the moment, our vessel is the closest one to Earth. response:	Earth will also launch their reserve fleet.
context: Why are they going after the academy?\According to Commander Simon,\they probably intend to steal some DNA samples from the school.\There are signs that the enemy stole a\vast amount of Earths data the other day.\This attack is probably related to the information they obtained.\At the moment, our vessel is the closest one to Earth.\Earth will also launch their reserve fleet. response:	We are to go and offer our support.
context: According to Commander Simon,\they probably intend to steal some DNA samples from the school.\There are signs that the enemy stole a\vast amount of Earths data the other day.\This attack is probably related to the information they obtained.\At the moment, our vessel is the closest one to Earth.\Earth will also launch their reserve fleet.\We are to go and offer our support. response:	Klein, what are you doing there?
context: they probably intend to steal some DNA samples from the school.\There are signs that the enemy stole a\vast amount of Earths data the other day.\This attack is probably related to the information they obtained.\At the moment, our vessel is the closest one to Earth.\Earth will also launch their reserve fleet.\We are to go and offer our support.\Klein, what are you doing there? response:	You have not received orders to sortie.
context: There are signs that the enemy stole a\vast amount of Earths data the other day.\This attack is probably related to the information they obtained.\At the moment, our vessel is the closest one to Earth.\Earth will also launch their reserve fleet.\We are to go and offer our support.\Klein, what are you doing there?\You have not received orders to sortie. response:	Im not going to let you hog all of the glory.
context: vast amount of Earths data the other day.\This attack is probably related to the information they obtained.\At the moment, our vessel is the closest one to Earth.\Earth will also launch their reserve fleet.\We are to go and offer our support.\Klein, what are you doing there?\You have not received orders to sortie.\Im not going to let you hog all of the glory. response:	Im going to take these lamata for myself!
context: This attack is probably related to the information they obtained.\At the moment, our vessel is the closest one to Earth.\Earth will also launch their reserve fleet.\We are to go and offer our support.\Klein, what are you doing there?\You have not received orders to sortie.\Im not going to let you hog all of the glory.\Im going to take these lamata for myself! response:	Restrain yourself, Klein!
context: At the moment, our vessel is the closest one to Earth.\Earth will also launch their reserve fleet.\We are to go and offer our support.\Klein, what are you doing there?\You have not received orders to sortie.\Im not going to let you hog all of the glory.\Im going to take these lamata for myself!\Restrain yourself, Klein! response:	The purpose of this operation
context: Earth will also launch their reserve fleet.\We are to go and offer our support.\Klein, what are you doing there?\You have not received orders to sortie.\Im not going to let you hog all of the glory.\Im going to take these lamata for myself!\Restrain yourself, Klein!\The purpose of this operation response:	is to verify the information Lumes has obtained.
context: We are to go and offer our support.\Klein, what are you doing there?\You have not received orders to sortie.\Im not going to let you hog all of the glory.\Im going to take these lamata for myself!\Restrain yourself, Klein!\The purpose of this operation\is to verify the information Lumes has obtained. response:	It is a reconnaissance mission to determine whether or not
context: Klein, what are you doing there?\You have not received orders to sortie.\Im not going to let you hog all of the glory.\Im going to take these lamata for myself!\Restrain yourself, Klein!\The purpose of this operation\is to verify the information Lumes has obtained.\It is a reconnaissance mission to determine whether or not response:	the Earthlings possess prime DNA samples on their home world.
context: You have not received orders to sortie.\Im not going to let you hog all of the glory.\Im going to take these lamata for myself!\Restrain yourself, Klein!\The purpose of this operation\is to verify the information Lumes has obtained.\It is a reconnaissance mission to determine whether or not\the Earthlings possess prime DNA samples on their home world. response:	Furthermore, your wounds have not yet healed.
context: Im not going to let you hog all of the glory.\Im going to take these lamata for myself!\Restrain yourself, Klein!\The purpose of this operation\is to verify the information Lumes has obtained.\It is a reconnaissance mission to determine whether or not\the Earthlings possess prime DNA samples on their home world.\Furthermore, your wounds have not yet healed. response:	These injuries cant hold me back!
context: Im going to take these lamata for myself!\Restrain yourself, Klein!\The purpose of this operation\is to verify the information Lumes has obtained.\It is a reconnaissance mission to determine whether or not\the Earthlings possess prime DNA samples on their home world.\Furthermore, your wounds have not yet healed.\These injuries cant hold me back! response:	If the genes are there, Ill simply swipe them all!
context: Restrain yourself, Klein!\The purpose of this operation\is to verify the information Lumes has obtained.\It is a reconnaissance mission to determine whether or not\the Earthlings possess prime DNA samples on their home world.\Furthermore, your wounds have not yet healed.\These injuries cant hold me back!\If the genes are there, Ill simply swipe them all! response:	Im gonna restore the honor Ive lost!
context: The purpose of this operation\is to verify the information Lumes has obtained.\It is a reconnaissance mission to determine whether or not\the Earthlings possess prime DNA samples on their home world.\Furthermore, your wounds have not yet healed.\These injuries cant hold me back!\If the genes are there, Ill simply swipe them all!\Im gonna restore the honor Ive lost! response:	Klein!
context: is to verify the information Lumes has obtained.\It is a reconnaissance mission to determine whether or not\the Earthlings possess prime DNA samples on their home world.\Furthermore, your wounds have not yet healed.\These injuries cant hold me back!\If the genes are there, Ill simply swipe them all!\Im gonna restore the honor Ive lost!\Klein! response:	These are my lamata!
context: It is a reconnaissance mission to determine whether or not\the Earthlings possess prime DNA samples on their home world.\Furthermore, your wounds have not yet healed.\These injuries cant hold me back!\If the genes are there, Ill simply swipe them all!\Im gonna restore the honor Ive lost!\Klein!\These are my lamata! response:	Lumes, remain where you are for the time being.
context: the Earthlings possess prime DNA samples on their home world.\Furthermore, your wounds have not yet healed.\These injuries cant hold me back!\If the genes are there, Ill simply swipe them all!\Im gonna restore the honor Ive lost!\Klein!\These are my lamata!\Lumes, remain where you are for the time being. response:	No. We shall charge through, just as planned.
context: Furthermore, your wounds have not yet healed.\These injuries cant hold me back!\If the genes are there, Ill simply swipe them all!\Im gonna restore the honor Ive lost!\Klein!\These are my lamata!\Lumes, remain where you are for the time being.\No. We shall charge through, just as planned. response:	With two squads, this will make a coordinated effort all the easier.
context: These injuries cant hold me back!\If the genes are there, Ill simply swipe them all!\Im gonna restore the honor Ive lost!\Klein!\These are my lamata!\Lumes, remain where you are for the time being.\No. We shall charge through, just as planned.\With two squads, this will make a coordinated effort all the easier. response:	Going by the looks of it,
context: If the genes are there, Ill simply swipe them all!\Im gonna restore the honor Ive lost!\Klein!\These are my lamata!\Lumes, remain where you are for the time being.\No. We shall charge through, just as planned.\With two squads, this will make a coordinated effort all the easier.\Going by the looks of it, response:	Klein may very well fire at friend and foe alike.
context: Im gonna restore the honor Ive lost!\Klein!\These are my lamata!\Lumes, remain where you are for the time being.\No. We shall charge through, just as planned.\With two squads, this will make a coordinated effort all the easier.\Going by the looks of it,\Klein may very well fire at friend and foe alike. response:	Remain on standby for now and see how things progress.
context: Klein!\These are my lamata!\Lumes, remain where you are for the time being.\No. We shall charge through, just as planned.\With two squads, this will make a coordinated effort all the easier.\Going by the looks of it,\Klein may very well fire at friend and foe alike.\Remain on standby for now and see how things progress. response:	My fleet shall work to maintain our current standing.
context: These are my lamata!\Lumes, remain where you are for the time being.\No. We shall charge through, just as planned.\With two squads, this will make a coordinated effort all the easier.\Going by the looks of it,\Klein may very well fire at friend and foe alike.\Remain on standby for now and see how things progress.\My fleet shall work to maintain our current standing. response:	Very well, Sir.
context: Lumes, remain where you are for the time being.\No. We shall charge through, just as planned.\With two squads, this will make a coordinated effort all the easier.\Going by the looks of it,\Klein may very well fire at friend and foe alike.\Remain on standby for now and see how things progress.\My fleet shall work to maintain our current standing.\Very well, Sir. response:	My plans have gone horribly awry...
context: No. We shall charge through, just as planned.\With two squads, this will make a coordinated effort all the easier.\Going by the looks of it,\Klein may very well fire at friend and foe alike.\Remain on standby for now and see how things progress.\My fleet shall work to maintain our current standing.\Very well, Sir.\My plans have gone horribly awry... response:	No... Perhaps he predicted that there was a chance this may happen.
context: With two squads, this will make a coordinated effort all the easier.\Going by the looks of it,\Klein may very well fire at friend and foe alike.\Remain on standby for now and see how things progress.\My fleet shall work to maintain our current standing.\Very well, Sir.\My plans have gone horribly awry...\No... Perhaps he predicted that there was a chance this may happen. response:	Here is the information on Earth that I obtained the other day.
context: Going by the looks of it,\Klein may very well fire at friend and foe alike.\Remain on standby for now and see how things progress.\My fleet shall work to maintain our current standing.\Very well, Sir.\My plans have gone horribly awry...\No... Perhaps he predicted that there was a chance this may happen.\Here is the information on Earth that I obtained the other day. response:	According to this, the Earthlings have a facility where they
context: Klein may very well fire at friend and foe alike.\Remain on standby for now and see how things progress.\My fleet shall work to maintain our current standing.\Very well, Sir.\My plans have gone horribly awry...\No... Perhaps he predicted that there was a chance this may happen.\Here is the information on Earth that I obtained the other day.\According to this, the Earthlings have a facility where they response:	combine advanced genes on their
context: Remain on standby for now and see how things progress.\My fleet shall work to maintain our current standing.\Very well, Sir.\My plans have gone horribly awry...\No... Perhaps he predicted that there was a chance this may happen.\Here is the information on Earth that I obtained the other day.\According to this, the Earthlings have a facility where they\combine advanced genes on their response:	home planet to produce highly advanced individuals.
context: My fleet shall work to maintain our current standing.\Very well, Sir.\My plans have gone horribly awry...\No... Perhaps he predicted that there was a chance this may happen.\Here is the information on Earth that I obtained the other day.\According to this, the Earthlings have a facility where they\combine advanced genes on their\home planet to produce highly advanced individuals. response:	What an absurd species.
context: Very well, Sir.\My plans have gone horribly awry...\No... Perhaps he predicted that there was a chance this may happen.\Here is the information on Earth that I obtained the other day.\According to this, the Earthlings have a facility where they\combine advanced genes on their\home planet to produce highly advanced individuals.\What an absurd species. response:	Ultimately, they have created nothing but a poor imitation of our civilization.
context: My plans have gone horribly awry...\No... Perhaps he predicted that there was a chance this may happen.\Here is the information on Earth that I obtained the other day.\According to this, the Earthlings have a facility where they\combine advanced genes on their\home planet to produce highly advanced individuals.\What an absurd species.\Ultimately, they have created nothing but a poor imitation of our civilization. response:	Yet even so, fascinating individuals can appear on occasion.
context: No... Perhaps he predicted that there was a chance this may happen.\Here is the information on Earth that I obtained the other day.\According to this, the Earthlings have a facility where they\combine advanced genes on their\home planet to produce highly advanced individuals.\What an absurd species.\Ultimately, they have created nothing but a poor imitation of our civilization.\Yet even so, fascinating individuals can appear on occasion. response:	If not for that, this would be far too tiresome.
context: Here is the information on Earth that I obtained the other day.\According to this, the Earthlings have a facility where they\combine advanced genes on their\home planet to produce highly advanced individuals.\What an absurd species.\Ultimately, they have created nothing but a poor imitation of our civilization.\Yet even so, fascinating individuals can appear on occasion.\If not for that, this would be far too tiresome. response:	Here is the information on Pleguzesia Teoria and Daneel.
context: According to this, the Earthlings have a facility where they\combine advanced genes on their\home planet to produce highly advanced individuals.\What an absurd species.\Ultimately, they have created nothing but a poor imitation of our civilization.\Yet even so, fascinating individuals can appear on occasion.\If not for that, this would be far too tiresome.\Here is the information on Pleguzesia Teoria and Daneel. response:	As suspected, they are on Earth.
context: combine advanced genes on their\home planet to produce highly advanced individuals.\What an absurd species.\Ultimately, they have created nothing but a poor imitation of our civilization.\Yet even so, fascinating individuals can appear on occasion.\If not for that, this would be far too tiresome.\Here is the information on Pleguzesia Teoria and Daneel.\As suspected, they are on Earth. response:	My prediction was right.
context: home planet to produce highly advanced individuals.\What an absurd species.\Ultimately, they have created nothing but a poor imitation of our civilization.\Yet even so, fascinating individuals can appear on occasion.\If not for that, this would be far too tiresome.\Here is the information on Pleguzesia Teoria and Daneel.\As suspected, they are on Earth.\My prediction was right. response:	Perhaps my younger sisters genes were calling out to me...
context: What an absurd species.\Ultimately, they have created nothing but a poor imitation of our civilization.\Yet even so, fascinating individuals can appear on occasion.\If not for that, this would be far too tiresome.\Here is the information on Pleguzesia Teoria and Daneel.\As suspected, they are on Earth.\My prediction was right.\Perhaps my younger sisters genes were calling out to me... response:	It would seem that Pleguzesia is near this facility.
context: Ultimately, they have created nothing but a poor imitation of our civilization.\Yet even so, fascinating individuals can appear on occasion.\If not for that, this would be far too tiresome.\Here is the information on Pleguzesia Teoria and Daneel.\As suspected, they are on Earth.\My prediction was right.\Perhaps my younger sisters genes were calling out to me...\It would seem that Pleguzesia is near this facility. response:	I do not know if those of Earth apprehended her
context: Yet even so, fascinating individuals can appear on occasion.\If not for that, this would be far too tiresome.\Here is the information on Pleguzesia Teoria and Daneel.\As suspected, they are on Earth.\My prediction was right.\Perhaps my younger sisters genes were calling out to me...\It would seem that Pleguzesia is near this facility.\I do not know if those of Earth apprehended her response:	or if she went to Earth on her own accord.
context: If not for that, this would be far too tiresome.\Here is the information on Pleguzesia Teoria and Daneel.\As suspected, they are on Earth.\My prediction was right.\Perhaps my younger sisters genes were calling out to me...\It would seem that Pleguzesia is near this facility.\I do not know if those of Earth apprehended her\or if she went to Earth on her own accord. response:	Have you reported to my brother yet?
context: Here is the information on Pleguzesia Teoria and Daneel.\As suspected, they are on Earth.\My prediction was right.\Perhaps my younger sisters genes were calling out to me...\It would seem that Pleguzesia is near this facility.\I do not know if those of Earth apprehended her\or if she went to Earth on her own accord.\Have you reported to my brother yet? response:	I have not told anyone.
context: As suspected, they are on Earth.\My prediction was right.\Perhaps my younger sisters genes were calling out to me...\It would seem that Pleguzesia is near this facility.\I do not know if those of Earth apprehended her\or if she went to Earth on her own accord.\Have you reported to my brother yet?\I have not told anyone. response:	I felt that it would be appropriate to report to you first.
context: My prediction was right.\Perhaps my younger sisters genes were calling out to me...\It would seem that Pleguzesia is near this facility.\I do not know if those of Earth apprehended her\or if she went to Earth on her own accord.\Have you reported to my brother yet?\I have not told anyone.\I felt that it would be appropriate to report to you first. response:	Keep it that way.
context: Perhaps my younger sisters genes were calling out to me...\It would seem that Pleguzesia is near this facility.\I do not know if those of Earth apprehended her\or if she went to Earth on her own accord.\Have you reported to my brother yet?\I have not told anyone.\I felt that it would be appropriate to report to you first.\Keep it that way. response:	Henceforth, you are to be my eyes and ears as you
context: It would seem that Pleguzesia is near this facility.\I do not know if those of Earth apprehended her\or if she went to Earth on her own accord.\Have you reported to my brother yet?\I have not told anyone.\I felt that it would be appropriate to report to you first.\Keep it that way.\Henceforth, you are to be my eyes and ears as you response:	continue to gather information.
context: I do not know if those of Earth apprehended her\or if she went to Earth on her own accord.\Have you reported to my brother yet?\I have not told anyone.\I felt that it would be appropriate to report to you first.\Keep it that way.\Henceforth, you are to be my eyes and ears as you\continue to gather information. response:	Is it safe to assume that you
context: or if she went to Earth on her own accord.\Have you reported to my brother yet?\I have not told anyone.\I felt that it would be appropriate to report to you first.\Keep it that way.\Henceforth, you are to be my eyes and ears as you\continue to gather information.\Is it safe to assume that you response:	do not want me to submit an official report?
context: Have you reported to my brother yet?\I have not told anyone.\I felt that it would be appropriate to report to you first.\Keep it that way.\Henceforth, you are to be my eyes and ears as you\continue to gather information.\Is it safe to assume that you\do not want me to submit an official report? response:	I do not want to distress my older brother.
context: I have not told anyone.\I felt that it would be appropriate to report to you first.\Keep it that way.\Henceforth, you are to be my eyes and ears as you\continue to gather information.\Is it safe to assume that you\do not want me to submit an official report?\I do not want to distress my older brother. response:	And if this information came to light,
context: I felt that it would be appropriate to report to you first.\Keep it that way.\Henceforth, you are to be my eyes and ears as you\continue to gather information.\Is it safe to assume that you\do not want me to submit an official report?\I do not want to distress my older brother.\And if this information came to light, response:	ambitious fools would try their upmost best to topple our clan.
context: Keep it that way.\Henceforth, you are to be my eyes and ears as you\continue to gather information.\Is it safe to assume that you\do not want me to submit an official report?\I do not want to distress my older brother.\And if this information came to light,\ambitious fools would try their upmost best to topple our clan. response:	What is my younger sister doing on Earth?
context: Henceforth, you are to be my eyes and ears as you\continue to gather information.\Is it safe to assume that you\do not want me to submit an official report?\I do not want to distress my older brother.\And if this information came to light,\ambitious fools would try their upmost best to topple our clan.\What is my younger sister doing on Earth? response:	Until that is made clear, do not tell anyone.
context: continue to gather information.\Is it safe to assume that you\do not want me to submit an official report?\I do not want to distress my older brother.\And if this information came to light,\ambitious fools would try their upmost best to topple our clan.\What is my younger sister doing on Earth?\Until that is made clear, do not tell anyone. response:	Understood.
context: Is it safe to assume that you\do not want me to submit an official report?\I do not want to distress my older brother.\And if this information came to light,\ambitious fools would try their upmost best to topple our clan.\What is my younger sister doing on Earth?\Until that is made clear, do not tell anyone.\Understood. response:	I will speak with my brother
context: do not want me to submit an official report?\I do not want to distress my older brother.\And if this information came to light,\ambitious fools would try their upmost best to topple our clan.\What is my younger sister doing on Earth?\Until that is made clear, do not tell anyone.\Understood.\I will speak with my brother response:	and see to it that you are sent to Earth.
context: I do not want to distress my older brother.\And if this information came to light,\ambitious fools would try their upmost best to topple our clan.\What is my younger sister doing on Earth?\Until that is made clear, do not tell anyone.\Understood.\I will speak with my brother\and see to it that you are sent to Earth. response:	But I must take other measures, just in case.
context: And if this information came to light,\ambitious fools would try their upmost best to topple our clan.\What is my younger sister doing on Earth?\Until that is made clear, do not tell anyone.\Understood.\I will speak with my brother\and see to it that you are sent to Earth.\But I must take other measures, just in case. response:	To think that he had foreseen that I may not land on Earth...
