context: A request? response:	For me?
context: LEIDENSCHAFTLICH KAZALLI\It's so much more humid than Leiden.\Aren't you hot in that?\It is not a problem. I am accustomed to these temperatures.\All right then.\Iris!\I'm glad you made it.\Mom, Dad! Uncle and Auntie, too! response:	What happened to your arm?
context: It's so much more humid than Leiden.\Aren't you hot in that?\It is not a problem. I am accustomed to these temperatures.\All right then.\Iris!\I'm glad you made it.\Mom, Dad! Uncle and Auntie, too!\What happened to your arm? response:	Are you okay?
context: Aren't you hot in that?\It is not a problem. I am accustomed to these temperatures.\All right then.\Iris!\I'm glad you made it.\Mom, Dad! Uncle and Auntie, too!\What happened to your arm?\Are you okay? response:	Oh, this? I just tripped...
context: It is not a problem. I am accustomed to these temperatures.\All right then.\Iris!\I'm glad you made it.\Mom, Dad! Uncle and Auntie, too!\What happened to your arm?\Are you okay?\Oh, this? I just tripped... response:	Been so busy working that I strained it.
context: All right then.\Iris!\I'm glad you made it.\Mom, Dad! Uncle and Auntie, too!\What happened to your arm?\Are you okay?\Oh, this? I just tripped...\Been so busy working that I strained it. response:	That is not accurate.
context: Iris!\I'm glad you made it.\Mom, Dad! Uncle and Auntie, too!\What happened to your arm?\Are you okay?\Oh, this? I just tripped...\Been so busy working that I strained it.\That is not accurate. response:	-I get a lot of requests, you know. -That is also not accurate.
context: I'm glad you made it.\Mom, Dad! Uncle and Auntie, too!\What happened to your arm?\Are you okay?\Oh, this? I just tripped...\Been so busy working that I strained it.\That is not accurate.\-I get a lot of requests, you know. -That is also not accurate. response:	Ouch! Ow! Oh, no. It's starting to hurt!
context: Mom, Dad! Uncle and Auntie, too!\What happened to your arm?\Are you okay?\Oh, this? I just tripped...\Been so busy working that I strained it.\That is not accurate.\-I get a lot of requests, you know. -That is also not accurate.\Ouch! Ow! Oh, no. It's starting to hurt! response:	It must be hard work being a star Auto Memory Doll.
context: What happened to your arm?\Are you okay?\Oh, this? I just tripped...\Been so busy working that I strained it.\That is not accurate.\-I get a lot of requests, you know. -That is also not accurate.\Ouch! Ow! Oh, no. It's starting to hurt!\It must be hard work being a star Auto Memory Doll. response:	Star?
context: Are you okay?\Oh, this? I just tripped...\Been so busy working that I strained it.\That is not accurate.\-I get a lot of requests, you know. -That is also not accurate.\Ouch! Ow! Oh, no. It's starting to hurt!\It must be hard work being a star Auto Memory Doll.\Star? response:	Oh, Dad! Stop exaggerating!
context: Oh, this? I just tripped...\Been so busy working that I strained it.\That is not accurate.\-I get a lot of requests, you know. -That is also not accurate.\Ouch! Ow! Oh, no. It's starting to hurt!\It must be hard work being a star Auto Memory Doll.\Star?\Oh, Dad! Stop exaggerating! response:	But what are you going to do about this letter then?
context: Been so busy working that I strained it.\That is not accurate.\-I get a lot of requests, you know. -That is also not accurate.\Ouch! Ow! Oh, no. It's starting to hurt!\It must be hard work being a star Auto Memory Doll.\Star?\Oh, Dad! Stop exaggerating!\But what are you going to do about this letter then? response:	Oh, that?
context: That is not accurate.\-I get a lot of requests, you know. -That is also not accurate.\Ouch! Ow! Oh, no. It's starting to hurt!\It must be hard work being a star Auto Memory Doll.\Star?\Oh, Dad! Stop exaggerating!\But what are you going to do about this letter then?\Oh, that? response:	That's why she's here, too.
context: -I get a lot of requests, you know. -That is also not accurate.\Ouch! Ow! Oh, no. It's starting to hurt!\It must be hard work being a star Auto Memory Doll.\Star?\Oh, Dad! Stop exaggerating!\But what are you going to do about this letter then?\Oh, that?\That's why she's here, too. response:	I will travel anywhere to meet your request.
context: Ouch! Ow! Oh, no. It's starting to hurt!\It must be hard work being a star Auto Memory Doll.\Star?\Oh, Dad! Stop exaggerating!\But what are you going to do about this letter then?\Oh, that?\That's why she's here, too.\I will travel anywhere to meet your request. response:	I am an Auto Memory Doll.
context: It must be hard work being a star Auto Memory Doll.\Star?\Oh, Dad! Stop exaggerating!\But what are you going to do about this letter then?\Oh, that?\That's why she's here, too.\I will travel anywhere to meet your request.\I am an Auto Memory Doll. response:	Violet Evergarden at your service.
context: Star?\Oh, Dad! Stop exaggerating!\But what are you going to do about this letter then?\Oh, that?\That's why she's here, too.\I will travel anywhere to meet your request.\I am an Auto Memory Doll.\Violet Evergarden at your service. response:	Is she a doll?
context: Oh, Dad! Stop exaggerating!\But what are you going to do about this letter then?\Oh, that?\That's why she's here, too.\I will travel anywhere to meet your request.\I am an Auto Memory Doll.\Violet Evergarden at your service.\Is she a doll? response:	No, she's an Auto Memory Doll.
context: But what are you going to do about this letter then?\Oh, that?\That's why she's here, too.\I will travel anywhere to meet your request.\I am an Auto Memory Doll.\Violet Evergarden at your service.\Is she a doll?\No, she's an Auto Memory Doll. response:	My goodness!
context: Oh, that?\That's why she's here, too.\I will travel anywhere to meet your request.\I am an Auto Memory Doll.\Violet Evergarden at your service.\Is she a doll?\No, she's an Auto Memory Doll.\My goodness! response:	The city Dolls are something else!
context: That's why she's here, too.\I will travel anywhere to meet your request.\I am an Auto Memory Doll.\Violet Evergarden at your service.\Is she a doll?\No, she's an Auto Memory Doll.\My goodness!\The city Dolls are something else! response:	Hold on a second! I'm wearing my Doll uniform, too!
context: I will travel anywhere to meet your request.\I am an Auto Memory Doll.\Violet Evergarden at your service.\Is she a doll?\No, she's an Auto Memory Doll.\My goodness!\The city Dolls are something else!\Hold on a second! I'm wearing my Doll uniform, too! response:	It looks good on you, Iris.
context: I am an Auto Memory Doll.\Violet Evergarden at your service.\Is she a doll?\No, she's an Auto Memory Doll.\My goodness!\The city Dolls are something else!\Hold on a second! I'm wearing my Doll uniform, too!\It looks good on you, Iris. response:	You're like a fine career woman!
context: Violet Evergarden at your service.\Is she a doll?\No, she's an Auto Memory Doll.\My goodness!\The city Dolls are something else!\Hold on a second! I'm wearing my Doll uniform, too!\It looks good on you, Iris.\You're like a fine career woman! response:	What's that supposed to mean? Seriously.
context: Is she a doll?\No, she's an Auto Memory Doll.\My goodness!\The city Dolls are something else!\Hold on a second! I'm wearing my Doll uniform, too!\It looks good on you, Iris.\You're like a fine career woman!\What's that supposed to mean? Seriously. response:	Oh, by the way, do you know a Sarah Florent?
context: No, she's an Auto Memory Doll.\My goodness!\The city Dolls are something else!\Hold on a second! I'm wearing my Doll uniform, too!\It looks good on you, Iris.\You're like a fine career woman!\What's that supposed to mean? Seriously.\Oh, by the way, do you know a Sarah Florent? response:	She's the one who requested me. She should be here.
context: My goodness!\The city Dolls are something else!\Hold on a second! I'm wearing my Doll uniform, too!\It looks good on you, Iris.\You're like a fine career woman!\What's that supposed to mean? Seriously.\Oh, by the way, do you know a Sarah Florent?\She's the one who requested me. She should be here. response:	That's the name of your late great-grandmother.
context: The city Dolls are something else!\Hold on a second! I'm wearing my Doll uniform, too!\It looks good on you, Iris.\You're like a fine career woman!\What's that supposed to mean? Seriously.\Oh, by the way, do you know a Sarah Florent?\She's the one who requested me. She should be here.\That's the name of your late great-grandmother. response:	I'm the one who requested you.
context: Hold on a second! I'm wearing my Doll uniform, too!\It looks good on you, Iris.\You're like a fine career woman!\What's that supposed to mean? Seriously.\Oh, by the way, do you know a Sarah Florent?\She's the one who requested me. She should be here.\That's the name of your late great-grandmother.\I'm the one who requested you. response:	I thought we could see you if we hired you for a letter.
context: It looks good on you, Iris.\You're like a fine career woman!\What's that supposed to mean? Seriously.\Oh, by the way, do you know a Sarah Florent?\She's the one who requested me. She should be here.\That's the name of your late great-grandmother.\I'm the one who requested you.\I thought we could see you if we hired you for a letter. response:	-Are you kidding me? -So, this was a false commission?
context: You're like a fine career woman!\What's that supposed to mean? Seriously.\Oh, by the way, do you know a Sarah Florent?\She's the one who requested me. She should be here.\That's the name of your late great-grandmother.\I'm the one who requested you.\I thought we could see you if we hired you for a letter.\-Are you kidding me? -So, this was a false commission? response:	As it was written in our contract,
context: What's that supposed to mean? Seriously.\Oh, by the way, do you know a Sarah Florent?\She's the one who requested me. She should be here.\That's the name of your late great-grandmother.\I'm the one who requested you.\I thought we could see you if we hired you for a letter.\-Are you kidding me? -So, this was a false commission?\As it was written in our contract, response:	we do not accept the use of aliases or false commissions.
context: Oh, by the way, do you know a Sarah Florent?\She's the one who requested me. She should be here.\That's the name of your late great-grandmother.\I'm the one who requested you.\I thought we could see you if we hired you for a letter.\-Are you kidding me? -So, this was a false commission?\As it was written in our contract,\we do not accept the use of aliases or false commissions. response:	Please excuse me.
context: She's the one who requested me. She should be here.\That's the name of your late great-grandmother.\I'm the one who requested you.\I thought we could see you if we hired you for a letter.\-Are you kidding me? -So, this was a false commission?\As it was written in our contract,\we do not accept the use of aliases or false commissions.\Please excuse me. response:	I will now start your request.
context: That's the name of your late great-grandmother.\I'm the one who requested you.\I thought we could see you if we hired you for a letter.\-Are you kidding me? -So, this was a false commission?\As it was written in our contract,\we do not accept the use of aliases or false commissions.\Please excuse me.\I will now start your request. response:	Please enter the correct name in the contract.
context: I'm the one who requested you.\I thought we could see you if we hired you for a letter.\-Are you kidding me? -So, this was a false commission?\As it was written in our contract,\we do not accept the use of aliases or false commissions.\Please excuse me.\I will now start your request.\Please enter the correct name in the contract. response:	What kind of invitation would you like?
context: I thought we could see you if we hired you for a letter.\-Are you kidding me? -So, this was a false commission?\As it was written in our contract,\we do not accept the use of aliases or false commissions.\Please excuse me.\I will now start your request.\Please enter the correct name in the contract.\What kind of invitation would you like? response:	An invitation to Iris' birthday party.
context: -Are you kidding me? -So, this was a false commission?\As it was written in our contract,\we do not accept the use of aliases or false commissions.\Please excuse me.\I will now start your request.\Please enter the correct name in the contract.\What kind of invitation would you like?\An invitation to Iris' birthday party. response:	Me?
context: As it was written in our contract,\we do not accept the use of aliases or false commissions.\Please excuse me.\I will now start your request.\Please enter the correct name in the contract.\What kind of invitation would you like?\An invitation to Iris' birthday party.\Me? response:	Your birthday is the day after tomorrow, remember?
context: we do not accept the use of aliases or false commissions.\Please excuse me.\I will now start your request.\Please enter the correct name in the contract.\What kind of invitation would you like?\An invitation to Iris' birthday party.\Me?\Your birthday is the day after tomorrow, remember? response:	I totally forgot.
context: Please excuse me.\I will now start your request.\Please enter the correct name in the contract.\What kind of invitation would you like?\An invitation to Iris' birthday party.\Me?\Your birthday is the day after tomorrow, remember?\I totally forgot. response:	She said she wanted to invite a huge crowd for a big celebration this year.
context: I will now start your request.\Please enter the correct name in the contract.\What kind of invitation would you like?\An invitation to Iris' birthday party.\Me?\Your birthday is the day after tomorrow, remember?\I totally forgot.\She said she wanted to invite a huge crowd for a big celebration this year. response:	We will have to write one immediately if it's in two days.
context: Please enter the correct name in the contract.\What kind of invitation would you like?\An invitation to Iris' birthday party.\Me?\Your birthday is the day after tomorrow, remember?\I totally forgot.\She said she wanted to invite a huge crowd for a big celebration this year.\We will have to write one immediately if it's in two days. response:	There is also delivery.
context: What kind of invitation would you like?\An invitation to Iris' birthday party.\Me?\Your birthday is the day after tomorrow, remember?\I totally forgot.\She said she wanted to invite a huge crowd for a big celebration this year.\We will have to write one immediately if it's in two days.\There is also delivery. response:	-It's so pretty! -What happened?
context: An invitation to Iris' birthday party.\Me?\Your birthday is the day after tomorrow, remember?\I totally forgot.\She said she wanted to invite a huge crowd for a big celebration this year.\We will have to write one immediately if it's in two days.\There is also delivery.\-It's so pretty! -What happened? response:	Leave her alone!
context: Me?\Your birthday is the day after tomorrow, remember?\I totally forgot.\She said she wanted to invite a huge crowd for a big celebration this year.\We will have to write one immediately if it's in two days.\There is also delivery.\-It's so pretty! -What happened?\Leave her alone! response:	Please don't be concerned.
context: Your birthday is the day after tomorrow, remember?\I totally forgot.\She said she wanted to invite a huge crowd for a big celebration this year.\We will have to write one immediately if it's in two days.\There is also delivery.\-It's so pretty! -What happened?\Leave her alone!\Please don't be concerned. response:	Do you have the invitation list?
context: I totally forgot.\She said she wanted to invite a huge crowd for a big celebration this year.\We will have to write one immediately if it's in two days.\There is also delivery.\-It's so pretty! -What happened?\Leave her alone!\Please don't be concerned.\Do you have the invitation list? response:	Yes.
context: She said she wanted to invite a huge crowd for a big celebration this year.\We will have to write one immediately if it's in two days.\There is also delivery.\-It's so pretty! -What happened?\Leave her alone!\Please don't be concerned.\Do you have the invitation list?\Yes. response:	This is it.
context: We will have to write one immediately if it's in two days.\There is also delivery.\-It's so pretty! -What happened?\Leave her alone!\Please don't be concerned.\Do you have the invitation list?\Yes.\This is it. response:	I want to see.
context: There is also delivery.\-It's so pretty! -What happened?\Leave her alone!\Please don't be concerned.\Do you have the invitation list?\Yes.\This is it.\I want to see. response:	There's so many males on the list.
context: -It's so pretty! -What happened?\Leave her alone!\Please don't be concerned.\Do you have the invitation list?\Yes.\This is it.\I want to see.\There's so many males on the list. response:	-Well, you are at that age. -So?
context: Leave her alone!\Please don't be concerned.\Do you have the invitation list?\Yes.\This is it.\I want to see.\There's so many males on the list.\-Well, you are at that age. -So? response:	Don't you think it's time you get married?
context: Please don't be concerned.\Do you have the invitation list?\Yes.\This is it.\I want to see.\There's so many males on the list.\-Well, you are at that age. -So?\Don't you think it's time you get married? response:	-What's that supposed to mean? -You're our only child.
context: Do you have the invitation list?\Yes.\This is it.\I want to see.\There's so many males on the list.\-Well, you are at that age. -So?\Don't you think it's time you get married?\-What's that supposed to mean? -You're our only child. response:	We want you to come back and get married.
context: Yes.\This is it.\I want to see.\There's so many males on the list.\-Well, you are at that age. -So?\Don't you think it's time you get married?\-What's that supposed to mean? -You're our only child.\We want you to come back and get married. response:	Quit your Doll job and move back in with us.
context: This is it.\I want to see.\There's so many males on the list.\-Well, you are at that age. -So?\Don't you think it's time you get married?\-What's that supposed to mean? -You're our only child.\We want you to come back and get married.\Quit your Doll job and move back in with us. response:	That's why you brought me back here? By lying to me?
