context: Hey! Kirie! response:	The hell? Where did she run off to?
context: Hey, hey! Bada-bing, bada-boom!\That's just rude!\Huh? Who's that?\Coming!\Dude, it's REALLY cold out here. Hurry up and let me in!\Huh?\Ah! Kirie!\Hey! Those are the custard cakes I bought yesterday! response:	I was looking forward to eating those tonight...
context: That's just rude!\Huh? Who's that?\Coming!\Dude, it's REALLY cold out here. Hurry up and let me in!\Huh?\Ah! Kirie!\Hey! Those are the custard cakes I bought yesterday!\I was looking forward to eating those tonight... response:	So she basically thieved them, huh?
context: Huh? Who's that?\Coming!\Dude, it's REALLY cold out here. Hurry up and let me in!\Huh?\Ah! Kirie!\Hey! Those are the custard cakes I bought yesterday!\I was looking forward to eating those tonight...\So she basically thieved them, huh? response:	This has gotten sort of awkward, hasn't it?
context: Coming!\Dude, it's REALLY cold out here. Hurry up and let me in!\Huh?\Ah! Kirie!\Hey! Those are the custard cakes I bought yesterday!\I was looking forward to eating those tonight...\So she basically thieved them, huh?\This has gotten sort of awkward, hasn't it? response:	Even though they're brother and sister, yeah...
context: Dude, it's REALLY cold out here. Hurry up and let me in!\Huh?\Ah! Kirie!\Hey! Those are the custard cakes I bought yesterday!\I was looking forward to eating those tonight...\So she basically thieved them, huh?\This has gotten sort of awkward, hasn't it?\Even though they're brother and sister, yeah... response:	Oh, hey.
context: Huh?\Ah! Kirie!\Hey! Those are the custard cakes I bought yesterday!\I was looking forward to eating those tonight...\So she basically thieved them, huh?\This has gotten sort of awkward, hasn't it?\Even though they're brother and sister, yeah...\Oh, hey. response:	You're always coming here to hang out, aren't you?
context: Ah! Kirie!\Hey! Those are the custard cakes I bought yesterday!\I was looking forward to eating those tonight...\So she basically thieved them, huh?\This has gotten sort of awkward, hasn't it?\Even though they're brother and sister, yeah...\Oh, hey.\You're always coming here to hang out, aren't you? response:	It's good that you haven't just been staying home alone.
context: Hey! Those are the custard cakes I bought yesterday!\I was looking forward to eating those tonight...\So she basically thieved them, huh?\This has gotten sort of awkward, hasn't it?\Even though they're brother and sister, yeah...\Oh, hey.\You're always coming here to hang out, aren't you?\It's good that you haven't just been staying home alone. response:	I'm glad that you've made a good friend.
context: I was looking forward to eating those tonight...\So she basically thieved them, huh?\This has gotten sort of awkward, hasn't it?\Even though they're brother and sister, yeah...\Oh, hey.\You're always coming here to hang out, aren't you?\It's good that you haven't just been staying home alone.\I'm glad that you've made a good friend. response:	Yeah!
context: So she basically thieved them, huh?\This has gotten sort of awkward, hasn't it?\Even though they're brother and sister, yeah...\Oh, hey.\You're always coming here to hang out, aren't you?\It's good that you haven't just been staying home alone.\I'm glad that you've made a good friend.\Yeah! response:	And thanks for those custard cakes, Bomba!
context: This has gotten sort of awkward, hasn't it?\Even though they're brother and sister, yeah...\Oh, hey.\You're always coming here to hang out, aren't you?\It's good that you haven't just been staying home alone.\I'm glad that you've made a good friend.\Yeah!\And thanks for those custard cakes, Bomba! response:	Huh? Well, I bought them for Kirie anyway.
context: Even though they're brother and sister, yeah...\Oh, hey.\You're always coming here to hang out, aren't you?\It's good that you haven't just been staying home alone.\I'm glad that you've made a good friend.\Yeah!\And thanks for those custard cakes, Bomba!\Huh? Well, I bought them for Kirie anyway. response:	Let me get you some cola to say thanks!
context: Oh, hey.\You're always coming here to hang out, aren't you?\It's good that you haven't just been staying home alone.\I'm glad that you've made a good friend.\Yeah!\And thanks for those custard cakes, Bomba!\Huh? Well, I bought them for Kirie anyway.\Let me get you some cola to say thanks! response:	Ooh! Thanks, Tanukichi.
context: You're always coming here to hang out, aren't you?\It's good that you haven't just been staying home alone.\I'm glad that you've made a good friend.\Yeah!\And thanks for those custard cakes, Bomba!\Huh? Well, I bought them for Kirie anyway.\Let me get you some cola to say thanks!\Ooh! Thanks, Tanukichi. response:	T-Tanu...kichi?
context: It's good that you haven't just been staying home alone.\I'm glad that you've made a good friend.\Yeah!\And thanks for those custard cakes, Bomba!\Huh? Well, I bought them for Kirie anyway.\Let me get you some cola to say thanks!\Ooh! Thanks, Tanukichi.\T-Tanu...kichi? response:	I mean, she looks like a tanuki, right? So, Tanukichi.
context: I'm glad that you've made a good friend.\Yeah!\And thanks for those custard cakes, Bomba!\Huh? Well, I bought them for Kirie anyway.\Let me get you some cola to say thanks!\Ooh! Thanks, Tanukichi.\T-Tanu...kichi?\I mean, she looks like a tanuki, right? So, Tanukichi. response:	You call my Master a TANUKI?!
context: Yeah!\And thanks for those custard cakes, Bomba!\Huh? Well, I bought them for Kirie anyway.\Let me get you some cola to say thanks!\Ooh! Thanks, Tanukichi.\T-Tanu...kichi?\I mean, she looks like a tanuki, right? So, Tanukichi.\You call my Master a TANUKI?! response:	If you see my Master's cuteness and think that she's a tanuki, something is wrong with you!
context: And thanks for those custard cakes, Bomba!\Huh? Well, I bought them for Kirie anyway.\Let me get you some cola to say thanks!\Ooh! Thanks, Tanukichi.\T-Tanu...kichi?\I mean, she looks like a tanuki, right? So, Tanukichi.\You call my Master a TANUKI?!\If you see my Master's cuteness and think that she's a tanuki, something is wrong with you! response:	Well, they look sort of the same, don't they?
context: Huh? Well, I bought them for Kirie anyway.\Let me get you some cola to say thanks!\Ooh! Thanks, Tanukichi.\T-Tanu...kichi?\I mean, she looks like a tanuki, right? So, Tanukichi.\You call my Master a TANUKI?!\If you see my Master's cuteness and think that she's a tanuki, something is wrong with you!\Well, they look sort of the same, don't they? response:	THEY DO NOT!
context: Let me get you some cola to say thanks!\Ooh! Thanks, Tanukichi.\T-Tanu...kichi?\I mean, she looks like a tanuki, right? So, Tanukichi.\You call my Master a TANUKI?!\If you see my Master's cuteness and think that she's a tanuki, something is wrong with you!\Well, they look sort of the same, don't they?\THEY DO NOT! response:	If anything, it's weird that you call her Master.
context: Ooh! Thanks, Tanukichi.\T-Tanu...kichi?\I mean, she looks like a tanuki, right? So, Tanukichi.\You call my Master a TANUKI?!\If you see my Master's cuteness and think that she's a tanuki, something is wrong with you!\Well, they look sort of the same, don't they?\THEY DO NOT!\If anything, it's weird that you call her Master. response:	A master of friggin' what?
context: T-Tanu...kichi?\I mean, she looks like a tanuki, right? So, Tanukichi.\You call my Master a TANUKI?!\If you see my Master's cuteness and think that she's a tanuki, something is wrong with you!\Well, they look sort of the same, don't they?\THEY DO NOT!\If anything, it's weird that you call her Master.\A master of friggin' what? response:	L-look! What makes you think you have to worry about the friends I keep?!
context: I mean, she looks like a tanuki, right? So, Tanukichi.\You call my Master a TANUKI?!\If you see my Master's cuteness and think that she's a tanuki, something is wrong with you!\Well, they look sort of the same, don't they?\THEY DO NOT!\If anything, it's weird that you call her Master.\A master of friggin' what?\L-look! What makes you think you have to worry about the friends I keep?! response:	I had a good time when we were at the beach, without you being around.
context: You call my Master a TANUKI?!\If you see my Master's cuteness and think that she's a tanuki, something is wrong with you!\Well, they look sort of the same, don't they?\THEY DO NOT!\If anything, it's weird that you call her Master.\A master of friggin' what?\L-look! What makes you think you have to worry about the friends I keep?!\I had a good time when we were at the beach, without you being around. response:	You didn't even pay any attention to me... Why would you not pay attention to your own sister?!
context: If you see my Master's cuteness and think that she's a tanuki, something is wrong with you!\Well, they look sort of the same, don't they?\THEY DO NOT!\If anything, it's weird that you call her Master.\A master of friggin' what?\L-look! What makes you think you have to worry about the friends I keep?!\I had a good time when we were at the beach, without you being around.\You didn't even pay any attention to me... Why would you not pay attention to your own sister?! response:	Uh, well, I...
context: Well, they look sort of the same, don't they?\THEY DO NOT!\If anything, it's weird that you call her Master.\A master of friggin' what?\L-look! What makes you think you have to worry about the friends I keep?!\I had a good time when we were at the beach, without you being around.\You didn't even pay any attention to me... Why would you not pay attention to your own sister?!\Uh, well, I... response:	Th-this is bad. We have to do something.
context: THEY DO NOT!\If anything, it's weird that you call her Master.\A master of friggin' what?\L-look! What makes you think you have to worry about the friends I keep?!\I had a good time when we were at the beach, without you being around.\You didn't even pay any attention to me... Why would you not pay attention to your own sister?!\Uh, well, I...\Th-this is bad. We have to do something. response:	Just die, you idiot of a brother!
context: If anything, it's weird that you call her Master.\A master of friggin' what?\L-look! What makes you think you have to worry about the friends I keep?!\I had a good time when we were at the beach, without you being around.\You didn't even pay any attention to me... Why would you not pay attention to your own sister?!\Uh, well, I...\Th-this is bad. We have to do something.\Just die, you idiot of a brother! response:	Looks like Bomba's already done for.
context: A master of friggin' what?\L-look! What makes you think you have to worry about the friends I keep?!\I had a good time when we were at the beach, without you being around.\You didn't even pay any attention to me... Why would you not pay attention to your own sister?!\Uh, well, I...\Th-this is bad. We have to do something.\Just die, you idiot of a brother!\Looks like Bomba's already done for. response:	Kirie.
context: L-look! What makes you think you have to worry about the friends I keep?!\I had a good time when we were at the beach, without you being around.\You didn't even pay any attention to me... Why would you not pay attention to your own sister?!\Uh, well, I...\Th-this is bad. We have to do something.\Just die, you idiot of a brother!\Looks like Bomba's already done for.\Kirie. response:	Yes, Master?!
context: I had a good time when we were at the beach, without you being around.\You didn't even pay any attention to me... Why would you not pay attention to your own sister?!\Uh, well, I...\Th-this is bad. We have to do something.\Just die, you idiot of a brother!\Looks like Bomba's already done for.\Kirie.\Yes, Master?! response:	Let's relax and have some cola.
context: You didn't even pay any attention to me... Why would you not pay attention to your own sister?!\Uh, well, I...\Th-this is bad. We have to do something.\Just die, you idiot of a brother!\Looks like Bomba's already done for.\Kirie.\Yes, Master?!\Let's relax and have some cola. response:	You too, Bomba.
context: Uh, well, I...\Th-this is bad. We have to do something.\Just die, you idiot of a brother!\Looks like Bomba's already done for.\Kirie.\Yes, Master?!\Let's relax and have some cola.\You too, Bomba. response:	ZO GUTE! So cute!
context: Th-this is bad. We have to do something.\Just die, you idiot of a brother!\Looks like Bomba's already done for.\Kirie.\Yes, Master?!\Let's relax and have some cola.\You too, Bomba.\ZO GUTE! So cute! response:	Yeah, they're related all right.
context: Just die, you idiot of a brother!\Looks like Bomba's already done for.\Kirie.\Yes, Master?!\Let's relax and have some cola.\You too, Bomba.\ZO GUTE! So cute!\Yeah, they're related all right. response:	Hey, how about the four of us play a game?
context: Looks like Bomba's already done for.\Kirie.\Yes, Master?!\Let's relax and have some cola.\You too, Bomba.\ZO GUTE! So cute!\Yeah, they're related all right.\Hey, how about the four of us play a game? response:	Ooh, nice! What do you say we play on the same team, Kirie?
context: Kirie.\Yes, Master?!\Let's relax and have some cola.\You too, Bomba.\ZO GUTE! So cute!\Yeah, they're related all right.\Hey, how about the four of us play a game?\Ooh, nice! What do you say we play on the same team, Kirie? response:	G-give me a break! I'm not teaming up with YOU!
context: Yes, Master?!\Let's relax and have some cola.\You too, Bomba.\ZO GUTE! So cute!\Yeah, they're related all right.\Hey, how about the four of us play a game?\Ooh, nice! What do you say we play on the same team, Kirie?\G-give me a break! I'm not teaming up with YOU! response:	Umaru, I'm going to the Nyaon Mall to buy groceries for dinner. You need anything?
context: Let's relax and have some cola.\You too, Bomba.\ZO GUTE! So cute!\Yeah, they're related all right.\Hey, how about the four of us play a game?\Ooh, nice! What do you say we play on the same team, Kirie?\G-give me a break! I'm not teaming up with YOU!\Umaru, I'm going to the Nyaon Mall to buy groceries for dinner. You need anything? response:	This week's issue of Fanitsu! It's got all the latest! news!
context: You too, Bomba.\ZO GUTE! So cute!\Yeah, they're related all right.\Hey, how about the four of us play a game?\Ooh, nice! What do you say we play on the same team, Kirie?\G-give me a break! I'm not teaming up with YOU!\Umaru, I'm going to the Nyaon Mall to buy groceries for dinner. You need anything?\This week's issue of Fanitsu! It's got all the latest! news! response:	Huh? Wait, the bookstore?
context: ZO GUTE! So cute!\Yeah, they're related all right.\Hey, how about the four of us play a game?\Ooh, nice! What do you say we play on the same team, Kirie?\G-give me a break! I'm not teaming up with YOU!\Umaru, I'm going to the Nyaon Mall to buy groceries for dinner. You need anything?\This week's issue of Fanitsu! It's got all the latest! news!\Huh? Wait, the bookstore? response:	It's supposed to rain. I wouldn't want it to get wet.
context: Yeah, they're related all right.\Hey, how about the four of us play a game?\Ooh, nice! What do you say we play on the same team, Kirie?\G-give me a break! I'm not teaming up with YOU!\Umaru, I'm going to the Nyaon Mall to buy groceries for dinner. You need anything?\This week's issue of Fanitsu! It's got all the latest! news!\Huh? Wait, the bookstore?\It's supposed to rain. I wouldn't want it to get wet. response:	Nah, it'll be fine. Going by this weather, it's not gonna rain.
context: Hey, how about the four of us play a game?\Ooh, nice! What do you say we play on the same team, Kirie?\G-give me a break! I'm not teaming up with YOU!\Umaru, I'm going to the Nyaon Mall to buy groceries for dinner. You need anything?\This week's issue of Fanitsu! It's got all the latest! news!\Huh? Wait, the bookstore?\It's supposed to rain. I wouldn't want it to get wet.\Nah, it'll be fine. Going by this weather, it's not gonna rain. response:	You think?
context: Ooh, nice! What do you say we play on the same team, Kirie?\G-give me a break! I'm not teaming up with YOU!\Umaru, I'm going to the Nyaon Mall to buy groceries for dinner. You need anything?\This week's issue of Fanitsu! It's got all the latest! news!\Huh? Wait, the bookstore?\It's supposed to rain. I wouldn't want it to get wet.\Nah, it'll be fine. Going by this weather, it's not gonna rain.\You think? response:	I need to go over today's route!
context: G-give me a break! I'm not teaming up with YOU!\Umaru, I'm going to the Nyaon Mall to buy groceries for dinner. You need anything?\This week's issue of Fanitsu! It's got all the latest! news!\Huh? Wait, the bookstore?\It's supposed to rain. I wouldn't want it to get wet.\Nah, it'll be fine. Going by this weather, it's not gonna rain.\You think?\I need to go over today's route! response:	It's currently 1:00 pm.
context: Umaru, I'm going to the Nyaon Mall to buy groceries for dinner. You need anything?\This week's issue of Fanitsu! It's got all the latest! news!\Huh? Wait, the bookstore?\It's supposed to rain. I wouldn't want it to get wet.\Nah, it'll be fine. Going by this weather, it's not gonna rain.\You think?\I need to go over today's route!\It's currently 1:00 pm. response:	The groceries will get heavy, and there's also the problem of keeping them fresh...
context: This week's issue of Fanitsu! It's got all the latest! news!\Huh? Wait, the bookstore?\It's supposed to rain. I wouldn't want it to get wet.\Nah, it'll be fine. Going by this weather, it's not gonna rain.\You think?\I need to go over today's route!\It's currently 1:00 pm.\The groceries will get heavy, and there's also the problem of keeping them fresh... response:	I'll do the bookstore first. I'll wrap up my purchases at the 3rd-floor bookstore by 1:30.
context: Huh? Wait, the bookstore?\It's supposed to rain. I wouldn't want it to get wet.\Nah, it'll be fine. Going by this weather, it's not gonna rain.\You think?\I need to go over today's route!\It's currently 1:00 pm.\The groceries will get heavy, and there's also the problem of keeping them fresh...\I'll do the bookstore first. I'll wrap up my purchases at the 3rd-floor bookstore by 1:30. response:	After that, I'll hurry down to the 1st-floor ATM. I'll take note of the crowds and act accordingly,
context: It's supposed to rain. I wouldn't want it to get wet.\Nah, it'll be fine. Going by this weather, it's not gonna rain.\You think?\I need to go over today's route!\It's currently 1:00 pm.\The groceries will get heavy, and there's also the problem of keeping them fresh...\I'll do the bookstore first. I'll wrap up my purchases at the 3rd-floor bookstore by 1:30.\After that, I'll hurry down to the 1st-floor ATM. I'll take note of the crowds and act accordingly, response:	making a careful selection of requisite ingredients.
context: Nah, it'll be fine. Going by this weather, it's not gonna rain.\You think?\I need to go over today's route!\It's currently 1:00 pm.\The groceries will get heavy, and there's also the problem of keeping them fresh...\I'll do the bookstore first. I'll wrap up my purchases at the 3rd-floor bookstore by 1:30.\After that, I'll hurry down to the 1st-floor ATM. I'll take note of the crowds and act accordingly,\making a careful selection of requisite ingredients. response:	The weather will likely make a turn for the worst between 3:00 pm and 4:00 pm.
context: You think?\I need to go over today's route!\It's currently 1:00 pm.\The groceries will get heavy, and there's also the problem of keeping them fresh...\I'll do the bookstore first. I'll wrap up my purchases at the 3rd-floor bookstore by 1:30.\After that, I'll hurry down to the 1st-floor ATM. I'll take note of the crowds and act accordingly,\making a careful selection of requisite ingredients.\The weather will likely make a turn for the worst between 3:00 pm and 4:00 pm. response:	So, I'll finish up my purchases and get home before then.
context: I need to go over today's route!\It's currently 1:00 pm.\The groceries will get heavy, and there's also the problem of keeping them fresh...\I'll do the bookstore first. I'll wrap up my purchases at the 3rd-floor bookstore by 1:30.\After that, I'll hurry down to the 1st-floor ATM. I'll take note of the crowds and act accordingly,\making a careful selection of requisite ingredients.\The weather will likely make a turn for the worst between 3:00 pm and 4:00 pm.\So, I'll finish up my purchases and get home before then. response:	Still, this is the same route as always, with the exception of the bookstore.
context: It's currently 1:00 pm.\The groceries will get heavy, and there's also the problem of keeping them fresh...\I'll do the bookstore first. I'll wrap up my purchases at the 3rd-floor bookstore by 1:30.\After that, I'll hurry down to the 1st-floor ATM. I'll take note of the crowds and act accordingly,\making a careful selection of requisite ingredients.\The weather will likely make a turn for the worst between 3:00 pm and 4:00 pm.\So, I'll finish up my purchases and get home before then.\Still, this is the same route as always, with the exception of the bookstore. response:	This is the first time I've come to the 3rd floor.
context: The groceries will get heavy, and there's also the problem of keeping them fresh...\I'll do the bookstore first. I'll wrap up my purchases at the 3rd-floor bookstore by 1:30.\After that, I'll hurry down to the 1st-floor ATM. I'll take note of the crowds and act accordingly,\making a careful selection of requisite ingredients.\The weather will likely make a turn for the worst between 3:00 pm and 4:00 pm.\So, I'll finish up my purchases and get home before then.\Still, this is the same route as always, with the exception of the bookstore.\This is the first time I've come to the 3rd floor. response:	Where do they keep the Fanitsu? Somewhere near the kids' section?
context: I'll do the bookstore first. I'll wrap up my purchases at the 3rd-floor bookstore by 1:30.\After that, I'll hurry down to the 1st-floor ATM. I'll take note of the crowds and act accordingly,\making a careful selection of requisite ingredients.\The weather will likely make a turn for the worst between 3:00 pm and 4:00 pm.\So, I'll finish up my purchases and get home before then.\Still, this is the same route as always, with the exception of the bookstore.\This is the first time I've come to the 3rd floor.\Where do they keep the Fanitsu? Somewhere near the kids' section? response:	No, it wouldn't be with the storybooks...
context: After that, I'll hurry down to the 1st-floor ATM. I'll take note of the crowds and act accordingly,\making a careful selection of requisite ingredients.\The weather will likely make a turn for the worst between 3:00 pm and 4:00 pm.\So, I'll finish up my purchases and get home before then.\Still, this is the same route as always, with the exception of the bookstore.\This is the first time I've come to the 3rd floor.\Where do they keep the Fanitsu? Somewhere near the kids' section?\No, it wouldn't be with the storybooks... response:	No, it wouldn't be with the storybooks... I know, right?
context: making a careful selection of requisite ingredients.\The weather will likely make a turn for the worst between 3:00 pm and 4:00 pm.\So, I'll finish up my purchases and get home before then.\Still, this is the same route as always, with the exception of the bookstore.\This is the first time I've come to the 3rd floor.\Where do they keep the Fanitsu? Somewhere near the kids' section?\No, it wouldn't be with the storybooks...\No, it wouldn't be with the storybooks... I know, right? response:	Oh, Kirie.
context: The weather will likely make a turn for the worst between 3:00 pm and 4:00 pm.\So, I'll finish up my purchases and get home before then.\Still, this is the same route as always, with the exception of the bookstore.\This is the first time I've come to the 3rd floor.\Where do they keep the Fanitsu? Somewhere near the kids' section?\No, it wouldn't be with the storybooks...\No, it wouldn't be with the storybooks... I know, right?\Oh, Kirie. response:	H-hi!
context: So, I'll finish up my purchases and get home before then.\Still, this is the same route as always, with the exception of the bookstore.\This is the first time I've come to the 3rd floor.\Where do they keep the Fanitsu? Somewhere near the kids' section?\No, it wouldn't be with the storybooks...\No, it wouldn't be with the storybooks... I know, right?\Oh, Kirie.\H-hi! response:	You buying something?
context: Still, this is the same route as always, with the exception of the bookstore.\This is the first time I've come to the 3rd floor.\Where do they keep the Fanitsu? Somewhere near the kids' section?\No, it wouldn't be with the storybooks...\No, it wouldn't be with the storybooks... I know, right?\Oh, Kirie.\H-hi!\You buying something? response:	N-no! Just browsing! Well, see you!
context: This is the first time I've come to the 3rd floor.\Where do they keep the Fanitsu? Somewhere near the kids' section?\No, it wouldn't be with the storybooks...\No, it wouldn't be with the storybooks... I know, right?\Oh, Kirie.\H-hi!\You buying something?\N-no! Just browsing! Well, see you! response:	Maybe that was a bad time to try to talk to her again...
context: Where do they keep the Fanitsu? Somewhere near the kids' section?\No, it wouldn't be with the storybooks...\No, it wouldn't be with the storybooks... I know, right?\Oh, Kirie.\H-hi!\You buying something?\N-no! Just browsing! Well, see you!\Maybe that was a bad time to try to talk to her again... response:	What was all that about? The same thing happened last time too.
context: No, it wouldn't be with the storybooks...\No, it wouldn't be with the storybooks... I know, right?\Oh, Kirie.\H-hi!\You buying something?\N-no! Just browsing! Well, see you!\Maybe that was a bad time to try to talk to her again...\What was all that about? The same thing happened last time too. response:	Huh? Kirie...?
context: No, it wouldn't be with the storybooks... I know, right?\Oh, Kirie.\H-hi!\You buying something?\N-no! Just browsing! Well, see you!\Maybe that was a bad time to try to talk to her again...\What was all that about? The same thing happened last time too.\Huh? Kirie...? response:	Oh, I get it. Because of the rain.
context: Oh, Kirie.\H-hi!\You buying something?\N-no! Just browsing! Well, see you!\Maybe that was a bad time to try to talk to her again...\What was all that about? The same thing happened last time too.\Huh? Kirie...?\Oh, I get it. Because of the rain. response:	It's not gonna rain!
context: H-hi!\You buying something?\N-no! Just browsing! Well, see you!\Maybe that was a bad time to try to talk to her again...\What was all that about? The same thing happened last time too.\Huh? Kirie...?\Oh, I get it. Because of the rain.\It's not gonna rain! response:	It's freaking pouring down, Umaru...
context: You buying something?\N-no! Just browsing! Well, see you!\Maybe that was a bad time to try to talk to her again...\What was all that about? The same thing happened last time too.\Huh? Kirie...?\Oh, I get it. Because of the rain.\It's not gonna rain!\It's freaking pouring down, Umaru... response:	Hi, Kirie.
context: N-no! Just browsing! Well, see you!\Maybe that was a bad time to try to talk to her again...\What was all that about? The same thing happened last time too.\Huh? Kirie...?\Oh, I get it. Because of the rain.\It's not gonna rain!\It's freaking pouring down, Umaru...\Hi, Kirie. response:	Oh, Taihei!
context: Maybe that was a bad time to try to talk to her again...\What was all that about? The same thing happened last time too.\Huh? Kirie...?\Oh, I get it. Because of the rain.\It's not gonna rain!\It's freaking pouring down, Umaru...\Hi, Kirie.\Oh, Taihei! response:	Looks like you don't have an umbrella ei...
context: What was all that about? The same thing happened last time too.\Huh? Kirie...?\Oh, I get it. Because of the rain.\It's not gonna rain!\It's freaking pouring down, Umaru...\Hi, Kirie.\Oh, Taihei!\Looks like you don't have an umbrella ei... response:	Huh?!
context: Huh? Kirie...?\Oh, I get it. Because of the rain.\It's not gonna rain!\It's freaking pouring down, Umaru...\Hi, Kirie.\Oh, Taihei!\Looks like you don't have an umbrella ei...\Huh?! response:	Wh-what's the matter, Kirie?
context: Oh, I get it. Because of the rain.\It's not gonna rain!\It's freaking pouring down, Umaru...\Hi, Kirie.\Oh, Taihei!\Looks like you don't have an umbrella ei...\Huh?!\Wh-what's the matter, Kirie? response:	N-no, it's just...
context: It's not gonna rain!\It's freaking pouring down, Umaru...\Hi, Kirie.\Oh, Taihei!\Looks like you don't have an umbrella ei...\Huh?!\Wh-what's the matter, Kirie?\N-no, it's just... response:	Come to think of it, she seems to get a little down on rainy days.
context: It's freaking pouring down, Umaru...\Hi, Kirie.\Oh, Taihei!\Looks like you don't have an umbrella ei...\Huh?!\Wh-what's the matter, Kirie?\N-no, it's just...\Come to think of it, she seems to get a little down on rainy days. response:	I came to the bookstore to do a bit of research, but I...
context: Hi, Kirie.\Oh, Taihei!\Looks like you don't have an umbrella ei...\Huh?!\Wh-what's the matter, Kirie?\N-no, it's just...\Come to think of it, she seems to get a little down on rainy days.\I came to the bookstore to do a bit of research, but I... response:	you always made the best grades in school, didn't you?
context: Oh, Taihei!\Looks like you don't have an umbrella ei...\Huh?!\Wh-what's the matter, Kirie?\N-no, it's just...\Come to think of it, she seems to get a little down on rainy days.\I came to the bookstore to do a bit of research, but I...\you always made the best grades in school, didn't you? response:	But I'm nowhere near as good as you. There's no way I could make my dream come...
