context: Once upon a time, there was a maiden in love. response:	I want to tell my beloved how I feel, but my love might be over the moment I say it.
context: Drosselmeyer-san?!\The shards that were hidden inside chinks in other people's hearts have all been returned now!\But those aren't ALL the shards.\What? Really?\Of course. His heart has to keep the raven from moving, after all.\That IS why it was shattered.\Then...\Oh, dear, I don't have time for this! response:	What?! Wait!
context: The shards that were hidden inside chinks in other people's hearts have all been returned now!\But those aren't ALL the shards.\What? Really?\Of course. His heart has to keep the raven from moving, after all.\That IS why it was shattered.\Then...\Oh, dear, I don't have time for this!\What?! Wait! response:	Then what should I do?! Where's the rest of his heart?!
context: But those aren't ALL the shards.\What? Really?\Of course. His heart has to keep the raven from moving, after all.\That IS why it was shattered.\Then...\Oh, dear, I don't have time for this!\What?! Wait!\Then what should I do?! Where's the rest of his heart?! response:	The prince's heart is being dyed in raven's blood!
context: What? Really?\Of course. His heart has to keep the raven from moving, after all.\That IS why it was shattered.\Then...\Oh, dear, I don't have time for this!\What?! Wait!\Then what should I do?! Where's the rest of his heart?!\The prince's heart is being dyed in raven's blood! response:	Can I put it back to normal?
context: Of course. His heart has to keep the raven from moving, after all.\That IS why it was shattered.\Then...\Oh, dear, I don't have time for this!\What?! Wait!\Then what should I do?! Where's the rest of his heart?!\The prince's heart is being dyed in raven's blood!\Can I put it back to normal? response:	Tell me!
context: That IS why it was shattered.\Then...\Oh, dear, I don't have time for this!\What?! Wait!\Then what should I do?! Where's the rest of his heart?!\The prince's heart is being dyed in raven's blood!\Can I put it back to normal?\Tell me! response:	Bye-bye, Little Duck! We'll have the opportunity to meet again...when I feel like it.
context: Then...\Oh, dear, I don't have time for this!\What?! Wait!\Then what should I do?! Where's the rest of his heart?!\The prince's heart is being dyed in raven's blood!\Can I put it back to normal?\Tell me!\Bye-bye, Little Duck! We'll have the opportunity to meet again...when I feel like it. response:	Did she disappear zura?
context: Oh, dear, I don't have time for this!\What?! Wait!\Then what should I do?! Where's the rest of his heart?!\The prince's heart is being dyed in raven's blood!\Can I put it back to normal?\Tell me!\Bye-bye, Little Duck! We'll have the opportunity to meet again...when I feel like it.\Did she disappear zura? response:	What? You say you met Drosselmeyer?
context: What?! Wait!\Then what should I do?! Where's the rest of his heart?!\The prince's heart is being dyed in raven's blood!\Can I put it back to normal?\Tell me!\Bye-bye, Little Duck! We'll have the opportunity to meet again...when I feel like it.\Did she disappear zura?\What? You say you met Drosselmeyer? response:	A Midsummer Night's Dream
context: Then what should I do?! Where's the rest of his heart?!\The prince's heart is being dyed in raven's blood!\Can I put it back to normal?\Tell me!\Bye-bye, Little Duck! We'll have the opportunity to meet again...when I feel like it.\Did she disappear zura?\What? You say you met Drosselmeyer?\A Midsummer Night's Dream response:	Yeah. It looks like when I meet Drosselmeyer-san, time stops.
context: The prince's heart is being dyed in raven's blood!\Can I put it back to normal?\Tell me!\Bye-bye, Little Duck! We'll have the opportunity to meet again...when I feel like it.\Did she disappear zura?\What? You say you met Drosselmeyer?\A Midsummer Night's Dream\Yeah. It looks like when I meet Drosselmeyer-san, time stops. response:	You can come in now, Fakir.
context: Can I put it back to normal?\Tell me!\Bye-bye, Little Duck! We'll have the opportunity to meet again...when I feel like it.\Did she disappear zura?\What? You say you met Drosselmeyer?\A Midsummer Night's Dream\Yeah. It looks like when I meet Drosselmeyer-san, time stops.\You can come in now, Fakir. response:	What happened then?
context: Tell me!\Bye-bye, Little Duck! We'll have the opportunity to meet again...when I feel like it.\Did she disappear zura?\What? You say you met Drosselmeyer?\A Midsummer Night's Dream\Yeah. It looks like when I meet Drosselmeyer-san, time stops.\You can come in now, Fakir.\What happened then? response:	He said the rest of the heart shards were sealing away the raven.
context: Bye-bye, Little Duck! We'll have the opportunity to meet again...when I feel like it.\Did she disappear zura?\What? You say you met Drosselmeyer?\A Midsummer Night's Dream\Yeah. It looks like when I meet Drosselmeyer-san, time stops.\You can come in now, Fakir.\What happened then?\He said the rest of the heart shards were sealing away the raven. response:	And... that the heart shards I returned to Mytho are hurting him.
context: Did she disappear zura?\What? You say you met Drosselmeyer?\A Midsummer Night's Dream\Yeah. It looks like when I meet Drosselmeyer-san, time stops.\You can come in now, Fakir.\What happened then?\He said the rest of the heart shards were sealing away the raven.\And... that the heart shards I returned to Mytho are hurting him. response:	So what?
context: What? You say you met Drosselmeyer?\A Midsummer Night's Dream\Yeah. It looks like when I meet Drosselmeyer-san, time stops.\You can come in now, Fakir.\What happened then?\He said the rest of the heart shards were sealing away the raven.\And... that the heart shards I returned to Mytho are hurting him.\So what? response:	What?
context: A Midsummer Night's Dream\Yeah. It looks like when I meet Drosselmeyer-san, time stops.\You can come in now, Fakir.\What happened then?\He said the rest of the heart shards were sealing away the raven.\And... that the heart shards I returned to Mytho are hurting him.\So what?\What? response:	If Drosselmeyer is right, the moment the rest of the heart shards are returned will be the moment of the raven's resurrection.
context: Yeah. It looks like when I meet Drosselmeyer-san, time stops.\You can come in now, Fakir.\What happened then?\He said the rest of the heart shards were sealing away the raven.\And... that the heart shards I returned to Mytho are hurting him.\So what?\What?\If Drosselmeyer is right, the moment the rest of the heart shards are returned will be the moment of the raven's resurrection. response:	In other words, the moment when the fight begins.
context: You can come in now, Fakir.\What happened then?\He said the rest of the heart shards were sealing away the raven.\And... that the heart shards I returned to Mytho are hurting him.\So what?\What?\If Drosselmeyer is right, the moment the rest of the heart shards are returned will be the moment of the raven's resurrection.\In other words, the moment when the fight begins. response:	Mytho has to be prepared for some suffering already.
context: What happened then?\He said the rest of the heart shards were sealing away the raven.\And... that the heart shards I returned to Mytho are hurting him.\So what?\What?\If Drosselmeyer is right, the moment the rest of the heart shards are returned will be the moment of the raven's resurrection.\In other words, the moment when the fight begins.\Mytho has to be prepared for some suffering already. response:	If you aren't prepared to handle that too, you should stop being Princess Tutu.
context: He said the rest of the heart shards were sealing away the raven.\And... that the heart shards I returned to Mytho are hurting him.\So what?\What?\If Drosselmeyer is right, the moment the rest of the heart shards are returned will be the moment of the raven's resurrection.\In other words, the moment when the fight begins.\Mytho has to be prepared for some suffering already.\If you aren't prepared to handle that too, you should stop being Princess Tutu. response:	I'll protect Mytho with my sword.
context: And... that the heart shards I returned to Mytho are hurting him.\So what?\What?\If Drosselmeyer is right, the moment the rest of the heart shards are returned will be the moment of the raven's resurrection.\In other words, the moment when the fight begins.\Mytho has to be prepared for some suffering already.\If you aren't prepared to handle that too, you should stop being Princess Tutu.\I'll protect Mytho with my sword. response:	Um, I don't really want you brandishing a sword.
context: So what?\What?\If Drosselmeyer is right, the moment the rest of the heart shards are returned will be the moment of the raven's resurrection.\In other words, the moment when the fight begins.\Mytho has to be prepared for some suffering already.\If you aren't prepared to handle that too, you should stop being Princess Tutu.\I'll protect Mytho with my sword.\Um, I don't really want you brandishing a sword. response:	I mean, it's dangerous and stuff...
context: What?\If Drosselmeyer is right, the moment the rest of the heart shards are returned will be the moment of the raven's resurrection.\In other words, the moment when the fight begins.\Mytho has to be prepared for some suffering already.\If you aren't prepared to handle that too, you should stop being Princess Tutu.\I'll protect Mytho with my sword.\Um, I don't really want you brandishing a sword.\I mean, it's dangerous and stuff... response:	So you don't acknowledge me as a knight?
context: If Drosselmeyer is right, the moment the rest of the heart shards are returned will be the moment of the raven's resurrection.\In other words, the moment when the fight begins.\Mytho has to be prepared for some suffering already.\If you aren't prepared to handle that too, you should stop being Princess Tutu.\I'll protect Mytho with my sword.\Um, I don't really want you brandishing a sword.\I mean, it's dangerous and stuff...\So you don't acknowledge me as a knight? response:	That's not it!
context: In other words, the moment when the fight begins.\Mytho has to be prepared for some suffering already.\If you aren't prepared to handle that too, you should stop being Princess Tutu.\I'll protect Mytho with my sword.\Um, I don't really want you brandishing a sword.\I mean, it's dangerous and stuff...\So you don't acknowledge me as a knight?\That's not it! response:	I mean, you've been doing research in books and stuff all this time.
context: Mytho has to be prepared for some suffering already.\If you aren't prepared to handle that too, you should stop being Princess Tutu.\I'll protect Mytho with my sword.\Um, I don't really want you brandishing a sword.\I mean, it's dangerous and stuff...\So you don't acknowledge me as a knight?\That's not it!\I mean, you've been doing research in books and stuff all this time. response:	So I just think you could be a knight like that instead of...
context: If you aren't prepared to handle that too, you should stop being Princess Tutu.\I'll protect Mytho with my sword.\Um, I don't really want you brandishing a sword.\I mean, it's dangerous and stuff...\So you don't acknowledge me as a knight?\That's not it!\I mean, you've been doing research in books and stuff all this time.\So I just think you could be a knight like that instead of... response:	Fakir...
context: I'll protect Mytho with my sword.\Um, I don't really want you brandishing a sword.\I mean, it's dangerous and stuff...\So you don't acknowledge me as a knight?\That's not it!\I mean, you've been doing research in books and stuff all this time.\So I just think you could be a knight like that instead of...\Fakir... response:	If your wounds have healed, then go home.
context: Um, I don't really want you brandishing a sword.\I mean, it's dangerous and stuff...\So you don't acknowledge me as a knight?\That's not it!\I mean, you've been doing research in books and stuff all this time.\So I just think you could be a knight like that instead of...\Fakir...\If your wounds have healed, then go home. response:	I'll walk you.
context: I mean, it's dangerous and stuff...\So you don't acknowledge me as a knight?\That's not it!\I mean, you've been doing research in books and stuff all this time.\So I just think you could be a knight like that instead of...\Fakir...\If your wounds have healed, then go home.\I'll walk you. response:	Are you mad?
context: So you don't acknowledge me as a knight?\That's not it!\I mean, you've been doing research in books and stuff all this time.\So I just think you could be a knight like that instead of...\Fakir...\If your wounds have healed, then go home.\I'll walk you.\Are you mad? response:	I'm not particularly mad.
context: That's not it!\I mean, you've been doing research in books and stuff all this time.\So I just think you could be a knight like that instead of...\Fakir...\If your wounds have healed, then go home.\I'll walk you.\Are you mad?\I'm not particularly mad. response:	You ARE mad.
context: I mean, you've been doing research in books and stuff all this time.\So I just think you could be a knight like that instead of...\Fakir...\If your wounds have healed, then go home.\I'll walk you.\Are you mad?\I'm not particularly mad.\You ARE mad. response:	Oh, thank you for bandaging me.
context: So I just think you could be a knight like that instead of...\Fakir...\If your wounds have healed, then go home.\I'll walk you.\Are you mad?\I'm not particularly mad.\You ARE mad.\Oh, thank you for bandaging me. response:	See you later.
context: Fakir...\If your wounds have healed, then go home.\I'll walk you.\Are you mad?\I'm not particularly mad.\You ARE mad.\Oh, thank you for bandaging me.\See you later. response:	Good night!
context: If your wounds have healed, then go home.\I'll walk you.\Are you mad?\I'm not particularly mad.\You ARE mad.\Oh, thank you for bandaging me.\See you later.\Good night! response:	A knight who can't even protect a princess, huh?
context: I'll walk you.\Are you mad?\I'm not particularly mad.\You ARE mad.\Oh, thank you for bandaging me.\See you later.\Good night!\A knight who can't even protect a princess, huh? response:	What can you do? A knight who couldn't even die.
context: Are you mad?\I'm not particularly mad.\You ARE mad.\Oh, thank you for bandaging me.\See you later.\Good night!\A knight who can't even protect a princess, huh?\What can you do? A knight who couldn't even die. response:	In the story, you're no longer needed.
context: I'm not particularly mad.\You ARE mad.\Oh, thank you for bandaging me.\See you later.\Good night!\A knight who can't even protect a princess, huh?\What can you do? A knight who couldn't even die.\In the story, you're no longer needed. response:	Will the story stay exactly the same whether I'm here or not?
context: You ARE mad.\Oh, thank you for bandaging me.\See you later.\Good night!\A knight who can't even protect a princess, huh?\What can you do? A knight who couldn't even die.\In the story, you're no longer needed.\Will the story stay exactly the same whether I'm here or not? response:	Fakir was acting strange, getting mad and then suddenly getting depressed...
context: Oh, thank you for bandaging me.\See you later.\Good night!\A knight who can't even protect a princess, huh?\What can you do? A knight who couldn't even die.\In the story, you're no longer needed.\Will the story stay exactly the same whether I'm here or not?\Fakir was acting strange, getting mad and then suddenly getting depressed... response:	Ahiru-san!
context: See you later.\Good night!\A knight who can't even protect a princess, huh?\What can you do? A knight who couldn't even die.\In the story, you're no longer needed.\Will the story stay exactly the same whether I'm here or not?\Fakir was acting strange, getting mad and then suddenly getting depressed...\Ahiru-san! response:	Watch out!
context: Good night!\A knight who can't even protect a princess, huh?\What can you do? A knight who couldn't even die.\In the story, you're no longer needed.\Will the story stay exactly the same whether I'm here or not?\Fakir was acting strange, getting mad and then suddenly getting depressed...\Ahiru-san!\Watch out! response:	You were mere centimeters from marrying Cat-sensei!
context: A knight who can't even protect a princess, huh?\What can you do? A knight who couldn't even die.\In the story, you're no longer needed.\Will the story stay exactly the same whether I'm here or not?\Fakir was acting strange, getting mad and then suddenly getting depressed...\Ahiru-san!\Watch out!\You were mere centimeters from marrying Cat-sensei! response:	Oh, thanks.
context: What can you do? A knight who couldn't even die.\In the story, you're no longer needed.\Will the story stay exactly the same whether I'm here or not?\Fakir was acting strange, getting mad and then suddenly getting depressed...\Ahiru-san!\Watch out!\You were mere centimeters from marrying Cat-sensei!\Oh, thanks. response:	You were all spaced out. Thinking about Fakir-sama, I'll bet!
context: In the story, you're no longer needed.\Will the story stay exactly the same whether I'm here or not?\Fakir was acting strange, getting mad and then suddenly getting depressed...\Ahiru-san!\Watch out!\You were mere centimeters from marrying Cat-sensei!\Oh, thanks.\You were all spaced out. Thinking about Fakir-sama, I'll bet! response:	No, I...
context: Will the story stay exactly the same whether I'm here or not?\Fakir was acting strange, getting mad and then suddenly getting depressed...\Ahiru-san!\Watch out!\You were mere centimeters from marrying Cat-sensei!\Oh, thanks.\You were all spaced out. Thinking about Fakir-sama, I'll bet!\No, I... response:	You want to tell him how you feel, don't you?
context: Fakir was acting strange, getting mad and then suddenly getting depressed...\Ahiru-san!\Watch out!\You were mere centimeters from marrying Cat-sensei!\Oh, thanks.\You were all spaced out. Thinking about Fakir-sama, I'll bet!\No, I...\You want to tell him how you feel, don't you? response:	No...
context: Ahiru-san!\Watch out!\You were mere centimeters from marrying Cat-sensei!\Oh, thanks.\You were all spaced out. Thinking about Fakir-sama, I'll bet!\No, I...\You want to tell him how you feel, don't you?\No... response:	Okay, why don't you try sending him a love letter?
context: Watch out!\You were mere centimeters from marrying Cat-sensei!\Oh, thanks.\You were all spaced out. Thinking about Fakir-sama, I'll bet!\No, I...\You want to tell him how you feel, don't you?\No...\Okay, why don't you try sending him a love letter? response:	What? No, that's...
context: You were mere centimeters from marrying Cat-sensei!\Oh, thanks.\You were all spaced out. Thinking about Fakir-sama, I'll bet!\No, I...\You want to tell him how you feel, don't you?\No...\Okay, why don't you try sending him a love letter?\What? No, that's... response:	You'll do it, won't you?
context: Oh, thanks.\You were all spaced out. Thinking about Fakir-sama, I'll bet!\No, I...\You want to tell him how you feel, don't you?\No...\Okay, why don't you try sending him a love letter?\What? No, that's...\You'll do it, won't you? response:	I thought this might happen, so I prepared a love letter to Fakir-sama.
context: You were all spaced out. Thinking about Fakir-sama, I'll bet!\No, I...\You want to tell him how you feel, don't you?\No...\Okay, why don't you try sending him a love letter?\What? No, that's...\You'll do it, won't you?\I thought this might happen, so I prepared a love letter to Fakir-sama. response:	What?
context: No, I...\You want to tell him how you feel, don't you?\No...\Okay, why don't you try sending him a love letter?\What? No, that's...\You'll do it, won't you?\I thought this might happen, so I prepared a love letter to Fakir-sama.\What? response:	If you wander around school holding that, Bottom-san will come, so ask her to pass it on.
context: You want to tell him how you feel, don't you?\No...\Okay, why don't you try sending him a love letter?\What? No, that's...\You'll do it, won't you?\I thought this might happen, so I prepared a love letter to Fakir-sama.\What?\If you wander around school holding that, Bottom-san will come, so ask her to pass it on. response:	Bottom-san?
context: No...\Okay, why don't you try sending him a love letter?\What? No, that's...\You'll do it, won't you?\I thought this might happen, so I prepared a love letter to Fakir-sama.\What?\If you wander around school holding that, Bottom-san will come, so ask her to pass it on.\Bottom-san? response:	She delivers love letters for people.
context: Okay, why don't you try sending him a love letter?\What? No, that's...\You'll do it, won't you?\I thought this might happen, so I prepared a love letter to Fakir-sama.\What?\If you wander around school holding that, Bottom-san will come, so ask her to pass it on.\Bottom-san?\She delivers love letters for people. response:	Word is she knows the feelings of people in love.
context: What? No, that's...\You'll do it, won't you?\I thought this might happen, so I prepared a love letter to Fakir-sama.\What?\If you wander around school holding that, Bottom-san will come, so ask her to pass it on.\Bottom-san?\She delivers love letters for people.\Word is she knows the feelings of people in love. response:	She knows their feelings?
context: You'll do it, won't you?\I thought this might happen, so I prepared a love letter to Fakir-sama.\What?\If you wander around school holding that, Bottom-san will come, so ask her to pass it on.\Bottom-san?\She delivers love letters for people.\Word is she knows the feelings of people in love.\She knows their feelings? response:	We'll call it The Great Lovey-Dovey Letter Operation!
context: I thought this might happen, so I prepared a love letter to Fakir-sama.\What?\If you wander around school holding that, Bottom-san will come, so ask her to pass it on.\Bottom-san?\She delivers love letters for people.\Word is she knows the feelings of people in love.\She knows their feelings?\We'll call it The Great Lovey-Dovey Letter Operation! response:	So good luck, okay?
context: What?\If you wander around school holding that, Bottom-san will come, so ask her to pass it on.\Bottom-san?\She delivers love letters for people.\Word is she knows the feelings of people in love.\She knows their feelings?\We'll call it The Great Lovey-Dovey Letter Operation!\So good luck, okay? response:	Come on, we have to prepare to comfort her later!
context: If you wander around school holding that, Bottom-san will come, so ask her to pass it on.\Bottom-san?\She delivers love letters for people.\Word is she knows the feelings of people in love.\She knows their feelings?\We'll call it The Great Lovey-Dovey Letter Operation!\So good luck, okay?\Come on, we have to prepare to comfort her later! response:	A love letter to Fakir...
context: Bottom-san?\She delivers love letters for people.\Word is she knows the feelings of people in love.\She knows their feelings?\We'll call it The Great Lovey-Dovey Letter Operation!\So good luck, okay?\Come on, we have to prepare to comfort her later!\A love letter to Fakir... response:	If I gave him something like this, he'd say, Don't waste time doing stupid stuff, idiot, or something.
context: She delivers love letters for people.\Word is she knows the feelings of people in love.\She knows their feelings?\We'll call it The Great Lovey-Dovey Letter Operation!\So good luck, okay?\Come on, we have to prepare to comfort her later!\A love letter to Fakir...\If I gave him something like this, he'd say, Don't waste time doing stupid stuff, idiot, or something. response:	Is that lovey-dovey zura?
context: Word is she knows the feelings of people in love.\She knows their feelings?\We'll call it The Great Lovey-Dovey Letter Operation!\So good luck, okay?\Come on, we have to prepare to comfort her later!\A love letter to Fakir...\If I gave him something like this, he'd say, Don't waste time doing stupid stuff, idiot, or something.\Is that lovey-dovey zura? response:	But she knows feelings?
context: She knows their feelings?\We'll call it The Great Lovey-Dovey Letter Operation!\So good luck, okay?\Come on, we have to prepare to comfort her later!\A love letter to Fakir...\If I gave him something like this, he'd say, Don't waste time doing stupid stuff, idiot, or something.\Is that lovey-dovey zura?\But she knows feelings? response:	I wonder if I'd know how Mytho really feels, if I had that kind of power...
context: We'll call it The Great Lovey-Dovey Letter Operation!\So good luck, okay?\Come on, we have to prepare to comfort her later!\A love letter to Fakir...\If I gave him something like this, he'd say, Don't waste time doing stupid stuff, idiot, or something.\Is that lovey-dovey zura?\But she knows feelings?\I wonder if I'd know how Mytho really feels, if I had that kind of power... response:	Bottom-san...
context: So good luck, okay?\Come on, we have to prepare to comfort her later!\A love letter to Fakir...\If I gave him something like this, he'd say, Don't waste time doing stupid stuff, idiot, or something.\Is that lovey-dovey zura?\But she knows feelings?\I wonder if I'd know how Mytho really feels, if I had that kind of power...\Bottom-san... response:	Prince? Prince, aren't you here?
context: Come on, we have to prepare to comfort her later!\A love letter to Fakir...\If I gave him something like this, he'd say, Don't waste time doing stupid stuff, idiot, or something.\Is that lovey-dovey zura?\But she knows feelings?\I wonder if I'd know how Mytho really feels, if I had that kind of power...\Bottom-san...\Prince? Prince, aren't you here? response:	What is this? It looks like he fought with someone...
context: A love letter to Fakir...\If I gave him something like this, he'd say, Don't waste time doing stupid stuff, idiot, or something.\Is that lovey-dovey zura?\But she knows feelings?\I wonder if I'd know how Mytho really feels, if I had that kind of power...\Bottom-san...\Prince? Prince, aren't you here?\What is this? It looks like he fought with someone... response:	Could it be... that something is happening because a new heart shard returned to him?
context: If I gave him something like this, he'd say, Don't waste time doing stupid stuff, idiot, or something.\Is that lovey-dovey zura?\But she knows feelings?\I wonder if I'd know how Mytho really feels, if I had that kind of power...\Bottom-san...\Prince? Prince, aren't you here?\What is this? It looks like he fought with someone...\Could it be... that something is happening because a new heart shard returned to him? response:	I have to overcome the raven's blood, if I'm a proud prince...
