context: The walls gave the people a century of peace and security. response:	The terror of being at their mercy
context: humans succeeded in capturing one of these disguised Titans: Annie Leonhart.\Nevertheless...\Hey!\Look!\A Titan?!\In the wall?!\It can't be!\Your orders, Section Commander? response:	Huh? What? Hold on!
context: Nevertheless...\Hey!\Look!\A Titan?!\In the wall?!\It can't be!\Your orders, Section Commander?\Huh? What? Hold on! response:	Was that there just by coincidence?
context: Hey!\Look!\A Titan?!\In the wall?!\It can't be!\Your orders, Section Commander?\Huh? What? Hold on!\Was that there just by coincidence? response:	Or does this mean...?
context: Look!\A Titan?!\In the wall?!\It can't be!\Your orders, Section Commander?\Huh? What? Hold on!\Was that there just by coincidence?\Or does this mean...? response:	Pastor Nick?
context: A Titan?!\In the wall?!\It can't be!\Your orders, Section Commander?\Huh? What? Hold on!\Was that there just by coincidence?\Or does this mean...?\Pastor Nick? response:	Whatever you do...
context: In the wall?!\It can't be!\Your orders, Section Commander?\Huh? What? Hold on!\Was that there just by coincidence?\Or does this mean...?\Pastor Nick?\Whatever you do... response:	Huh?
context: It can't be!\Your orders, Section Commander?\Huh? What? Hold on!\Was that there just by coincidence?\Or does this mean...?\Pastor Nick?\Whatever you do...\Huh? response:	Beast Titan
context: Your orders, Section Commander?\Huh? What? Hold on!\Was that there just by coincidence?\Or does this mean...?\Pastor Nick?\Whatever you do...\Huh?\Beast Titan response:	For now, we've covered the Wall Titan with sheets.
context: Huh? What? Hold on!\Was that there just by coincidence?\Or does this mean...?\Pastor Nick?\Whatever you do...\Huh?\Beast Titan\For now, we've covered the Wall Titan with sheets. response:	We'll take more proper measures after sunset.
context: Was that there just by coincidence?\Or does this mean...?\Pastor Nick?\Whatever you do...\Huh?\Beast Titan\For now, we've covered the Wall Titan with sheets.\We'll take more proper measures after sunset. response:	I see.
context: Or does this mean...?\Pastor Nick?\Whatever you do...\Huh?\Beast Titan\For now, we've covered the Wall Titan with sheets.\We'll take more proper measures after sunset.\I see. response:	What are we supposed to make of this, Sir?
context: Pastor Nick?\Whatever you do...\Huh?\Beast Titan\For now, we've covered the Wall Titan with sheets.\We'll take more proper measures after sunset.\I see.\What are we supposed to make of this, Sir? response:	I never imagined there were Titans in the walls...
context: Whatever you do...\Huh?\Beast Titan\For now, we've covered the Wall Titan with sheets.\We'll take more proper measures after sunset.\I see.\What are we supposed to make of this, Sir?\I never imagined there were Titans in the walls... response:	No one did.
context: Huh?\Beast Titan\For now, we've covered the Wall Titan with sheets.\We'll take more proper measures after sunset.\I see.\What are we supposed to make of this, Sir?\I never imagined there were Titans in the walls...\No one did. response:	There were only people who knew, and people who didn't.
context: Beast Titan\For now, we've covered the Wall Titan with sheets.\We'll take more proper measures after sunset.\I see.\What are we supposed to make of this, Sir?\I never imagined there were Titans in the walls...\No one did.\There were only people who knew, and people who didn't. response:	What's the deal?!
context: For now, we've covered the Wall Titan with sheets.\We'll take more proper measures after sunset.\I see.\What are we supposed to make of this, Sir?\I never imagined there were Titans in the walls...\No one did.\There were only people who knew, and people who didn't.\What's the deal?! response:	We just fought a Titan here. Why are they keeping us in the dark?
context: We'll take more proper measures after sunset.\I see.\What are we supposed to make of this, Sir?\I never imagined there were Titans in the walls...\No one did.\There were only people who knew, and people who didn't.\What's the deal?!\We just fought a Titan here. Why are they keeping us in the dark? response:	Business as usual.
context: I see.\What are we supposed to make of this, Sir?\I never imagined there were Titans in the walls...\No one did.\There were only people who knew, and people who didn't.\What's the deal?!\We just fought a Titan here. Why are they keeping us in the dark?\Business as usual. response:	But what's scummiest of all...
context: What are we supposed to make of this, Sir?\I never imagined there were Titans in the walls...\No one did.\There were only people who knew, and people who didn't.\What's the deal?!\We just fought a Titan here. Why are they keeping us in the dark?\Business as usual.\But what's scummiest of all... response:	Now then,
context: I never imagined there were Titans in the walls...\No one did.\There were only people who knew, and people who didn't.\What's the deal?!\We just fought a Titan here. Why are they keeping us in the dark?\Business as usual.\But what's scummiest of all...\Now then, response:	it's time for you to talk.
context: No one did.\There were only people who knew, and people who didn't.\What's the deal?!\We just fought a Titan here. Why are they keeping us in the dark?\Business as usual.\But what's scummiest of all...\Now then,\it's time for you to talk. response:	What is this Titan?
context: There were only people who knew, and people who didn't.\What's the deal?!\We just fought a Titan here. Why are they keeping us in the dark?\Business as usual.\But what's scummiest of all...\Now then,\it's time for you to talk.\What is this Titan? response:	What is it doing inside the wall?
context: What's the deal?!\We just fought a Titan here. Why are they keeping us in the dark?\Business as usual.\But what's scummiest of all...\Now then,\it's time for you to talk.\What is this Titan?\What is it doing inside the wall? response:	And... why did you people keep this a secret all this time?
context: We just fought a Titan here. Why are they keeping us in the dark?\Business as usual.\But what's scummiest of all...\Now then,\it's time for you to talk.\What is this Titan?\What is it doing inside the wall?\And... why did you people keep this a secret all this time? response:	I have work to do!
context: Business as usual.\But what's scummiest of all...\Now then,\it's time for you to talk.\What is this Titan?\What is it doing inside the wall?\And... why did you people keep this a secret all this time?\I have work to do! response:	My church and followers have been devastated!
context: But what's scummiest of all...\Now then,\it's time for you to talk.\What is this Titan?\What is it doing inside the wall?\And... why did you people keep this a secret all this time?\I have work to do!\My church and followers have been devastated! response:	This is your fault! I will demand restitution!
context: Now then,\it's time for you to talk.\What is this Titan?\What is it doing inside the wall?\And... why did you people keep this a secret all this time?\I have work to do!\My church and followers have been devastated!\This is your fault! I will demand restitution! response:	Now let me back down!
context: it's time for you to talk.\What is this Titan?\What is it doing inside the wall?\And... why did you people keep this a secret all this time?\I have work to do!\My church and followers have been devastated!\This is your fault! I will demand restitution!\Now let me back down! response:	Certainly.
context: What is this Titan?\What is it doing inside the wall?\And... why did you people keep this a secret all this time?\I have work to do!\My church and followers have been devastated!\This is your fault! I will demand restitution!\Now let me back down!\Certainly. response:	Will straight down do?
context: What is it doing inside the wall?\And... why did you people keep this a secret all this time?\I have work to do!\My church and followers have been devastated!\This is your fault! I will demand restitution!\Now let me back down!\Certainly.\Will straight down do? response:	Section Commander!
context: And... why did you people keep this a secret all this time?\I have work to do!\My church and followers have been devastated!\This is your fault! I will demand restitution!\Now let me back down!\Certainly.\Will straight down do?\Section Commander! response:	Stay back.
context: I have work to do!\My church and followers have been devastated!\This is your fault! I will demand restitution!\Now let me back down!\Certainly.\Will straight down do?\Section Commander!\Stay back. response:	Enough of this!
context: My church and followers have been devastated!\This is your fault! I will demand restitution!\Now let me back down!\Certainly.\Will straight down do?\Section Commander!\Stay back.\Enough of this! response:	Do you people know why we Scouts have shed so much blood?!
context: This is your fault! I will demand restitution!\Now let me back down!\Certainly.\Will straight down do?\Section Commander!\Stay back.\Enough of this!\Do you people know why we Scouts have shed so much blood?! response:	To take back our freedom from the Titans!
context: Now let me back down!\Certainly.\Will straight down do?\Section Commander!\Stay back.\Enough of this!\Do you people know why we Scouts have shed so much blood?!\To take back our freedom from the Titans! response:	I was willing to sacrifice my own life for that cause!
context: Certainly.\Will straight down do?\Section Commander!\Stay back.\Enough of this!\Do you people know why we Scouts have shed so much blood?!\To take back our freedom from the Titans!\I was willing to sacrifice my own life for that cause! response:	I'm not asking you to talk, I'm ordering you. Is that clear?
context: Will straight down do?\Section Commander!\Stay back.\Enough of this!\Do you people know why we Scouts have shed so much blood?!\To take back our freedom from the Titans!\I was willing to sacrifice my own life for that cause!\I'm not asking you to talk, I'm ordering you. Is that clear? response:	And if you won't talk, I'll try the next person.
context: Section Commander!\Stay back.\Enough of this!\Do you people know why we Scouts have shed so much blood?!\To take back our freedom from the Titans!\I was willing to sacrifice my own life for that cause!\I'm not asking you to talk, I'm ordering you. Is that clear?\And if you won't talk, I'll try the next person. response:	Your measly life wouldn't make up for much, anyway!
context: Stay back.\Enough of this!\Do you people know why we Scouts have shed so much blood?!\To take back our freedom from the Titans!\I was willing to sacrifice my own life for that cause!\I'm not asking you to talk, I'm ordering you. Is that clear?\And if you won't talk, I'll try the next person.\Your measly life wouldn't make up for much, anyway! response:	Let... go of me!
context: Enough of this!\Do you people know why we Scouts have shed so much blood?!\To take back our freedom from the Titans!\I was willing to sacrifice my own life for that cause!\I'm not asking you to talk, I'm ordering you. Is that clear?\And if you won't talk, I'll try the next person.\Your measly life wouldn't make up for much, anyway!\Let... go of me! response:	Like this? Right now?
context: Do you people know why we Scouts have shed so much blood?!\To take back our freedom from the Titans!\I was willing to sacrifice my own life for that cause!\I'm not asking you to talk, I'm ordering you. Is that clear?\And if you won't talk, I'll try the next person.\Your measly life wouldn't make up for much, anyway!\Let... go of me!\Like this? Right now? response:	Yes!
context: To take back our freedom from the Titans!\I was willing to sacrifice my own life for that cause!\I'm not asking you to talk, I'm ordering you. Is that clear?\And if you won't talk, I'll try the next person.\Your measly life wouldn't make up for much, anyway!\Let... go of me!\Like this? Right now?\Yes! response:	Fine, then. Die.
context: I was willing to sacrifice my own life for that cause!\I'm not asking you to talk, I'm ordering you. Is that clear?\And if you won't talk, I'll try the next person.\Your measly life wouldn't make up for much, anyway!\Let... go of me!\Like this? Right now?\Yes!\Fine, then. Die. response:	Section Commander!
context: I'm not asking you to talk, I'm ordering you. Is that clear?\And if you won't talk, I'll try the next person.\Your measly life wouldn't make up for much, anyway!\Let... go of me!\Like this? Right now?\Yes!\Fine, then. Die.\Section Commander! response:	Kill me and learn!
context: And if you won't talk, I'll try the next person.\Your measly life wouldn't make up for much, anyway!\Let... go of me!\Like this? Right now?\Yes!\Fine, then. Die.\Section Commander!\Kill me and learn! response:	We will fulfill our duty, without fail!
context: Your measly life wouldn't make up for much, anyway!\Let... go of me!\Like this? Right now?\Yes!\Fine, then. Die.\Section Commander!\Kill me and learn!\We will fulfill our duty, without fail! response:	So...
context: Let... go of me!\Like this? Right now?\Yes!\Fine, then. Die.\Section Commander!\Kill me and learn!\We will fulfill our duty, without fail!\So... response:	Deliver me... O Lord...
context: Like this? Right now?\Yes!\Fine, then. Die.\Section Commander!\Kill me and learn!\We will fulfill our duty, without fail!\So...\Deliver me... O Lord... response:	Just kidding. I wasn't serious.
context: Yes!\Fine, then. Die.\Section Commander!\Kill me and learn!\We will fulfill our duty, without fail!\So...\Deliver me... O Lord...\Just kidding. I wasn't serious. response:	Tell me, Pastor Nick...
context: Fine, then. Die.\Section Commander!\Kill me and learn!\We will fulfill our duty, without fail!\So...\Deliver me... O Lord...\Just kidding. I wasn't serious.\Tell me, Pastor Nick... response:	Are all the walls made of Titans?
context: Section Commander!\Kill me and learn!\We will fulfill our duty, without fail!\So...\Deliver me... O Lord...\Just kidding. I wasn't serious.\Tell me, Pastor Nick...\Are all the walls made of Titans? response:	Section Commander...
context: Kill me and learn!\We will fulfill our duty, without fail!\So...\Deliver me... O Lord...\Just kidding. I wasn't serious.\Tell me, Pastor Nick...\Are all the walls made of Titans?\Section Commander... response:	Whew, I forgot how this feels.
context: We will fulfill our duty, without fail!\So...\Deliver me... O Lord...\Just kidding. I wasn't serious.\Tell me, Pastor Nick...\Are all the walls made of Titans?\Section Commander...\Whew, I forgot how this feels. response:	I haven't felt this way since my first time outside the walls.
context: So...\Deliver me... O Lord...\Just kidding. I wasn't serious.\Tell me, Pastor Nick...\Are all the walls made of Titans?\Section Commander...\Whew, I forgot how this feels.\I haven't felt this way since my first time outside the walls. response:	Talk about terrifying...
context: Deliver me... O Lord...\Just kidding. I wasn't serious.\Tell me, Pastor Nick...\Are all the walls made of Titans?\Section Commander...\Whew, I forgot how this feels.\I haven't felt this way since my first time outside the walls.\Talk about terrifying... response:	Hurry! Inform Commander Erwin!
context: Just kidding. I wasn't serious.\Tell me, Pastor Nick...\Are all the walls made of Titans?\Section Commander...\Whew, I forgot how this feels.\I haven't felt this way since my first time outside the walls.\Talk about terrifying...\Hurry! Inform Commander Erwin! response:	Hurry!
context: Tell me, Pastor Nick...\Are all the walls made of Titans?\Section Commander...\Whew, I forgot how this feels.\I haven't felt this way since my first time outside the walls.\Talk about terrifying...\Hurry! Inform Commander Erwin!\Hurry! response:	There are Titans inside Wall Rose!
context: Are all the walls made of Titans?\Section Commander...\Whew, I forgot how this feels.\I haven't felt this way since my first time outside the walls.\Talk about terrifying...\Hurry! Inform Commander Erwin!\Hurry!\There are Titans inside Wall Rose! response:	12 hours earlier
context: Section Commander...\Whew, I forgot how this feels.\I haven't felt this way since my first time outside the walls.\Talk about terrifying...\Hurry! Inform Commander Erwin!\Hurry!\There are Titans inside Wall Rose!\12 hours earlier response:	South of Wall Sina
context: Whew, I forgot how this feels.\I haven't felt this way since my first time outside the walls.\Talk about terrifying...\Hurry! Inform Commander Erwin!\Hurry!\There are Titans inside Wall Rose!\12 hours earlier\South of Wall Sina response:	My village isn't far south of here, you know...
context: I haven't felt this way since my first time outside the walls.\Talk about terrifying...\Hurry! Inform Commander Erwin!\Hurry!\There are Titans inside Wall Rose!\12 hours earlier\South of Wall Sina\My village isn't far south of here, you know... response:	My hometown is close by, too...
context: Talk about terrifying...\Hurry! Inform Commander Erwin!\Hurry!\There are Titans inside Wall Rose!\12 hours earlier\South of Wall Sina\My village isn't far south of here, you know...\My hometown is close by, too... response:	Damn. Why can't I go visit?
context: Hurry! Inform Commander Erwin!\Hurry!\There are Titans inside Wall Rose!\12 hours earlier\South of Wall Sina\My village isn't far south of here, you know...\My hometown is close by, too...\Damn. Why can't I go visit? response:	Maybe I'll sneak out at night.
context: Hurry!\There are Titans inside Wall Rose!\12 hours earlier\South of Wall Sina\My village isn't far south of here, you know...\My hometown is close by, too...\Damn. Why can't I go visit?\Maybe I'll sneak out at night. response:	They told me not to come back until I'm normal.
context: There are Titans inside Wall Rose!\12 hours earlier\South of Wall Sina\My village isn't far south of here, you know...\My hometown is close by, too...\Damn. Why can't I go visit?\Maybe I'll sneak out at night.\They told me not to come back until I'm normal. response:	They told me I was too puny to be a soldier.
context: 12 hours earlier\South of Wall Sina\My village isn't far south of here, you know...\My hometown is close by, too...\Damn. Why can't I go visit?\Maybe I'll sneak out at night.\They told me not to come back until I'm normal.\They told me I was too puny to be a soldier. response:	Was genius enough to be one, though. I was in our class' top ten.
context: South of Wall Sina\My village isn't far south of here, you know...\My hometown is close by, too...\Damn. Why can't I go visit?\Maybe I'll sneak out at night.\They told me not to come back until I'm normal.\They told me I was too puny to be a soldier.\Was genius enough to be one, though. I was in our class' top ten. response:	I'm gonna go make'em eat their words.
context: My village isn't far south of here, you know...\My hometown is close by, too...\Damn. Why can't I go visit?\Maybe I'll sneak out at night.\They told me not to come back until I'm normal.\They told me I was too puny to be a soldier.\Was genius enough to be one, though. I was in our class' top ten.\I'm gonna go make'em eat their words. response:	Conny. If you're serious, I'll help.
context: My hometown is close by, too...\Damn. Why can't I go visit?\Maybe I'll sneak out at night.\They told me not to come back until I'm normal.\They told me I was too puny to be a soldier.\Was genius enough to be one, though. I was in our class' top ten.\I'm gonna go make'em eat their words.\Conny. If you're serious, I'll help. response:	What? How come?
context: Damn. Why can't I go visit?\Maybe I'll sneak out at night.\They told me not to come back until I'm normal.\They told me I was too puny to be a soldier.\Was genius enough to be one, though. I was in our class' top ten.\I'm gonna go make'em eat their words.\Conny. If you're serious, I'll help.\What? How come? response:	Doesn't it seem strange?
context: Maybe I'll sneak out at night.\They told me not to come back until I'm normal.\They told me I was too puny to be a soldier.\Was genius enough to be one, though. I was in our class' top ten.\I'm gonna go make'em eat their words.\Conny. If you're serious, I'll help.\What? How come?\Doesn't it seem strange? response:	We're on standby in our plain clothes,
context: They told me not to come back until I'm normal.\They told me I was too puny to be a soldier.\Was genius enough to be one, though. I was in our class' top ten.\I'm gonna go make'em eat their words.\Conny. If you're serious, I'll help.\What? How come?\Doesn't it seem strange?\We're on standby in our plain clothes, response:	and we're not allowed to train or wear our uniforms.
context: They told me I was too puny to be a soldier.\Was genius enough to be one, though. I was in our class' top ten.\I'm gonna go make'em eat their words.\Conny. If you're serious, I'll help.\What? How come?\Doesn't it seem strange?\We're on standby in our plain clothes,\and we're not allowed to train or wear our uniforms. response:	Even more suspicious...
context: Was genius enough to be one, though. I was in our class' top ten.\I'm gonna go make'em eat their words.\Conny. If you're serious, I'll help.\What? How come?\Doesn't it seem strange?\We're on standby in our plain clothes,\and we're not allowed to train or wear our uniforms.\Even more suspicious... response:	We're inside the wall, not on the front line.
context: I'm gonna go make'em eat their words.\Conny. If you're serious, I'll help.\What? How come?\Doesn't it seem strange?\We're on standby in our plain clothes,\and we're not allowed to train or wear our uniforms.\Even more suspicious...\We're inside the wall, not on the front line. response:	Who are we fighting?
context: Conny. If you're serious, I'll help.\What? How come?\Doesn't it seem strange?\We're on standby in our plain clothes,\and we're not allowed to train or wear our uniforms.\Even more suspicious...\We're inside the wall, not on the front line.\Who are we fighting? response:	Well, there are bears in the area.
context: What? How come?\Doesn't it seem strange?\We're on standby in our plain clothes,\and we're not allowed to train or wear our uniforms.\Even more suspicious...\We're inside the wall, not on the front line.\Who are we fighting?\Well, there are bears in the area. response:	Yeah. Bears.
context: Doesn't it seem strange?\We're on standby in our plain clothes,\and we're not allowed to train or wear our uniforms.\Even more suspicious...\We're inside the wall, not on the front line.\Who are we fighting?\Well, there are bears in the area.\Yeah. Bears. response:	Guns are enough to handle bears.
context: We're on standby in our plain clothes,\and we're not allowed to train or wear our uniforms.\Even more suspicious...\We're inside the wall, not on the front line.\Who are we fighting?\Well, there are bears in the area.\Yeah. Bears.\Guns are enough to handle bears. response:	I hear thuds! They sound like footsteps!
context: and we're not allowed to train or wear our uniforms.\Even more suspicious...\We're inside the wall, not on the front line.\Who are we fighting?\Well, there are bears in the area.\Yeah. Bears.\Guns are enough to handle bears.\I hear thuds! They sound like footsteps! response:	Huh?
context: Even more suspicious...\We're inside the wall, not on the front line.\Who are we fighting?\Well, there are bears in the area.\Yeah. Bears.\Guns are enough to handle bears.\I hear thuds! They sound like footsteps!\Huh? response:	Get serious, Sasha.
context: We're inside the wall, not on the front line.\Who are we fighting?\Well, there are bears in the area.\Yeah. Bears.\Guns are enough to handle bears.\I hear thuds! They sound like footsteps!\Huh?\Get serious, Sasha. response:	If you're suggesting there are Titans here...
context: Who are we fighting?\Well, there are bears in the area.\Yeah. Bears.\Guns are enough to handle bears.\I hear thuds! They sound like footsteps!\Huh?\Get serious, Sasha.\If you're suggesting there are Titans here... response:	Miche?
context: Well, there are bears in the area.\Yeah. Bears.\Guns are enough to handle bears.\I hear thuds! They sound like footsteps!\Huh?\Get serious, Sasha.\If you're suggesting there are Titans here...\Miche? response:	Tomas! Take three couriers and go!
context: Yeah. Bears.\Guns are enough to handle bears.\I hear thuds! They sound like footsteps!\Huh?\Get serious, Sasha.\If you're suggesting there are Titans here...\Miche?\Tomas! Take three couriers and go! response:	Huh?
context: Guns are enough to handle bears.\I hear thuds! They sound like footsteps!\Huh?\Get serious, Sasha.\If you're suggesting there are Titans here...\Miche?\Tomas! Take three couriers and go!\Huh? response:	Notify each district!
context: I hear thuds! They sound like footsteps!\Huh?\Get serious, Sasha.\If you're suggesting there are Titans here...\Miche?\Tomas! Take three couriers and go!\Huh?\Notify each district! response:	There are likely no Titans among the 104th Cadet Corps recruits!
context: Huh?\Get serious, Sasha.\If you're suggesting there are Titans here...\Miche?\Tomas! Take three couriers and go!\Huh?\Notify each district!\There are likely no Titans among the 104th Cadet Corps recruits! response:	Multiple Titans from the south!
context: Get serious, Sasha.\If you're suggesting there are Titans here...\Miche?\Tomas! Take three couriers and go!\Huh?\Notify each district!\There are likely no Titans among the 104th Cadet Corps recruits!\Multiple Titans from the south! response:	Wall Rose has been breached!
context: If you're suggesting there are Titans here...\Miche?\Tomas! Take three couriers and go!\Huh?\Notify each district!\There are likely no Titans among the 104th Cadet Corps recruits!\Multiple Titans from the south!\Wall Rose has been breached! response:	It's the truth! I really hear footsteps!
context: Miche?\Tomas! Take three couriers and go!\Huh?\Notify each district!\There are likely no Titans among the 104th Cadet Corps recruits!\Multiple Titans from the south!\Wall Rose has been breached!\It's the truth! I really hear footsteps! response:	Everyone here?
context: Tomas! Take three couriers and go!\Huh?\Notify each district!\There are likely no Titans among the 104th Cadet Corps recruits!\Multiple Titans from the south!\Wall Rose has been breached!\It's the truth! I really hear footsteps!\Everyone here? response:	Nanaba?
context: Huh?\Notify each district!\There are likely no Titans among the 104th Cadet Corps recruits!\Multiple Titans from the south!\Wall Rose has been breached!\It's the truth! I really hear footsteps!\Everyone here?\Nanaba? response:	Multiple Titans, 500 meters to the south.
context: Notify each district!\There are likely no Titans among the 104th Cadet Corps recruits!\Multiple Titans from the south!\Wall Rose has been breached!\It's the truth! I really hear footsteps!\Everyone here?\Nanaba?\Multiple Titans, 500 meters to the south. response:	They're coming right this way.
context: There are likely no Titans among the 104th Cadet Corps recruits!\Multiple Titans from the south!\Wall Rose has been breached!\It's the truth! I really hear footsteps!\Everyone here?\Nanaba?\Multiple Titans, 500 meters to the south.\They're coming right this way. response:	There's no time for you to gear up.
context: Multiple Titans from the south!\Wall Rose has been breached!\It's the truth! I really hear footsteps!\Everyone here?\Nanaba?\Multiple Titans, 500 meters to the south.\They're coming right this way.\There's no time for you to gear up. response:	Take your horses and evacuate all nearby homes and settlements.
context: Wall Rose has been breached!\It's the truth! I really hear footsteps!\Everyone here?\Nanaba?\Multiple Titans, 500 meters to the south.\They're coming right this way.\There's no time for you to gear up.\Take your horses and evacuate all nearby homes and settlements. response:	Understood?
context: It's the truth! I really hear footsteps!\Everyone here?\Nanaba?\Multiple Titans, 500 meters to the south.\They're coming right this way.\There's no time for you to gear up.\Take your horses and evacuate all nearby homes and settlements.\Understood? response:	From... the south?
context: Everyone here?\Nanaba?\Multiple Titans, 500 meters to the south.\They're coming right this way.\There's no time for you to gear up.\Take your horses and evacuate all nearby homes and settlements.\Understood?\From... the south? response:	Has the wall been breached?!
context: Nanaba?\Multiple Titans, 500 meters to the south.\They're coming right this way.\There's no time for you to gear up.\Take your horses and evacuate all nearby homes and settlements.\Understood?\From... the south?\Has the wall been breached?! response:	Get going! Lunch will have to wait, I'm afraid!
context: Multiple Titans, 500 meters to the south.\They're coming right this way.\There's no time for you to gear up.\Take your horses and evacuate all nearby homes and settlements.\Understood?\From... the south?\Has the wall been breached?!\Get going! Lunch will have to wait, I'm afraid! response:	Miche.
context: They're coming right this way.\There's no time for you to gear up.\Take your horses and evacuate all nearby homes and settlements.\Understood?\From... the south?\Has the wall been breached?!\Get going! Lunch will have to wait, I'm afraid!\Miche. response:	There are nine in that swarm up ahead.
context: There's no time for you to gear up.\Take your horses and evacuate all nearby homes and settlements.\Understood?\From... the south?\Has the wall been breached?!\Get going! Lunch will have to wait, I'm afraid!\Miche.\There are nine in that swarm up ahead. response:	They've broken through Wall Rose.
context: Take your horses and evacuate all nearby homes and settlements.\Understood?\From... the south?\Has the wall been breached?!\Get going! Lunch will have to wait, I'm afraid!\Miche.\There are nine in that swarm up ahead.\They've broken through Wall Rose. response:	We never managed to uncover the Titans' secrets or figure out what they are.
context: Understood?\From... the south?\Has the wall been breached?!\Get going! Lunch will have to wait, I'm afraid!\Miche.\There are nine in that swarm up ahead.\They've broken through Wall Rose.\We never managed to uncover the Titans' secrets or figure out what they are. response:	And now the day has come.
context: From... the south?\Has the wall been breached?!\Get going! Lunch will have to wait, I'm afraid!\Miche.\There are nine in that swarm up ahead.\They've broken through Wall Rose.\We never managed to uncover the Titans' secrets or figure out what they are.\And now the day has come. response:	Humanity...
context: Has the wall been breached?!\Get going! Lunch will have to wait, I'm afraid!\Miche.\There are nine in that swarm up ahead.\They've broken through Wall Rose.\We never managed to uncover the Titans' secrets or figure out what they are.\And now the day has come.\Humanity... response:	No. Not yet.
context: Get going! Lunch will have to wait, I'm afraid!\Miche.\There are nine in that swarm up ahead.\They've broken through Wall Rose.\We never managed to uncover the Titans' secrets or figure out what they are.\And now the day has come.\Humanity...\No. Not yet. response:	Only when a person stops fighting do they lose.
context: Miche.\There are nine in that swarm up ahead.\They've broken through Wall Rose.\We never managed to uncover the Titans' secrets or figure out what they are.\And now the day has come.\Humanity...\No. Not yet.\Only when a person stops fighting do they lose. response:	As long as we continue to fight, we are not beaten!
context: There are nine in that swarm up ahead.\They've broken through Wall Rose.\We never managed to uncover the Titans' secrets or figure out what they are.\And now the day has come.\Humanity...\No. Not yet.\Only when a person stops fighting do they lose.\As long as we continue to fight, we are not beaten! response:	As soon as the Titans reach the woods,
context: They've broken through Wall Rose.\We never managed to uncover the Titans' secrets or figure out what they are.\And now the day has come.\Humanity...\No. Not yet.\Only when a person stops fighting do they lose.\As long as we continue to fight, we are not beaten!\As soon as the Titans reach the woods, response:	we'll split into four teams of recruits and soldiers alike,
