context: We're goin' fishin'! response:	I'm not happy with this, Handa-kun.
context: but all I've gotten to do is look for your house,\then suffer a hangover after a bunch of strange old guys got me drunk.\I want my vacation back.\You brought it on yourself.\We're fishin''cuz you said you wanted to make the most of yer last day here.\Listen, middle schooler...\By make the most of,\I meant going sightseeing. Get it? response:	What sights?
context: then suffer a hangover after a bunch of strange old guys got me drunk.\I want my vacation back.\You brought it on yourself.\We're fishin''cuz you said you wanted to make the most of yer last day here.\Listen, middle schooler...\By make the most of,\I meant going sightseeing. Get it?\What sights? response:	Dunno any sightseein' spots here.
context: I want my vacation back.\You brought it on yourself.\We're fishin''cuz you said you wanted to make the most of yer last day here.\Listen, middle schooler...\By make the most of,\I meant going sightseeing. Get it?\What sights?\Dunno any sightseein' spots here. response:	I'm not happy, either!
context: You brought it on yourself.\We're fishin''cuz you said you wanted to make the most of yer last day here.\Listen, middle schooler...\By make the most of,\I meant going sightseeing. Get it?\What sights?\Dunno any sightseein' spots here.\I'm not happy, either! response:	This was my big chance to see you write calligraphy at close proximity!
context: We're fishin''cuz you said you wanted to make the most of yer last day here.\Listen, middle schooler...\By make the most of,\I meant going sightseeing. Get it?\What sights?\Dunno any sightseein' spots here.\I'm not happy, either!\This was my big chance to see you write calligraphy at close proximity! response:	I can't believe we're outdoors!
context: Listen, middle schooler...\By make the most of,\I meant going sightseeing. Get it?\What sights?\Dunno any sightseein' spots here.\I'm not happy, either!\This was my big chance to see you write calligraphy at close proximity!\I can't believe we're outdoors! response:	Are even his vacation goals indoors?
context: By make the most of,\I meant going sightseeing. Get it?\What sights?\Dunno any sightseein' spots here.\I'm not happy, either!\This was my big chance to see you write calligraphy at close proximity!\I can't believe we're outdoors!\Are even his vacation goals indoors? response:	What's wrong, Hiro?
context: I meant going sightseeing. Get it?\What sights?\Dunno any sightseein' spots here.\I'm not happy, either!\This was my big chance to see you write calligraphy at close proximity!\I can't believe we're outdoors!\Are even his vacation goals indoors?\What's wrong, Hiro? response:	You don't look well.
context: What sights?\Dunno any sightseein' spots here.\I'm not happy, either!\This was my big chance to see you write calligraphy at close proximity!\I can't believe we're outdoors!\Are even his vacation goals indoors?\What's wrong, Hiro?\You don't look well. response:	I had to listen to his theories on calligraphy all night.
context: Dunno any sightseein' spots here.\I'm not happy, either!\This was my big chance to see you write calligraphy at close proximity!\I can't believe we're outdoors!\Are even his vacation goals indoors?\What's wrong, Hiro?\You don't look well.\I had to listen to his theories on calligraphy all night. response:	I started doing the art back in grade school!
context: I'm not happy, either!\This was my big chance to see you write calligraphy at close proximity!\I can't believe we're outdoors!\Are even his vacation goals indoors?\What's wrong, Hiro?\You don't look well.\I had to listen to his theories on calligraphy all night.\I started doing the art back in grade school! response:	There was this U-23 exhibition...
context: This was my big chance to see you write calligraphy at close proximity!\I can't believe we're outdoors!\Are even his vacation goals indoors?\What's wrong, Hiro?\You don't look well.\I had to listen to his theories on calligraphy all night.\I started doing the art back in grade school!\There was this U-23 exhibition... response:	I'm very particular about my brush!
context: I can't believe we're outdoors!\Are even his vacation goals indoors?\What's wrong, Hiro?\You don't look well.\I had to listen to his theories on calligraphy all night.\I started doing the art back in grade school!\There was this U-23 exhibition...\I'm very particular about my brush! response:	I didn't get a wink of sleep.
context: Are even his vacation goals indoors?\What's wrong, Hiro?\You don't look well.\I had to listen to his theories on calligraphy all night.\I started doing the art back in grade school!\There was this U-23 exhibition...\I'm very particular about my brush!\I didn't get a wink of sleep. response:	I wanna stay indoors!
context: What's wrong, Hiro?\You don't look well.\I had to listen to his theories on calligraphy all night.\I started doing the art back in grade school!\There was this U-23 exhibition...\I'm very particular about my brush!\I didn't get a wink of sleep.\I wanna stay indoors! response:	Bamboo Pole
context: You don't look well.\I had to listen to his theories on calligraphy all night.\I started doing the art back in grade school!\There was this U-23 exhibition...\I'm very particular about my brush!\I didn't get a wink of sleep.\I wanna stay indoors!\Bamboo Pole response:	Fish Hooks with Artificial Lure
context: I had to listen to his theories on calligraphy all night.\I started doing the art back in grade school!\There was this U-23 exhibition...\I'm very particular about my brush!\I didn't get a wink of sleep.\I wanna stay indoors!\Bamboo Pole\Fish Hooks with Artificial Lure response:	Here's your tackle.
context: I started doing the art back in grade school!\There was this U-23 exhibition...\I'm very particular about my brush!\I didn't get a wink of sleep.\I wanna stay indoors!\Bamboo Pole\Fish Hooks with Artificial Lure\Here's your tackle. response:	What do we catch with this?
context: There was this U-23 exhibition...\I'm very particular about my brush!\I didn't get a wink of sleep.\I wanna stay indoors!\Bamboo Pole\Fish Hooks with Artificial Lure\Here's your tackle.\What do we catch with this? response:	Bait Basket
context: I'm very particular about my brush!\I didn't get a wink of sleep.\I wanna stay indoors!\Bamboo Pole\Fish Hooks with Artificial Lure\Here's your tackle.\What do we catch with this?\Bait Basket response:	Horse mackerel.
context: I didn't get a wink of sleep.\I wanna stay indoors!\Bamboo Pole\Fish Hooks with Artificial Lure\Here's your tackle.\What do we catch with this?\Bait Basket\Horse mackerel. response:	You don't just put bait on a hook?
context: I wanna stay indoors!\Bamboo Pole\Fish Hooks with Artificial Lure\Here's your tackle.\What do we catch with this?\Bait Basket\Horse mackerel.\You don't just put bait on a hook? response:	I've never seen these before!
context: Bamboo Pole\Fish Hooks with Artificial Lure\Here's your tackle.\What do we catch with this?\Bait Basket\Horse mackerel.\You don't just put bait on a hook?\I've never seen these before! response:	Wait, is this yer first time fishin'?!
context: Fish Hooks with Artificial Lure\Here's your tackle.\What do we catch with this?\Bait Basket\Horse mackerel.\You don't just put bait on a hook?\I've never seen these before!\Wait, is this yer first time fishin'?! response:	It's a bamboo stalk!
context: Here's your tackle.\What do we catch with this?\Bait Basket\Horse mackerel.\You don't just put bait on a hook?\I've never seen these before!\Wait, is this yer first time fishin'?!\It's a bamboo stalk! response:	Yeah.
context: What do we catch with this?\Bait Basket\Horse mackerel.\You don't just put bait on a hook?\I've never seen these before!\Wait, is this yer first time fishin'?!\It's a bamboo stalk!\Yeah. response:	And you, Kawa-san?
context: Bait Basket\Horse mackerel.\You don't just put bait on a hook?\I've never seen these before!\Wait, is this yer first time fishin'?!\It's a bamboo stalk!\Yeah.\And you, Kawa-san? response:	Don't lump me in with those city boys.
context: Horse mackerel.\You don't just put bait on a hook?\I've never seen these before!\Wait, is this yer first time fishin'?!\It's a bamboo stalk!\Yeah.\And you, Kawa-san?\Don't lump me in with those city boys. response:	I go for bass!
context: You don't just put bait on a hook?\I've never seen these before!\Wait, is this yer first time fishin'?!\It's a bamboo stalk!\Yeah.\And you, Kawa-san?\Don't lump me in with those city boys.\I go for bass! response:	Uh, that won't help catchin' horse mackerel.
context: I've never seen these before!\Wait, is this yer first time fishin'?!\It's a bamboo stalk!\Yeah.\And you, Kawa-san?\Don't lump me in with those city boys.\I go for bass!\Uh, that won't help catchin' horse mackerel. response:	Bigger covers smaller.
context: Wait, is this yer first time fishin'?!\It's a bamboo stalk!\Yeah.\And you, Kawa-san?\Don't lump me in with those city boys.\I go for bass!\Uh, that won't help catchin' horse mackerel.\Bigger covers smaller. response:	But ocean ain't river.
context: It's a bamboo stalk!\Yeah.\And you, Kawa-san?\Don't lump me in with those city boys.\I go for bass!\Uh, that won't help catchin' horse mackerel.\Bigger covers smaller.\But ocean ain't river. response:	Get it off me!
context: Yeah.\And you, Kawa-san?\Don't lump me in with those city boys.\I go for bass!\Uh, that won't help catchin' horse mackerel.\Bigger covers smaller.\But ocean ain't river.\Get it off me! response:	Naru.
context: And you, Kawa-san?\Don't lump me in with those city boys.\I go for bass!\Uh, that won't help catchin' horse mackerel.\Bigger covers smaller.\But ocean ain't river.\Get it off me!\Naru. response:	Put bait in this.
context: Don't lump me in with those city boys.\I go for bass!\Uh, that won't help catchin' horse mackerel.\Bigger covers smaller.\But ocean ain't river.\Get it off me!\Naru.\Put bait in this. response:	I can't touch it.
context: I go for bass!\Uh, that won't help catchin' horse mackerel.\Bigger covers smaller.\But ocean ain't river.\Get it off me!\Naru.\Put bait in this.\I can't touch it. response:	Ayup!
context: Uh, that won't help catchin' horse mackerel.\Bigger covers smaller.\But ocean ain't river.\Get it off me!\Naru.\Put bait in this.\I can't touch it.\Ayup! response:	Huh?
context: Bigger covers smaller.\But ocean ain't river.\Get it off me!\Naru.\Put bait in this.\I can't touch it.\Ayup!\Huh? response:	There's bait on the hooks, too...
context: But ocean ain't river.\Get it off me!\Naru.\Put bait in this.\I can't touch it.\Ayup!\Huh?\There's bait on the hooks, too... response:	Eww...
context: Get it off me!\Naru.\Put bait in this.\I can't touch it.\Ayup!\Huh?\There's bait on the hooks, too...\Eww... response:	It's fake?
context: Naru.\Put bait in this.\I can't touch it.\Ayup!\Huh?\There's bait on the hooks, too...\Eww...\It's fake? response:	Come on, grab it!
context: Put bait in this.\I can't touch it.\Ayup!\Huh?\There's bait on the hooks, too...\Eww...\It's fake?\Come on, grab it! response:	The pole smells fishy!
context: I can't touch it.\Ayup!\Huh?\There's bait on the hooks, too...\Eww...\It's fake?\Come on, grab it!\The pole smells fishy! response:	I can't take this!
context: Ayup!\Huh?\There's bait on the hooks, too...\Eww...\It's fake?\Come on, grab it!\The pole smells fishy!\I can't take this! response:	It's too high! Let it down!
context: Huh?\There's bait on the hooks, too...\Eww...\It's fake?\Come on, grab it!\The pole smells fishy!\I can't take this!\It's too high! Let it down! response:	Quit your bellyachin'!
context: There's bait on the hooks, too...\Eww...\It's fake?\Come on, grab it!\The pole smells fishy!\I can't take this!\It's too high! Let it down!\Quit your bellyachin'! response:	Speak proper Japanese!
context: Eww...\It's fake?\Come on, grab it!\The pole smells fishy!\I can't take this!\It's too high! Let it down!\Quit your bellyachin'!\Speak proper Japanese! response:	I didn't come to teach city folk fishin'.
context: It's fake?\Come on, grab it!\The pole smells fishy!\I can't take this!\It's too high! Let it down!\Quit your bellyachin'!\Speak proper Japanese!\I didn't come to teach city folk fishin'. response:	Aw, shaddup!
context: Come on, grab it!\The pole smells fishy!\I can't take this!\It's too high! Let it down!\Quit your bellyachin'!\Speak proper Japanese!\I didn't come to teach city folk fishin'.\Aw, shaddup! response:	I'm goin' up above, so good luck, Miwa.
context: The pole smells fishy!\I can't take this!\It's too high! Let it down!\Quit your bellyachin'!\Speak proper Japanese!\I didn't come to teach city folk fishin'.\Aw, shaddup!\I'm goin' up above, so good luck, Miwa. response:	Yer runnin' away, Hiro-nii?!
context: I can't take this!\It's too high! Let it down!\Quit your bellyachin'!\Speak proper Japanese!\I didn't come to teach city folk fishin'.\Aw, shaddup!\I'm goin' up above, so good luck, Miwa.\Yer runnin' away, Hiro-nii?! response:	I'm a man of the sea.
context: It's too high! Let it down!\Quit your bellyachin'!\Speak proper Japanese!\I didn't come to teach city folk fishin'.\Aw, shaddup!\I'm goin' up above, so good luck, Miwa.\Yer runnin' away, Hiro-nii?!\I'm a man of the sea. response:	I'm beyond horse mackerel.
context: Quit your bellyachin'!\Speak proper Japanese!\I didn't come to teach city folk fishin'.\Aw, shaddup!\I'm goin' up above, so good luck, Miwa.\Yer runnin' away, Hiro-nii?!\I'm a man of the sea.\I'm beyond horse mackerel. response:	I go for...
context: Speak proper Japanese!\I didn't come to teach city folk fishin'.\Aw, shaddup!\I'm goin' up above, so good luck, Miwa.\Yer runnin' away, Hiro-nii?!\I'm a man of the sea.\I'm beyond horse mackerel.\I go for... response:	hisan-iwo.
context: I didn't come to teach city folk fishin'.\Aw, shaddup!\I'm goin' up above, so good luck, Miwa.\Yer runnin' away, Hiro-nii?!\I'm a man of the sea.\I'm beyond horse mackerel.\I go for...\hisan-iwo. response:	Hisan-iwo!
context: Aw, shaddup!\I'm goin' up above, so good luck, Miwa.\Yer runnin' away, Hiro-nii?!\I'm a man of the sea.\I'm beyond horse mackerel.\I go for...\hisan-iwo.\Hisan-iwo! response:	Hisan-iwo?
context: I'm goin' up above, so good luck, Miwa.\Yer runnin' away, Hiro-nii?!\I'm a man of the sea.\I'm beyond horse mackerel.\I go for...\hisan-iwo.\Hisan-iwo!\Hisan-iwo? response:	Hisan-iwo!
context: Yer runnin' away, Hiro-nii?!\I'm a man of the sea.\I'm beyond horse mackerel.\I go for...\hisan-iwo.\Hisan-iwo!\Hisan-iwo?\Hisan-iwo! response:	Hisan-iwo!
context: I'm a man of the sea.\I'm beyond horse mackerel.\I go for...\hisan-iwo.\Hisan-iwo!\Hisan-iwo?\Hisan-iwo!\Hisan-iwo! response:	Hisan-iwo!
context: I'm beyond horse mackerel.\I go for...\hisan-iwo.\Hisan-iwo!\Hisan-iwo?\Hisan-iwo!\Hisan-iwo!\Hisan-iwo! response:	Hisan-iwo! Hisan-iwo!
context: I go for...\hisan-iwo.\Hisan-iwo!\Hisan-iwo?\Hisan-iwo!\Hisan-iwo!\Hisan-iwo!\Hisan-iwo! Hisan-iwo! response:	Yer amazin', Hiro-nii.
context: hisan-iwo.\Hisan-iwo!\Hisan-iwo?\Hisan-iwo!\Hisan-iwo!\Hisan-iwo!\Hisan-iwo! Hisan-iwo!\Yer amazin', Hiro-nii. response:	Good luck! I hope ya catch one!
context: Hisan-iwo!\Hisan-iwo?\Hisan-iwo!\Hisan-iwo!\Hisan-iwo!\Hisan-iwo! Hisan-iwo!\Yer amazin', Hiro-nii.\Good luck! I hope ya catch one! response:	What's hisan-iwo?
context: Hisan-iwo?\Hisan-iwo!\Hisan-iwo!\Hisan-iwo!\Hisan-iwo! Hisan-iwo!\Yer amazin', Hiro-nii.\Good luck! I hope ya catch one!\What's hisan-iwo? response:	Beats me.
context: Hisan-iwo!\Hisan-iwo!\Hisan-iwo!\Hisan-iwo! Hisan-iwo!\Yer amazin', Hiro-nii.\Good luck! I hope ya catch one!\What's hisan-iwo?\Beats me. response:	Maybe a hideous-sad fish?
context: Hisan-iwo!\Hisan-iwo!\Hisan-iwo! Hisan-iwo!\Yer amazin', Hiro-nii.\Good luck! I hope ya catch one!\What's hisan-iwo?\Beats me.\Maybe a hideous-sad fish? response:	Barakamon
context: Hisan-iwo!\Hisan-iwo! Hisan-iwo!\Yer amazin', Hiro-nii.\Good luck! I hope ya catch one!\What's hisan-iwo?\Beats me.\Maybe a hideous-sad fish?\Barakamon response:	Hisan-Iwo
context: Hisan-iwo! Hisan-iwo!\Yer amazin', Hiro-nii.\Good luck! I hope ya catch one!\What's hisan-iwo?\Beats me.\Maybe a hideous-sad fish?\Barakamon\Hisan-Iwo response:	Translation: A High-Grade Fish
context: Yer amazin', Hiro-nii.\Good luck! I hope ya catch one!\What's hisan-iwo?\Beats me.\Maybe a hideous-sad fish?\Barakamon\Hisan-Iwo\Translation: A High-Grade Fish response:	First, toss in ground bait.
context: Good luck! I hope ya catch one!\What's hisan-iwo?\Beats me.\Maybe a hideous-sad fish?\Barakamon\Hisan-Iwo\Translation: A High-Grade Fish\First, toss in ground bait. response:	Thanks.
context: What's hisan-iwo?\Beats me.\Maybe a hideous-sad fish?\Barakamon\Hisan-Iwo\Translation: A High-Grade Fish\First, toss in ground bait.\Thanks. response:	Then, drop the line where you threw the bait.
context: Beats me.\Maybe a hideous-sad fish?\Barakamon\Hisan-Iwo\Translation: A High-Grade Fish\First, toss in ground bait.\Thanks.\Then, drop the line where you threw the bait. response:	When the end of the pole wiggles...
context: Maybe a hideous-sad fish?\Barakamon\Hisan-Iwo\Translation: A High-Grade Fish\First, toss in ground bait.\Thanks.\Then, drop the line where you threw the bait.\When the end of the pole wiggles... response:	Do like this.
context: Barakamon\Hisan-Iwo\Translation: A High-Grade Fish\First, toss in ground bait.\Thanks.\Then, drop the line where you threw the bait.\When the end of the pole wiggles...\Do like this. response:	Wow!
context: Hisan-Iwo\Translation: A High-Grade Fish\First, toss in ground bait.\Thanks.\Then, drop the line where you threw the bait.\When the end of the pole wiggles...\Do like this.\Wow! response:	Gramma said it'd be good fishin' today.
context: Translation: A High-Grade Fish\First, toss in ground bait.\Thanks.\Then, drop the line where you threw the bait.\When the end of the pole wiggles...\Do like this.\Wow!\Gramma said it'd be good fishin' today. response:	Great, I'll fish!
context: First, toss in ground bait.\Thanks.\Then, drop the line where you threw the bait.\When the end of the pole wiggles...\Do like this.\Wow!\Gramma said it'd be good fishin' today.\Great, I'll fish! response:	Me, too.
context: Thanks.\Then, drop the line where you threw the bait.\When the end of the pole wiggles...\Do like this.\Wow!\Gramma said it'd be good fishin' today.\Great, I'll fish!\Me, too. response:	We'll have fried horse mackerel for dinner!
context: Then, drop the line where you threw the bait.\When the end of the pole wiggles...\Do like this.\Wow!\Gramma said it'd be good fishin' today.\Great, I'll fish!\Me, too.\We'll have fried horse mackerel for dinner! response:	It feels like I got one!
context: When the end of the pole wiggles...\Do like this.\Wow!\Gramma said it'd be good fishin' today.\Great, I'll fish!\Me, too.\We'll have fried horse mackerel for dinner!\It feels like I got one! response:	Pull it up!
context: Do like this.\Wow!\Gramma said it'd be good fishin' today.\Great, I'll fish!\Me, too.\We'll have fried horse mackerel for dinner!\It feels like I got one!\Pull it up! response:	I caught two whole fish.
context: Wow!\Gramma said it'd be good fishin' today.\Great, I'll fish!\Me, too.\We'll have fried horse mackerel for dinner!\It feels like I got one!\Pull it up!\I caught two whole fish. response:	A big catch!
context: Gramma said it'd be good fishin' today.\Great, I'll fish!\Me, too.\We'll have fried horse mackerel for dinner!\It feels like I got one!\Pull it up!\I caught two whole fish.\A big catch! response:	Naru.
context: Great, I'll fish!\Me, too.\We'll have fried horse mackerel for dinner!\It feels like I got one!\Pull it up!\I caught two whole fish.\A big catch!\Naru. response:	Ayup!
context: Me, too.\We'll have fried horse mackerel for dinner!\It feels like I got one!\Pull it up!\I caught two whole fish.\A big catch!\Naru.\Ayup! response:	Yer roles are reversed...
context: We'll have fried horse mackerel for dinner!\It feels like I got one!\Pull it up!\I caught two whole fish.\A big catch!\Naru.\Ayup!\Yer roles are reversed... response:	Check it out, Handa. I got three!
context: It feels like I got one!\Pull it up!\I caught two whole fish.\A big catch!\Naru.\Ayup!\Yer roles are reversed...\Check it out, Handa. I got three! response:	What? I won't lose!
context: Pull it up!\I caught two whole fish.\A big catch!\Naru.\Ayup!\Yer roles are reversed...\Check it out, Handa. I got three!\What? I won't lose! response:	I got a bite, too!
context: I caught two whole fish.\A big catch!\Naru.\Ayup!\Yer roles are reversed...\Check it out, Handa. I got three!\What? I won't lose!\I got a bite, too! response:	It's strong! What a pull!
context: A big catch!\Naru.\Ayup!\Yer roles are reversed...\Check it out, Handa. I got three!\What? I won't lose!\I got a bite, too!\It's strong! What a pull! response:	It's definitely a big one!
context: Naru.\Ayup!\Yer roles are reversed...\Check it out, Handa. I got three!\What? I won't lose!\I got a bite, too!\It's strong! What a pull!\It's definitely a big one! response:	I'm a genius at fishing as well as calligraphy!
context: Ayup!\Yer roles are reversed...\Check it out, Handa. I got three!\What? I won't lose!\I got a bite, too!\It's strong! What a pull!\It's definitely a big one!\I'm a genius at fishing as well as calligraphy! response:	Behold, ignoramuses! See our difference in status!
context: Yer roles are reversed...\Check it out, Handa. I got three!\What? I won't lose!\I got a bite, too!\It's strong! What a pull!\It's definitely a big one!\I'm a genius at fishing as well as calligraphy!\Behold, ignoramuses! See our difference in status! response:	It's stuck in the shoal.
context: Check it out, Handa. I got three!\What? I won't lose!\I got a bite, too!\It's strong! What a pull!\It's definitely a big one!\I'm a genius at fishing as well as calligraphy!\Behold, ignoramuses! See our difference in status!\It's stuck in the shoal. response:	Shoal?
context: What? I won't lose!\I got a bite, too!\It's strong! What a pull!\It's definitely a big one!\I'm a genius at fishing as well as calligraphy!\Behold, ignoramuses! See our difference in status!\It's stuck in the shoal.\Shoal? response:	Reelin' in the Earth, huh? Yer real good!
context: I got a bite, too!\It's strong! What a pull!\It's definitely a big one!\I'm a genius at fishing as well as calligraphy!\Behold, ignoramuses! See our difference in status!\It's stuck in the shoal.\Shoal?\Reelin' in the Earth, huh? Yer real good! response:	Look, wharf roaches!
context: It's strong! What a pull!\It's definitely a big one!\I'm a genius at fishing as well as calligraphy!\Behold, ignoramuses! See our difference in status!\It's stuck in the shoal.\Shoal?\Reelin' in the Earth, huh? Yer real good!\Look, wharf roaches! response:	It can't be...
context: It's definitely a big one!\I'm a genius at fishing as well as calligraphy!\Behold, ignoramuses! See our difference in status!\It's stuck in the shoal.\Shoal?\Reelin' in the Earth, huh? Yer real good!\Look, wharf roaches!\It can't be... response:	Gobs of'em!
context: I'm a genius at fishing as well as calligraphy!\Behold, ignoramuses! See our difference in status!\It's stuck in the shoal.\Shoal?\Reelin' in the Earth, huh? Yer real good!\Look, wharf roaches!\It can't be...\Gobs of'em! response:	Naru has obtained Slightly Longish Stick!
context: Behold, ignoramuses! See our difference in status!\It's stuck in the shoal.\Shoal?\Reelin' in the Earth, huh? Yer real good!\Look, wharf roaches!\It can't be...\Gobs of'em!\Naru has obtained Slightly Longish Stick! response:	Gotcha!
context: It's stuck in the shoal.\Shoal?\Reelin' in the Earth, huh? Yer real good!\Look, wharf roaches!\It can't be...\Gobs of'em!\Naru has obtained Slightly Longish Stick!\Gotcha! response:	Hina, hold out yer hand.
context: Shoal?\Reelin' in the Earth, huh? Yer real good!\Look, wharf roaches!\It can't be...\Gobs of'em!\Naru has obtained Slightly Longish Stick!\Gotcha!\Hina, hold out yer hand. response:	No!
context: Reelin' in the Earth, huh? Yer real good!\Look, wharf roaches!\It can't be...\Gobs of'em!\Naru has obtained Slightly Longish Stick!\Gotcha!\Hina, hold out yer hand.\No! response:	It'll be fine.
context: Look, wharf roaches!\It can't be...\Gobs of'em!\Naru has obtained Slightly Longish Stick!\Gotcha!\Hina, hold out yer hand.\No!\It'll be fine. response:	No!
context: It can't be...\Gobs of'em!\Naru has obtained Slightly Longish Stick!\Gotcha!\Hina, hold out yer hand.\No!\It'll be fine.\No! response:	It'll be fine!
context: Gobs of'em!\Naru has obtained Slightly Longish Stick!\Gotcha!\Hina, hold out yer hand.\No!\It'll be fine.\No!\It'll be fine! response:	No! They bite!
context: Naru has obtained Slightly Longish Stick!\Gotcha!\Hina, hold out yer hand.\No!\It'll be fine.\No!\It'll be fine!\No! They bite! response:	I'm sick of this!
context: Gotcha!\Hina, hold out yer hand.\No!\It'll be fine.\No!\It'll be fine!\No! They bite!\I'm sick of this! response:	I stink, I can't fish, I'm hot... I wanna go home!
context: Hina, hold out yer hand.\No!\It'll be fine.\No!\It'll be fine!\No! They bite!\I'm sick of this!\I stink, I can't fish, I'm hot... I wanna go home! response:	But I just landed that huge catch. We can't leave yet.
context: No!\It'll be fine.\No!\It'll be fine!\No! They bite!\I'm sick of this!\I stink, I can't fish, I'm hot... I wanna go home!\But I just landed that huge catch. We can't leave yet. response:	I want to write calligraphy with you, Sensei!
context: It'll be fine.\No!\It'll be fine!\No! They bite!\I'm sick of this!\I stink, I can't fish, I'm hot... I wanna go home!\But I just landed that huge catch. We can't leave yet.\I want to write calligraphy with you, Sensei! response:	W-Wait... Hey!
context: No!\It'll be fine!\No! They bite!\I'm sick of this!\I stink, I can't fish, I'm hot... I wanna go home!\But I just landed that huge catch. We can't leave yet.\I want to write calligraphy with you, Sensei!\W-Wait... Hey! response:	You hate outdoor activities too, don't you?
context: It'll be fine!\No! They bite!\I'm sick of this!\I stink, I can't fish, I'm hot... I wanna go home!\But I just landed that huge catch. We can't leave yet.\I want to write calligraphy with you, Sensei!\W-Wait... Hey!\You hate outdoor activities too, don't you? response:	Let's go back to your house!
context: No! They bite!\I'm sick of this!\I stink, I can't fish, I'm hot... I wanna go home!\But I just landed that huge catch. We can't leave yet.\I want to write calligraphy with you, Sensei!\W-Wait... Hey!\You hate outdoor activities too, don't you?\Let's go back to your house! response:	I don't want to
context: I'm sick of this!\I stink, I can't fish, I'm hot... I wanna go home!\But I just landed that huge catch. We can't leave yet.\I want to write calligraphy with you, Sensei!\W-Wait... Hey!\You hate outdoor activities too, don't you?\Let's go back to your house!\I don't want to response:	write calligraphy with you.
context: I stink, I can't fish, I'm hot... I wanna go home!\But I just landed that huge catch. We can't leave yet.\I want to write calligraphy with you, Sensei!\W-Wait... Hey!\You hate outdoor activities too, don't you?\Let's go back to your house!\I don't want to\write calligraphy with you. response:	Why would you say that?!
context: But I just landed that huge catch. We can't leave yet.\I want to write calligraphy with you, Sensei!\W-Wait... Hey!\You hate outdoor activities too, don't you?\Let's go back to your house!\I don't want to\write calligraphy with you.\Why would you say that?! response:	You'll just say I've gotten worse again.
context: I want to write calligraphy with you, Sensei!\W-Wait... Hey!\You hate outdoor activities too, don't you?\Let's go back to your house!\I don't want to\write calligraphy with you.\Why would you say that?!\You'll just say I've gotten worse again. response:	Kousuke!
context: W-Wait... Hey!\You hate outdoor activities too, don't you?\Let's go back to your house!\I don't want to\write calligraphy with you.\Why would you say that?!\You'll just say I've gotten worse again.\Kousuke! response:	Did you really tell him that?!
context: You hate outdoor activities too, don't you?\Let's go back to your house!\I don't want to\write calligraphy with you.\Why would you say that?!\You'll just say I've gotten worse again.\Kousuke!\Did you really tell him that?! response:	Well...
context: Let's go back to your house!\I don't want to\write calligraphy with you.\Why would you say that?!\You'll just say I've gotten worse again.\Kousuke!\Did you really tell him that?!\Well... response:	It's the truth.
context: I don't want to\write calligraphy with you.\Why would you say that?!\You'll just say I've gotten worse again.\Kousuke!\Did you really tell him that?!\Well...\It's the truth. response:	Can't you see anything from any viewpoint besides your own?!
context: write calligraphy with you.\Why would you say that?!\You'll just say I've gotten worse again.\Kousuke!\Did you really tell him that?!\Well...\It's the truth.\Can't you see anything from any viewpoint besides your own?! response:	This is why you're in a slump!
context: Why would you say that?!\You'll just say I've gotten worse again.\Kousuke!\Did you really tell him that?!\Well...\It's the truth.\Can't you see anything from any viewpoint besides your own?!\This is why you're in a slump! response:	A slump? You can't write?
