context: Foolish Yamada Gu had made sound money or Kyota-B response:	Dear Larry, I Appley Well, I can configure many friends do not worry about me Kemeto
context: So how you will feel vectorial?\Sorry, did I hear you well, say it again, okay?\What do you do?\Huh? Habiba in your game?\So, what you're saying is it's not real, right?\I want to tell him how horrible this, but what do I do!?\Sound actress?\When Talban game, the characters are talking and stuff, right? response:	You girlfriend, right?
context: Sorry, did I hear you well, say it again, okay?\What do you do?\Huh? Habiba in your game?\So, what you're saying is it's not real, right?\I want to tell him how horrible this, but what do I do!?\Sound actress?\When Talban game, the characters are talking and stuff, right?\You girlfriend, right? response:	In fact, I am a bit nervous, too, this thing happens to Kltana, huh?
context: What do you do?\Huh? Habiba in your game?\So, what you're saying is it's not real, right?\I want to tell him how horrible this, but what do I do!?\Sound actress?\When Talban game, the characters are talking and stuff, right?\You girlfriend, right?\In fact, I am a bit nervous, too, this thing happens to Kltana, huh? response:	It also seems to go along with each other, right?
context: Huh? Habiba in your game?\So, what you're saying is it's not real, right?\I want to tell him how horrible this, but what do I do!?\Sound actress?\When Talban game, the characters are talking and stuff, right?\You girlfriend, right?\In fact, I am a bit nervous, too, this thing happens to Kltana, huh?\It also seems to go along with each other, right? response:	Listen, Can you to be my girlfriend?
context: So, what you're saying is it's not real, right?\I want to tell him how horrible this, but what do I do!?\Sound actress?\When Talban game, the characters are talking and stuff, right?\You girlfriend, right?\In fact, I am a bit nervous, too, this thing happens to Kltana, huh?\It also seems to go along with each other, right?\Listen, Can you to be my girlfriend? response:	Could you tell this again?
context: I want to tell him how horrible this, but what do I do!?\Sound actress?\When Talban game, the characters are talking and stuff, right?\You girlfriend, right?\In fact, I am a bit nervous, too, this thing happens to Kltana, huh?\It also seems to go along with each other, right?\Listen, Can you to be my girlfriend?\Could you tell this again? response:	- until death separates us - a good day, Kemeto-sama
context: Sound actress?\When Talban game, the characters are talking and stuff, right?\You girlfriend, right?\In fact, I am a bit nervous, too, this thing happens to Kltana, huh?\It also seems to go along with each other, right?\Listen, Can you to be my girlfriend?\Could you tell this again?\- until death separates us - a good day, Kemeto-sama response:	what are you doing?
context: When Talban game, the characters are talking and stuff, right?\You girlfriend, right?\In fact, I am a bit nervous, too, this thing happens to Kltana, huh?\It also seems to go along with each other, right?\Listen, Can you to be my girlfriend?\Could you tell this again?\- until death separates us - a good day, Kemeto-sama\what are you doing? response:	So when I came?
context: You girlfriend, right?\In fact, I am a bit nervous, too, this thing happens to Kltana, huh?\It also seems to go along with each other, right?\Listen, Can you to be my girlfriend?\Could you tell this again?\- until death separates us - a good day, Kemeto-sama\what are you doing?\So when I came? response:	You are not not like to stay with me by, too?
context: In fact, I am a bit nervous, too, this thing happens to Kltana, huh?\It also seems to go along with each other, right?\Listen, Can you to be my girlfriend?\Could you tell this again?\- until death separates us - a good day, Kemeto-sama\what are you doing?\So when I came?\You are not not like to stay with me by, too? response:	When she did not leave?
context: It also seems to go along with each other, right?\Listen, Can you to be my girlfriend?\Could you tell this again?\- until death separates us - a good day, Kemeto-sama\what are you doing?\So when I came?\You are not not like to stay with me by, too?\When she did not leave? response:	Aika-sama
context: Listen, Can you to be my girlfriend?\Could you tell this again?\- until death separates us - a good day, Kemeto-sama\what are you doing?\So when I came?\You are not not like to stay with me by, too?\When she did not leave?\Aika-sama response:	M-What?
context: Could you tell this again?\- until death separates us - a good day, Kemeto-sama\what are you doing?\So when I came?\You are not not like to stay with me by, too?\When she did not leave?\Aika-sama\M-What? response:	When there are girls depicted on all the covers of the paintings?
context: - until death separates us - a good day, Kemeto-sama\what are you doing?\So when I came?\You are not not like to stay with me by, too?\When she did not leave?\Aika-sama\M-What?\When there are girls depicted on all the covers of the paintings? response:	I do not know, because the chain has a girl as a key figure
context: what are you doing?\So when I came?\You are not not like to stay with me by, too?\When she did not leave?\Aika-sama\M-What?\When there are girls depicted on all the covers of the paintings?\I do not know, because the chain has a girl as a key figure response:	What you read here in his room?
context: So when I came?\You are not not like to stay with me by, too?\When she did not leave?\Aika-sama\M-What?\When there are girls depicted on all the covers of the paintings?\I do not know, because the chain has a girl as a key figure\What you read here in his room? response:	In addition, what about down from his bed?
context: You are not not like to stay with me by, too?\When she did not leave?\Aika-sama\M-What?\When there are girls depicted on all the covers of the paintings?\I do not know, because the chain has a girl as a key figure\What you read here in his room?\In addition, what about down from his bed? response:	Because Kemeto-sama is not here, you are very comfortable, is not it?
context: When she did not leave?\Aika-sama\M-What?\When there are girls depicted on all the covers of the paintings?\I do not know, because the chain has a girl as a key figure\What you read here in his room?\In addition, what about down from his bed?\Because Kemeto-sama is not here, you are very comfortable, is not it? response:	what is this?
context: Aika-sama\M-What?\When there are girls depicted on all the covers of the paintings?\I do not know, because the chain has a girl as a key figure\What you read here in his room?\In addition, what about down from his bed?\Because Kemeto-sama is not here, you are very comfortable, is not it?\what is this? response:	Euro-Yuri
context: M-What?\When there are girls depicted on all the covers of the paintings?\I do not know, because the chain has a girl as a key figure\What you read here in his room?\In addition, what about down from his bed?\Because Kemeto-sama is not here, you are very comfortable, is not it?\what is this?\Euro-Yuri response:	This atmosphere is full of girls, too
context: When there are girls depicted on all the covers of the paintings?\I do not know, because the chain has a girl as a key figure\What you read here in his room?\In addition, what about down from his bed?\Because Kemeto-sama is not here, you are very comfortable, is not it?\what is this?\Euro-Yuri\This atmosphere is full of girls, too response:	Most books Kemeto-sama like this, is not it, what?
context: I do not know, because the chain has a girl as a key figure\What you read here in his room?\In addition, what about down from his bed?\Because Kemeto-sama is not here, you are very comfortable, is not it?\what is this?\Euro-Yuri\This atmosphere is full of girls, too\Most books Kemeto-sama like this, is not it, what? response:	Because, pervert, right?
context: What you read here in his room?\In addition, what about down from his bed?\Because Kemeto-sama is not here, you are very comfortable, is not it?\what is this?\Euro-Yuri\This atmosphere is full of girls, too\Most books Kemeto-sama like this, is not it, what?\Because, pervert, right? response:	Oh, what do I do!?
context: In addition, what about down from his bed?\Because Kemeto-sama is not here, you are very comfortable, is not it?\what is this?\Euro-Yuri\This atmosphere is full of girls, too\Most books Kemeto-sama like this, is not it, what?\Because, pervert, right?\Oh, what do I do!? response:	What do you mean by what do I do?
context: Because Kemeto-sama is not here, you are very comfortable, is not it?\what is this?\Euro-Yuri\This atmosphere is full of girls, too\Most books Kemeto-sama like this, is not it, what?\Because, pervert, right?\Oh, what do I do!?\What do you mean by what do I do? response:	E-Are you interested in this, I have got these tickets from a friend to me. I do not think wrong.
context: what is this?\Euro-Yuri\This atmosphere is full of girls, too\Most books Kemeto-sama like this, is not it, what?\Because, pervert, right?\Oh, what do I do!?\What do you mean by what do I do?\E-Are you interested in this, I have got these tickets from a friend to me. I do not think wrong. response:	This is not what you think, it is not so, let's see, I got this from a friend if you want, we can go together.
context: Euro-Yuri\This atmosphere is full of girls, too\Most books Kemeto-sama like this, is not it, what?\Because, pervert, right?\Oh, what do I do!?\What do you mean by what do I do?\E-Are you interested in this, I have got these tickets from a friend to me. I do not think wrong.\This is not what you think, it is not so, let's see, I got this from a friend if you want, we can go together. response:	Ummm
context: This atmosphere is full of girls, too\Most books Kemeto-sama like this, is not it, what?\Because, pervert, right?\Oh, what do I do!?\What do you mean by what do I do?\E-Are you interested in this, I have got these tickets from a friend to me. I do not think wrong.\This is not what you think, it is not so, let's see, I got this from a friend if you want, we can go together.\Ummm response:	Y-Good morning
context: Most books Kemeto-sama like this, is not it, what?\Because, pervert, right?\Oh, what do I do!?\What do you mean by what do I do?\E-Are you interested in this, I have got these tickets from a friend to me. I do not think wrong.\This is not what you think, it is not so, let's see, I got this from a friend if you want, we can go together.\Ummm\Y-Good morning response:	Ayano-chan Good morning, Good morning
context: Because, pervert, right?\Oh, what do I do!?\What do you mean by what do I do?\E-Are you interested in this, I have got these tickets from a friend to me. I do not think wrong.\This is not what you think, it is not so, let's see, I got this from a friend if you want, we can go together.\Ummm\Y-Good morning\Ayano-chan Good morning, Good morning response:	I have delayed the day, you got anything that is not a big thing
