context: Year - Class Year 3 Class 2 Name Mashiro Moritaka response:	73kg
context: Got it.\Honestly, can't you be polite and say Yes, Mom.?\So if that dream comes true, please marry me!\KING OF\MANGA\Anyone Can Draw\Introductory Level\Mako-chan and Rabi-Kun's Drawing Course response:	Let's become manga artists!!
context: Honestly, can't you be polite and say Yes, Mom.?\So if that dream comes true, please marry me!\KING OF\MANGA\Anyone Can Draw\Introductory Level\Mako-chan and Rabi-Kun's Drawing Course\Let's become manga artists!! response:	If our dreams come true... marry...
context: So if that dream comes true, please marry me!\KING OF\MANGA\Anyone Can Draw\Introductory Level\Mako-chan and Rabi-Kun's Drawing Course\Let's become manga artists!!\If our dreams come true... marry... response:	He got me worked up, and I blurted out that I would become a mangaka, but...
context: KING OF\MANGA\Anyone Can Draw\Introductory Level\Mako-chan and Rabi-Kun's Drawing Course\Let's become manga artists!!\If our dreams come true... marry...\He got me worked up, and I blurted out that I would become a mangaka, but... response:	Really...
context: MANGA\Anyone Can Draw\Introductory Level\Mako-chan and Rabi-Kun's Drawing Course\Let's become manga artists!!\If our dreams come true... marry...\He got me worked up, and I blurted out that I would become a mangaka, but...\Really... response:	Moritaka, Takagi-kun is here to see you!
context: Anyone Can Draw\Introductory Level\Mako-chan and Rabi-Kun's Drawing Course\Let's become manga artists!!\If our dreams come true... marry...\He got me worked up, and I blurted out that I would become a mangaka, but...\Really...\Moritaka, Takagi-kun is here to see you! response:	Huh?
context: Introductory Level\Mako-chan and Rabi-Kun's Drawing Course\Let's become manga artists!!\If our dreams come true... marry...\He got me worked up, and I blurted out that I would become a mangaka, but...\Really...\Moritaka, Takagi-kun is here to see you!\Huh? response:	Please hurry!
context: Mako-chan and Rabi-Kun's Drawing Course\Let's become manga artists!!\If our dreams come true... marry...\He got me worked up, and I blurted out that I would become a mangaka, but...\Really...\Moritaka, Takagi-kun is here to see you!\Huh?\Please hurry! response:	Hi!
context: Let's become manga artists!!\If our dreams come true... marry...\He got me worked up, and I blurted out that I would become a mangaka, but...\Really...\Moritaka, Takagi-kun is here to see you!\Huh?\Please hurry!\Hi! response:	So annoying.
context: If our dreams come true... marry...\He got me worked up, and I blurted out that I would become a mangaka, but...\Really...\Moritaka, Takagi-kun is here to see you!\Huh?\Please hurry!\Hi!\So annoying. response:	Morning, Saikou.
context: He got me worked up, and I blurted out that I would become a mangaka, but...\Really...\Moritaka, Takagi-kun is here to see you!\Huh?\Please hurry!\Hi!\So annoying.\Morning, Saikou. response:	Please don't call me Saikou or suddenly show up to meet me in the morning like this.
context: Really...\Moritaka, Takagi-kun is here to see you!\Huh?\Please hurry!\Hi!\So annoying.\Morning, Saikou.\Please don't call me Saikou or suddenly show up to meet me in the morning like this. response:	Come on, I'll call you Saikou and you can call me Shuuto.
context: Moritaka, Takagi-kun is here to see you!\Huh?\Please hurry!\Hi!\So annoying.\Morning, Saikou.\Please don't call me Saikou or suddenly show up to meet me in the morning like this.\Come on, I'll call you Saikou and you can call me Shuuto. response:	A Moritaka going by Saikou,
context: Huh?\Please hurry!\Hi!\So annoying.\Morning, Saikou.\Please don't call me Saikou or suddenly show up to meet me in the morning like this.\Come on, I'll call you Saikou and you can call me Shuuto.\A Moritaka going by Saikou, response:	Note: The name Moritaka uses the same kanji as Saikou (), meaning the best.
context: Please hurry!\Hi!\So annoying.\Morning, Saikou.\Please don't call me Saikou or suddenly show up to meet me in the morning like this.\Come on, I'll call you Saikou and you can call me Shuuto.\A Moritaka going by Saikou,\Note: The name Moritaka uses the same kanji as Saikou (), meaning the best. response:	and an Akito going by Shuuto are a bit different.
context: Hi!\So annoying.\Morning, Saikou.\Please don't call me Saikou or suddenly show up to meet me in the morning like this.\Come on, I'll call you Saikou and you can call me Shuuto.\A Moritaka going by Saikou,\Note: The name Moritaka uses the same kanji as Saikou (), meaning the best.\and an Akito going by Shuuto are a bit different. response:	The kanji for Akito () can also be pronounced Shuuto, as in the English shoot.
context: So annoying.\Morning, Saikou.\Please don't call me Saikou or suddenly show up to meet me in the morning like this.\Come on, I'll call you Saikou and you can call me Shuuto.\A Moritaka going by Saikou,\Note: The name Moritaka uses the same kanji as Saikou (), meaning the best.\and an Akito going by Shuuto are a bit different.\The kanji for Akito () can also be pronounced Shuuto, as in the English shoot. response:	Hm? How are they different?
context: Morning, Saikou.\Please don't call me Saikou or suddenly show up to meet me in the morning like this.\Come on, I'll call you Saikou and you can call me Shuuto.\A Moritaka going by Saikou,\Note: The name Moritaka uses the same kanji as Saikou (), meaning the best.\and an Akito going by Shuuto are a bit different.\The kanji for Akito () can also be pronounced Shuuto, as in the English shoot.\Hm? How are they different? response:	The name Shuuto gives off a cool soccer image.
context: Please don't call me Saikou or suddenly show up to meet me in the morning like this.\Come on, I'll call you Saikou and you can call me Shuuto.\A Moritaka going by Saikou,\Note: The name Moritaka uses the same kanji as Saikou (), meaning the best.\and an Akito going by Shuuto are a bit different.\The kanji for Akito () can also be pronounced Shuuto, as in the English shoot.\Hm? How are they different?\The name Shuuto gives off a cool soccer image. response:	Saikou!
context: Come on, I'll call you Saikou and you can call me Shuuto.\A Moritaka going by Saikou,\Note: The name Moritaka uses the same kanji as Saikou (), meaning the best.\and an Akito going by Shuuto are a bit different.\The kanji for Akito () can also be pronounced Shuuto, as in the English shoot.\Hm? How are they different?\The name Shuuto gives off a cool soccer image.\Saikou! response:	Saikou sounds like I'm being made fun of.
context: A Moritaka going by Saikou,\Note: The name Moritaka uses the same kanji as Saikou (), meaning the best.\and an Akito going by Shuuto are a bit different.\The kanji for Akito () can also be pronounced Shuuto, as in the English shoot.\Hm? How are they different?\The name Shuuto gives off a cool soccer image.\Saikou!\Saikou sounds like I'm being made fun of. response:	I guess so.
context: Note: The name Moritaka uses the same kanji as Saikou (), meaning the best.\and an Akito going by Shuuto are a bit different.\The kanji for Akito () can also be pronounced Shuuto, as in the English shoot.\Hm? How are they different?\The name Shuuto gives off a cool soccer image.\Saikou!\Saikou sounds like I'm being made fun of.\I guess so. response:	All right.
context: and an Akito going by Shuuto are a bit different.\The kanji for Akito () can also be pronounced Shuuto, as in the English shoot.\Hm? How are they different?\The name Shuuto gives off a cool soccer image.\Saikou!\Saikou sounds like I'm being made fun of.\I guess so.\All right. response:	Then I'm gonna call you Shuujin.
context: The kanji for Akito () can also be pronounced Shuuto, as in the English shoot.\Hm? How are they different?\The name Shuuto gives off a cool soccer image.\Saikou!\Saikou sounds like I'm being made fun of.\I guess so.\All right.\Then I'm gonna call you Shuujin. response:	Shuujin is a Japanese word for prisoner.
context: Hm? How are they different?\The name Shuuto gives off a cool soccer image.\Saikou!\Saikou sounds like I'm being made fun of.\I guess so.\All right.\Then I'm gonna call you Shuujin.\Shuujin is a Japanese word for prisoner. response:	Shuujin?! Like a criminal?!
context: The name Shuuto gives off a cool soccer image.\Saikou!\Saikou sounds like I'm being made fun of.\I guess so.\All right.\Then I'm gonna call you Shuujin.\Shuujin is a Japanese word for prisoner.\Shuujin?! Like a criminal?! response:	It's fine, isn't it? Akito can be read that way too, can't it?
context: Saikou!\Saikou sounds like I'm being made fun of.\I guess so.\All right.\Then I'm gonna call you Shuujin.\Shuujin is a Japanese word for prisoner.\Shuujin?! Like a criminal?!\It's fine, isn't it? Akito can be read that way too, can't it? response:	Right, Shuujin?
context: Saikou sounds like I'm being made fun of.\I guess so.\All right.\Then I'm gonna call you Shuujin.\Shuujin is a Japanese word for prisoner.\Shuujin?! Like a criminal?!\It's fine, isn't it? Akito can be read that way too, can't it?\Right, Shuujin? response:	Then, at least as Shuujin...
context: I guess so.\All right.\Then I'm gonna call you Shuujin.\Shuujin is a Japanese word for prisoner.\Shuujin?! Like a criminal?!\It's fine, isn't it? Akito can be read that way too, can't it?\Right, Shuujin?\Then, at least as Shuujin... response:	Are you okay with it?
context: All right.\Then I'm gonna call you Shuujin.\Shuujin is a Japanese word for prisoner.\Shuujin?! Like a criminal?!\It's fine, isn't it? Akito can be read that way too, can't it?\Right, Shuujin?\Then, at least as Shuujin...\Are you okay with it? response:	Sure!
context: Then I'm gonna call you Shuujin.\Shuujin is a Japanese word for prisoner.\Shuujin?! Like a criminal?!\It's fine, isn't it? Akito can be read that way too, can't it?\Right, Shuujin?\Then, at least as Shuujin...\Are you okay with it?\Sure! response:	Your uncle died three years ago, right?
context: Shuujin is a Japanese word for prisoner.\Shuujin?! Like a criminal?!\It's fine, isn't it? Akito can be read that way too, can't it?\Right, Shuujin?\Then, at least as Shuujin...\Are you okay with it?\Sure!\Your uncle died three years ago, right? response:	Did you check up on it?
context: Shuujin?! Like a criminal?!\It's fine, isn't it? Akito can be read that way too, can't it?\Right, Shuujin?\Then, at least as Shuujin...\Are you okay with it?\Sure!\Your uncle died three years ago, right?\Did you check up on it? response:	We're neighbors. My parents knew.
context: It's fine, isn't it? Akito can be read that way too, can't it?\Right, Shuujin?\Then, at least as Shuujin...\Are you okay with it?\Sure!\Your uncle died three years ago, right?\Did you check up on it?\We're neighbors. My parents knew. response:	But they didn't know he was the mangaka, Kawaguchi Tarou.
context: Right, Shuujin?\Then, at least as Shuujin...\Are you okay with it?\Sure!\Your uncle died three years ago, right?\Did you check up on it?\We're neighbors. My parents knew.\But they didn't know he was the mangaka, Kawaguchi Tarou. response:	It is a pen name after all.
context: Then, at least as Shuujin...\Are you okay with it?\Sure!\Your uncle died three years ago, right?\Did you check up on it?\We're neighbors. My parents knew.\But they didn't know he was the mangaka, Kawaguchi Tarou.\It is a pen name after all. response:	His real name was Mashiro Nobuhiro.
context: Are you okay with it?\Sure!\Your uncle died three years ago, right?\Did you check up on it?\We're neighbors. My parents knew.\But they didn't know he was the mangaka, Kawaguchi Tarou.\It is a pen name after all.\His real name was Mashiro Nobuhiro. response:	Seems like it just said Mangaka dies in the corner of some newspaper.
context: Sure!\Your uncle died three years ago, right?\Did you check up on it?\We're neighbors. My parents knew.\But they didn't know he was the mangaka, Kawaguchi Tarou.\It is a pen name after all.\His real name was Mashiro Nobuhiro.\Seems like it just said Mangaka dies in the corner of some newspaper. response:	If a mangaka can't get serialized, they're just a NEET.
context: Your uncle died three years ago, right?\Did you check up on it?\We're neighbors. My parents knew.\But they didn't know he was the mangaka, Kawaguchi Tarou.\It is a pen name after all.\His real name was Mashiro Nobuhiro.\Seems like it just said Mangaka dies in the corner of some newspaper.\If a mangaka can't get serialized, they're just a NEET. response:	Note: NEET stands for Not in Education, Employment or Training
context: Did you check up on it?\We're neighbors. My parents knew.\But they didn't know he was the mangaka, Kawaguchi Tarou.\It is a pen name after all.\His real name was Mashiro Nobuhiro.\Seems like it just said Mangaka dies in the corner of some newspaper.\If a mangaka can't get serialized, they're just a NEET.\Note: NEET stands for Not in Education, Employment or Training response:	After being a NEET for seven years in a row, it'd be no surprise that you wanted to die.
context: We're neighbors. My parents knew.\But they didn't know he was the mangaka, Kawaguchi Tarou.\It is a pen name after all.\His real name was Mashiro Nobuhiro.\Seems like it just said Mangaka dies in the corner of some newspaper.\If a mangaka can't get serialized, they're just a NEET.\Note: NEET stands for Not in Education, Employment or Training\After being a NEET for seven years in a row, it'd be no surprise that you wanted to die. response:	He committed suicide?
context: But they didn't know he was the mangaka, Kawaguchi Tarou.\It is a pen name after all.\His real name was Mashiro Nobuhiro.\Seems like it just said Mangaka dies in the corner of some newspaper.\If a mangaka can't get serialized, they're just a NEET.\Note: NEET stands for Not in Education, Employment or Training\After being a NEET for seven years in a row, it'd be no surprise that you wanted to die.\He committed suicide? response:	My parents said he died because he was overworked,
context: It is a pen name after all.\His real name was Mashiro Nobuhiro.\Seems like it just said Mangaka dies in the corner of some newspaper.\If a mangaka can't get serialized, they're just a NEET.\Note: NEET stands for Not in Education, Employment or Training\After being a NEET for seven years in a row, it'd be no surprise that you wanted to die.\He committed suicide?\My parents said he died because he was overworked, response:	but he barely had any work for seven years, right?
context: His real name was Mashiro Nobuhiro.\Seems like it just said Mangaka dies in the corner of some newspaper.\If a mangaka can't get serialized, they're just a NEET.\Note: NEET stands for Not in Education, Employment or Training\After being a NEET for seven years in a row, it'd be no surprise that you wanted to die.\He committed suicide?\My parents said he died because he was overworked,\but he barely had any work for seven years, right? response:	So, do you wanna give up on being a mangaka?
context: Seems like it just said Mangaka dies in the corner of some newspaper.\If a mangaka can't get serialized, they're just a NEET.\Note: NEET stands for Not in Education, Employment or Training\After being a NEET for seven years in a row, it'd be no surprise that you wanted to die.\He committed suicide?\My parents said he died because he was overworked,\but he barely had any work for seven years, right?\So, do you wanna give up on being a mangaka? response:	Even if you quit, I'm gonna do it.
context: If a mangaka can't get serialized, they're just a NEET.\Note: NEET stands for Not in Education, Employment or Training\After being a NEET for seven years in a row, it'd be no surprise that you wanted to die.\He committed suicide?\My parents said he died because he was overworked,\but he barely had any work for seven years, right?\So, do you wanna give up on being a mangaka?\Even if you quit, I'm gonna do it. response:	I'm gonna do it too!
context: Note: NEET stands for Not in Education, Employment or Training\After being a NEET for seven years in a row, it'd be no surprise that you wanted to die.\He committed suicide?\My parents said he died because he was overworked,\but he barely had any work for seven years, right?\So, do you wanna give up on being a mangaka?\Even if you quit, I'm gonna do it.\I'm gonna do it too! response:	Teamed up with you, we'll be the top mangakas in Japan!
context: After being a NEET for seven years in a row, it'd be no surprise that you wanted to die.\He committed suicide?\My parents said he died because he was overworked,\but he barely had any work for seven years, right?\So, do you wanna give up on being a mangaka?\Even if you quit, I'm gonna do it.\I'm gonna do it too!\Teamed up with you, we'll be the top mangakas in Japan! response:	Like I said, I haven't decided if I'm teaming up with you or not.
context: He committed suicide?\My parents said he died because he was overworked,\but he barely had any work for seven years, right?\So, do you wanna give up on being a mangaka?\Even if you quit, I'm gonna do it.\I'm gonna do it too!\Teamed up with you, we'll be the top mangakas in Japan!\Like I said, I haven't decided if I'm teaming up with you or not. response:	That again?
context: My parents said he died because he was overworked,\but he barely had any work for seven years, right?\So, do you wanna give up on being a mangaka?\Even if you quit, I'm gonna do it.\I'm gonna do it too!\Teamed up with you, we'll be the top mangakas in Japan!\Like I said, I haven't decided if I'm teaming up with you or not.\That again? response:	I'm the one who inspired you to do it in the first place, aren't I?
context: but he barely had any work for seven years, right?\So, do you wanna give up on being a mangaka?\Even if you quit, I'm gonna do it.\I'm gonna do it too!\Teamed up with you, we'll be the top mangakas in Japan!\Like I said, I haven't decided if I'm teaming up with you or not.\That again?\I'm the one who inspired you to do it in the first place, aren't I? response:	It wasn't you, it was Azuki.
context: So, do you wanna give up on being a mangaka?\Even if you quit, I'm gonna do it.\I'm gonna do it too!\Teamed up with you, we'll be the top mangakas in Japan!\Like I said, I haven't decided if I'm teaming up with you or not.\That again?\I'm the one who inspired you to do it in the first place, aren't I?\It wasn't you, it was Azuki. response:	Eh? What's with that attitude?
context: Even if you quit, I'm gonna do it.\I'm gonna do it too!\Teamed up with you, we'll be the top mangakas in Japan!\Like I said, I haven't decided if I'm teaming up with you or not.\That again?\I'm the one who inspired you to do it in the first place, aren't I?\It wasn't you, it was Azuki.\Eh? What's with that attitude? response:	But you have my thanks, cupid Shuujin-kun.
context: I'm gonna do it too!\Teamed up with you, we'll be the top mangakas in Japan!\Like I said, I haven't decided if I'm teaming up with you or not.\That again?\I'm the one who inspired you to do it in the first place, aren't I?\It wasn't you, it was Azuki.\Eh? What's with that attitude?\But you have my thanks, cupid Shuujin-kun. response:	Even so, Saikou, let's work together eh?
context: Teamed up with you, we'll be the top mangakas in Japan!\Like I said, I haven't decided if I'm teaming up with you or not.\That again?\I'm the one who inspired you to do it in the first place, aren't I?\It wasn't you, it was Azuki.\Eh? What's with that attitude?\But you have my thanks, cupid Shuujin-kun.\Even so, Saikou, let's work together eh? response:	Takagi-kun.
context: Like I said, I haven't decided if I'm teaming up with you or not.\That again?\I'm the one who inspired you to do it in the first place, aren't I?\It wasn't you, it was Azuki.\Eh? What's with that attitude?\But you have my thanks, cupid Shuujin-kun.\Even so, Saikou, let's work together eh?\Takagi-kun. response:	Iwase?
context: That again?\I'm the one who inspired you to do it in the first place, aren't I?\It wasn't you, it was Azuki.\Eh? What's with that attitude?\But you have my thanks, cupid Shuujin-kun.\Even so, Saikou, let's work together eh?\Takagi-kun.\Iwase? response:	How are you doing?
context: I'm the one who inspired you to do it in the first place, aren't I?\It wasn't you, it was Azuki.\Eh? What's with that attitude?\But you have my thanks, cupid Shuujin-kun.\Even so, Saikou, let's work together eh?\Takagi-kun.\Iwase?\How are you doing? response:	Huh? Well... Same as always, I guess.
context: It wasn't you, it was Azuki.\Eh? What's with that attitude?\But you have my thanks, cupid Shuujin-kun.\Even so, Saikou, let's work together eh?\Takagi-kun.\Iwase?\How are you doing?\Huh? Well... Same as always, I guess. response:	You can say that again.
context: Eh? What's with that attitude?\But you have my thanks, cupid Shuujin-kun.\Even so, Saikou, let's work together eh?\Takagi-kun.\Iwase?\How are you doing?\Huh? Well... Same as always, I guess.\You can say that again. response:	I won't lose to you on today's test.
context: But you have my thanks, cupid Shuujin-kun.\Even so, Saikou, let's work together eh?\Takagi-kun.\Iwase?\How are you doing?\Huh? Well... Same as always, I guess.\You can say that again.\I won't lose to you on today's test. response:	Even the results for the first term of third year will have a big impact on our high school applications.
context: Even so, Saikou, let's work together eh?\Takagi-kun.\Iwase?\How are you doing?\Huh? Well... Same as always, I guess.\You can say that again.\I won't lose to you on today's test.\Even the results for the first term of third year will have a big impact on our high school applications. response:	Yeah.
context: Takagi-kun.\Iwase?\How are you doing?\Huh? Well... Same as always, I guess.\You can say that again.\I won't lose to you on today's test.\Even the results for the first term of third year will have a big impact on our high school applications.\Yeah. response:	Have you decided which high school to go to?
context: Iwase?\How are you doing?\Huh? Well... Same as always, I guess.\You can say that again.\I won't lose to you on today's test.\Even the results for the first term of third year will have a big impact on our high school applications.\Yeah.\Have you decided which high school to go to? response:	I haven't yet.
context: How are you doing?\Huh? Well... Same as always, I guess.\You can say that again.\I won't lose to you on today's test.\Even the results for the first term of third year will have a big impact on our high school applications.\Yeah.\Have you decided which high school to go to?\I haven't yet. response:	So these two are the top of our grade?
context: Huh? Well... Same as always, I guess.\You can say that again.\I won't lose to you on today's test.\Even the results for the first term of third year will have a big impact on our high school applications.\Yeah.\Have you decided which high school to go to?\I haven't yet.\So these two are the top of our grade? response:	Ah, tests are such downers.
context: You can say that again.\I won't lose to you on today's test.\Even the results for the first term of third year will have a big impact on our high school applications.\Yeah.\Have you decided which high school to go to?\I haven't yet.\So these two are the top of our grade?\Ah, tests are such downers. response:	Yesterday, I just gave up and went to sleep.
context: I won't lose to you on today's test.\Even the results for the first term of third year will have a big impact on our high school applications.\Yeah.\Have you decided which high school to go to?\I haven't yet.\So these two are the top of our grade?\Ah, tests are such downers.\Yesterday, I just gave up and went to sleep. response:	I got my skin all shiny for nothing.
context: Even the results for the first term of third year will have a big impact on our high school applications.\Yeah.\Have you decided which high school to go to?\I haven't yet.\So these two are the top of our grade?\Ah, tests are such downers.\Yesterday, I just gave up and went to sleep.\I got my skin all shiny for nothing. response:	That's okay, Kaya.
context: Yeah.\Have you decided which high school to go to?\I haven't yet.\So these two are the top of our grade?\Ah, tests are such downers.\Yesterday, I just gave up and went to sleep.\I got my skin all shiny for nothing.\That's okay, Kaya. response:	I couldn't get much studying done yesterday either.
context: Have you decided which high school to go to?\I haven't yet.\So these two are the top of our grade?\Ah, tests are such downers.\Yesterday, I just gave up and went to sleep.\I got my skin all shiny for nothing.\That's okay, Kaya.\I couldn't get much studying done yesterday either. response:	Yeah, right.
context: I haven't yet.\So these two are the top of our grade?\Ah, tests are such downers.\Yesterday, I just gave up and went to sleep.\I got my skin all shiny for nothing.\That's okay, Kaya.\I couldn't get much studying done yesterday either.\Yeah, right. response:	You always get good scores anyhow, Miho.
