context: Once upon a time, there was a girl who loved to dance very much. response:	The girl made the mistake of putting on a pair of red shoes that would force her to dance for eternity once they were on.
context: I'm a duck.\I'm really only a bird.\But what the prince sees is Princess Tutu in her beautiful dress.\It's not me.\What... did I... just...\The Black Shoes\There are some things that just don't change after a night's sleep.\Rue-chan and Mytho are still perfect for each other. response:	Fakir is still not nice.
context: I'm really only a bird.\But what the prince sees is Princess Tutu in her beautiful dress.\It's not me.\What... did I... just...\The Black Shoes\There are some things that just don't change after a night's sleep.\Rue-chan and Mytho are still perfect for each other.\Fakir is still not nice. response:	I'm still a duck.
context: But what the prince sees is Princess Tutu in her beautiful dress.\It's not me.\What... did I... just...\The Black Shoes\There are some things that just don't change after a night's sleep.\Rue-chan and Mytho are still perfect for each other.\Fakir is still not nice.\I'm still a duck. response:	And outside the window, the sky is wide open as ever.
context: It's not me.\What... did I... just...\The Black Shoes\There are some things that just don't change after a night's sleep.\Rue-chan and Mytho are still perfect for each other.\Fakir is still not nice.\I'm still a duck.\And outside the window, the sky is wide open as ever. response:	There's no problem.
context: What... did I... just...\The Black Shoes\There are some things that just don't change after a night's sleep.\Rue-chan and Mytho are still perfect for each other.\Fakir is still not nice.\I'm still a duck.\And outside the window, the sky is wide open as ever.\There's no problem. response:	Morning!
context: The Black Shoes\There are some things that just don't change after a night's sleep.\Rue-chan and Mytho are still perfect for each other.\Fakir is still not nice.\I'm still a duck.\And outside the window, the sky is wide open as ever.\There's no problem.\Morning! response:	I am Rue.
context: There are some things that just don't change after a night's sleep.\Rue-chan and Mytho are still perfect for each other.\Fakir is still not nice.\I'm still a duck.\And outside the window, the sky is wide open as ever.\There's no problem.\Morning!\I am Rue. response:	I am not anyone else.
context: Rue-chan and Mytho are still perfect for each other.\Fakir is still not nice.\I'm still a duck.\And outside the window, the sky is wide open as ever.\There's no problem.\Morning!\I am Rue.\I am not anyone else. response:	That's who I've always been.
context: Fakir is still not nice.\I'm still a duck.\And outside the window, the sky is wide open as ever.\There's no problem.\Morning!\I am Rue.\I am not anyone else.\That's who I've always been. response:	And who I always will be.
context: I'm still a duck.\And outside the window, the sky is wide open as ever.\There's no problem.\Morning!\I am Rue.\I am not anyone else.\That's who I've always been.\And who I always will be. response:	Rue.
context: And outside the window, the sky is wide open as ever.\There's no problem.\Morning!\I am Rue.\I am not anyone else.\That's who I've always been.\And who I always will be.\Rue. response:	What?
context: There's no problem.\Morning!\I am Rue.\I am not anyone else.\That's who I've always been.\And who I always will be.\Rue.\What? response:	I want to know.
context: Morning!\I am Rue.\I am not anyone else.\That's who I've always been.\And who I always will be.\Rue.\What?\I want to know. response:	Do I love you?
context: I am Rue.\I am not anyone else.\That's who I've always been.\And who I always will be.\Rue.\What?\I want to know.\Do I love you? response:	Tell me that you love me.
context: I am not anyone else.\That's who I've always been.\And who I always will be.\Rue.\What?\I want to know.\Do I love you?\Tell me that you love me. response:	I love you, Rue.
context: That's who I've always been.\And who I always will be.\Rue.\What?\I want to know.\Do I love you?\Tell me that you love me.\I love you, Rue. response:	Mytho, you love me.
context: And who I always will be.\Rue.\What?\I want to know.\Do I love you?\Tell me that you love me.\I love you, Rue.\Mytho, you love me. response:	I love you.
context: Rue.\What?\I want to know.\Do I love you?\Tell me that you love me.\I love you, Rue.\Mytho, you love me.\I love you. response:	Do I really?
context: What?\I want to know.\Do I love you?\Tell me that you love me.\I love you, Rue.\Mytho, you love me.\I love you.\Do I really? response:	You do.
context: I want to know.\Do I love you?\Tell me that you love me.\I love you, Rue.\Mytho, you love me.\I love you.\Do I really?\You do. response:	Then what is this feeling I have when I think of Tutu?
context: Do I love you?\Tell me that you love me.\I love you, Rue.\Mytho, you love me.\I love you.\Do I really?\You do.\Then what is this feeling I have when I think of Tutu? response:	Tutu...
context: Tell me that you love me.\I love you, Rue.\Mytho, you love me.\I love you.\Do I really?\You do.\Then what is this feeling I have when I think of Tutu?\Tutu... response:	Tell me, Rue, maybe I'm actually...
context: I love you, Rue.\Mytho, you love me.\I love you.\Do I really?\You do.\Then what is this feeling I have when I think of Tutu?\Tutu...\Tell me, Rue, maybe I'm actually... response:	You don't need to know any of that!
context: Mytho, you love me.\I love you.\Do I really?\You do.\Then what is this feeling I have when I think of Tutu?\Tutu...\Tell me, Rue, maybe I'm actually...\You don't need to know any of that! response:	Isn't this kind of bad?
context: I love you.\Do I really?\You do.\Then what is this feeling I have when I think of Tutu?\Tutu...\Tell me, Rue, maybe I'm actually...\You don't need to know any of that!\Isn't this kind of bad? response:	It looks bad.
context: Do I really?\You do.\Then what is this feeling I have when I think of Tutu?\Tutu...\Tell me, Rue, maybe I'm actually...\You don't need to know any of that!\Isn't this kind of bad?\It looks bad. response:	What'll become of those two?
context: You do.\Then what is this feeling I have when I think of Tutu?\Tutu...\Tell me, Rue, maybe I'm actually...\You don't need to know any of that!\Isn't this kind of bad?\It looks bad.\What'll become of those two? response:	Ruin? Will they be ruined?!
context: Then what is this feeling I have when I think of Tutu?\Tutu...\Tell me, Rue, maybe I'm actually...\You don't need to know any of that!\Isn't this kind of bad?\It looks bad.\What'll become of those two?\Ruin? Will they be ruined?! response:	Oh!
context: Tutu...\Tell me, Rue, maybe I'm actually...\You don't need to know any of that!\Isn't this kind of bad?\It looks bad.\What'll become of those two?\Ruin? Will they be ruined?!\Oh! response:	They'll be ruined, won't they?!
context: Tell me, Rue, maybe I'm actually...\You don't need to know any of that!\Isn't this kind of bad?\It looks bad.\What'll become of those two?\Ruin? Will they be ruined?!\Oh!\They'll be ruined, won't they?! response:	With this hand, I tried...
context: You don't need to know any of that!\Isn't this kind of bad?\It looks bad.\What'll become of those two?\Ruin? Will they be ruined?!\Oh!\They'll be ruined, won't they?!\With this hand, I tried... response:	to pierce Mytho's heart.
context: Isn't this kind of bad?\It looks bad.\What'll become of those two?\Ruin? Will they be ruined?!\Oh!\They'll be ruined, won't they?!\With this hand, I tried...\to pierce Mytho's heart. response:	It was because I believed that was best for Mytho.
context: It looks bad.\What'll become of those two?\Ruin? Will they be ruined?!\Oh!\They'll be ruined, won't they?!\With this hand, I tried...\to pierce Mytho's heart.\It was because I believed that was best for Mytho. response:	But...
context: What'll become of those two?\Ruin? Will they be ruined?!\Oh!\They'll be ruined, won't they?!\With this hand, I tried...\to pierce Mytho's heart.\It was because I believed that was best for Mytho.\But... response:	Now that Mytho himself wishes to regain his heart, what can I do when I can't even stop him?
context: Ruin? Will they be ruined?!\Oh!\They'll be ruined, won't they?!\With this hand, I tried...\to pierce Mytho's heart.\It was because I believed that was best for Mytho.\But...\Now that Mytho himself wishes to regain his heart, what can I do when I can't even stop him? response:	If there is anything I can do right now, is it to accept fate by his side?
context: Oh!\They'll be ruined, won't they?!\With this hand, I tried...\to pierce Mytho's heart.\It was because I believed that was best for Mytho.\But...\Now that Mytho himself wishes to regain his heart, what can I do when I can't even stop him?\If there is anything I can do right now, is it to accept fate by his side? response:	Without fear...
context: They'll be ruined, won't they?!\With this hand, I tried...\to pierce Mytho's heart.\It was because I believed that was best for Mytho.\But...\Now that Mytho himself wishes to regain his heart, what can I do when I can't even stop him?\If there is anything I can do right now, is it to accept fate by his side?\Without fear... response:	Fear?
context: With this hand, I tried...\to pierce Mytho's heart.\It was because I believed that was best for Mytho.\But...\Now that Mytho himself wishes to regain his heart, what can I do when I can't even stop him?\If there is anything I can do right now, is it to accept fate by his side?\Without fear...\Fear? response:	Am I... the one who is afraid?
context: to pierce Mytho's heart.\It was because I believed that was best for Mytho.\But...\Now that Mytho himself wishes to regain his heart, what can I do when I can't even stop him?\If there is anything I can do right now, is it to accept fate by his side?\Without fear...\Fear?\Am I... the one who is afraid? response:	How about at the pizza shop?
context: It was because I believed that was best for Mytho.\But...\Now that Mytho himself wishes to regain his heart, what can I do when I can't even stop him?\If there is anything I can do right now, is it to accept fate by his side?\Without fear...\Fear?\Am I... the one who is afraid?\How about at the pizza shop? response:	What?
context: But...\Now that Mytho himself wishes to regain his heart, what can I do when I can't even stop him?\If there is anything I can do right now, is it to accept fate by his side?\Without fear...\Fear?\Am I... the one who is afraid?\How about at the pizza shop?\What? response:	You don't know it? It's the red building on Church Street.
context: Now that Mytho himself wishes to regain his heart, what can I do when I can't even stop him?\If there is anything I can do right now, is it to accept fate by his side?\Without fear...\Fear?\Am I... the one who is afraid?\How about at the pizza shop?\What?\You don't know it? It's the red building on Church Street. response:	I don't, but what about the pizza shop?
context: If there is anything I can do right now, is it to accept fate by his side?\Without fear...\Fear?\Am I... the one who is afraid?\How about at the pizza shop?\What?\You don't know it? It's the red building on Church Street.\I don't, but what about the pizza shop? response:	What are you saying?
context: Without fear...\Fear?\Am I... the one who is afraid?\How about at the pizza shop?\What?\You don't know it? It's the red building on Church Street.\I don't, but what about the pizza shop?\What are you saying? response:	Huh?
context: Fear?\Am I... the one who is afraid?\How about at the pizza shop?\What?\You don't know it? It's the red building on Church Street.\I don't, but what about the pizza shop?\What are you saying?\Huh? response:	What else could there be?
context: Am I... the one who is afraid?\How about at the pizza shop?\What?\You don't know it? It's the red building on Church Street.\I don't, but what about the pizza shop?\What are you saying?\Huh?\What else could there be? response:	What?
context: How about at the pizza shop?\What?\You don't know it? It's the red building on Church Street.\I don't, but what about the pizza shop?\What are you saying?\Huh?\What else could there be?\What? response:	Revenge!
context: What?\You don't know it? It's the red building on Church Street.\I don't, but what about the pizza shop?\What are you saying?\Huh?\What else could there be?\What?\Revenge! response:	What?! Revenge of...
context: You don't know it? It's the red building on Church Street.\I don't, but what about the pizza shop?\What are you saying?\Huh?\What else could there be?\What?\Revenge!\What?! Revenge of... response:	Your confession, of course!
context: I don't, but what about the pizza shop?\What are you saying?\Huh?\What else could there be?\What?\Revenge!\What?! Revenge of...\Your confession, of course! response:	What?
context: What are you saying?\Huh?\What else could there be?\What?\Revenge!\What?! Revenge of...\Your confession, of course!\What? response:	Now that Mytho-sama and Rue-chan have fallen to ruin, this is your chance!
context: Huh?\What else could there be?\What?\Revenge!\What?! Revenge of...\Your confession, of course!\What?\Now that Mytho-sama and Rue-chan have fallen to ruin, this is your chance! response:	Huh? What do you mean?!
context: What else could there be?\What?\Revenge!\What?! Revenge of...\Your confession, of course!\What?\Now that Mytho-sama and Rue-chan have fallen to ruin, this is your chance!\Huh? What do you mean?! response:	Well, your confession the other day was kind of lukewarm, you know?
context: What?\Revenge!\What?! Revenge of...\Your confession, of course!\What?\Now that Mytho-sama and Rue-chan have fallen to ruin, this is your chance!\Huh? What do you mean?!\Well, your confession the other day was kind of lukewarm, you know? response:	No...
context: Revenge!\What?! Revenge of...\Your confession, of course!\What?\Now that Mytho-sama and Rue-chan have fallen to ruin, this is your chance!\Huh? What do you mean?!\Well, your confession the other day was kind of lukewarm, you know?\No... response:	So, you can confess all over again!
context: What?! Revenge of...\Your confession, of course!\What?\Now that Mytho-sama and Rue-chan have fallen to ruin, this is your chance!\Huh? What do you mean?!\Well, your confession the other day was kind of lukewarm, you know?\No...\So, you can confess all over again! response:	Um...
context: Your confession, of course!\What?\Now that Mytho-sama and Rue-chan have fallen to ruin, this is your chance!\Huh? What do you mean?!\Well, your confession the other day was kind of lukewarm, you know?\No...\So, you can confess all over again!\Um... response:	Or rather, get turned down all over again?
context: What?\Now that Mytho-sama and Rue-chan have fallen to ruin, this is your chance!\Huh? What do you mean?!\Well, your confession the other day was kind of lukewarm, you know?\No...\So, you can confess all over again!\Um...\Or rather, get turned down all over again? response:	Not that! What do you mean by ruin?!
context: Now that Mytho-sama and Rue-chan have fallen to ruin, this is your chance!\Huh? What do you mean?!\Well, your confession the other day was kind of lukewarm, you know?\No...\So, you can confess all over again!\Um...\Or rather, get turned down all over again?\Not that! What do you mean by ruin?! response:	What? What?
context: Huh? What do you mean?!\Well, your confession the other day was kind of lukewarm, you know?\No...\So, you can confess all over again!\Um...\Or rather, get turned down all over again?\Not that! What do you mean by ruin?!\What? What? response:	In other words, this is your chance!
context: Well, your confession the other day was kind of lukewarm, you know?\No...\So, you can confess all over again!\Um...\Or rather, get turned down all over again?\Not that! What do you mean by ruin?!\What? What?\In other words, this is your chance! response:	Confession! Confession!
context: No...\So, you can confess all over again!\Um...\Or rather, get turned down all over again?\Not that! What do you mean by ruin?!\What? What?\In other words, this is your chance!\Confession! Confession! response:	I'm telling you, I can't!
context: So, you can confess all over again!\Um...\Or rather, get turned down all over again?\Not that! What do you mean by ruin?!\What? What?\In other words, this is your chance!\Confession! Confession!\I'm telling you, I can't! response:	You coward!
context: Um...\Or rather, get turned down all over again?\Not that! What do you mean by ruin?!\What? What?\In other words, this is your chance!\Confession! Confession!\I'm telling you, I can't!\You coward! response:	Oh, Ahiru, you shouldn't roll down the hallway.
context: Or rather, get turned down all over again?\Not that! What do you mean by ruin?!\What? What?\In other words, this is your chance!\Confession! Confession!\I'm telling you, I can't!\You coward!\Oh, Ahiru, you shouldn't roll down the hallway. response:	It's your fault.
context: Not that! What do you mean by ruin?!\What? What?\In other words, this is your chance!\Confession! Confession!\I'm telling you, I can't!\You coward!\Oh, Ahiru, you shouldn't roll down the hallway.\It's your fault. response:	Really?
context: What? What?\In other words, this is your chance!\Confession! Confession!\I'm telling you, I can't!\You coward!\Oh, Ahiru, you shouldn't roll down the hallway.\It's your fault.\Really? response:	You again, Ahiru-san?
context: In other words, this is your chance!\Confession! Confession!\I'm telling you, I can't!\You coward!\Oh, Ahiru, you shouldn't roll down the hallway.\It's your fault.\Really?\You again, Ahiru-san? response:	Rolling down the hallway...
context: Confession! Confession!\I'm telling you, I can't!\You coward!\Oh, Ahiru, you shouldn't roll down the hallway.\It's your fault.\Really?\You again, Ahiru-san?\Rolling down the hallway... response:	If you keep it up,
context: I'm telling you, I can't!\You coward!\Oh, Ahiru, you shouldn't roll down the hallway.\It's your fault.\Really?\You again, Ahiru-san?\Rolling down the hallway...\If you keep it up, response:	I will have no choice but to have you marry me!
context: You coward!\Oh, Ahiru, you shouldn't roll down the hallway.\It's your fault.\Really?\You again, Ahiru-san?\Rolling down the hallway...\If you keep it up,\I will have no choice but to have you marry me! response:	I'm sorry!
context: Oh, Ahiru, you shouldn't roll down the hallway.\It's your fault.\Really?\You again, Ahiru-san?\Rolling down the hallway...\If you keep it up,\I will have no choice but to have you marry me!\I'm sorry! response:	Something's rolling down the hall incredibly fast towards us!
context: It's your fault.\Really?\You again, Ahiru-san?\Rolling down the hallway...\If you keep it up,\I will have no choice but to have you marry me!\I'm sorry!\Something's rolling down the hall incredibly fast towards us! response:	What was that?
context: Really?\You again, Ahiru-san?\Rolling down the hallway...\If you keep it up,\I will have no choice but to have you marry me!\I'm sorry!\Something's rolling down the hall incredibly fast towards us!\What was that? response:	Goatette-sensei.
context: You again, Ahiru-san?\Rolling down the hallway...\If you keep it up,\I will have no choice but to have you marry me!\I'm sorry!\Something's rolling down the hall incredibly fast towards us!\What was that?\Goatette-sensei. response:	If you roll down the hallway, you'll be forced to marry Cat-sensei!
context: Rolling down the hallway...\If you keep it up,\I will have no choice but to have you marry me!\I'm sorry!\Something's rolling down the hall incredibly fast towards us!\What was that?\Goatette-sensei.\If you roll down the hallway, you'll be forced to marry Cat-sensei! response:	Have you come again to read that book?
context: If you keep it up,\I will have no choice but to have you marry me!\I'm sorry!\Something's rolling down the hall incredibly fast towards us!\What was that?\Goatette-sensei.\If you roll down the hallway, you'll be forced to marry Cat-sensei!\Have you come again to read that book? response:	Then, how about inviting him over to your house?
context: I will have no choice but to have you marry me!\I'm sorry!\Something's rolling down the hall incredibly fast towards us!\What was that?\Goatette-sensei.\If you roll down the hallway, you'll be forced to marry Cat-sensei!\Have you come again to read that book?\Then, how about inviting him over to your house? response:	House?
context: I'm sorry!\Something's rolling down the hall incredibly fast towards us!\What was that?\Goatette-sensei.\If you roll down the hallway, you'll be forced to marry Cat-sensei!\Have you come again to read that book?\Then, how about inviting him over to your house?\House? response:	Oh? Where is your house?
context: Something's rolling down the hall incredibly fast towards us!\What was that?\Goatette-sensei.\If you roll down the hallway, you'll be forced to marry Cat-sensei!\Have you come again to read that book?\Then, how about inviting him over to your house?\House?\Oh? Where is your house? response:	Oh, the lake...
context: What was that?\Goatette-sensei.\If you roll down the hallway, you'll be forced to marry Cat-sensei!\Have you come again to read that book?\Then, how about inviting him over to your house?\House?\Oh? Where is your house?\Oh, the lake... response:	Lake?
context: Goatette-sensei.\If you roll down the hallway, you'll be forced to marry Cat-sensei!\Have you come again to read that book?\Then, how about inviting him over to your house?\House?\Oh? Where is your house?\Oh, the lake...\Lake? response:	Oh, no, out towards the lake?
context: If you roll down the hallway, you'll be forced to marry Cat-sensei!\Have you come again to read that book?\Then, how about inviting him over to your house?\House?\Oh? Where is your house?\Oh, the lake...\Lake?\Oh, no, out towards the lake? response:	So, that means it's outside the town.
context: Have you come again to read that book?\Then, how about inviting him over to your house?\House?\Oh? Where is your house?\Oh, the lake...\Lake?\Oh, no, out towards the lake?\So, that means it's outside the town. response:	All we have in town is an old pond after all.
context: Then, how about inviting him over to your house?\House?\Oh? Where is your house?\Oh, the lake...\Lake?\Oh, no, out towards the lake?\So, that means it's outside the town.\All we have in town is an old pond after all. response:	Now, that will be it for the beginner class lesson.
context: House?\Oh? Where is your house?\Oh, the lake...\Lake?\Oh, no, out towards the lake?\So, that means it's outside the town.\All we have in town is an old pond after all.\Now, that will be it for the beginner class lesson. response:	Next...
context: Oh? Where is your house?\Oh, the lake...\Lake?\Oh, no, out towards the lake?\So, that means it's outside the town.\All we have in town is an old pond after all.\Now, that will be it for the beginner class lesson.\Next... response:	The private lessons for the advanced class will start after this, so please leave immediately.
context: Oh, the lake...\Lake?\Oh, no, out towards the lake?\So, that means it's outside the town.\All we have in town is an old pond after all.\Now, that will be it for the beginner class lesson.\Next...\The private lessons for the advanced class will start after this, so please leave immediately. response:	If you hang about, I will have you marry me!
context: Lake?\Oh, no, out towards the lake?\So, that means it's outside the town.\All we have in town is an old pond after all.\Now, that will be it for the beginner class lesson.\Next...\The private lessons for the advanced class will start after this, so please leave immediately.\If you hang about, I will have you marry me! response:	Goatette-sensei is hanging about...
context: Oh, no, out towards the lake?\So, that means it's outside the town.\All we have in town is an old pond after all.\Now, that will be it for the beginner class lesson.\Next...\The private lessons for the advanced class will start after this, so please leave immediately.\If you hang about, I will have you marry me!\Goatette-sensei is hanging about... response:	It seems you'll have to get married.
context: So, that means it's outside the town.\All we have in town is an old pond after all.\Now, that will be it for the beginner class lesson.\Next...\The private lessons for the advanced class will start after this, so please leave immediately.\If you hang about, I will have you marry me!\Goatette-sensei is hanging about...\It seems you'll have to get married. response:	Meow, meow!
context: All we have in town is an old pond after all.\Now, that will be it for the beginner class lesson.\Next...\The private lessons for the advanced class will start after this, so please leave immediately.\If you hang about, I will have you marry me!\Goatette-sensei is hanging about...\It seems you'll have to get married.\Meow, meow! response:	Mytho...
context: Now, that will be it for the beginner class lesson.\Next...\The private lessons for the advanced class will start after this, so please leave immediately.\If you hang about, I will have you marry me!\Goatette-sensei is hanging about...\It seems you'll have to get married.\Meow, meow!\Mytho... response:	It's your chance!
context: Next...\The private lessons for the advanced class will start after this, so please leave immediately.\If you hang about, I will have you marry me!\Goatette-sensei is hanging about...\It seems you'll have to get married.\Meow, meow!\Mytho...\It's your chance! response:	Wonderful as ever, aren't they?
context: The private lessons for the advanced class will start after this, so please leave immediately.\If you hang about, I will have you marry me!\Goatette-sensei is hanging about...\It seems you'll have to get married.\Meow, meow!\Mytho...\It's your chance!\Wonderful as ever, aren't they? response:	It doesn't look like there's any opening for Ahiru.
context: If you hang about, I will have you marry me!\Goatette-sensei is hanging about...\It seems you'll have to get married.\Meow, meow!\Mytho...\It's your chance!\Wonderful as ever, aren't they?\It doesn't look like there's any opening for Ahiru. response:	Don't lose heart, Ahiru.
context: Goatette-sensei is hanging about...\It seems you'll have to get married.\Meow, meow!\Mytho...\It's your chance!\Wonderful as ever, aren't they?\It doesn't look like there's any opening for Ahiru.\Don't lose heart, Ahiru. response:	That's right. After all, we already knew this to be the case.
context: It seems you'll have to get married.\Meow, meow!\Mytho...\It's your chance!\Wonderful as ever, aren't they?\It doesn't look like there's any opening for Ahiru.\Don't lose heart, Ahiru.\That's right. After all, we already knew this to be the case. response:	I know.
context: Meow, meow!\Mytho...\It's your chance!\Wonderful as ever, aren't they?\It doesn't look like there's any opening for Ahiru.\Don't lose heart, Ahiru.\That's right. After all, we already knew this to be the case.\I know. response:	Mytho is perfect for Rue-chan.
context: Mytho...\It's your chance!\Wonderful as ever, aren't they?\It doesn't look like there's any opening for Ahiru.\Don't lose heart, Ahiru.\That's right. After all, we already knew this to be the case.\I know.\Mytho is perfect for Rue-chan. response:	I know that I'm just a duck.
context: It's your chance!\Wonderful as ever, aren't they?\It doesn't look like there's any opening for Ahiru.\Don't lose heart, Ahiru.\That's right. After all, we already knew this to be the case.\I know.\Mytho is perfect for Rue-chan.\I know that I'm just a duck. response:	I want to know what you think of me.
context: Wonderful as ever, aren't they?\It doesn't look like there's any opening for Ahiru.\Don't lose heart, Ahiru.\That's right. After all, we already knew this to be the case.\I know.\Mytho is perfect for Rue-chan.\I know that I'm just a duck.\I want to know what you think of me. response:	I know what I think of Mytho.
context: It doesn't look like there's any opening for Ahiru.\Don't lose heart, Ahiru.\That's right. After all, we already knew this to be the case.\I know.\Mytho is perfect for Rue-chan.\I know that I'm just a duck.\I want to know what you think of me.\I know what I think of Mytho. response:	But I can't say it.
context: Don't lose heart, Ahiru.\That's right. After all, we already knew this to be the case.\I know.\Mytho is perfect for Rue-chan.\I know that I'm just a duck.\I want to know what you think of me.\I know what I think of Mytho.\But I can't say it. response:	If you become Princess Tutu, you can save the prince,
context: That's right. After all, we already knew this to be the case.\I know.\Mytho is perfect for Rue-chan.\I know that I'm just a duck.\I want to know what you think of me.\I know what I think of Mytho.\But I can't say it.\If you become Princess Tutu, you can save the prince, response:	but if you proclaim your love to him, you'll turn into a speck of light and vanish.
context: I know.\Mytho is perfect for Rue-chan.\I know that I'm just a duck.\I want to know what you think of me.\I know what I think of Mytho.\But I can't say it.\If you become Princess Tutu, you can save the prince,\but if you proclaim your love to him, you'll turn into a speck of light and vanish. response:	I know.
context: Mytho is perfect for Rue-chan.\I know that I'm just a duck.\I want to know what you think of me.\I know what I think of Mytho.\But I can't say it.\If you become Princess Tutu, you can save the prince,\but if you proclaim your love to him, you'll turn into a speck of light and vanish.\I know. response:	But somehow, my heart aches...
context: I know that I'm just a duck.\I want to know what you think of me.\I know what I think of Mytho.\But I can't say it.\If you become Princess Tutu, you can save the prince,\but if you proclaim your love to him, you'll turn into a speck of light and vanish.\I know.\But somehow, my heart aches... response:	You don't have to change at all.
context: I want to know what you think of me.\I know what I think of Mytho.\But I can't say it.\If you become Princess Tutu, you can save the prince,\but if you proclaim your love to him, you'll turn into a speck of light and vanish.\I know.\But somehow, my heart aches...\You don't have to change at all. response:	You're fine just the way you are.
context: I know what I think of Mytho.\But I can't say it.\If you become Princess Tutu, you can save the prince,\but if you proclaim your love to him, you'll turn into a speck of light and vanish.\I know.\But somehow, my heart aches...\You don't have to change at all.\You're fine just the way you are. response:	And yet, why do you try to change?
context: But I can't say it.\If you become Princess Tutu, you can save the prince,\but if you proclaim your love to him, you'll turn into a speck of light and vanish.\I know.\But somehow, my heart aches...\You don't have to change at all.\You're fine just the way you are.\And yet, why do you try to change? response:	When I don't want to change.
context: If you become Princess Tutu, you can save the prince,\but if you proclaim your love to him, you'll turn into a speck of light and vanish.\I know.\But somehow, my heart aches...\You don't have to change at all.\You're fine just the way you are.\And yet, why do you try to change?\When I don't want to change. response:	When I want things to stay just the way they are.
context: but if you proclaim your love to him, you'll turn into a speck of light and vanish.\I know.\But somehow, my heart aches...\You don't have to change at all.\You're fine just the way you are.\And yet, why do you try to change?\When I don't want to change.\When I want things to stay just the way they are. response:	Princess Tutu...
context: I know.\But somehow, my heart aches...\You don't have to change at all.\You're fine just the way you are.\And yet, why do you try to change?\When I don't want to change.\When I want things to stay just the way they are.\Princess Tutu... response:	What in the world is there that I need fear?
context: But somehow, my heart aches...\You don't have to change at all.\You're fine just the way you are.\And yet, why do you try to change?\When I don't want to change.\When I want things to stay just the way they are.\Princess Tutu...\What in the world is there that I need fear? response:	Ridiculous.
context: You don't have to change at all.\You're fine just the way you are.\And yet, why do you try to change?\When I don't want to change.\When I want things to stay just the way they are.\Princess Tutu...\What in the world is there that I need fear?\Ridiculous. response:	The prince and the crow...
context: You're fine just the way you are.\And yet, why do you try to change?\When I don't want to change.\When I want things to stay just the way they are.\Princess Tutu...\What in the world is there that I need fear?\Ridiculous.\The prince and the crow... response:	Written here is Mytho's tale.
