context: Hm? response:	Hmm?
context: How does a wall just break?\How the heck am I supposed to know?\You were trying to, and that's a crime! I'll call the police!\How do you know we brought our towels?\Tell the truth. I won't get mad if you say it now.\So what's the plan?\What plan?\Ah... response:	Yeah...
context: How the heck am I supposed to know?\You were trying to, and that's a crime! I'll call the police!\How do you know we brought our towels?\Tell the truth. I won't get mad if you say it now.\So what's the plan?\What plan?\Ah...\Yeah... response:	It happens to you sometimes.
context: You were trying to, and that's a crime! I'll call the police!\How do you know we brought our towels?\Tell the truth. I won't get mad if you say it now.\So what's the plan?\What plan?\Ah...\Yeah...\It happens to you sometimes. response:	The guys have been getting by going commando, but what about the girls?
context: How do you know we brought our towels?\Tell the truth. I won't get mad if you say it now.\So what's the plan?\What plan?\Ah...\Yeah...\It happens to you sometimes.\The guys have been getting by going commando, but what about the girls? response:	Oh... I'm, uh...
context: Tell the truth. I won't get mad if you say it now.\So what's the plan?\What plan?\Ah...\Yeah...\It happens to you sometimes.\The guys have been getting by going commando, but what about the girls?\Oh... I'm, uh... response:	Th-This isn't good. I'll really be on the same level as Ranta
context: So what's the plan?\What plan?\Ah...\Yeah...\It happens to you sometimes.\The guys have been getting by going commando, but what about the girls?\Oh... I'm, uh...\Th-This isn't good. I'll really be on the same level as Ranta response:	Huh? Nothing.
context: What plan?\Ah...\Yeah...\It happens to you sometimes.\The guys have been getting by going commando, but what about the girls?\Oh... I'm, uh...\Th-This isn't good. I'll really be on the same level as Ranta\Huh? Nothing. response:	Damuro was much bigger than Ortana, and is now a base for goblins.
context: Ah...\Yeah...\It happens to you sometimes.\The guys have been getting by going commando, but what about the girls?\Oh... I'm, uh...\Th-This isn't good. I'll really be on the same level as Ranta\Huh? Nothing.\Damuro was much bigger than Ortana, and is now a base for goblins. response:	Don't celebrate yet.
context: Yeah...\It happens to you sometimes.\The guys have been getting by going commando, but what about the girls?\Oh... I'm, uh...\Th-This isn't good. I'll really be on the same level as Ranta\Huh? Nothing.\Damuro was much bigger than Ortana, and is now a base for goblins.\Don't celebrate yet. response:	We need to keep this up.
context: It happens to you sometimes.\The guys have been getting by going commando, but what about the girls?\Oh... I'm, uh...\Th-This isn't good. I'll really be on the same level as Ranta\Huh? Nothing.\Damuro was much bigger than Ortana, and is now a base for goblins.\Don't celebrate yet.\We need to keep this up. response:	The mood lightened again.
context: The guys have been getting by going commando, but what about the girls?\Oh... I'm, uh...\Th-This isn't good. I'll really be on the same level as Ranta\Huh? Nothing.\Damuro was much bigger than Ortana, and is now a base for goblins.\Don't celebrate yet.\We need to keep this up.\The mood lightened again. response:	Oh...
context: Oh... I'm, uh...\Th-This isn't good. I'll really be on the same level as Ranta\Huh? Nothing.\Damuro was much bigger than Ortana, and is now a base for goblins.\Don't celebrate yet.\We need to keep this up.\The mood lightened again.\Oh... response:	Forget about being influenced.
context: Th-This isn't good. I'll really be on the same level as Ranta\Huh? Nothing.\Damuro was much bigger than Ortana, and is now a base for goblins.\Don't celebrate yet.\We need to keep this up.\The mood lightened again.\Oh...\Forget about being influenced. response:	I see.
context: Huh? Nothing.\Damuro was much bigger than Ortana, and is now a base for goblins.\Don't celebrate yet.\We need to keep this up.\The mood lightened again.\Oh...\Forget about being influenced.\I see. response:	we could have clothes for wearing indoors, too, wouldn't that be nice?
context: Damuro was much bigger than Ortana, and is now a base for goblins.\Don't celebrate yet.\We need to keep this up.\The mood lightened again.\Oh...\Forget about being influenced.\I see.\we could have clothes for wearing indoors, too, wouldn't that be nice? response:	Yup.
context: Don't celebrate yet.\We need to keep this up.\The mood lightened again.\Oh...\Forget about being influenced.\I see.\we could have clothes for wearing indoors, too, wouldn't that be nice?\Yup. response:	Yeah.
context: We need to keep this up.\The mood lightened again.\Oh...\Forget about being influenced.\I see.\we could have clothes for wearing indoors, too, wouldn't that be nice?\Yup.\Yeah. response:	Hm?
context: The mood lightened again.\Oh...\Forget about being influenced.\I see.\we could have clothes for wearing indoors, too, wouldn't that be nice?\Yup.\Yeah.\Hm? response:	Eh?
context: Oh...\Forget about being influenced.\I see.\we could have clothes for wearing indoors, too, wouldn't that be nice?\Yup.\Yeah.\Hm?\Eh? response:	I don't think I like that kind of thing, to ask for favors.
context: Forget about being influenced.\I see.\we could have clothes for wearing indoors, too, wouldn't that be nice?\Yup.\Yeah.\Hm?\Eh?\I don't think I like that kind of thing, to ask for favors. response:	Moguzo, they had them.
context: I see.\we could have clothes for wearing indoors, too, wouldn't that be nice?\Yup.\Yeah.\Hm?\Eh?\I don't think I like that kind of thing, to ask for favors.\Moguzo, they had them. response:	Breakfast will be a feast.
context: we could have clothes for wearing indoors, too, wouldn't that be nice?\Yup.\Yeah.\Hm?\Eh?\I don't think I like that kind of thing, to ask for favors.\Moguzo, they had them.\Breakfast will be a feast. response:	You really like cooking, huh.
context: Yup.\Yeah.\Hm?\Eh?\I don't think I like that kind of thing, to ask for favors.\Moguzo, they had them.\Breakfast will be a feast.\You really like cooking, huh. response:	You're not even on breakfast duty.
context: Yeah.\Hm?\Eh?\I don't think I like that kind of thing, to ask for favors.\Moguzo, they had them.\Breakfast will be a feast.\You really like cooking, huh.\You're not even on breakfast duty. response:	Do you like making or eating food better?
context: Hm?\Eh?\I don't think I like that kind of thing, to ask for favors.\Moguzo, they had them.\Breakfast will be a feast.\You really like cooking, huh.\You're not even on breakfast duty.\Do you like making or eating food better? response:	Hm...
context: Eh?\I don't think I like that kind of thing, to ask for favors.\Moguzo, they had them.\Breakfast will be a feast.\You really like cooking, huh.\You're not even on breakfast duty.\Do you like making or eating food better?\Hm... response:	Oh no!
context: I don't think I like that kind of thing, to ask for favors.\Moguzo, they had them.\Breakfast will be a feast.\You really like cooking, huh.\You're not even on breakfast duty.\Do you like making or eating food better?\Hm...\Oh no! response:	I like both, I guess.
context: Moguzo, they had them.\Breakfast will be a feast.\You really like cooking, huh.\You're not even on breakfast duty.\Do you like making or eating food better?\Hm...\Oh no!\I like both, I guess. response:	I think I liked cooking for people.
context: Breakfast will be a feast.\You really like cooking, huh.\You're not even on breakfast duty.\Do you like making or eating food better?\Hm...\Oh no!\I like both, I guess.\I think I liked cooking for people. response:	Aside from whether or not it made them happy.
context: You really like cooking, huh.\You're not even on breakfast duty.\Do you like making or eating food better?\Hm...\Oh no!\I like both, I guess.\I think I liked cooking for people.\Aside from whether or not it made them happy. response:	What are you talking about?
context: You're not even on breakfast duty.\Do you like making or eating food better?\Hm...\Oh no!\I like both, I guess.\I think I liked cooking for people.\Aside from whether or not it made them happy.\What are you talking about? response:	Everyone's happy with your cooking.
context: Do you like making or eating food better?\Hm...\Oh no!\I like both, I guess.\I think I liked cooking for people.\Aside from whether or not it made them happy.\What are you talking about?\Everyone's happy with your cooking. response:	Your cooking tastes really good.
context: Hm...\Oh no!\I like both, I guess.\I think I liked cooking for people.\Aside from whether or not it made them happy.\What are you talking about?\Everyone's happy with your cooking.\Your cooking tastes really good. response:	Really?
context: Oh no!\I like both, I guess.\I think I liked cooking for people.\Aside from whether or not it made them happy.\What are you talking about?\Everyone's happy with your cooking.\Your cooking tastes really good.\Really? response:	Yeah.
context: I like both, I guess.\I think I liked cooking for people.\Aside from whether or not it made them happy.\What are you talking about?\Everyone's happy with your cooking.\Your cooking tastes really good.\Really?\Yeah. response:	Thanks.
context: I think I liked cooking for people.\Aside from whether or not it made them happy.\What are you talking about?\Everyone's happy with your cooking.\Your cooking tastes really good.\Really?\Yeah.\Thanks. response:	I'll go wake everyone up.
context: Aside from whether or not it made them happy.\What are you talking about?\Everyone's happy with your cooking.\Your cooking tastes really good.\Really?\Yeah.\Thanks.\I'll go wake everyone up. response:	Repeating a yesterday filled with scrapes,
context: What are you talking about?\Everyone's happy with your cooking.\Your cooking tastes really good.\Really?\Yeah.\Thanks.\I'll go wake everyone up.\Repeating a yesterday filled with scrapes, response:	We clear the path to a hopeful tomorrow.
context: Everyone's happy with your cooking.\Your cooking tastes really good.\Really?\Yeah.\Thanks.\I'll go wake everyone up.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow. response:	I wonder what remains
context: Your cooking tastes really good.\Really?\Yeah.\Thanks.\I'll go wake everyone up.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains response:	in both these tiny hands?
context: Really?\Yeah.\Thanks.\I'll go wake everyone up.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands? response:	The voice I raised upwards scattered into the air.
context: Yeah.\Thanks.\I'll go wake everyone up.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air. response:	The reality I've gamed is hazy,
context: Thanks.\I'll go wake everyone up.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy, response:	and even if I can't see ahead of me,
context: I'll go wake everyone up.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me, response:	I can keep moving forward on this long road
context: Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road response:	if I'm with you.
context: We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you. response:	Connecting a bond covered in dust,
context: I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust, response:	We join back to back in the past and future.
context: in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future. response:	Repeating an answer full of mistakes,
context: The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes, response:	I will reach out my hands to seek the light, again and again.
context: The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again. response:	Sorry.
context: and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Sorry. response:	We're very sorry.
context: I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Sorry.\We're very sorry. response:	What? It was an accident.
context: if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Sorry.\We're very sorry.\What? It was an accident. response:	An unfortunate accident!
context: Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Sorry.\We're very sorry.\What? It was an accident.\An unfortunate accident! response:	How does a wall just break?
context: We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Sorry.\We're very sorry.\What? It was an accident.\An unfortunate accident!\How does a wall just break? response:	How... the heck am I supposed to know?
context: Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Sorry.\We're very sorry.\What? It was an accident.\An unfortunate accident!\How does a wall just break?\How... the heck am I supposed to know? response:	What did you say?!
context: I will reach out my hands to seek the light, again and again.\Sorry.\We're very sorry.\What? It was an accident.\An unfortunate accident!\How does a wall just break?\How... the heck am I supposed to know?\What did you say?! response:	Idiot, leave it!
context: Sorry.\We're very sorry.\What? It was an accident.\An unfortunate accident!\How does a wall just break?\How... the heck am I supposed to know?\What did you say?!\Idiot, leave it! response:	Just apologize!
context: We're very sorry.\What? It was an accident.\An unfortunate accident!\How does a wall just break?\How... the heck am I supposed to know?\What did you say?!\Idiot, leave it!\Just apologize! response:	It's not like we saw anything.
context: What? It was an accident.\An unfortunate accident!\How does a wall just break?\How... the heck am I supposed to know?\What did you say?!\Idiot, leave it!\Just apologize!\It's not like we saw anything. response:	Quit fussing.
context: An unfortunate accident!\How does a wall just break?\How... the heck am I supposed to know?\What did you say?!\Idiot, leave it!\Just apologize!\It's not like we saw anything.\Quit fussing. response:	You were trying to!
context: How does a wall just break?\How... the heck am I supposed to know?\What did you say?!\Idiot, leave it!\Just apologize!\It's not like we saw anything.\Quit fussing.\You were trying to! response:	That's a crime!
context: How... the heck am I supposed to know?\What did you say?!\Idiot, leave it!\Just apologize!\It's not like we saw anything.\Quit fussing.\You were trying to!\That's a crime! response:	I'll call the police!
context: What did you say?!\Idiot, leave it!\Just apologize!\It's not like we saw anything.\Quit fussing.\You were trying to!\That's a crime!\I'll call the police! response:	There ain't any in this town!
context: Idiot, leave it!\Just apologize!\It's not like we saw anything.\Quit fussing.\You were trying to!\That's a crime!\I'll call the police!\There ain't any in this town! response:	Why did you bring your hand towels in with you, anyway?
context: Just apologize!\It's not like we saw anything.\Quit fussing.\You were trying to!\That's a crime!\I'll call the police!\There ain't any in this town!\Why did you bring your hand towels in with you, anyway? response:	You're not supposed to.
context: It's not like we saw anything.\Quit fussing.\You were trying to!\That's a crime!\I'll call the police!\There ain't any in this town!\Why did you bring your hand towels in with you, anyway?\You're not supposed to. response:	Just a little more and... damn.
context: Quit fussing.\You were trying to!\That's a crime!\I'll call the police!\There ain't any in this town!\Why did you bring your hand towels in with you, anyway?\You're not supposed to.\Just a little more and... damn. response:	How do you know this?
context: You were trying to!\That's a crime!\I'll call the police!\There ain't any in this town!\Why did you bring your hand towels in with you, anyway?\You're not supposed to.\Just a little more and... damn.\How do you know this? response:	Huh?
context: That's a crime!\I'll call the police!\There ain't any in this town!\Why did you bring your hand towels in with you, anyway?\You're not supposed to.\Just a little more and... damn.\How do you know this?\Huh? response:	It... It's not like I-I'd want to l-look at a flat-chested girl like you!
context: I'll call the police!\There ain't any in this town!\Why did you bring your hand towels in with you, anyway?\You're not supposed to.\Just a little more and... damn.\How do you know this?\Huh?\It... It's not like I-I'd want to l-look at a flat-chested girl like you! response:	Don't call me flat-chested!
context: There ain't any in this town!\Why did you bring your hand towels in with you, anyway?\You're not supposed to.\Just a little more and... damn.\How do you know this?\Huh?\It... It's not like I-I'd want to l-look at a flat-chested girl like you!\Don't call me flat-chested! response:	Tell the truth. I won't get mad if you say it now.
context: Why did you bring your hand towels in with you, anyway?\You're not supposed to.\Just a little more and... damn.\How do you know this?\Huh?\It... It's not like I-I'd want to l-look at a flat-chested girl like you!\Don't call me flat-chested!\Tell the truth. I won't get mad if you say it now. response:	You won't?
context: You're not supposed to.\Just a little more and... damn.\How do you know this?\Huh?\It... It's not like I-I'd want to l-look at a flat-chested girl like you!\Don't call me flat-chested!\Tell the truth. I won't get mad if you say it now.\You won't? response:	Well, you know...
context: Just a little more and... damn.\How do you know this?\Huh?\It... It's not like I-I'd want to l-look at a flat-chested girl like you!\Don't call me flat-chested!\Tell the truth. I won't get mad if you say it now.\You won't?\Well, you know... response:	It just means we were too inexperienced.
context: How do you know this?\Huh?\It... It's not like I-I'd want to l-look at a flat-chested girl like you!\Don't call me flat-chested!\Tell the truth. I won't get mad if you say it now.\You won't?\Well, you know...\It just means we were too inexperienced. response:	The wall and us.
context: Huh?\It... It's not like I-I'd want to l-look at a flat-chested girl like you!\Don't call me flat-chested!\Tell the truth. I won't get mad if you say it now.\You won't?\Well, you know...\It just means we were too inexperienced.\The wall and us. response:	Y-You said you wouldn't get mad!
context: It... It's not like I-I'd want to l-look at a flat-chested girl like you!\Don't call me flat-chested!\Tell the truth. I won't get mad if you say it now.\You won't?\Well, you know...\It just means we were too inexperienced.\The wall and us.\Y-You said you wouldn't get mad! response:	I-I didn't see anything anyway.
context: Don't call me flat-chested!\Tell the truth. I won't get mad if you say it now.\You won't?\Well, you know...\It just means we were too inexperienced.\The wall and us.\Y-You said you wouldn't get mad!\I-I didn't see anything anyway. response:	I'm never going to talk to you again!
context: Tell the truth. I won't get mad if you say it now.\You won't?\Well, you know...\It just means we were too inexperienced.\The wall and us.\Y-You said you wouldn't get mad!\I-I didn't see anything anyway.\I'm never going to talk to you again! response:	Everyone's in a bad mood.
context: You won't?\Well, you know...\It just means we were too inexperienced.\The wall and us.\Y-You said you wouldn't get mad!\I-I didn't see anything anyway.\I'm never going to talk to you again!\Everyone's in a bad mood. response:	It's still a little warm.
context: Well, you know...\It just means we were too inexperienced.\The wall and us.\Y-You said you wouldn't get mad!\I-I didn't see anything anyway.\I'm never going to talk to you again!\Everyone's in a bad mood.\It's still a little warm. response:	We might catch up to them.
context: It just means we were too inexperienced.\The wall and us.\Y-You said you wouldn't get mad!\I-I didn't see anything anyway.\I'm never going to talk to you again!\Everyone's in a bad mood.\It's still a little warm.\We might catch up to them. response:	Found them.
context: The wall and us.\Y-You said you wouldn't get mad!\I-I didn't see anything anyway.\I'm never going to talk to you again!\Everyone's in a bad mood.\It's still a little warm.\We might catch up to them.\Found them. response:	Two... no, maybe three.
context: Y-You said you wouldn't get mad!\I-I didn't see anything anyway.\I'm never going to talk to you again!\Everyone's in a bad mood.\It's still a little warm.\We might catch up to them.\Found them.\Two... no, maybe three. response:	It's not a lone poplin, huh.
context: I-I didn't see anything anyway.\I'm never going to talk to you again!\Everyone's in a bad mood.\It's still a little warm.\We might catch up to them.\Found them.\Two... no, maybe three.\It's not a lone poplin, huh. response:	I think you mean goblin not poplin.
context: I'm never going to talk to you again!\Everyone's in a bad mood.\It's still a little warm.\We might catch up to them.\Found them.\Two... no, maybe three.\It's not a lone poplin, huh.\I think you mean goblin not poplin. response:	Yeah.
context: Everyone's in a bad mood.\It's still a little warm.\We might catch up to them.\Found them.\Two... no, maybe three.\It's not a lone poplin, huh.\I think you mean goblin not poplin.\Yeah. response:	Let's go back.
context: It's still a little warm.\We might catch up to them.\Found them.\Two... no, maybe three.\It's not a lone poplin, huh.\I think you mean goblin not poplin.\Yeah.\Let's go back. response:	It might take a while for Shihoru.
context: We might catch up to them.\Found them.\Two... no, maybe three.\It's not a lone poplin, huh.\I think you mean goblin not poplin.\Yeah.\Let's go back.\It might take a while for Shihoru. response:	No, I'm really sorry.
context: Found them.\Two... no, maybe three.\It's not a lone poplin, huh.\I think you mean goblin not poplin.\Yeah.\Let's go back.\It might take a while for Shihoru.\No, I'm really sorry. response:	Maybe it's okay if it's you.
context: Two... no, maybe three.\It's not a lone poplin, huh.\I think you mean goblin not poplin.\Yeah.\Let's go back.\It might take a while for Shihoru.\No, I'm really sorry.\Maybe it's okay if it's you. response:	I'm not saying it would be okay if it were you who saw.
context: It's not a lone poplin, huh.\I think you mean goblin not poplin.\Yeah.\Let's go back.\It might take a while for Shihoru.\No, I'm really sorry.\Maybe it's okay if it's you.\I'm not saying it would be okay if it were you who saw. response:	It's just that even if you did, you would apologize...
context: I think you mean goblin not poplin.\Yeah.\Let's go back.\It might take a while for Shihoru.\No, I'm really sorry.\Maybe it's okay if it's you.\I'm not saying it would be okay if it were you who saw.\It's just that even if you did, you would apologize... response:	But it's not that just because you apologized, it's okay either...
context: Yeah.\Let's go back.\It might take a while for Shihoru.\No, I'm really sorry.\Maybe it's okay if it's you.\I'm not saying it would be okay if it were you who saw.\It's just that even if you did, you would apologize...\But it's not that just because you apologized, it's okay either... response:	What's seen is seen...
context: Let's go back.\It might take a while for Shihoru.\No, I'm really sorry.\Maybe it's okay if it's you.\I'm not saying it would be okay if it were you who saw.\It's just that even if you did, you would apologize...\But it's not that just because you apologized, it's okay either...\What's seen is seen... response:	You're just repeating seen a lot...
context: It might take a while for Shihoru.\No, I'm really sorry.\Maybe it's okay if it's you.\I'm not saying it would be okay if it were you who saw.\It's just that even if you did, you would apologize...\But it's not that just because you apologized, it's okay either...\What's seen is seen...\You're just repeating seen a lot... response:	Then, what's okay?
context: No, I'm really sorry.\Maybe it's okay if it's you.\I'm not saying it would be okay if it were you who saw.\It's just that even if you did, you would apologize...\But it's not that just because you apologized, it's okay either...\What's seen is seen...\You're just repeating seen a lot...\Then, what's okay? response:	I'm not the person to ask...
context: Maybe it's okay if it's you.\I'm not saying it would be okay if it were you who saw.\It's just that even if you did, you would apologize...\But it's not that just because you apologized, it's okay either...\What's seen is seen...\You're just repeating seen a lot...\Then, what's okay?\I'm not the person to ask... response:	Umm...
context: I'm not saying it would be okay if it were you who saw.\It's just that even if you did, you would apologize...\But it's not that just because you apologized, it's okay either...\What's seen is seen...\You're just repeating seen a lot...\Then, what's okay?\I'm not the person to ask...\Umm... response:	But, it wasn't right, huh.
context: It's just that even if you did, you would apologize...\But it's not that just because you apologized, it's okay either...\What's seen is seen...\You're just repeating seen a lot...\Then, what's okay?\I'm not the person to ask...\Umm...\But, it wasn't right, huh. response:	Yeah.
context: But it's not that just because you apologized, it's okay either...\What's seen is seen...\You're just repeating seen a lot...\Then, what's okay?\I'm not the person to ask...\Umm...\But, it wasn't right, huh.\Yeah. response:	It wasn't right, Haru-kun.
context: What's seen is seen...\You're just repeating seen a lot...\Then, what's okay?\I'm not the person to ask...\Umm...\But, it wasn't right, huh.\Yeah.\It wasn't right, Haru-kun. response:	S-Sorry.
context: You're just repeating seen a lot...\Then, what's okay?\I'm not the person to ask...\Umm...\But, it wasn't right, huh.\Yeah.\It wasn't right, Haru-kun.\S-Sorry. response:	So what will we do?
context: Then, what's okay?\I'm not the person to ask...\Umm...\But, it wasn't right, huh.\Yeah.\It wasn't right, Haru-kun.\S-Sorry.\So what will we do? response:	What to do?
context: I'm not the person to ask...\Umm...\But, it wasn't right, huh.\Yeah.\It wasn't right, Haru-kun.\S-Sorry.\So what will we do?\What to do? response:	All we can do is go back to Ortana.
context: Umm...\But, it wasn't right, huh.\Yeah.\It wasn't right, Haru-kun.\S-Sorry.\So what will we do?\What to do?\All we can do is go back to Ortana. response:	Gray pains but all for vain, huh.
context: But, it wasn't right, huh.\Yeah.\It wasn't right, Haru-kun.\S-Sorry.\So what will we do?\What to do?\All we can do is go back to Ortana.\Gray pains but all for vain, huh. response:	You meant, great pains but all in vain, right?
context: Yeah.\It wasn't right, Haru-kun.\S-Sorry.\So what will we do?\What to do?\All we can do is go back to Ortana.\Gray pains but all for vain, huh.\You meant, great pains but all in vain, right? response:	Huh?
context: It wasn't right, Haru-kun.\S-Sorry.\So what will we do?\What to do?\All we can do is go back to Ortana.\Gray pains but all for vain, huh.\You meant, great pains but all in vain, right?\Huh? response:	Did I remember it wrong?
context: S-Sorry.\So what will we do?\What to do?\All we can do is go back to Ortana.\Gray pains but all for vain, huh.\You meant, great pains but all in vain, right?\Huh?\Did I remember it wrong? response:	It happens.
context: So what will we do?\What to do?\All we can do is go back to Ortana.\Gray pains but all for vain, huh.\You meant, great pains but all in vain, right?\Huh?\Did I remember it wrong?\It happens. response:	No earnings today.
context: What to do?\All we can do is go back to Ortana.\Gray pains but all for vain, huh.\You meant, great pains but all in vain, right?\Huh?\Did I remember it wrong?\It happens.\No earnings today. response:	The next day...
context: All we can do is go back to Ortana.\Gray pains but all for vain, huh.\You meant, great pains but all in vain, right?\Huh?\Did I remember it wrong?\It happens.\No earnings today.\The next day... response:	When I say barely, I mean close to nothing.
context: Gray pains but all for vain, huh.\You meant, great pains but all in vain, right?\Huh?\Did I remember it wrong?\It happens.\No earnings today.\The next day...\When I say barely, I mean close to nothing. response:	Well, to be honest, we made nothing.
context: You meant, great pains but all in vain, right?\Huh?\Did I remember it wrong?\It happens.\No earnings today.\The next day...\When I say barely, I mean close to nothing.\Well, to be honest, we made nothing. response:	The clothes we started off with quickly began to wear down.
context: Huh?\Did I remember it wrong?\It happens.\No earnings today.\The next day...\When I say barely, I mean close to nothing.\Well, to be honest, we made nothing.\The clothes we started off with quickly began to wear down. response:	Well, they weren't made to withstand hiking mountain trails and fighting goblins.
context: Did I remember it wrong?\It happens.\No earnings today.\The next day...\When I say barely, I mean close to nothing.\Well, to be honest, we made nothing.\The clothes we started off with quickly began to wear down.\Well, they weren't made to withstand hiking mountain trails and fighting goblins. response:	So we do what we can to make them last, but...
context: It happens.\No earnings today.\The next day...\When I say barely, I mean close to nothing.\Well, to be honest, we made nothing.\The clothes we started off with quickly began to wear down.\Well, they weren't made to withstand hiking mountain trails and fighting goblins.\So we do what we can to make them last, but... response:	I'd give anything for new underwear...
context: No earnings today.\The next day...\When I say barely, I mean close to nothing.\Well, to be honest, we made nothing.\The clothes we started off with quickly began to wear down.\Well, they weren't made to withstand hiking mountain trails and fighting goblins.\So we do what we can to make them last, but...\I'd give anything for new underwear... response:	But the clothes in this world are expensive.
context: The next day...\When I say barely, I mean close to nothing.\Well, to be honest, we made nothing.\The clothes we started off with quickly began to wear down.\Well, they weren't made to withstand hiking mountain trails and fighting goblins.\So we do what we can to make them last, but...\I'd give anything for new underwear...\But the clothes in this world are expensive. response:	At least, because we're so poor we can't buy anything.
context: When I say barely, I mean close to nothing.\Well, to be honest, we made nothing.\The clothes we started off with quickly began to wear down.\Well, they weren't made to withstand hiking mountain trails and fighting goblins.\So we do what we can to make them last, but...\I'd give anything for new underwear...\But the clothes in this world are expensive.\At least, because we're so poor we can't buy anything. response:	We can't even buy underwear.
