context: Wiped out, huh? response:	But considering the tactic he used, I'm sure that Kanoichi-kun thought
context: Everyone dealing with the cocoons was wiped out?\What's going on?\She's mad, she's super mad!\Manari-sama is mad!\Ow!\We can't make offerings!\The Silkworm Princess is really angry!\Now none of us can live here anymore! response:	Jerks!
context: What's going on?\She's mad, she's super mad!\Manari-sama is mad!\Ow!\We can't make offerings!\The Silkworm Princess is really angry!\Now none of us can live here anymore!\Jerks! response:	Offerings? What offerings?
context: She's mad, she's super mad!\Manari-sama is mad!\Ow!\We can't make offerings!\The Silkworm Princess is really angry!\Now none of us can live here anymore!\Jerks!\Offerings? What offerings? response:	Offerings?!
context: Manari-sama is mad!\Ow!\We can't make offerings!\The Silkworm Princess is really angry!\Now none of us can live here anymore!\Jerks!\Offerings? What offerings?\Offerings?! response:	Is that what they said?
context: Ow!\We can't make offerings!\The Silkworm Princess is really angry!\Now none of us can live here anymore!\Jerks!\Offerings? What offerings?\Offerings?!\Is that what they said? response:	Huh? Yes.
context: We can't make offerings!\The Silkworm Princess is really angry!\Now none of us can live here anymore!\Jerks!\Offerings? What offerings?\Offerings?!\Is that what they said?\Huh? Yes. response:	This is really bad!
context: The Silkworm Princess is really angry!\Now none of us can live here anymore!\Jerks!\Offerings? What offerings?\Offerings?!\Is that what they said?\Huh? Yes.\This is really bad! response:	As I thought, those cocoons were materials to make offerings to a god.
context: Now none of us can live here anymore!\Jerks!\Offerings? What offerings?\Offerings?!\Is that what they said?\Huh? Yes.\This is really bad!\As I thought, those cocoons were materials to make offerings to a god. response:	A god?!
context: Jerks!\Offerings? What offerings?\Offerings?!\Is that what they said?\Huh? Yes.\This is really bad!\As I thought, those cocoons were materials to make offerings to a god.\A god?! response:	Senda Reiji Shinjuku Ward Office Nocturnal Community Relations Division
context: Offerings? What offerings?\Offerings?!\Is that what they said?\Huh? Yes.\This is really bad!\As I thought, those cocoons were materials to make offerings to a god.\A god?!\Senda Reiji Shinjuku Ward Office Nocturnal Community Relations Division response:	Incoming call
context: Offerings?!\Is that what they said?\Huh? Yes.\This is really bad!\As I thought, those cocoons were materials to make offerings to a god.\A god?!\Senda Reiji Shinjuku Ward Office Nocturnal Community Relations Division\Incoming call response:	I see.
context: Is that what they said?\Huh? Yes.\This is really bad!\As I thought, those cocoons were materials to make offerings to a god.\A god?!\Senda Reiji Shinjuku Ward Office Nocturnal Community Relations Division\Incoming call\I see. response:	Miyako-kun, have you ever heard of Oshira-sama?
context: Huh? Yes.\This is really bad!\As I thought, those cocoons were materials to make offerings to a god.\A god?!\Senda Reiji Shinjuku Ward Office Nocturnal Community Relations Division\Incoming call\I see.\Miyako-kun, have you ever heard of Oshira-sama? response:	They're one of the kaikogami.
context: This is really bad!\As I thought, those cocoons were materials to make offerings to a god.\A god?!\Senda Reiji Shinjuku Ward Office Nocturnal Community Relations Division\Incoming call\I see.\Miyako-kun, have you ever heard of Oshira-sama?\They're one of the kaikogami. response:	This is going to be worse than handling demons.
context: As I thought, those cocoons were materials to make offerings to a god.\A god?!\Senda Reiji Shinjuku Ward Office Nocturnal Community Relations Division\Incoming call\I see.\Miyako-kun, have you ever heard of Oshira-sama?\They're one of the kaikogami.\This is going to be worse than handling demons. response:	At least you can exorcise demons and deal with them...
context: A god?!\Senda Reiji Shinjuku Ward Office Nocturnal Community Relations Division\Incoming call\I see.\Miyako-kun, have you ever heard of Oshira-sama?\They're one of the kaikogami.\This is going to be worse than handling demons.\At least you can exorcise demons and deal with them... response:	But mess with the gods of this country, and they'll curse you.
context: Senda Reiji Shinjuku Ward Office Nocturnal Community Relations Division\Incoming call\I see.\Miyako-kun, have you ever heard of Oshira-sama?\They're one of the kaikogami.\This is going to be worse than handling demons.\At least you can exorcise demons and deal with them...\But mess with the gods of this country, and they'll curse you. response:	Curse?
context: Incoming call\I see.\Miyako-kun, have you ever heard of Oshira-sama?\They're one of the kaikogami.\This is going to be worse than handling demons.\At least you can exorcise demons and deal with them...\But mess with the gods of this country, and they'll curse you.\Curse? response:	Well, we did piss them off quite a bit.
context: I see.\Miyako-kun, have you ever heard of Oshira-sama?\They're one of the kaikogami.\This is going to be worse than handling demons.\At least you can exorcise demons and deal with them...\But mess with the gods of this country, and they'll curse you.\Curse?\Well, we did piss them off quite a bit. response:	Worst case scenario, they might turn into tatarigami, and then we'll really be in trouble.
context: Miyako-kun, have you ever heard of Oshira-sama?\They're one of the kaikogami.\This is going to be worse than handling demons.\At least you can exorcise demons and deal with them...\But mess with the gods of this country, and they'll curse you.\Curse?\Well, we did piss them off quite a bit.\Worst case scenario, they might turn into tatarigami, and then we'll really be in trouble. response:	Well, there's usually a ritual we can do
context: They're one of the kaikogami.\This is going to be worse than handling demons.\At least you can exorcise demons and deal with them...\But mess with the gods of this country, and they'll curse you.\Curse?\Well, we did piss them off quite a bit.\Worst case scenario, they might turn into tatarigami, and then we'll really be in trouble.\Well, there's usually a ritual we can do response:	to appease the angered god before it comes to that,
context: This is going to be worse than handling demons.\At least you can exorcise demons and deal with them...\But mess with the gods of this country, and they'll curse you.\Curse?\Well, we did piss them off quite a bit.\Worst case scenario, they might turn into tatarigami, and then we'll really be in trouble.\Well, there's usually a ritual we can do\to appease the angered god before it comes to that, response:	but those rituals have always been a bit complicated
context: At least you can exorcise demons and deal with them...\But mess with the gods of this country, and they'll curse you.\Curse?\Well, we did piss them off quite a bit.\Worst case scenario, they might turn into tatarigami, and then we'll really be in trouble.\Well, there's usually a ritual we can do\to appease the angered god before it comes to that,\but those rituals have always been a bit complicated response:	and it's hard to communicate with...
context: But mess with the gods of this country, and they'll curse you.\Curse?\Well, we did piss them off quite a bit.\Worst case scenario, they might turn into tatarigami, and then we'll really be in trouble.\Well, there's usually a ritual we can do\to appease the angered god before it comes to that,\but those rituals have always been a bit complicated\and it's hard to communicate with... response:	Don't tell me...
context: Curse?\Well, we did piss them off quite a bit.\Worst case scenario, they might turn into tatarigami, and then we'll really be in trouble.\Well, there's usually a ritual we can do\to appease the angered god before it comes to that,\but those rituals have always been a bit complicated\and it's hard to communicate with...\Don't tell me... response:	Yup.
context: Well, we did piss them off quite a bit.\Worst case scenario, they might turn into tatarigami, and then we'll really be in trouble.\Well, there's usually a ritual we can do\to appease the angered god before it comes to that,\but those rituals have always been a bit complicated\and it's hard to communicate with...\Don't tell me...\Yup. response:	City Hall's asking us to settle things with the Another
context: Worst case scenario, they might turn into tatarigami, and then we'll really be in trouble.\Well, there's usually a ritual we can do\to appease the angered god before it comes to that,\but those rituals have always been a bit complicated\and it's hard to communicate with...\Don't tell me...\Yup.\City Hall's asking us to settle things with the Another response:	using Miyako-kun's Ears of Sand.
context: Well, there's usually a ritual we can do\to appease the angered god before it comes to that,\but those rituals have always been a bit complicated\and it's hard to communicate with...\Don't tell me...\Yup.\City Hall's asking us to settle things with the Another\using Miyako-kun's Ears of Sand. response:	It's on the verge of becoming a tatarigami!
context: to appease the angered god before it comes to that,\but those rituals have always been a bit complicated\and it's hard to communicate with...\Don't tell me...\Yup.\City Hall's asking us to settle things with the Another\using Miyako-kun's Ears of Sand.\It's on the verge of becoming a tatarigami! response:	You're okay with putting Arata in danger like that?!
context: but those rituals have always been a bit complicated\and it's hard to communicate with...\Don't tell me...\Yup.\City Hall's asking us to settle things with the Another\using Miyako-kun's Ears of Sand.\It's on the verge of becoming a tatarigami!\You're okay with putting Arata in danger like that?! response:	I'll do it.
context: and it's hard to communicate with...\Don't tell me...\Yup.\City Hall's asking us to settle things with the Another\using Miyako-kun's Ears of Sand.\It's on the verge of becoming a tatarigami!\You're okay with putting Arata in danger like that?!\I'll do it. response:	Huh?
context: Don't tell me...\Yup.\City Hall's asking us to settle things with the Another\using Miyako-kun's Ears of Sand.\It's on the verge of becoming a tatarigami!\You're okay with putting Arata in danger like that?!\I'll do it.\Huh? response:	I'll be fine... I think.
context: Yup.\City Hall's asking us to settle things with the Another\using Miyako-kun's Ears of Sand.\It's on the verge of becoming a tatarigami!\You're okay with putting Arata in danger like that?!\I'll do it.\Huh?\I'll be fine... I think. response:	You
context: City Hall's asking us to settle things with the Another\using Miyako-kun's Ears of Sand.\It's on the verge of becoming a tatarigami!\You're okay with putting Arata in danger like that?!\I'll do it.\Huh?\I'll be fine... I think.\You response:	I mean, it's pretty scary...
context: using Miyako-kun's Ears of Sand.\It's on the verge of becoming a tatarigami!\You're okay with putting Arata in danger like that?!\I'll do it.\Huh?\I'll be fine... I think.\You\I mean, it's pretty scary... response:	But I'm able to tell what's actually scary right now.
context: It's on the verge of becoming a tatarigami!\You're okay with putting Arata in danger like that?!\I'll do it.\Huh?\I'll be fine... I think.\You\I mean, it's pretty scary...\But I'm able to tell what's actually scary right now. response:	If there's something I can do about this... I'll do it.
context: You're okay with putting Arata in danger like that?!\I'll do it.\Huh?\I'll be fine... I think.\You\I mean, it's pretty scary...\But I'm able to tell what's actually scary right now.\If there's something I can do about this... I'll do it. response:	Are you really sure about this?
context: I'll do it.\Huh?\I'll be fine... I think.\You\I mean, it's pretty scary...\But I'm able to tell what's actually scary right now.\If there's something I can do about this... I'll do it.\Are you really sure about this? response:	Yes.
context: Huh?\I'll be fine... I think.\You\I mean, it's pretty scary...\But I'm able to tell what's actually scary right now.\If there's something I can do about this... I'll do it.\Are you really sure about this?\Yes. response:	Good. This is a perfect opportunity to make City Hall owe us one.
context: I'll be fine... I think.\You\I mean, it's pretty scary...\But I'm able to tell what's actually scary right now.\If there's something I can do about this... I'll do it.\Are you really sure about this?\Yes.\Good. This is a perfect opportunity to make City Hall owe us one. response:	Right!
context: You\I mean, it's pretty scary...\But I'm able to tell what's actually scary right now.\If there's something I can do about this... I'll do it.\Are you really sure about this?\Yes.\Good. This is a perfect opportunity to make City Hall owe us one.\Right! response:	I knew there was a parent somewhere.
context: I mean, it's pretty scary...\But I'm able to tell what's actually scary right now.\If there's something I can do about this... I'll do it.\Are you really sure about this?\Yes.\Good. This is a perfect opportunity to make City Hall owe us one.\Right!\I knew there was a parent somewhere. response:	I let my guard down.
context: But I'm able to tell what's actually scary right now.\If there's something I can do about this... I'll do it.\Are you really sure about this?\Yes.\Good. This is a perfect opportunity to make City Hall owe us one.\Right!\I knew there was a parent somewhere.\I let my guard down. response:	This is a kekkaiseki blade.
context: If there's something I can do about this... I'll do it.\Are you really sure about this?\Yes.\Good. This is a perfect opportunity to make City Hall owe us one.\Right!\I knew there was a parent somewhere.\I let my guard down.\This is a kekkaiseki blade. response:	It has the ability to kill Anothers.
context: Are you really sure about this?\Yes.\Good. This is a perfect opportunity to make City Hall owe us one.\Right!\I knew there was a parent somewhere.\I let my guard down.\This is a kekkaiseki blade.\It has the ability to kill Anothers. response:	I can kill you with my own hands. You're just another insect.
context: Yes.\Good. This is a perfect opportunity to make City Hall owe us one.\Right!\I knew there was a parent somewhere.\I let my guard down.\This is a kekkaiseki blade.\It has the ability to kill Anothers.\I can kill you with my own hands. You're just another insect. response:	I have no idea what you're trying to say, but...
context: Good. This is a perfect opportunity to make City Hall owe us one.\Right!\I knew there was a parent somewhere.\I let my guard down.\This is a kekkaiseki blade.\It has the ability to kill Anothers.\I can kill you with my own hands. You're just another insect.\I have no idea what you're trying to say, but... response:	Can't move, can you?
context: Right!\I knew there was a parent somewhere.\I let my guard down.\This is a kekkaiseki blade.\It has the ability to kill Anothers.\I can kill you with my own hands. You're just another insect.\I have no idea what you're trying to say, but...\Can't move, can you? response:	You show up out of nowhere, wreck this place,
context: I knew there was a parent somewhere.\I let my guard down.\This is a kekkaiseki blade.\It has the ability to kill Anothers.\I can kill you with my own hands. You're just another insect.\I have no idea what you're trying to say, but...\Can't move, can you?\You show up out of nowhere, wreck this place, response:	and then have the nerve to hurt some people.
context: I let my guard down.\This is a kekkaiseki blade.\It has the ability to kill Anothers.\I can kill you with my own hands. You're just another insect.\I have no idea what you're trying to say, but...\Can't move, can you?\You show up out of nowhere, wreck this place,\and then have the nerve to hurt some people. response:	I wish you things would get a clue already.
context: This is a kekkaiseki blade.\It has the ability to kill Anothers.\I can kill you with my own hands. You're just another insect.\I have no idea what you're trying to say, but...\Can't move, can you?\You show up out of nowhere, wreck this place,\and then have the nerve to hurt some people.\I wish you things would get a clue already. response:	This place belongs to us humans now.
context: It has the ability to kill Anothers.\I can kill you with my own hands. You're just another insect.\I have no idea what you're trying to say, but...\Can't move, can you?\You show up out of nowhere, wreck this place,\and then have the nerve to hurt some people.\I wish you things would get a clue already.\This place belongs to us humans now. response:	There's no place for Anothers like you anymore!
context: I can kill you with my own hands. You're just another insect.\I have no idea what you're trying to say, but...\Can't move, can you?\You show up out of nowhere, wreck this place,\and then have the nerve to hurt some people.\I wish you things would get a clue already.\This place belongs to us humans now.\There's no place for Anothers like you anymore! response:	Wait!
context: I have no idea what you're trying to say, but...\Can't move, can you?\You show up out of nowhere, wreck this place,\and then have the nerve to hurt some people.\I wish you things would get a clue already.\This place belongs to us humans now.\There's no place for Anothers like you anymore!\Wait! response:	Wait! Please!
context: Can't move, can you?\You show up out of nowhere, wreck this place,\and then have the nerve to hurt some people.\I wish you things would get a clue already.\This place belongs to us humans now.\There's no place for Anothers like you anymore!\Wait!\Wait! Please! response:	There's no point in you showing up now.
context: You show up out of nowhere, wreck this place,\and then have the nerve to hurt some people.\I wish you things would get a clue already.\This place belongs to us humans now.\There's no place for Anothers like you anymore!\Wait!\Wait! Please!\There's no point in you showing up now. response:	I told you to wait, damn it!
context: and then have the nerve to hurt some people.\I wish you things would get a clue already.\This place belongs to us humans now.\There's no place for Anothers like you anymore!\Wait!\Wait! Please!\There's no point in you showing up now.\I told you to wait, damn it! response:	Why, you little
context: I wish you things would get a clue already.\This place belongs to us humans now.\There's no place for Anothers like you anymore!\Wait!\Wait! Please!\There's no point in you showing up now.\I told you to wait, damn it!\Why, you little response:	Don't hurt her any more!
context: This place belongs to us humans now.\There's no place for Anothers like you anymore!\Wait!\Wait! Please!\There's no point in you showing up now.\I told you to wait, damn it!\Why, you little\Don't hurt her any more! response:	Her?
context: There's no place for Anothers like you anymore!\Wait!\Wait! Please!\There's no point in you showing up now.\I told you to wait, damn it!\Why, you little\Don't hurt her any more!\Her? response:	That's an Another! She's not human!
context: Wait!\Wait! Please!\There's no point in you showing up now.\I told you to wait, damn it!\Why, you little\Don't hurt her any more!\Her?\That's an Another! She's not human! response:	Once I kill her, this will all be over.
context: Wait! Please!\There's no point in you showing up now.\I told you to wait, damn it!\Why, you little\Don't hurt her any more!\Her?\That's an Another! She's not human!\Once I kill her, this will all be over. response:	Stay out of my way!
context: There's no point in you showing up now.\I told you to wait, damn it!\Why, you little\Don't hurt her any more!\Her?\That's an Another! She's not human!\Once I kill her, this will all be over.\Stay out of my way! response:	You just want to kill Anothers!
context: I told you to wait, damn it!\Why, you little\Don't hurt her any more!\Her?\That's an Another! She's not human!\Once I kill her, this will all be over.\Stay out of my way!\You just want to kill Anothers! response:	That isn't going to solve anything! It's just going to create a bigger mess!
context: Why, you little\Don't hurt her any more!\Her?\That's an Another! She's not human!\Once I kill her, this will all be over.\Stay out of my way!\You just want to kill Anothers!\That isn't going to solve anything! It's just going to create a bigger mess! response:	Out of my way!
context: Don't hurt her any more!\Her?\That's an Another! She's not human!\Once I kill her, this will all be over.\Stay out of my way!\You just want to kill Anothers!\That isn't going to solve anything! It's just going to create a bigger mess!\Out of my way! response:	And you can stay out of the way of my work!
context: Her?\That's an Another! She's not human!\Once I kill her, this will all be over.\Stay out of my way!\You just want to kill Anothers!\That isn't going to solve anything! It's just going to create a bigger mess!\Out of my way!\And you can stay out of the way of my work! response:	Wha
context: That's an Another! She's not human!\Once I kill her, this will all be over.\Stay out of my way!\You just want to kill Anothers!\That isn't going to solve anything! It's just going to create a bigger mess!\Out of my way!\And you can stay out of the way of my work!\Wha response:	Why, you little...
context: Once I kill her, this will all be over.\Stay out of my way!\You just want to kill Anothers!\That isn't going to solve anything! It's just going to create a bigger mess!\Out of my way!\And you can stay out of the way of my work!\Wha\Why, you little... response:	Why am I getting a call at a time like this?
context: Stay out of my way!\You just want to kill Anothers!\That isn't going to solve anything! It's just going to create a bigger mess!\Out of my way!\And you can stay out of the way of my work!\Wha\Why, you little...\Why am I getting a call at a time like this? response:	You should probably answer that.
context: You just want to kill Anothers!\That isn't going to solve anything! It's just going to create a bigger mess!\Out of my way!\And you can stay out of the way of my work!\Wha\Why, you little...\Why am I getting a call at a time like this?\You should probably answer that. response:	The Shinjuku Ward Office?
context: That isn't going to solve anything! It's just going to create a bigger mess!\Out of my way!\And you can stay out of the way of my work!\Wha\Why, you little...\Why am I getting a call at a time like this?\You should probably answer that.\The Shinjuku Ward Office? response:	Emergency Line 0
context: Out of my way!\And you can stay out of the way of my work!\Wha\Why, you little...\Why am I getting a call at a time like this?\You should probably answer that.\The Shinjuku Ward Office?\Emergency Line 0 response:	Incoming Call
context: And you can stay out of the way of my work!\Wha\Why, you little...\Why am I getting a call at a time like this?\You should probably answer that.\The Shinjuku Ward Office?\Emergency Line 0\Incoming Call response:	Decline the call and send a message
context: Wha\Why, you little...\Why am I getting a call at a time like this?\You should probably answer that.\The Shinjuku Ward Office?\Emergency Line 0\Incoming Call\Decline the call and send a message response:	Send to voicemail
context: Why, you little...\Why am I getting a call at a time like this?\You should probably answer that.\The Shinjuku Ward Office?\Emergency Line 0\Incoming Call\Decline the call and send a message\Send to voicemail response:	This is Kanoichi.
context: Why am I getting a call at a time like this?\You should probably answer that.\The Shinjuku Ward Office?\Emergency Line 0\Incoming Call\Decline the call and send a message\Send to voicemail\This is Kanoichi. response:	Heya, this is Senda from the Shinjuku Ward Office.
context: You should probably answer that.\The Shinjuku Ward Office?\Emergency Line 0\Incoming Call\Decline the call and send a message\Send to voicemail\This is Kanoichi.\Heya, this is Senda from the Shinjuku Ward Office. response:	What are you doing on this line?
context: The Shinjuku Ward Office?\Emergency Line 0\Incoming Call\Decline the call and send a message\Send to voicemail\This is Kanoichi.\Heya, this is Senda from the Shinjuku Ward Office.\What are you doing on this line? response:	Could you let Miyako-kun and my crew handle the situation
context: Emergency Line 0\Incoming Call\Decline the call and send a message\Send to voicemail\This is Kanoichi.\Heya, this is Senda from the Shinjuku Ward Office.\What are you doing on this line?\Could you let Miyako-kun and my crew handle the situation response:	while you go rescue the others?
context: Incoming Call\Decline the call and send a message\Send to voicemail\This is Kanoichi.\Heya, this is Senda from the Shinjuku Ward Office.\What are you doing on this line?\Could you let Miyako-kun and my crew handle the situation\while you go rescue the others? response:	I'm pretty sure you have no authority over me.
context: Decline the call and send a message\Send to voicemail\This is Kanoichi.\Heya, this is Senda from the Shinjuku Ward Office.\What are you doing on this line?\Could you let Miyako-kun and my crew handle the situation\while you go rescue the others?\I'm pretty sure you have no authority over me. response:	I'm the one in charge of this
context: Send to voicemail\This is Kanoichi.\Heya, this is Senda from the Shinjuku Ward Office.\What are you doing on this line?\Could you let Miyako-kun and my crew handle the situation\while you go rescue the others?\I'm pretty sure you have no authority over me.\I'm the one in charge of this response:	Yeah, about that... You're not.
context: This is Kanoichi.\Heya, this is Senda from the Shinjuku Ward Office.\What are you doing on this line?\Could you let Miyako-kun and my crew handle the situation\while you go rescue the others?\I'm pretty sure you have no authority over me.\I'm the one in charge of this\Yeah, about that... You're not. response:	What?
context: Heya, this is Senda from the Shinjuku Ward Office.\What are you doing on this line?\Could you let Miyako-kun and my crew handle the situation\while you go rescue the others?\I'm pretty sure you have no authority over me.\I'm the one in charge of this\Yeah, about that... You're not.\What? response:	City Hall has let go of their jurisdiction over the Olympic Stadium for the time being.
context: What are you doing on this line?\Could you let Miyako-kun and my crew handle the situation\while you go rescue the others?\I'm pretty sure you have no authority over me.\I'm the one in charge of this\Yeah, about that... You're not.\What?\City Hall has let go of their jurisdiction over the Olympic Stadium for the time being. response:	The Shinjuku Ward Office Nocturnal Community Relations Division
context: Could you let Miyako-kun and my crew handle the situation\while you go rescue the others?\I'm pretty sure you have no authority over me.\I'm the one in charge of this\Yeah, about that... You're not.\What?\City Hall has let go of their jurisdiction over the Olympic Stadium for the time being.\The Shinjuku Ward Office Nocturnal Community Relations Division response:	is now in charge of this operation.
context: while you go rescue the others?\I'm pretty sure you have no authority over me.\I'm the one in charge of this\Yeah, about that... You're not.\What?\City Hall has let go of their jurisdiction over the Olympic Stadium for the time being.\The Shinjuku Ward Office Nocturnal Community Relations Division\is now in charge of this operation. response:	Who the hell authorized that?!
context: I'm pretty sure you have no authority over me.\I'm the one in charge of this\Yeah, about that... You're not.\What?\City Hall has let go of their jurisdiction over the Olympic Stadium for the time being.\The Shinjuku Ward Office Nocturnal Community Relations Division\is now in charge of this operation.\Who the hell authorized that?! response:	Number Zero of the Tokyo Nocturnal Special Ordinance Committee.
context: I'm the one in charge of this\Yeah, about that... You're not.\What?\City Hall has let go of their jurisdiction over the Olympic Stadium for the time being.\The Shinjuku Ward Office Nocturnal Community Relations Division\is now in charge of this operation.\Who the hell authorized that?!\Number Zero of the Tokyo Nocturnal Special Ordinance Committee. response:	The governor... of Tokyo...
context: Yeah, about that... You're not.\What?\City Hall has let go of their jurisdiction over the Olympic Stadium for the time being.\The Shinjuku Ward Office Nocturnal Community Relations Division\is now in charge of this operation.\Who the hell authorized that?!\Number Zero of the Tokyo Nocturnal Special Ordinance Committee.\The governor... of Tokyo... response:	So yeah, this is now our jurisdiction.
context: What?\City Hall has let go of their jurisdiction over the Olympic Stadium for the time being.\The Shinjuku Ward Office Nocturnal Community Relations Division\is now in charge of this operation.\Who the hell authorized that?!\Number Zero of the Tokyo Nocturnal Special Ordinance Committee.\The governor... of Tokyo...\So yeah, this is now our jurisdiction. response:	Make sure you don't step out of line.
context: City Hall has let go of their jurisdiction over the Olympic Stadium for the time being.\The Shinjuku Ward Office Nocturnal Community Relations Division\is now in charge of this operation.\Who the hell authorized that?!\Number Zero of the Tokyo Nocturnal Special Ordinance Committee.\The governor... of Tokyo...\So yeah, this is now our jurisdiction.\Make sure you don't step out of line. response:	How dare you...
context: The Shinjuku Ward Office Nocturnal Community Relations Division\is now in charge of this operation.\Who the hell authorized that?!\Number Zero of the Tokyo Nocturnal Special Ordinance Committee.\The governor... of Tokyo...\So yeah, this is now our jurisdiction.\Make sure you don't step out of line.\How dare you... response:	So what's someone as worthless as you going to do?
context: is now in charge of this operation.\Who the hell authorized that?!\Number Zero of the Tokyo Nocturnal Special Ordinance Committee.\The governor... of Tokyo...\So yeah, this is now our jurisdiction.\Make sure you don't step out of line.\How dare you...\So what's someone as worthless as you going to do? response:	I need you to free her.
context: Who the hell authorized that?!\Number Zero of the Tokyo Nocturnal Special Ordinance Committee.\The governor... of Tokyo...\So yeah, this is now our jurisdiction.\Make sure you don't step out of line.\How dare you...\So what's someone as worthless as you going to do?\I need you to free her. response:	I'll go talk to her.
