context: Live till after noon! response:	Live TV till after noon!
context: For your age.\Are you trying to show that your only redeeming feature is your youth?\Even though you're not that young?\I'm saying that if the older generation tries too hard,\then it's hopeless for us younger folks!\-You little...! -Hey, watch your hands!\You, too! Oh, jeez!\Minoru Mineta - Quirk: Pop Off response:	-Stop pulling! It'll rip! -It's ripped!
context: Are you trying to show that your only redeeming feature is your youth?\Even though you're not that young?\I'm saying that if the older generation tries too hard,\then it's hopeless for us younger folks!\-You little...! -Hey, watch your hands!\You, too! Oh, jeez!\Minoru Mineta - Quirk: Pop Off\-Stop pulling! It'll rip! -It's ripped! response:	What an incredible episode!
context: Even though you're not that young?\I'm saying that if the older generation tries too hard,\then it's hopeless for us younger folks!\-You little...! -Hey, watch your hands!\You, too! Oh, jeez!\Minoru Mineta - Quirk: Pop Off\-Stop pulling! It'll rip! -It's ripped!\What an incredible episode! response:	Gear up for Final Exams
context: I'm saying that if the older generation tries too hard,\then it's hopeless for us younger folks!\-You little...! -Hey, watch your hands!\You, too! Oh, jeez!\Minoru Mineta - Quirk: Pop Off\-Stop pulling! It'll rip! -It's ripped!\What an incredible episode!\Gear up for Final Exams response:	Okay, that's it for class.
context: then it's hopeless for us younger folks!\-You little...! -Hey, watch your hands!\You, too! Oh, jeez!\Minoru Mineta - Quirk: Pop Off\-Stop pulling! It'll rip! -It's ripped!\What an incredible episode!\Gear up for Final Exams\Okay, that's it for class. response:	Pro Hero - Eraser Head - Quirk: Erasure
context: -You little...! -Hey, watch your hands!\You, too! Oh, jeez!\Minoru Mineta - Quirk: Pop Off\-Stop pulling! It'll rip! -It's ripped!\What an incredible episode!\Gear up for Final Exams\Okay, that's it for class.\Pro Hero - Eraser Head - Quirk: Erasure response:	There's only one week left until the final exams.
context: You, too! Oh, jeez!\Minoru Mineta - Quirk: Pop Off\-Stop pulling! It'll rip! -It's ripped!\What an incredible episode!\Gear up for Final Exams\Okay, that's it for class.\Pro Hero - Eraser Head - Quirk: Erasure\There's only one week left until the final exams. response:	You all are studying properly, right?
context: Minoru Mineta - Quirk: Pop Off\-Stop pulling! It'll rip! -It's ripped!\What an incredible episode!\Gear up for Final Exams\Okay, that's it for class.\Pro Hero - Eraser Head - Quirk: Erasure\There's only one week left until the final exams.\You all are studying properly, right? response:	I'm sure you already know,
context: -Stop pulling! It'll rip! -It's ripped!\What an incredible episode!\Gear up for Final Exams\Okay, that's it for class.\Pro Hero - Eraser Head - Quirk: Erasure\There's only one week left until the final exams.\You all are studying properly, right?\I'm sure you already know, response:	Izuku Midoriya - Quirk: One For All Katsuki Bakugo - Quirk: Explosion
context: What an incredible episode!\Gear up for Final Exams\Okay, that's it for class.\Pro Hero - Eraser Head - Quirk: Erasure\There's only one week left until the final exams.\You all are studying properly, right?\I'm sure you already know,\Izuku Midoriya - Quirk: One For All Katsuki Bakugo - Quirk: Explosion response:	but it won't just be a written exam. There's also a practical component.
context: Gear up for Final Exams\Okay, that's it for class.\Pro Hero - Eraser Head - Quirk: Erasure\There's only one week left until the final exams.\You all are studying properly, right?\I'm sure you already know,\Izuku Midoriya - Quirk: One For All Katsuki Bakugo - Quirk: Explosion\but it won't just be a written exam. There's also a practical component. response:	Tenya Iida - Quirk: Engine Ochaco Uraraka - Quirk: Zero Gravity
context: Okay, that's it for class.\Pro Hero - Eraser Head - Quirk: Erasure\There's only one week left until the final exams.\You all are studying properly, right?\I'm sure you already know,\Izuku Midoriya - Quirk: One For All Katsuki Bakugo - Quirk: Explosion\but it won't just be a written exam. There's also a practical component.\Tenya Iida - Quirk: Engine Ochaco Uraraka - Quirk: Zero Gravity response:	Make sure you train your minds and bodies at the same time.
context: Pro Hero - Eraser Head - Quirk: Erasure\There's only one week left until the final exams.\You all are studying properly, right?\I'm sure you already know,\Izuku Midoriya - Quirk: One For All Katsuki Bakugo - Quirk: Explosion\but it won't just be a written exam. There's also a practical component.\Tenya Iida - Quirk: Engine Ochaco Uraraka - Quirk: Zero Gravity\Make sure you train your minds and bodies at the same time. response:	That's all.
context: There's only one week left until the final exams.\You all are studying properly, right?\I'm sure you already know,\Izuku Midoriya - Quirk: One For All Katsuki Bakugo - Quirk: Explosion\but it won't just be a written exam. There's also a practical component.\Tenya Iida - Quirk: Engine Ochaco Uraraka - Quirk: Zero Gravity\Make sure you train your minds and bodies at the same time.\That's all. response:	Midterm: 19th/20 Midterm: 20th/20
context: You all are studying properly, right?\I'm sure you already know,\Izuku Midoriya - Quirk: One For All Katsuki Bakugo - Quirk: Explosion\but it won't just be a written exam. There's also a practical component.\Tenya Iida - Quirk: Engine Ochaco Uraraka - Quirk: Zero Gravity\Make sure you train your minds and bodies at the same time.\That's all.\Midterm: 19th/20 Midterm: 20th/20 response:	I haven't studied at all!
context: I'm sure you already know,\Izuku Midoriya - Quirk: One For All Katsuki Bakugo - Quirk: Explosion\but it won't just be a written exam. There's also a practical component.\Tenya Iida - Quirk: Engine Ochaco Uraraka - Quirk: Zero Gravity\Make sure you train your minds and bodies at the same time.\That's all.\Midterm: 19th/20 Midterm: 20th/20\I haven't studied at all! response:	Mina Ashido - Quirk: Acid Denki Kaminari - Quirk: Electrification
context: Izuku Midoriya - Quirk: One For All Katsuki Bakugo - Quirk: Explosion\but it won't just be a written exam. There's also a practical component.\Tenya Iida - Quirk: Engine Ochaco Uraraka - Quirk: Zero Gravity\Make sure you train your minds and bodies at the same time.\That's all.\Midterm: 19th/20 Midterm: 20th/20\I haven't studied at all!\Mina Ashido - Quirk: Acid Denki Kaminari - Quirk: Electrification response:	With the sports festival and internship, I didn't study at all!
context: but it won't just be a written exam. There's also a practical component.\Tenya Iida - Quirk: Engine Ochaco Uraraka - Quirk: Zero Gravity\Make sure you train your minds and bodies at the same time.\That's all.\Midterm: 19th/20 Midterm: 20th/20\I haven't studied at all!\Mina Ashido - Quirk: Acid Denki Kaminari - Quirk: Electrification\With the sports festival and internship, I didn't study at all! response:	Fumikage Tokoyami - Quirk: Dark Shadow
context: Tenya Iida - Quirk: Engine Ochaco Uraraka - Quirk: Zero Gravity\Make sure you train your minds and bodies at the same time.\That's all.\Midterm: 19th/20 Midterm: 20th/20\I haven't studied at all!\Mina Ashido - Quirk: Acid Denki Kaminari - Quirk: Electrification\With the sports festival and internship, I didn't study at all!\Fumikage Tokoyami - Quirk: Dark Shadow response:	It's true that we had one event after another, but...
context: Make sure you train your minds and bodies at the same time.\That's all.\Midterm: 19th/20 Midterm: 20th/20\I haven't studied at all!\Mina Ashido - Quirk: Acid Denki Kaminari - Quirk: Electrification\With the sports festival and internship, I didn't study at all!\Fumikage Tokoyami - Quirk: Dark Shadow\It's true that we had one event after another, but... response:	Midterm: 14th/20
context: That's all.\Midterm: 19th/20 Midterm: 20th/20\I haven't studied at all!\Mina Ashido - Quirk: Acid Denki Kaminari - Quirk: Electrification\With the sports festival and internship, I didn't study at all!\Fumikage Tokoyami - Quirk: Dark Shadow\It's true that we had one event after another, but...\Midterm: 14th/20 response:	Rikido Sato Koji Koda
context: Midterm: 19th/20 Midterm: 20th/20\I haven't studied at all!\Mina Ashido - Quirk: Acid Denki Kaminari - Quirk: Electrification\With the sports festival and internship, I didn't study at all!\Fumikage Tokoyami - Quirk: Dark Shadow\It's true that we had one event after another, but...\Midterm: 14th/20\Rikido Sato Koji Koda response:	Midterm: 12th/20 Midterm: 11th/20
context: I haven't studied at all!\Mina Ashido - Quirk: Acid Denki Kaminari - Quirk: Electrification\With the sports festival and internship, I didn't study at all!\Fumikage Tokoyami - Quirk: Dark Shadow\It's true that we had one event after another, but...\Midterm: 14th/20\Rikido Sato Koji Koda\Midterm: 12th/20 Midterm: 11th/20 response:	For the midterms, we'd just started school, so they didn't cover much,
context: Mina Ashido - Quirk: Acid Denki Kaminari - Quirk: Electrification\With the sports festival and internship, I didn't study at all!\Fumikage Tokoyami - Quirk: Dark Shadow\It's true that we had one event after another, but...\Midterm: 14th/20\Rikido Sato Koji Koda\Midterm: 12th/20 Midterm: 11th/20\For the midterms, we'd just started school, so they didn't cover much, response:	so I didn't really have a hard time with them,
context: With the sports festival and internship, I didn't study at all!\Fumikage Tokoyami - Quirk: Dark Shadow\It's true that we had one event after another, but...\Midterm: 14th/20\Rikido Sato Koji Koda\Midterm: 12th/20 Midterm: 11th/20\For the midterms, we'd just started school, so they didn't cover much,\so I didn't really have a hard time with them, response:	but with the back-to-back events and stuff, the finals will be different...
context: Fumikage Tokoyami - Quirk: Dark Shadow\It's true that we had one event after another, but...\Midterm: 14th/20\Rikido Sato Koji Koda\Midterm: 12th/20 Midterm: 11th/20\For the midterms, we'd just started school, so they didn't cover much,\so I didn't really have a hard time with them,\but with the back-to-back events and stuff, the finals will be different... response:	It'll be tough since there's a practical exam, too.
context: It's true that we had one event after another, but...\Midterm: 14th/20\Rikido Sato Koji Koda\Midterm: 12th/20 Midterm: 11th/20\For the midterms, we'd just started school, so they didn't cover much,\so I didn't really have a hard time with them,\but with the back-to-back events and stuff, the finals will be different...\It'll be tough since there's a practical exam, too. response:	Midterm: 9th/20
context: Midterm: 14th/20\Rikido Sato Koji Koda\Midterm: 12th/20 Midterm: 11th/20\For the midterms, we'd just started school, so they didn't cover much,\so I didn't really have a hard time with them,\but with the back-to-back events and stuff, the finals will be different...\It'll be tough since there's a practical exam, too.\Midterm: 9th/20 response:	N-Ninth on the midterms?!
context: Rikido Sato Koji Koda\Midterm: 12th/20 Midterm: 11th/20\For the midterms, we'd just started school, so they didn't cover much,\so I didn't really have a hard time with them,\but with the back-to-back events and stuff, the finals will be different...\It'll be tough since there's a practical exam, too.\Midterm: 9th/20\N-Ninth on the midterms?! response:	And here I thought you were one of us!
context: Midterm: 12th/20 Midterm: 11th/20\For the midterms, we'd just started school, so they didn't cover much,\so I didn't really have a hard time with them,\but with the back-to-back events and stuff, the finals will be different...\It'll be tough since there's a practical exam, too.\Midterm: 9th/20\N-Ninth on the midterms?!\And here I thought you were one of us! response:	Guys like you are only likable if they're dumb...!
context: For the midterms, we'd just started school, so they didn't cover much,\so I didn't really have a hard time with them,\but with the back-to-back events and stuff, the finals will be different...\It'll be tough since there's a practical exam, too.\Midterm: 9th/20\N-Ninth on the midterms?!\And here I thought you were one of us!\Guys like you are only likable if they're dumb...! response:	Where's the demand for this?!
context: so I didn't really have a hard time with them,\but with the back-to-back events and stuff, the finals will be different...\It'll be tough since there's a practical exam, too.\Midterm: 9th/20\N-Ninth on the midterms?!\And here I thought you were one of us!\Guys like you are only likable if they're dumb...!\Where's the demand for this?! response:	The world, I guess.
context: but with the back-to-back events and stuff, the finals will be different...\It'll be tough since there's a practical exam, too.\Midterm: 9th/20\N-Ninth on the midterms?!\And here I thought you were one of us!\Guys like you are only likable if they're dumb...!\Where's the demand for this?!\The world, I guess. response:	Ashido, Kaminari!
context: It'll be tough since there's a practical exam, too.\Midterm: 9th/20\N-Ninth on the midterms?!\And here I thought you were one of us!\Guys like you are only likable if they're dumb...!\Where's the demand for this?!\The world, I guess.\Ashido, Kaminari! response:	L-Let's do our best!
context: Midterm: 9th/20\N-Ninth on the midterms?!\And here I thought you were one of us!\Guys like you are only likable if they're dumb...!\Where's the demand for this?!\The world, I guess.\Ashido, Kaminari!\L-Let's do our best! response:	Midterm: 4th/20
context: N-Ninth on the midterms?!\And here I thought you were one of us!\Guys like you are only likable if they're dumb...!\Where's the demand for this?!\The world, I guess.\Ashido, Kaminari!\L-Let's do our best!\Midterm: 4th/20 response:	We all want to go to the training camp together, right?
context: And here I thought you were one of us!\Guys like you are only likable if they're dumb...!\Where's the demand for this?!\The world, I guess.\Ashido, Kaminari!\L-Let's do our best!\Midterm: 4th/20\We all want to go to the training camp together, right? response:	Yes! As class rep, I also have high hopes that you'll all be moved to action!
context: Guys like you are only likable if they're dumb...!\Where's the demand for this?!\The world, I guess.\Ashido, Kaminari!\L-Let's do our best!\Midterm: 4th/20\We all want to go to the training camp together, right?\Yes! As class rep, I also have high hopes that you'll all be moved to action! response:	Midterm: 2nd/20
context: Where's the demand for this?!\The world, I guess.\Ashido, Kaminari!\L-Let's do our best!\Midterm: 4th/20\We all want to go to the training camp together, right?\Yes! As class rep, I also have high hopes that you'll all be moved to action!\Midterm: 2nd/20 response:	Shoto Todoroki - Quirk: Half-Cold, Half-Hot
context: The world, I guess.\Ashido, Kaminari!\L-Let's do our best!\Midterm: 4th/20\We all want to go to the training camp together, right?\Yes! As class rep, I also have high hopes that you'll all be moved to action!\Midterm: 2nd/20\Shoto Todoroki - Quirk: Half-Cold, Half-Hot response:	Midterm: 5th/20
context: Ashido, Kaminari!\L-Let's do our best!\Midterm: 4th/20\We all want to go to the training camp together, right?\Yes! As class rep, I also have high hopes that you'll all be moved to action!\Midterm: 2nd/20\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\Midterm: 5th/20 response:	It's pretty hard to fail if you just pay attention in class.
context: L-Let's do our best!\Midterm: 4th/20\We all want to go to the training camp together, right?\Yes! As class rep, I also have high hopes that you'll all be moved to action!\Midterm: 2nd/20\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\Midterm: 5th/20\It's pretty hard to fail if you just pay attention in class. response:	Be careful with your words!
context: Midterm: 4th/20\We all want to go to the training camp together, right?\Yes! As class rep, I also have high hopes that you'll all be moved to action!\Midterm: 2nd/20\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\Midterm: 5th/20\It's pretty hard to fail if you just pay attention in class.\Be careful with your words! response:	Momo Yaoyorozu - Quirk: Creation
context: We all want to go to the training camp together, right?\Yes! As class rep, I also have high hopes that you'll all be moved to action!\Midterm: 2nd/20\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\Midterm: 5th/20\It's pretty hard to fail if you just pay attention in class.\Be careful with your words!\Momo Yaoyorozu - Quirk: Creation response:	Midterm: 1st/20
context: Yes! As class rep, I also have high hopes that you'll all be moved to action!\Midterm: 2nd/20\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\Midterm: 5th/20\It's pretty hard to fail if you just pay attention in class.\Be careful with your words!\Momo Yaoyorozu - Quirk: Creation\Midterm: 1st/20 response:	You two, I may be able to be of assistance with the class lectures.
context: Midterm: 2nd/20\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\Midterm: 5th/20\It's pretty hard to fail if you just pay attention in class.\Be careful with your words!\Momo Yaoyorozu - Quirk: Creation\Midterm: 1st/20\You two, I may be able to be of assistance with the class lectures. response:	Yao-momo!
context: Shoto Todoroki - Quirk: Half-Cold, Half-Hot\Midterm: 5th/20\It's pretty hard to fail if you just pay attention in class.\Be careful with your words!\Momo Yaoyorozu - Quirk: Creation\Midterm: 1st/20\You two, I may be able to be of assistance with the class lectures.\Yao-momo! response:	I can't help at all with the practical, though...
context: Midterm: 5th/20\It's pretty hard to fail if you just pay attention in class.\Be careful with your words!\Momo Yaoyorozu - Quirk: Creation\Midterm: 1st/20\You two, I may be able to be of assistance with the class lectures.\Yao-momo!\I can't help at all with the practical, though... response:	Kyoka Jiro - Quirk: Earphone Jack
context: It's pretty hard to fail if you just pay attention in class.\Be careful with your words!\Momo Yaoyorozu - Quirk: Creation\Midterm: 1st/20\You two, I may be able to be of assistance with the class lectures.\Yao-momo!\I can't help at all with the practical, though...\Kyoka Jiro - Quirk: Earphone Jack response:	I'm not one of those two, but can I join, too?
context: Be careful with your words!\Momo Yaoyorozu - Quirk: Creation\Midterm: 1st/20\You two, I may be able to be of assistance with the class lectures.\Yao-momo!\I can't help at all with the practical, though...\Kyoka Jiro - Quirk: Earphone Jack\I'm not one of those two, but can I join, too? response:	Midterm: 7th/20
context: Momo Yaoyorozu - Quirk: Creation\Midterm: 1st/20\You two, I may be able to be of assistance with the class lectures.\Yao-momo!\I can't help at all with the practical, though...\Kyoka Jiro - Quirk: Earphone Jack\I'm not one of those two, but can I join, too?\Midterm: 7th/20 response:	I'm having some trouble with quadratic functions...
context: Midterm: 1st/20\You two, I may be able to be of assistance with the class lectures.\Yao-momo!\I can't help at all with the practical, though...\Kyoka Jiro - Quirk: Earphone Jack\I'm not one of those two, but can I join, too?\Midterm: 7th/20\I'm having some trouble with quadratic functions... response:	Huh?
context: You two, I may be able to be of assistance with the class lectures.\Yao-momo!\I can't help at all with the practical, though...\Kyoka Jiro - Quirk: Earphone Jack\I'm not one of those two, but can I join, too?\Midterm: 7th/20\I'm having some trouble with quadratic functions...\Huh? response:	Hanta Sero - Quirk: Tape
context: Yao-momo!\I can't help at all with the practical, though...\Kyoka Jiro - Quirk: Earphone Jack\I'm not one of those two, but can I join, too?\Midterm: 7th/20\I'm having some trouble with quadratic functions...\Huh?\Hanta Sero - Quirk: Tape response:	Sorry, me too! How are you with classical Japanese?
context: I can't help at all with the practical, though...\Kyoka Jiro - Quirk: Earphone Jack\I'm not one of those two, but can I join, too?\Midterm: 7th/20\I'm having some trouble with quadratic functions...\Huh?\Hanta Sero - Quirk: Tape\Sorry, me too! How are you with classical Japanese? response:	Midterm: 17th/20
context: Kyoka Jiro - Quirk: Earphone Jack\I'm not one of those two, but can I join, too?\Midterm: 7th/20\I'm having some trouble with quadratic functions...\Huh?\Hanta Sero - Quirk: Tape\Sorry, me too! How are you with classical Japanese?\Midterm: 17th/20 response:	Huh?
context: I'm not one of those two, but can I join, too?\Midterm: 7th/20\I'm having some trouble with quadratic functions...\Huh?\Hanta Sero - Quirk: Tape\Sorry, me too! How are you with classical Japanese?\Midterm: 17th/20\Huh? response:	Mashirao Ojiro - Quirk: Tail
context: Midterm: 7th/20\I'm having some trouble with quadratic functions...\Huh?\Hanta Sero - Quirk: Tape\Sorry, me too! How are you with classical Japanese?\Midterm: 17th/20\Huh?\Mashirao Ojiro - Quirk: Tail response:	I'd like to join, too.
context: I'm having some trouble with quadratic functions...\Huh?\Hanta Sero - Quirk: Tape\Sorry, me too! How are you with classical Japanese?\Midterm: 17th/20\Huh?\Mashirao Ojiro - Quirk: Tail\I'd like to join, too. response:	Midterm: 8th/20
context: Huh?\Hanta Sero - Quirk: Tape\Sorry, me too! How are you with classical Japanese?\Midterm: 17th/20\Huh?\Mashirao Ojiro - Quirk: Tail\I'd like to join, too.\Midterm: 8th/20 response:	There's a bunch of stuff I don't get...
context: Hanta Sero - Quirk: Tape\Sorry, me too! How are you with classical Japanese?\Midterm: 17th/20\Huh?\Mashirao Ojiro - Quirk: Tail\I'd like to join, too.\Midterm: 8th/20\There's a bunch of stuff I don't get... response:	Please!
context: Sorry, me too! How are you with classical Japanese?\Midterm: 17th/20\Huh?\Mashirao Ojiro - Quirk: Tail\I'd like to join, too.\Midterm: 8th/20\There's a bunch of stuff I don't get...\Please! response:	Everyone!
context: Midterm: 17th/20\Huh?\Mashirao Ojiro - Quirk: Tail\I'd like to join, too.\Midterm: 8th/20\There's a bunch of stuff I don't get...\Please!\Everyone! response:	Yes, of course!
context: Huh?\Mashirao Ojiro - Quirk: Tail\I'd like to join, too.\Midterm: 8th/20\There's a bunch of stuff I don't get...\Please!\Everyone!\Yes, of course! response:	All right!
context: Mashirao Ojiro - Quirk: Tail\I'd like to join, too.\Midterm: 8th/20\There's a bunch of stuff I don't get...\Please!\Everyone!\Yes, of course!\All right! response:	Then, let us hold a study session at my residence this weekend!
context: I'd like to join, too.\Midterm: 8th/20\There's a bunch of stuff I don't get...\Please!\Everyone!\Yes, of course!\All right!\Then, let us hold a study session at my residence this weekend! response:	Seriously? I can't wait to see your house!
