context: Th-This is Akihabara? response:	Are you frightened?
context: Thank you.\Hey, no fair! Listen to me, too.\Um...\Sir Soujirou is tired.\Then I'll sing him a lullaby.\No, I will!\This is part of the job. This is part of the job!\All right, everyone... response:	Let's all get along,
context: Hey, no fair! Listen to me, too.\Um...\Sir Soujirou is tired.\Then I'll sing him a lullaby.\No, I will!\This is part of the job. This is part of the job!\All right, everyone...\Let's all get along, response:	okay?
context: Um...\Sir Soujirou is tired.\Then I'll sing him a lullaby.\No, I will!\This is part of the job. This is part of the job!\All right, everyone...\Let's all get along,\okay? response:	Yes!
context: Sir Soujirou is tired.\Then I'll sing him a lullaby.\No, I will!\This is part of the job. This is part of the job!\All right, everyone...\Let's all get along,\okay?\Yes! response:	Yes...
context: Then I'll sing him a lullaby.\No, I will!\This is part of the job. This is part of the job!\All right, everyone...\Let's all get along,\okay?\Yes!\Yes... response:	I'm not even sure I care anymore.
context: No, I will!\This is part of the job. This is part of the job!\All right, everyone...\Let's all get along,\okay?\Yes!\Yes...\I'm not even sure I care anymore. response:	Is that some kind of event?
context: This is part of the job. This is part of the job!\All right, everyone...\Let's all get along,\okay?\Yes!\Yes...\I'm not even sure I care anymore.\Is that some kind of event? response:	Maybe it's just cosplay?
context: All right, everyone...\Let's all get along,\okay?\Yes!\Yes...\I'm not even sure I care anymore.\Is that some kind of event?\Maybe it's just cosplay? response:	You're walking a bit fast...
context: Let's all get along,\okay?\Yes!\Yes...\I'm not even sure I care anymore.\Is that some kind of event?\Maybe it's just cosplay?\You're walking a bit fast... response:	Expeditionary Force
context: okay?\Yes!\Yes...\I'm not even sure I care anymore.\Is that some kind of event?\Maybe it's just cosplay?\You're walking a bit fast...\Expeditionary Force response:	Expeditionary Force.
context: Yes!\Yes...\I'm not even sure I care anymore.\Is that some kind of event?\Maybe it's just cosplay?\You're walking a bit fast...\Expeditionary Force\Expeditionary Force. response:	We've been waiting, Shiroe...
context: Yes...\I'm not even sure I care anymore.\Is that some kind of event?\Maybe it's just cosplay?\You're walking a bit fast...\Expeditionary Force\Expeditionary Force.\We've been waiting, Shiroe... response:	And Princess Lenessia.
context: I'm not even sure I care anymore.\Is that some kind of event?\Maybe it's just cosplay?\You're walking a bit fast...\Expeditionary Force\Expeditionary Force.\We've been waiting, Shiroe...\And Princess Lenessia. response:	Hello, I am Karashin, the trader.
context: Is that some kind of event?\Maybe it's just cosplay?\You're walking a bit fast...\Expeditionary Force\Expeditionary Force.\We've been waiting, Shiroe...\And Princess Lenessia.\Hello, I am Karashin, the trader. response:	I am Lenessia of the Cowen family.
context: Maybe it's just cosplay?\You're walking a bit fast...\Expeditionary Force\Expeditionary Force.\We've been waiting, Shiroe...\And Princess Lenessia.\Hello, I am Karashin, the trader.\I am Lenessia of the Cowen family. response:	A pleasure to meet you.
context: You're walking a bit fast...\Expeditionary Force\Expeditionary Force.\We've been waiting, Shiroe...\And Princess Lenessia.\Hello, I am Karashin, the trader.\I am Lenessia of the Cowen family.\A pleasure to meet you. response:	A real princess, huh?
context: Expeditionary Force\Expeditionary Force.\We've been waiting, Shiroe...\And Princess Lenessia.\Hello, I am Karashin, the trader.\I am Lenessia of the Cowen family.\A pleasure to meet you.\A real princess, huh? response:	She's even more amazing than I'd heard.
context: Expeditionary Force.\We've been waiting, Shiroe...\And Princess Lenessia.\Hello, I am Karashin, the trader.\I am Lenessia of the Cowen family.\A pleasure to meet you.\A real princess, huh?\She's even more amazing than I'd heard. response:	I think we need something with impact.
context: We've been waiting, Shiroe...\And Princess Lenessia.\Hello, I am Karashin, the trader.\I am Lenessia of the Cowen family.\A pleasure to meet you.\A real princess, huh?\She's even more amazing than I'd heard.\I think we need something with impact. response:	The first impression should blow them away.
context: And Princess Lenessia.\Hello, I am Karashin, the trader.\I am Lenessia of the Cowen family.\A pleasure to meet you.\A real princess, huh?\She's even more amazing than I'd heard.\I think we need something with impact.\The first impression should blow them away. response:	Do you have Valkyrie mail?
context: Hello, I am Karashin, the trader.\I am Lenessia of the Cowen family.\A pleasure to meet you.\A real princess, huh?\She's even more amazing than I'd heard.\I think we need something with impact.\The first impression should blow them away.\Do you have Valkyrie mail? response:	We have about seven types,
context: I am Lenessia of the Cowen family.\A pleasure to meet you.\A real princess, huh?\She's even more amazing than I'd heard.\I think we need something with impact.\The first impression should blow them away.\Do you have Valkyrie mail?\We have about seven types, response:	between model variations and our own, original designs.
context: A pleasure to meet you.\A real princess, huh?\She's even more amazing than I'd heard.\I think we need something with impact.\The first impression should blow them away.\Do you have Valkyrie mail?\We have about seven types,\between model variations and our own, original designs. response:	And a good weapon would be nice, as well.
context: A real princess, huh?\She's even more amazing than I'd heard.\I think we need something with impact.\The first impression should blow them away.\Do you have Valkyrie mail?\We have about seven types,\between model variations and our own, original designs.\And a good weapon would be nice, as well. response:	One with a required level under 4.
context: She's even more amazing than I'd heard.\I think we need something with impact.\The first impression should blow them away.\Do you have Valkyrie mail?\We have about seven types,\between model variations and our own, original designs.\And a good weapon would be nice, as well.\One with a required level under 4. response:	U-Um...
context: I think we need something with impact.\The first impression should blow them away.\Do you have Valkyrie mail?\We have about seven types,\between model variations and our own, original designs.\And a good weapon would be nice, as well.\One with a required level under 4.\U-Um... response:	Oh, wow! It's a real princess!
context: The first impression should blow them away.\Do you have Valkyrie mail?\We have about seven types,\between model variations and our own, original designs.\And a good weapon would be nice, as well.\One with a required level under 4.\U-Um...\Oh, wow! It's a real princess! response:	She looked this way!
context: Do you have Valkyrie mail?\We have about seven types,\between model variations and our own, original designs.\And a good weapon would be nice, as well.\One with a required level under 4.\U-Um...\Oh, wow! It's a real princess!\She looked this way! response:	She's so cute!
context: We have about seven types,\between model variations and our own, original designs.\And a good weapon would be nice, as well.\One with a required level under 4.\U-Um...\Oh, wow! It's a real princess!\She looked this way!\She's so cute! response:	She smiled!
context: between model variations and our own, original designs.\And a good weapon would be nice, as well.\One with a required level under 4.\U-Um...\Oh, wow! It's a real princess!\She looked this way!\She's so cute!\She smiled! response:	This is a one-handed weapon, with high attack power.
context: And a good weapon would be nice, as well.\One with a required level under 4.\U-Um...\Oh, wow! It's a real princess!\She looked this way!\She's so cute!\She smiled!\This is a one-handed weapon, with high attack power. response:	I'd like something flashier, with priority on looks.
context: One with a required level under 4.\U-Um...\Oh, wow! It's a real princess!\She looked this way!\She's so cute!\She smiled!\This is a one-handed weapon, with high attack power.\I'd like something flashier, with priority on looks. response:	Princess, are you hungry?
context: U-Um...\Oh, wow! It's a real princess!\She looked this way!\She's so cute!\She smiled!\This is a one-handed weapon, with high attack power.\I'd like something flashier, with priority on looks.\Princess, are you hungry? response:	Yes, I suppose...
context: Oh, wow! It's a real princess!\She looked this way!\She's so cute!\She smiled!\This is a one-handed weapon, with high attack power.\I'd like something flashier, with priority on looks.\Princess, are you hungry?\Yes, I suppose... response:	Then have this.
context: She looked this way!\She's so cute!\She smiled!\This is a one-handed weapon, with high attack power.\I'd like something flashier, with priority on looks.\Princess, are you hungry?\Yes, I suppose...\Then have this. response:	You got these here with perfect timing.
context: She's so cute!\She smiled!\This is a one-handed weapon, with high attack power.\I'd like something flashier, with priority on looks.\Princess, are you hungry?\Yes, I suppose...\Then have this.\You got these here with perfect timing. response:	Shiroe asked me to bring them.
context: She smiled!\This is a one-handed weapon, with high attack power.\I'd like something flashier, with priority on looks.\Princess, are you hungry?\Yes, I suppose...\Then have this.\You got these here with perfect timing.\Shiroe asked me to bring them. response:	Crescent Burgers are so good.
context: This is a one-handed weapon, with high attack power.\I'd like something flashier, with priority on looks.\Princess, are you hungry?\Yes, I suppose...\Then have this.\You got these here with perfect timing.\Shiroe asked me to bring them.\Crescent Burgers are so good. response:	She ate it!
context: I'd like something flashier, with priority on looks.\Princess, are you hungry?\Yes, I suppose...\Then have this.\You got these here with perfect timing.\Shiroe asked me to bring them.\Crescent Burgers are so good.\She ate it! response:	She eats like a princess.
context: Princess, are you hungry?\Yes, I suppose...\Then have this.\You got these here with perfect timing.\Shiroe asked me to bring them.\Crescent Burgers are so good.\She ate it!\She eats like a princess. response:	Do you like it? It's called a Crescent Burger.
context: Yes, I suppose...\Then have this.\You got these here with perfect timing.\Shiroe asked me to bring them.\Crescent Burgers are so good.\She ate it!\She eats like a princess.\Do you like it? It's called a Crescent Burger. response:	Yes, I've never had one before!
context: Then have this.\You got these here with perfect timing.\Shiroe asked me to bring them.\Crescent Burgers are so good.\She ate it!\She eats like a princess.\Do you like it? It's called a Crescent Burger.\Yes, I've never had one before! response:	It's so...
context: You got these here with perfect timing.\Shiroe asked me to bring them.\Crescent Burgers are so good.\She ate it!\She eats like a princess.\Do you like it? It's called a Crescent Burger.\Yes, I've never had one before!\It's so... response:	Princess Lenessia, here.
context: Shiroe asked me to bring them.\Crescent Burgers are so good.\She ate it!\She eats like a princess.\Do you like it? It's called a Crescent Burger.\Yes, I've never had one before!\It's so...\Princess Lenessia, here. response:	Akatsuki, help her get changed.
context: Crescent Burgers are so good.\She ate it!\She eats like a princess.\Do you like it? It's called a Crescent Burger.\Yes, I've never had one before!\It's so...\Princess Lenessia, here.\Akatsuki, help her get changed. response:	Right.
context: She ate it!\She eats like a princess.\Do you like it? It's called a Crescent Burger.\Yes, I've never had one before!\It's so...\Princess Lenessia, here.\Akatsuki, help her get changed.\Right. response:	We'll help, too.
context: She eats like a princess.\Do you like it? It's called a Crescent Burger.\Yes, I've never had one before!\It's so...\Princess Lenessia, here.\Akatsuki, help her get changed.\Right.\We'll help, too. response:	Could you all help me with something else?
context: Do you like it? It's called a Crescent Burger.\Yes, I've never had one before!\It's so...\Princess Lenessia, here.\Akatsuki, help her get changed.\Right.\We'll help, too.\Could you all help me with something else? response:	Yes!
context: Yes, I've never had one before!\It's so...\Princess Lenessia, here.\Akatsuki, help her get changed.\Right.\We'll help, too.\Could you all help me with something else?\Yes! response:	I'll help you with your skirt.
context: It's so...\Princess Lenessia, here.\Akatsuki, help her get changed.\Right.\We'll help, too.\Could you all help me with something else?\Yes!\I'll help you with your skirt. response:	Eh?
context: Princess Lenessia, here.\Akatsuki, help her get changed.\Right.\We'll help, too.\Could you all help me with something else?\Yes!\I'll help you with your skirt.\Eh? response:	This armor emphasizes the lines of my body a bit too much...
context: Akatsuki, help her get changed.\Right.\We'll help, too.\Could you all help me with something else?\Yes!\I'll help you with your skirt.\Eh?\This armor emphasizes the lines of my body a bit too much... response:	Actually, it makes them look better than normal.
context: Right.\We'll help, too.\Could you all help me with something else?\Yes!\I'll help you with your skirt.\Eh?\This armor emphasizes the lines of my body a bit too much...\Actually, it makes them look better than normal. response:	Special Dressing Room Peek and Be Sent to the Cathedral
context: We'll help, too.\Could you all help me with something else?\Yes!\I'll help you with your skirt.\Eh?\This armor emphasizes the lines of my body a bit too much...\Actually, it makes them look better than normal.\Special Dressing Room Peek and Be Sent to the Cathedral response:	And it shows my entire legs!
context: Could you all help me with something else?\Yes!\I'll help you with your skirt.\Eh?\This armor emphasizes the lines of my body a bit too much...\Actually, it makes them look better than normal.\Special Dressing Room Peek and Be Sent to the Cathedral\And it shows my entire legs! response:	You're tall, so it has to.
context: Yes!\I'll help you with your skirt.\Eh?\This armor emphasizes the lines of my body a bit too much...\Actually, it makes them look better than normal.\Special Dressing Room Peek and Be Sent to the Cathedral\And it shows my entire legs!\You're tall, so it has to. response:	Deal with it.
context: I'll help you with your skirt.\Eh?\This armor emphasizes the lines of my body a bit too much...\Actually, it makes them look better than normal.\Special Dressing Room Peek and Be Sent to the Cathedral\And it shows my entire legs!\You're tall, so it has to.\Deal with it. response:	Right...
context: Eh?\This armor emphasizes the lines of my body a bit too much...\Actually, it makes them look better than normal.\Special Dressing Room Peek and Be Sent to the Cathedral\And it shows my entire legs!\You're tall, so it has to.\Deal with it.\Right... response:	Looks pretty good, Karashin.
context: This armor emphasizes the lines of my body a bit too much...\Actually, it makes them look better than normal.\Special Dressing Room Peek and Be Sent to the Cathedral\And it shows my entire legs!\You're tall, so it has to.\Deal with it.\Right...\Looks pretty good, Karashin. response:	Yes, I think it's beautiful.
context: Actually, it makes them look better than normal.\Special Dressing Room Peek and Be Sent to the Cathedral\And it shows my entire legs!\You're tall, so it has to.\Deal with it.\Right...\Looks pretty good, Karashin.\Yes, I think it's beautiful. response:	Th-Thank you.
context: Special Dressing Room Peek and Be Sent to the Cathedral\And it shows my entire legs!\You're tall, so it has to.\Deal with it.\Right...\Looks pretty good, Karashin.\Yes, I think it's beautiful.\Th-Thank you. response:	A lot more people are in full gear all of a sudden.
context: And it shows my entire legs!\You're tall, so it has to.\Deal with it.\Right...\Looks pretty good, Karashin.\Yes, I think it's beautiful.\Th-Thank you.\A lot more people are in full gear all of a sudden. response:	Yeah, are they handing out a quest?
context: You're tall, so it has to.\Deal with it.\Right...\Looks pretty good, Karashin.\Yes, I think it's beautiful.\Th-Thank you.\A lot more people are in full gear all of a sudden.\Yeah, are they handing out a quest? response:	Thank you for coming so early in the morning, everyone.
context: Deal with it.\Right...\Looks pretty good, Karashin.\Yes, I think it's beautiful.\Th-Thank you.\A lot more people are in full gear all of a sudden.\Yeah, are they handing out a quest?\Thank you for coming so early in the morning, everyone. response:	I am Shiroe, of Log Horizon.
context: Right...\Looks pretty good, Karashin.\Yes, I think it's beautiful.\Th-Thank you.\A lot more people are in full gear all of a sudden.\Yeah, are they handing out a quest?\Thank you for coming so early in the morning, everyone.\I am Shiroe, of Log Horizon. response:	Our situation is pressing, so I'll get right to the point.
context: Looks pretty good, Karashin.\Yes, I think it's beautiful.\Th-Thank you.\A lot more people are in full gear all of a sudden.\Yeah, are they handing out a quest?\Thank you for coming so early in the morning, everyone.\I am Shiroe, of Log Horizon.\Our situation is pressing, so I'll get right to the point. response:	An army of up to twenty thousand goblins
context: Yes, I think it's beautiful.\Th-Thank you.\A lot more people are in full gear all of a sudden.\Yeah, are they handing out a quest?\Thank you for coming so early in the morning, everyone.\I am Shiroe, of Log Horizon.\Our situation is pressing, so I'll get right to the point.\An army of up to twenty thousand goblins response:	has appeared in the northern Kanto hills.
context: Th-Thank you.\A lot more people are in full gear all of a sudden.\Yeah, are they handing out a quest?\Thank you for coming so early in the morning, everyone.\I am Shiroe, of Log Horizon.\Our situation is pressing, so I'll get right to the point.\An army of up to twenty thousand goblins\has appeared in the northern Kanto hills. response:	They threaten the League of Freedom Cities, Eastal.
context: A lot more people are in full gear all of a sudden.\Yeah, are they handing out a quest?\Thank you for coming so early in the morning, everyone.\I am Shiroe, of Log Horizon.\Our situation is pressing, so I'll get right to the point.\An army of up to twenty thousand goblins\has appeared in the northern Kanto hills.\They threaten the League of Freedom Cities, Eastal. response:	Even if we leave them alone, Eastal will not be wiped out,
context: Yeah, are they handing out a quest?\Thank you for coming so early in the morning, everyone.\I am Shiroe, of Log Horizon.\Our situation is pressing, so I'll get right to the point.\An army of up to twenty thousand goblins\has appeared in the northern Kanto hills.\They threaten the League of Freedom Cities, Eastal.\Even if we leave them alone, Eastal will not be wiped out, response:	but they'll lose around thirty percent of their total forces.
context: Thank you for coming so early in the morning, everyone.\I am Shiroe, of Log Horizon.\Our situation is pressing, so I'll get right to the point.\An army of up to twenty thousand goblins\has appeared in the northern Kanto hills.\They threaten the League of Freedom Cities, Eastal.\Even if we leave them alone, Eastal will not be wiped out,\but they'll lose around thirty percent of their total forces. response:	Thirty percent of their total forces?
context: I am Shiroe, of Log Horizon.\Our situation is pressing, so I'll get right to the point.\An army of up to twenty thousand goblins\has appeared in the northern Kanto hills.\They threaten the League of Freedom Cities, Eastal.\Even if we leave them alone, Eastal will not be wiped out,\but they'll lose around thirty percent of their total forces.\Thirty percent of their total forces? response:	That's practically annihilated.
context: Our situation is pressing, so I'll get right to the point.\An army of up to twenty thousand goblins\has appeared in the northern Kanto hills.\They threaten the League of Freedom Cities, Eastal.\Even if we leave them alone, Eastal will not be wiped out,\but they'll lose around thirty percent of their total forces.\Thirty percent of their total forces?\That's practically annihilated. response:	Northern Kanto would mean...
context: An army of up to twenty thousand goblins\has appeared in the northern Kanto hills.\They threaten the League of Freedom Cities, Eastal.\Even if we leave them alone, Eastal will not be wiped out,\but they'll lose around thirty percent of their total forces.\Thirty percent of their total forces?\That's practically annihilated.\Northern Kanto would mean... response:	When did they show up?
context: has appeared in the northern Kanto hills.\They threaten the League of Freedom Cities, Eastal.\Even if we leave them alone, Eastal will not be wiped out,\but they'll lose around thirty percent of their total forces.\Thirty percent of their total forces?\That's practically annihilated.\Northern Kanto would mean...\When did they show up? response:	Show me that map.
context: They threaten the League of Freedom Cities, Eastal.\Even if we leave them alone, Eastal will not be wiped out,\but they'll lose around thirty percent of their total forces.\Thirty percent of their total forces?\That's practically annihilated.\Northern Kanto would mean...\When did they show up?\Show me that map. response:	All the people here understand tactics, and they can read maps.
context: Even if we leave them alone, Eastal will not be wiped out,\but they'll lose around thirty percent of their total forces.\Thirty percent of their total forces?\That's practically annihilated.\Northern Kanto would mean...\When did they show up?\Show me that map.\All the people here understand tactics, and they can read maps. response:	How are they all so intelligent?
context: but they'll lose around thirty percent of their total forces.\Thirty percent of their total forces?\That's practically annihilated.\Northern Kanto would mean...\When did they show up?\Show me that map.\All the people here understand tactics, and they can read maps.\How are they all so intelligent? response:	Are the adventurers here more than just soldiers?
context: Thirty percent of their total forces?\That's practically annihilated.\Northern Kanto would mean...\When did they show up?\Show me that map.\All the people here understand tactics, and they can read maps.\How are they all so intelligent?\Are the adventurers here more than just soldiers? response:	Does that mean they're smarter
context: That's practically annihilated.\Northern Kanto would mean...\When did they show up?\Show me that map.\All the people here understand tactics, and they can read maps.\How are they all so intelligent?\Are the adventurers here more than just soldiers?\Does that mean they're smarter response:	than our military officers or a court official?
context: Northern Kanto would mean...\When did they show up?\Show me that map.\All the people here understand tactics, and they can read maps.\How are they all so intelligent?\Are the adventurers here more than just soldiers?\Does that mean they're smarter\than our military officers or a court official? response:	Then what is a noble?
context: When did they show up?\Show me that map.\All the people here understand tactics, and they can read maps.\How are they all so intelligent?\Are the adventurers here more than just soldiers?\Does that mean they're smarter\than our military officers or a court official?\Then what is a noble? response:	What is a commoner?
context: Show me that map.\All the people here understand tactics, and they can read maps.\How are they all so intelligent?\Are the adventurers here more than just soldiers?\Does that mean they're smarter\than our military officers or a court official?\Then what is a noble?\What is a commoner? response:	What is a serf?
context: All the people here understand tactics, and they can read maps.\How are they all so intelligent?\Are the adventurers here more than just soldiers?\Does that mean they're smarter\than our military officers or a court official?\Then what is a noble?\What is a commoner?\What is a serf? response:	For our part,
context: How are they all so intelligent?\Are the adventurers here more than just soldiers?\Does that mean they're smarter\than our military officers or a court official?\Then what is a noble?\What is a commoner?\What is a serf?\For our part, response:	defending Akihabara from the goblins would not be terribly difficult.
context: Are the adventurers here more than just soldiers?\Does that mean they're smarter\than our military officers or a court official?\Then what is a noble?\What is a commoner?\What is a serf?\For our part,\defending Akihabara from the goblins would not be terribly difficult. response:	If all we care about is ourselves,
context: Does that mean they're smarter\than our military officers or a court official?\Then what is a noble?\What is a commoner?\What is a serf?\For our part,\defending Akihabara from the goblins would not be terribly difficult.\If all we care about is ourselves, response:	there's no need to save Eastal.
context: than our military officers or a court official?\Then what is a noble?\What is a commoner?\What is a serf?\For our part,\defending Akihabara from the goblins would not be terribly difficult.\If all we care about is ourselves,\there's no need to save Eastal. response:	There's nothing we stand to gain by doing so.
context: Then what is a noble?\What is a commoner?\What is a serf?\For our part,\defending Akihabara from the goblins would not be terribly difficult.\If all we care about is ourselves,\there's no need to save Eastal.\There's nothing we stand to gain by doing so. response:	However,
context: What is a commoner?\What is a serf?\For our part,\defending Akihabara from the goblins would not be terribly difficult.\If all we care about is ourselves,\there's no need to save Eastal.\There's nothing we stand to gain by doing so.\However, response:	with this in mind, there's someone I'd like you to listen to.
context: What is a serf?\For our part,\defending Akihabara from the goblins would not be terribly difficult.\If all we care about is ourselves,\there's no need to save Eastal.\There's nothing we stand to gain by doing so.\However,\with this in mind, there's someone I'd like you to listen to. response:	Let's go.
context: For our part,\defending Akihabara from the goblins would not be terribly difficult.\If all we care about is ourselves,\there's no need to save Eastal.\There's nothing we stand to gain by doing so.\However,\with this in mind, there's someone I'd like you to listen to.\Let's go. response:	Th-This is...
context: defending Akihabara from the goblins would not be terribly difficult.\If all we care about is ourselves,\there's no need to save Eastal.\There's nothing we stand to gain by doing so.\However,\with this in mind, there's someone I'd like you to listen to.\Let's go.\Th-This is... response:	What do I do?
context: If all we care about is ourselves,\there's no need to save Eastal.\There's nothing we stand to gain by doing so.\However,\with this in mind, there's someone I'd like you to listen to.\Let's go.\Th-This is...\What do I do? response:	Everyone, it's nice to meet you.
context: there's no need to save Eastal.\There's nothing we stand to gain by doing so.\However,\with this in mind, there's someone I'd like you to listen to.\Let's go.\Th-This is...\What do I do?\Everyone, it's nice to meet you. response:	I am the granddaughter of Duke Cowen, one of the People of the Land,
context: There's nothing we stand to gain by doing so.\However,\with this in mind, there's someone I'd like you to listen to.\Let's go.\Th-This is...\What do I do?\Everyone, it's nice to meet you.\I am the granddaughter of Duke Cowen, one of the People of the Land, response:	and leader of the Freedom Cities of Eastal...
context: However,\with this in mind, there's someone I'd like you to listen to.\Let's go.\Th-This is...\What do I do?\Everyone, it's nice to meet you.\I am the granddaughter of Duke Cowen, one of the People of the Land,\and leader of the Freedom Cities of Eastal... response:	Lenessia El Arte Cowen.
context: with this in mind, there's someone I'd like you to listen to.\Let's go.\Th-This is...\What do I do?\Everyone, it's nice to meet you.\I am the granddaughter of Duke Cowen, one of the People of the Land,\and leader of the Freedom Cities of Eastal...\Lenessia El Arte Cowen. response:	I am here today to make a request of you.
context: Let's go.\Th-This is...\What do I do?\Everyone, it's nice to meet you.\I am the granddaughter of Duke Cowen, one of the People of the Land,\and leader of the Freedom Cities of Eastal...\Lenessia El Arte Cowen.\I am here today to make a request of you. response:	As Shiroe has just explained, the land of Yamato is in peril.
context: Th-This is...\What do I do?\Everyone, it's nice to meet you.\I am the granddaughter of Duke Cowen, one of the People of the Land,\and leader of the Freedom Cities of Eastal...\Lenessia El Arte Cowen.\I am here today to make a request of you.\As Shiroe has just explained, the land of Yamato is in peril. response:	Our guardians, the Izumo Knights, have vanished,
context: What do I do?\Everyone, it's nice to meet you.\I am the granddaughter of Duke Cowen, one of the People of the Land,\and leader of the Freedom Cities of Eastal...\Lenessia El Arte Cowen.\I am here today to make a request of you.\As Shiroe has just explained, the land of Yamato is in peril.\Our guardians, the Izumo Knights, have vanished, response:	leaving Eastal to deal with the threat on its own.
