context: Hey, quit this already, Aratake. response:	We already know that you're strong.
context: The man feared as the White Tornado Beast,\Shirokawa Naoya.\All right, school's out!\Today's glasses day, right?\Let's hurry over!\Should we run then?\Let's race then!\You think you can keep up with me? response:	Who do you think you're talking to?
context: Shirokawa Naoya.\All right, school's out!\Today's glasses day, right?\Let's hurry over!\Should we run then?\Let's race then!\You think you can keep up with me?\Who do you think you're talking to? response:	I'm not gonna lose!
context: All right, school's out!\Today's glasses day, right?\Let's hurry over!\Should we run then?\Let's race then!\You think you can keep up with me?\Who do you think you're talking to?\I'm not gonna lose! response:	Aratake.
context: Today's glasses day, right?\Let's hurry over!\Should we run then?\Let's race then!\You think you can keep up with me?\Who do you think you're talking to?\I'm not gonna lose!\Aratake. response:	That's gotta be an unrelated similar looking guy.
context: Let's hurry over!\Should we run then?\Let's race then!\You think you can keep up with me?\Who do you think you're talking to?\I'm not gonna lose!\Aratake.\That's gotta be an unrelated similar looking guy. response:	The White Beast can't be that short.
context: Should we run then?\Let's race then!\You think you can keep up with me?\Who do you think you're talking to?\I'm not gonna lose!\Aratake.\That's gotta be an unrelated similar looking guy.\The White Beast can't be that short. response:	He dropped something.
context: Let's race then!\You think you can keep up with me?\Who do you think you're talking to?\I'm not gonna lose!\Aratake.\That's gotta be an unrelated similar looking guy.\The White Beast can't be that short.\He dropped something. response:	Why don't we go after them for now?
context: You think you can keep up with me?\Who do you think you're talking to?\I'm not gonna lose!\Aratake.\That's gotta be an unrelated similar looking guy.\The White Beast can't be that short.\He dropped something.\Why don't we go after them for now? response:	Misa-chan!
context: Who do you think you're talking to?\I'm not gonna lose!\Aratake.\That's gotta be an unrelated similar looking guy.\The White Beast can't be that short.\He dropped something.\Why don't we go after them for now?\Misa-chan! response:	Yup, we're back!
context: I'm not gonna lose!\Aratake.\That's gotta be an unrelated similar looking guy.\The White Beast can't be that short.\He dropped something.\Why don't we go after them for now?\Misa-chan!\Yup, we're back! response:	Hey. What is that fairy tale looking place?
context: Aratake.\That's gotta be an unrelated similar looking guy.\The White Beast can't be that short.\He dropped something.\Why don't we go after them for now?\Misa-chan!\Yup, we're back!\Hey. What is that fairy tale looking place? response:	Isn't that, you know...
context: That's gotta be an unrelated similar looking guy.\The White Beast can't be that short.\He dropped something.\Why don't we go after them for now?\Misa-chan!\Yup, we're back!\Hey. What is that fairy tale looking place?\Isn't that, you know... response:	A Maid cafe.
context: The White Beast can't be that short.\He dropped something.\Why don't we go after them for now?\Misa-chan!\Yup, we're back!\Hey. What is that fairy tale looking place?\Isn't that, you know...\A Maid cafe. response:	Unbelievable. I could never step in.
context: He dropped something.\Why don't we go after them for now?\Misa-chan!\Yup, we're back!\Hey. What is that fairy tale looking place?\Isn't that, you know...\A Maid cafe.\Unbelievable. I could never step in. response:	He's got to be a stranger that happens to have the exact same name.
context: Why don't we go after them for now?\Misa-chan!\Yup, we're back!\Hey. What is that fairy tale looking place?\Isn't that, you know...\A Maid cafe.\Unbelievable. I could never step in.\He's got to be a stranger that happens to have the exact same name. response:	It's on you today, right, Shiroyan?
context: Misa-chan!\Yup, we're back!\Hey. What is that fairy tale looking place?\Isn't that, you know...\A Maid cafe.\Unbelievable. I could never step in.\He's got to be a stranger that happens to have the exact same name.\It's on you today, right, Shiroyan? response:	Huh? What are you talking about, Kurotatsu?
context: Yup, we're back!\Hey. What is that fairy tale looking place?\Isn't that, you know...\A Maid cafe.\Unbelievable. I could never step in.\He's got to be a stranger that happens to have the exact same name.\It's on you today, right, Shiroyan?\Huh? What are you talking about, Kurotatsu? response:	Hey. Those names.
context: Hey. What is that fairy tale looking place?\Isn't that, you know...\A Maid cafe.\Unbelievable. I could never step in.\He's got to be a stranger that happens to have the exact same name.\It's on you today, right, Shiroyan?\Huh? What are you talking about, Kurotatsu?\Hey. Those names. response:	No, it's you.
context: Isn't that, you know...\A Maid cafe.\Unbelievable. I could never step in.\He's got to be a stranger that happens to have the exact same name.\It's on you today, right, Shiroyan?\Huh? What are you talking about, Kurotatsu?\Hey. Those names.\No, it's you. response:	It is?
context: A Maid cafe.\Unbelievable. I could never step in.\He's got to be a stranger that happens to have the exact same name.\It's on you today, right, Shiroyan?\Huh? What are you talking about, Kurotatsu?\Hey. Those names.\No, it's you.\It is? response:	So... they are the...
context: Unbelievable. I could never step in.\He's got to be a stranger that happens to have the exact same name.\It's on you today, right, Shiroyan?\Huh? What are you talking about, Kurotatsu?\Hey. Those names.\No, it's you.\It is?\So... they are the... response:	Fuck this shit.
context: He's got to be a stranger that happens to have the exact same name.\It's on you today, right, Shiroyan?\Huh? What are you talking about, Kurotatsu?\Hey. Those names.\No, it's you.\It is?\So... they are the...\Fuck this shit. response:	Misa-chan's off from work today.
context: It's on you today, right, Shiroyan?\Huh? What are you talking about, Kurotatsu?\Hey. Those names.\No, it's you.\It is?\So... they are the...\Fuck this shit.\Misa-chan's off from work today. response:	So how about we train to become the fastest Speed players?
context: Huh? What are you talking about, Kurotatsu?\Hey. Those names.\No, it's you.\It is?\So... they are the...\Fuck this shit.\Misa-chan's off from work today.\So how about we train to become the fastest Speed players? response:	Yeah, since we're almost done collecting the points.
context: Hey. Those names.\No, it's you.\It is?\So... they are the...\Fuck this shit.\Misa-chan's off from work today.\So how about we train to become the fastest Speed players?\Yeah, since we're almost done collecting the points. response:	Next time, we will win the right to take a picture with Misa-chan.
context: No, it's you.\It is?\So... they are the...\Fuck this shit.\Misa-chan's off from work today.\So how about we train to become the fastest Speed players?\Yeah, since we're almost done collecting the points.\Next time, we will win the right to take a picture with Misa-chan. response:	Someone help!
context: It is?\So... they are the...\Fuck this shit.\Misa-chan's off from work today.\So how about we train to become the fastest Speed players?\Yeah, since we're almost done collecting the points.\Next time, we will win the right to take a picture with Misa-chan.\Someone help! response:	Shirokawa-kun! Sarashina-kun! Kurosaki-kun!
context: So... they are the...\Fuck this shit.\Misa-chan's off from work today.\So how about we train to become the fastest Speed players?\Yeah, since we're almost done collecting the points.\Next time, we will win the right to take a picture with Misa-chan.\Someone help!\Shirokawa-kun! Sarashina-kun! Kurosaki-kun! response:	What are you doing, Vice-Prez?
context: Fuck this shit.\Misa-chan's off from work today.\So how about we train to become the fastest Speed players?\Yeah, since we're almost done collecting the points.\Next time, we will win the right to take a picture with Misa-chan.\Someone help!\Shirokawa-kun! Sarashina-kun! Kurosaki-kun!\What are you doing, Vice-Prez? response:	So this is the Vice-Prez?
context: Misa-chan's off from work today.\So how about we train to become the fastest Speed players?\Yeah, since we're almost done collecting the points.\Next time, we will win the right to take a picture with Misa-chan.\Someone help!\Shirokawa-kun! Sarashina-kun! Kurosaki-kun!\What are you doing, Vice-Prez?\So this is the Vice-Prez? response:	You're like a girl. Are you really a guy?
context: So how about we train to become the fastest Speed players?\Yeah, since we're almost done collecting the points.\Next time, we will win the right to take a picture with Misa-chan.\Someone help!\Shirokawa-kun! Sarashina-kun! Kurosaki-kun!\What are you doing, Vice-Prez?\So this is the Vice-Prez?\You're like a girl. Are you really a guy? response:	I am. I was forced to cross dress.
context: Yeah, since we're almost done collecting the points.\Next time, we will win the right to take a picture with Misa-chan.\Someone help!\Shirokawa-kun! Sarashina-kun! Kurosaki-kun!\What are you doing, Vice-Prez?\So this is the Vice-Prez?\You're like a girl. Are you really a guy?\I am. I was forced to cross dress. response:	Yukimura. Wear this sailor uniform without asking questions and come visit my house!
context: Next time, we will win the right to take a picture with Misa-chan.\Someone help!\Shirokawa-kun! Sarashina-kun! Kurosaki-kun!\What are you doing, Vice-Prez?\So this is the Vice-Prez?\You're like a girl. Are you really a guy?\I am. I was forced to cross dress.\Yukimura. Wear this sailor uniform without asking questions and come visit my house! response:	Huh? I don't get it.
context: Someone help!\Shirokawa-kun! Sarashina-kun! Kurosaki-kun!\What are you doing, Vice-Prez?\So this is the Vice-Prez?\You're like a girl. Are you really a guy?\I am. I was forced to cross dress.\Yukimura. Wear this sailor uniform without asking questions and come visit my house!\Huh? I don't get it. response:	Apparently Hagimoto's mom is bugging him to get a girlfriend.
context: Shirokawa-kun! Sarashina-kun! Kurosaki-kun!\What are you doing, Vice-Prez?\So this is the Vice-Prez?\You're like a girl. Are you really a guy?\I am. I was forced to cross dress.\Yukimura. Wear this sailor uniform without asking questions and come visit my house!\Huh? I don't get it.\Apparently Hagimoto's mom is bugging him to get a girlfriend. response:	So you cross dress and pretend to be his girlfriend. Okay?
context: What are you doing, Vice-Prez?\So this is the Vice-Prez?\You're like a girl. Are you really a guy?\I am. I was forced to cross dress.\Yukimura. Wear this sailor uniform without asking questions and come visit my house!\Huh? I don't get it.\Apparently Hagimoto's mom is bugging him to get a girlfriend.\So you cross dress and pretend to be his girlfriend. Okay? response:	Please!
context: So this is the Vice-Prez?\You're like a girl. Are you really a guy?\I am. I was forced to cross dress.\Yukimura. Wear this sailor uniform without asking questions and come visit my house!\Huh? I don't get it.\Apparently Hagimoto's mom is bugging him to get a girlfriend.\So you cross dress and pretend to be his girlfriend. Okay?\Please! response:	That's the story.
context: You're like a girl. Are you really a guy?\I am. I was forced to cross dress.\Yukimura. Wear this sailor uniform without asking questions and come visit my house!\Huh? I don't get it.\Apparently Hagimoto's mom is bugging him to get a girlfriend.\So you cross dress and pretend to be his girlfriend. Okay?\Please!\That's the story. response:	So you see, the secret behind Speed is-
context: I am. I was forced to cross dress.\Yukimura. Wear this sailor uniform without asking questions and come visit my house!\Huh? I don't get it.\Apparently Hagimoto's mom is bugging him to get a girlfriend.\So you cross dress and pretend to be his girlfriend. Okay?\Please!\That's the story.\So you see, the secret behind Speed is- response:	Wait! Please help me!
context: Yukimura. Wear this sailor uniform without asking questions and come visit my house!\Huh? I don't get it.\Apparently Hagimoto's mom is bugging him to get a girlfriend.\So you cross dress and pretend to be his girlfriend. Okay?\Please!\That's the story.\So you see, the secret behind Speed is-\Wait! Please help me! response:	Help you how?
context: Huh? I don't get it.\Apparently Hagimoto's mom is bugging him to get a girlfriend.\So you cross dress and pretend to be his girlfriend. Okay?\Please!\That's the story.\So you see, the secret behind Speed is-\Wait! Please help me!\Help you how? response:	We're busy, too.
context: Apparently Hagimoto's mom is bugging him to get a girlfriend.\So you cross dress and pretend to be his girlfriend. Okay?\Please!\That's the story.\So you see, the secret behind Speed is-\Wait! Please help me!\Help you how?\We're busy, too. response:	I just want to get changed. Could you go get my clothes from the student council room?
context: So you cross dress and pretend to be his girlfriend. Okay?\Please!\That's the story.\So you see, the secret behind Speed is-\Wait! Please help me!\Help you how?\We're busy, too.\I just want to get changed. Could you go get my clothes from the student council room? response:	Why should we?
context: Please!\That's the story.\So you see, the secret behind Speed is-\Wait! Please help me!\Help you how?\We're busy, too.\I just want to get changed. Could you go get my clothes from the student council room?\Why should we? response:	Please. Don't be like that.
context: That's the story.\So you see, the secret behind Speed is-\Wait! Please help me!\Help you how?\We're busy, too.\I just want to get changed. Could you go get my clothes from the student council room?\Why should we?\Please. Don't be like that. response:	You're fine. You're cute in that. Looks great on you.
context: So you see, the secret behind Speed is-\Wait! Please help me!\Help you how?\We're busy, too.\I just want to get changed. Could you go get my clothes from the student council room?\Why should we?\Please. Don't be like that.\You're fine. You're cute in that. Looks great on you. response:	Cute, eh?
context: Wait! Please help me!\Help you how?\We're busy, too.\I just want to get changed. Could you go get my clothes from the student council room?\Why should we?\Please. Don't be like that.\You're fine. You're cute in that. Looks great on you.\Cute, eh? response:	You've learned to say some sweet words, haven't you?
context: Help you how?\We're busy, too.\I just want to get changed. Could you go get my clothes from the student council room?\Why should we?\Please. Don't be like that.\You're fine. You're cute in that. Looks great on you.\Cute, eh?\You've learned to say some sweet words, haven't you? response:	I'll be borrowing her a bit.
context: We're busy, too.\I just want to get changed. Could you go get my clothes from the student council room?\Why should we?\Please. Don't be like that.\You're fine. You're cute in that. Looks great on you.\Cute, eh?\You've learned to say some sweet words, haven't you?\I'll be borrowing her a bit. response:	If you want your girlfriend back,
context: I just want to get changed. Could you go get my clothes from the student council room?\Why should we?\Please. Don't be like that.\You're fine. You're cute in that. Looks great on you.\Cute, eh?\You've learned to say some sweet words, haven't you?\I'll be borrowing her a bit.\If you want your girlfriend back, response:	Then come fight me!
context: Why should we?\Please. Don't be like that.\You're fine. You're cute in that. Looks great on you.\Cute, eh?\You've learned to say some sweet words, haven't you?\I'll be borrowing her a bit.\If you want your girlfriend back,\Then come fight me! response:	As the legendary White Beast from Seisen.
context: Please. Don't be like that.\You're fine. You're cute in that. Looks great on you.\Cute, eh?\You've learned to say some sweet words, haven't you?\I'll be borrowing her a bit.\If you want your girlfriend back,\Then come fight me!\As the legendary White Beast from Seisen. response:	Have you found him?!
context: You're fine. You're cute in that. Looks great on you.\Cute, eh?\You've learned to say some sweet words, haven't you?\I'll be borrowing her a bit.\If you want your girlfriend back,\Then come fight me!\As the legendary White Beast from Seisen.\Have you found him?! response:	No, he isn't anywhere.
context: Cute, eh?\You've learned to say some sweet words, haven't you?\I'll be borrowing her a bit.\If you want your girlfriend back,\Then come fight me!\As the legendary White Beast from Seisen.\Have you found him?!\No, he isn't anywhere. response:	I told mom that I'd bring her today.
context: You've learned to say some sweet words, haven't you?\I'll be borrowing her a bit.\If you want your girlfriend back,\Then come fight me!\As the legendary White Beast from Seisen.\Have you found him?!\No, he isn't anywhere.\I told mom that I'd bring her today. response:	What are you guys doing?
context: I'll be borrowing her a bit.\If you want your girlfriend back,\Then come fight me!\As the legendary White Beast from Seisen.\Have you found him?!\No, he isn't anywhere.\I told mom that I'd bring her today.\What are you guys doing? response:	Shoot! I need to sort the recycling!
context: If you want your girlfriend back,\Then come fight me!\As the legendary White Beast from Seisen.\Have you found him?!\No, he isn't anywhere.\I told mom that I'd bring her today.\What are you guys doing?\Shoot! I need to sort the recycling! response:	Shoot! I need to write the script for tomorrow's announcement.
context: Then come fight me!\As the legendary White Beast from Seisen.\Have you found him?!\No, he isn't anywhere.\I told mom that I'd bring her today.\What are you guys doing?\Shoot! I need to sort the recycling!\Shoot! I need to write the script for tomorrow's announcement. response:	See ya!
context: As the legendary White Beast from Seisen.\Have you found him?!\No, he isn't anywhere.\I told mom that I'd bring her today.\What are you guys doing?\Shoot! I need to sort the recycling!\Shoot! I need to write the script for tomorrow's announcement.\See ya! response:	What is this about?
context: Have you found him?!\No, he isn't anywhere.\I told mom that I'd bring her today.\What are you guys doing?\Shoot! I need to sort the recycling!\Shoot! I need to write the script for tomorrow's announcement.\See ya!\What is this about? response:	Prez?
context: No, he isn't anywhere.\I told mom that I'd bring her today.\What are you guys doing?\Shoot! I need to sort the recycling!\Shoot! I need to write the script for tomorrow's announcement.\See ya!\What is this about?\Prez? response:	Usui.
context: I told mom that I'd bring her today.\What are you guys doing?\Shoot! I need to sort the recycling!\Shoot! I need to write the script for tomorrow's announcement.\See ya!\What is this about?\Prez?\Usui. response:	Did you undress someone?
context: What are you guys doing?\Shoot! I need to sort the recycling!\Shoot! I need to write the script for tomorrow's announcement.\See ya!\What is this about?\Prez?\Usui.\Did you undress someone? response:	You idiot! What are you saying?
context: Shoot! I need to sort the recycling!\Shoot! I need to write the script for tomorrow's announcement.\See ya!\What is this about?\Prez?\Usui.\Did you undress someone?\You idiot! What are you saying? response:	Of course not!
context: Shoot! I need to write the script for tomorrow's announcement.\See ya!\What is this about?\Prez?\Usui.\Did you undress someone?\You idiot! What are you saying?\Of course not! response:	If you had asked me, I would have let you take my shirt off any day.
context: See ya!\What is this about?\Prez?\Usui.\Did you undress someone?\You idiot! What are you saying?\Of course not!\If you had asked me, I would have let you take my shirt off any day. response:	I said it wasn't me!
context: What is this about?\Prez?\Usui.\Did you undress someone?\You idiot! What are you saying?\Of course not!\If you had asked me, I would have let you take my shirt off any day.\I said it wasn't me! response:	You perv.
context: Prez?\Usui.\Did you undress someone?\You idiot! What are you saying?\Of course not!\If you had asked me, I would have let you take my shirt off any day.\I said it wasn't me!\You perv. response:	Did something happen?
context: Usui.\Did you undress someone?\You idiot! What are you saying?\Of course not!\If you had asked me, I would have let you take my shirt off any day.\I said it wasn't me!\You perv.\Did something happen? response:	Prez...
context: Did you undress someone?\You idiot! What are you saying?\Of course not!\If you had asked me, I would have let you take my shirt off any day.\I said it wasn't me!\You perv.\Did something happen?\Prez... response:	What's up with this atmosphere?
context: You idiot! What are you saying?\Of course not!\If you had asked me, I would have let you take my shirt off any day.\I said it wasn't me!\You perv.\Did something happen?\Prez...\What's up with this atmosphere? response:	The Vice-Prez got kidnapped.
context: Of course not!\If you had asked me, I would have let you take my shirt off any day.\I said it wasn't me!\You perv.\Did something happen?\Prez...\What's up with this atmosphere?\The Vice-Prez got kidnapped. response:	Crows are scary.
context: If you had asked me, I would have let you take my shirt off any day.\I said it wasn't me!\You perv.\Did something happen?\Prez...\What's up with this atmosphere?\The Vice-Prez got kidnapped.\Crows are scary. response:	So that uniform belonged to Yukimura.
context: I said it wasn't me!\You perv.\Did something happen?\Prez...\What's up with this atmosphere?\The Vice-Prez got kidnapped.\Crows are scary.\So that uniform belonged to Yukimura. response:	So Prez forced Yukimura-
context: You perv.\Did something happen?\Prez...\What's up with this atmosphere?\The Vice-Prez got kidnapped.\Crows are scary.\So that uniform belonged to Yukimura.\So Prez forced Yukimura- response:	I did not!
context: Did something happen?\Prez...\What's up with this atmosphere?\The Vice-Prez got kidnapped.\Crows are scary.\So that uniform belonged to Yukimura.\So Prez forced Yukimura-\I did not! response:	So, who exactly are these guys?
context: Prez...\What's up with this atmosphere?\The Vice-Prez got kidnapped.\Crows are scary.\So that uniform belonged to Yukimura.\So Prez forced Yukimura-\I did not!\So, who exactly are these guys? response:	Our underclassmen from Junior High.
context: What's up with this atmosphere?\The Vice-Prez got kidnapped.\Crows are scary.\So that uniform belonged to Yukimura.\So Prez forced Yukimura-\I did not!\So, who exactly are these guys?\Our underclassmen from Junior High. response:	I've remember seeing some of the faces, and then they said White Beast, so I'm pretty sure.
context: The Vice-Prez got kidnapped.\Crows are scary.\So that uniform belonged to Yukimura.\So Prez forced Yukimura-\I did not!\So, who exactly are these guys?\Our underclassmen from Junior High.\I've remember seeing some of the faces, and then they said White Beast, so I'm pretty sure. response:	Right?
context: Crows are scary.\So that uniform belonged to Yukimura.\So Prez forced Yukimura-\I did not!\So, who exactly are these guys?\Our underclassmen from Junior High.\I've remember seeing some of the faces, and then they said White Beast, so I'm pretty sure.\Right? response:	Yeah, what is that name?
context: So that uniform belonged to Yukimura.\So Prez forced Yukimura-\I did not!\So, who exactly are these guys?\Our underclassmen from Junior High.\I've remember seeing some of the faces, and then they said White Beast, so I'm pretty sure.\Right?\Yeah, what is that name? response:	Is White Beast referring to Shiroyan?
context: So Prez forced Yukimura-\I did not!\So, who exactly are these guys?\Our underclassmen from Junior High.\I've remember seeing some of the faces, and then they said White Beast, so I'm pretty sure.\Right?\Yeah, what is that name?\Is White Beast referring to Shiroyan? response:	That's right! Take that!
context: I did not!\So, who exactly are these guys?\Our underclassmen from Junior High.\I've remember seeing some of the faces, and then they said White Beast, so I'm pretty sure.\Right?\Yeah, what is that name?\Is White Beast referring to Shiroyan?\That's right! Take that! response:	Hmm, legend, eh?
context: So, who exactly are these guys?\Our underclassmen from Junior High.\I've remember seeing some of the faces, and then they said White Beast, so I'm pretty sure.\Right?\Yeah, what is that name?\Is White Beast referring to Shiroyan?\That's right! Take that!\Hmm, legend, eh? response:	That's the only reaction I get?
context: Our underclassmen from Junior High.\I've remember seeing some of the faces, and then they said White Beast, so I'm pretty sure.\Right?\Yeah, what is that name?\Is White Beast referring to Shiroyan?\That's right! Take that!\Hmm, legend, eh?\That's the only reaction I get? response:	I never knew that Seisen Junior High was filled with such lame delinquents.
context: I've remember seeing some of the faces, and then they said White Beast, so I'm pretty sure.\Right?\Yeah, what is that name?\Is White Beast referring to Shiroyan?\That's right! Take that!\Hmm, legend, eh?\That's the only reaction I get?\I never knew that Seisen Junior High was filled with such lame delinquents. response:	Same here.
context: Right?\Yeah, what is that name?\Is White Beast referring to Shiroyan?\That's right! Take that!\Hmm, legend, eh?\That's the only reaction I get?\I never knew that Seisen Junior High was filled with such lame delinquents.\Same here. response:	What are you implying?
context: Yeah, what is that name?\Is White Beast referring to Shiroyan?\That's right! Take that!\Hmm, legend, eh?\That's the only reaction I get?\I never knew that Seisen Junior High was filled with such lame delinquents.\Same here.\What are you implying? response:	He was a delinquent, but he quit out of fear of his mommy.
context: Is White Beast referring to Shiroyan?\That's right! Take that!\Hmm, legend, eh?\That's the only reaction I get?\I never knew that Seisen Junior High was filled with such lame delinquents.\Same here.\What are you implying?\He was a delinquent, but he quit out of fear of his mommy. response:	You know how scary my mom is!
context: That's right! Take that!\Hmm, legend, eh?\That's the only reaction I get?\I never knew that Seisen Junior High was filled with such lame delinquents.\Same here.\What are you implying?\He was a delinquent, but he quit out of fear of his mommy.\You know how scary my mom is! response:	Yeah, I think I could die just from her stare.
context: Hmm, legend, eh?\That's the only reaction I get?\I never knew that Seisen Junior High was filled with such lame delinquents.\Same here.\What are you implying?\He was a delinquent, but he quit out of fear of his mommy.\You know how scary my mom is!\Yeah, I think I could die just from her stare. response:	Then you have no intention of fighting against them.
context: That's the only reaction I get?\I never knew that Seisen Junior High was filled with such lame delinquents.\Same here.\What are you implying?\He was a delinquent, but he quit out of fear of his mommy.\You know how scary my mom is!\Yeah, I think I could die just from her stare.\Then you have no intention of fighting against them. response:	Actually, I wanna just go hang out somewhere!
context: I never knew that Seisen Junior High was filled with such lame delinquents.\Same here.\What are you implying?\He was a delinquent, but he quit out of fear of his mommy.\You know how scary my mom is!\Yeah, I think I could die just from her stare.\Then you have no intention of fighting against them.\Actually, I wanna just go hang out somewhere! response:	How does a cosplay photo shoot sound?
context: Same here.\What are you implying?\He was a delinquent, but he quit out of fear of his mommy.\You know how scary my mom is!\Yeah, I think I could die just from her stare.\Then you have no intention of fighting against them.\Actually, I wanna just go hang out somewhere!\How does a cosplay photo shoot sound? response:	Denied!
context: What are you implying?\He was a delinquent, but he quit out of fear of his mommy.\You know how scary my mom is!\Yeah, I think I could die just from her stare.\Then you have no intention of fighting against them.\Actually, I wanna just go hang out somewhere!\How does a cosplay photo shoot sound?\Denied! response:	We do have to save Yukimura after all.
context: He was a delinquent, but he quit out of fear of his mommy.\You know how scary my mom is!\Yeah, I think I could die just from her stare.\Then you have no intention of fighting against them.\Actually, I wanna just go hang out somewhere!\How does a cosplay photo shoot sound?\Denied!\We do have to save Yukimura after all. response:	Right, after all...
context: You know how scary my mom is!\Yeah, I think I could die just from her stare.\Then you have no intention of fighting against them.\Actually, I wanna just go hang out somewhere!\How does a cosplay photo shoot sound?\Denied!\We do have to save Yukimura after all.\Right, after all... response:	It's a pretty normal looking junior high school.
context: Yeah, I think I could die just from her stare.\Then you have no intention of fighting against them.\Actually, I wanna just go hang out somewhere!\How does a cosplay photo shoot sound?\Denied!\We do have to save Yukimura after all.\Right, after all...\It's a pretty normal looking junior high school. response:	Yeah. I was imagining a school in the midst of a sandstorm.
context: Then you have no intention of fighting against them.\Actually, I wanna just go hang out somewhere!\How does a cosplay photo shoot sound?\Denied!\We do have to save Yukimura after all.\Right, after all...\It's a pretty normal looking junior high school.\Yeah. I was imagining a school in the midst of a sandstorm. response:	What kind of school is that?
context: Actually, I wanna just go hang out somewhere!\How does a cosplay photo shoot sound?\Denied!\We do have to save Yukimura after all.\Right, after all...\It's a pretty normal looking junior high school.\Yeah. I was imagining a school in the midst of a sandstorm.\What kind of school is that? response:	But I heard the number of delinquents decreased since we graduated.
context: How does a cosplay photo shoot sound?\Denied!\We do have to save Yukimura after all.\Right, after all...\It's a pretty normal looking junior high school.\Yeah. I was imagining a school in the midst of a sandstorm.\What kind of school is that?\But I heard the number of delinquents decreased since we graduated. response:	Really?
context: Denied!\We do have to save Yukimura after all.\Right, after all...\It's a pretty normal looking junior high school.\Yeah. I was imagining a school in the midst of a sandstorm.\What kind of school is that?\But I heard the number of delinquents decreased since we graduated.\Really? response:	So, where is Yukimura?
context: We do have to save Yukimura after all.\Right, after all...\It's a pretty normal looking junior high school.\Yeah. I was imagining a school in the midst of a sandstorm.\What kind of school is that?\But I heard the number of delinquents decreased since we graduated.\Really?\So, where is Yukimura? response:	I don't know!
context: Right, after all...\It's a pretty normal looking junior high school.\Yeah. I was imagining a school in the midst of a sandstorm.\What kind of school is that?\But I heard the number of delinquents decreased since we graduated.\Really?\So, where is Yukimura?\I don't know! response:	I don't either!
context: It's a pretty normal looking junior high school.\Yeah. I was imagining a school in the midst of a sandstorm.\What kind of school is that?\But I heard the number of delinquents decreased since we graduated.\Really?\So, where is Yukimura?\I don't know!\I don't either! response:	I get it. You want me to break that thumb, right?
context: Yeah. I was imagining a school in the midst of a sandstorm.\What kind of school is that?\But I heard the number of delinquents decreased since we graduated.\Really?\So, where is Yukimura?\I don't know!\I don't either!\I get it. You want me to break that thumb, right? response:	Do it, Sarashina.
context: What kind of school is that?\But I heard the number of delinquents decreased since we graduated.\Really?\So, where is Yukimura?\I don't know!\I don't either!\I get it. You want me to break that thumb, right?\Do it, Sarashina. response:	Shiroyan! Kurotatsu! I can't do it!
